,id,meta1,meta2,titre_poste,entreprise,localisation,contrat,salaire,date_publication,keyword_metier,keyword_localisation,description
0,https://www.indeed.fr/emplois?q=Devops&l=Bordeaux&radius=100&limit=100&sort=date&vjk=917f82e98dc4dae1,"CHEF DE PROJET MOE (H/F)
CPAM DE LA GIRONDE251 avis - Mérignac (33)","['Mérignac (33)', 'CDI', '2 923 € par mois']",CHEF DE PROJET MOE (H/F),CPAM DE LA GIRONDE,- Mérignac (33),CDI,2 923 € par mois,"il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Devops,Bordeaux,"La CPAM de la Gironde (1300 salariés) est une entreprise privée qui assure une mission de service public. Elle est intégrée dans le réseau de l’Assurance Maladie qui emploie environ 80 000 salariés répartis sur près de 150 organismes. Dans le cadre de ses activités de prévention, la plupart des Caisses Primaires d’Assurance Maladie (CPAM) gèrent des centres d’examen de santé dont la mission principale est de proposer aux assurés, et notamment les plus précaires, des bilans de santé.
La Cnam a confié à la CPAM de Bordeaux (1300 personnes), le projet de refonte du logiciel de gestion de l’activité des CES. Dans le cadre de ce projet, elle recrute en CDI, un chef de projet MOE en environnement de développement JAVA / SPRINGBOOT au sein de la Direction des Systèmes d’Information.
Votre mission
Directement rattaché au Directeur des Systèmes d’Information, vous aurez en charge l’animation de l’équipe MOE d’un projet démarré il y a quelques années.
Vos missions :
Définir les évolutions de l’architecture technique du projet :
Architecture technique de l’application en lien avec les impératifs de sécurité et techniques de l’Assurance Maladie et des spécificités du projet,
Architecture de développement et test : Outils et environnement de développement et de test du projet, passage en micro-services, retour vers une architecture full web, …
Exploitabilité de l’application en lien avec les ops,
Une veille technique est attendue sur les évolutions des technologies mises en œuvre.
Animer et coordonner les activités de l’équipe MOE avec celles des autres équipes du projet (MOA, tests, ops, …),

Piloter la MOE du projet :
Reporting de l’activité et des avancements techniques et calendaires de la MOE vers la direction du projet,
Gestion prévisionnelle des charges, des recrutements et des plannings,
Validation des livrables.
Le candidat retenu devra se conformer aux exigences de la Politique de Sécurité du Système d’Information dont il sera un acteur majeur.
Votre profil
Connaissances générales en informatique : architecture des systèmes, bases de données, méthodologies de développement, devops, ...
Veille technologique active, mises en place de POC, …
Connaissances éprouvées des langages de programmation spécifiques (Java, Springboot, postgresSQL, …)
Connaissances éprouvées méthodologies de développement (méthode ""agile"", TDD, ...) et des méthodes orientées objet.
Curieux de nature, vous pratiquez une veille technologique active (participation à des conférences, réalisation de POC, …) dans ces domaines et vous savez vous adapter rapidement sur des nouveaux environnements
Votre sens du service, votre autonomie, votre proactivité ainsi que vos qualités relationnelles seront des atouts importants pour ce poste.
Votre formation
De formation supérieure en informatique, vous disposez d’une expérience significative en management de projet technique en environnement Java / Springboot.
Informations complémentaires
Ce poste est basé à Mérignac.
Une lettre de motivation, accompagnée d’un curriculum vitae, est demandée.
Des entretiens seront organisés.
Salaire : 2 923.09€ sur 14 mois
Contact
recrutement.cpam-bordeaux@assurance-maladie.fr"
1,https://www.indeed.fr/emplois?q=Devops&l=Bordeaux&radius=100&limit=100&sort=date&vjk=a0084603e3011d10,"Chef de projet IT F/H
ALTRAN356 avis - Bordeaux (33)","['Bordeaux (33)', 'CDI']",Chef de projet IT F/H,ALTRAN,- Bordeaux (33),CDI,null,"Apec.fr - il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Devops,Bordeaux,"Notre offre

Venez rejoindre le pôle Digital d’Altran Bordeaux et participer à des projets innovants en intégrant des nouveaux usages basés sur la mobilité, le Cloud, le Big Data, le DevOps et autres thématiques au cœur des métiers de nos clients.

Vos responsabilités

Nous recherchons pour nos clients grands comptes des chefs de projet IT en capacité de piloter des projets ou programmes structurants.

Structurer l’organisation projet
Planifier / coordonner les actions/ gérer les risques
Développer le business case du projet, suivre le budget et les couts
Accompagner le client dans le processus d’appel d’offre
Assurer la communication et accompagner le changement
Profil recherché De formation Bac+3 à Bac+5 (ingénieur ou universitaire) vous possédez une expérience d’au moins 5 ans en gestion de Projet IT.

Vous avez les prérequis suivants :
Maitrise des méthodologies de gestion de projet (cycle en V, agile)
Certification PMP
bonne communication / rigoureux/ adaptable/ orienté client
motivé par de nouveaux challenges
souhaitant intégrer une ligne métier
La connaissance des systèmes industriels (SCADA, Automates) et/ou embarqués (RTOS) serait appréciée, ainsi que la connaissance des vulnérabilités propres à ces systèmes.
Entreprise Altran est le leader mondial incontesté des services d'ingénierie et de R&D (ER&D) depuis l'acquisition d'Aricent. Le groupe offre à ses clients une proposition de valeur unique pour relever les défis de transformation et d'innovation.

Altran accompagne ses clients, du concept à l'industrialisation, pour développer les produits et les services de demain. Altran intervient depuis plus de 30 ans auprès des grands acteurs de nombreux secteurs : aérospatiale, automobile, défense, énergie, ferroviaire, finance, sciences de la vie, télécoms, etc. L'acquisition d'Aricent étend le portefeuille d'expertise du groupe dans les semi-conducteurs, le digital et design.

Ensemble, Altran et Aricent génèrent 2.9 milliards de chiffre d'affaires en 2017, avec près de 45000 employés dans plus dans 30 pays."
2,https://www.indeed.fr/emplois?q=Devops&l=Bordeaux&radius=100&limit=100&sort=date&vjk=b5566088d226aa14,"Développeur back-end H/F
TalentPeople - Bègles (33)","['Bègles (33)', 'CDI']",Développeur back-end H/F,TalentPeople,- Bègles (33),CDI,null,"il y a 2 jours
Signaler cette offre d'emploi",Devops,Bordeaux,"Nous recherchons pour notre client, un(e) développeur(-euse) Back-End : poste à pourvoir en CDI sur Bègles (a proximité de Bordeaux).
Notre client
Notre client, numéro 3 mondial des solutions prépayées, leader sur le marché des Comités d'Entreprise, développe des solutions digitales et innovantes permettant la gestion complète des activités des Comités d’entreprise : solutions de gestion et comptabilité, billetterie en ligne/site e-commerce, communication web, cartes cadeaux.
Vos missions
Vos missions seront les suivantes :
Maintenance corrective et évolution de solutions logicielles,
Conception,
Développement,
Déploiement.
L'activité principale sera axée sur des actions de maintenance.
Profil recherché
Vous êtes créatif(ve),autonome et curieux(se) ?
Les connaissances demandées sont : langage PL/SQL et Oracle. Vous avez l'habitude de travailler avec Asp.net (MVC 3 et Webform), .net Framework 4.5+ et Webservice WCF.
Un petit plus pour d'ANGULAR 6+ / Asp.net WebAPI / Git / .net core 2+ / des notions Devops.
Si vous vous reconnaissez, ne tardez plus et postulez !
(compétences front-end serait un plus)
Type d'emploi : CDI"
3,https://www.indeed.fr/emplois?q=Devops&l=Bordeaux&radius=100&limit=100&sort=date&vjk=b64df63fb0764451,"CHEF DE PROJET MOE F/H
CAISSE PRIMAIRE ASSURANCE MALADIE3 avis - Mérignac (33)","['Mérignac (33)', 'CDI']",CHEF DE PROJET MOE F/H,CAISSE PRIMAIRE ASSURANCE MALADIE,- Mérignac (33),CDI,null,"Apec.fr - il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Devops,Bordeaux,"Directement rattaché au Directeur des Systèmes d’Information, vous aurez en charge l’animation de l’équipe MOE d’un projet démarré il y a quelques années. Vos missions

Définir les évolutions de l’architecture technique du projet :

Architecture technique de l’application en lien avec les impératifs de sécurité et techniques de l’Assurance Maladie et des spécificités du projet,
Architecture de développement et test : Outils et environnement de développement et de test du projet, passage en micro-services, retour vers une architecture full web, …
Exploitabilité de l’application en lien avec les ops,
Une veille technique est attendue sur les évolutions des technologies mises en œuvre.
Animer et coordonner les activités de l’équipe MOE avec celles des autres équipes du projet (MOA, tests, ops, …)

Piloter la MOE du projet :
Reporting de l’activité et des avancements techniques et calendaires de la MOE vers la direction du projet,
Gestion prévisionnelle des charges, des recrutements et des plannings,
Validation des livrables.
Le candidat retenu devra se conformer aux exigences de la Politique de Sécurité du Système d’Information dont il sera un acteur majeur.
Profil recherché Connaissances générales en informatique : architecture des systèmes, bases de données, méthodologies de développement, devops, ...

Veille technologique active, mises en place de POC, …

Connaissances éprouvées des langages de programmation spécifiques (Java, Springboot, postgresSQL, …)

Connaissances éprouvées méthodologies de développement (méthode ""agile"", TDD, ...) et des méthodes orientées objet

Qualités requises

De formation supérieure en informatique, vous disposez d’une expérience significative en management de projet technique en environnement Java / Springboot.

Curieux de nature, vous pratiquez une veille technologique active (participation à des conférences, réalisation de POC, …) dans ces domaines et vous savez vous adapter rapidement sur des nouveaux environnements

Votre sens du service, votre autonomie, votre proactivité ainsi que vos qualités relationnelles seront des atouts importants pour ce poste.
Entreprise La CPAM de la Gironde (1300 salariés) est une entreprise privée qui assure une mission de service public. Elle est intégrée dans le réseau de l’Assurance Maladie qui emploie environ 80 000 salariés répartis sur près de 150 organismes. Dans le cadre de ses activités de prévention, la plupart des Caisses Primaires d’Assurance Maladie (CPAM) gèrent des centres d’examen de santé dont la mission principale est de proposer aux assurés, et notamment les plus précaires, des bilans de santé.

La Cnam a confié à la CPAM de Bordeaux (1300 personnes), le projet de refonte du logiciel de gestion de l’activité des CES. Dans le cadre de ce projet, elle recrute en CDI, un chef de projet MOE en environnement de développement JAVA / SPRINGBOOT au sein de la Direction des Systèmes d’Information."
4,https://www.indeed.fr/emplois?q=Devops&l=Bordeaux&radius=100&limit=100&sort=date&vjk=7d4c58844a5b1b0a,"HR Business Partner (H/F)
Ubisoft212 avis - Bordeaux (33)",['Bordeaux (33)'],HR Business Partner (H/F),Ubisoft,- Bordeaux (33),null,null,"il y a 3 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Devops,Bordeaux,"Job Description

Dans un univers challengeant et en évolution technologique permanente, le studio de Bordeaux poursuit sa croissance et crée un poste de HR Business Partner. Rattaché à la RRH du studio, vous serez moteur dans le développement du studio en accompagnant, au quotidien, les managers et les collaborateurs des familles de métiers dont vous aurez la charge. Plus largement sur le plan RH, vous serez en charge de définir et mettre en œuvre des programmes et politiques RH innovantes, notamment en matière de gestion de la performance et de développement des talents.
Vos missions s’articuleront autour des sujets suivants :
Accompagner les managers et les collaborateurs sur un périmètre de 100 collaborateurs en croissance forte :
Guider les managers dans la gestion de leurs équipes et des problématiques RH et organisationnelles (ex : s’assurer de la mise en place d’organisations efficientes et optimisées, accompagnement du changement, soutien dans la bonne application des différentes politiques RH…). Vous menez aux côtés des managers initiatives contribuant au développement et à la fidélisation des talents.
Accompagner les collaborateurs : Vous êtes l’interlocuteur RH privilégié des équipes pour les informer, les conseiller et les orienter. Vous êtes un relais indispensable de communication interne pour impliquer et fédérer les équipes. Votre proximité avec les équipes vous permet d’avoir en permanence une très bonne perception du climat RH de votre périmètre et d’être proactif pour proposer des plans d’action. Vous êtes le garant de la bonne coordination des sujets RH entre les managers/collaborateurs de votre périmètre et les autres pôles de l’équipe RH : Opérations & Analytics, Talent Acquisition, Learning & Development.
Gestion de la performance et montée en compétences des équipes
Agir en tant qu’ambassadeur de la mise en place du nouvel écosystème de gestion de la performance et de la culture du feedback continu :
Piloter et animer les campagnes d’évaluation et de détection des talents (people review, talent review)
Accompagner les managers et les collaborateurs dans l’appropriation de la philosophie et des outils
Coacher les managers dans la gestion quotidienne de leurs équipes : développement de la culture du feedback ; support pour la gestion de situations ; définition des objectifs de leurs équipes
Accompagner la montée en compétence du studio, en lien avec le L&D Specialist pour :
Créer des parcours de développement pour les expertises critiques et potentiels clés en s’appuyant sur une bonne compréhension des enjeux business d’Ubisoft, une excellente connaissance de nos métiers et une veille externe ;
Identifier les demandes d’évolutions individuelles et les attentes des équipes, grâce à un contact régulier avec les managers et les collaborateurs ;
Développer et inspirer la communauté des managers du studio
Gestion de projets RH
En parallèle de vos activités opérationnelles, vous participez activement au développement de nouveaux programmes et d’initiatives permettant à Ubisoft de rester une Great Place To Work, notamment en matière d’onboarding et de diversité.

Qualifications

De formation Bac+5 vous justifiez d'une expérience significative de minimum 6 à 8 ans dans les Ressources Humaines en tant que HR Generalist ou HR Business Partner.
Vous avez une expérience aguerrie en matière de coaching managérial, gestion du changement et transformation des organisations.
Vous êtes à l’aise avec la gestion d’un population technique (développeurs, experts cloud, architectes, devops). Une première expérience dans le milieu de la Tech est un atout.
Vous appréciez travailler dans un environnement qui évolue rapidement.
Vous êtes reconnu(e) pour votre leadership et votre rigueur.
Vous disposez d'un état d'esprit positif et d'un bon relationnel qui vous permettent de développer des relations de qualité avec vos interlocuteurs.
Vous disposez de bonnes capacités d’analyses et d’une force créative pour faire évoluer les pratiques RH.
Vous parlez anglais couramment
L'attrait pour les jeux vidéo est un atout.

Additional Information

Intégrer les studios France, c’est aussi :
Évoluer dans un groupe leader dans l’industrie du jeu vidéo en France et présent dans 30 pays différents, avec des opportunités d’évolution à l’international
Rejoindre des équipes passionnées et d’un excellent niveau technique, toutes animées par l’envie de concevoir et développer des jeux innovants et se démarquant par leur qualité
Collaborer avec des équipes reconnues pour leur expérience sur des franchises renommées
Développer une expertise en participant aux événements de partage organisés en interne (talks; conférences ; salons) et en bénéficiant de programmes de formation sur-mesure
En tant qu’employeur, Ubisoft offre à tous les mêmes opportunités d’accès à l’emploi sans distinction de genre, ethnicité, religion, orientation sexuelle, statut social, handicap et d’âge. Ubisoft veille à développer un environnement de travail inclusif qui reflète la diversité de sa communauté de joueurs dans ses équipes.
Toute information sera traitée de manière confidentielle conformément à la Loi sur l'équité en matière d'emploi."
5,https://www.indeed.fr/emplois?q=Devops&l=Bordeaux&radius=100&limit=100&sort=date&vjk=fbbd322219b0203e,"Stage : Ingénieur d'application H/F
CGI Group, Inc.2,506 avis - Bordeaux (33)","['Bordeaux (33)', 'Stage']",Stage : Ingénieur d'application H/F,"CGI Group, Inc.",- Bordeaux (33),Stage,null,"CGI - il y a 3 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Devops,Bordeaux,"Position Description:
En rejoignant CGI, vous serez au cœur de la transformation numérique des entreprises et de la société. Nos équipes à Bordeaux accompagnent leurs clients grands comptes et mid market dans la mise en œuvre de leurs projets stratégiques de la région sur l'ensemble des secteurs métiers (industrie, télécoms, énergie, retail, secteur public, banque, assurance…). Agissons pour notre monde numérique.

Le centre de compétences Telco/Java de CGI a pour mission de maintenir le SI Facturation des Opérateurs utilisant le réseau SFR. Composé de 10 ingénieurs, il répond aux enjeux de non-dégradation de la qualité et performance de l'application en Production par l'analyse et la correction d'incidents détectés, et de transformation dans un contexte de compétitivité accrue. A ce titre, l'équipe CGI intervient de bout en bout en intéraction permanente avec le client. Elle recueille le besoin des métiers, spécifie, développe sous Java/J2EE, valide la solution, et participe enfin à la mise en Production.

Your future duties and responsibilities:
Recueil du besoin métier par appropriation du Cahier des Charges
Rédaction des spécifications techniques et fonctionnelles
Développement et tests unitaires sous Java 8, PL/SQL, Shell et progiciel de facturation
Conception et exécution des cas de tests fonctionnels
Intégration continue (DEVOPS, Jenkins, MAVEN, Gitlab, tests automatisés)
Préparation des procédures de MEP
Required qualifications to be successful in this role:
Formation universitaire ou école d'ingénieurs (Bac +2 à 5).
Développement Java 8, SQL, Linux
Intégration continue
Adaptabilité, esprit d'équipe, écoute, dynamisme, capacité à prendre du recul
Skills:
Java
Linux
SQL
What you can expect from us:
Donnez un élan à votre carrière.

Le secteur des technologies de l'information (TI) connaît une période extraordinaire. La transformation numérique des organisations continue de s'accélérer, et CGI est au premier plan de ce changement. Nous accompagnons nos clients dans leur démarche numérique et offrons à nos professionnels des opportunités de carrière stimulantes.

La réussite de CGI repose sur le talent et l'engagement de nos professionnels. Ensemble, nous relevons les défis et partageons les bénéfices issus de la croissance de notre entreprise. Cette approche renforce notre culture d'actionnaire-propriétaire ainsi, tous nos professionnels bénéficient de la valeur que nous créons collectivement.

Joignez-vous à nous pour prendre part à la croissance de l'une des plus importantes entreprises indépendantes de services en technologies de l'information (TI) et en gestion des processus d'affaires au monde.

Pour en savoir davantage à propos de CGI : www.cgi.com.

Les candidatures non sollicitées provenant de cabinets de recrutement ne seront pas retenues.

CGI favorise l'équité en matière d'emploi."
6,https://www.indeed.fr/emplois?q=Devops&l=Bordeaux&radius=100&limit=100&sort=date&vjk=ab50db253c60ee91,"Développeur Front-end Angular H/F
AT Internet4 avis - Mérignac (33)",['Mérignac (33)'],Développeur Front-end Angular H/F,AT Internet,- Mérignac (33),null,null,"il y a 3 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Devops,Bordeaux,"Éditeur de logiciel Digital Analytics français et indépendant, AT Internet ne ressemble pas aux géants de notre industrie. Notre approche unique de l’Analytics, nos 200 collaborateurs et nos 20 années d’expérience nous ont portés jusqu’à atteindre l’excellence dans notre domaine. Nous revendiquons cette différence et sommes ravis d’avoir été nommés « Leader » du Web Analytics dans la dernière étude « The Forrester Wave™ : Web Analytics, Q4 2017 ».
Résolument tournés vers l’international, nous cultivons la confiance, le sens du client, l’innovation permanente, l’intelligence collective ainsi que l’enthousiasme au sein de nos équipes.
Vous avez du talent et vous êtes passionné(e) par le digital ? Vous souhaitez travailler sur des projets qui façonneront le numérique de demain ? Lancez-vous dans une aventure humaine et rejoignez une entreprise unique, indépendante, où il fait bon travailler!

Poste et missions :
Au sein de l’équipe Data Collection composée de développeurs confirmés travaillant sur des technologies innovantes, vous participerez à la création et à l’évolution d’outils de paramétrage et d’analyse de la collecte de données pour notre solution de Digital Intelligence. Dans ce contexte, votre mission consistera à :
Développer et maintenir les interfaces à disposition des clients ou à usage interne ;
Participer à l’optimisation des interfaces pour offrir une expérience utilisateur fluide ;
Préparer, réaliser et maintenir des tests unitaires et end to end ;
Participer aux objectifs devops de l’équipe (déploiement et intégration continue Git/Jenkins, monitoring, gestion de l’infrastructure cloud AWS…) ;
Participer à des projets R&D ;
Participer aux événements Agile et contribuer à l’amélioration continue au sein de l’équipe.
Vous serez intégré dans une équipe Scrum et amené à interagir avec les développeurs d’autres équipes.

Compétences :
– Connaissance de Angular 5+, Node.js et des standards web ; –
– Langages : JavaScript, TypeScript, HTML 5, CSS3 ;
– Une expérience sur technologies mobiles (iOS / Android) ou autres frameworks Front serait un plus ;
– Anglais technique.

Profil :
– Formation Bac+2 à Bac+5 en informatique ;
– Une expérience d’au moins 2 ans est souhaitée ;
– Polyvalence, curiosité et passion pour les technologies Web ;
– Appétence pour l’agilité, devops et intégration continue.

Les avantages :
Mutuelle prise en charge à plus de 70% par AT Internet
Prévoyance
RTT
Télétravail
Parcours d’intégration
Excellente politique de formation
Communication directe avec les décideurs et membres du comité de direction
Prime de vacances
Indemnité vélo
Tickets restaurants
Tickets cadeaux
Fruits frais à disposition
Évènements team building : déjeuners d’équipe, AT Summit, Ship-It day…
Comité d’entreprise : cinéma, loisirs, voyages
Équipes de sport AT Internet
Pack mobilité : recherche personnalisée de logements et aides dans les démarches administratives

Contrat : CDI à pourvoir immédiatement


Voir les offres"
7,https://www.indeed.fr/emplois?q=Devops&l=Bordeaux&radius=100&limit=100&sort=date&vjk=fb97332bea9bd75f,"Un consultant test fonctionnel sur Pessac / Freelance
Almatek - Pessac (33)","['Pessac (33)', 'Temps plein, Freelance / Indépendant']",Un consultant test fonctionnel sur Pessac / Freelance,Almatek,- Pessac (33),"Temps plein, Freelance / Indépendant",null,"Freelance-info - il y a 3 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Devops,Bordeaux,"Je recherche pour l’un de mes clients, grand compte, Un consultant test fonctionnel sur Pessac

Objectif du projet :
Participer aux vérifications fonctionnelles et à la stratégie de tests

Contrainte forte du projet
Expertise fonctionnelle facturation et expertise pilotage et automatisation des tests

Les livrables sont
Pilotage et mise en place de la campagne de test
Mise à jour de la documentation et référentiel test

Description détaillée :
L’application permet de gérer les mobiles entreprises ainsi que plusieurs opérateurs virtuels (MVNOs) depuis la prise de commande jusqu’à la facturation des clients en passant par le provisionning des lignes, la valorisation des appels et la facturation. Il s’agit par conséquent d’une application stratégique du SI, utilisée par des milliers de conseillers, générant plus de 2 milliards d’euros annuels et donc suivie à haut niveau comme un projet critique.

Le projet de modernisation de l’application s’inscrit dans un programme plus global de rénovation du SI Mobile Entreprise et constitue une première étape qui sera suivie d’une phase de rationalisation de l’application modernisée. Cette dernière vise notamment à extraire de l’application des fonctions, pouvant être portées par des applications de l’écosystème (fonctions de prise de commande, fonctions de SAV, fonctions de Livraison, fonctions Infocentre).

Dans ce contexte, la société doit se renforcer : le projet Qualification et assistance fonctionnelle consiste à assurer la conformité fonctionnelle des logiciels livrés et fournir une assistance fonctionnelle et technique sur le domaine applicatif.

Sous la responsabilité du Responsable du Pôle Intégration, assurer les tâches d’expertise fonctionnelle sur le domaine de l’application et son écosystème pour assurer la vérification fonctionnelle des logiciels livrés :
prendre en charge les vérifications fonctionnelles des logiciels livrés sur le domaine en apportant une assistance fonctionnelle et technique aux équipes contributrices, MOA, Métier ou exploitant lors des phases de tests : QPM, Paliers ou autres.
fournir une assistance fonctionnelle et technique sur le domaine applicatif.
Ces missions s’inscrivent dans le respect :
des normes, méthodes et procédures appliquées à l’application
des engagements de délais de production et de qualité pris avec la MOA, les équipes de développement et de recette.
Description détaillée des prestations

Vérification fonctionnelle (QUALIFICATION) :
Prendre connaissance des dossiers à traiter, participer aux présentations fonctionnelles.
Rédiger des plans de vérification de conformité fonctionnelle et identifier les données nécessaires à la réalisation de la recette.
Planifier les phases de test, piloter la préparation (réservation ou mise à jour des environnements de recette).
Réaliser ces phases de tests en collaboration avec les différents contributeurs.
Assister fonctionnellement les équipes contributrices à ces phases de vérification.
Assurer la remontée de l’avancement des phases de tests et les incidents constatés.
Rédiger les PV de tests et le bilan.
Accompagner la mise en production. Le cas échant, définir le chronogramme de mise en production afin de coordonner les différentes opérations de mise en production : installation logicielle, paramétrage technique et métier complémentaire, opération d’exploitation exceptionnelle.
Ces activités s’appuient sur l’outillage projet mis en place sur Dise : gestion des documents sous LIVEDOC, gestion des tests dans ALM/QC et bientôt Xray, base documentaire sous Jira/Confluence.

Une démarche d’automatisation des tests a été lancée ainsi que l’implémentation des outils DevOps. Une expérience similaire sur ce type de démarche sera un atout dans la consultation

Compétences techniques
Expertise qualification foncitonnelle - Junior - Impératif
Expertise recette fonctionnelle et tests - Junior - Impératif
Expérience automatisation de tests - Junior - Important

Démarrage : 01/11/2019
Durée : 31/12/2020"
8,https://www.indeed.fr/emplois?q=Devops&l=Bordeaux&radius=100&limit=100&sort=date&vjk=b31b1a864034dcc2,"H/F Ingénieur développement .Net - CDI
E4V - Ayguemorte-les-Graves (33)",['Ayguemorte-les-Graves (33)'],H/F Ingénieur développement .Net - CDI,E4V,- Ayguemorte-les-Graves (33),null,null,"il y a 3 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Devops,Bordeaux,"Intitulé du poste : H/F Ingénieur développement .Net
Type de contrat : CDI
Lieu : Ayguemorte les Graves (33)
Début : dès que possible
Rémunération : selon expérience
Entreprise : E4V
E4V « Energy for Vehicles » est une société française qui conçoit et produit des solutions batteries Lithium-ion. A ce titre, E4V est le partenaire des constructeurs automobiles et des industriels utilisant des solutions d’énergie autonomes.
Vous souhaitez vous investir dans une entreprise qui innove et qui a de l’ambition alors rejoignez-nous !
Vos missions sont les suivantes :
Au sein du centre de recherche et développement, vous êtes en charge de développer les applications clients ainsi que pour nos besoins internes :
Vous participez à la conception technique.
Vous assurez la traduction technique des spécifications fonctionnelles en fonction de l’architecture applicative.
Vous développez les nouvelles fonctionnalités.
Vous êtes sensible à l’amélioration de la qualité de code et à la performance.
Environnement de travail :
Développement : Azure DevOps, VS 2019, C#, Git.
Architectures applicatives : MVVM / MVC.
Approches : Intégration continue (CI) et livraison continue (CD).
Profil :
Formation ingénieur informatique.
Vous avez au minimum 5 ans d’expérience dans un environnement .NET.
Vous avez déjà travaillé dans l’environnement cloud Microsoft Azure (Comptes de stockage, Application Insights etc.).
Vous maitrisez les tests unitaires et autres bonnes pratiques de développement.
Autonome, rigoureux(se) et organisé(e).
L’expérience du domaine des batteries embarquées ou stationnaires serait un plus.
Pour postuler, envoyez votre candidature à rh@e4v.eu"
9,https://www.indeed.fr/emplois?q=Devops&l=Bordeaux&radius=100&limit=100&sort=date&vjk=9485587a85e50ef3,"Expert Technique IT H/F
CGI Group, Inc.2,506 avis - Bordeaux (33)",['Bordeaux (33)'],Expert Technique IT H/F,"CGI Group, Inc.",- Bordeaux (33),null,null,"CGI - il y a 3 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Devops,Bordeaux,"Position Description:
En rejoignant CGI, vous serez au cœur de la transformation numérique des entreprises et de la société. Nos équipes à Bordeaux accompagnent leurs clients grands comptes et mid market dans la mise en œuvre de leurs projets stratégiques de la région sur l'ensemble des secteurs métiers (industrie, télécoms, énergie, retail, secteur public, banque, assurance…). Agissons pour notre monde numérique.

Directement rattaché aux Responsables de service ou Chefs de projets et intégré au sein d'équipes de développement d'une quarantaine de collaborateurs au total (équipes de 8/10 personnes), vous intervenez dans le cadre de l'optimisation de chaines de liaison et/ou de traitement en tant de référent technique.

Your future duties and responsibilities:
Véritable acteur et moteur technique du projet, vous décidez des orientations techniques, validez les évolutions du framework et accompagnez les équipes dans la prise en compte des bonnes pratiques de développement. Vous spécifiez et mettez en œuvre des outils visant à l'amélioration continue de la qualité du Delivery. Animateur d'une communauté de TechLead, vous définissez les attendus des revues de codes et rapports techniques, et co-assurez ces revues dans les équipes de Delivery.

Vous l'avez compris, les tâches sont variées, non exhaustives, complémentaires et votre expertise d'utilisation des outillages de type PIC (jenkins pipeline, sonar, git, …) et d'automatisation de TU sont indispensables.

Vous possédez une expérience significative dans le domaine du développement et de l'accompagnement support de niveau 2-3. Vos compétences autour de DevOps, Java 8 et l'architecture Rest sont vos points forts.

Required qualifications to be successful in this role:
Votre sens de l'écoute, votre proactivité mais aussi votre sens du partage vous caractérisent ?

Vous aimez le travail d'équipe avec l'assurance d'intégrer une société qui allie notoriété et reconnaissance ?

Nous vous attendons ! postulez chez CGI !!

Comme tous les postes de l'entreprise, ce poste est ouvert aux personnes en situation de handicap.

Skills:
DevOps
Java
Jenkins
What you can expect from us:
Donnez un élan à votre carrière.

Le secteur des technologies de l'information (TI) connaît une période extraordinaire. La transformation numérique des organisations continue de s'accélérer, et CGI est au premier plan de ce changement. Nous accompagnons nos clients dans leur démarche numérique et offrons à nos professionnels des opportunités de carrière stimulantes.

La réussite de CGI repose sur le talent et l'engagement de nos professionnels. Ensemble, nous relevons les défis et partageons les bénéfices issus de la croissance de notre entreprise. Cette approche renforce notre culture d'actionnaire-propriétaire ainsi, tous nos professionnels bénéficient de la valeur que nous créons collectivement.

Joignez-vous à nous pour prendre part à la croissance de l'une des plus importantes entreprises indépendantes de services en technologies de l'information (TI) et en gestion des processus d'affaires au monde.

Pour en savoir davantage à propos de CGI : www.cgi.com.

Les candidatures non sollicitées provenant de cabinets de recrutement ne seront pas retenues.

CGI favorise l'équité en matière d'emploi."
