,id,meta1,meta2,titre_poste,entreprise,localisation,contrat,salaire,date_publication,keyword_metier,keyword_localisation,description
0,https://www.indeed.fr/emplois?q=Intelligence%20Artificielle&l=Bordeaux&radius=100&limit=100&sort=date&vjk=5056f20b05ce2291,"Ingénieur Informatique R&D Machine Learning expérimenté
weenove - Bordeaux (33)","['Bordeaux (33)', 'CDI']",Ingénieur Informatique R&D Machine Learning expérimenté,weenove,- Bordeaux (33),CDI,null,"il y a 1 jour
Signaler cette offre d'emploi",Intelligence Artificielle,Bordeaux,"Au sein de l’équipe de développement, vous participerez à l’étude et au développement de nouvelles fonctionnalités innovantes à forte valeur ajoutée pour notre logiciel Biwee :
Développement dans le domaine du machine learning
Utilisation ou construction d’algorithmes prédictifs et de corrélations automatiques de jeux de données
Veille sur les dernières technologies en IA et Machine learning
Profil
De formation Ingénieur Informatique ou universitaire, vous justifiez d'une expérience professionnelle de 5 ans minimum.

Savoir-faire nécessaires :
Connaissances avancées en Machine Learning
Maitrise du C#
Maitrise de Microsoft Azure serait un plus
Savoir-être souhaités :
Sens de l’organisation et de l’autonomie
Curieux et passionné par les technologies d’IA et de machine learning
Sens pédagogique
Capacité à travailler en équipe

Rémunération : Selon profil et expérience.

Mots clés associés : C#, Intelligence Artificielle, Big Data, Machine learning, IA, apprentissage machine, algorithme évolutionnaire, business intelligence"
1,https://www.indeed.fr/emplois?q=Intelligence%20Artificielle&l=Bordeaux&radius=100&limit=100&sort=date&vjk=9c8768c005df0707,"Stage - Implémentation et évaluation d'algorithmes ML / IA sur CPU/GPU
Thales Group1,225 avis - Bordeaux (33)","['Bordeaux (33)', 'Stage']",Stage - Implémentation et évaluation d'algorithmes ML / IA sur CPU/GPU,Thales Group,- Bordeaux (33),Stage,null,"Thales - il y a 5 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Intelligence Artificielle,Bordeaux,"QUI SOMMES-NOUS ?
L’activité avionique rassemble 10 000 collaborateurs qui œuvrent à fournir des équipements et des systèmes de pointe pour toute la chaîne de l’aéronautique civile et militaire.
Sur le Campus Thales Bordeaux, nous concevons, développons et livrons des systèmes, des équipements et des services pour assurer la réussite des missions aéroportées de nos clients, dans les domaines du transport, de la surveillance et du combat.
Le Centre de Compétence Plateforme recherche un/une stagiaire Ingénieur Développeur H/F
QUI ETES-VOUS ?
Vous êtes de niveau BAC+5 ?
Un Stage/projet significatif sur du traitement du signal voire machine learning est nécessaire ?
Les compétences primordiales pour effectuer ce stages sont :
Langages de programmation : C/C++/Python
OS : Linux
Algorithmie TS/TI, connaissances en réseaux de neurones
Utilisation des APIs OpenMP/CUDA/OpenCL
OS : Des connaissances en OS temps réel et développement de drivers
Utilisation d'Open CV ainsi que l’utilisation de Pytorch, Tensorflow, ou scikit-learn
Compétences en algorithmie de machine learning autre que les réseaux de neurones
C++11/14/17 seraient un plus ?
Vous avez un bon niveau d’anglais ?
Ce descriptif vous correspond , alors n’hésitez plus et rejoignez-nous !
CE QUE NOUS POUVONS ACCOMPLIR ENSEMBLE :
Les algorithmes d'IA/ML, et plus particulièrement de réseaux de neurones (CNN/DNN) peuvent améliorer les performances du traitement du signal des systèmes Radar : nouvelles fonctionnalités, calibration automatique, meilleures détections, etc.
Ces algorithmes exploitent l'architecture parallèle des CPU multicoeurs et des GPU.
Le centre de compétences plateforme souhaite évaluer les performances de ces algorithmes pour aborder au mieux leur embarquabilité dans des systèmes HPEC temps réel dur afin de proposer des solutions adaptées en termes de matériel et de logiciel.
En nous rejoignant, vous vous verrez confier les missions suivantes :
Etat de l'art des algorithmes IA/ML, ainsi que des API et bibliothèques associés.
portage du driver AMD ROCM sur carte d'évaluation NXP LX2160, ainsi que des bibliothèques armnn, MiOpen, et tvm
collaboration avec les équipes algorithmie pour la définition d'algorithmes ML/IA (Machine Learning/ Intelligence Artificielle)
Implémentation de ces algorithmes avec les API/bibliothèques retenus
Caractérisation des performances d'inférence de ces algorithmes sur GPU AMD et CPU LX2160: charge CPU/GPU, quantité mémoire, latence
Innovation, passion, ambition : rejoignez Thales et créez le monde de demain, dès aujourd’hui.
Innovation, passion, ambition : rejoignez Thales et créez le monde de demain, dès aujourd’hui."
2,https://www.indeed.fr/emplois?q=Intelligence%20Artificielle&l=Bordeaux&radius=100&limit=100&sort=date&vjk=e1e26cea06a0c803,"H/F Neuroscientifique expérimenté/e
LUCINE - Bordeaux (33)","['Bordeaux (33)', 'CDI', '30 000 € - 45 000 € par an']",H/F Neuroscientifique expérimenté/e,LUCINE,- Bordeaux (33),CDI,30 000 € - 45 000 € par an,"il y a 8 jours
Signaler cette offre d'emploi",Intelligence Artificielle,Bordeaux,"Qui sommes-nous ? Lucine est une startup pluridisciplinaire aux croisées du monde de la science et de l’innovation technologique.
Notre challenge ? Offrir de nouveaux horizons aux soignants et aux patients douloureux grâce aux thérapies du numérique. Nous transformons le secteur de la santé, en proposant un système combinant une intelligence artificielle pour analyser,diagnostiquer et soulager la douleur.
Missions
Au sein du pôle sciences composé d’une équipe pluridisciplinaire et sous la direction de notre directrice Sciences vous devrez :
Concevoir, planifier et mettre en place les études scientifiques en lien avec les besoins de l’entreprise (Etat de l’art, hypothèses, gestion du cadre clinique et analyse des résultats)
Rédiger les articles scientifiques ainsi que la documentation interne à l’entreprise
Analyser des hypothèses de stimulations non invasifs capables d’agir sur les mécanismes de la douleur
Proposer des expérimentations sur volontaires sains d’induction de douleur
Participer aux réunions d’équipes et à la bonne communication des données scientifiques
Vous pouvez également être amené(e) à participer à la formation interne des équipes suivant les domaines de compétences.
Profil recherché
Brillant chercheur en neurosciences fondamentales et cliniques, vous justifiez d’une expérience réussie sur la douleur et l’analgésie.
Vous maîtrisez l’utilisation et/ou la lecture de résultats issus de techniques non-invasives de mesures (VRC, EDA, pupillométrie, EEG, IRMf, TEP…)
Organisé(e) et méthodique vous savez également vulgariser votre discours
Vous maitrisez la recherche fondamentale et la recherche clinique
Vous savez analyser la recherche préclinique
Pour aller plus loin :
Vous possédez une expérience du modèle translationnel
Vous êtes à l’aise avec les essais de clinique de Phase trois (comparé au Placebo ou médicament de référence).
Vous maîtrisez les protocoles sur animaux
Informations supplémentaires
Rémunération : suivant profil
Poste en CDI à pourvoir dès que possible
Type d'emploi : CDI
Salaire : 30 000,00€ à 45 000,00€ /an
Expérience:
h/f neuroscientifique expérimentée) ou similaire: 5 ans (Souhaité)"
3,https://www.indeed.fr/emplois?q=Intelligence%20Artificielle&l=Bordeaux&radius=100&limit=100&sort=date&vjk=ffd625c21e55596d,"Chef de Projet I.A. Homme – Machine (F/H)
IRT Saint Exupéry - Bordeaux (33)","['Bordeaux (33)', 'CDI']",Chef de Projet I.A. Homme – Machine (F/H),IRT Saint Exupéry,- Bordeaux (33),CDI,null,"il y a 11 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Intelligence Artificielle,Bordeaux,"Département: Systèmes Intelligents et Communicants
N+1 : Responsable de pôle
Lieu : Bordeaux
L’Institut de Recherche Technologique Antoine de Saint Exupéry, vise à renforcer la compétitivité de la recherche et de l’industrie en Occitanie, Nouvelle Aquitaine et Provence-Alpes-Côte d’Azur dans les secteurs de l’aéronautique, du spatial, et des systèmes embarqués.
Financé à 50% par le secteur public et à 50% par le secteur privé, il réunit les grands industriels de la région des secteurs concernés, les établissements publics et leurs laboratoires pour travailler dans trois domaines technologiques stratégiques : matériaux multifonctionnels haute performance, aéronef plus électrique, systèmes embarqués.
Les avancées récentes des méthodes d’Intelligence Artificielle permette de produire des solutions matures pour la resolution de certains problèmes, mais leur intégration dans des systèmes complexes et/ou critiques nécessitera une interface avec l’humain. Le Projet PEPhITE, qui entre dans le cadre des activités du pôle Intelligent Systems & Applications, est un projet ayant pour objectif le développement d’une plateforme innovante d’évaluation de la collaboration homme – machine appliquée au domaine de la défense, dans un premier temps. Pour cela, des méthodes basées sur de l’intelligence artificielle et la cognition seront développées.
Nous recherchons donc, pour le site bordelais de l’IRT Saint Exupéry, notre futur(e) Chef de projet afin de piloter le montage d’une plateforme d’évaluation de la collaboration entre l’homme et la machine dans le domaine de la défense et en collaboration avec les acteurs locaux du domaine (Thales Avionics, Dassault Systems, ENSC).
Missions :
Nous recherchons un(e) chef de projet qui traitera en partie les aspects relationnels et contractuels mais surtout les aspects opérationnels de montage de la plateforme d’évaluation des interactions entre l’homme et la machine.
Pour cela le/la chef de projet s’appuiera sur les responsables de lot, les experts du domaine, les partenaires académiques mais il devra également identifier des technologies prometteuses pour les proposer au projet et aux membres.
Le/la chef de projet aura en charge l’orientation et le pilotage technique, la coordination des différents lots, il/elle sera garant(e) de l’excellence technique du projet, il/elle validera les livrables techniques (notes, revues, publications).
Il/elle devra également garantir la cohérence des activités techniques du projet avec la feuille de route du domaine, définir/participer aux conférences et congrès stratégiques, contribuer à la veille technologique (benchmarking, brevets,…) et contribuer aux collaborations techniques entre domaines IRT.
Gestion de projets : livrables, respect des engagements financiers, propriété intellectuelle, gestion des réunions de travail, engagement calendaire, reporting, communication, interactions avec autres projets du domaine, etc..
Gestion de la collaboration entre membres du projet : intégration des besoins des différents partenaires dans le but de répondre aux livrables du projet.
Gestion de la mise en place de la plateforme : en collaboration avec les différents acteurs, définir et mettre en place les éléments nécessaires à la bonne avancée de la plateforme collaborative.
Profil recherché :
Diplômé d’école d’ingénieur ou titulaire d’un Doctorat dans le domaine des sciences cognitives, de l’informatique ou de l’intelligence artificielle. Vous disposez d’une solide expérience dans le pilotage de projet en lien avec la recherche technologique sur les interactions homme machine, des technologies du digital, ou plus largement sur de l’IA.
Compétences et connaissances requises:
Connaissance des systèmes d’analyses mutli-paramètres
Architecture et développement logiciel (C++ de préférence)
Conduite de projets de R&D autour des technologies du digital
Supervision de la veille technologique et scientifique
Connaissance des éléments du domaine Intelligence Artificielle et des Sciences Cognitives
Aptitudes requises:
Capacité à gérer un projet de R&D
Capacité à piloté des équipes sur plusieurs sites
Ecoute (relation client) / relationnel
Capacité de synthèse
Leadership / négociation
Si cette offre vous intéresse, merci d’adresser votre dossier de candidature (LM+CV) à recrutement@irt-saintexupery.com sous la référence : 19DI-SIC-PEP-01"
4,https://www.indeed.fr/emplois?q=Intelligence%20Artificielle&l=Bordeaux&radius=100&limit=100&sort=date&vjk=99b234ac57590773,"Programmeur Gameplay
Asobo Studio - Bordeaux (33)","['Bordeaux (33)', 'CDD']",Programmeur Gameplay,Asobo Studio,- Bordeaux (33),CDD,null,"emploi.afjv.com - il y a 18 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Intelligence Artificielle,Bordeaux,"Position Duties
Au sein d'une équipe d'une quinzaine de programmeurs, vous développerez des contenus dédiés au jeu et pourrez intervenir dans la programmation des éléments suivants :
Déplacements d'éléments du jeu, de la physique des objets et calcul de trajectoires
Lecture et traitement des inputs
Caméra contextuellement aux interactions
Animations
Comportement d'IA de personnages ou d'éléments de jeu
Règles de jeux et systèmes de communication entre personnages / éléments de jeu
Programmation et/ou intégration de l'interface utilisateurs et menus.
Effets sonores et de particules.
Intégration de la couche réseau dans le jeu : missions, interactions, gestion des données réseaux
Partage sur les réseaux sociaux, leaderboards
Candidate Profile
Connaissance approfondie du C++
Expérience approfondie en dynamique dans le jeu vidéo.
Expérience des nouvelles méthodes de contrôle.
Expérience dans l'utilisation des moteurs de physique.
Expérience en path finding et en intelligence artificielle.
Expérience en développement de jeux multjoueurs
Expérience dans la programmation réseau (jeu vidéo de préférence)
Expérience dans l'analyse/ traitement d'image
Connaissance des outils de tuning sur console (PIX,GPAD).
Connaissance des SDK Xone et/ou PS4
Additional Information
Intégrer l'équipe, c'est aussi bénéficier de notre politique sociale.

Citons par exemple :
Notre Qualité de vie (Nouveaux locaux, espace cafeteria pour déjeuner, région Sud Ouest accueillante)
Nos Avantages au quotidien (Tickets restaurant, subvention transport en commun, service d'aide au logement...)
Nos Compléments de rémunération (Mutuelle prise en charge à 100%, chèques cadeaux pour Noël, chèques vacances, CESU, prime annuelle, participation aux bénéfices...)"
5,https://www.indeed.fr/emplois?q=Intelligence%20Artificielle&l=Bordeaux&radius=100&limit=100&sort=date&vjk=907690dd555aafba,"Stage Caractérisation des propriétés spatio-temporelles du fouillis de mer (H/F)
Thales Group1,225 avis - Bordeaux (33)","['Bordeaux (33)', 'Stage']",Stage Caractérisation des propriétés spatio-temporelles du fouillis de mer (H/F),Thales Group,- Bordeaux (33),Stage,null,"Thales - il y a 19 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Intelligence Artificielle,Bordeaux,"QUI SOMMES-NOUS ?
L’activité Systèmes de missions de défense fournit des équipements, des solutions et des services liés aux systèmes de combat électroniques, de surveillance et de reconnaissance, de combat naval, de surface et de lutte sous la mer.
Sur le Campus Thales Bordeaux, nous concevons, développons et livrons des systèmes, des équipements et des services pour assurer la réussite des missions aéroportées de nos clients, dans les domaines du transport, de la surveillance et du combat.
QUI ÊTES-VOUS?
Vous vous préparez à devenir Ingénieur en Électronique ou Informatique ?
La rigueur, le gout du travail accompli, un bon relationnel sont des qualités qui vous caractérisent ?
Vous êtes familier du logiciel Matlab?
Vos compétences en traitement du signal et algorithmie sont des compétences indispensables ?
Vous êtes autonome et Force de propositions
Cette description vous ressemble alors venez nous rejoindre.
QUE POUVONS-NOUS FAIRE ENSEMBLE?
Au sein de la Direction Technique vous intègrerez le service d’étude amont d’algorithmes radar.
Le stage proposé s'inscrit dans les activités du service algorithmes et traitements de la direction technique de Thales DMS. Ce service, localisé sur le campus de Thales Mérignac, est formé d'une équipe d'une dizaine de personnes travaillant principalement dans le domaine des radars de surveillance maritime.
Un de nos objectifs est d'ouvrir de nouvelles voies technologiques (intelligence artificielle, nouvelles approches algorithmiques, nouveaux capteurs...) au profit de ce domaine. Le stage proposé vise à poser certaines bases pour le futur développement de traitements exploitant les potentialités des antennes actives à balayage électronique.
La détection radar dans un environnement maritime est rendue difficile par la nature très fluctuante du fouillis de mer qui génère de nombreux parasites potentiels. Pour améliorer les performances il est nécessaire de prendre en compte un maximum de connaissances sur la structure de ce fouillis. Grâce aux nouvelles antennes à balayage électronique il va être possible d’exploiter les propriétés spatio-temporelles du fouillis de mer. Afin de préparer cette nouvelle génération de traitements, le stage vise à bien caractériser les propriétés spatio-temporelles du fouillis à partir de données réelles et à évaluer au premier ordre les performances de détection atteignables par des méthodes spatio-temporelles.
Les activités associées sont :
Etat de l’art sur les propriétés du fouillis de mer, et sur les méthodes de détection spatio-temporelles.
Analyse de données réelles. Définition des métriques d’analyses et applications à des données acquises dans différents contextes.
Analyse de l’impact de la structure du fouillis sur les performances de différents types de traitements.
Evaluation de la performance atteignable pour un traitement adapté.
Innovation, passion, ambition : rejoignez Thales et créez le monde de demain, dès aujourd’hui."
6,https://www.indeed.fr/emplois?q=Intelligence%20Artificielle&l=Bordeaux&radius=100&limit=100&sort=date&vjk=149d8221f6b92b56,"Lead développeur back end H/F
LUCINE - Bordeaux (33)","['Bordeaux (33)', 'CDI', '30 000 € - 45 000 € par an']",Lead développeur back end H/F,LUCINE,- Bordeaux (33),CDI,30 000 € - 45 000 € par an,"il y a 15 jours
Signaler cette offre d'emploi",Intelligence Artificielle,Bordeaux,"Qui sommes-nous ? Lucine est une startup pluridisciplinaire aux croisées du monde de la science et de l’innovation technologique.
Notre challenge ? Offrir de nouveaux horizons aux soignants et aux patients douloureux grâce aux thérapies du numérique. Nous transformons le secteur de la santé, en proposant un système combinant une intelligence artificielle pour analyser et diagnostiquer la douleur et les réalités alternatives pour la soulager.
Quelles seront vos missions ?
Accompagné·e du responsable technique et en collaboration avec l’équipe vous serez amené·e à travailler sur :
Une API REST en C# (.Net core) au service d’un grand nombre de produits.
La mise en place d’un état d’esprit et d’outils orientés DevOps.
La communication entre de multiples services ayant des finalités différentes.
L’accompagnement des développeurs juniors.
La réflexion sur l’architecture du système dans son ensemble.
Pratiques internes : Agile (Scrum, Kanban), Game design, TDD, Layered Architecture, Git.
Quelles compétences recherchons-nous ?
Vous disposez d’un minimum de 3 années d’expériences sur :
Maîtrise d’au moins un langage orienté objet (C# serait un plus).
Expérience avec un framework d’API (ASP.Net Core Web API serait un plus).
Connaissance des bases de données NoSQL orientées documents (MongoDb serait un plus).
Maîtrise de Git ou d’un autre système de Source Control.
Avec quels profils aimons-nous travailler ?
Facultés d’analyse, de conception et de modélisation.
Leadership, travail en équipe, créativité, ouverture d’esprit, rigueur et ingéniosité.
Être à l’affût des technologies émergentes.
Goût de l’aventure, du risque et avoir le désir de sortir des sentiers battus.
Sensible aux valeurs de l’agilité : code review, pair programming, intégration continue.
Vous souhaitez vous investir au sein d’une entreprise qui rend le monde meilleur et relever de nouveaux challenges techniques ? Ce poste est fait pour vous !
Informations supplémentaires
Rémunération : suivant profil
Poste en CDI à pourvoir dès que possible
Localisation : Bordeaux
Type d'emploi : CDI
Salaire : 30 000,00€ à 45 000,00€ /an
Expérience:
lead développeur back end h/f ou similaire: 3 ans (Souhaité)"
7,https://www.indeed.fr/emplois?q=Intelligence%20Artificielle&l=Bordeaux&radius=100&limit=100&sort=date&vjk=d2b9c5f7f760edfe,"Directeur de Projet IT Senior F/H
ARKEUP3 avis - La Réunion (47)","['La Réunion (47)', 'Temps plein, CDI']",Directeur de Projet IT Senior F/H,ARKEUP,- La Réunion (47),"Temps plein, CDI",null,"il y a 16 jours
Signaler cette offre d'emploi",Intelligence Artificielle,Bordeaux,"Arkeup ouvre un nouveau centre de Direction Opérationnelle à la Réunion !
Plusieurs opportunités s'ouvrent maintenant aux locaux chez ARKEUP REUNION, des postes avec des responsabilités larges et des perspectives d'évolutions intéressantes !
Arkeup c'est ...
Plus de 500 ingénieurs passionnés basés à Paris, Madagascar et récemment à la Réunion
Plus de 50 technologies maîtrisées pour répondre efficacement aux besoins spécifiques de nos clients
Plus de 500 projets réalisés depuis notre création : Web, Mobile, Objets Connectés (IoT), Machine Learning, Big Data, intelligence artificielle, etc.
Quand on parle d'Arkeup, on traduit Innovation !
Vos missions :
Assurer le delivery des projets et développements pour les clients d’ARKEUP REUNION, ainsi que pour d’autres clients hors zone. Il garantira l’atteinte des engagements de délai et de qualité
Encadrer les équipes locales et de piloter les équipes délocalisées à Madagascar ou Paris
Participer aux activités d’avant-vente avec le directeur commercial d’ARKEUP REUNION
Gérer la relation technico-commerciale avec les clients d’ARKEUP REUNION
Participer au recrutement des collaborateurs
Assurer la montée en compétences des collaborateurs d’ARKEUP REUNION
Réaliser un compte rendu régulier de son activité à son responsable
Contribuer à la définition de la stratégie de développement d’ARKEUP REUNION
Profil :
De formation Bac +5 en Ingénierie et de Système d'Information, vous disposez d'une expérience confirmée (10 ans d'exp) dans un poste équivalent dans le secteur du numérique, acquise à la fois au sein d’une ESN et d’un client final.
Compétences:
Maitrise large des principaux outils de développements du marché
Maitrise complète des méthodologies de projet / Développement agile / Maintenance applicative
Expérience dans la transformation numérique
Connaissance ODOO appréciée
Capacité et envie d’acquérir de nouvelles compétences
Compétences complémentaires :
Efficace, Autonome et pro actif
Organisé et rigoureux
Curieux et intéressé par la relation client
Ayant le sens du service client
Capacité à travailler en équipe, bon relationnel
Bonne maitrise du français, en particulier à l’écrit
Connaissance appréciée de l'anglais
Vous êtes motivé(e) pour avoir plus d’informations ? Alors CONTACTEZ-NOUS !!
Vous êtes déjà ultra motivé(e), envoyez-nous votre CV !
Arkeup est située en plein centre de Paris. Pour en savoir plus sur Arkeup www.arkeup.com
Type d'emploi : Temps plein, CDI
Salaire : 60,00€ à 80,00€ /mois
Expérience:
Chef de Projets Informatiques: 10 ans (Souhaité)
Langue:
créole (Requis)"
8,https://www.indeed.fr/emplois?q=Intelligence%20Artificielle&l=Bordeaux&radius=100&limit=100&sort=date&vjk=6d09f67fd5931cf6,"H/F Devops/ Futur DSI
LUCINE - Bordeaux (33)","['Bordeaux (33)', 'CDI', '30 000 € - 48 000 € par an']",H/F Devops/ Futur DSI,LUCINE,- Bordeaux (33),CDI,30 000 € - 48 000 € par an,"il y a 26 jours
Signaler cette offre d'emploi",Intelligence Artificielle,Bordeaux,"Qui sommes-nous ? Lucine est une startup pluridisciplinaire aux croisées du monde des thérapies numériques et de la science.
Notre challenge ? Offrir de nouveaux horizons aux soignants et aux patients douloureux grâce aux thérapies du numérique. Nous transformons le secteur de la santé, en proposant un système combinant une intelligence artificielle pour analyser et diagnostiquer la douleur et les réalités alternatives pour la soulager.
Missions
En tant que seul représentant de notre DSI vous assurez un rôle clef à la fois stratégique et opérationnel. Dans ce contexte, vous devrez :
Être l’acteur du changement en implémentant une démarche Devops
Maintenir, optimiser et faire évoluer l’intégralité de notre réseau interne (infrastructure réseau et exploitation système) mais également nos applications hébergées
Elaborer la stratégie et la politique informatique de notre société en lien avec nos différents corps de métiers
Faire évoluer cette stratégie pour accompagner notre croissance
Assurer la continuité des services offerts par l'entreprise et leur monitoring automatisé.
Assurer une veille technologique sur les innovations et les évolutions de notre secteur d’activité afin d’éclairer les décisions stratégiques de notre direction en matière de système d’information
Assurer le lien avec nos prestataires externes
Gérer notre parc informatique et mobile (téléphonie, achat, licences…)
Profil recherché
Brillant profil, vous justifiez d’au moins 5 ans sur un poste de DevOps ou d'administrateur réseaux. Vos différentes expériences vous ont néanmoins permis d’acquérir une vision globale du fonctionnement d’une DSI.
Rigoureux et autonome, vous ne vous contentez pas de l’existant.
Vous promouvez la philosophie DevOps et maîtrisez certains outils nécessaires à sa mise en œuvre.
Vous avez une expérience réussie dans l’assistance utilisateur
Vous maîtrisez VMWare/ESXI
Vous souhaitez vous investir au sein d’une entreprise qui rend le monde meilleur et relever de nouveaux challenges techniques ? Ce poste est fait pour vous !
Informations supplémentaires
Rémunération : suivant profil
Poste en CDI à pourvoir dès que possible sur Bordeaux
Type d'emploi : CDI
Salaire : 30 000,00€ à 48 000,00€ /an
Expérience:
administrateur réseaux ou Devops: 5 ans (Souhaité)"
9,https://www.indeed.fr/emplois?q=Intelligence%20Artificielle&l=Bordeaux&radius=100&limit=100&sort=date&vjk=1a0b89f92056a79b,"Ingénieur développement logiciel (H/F)
Thales Group1,225 avis - Bordeaux (33)",['Bordeaux (33)'],Ingénieur développement logiciel (H/F),Thales Group,- Bordeaux (33),null,null,"Thales - il y a 30+ jours
- Continuer pour postuler
Signaler cette offre d'emploi",Intelligence Artificielle,Bordeaux,"QUI SOMMES-NOUS ?
L’activité avionique rassemble 10 000 collaborateurs qui œuvrent à fournir des équipements et des systèmes de pointe pour toute la chaîne de l’aéronautique civile et militaire.
Sur le Campus Thales Bordeaux, nous concevons, développons et livrons des systèmes, des équipements et des services pour assurer la réussite des missions aéroportées de nos clients, dans les domaines du transport, de la surveillance et du combat.
Le centre de compétence Digitalisation et Missions recherche un/une Ingénieur(e) Développement logiciel embarqué (H/F), en CDI à Bordeaux.
QUI ETES-VOUS ?
Vous justifiez d’une première expérience significative en développement de logiciel temps réel ?
Vous possédez de très bonnes connaissances sur les environnements de développement logiciel (DOORS, Clearcase, JIRA,…..) et les nouvelles technologies (wiki, salle de réunion virtuelle…) ?
Rigueur, Polyvalence, Adaptabilité et Spontanéité sont des atouts que l’on vous reconnaît ?
Dôté(e) d’un excellent relationnel, vous êtes flexible et avez une capacité d’écoute ?
Vous pratiquez l’anglais couramment ?
Vous maîtrisez l’anglais et l’espagnol à l’oral et à l’écrit ?
Des connaissances en cyber-sécurité et intelligence artificielle dans les systèmes embarqués seront un plus apprécié.
CE QUE NOUS POUVONS ACCOMPLIR ENSEMBLE :
Envie d’apporter votre contribution à une équipe d’ingénieurs aéronautiques passionnés, envie de les aider à relever des challenges techniques et de provoquer une saine émulation dans leur quotidien, nous vous attendons !
Nous recrutons un(une) ingénieur(e) développement logiciel embarqué sur aéronef de combat pour renforcer son équipe de support client sur la base d'essais d'Istres.
Vous avez des expériences réussies dans le domaine des développements dans les mondes Unix et Windows et à ce titre, vous connaissez/maîtrisez les incontournables du métier (spécifications, langage C++, Java, Python, Shell, gestion de configuration, … ) mais pas seulement …
Vous êtes un contributeur actif aux valeurs humaines ancrées dans l'ADN de l'entreprise dans un souci de qualité de vie au travail et de cohésion (convivialité et communication d’équipe, respect des femmes et des hommes et de l’environnement, équilibre vie professionnelle/vie privée, collaboration…).
Nous attachons également beaucoup d'importance aux compétences et à la passion du métier. Votre goût du travail en équipe, votre curiosité et votre adaptabilité sont autant de qualités que nous valorisons au quotidien.
Vous ne maîtrisez pas complètement le domaine aéronautique mais ne vous inquiétez pas vous avez toute votre place au sein des équipes pour apporter votre rigueur et votre sens de l’organisation et nous saurons vous accueillir dans une équipe intégrée multidisciplinaire.
Ainsi, dans un contexte de développement de nouveaux standards avions, vous contribuez activement, sur des fonctions critiques de la mission avion, à l’analyse des évolutions ainsi qu'à leurs implémentations logicielles sur des plateformes existantes. Vous assurez également les activités d'architecture et de développement des logiciels embarqués. Vous serez aussi un maillon essentiel dans la réussite de nos projet, dans la transformation de nos pratiques et de nos modes de fonctionnement.
Besoin de le voir pour le croire ? Osez
Innovation, passion, ambition : rejoignez Thales et créez le monde de demain, dès aujourd’hui."
