,id,meta1,meta2,titre_poste,entreprise,localisation,contrat,salaire,date_publication,keyword_metier,keyword_localisation,description
0,https://www.indeed.fr/emplois?q=Performance%20Analyst&l=Bordeaux&radius=100&limit=100&sort=date&vjk=c1d25b55b61b4a95,"Data Analyst Senior F/H
WEBENGINEERING - Bordeaux (33)","['Bordeaux (33)', 'CDI']",Data Analyst Senior F/H,WEBENGINEERING,- Bordeaux (33),CDI,null,"Apec.fr - il y a 19 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Performance Analyst,Bordeaux,"Strateos recrute pour son client dans le secteur bancaire un Data Analyst senior

Les missions :
 Identifier, extraire et analyser les données (internes et externes) dans le but d’effectuer des analyses métiers et apporter des recommandations

 Mettre à disposition du management les tableaux de bord et les indicateurs clés de performance financière et risque

 Proposer des axes d'évolution, d’automatisation et d’optimisation de flux de données, de rapports ou de KPIs

 Réaliser des analyses statistiques et les restituer dans le cadre d’études ponctuelles

 Effectuer de l’exploration de données, afin de proposer de nouveaux axes d’analyse

 Collaborer étroitement avec les équipes Contrôle de Gestion et Risque sur les différentes missions proposées

Profil :
De formation supérieure (Bac+4/5) en Statistiques ou MIAGE, vous maîtriser parfaitement un outil de Data Visualisation (ex : Power BI, Tableau, BIME…), et un outil Analytique (ex : Dataiku, RStudio, Alteryx…). La connaissance d’un EPM du marché (ex : Tagetik, Jedox…) serait un plus.

Vous êtes reconnu(e) pour votre rigueur, votre précision ainsi que pour vos capacités d'analyse et de synthèse. Vous avez également de très bonnes qualités rédactionnelles et une réelle autonomie.

Profil recherché Profil :
De formation supérieure (Bac+4/5) en Statistiques ou MIAGE, vous maîtriser parfaitement un outil de Data Visualisation (ex : Power BI, Tableau, BIME…), et un outil Analytique (ex : Dataiku, RStudio, Alteryx…). La connaissance d’un EPM du marché (ex : Tagetik, Jedox…) serait un plus.

Vous êtes reconnu(e) pour votre rigueur, votre précision ainsi que pour vos capacités d'analyse et de synthèse. Vous avez également de très bonnes qualités rédactionnelles et une réelle autonomie.
Entreprise Strateos est une société innovante spécialisée dans le recrutement d’ingénieurs qui accompagne aujourd’hui plus de 500 entreprises dans leurs recrutements dans les domaines de l’Automobile, Ferroviaire, Aéronautique, Infrastructure, BTP, Energie, Télécoms,..

Grâce à ses solutions digitales et à ses technologies d’intelligence artificielle, Strateos est en mesure d’accompagner de manière très précise ses candidats dans leur recherche d’emploi."
1,https://www.indeed.fr/emplois?q=Performance%20Analyst&l=Bordeaux&radius=100&limit=100&sort=date&vjk=e47062bf05822c68,"Responsable opérationnel - Economiste de la construction F/H
Ademeure SAS - Langon (33)","['Langon (33)', 'CDI']",Responsable opérationnel - Economiste de la construction F/H,Ademeure SAS,- Langon (33),CDI,null,"Apec.fr - il y a 19 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Performance Analyst,Bordeaux,"Dans le cadre de son développement Ademeure recrute son économiste de la construction.

Véritable Chef d’orchestre dans l’entreprise, l’économiste de la construction estime l'ensemble des coûts d'un ouvrage ou d'un projet. Il établit et optimise le budget. Il suit économiquement et dans les opérations l'avancement des projets.

Les missions de l'économiste sont les suivantes :
Etudier la faisabilité économique du projet,

élaborer et valider le dossier de consultation des sous-traitants,

réaliser les métrés et décider en conséquences,

comparer et sélectionner les offres des entreprises,

suivre le programme en phase de réalisation et estimer les incidences financières,

programmer les réunions de chantier,

valider la fin de chantier et réaliser les décomptes définitifs.
Profil recherché Vous êtes un opérationnel du bâtiment et vous avec de l'expérience dans la réalisation de chantiers, notamment envers une cible de particuliers.

Vous êtes donc :
un bon analyste pour prendre les meilleures décisions en matière d'économie et de performance dans la réalisation du chantier

Un bon communiquant pour savoir choisir et gérer des intervenants indépendant en vue de la réalisation d'un chantier.

Un bon gestionnaire pour obtenir la meilleure rentabilité

Vous êtes très dynamique car l'entreprise connait un fort développement qui impose une certaine agilité et une vraie capacité à s'adapter.

Nous aimons les nouvelles idées, donc nous sommes sensibles au fait que vous sachiez être autonome.
Entreprise Ademeure est une société de construction de maisons individuelles en ossature bois.

Nos clients sont des particuliers et des entreprises. La société connait un très fort développement et doit continuer à se structurer pour répondre à la demande.

La culture d'entreprise d’Ademeure est très humaine et repose sur le plaisir au travail. Nous sommes sensibles aux valeur d'éthique que sont l'écologie et le développement durable, ainsi que la production locale reposant sur des matériaux et de la main d'oeuvre française.

N'hésitez pas à nous parler de vous."
2,https://www.indeed.fr/emplois?q=Performance%20Analyst&l=Bordeaux&radius=100&limit=100&sort=date&vjk=d0f195de48888f4d,"Traffic Manager F/H
KEDGE BUSINESS SCHOOL22 avis - Talence (33)
A répondu à 51 %-74 % des candidatures des 30 derniers jours, généralement en 11 jours.","['Talence (33)', 'Temps plein, CDD']",Traffic Manager F/H,KEDGE BUSINESS SCHOOL,- Talence (33),"Temps plein, CDD",null,"il y a 4 jours
Signaler cette offre d'emploi",Performance Analyst,Bordeaux,"KEDGE Business School est une Ecole de management française de référence présente sur 4 campus en France (Paris, Bordeaux, Marseille et Toulon), 3 à l’international (2 en Chine à Shanghai et Suzhou, et 1 en Afrique à Dakar) et 3 campus associés (Avignon, Bastia et Bayonne).
La communauté KEDGE se compose de 12 580 étudiants (dont 25% d’étudiants étrangers), 183 professeurs permanents (dont 44% d’internationaux), 275 partenaires académiques internationaux et 60 000 diplômés à travers le monde.
KEDGE propose une offre de 36 formations en management et en design pour étudiants et professionnels, et déploie des formations sur-mesure pour les entreprises au niveau national et international.
Membre de la Conférence des Grandes Ecoles et accréditée AACSB, EQUIS et AMBA, KEDGE Business School est une institution reconnue par l’Etat français, avec des programmes visés, et labellisée EESPIG. KEDGE est classée par le Financial Times 35ème meilleure Business School en Europe et 36ème mondiale pour son Executive MBA.
KEDGE BS a construit son positionnement et ses valeurs autour de son engagement RSE. Parmi nos engagements, nous sommes convaincus que la diversité du potentiel humain au sein de l’entreprise représente une réelle richesse, une source de performance, et un atout majeur en termes de créativité et d’innovation notamment.
En tant que Traffic manager, vous participez au développement de la notoriété et de l’activité commerciale du groupe KEDGE en France et à l’international (formations étudiantes et professionnelles) en soutenant l'acquisition de trafic et la génération de leads qualifiés pour les formations initiales et Executive Education. Vous intégrez la Direction Marketing & Communication et serez entouré.e de profils digitaux intervenant sur le social media, le marketing direct, le CRM, les plateformes digitales, le content marketing…
Vous savez travailler en mode projet pour mener à bien vos missions en collaboration avec des partenaires externes ainsi que les équipes métiers internes : marketing, commercial, programmes. Vous avez une sensibilité commerciale et une approche ROIste de votre métier.
Vos missions seront les suivantes :
Participer à la construction de la stratégie digitale en fonction des objectifs commerciaux et de notoriété à atteindre en collaboration avec les membres de l’équipe marketing : répartition budgétaire par canaux, par formation, par zones géographiques, etc.
Mise en œuvre des campagnes digitales en collaboration avec les agences webmarketing et développement de KEDGE :
Campagnes SEA + display
SEO technique : suivi de la road map technique
SEO Content : accompagnement des équipes Content Marketing dans l’application des bonnes pratiques éditoriales et dans la gestion des projets de création de contenus.
Analyser la performance des campagnes en collaboration avec l’agence et notre business analyst en suivant les principaux KPI liés à l’acquisition de traffic et de leads.
Piloter le budget paid media des canaux en gestion en partenariat avec l’agence webmarketing.
Profil et compétences recherchés :
Formation Bac +4/5 : Digital Marketing
Expérience professionnelle similaire 3 à 5 ans en agence / chez l’annonceur / freelance
Anglais courant
Maitrise de la Suite Google / Suite Adobe / Suite Office avec un niveau avancé d’Excel
Approche analytique du métier : bonne capacité d’analyse, maîtrise de la gestion de données.
Connaissances des principales plateformes de gestion de campagnes media.
Rigueur
Curiosité et réactivité
Créativité
Poste : CDD
Statut : Cadre
Prise de poste : ASAP - 07/2020
Type d'emploi : Temps plein, CDD"
3,https://www.indeed.fr/emplois?q=Performance%20Analyst&l=Bordeaux&radius=100&limit=100&sort=date&vjk=35f796c09d018b13,"Responsable opérationnel - Maître d'oeuvre
Ademeure SAS - Langon (33)","['Langon (33)', 'CDI', '3 500 € par mois']",Responsable opérationnel - Maître d'oeuvre,Ademeure SAS,- Langon (33),CDI,3 500 € par mois,"il y a 4 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Performance Analyst,Bordeaux,"Ademeure est une société de construction de maisons individuelles en ossature bois.

Nos clients sont des particuliers et des entreprises. La société connait un très fort développement et doit continuer à se structurer pour répondre à la demande.

La culture d'entreprise d’Ademeure est très humaine et repose sur le plaisir au travail. Nous sommes sensibles aux valeur d'éthique que sont l'écologie et le développement durable, ainsi que la production locale reposant sur des matériaux et de la main d'oeuvre française.

N'hésitez pas à nous parler de vous.
Description du poste
Dans le cadre de son développement Ademeure recrute son économiste de la construction.
Salaire : 3.500€ bruts mensuels
Basé à LANGON (33)

Véritable Chef d’orchestre dans l’entreprise, l’économiste de la construction estime l'ensemble des coûts d'un ouvrage ou d'un projet. Il établit et optimise le budget. Il suit économiquement et dans les opérations l'avancement des projets.

Les missions de l'économiste sont les suivantes :

Etudier la faisabilité économique du projet,
élaborer et valider le dossier de consultation des sous-traitants,
réaliser les métrés et décider en conséquences,
comparer et sélectionner les offres des entreprises,
suivre le programme en phase de réalisation et estimer les incidences financières,
programmer les réunions de chantier,
valider la fin de chantier et réaliser les décomptes définitifs.
Profil recherché
Vous êtes un opérationnel du bâtiment et vous avec de l'expérience dans la réalisation de chantiers, notamment envers une cible de particuliers.
Vous êtes donc :
un bon analyste pour prendre les meilleures décisions en matière d'économie et de performance dans la réalisation du chantier
Un bon communiquant pour savoir choisir et gérer des intervenants indépendant en vue de la réalisation d'un chantier.
Un bon gestionnaire pour obtenir la meilleure rentabilité
Vous êtes très dynamique car l'entreprise connait un fort développement qui impose une certaine agilité et une vraie capacité à s'adapter.
Nous aimons les nouvelles idées, donc nous sommes sensibles au fait que vous sachiez être autonome."
4,https://www.indeed.fr/emplois?q=Performance%20Analyst&l=Bordeaux&radius=100&limit=100&sort=date&vjk=92dafdeb4e1be5db,"Data Analyst (H/F)
ACTIVUS Group - Bordeaux (33)","['Bordeaux (33)', 'Temps plein, CDI']",Data Analyst (H/F),ACTIVUS Group,- Bordeaux (33),"Temps plein, CDI",null,"il y a 11 jours
Signaler cette offre d'emploi",Performance Analyst,Bordeaux,"Pour renforcer notre pôle Big Data, nous recrutons des Data Analysts (H/F).
En fonction de votre profil et de vos souhaits professionnels, vous intervenez chez un de nos clients pour lui apporter votre expertise et votre savoir-faire technologique.
Vos principales missions, si vous les acceptez :
Mener des analyses « Data Science » (R, SAS, Python, D3.js)
Réaliser des pré-analyses constitutives de l'intelligence métier
Mise à disposition de dashboards pour le suivi de KPIs
Design et pilotage de campagnes d’AB Testing & Scorecards
Maintenir, améliorer et concevoir des algorithmes d’extraction d’information provenant de données de différents formats
Mettre en place des protocoles expérimentaux pour démontrer les performances des algorithmes testés
Concevoir et déployer des modèles prédictifs pour piloter les activités marketing et business
Vous assurerez une veille permanente sur de nouvelles méthodologies, librairies, algorithmes et technologies permettant de faire évoluer nos solutions.
Vous êtes apte à intervenir dans un environnement challengeant et dynamique, immergé au sein d’équipes pluridisciplinaires (Data Science, Marketing, Big Data, Finances, Opérationnel …) auxquelles vous souhaitez faire bénéficier de votre expérience technique et fonctionnelle.
Vous effectuez une veille régulière sur les dernières technologies gravitant autour de la data (Dataiku, Spark, Power BI, QlikSense, D3.JS, Highchart.js, plot.ly, Watson, Cortana Intelligence Suite…), et vous êtes force de proposition dans l’évolution des systèmes existants.
Notre Agilité associée à la diversité de nos clients grands-comptes dans les secteurs santé, transport, grande distribution, Télécoms, banque et assurance, offrent aujourd’hui à nos équipes de nombreuses perspectives d’évolution.
PROFIL
Ingénieur grandes écoles ou autodidacte geek, vous justifiez d'un Bac+5 et au minimum de 2 années d’expérience dans une fonction de Data Analyst, Data Miner, Data Scientist ou Business Analyst.
Passionné par l’informatique et les nouvelles technologies, vous souhaitez retrouver une ambiance dynamique et exigeante qui saura accompagner votre évolution. Vous êtes curieux, motivé et avez le sens du travail en équipe.
Notre dynamisme et les projets innovants sur lesquels nous évoluons offrent à ceux qui nous rejoignent des opportunités motivantes. Nous saurons vous accompagner dans votre évolution.
Alors ! Serez-vous des nôtres ?
ACTIVUS
ACTIVUS-Group est une société de conseil de croissance qui, en 4 ans, est devenue experte dans ses domaines d’intervention :
IA, Big Data, Analytics, DataScience
Conseil et Audit
User Experience et Mobile Apps, DataVizualisation
Sécurité des Systèmes
Infrastructures Cloud et SaaS
Process Industriels
Nous entretenons avec nos partenaires une relation de confiance solide et durable qui s’appuie sur la proximité de nos équipes et l’expertise de nos consultants.
Notre, équipe composée de technophiles passionnés, renforce tous les jours notre ADN par son excellence technologique.
En 2019 notre groupe double ses effectifs en recrutant 100 nouveaux consultants sur tous nos domaines d’expertise.
En complément de nos implantations de proximité à Toulouse et Paris, nous poursuivons notre maillage local en ouvrant quatre agences à : Bordeaux, Lyon, Nantes, Aix/Marseille.
Nous recrutons aussi sur Hambourg, en République Tchèque et en Suisse.
Type d'emploi : Temps plein, CDI"
5,https://www.indeed.fr/emplois?q=Performance%20Analyst&l=Bordeaux&radius=100&limit=100&sort=date&vjk=0f43a7bc8c19cd27,"Analyste d'Exploitation H/F - Bordeaux
Forum Emploi-Formation-Alternance: Talents Handicap - Bordeaux (33)","['Bordeaux (33)', 'CDI']",Analyste d'Exploitation H/F - Bordeaux,Forum Emploi-Formation-Alternance: Talents Handicap,- Bordeaux (33),CDI,null,"handicap-job.com - il y a 8 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Performance Analyst,Bordeaux,"Au sein de projets d'envergures délivrés pour nos clients grands comptes multi-secteurs, vous êtes responsable de l'administration, la configuration et l'optimisation des systèmes.

A ce titre, vos principales missions consisteront à :
Garantir la mise en production des applications dans le respect des normes et standards d'exploitation. Il s'assure de l'intégrité, des performances et de la sécurité des chaînes applicatives. Il participe à l'industrialisation de la production informatique et veille à la cohérence du plan de production.

Description des travaux à réaliser et activités principales :
Garant de la gestion des compétences.
Gestion du planning
Exploitation niveau 1 et 2 des applications du domaine
Résoudre ou escalader les incidents et traiter les demandes de travaux dans le respect des engagements de service.
Assurer les mises en production (évolutions applicatives et paliers techniques)
Force de proposition dans le cadre de la boucle d'amélioration continue
Participation au rôle de chargé de MEP complexe
Analyse et proposition dans le cadre de la gestion des problèmes
Assurer le reporting de son activité et la communication des informations nécessaires à la réalisation de l'activité soutien.
Participer à l'évolution des procédures d'exploitation
Favoriser l'autonomie des équipes N-1, en fournissant des consignes et en automatisant les procédures
Assurer quotidiennement le contrôle de la qualité du service et proposer si nécessaire des actions correctives en accord avec le Coordinateur d'équipe
Participer à l'élaboration et la mise à jour du référentiel documentaire
Respecter les processus administratifs et opérationnels"
6,https://www.indeed.fr/emplois?q=Performance%20Analyst&l=Bordeaux&radius=100&limit=100&sort=date&vjk=27e2e0440bd621a0,"DATA ANALYST OFFRE F/H
Cdiscount79 avis - Bordeaux (33)","['Bordeaux (33)', 'CDI']",DATA ANALYST OFFRE F/H,Cdiscount,- Bordeaux (33),CDI,null,"il y a 18 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Performance Analyst,Bordeaux,"Et venez gérer plus de 200 000 références de leur sourcing jusqu'à leur commercialisation et contribuez à l'achat et à la mise en avant des meilleurs produits aux meilleurs prix !

Les missions qui vous seront confiées
En collaboration avec nos équipes Achats, vous participerez à l'élaboration de la stratégie d'assortiment de Cdiscount et vous serez le garant de la chaine de valeur : depuis l'analyse du marché et la conception de la gamme jusqu'au suivi de sa performance.

Vos tâches seront diverses et vous aurez notamment à :

Analyser le marché et le positionnement de nos concurrents (assortiment, tendances) et évaluer la demande marché afin d'en dégager des opportunités de développement
Elaborer l'assortiment cible en identifiant :
Les manquants à référencer
Les effets de cannibalisation
Les tendances à développer
Être force de proposition pour formuler des recommandations claires et complètes et assurer leurs mises en place
Accompagner les équipes opérationnelles dans la définition et la mise en place de process de pilotage et de suivi des recommandations
Analyser, assurer un suivi, mettre en place des indicateurs de suivi de la performance sur l'assortiment
Participer activement à la revue et à l'amélioration continue des méthodologies de conception de gamme
Rendre compte de votre activité via des reportings et des présentations
Profil recherché
Vous êtes diplômé d'un bac+5 en école de commerce ou d'ingénieur. Vous possédez 1 à 3 ans d'expérience dans une fonction analytique en corporate ou dans le conseil, vous savez construire une gamme de produits pertinente et possédez une culture forte du e-commerce.
Votre parcours professionnel vous a permis d'une part, de développer de réelles capacités d'analyse dans des environnements de données vastes et complexes, et d'autre part, de restituer ces analyses sous forme de synthèse orientée prise de décision.
Vous êtes autonome, proactif et force de proposition. Vous faites preuve d'une aisance relationnelle certaine, ce qui vous permet d'évoluer au sein d'une entreprise très orientée data en forte croissance. Vous êtes d'un naturel à prendre des initiatives pour rester constamment dans une optique d'amélioration continue. Au-delà de ces qualités, vous disposez d'une excellente maîtrise d'excel et idéalement de connaissances d'outils de data viz (PowerBI, Tableau). Par ailleurs, la connaissance de SQL et de VBA sera un atout supplémentaire. Enfin orienté « problem solving » : vous contournez les problèmes et trouvez des solutions alternatives innovantes en cas de blocage et êtes capable de sortir hors des sentiers battus.

Leader dans l'âme, vous cherchez une société où vous pourrez mettre en œuvre votre créativité et votre expertise pour relever nos défis quotidiens.
Vous vous reconnaissez ? Ne cherchez plus, postulez et venez inventer le e-commerce de demain !
Cdiscount s'engage pour la Diversité : du recrutement à l'évolution professionnelle, nous garantissons l'égalité des chances à tous nos collaborateurs.

Informations complémentaires:
Type de contrat: CDI
Localisation: Bordeaux (33)
Référence: 4209"
7,https://www.indeed.fr/emplois?q=Performance%20Analyst&l=Bordeaux&radius=100&limit=100&sort=date&vjk=86428e6800d731f0,"Head of Quality Analyst H/F
Back Market - Bordeaux (33)",['Bordeaux (33)'],Head of Quality Analyst H/F,Back Market,- Bordeaux (33),null,null,"il y a 26 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Performance Analyst,Bordeaux,"Travaillant au sein de l’équipe Qualité, tu participeras à la croissance et à la rentabilité de Back Market en étant garant des performances de la Quality grâce à un monitoring de précision et orienté sur la mise en place d’actions d'améliorations.
Basé dans notre bureau bordelais (avec des déplacements potentiels à Paris), tu travailleras étroitement avec Nicolas, notre Head of Quality, nos équipes qualités et nos équipes data.
TA MISSION, si tu l'acceptes:
Manager l’équipe Quality Monitoring (1 Quality Analyst stagiaire, pour le moment)
Suivre et piloter les performances opérationnelles et financières de la Qualité (satisfaction client, NPS, service client, coût par commande…)
Lancer des alertes en cas de KPI décrochant de son objectif et proposer des actions pouvant permettre un retour à l’objectif rapide
Identifier et mesurer les impacts que peuvent avoir les nouvelles fonctionnalités ou services proposés par BackMarket
Identifier par la data comment améliorer l’expérience client et vendeur et participer activement à la roadmap des projets Qualité
Participer activement à la revue hebdomadaire des performances de la Qualité avec notre CEO
Travailler main dans la main avec la team data en leur communiquant nos priorités et en les aidant à être le plus efficaces possible
CE JOB EST FAIT POUR TOI SI:
Tu as une formation Bac +5 en Ecole d’ingénieur ou école de commerce
Tu as plus de 5 ans d’expérience sur un poste similaire
Tu maîtrises parfaitement la data analyse : excel et SQL n’ont pas de secrets pour toi
Tu as de bonnes notions en dataviz : tu es un « data trainer », tu sais rendre concret la data pour des non initiés
Tu es autonome et tu es capable de définir ta propre roadmap pour avoir le plus d’impact possible
Tu es un excellent communicant, tes préconisations sont souvent suivies
Tu es un super manager d’équipe, tu sais diffuser une vision et faire adhérer tes équipes à l’atteinte d'objectifs
English is a no brainer for you :blush:
Tu aimes faire des choses concrètes et mettre les mains dans le cambouis.
Tu es un fantastique équipier, aux côtés duquel il est cool de travailler
PROCESSUS DE RECRUTEMENT:
Entretien téléphonique de 30 min avec Elisa, Talent Acquisition Manager
Test technique + Entretien physique avec Nicolas, Head of Quality
Entretien physique ou téléphonique avec Thibaud, notre CEO"
8,https://www.indeed.fr/emplois?q=Performance%20Analyst&l=Bordeaux&radius=100&limit=100&sort=date&vjk=ee8704c281b7dc2d,"Stage - Quality Analyst H/F
Back Market - Bordeaux (33)","['Bordeaux (33)', 'Stage']",Stage - Quality Analyst H/F,Back Market,- Bordeaux (33),Stage,null,"il y a 26 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Performance Analyst,Bordeaux,"Travaillant au sein de l’équipe Qualité, tu participeras à la croissance et à la rentabilité de Back Market en étant garant des performances de la Quality grâce à un monitoring de précision et orienté sur la mise en place d’actions d'améliorations.
Basé dans notre bureau bordelais (avec des déplacements potentiels à Paris), tu travailleras étroitement avec Nicolas, notre Head of Quality, nos équipes qualités et nos équipes data; pour accomplir ta mission, tu seras notamment en charge de:
TA MISSION, si tu l'acceptes:
Construire des analyses adhoc pour les équipes Qualité afin de leur permettre d’être plus efficaces dans leur quotidien
Participer au lancement de nouveaux projets Qualité en apportant la data nécessaire au lancement
Suivre et piloter les performances opérationnelles et financières de la Qualité (satisfaction client, NPS, service client, coût par commande…)
Participer activement à la revue hebdomadaire des performances de la Qualité avec notre CEO
Comprendre comment améliorer l’expérience client et vendeur par la data pour participer activement à la roadmap des projets Qualité
Travailler main dans la main avec la team data en leur communiquant nos priorités
CE JOB EST FAIT POUR TOI SI…
Tu as une formation Bac +5 en Ecole d’ingénieur ou école de commerce
Tu as envie de vivre l’expérience unique d’une startup en très forte croissance à portée internationale
Tu as envie d’en connaître beaucoup plus en data analyse : excel et SQL (entre autres) n’auront plus de secrets pour toi
Tu es un bon communicant et tu aimes vulgariser les choses pour les rendre accessibles à des non initiés
Tu sais être autonome autonome
Tu aimes faire des choses concrètes et mettre les mains dans le cambouis
Tu es un fantastique team player, auprès duquel c'est chouette de travailler
English is a no brainer for you
PROCESS DE RECRUTEMENT:
Entretien téléphonique de 30 min avec Lou, Talent Acquisition Specialist
Test technique
Entretien téléphonique avec Nicolas, notre Head of Quality

Sauve la planète.. Rejoins Back Market !"
9,https://www.indeed.fr/emplois?q=Performance%20Analyst&l=Bordeaux&radius=100&limit=100&sort=date&vjk=7c692f7986b9f3e7,"Web Analyst / Freelance
WONIT - Bordeaux (33)","['Bordeaux (33)', 'Temps plein, Freelance / Indépendant']",Web Analyst / Freelance,WONIT,- Bordeaux (33),"Temps plein, Freelance / Indépendant",null,"Freelance-info - il y a 22 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Performance Analyst,Bordeaux,"Profil recherché : Web Analyst
Début de la mission : ASAP
Durée de la mission : 6 mois renouvelables
Lieu de la mission : Bordeaux

Objectifs et enjeux de la mission :
Accompagnement de la croissance de l’activité
Transfert et diffusion de la connaissance mobile dans l’équipe.
Maintien de la relation avec le prestataire de développement mobile
Activités à réaliser
Elaboration de plans de marquage
Elaboration de campagnes push mobile
Analyses quantitatives et qualitatives
Formalisation de préconisations
Compétence
Analyse statistique
CSS Maitrisé
HTML- Maitrisé
JavaScript- Maitrisé
Méthode agile Maitrisé
Test mobile Maitrisé
Web Analysis (XITI, ) Maitrisé

Livrable attendu
Campagnes Push notification et Push In App
Plans de marquage web et applis mobiles
Rapports de performances des campagnes
Tableaux de bord et analyses statistiques web et apps mob"
