,id,meta1,meta2,titre_poste,entreprise,localisation,contrat,salaire,date_publication,keyword_metier,keyword_localisation,description
0,https://www.indeed.fr/emplois?q=Cyber%20Securit%C3%A9&l=Lyon&radius=100&limit=100&sort=date&vjk=fad49184ba32d02e,"Senior Consultant / Manager Cybersécurité
Guardea Cyberdefense Community - Lyon (69)","['Lyon (69)', 'CDI']",Senior Consultant / Manager Cybersécurité,Guardea Cyberdefense Community,- Lyon (69),CDI,null,"il y a 21 heures
Signaler cette offre d'emploi",Cyber Securité,Lyon,"Présentation de l’entreprise
Cabinet de conseil en Cybersécurité, Guardea est la 1ère communauté d’experts de confiance en cyberdéfense capable de déployer à la demande son expertise 360° pour une approche transverse auprès des entreprises de toute taille (Grands comptes, ETI et TPME).
Pour améliorer chaque jour le service rendu, Guardea Cyberdéfense, dans une démarche innovante, associe expertise technique, équipe sur-mesure et spécialisation sectorielle réunis au sein d’une communauté d’experts. Fort d’une équipe de salarié et rassemblant plus de 250 experts Guardea recherche en permanence de nouvelles ressources pour répondre aux attentes de ses clients locaux et nationaux.
Dans cette optique nous recherchons 25 CSSI pour une mission long terme dans le cadre d’un projet avec un client grand compte du secteur de l’Energie.
Mission :
En tant qu’Appui cyber directions de votre région vous aurez comme mission :
Lien régional avec le CERT (identification/qualification des alertes cyber, remontée d’informations, remédiation locale…) ;
Veille Cyber (ANSSI, CERT FR..) ;
Lien cyber avec les opérateurs informatiques et télécom en région ;
Lien avec les acteurs locaux pour la gestion des accès et des habilitations.
Remontée d’indicateurs vers le pôle Cyber ;
Remontée de rapports vers le pôle Cyber.
Elaboration d’un plan de contrôle et de traitement du risque local ;
En particulier, suivi des applications locales et de leur référencement ;
Accompagnement cyber des projets locaux (analyse de risque, audits et respects des standards techniques de sécurité) et le CERT (supervision de sécurité).
Point de contact Expertise Cyber ;
Appui technique au DFSI pour la gestion de crise.
Relai régional technique Cyber pour les problématiques Industrielle ;
Relai régional technique Cyber pour les problématiques Telecom ;
Appui pour sécuriser l’activité de conduite du réseau : systématique pour la Direction Régionale
Participation au réseau Cyber national ;
Sensibilisation & acculturation Cyber local (CODIR, salariés…) ;
Appui à la coordination avec les relais locaux.
Profil :
En véritable référent cybersécurité, vous êtes diplômé d’un Bac +5 issu d’une école d’ingénieur ou d’un cycle universitaire équivalent.
Vous justifiez d’une expérience d’au moins 5 ans en tant que Senior Consultant Cybersécurité ou RSSI.
Motivé, curieux et dynamique, vous disposez de bonnes capacités d'adaptation et savez faire preuve d'initiative. Vous avez l'esprit d'équipe, un bon relationnel, le sens du service et des responsabilités. Vous êtes en capacité d'assurer des prises de parole en public et disposez de qualités rédactionnelles certaines.
Type d'emploi : CDI
Expérience:
senior consultant / manager cybersécurité ou similaire: 5 ans (Requis)
Formation:
Bac +5 (Master / MBA) (Requis)"
1,https://www.indeed.fr/emplois?q=Cyber%20Securit%C3%A9&l=Lyon&radius=100&limit=100&sort=date&vjk=c8c37b5b74489554,"Ingénieur Cyber sécurité / Freelance
DJIDJI - Lyon (69)","['Lyon (69)', 'Temps plein, Freelance / Indépendant', '400 € par semaine']",Ingénieur Cyber sécurité / Freelance,DJIDJI,- Lyon (69),"Temps plein, Freelance / Indépendant",400 € par semaine,"Freelance-info - il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",Cyber Securité,Lyon,"Vous aurez deux rôles précis, ainsi définis :
o Analyste de Risques Cybersécurité (CyRA) - Réaliser et maintenir les analyses de risques cyber - Développer et documenter les plans t’atténuationdes risques
o Designer Cybersécurité (CyD) - Définir les principes d’architecture et de conception de la cybersécurité - Proposer une solution technique à mettre en uvre conformément aux directives de conception en matière de cybersécurité - Définir et maintenir une architecture de cybersécurité avec l’identification de la zone, du niveau de SAL, de la cible MIRE et des fonctions de cybersécurité

Compétences requises :
Principales normes et réglementations, telles que : ISO 2700X, 62443, NIST, LPM français - Connaissance de certaines solutions et domaines de sécurité, tels que : BRP / DRP, GRC, IAM, DLP, PKI, SOC, IDS / IPS, sécurité SAP etc. - Connaissance ou expérience des systèmes embarqués ou industriels (ferroviaire/aéronautique)"
2,https://www.indeed.fr/emplois?q=Cyber%20Securit%C3%A9&l=Lyon&radius=100&limit=100&sort=date&vjk=e24d72eeebfeb37c,"Ingénieur Cyber sécurité
Infolor - Lyon (69)","['Lyon (69)', 'Temps plein, Intérim, Freelance / Indépendant, CDI', '400 € par jour']",Ingénieur Cyber sécurité,Infolor,- Lyon (69),"Temps plein, Intérim, Freelance / Indépendant, CDI",400 € par jour,"il y a 1 jour
Signaler cette offre d'emploi",Cyber Securité,Lyon,"Vous aurez deux rôles précis, ainsi définis :
o Analyste de Risques Cybersécurité (CyRA) - Réaliser et maintenir les analyses de risques cyber - Développer et documenter les plans t’atténuationdes risques
o Designer Cybersécurité (CyD) - Définir les principes d’architecture et de conception de la cybersécurité - Proposer une solution technique à mettre en œuvre conformément aux directives de conception en matière de cybersécurité - Définir et maintenir une architecture de cybersécurité avec l’identification de la zone, du niveau de SAL, de la cible MIRE et des fonctions de cybersécurité
Compétences requises :
- Principales normes et réglementations, telles que : ISO 2700X, 62443, NIST, LPM français - Connaissance de certaines solutions et domaines de sécurité, tels que : BRP / DRP, GRC, IAM, DLP, PKI, SOC, IDS / IPS, sécurité SAP etc. - Connaissance ou expérience des systèmes embarqués ou industriels (ferroviaire/aéronautique) est un atout
Type d'emploi : Temps plein, Intérim, Freelance / Indépendant, CDI
Salaire : 400,00€ /jour
Expérience:
ingénieur cyber sécurité ou similaire: 1 an (Souhaité)"
3,https://www.indeed.fr/emplois?q=Cyber%20Securit%C3%A9&l=Lyon&radius=100&limit=100&sort=date&vjk=79cb9d8d5a0a94ef,"Ingénieur Cybersécurité (H/F)
SNEF170 avis - Bron (69)","['Bron (69)', 'CDI']",Ingénieur Cybersécurité (H/F),SNEF,- Bron (69),CDI,null,"il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",Cyber Securité,Lyon,"Nous recherchons pour notre agence SNEF LAB basée à Bron, un Ingénieur Cybersécurité (H/F)

SNEF Lab réunit les métiers de la sphère digitale qui comprend l’informatique industrielle, les objets connectés, la cybersécurité, l’audiovisuel et la maintenance prédictive. SNEF Lab vient enrichir la démarche globale du Groupe SNEF et révolutionne son métier pour répondre aux enjeux de demain.
Spécialisée dans les technologies IT et IoT, l’agence SNEF Lab de Valence s’inscrit dans ce nouveau modèle et propose des solutions globales, adaptables et sécurisées pour la ville intelligente et l’industrie 4.0. Rejoignez une équipe composée d’experts en nouvelles technologies et tournée vers l’innovation.

=> Vos missions:
Dans le cadre de notre fort développement dans le domaine de la Cyber sécurité, nous recrutons un ingénieur sécurité. Le poste est basé à Valence au sein de l'équipe PASSI (Prestataire d'audit de sécurité de système d'information).
Vous appliquerez vos compétences sur différents sujets selon votre profil :
Audit d'architecture de système d'information
Pentest / test d'intrusion
Mise en place de SIEM
Préconnisation de solution sécurisée

=> Votre profil:
Titulaire d'un bac+5 Télécom / Réseaux, vos disposez idéalement d'une première expérience sur un poste similaire
- Compétences techniques souhaitées: - Metasploit / Kali linux ou autre logiciel de test d'intrusion, Réglementaire : la connaissance de la RGPD et de la LPM est un plus, SIEM : Mise en place d'outil tel que SPLUNK.

Bâti autour d’une large palette de compétences techniques, Le Groupe SNEF doit sa pérennité à son modèle qui allie indépendance, proximité et avenir.
En France comme à l’International, nous sommes ingénieurs / concepteurs, intégrateurs, mainteneurs et opérateurs de solutions multitechniques dans les domaines de l’Energie et du Numérique.
Nous ne cessons de nous réinventer, promoteurs de la révolution numérique, des Objets Connectés, du Big Data, de l’Intelligence Artificielle et de la Réalité Virtuelle.
Nous prônons la simplicité dans la décision, la capacité d’adaptation, un management direct… autant d’atouts pour vous embarquer dans l’aventure SNEF.
Langues nécessaires :
Anglais - Français
Région :
Rhône-Alpes"
4,https://www.indeed.fr/emplois?q=Cyber%20Securit%C3%A9&l=Lyon&radius=100&limit=100&sort=date&vjk=df85840b03d7882f,"Consultant Cybersécurité Industrielle 2
Capgemini6,927 avis - Rhône","['Rhône', 'CDI']",Consultant Cybersécurité Industrielle 2,Capgemini,- Rhône,CDI,null,"il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",Cyber Securité,Lyon,"Description du poste
Fort de son expérience en ingénierie des produits et des SI industriels, notre société est un des principaux pôles d’expertise de la cyber-sécurité industrielle en France et en Europe, avec plus de 50 consultants spécialisés exclusivement dans ce domaine, une activité en très forte croissance et de nombreuses références dans les domaines d’activités du ferroviaire, de l’énergie, de l’aéronautique et du spatial. Nous sommes aussi fortement impliqués auprès de l’ANSSI, du CLUSIF/CLUSIR et de l’ISA/IEC.
Vous intégrez un de nos centres d’expertise sécurité sur l’Ile de France, Grenoble, Lyon, Toulouse ou Aix-Marseille pour y réaliser des missions de conseil (Governance, Risks, Compliance) auprès de nos clients pour la mise en place de la cyber-sécurité de leurs produits et/ou SI industriels.
Compétences cyber-sécurité nécessaires :
Organisation de la sécurité (PSSI, conduite du changement …)
Audits (organisation, conformité …)
ISO27001, ISO27002, (la connaissance de l’IEC62443 est un plus)
Analyse de risque (MEHARI, EBIOS, ISO 27005…)
SDLC (Secure development Life Cycle)
Homologation (Critères communs, RGS, CSPN …)
PKI, Cryptographie
Connaissance des systèmes industriels et/ou embarqués serait appréciée
Profil
Vous avez de l’expérience en cyber-sécurité dans un ou plusieurs secteurs industriels. Junior ou confirmé ou expert, avec une forte appétence pour la cyber-sécurité des produits ou des SI industriels, rejoignez-nous !"
5,https://www.indeed.fr/emplois?q=Cyber%20Securit%C3%A9&l=Lyon&radius=100&limit=100&sort=date&vjk=de79ebc13156a9fb,"Ingénieur Intégration Continue (H/F)
Groupe SII4 avis - Grenoble (38)",['Grenoble (38)'],Ingénieur Intégration Continue (H/F),Groupe SII,- Grenoble (38),null,null,"il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",Cyber Securité,Lyon,"Description du poste :
Dans le cadre du développement de nos activités, nous recrutons un(e) Intégrateur Continu supportant des équipes de développement de plateformes embarquées
Ce poste est basé à Grenoble, dans une équipe cliente et une équipe SII.
Les activités principales à réaliser sur nos projets sont :
– Construction des chaines d’intégration continue et validation des versions des différents éléments du socle technique (framework, middleware) sur lequel s’appuient ces composants,
– Réception des sources (code et structures de données), génération des binaires et packaging,
– Développement, industrialisation et rédaction des procédures de packaging, d’IC et d’installation,
– Installation des applications sur les plateformes de validation et d’IC,
– Etude et mise en œuvre d’outil de qualimétrie ou de Cyber-Sécurité associé à l’IC
– Support expert aux équipes de développement.
Profil:
Ingénieur, maitrisant tout ou partie des technologies ci-dessous :
– Excellente maitrise du scripting sous linux
– Pratique avérée des outils d’intégration continue (Jenkins ou Bamboo)
– Des compétences sur des outils spécifiques (QA-C, Parasoft, Protecode, Klokwork, Polyspace, etc.) ou d’automatisation (Cucumber, RobotFramework)
– Des notions ou connaissances d’outils de déploiement centralisé type CHEF ou Ansible
– Des notions ou connaissances en architecture avec containers type Docker / Kubernetes
– Disposant d’une réelle motivation pour l’industrialisation d’application et le déploiement automatisé
– Maitrise de l’anglais oral et écrit obligatoire
Le Groupe SII est au cœur de l’innovation au service de grands comptes dans des secteurs d’ingénierie variés. SII est fier de compter aujourd’hui 10 000 experts à travers 80 implantations dans le monde.
Animés de cette même passion pour la technologie et l’innovation, les collaborateurs SII peuvent exercer leur métier dans un cadre bienveillant, de proximité avec une dose de fun. Ils intègrent le mouvement #fungenieur dans lequel la créativité et l’esprit d’équipe sont mis à l’honneur.
Au palmarès Great place To Work 2018, le Groupe SII a également été labélisé Happy Candidate et Meilleur Employeur 2019 dans la catégorie High Tech par le magazine Capital. Il est signataire de la Charte de la diversité en entreprise. C’est une société handi-accueillante.
Suivez-nous sur les réseaux sociaux : Facebook, Linkedin, Viadeo ou Twitter !
Compétences :
Jenkins
Bamboo
Linux
#LI-ER1
Référence de l’annonce :
IIC/GRE/1019
Expérience:
2-5 ans
Qualification:
Expert Technique
Rémunération:
Selon expérience

POSTULER"
6,https://www.indeed.fr/emplois?q=Cyber%20Securit%C3%A9&l=Lyon&radius=100&limit=100&sort=date&vjk=7071dbedc7658869,"Architecte Cybersécurité Industrielle 3
Capgemini6,927 avis - Rhône","['Rhône', 'CDI']",Architecte Cybersécurité Industrielle 3,Capgemini,- Rhône,CDI,null,"il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",Cyber Securité,Lyon,"Description du poste
Fort de son expérience en ingénierie des produits et des SI industriels, notre société est un des principaux pôles d’expertise de la cyber-sécurité industrielle en France et en Europe, avec plus de 50 consultants spécialisés exclusivement dans ce domaine, une activité en très forte croissance et de nombreuses références dans les domaines d’activités du ferroviaire, de l’énergie, de l’aéronautique et du spatial. Nous sommes aussi fortement impliqués auprès de l’ANSSI, du CLUSIF/CLUSIR et de l’ISA/IEC.
Pour nos clients opérateurs industriels situés en Ile de France, Grenoble, Lyon, Toulouse ou Aix-Marseille vous définissez les méthodes, les règles et les technologies pour sécuriser des infrastructures de SI, de réseau et de systèmes industriels. Vous intervenez également en appui des projets applicatifs pour conduire des analyses de risque, pour conseiller les équipes projet et pour valider les solutions de sécurisation proposées par les équipes projet ou les fournisseurs.
Compétences recherchées :
Conception d’architectures de sécurité et audit d’architecture
Analyse de risque (MEHARI, EBIOS, …)
Normes et standards (ISO27001, ISO27005, IEC62443 …)
Architecture et sécurité des réseaux : routeurs, pare-feu, VLAN, MPLS, BGP, protocoles IP généralistes (Ex : https, ftps), protocoles IP spécifiques (Ex : Modbus/TCP, OPC-UA) ou protocoles non IP (Ex : Bus CAN, Bus série, protocole RF propriétaire), ADSL/SDSL, communication sans fil (WiFi, Wireless HART, SIGFOX, xG)
Architecture et sécurité des applications (OWASP, SAML, cycle de développement, audit de code)
Architecture et sécurité du cloud
Sécurité des systèmes et OS (durcissement)
Connaissance des systèmes industriels (SCADA, Automates, RTU/Télégestion) serait appréciée, ainsi que la connaissance des vulnérabilités propres à ces systèmes.
Profil
Vous avez de l’expérience en cyber-sécurité dans un ou plusieurs secteurs industriels. Junior, confirmé ou expert, avec une forte appétence pour la cyber-sécurité des produits ou des SI industriels, rejoignez-nous !"
7,https://www.indeed.fr/emplois?q=Cyber%20Securit%C3%A9&l=Lyon&radius=100&limit=100&sort=date&vjk=3c5cd2f1c9b05201,"Stage programmation python pour la sécurité automobile H/F
CEA - Commissariat à l'Energie Atomique278 avis - Rhône","['Rhône', 'Stage']",Stage programmation python pour la sécurité automobile H/F,CEA - Commissariat à l'Energie Atomique,- Rhône,Stage,null,"il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Cyber Securité,Lyon,"Ce stage a pour objet l’analyse de failles de sécurité dans le domaine automobile par le bus CAN. En effet, les menaces qui pèsent sur les véhicules sont le vol, l’immobilisation forcée, la provocation d’un accident, la prise de contrôle à distance etc.
Le laboratoire LSOSP (Laboratoire Sécurité des Objets et des Systèmes Physiques) développe des activités dans le domaine de la cyber-sécurité pour l’automobile. Celles-ci conduisent les équipes à analyser la sécurité de de calculateurs ou composants de calculateurs. Les analyses sécuritaires de calculateurs automobiles permettent de vérifier que les attaquants ne pourront pas accéder facilement à des biens à protéger. Pour cela, plusieurs types d’attaques sont menées sur les interfaces de communication comme le CAN. En effet, le bus CAN est le moyen par lequel un calculateur communique avec les autres calculateurs ou les outils de diagnostic utilisés pour la maintenance et l’entretien du véhicule.
Dans ce contexte, un outil permettant d'effectuer des tests d'intrusion sur le bus CAN de cartes électroniques embarquées dans des véhicules a été développé. Cet outil développé en python, permet d’effectuer des tests fonctionnels sur les mécanismes de sécurité du véhicule. Il nécessite des améliorations afin de rendre plus efficaces les tests de découvertes de vulnérabilités sur les automobiles et leurs calculateurs.
Ce stage sera découpé en 4 taches :
T1 : Prise en main de l’outil existant permettant d’envoyer des trames CAN
T2 : Développement de nouveaux tests de sécurité (protocole ccp/xcp…)
T3 : Développement de mécanismes d’analyses de trames CAN (reverse engineering de protocole)
T4 : Automatisation des tests sur véhicule

Moyens / Méthodes / Logiciels
Bus CAN, Python"
8,https://www.indeed.fr/emplois?q=Cyber%20Securit%C3%A9&l=Lyon&radius=100&limit=100&sort=date&vjk=a3d03a4033a39980,"Analyste cybersécurité SOC et/ou CSIRT confirmé(e) F/H
ELITE GROUP RECRUITMENT - Lyon 1er (69)","['Lyon 1er (69)', 'CDI']",Analyste cybersécurité SOC et/ou CSIRT confirmé(e) F/H,ELITE GROUP RECRUITMENT,- Lyon 1er (69),CDI,null,"Apec.fr - il y a 5 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Cyber Securité,Lyon,"Périmètre et contexte :
À la suite d’une réorganisation, vous serez directement rattaché au DSI et travaillerez dans une toute nouvelle équipe mutualisée SOC / CSIRT.

Le CSIRT existe depuis 2013 et une V2 est en préparation pour un déploiement sur la période 2021 - 2025 tandis que partie SOC est passée live au 1er juillet 2019. L’idée étant de lancer un modèle hybride SOC / CSIRT, avec un mix de ressources en internes et en externes au sein du SOC / CSIRT mutualisé.

Rôle et responsabilité :
Fournir une expertise pour le processus et les technologies liées aux solutions de sécurité gérées par le SOC et ainsi veiller à la bonne configuration du pare-feu Palo Alto / IPS.
Fournir une expertise au CSIRT pour le processus et les technologies visant à détecter et à réagir aux anomalies de sécurité ou aux incidents de sécurité affectant le groupe, au sein de l'entreprise et sur Internet.
Missions :
Développement et maintien des dispositifs (outils – organisation – process) de réponse à incident et gestion de crise cyber ;
Pilotage et la conduite des investigations sur alertes majeures et incidents de sécurité des SI ;
Contribution à l’amélioration continue du service de détection (capitalisation sur les incidents cyber, en collaboration avec le SOC) ;
Veille sur vulnérabilité, notamment par l’analyse des nouvelles menaces et de leurs impacts potentiels sur le SI, ainsi que mise en œuvre des mesures en réduction de risques ;
Audits et pentest ponctuellement (définition du cadre des audits, réalisation, analyse de résultats ...) ;
Sécurisation et contrôle périodique du niveau de sécurité des services exposés ;
Accompagnement de projets de transformation digitale de la société (analyses de risques, déploiement de nouvelles technologies, outils et process cyberdéfense) ;
Profil recherché Compétences techniques requises :
IBM QRadar SIEM, Sandboxing, IDS/IPS, TheHive, SIM, Firewalls et IPS (Palo Alto, Checkpoint, CISCO ASA), Cloud (AWS), McAfee, CyberArk (privileged access management) et divers solutions de sécurité (PGP, NAC ou WAF).

Qualification :
Vous avez suivi une formation supérieure en SSI (idéalement BAC +5) et êtes expérimenté en cybersécurité (plus de 3 ans d'expérience).

Véritable expert SOC (N2 / N3), vous avez développé des compétences sur les techniques d’attaque et d’analyse d’évènements de sécurité ainsi que sur les technologies (réseaux, systèmes, briques de sécurité et architectures sécurisées de SI).

Vous avez un niveau d’anglais courant et êtes prêt à vous déplacer ponctuellement à l’international.
Entreprise Elitecyber recherche pour le compte d’un de ses client un expert cybersécurité pour rejoindre son équipe SOC / CSIRT. Rattaché(e) au RSSI, vous travaillez avec le responsable du SOC et en étroite collaboration avec l'équipe cyberdéfense.

Notre client est une entreprise d’envergure internationale qui conçoit, fabrique et vend des solutions intelligentes et des produits qui contribuent à rendre les usines et les villes plus « intelligentes ». Reconnue pour leur technologie innovante et présents dans plus de 80 pays dans le monde, la société enregistre une forte croissante et réalise un chiffre d’affaire de près de 10 milliards de dollars."
9,https://www.indeed.fr/emplois?q=Cyber%20Securit%C3%A9&l=Lyon&radius=100&limit=100&sort=date&vjk=d5ec4606fff7e861,"ADMINISTRATEUR INFRASTRUCTURE SYSTEME & RESEAUX F/H
BEEBRYTE S.A.S - Lyon 6e (69)","['Lyon 6e (69)', 'CDI']",ADMINISTRATEUR INFRASTRUCTURE SYSTEME & RESEAUX F/H,BEEBRYTE S.A.S,- Lyon 6e (69),CDI,null,"Apec.fr - il y a 5 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Cyber Securité,Lyon,"Nous recrutons un administrateur infrastructure système et réseaux H/F.

Sous la responsabilité du Responsable Informatique, vous évoluerez au sein de l'équipe IT de nos bureaux à Lyon.

Vos principales missions seront :
L’ingénierie système dans un environnement Linux, automatisation avec Salt,

La maintenance opérationnelle de l'infrastructure répartie sur deux sites physiques, Lyon et Singapour, ainsi que les services hébergés et les box déportés auprès des clients pour l'application métier de la solution BeeBryte,

Le support et l’assistance aux collaborateurs pour leur poste de travail,

Le suivi et gestion de l'architecture réseau, organisé en « bastion »,

La veille technologique pour assurer la cyber-sécurité et pour contribuer à l'amélioration de la structure
Profil recherché QUALIFICATIONS

Formation Bac+3 en informatique avec composantes système et réseaux,

Vous avez de bonnes notions concernant l'administration Linux. Des connaissances en distribution Linux ""rolling"" ou ""source-based"" sont souhaitables,

Vous avez de bonnes connaissances en réseaux, suivi et cyber-sécurité,

Avoir pratiqué des outils de déploiement et d'automatisation comme Salt ou Ansible, puppet, chef,

Des connaissances en Python, C, shell sont demandées. Des connaissances d'autres langages utilisés pour les services internes tels que GO, Ruby ou PHP seront appréciées,

Une pratique de gestion de service d'hébergement ou de PaaS est souhaitable,

Anglais technique correct demandé,

Souci de qualité (documentation, code)

Rigueur et curiosité

POURQUOI NOUS REJOINDRE

BeeBryte vous propose :
un environnement accueillant et convivial

une équipe dynamique et performante orientée vers les résultats

d'intéressantes opportunités de développement.

Vous travaillerez sur des projets à forte composante technologique appliquée au secteur de l'énergie & rejoindrez une société en pleine croissance pour prendre des responsabilités dès votre intégration.
Entreprise BeeBryte utilise l'intelligence artificielle pour aider les bâtiments commerciaux et industriels à consommer l'électricité de manière plus intelligente, plus efficace et plus économique tout en réduisant leur empreinte carbone.

Notre logiciel-service (SaaS) minimise les factures d’électricité en contrôlant automatiquement des équipements de chauffage-ventilation-climatisation, des bornes de recharge de véhicules électrique et / ou des batteries. En se basant sur différents signaux de prévisions météorologiques, d'occupation, d’activité et de prix de l'énergie, BeeBryte génère jusqu'à 40% d'économies.

Fondée en 2015, BeeBryte est une startup de 25 personnes avec des bureaux à Lyon et Singapour. Notre investisseur stratégique est la Compagnie Nationale du Rhône (CNR), le plus grand producteur d’énergies renouvelables en France. BeeBryte est aussi soutenue par INTEL.

Nous réinventons l'avenir du secteur énergétique grâce à nos offres numériques et modèles d’affaires innovants. Rejoignez-nous ! www.BeeBryte.com"
