,id,meta1,meta2,titre_poste,entreprise,localisation,contrat,salaire,date_publication,keyword_metier,keyword_localisation,description
0,https://www.indeed.fr/emplois?q=Data%20consultant&l=Lyon&radius=100&limit=100&sort=date&vjk=56a95d342d940392,"Consultant Microsoft Data & BI (H/F)
Exakis10 avis - Grenoble (38)","['Grenoble (38)', 'CDI']",Consultant Microsoft Data & BI (H/F),Exakis,- Grenoble (38),CDI,null,"il y a 55 minutes
- Continuer pour postuler
Signaler cette offre d'emploi",Data consultant,Lyon,"Exakis Nelite, entité du groupe Magellan Partners, est le premier partenaire pure-player Microsoft en France avec l’ambition de devenir le premier partenaire Européen et en Afrique Francophone avec sa forte présence au Maroc.
Nés du rapprochement de 2 leaders spécialistes de l’intégration des solutions Microsoft, nous allions expertise technique et fonctionnelle pour répondre concrètement aux enjeux de demain : accélération de la transformation digitale, CyberSécurité, Intelligence Artificielle, IoT, Data, transformation vers le cloud Azure, Services Cognitifs et Intelligence Artificielle…
En rejoignant la communauté Exakis Nelite dans l’une de nos 14 agences, vous intégrerez une équipe passionnée et impliquée dans les projets les plus innovants. Vous rejoindrez une structure construite autour de valeurs tournées vers ses collaborateurs : intelligence collective, convivialité et bienveillance.
Département : Logiciel
Ville : Grenoble
Type de contrat : CDI
Expérience : 2 ans
Poste et missions
En tant que Consultant(e) Microsoft BI, vous intervenez dans le cadre de projet d’informatiques décisionnelles, en forfait ou en régie.
Analyser et qualifier le besoin
Rédiger des spécifications fonctionnelles, techniques
Concevoir et développer les solutions BI
Modéliser et enrichir des bases de données
Mettre en place des outils de restitution BI pour la production de tableaux de bord et de reporting
Modéliser et implémenter des Datamarts et Datawarehouses
En fonction du projet, des besoins et de vos aptitudes, vous pouvez être amené(e) à participer aux phases d’avant-vente, d’étude, d’architecture, de réalisation de la solution et d’encadrement technique des projets.
Profil
De formation BAC+5 idéalement en ingénierie, vous justifiez d’un minimum de 2 ans d’expérience dans le cadre de projets décisionnel.
Vous avez une réelle expertise sur l’ensemble des environnements et langages suivants :
SQL server (2012/2014/2016
Développement de requêtes SQL complexes
Vous maitrisez au moins une des briques décisionnelles de la suite Microsoft BI (SSIS, SSAS, SSRS, Power BI)
Vous êtes à l’aise avec les syntaxes DAX ou MDX
Pour postuler
Si cette offre vous intéresse, merci de communiquer votre CV + Lettre de motivation personnalisée.
Vous souhaitez nous rejoindre ?
Contactez votre agence Exakis la plus proche ou envoyer votre candidature sur notre formulaire en ligne.
Candidater à cette offre"
1,https://www.indeed.fr/emplois?q=Data%20consultant&l=Lyon&radius=100&limit=100&sort=date&vjk=2191f8077fe1f86f,"Consultant Change Management O365 (H/F)
Exakis10 avis - Grenoble (38)","['Grenoble (38)', 'CDI']",Consultant Change Management O365 (H/F),Exakis,- Grenoble (38),CDI,null,"il y a 55 minutes
- Continuer pour postuler
Signaler cette offre d'emploi",Data consultant,Lyon,"Exakis Nelite, entité du groupe Magellan Partners, est le premier partenaire pure-player Microsoft en France avec l’ambition de devenir le premier partenaire Européen et en Afrique Francophone avec sa forte présence au Maroc.
Nés du rapprochement de 2 leaders spécialistes de l’intégration des solutions Microsoft, nous allions expertise technique et fonctionnelle pour répondre concrètement aux enjeux de demain : accélération de la transformation digitale, CyberSécurité, Intelligence Artificielle, IoT, Data, transformation vers le cloud Azure, Services Cognitifs et Intelligence Artificielle…
En rejoignant la communauté Exakis Nelite dans l’une de nos 14 agences, vous intégrerez une équipe passionnée et impliquée dans les projets les plus innovants. Vous rejoindrez une structure construite autour de valeurs tournées vers ses collaborateurs : intelligence collective, convivialité et bienveillance.
Département : Logiciel
Ville : Grenoble
Type de contrat : CDI
Expérience : 2 ans
Poste et missions
En tant que Consultant Change Management O365 , vous intervenez dans le cadre de la définition et la mise en place d’une solution collaborative avec les technologies Microsoft SharePoint et Office 365 :
Analyser et qualifier le besoin
Animer des ateliers fonctionnels (collecte des besoins, présentation des outils collaboratifs Microsoft, conseils/recommandations sur les outils en fonction des usages…)
Rédiger des spécifications fonctionnelles générales et détaillées
Participer aux phases de tests des solutions développées
Former les utilisateurs à la solution et aux outils
Collaborer avec une équipe complète (designer, architecte, développeurs, consultant accompagnement au changement, chef de projet…)
En fonction du projet, des besoins et de vos aptitudes, vous pouvez être amené(e) à participer aux phases d’avant-vente et de pilotage de projet.
Profil
De formation BAC+5 idéalement en ingénierie, vous justifiez d’un minimum de 2 ans d’expérience dans le cadre de projets SharePoint.
Vous avez une réelle expertise sur plusieurs des environnements suivants : Sharepoint Server 2013/2010/2007, Sharepoint Online (Microsoft Office 365), Windows Server 2012/2008/2003, SQL Server, IIS, Yammer (RSE), Powershell/.net/Sharepoint Designer/K2, Solution Avepoint, OneDrive, Teams, Azure
Pour postuler
Si cette offre vous intéresse, merci de communiquer votre CV + Lettre de motivation personnalisée.
Vous souhaitez nous rejoindre ?
Contactez votre agence Exakis la plus proche ou envoyer votre candidature sur notre formulaire en ligne.
Candidater à cette offre"
2,https://www.indeed.fr/emplois?q=Data%20consultant&l=Lyon&radius=100&limit=100&sort=date&vjk=d7ea1e8262b412f7,"Consultant technique collaboratif SharePoint / Office 365 (H/F)
Exakis10 avis - Grenoble (38)","['Grenoble (38)', 'CDI']",Consultant technique collaboratif SharePoint / Office 365 (H/F),Exakis,- Grenoble (38),CDI,null,"il y a 55 minutes
- Continuer pour postuler
Signaler cette offre d'emploi",Data consultant,Lyon,"Exakis Nelite, entité du groupe Magellan Partners, est le premier partenaire pure-player Microsoft en France avec l’ambition de devenir le premier partenaire Européen et en Afrique Francophone avec sa forte présence au Maroc.
Nés du rapprochement de 2 leaders spécialistes de l’intégration des solutions Microsoft, nous allions expertise technique et fonctionnelle pour répondre concrètement aux enjeux de demain : accélération de la transformation digitale, CyberSécurité, Intelligence Artificielle, IoT, Data, transformation vers le cloud Azure, Services Cognitifs et Intelligence Artificielle…
En rejoignant la communauté Exakis Nelite dans l’une de nos 14 agences, vous intégrerez une équipe passionnée et impliquée dans les projets les plus innovants. Vous rejoindrez une structure construite autour de valeurs tournées vers ses collaborateurs : intelligence collective, convivialité et bienveillance.
Département : Logiciel
Ville : Grenoble
Type de contrat : CDI
Expérience : 2 ans
En tant que Consultant technique SharePoint / Office 365, vous intervenez dans le cadre de la mise en place d’une solution collaborative avec les technologies Microsoft SharePoint et Office 365 :
Analyser et qualifier le besoin
Rédiger des spécifications fonctionnelles
Développer des composants Sharepoint / SPO
Intervenir sur la phase de training
En fonction du projet, des besoins et de vos aptitudes, vous pouvez être amené(e) à participer aux phases d’avant-vente, d’étude, d’architecture, de réalisation de la solution et d’encadrement technique des projets.
Profil
De formation BAC+5 idéalement en ingénierie, vous justifiez d’un minimum de 2 ans d’expérience dans le cadre de projets SharePoint. Vous avez une réelle expertise sur plusieurs des environnements suivants : Sharepoint Server 2013/2010/2007, Sharepoint Online (Microsoft Office 365), Windows Server 2012/2008/2003, SQL Server, IIS, Yammer (RSE), Powershell/.net/Sharepoint Designer/K2, Solution Avepoint, OneDrive, Teams, Azure
Pour postuler
Si cette offre vous intéresse, merci de communiquer votre CV + Lettre de motivation personnalisée.
Vous souhaitez nous rejoindre ?
Contactez votre agence Exakis la plus proche ou envoyer votre candidature sur notre formulaire en ligne.
Candidater à cette offre"
3,https://www.indeed.fr/emplois?q=Data%20consultant&l=Lyon&radius=100&limit=100&sort=date&vjk=2e2357de5f227e0c,"Service Line Manager (H/F)
Exakis10 avis - Grenoble (38)","['Grenoble (38)', 'CDI']",Service Line Manager (H/F),Exakis,- Grenoble (38),CDI,null,"il y a 55 minutes
- Continuer pour postuler
Signaler cette offre d'emploi",Data consultant,Lyon,"Exakis Nelite, entité du groupe Magellan Partners, est le premier partenaire pure-player Microsoft en France avec l’ambition de devenir le premier partenaire Européen et en Afrique Francophone avec sa forte présence au Maroc.
Nés du rapprochement de 2 leaders spécialistes de l’intégration des solutions Microsoft, nous allions expertise technique et fonctionnelle pour répondre concrètement aux enjeux de demain : accélération de la transformation digitale, CyberSécurité, Intelligence Artificielle, IoT, Data, transformation vers le cloud Azure, Services Cognitifs et Intelligence Artificielle…
En rejoignant la communauté Exakis Nelite dans l’une de nos 14 agences, vous intégrerez une équipe passionnée et impliquée dans les projets les plus innovants. Vous rejoindrez une structure construite autour de valeurs tournées vers ses collaborateurs : intelligence collective, convivialité et bienveillance.
Département : Structure
Ville : Grenoble
Type de contrat : CDI
Expérience : 5 ans
Poste et missions
En tant que Service Line Manager, vous pilotez les activités et le développement des offres et projets sur un périmètre géographique ou fonctionnel Agence.
Rattaché(e) à la Direction de l’agence vous êtes chargé-e de :
D’animer une équipe de consultants dans leur quotidien, leurs évolutions et leurs formations
Garant de la bonne tenue des projets, vous vous assurez en permanence de la satisfaction des clients et des consultants
Gérer les risques opérationnels
Elaborer des préconisations, proposer des solutions et senarii d’amélioration
Communiquer sur l’avancée du projet (qualité / coûts / délais) et assurer le reporting
S’assurer de la qualité du suivi technique des équipes de « delivery »
Contribuer activement au développement et l’enrichissement de l’offre autant sur la déclinaison d’un cadre de valorisation commerciale que sur l’efficacité opérationnelle pour les projets
Intervenir lors de la défense de dossiers pour valoriser le savoir-faire de la Société, que ce soit en tant que rédacteur ou participant aux soutenances.
Être un acteur important de la prospection au travers de son positionnement dans différents environnements client.
Développer des compétences des consultants de l’équipe (aide à la résolution des difficultés techniques et comportementales)
Accompagner la montée en compétences techniques des nouveaux consultants
Participer au recrutement des consultants
Animer les Teams Leaders
Profil
De formation Bac+4/5, vous disposez idéalement de 5-10 ans d’expérience minimum réussie dans la gestion d’équipes techniques dans une ESN avec une expérience internationale obligatoire.
Au fait de l’écosystème local, vous êtes motivé(e) par la qualité du service rendu au client afin de développer un partenariat avec nos clients dans la durée et la fédération des équipes autour du projet global et de l’activité Infrastructure.
Doté de grandes qualités relationnelles, vous faites preuve par ailleurs de pugnacité d’énergie et d’ambition.
Vos atouts, indispensables pour réussir à ce poste :
Anglais obligatoire
Management d’équipe
Gestion du temps
Communication écrite et orale
Encadrement
Pour postuler
Si cette offre vous intéresse, merci de communiquer votre CV + Lettre de motivation personnalisée.
Vous souhaitez nous rejoindre ?
Contactez votre agence Exakis la plus proche ou envoyer votre candidature sur notre formulaire en ligne.
Candidater à cette offre"
4,https://www.indeed.fr/emplois?q=Data%20consultant&l=Lyon&radius=100&limit=100&sort=date&vjk=df880bcff76558de,"Architecte Office 365 (H/F)
Exakis10 avis - Grenoble (38)","['Grenoble (38)', 'CDI']",Architecte Office 365 (H/F),Exakis,- Grenoble (38),CDI,null,"il y a 55 minutes
- Continuer pour postuler
Signaler cette offre d'emploi",Data consultant,Lyon,"Exakis Nelite, entité du groupe Magellan Partners, est le premier partenaire pure-player Microsoft en France avec l’ambition de devenir le premier partenaire Européen et en Afrique Francophone avec sa forte présence au Maroc.
Nés du rapprochement de 2 leaders spécialistes de l’intégration des solutions Microsoft, nous allions expertise technique et fonctionnelle pour répondre concrètement aux enjeux de demain : accélération de la transformation digitale, CyberSécurité, Intelligence Artificielle, IoT, Data, transformation vers le cloud Azure, Services Cognitifs et Intelligence Artificielle…
En rejoignant la communauté Exakis Nelite dans l’une de nos 14 agences, vous intégrerez une équipe passionnée et impliquée dans les projets les plus innovants. Vous rejoindrez une structure construite autour de valeurs tournées vers ses collaborateurs : intelligence collective, convivialité et bienveillance.
Département : Infrastructure
Ville : Grenoble
Type de contrat : CDI
Expérience : 2 ans
Poste et missions
Pourquoi Exakis Nelite ?
Une équipe dynamique et polyvalente vous attend afin de relever de nouveaux défis
A la pointe des nouvelles technologies, vous intégrerez la communauté Infrastructure pour accompagner les grands comptes de la région Lyonnaise dans leur stratégie digitale et l’adoption des services SaaS qui en découle.
En tant que consultant confirmé, votre autonomie et votre force de proposition prendront toute leur ampleur en prenant en charge des projets de plusieurs centaines de jours
Vous travaillerez dans une ambiance conviviale, constructive, sereine, laissant une grande place à l’initiative et au développement personnel.
Mais concrètement, que ferez-vous ?
Selon les missions vous serez amené à :
Accompagner nos clients dans leur stratégie digitale
Animer des ateliers d’architecture technique
Appréhender les besoins fonctionnels et les contraintes techniques du client
Préconiser des architectures complexes pour répondre à une problématique ou un besoin métier
Définir et améliorer les standards, patterns d’architecture et le catalogue de services
Superviser et mettre en œuvre, dans le cadre des projets, les préconisations techniques établies dans le cadre des cahiers des charges
Rédiger les documents associés (HLD, LLD, etc.)
Piloter des projets et des hommes
Intervenir en toute autonomie sur les phases de cadrage technique et/ou avant ventes
Assurer une veille technologique
Définition et design d’architectures Exchange dans leurs déclinaisons On-Premise, Online et Hybride,
Définition et design d’architectures Skype dans leurs déclinaisons On-Premise, Online et Hybride,
Rédaction des dossiers d’architectures techniques,
Définition de stratégies de migration, dossiers d’exploitation
Profil
Malgré de nombreuses missions disponibles, nos recrutements sont exclusivement réalisés sur profil
De formation BAC+5, vous justifiez d’une expérience significative dans l’infrastructure informatique et notamment sur Office 365. Vous justifiez d’une expérience significative, dans le cadre de projets reposant sur Office 365, Exchange, Skype for Business, Active Directory et EM+S.
Bon(ne) communicant(e), vous êtes capable de vous adapter à la fois au travail en équipe et aux projets de nos clients.
La maitrise de l’anglais est obligatoire.
Pour postuler
Si cette offre vous intéresse, merci de communiquer votre CV + Lettre de motivation personnalisée.
Vous souhaitez nous rejoindre ?
Contactez votre agence Exakis la plus proche ou envoyer votre candidature sur notre formulaire en ligne.
Candidater à cette offre"
5,https://www.indeed.fr/emplois?q=Data%20consultant&l=Lyon&radius=100&limit=100&sort=date&vjk=918492806e82dc44,"CONSULTANT INTERNE SAP BW H/F
SODIAAL INTERNATIONAL - Lyon (69)","['Lyon (69)', 'CDI']",CONSULTANT INTERNE SAP BW H/F,SODIAAL INTERNATIONAL,- Lyon (69),CDI,null,"Sodiaal - il y a 9 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Data consultant,Lyon,"Sodiaal est né du rapprochement de 7 coopératives laitières régionales, en 1990. Au fil des années, il a considérablement évolué et s'est fortement restructuré afin de répondre aux exigences du marché. En 2011, l'acquisition d'Entremont Alliance lui permet de devenir le 2ème acteur majeur multi-métiers dans le secteur laitier en France avec un éventail de marques à forte notoriété : Candia, Le Rustique, Coeur de Lion, Régilait, Entremont, Yoplait... La fusion avec 3A Coop en 2014 a renforcé sa position de leader sur le marché français et lui a permis de se positionner sur le marché européen et mondial. Le groupe collecte 4,8 milliards de litres de lait, dégage un chiffre d'affaires de 5,4 milliards d'euros, emploie 9 400 salariés et possède plus de 70 sites industriels en France. Sodiaal International est la holding du groupe. Elle remplit des missions de pilotage stratégique et de contrôle. Elle intègre les services partagés pour le compte des filiales afin d'en optimiser les coûts et d'en partager les compétences. La Direction financière, la DRH, la Direction du marketing stratégique, de la recherche et de l'innovation, la Direction des opérations, la Direction du développement coopératif, la direction du développement international, la Direction QHSE font partie de Sodiaal International.
Mission
Rattaché(e) à la DSI, vous intégrez au sein de la Direction Informatique Technology & digital, sous la responsabilité du manager BI & Middleware du Groupe SODIAAL. Intégré(e) au sein de la Direction Informatique Technology & digital, vous êtes rattaché(e)au responsable BI & Middleware du Groupe SODIAAL. Travailler en mode projet ou sur la maintenance corrective et évolutive des applications BI notamment SAP BW (et/ou BW on Hana) sur différents processus métier et dans un contexte multi-site. Développer des solutions de reporting interactif avec l'outil SAP BusinessObjects BI. Maximiser la valeur pour nos clients internes à l'aide des techniques agiles.
Profil
De formation BAC + 5 spécialisée en Informatique ou Mathématique. Minimum 3 ans d'expérience. Maitrise des applications SAP BW et SAP BusinessObjects BI. Expérience souhaitée dans le cloud. Excellentes aptitudes d’analyse, d’organisation et de gestion de données. Bonne capacité à travailler en mode Agile. Esprit d'équipe, goût et bonnes aptitudes relationnelles. Des connaissances dans d'autres domaines de reporting (Ex : Qlik, Power BI), ETL (Ex : Talend, Oracle Data Integrator) et algorithmie seraient un plus. Une expérience en Big Data et sur AWS est un atout."
6,https://www.indeed.fr/emplois?q=Data%20consultant&l=Lyon&radius=100&limit=100&sort=date&vjk=66d234b574abe596,"Consultant MDM H/F
Micropole12 avis - Lyon (69)","['Lyon (69)', 'Stage']",Consultant MDM H/F,Micropole,- Lyon (69),Stage,null,"il y a 16 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Data consultant,Lyon,"Vous êtes à la recherche d’un stage ? Vous ne pouviez pas mieux tomber : Micropole recherche son futur super Consultant MDM pour rejoindre ses équipes lyonnaises.
Mais d’abord présentons-nous :
Micropole est un groupe international spécialisé en conseil et technologies innovantes. Aujourd’hui nos collaborateurs de l’agence Micropole Lyon sont des acteurs incontournables de l’accompagnement de grands comptes dans la mise en œuvre de leurs référentiels afin de fiabiliser et valoriser leurs données et de l’intégration des principaux outils du marché.
DESCRIPTION DU PROJET
Le projet consiste à la mise en place ou l’évolution d’une solution de Master Data Management pour l’un de nos clients.
Le projet permet d’appréhender les différentes composantes d’un projet MDM dans un contexte réel d’entreprise : conception multidimensionnelle, alimentation de référentiels et de données, mise en place des règles-métiers propres au business model, mise en œuvre d’un workflow suivant les processus de nos clients, rapports et tableaux de bord…
Vous participez aux différents projets en cours, ainsi qu’à des travaux de capitalisation et de veille technologique.
MISSIONS
Familiarisation avec les environnements de développements Java / J2EE
Maitrise de la mise en œuvre des différents frameworks
Appréhension des contraintes et des spécificités propres à Micropole (architectures applicatives, normes de développements, bonnes pratiques)
Manipulation de données et data quality
Développement de fonctionnalités sur les nouvelles applications demandées par nos clients
Maintenance corrective et évolutive sur nos applications existantes
Familiarisation avec les plateformes de Master Data Management & ESB / EAI
Compréhension des enjeux des projets d’urbanisation des systèmes d’informations
TECHNOLOGIES
Java/J2EE, Plateformes de Master Data Management & ESB/EAI
PROFIL
Vous allez bientôt être diplômé de votre école d’ingénieurs ou de votre université.
Vous avez des connaissances en manipulation de données (SQL) et en développement orienté objet.
Vous êtes dynamique, curieux, rigoureux et que vous avez un goût prononcé pour le travail en équipe, alors vous êtes celui que nous recherchons et qui ravira aussi bien nos collaborateurs que nos clients !
Vous hésitez encore ? Nous allons définitivement vous convaincre :
Le Groupe Micropole est labellisé Happy at Work et Happy Trainees. Nous vous proposons des missions variées avec des challenges techniques à relever, le tout dans une ambiance de travail conviviale (que nous cultivons grâce à des évènements pôle et agence).
Alors, pourquoi pas vous ?
Pour candidater, envoyez votre plus beau CV à : recrutement.lyon@micropole.com
Réf : 2019-STAGEMDM-RA
#LI-MP1"
7,https://www.indeed.fr/emplois?q=Data%20consultant&l=Lyon&radius=100&limit=100&sort=date&vjk=db03ac7f88cdc215,"CONSULTANT MARKETING-CRM H/F
Business & Decision31 avis - Lyon (69)","['Lyon (69)', 'CDI']",CONSULTANT MARKETING-CRM H/F,Business & Decision,- Lyon (69),CDI,null,"il y a 13 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Data consultant,Lyon,"Agir là où data et digital façonnent l'avenir des entreprises
Depuis plus de 25 ans, Business & Decision s'est imposé comme un partenaire stratégique pour la transformation digitale de nombreux clients, dans des secteurs très variés.
Plus que par son côté précurseur en Data expérience et ses expertises reconnues dans le digital, sa force repose sur ses 2 500 collaborateurs. Tous sont animés par la même passion pour l'innovation technologique, les projets qui stimulent leur créativité et l'envie de repousser les limites du futur.
Votre mission ?
Pour notre agence lyonnaise, vous serez en charge de :
o Mettre en place des campagnes marketing pour le compte de nos clients, autour des solutions recommandées par B&D : Adobe Campaign, ClickDimensions, Marketo, Eloqua, Responsys…
o Concevoir : recueil de besoins, analyse technico-fonctionnelle, architecture
o Réaliser : mise en œuvre du projet, développement, tests, évolutions, recette
o Documenter : spécifications, cahier de tests, contrats d’interface, guide utilisateurs
Votre profil pour mener à bien cette mission
Issu(e) d'une formation supérieure en informatique, vous avez de plus une appétence fonctionnelle pour le marketing et le CRM.
o Vous maîtrisez l'une des technologies suivantes: Adobe Campaign, ClickDimensions, Marketo, Eloqua, Responsys
o Vous maîtrisez les langages suivants : Javascript, XML, SQL, HTML, CSS, REST / SOAP
o Votre anglais est fluide - intelligible
Type de contrat
CDI"
8,https://www.indeed.fr/emplois?q=Data%20consultant&l=Lyon&radius=100&limit=100&sort=date&vjk=92dc0848e7877b99,"Stage Data Lyon H/F
Ippon Technologies - Lyon (69)","['Lyon (69)', 'Stage']",Stage Data Lyon H/F,Ippon Technologies,- Lyon (69),Stage,null,"il y a 18 heures
Signaler cette offre d'emploi",Data consultant,Lyon,"@IpponLyon...
Nous sommes 40 consultants technophiles cachés derrière la Sucrière à Confluence
Nous nous levons le matin grâce à notre réveil… et l’appel des croissants à l’agence
Nous sommes imbattables au Uno et au choix de resto le midi
Notre job? se faire plaisir sur des projets agiles Java, BigData, DevOps, Cloud
Nos chiffres? 30 kg d’oursons en Guimauve et 180L de café par an
Notre prochaine commande? un porte-manteau pour y ajouter le tien! Et ton accès Blackbelt pour obtenir une belt Data!
Le contexte du projet :
Nous souhaitons faire évoluer le data portal ippon développé lors d’un précédent stage pour l’enrichir avec l’ingestion et la mise à disposition d’open data sur les entreprises.
Nous souhaitons également pouvoir croiser ces données avec des données issues de Linkedin.
Ton rôle :
Ton rôle sera de monter en compétence sur la stack technologique du data portal ippon (Fullstack Serverless : AWS, Lambda en Python, React), de choisir les composants complémentaires nécessaires (machine learning) et de réaliser les développements et la promotion du projet.
L’écosystème dans lequel tu vas évoluer ! :
AWS
Python
React
Terrraform
Librairies de machine learning à identifier
#Data #Cloud #AWS #Python #ReactJS #Serverless
Ta mission: tirer profit de ces 6 mois de stage pour te préparer à appréhender le monde passionnant de la data à noscôtés!
Tes forces :
Tu es à très à l’aise en Python et souhaite monter en compétence sur les technologies Cloud ?
Tu es curieux et passionné ? Tu es au bon endroit !
Tu aimes travailler en équipe et être force de proposition ? Cette annonce est faite pour toi !
Tu as envie de travailler sur des projets innovants ? Tu es à la bonne enseigne !
Si comme nous, tu es passionné(e) de développement et que tu te retrouves dans nos valeurs #TeamWork #Dépassement #CleanCode... Et Si, tu as envie d’apprendre et de contribuer en équipe au développement d’un projet innovant
...Alors rejoins la #Team Ippon !
Type d'emploi : Stage
Expérience:
stage data lyon h/f ou similaire: 1 an (Souhaité)"
9,https://www.indeed.fr/emplois?q=Data%20consultant&l=Lyon&radius=100&limit=100&sort=date&vjk=6b2460c1d41a0481,"Data scientist Python/ R / Freelance
CS Group Solutions - Rhône","['Rhône', 'Temps plein, Freelance / Indépendant']",Data scientist Python/ R / Freelance,CS Group Solutions,- Rhône,"Temps plein, Freelance / Indépendant",null,"Freelance-info - il y a 22 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Data consultant,Lyon,"Nous recherchons un consultant data scientist avec des compétences Python & R pour un projet

Xavier CASSAGNERES
CS GROUP SOLUTIONS
Mob. 06 20 11 47 70
xavier.cassagneres@groupcs.com"
