,id,meta1,meta2,titre_poste,entreprise,localisation,contrat,salaire,date_publication,keyword_metier,keyword_localisation,description
0,https://www.indeed.fr/emplois?q=Data%20manager&l=Lyon&radius=100&limit=100&sort=date&vjk=2e2357de5f227e0c,"Service Line Manager (H/F)
Exakis10 avis - Grenoble (38)","['Grenoble (38)', 'CDI']",Service Line Manager (H/F),Exakis,- Grenoble (38),CDI,null,"il y a 2 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Data manager,Lyon,"Exakis Nelite, entité du groupe Magellan Partners, est le premier partenaire pure-player Microsoft en France avec l’ambition de devenir le premier partenaire Européen et en Afrique Francophone avec sa forte présence au Maroc.
Nés du rapprochement de 2 leaders spécialistes de l’intégration des solutions Microsoft, nous allions expertise technique et fonctionnelle pour répondre concrètement aux enjeux de demain : accélération de la transformation digitale, CyberSécurité, Intelligence Artificielle, IoT, Data, transformation vers le cloud Azure, Services Cognitifs et Intelligence Artificielle…
En rejoignant la communauté Exakis Nelite dans l’une de nos 14 agences, vous intégrerez une équipe passionnée et impliquée dans les projets les plus innovants. Vous rejoindrez une structure construite autour de valeurs tournées vers ses collaborateurs : intelligence collective, convivialité et bienveillance.
Département : Structure
Ville : Grenoble
Type de contrat : CDI
Expérience : 5 ans
Poste et missions
En tant que Service Line Manager, vous pilotez les activités et le développement des offres et projets sur un périmètre géographique ou fonctionnel Agence.
Rattaché(e) à la Direction de l’agence vous êtes chargé-e de :
D’animer une équipe de consultants dans leur quotidien, leurs évolutions et leurs formations
Garant de la bonne tenue des projets, vous vous assurez en permanence de la satisfaction des clients et des consultants
Gérer les risques opérationnels
Elaborer des préconisations, proposer des solutions et senarii d’amélioration
Communiquer sur l’avancée du projet (qualité / coûts / délais) et assurer le reporting
S’assurer de la qualité du suivi technique des équipes de « delivery »
Contribuer activement au développement et l’enrichissement de l’offre autant sur la déclinaison d’un cadre de valorisation commerciale que sur l’efficacité opérationnelle pour les projets
Intervenir lors de la défense de dossiers pour valoriser le savoir-faire de la Société, que ce soit en tant que rédacteur ou participant aux soutenances.
Être un acteur important de la prospection au travers de son positionnement dans différents environnements client.
Développer des compétences des consultants de l’équipe (aide à la résolution des difficultés techniques et comportementales)
Accompagner la montée en compétences techniques des nouveaux consultants
Participer au recrutement des consultants
Animer les Teams Leaders
Profil
De formation Bac+4/5, vous disposez idéalement de 5-10 ans d’expérience minimum réussie dans la gestion d’équipes techniques dans une ESN avec une expérience internationale obligatoire.
Au fait de l’écosystème local, vous êtes motivé(e) par la qualité du service rendu au client afin de développer un partenariat avec nos clients dans la durée et la fédération des équipes autour du projet global et de l’activité Infrastructure.
Doté de grandes qualités relationnelles, vous faites preuve par ailleurs de pugnacité d’énergie et d’ambition.
Vos atouts, indispensables pour réussir à ce poste :
Anglais obligatoire
Management d’équipe
Gestion du temps
Communication écrite et orale
Encadrement
Pour postuler
Si cette offre vous intéresse, merci de communiquer votre CV + Lettre de motivation personnalisée.
Vous souhaitez nous rejoindre ?
Contactez votre agence Exakis la plus proche ou envoyer votre candidature sur notre formulaire en ligne.
Candidater à cette offre"
1,https://www.indeed.fr/emplois?q=Data%20manager&l=Lyon&radius=100&limit=100&sort=date&vjk=d6bd21a6bf2679e5,"Infrastructures Delivery Manager
Elitecyber - Lyon (69)","['Lyon (69)', 'CDI', '60 000 € par an']",Infrastructures Delivery Manager,Elitecyber,- Lyon (69),CDI,60 000 € par an,"il y a 2 heures
Signaler cette offre d'emploi",Data manager,Lyon,"Le client :
Notre client est une entreprise experte de la transformation digitale, du Cloud, de la Data et des Services Managés.
Le business apporte son expertise et méthodologie sur des sujets qui vont de la stratégie vers le Cloud jusqu’aux Services Managés d’applications métiers et données clients critiques.
Partenaire AWS, Microsoft et Oracle, ils accompagnent les clients sur toute la chaine de valeur au travers des offres de Conseil, Expertise & Projet, Infogérance, Software Asset Management et Formation.
Le projet :
Coordonner les Equipes du Centre de Services CMS sous la responsabilité du Responsable des Opérations .
Être le garant des engagements de services de la MCO et de la tenue des SLA .
Dans le cadre de la gestion des problèmes, instruire et animer le traitement avec les équipes clients .
Créer et suivre des indicateurs et assurer la communication auprès des différents groupes dans le respect des engagements de service .
Assurer une équité de traitement, d’action et d’investigation entre l’ensemble des clients dont il a la responsabilité.
Le profil :
3 ans d’expérience dans la même fonction et/ou dans des fonctions similaires ;
Connaissances avérées sur les Bases de Données et l’Infrastructure (on-premise & Cloud) Capacité à gérer et encadrer une équipe  (10 personnes)
Bonnes capacités relationnelles (communication, écoute, sens du dialogue et du service) Gestion de l’urgence ;
Compétences ITIL (une ou plusieurs certifications sont fortement appréciées).
Job Type: Permanent
Salary: 60,000.00€ /year"
2,https://www.indeed.fr/emplois?q=Data%20manager&l=Lyon&radius=100&limit=100&sort=date&vjk=cdd49447b6ff42d9,"CDI - Master Data Manager W/M- Winter Sports Equipment
Salomon32 avis - Annecy (74)",['Annecy (74)'],CDI - Master Data Manager W/M- Winter Sports Equipment,Salomon,- Annecy (74),null,null,"il y a 8 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Data manager,Lyon,"Job Description

We are looking for a Master Data Manager Winter Sports Equipment W/M to:
Be responsible for the implementation of the global master data strategy and to provide support to the business by guiding maintenance of material Master Data in accordance with the Winter Sports Equipment goals and objectives. The position will provide support to the business by assisting in and leading master data related projects. The Master Data Manager will initiate efforts to increase data quality, efficiency and will participate in enhancement opportunities within the master data space.

You will report directly to the Head of Sales Controlling & Sales Operations

Main Activities
Strategy:
Facilitate regular exchange and strategic reviews between brands and shared platforms (IT, SAP, OPS, GTM, etc.)
Act as first contact and networker in terms of master data for the category (brands and transversal functions)
Implement standards, rules and principles as related to master data management on category level (in alignment with global MD)
Identify critical areas and develop risk mitigation plans as related to master data management (e.g. know-how transfer, system, etc.)
Identify, develop and implement processes to maintain high-quality data assets supporting the business in providing quality data, ensuring data consistency, accuracy, and accessibility
Execution:
Facilitate regular trainings and best practice sharing across users and key-stakeholder
(in-/outside the category)
Understand and visualize the interactions in between systems as well as the link in between in-and output (end-to-end)
Drive transparency based on workflows, working instructions, up-to-date documentation, etc.
Act as central contact with regard to all RFC (requests for change) on PLM systems and MD effecting the category (prioritization)
Act as a liaison between the business and IT support staff providing technical solutions that fit the business needs and structure
Propose and execute master data enhancements to achieve more efficient, accurate data
Improvement:
Facilitate and host continuous feedback and improvement session with key-users (heavy users) inside of Winter Sports Equipment
Drive and support the continuous improvement process of systems, interfaces, workflows and data quality
Develop the know-how and expertise of the category in master

Qualifications
Needed Work Experience: Knowledge and Understanding of large and complex data bases, with a minimum of 3-5 years of experience
Education: Bachelor’s degree with business or data-related focus (Information Systems)
Specific Skills:
Knowledge of master data management concepts and approaches
Strong project and time management skills with attention to detail with excellent follow-through
Leadership skills with the ability to influence non-hierarchical, cross-functional work groups to drive to consensus on definitions and data usage
Excellent communication skills in a multicultural organization
Able to work under pressure with multiple deadlines
Analytical experience with high aptitude for research, analysis and problem solving skills
Proactive to challenge the status quo and to recommend innovative solutions
Drive, enthusiasm
Foreign Language(s): Fluent English skills required, German and French skills an advantage

Additional Information

Permanent Contract, Full Time
Location can be Altenmarkt, Annecy or Munich"
3,https://www.indeed.fr/emplois?q=Data%20manager&l=Lyon&radius=100&limit=100&sort=date&vjk=918492806e82dc44,"CONSULTANT INTERNE SAP BW H/F
SODIAAL INTERNATIONAL - Lyon (69)","['Lyon (69)', 'CDI']",CONSULTANT INTERNE SAP BW H/F,SODIAAL INTERNATIONAL,- Lyon (69),CDI,null,"Sodiaal - il y a 11 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Data manager,Lyon,"Sodiaal est né du rapprochement de 7 coopératives laitières régionales, en 1990. Au fil des années, il a considérablement évolué et s'est fortement restructuré afin de répondre aux exigences du marché. En 2011, l'acquisition d'Entremont Alliance lui permet de devenir le 2ème acteur majeur multi-métiers dans le secteur laitier en France avec un éventail de marques à forte notoriété : Candia, Le Rustique, Coeur de Lion, Régilait, Entremont, Yoplait... La fusion avec 3A Coop en 2014 a renforcé sa position de leader sur le marché français et lui a permis de se positionner sur le marché européen et mondial. Le groupe collecte 4,8 milliards de litres de lait, dégage un chiffre d'affaires de 5,4 milliards d'euros, emploie 9 400 salariés et possède plus de 70 sites industriels en France. Sodiaal International est la holding du groupe. Elle remplit des missions de pilotage stratégique et de contrôle. Elle intègre les services partagés pour le compte des filiales afin d'en optimiser les coûts et d'en partager les compétences. La Direction financière, la DRH, la Direction du marketing stratégique, de la recherche et de l'innovation, la Direction des opérations, la Direction du développement coopératif, la direction du développement international, la Direction QHSE font partie de Sodiaal International.
Mission
Rattaché(e) à la DSI, vous intégrez au sein de la Direction Informatique Technology & digital, sous la responsabilité du manager BI & Middleware du Groupe SODIAAL. Intégré(e) au sein de la Direction Informatique Technology & digital, vous êtes rattaché(e)au responsable BI & Middleware du Groupe SODIAAL. Travailler en mode projet ou sur la maintenance corrective et évolutive des applications BI notamment SAP BW (et/ou BW on Hana) sur différents processus métier et dans un contexte multi-site. Développer des solutions de reporting interactif avec l'outil SAP BusinessObjects BI. Maximiser la valeur pour nos clients internes à l'aide des techniques agiles.
Profil
De formation BAC + 5 spécialisée en Informatique ou Mathématique. Minimum 3 ans d'expérience. Maitrise des applications SAP BW et SAP BusinessObjects BI. Expérience souhaitée dans le cloud. Excellentes aptitudes d’analyse, d’organisation et de gestion de données. Bonne capacité à travailler en mode Agile. Esprit d'équipe, goût et bonnes aptitudes relationnelles. Des connaissances dans d'autres domaines de reporting (Ex : Qlik, Power BI), ETL (Ex : Talend, Oracle Data Integrator) et algorithmie seraient un plus. Une expérience en Big Data et sur AWS est un atout."
4,https://www.indeed.fr/emplois?q=Data%20manager&l=Lyon&radius=100&limit=100&sort=date&vjk=38e17e5583deee84,"Software Engineer Internship - 6 months
Salesforce532 avis - Grenoble (38)","['Grenoble (38)', 'Temps plein, Intérim, Stage']",Software Engineer Internship - 6 months,Salesforce,- Grenoble (38),"Temps plein, Intérim, Stage",null,"il y a 22 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Data manager,Lyon,"Job Category
Intern
Job Details
Software Engineer Internship Program France - 6 months

Start date: 1 February
Duration: 6 months
Location : Grenoble

This is your time to shine! Salesforce is now hiring top talent to join our Futureforce into different departments for a 6 month internship starting on the first of February. Whether you are coming from a technical or creative background, we’d like to hear from you to help you develop your skills and potentially help build your career with Salesforce!

About Salesforce
Salesforce, the Customer Success Platform and world's #1 CRM, empowers companies to connect with their customers in a whole new way. The company was founded on three disruptive ideas: a new technology model in cloud computing, a pay-as-you-go business model, and a new integrated corporate philanthropy model. These founding principles have taken our company to great heights, including being named one of Forbes’s “World’s Most Innovative Company” eight years in a row and on the FORTUNE ‘100 Best Companies to Work For®’ List twelve years in a row. We are the fastest growing of the top 10 enterprise software companies, and this level of growth equals incredible opportunities to grow a career at Salesforce. Together, with our whole Ohana (Hawaiian for ""family"") made up of our employees, customers, partners and communities, we are working to improve the state of the world.

Futureforce is Salesforce’s global university recruiting program dedicated to attracting, retaining and cultivating next generation talent.

We would have potential opportunities within the Search team :
The Search team within Salesforce seeks an outstanding Intern with a passion for software development. As a member of this team, you'll be given the opportunity to have a direct impact on the most used feature of the Salesforce platform early in your career, analyzing and optimizing features that will benefit the millions of users using Salesforce daily. This position requires you to be excited about what makes search better!

- Analyze and Optimize Solr Token Filters :
The number of tokens produced for a chunk of text is a major factor on the efficiency of the search platform: disk size, memory size, indexing speed, search speed. Simple words become one token, but punctuation, symbols, and mixed letter-number combinations ultimately yield multiple tokens. A recent analysis of our tokens showed that many appear to be of no use, thus lowering the efficiency of the platform. Over time our tokenization process has grown increasingly complex but we have not yet put effort into optimizing to a fewer number of tokens. Are you up to the task?

- Large Scale build infrastructure
Your objective, as an intern, will be to work on a proof-of-concept to consolidate the many private github repositories for the search team into a broader git monorepo, and demonstrate that maven can be replaced by bazel (build tool open-sourced by Google) while improving developer productivity (measurable). You will work with modern technologies like Bazel, Jenkins, Docker, Intellij and more. You will be able to leverage a broader company initiative that already implements that approach for other projects.

Optimize query runtime using hundred of signals
If you are interested in data structure and are curious about Solr. You will have the responsibility to find the most efficient approach to store hundreds of signals in solr that would be efficient evaluated at query time.
Build Monitoring at Scale
We are seeking an intern who is passionate about making the life of other engineers easier. We expect as a result a platform automating common monitoring tasks, to improve our capabilities of preventing, detecting and remediating anomalies at scale. The latter platform can leverage technologies such as Jupyter notebooks, Apache Airflow (workflow scheduling), Slack “chatops” bots, or Kubernetes.
Next Generation Query Suggester
You will have the opportunity to:
Understand our current query suggestion system
Develop cutting-edge Natural Language algorithms to generate more advanced suggestions
Find signals and explore new ranking methods for suggestions
Build and leverage user's query history to personalize your suggestions
Evaluate your implementation using billions of search activities from production.
Benchmark and Optimize Worm-Hashing
Your objective as an intern will be first to benchmark the existing code, comparing to multiple other Java hash map libraries open-source. Benchmarking is an area of expertise in itself. Then study the technique and implementation and potentially propose optimizations. In a second time, you will have the opportunity to implement a clean version for open-source. You will be able to study the primitive hash map usages in Lucene, to replace with Worm-Hashing, to adapt to other data structures, and to benchmark potential gains.
- Capture User Interests to drive Better Search
Your objective, as an intern, will be to help identify, build, experiment and evaluate innovative approaches for user interest profiling, recommender systems and search relevance. This challenge is a unique opportunity to have an impact on millions of customers by bringing more intelligence to search !
- Optimize query execution in text search engine
Solr/SolrCloud is a very popular and widely distributed and used integration of the Lucene search engine. The search index structure of Lucene is a set of immutable index segments. Each new indexing batch creates a new segment. Queries to the index have to query all segments separately and merge the results. There are ways to collapse multiple segments into a single (new) one to maintain the number of segments below a defined threshold.

PROGRAM :

The program is an immersive program uniquely designed for university students. You will have many opportunities to impact and learn from colleagues all over the EMEA while having fun and developing your career.
We are the most successful cloud company and your skills, dedication, and curiosity will help us continue to innovate and grow. Working at Salesforce you will have the opportunity to significantly impact how we deliver customer success.

During the program you will acquire official industry standard Salesforce certifications, and gain knowledge and invaluable international experience leading to both professional and personal development. Depending on your profile, a strong emphasis will be placed on learning skills related to the areas of technical consulting, business acumen and how to engage with customers, and through our strong coaching culture, we aim to develop you into a world-class professional, poised to grow your career anywhere at Salesforce.
PROFILE:
We consider applicants from all academic disciplines, and place great emphasis on your cultural fit with our unique Ohana, which is the Hawaiian word for ""family"", and is one of our most important values. Due to the breadth of roles in our program, at a high-level, we welcome candidates from across three main personas; technical, business, and creative.

Generally, to apply for the Interns Program, you:
Are graduating in 2020 or 2021 (Master degree)
Student in Master degree in Computer Science
Are passionate about the impact technology can have on the world
Proficient in Java or any other high-level programming languages
Are a creative problem-solver
Are ambitious, curious and self-motivated
Are comfortable adapting to new opportunities and change
Are fluent in English and French.

Please apply with your CV and a cover letter.
Posting Statement
Salesforce.com and Salesforce.org are Equal Employment Opportunity and Affirmative Action Employers. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender perception or identity, national origin, age, marital status, protected veteran status, or disability status. Headhunters and recruitment agencies may not submit resumes/CVs through this Web site or directly to managers. Salesforce.com and Salesforce.org do not accept unsolicited headhunter and agency resumes. Salesforce.com and Salesforce.org will not pay fees to any third-party agency or company that does not have a signed agreement with Salesforce.com or Salesforce.org."
5,https://www.indeed.fr/emplois?q=Data%20manager&l=Lyon&radius=100&limit=100&sort=date&vjk=3a838e2da885d47c,null,"['Lyon 7e (69)', 'Temps partiel, CDI']",Opérateur de saisie junior H/F,Clininfo SAS,- Lyon 7e (69),"Temps partiel, CDI",null,"il y a 1 jour
Signaler cette offre d'emploi",Data manager,Lyon,"ENVIRONNEMENT
ClinInfo conçoit et développe depuis 20 ans des solutions informatiques personnalisées pour les professionnels de la recherche clinique (laboratoires, hôpitaux, etc.). Nos applications web facilitent la création de nouveaux médicaments, dispositifs médicaux et rendent possibles les études de nombreuses pathologies.
Notre jeune équipe d’informaticiens, de data managers et d’opérateurs de saisie travaille main dans la main avec nos clients et utilisateurs pour leur proposer des outils personnalisés adaptés à leurs projets et à leur quotidien.
VOTRE PROFIL
Vous avez déjà eu une expérience dans la saisie de données
Vous êtes rigoureux·se et efficace
Vous avez un très bon niveau d’orthographe
Vous êtes rapide au clavier
Vous avez des qualités relationnelles
VOS MISSIONS
Encadré·e par la Responsable Data Management et en collaboration avec une Opératrice de saisie sénior, vos missions seront :
La saisie de données biomédicales
Le remplissage des documents liés à l’activité de saisie
La réception et l’envoi des questionnaires saisis
L’utilisation d’un logiciel interne à ClinInfo pour réaliser des interventions liées à la saisie de données
Occasionnellement : la réponse au standard téléphonique
Poste CDI à mi-temps à pourvoir dès janvier 2020, horaires adaptables
Merci de transmettre CV et lettre de motivation par email
Site web : www.clininfo.fr
Type d'emploi : Temps partiel, CDI"
6,https://www.indeed.fr/emplois?q=Data%20manager&l=Lyon&radius=100&limit=100&sort=date&vjk=9e7d6a524b9ffddf,"Consultant Data F/H
Smile20 avis - Villeurbanne (69)","['Villeurbanne (69)', 'CDI']",Consultant Data F/H,Smile,- Villeurbanne (69),CDI,null,"Apec.fr - il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",Data manager,Lyon,"VOS MISSIONS :
Au sein de l'offre Business Apps, le

pôle Data

dispose de la plus large expertise en

outils Open Source

et met en œuvre les solutions de gestion de la donnée. Nous recherchons activement de nouveaux collaborateurs maîtrisant l'un de ces sujets :

Intégration de SI :
ETL / ESB / API Management / BPM

Talend

DI/ESB,

WSO2

EI/API manager,

Bonita

BPM

Analytics

Business Intelligence :
Jedox, Jaspersoft, BIRT, Superset

Datascience :
Python, R

En rejoignant Smile, vous évoluez dans un environnement d'expertises à forte valeur ajoutée. Vous avez possibilité de travailler sur des projets ambitieux dans des environnements métiers grands comptes.

Les solutions open source connaissent une croissance exceptionnelle aux cœurs des systèmes d'informations avec de nombreux projets innovants.

Dans le cadre de notre croissance et pour répondre aux nouveaux besoins de nos clients, nous recherchons à étoffer nos équipes en intégrant un consultant technique.

Rattaché(e) au Responsable de la BU, vous intégrez des équipes de projet et participez à toutes les phases de mise en œuvre d'un système de gestion de la données :

Conseils et cadrage du besoin Modélisation et implémentation des systèmes de gestion de données

Assurer la qualité du projet (optimisation, monitoring, ...)

Accompagnement du client après restitution
Profil recherché De formation informatique Bac+5, vous justifiez d'une expérience de minimum 3 ans dans des projets liés à la captation et / ou analyse de la données.

Le cadre de vie d'un Smilien :
Travail en équipe, entraide, professionnalisme et bonne humeur sont des valeurs qui vous tiennent à cœur.

Travailler dans un milieu à forte compétence fonctionnelle et technologique sur des projets novateurs,

Maîtriser des outils tels que Talend, WSO2, Bonita, MySQL, PostgreSQL, Jaspersoft, BIRT, ...

Environnement évolutif et dynamique,

Formations ""sur mesure"" avec la possibilité de passer des certifications grâce aux partenariats Smile / Éditeurs Open Source,

Développer votre carrière vers de l'expertise ou de la gestion de projet,

Atmosphère familiale,

Support de la Direction Technique, constituée d'experts certifiés,

Espaces collaboratifs (blogs, espaces, documentaires, wiki, …) et de capitalisation.
Entreprise Notre agence lyonnaise offre aux entreprises des régions Rhône-Alpes, Bourgogne et Auvergne, l'ensemble des offres de Smile: Digital, Embedded et IoT , Business Apps et Infrastucture. Les bureaux se trouvent idéalement le long du parc de la Tête d'or, entre sérénité du parc et activité économique du quartier Stalingrad.

L'agence compte 170 collaborateurs aux profils divers : ingénieurs, chefs de projet, directeurs de projets, architectes, experts, consultants, commerciaux, recruteurs, ainsi qu'un centre d'expertise et un centre de services."
7,https://www.indeed.fr/emplois?q=Data%20manager&l=Lyon&radius=100&limit=100&sort=date&vjk=4925488e2173b739,"Product Marketing Manager H/F
STORMSHIELD - Lyon (69)
A répondu à 51 %-74 % des candidatures des 30 derniers jours, généralement en 5 jours.","['Lyon (69)', 'CDI']",Product Marketing Manager H/F,STORMSHIELD,- Lyon (69),CDI,null,"il y a 1 jour
Signaler cette offre d'emploi",Data manager,Lyon,"Come and Join the Cyber Security world
A subsidiary of Airbus Defence and Space CyberSecurity (Airbus Group), Stormshield is the leading European vendor of information system security solutions.
Hacking attempts are commonplace nowadays and it seems that no-one can escape them, be it ministries, banks, industries, etc. Whether they handle sensitive data or not, every company is a target for hacker groups for one reason or another. Regardless of the motive, be it purely financial or strategic, hackers target a company's most vital assets: trade secrets, customer files, confidential company information, etc.
Our solutions protect companies against denial of service attacks, data theft, or damage to reputation, and help them to adhere to regulations concerning data confidentiality.
Product Marketing Manager : job & missions
With a view to boosting the development of our product offering, we are looking to recruit a Product Marketing Manager. Working at the core of the Marketing Team, you will coordinate with all product lines stakeholders to enable successful sales and promote the entire product portfolio. You will be as well responsible of the formalisation and the promotion of the product offers built on top of these products. As a Product Marketing Manager, you will manage outbound marketing for this portfolio: Canvas Value Proposition is part of your DNA, sales kits (presentations, data sheets, videos, etc.) and promotion (webinars, communication strategies, advertisements, newsletters, etc.) are no longer hold any secrets for you. You will also train internal and partners’ sales team, actively participate in the product launches and attend or participate at international exhibitions, events, conferences or seminars, etc. Your creativity will help to develop attractive, interactive and efficient messages and sales tools. You like writing punchy contents and promoting the value of innovative products.
You will also support inbound marketing and corporate communications for products: carry out market research, analyse customer or analyst feedback, monitor activities of technology partners and the security ecosystem, help in the creation of brand contents and participate in the global marketing plan definition.
The position is based in Villeneuve d’Ascq, Lyon, or Issy-Les-Moulineaux (Paris).
Product Marketing Manager : your profileSkills required
Good knowledge of the challenges, technologies and players involved in the digital security market
Good background of software and hardware security technologies
English speaker and writer
Experience in promoting products and services
Ability to create impactful messages
Strengths
Strong attention to detail, capable of working independently, good listening skills
Good writing and public speaking skills
Creative and inquisitive mindset
Can cope with stressful situations and manage priorities well
Ability to argue persuasively and identify and promote value
Education/Training
3 to 5 years of high education in an engineering school, a business school, or a university specializing in IT.
Experience
Minimum of 3 years of experience working as a Product Manager, Product Marketing Manager, Presales or Security Expert is required.
Type d'emploi : CDI
Expérience:
Product Marketing: 3 ans (Souhaité)"
8,https://www.indeed.fr/emplois?q=Data%20manager&l=Lyon&radius=100&limit=100&sort=date&vjk=a01c6796a4085acd,"CDI - IT TechOps Release Manager W/M - IT
Salomon32 avis - Annecy (74)",['Annecy (74)'],CDI - IT TechOps Release Manager W/M - IT,Salomon,- Annecy (74),null,null,"il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",Data manager,Lyon,"Job Description

We are looking for a IT TechOps Release Manager W/M to:
who collaborate with software developers, IT Architects and other IT staff members to provide tools and services in order to develop and deploy Infrastructure as code (I.A.C.) releases.
You will work in close collaboration with our final users, IT engineers, IT Architects, IT Developers, IT Project leads.
You will report directly to the ICS Team Responsible.

Main Activities:
Manage (building, update and evolution). Cross and merge the barriers that exist between software development, testing and operations teams and keep existing networks in mind as they design, plan and test.
Project Planning: participate in the processes of strategic project-planning meetings. Providing guidance and expertise on system options, risk, impact and costs vs. benefits. Create and share the operational requirements and development forecasts to allow for timely and accurate planning of projects.
Development: Responsible for developing and building IT solutions, install and configure solutions, implement reusable components, translate technical requirements, assist with all stages of test data, develop interface stubs and simulators and perform script maintenance and updates.
Deployment: build automated deployments through the use of configuration management technology. Deploy new modules and upgrades and complete fixes within the production environment. Make modules ready for production, which entails moving them according to specific procedures and documenting knowledge transfer.
Maintenance and Troubleshooting: Routine application maintenance tasks are an ongoing responsibility. Accomplish via strategy-building techniques. Help create requirements and procedures for implementing routine maintenance. Troubleshooting existing information systems for errors and resolving those errors.
Performance & Risk Management: evaluate existing applications and platforms, give recommendations for enhancing performance and security via gap analysis, identifying the most practical alternative solutions and assisting with modifications. Participate in controlling costs and monitor the operating budget.

Qualifications
Needed Work Experience:5 years of professional experience
Education: 4/5 year degree course
Specific Skills:
Dev-Ops skills:
proficiency in Infrastructure as code (Terraform, Ansible, PowerShell, Bash…)
Ability to operate devops tools and solutions (Gitlab, Ansible, Terraform, openshift, elasticseach, Kibana, grafana)
Experience with data Analytics and KPI
Others:
Command of project and service management good practice
Evangelize on the DevOps approach.
Foreign Language(s): proficiency in English
Other Specific Transversal Skills: rigor, organization sense, good social skills, ability to prioritize, analysis capacities, adaptation, spirit of initiative

Additional Information

Permanent Contract, Full Time
Job based in Annecy (74), FRANCE"
9,https://www.indeed.fr/emplois?q=Data%20manager&l=Lyon&radius=100&limit=100&sort=date&vjk=9ace5d78d8684055,"Incident Manager (H/F)
Lynx RH26 avis - Lyon (69)","['Lyon (69)', 'CDI', '35 000 € par an']",Incident Manager (H/F),Lynx RH,- Lyon (69),CDI,35 000 € par an,"il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",Data manager,Lyon,"Lynx RH Lyon Ouest, recherche pour l'un de ses clients, société de prestation en informatique, un/une Incident Manager (H/F) sur Lyon.

Missions :
Sécuriser les flux commandes par des contrôles réguliers et procédures. Ces contrôles permettent de s'assurer que :
Toutes les commandes transmises par les magasins, tout périmètre confondus, arrivent en temps et en heure chez les fournisseurs afin que les magasins soient livrés de leurs produits.
Les contrôles sont effectués sur différents environnements en fonction des flux à contrôler.
Gérer les incidents qui peuvent survenir sur la totalité du SI. Les incidents peuvent être de types différents (applicatifs, réseau, système, flux, entrepôts, data center ...).
Le rôle du gestionnaire d'incident est de :
S'assurer que l'incident est créé dans l'outil de ticketing
De contacter les différents prestataires pour s'assurer que le ticket est pris en compte, qu'il est traité ou en cours de traitement
De monter ou de participer à des cellules de crise
De communiquer tout au long de la gestion de l'incident auprès du public concerné jusqu'à sa résolution.
Contraintes :
Travail de nuit
Week-end
Astreintes (+30% sur la rémunération)
Profil recherché :
De formation IT de niveau BAC+2 minimum, vous possédez une première expérience réussie sur un poste similaire.

Vous êtes autonome, rigoureux et vous possédez un excellent savoir-être."
