,id,meta1,meta2,titre_poste,entreprise,localisation,contrat,salaire,date_publication,keyword_metier,keyword_localisation,description
0,https://www.indeed.fr/emplois?q=Devops&l=Lyon&radius=100&limit=100&sort=date&vjk=6edaeb55da02282d,"Architecte MQ Series (H/F)
APSIDE26 avis - Lyon 3e (69)",['Lyon 3e (69)'],Architecte MQ Series (H/F),APSIDE,- Lyon 3e (69),null,null,"il y a 1 heure
- Continuer pour postuler
Signaler cette offre d'emploi",Devops,Lyon,"Le poste :
Pour l’un de nos clients grands compte Transport français situé à Lyon, nous recherchons un(e) administrateur MQseries (H/F)
Vos tâches principales seront les suivantes :
– L’administration de l’infrastructure transfert de message WMQ
– La gestion d’incident de production et de clients de niveau 1,2,3
– L’accompagnement des clients sur des évolutions majeures d’applications existantes
– L’industrialisation des processus dans le respect des normes définies et la qualification techniques
– Le support et l’expertise en matière d’architecture pour accompagner les études et la production dans l’évolution de leurs projets livrables
– La rédaction de la documentation et l’aide à la formation de l’équipe de niveau L1 et L2 MQ
Votre profil :
Compétences techniques attendues :
– Très bonne maîtrise des outils MQ Series (indispensable), CFT, des mécanismes sftp, API Manager et expérience dans leur mise en oeuvre avancée
– Si possible, compétences HortonWorks DataFlow.
– Connaissances générales des systèmes windows et unix, notions de réseau
Méthodologies et aptitudes comportementales attendues :
– Coopération / transversalité / travail en réseau
– Initiative / anticipation / autonomie
– Maîtrise de soi / Gestion du stress
– Expérience de conduite de projet
– Connaissance de DEVOPS souhaitée
– Design architecture technique
5.2 Environnement technique :
Windows / unix , MQ Series, CFT, sftp, API Manager, XOS Automator, HortonWorks DataFlow
Cloud public AZURE, AWS.
Nous rejoindre :
Et si Apside devenait votre futur employeur
ESN singulière par son histoire et son fonctionnement, Apside trouve son succès dans la place qu’elle accorde à ses collaborateurs, ses valeurs, et sa projection à long terme.
Intégrer Apside, c’est bénéficier d’une gestion RH personnalisée :
– Un management de proximité : suivis de mission réguliers, entretiens de carrière bi-annuels.
– Des réunions d’agence trimestrielles, soirée de fin d’année.
– Une gestion de carrière adaptée : formations techniques, fonctionnelles, linguistiques, en interne ou externe, cellules d’experts, conférences.
APSIDE de par son organisation, sa culture d’entreprise et son indépendance sait rester à l’écoute et répondre à ses clients par la qualité de ses prestations qui repose sur l’aptitude de ses collaborateurs.
Vous souhaitez donner un nouvel élan à votre carrière
Ne cherchez plus, faites partie des 900 collaborateurs qui rejoindront Apside en 2019 !
Les Modalités :
Temps plein en CDI"
1,https://www.indeed.fr/emplois?q=Devops&l=Lyon&radius=100&limit=100&sort=date&vjk=3506d41783022b9d,"Développeur Fullstack Java (H/F)
APSIDE26 avis - Écully (69)",['Écully (69)'],Développeur Fullstack Java (H/F),APSIDE,- Écully (69),null,null,"il y a 1 heure
- Continuer pour postuler
Signaler cette offre d'emploi",Devops,Lyon,"Le poste :
En assistance technique chez notre client, société d’assurance mutuelle, vous intervenez dans le cadre du déploiement d’un portail de gestion d’activité (comptabilité, encaissement, …). Vous prenez en charge l’analyse fonctionnelle et la réalisation des user stories du front office ainsi que les tests unitaires. Vous analysez les nouvelles fonctionnalités et leurs impacts. Vous assurez la réalisation des interfaces, des tests et corrections. Vous garantissez la mise à jour de la documentation et participez aux réunions Agile.
Environnement technique : Java, Javascript, Spring, Oracle, Angular, Openshift, Jquery, SGMC, Hybernate, GIT, VuesJS.
Votre profil :
De formation Bac+3 ou bac+5 en informatique, vous justifiez au minimum de 3 ans d’expérience sur une expérience similaire. Vous avez une bonne maitrise du domaine fonctionnel « assurances ». Développeur Java aguerri, vous possédez un bagage technique solide qui vous permet d’être autonome très rapidement. Vous avez de bonnes connaissances sur l’environnement G2S Devops/Openshift/VueJS/Angular.
Nous rejoindre :
Et si Apside devenait votre futur employeur
ESN singulière par son histoire et son fonctionnement, Apside trouve son succès dans la place qu’elle accorde à ses collaborateurs, ses valeurs, et sa projection à long terme.
Intégrer Apside, c’est bénéficier d’une gestion RH personnalisée :
– Un management de proximité : suivis de mission réguliers, entretiens de carrière bi-annuels.
– Des réunions d’agence trimestrielles, soirée de fin d’année.
– Une gestion de carrière adaptée : formations techniques, fonctionnelles, linguistiques, en interne ou externe, cellules d’experts, conférences.
APSIDE de par son organisation, sa culture d’entreprise et son indépendance sait rester à l’écoute et répondre à ses clients par la qualité de ses prestations qui repose sur l’aptitude de ses collaborateurs.
Vous souhaitez donner un nouvel élan à votre carrière
Ne cherchez plus, faites partie des 900 collaborateurs qui rejoindront Apside en 2019 !
Les Modalités :
Temps plein en CDI"
2,https://www.indeed.fr/emplois?q=Devops&l=Lyon&radius=100&limit=100&sort=date&vjk=03bcd63806041fbc,"Chargé(e) de recrutement IT Lyon F/H
SAPIENS - Lyon 3e (69)","['Lyon 3e (69)', 'CDI']",Chargé(e) de recrutement IT Lyon F/H,SAPIENS,- Lyon 3e (69),CDI,null,"Apec.fr - il y a 9 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Devops,Lyon,"Vous êtes en étroite collaboration avec les équipes commerciales pour intervenir sur diverses missions en autonomie :

Définition des besoins avec les opérationnels (poste/profil, intérim/CDD/CDI),

Rédaction des annonces et diffusion sur les principaux sites emplois,

Recherche de CV via les CVthèques et les réseaux sociaux,

Utilisation d'un SI RH pour organiser votre travail,

Réalisation des entretiens d'évaluation, et rédaction des comptes rendus d'entretiens,

Négociation salariale en adéquation avec les profils candidat et budgets clients,

Suivi des candidatures transmises aux managers,

Intégration du futur salarié et de son suivi pendant la période d'essai.
Profil recherché Diplômé(e) d'études supérieures ou de niveau (Bac +3/5) en ressources humaines ou commerce vous disposez d'une première expérience en recrutement de profils informatiques en agence d'intérim, cabinet de recrutement ou ESN.

Vous êtes caractérisé par votre esprit d'équipe, votre rigueur, votre autonomie, vous développez des facultés d'adaptation et savez être force de proposition.

Vous aimez le travail en équipe. Vous possédez une excellente faculté d'observation, d'analyse et d’écoute, de la communication
Entreprise Créé en 2003, SAPIENS est une société de conseil et d’expertise spécialisée dans la transformation et l'accélération digitale (Agile, SAFE, DevOps, ITIL). Nous intervenons essentiellement auprès de clients grands comptes, au sein de secteurs d’activité diversifiés (Banque, Finance de marché, Industrie, Médias, PME...).

Avec plus de 100 consultants et plusieurs implantations géographiques (France & International), nous opérons dans le domaine de l’AMOA, PMO, de l’expertises techniques informatiques, du Business Service Management et des Nouvelles Technologies"
3,https://www.indeed.fr/emplois?q=Devops&l=Lyon&radius=100&limit=100&sort=date&vjk=16ca34dd3db91c16,"Ingénieur DevOps H/F
TECH SOFT 3D - Lyon (69)","['Lyon (69)', 'CDI', '50 000 € par an']",Ingénieur DevOps H/F,TECH SOFT 3D,- Lyon (69),CDI,50 000 € par an,"il y a 16 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Devops,Lyon,"Description du poste

Créée il y a 20 ans, Tech Soft 3D est devenue leader mondial dans l'édition de composants logiciels 3D avec ses solutions cloud, mobile et desktop utilisées par des acteurs majeurs de l’industrie comme Adobe, Autodesk, Dassault Systèmes, Trimble, 3D Systems, Bentley et ANSYS. Notre technologie innovante permet à nos clients de réduire leurs coûts de développement et de commercialiser plus rapidement leurs applications.
A l’origine une société californienne, Tech Soft 3D compte aujourd’hui 100 collaborateurs aux États-Unis, en France, au Portugal, au Royaume-Uni, en Allemagne et au Japon. Dans ce contexte de forte croissance, nous recherchons un(e) Ingénieur(e) DevOps.

Vos missions :
Vous viendrez compléter notre équipe DevOps de 3 personnes dispatchées entre Lyon, Berkeley et Bend (US). Vous travaillerez depuis notre bureau de développement informatique situé à Lyon et serez en charge :

De fournir support et maintenance pour les outils utilisés par les équipes de développement,
D’améliorer les systèmes et process existants pour augmenter la qualité du développement,
De mettre en place les systèmes de tests et de déploiements continus.
Profil recherché

Votre profil :
Vous avez une formation Bac +3 minimum en informatique et vous justifiez d’au moins 2 ans expérience dans un poste similaire. Vous parlez couramment anglais, avez une bonne capacité d’analyse et êtes force de proposition. Votre rigueur vous permet de menez à terme les projets sur lesquels vous travaillez.

Vous avez les compétences techniques suivantes :
Langage de script (Python, Perl, shell, Groovy)
CMake
Gestion de contrôle des sources (Git, Perforce…),
Intégration continue (Jenkins…),
Multi-plateformes (Windows, Linux, Mac, iOS, Android)
Seraient un plus :
Virtualisation (Docker, Kubernetes, etc.),
Gestion des dépendances (Conan)
Systèmes de builds (MSBuild, Gradle, Make, xcodebuild)
Création de pipelines dans Jenkins
Connaissance des systèmes de build en C++,
Services AWS/Cloud
Nous vous proposons :
Un environnement de travail accueillant et de nombreux avantages : financement des activités sportives, douches à disposition, système d’abondement aux dons caritatifs, flexibilité, congé paternité extra-légal, mutuelle familiale prise en charge à 100%, chèques déjeuner…
Si vous êtes intéressé(e) par cette offre, vous souhaitez intégrer une structure à taille humaine à l’écoute de ses collaborateurs et vous partagez nos valeurs, envoyez votre candidature.

Publiée le 8 Octobre."
4,https://www.indeed.fr/emplois?q=Devops&l=Lyon&radius=100&limit=100&sort=date&vjk=52079dc9a78ace03,"Ingénieur Système DevOps H/F
G-SYS6 avis - Grenoble (38)",['Grenoble (38)'],Ingénieur Système DevOps H/F,G-SYS,- Grenoble (38),null,null,"il y a 15 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Devops,Lyon,"Présentation
Depuis 18 ans, le groupe G-SYS est un partenaire de référence en matière de réalisations pour les métiers de l'Informatique et de l'Ingénierie.

Filiale du groupe, G-SYS Consulting est une société de services spécialisée dans les infrastructures systèmes, stockage et bases de données. Elle intervient dans les régions Nouvelle- Aquitaine, Occitanie, PACA et Auvergne-Rhône-Alpes. PME à taille humaine, nous offrons à nos collaborateurs des projets de vaste envergure auprès de grands comptes.
Description
Nous recrutons pour intervenir auprès de notre clientèle grands comptes un Ingénieur Système DevOps H/F.

Vos missions s’articulent de la manière suivante :
Concevoir, déployer, exploiter et optimiser les infrastructures web et cloud privées ou publiques,
Contribuer aux projets de développement,
Analyser et résoudre les anomalies liées à la performance et à la scalabilité des systèmes,
Automatiser les systèmes d'intégration et de déploiement continu, les mises à jour, la supervision, la sauvegarde et la documentation,
Communiquer auprès de l'équipe, la direction, les partenaires et les clients.


Profil
Compétences techniques requises : Linux, Apache/Tomcat, Ansible, Puppet, Docker, VMWare, Openstack, Shell, Python, Ruby, Jenckins.

De formation supérieure (Bac+2 à Bac+5), vous justifiez d’une première expérience similaire réussie, au sein d’un grand compte idéalement.

De nature rigoureuse, vous êtes reconnu(e) pour votre esprit d’équipe. Vous disposez de sérieuses qualités rédactionnelles, d’analyse et d’organisation.

Anglais lu et écrit souhaité.

Vous souhaitez vous investir au sein d'une équipe dynamique et innovante ? Alors rejoignez nos équipes ! Vous intégrerez une structure à fort engagement humain où professionnalisme, réactivité et souci du client sont les garants de notre culture d’entreprise."
5,https://www.indeed.fr/emplois?q=Devops&l=Lyon&radius=100&limit=100&sort=date&vjk=262191a9acad5150,"Coach Agile DevOPS (H/F)
YATIC - Lyon (69)","['Lyon (69)', 'Temps plein, CDI']",Coach Agile DevOPS (H/F),YATIC,- Lyon (69),"Temps plein, CDI",null,"il y a 21 heures
Signaler cette offre d'emploi",Devops,Lyon,"DOCARET est une société de conseil et de services dans les domaines de l'Ingénierie Documentaire, Ingénierie du Soutien et de la Formation.
Quant à sa filiale, YATIC est une ESN à taille humaine, intervenant dans les métiers des Télécoms et de l'IT pour les industriels.
Nous recherchons pour l’un de nos clients, un(e) Coach Agile DevOps, leader du marché ferroviaire. Poste à pour ASAP à Lyon (69).
Description du poste :
Sous la responsabilité du Responsable Opérationnel DEVOPS, votre mission sera de :
Approfondir l’analyse des besoins projet et tirer le meilleur parti des pratiques DEVOPS ;
Aider les équipes projets à structurer leur pilotage de projet Agile et veiller à la tenue des principes et valeurs essentiels de l’Agilité ;
Aider les Chefs de Projet à tenir les objectifs projets (coût, délais, couverture fonctionnelle, qualité) ;
Garantir une exploitabilité optimale et anticipée, dès la mise en service de l’application ;
Avoir une vision consolidée de la maturité des projets Agiles / DEVOPS et des difficultés rencontrées ;
Évaluer la recevabilité d’un projet au modèle DEVOPS et proposer des trajectoires adaptées ;
Partager les bonnes pratiques entre les projets.
Le profil et compétences recherchés :
Expertise DEVOPS avec une expérience significative de la mise en place d’une organisation DEVOPS, vous avez une connaissance des métiers de la Production informatique et en particulier d’une Exploitation Industrielle ;
Connaissance et pratique des techniques agiles (scrum et kanban a minima) ;
Compréhension des principes & composants d'une usine logicielle et de leur utilisation dans le contexte DEVOPS (Release Management, Intégration / Livraison Continue, Feature Flipping, déploiements en Blue / Green, A/B Testing, etc…) ;
Bon niveau d’anglais.
Type d'emploi : Temps plein, CDI
Expérience:
coach agile devops HF: 4 ans (Souhaité)
Lieu:
Lyon (69) (Souhaité)
Langue:
ANGLAIS COURANT (C1/C2) (Souhaité)"
6,https://www.indeed.fr/emplois?q=Devops&l=Lyon&radius=100&limit=100&sort=date&vjk=113745c91c988a54,"Chargé(e) de recrutement - Lyon
Sapiens Group - Lyon (69)","['Lyon (69)', 'Temps plein, CDI', '21 000 € par an']",Chargé(e) de recrutement - Lyon,Sapiens Group,- Lyon (69),"Temps plein, CDI",21 000 € par an,"il y a 21 heures
Signaler cette offre d'emploi",Devops,Lyon,"Présentation de l'entreprise
Créé en 2003, SAPIENS est une société de conseil et d’expertise spécialisée dans la transformation et l'accélération digitale (Agile, SAFE, DevOps, ITIL). Nous intervenons essentiellement auprès de clients grands comptes, au sein de secteurs d’activité diversifiés (Banque, Finance de marché, Industrie, Médias, PME...).
Avec plus de 100 consultants et plusieurs implantations géographiques (France & International), nous opérons dans le domaine de l’AMOA, PMO, de l’expertises techniques informatiques, du Business Service Management et des Nouvelles Technologies.
Description du poste
Vous êtes en étroite collaboration avec les équipes commerciales pour intervenir sur diverses missions en autonomie :
Définition des besoins avec les opérationnels (poste/profil, intérim/CDD/CDI),
Rédaction des annonces et diffusion sur les principaux sites emplois,
Recherche de CV via les CVthèques et les réseaux sociaux,
Utilisation d'un SI RH pour organiser votre travail,
Réalisation des entretiens d'évaluation, et rédaction des comptes rendus d'entretiens,
Négociation salariale en adéquation avec les profils candidat et budgets clients,
Suivi des candidatures transmises aux managers,
Intégration du futur salarié et de son suivi pendant la période d'essai.
Description du profil
Diplômé(e) d'études supérieures ou de niveau (Bac +3/5) en ressources humaines ou commerce vous disposez d'une première expérience en recrutement de profils informatiques en agence d'intérim, cabinet de recrutement ou ESN.
Vous êtes caractérisé par votre esprit d'équipe, votre rigueur, votre autonomie, vous développez des facultés d'adaptation et savez être force de proposition.
Vous aimez le travail en équipe. Vous possédez une excellente faculté d'observation, d'analyse et d’écoute, de la communication
Type d'emploi : Temps plein, CDI
Salaire : 21 000,00€ /an
Expérience:
Recrutement: 1 an (Souhaité)"
7,https://www.indeed.fr/emplois?q=Devops&l=Lyon&radius=100&limit=100&sort=date&vjk=1d6e891982a3838a,"Stage Cloud & DevOps Lyon H/F
Ippon Technologies - Lyon (69)","['Lyon (69)', 'Stage']",Stage Cloud & DevOps Lyon H/F,Ippon Technologies,- Lyon (69),Stage,null,"il y a 20 heures
Signaler cette offre d'emploi",Devops,Lyon,"@IpponLyon...
Nous sommes 40 consultants technophiles cachés derrière la Sucrière à Confluence
Nous nous levons le matin grâce à notre réveil… et l’appel des croissants à l’agence
Nous sommes imbattables au Uno et au choix de resto le midi
Notre job? se faire plaisir sur des projets agiles Java, BigData, DevOps, Cloud
Nos chiffres? 30 kg d’oursons en Guimauve et 180L de café par an
Notre prochaine commande? un porte-manteau pour y ajouter le tien! Et ton accès Blackbelt pour obtenir une belt cloud et pourquoi pas une certification AWS!
Le contexte du projet :
Le projet a pour but de construire un générateur d'infrastructures AWS ""production-ready"" pour déployer des architectures logicielles micro-services conteneurisées basées sur JHipster selon les meilleures pratiques DevOps.
Le contexte :
- Ippon est partenaire Advanced AWS ainsi qu'un contributeur majeur de JHipster (https://www.jhipster.tech/)
- Le stage sera réalisé en binôme, en collaboration avec nos équipes JHipster et Managed Services
- Vous bénéficierez des ressources de formation et de l'expertise de notre practice Cloud & DevOps, ainsi que du support de la communauté
Description du sujet de stage :
- construire une solution clé en main adaptée par défaut aux cas d'usage les plus fréquents tout en restant adaptables
- mettre en place une infrastructure de production complète supportant l'ensemble des processus (provisionning des différents environnements, workflow de déploiement automatisé, observabilité, backup, ...)
- concevoir et mettre en œuvre l'ensemble en respectant les 5 piliers Well Architected (https://aws.amazon.com/fr/architecture/well-architected/)
Notre objectif : lancement en open-source d'une v1 du projet à la fin du stage
L’écosystème dans lequel tu vas évoluer ! :
- AWS (VPC, EKS, RDS, IAM, Lambda, CloudWatch), Kubernetes, architectures micro-services
- Terraform, AWS Cloud Formation, python, Linux
- Gitlab CI, Istio, blue-green / canary deployment
#AWS #Kubernetes #Terraform #Ansible
Ta mission: tirer profit de ces 6 mois de stage pour te préparer à appréhender le monde passionnant du Cloud Public à nos côtés
Tes forces :
Tu espassionné par les infrastructures et services innovants du Cloud public ? Nous aussi !
Tu es convaincu que l'expertise ne se conçoit pas sans partage et que la collaboration est la clé des plus belles réalisations ? Alors tu es au bon endroit !
Si comme nous, tu es passionné(e) de Cloud Public et que tu te retrouves dans nos valeurs #TeamWork #Dépassement #Partage...
...Alors rejoins la #Team Ippon !
Type d'emploi : Stage
Expérience:
stage cloud & devops lyon h/f ou similaire: 1 an (Souhaité)"
8,https://www.indeed.fr/emplois?q=Devops&l=Lyon&radius=100&limit=100&sort=date&vjk=a0da12bd882064d9,"Coach DevOps F/H
ICFI - Lyon 3e (69)","['Lyon 3e (69)', 'CDI']",Coach DevOps F/H,ICFI,- Lyon 3e (69),CDI,null,"Apec.fr - il y a 21 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Devops,Lyon,"Pour un client du domaine des transports, nous recherchons actuellement un(e) coach DevOps avec une solide expérience particulièrement dans la mise en place d’une organisation DevOps dans un contexte Grands Comptes.

En tant que Coach Agile / DEVOPS, vous interviendrez en premier lieu pour porter les orientations DEVOPS de l’Entreprise. Vous vous intéresserez forcément aux pratiques Agiles des projets, les deux sujets étant indissociables, mais :

Vous ne viserez pas à remplacer les experts de l’Agilité des DSI partenaires ;

Vous vous focaliserez sur les projets pilotés en mode DEVOPS avec l’entité à laquelle vous serez rattaché(e).

Vous ne prendrez pas de décision ou d’arbitrage, ni au niveau projet métier ni au niveau prescriptions d’Entreprise, mais vous éclairerez ces prises de décision par la prise de recul et la confrontation aux meilleures pratiques du marché.

La majeure partie de votre travail se fera « sur le terrain », pour aider les projets et les intervenants à progresser dans la maturité DEVOPS mais votre rôle de relais et de force de proposition vous amènera aussi à travailler avec vos pairs au sein d’une communauté qui se met en place.

Vous interviendrez donc en transverse, sur un portefeuille projets qui évolue dans le temps. Vous :

Interviendrez en amont, pour évaluer la recevabilité d’un projet au modèle DEVOPS et pour proposer des trajectoires adaptées.

Organiserez des cérémonies telles que les rétrospectives ou les kickoff.

Organiserez et animerez des ateliers (vision, design thinking…), vous formaliserez et partagerez les bonnes pratiques, conseillerez les acteurs au quotidien.

Pourrez intervenir plus directement dans le quotidien des projets dans certaines phases critiques (sprint 0, notamment).

Serez amené(e) à coacher individuellement les OPS positionnés sur les plateaux projets pour porter les thématiques d’exploitabilité.

Profil recherché Compétences métier :
Vous avez la connaissance et la pratique des techniques agiles (scrum et kanban a minima) ;

Vous êtes expert DEVOPS avec une expérience significative de la mise en place d’une organisation DEVOPS dans un contexte Grands Comptes ;

Vous connaissez les métiers de la Production informatique et en particulier d’une Exploitation Industrielle ;

Vous comprenez les principes & composants d'une usine logicielle et de leur utilisation dans le contexte DEVOPS (Release Management, Intégration / Livraison Continue, Tests Continus, Feature Flipping, déploiements en Blue / Green, A/B Testing, etc…).

Compétences comportementales :
Vous avez le sens de l’écoute et de l’analyse ;

Vous faites preuve d’aisance tant à l’écrit qu’à l’oral ;

Vous êtes intéressé(e) ? Vous souhaitez plus d'informations ? N'hésitez pas à nous contacter, et nous verrons ce qu'il est possible de réaliser ensemble !
Entreprise ICFI est une petite entreprise de services du Numérique.

Indépendante de tout groupe, elle privilégie les relations humaines tant avec ses clients qu’avec ses collaborateurs.

Présente au niveau national dans le secteur de la santé, ICFI se diversifie et recherche de nouveaux collaborateurs.

Elle vous propose de participer à son développement.

Sur ces principes, toute candidature reçue fera l’objet d’une réponse personnalisée."
9,https://www.indeed.fr/emplois?q=Devops&l=Lyon&radius=100&limit=100&sort=date&vjk=933505d83b2fab3a,"Stage Jhipster H/F
Ippon Technologies - Lyon (69)","['Lyon (69)', 'Stage']",Stage Jhipster H/F,Ippon Technologies,- Lyon (69),Stage,null,"il y a 20 heures
Signaler cette offre d'emploi",Devops,Lyon,"@IpponLyon...
Nous sommes 40 consultants technophiles cachés derrière la Sucrière à Confluence
Nous nous levons le matin grâce à notre réveil… et l’appel des croissants à l’agence
Nous sommes imbattables au Uno et au choix de resto le midi
Notre job? se faire plaisir sur des projets agiles Java, BigData, DevOps, Cloud
Nos chiffres? 30 kg d’oursons en Guimauve et 180L de café par an
Notre prochaine commande? un porte-manteau pour y ajouter le tien et un masque Jhipster pour intégrer la core-team!
De quoi ça parle?
JHipster (Java Hipster) permet de générer une application Web moderne, responsive et performante, basée sur un socle technique innovant. Au démarrage simple générateur yeoman pour builder une application Spring Boot + Angular/React/Vue.js, c’est aujourd'hui un produit complet qui propose les options majeures pour générer des applications web avec l’outillage associé. En quelques chiffres :
100K de téléchargement par mois
14300 étoiles sur GitHub
Une communauté de 516 contributeurs à travers le monde
Principal sponsor sur le projet depuis le début, Ippon mobilise des moyens et une équipe pour faire vivre ce projet.
En quoi ça consiste ?
Tu rejoins une équipe d’une dizaine de personnes chez Ippon, réparties en France dans nos différentes agences, et par extension la communauté internationale des contributeurs JHipster.
Ton rôle sera de contribuer au projet et son évolution, en travaillant sur tes sujets de prédilection (Front, Architecture, DevOps, outillage..)
C’est l’occasion de travailler avec des passionnés, référents dans leurs domaines, au sein d’une équipe auto-organisée.
Tu es la personne que l’on recherche si :
Tu possèdes de bonnes compétences en Java et en bases de données (MySQL/ MongoDB)
Tu as le sens du consulting, savoir écouter les clients et les convaincre de l'intérêt de l’Open Source et bonnes pratiques de développement
Tu as envie de rejoindre une équipe de Techs passionnés, te confronter à eux, apprendre, progresser et apporter ta contribution
Tu penses que partager et capitaliser est une évidence dans ton métier (Blog, Events, BBL, White papers, salon tech…)
Si tu te retrouves dans cette description, tu es peut-être la personne que l’on recherche, alors n’hésite pas à nous contacter !
#Angular #React #Vue #Webpack #Java #Spring #Docker #Kubernetes #Cloud
Viens comme tu es!
Pour déposer ta candidature et partager ces moments Nutella avec nous, envois-nous ton CV ou viens nous voir!
Type d'emploi : Stage
Expérience:
stage jhipster h/f ou similaire: 1 an (Souhaité)"
