,id,meta1,meta2,titre_poste,entreprise,localisation,contrat,salaire,date_publication,keyword_metier,keyword_localisation,description
0,https://www.indeed.fr/emplois?q=Intelligence%20Artificielle&l=Lyon&radius=100&limit=100&sort=date&vjk=431f7de2a26ab2dd,"DOCTEUR-E / INGENIEUR-E EN TRAITEMENT DU SIGNAL
ETISENSE - Lyon (69)","['Lyon (69)', 'Temps plein, CDI', '30 000 € - 40 000 € par an']",DOCTEUR-E / INGENIEUR-E EN TRAITEMENT DU SIGNAL,ETISENSE,- Lyon (69),"Temps plein, CDI",30 000 € - 40 000 € par an,"il y a 1 heure
Signaler cette offre d'emploi",Intelligence Artificielle ,Lyon,"ETISENSE est une start-up Deeptech lyonnaise qui développe des solutions connectées pour suivre de façon non invasive les fonctions cardiaques, respiratoires et l’activité. DECRO notre premier produit permet d’améliorer le bien-être des petits animaux utilisés en recherche médicale tout en fournissant des données scientifiques plus pertinentes grâce à un gilet Bluetooth embarquant des capteurs non invasifs et à des algorithmes originaux de traitement du signal.
ETISENSE, membre du MIAI Grenoble Alpes (Multidisciplinary Institute in Artificial Intelligence), recherche un profil ayant des connaissances en traitement du signal et IA pour compléter son équipe.
Missions et responsabilités:
À l’interface entre les équipes scientifiques et R&D votre mission sera de développer des algorithmes permettant de débruiter et d’extraire les paramètres physiologiques à partir des données capteurs. Vous aurez également la responsabilité de proposer et développer des outils d’optimisation/automatisation de l’analyse des résultats (machine Learning, multimodalité …).
· Conception d'algorithmes d’extraction et de débruitage de signaux physiologiques ;
· Développement d’outils de traitement et d’analyse de données en masse ;
· Tests de terrain et validation de la performance des solutions développées ;
· Interactions avec l’équipe R&D pour intégration dans les produits ;
· Veille scientifique.
Compétences techniques
· Traitement numérique du signal : méthodes linéaires, non linéaires, filtrage optimal, etc.) sous environnement Python ou Matlab ;
· Analyse et gestion de données : analyse statistique et quantitative, échantillonnage, segmentation, classification de jeux de données ;
· Notions de machine Learning / intelligence artificielle;
· Compétence de développement informatique en environnement Python / SciPy ou Matlab ;
· Connaissance des outils de développement informatique collaboratifs (git, Github,...).
Profil recherché
Issu-e d’une formation de Doctorat ou de Diplôme ingénieur en traitement du signal (BAC +5), vous êtes attiré-e par l’innovation technologique et les challenges du monde de la startup.
Vous aimez sortir de votre zone de confort et êtes capable d’analyser des situations complexes, de trouver des solutions, de les évaluer et de les présenter à l’équipe pour choisir la meilleure.
Rejoignez-nous Pour vivre l’aventure du démarrage d’une start-up de l’intérieur !
Type d'emploi : Temps plein, CDI
Salaire : 30 000,00€ à 40 000,00€ /an
Expérience:
docteur-e / ingenieur-e en traitement du signal ou similaire: 1 an (Souhaité)"
1,https://www.indeed.fr/emplois?q=Intelligence%20Artificielle&l=Lyon&radius=100&limit=100&sort=date&vjk=de96d72bebf5b372,"Stage Graphiste et Chargée de communication
Promy - Lyon 5e (69)","['Lyon 5e (69)', 'Temps plein, Temps partiel, Stage', '500 € par mois']",Stage Graphiste et Chargée de communication,Promy,- Lyon 5e (69),"Temps plein, Temps partiel, Stage",500 € par mois,"il y a 1 heure
Signaler cette offre d'emploi",Intelligence Artificielle ,Lyon,"Promy est une nouvelle plateforme en ligne dans le secteur de l’immobilier,
Comme on le sait, aujourd’hui, connaître le vrai potentiel d’une propriété ou d’un terrain, est devenu un vrai parcours du combattant et bien souvent une perte de temps et d’argent. Promy est la SEULE plateforme qui simplifie et centralise gratuitement toutes les informations pertinentes d’un bien et vous permet une mise en relation avec +300 promoteurs et constructeurs partout en France, et tout ceci en moins de 7 jours grâce à une nouvelle intelligence artificiel.
Véritable soutien à l’équipe, vous serez en charge de la gestion des projets de marketing et de communication existants ; et du développement de nouveaux projets également.
En relation avec la chargée de communication, nous recherchons une personne investie, motivé et sérieuse afin d’intervenir sur les missions suivantes :
- Participer à l'organisation des événements et à leur suivi (soirées – salons)
- Photo des événements
- Animation et gestion des outils de publication sur les réseaux sociaux
- Rédaction des posts et suivi rigoureux du planning des publications.
- Rédaction des newsletters et emailings
- Création de motion design simple
- Création de graphisme si besoin
Issu(e) d’une formation marketing ou communication (école de commerce ou école de communication/marketing) vous êtes à l’aise avec Excel et le pack Office en général. Vous disposez d’une bonne capacité d’analyse et de synthèse et vous êtes doté(e) d’un bon relationnel.
Niveau BAC+2
Sociable
Organisé(e)
Adaptable
Rigoureux(se)
Sérieux(se)
Stage uniquement, 4 ou 6 mois renouvelable si les 2 parties le désirent
Type d'emploi : Temps plein, Stage
Salaire : 500,00€ à 600,00€ /mois
Type d'emploi : Temps plein, Temps partiel, Stage
Salaire : 500,00€ /mois
Expérience:
stage graphiste et chargée de communication ou similaire: 1 an (Souhaité)"
2,https://www.indeed.fr/emplois?q=Intelligence%20Artificielle&l=Lyon&radius=100&limit=100&sort=date&vjk=2e2357de5f227e0c,"Service Line Manager (H/F)
Exakis10 avis - Grenoble (38)","['Grenoble (38)', 'CDI']",Service Line Manager (H/F),Exakis,- Grenoble (38),CDI,null,"il y a 2 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Intelligence Artificielle ,Lyon,"Exakis Nelite, entité du groupe Magellan Partners, est le premier partenaire pure-player Microsoft en France avec l’ambition de devenir le premier partenaire Européen et en Afrique Francophone avec sa forte présence au Maroc.
Nés du rapprochement de 2 leaders spécialistes de l’intégration des solutions Microsoft, nous allions expertise technique et fonctionnelle pour répondre concrètement aux enjeux de demain : accélération de la transformation digitale, CyberSécurité, Intelligence Artificielle, IoT, Data, transformation vers le cloud Azure, Services Cognitifs et Intelligence Artificielle…
En rejoignant la communauté Exakis Nelite dans l’une de nos 14 agences, vous intégrerez une équipe passionnée et impliquée dans les projets les plus innovants. Vous rejoindrez une structure construite autour de valeurs tournées vers ses collaborateurs : intelligence collective, convivialité et bienveillance.
Département : Structure
Ville : Grenoble
Type de contrat : CDI
Expérience : 5 ans
Poste et missions
En tant que Service Line Manager, vous pilotez les activités et le développement des offres et projets sur un périmètre géographique ou fonctionnel Agence.
Rattaché(e) à la Direction de l’agence vous êtes chargé-e de :
D’animer une équipe de consultants dans leur quotidien, leurs évolutions et leurs formations
Garant de la bonne tenue des projets, vous vous assurez en permanence de la satisfaction des clients et des consultants
Gérer les risques opérationnels
Elaborer des préconisations, proposer des solutions et senarii d’amélioration
Communiquer sur l’avancée du projet (qualité / coûts / délais) et assurer le reporting
S’assurer de la qualité du suivi technique des équipes de « delivery »
Contribuer activement au développement et l’enrichissement de l’offre autant sur la déclinaison d’un cadre de valorisation commerciale que sur l’efficacité opérationnelle pour les projets
Intervenir lors de la défense de dossiers pour valoriser le savoir-faire de la Société, que ce soit en tant que rédacteur ou participant aux soutenances.
Être un acteur important de la prospection au travers de son positionnement dans différents environnements client.
Développer des compétences des consultants de l’équipe (aide à la résolution des difficultés techniques et comportementales)
Accompagner la montée en compétences techniques des nouveaux consultants
Participer au recrutement des consultants
Animer les Teams Leaders
Profil
De formation Bac+4/5, vous disposez idéalement de 5-10 ans d’expérience minimum réussie dans la gestion d’équipes techniques dans une ESN avec une expérience internationale obligatoire.
Au fait de l’écosystème local, vous êtes motivé(e) par la qualité du service rendu au client afin de développer un partenariat avec nos clients dans la durée et la fédération des équipes autour du projet global et de l’activité Infrastructure.
Doté de grandes qualités relationnelles, vous faites preuve par ailleurs de pugnacité d’énergie et d’ambition.
Vos atouts, indispensables pour réussir à ce poste :
Anglais obligatoire
Management d’équipe
Gestion du temps
Communication écrite et orale
Encadrement
Pour postuler
Si cette offre vous intéresse, merci de communiquer votre CV + Lettre de motivation personnalisée.
Vous souhaitez nous rejoindre ?
Contactez votre agence Exakis la plus proche ou envoyer votre candidature sur notre formulaire en ligne.
Candidater à cette offre"
3,https://www.indeed.fr/emplois?q=Intelligence%20Artificielle&l=Lyon&radius=100&limit=100&sort=date&vjk=2191f8077fe1f86f,"Consultant Change Management O365 (H/F)
Exakis10 avis - Grenoble (38)","['Grenoble (38)', 'CDI']",Consultant Change Management O365 (H/F),Exakis,- Grenoble (38),CDI,null,"il y a 2 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Intelligence Artificielle ,Lyon,"Exakis Nelite, entité du groupe Magellan Partners, est le premier partenaire pure-player Microsoft en France avec l’ambition de devenir le premier partenaire Européen et en Afrique Francophone avec sa forte présence au Maroc.
Nés du rapprochement de 2 leaders spécialistes de l’intégration des solutions Microsoft, nous allions expertise technique et fonctionnelle pour répondre concrètement aux enjeux de demain : accélération de la transformation digitale, CyberSécurité, Intelligence Artificielle, IoT, Data, transformation vers le cloud Azure, Services Cognitifs et Intelligence Artificielle…
En rejoignant la communauté Exakis Nelite dans l’une de nos 14 agences, vous intégrerez une équipe passionnée et impliquée dans les projets les plus innovants. Vous rejoindrez une structure construite autour de valeurs tournées vers ses collaborateurs : intelligence collective, convivialité et bienveillance.
Département : Logiciel
Ville : Grenoble
Type de contrat : CDI
Expérience : 2 ans
Poste et missions
En tant que Consultant Change Management O365 , vous intervenez dans le cadre de la définition et la mise en place d’une solution collaborative avec les technologies Microsoft SharePoint et Office 365 :
Analyser et qualifier le besoin
Animer des ateliers fonctionnels (collecte des besoins, présentation des outils collaboratifs Microsoft, conseils/recommandations sur les outils en fonction des usages…)
Rédiger des spécifications fonctionnelles générales et détaillées
Participer aux phases de tests des solutions développées
Former les utilisateurs à la solution et aux outils
Collaborer avec une équipe complète (designer, architecte, développeurs, consultant accompagnement au changement, chef de projet…)
En fonction du projet, des besoins et de vos aptitudes, vous pouvez être amené(e) à participer aux phases d’avant-vente et de pilotage de projet.
Profil
De formation BAC+5 idéalement en ingénierie, vous justifiez d’un minimum de 2 ans d’expérience dans le cadre de projets SharePoint.
Vous avez une réelle expertise sur plusieurs des environnements suivants : Sharepoint Server 2013/2010/2007, Sharepoint Online (Microsoft Office 365), Windows Server 2012/2008/2003, SQL Server, IIS, Yammer (RSE), Powershell/.net/Sharepoint Designer/K2, Solution Avepoint, OneDrive, Teams, Azure
Pour postuler
Si cette offre vous intéresse, merci de communiquer votre CV + Lettre de motivation personnalisée.
Vous souhaitez nous rejoindre ?
Contactez votre agence Exakis la plus proche ou envoyer votre candidature sur notre formulaire en ligne.
Candidater à cette offre"
4,https://www.indeed.fr/emplois?q=Intelligence%20Artificielle&l=Lyon&radius=100&limit=100&sort=date&vjk=56a95d342d940392,"Consultant Microsoft Data & BI (H/F)
Exakis10 avis - Grenoble (38)","['Grenoble (38)', 'CDI']",Consultant Microsoft Data & BI (H/F),Exakis,- Grenoble (38),CDI,null,"il y a 2 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Intelligence Artificielle ,Lyon,"Exakis Nelite, entité du groupe Magellan Partners, est le premier partenaire pure-player Microsoft en France avec l’ambition de devenir le premier partenaire Européen et en Afrique Francophone avec sa forte présence au Maroc.
Nés du rapprochement de 2 leaders spécialistes de l’intégration des solutions Microsoft, nous allions expertise technique et fonctionnelle pour répondre concrètement aux enjeux de demain : accélération de la transformation digitale, CyberSécurité, Intelligence Artificielle, IoT, Data, transformation vers le cloud Azure, Services Cognitifs et Intelligence Artificielle…
En rejoignant la communauté Exakis Nelite dans l’une de nos 14 agences, vous intégrerez une équipe passionnée et impliquée dans les projets les plus innovants. Vous rejoindrez une structure construite autour de valeurs tournées vers ses collaborateurs : intelligence collective, convivialité et bienveillance.
Département : Logiciel
Ville : Grenoble
Type de contrat : CDI
Expérience : 2 ans
Poste et missions
En tant que Consultant(e) Microsoft BI, vous intervenez dans le cadre de projet d’informatiques décisionnelles, en forfait ou en régie.
Analyser et qualifier le besoin
Rédiger des spécifications fonctionnelles, techniques
Concevoir et développer les solutions BI
Modéliser et enrichir des bases de données
Mettre en place des outils de restitution BI pour la production de tableaux de bord et de reporting
Modéliser et implémenter des Datamarts et Datawarehouses
En fonction du projet, des besoins et de vos aptitudes, vous pouvez être amené(e) à participer aux phases d’avant-vente, d’étude, d’architecture, de réalisation de la solution et d’encadrement technique des projets.
Profil
De formation BAC+5 idéalement en ingénierie, vous justifiez d’un minimum de 2 ans d’expérience dans le cadre de projets décisionnel.
Vous avez une réelle expertise sur l’ensemble des environnements et langages suivants :
SQL server (2012/2014/2016
Développement de requêtes SQL complexes
Vous maitrisez au moins une des briques décisionnelles de la suite Microsoft BI (SSIS, SSAS, SSRS, Power BI)
Vous êtes à l’aise avec les syntaxes DAX ou MDX
Pour postuler
Si cette offre vous intéresse, merci de communiquer votre CV + Lettre de motivation personnalisée.
Vous souhaitez nous rejoindre ?
Contactez votre agence Exakis la plus proche ou envoyer votre candidature sur notre formulaire en ligne.
Candidater à cette offre"
5,https://www.indeed.fr/emplois?q=Intelligence%20Artificielle&l=Lyon&radius=100&limit=100&sort=date&vjk=d7ea1e8262b412f7,"Consultant technique collaboratif SharePoint / Office 365 (H/F)
Exakis10 avis - Grenoble (38)","['Grenoble (38)', 'CDI']",Consultant technique collaboratif SharePoint / Office 365 (H/F),Exakis,- Grenoble (38),CDI,null,"il y a 2 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Intelligence Artificielle ,Lyon,"Exakis Nelite, entité du groupe Magellan Partners, est le premier partenaire pure-player Microsoft en France avec l’ambition de devenir le premier partenaire Européen et en Afrique Francophone avec sa forte présence au Maroc.
Nés du rapprochement de 2 leaders spécialistes de l’intégration des solutions Microsoft, nous allions expertise technique et fonctionnelle pour répondre concrètement aux enjeux de demain : accélération de la transformation digitale, CyberSécurité, Intelligence Artificielle, IoT, Data, transformation vers le cloud Azure, Services Cognitifs et Intelligence Artificielle…
En rejoignant la communauté Exakis Nelite dans l’une de nos 14 agences, vous intégrerez une équipe passionnée et impliquée dans les projets les plus innovants. Vous rejoindrez une structure construite autour de valeurs tournées vers ses collaborateurs : intelligence collective, convivialité et bienveillance.
Département : Logiciel
Ville : Grenoble
Type de contrat : CDI
Expérience : 2 ans
Poste et missions
En tant que Consultant technique SharePoint / Office 365, vous intervenez dans le cadre de la mise en place d’une solution collaborative avec les technologies Microsoft SharePoint et Office 365 :
Analyser et qualifier le besoin
Rédiger des spécifications fonctionnelles
Développer des composants Sharepoint / SPO
Intervenir sur la phase de training
En fonction du projet, des besoins et de vos aptitudes, vous pouvez être amené(e) à participer aux phases d’avant-vente, d’étude, d’architecture, de réalisation de la solution et d’encadrement technique des projets.
Profil
De formation BAC+5 idéalement en ingénierie, vous justifiez d’un minimum de 2 ans d’expérience dans le cadre de projets SharePoint. Vous avez une réelle expertise sur plusieurs des environnements suivants : Sharepoint Server 2013/2010/2007, Sharepoint Online (Microsoft Office 365), Windows Server 2012/2008/2003, SQL Server, IIS, Yammer (RSE), Powershell/.net/Sharepoint Designer/K2, Solution Avepoint, OneDrive, Teams, Azure
Pour postuler
Si cette offre vous intéresse, merci de communiquer votre CV + Lettre de motivation personnalisée.
Vous souhaitez nous rejoindre ?
Contactez votre agence Exakis la plus proche ou envoyer votre candidature sur notre formulaire en ligne.
Candidater à cette offre"
6,https://www.indeed.fr/emplois?q=Intelligence%20Artificielle&l=Lyon&radius=100&limit=100&sort=date&vjk=df880bcff76558de,"Architecte Office 365 (H/F)
Exakis10 avis - Grenoble (38)","['Grenoble (38)', 'CDI']",Architecte Office 365 (H/F),Exakis,- Grenoble (38),CDI,null,"il y a 2 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Intelligence Artificielle ,Lyon,"Exakis Nelite, entité du groupe Magellan Partners, est le premier partenaire pure-player Microsoft en France avec l’ambition de devenir le premier partenaire Européen et en Afrique Francophone avec sa forte présence au Maroc.
Nés du rapprochement de 2 leaders spécialistes de l’intégration des solutions Microsoft, nous allions expertise technique et fonctionnelle pour répondre concrètement aux enjeux de demain : accélération de la transformation digitale, CyberSécurité, Intelligence Artificielle, IoT, Data, transformation vers le cloud Azure, Services Cognitifs et Intelligence Artificielle…
En rejoignant la communauté Exakis Nelite dans l’une de nos 14 agences, vous intégrerez une équipe passionnée et impliquée dans les projets les plus innovants. Vous rejoindrez une structure construite autour de valeurs tournées vers ses collaborateurs : intelligence collective, convivialité et bienveillance.
Département : Infrastructure
Ville : Grenoble
Type de contrat : CDI
Expérience : 2 ans
Poste et missions
Pourquoi Exakis Nelite ?
Une équipe dynamique et polyvalente vous attend afin de relever de nouveaux défis
A la pointe des nouvelles technologies, vous intégrerez la communauté Infrastructure pour accompagner les grands comptes de la région Lyonnaise dans leur stratégie digitale et l’adoption des services SaaS qui en découle.
En tant que consultant confirmé, votre autonomie et votre force de proposition prendront toute leur ampleur en prenant en charge des projets de plusieurs centaines de jours
Vous travaillerez dans une ambiance conviviale, constructive, sereine, laissant une grande place à l’initiative et au développement personnel.
Mais concrètement, que ferez-vous ?
Selon les missions vous serez amené à :
Accompagner nos clients dans leur stratégie digitale
Animer des ateliers d’architecture technique
Appréhender les besoins fonctionnels et les contraintes techniques du client
Préconiser des architectures complexes pour répondre à une problématique ou un besoin métier
Définir et améliorer les standards, patterns d’architecture et le catalogue de services
Superviser et mettre en œuvre, dans le cadre des projets, les préconisations techniques établies dans le cadre des cahiers des charges
Rédiger les documents associés (HLD, LLD, etc.)
Piloter des projets et des hommes
Intervenir en toute autonomie sur les phases de cadrage technique et/ou avant ventes
Assurer une veille technologique
Définition et design d’architectures Exchange dans leurs déclinaisons On-Premise, Online et Hybride,
Définition et design d’architectures Skype dans leurs déclinaisons On-Premise, Online et Hybride,
Rédaction des dossiers d’architectures techniques,
Définition de stratégies de migration, dossiers d’exploitation
Profil
Malgré de nombreuses missions disponibles, nos recrutements sont exclusivement réalisés sur profil
De formation BAC+5, vous justifiez d’une expérience significative dans l’infrastructure informatique et notamment sur Office 365. Vous justifiez d’une expérience significative, dans le cadre de projets reposant sur Office 365, Exchange, Skype for Business, Active Directory et EM+S.
Bon(ne) communicant(e), vous êtes capable de vous adapter à la fois au travail en équipe et aux projets de nos clients.
La maitrise de l’anglais est obligatoire.
Pour postuler
Si cette offre vous intéresse, merci de communiquer votre CV + Lettre de motivation personnalisée.
Vous souhaitez nous rejoindre ?
Contactez votre agence Exakis la plus proche ou envoyer votre candidature sur notre formulaire en ligne.
Candidater à cette offre"
7,https://www.indeed.fr/emplois?q=Intelligence%20Artificielle&l=Lyon&radius=100&limit=100&sort=date&vjk=ea42fd2c145d3760,"Architecte Datacenter & Cloud Azure (H/F)
Exakis10 avis - Grenoble (38)","['Grenoble (38)', 'CDI']",Architecte Datacenter & Cloud Azure (H/F),Exakis,- Grenoble (38),CDI,null,"il y a 2 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Intelligence Artificielle ,Lyon,"Exakis Nelite, entité du groupe Magellan Partners, est le premier partenaire pure-player Microsoft en France avec l’ambition de devenir le premier partenaire Européen et en Afrique Francophone avec sa forte présence au Maroc.
Nés du rapprochement de 2 leaders spécialistes de l’intégration des solutions Microsoft, nous allions expertise technique et fonctionnelle pour répondre concrètement aux enjeux de demain : accélération de la transformation digitale, CyberSécurité, Intelligence Artificielle, IoT, Data, transformation vers le cloud Azure, Services Cognitifs et Intelligence Artificielle…
En rejoignant la communauté Exakis Nelite dans l’une de nos 14 agences, vous intégrerez une équipe passionnée et impliquée dans les projets les plus innovants. Vous rejoindrez une structure construite autour de valeurs tournées vers ses collaborateurs : intelligence collective, convivialité et bienveillance.
Département : Infrastructure
Ville : Grenoble
Type de contrat : CDI
Expérience : 5 ans
Poste et missions
Vous devrez accompagner nos clients en tant qu’architecte sur des missions Cloud Azure sur :
La participation au delivery de solutions de cloud basées sur des technologies Microsoft (Windows Server, Hyper-V, System Center, Microsoft Azure, Windows Azure Pack, Azure Stack)
L’intégration des solutions de cloud privé/hybride Microsoft chez les clients,
La préparation et la réalisation des avant-ventes,
La réalisation des architectures et design des solutions Cloud Microsoft,
Le suivi de la transformation des SI de nos clients.
Profil
De formation informatique (Bac +4 / Bac +5), vous avez une première expérience réussie dans la gestion de projet Cloud. Vous maîtrisez les produits Microsoft de virtualisation (Hyper-V, Windows Azure Pack, Microsoft Azure Stack) et System Center (SCVMM, Orchestrator, SCOM) et Microsoft Azure.
Vous êtes compétent et souhaitez développer votre expertise sur au moins l’un de ces domaines.
Bon(ne) communicant(e), vous êtes capable de vous adapter à la fois au travail en équipe et aux projets de nos clients.
Une ou plusieurs certifications Microsoft ou un titre MVP seraient un plus.
Pour postuler
Si cette offre vous intéresse, merci de communiquer votre CV + Lettre de motivation personnalisée.
Vous souhaitez nous rejoindre ?
Contactez votre agence Exakis la plus proche ou envoyer votre candidature sur notre formulaire en ligne.
Candidater à cette offre"
8,https://www.indeed.fr/emplois?q=Intelligence%20Artificielle&l=Lyon&radius=100&limit=100&sort=date&vjk=4452bbbc0469d000,"Architecte .Net Azure (H/F)
Exakis10 avis - Grenoble (38)","['Grenoble (38)', 'CDI']",Architecte .Net Azure (H/F),Exakis,- Grenoble (38),CDI,null,"il y a 2 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Intelligence Artificielle ,Lyon,"Exakis Nelite, entité du groupe Magellan Partners, est le premier partenaire pure-player Microsoft en France avec l’ambition de devenir le premier partenaire Européen et en Afrique Francophone avec sa forte présence au Maroc.
Nés du rapprochement de 2 leaders spécialistes de l’intégration des solutions Microsoft, nous allions expertise technique et fonctionnelle pour répondre concrètement aux enjeux de demain : accélération de la transformation digitale, CyberSécurité, Intelligence Artificielle, IoT, Data, transformation vers le cloud Azure, Services Cognitifs et Intelligence Artificielle…
En rejoignant la communauté Exakis Nelite dans l’une de nos 14 agences, vous intégrerez une équipe passionnée et impliquée dans les projets les plus innovants. Vous rejoindrez une structure construite autour de valeurs tournées vers ses collaborateurs : intelligence collective, convivialité et bienveillance.
Département : Logiciel
Ville : Grenoble
Type de contrat : CDI
Expérience : 5 ans
Poste et missions
Conception et mise en œuvre d’applications Web en .net
Architecture de projets Azure
Réalisation de plateformes mobiles
Coaching technique d’équipes projets
Veille technologique continue
Vous serez amené(e) à participer aux phases d’avant-vente, d’étude, d’architecture, de réalisation de la solution et d’encadrement technique des projets.
Profil
De formation BAC+5 idéalement en ingénierie, vous justifiez d’un minimum de 10 ans d’expérience dans le cadre de projets .Net à forte valeur ajoutée. Vous avez une expertise avérée sur plusieurs des environnements suivants : .Net (2.0/4.5), SQL server (2008/2012), WCF, Azure & Cloud Computing, Windows Phone, Xamarin, ASP.NET MVC, HTML5, Java Script CSS 3.0, Framework JS. Vous justifiez de plusieurs années de conduite technique de projets et de mise en œuvre d’architectures complexes. La maitrise de l’anglais est indispensable et une ou plusieurs certifications Microsoft seraient un plus
Pour postuler
Si cette offre vous intéresse, merci de communiquer votre CV + Lettre de motivation personnalisée.
Vous souhaitez nous rejoindre ?
Contactez votre agence Exakis la plus proche ou envoyer votre candidature sur notre formulaire en ligne.
Candidater à cette offre"
9,https://www.indeed.fr/emplois?q=Intelligence%20Artificielle&l=Lyon&radius=100&limit=100&sort=date&vjk=d8af9fe5ed05016c,"COMMERCIAL(E) SEDENTAIRE - DIGITAL SELLING & MARKETING - 38 F/H
DARCOR - Grenoble (38)","['Grenoble (38)', 'CDI']",COMMERCIAL(E) SEDENTAIRE - DIGITAL SELLING & MARKETING - 38 F/H,DARCOR,- Grenoble (38),CDI,null,"Apec.fr - il y a 21 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Intelligence Artificielle ,Lyon,"Depuis le siège de l’entreprise, votre mission sera de participer au développement des ventes des différents services et produits (Conseil, applications informatiques…..) de l’entreprise. Dans ce cadre, vous :

Assurez la prospection téléphonique pour qualification des futurs clients puis prise de rendez-vous
Animerez les réseaux sociaux
° « content marketing » : rédaction de billets de blog orientés commerce et pilotage des contenus (livres blancs,…)

° gestion des users et communautés

Organiserez les webinars : gestion des bases de données, relance….
Ces missions s’inscrivent dans un contexte passionnant et avec des interlocuteurs passionnées et de (très) haut niveau.
Profil recherché Forcément diplômé de l’enseignement supérieure (Bac + 3 et plus en commerce / marketing), vous bénéficiez idéalement d’une première expérience même courte (CDD, stage, alternance) dans une fonction comparable et vous avez pu développer des compétences commerciales :

Sens de l’écoute permettant la découverte efficace du client.
Capacité à convaincre et à traiter efficacement les objections.
Vous êtes forcément à l’aise avec Internet et les nouvelles technologies et vous portez un réel intérêt sur les évolutions technologiques : robotisation, intelligence artificielle…

Enfin, vous vous prévalez d’un bon niveau d’anglais (B1 et plus)
Entreprise Notre client est une entreprise spécialisée dans le conseil et les services en innovation auprès des PME, des chercheurs, des grands groupes, des startups. Entreprise innovante dans ses process et dans son offre, il propose des solutions innovantes grâce à son expertise et ses outils de recherche et traitement des informations scientifiques.

Nous recherchons sur (proche) Grenoble (38) un/une

COMMERCIAL(E) SEDENTAIRE

DIGITAL SELLING & MARKETING (H-F) - 38"
