,id,meta1,meta2,titre_poste,entreprise,localisation,contrat,salaire,date_publication,keyword_metier,keyword_localisation,description
0,https://www.indeed.fr/emplois?q=Integrateur%20web&l=Lyon&radius=100&limit=100&sort=date&vjk=e4839d98911e2a9c,"Webdesigner / Intégrateur
SERCO POINT WEB3 avis - Villeurbanne (69)","['Villeurbanne (69)', 'Temps plein, CDI']",Webdesigner / Intégrateur,SERCO POINT WEB,- Villeurbanne (69),"Temps plein, CDI",null,"il y a 1 jour
Signaler cette offre d'emploi",Integrateur web,Lyon,"Interlocuteur unique, nous sommes spécialisés depuis 1999 dans le développement et la gestion de prestations Internet, sites Internet, intranet, extranet…
Nous gérons plus de 900 clients PMI/PME sur la région Rhône alpes.
Pour eux , nous hébergeons, référençons et administrons les sites que nous leur avons réalisés.
Entreprise à taille humaine, SERCO POINT WEB est composée de 15 collaborateurs, graphistes , développeurs , commerciaux..
Nous répondons à des besoins essentiels qu'ont les chefs d'entreprises, soucieux du développement et de la pérennité de leurs sociétés.
Au sein d'une équipe dynamique:
Vous prenez en charge la conception graphique.
Vous intégrez les différentes maquettes préalablement validé par le client.
Vous êtes force de proposition quant à la charte graphique à mettre en place pour le client.
Vous travaillez en collaboration avec l'équipe en place et mettez en commun vos
compétences.
Vous réalisez vos projets en toute autonomie dans un cadre structuré et stimulant.
Compétences techniques:
Maitrise de HTML5 et de CSS3, de Jquery, de JavaScript.
Maitrise de la suite adobe.
Connaissance du framework Symfony est un plus
Gestion de dépôts Git.
Compétences organisationnelles:
Écoute, rigueur, professionnalisme, discrétion.
Capacités d'analyse et de synthèse.
Être réactif et disponible.
Savoir travailler en équipe, mais aussi en autonomie.
Type d'emploi : Temps plein, CDI
Expérience:
Suite Adobe: 2 ans (Souhaité)
HTML/CSS: 2 ans (Souhaité)"
1,https://www.indeed.fr/emplois?q=Integrateur%20web&l=Lyon&radius=100&limit=100&sort=date&vjk=d4c238134882c6c6,"Analyste programmeur H/F
HOROQUARTZ7 avis - Vénissieux (69)","['Vénissieux (69)', 'CDI']",Analyste programmeur H/F,HOROQUARTZ,- Vénissieux (69),CDI,null,"il y a 2 jours
Signaler cette offre d'emploi",Integrateur web,Lyon,"Editeur et intégrateur de solutions de sûreté (contrôle d’accès, vidéosurveillance, détection-intrusion), Horoquartz c’est 560 collaborateurs, 17 agences en France et un CA de 58.8 M€ en 2018.
Nous rejoindre, c'est l'opportunité…
De travailler sur des projets diversifiés, des solutions technologiques performantes et reconnues,
De bénéficier d'un accompagnement dès votre intégration et tout au long de votre carrière (formation, parcours d'évolution, mobilité, etc.),
De travailler dans des espaces agréables et une ambiance de travail conviviale !
Vous êtes féru(e) de développement?
Vos missions ?
rédiger les documents d’analyse fonctionnelle et de conception détaillée à partir des cahiers des charges utilisateurs,
réaliser les développements qui vous seront confiés dans le respect des normes et standards de l'entreprise,
valider et tester les applications développées,
formaliser les documentations techniques et fonctionnelles,
être garant(e) de la mise en exploitation des applications ainsi que leur maintenance.
Votre profil ?
Pour mener à bien la mission, il vous faudra avoir :
une formation supérieure en informatique
une première expérience en tant que Développeur(se) dans un environnement web sous Java/J2EE
la maitrise de Java, JavaScript, de bonnes connaissances de jQuery, Web HTML5, CSS. Une connaissance du langage Ruby serait un plus.
Vous vous reconnaissez dans ce profil ?
Rejoignez la Team Horoquartz !
Pour en savoir plus, rendez-vous sur www.horoquartz.fr/carrieres
Type d'emploi : CDI
Expérience:
analyste programmeur h/f ou similaire: 1 an (Souhaité)"
2,https://www.indeed.fr/emplois?q=Integrateur%20web&l=Lyon&radius=100&limit=100&sort=date&vjk=590a66c87b08b84f,"Responsable Application Web Marketing H/F
Arkema254 avis - Pierre-Bénite (69)","['Pierre-Bénite (69)', 'CDI']",Responsable Application Web Marketing H/F,Arkema,- Pierre-Bénite (69),CDI,null,"il y a 4 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Integrateur web,Lyon,"Nous connaître
Entité ciblée
Designer de matériaux et de solutions innovantes, Arkema modèle la matière et accélère la performance de ses clients pour créer de nouveaux usages dans l'allègement et le design des matériaux, les produits bio-sourcés, les énergies nouvelles, la gestion de l'eau, les solutions pour l'électronique et la performance et l'isolation de l'habitat.

Acteur mondial de la chimie de spécialités et des matériaux avancés, avec 3 pôles d'activités, Matériaux Haute Performance, Spécialités Industrielles, Coating Solutions, et des marques mondialement reconnues, le Groupe réalise un chiffre d'affaires de 8,8 milliards d'euros. Porté par l'énergie collective de ses 20 000 collaborateurs, Arkema est présent dans près de 55 pays.

A compétences égales, tous nos postes sont ouverts aux personnes en situation de handicap.

Allez au-delà de vos découvertes !
Référence
2019-10021
Nous rejoindre
Métier
Systèmes d'Information - Télécom - Responsabilités Générales SI
Contrat
CDI
Votre profil
Vous souhaitez relever un nouveau challenge ? N'attendez plus ! Nous travaillons actuellement sur un très gros projet de transformation digitale, et nous recherchons un(e) Responsable Applications Web Marketing

Les finalités de ce poste sont multiples :
Maintenir les applications du domaine en conditions opérationnelles, apporter l'assistance nécessaire aux utilisateurs
Répondre aux demandes des utilisateurs et des maîtrises d'ouvrage
Accompagner les projets métiers dans la définition, la construction et la mise en œuvre / le déploiement des solutions IT dans le domaine de la diffusion de contenu WEB
Garantir le bon fonctionnement des environnements WEB (Intranet et Internet) et du niveau de service des applications avec la MOA

Diplômé d'un Bac + 5 en gestion de projets et applications, vous justifiez de 5 ans d'expérience professionnelle dans le domaine du Web publishing et/ou du Web Marketing
Vous êtes capable d'acquérir rapidement de nouvelles connaissances, de vous adapter à des environnements évolutifs, de coordonner des projets et de communiquer sur vos actions, quelques soit votre interlocuteur

Votre poste suppose de nombreux contacts avec les utilisateurs : vous êtes disponible, avez un sens du service et une écoute développés, de même qu'un esprit de synthèse et une capacité à expliquer, dialoguer et rester ferme sur les normes et standards iTeam

Vous êtes autonome dans la gestion de vos missions et êtes à même de rendre compte à bon escient de vos activités. Le pilotage de projets informatiques n'a pas de secret our vous

La dimension internationale du poste et de l'entreprise suppose que vous parliez et écriviez un anglais courant
Vos principales missions
En tant que Responsable Application Web Marketing, vous êtes rattaché(e) au Responsable du domaine Content Management & Development du département TIS (Technical & Innovative Solutions)

Vos missions sont les suivantes :
Dans le domaine fonctionnel : diffusion de contenu Web (Intranet et Internet) et outils connexes, pour l'ensemble des utilisateurs du groupe Arkema, au niveau mondial
Pour mener à bien vos missions, vous devez développer de nombreuses relations, internes et externes
Relations internes, avec les Représentants Maîtrises d'Ouvrage (Directions Fonctionnelles, Business Units), les Correspondants en usine et les Départements techniques iTeam
Ces contacts s'entendent également avec iTeam/US et iTeam/Asie pour les applications mondiales
Relations externes, avec les éditeur des solutions, les ESN, les intégrateurs, …

Vos missions principales consistent à :
Organiser et réaliser les activités de support nécessaire pour les applications du périmètre
Prendre en compte et traiter les demandes d'évolution des utilisateurs et des maîtrises d'ouvrage
Participer comme partie prenante aux réunions régulières avec les maîtrises d'ouvrage, contribuer aux décisions prises
Prendre en compte les nouveaux projets du domaine, en assurer la coordination et le pilotage
Contribuer à la relation avec les éditeurs de logiciels

Vos projets et applications sont à vocation mondiale : vous vous appuyez sur l'organisation iTeam existante pour la gestion de la production informatique, pour la mise en production et l'exploitation des applications

Vous évoluez dans un environnement technique pointu et complexe, au milieu de clients et utilisateurs exigeants qu'il faut aider et ""canaliser"" dans l'expression de leurs demandes et dans les solutions à déployer
Fréquence des déplacements
10% du temps
Rythme de travail
Journée
Vos compétences
Niveau d'études min. requis
Bac +5
Spécialisation
Marketing
Gestion de Projet
Niveau d'expérience min. requis
5 ans et plus
Langues
Anglais (Courant)
Localisation du poste
Localisation du poste
France, Auvergne-Rhône-Alpes, Rhône (69)
Lieu
Pierre-Bénite"
3,https://www.indeed.fr/emplois?q=Integrateur%20web&l=Lyon&radius=100&limit=100&sort=date&vjk=2fb954992518255b,"Concepteur développeur RPG (H/F)
CELAD9 avis - Lyon 9e (69)","['Lyon 9e (69)', 'Freelance / Indépendant']",Concepteur développeur RPG (H/F),CELAD,- Lyon 9e (69),Freelance / Indépendant,null,"il y a 5 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Integrateur web,Lyon,"Issu du monde bancaire, CELAD a été créé en 1990 à Toulouse. Nos 1050 collaborateurs(trices) interviennent aujourd’hui sur 2 pôles d’activités : les systèmes d’information et l’informatique industrielle et ceci chez plus de 250 clients (PME/PMI et grands comptes).

Depuis 2006, l’entité CELAD Auvergne-Rhône-Alpes propose de nombreuses missions intéressantes et à forte valeur ajoutée sur l’ensemble de la région : Clermont-Ferrand, Montluçon, Lyon, Grenoble, St-Etienne, Valence, Dijon et Archamps.

Nous sommes entièrement impliqué(e)s dans la gestion de nos collaborateurs(trices), ce qui est la base de notre développement ainsi que le reflet de la qualité de notre travail.

Dotée d’un véritable processus de recrutement, l’agence CELAD Auvergne-Rhône-Alpes accompagne ses candidat(e)s avec beaucoup d’enthousiasme et de passion au quotidien.

Donc si vous souhaitez faire partie de l’aventure Celadienne, rejoignez-nous !

D’ailleurs, nous poursuivons notre développement et recrutons actuellement un(e) Concepteur développeur RPG pour intervenir chez un de nos clients.

Vos principales missions :
– Participer au chiffrage
– Contribuer à la production des SFD
– Rédiger les dossiers de conception technique en lien avec les SFD et les DAT
– Développer des composants RPG, PLSQL, Shell, PERL en fonction des normes de développement
– Rédiger les dossiers de test unitaire et réaliser les TU des composants développés
– Rédiger les dossiers d’application et les dossiers d’exploitation en relation avec les intégrateurs qui sont garants de l’exploitabilité
– Produire les bons de livraison
– Etre en support des intégrateurs dans les phases de déploiement des composants
– Etre en support des équipes de tests dans les phases de recette
– Participer à la gestion des incidents et au suivi des logs
– Contribuer au passage en fonctionnement en fournissant les différents livrables attendus
Environnement technique :
– Langage / Développement : RPG (obligatoire)
– Compétences souhaitées : JAVA J2EE, Java Web, WebServices (SOAP, REST), xHTML, XML, XSLT, PLSQL, Procédure Stockée, Shell, Protocole d’échange sécurisé, PERL
– SQL, DB2/400 – RPG (compétences en mapping de flux et aisance dans la manipulation de données s’avèrent nécessaires pour la rédaction des mappings de flux et la modélisation conceptuelle)
– Machine OS : AS400
Formation : Bac +5 et expérience de 5 ans minimum sur un poste similaire
Postuler à cette offre
Email de contact : celad-rhl@celad.com
Référence à rappeler : L.40.92.09.19"
4,https://www.indeed.fr/emplois?q=Integrateur%20web&l=Lyon&radius=100&limit=100&sort=date&vjk=a29edadeede9d223,"Développeur Fullstack Java J2EE Angular H/F
Visiativ4 avis - Lyon (69)","['Lyon (69)', 'CDI']",Développeur Fullstack Java J2EE Angular H/F,Visiativ,- Lyon (69),CDI,null,"il y a 5 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Integrateur web,Lyon,"Parlons de notre VisiaTeam

Visiativ est éditeur de logiciels, intégrateur de solutions et de conseil en innovation. Visiativ est une société à taille humaine (1000 collaborateurs), cotée en bourse ayant réalisé un chiffre d'affaires de 163 Meuro en 2018 (+31% vs 2017). Visiativ intervient dans la transformation numérique des entreprises en France et à l'international (Europe, États-Unis et Brésil) grâce à ses solutions innovantes et rayonne dans son écosystème à travers notamment des événements tels que L'entreprise DU FUTUR et Connect.

Parlons de votre futur VisiaJob

Vous souhaitez vivre une nouvelle aventure professionnelle et pouvoir vous projeter dans une entreprise en plein développement ? Rejoignez-nous et ensemble développons nos talents pour faire de Visiativ l'entreprise du futur, et le partenaire préféré de tous nos clients autour de solutions à haute valeur ajoutée !

Intégré(e) au sein de l'équipe 5 collaborateurs , vous contribuez au développement de notre produit My3Dplayers qui est une application qui permet d'animer et de scénariser les conceptions 3D de nos clients de manière interactive. Cette application est disponible sur le Web, PC, Android, iOs et aussi en Réalité Virtuelle !

Basé(e) au sein du siège social de Visiativ vous intégrez une équipe de développeur, qui intervient sur 3 produits : My3Dplayers, MyCADplaces et Myproduct. Vos activités principales concernant le produit My3Dplayers. Véritable bureau d'étude et d'innovation, et vous échangerez avec nos Product Owner pour offrir des solutions en parfaite adéquation avec les besoins clients.

Vos missions pour ce poste :
Gérer les évolutions et la maintenance du produit : en lien avec le product manager mais également avec le retour en direct de vos clients,
La séparation de l'applicatif my3Dplayer de son environnement pour en faire une application autonome,
Moderniser le socle technique de l'application et faire monter en version les technologies existantes, (Java, Wildfly, Angular, etc...)
Essai Technique pour de futurs évolutions sur d'autres produits gérés par l'équipe (myCADplaces, myProduct)
De la gestion de projet : si vous le souhaitez, vous pouvez devenir le futur Scrum Master de l'équipe pour intervenir sur différents projets.


Parlons de votre VisiaProfil

Vous disposez d'une expérience significative d'au moins 3 ans sur un poste similaire,
Vous détenez des compétences en Java Fullstack,
Vous souhaitez évoluer sur de la gestion de projet et intégrer une entreprise en développement,
Au-delà des compétences métiers/ technique, nous recherchons des collaborateurs qui souhaitent exprimer leur potentiel et développer avec nous l'entreprise du futur.
Nous vous offrons, au sein de nos équipes, un management de proximité qui permet de favoriser les échanges pour mieux accompagner nos clients dans leur transformation.
C'est avant tout votre curiosité, votre esprit d'équipe et votre engagement qui feront la différence au sein de nos équipes.

Venez vivre des expériences variées, rejoignez-nous !

Type de contrat
CDI

Diffusé le
03/10/2019"
5,https://www.indeed.fr/emplois?q=Integrateur%20web&l=Lyon&radius=100&limit=100&sort=date&vjk=0a05d692b02fd2a0,"Scrum Master (H/F)
O2MAX - Lyon (69)","['Lyon (69)', 'CDI']",Scrum Master (H/F),O2MAX,- Lyon (69),CDI,null,"il y a 6 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Integrateur web,Lyon,"Depuis 2013, nous conseillons nos clients dans la réalisation de leurs projets informatiques : AMOA, pilotage et direction de projets, expertises techniques, transformation digitale, accompagnement des DSI, optimisation des processus, gouvernance.
Nos valeurs fondatrices ont été calquées sur celles du sport : le respect, l'engagement, le goût du défi, la persévérance, l'esprit d'équipe, le dépassement de soi, mais aussi la recherche du bien-être.

Vous avez envie de prendre en main votre destin et devenir un pilier de la stratégie de développement de votre employeur ? Rejoigner O2MAX !
Afin d’accompagner notre croissance raisonnée et durable, nous cherchons à recruter nos collaborateurs de demain.
Au-delà des compétences nous recherchons avant tout des personnalités avec lesquelles nous nous projetons dans une relation de confiance, sur du long terme.
Saisissez l’opportunité d’être parmi les pionniers d’une société dynamique et à l’écoute de ses forces vives. Plus qu’une mission, nous proposons une aventure.
Venez exprimer vos talents de Scrum Master pour intervenir chez nos clients lyonnais.
Nous recherchons, un Scrum Master (H/F) en CDI sur Lyon avec comme principales missions d’organiser, planifier, animer et piloter la mise en œuvre de projets digitaux. Tel un vrai chef d’orchestre, il interviendra sur toutes les phases du cycle de vie du projet, de la conception à la réalisation, jusqu’à la livraison.

Missions :
Accompagnement des projets dans leur environnement digital,
Rédaction de cahiers des charges et définitions de spécifications technico-fonctionnelles,
Pilotage des projets web et applications mobiles,
Gestion de plannings & budgets,
Pilotage des équipes projets (UX, Designers, Intégrateurs, Développeurs front et back, …),
Garant de la qualité des livrables.
Nous souhaitons un profil de formation bac+5 (Ingénieur ou Universitaire), ayant une expérience avérée d’au moins 3 ans sur un poste similaire de Chef de Projet Technique et plus précisément des connaissances et compétences dans les domaines ci-dessous:
La Gestion de projet et des outils associés.
Une expérience de conduite de projet en mode agile est obligatoire
La planification de projets et des ressources associées
Aisance dans l’animation d’équipe et la coopération inter équipes
Bonne maitrise des technologies Web indispensables
Nous recherchons des personnes avec des expériences passées en tant que ""développeur/concepteur"""
6,https://www.indeed.fr/emplois?q=Integrateur%20web&l=Lyon&radius=100&limit=100&sort=date&vjk=6c0793ef7b8c91f4,"UI/UX Web designer / Intégrateur Front-end CSS Stage ou Alternance
Adrenalead - Lyon (69)","['Lyon (69)', 'Temps plein, Temps partiel, Stage, Apprentissage']",UI/UX Web designer / Intégrateur Front-end CSS Stage ou Alternance,Adrenalead,- Lyon (69),"Temps plein, Temps partiel, Stage, Apprentissage",null,"il y a 8 jours
Signaler cette offre d'emploi",Integrateur web,Lyon,"Adrenalead, startup dans le domaine de la MarTech est une agence de data-driven Marketing Solutions, basée à Lyon.
Nous avons développé une plateforme marketing de conquête et fidélisation clients basée sur le format des Web Push Notifications. Conçue pour aider des e-commerçants et retailers à adresser le bon message, à la bonne personne, au bon moment, elle s'appuie sur un moteur de ciblage comportemental et prédictif.
Dans le cadre de notre croissance et du déploiement de notre solution technologique, nous recherchons un.e UI/UX Web designer / Intégrateur Front-end CSS en stage ou alternance.
Issu.e d’un cursus liée à la Communication Web et Stratégie Multimédia ou Création Numérique, vous disposez d’une première expérience à la fois créative et technique.
Vos missions
En relation permanente avec l’équipe technique et marketing, vous serez force de proposition sur le prototypage de notre plateforme propriétaire et le design fonctionnel (UI/UX), l’ergonomie et la conception du thème graphique web et mobile ainsi que sur les missions suivantes :
Création et la réalisation graphiques de visuels publicitaires
Élaboration et intégrations de landing page et pages web à destination de notre équipe Sales
Création d’outils de communications annexes (bannières pub, habillages, opérations spéciales, etc…)
Vos compétences
Analyse des besoins et des attentes du projet
Création de maquettes à partir d’un brief client ou d’une réunion préparatoire
Expérience solide en HTML/CSS3 web & mobiles, rigueur dans la rédaction du code
Animations CSS
Savoir travailler avec et sans chargement de librairies externes (bootstrap, jQuery, …)
Veille technologique et créative (UI, CSS)
Votre profil
Issu.e d’un cursus liée à la Communication Web et Stratégie Multimédia ou Création Numérique, vous disposez d’une première expérience à la fois créative et technique.
Vos qualités
Passion pour le marketing digital et l’expérience utilisateur
Aptitude pour la gestion de projets
Curiosité
Adaptabilité et Réactivité
Esprit d’initiatives
Autonomie et Rigueur
Qualité rédactionnelle
Prêt.e à nous rejoindre ?
Envoyez-nous votre CV + Lettre de motivation + rythme et durée de votre alternance/stage.
Type d'emploi : Temps plein, Temps partiel, Stage, Apprentissage
Expérience:
ui/ux web designer / intégrateur front-end css stage ou alternance ou similaire: 2 ans (Souhaité)"
7,https://www.indeed.fr/emplois?q=Integrateur%20web&l=Lyon&radius=100&limit=100&sort=date&vjk=e1bede5b192317c7,"Développeur / Intégrateur web H/F
EXIMEO - Villefontaine (38)",['Villefontaine (38)'],Développeur / Intégrateur web H/F,EXIMEO,- Villefontaine (38),null,null,"il y a 7 jours
Signaler cette offre d'emploi",Integrateur web,Lyon,"Contexte
Acteur de la transition numérique des entreprises, le GROUPE KARDOL intègre des solutions de gestion d’entreprise et propose une palette complète de solutions et services cloud et infrastructures.
Intégrateur leader de l’ERP Sage X3, KARDOL a conçu des solutions métiers dédiées aux entreprises industrielles et plus spécialement celles de l’automotive, de la plasturgie, la chimie et la pharmacie-cosmétique.
Au-delà des prestations de mise en œuvre, KARDOL propose à ses clients une gestion déléguée et modulaire de leur informatique au quotidien. KARDOL apporte un service de proximité et met à leur disposition des compétences étendues pour le suivi, la maintenance et l’exploitation des infrastructures et des réseaux.
Vous recherchez une société :
Qui inscrit sa démarche dans la durée
Qui fonde son développement sur les valeurs d’engagement, d’empathie, de coopération mais aussi de plaisir et sur la qualité de son équipe,
Qui donne à chacun la possibilité d’être responsable de son travail et acteur de son parcours.
Vous privilégiez le travail dans une PME pour la simplicité des relations internes, pour la richesse des tâches qui vous sont confiées, la qualité de la relation avec les clients, l’esprit d’équipe qui vous permet de vous impliquer ; alors, rejoignez-nous !
L’activité KARDOL K-Web réalise, pour le compte de ses clients, des projets web en assurant leur spécification, leur réalisation, leur hébergement et leur maintenance. Dans le cadre du développement de son activité, le Groupe recrute un développeur/intégrateur Web avec des notions de webdesign.
Principales Missions
Vous prendrez en charge la réalisation des projets web clients en participant à l’élaboration du cahier des charges puis en assurant la réalisation et le suivi du projet.
Vous serez également amené à intervenir sur les projets existant pour apporter des évolutions fonctionnelles, corriger des problèmes, optimiser les performances et proposer des axes d’amélioration.
Vos compétences graphiques vous permettrons d’intervenir ponctuellement sur des demandes simples (retouches, redimensionnement…) des clients.
Vous aurez également la charge de rédiger les documentations techniques en relations avec vos développements et le suivi des demandes clients dans l’outil interne de gestion de tickets.
Vous pourrez être amené à participer occasionnellement à des déplacements chez les clients (avant-vente, suivi, formation et livraison technique).
Rattaché au dirigeant de l’entreprise vous devrez assurer le reporting de vos actions auprès de lui.
Conditions d’exercice
Le poste sera basé dans les bureaux de la société à Villefontaine (38090).
Possibilité de déplacements occasionnels en clientèle.
Formation et Niveau d’Expérience
De formation technique vous présentez au moins 3 années d’expérience dans le domaine du développement et l’intégration web au sein d’une agence web
Connaissances Requises
Connaissances Indispensables :
Langages de programmation suivants : PHP, Javascript, Html, Css, SQL.
Programmation orientée objet.
Connaissances appréciées mais facultatives :
Connaissance en administration d’environnement LINUX.
Connaissance de Framework Php.
Savoirs être
Capacité d’adaptation dans une petite structure en pleine construction où les niveaux d’intérêts des tâches peuvent être variables et dépendront de la vitesse d’évolution de la société.
Avoir un bon relationnel et un esprit « Service client » pour pouvoir mener à biens les projets clients.
Etre créatif, faire preuve d’initiative et être force de proposition.
Etre autonome, organisé et rigoureux."
8,https://www.indeed.fr/emplois?q=Integrateur%20web&l=Lyon&radius=100&limit=100&sort=date&vjk=7616ebb47814a2d4,"intégrateur de production informatique (F/H)
ACOSS2 avis - Lyon (69)","['Lyon (69)', 'CDI']",intégrateur de production informatique (F/H),ACOSS,- Lyon (69),CDI,null,"il y a 8 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Integrateur web,Lyon,"Contexte
L'ACOSS (Agence Centrale des Organismes de Sécurité Sociale) est la caisse nationale de la Branche recouvrement de la Sécurité Sociale (14 000 collaborateurs).
A ce titre, elle est un acteur majeur du bon fonctionnement du système de protection social français.
Elle garantit notamment la redistribution des recettes destinées au financement des prestations des 4 branches du régime général de la Sécurité Sociale (maladie, accident du travail et maladie professionnelle, famille, retraite).
La branche recouvrement connaît une extension de ses missions. Elle assure aujourd’hui le recouvrement pour le compte de 900 partenaires. Elle est reconnue en tant que recouvreur de référence de la sphère sociale.
Le cœur de l’activité de la Branche Recouvrement repose sur un système d’information étendu qui assure la récolte de plus 470 Md€ de cotisations et plus de 2300 Md€ de flux de trésorerie.
La Direction des Systèmes d’Information, composée de 850 collaborateurs est répartie sur 11 sites.
Mission/Activités
Sous la responsabilité du manager en charge de la production opérationnelle, la mission de ce poste est de :
garantir l'intégration en production des nouvelles applications métiers et versions applicatives, en relation avec les différentes MOE,
assurer leur installation sur les différentes plateformes en environnement Linux, en respectant les processus établis,
développer, maintenir et administrer les outils d'exploitation et les solutions de gestion de l'éditique,
réaliser les documentations d'exploitation associées.

Compétences
De formation supérieure (Bac +4 ou plus), vous justifiez de 2 à 3 années d’expérience dans le domaine de la production informatique.
Vous maîtrisez l'administration LINUX et disposez d'une expérience significative de l'exploitation dans cet environnement.
Vous maîtrisez éaglement le scripting Shell et Perl.
Vous avez une bonne connaissance du langage SQL, des SGBD (Postgres, Oracle, MySQL), des technologies Web (Apache, Jboss, Tomcat, Php, Python) et de l’administration des environnements WINDOWS.
Des notions de réseaux et d'anglais technique constitueront un avantage relatif.

Conditions particulières
Le poste nécessite occasionnellement :
d'intervenir hors des plages d’ouverture des applications, ou en horaire décalé.
participer aux astreintes pour les applications sensibles.

Des déplacements de courte durée sont à prévoir.
Contact
Pour mieux vous connaître, nous vous remercions de postuler en ligne (CV+ lettre de motivation).
Pour plus de détails sur le poste, vous pouvez prendre contact avec Fabienne Chauderon, responsable du centre national de production (fabienne.chauderon@acoss.fr)"
9,https://www.indeed.fr/emplois?q=Integrateur%20web&l=Lyon&radius=100&limit=100&sort=date&vjk=77cccfb9253680b2,"Ingénieur Support Ventes
Acuity Brands - Brignais (69)",['Brignais (69)'],Ingénieur Support Ventes,Acuity Brands,- Brignais (69),null,null,"il y a 7 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Integrateur web,Lyon,"Distech Controls permet aux bâtiments connectés de communiquer avec ses occupants grâce à des solutions basées sur des technologies avancées, en relation avec ses clients, conçoit des solutions innovantes afin d’améliorer le bien-être, la gestion des espaces et l’efficacité énergétique des bâtiments. La passion pour l’innovation, la qualité et le développement durable guide sa stratégie.
« Relier les occupants aux bâtiments connectés pour améliorer le bien-être, la gestion des espaces et l’efficacité énergétique. »
Distech Controls est une filiale de Acuity Brands Lighting, Inc. www.distech-controls.com
Dans le cadre de sa croissance sur le marché des locaux techniques, Distech Controls recrute un Ingénieur Support Ventes (F/H) pour intégrer son siège social Europe/Afrique (Sud Lyon - Brignais).
Cette fonction est rattachée au Directeur Développement Grand Tertiaire basé à Lyon.
Vous êtes le référent technique de l’équipe Ventes et des clients (Intégrateurs, OEM, Exploitants) et soutien technique en avant-vente et dans le déploiement des projets.
Activités principales :
En collaboration avec les équipes Vente et Support Technique, vous avez en charge la relation technique auprès des clients et vous êtes amené (e) à intervenir ponctuellement sur site.
Vous venez en support de l’équipe Ventes lors de l’introduction des produits auprès de nos clients grands comptes.
Vous animez des réunions physiques ou web à l’attention des intégrateurs sur les sujets évolutions techniques et nos nouveautés.
Vous accompagnez et conseillez l’intégrateur sur le premier projet ou sur un projet spécifique de façon que ce travail préalable garantisse la bonne réalisation chantier.
Vous concevez le contenu et animez des séances d’information auprès des bureaux d’études sur tout le territoire.
Vos échanges avec les clients vous permettent d’être un acteur important pour la prise en compte des évolutions et développements de nouveaux produits auprès des services R&D et Product Management
En collaboration avec le département de marketing et communication, vous êtes impliqué (e) dans le lancement de produits et aux différents évènements commerciaux de l’entreprise (salons, Roadshows, meeting partenaires/clients,..)

Compétences requises
Vous êtes Ingénieur ou équivalent avec expérience de 8 ans mini dans le domaine de l’automatisation du bâtiment.
Vous maîtrisez les systèmes «Building Automation» jusqu’à leur programmation (Protocoles de communication LonWorks, BACnet, Modbus /BMS Systems : EC-Net AX/N4 – si plus : Niagara AX)
Vous avez des connaissances en réseaux informatiques et langages de programmes associés tels que Javascripe, C, C++,Json,…
Vous avez une excellente communication tant à l’oral qu’à l’écrit. L’anglais sera un plus.
Vous êtes reconnu(e) pour vos approches pédagogiques, votre capacité à travailler en équipe et à gérer les priorités dans le traitement des situations d’urgence de nos clients

Des déplacements dans les pays francophones sont à prévoir (30 à 50 % du temps)

Si vous êtes intéressé(e) à vous joindre à une entreprise internationale en pleine croissance du secteur de l'énergie, nous vous invitons à postuler en ligne. N'hésitez pas à partager cette offre à votre réseau !

Distech Controls Inc. et EldoLED B.V. appartiennent à Acuity Brands Lighting, Inc., qui est située aux États-Unis. Ces sociétés partagent un système de recrutement global sur lequel seront conservées les données que vous fournissez, et qui seront soumises aux lois des États-Unis d'Amérique."
