,id,meta1,meta2,titre_poste,entreprise,localisation,contrat,salaire,date_publication,keyword_metier,keyword_localisation,description
0,https://www.indeed.fr/emplois?q=Data%20Analyst&l=Lyon&radius=100&limit=100&sort=date&vjk=8d395956a62982b6,null,[],null,null,- Craponne (69),"Intérim, Stage",null,"il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",Data Analyst,Lyon,"Acteur mondial dans le domaine du diagnostic in vitro depuis plus de 55 ans, bioMérieux conçoit, développe, produit et commercialise des solutions de diagnostic (systèmes, réactifs, logiciels et services) destinées à des applications cliniques et industrielles, qui déterminent l'origine d'une maladie ou d'une contamination pour améliorer la santé des patients et assurer la sécurité des consommateurs.

bioMérieux est présente dans 43 pays et sert plus de 160 pays avec un large réseau de distributeurs. Son siège social se situe à Marcy l’Etoile, près de Lyon, en France.

Rejoindre les équipes de bioMérieux, c’est choisir une société innovante avec une vision long terme, engagée au service de la santé publique et portée par une culture d’entreprise humaniste.

Nous recherchons des candidats dont la volonté est de s’investir dans des projets d’avenir, de participer à une aventure collective animée par un esprit pionnier.

Nous avons la volonté d'offrir à nos collaborateurs un environnement de travail qui encourage l'esprit d'équipe, avec priorité donnée à la formation et des opportunités de développement de carrière à l'international.

Notre Groupe offre de nombreuses perspectives d’évolution : rejoignez les 11 200 collaborateurs de bioMérieux qui se sont déjà reconnus dans ces valeurs !

Sous la responsabilité du Project Management Officer, au sein de l’équipe Supply Performance, vous aurez les responsabilités suivantes :
1. Activités opérationnelles
- Suivre les indicateurs de Performance (KPI - Key Performance Indicators) de la Supply chain du groupe via l’élaboration de reporting quotidiens, hebdomadaires et mensuels
- Analyser les écarts et mettre en place des plans d’actions associés auprès des différents départements de la Supply Chain (Transports, Entrepôts, Administration des ventes, Planning) et à tous les niveaux de l’entreprise (local, régional et global)
- Concevoir et mettre en place des outils d’évaluation de la performance opérationnelle pour l’optimisation continue des process
- Réaliser des études diverses en fonction des besoins : Data crunching, analyse de données
- Participer à l'élaboration de nouveaux KPIs

2. Activités Projet
Participation à l’élaboration du nouvel outil de suivi et d’analyse de la performance Supply Chain.
Le projet est réalisé en méthodologie agile. Il consiste à la mise en place d’un nouveau modèle de données et à la mise en place de rapports Standards dans l’outil de reporting Tableau Software.
Vos activités seront:
- La Création et la mise à disposition de rapports standards
o Développer des rapports standards dans l’outil Tableau Software
o Mettre en place la sécurité associée à chaque rapport
o Documenter les rapports
o Référencer l’ensemble des rapports dans une base de données
- La prise en charge de l’arrêt définitif de l’ancien outil de reporting Cognos
o Référencer l’ensemble des rapports et s’assurer que ceux-ci sont couverts par le nouvel outil
o Répertorier l’ensemble des utilisateurs et gérer leur transfert vers le nouvel outil
o Communiquer à l’ensemble des utilisateurs sur le changement d’outil et les écarts associés.

Ce stage vous donnera une visibilité complète sur les différents processus Supply Chain du client jusqu’au fournisseur et des outils de mesure de la performance associés
Vous serez au contact de plus de 200 collaborateurs Supply Chain répartis à travers le monde entier pour consolider l’ensemble des explications de la performance du département Supply Chain.
Avec votre participation au projet, vous pourrez découvrir de façon détaillée l’ensemble des processus métiers de la Supply Chain ainsi que les bonnes pratiques agiles


Qualifications

Bac + 4 à Bac + 5
Elève en 3ème année de Grande Ecole d'ingénieur / Master en Supply Chain ou en Informatique avec un fort aspect métier
Vous faites preuve de curiosité et d'esprit de synthèse, ainsi que d'une capacité d'écoute et de travail en groupe.
Vous êtes d’un naturel dynamique et motivé, vous savez être autonome, polyvalent et force de proposition dans votre travail. Vous êtes rigoureux et faites preuve d’une forte capacité d’anticipation, de priorisation et d’organisation.
Expérience et/ou forte motivation pour développer l'usage d'outils de reporting et d’analyse
Maitrise des outils bureautiques type Microsoft Office (particulièrement Excel) et de l’outil Tableau Software. La connaissance de l’outil SAP est un plus.
Maitrise de l'anglais à l'oral comme à l'écrit.
Lieu principal
: EMEA-EMEA-FR-Auvergne-Craponne
Publication d'offre
: 8 oct. 2019, 08:47:33
Equipe
: Equipe de jour
Type de contrat
: Temporaire
Déplacements
: Non"
1,https://www.indeed.fr/emplois?q=Data%20Analyst&l=Lyon&radius=100&limit=100&sort=date&vjk=4925488e2173b739,"Product Marketing Manager H/F
STORMSHIELD - Lyon (69)
A répondu à 51 %-74 % des candidatures des 30 derniers jours, généralement en 5 jours.","['Lyon (69)', 'CDI']",Product Marketing Manager H/F,STORMSHIELD,- Lyon (69),CDI,null,"il y a 1 jour
Signaler cette offre d'emploi",Data Analyst,Lyon,"Come and Join the Cyber Security world
A subsidiary of Airbus Defence and Space CyberSecurity (Airbus Group), Stormshield is the leading European vendor of information system security solutions.
Hacking attempts are commonplace nowadays and it seems that no-one can escape them, be it ministries, banks, industries, etc. Whether they handle sensitive data or not, every company is a target for hacker groups for one reason or another. Regardless of the motive, be it purely financial or strategic, hackers target a company's most vital assets: trade secrets, customer files, confidential company information, etc.
Our solutions protect companies against denial of service attacks, data theft, or damage to reputation, and help them to adhere to regulations concerning data confidentiality.
Product Marketing Manager : job & missions
With a view to boosting the development of our product offering, we are looking to recruit a Product Marketing Manager. Working at the core of the Marketing Team, you will coordinate with all product lines stakeholders to enable successful sales and promote the entire product portfolio. You will be as well responsible of the formalisation and the promotion of the product offers built on top of these products. As a Product Marketing Manager, you will manage outbound marketing for this portfolio: Canvas Value Proposition is part of your DNA, sales kits (presentations, data sheets, videos, etc.) and promotion (webinars, communication strategies, advertisements, newsletters, etc.) are no longer hold any secrets for you. You will also train internal and partners’ sales team, actively participate in the product launches and attend or participate at international exhibitions, events, conferences or seminars, etc. Your creativity will help to develop attractive, interactive and efficient messages and sales tools. You like writing punchy contents and promoting the value of innovative products.
You will also support inbound marketing and corporate communications for products: carry out market research, analyse customer or analyst feedback, monitor activities of technology partners and the security ecosystem, help in the creation of brand contents and participate in the global marketing plan definition.
The position is based in Villeneuve d’Ascq, Lyon, or Issy-Les-Moulineaux (Paris).
Product Marketing Manager : your profileSkills required
Good knowledge of the challenges, technologies and players involved in the digital security market
Good background of software and hardware security technologies
English speaker and writer
Experience in promoting products and services
Ability to create impactful messages
Strengths
Strong attention to detail, capable of working independently, good listening skills
Good writing and public speaking skills
Creative and inquisitive mindset
Can cope with stressful situations and manage priorities well
Ability to argue persuasively and identify and promote value
Education/Training
3 to 5 years of high education in an engineering school, a business school, or a university specializing in IT.
Experience
Minimum of 3 years of experience working as a Product Manager, Product Marketing Manager, Presales or Security Expert is required.
Type d'emploi : CDI
Expérience:
Product Marketing: 3 ans (Souhaité)"
2,https://www.indeed.fr/emplois?q=Data%20Analyst&l=Lyon&radius=100&limit=100&sort=date&vjk=c6404207fe7f0081,"Analyste Développeur BI
Silkhom - Grenoble (38)","['Grenoble (38)', 'CDI']",Analyste Développeur BI,Silkhom,- Grenoble (38),CDI,null,"il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",Data Analyst,Lyon,"Au sein de l'équipe BI composée de 2 collaborateurs, vous participerez aux différents projets comme la refonte de l'architecture BI, la connexion des outils à la Big Data, etc.
Vos missions se composeront à 30% de tâches fonctionnelles et à 70% de tâches techniques :
Analyse de l'exactitude et de la qualité des données
Rédaction de procédures stockées T-SQL
Développement et évolution de la plateforme BI
Conception de rapports paramétrés
Stabilisation des processus ETL
Construction de modèles tabulaires SSAS
Définition de déclencheurs
Environnement technique : Suite Microsoft SSAS/SSIS/SSRS ; APACHE HIVE ; SQL ; Hadoop ; Spark
Pourquoi rejoindre cette société ?
Acteur du e-commerce qui rayonne dans toute l'Europe mais qui reste à taille humaine : 40 collaborateurs
Un environnement technologique à la pointe : veille technologique tous les vendredis
Projets BI importants: refonte de l'architecture, connexion Big Data, etc.
Profil recherché
Vous avez toujours été attiré par les Datas, la façon de les organiser et de les optimiser afin de répondre à des demandes Métiers stratégiques :
– 2 ans d’expériences sont attendus sur du développement d’outil SSIS/SSRS/SSAS
– Vous avez des compétences en SQL (développement de requêtes)
– L’anglais est obligatoire, vous évoluez dans une environnement international
Compléments
Lieu : Grenoble
Contrat : CDI
Salaire : Selon profil"
3,https://www.indeed.fr/emplois?q=Data%20Analyst&l=Lyon&radius=100&limit=100&sort=date&vjk=78446a30a0ff600d,"OFFRE DE STAGE (H/F) : WEBMARKETER ANALYST
ADTHINK - Lyon (69)
A répondu à 51 %-74 % des candidatures des 30 derniers jours, généralement en 5 jours.","['Lyon (69)', 'Stage']",OFFRE DE STAGE (H/F) : WEBMARKETER ANALYST,ADTHINK,- Lyon (69),Stage,null,"il y a 4 jours
Signaler cette offre d'emploi",Data Analyst,Lyon,"Lieu de travail : Lyon
Durée : 6 mois – temps plein
Rejoindre Adthink
Adthink accompagne les annonceurs dans l’acquisition en ligne de prospects et de clients via une gamme complète de solutions de publicité digitale à la performance.
Créé en 2001, Adthink (ALADM) est coté à la Bourse de Paris (marché Euronext) et fait partie du TOP 100 Digital (classement PwC - TECH IN France 2018).
La Start up Comparo, intégrée à Adthink, est un projet à fort potentiel et connaissant une croissance de plus de 20 % par mois.
L’équipe est située dans la verdure, à Tassin-la-Demi-Lune, à 15 minutes du centre de Lyon.
Description du poste
Afin d’accompagner la croissance de l’activité Comparo, nous recherchons un talent plein d’énergie et de passions. Vous rejoindrez une team de 3 personnes super motivées ayant une approche ROIste du marketing digital.
Après une période de formation à nos méthodes et pratiques, vous serez :
Un(e)Master Google Ads : aide à la mise en place de campagnes d’acquisition de trafic,
Un(e) Jedi de nouvelles idées : aide au développement de nouvelles sources d'acquisition pour augmenter le trafic qualifié,
Un(e) Data Driver : mesure de l’efficacité de nos actions (Reporting, analytics, évolution des KPI et recherche des leviers d’amélioration),
Un(e) pro des Back Office : mise en place de nouveaux sites web et paramétrage,
Un(e) grand(e) curieux(se) : veille technologique et concurrentielle, élaboration d'un état des lieux de la concurrence et des bonnes pratiques à l’international,
Un(e) élément à part entière dans notre équipe : participation au développement de nos différents sites, et à notre réussite sur le point international.
Cette liste n’est pas exhaustive et pourra s’enrichir selon l’actualité et le profil du candidat.
Profil recherché
Issu(e) d’une formation Bac+4/5 WebMarketing, vous recherchez un stage de fin d’études passionnant.
Débrouillard(e) et créatif(ve), vous savez qu’aujourd’hui tout passe par du Test & Learn et vous aimez explorer toutes les idées les plus classiques au plus saugrenues.
Le concept du User Centric est à la base de toutes vos réflexions.
Vous êtes hyper proactif(ve), autonome et force de proposition. Vous aimez vous fixer des objectifs ambitieux et mettre tout en œuvre pour les atteindre.
Évoluer au sein d’une équipe à taille humaine vous motive. Vous êtes de bonne humeur, et aimez travailler en équipe.
Vous avez une approche ROIste du webmarketing. Les modèles économiques CPC, CPL, CPM, CPA n’ont aucun secret pour vous.
Vous avez un très bon niveau d’Anglais. La connaissance d’une autre langue est un plus (Portugais / Allemand / Italien / Espagnol).
Au-delà de vous proposer une mission remplie en challenges et bien rémunérée, nous avons pour objectif de favoriser l’épanouissement personnel de chaque collaborateur, ce qui est pour nous un axe primordial de réussite. Une équipe à taille humaine, c’est aussi l’avantage d’être toujours écouté, d’être force de proposition dans tous les domaines, de pouvoir mettre en place ses idées et éventuellement de participer à des apéros et des parties de Baby foot régulièrement !
N’attendez plus pour postuler, nous n’avons qu’une envie : en discuter ensemble !
Modalités
Ce stage Webmarketeur Analyst est à pourvoir à Tassin-la-Demi-Lune (Lyon Ouest) pour une durée idéale de 6 mois en fonction de vos calendriers.
Gratification de stage à établir en fonction du profil.
Tickets restaurant et prise en charge de vos frais de transport à hauteur de 50 %.
Si ce challenge vous donne envie, n’hésitez pas à nous envoyer votre CV et LM, à l’attention de Sophie Marois, chargée de missions Ressources Humaines.
Retrouvez toutes nos offres sur www.adthink.com.
Mots clés : Web marketing / webmarketing, marketing digital, web marketer / web marketeur, start up / startup, Lyon, stage, trafic / traffic manager.
Type d'emploi : Stage"
4,https://www.indeed.fr/emplois?q=Data%20Analyst&l=Lyon&radius=100&limit=100&sort=date&vjk=9ce8e49423561e6f,"ITS Solution Architect M/F
Sanofi3,640 avis - Lyon (69)",['Lyon (69)'],ITS Solution Architect M/F,Sanofi,- Lyon (69),null,null,"il y a 4 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Data Analyst,Lyon,"The Solution Architect will report to the Clinical Analytic and Statistic Solution (CASS) Service Line Leader. He/she will be in charge of designing end-to-end solutions around analytics purpose within clinic to meet business needs in an operational and financially efficient manner.
He/she guarantees and promotes the right usage of group’s IT standards for processes, applications and infrastructure environment. He/she will have to influence the standards, with management and clinical architect support, if he/she estimates that better solutions are possible in the respect of the budget and rules. He/she leverages on ITS portfolio, catalogue of services and existing building blocks.
He/she designs and produces the detail design documents. In program/projects, he/she is accountable to prepare document as permit zone, technical and functional architecture. He/she is responsible to adapt those documents to the solution life in his perimeter
He/she works in close collaboration with ITS Business process analyst, Service Owner, Clinical architect and Its Domain Experts/engineers. He/she interacts with Enterprise Architect, Domain Experts, Project & Program leaders, service managers and as well ITS tech.
He/she contributes to the ITS standards maintenance.
Main competencies related to the position within Clinical Analytic and Statistic Solution
Master Skills:
In analytic Architecture (3+ years of experience)
in the Clinical world specifically, on the analytics solutions in used in clinic (SAS, Open source, such as R, RStudio, Python, Jupiter)
Infrastructure competencies in Hight performance computing and data infrastructures
Competencies in Analytics Cloud solution
Advanced competencies
in data lifecycle, innovation management,
in performance Management (KPIs, data analytics)
Transversal collaboration, Critical Thinking
Intermediate Skills
Problem Solving, Change Management
Knowledge and Skills (Essential)
5+ years ITS experience
3+ years architecture Performance in the analytic domain
Technical skills in hardware dedicated to HPC environment
Skills on cloud solution within AWS, AZUR, Google…
Strong experience in Analytic Solutions such as SAS, Sparks, R, Shiny Rstudio, Python, Jupiter and trends around open sources
DEVOPS Skills
English fluent
Good working knowledge of Pharmaceutical businesses, processes, trends, GCP constraints and challenges
Sanofi is committed to welcoming and integrating people with disabilities.
#LI-FR
At Sanofi diversity and inclusion is foundational to how we operate and embedded in our Core Values. We recognize to truly tap into the richness diversity brings we must lead with inclusion and have a workplace where those differences can thrive and be leveraged to empower the lives of our colleagues, patients and customers. We respect and celebrate the diversity of our people, their backgrounds and experiences and provide equal opportunity for all.
As part of its diversity commitment, Sanofi is welcoming and integrating people with disabilities."
5,https://www.indeed.fr/emplois?q=Data%20Analyst&l=Lyon&radius=100&limit=100&sort=date&vjk=bedad4b532797f89,"Laboratory Computing Analyst
Aerotek9,822 avis - Annecy (74)",['Annecy (74)'],Laboratory Computing Analyst,Aerotek,- Annecy (74),null,null,"il y a 4 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Data Analyst,Lyon,"My client a global services company that work with leading pharmaceutical companies around the globe are looking for a Laboratory IT Specialist to join their team in the south of France.

In this role you will be supporting the upgrade from a Windows 10 migration stand point as well as other Laboratory Computerisation systems

The Laboratory IT Specialist will be responsible for the following:

Collect inventory

Maintain documentation for support of the team

Upload the collected data to the inventory Portal

Report progress and updates regularly to the Management team

Assist the global teams in best practices

Work with External vendors - chaperone around site and be the point of contact.

If you are interested and possess the following requirements then apply!

Bsc Computer Science or related field or equivalent experience

Successful professional experience in Desk side support

Understanding of documentation, customer service, computer software and experience in Windows 10 migrations

Strong Technical and Interpersonal skills with excellent organisational and documentation skills
Allegis Group Limited operates as an Employment Business and Employment Agency as set out in the Conduct of Employment Agencies and Employment Businesses Regulations 2003. It is a company within the Allegis Group network of companies (collectively referred to as 'Allegis Group'). Aerotek, Aston Carter, EASi, Talentis Solutions, TEKsystems, Stamford Consultants and The Stamford Group are Allegis Group brands. If you apply, your personal data will be processed as described in the Allegis Group Online Privacy Notice available at https://www.allegisgroup.com/en-gb/privacy-notices.

To access our Online Privacy Notice, which explains what information we may collect, use, share, and store about you, and describes your rights and choices about this, please go to https://www.allegisgroup.com/en-gb/privacy-notices.

We are part of a global network of companies and as a result, the personal data you provide will be shared within Allegis Group and transferred and processed outside the UK, Switzerland and European Economic Area subject to the protections described in the Allegis Group Online Privacy Notice. We store personal data in the UK, EEA, Switzerland and the USA. If you would like to exercise your privacy rights, please visit the 'Contacting Us' section of our Online Privacy Notice at https://www.allegisgroup.com/en-gb/privacy-notices for details on how to contact us. To protect your privacy and security, we may take steps to verify your identity, such as a password and user ID if there is an account associated with your request, or identifying information such as your address or date of birth, before proceeding with your request. If you are resident in the UK, EEA or Switzerland, we will process any access request you make in accordance with our commitments under the UK Data Protection Act, EU-U.S. Privacy Shield or the Swiss-U.S. Privacy Shield.


Required Skills:

Laboratory Computerisation, Windows 10"
6,https://www.indeed.fr/emplois?q=Data%20Analyst&l=Lyon&radius=100&limit=100&sort=date&vjk=234f1d03a8f0e93d,"Data Analyst F/H
Intitek6 avis - Lyon (69)","['Lyon (69)', 'CDI']",Data Analyst F/H,Intitek,- Lyon (69),CDI,null,"il y a 13 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Data Analyst,Lyon,"Quoi de plus stimulant que de participer aux innovations du véhicule de demain, de l’avion sans pilote, de l’ingénierie optique ou de l’industrie spatiale ? Intitek for Industry développe des approches et des solutions exclusives dans les domaines du transport, de la défense, du biomédical ou de l’aéronautique.
Poste
Intégré(e) au sein d'une équipe de Data analystes de note client, nous recherchons un Data analyst pour une nouvelle étude. Dans le cadre de cette étude, il sera question d'analyser les données issues des outils du client de gestion de flotte afin de produire des profils de vitesse sur différents types de route.
Pour cela vos missions seront d'effectuer :
L'étude de Dataset de données de gestion de flotte ainsi que les variante de chaque véhicule
Le reverse geocoding ou map matching afin d'ajouter des informations essentielles comme le type de route
La visualisation et l'exploration des données
Statistiques descriptives
Dashboard
L'étude des tendances et des facteurs y contribuant
Profil recherché
De formation informatique vous disposez de fortes compétences sur : Big Data Outils de reverse geocoding ( ex: ArcGIS, OSM ...)Environnement sous AZURE Databricks et Jupyter Python Anglais obligatoireN'hésitez plus et devenez un Happy Digital Member en nous envoyant votre candidature !"
7,https://www.indeed.fr/emplois?q=Data%20Analyst&l=Lyon&radius=100&limit=100&sort=date&vjk=14c7fbd31c0b3f70,"Data Analyst H/F
CLASQUIN11 avis - Lyon 6e (69)
A répondu à 75 % ou plus des candidatures sur les 30 derniers jours, généralement en 1 jour.","['Lyon 6e (69)', 'Temps plein, CDD']",Data Analyst H/F,CLASQUIN,- Lyon 6e (69),"Temps plein, CDD",null,"il y a 12 jours
Signaler cette offre d'emploi",Data Analyst,Lyon,"PASSION, ESPRIT ENTREPREUNARIAL, FIABILITE, PRO-ACTIVITE, PRECISION
Travailler dans une ETI multinationale du freight forwarding, à la stratégie claire et en croissance à 2 chiffres depuis 20 ans vous attire ?
Vous êtes fiable, reconnu(e) pour votre esprit d’analyse et votre rigueur ?
Vous êtes en phase avec notre motto : The Clients, Profit & Fun Company ?
Alors rejoignez CLASQUIN en tant que Data Analyst (H/F) !
David, notre Responsable Supply Chain Management vous attend pour :
Collecter, manipuler et analyser des données complexes
Rechercher des données externes (démographiques, professionnelles, géographiques, distancielles…)
Réaliser des études, des états des lieux, et des analyses
Evaluer les risques potentiels et les sources de performance
Rédiger des supports de workshop et comités de pilotage…
Des critères pour ce poste : basé au siège social à Lyon, CDD de 9 mois, maîtrise d’Excel indispensable, anglais courant. La connaissance de Power Bi et SAP sont un plus.
Type d'emploi : Temps plein, CDD"
8,https://www.indeed.fr/emplois?q=Data%20Analyst&l=Lyon&radius=100&limit=100&sort=date&vjk=e433664ffc040a8b,"Ingénieur Data Analyst Automobile H/F
IT link10 avis - Lyon (69)","['Lyon (69)', 'CDI']",Ingénieur Data Analyst Automobile H/F,IT link,- Lyon (69),CDI,null,"il y a 12 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Data Analyst,Lyon,"Le poste

IT LINK Lyon continue son développement sur son agence de Lyon, nous recherchons un Ingénieur spécialiste en Data Analyst pour intervenir sur un projet dans le domaine automobile.

Vous intégrez un projet d’analyse de données issues d’outils de gestion de flotte automobile.

A ce titre vous prenez en charge les étapes suivantes :
o Reverse geocoding ou map matching afin d’ajouter des informations
o Visualisation et exploration des données
o Statistiques descriptives
o Dashboard (PowerBI)
o Etude des tendances et des facteurs y contribuant

Le jeu de données comporte 6 milliards de lignes.

Profil recherché :
Issu(e) d’une formation Bac +5, vous avez une première expérience sur du Big Data.

Vous connaissez les outils de reverse geocoding ( ArcGIS, OSM, …), Python mais aussi l’environnement AZURE.

La maîtrise de l’anglais est indispensable pour mener à bien ce projet.

A compétences égales le poste est ouvert aux personnes en situation de handicap.
À propos

IT Link, première Entreprise de Services du Numérique spécialiste des systèmes connectés.

Depuis trois décennies, IT Link innove aux côtés des acteurs majeurs de l’industrie et des services.
Notre mission : faire évoluer les systèmes connectés pour optimiser et créer les produits et services d’aujourd’hui et de demain.
Nous intervenons en conseil, assistance et expertise techniques, forfaits de développement et centres de services sur toutes les phases des projets : études, réalisation et exploitation.

Notre savoir-faire repose sur 8 pôles d’expertise au cœur des systèmes connectés :
– Capteurs et intelligence embarquée
– Télécoms et IOT
– Data Intelligence
– Applications Mobiles
– Sûreté de fonctionnement et Cybersécurité
– Web et Systèmes d’Information Business
– Ingénierie Systèmes
– Management de la Transformation et nouvelles expériences utilisateurs

IT Link c’est plus de 642 collaborateurs présents sur 13 zones géographiques en Europe et au Canada, une direction technique de pointe et 4 centres de R&D « made in France »."
9,https://www.indeed.fr/emplois?q=Data%20Analyst&l=Lyon&radius=100&limit=100&sort=date&vjk=ae8882fcf394af66,"Data Analyste Brésil H/F
MISTER AUTO10 avis - Villeurbanne (69)",['Villeurbanne (69)'],Data Analyste Brésil H/F,MISTER AUTO,- Villeurbanne (69),null,null,"il y a 7 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Data Analyst,Lyon,"Mister-Auto, leader européen de vente de pièces auto sur internet, est aujourd’hui présente en France mais également à l’international. Filiale du groupe PSA, elle emploie actuellement plus de 200 personnes.

Dans le cadre de son fort développement et du renforcement de l’équipe Marketing Produit, nous recherchons un Data Analyste Brésil H/F

Au sein de l’équipe marketing produit, le data analyste travaille en coordination avec les chefs de produits pour alimenter et maintenir le catalogue Mister-Auto, tous pays tous produits. Il contribue par ses analyses et celles menées au sein de son équipe aux briefs fonctionnels faits à l’IT. Il ou elle assure la conformité des développements à ces mêmes briefs.

Dans le cadre de ce poste, le data analyste se spécialise en matière de référentiel pour la géographie LATAM avec un intérêt particulier pour le Brésil.

Vous serez amené à prendre en charge :
Analyses détaillées des données
Rédaction des besoins fonctionnels des référentielles pièces et véhicules
Consolidation de données catalogue pièces détachées, structuration, enrichissement, homogénéisation par des règles métier
Amélioration de la base de données pièces et de ses applications envers toutes les parties prenantes internes et externes
Evolution des rapports BI pour permettre aux chefs de produits d’avoir une vision cohérente sur la performance des produits
Définition de la stratégie de gestion du cycle de vie produit
Mise en place et suivi opérationnel des plans de segmentation de la gamme par produit et par pays ainsi que des caractéristiques produits et des valeurs associées
Garantir un niveau de fiabilité constant des données et de leurs mises à jour
Participer aux différentes études de coûts et d’opportunité
Développer une expertise inégalée en connaissance des pièces et leurs caractéristiques d’identification
De formations supérieures, minimum Bac+3, vous justifiez d'une expérience professionnelle de minimum 2 ans sur un poste similaire (data analyste ou chargé d’étude quantitative).
Vous avez un excellent niveau de portugais ou brésilien courant tant à l’oral qu’à l’écrit.

Pré-requis :
Formation mathématique, statistiques, méthodes quantitatives ou data science
Connaissance en gestion de base de données
Bon niveau d’anglais courant tant à l’oral qu’à l’écrit
Connaissance native du portugais (ou brésilien)
Serait également souhaité :
Familier des outils et du langage informatique (SQL, un must) et des outils de web analytics (un plus)
Connaissance du marché automobile (pièce et véhicule un plus)
Vous êtes rigoureux (se), autonome, organisé(e), vous avez une bonne capacité d'analyse, de synthèse et d'adaptation. Vous savez travailler en équipe et être efficace pour évaluer les risques et les opportunités.

Force de proposition et réactif (ve) , vous recherchez une structure vous permettant d'y exprimer tout votre potentiel et à laquelle vous pourrez apporter vos idées et vos compétences.

Poste en Contrat à durée Indéterminée à pourvoir au plus tôt

Lieu de travail : Villeurbanne La Soie

Salaire : selon expérience + avantages (TR, restaurant d’entreprise, parking, CE)"
