,id,meta1,meta2,titre_poste,entreprise,localisation,contrat,salaire,date_publication,keyword_metier,keyword_localisation,description
0,https://www.indeed.fr/emplois?q=Performance%20Analyst&l=Lyon&radius=100&limit=100&sort=date&vjk=8d395956a62982b6,"Stage 6 mois : Supply chain Data Analyst
bioMerieux397 avis - Craponne (69)","['Craponne (69)', 'Intérim, Stage']",Stage 6 mois : Supply chain Data Analyst,bioMerieux,- Craponne (69),"Intérim, Stage",null,"il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",Performance Analyst,Lyon,"Acteur mondial dans le domaine du diagnostic in vitro depuis plus de 55 ans, bioMérieux conçoit, développe, produit et commercialise des solutions de diagnostic (systèmes, réactifs, logiciels et services) destinées à des applications cliniques et industrielles, qui déterminent l'origine d'une maladie ou d'une contamination pour améliorer la santé des patients et assurer la sécurité des consommateurs.

bioMérieux est présente dans 43 pays et sert plus de 160 pays avec un large réseau de distributeurs. Son siège social se situe à Marcy l’Etoile, près de Lyon, en France.

Rejoindre les équipes de bioMérieux, c’est choisir une société innovante avec une vision long terme, engagée au service de la santé publique et portée par une culture d’entreprise humaniste.

Nous recherchons des candidats dont la volonté est de s’investir dans des projets d’avenir, de participer à une aventure collective animée par un esprit pionnier.

Nous avons la volonté d'offrir à nos collaborateurs un environnement de travail qui encourage l'esprit d'équipe, avec priorité donnée à la formation et des opportunités de développement de carrière à l'international.

Notre Groupe offre de nombreuses perspectives d’évolution : rejoignez les 11 200 collaborateurs de bioMérieux qui se sont déjà reconnus dans ces valeurs !

Sous la responsabilité du Project Management Officer, au sein de l’équipe Supply Performance, vous aurez les responsabilités suivantes :
1. Activités opérationnelles
- Suivre les indicateurs de Performance (KPI - Key Performance Indicators) de la Supply chain du groupe via l’élaboration de reporting quotidiens, hebdomadaires et mensuels
- Analyser les écarts et mettre en place des plans d’actions associés auprès des différents départements de la Supply Chain (Transports, Entrepôts, Administration des ventes, Planning) et à tous les niveaux de l’entreprise (local, régional et global)
- Concevoir et mettre en place des outils d’évaluation de la performance opérationnelle pour l’optimisation continue des process
- Réaliser des études diverses en fonction des besoins : Data crunching, analyse de données
- Participer à l'élaboration de nouveaux KPIs

2. Activités Projet
Participation à l’élaboration du nouvel outil de suivi et d’analyse de la performance Supply Chain.
Le projet est réalisé en méthodologie agile. Il consiste à la mise en place d’un nouveau modèle de données et à la mise en place de rapports Standards dans l’outil de reporting Tableau Software.
Vos activités seront:
- La Création et la mise à disposition de rapports standards
o Développer des rapports standards dans l’outil Tableau Software
o Mettre en place la sécurité associée à chaque rapport
o Documenter les rapports
o Référencer l’ensemble des rapports dans une base de données
- La prise en charge de l’arrêt définitif de l’ancien outil de reporting Cognos
o Référencer l’ensemble des rapports et s’assurer que ceux-ci sont couverts par le nouvel outil
o Répertorier l’ensemble des utilisateurs et gérer leur transfert vers le nouvel outil
o Communiquer à l’ensemble des utilisateurs sur le changement d’outil et les écarts associés.

Ce stage vous donnera une visibilité complète sur les différents processus Supply Chain du client jusqu’au fournisseur et des outils de mesure de la performance associés
Vous serez au contact de plus de 200 collaborateurs Supply Chain répartis à travers le monde entier pour consolider l’ensemble des explications de la performance du département Supply Chain.
Avec votre participation au projet, vous pourrez découvrir de façon détaillée l’ensemble des processus métiers de la Supply Chain ainsi que les bonnes pratiques agiles


Qualifications

Bac + 4 à Bac + 5
Elève en 3ème année de Grande Ecole d'ingénieur / Master en Supply Chain ou en Informatique avec un fort aspect métier
Vous faites preuve de curiosité et d'esprit de synthèse, ainsi que d'une capacité d'écoute et de travail en groupe.
Vous êtes d’un naturel dynamique et motivé, vous savez être autonome, polyvalent et force de proposition dans votre travail. Vous êtes rigoureux et faites preuve d’une forte capacité d’anticipation, de priorisation et d’organisation.
Expérience et/ou forte motivation pour développer l'usage d'outils de reporting et d’analyse
Maitrise des outils bureautiques type Microsoft Office (particulièrement Excel) et de l’outil Tableau Software. La connaissance de l’outil SAP est un plus.
Maitrise de l'anglais à l'oral comme à l'écrit.
Lieu principal
: EMEA-EMEA-FR-Auvergne-Craponne
Publication d'offre
: 8 oct. 2019, 08:47:33
Equipe
: Equipe de jour
Type de contrat
: Temporaire
Déplacements
: Non"
1,https://www.indeed.fr/emplois?q=Performance%20Analyst&l=Lyon&radius=100&limit=100&sort=date&vjk=34db7ef7b7d9877a,"Analyste Pricing (H/F)
OPENSOURCING - Limonest (69)","['Limonest (69)', 'CDD']",Analyste Pricing (H/F),OPENSOURCING,- Limonest (69),CDD,null,"il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",Performance Analyst,Lyon,"Marketing/Com |

Société :
OpenSourcing, cabinet de recrutement, recherche, pour le leader de la distribution alimentaire à destination de la restauration commerciale et collective, un :
Analyste Princing (H/F) en CDD de 1 an à Limonest (69)


Mission :
Rattaché(e) au Responsable Pricing, vos missions principales sont les suivantes :
PRICING
Définir le tarif général en prenant en considération la cible client, les coûts, la concurrence et la valeur ajoutée des produits,
Définir les prix promotionnels en prenant en compte la cible client, le contexte concurrentiel et l’élasticité des produits,
Définir les niveaux de seuil et de palier de dégradation des références de la gamme,
Participer au process de décision des prix saisonniers et régionaux,

VEILLE CONCURRENTIELLE
Assurer le développement et la mise à jour de l’outil Benchmark promotionnel,
Assurer tous les mois un suivi de notre positionnement promotionnel versus la concurrence,
Gérer les informations prix remontées par le terrain et apporter les réponses nécessaires,
Réaliser des benchmarks sur des gammes de produits définies,

ANALYSE
Analyse des impacts des mouvements de Prix (volumes, marge, clients),
Analyse de performance des tarifications saisonnières et régionales,
Mettre à jour et optimiser les Reportings pricing.

Profil :
Vous êtes diplômés d'un Master en commerce, économie ou finance ?
Vous disposez d'une première expérience sur un poste similaire ?
Vous souhaitez acquérir avoir des responsabilités ?

Alors postulez !



Postuler avec votre C.V
2019-09-12 Opensourcing pour l'un de ses clients FR CDD"
2,https://www.indeed.fr/emplois?q=Performance%20Analyst&l=Lyon&radius=100&limit=100&sort=date&vjk=a4dc06e45d94ddc9,"Responsable du service production (H/F)
Lynx RH26 avis - Dardilly (69)","['Dardilly (69)', 'CDI']",Responsable du service production (H/F),Lynx RH,- Dardilly (69),CDI,null,"il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",Performance Analyst,Lyon,"Lynx RH Lyon Est, cabinet de recrutement en CDD, CDI et Intérim, recherche pour l’un de ses clients, société en forte expansion spécialisée dans le domaine médical, un responsable du service production (H/F), situé à Dardilly (69).

En étroite collaboration avec le directeur de la société, vous prenez en charge la gestion, l’organisation et la coordination du service production composé de 12 personnes.

Pour ce poste, vos principales missions sont les suivantes :
Organisation de la production afin de garantir la qualité des résultats et du service client, les délais et la satisfaction des clients
Management des techniciens, analystes et chargés de clientèle qui composent le service
Gestion, planification et optimisation des process de production
Coordination de la résolution des dysfonctionnements (réclamations clients, non-conformités, bugs informatiques, pannes matérielles…)
Organisation des certifications/accréditations qualité et les audits qualité. Management du système qualité (procédures, documentations, réunions, indicateurs…)
Pilotage de l’activité, mise en place et suivi des indicateurs de performance, reporting, participation aux réunions des services, …
Gestion des stocks et de la logistique du service (organisation, rangement, inventaires…)
Participation aux projets d’amélioration de la société (process, automatisation, informatique, etc)
Profil recherché :
De formation supérieure, vous possédez une expérience de 5 ans minimum dans le management d’équipe et l’organisation de process de production

Dynamique, rigoureux, méthodique, vous faites preuve d’un très bon relationnel ainsi que d’un excellent sens du management.

Vous êtes à l’aise avec l’informatique et appréciez le travail en équipe dans des environnements technique à forte valeur ajoutée.

Poste à pourvoir en CDI dès que possible.

Rémunération selon profil."
3,https://www.indeed.fr/emplois?q=Performance%20Analyst&l=Lyon&radius=100&limit=100&sort=date&vjk=b72fbeaa192689d7,"PRICING ANALYST H/F (F/H)
Randstad Search13,978 avis - Grenoble (38)","['Grenoble (38)', '35 000 € par an']",PRICING ANALYST H/F (F/H),Randstad Search,- Grenoble (38),35 000 € par an,35 000 € par an,"il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Performance Analyst,Lyon,"Nous recherchons pour le compte de notre client, distributeur d'énergie, un(e) Pricing Analyst H/F
description du poste
Au sein du Service DREAM : Département Risque Energie et Approvisionnement Marché, vos missions seront :
Analyser l'évolution des pratiques des acteurs concurrentiels sur le marché de l'énergie
Fournir des recommandations stratégiques adaptées aux pilotes d'activité
Sélectionner et développer des outils d'analyses et de cotation du pricing adaptés, dans le cadre de l'architecture des
offres à destination de la clientèle B2B et B2C
Construire l'offre additionnelle de services au contrat de fourniture
Analyser les opportunités de mise en œuvre d'une gamme d'offres de services
profil recherché
Vous devez être titulaire d'un Bac+5 et avoir au moins 1 année d'expérience. Vous êtes diplômé(e) d'une école d'ingénieur et avez un attrait pour les activités sur les marchés de l'Energie.
Votre aisance en mathématiques est avérée, les chiffres n'ont aucun secret pour vous.
Moteur de l'amélioration permanente et de la performance, vous savez faire la différence par votre rigueur et votre sens des
responsabilités.
Engagé(e) avec le sens du résultat vous êtes de nature positive et tourné(e) vers le travail en équipe et en transverse. Vous
avez d'excellentes capacités de communication et d'adaptation.
La pratique de l'anglais est exigée sur ce poste et des connaissances en langage informatique sont requises (VBA, python…).
Ce poste est une véritable opportunité pour un/une candidat(e) junior doté(e) d' un rôle stratégique dans le développement
et le succès d'une entreprise reconnue et en mutation dans un métier passionnant.
La connaissance de VBA est indispensable.
Anglais C1
informations complémentaires
niveau d'études : BAC+5
salaire minimum : 35000 €
type de salaire : Annuel"
4,https://www.indeed.fr/emplois?q=Performance%20Analyst&l=Lyon&radius=100&limit=100&sort=date&vjk=ccc6b41e9f9f3fee,"CDI chargé de missions Marketing (analyste et opérationnel)
RS TECHNOLOGIES - COLLIBRIS - Meylan (38)
A répondu à 51 %-74 % des candidatures des 30 derniers jours, généralement en 5 jours.",['Meylan (38)'],CDI chargé de missions Marketing (analyste et opérationnel),RS TECHNOLOGIES - COLLIBRIS,- Meylan (38),null,null,"il y a 4 jours
Signaler cette offre d'emploi",Performance Analyst,Lyon,"Référence : 19CO-CMM
Société : Collibris
Lieu : Meylan (Isère, 38)
Expérience : 2 à 5 ans
Collibris, startup grenobloise développant des applications Web et mobile située à Meylan (38) recherche un(e) Chargé de mission Marketing pour renforcer son équipe.
Nous développons actuellement l’application Collibris (www.collibris-app.com) qui est une plateforme sociale autour de la lecture et nous proposons un service de vente en ligne de boxs de lectures personnalisées (Le Ptit Colli, www.leptitcolli.com).
Quel poste ?
Nous vous proposons de travailler au sein d’une équipe passionnée dans un environnement dynamique sur les différentes parties constituant Collibris, le Ptit Colli ainsi que les outils internes de l’entreprise.
Ce poste demande de fortes compétences d’analyses et commerciales.
L’encadrement sera fait par le Responsable Opérationnel de la société.
Missions
Marketing Opérationnel : acquisition de nouveaux clients
- Diversification des sources de recrutement clients
- Gestion d’offres entreprises/collectivités/écoles : argumentaires, prospection
- Déploiement des canaux de ventes alternatifs (recherche et mise en place)
- Relations de Presse en collaboration avec notre Chargé de missions social média
Marketing digital : analyse, ciblage, et gestion budgétaire
- SEA : Mise en place de publicités digitales à travers différents leviers (Adwords, Social Media Ads en collaboration avec notre Chargé de mission social média)
- Participation à la gestion budgétaire marketing
- Analyse et performance des actions de communication et du trafic (en collaboration avec notre Chargé de missions social média)
- Segmentation et ciblage des prospects / clients
Eshop : stratégie de vente
- Analyse du trafic et des ventes sur l’eshop
- Stratégie promotionnel / de vente
Compétences attendues :
Maîtrise des techniques et outils marketing
Très bonne capacité d’analyse et de synthèse
Etre à l’écoute du marché (veille concurrentielle)
Créativité, force de proposition
Qui est recherché ?
Vous justifiez d’une expérience de 2 à 5 ans dans un poste similaire.
Vous aimez évoluer dans un environnement dynamique et en perpétuelle évolution, vous êtes autonome, force de proposition et rigoureux. Vous êtes à l’aise avec les chiffres. Vous savez vous intégrer au sein d’une équipe et faire preuve de créativité et d’adaptabilité.
Pour postuler, c’est tout simple !
Cette offre de CDI en tant que Chargé de missions Marketing au sein de Collibris vous intéresse ? Contactez-nous.
Rémunération selon profil
Type d'emploi : Temps plein
Expérience:
cdi chargé de missions marketing ou similaire: 2 ans (Requis)"
5,https://www.indeed.fr/emplois?q=Performance%20Analyst&l=Lyon&radius=100&limit=100&sort=date&vjk=78446a30a0ff600d,"OFFRE DE STAGE (H/F) : WEBMARKETER ANALYST
ADTHINK - Lyon (69)
A répondu à 51 %-74 % des candidatures des 30 derniers jours, généralement en 5 jours.","['Lyon (69)', 'Stage']",OFFRE DE STAGE (H/F) : WEBMARKETER ANALYST,ADTHINK,- Lyon (69),Stage,null,"il y a 4 jours
Signaler cette offre d'emploi",Performance Analyst,Lyon,"Lieu de travail : Lyon
Durée : 6 mois – temps plein
Rejoindre Adthink
Adthink accompagne les annonceurs dans l’acquisition en ligne de prospects et de clients via une gamme complète de solutions de publicité digitale à la performance.
Créé en 2001, Adthink (ALADM) est coté à la Bourse de Paris (marché Euronext) et fait partie du TOP 100 Digital (classement PwC - TECH IN France 2018).
La Start up Comparo, intégrée à Adthink, est un projet à fort potentiel et connaissant une croissance de plus de 20 % par mois.
L’équipe est située dans la verdure, à Tassin-la-Demi-Lune, à 15 minutes du centre de Lyon.
Description du poste
Afin d’accompagner la croissance de l’activité Comparo, nous recherchons un talent plein d’énergie et de passions. Vous rejoindrez une team de 3 personnes super motivées ayant une approche ROIste du marketing digital.
Votre objectif sera de déployer votre potentiel pour accélérer le développement à l’international.
Après une période de formation à nos méthodes et pratiques, vous serez :
Un(e)Master Google Ads : aide à la mise en place de campagnes d’acquisition de trafic,
Un(e) Data Driver : mesure de l’efficacité de nos actions (Reporting, analytics, évolution des KPI et recherche des leviers d’amélioration),
Un(e) pro des Back Office : mise en place de nouveaux sites web et paramétrage,
Un(e) grand(e) curieux(se) : veille technologique et concurrentielle, élaboration d'un état des lieux de la concurrence et des bonnes pratiques à l’international,
Un(e) élément à part entière dans notre équipe : participation au développement de nos différents sites, et à notre réussite sur le point international.
Cette liste n’est pas exhaustive et pourra s’enrichir selon l’actualité et le profil du candidat.
Profil recherché
Issu(e) d’une formation Bac+4/5 WebMarketing, vous recherchez un stage de fin d’études passionnant.
Débrouillard(e) et créatif(ve), vous savez qu’aujourd’hui tout passe par du Test & Learn et vous aimez explorer toutes les idées les plus classiques au plus saugrenues.
Le concept du User Centric est à la base de toutes vos réflexions.
Vous êtes hyper proactif(ve), autonome et force de proposition. Vous aimez vous fixer des objectifs ambitieux et mettre tout en œuvre pour les atteindre.
Évoluer au sein d’une équipe à taille humaine vous motive. Vous êtes de bonne humeur, et aimez travailler en équipe.
Vous avez une approche ROIste du webmarketing. Les modèles économiques CPC, CPL, CPM, CPA n’ont aucun secret pour vous.
Vous avez un très bon niveau d’Anglais. La connaissance d’une autre langue est un plus (Portugais / Allemand / Italien / Espagnol).
Au-delà de vous proposer une mission remplie en challenges et bien rémunérée, nous avons pour objectif de favoriser l’épanouissement personnel de chaque collaborateur, ce qui est pour nous un axe primordial de réussite. Une équipe à taille humaine, c’est aussi l’avantage d’être toujours écouté, d’être force de proposition dans tous les domaines, de pouvoir mettre en place ses idées et éventuellement de participer à des apéros et des parties de Baby foot régulièrement !
N’attendez plus pour postuler, nous n’avons qu’une envie : en discuter ensemble !
Modalités
Ce stage Webmarketeur Analyst est à pourvoir à Tassin-la-Demi-Lune (Lyon Ouest) pour une durée idéale de 6 mois en fonction de vos calendriers.
Gratification de stage à établir en fonction du profil.
Tickets restaurant et prise en charge de vos frais de transport à hauteur de 50 %.
Si ce challenge vous donne envie, n’hésitez pas à nous envoyer votre CV et LM, à l’attention de Sophie Marois, chargée de missions Ressources Humaines.
Retrouvez toutes nos offres sur www.adthink.com.
Mots clés : Web marketing / webmarketing, marketing digital, web marketer / web marketeur, start up / startup, Lyon, stage, trafic / traffic manager.
Type d'emploi : Stage"
6,https://www.indeed.fr/emplois?q=Performance%20Analyst&l=Lyon&radius=100&limit=100&sort=date&vjk=9ce8e49423561e6f,"ITS Solution Architect M/F
Sanofi3,640 avis - Lyon (69)",['Lyon (69)'],ITS Solution Architect M/F,Sanofi,- Lyon (69),null,null,"il y a 4 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Performance Analyst,Lyon,"The Solution Architect will report to the Clinical Analytic and Statistic Solution (CASS) Service Line Leader. He/she will be in charge of designing end-to-end solutions around analytics purpose within clinic to meet business needs in an operational and financially efficient manner.
He/she guarantees and promotes the right usage of group’s IT standards for processes, applications and infrastructure environment. He/she will have to influence the standards, with management and clinical architect support, if he/she estimates that better solutions are possible in the respect of the budget and rules. He/she leverages on ITS portfolio, catalogue of services and existing building blocks.
He/she designs and produces the detail design documents. In program/projects, he/she is accountable to prepare document as permit zone, technical and functional architecture. He/she is responsible to adapt those documents to the solution life in his perimeter
He/she works in close collaboration with ITS Business process analyst, Service Owner, Clinical architect and Its Domain Experts/engineers. He/she interacts with Enterprise Architect, Domain Experts, Project & Program leaders, service managers and as well ITS tech.
He/she contributes to the ITS standards maintenance.
Main competencies related to the position within Clinical Analytic and Statistic Solution
Master Skills:
In analytic Architecture (3+ years of experience)
in the Clinical world specifically, on the analytics solutions in used in clinic (SAS, Open source, such as R, RStudio, Python, Jupiter)
Infrastructure competencies in Hight performance computing and data infrastructures
Competencies in Analytics Cloud solution
Advanced competencies
in data lifecycle, innovation management,
in performance Management (KPIs, data analytics)
Transversal collaboration, Critical Thinking
Intermediate Skills
Problem Solving, Change Management
Knowledge and Skills (Essential)
5+ years ITS experience
3+ years architecture Performance in the analytic domain
Technical skills in hardware dedicated to HPC environment
Skills on cloud solution within AWS, AZUR, Google…
Strong experience in Analytic Solutions such as SAS, Sparks, R, Shiny Rstudio, Python, Jupiter and trends around open sources
DEVOPS Skills
English fluent
Good working knowledge of Pharmaceutical businesses, processes, trends, GCP constraints and challenges
Sanofi is committed to welcoming and integrating people with disabilities.
#LI-FR
At Sanofi diversity and inclusion is foundational to how we operate and embedded in our Core Values. We recognize to truly tap into the richness diversity brings we must lead with inclusion and have a workplace where those differences can thrive and be leveraged to empower the lives of our colleagues, patients and customers. We respect and celebrate the diversity of our people, their backgrounds and experiences and provide equal opportunity for all.
As part of its diversity commitment, Sanofi is welcoming and integrating people with disabilities."
7,https://www.indeed.fr/emplois?q=Performance%20Analyst&l=Lyon&radius=100&limit=100&sort=date&vjk=ffc057e0d6202514,"Développeur / Analyste .Net / Angular / SQL. / Freelance
FREELANCE VISION - Lyon (69)","['Lyon (69)', 'Temps plein, Freelance / Indépendant']",Développeur / Analyste .Net / Angular / SQL. / Freelance,FREELANCE VISION,- Lyon (69),"Temps plein, Freelance / Indépendant",null,"Freelance-info - il y a 4 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Performance Analyst,Lyon,"Je recherche pour le compte de mon client en périphérie Lyonnaise un Développeur / Analyste .Net / Angular / SQL.

Démarrage d’ici novembre, mission longue, il faut être autonome et force de proposition (Ne pas être un exécutant).

Ci-dessous le descriptif de la mission :
Pré-requis indispensables :
Angular 4
SQL server / Lots SSIS
MVC
Jquery, Javascript, CSS, Json
Optimisation des performances
Savoir-faire (4-5 ans d’expérience) :
o Visual Studio de 2003 à 2013,

o Visual Studio code (pour Angular),

o Angular 4,

o SQL Server de 2005 à 2012, lots SSIS,

o C# 4,

o VB .net

o MVC

o Jquery, Javascript, CSS, Json

Spécifications fonctionnelles générales et détaillées, développement, documentation technique, plan de tests, tests unitaires et d’intégration, mise en place, optimisation des performances

Les + :
o connaissances SVN ou outil de gestion de code source

o connaissances d’administration server web IIS

o DB2-400

o Typo 3 version 4

o Linux

Savoir être :
o Autonome, curieux.euse, travail en équipe, communicant.e, synthétique, rigoureux.euse"
8,https://www.indeed.fr/emplois?q=Performance%20Analyst&l=Lyon&radius=100&limit=100&sort=date&vjk=09904771a1a4015f,"Analyste Pricing H/F
Fed Business - Rhône","['Rhône', 'CDD', '31 000 € par an']",Analyste Pricing H/F,Fed Business,- Rhône,CDD,31 000 € par an,"il y a 5 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Performance Analyst,Lyon,"Elisa GAURIE-GAUTHIER, consultante pour Fed Business, cabinet de recrutement spécialisé sur les fonctions commerciales et marketing, recherche pour son client, leader mondial de la restauration, un(e) Analyste pricing H/F, dans le cadre d'un CDD de 12 mois.
Mission
Au sein de la Direction Marketing Stratégique, vous êtes rattaché(e) au Responsable pricing, et collaborez en transverse avec les services Commerce, Achats et Marketing.

Dans ce cadre, votre mission consiste à :
Définir le tarif général et les prix promotionnels pratiqués, en prenant en considération la cible client, la concurrence, les coûts et la valeur ajoutée des produits,
Définir les niveaux de seuil et de palier de dégradation des références de la gamme,
Participer au process de décision des prix saisonniers et régionaux,
Assurer le développement et la mise à jour de l'outil Benchmark promotionnel,
Assurer un suivi mensuel de notre positionnement promotionnel VS la concurrence,
Gérer les informations prix remontées par le terrain et apporter les réponses nécessaires,
Réaliser des benchmarks sur des gammes de produits définies,
Analyser des impacts des mouvements de Prix (volumes, marge, clients),
Analyser les performances des tarifications saisonnières et régionales,
Mettre à jour et optimiser les Reportings pricing.

Rémunération : 31k€ fixe brut annuel + 10% de variables.
Profil
De formation Bac +4/5 avec une spécialisation Commerce /Marketing ou Economie, vous justifiez d'une première expérience réussie sur un poste similaire.

Doté(e) d'un excellent relationnel, vous avez un goût prononcé pour les chiffres ainsi qu'une bonne capacité d'analyse et de synthèse.

Vous maitrisez Excel et avez l'habitude de gérer des bases de données importantes.

Proactivité, aisance relationnelle et organisation sont vos atouts pour la réussite dans cette fonction."
9,https://www.indeed.fr/emplois?q=Performance%20Analyst&l=Lyon&radius=100&limit=100&sort=date&vjk=83fa25747d98cf17,"RESPONSABLE ACHAT INDUSTRIE H/F
RH TRIUMVIRAT CONSEIL - Oyonnax (01)
A répondu à 75 % ou plus des candidatures sur les 30 derniers jours, généralement en 1 jour.","['Oyonnax (01)', 'Temps plein, CDI', '44 000 € - 48 000 € par an']",RESPONSABLE ACHAT INDUSTRIE H/F,RH TRIUMVIRAT CONSEIL,- Oyonnax (01),"Temps plein, CDI",44 000 € - 48 000 € par an,"il y a 6 jours
Signaler cette offre d'emploi",Performance Analyst,Lyon,"Notre client basé au cœur de la « Plastics Vallée » autour d’Oyonnax (01) est concepteur et fabricant de moules de haute précision et de grande cadence depuis plus de 45 ans. Il est notamment spécialisé dans les moules multi-empreintes pour l’injection thermoplastique et thermodurcissable dans les industries de la pharmacie, de la cosmétique et du packaging.
Grace à son savoir faire et son expérience en plasturgie, notre client est l’un des leaders dans le secteur des moules de haute technologie. Il propose un service en conception, développement, fabrication et qualification d’outillages pour des industries exigeantes et soucieuses de performance et de qualité.
Dans le cadre de leur fort développement nous recrutons un(e) :
Responsable Achat Industrie H/F
Sous la responsabilité du Directeur des Opérations le (la) Responsable Achat négocie et conclut les achats de la gamme des produits techniques nécessaires à la production de l’entreprise et à son bon fonctionnement. Pour cela, vous serez en charge de :
Spécifier les besoins des services internes et de la production et négocier les achats avec les fournisseurs attribués,
Sélectionner les fournisseurs et les prestataires les plus appropriés,
Négocier avec chaque fournisseur des quantités prévisionnelles de produits aux meilleures conditions de qualité, prix et délais, en tenant compte des objectifs techniques,
Définir les conditions de commande, livraison, paiement etc,
Faire évoluer les procédures du secteur et mettre en place des indicateurs pertinents,
Informer son supérieur de l’avancement de l’activité et participer aux réunions hebdomadaires,
Respecter les consignes de Fabrication (délais et qualité) et de sécurité et signaler immédiatement toute erreur, ou problèmes de Fabrication à son Responsable de secteur,
Proposer des améliorations pour son poste de travail et participer à la mise en place des actions préventives et correctives,
Du management du magasinier…
De formation supérieure technique complétée par une spécialisation Achats, vous justifiez d’une expérience confirmée sur une fonction Achats acquise en milieu industriel.
Vous êtes reconnu pour votre sens de la négociation et de l’anticipation ainsi que votre esprit d’équipe et votre relationnel. Autonome, analyste et rigoureux (se), votre capacité à gérer les priorités et votre envie de réussir sont des atouts indispensable dans l’accomplissement de cette mission.
Une bonne capacité à manager une équipe serait un plus.
Vous possédez une bonne maitrise des logiciels de bureautique et de gestion ainsi qu’un anglais technique.
Nous vous proposons : Un contrat en CDI avec une rémunération très motivante et de nombreux avantages sociaux :
mutuelle / prévoyance (bonnes garanties et bonne prise en charge par l’employeur)
tickets restaurant
primes
épargne salariale : participation – intéressement
Merci de nous faire parvenir votre candidature (CV + LM) ainsi que prétentions salariales.
Type d'emploi : Temps plein, CDI
Salaire : 44 000,00€ à 48 000,00€ /an"
