,id,meta1,meta2,titre_poste,entreprise,localisation,contrat,salaire,date_publication,keyword_metier,keyword_localisation,description
0,https://www.indeed.fr/emplois?q=Web%20designer&l=Lyon&radius=100&limit=100&sort=date&vjk=dcbf44d7359ba305,"Integration of geometric cues within deep learning techniques
NAVER LABS Europe2 avis - Meylan (38)",['Meylan (38)'],Integration of geometric cues within deep learning techniques,NAVER LABS Europe,- Meylan (38),null,null,"NAVER France SAS - il y a 17 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Web designer,Lyon,"Euclidean and projective geometry are at the foundation of computer vision. They represent key components of many state-of-the-art computer vision techniques, e.g. for 3D reconstruction or camera localization.

Learning-based methods such as Convolutional Neural Networks are achieving impressive results, and aim to replace an explicit modeling of the underlying structure of data by training. Part of their success however lies in the inclusion within their architecture of an explicit prior of equivariance to translations, through the use of convolutions.

We are looking for an intern to help us investigate how additional geometric priors could be used to improve the efficiency of machine learning techniques, in the field of computer vision.
Possible axes of work may include experiments using RGB-D data or multiview setups, as well as some more theoretical contributions.
Optional skills
Experience of Python and of a deep learning framework (PyTorch) would be appreciated.
Application instructions
Please note that applicants must be registered students at a university or other academic institution and that this establishment will need to sign an 'Internship Convention' with NAVER LABS Europe before the student is accepted.

You can apply for this position online. Don't forget to upload your CV and cover letter before you submit. Incomplete applications will not be accepted.
About NAVER LABS
NAVER LABS is a world class team of self-motivated and highly engaged researchers, engineers and interface designers collaborating together to create next generation ambient intelligence technology and services that are rich with the organic understanding they have of users, their contexts and situations.
Since 2013 LABS has led NAVER’s innovation in technology through products such as the AI-based translation app ‘Papago’, the omni-tasking web browser ‘Whale’, the virtual AI assistant ‘WAVE’, in-vehicle information entertainment system ‘AWAY’ and M1, the 3D indoor mapping robot.
The team in Europe is multidisciplinary and extremely multicultural specializing in artificial intelligence, machine learning, computer vision, natural language processing, UX and ethnography. We collaborate with many partners in the European scientific community on R&D projects.
NAVER LABS Europe is located in the south east of France in Grenoble. The notoriety of Grenoble comes from its exceptional natural environment and scientific ecosystem with 21,000 jobs in public and private research. It is home to 1 of the 4 French national institutes in AI called MIAI (Multidisciplinary Innovation in Ai) It has a large student community (over 62,000 students) and is a lively and cosmopolitan place, offering a host of leisure opportunities. Grenoble is close to both the Swiss and Italian borders and is the ideal place for skiing, hiking, climbing, hang gliding and all types of mountain sports."
1,https://www.indeed.fr/emplois?q=Web%20designer&l=Lyon&radius=100&limit=100&sort=date&vjk=05c7e581c2f9c1d2,"UI/UX Designer F/H
SpeedMedia Services - Villeurbanne (69)",['Villeurbanne (69)'],UI/UX Designer F/H,SpeedMedia Services,- Villeurbanne (69),null,null,"il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",Web designer,Lyon,"SpeedMedia
SpeedMedia accompagne depuis 2003 les Professionnels du Tourisme et des Loisirs dans le développement de leurs ventes sur Internet.
Nous proposons des logiciels de réservation en ligne Multi Tour-Opérateurs et multi-sources, ils permettent de distribuer et de gérer une offre complète de voyages vers tous les canaux de distribution.
L'équipe de SpeedMedia, avec une moyenne d'âge de 28 ans, allie créativité et convivialité.
Chez SpeedMedia Services, il y a aussi des parties de baby-foot endiablées et des soirées Ping-pong conviviales, du café, du thé et des fruits à disposition.

Description du poste
Vous serez en charge de la création de maquettes sur des projets d’applications web et de solutions pour l’industrie du tourisme et des voyages. Vos idées et propositions pour améliorer les projets seront écoutées et appréciées.
Vos missions :
Conception d’identités graphiques en cohérence avec les attentes et les contraintes du client
Réalisation de maquettes et visuels (pictos, etc)
Création et déclinaisons d’interfaces web
Réflexion sur l'ergonomie des sites et l'expérience utilisateur
Mission secondaire :
Intégration front (responsive design)

Profil recherché
Idéalement, vous êtes issu d'une formation dans le graphisme ou le webdesign et disposez d’1 an d’expérience dans un poste équivalent (possible en stage ou en contrat). Créatif(ve) et rigoureux(se), vous faites preuve de bon sens et êtes capable de vous adapter aisément tout en respectant les délais de livraison.
Vous êtes force de proposition dans les moments clés des projets (conception, création et intégration) sur lesquels vous intervenez.
Vous désirez vous impliquer dans une structure à taille humaine en pleine croissance. Vous faites preuve de polyvalence et appréciez les missions variées.
Compétences recherchées :
Photoshop/Indesign/Illustrator
UX/UI design
Responsive Design
Respect de la demande
Respect des deadlines
Création de logos et pictos
Veille graphique, connaissance des tendances
Html5/CSS 3/JS
Les connaissances suivantes sont un plus :
Expérience dans l’industrie du tourisme et des voyages
Connaissances en SEO
Gestion de projet (Méthode: Agile, outil : Redmine) et travail en équipe
Utilisation d'outils d'analyse de site web
Informations complémentaires :
Poste en CDI
Rémunération selon profil
Baby-foot et table de Ping-pong à disposition
Du café, du thé et des fruits en libre service (on aide à remplir le quota : 5 fruits et légumes par jour^^)
CV et lettre de motivation au format PDF"
2,https://www.indeed.fr/emplois?q=Web%20designer&l=Lyon&radius=100&limit=100&sort=date&vjk=d94c22c91873c1fb,"Stage UI/UX Designer F/H
SpeedMedia Services - Villeurbanne (69)","['Villeurbanne (69)', 'Temps plein, Stage']",Stage UI/UX Designer F/H,SpeedMedia Services,- Villeurbanne (69),"Temps plein, Stage",null,"il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",Web designer,Lyon,"SpeedMedia
SpeedMedia accompagne depuis 2003 les Professionnels du Tourisme et des Loisirs dans le développement de leurs ventes sur Internet.
Nous proposons des logiciels de réservation en ligne Multi Tour-Opérateurs et multi-sources, ils permettent de distribuer et de gérer une offre complète de voyages vers tous les canaux de distribution.
L'équipe de SpeedMedia, avec une moyenne d'âge de 28 ans, allie créativité et convivialité.
Chez SpeedMedia Services, il y a aussi des parties de baby-foot endiablées et des soirées Ping-pong conviviales, du café, du thé et des fruits à disposition.

Description du poste
Vous serez en charge de la création de maquettes sur des projets d’applications web et de solutions pour l’industrie du tourisme et des voyages. Vos idées et propositions pour améliorer les projets seront écoutées et appréciées.
Vos missions :
Conception d’identités graphiques en cohérence avec les attentes et les contraintes du client
Réalisation de maquettes et visuels (pictos, etc)
Création et déclinaisons d’interfaces web
Réflexion sur l'ergonomie des sites et l'expérience utilisateur
Mission secondaire :
Intégration front (responsive design)

Profil recherché
Créatif(ve) et rigoureux(se), vous faites preuve de bon sens et êtes capable de vous adapter aisément tout en respectant les délais de livraison.
Vous êtes force de proposition dans les moments clés des projets (conception, création et intégration) sur lesquels vous intervenez.
Vous désirez vous impliquer dans une structure à taille humaine en pleine croissance. Vous faites preuve de polyvalence et appréciez les missions variées.
Compétences recherchées :
Photoshop/Indesign/Illustrator
UX/UI design
Responsive Design
Respect de la demande
Respect des deadlines
Création de logos et pictos
Veille graphique, connaissance des tendances
Html5/CSS 3/JS
Les connaissances suivantes sont un plus :
Expérience dans l’industrie du tourisme et des voyages
Connaissances en SEO
Gestion de projet (Méthode: Agile, outil : Redmine)
Utilisation d'outils d'analyse de site web
Informations complémentaires :
Stage 35h hebdomadaires
Rémunération selon base légale
Baby-foot et table de Ping-pong à disposition
Du café, du thé et des fruits en libre service (on aide à remplir le quota : 5 fruits et légumes par jour^^)
Moyenne d'âge des équipes : 28 ans
CV et lettre de motivation au format PDF"
3,https://www.indeed.fr/emplois?q=Web%20designer&l=Lyon&radius=100&limit=100&sort=date&vjk=7d5db366699c713d,"UI Designer F/H
DEMS - Saint-Bonnet-de-Mure (69)","['Saint-Bonnet-de-Mure (69)', 'CDI']",UI Designer F/H,DEMS,- Saint-Bonnet-de-Mure (69),CDI,null,"Apec.fr - il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",Web designer,Lyon,"Afin de contribuer à la croissance de notre entreprise, nous recherchons un(e) :

UI Designer (H/F)

. Vous serez rattaché(e) au Docteur en Facteurs Humains, vous réaliserez, sur site client ou dans nos locaux, votre mission. Elle consiste à définir, concevoir et évaluer de nouvelles interfaces utilisateurs innovantes.

A ce titre, vos missions seront les suivantes :
Participer en tant qu’expert en esthétique,

Produire le cahier des charges, personas story-boards, scénarios, l’arborescence, prototype etc..

Visualiser des nouvelles solutions de design

Développer des outils d’aide à la décision

Garantir l’élaboration d’un plan détaillé et communiquer avec l’équipe projet inter fonctionnelle.

Présenter les livrables aux parties prenantes

Travailler en étroite collaboration avec l’équipe de développement pour s’assurer que les spécifications de conception sont mises en œuvre

Communiquer efficacement, de façon verbale et visuelle, les résultats de la recherche, idées conceptuelles, la conception détaillée et la justification du concept.

Piloter le processus de la conception, trouver des solutions et aider à estimer les besoins en ressource et le planning

Collaborer avec les parties prenantes et les clients finaux pour une conception centrée sur l’utilisateur.

Rechercher et analyser les résultats des tendances connexes

Explorer les idées pour le message du produit et créer des concepts d’interface utilisateur

Créer le prototypage itératif pour les utilisateurs et décideurs
Profil recherché Issu d’un Bac+5 Design Interactif, vous justifiez de 2 ans d'expériences minimum en tant que UI Designer.

Vous pouvez identifier les méthodes appropriées pour chaque phase d’un projet, connaissez les méthodologies de prototypage et comment les utiliser pour mieux comprendre les problématiques de conception. Vous maitrisez les outils de conception et de prototypage tels que Photoshop, Illustrator, Sketch ou Invision. Vous avez des connaissances en outils de développement web (HTML, JavaScript, Flash et CSS)

Vous êtes ouvert d’esprit, flexible et patient ce poste est fait pour vous.

Vous êtes motivé(e) pour intégrer une structure dynamique offrant de très belles perspectives d’évolution.

Envoyez votre CV dès maintenant. Nous répondrons à tous les candidats.
Entreprise Pourquoi postulez à cette annonce ? Je vous laisse le découvrir …

Nous relions les métiers du Design et de l’Ingénierie depuis 2012. Partie à 2, c’est maintenant une équipe de 60 collaborateurs qui participe à améliorer l’avenir de l’Homme. Comment ? De l’innovation à l’industrialisation, digitalisation, nous travaillons sur le confort utilisateur.

Dans nos locaux ou sur site client vous interviendrez sur un produit de nos clients. Vous serez l’ambassadeur de nos valeurs :

L’écoute
La communication
le professionnalisme
La convivialité
L’ouverture d’esprit
Le Groupe DEMS réunit plusieurs marques : La marque DEMS spécialisée dans les produits industriels (cabines, machines, véhicules complet, autobus, châssis, outillages) a besoin de vous rendre le produit (transport et équipements) attractif tout en respectant les valeurs de notre client."
4,https://www.indeed.fr/emplois?q=Web%20designer&l=Lyon&radius=100&limit=100&sort=date&vjk=ec4cbc89d2e4ef83,"Chef de projet Web - Editeur de logiciel - CDI à Lyon F/H
PEARSON FRANK INTERNATIONAL - Lyon 5e (69)","['Lyon 5e (69)', 'CDI']",Chef de projet Web - Editeur de logiciel - CDI à Lyon F/H,PEARSON FRANK INTERNATIONAL,- Lyon 5e (69),CDI,null,"Apec.fr - il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",Web designer,Lyon,"Mon client, société éditrice d'un logiciel d'accompagnement de santé, détenue à majorité par un grand acteur du monde bancaire recrute un chef de projet Web F/H dans le cadre de sa forte croissance. Vous évoluerez au contact d'équipe pluridisciplinaire regroupant des professionnels du monde médical, des ingénieurs, designers UX et UI etc.

Le poste :
En CDI

35-45k

Vos missions

Vous recueillerez les besoins clients, veillerez à la viabilité technique du projet, ainsi que sa pertinence vis-à-vis du contexte économique, la stratégie interne de l'entreprise et les tendances du monde Web.

Vous dresserez le cahier des charges, collaborerez à la mise en place du plan de production du site ainsi que de sa ligne éditoriale.

Vous serez en charge de l'élaboration du planning et de la budgétisation du projet, pour ce faire, vous estimerez avec pertinence la charge de travail ainsi que les moyens nécessaires à déployer à chaque phase du projet.

Dans les phases de production, vous animerez et coordonnerez à la fois les équipes techniques interne en passant des rédacteurs aux graphistes, des chargés de production aux développeurs sans oubliés les prestataires extérieurs !

Il sera également attendu que vous testiez le produit fini, que vous prévoyez ses évolutions futures et suiviez la production ainsi que le processus d’amélioration permanent.
Profil recherché Il est attendu de vous des qualités telles que un bon relationnel, organisationnelles, un certain gout pour l'animation et la coordination. Vous devez cumuler une bonne connaissance du monde du Web, marketing et technique. Une première expérience de 2 ans min est très apprécié. Vous faites preuve de polyvalence et surtout, vous êtes quelqu'un de curieux.
Entreprise Mon client, société éditrice d'un logiciel d'accompagnement de santé, détenue à majorité par un grand acteur du monde bancaire recrute un chef de projet Web dans le cadre de sa forte croissance. Vous évoluerez au contact d'équipe pluridisciplinaire regroupant des professionnels du monde médical, des ingénieurs, designers UX et UI etc."
5,https://www.indeed.fr/emplois?q=Web%20designer&l=Lyon&radius=100&limit=100&sort=date&vjk=8a1f8c8ce84c5554,"Graphiste H/F stage 2 mois maximum
Mascottes en FoliZz & Events en FoliZz - Saint-Priest (69)","['Saint-Priest (69)', 'Stage']",Graphiste H/F stage 2 mois maximum,Mascottes en FoliZz & Events en FoliZz,- Saint-Priest (69),Stage,null,"il y a 1 jour
Signaler cette offre d'emploi",Web designer,Lyon,"Mascottes en FoliZzest une entreprise située à Saint-Priest (région Lyonnaise).
Entreprise spécialisée dans la création et fabrication de mascottes, peluches et mascottes gonflables sur-mesure.
OBJECTIF :
Vos créations graphiques vont donner vie à de nouvelles mascottes sur-mesure pour le bonheur des entreprises.
*MISSIONS :
- Créations graphiques (flyers, affiches, bannières, mascottes sur-mesure…)
- Dessins des créations de mascottes pour les entreprises
- Gestion des sites internet (Peluches & Mascottes en FoliZz)
- Créations et montages vidéos et photos (serait un plus)
COMPETENCES REQUISES :
- Maîtrise des logiciels de PAO (suite adobe)
- Dessin sur papier ou tablette
- Connaissance de WiX et WordPress
- Création et intégration de bannières Web
- Graphisme de site Web
- Connaissances de logiciels montages vidéos seraient un plus
QUALITES REQUISES:
- Créativité
- Autonomie
- Réactif
- Force de proposition
- Curiosité
- Implication
- Humour ( avoir l'esprit ludique pour les créations de mascottes)
INFORMATIONS PRATIQUE :
Type de contrat : Convention de Stage (PAS D’ALTERNANCE)
Secteur: Graphiste/ web designer
Démarrage: dés que possible
Durée : 2 mois
Lieu: 8 rue du Mâconnais, 69800 Saint-Priest
Profil recherché : BTS, BAC + 3 à 5
Type d'emploi : Stage
Salaire : 0,00€ /mois
Expérience:
InDesign: 1 an (Souhaité)
Illustrator: 1 an (Souhaité)
Graphisme: 1 an (Souhaité)
Photoshop: 1 an (Souhaité)"
6,https://www.indeed.fr/emplois?q=Web%20designer&l=Lyon&radius=100&limit=100&sort=date&vjk=26837fc81892607e,"Développeur web backend
Agence Trenta - Saint-Étienne (42)","['Saint-Étienne (42)', 'CDI']",Développeur web backend,Agence Trenta,- Saint-Étienne (42),CDI,null,"il y a 4 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Web designer,Lyon,"Trenta est une agence de communication globale qui intègre une équipe digitale et e-commerce. Nous recherchons régulièrement de nouveaux collaborateurs talentueux, qui sont prêts à relever des défis et partagent notre état d'esprit.
Nous sommes une soixantaine, tous sympas (si, si !) et passionnés ! Nous recrutons des graphistes, des designers, des développeurs, des chefs de projets, des community managers, des alternants, des stagiaires, des chefs de projet webmarketing et toutes les personnes qui ont l'envie d'apporter leur savoir, leur motivation et leur état d'esprit positif à l'agence.
Nos clients nous font confiance et comptent sur nous pour les accompagner dans leurs projets. Nous recherchons des personnes impliquées, motivées et capables d'apporter de nouvelles idées.
L'esprit d'équipe, l'optimisme et le goût du travail bien fait sont des qualités que nous aimons retrouver chez les nouveaux arrivants.
L'écoute, la confiance et la bienveillance sont des valeurs appliquées avec convictions par tous les membres de l'équipe.
Descriptif du poste
Intégré à l’équipe dev de notre agence Web Axome, vous serez en charge du développement back office des projets clients, que ce soit pour de grands noms à la renommée internationale ou des startups. Votre rigueur et votre capacité d'adaptation vous permettent de fournir du code de qualité quel que soit le projet abordé.
Les solutions que vous apportez sont modulaires et réutilisables, et leur conception s'appuie sur l'existant et les standards de l'industrie (standards des CMS et frameworks utilisés, utilisation de gestionnaires de dépendances pour PHP et JavaScript, etc.).
Vous anticipez les problèmes que votre code peut rencontrer en utilisant un IDE puissant et en mettant en place des systèmes d'alerte efficaces en cas d'erreur, en ayant comme objectif la stabilité et la pérennité de vos développements.
MISSIONS
Définition du projet et organisation avec les chefs de projets
Réalisation projet selon un planning
Réalisation de la recette et des tests
Mise en place de fonctionnalités avancées
VOS COMPÉTENCES
Rigueur, organisation et implication
Communication et travail d’équipe
Anticipation des besoins
Capacité d’auto formation, autonomie
CMS : Prestashop, WordPress
Frameworks : Symfony, Laravel, Bootstrap
Environnement de développement PHP, MySQL, JavaScript, Git, Unix
Connaissances en administration système et serveurs web Unix appréciées
Bonne humeur !
TYPE DE POSTE
Temps plein
Salaire indicatif : selon profil et expérience
Lieu de travail : Saint-Etienne
Profil recherché
Formation classique ou en alternance niveau II ou III
Expérience minimum de 1 an
Process de recrutement
Entretiens à distance possible.
Test à distance après 1er entetien.
Informations complémentaires
Type de contrat : CDI
Lieu : Saint-Etienne, France (42100)
Niveau d'études : Bac +2
Expérience : > 1 an"
7,https://www.indeed.fr/emplois?q=Web%20designer&l=Lyon&radius=100&limit=100&sort=date&vjk=590a66c87b08b84f,"Responsable Application Web Marketing H/F
Arkema254 avis - Pierre-Bénite (69)","['Pierre-Bénite (69)', 'CDI']",Responsable Application Web Marketing H/F,Arkema,- Pierre-Bénite (69),CDI,null,"il y a 4 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Web designer,Lyon,"Nous connaître
Entité ciblée
Designer de matériaux et de solutions innovantes, Arkema modèle la matière et accélère la performance de ses clients pour créer de nouveaux usages dans l'allègement et le design des matériaux, les produits bio-sourcés, les énergies nouvelles, la gestion de l'eau, les solutions pour l'électronique et la performance et l'isolation de l'habitat.

Acteur mondial de la chimie de spécialités et des matériaux avancés, avec 3 pôles d'activités, Matériaux Haute Performance, Spécialités Industrielles, Coating Solutions, et des marques mondialement reconnues, le Groupe réalise un chiffre d'affaires de 8,8 milliards d'euros. Porté par l'énergie collective de ses 20 000 collaborateurs, Arkema est présent dans près de 55 pays.

A compétences égales, tous nos postes sont ouverts aux personnes en situation de handicap.

Allez au-delà de vos découvertes !
Référence
2019-10021
Nous rejoindre
Métier
Systèmes d'Information - Télécom - Responsabilités Générales SI
CDI
Votre profil
Vous souhaitez relever un nouveau challenge ? N'attendez plus ! Nous travaillons actuellement sur un très gros projet de transformation digitale, et nous recherchons un(e) Responsable Applications Web Marketing

Les finalités de ce poste sont multiples :
Maintenir les applications du domaine en conditions opérationnelles, apporter l'assistance nécessaire aux utilisateurs
Répondre aux demandes des utilisateurs et des maîtrises d'ouvrage
Accompagner les projets métiers dans la définition, la construction et la mise en œuvre / le déploiement des solutions IT dans le domaine de la diffusion de contenu WEB
Garantir le bon fonctionnement des environnements WEB (Intranet et Internet) et du niveau de service des applications avec la MOA

Diplômé d'un Bac + 5 en gestion de projets et applications, vous justifiez de 5 ans d'expérience professionnelle dans le domaine du Web publishing et/ou du Web Marketing
Vous êtes capable d'acquérir rapidement de nouvelles connaissances, de vous adapter à des environnements évolutifs, de coordonner des projets et de communiquer sur vos actions, quelques soit votre interlocuteur

Votre poste suppose de nombreux contacts avec les utilisateurs : vous êtes disponible, avez un sens du service et une écoute développés, de même qu'un esprit de synthèse et une capacité à expliquer, dialoguer et rester ferme sur les normes et standards iTeam

Vous êtes autonome dans la gestion de vos missions et êtes à même de rendre compte à bon escient de vos activités. Le pilotage de projets informatiques n'a pas de secret our vous

La dimension internationale du poste et de l'entreprise suppose que vous parliez et écriviez un anglais courant
Vos principales missions
En tant que Responsable Application Web Marketing, vous êtes rattaché(e) au Responsable du domaine Content Management & Development du département TIS (Technical & Innovative Solutions)

Vos missions sont les suivantes :
Dans le domaine fonctionnel : diffusion de contenu Web (Intranet et Internet) et outils connexes, pour l'ensemble des utilisateurs du groupe Arkema, au niveau mondial
Pour mener à bien vos missions, vous devez développer de nombreuses relations, internes et externes
Relations internes, avec les Représentants Maîtrises d'Ouvrage (Directions Fonctionnelles, Business Units), les Correspondants en usine et les Départements techniques iTeam
Ces contacts s'entendent également avec iTeam/US et iTeam/Asie pour les applications mondiales
Relations externes, avec les éditeur des solutions, les ESN, les intégrateurs, …

Vos missions principales consistent à :
Organiser et réaliser les activités de support nécessaire pour les applications du périmètre
Prendre en compte et traiter les demandes d'évolution des utilisateurs et des maîtrises d'ouvrage
Participer comme partie prenante aux réunions régulières avec les maîtrises d'ouvrage, contribuer aux décisions prises
Prendre en compte les nouveaux projets du domaine, en assurer la coordination et le pilotage
Contribuer à la relation avec les éditeurs de logiciels

Vos projets et applications sont à vocation mondiale : vous vous appuyez sur l'organisation iTeam existante pour la gestion de la production informatique, pour la mise en production et l'exploitation des applications

Vous évoluez dans un environnement technique pointu et complexe, au milieu de clients et utilisateurs exigeants qu'il faut aider et ""canaliser"" dans l'expression de leurs demandes et dans les solutions à déployer
Fréquence des déplacements
10% du temps
Rythme de travail
Journée
Vos compétences
Niveau d'études min. requis
Bac +5
Spécialisation
Marketing
Gestion de Projet
Niveau d'expérience min. requis
5 ans et plus
Langues
Anglais (Courant)
Localisation du poste
Localisation du poste
France, Auvergne-Rhône-Alpes, Rhône (69)
Lieu
Pierre-Bénite"
8,https://www.indeed.fr/emplois?q=Web%20designer&l=Lyon&radius=100&limit=100&sort=date&vjk=769952677e5f943e,"UI programmer (H/F)
Ubisoft213 avis - Annecy (74)",['Annecy (74)'],UI programmer (H/F),Ubisoft,- Annecy (74),null,null,"il y a 4 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Web designer,Lyon,"Job Description

Dans le cadre de nos nouveaux projets nous sommes à la recherche d'un programmeur UI.
Il aura la charge de développer les modules pour la présentation générale du jeu (menu, HUD, mini-jeux, etc.) avec un focus sur les menus dépendants de services Online.
Les principales tâches du Programmeur UI sont les suivantes :
Lire les documents de conception de jeu pour comprendre l'expérience de jeu prévue ;
Concevoir et mettre en oeuvre des systèmes de menu et d'interface pour les utilisateurs spécifiques sur chaque plate-forme, en préservant l'uniformité des aspects visuels et logistiques ;
En collaboration avec les équipes de conception et de programmation, proposer rapidement des prototypes de concepts d'interaction pour le jeu ;
Comprendre les implémentations et reconnaître les limites techniques ;
Superviser la programmation des modules qui sont à l'origine de l'interface utilisateur ;
Optimiser le code de module d'interface utilisateur de manière à pouvoir l'implémenter sur une console de jeux ;
Interagir et collaborer avec différents départements (conception, artiste, programmeur ...)
Effectuer toutes autres tâches ou projet transverse en lien avec la mission.

Qualifications

La passion du jeu vidéo, la créativité, la rigueur, l'autonomie, l'autocritique et l'esprit d'équipe seront indispensables, en s'appuyant sur les compétences suivantes : Compétences requises :
Un minimum de 2 ans d'expérience en programmation de jeu
Maitrise du C++
Expériences passées dans le développement d'UI de jeu
Habileté d'analyse et d'adaptation
Savoir travailler en étroite collaboration avec les game designers et les artistes UI
Forte sensibilité au game design
Forte sensibilité au Live et au GaaS (game as a service)
Compétences souhaitées :
Expériences passées dans le développement d'un moteur d'UI
Expériences passées sur un jeu multijoueur

Additional Information

Merci de nous faire parvenir votre CV, ainsi que tous travaux personnels/professionnels ou Site Web.
A Ubisoft Annecy, nous recherchons des esprits innovateurs et originaux, qui carburent aux défis, et qui veulent bâtir l’avenir de l’industrie du jeu vidéo.
En tant qu’employeur, Ubisoft offre à tous les mêmes opportunités d’accès à l’emploi sans distinction de genre, ethnicité, religion, orientation sexuelle, statut social, handicap et d’âge. Ubisoft veille à développer un environnement de travail inclusif qui reflète la diversité de sa communauté de joueurs dans ses équipes.
Toute information sera traitée de manière confidentielle conformément à la Loi sur l'équité en matière d'emploi.

Intégrer les studios France, c’est aussi:
Rejoindre des équipes passionnées et d’un excellent niveau technique, toutes animées par l’envie de concevoir et développer des jeux innovants et se démarquant par leur qualité
Collaborer avec des équipes reconnues pour leur expérience sur des franchises renommées
Développer une expertise en participant aux événements de partage organisés en interne (talks ; conférences ; salons) et en bénéficiant de programmes de formation sur-mesure
Évoluer dans un groupe leader dans l’industrie du jeu vidéo en France et présent dans 30 pays différents, avec des opportunités d’évolution à l’international"
9,https://www.indeed.fr/emplois?q=Web%20designer&l=Lyon&radius=100&limit=100&sort=date&vjk=be5b653bd0cb1b15,"Learning Synthetic to Real Transfer for Localization and Navigational Tasks
NAVER LABS Europe2 avis - Meylan (38)",['Meylan (38)'],Learning Synthetic to Real Transfer for Localization and Navigational Tasks,NAVER LABS Europe,- Meylan (38),null,null,"NAVER France SAS - il y a 4 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Web designer,Lyon,"Recent progresses in Artificial Intelligence led to a high interest in developing autonomous robots and equipping them with a human-level perception. Two critical abilities of any robot are to localize itself and to navigate in a complex environment. Deep neural networks allow localization methods and navigational policies be learned by supervised learning. Most sophisticated networks achieve high accuracy but require a massive amount of observations. Unfortunately, the ground truth labels are hard to obtain.
Simulation represents the most promising approach to resolve this dilemma and get a massive amount of annotated observations. However, the transfer of knowledge learned from simulation and synthetic data to real world environment remains a serious problem. The recent advances in the domain propose techniques of adaptation and generalization to facilitate such a transfer for some important sub-tasks, such as depth estimation and camera pose estimation. We therefore propose this research project aimed at developing techniques for transferring knowledge from synthetic to real world for the localization and navigational tasks. In particular, these techniques should account on specific geometric structure of the natural images in the real data, which is important for high-performing synthetic-to-real transfer.
We are looking for candidates motivated in research and innovation, in their 2nd year of Master's or equivalent degree in Computer Science, Computer Vision, or close domains.
Supervisors: Tomi Silander, Boris Chidlovskii
Optional skills
The working knowledge of Python, C/C++ as well as the Deep / Reinforcement Learning
Application instructions
Please note that applicants must be registered students at a university or other academic institution and that this establishment will need to sign an 'Internship Convention' with NAVER LABS Europe before the student is accepted.

You can apply for this position online. Don't forget to upload your CV and cover letter before you submit. Incomplete applications will not be accepted.
About NAVER LABS
NAVER LABS is a world class team of self-motivated and highly engaged researchers, engineers and interface designers collaborating together to create next generation ambient intelligence technology and services that are rich with the organic understanding they have of users, their contexts and situations.
Since 2013 LABS has led NAVER’s innovation in technology through products such as the AI-based translation app ‘Papago’, the omni-tasking web browser ‘Whale’, the virtual AI assistant ‘WAVE’, in-vehicle information entertainment system ‘AWAY’ and M1, the 3D indoor mapping robot.
The team in Europe is multidisciplinary and extremely multicultural specializing in artificial intelligence, machine learning, computer vision, natural language processing, UX and ethnography. We collaborate with many partners in the European scientific community on R&D projects.
NAVER LABS Europe is located in the south east of France in Grenoble. The notoriety of Grenoble comes from its exceptional natural environment and scientific ecosystem with 21,000 jobs in public and private research. It is home to 1 of the 4 French national institutes in AI called MIAI (Multidisciplinary Innovation in Ai) It has a large student community (over 62,000 students) and is a lively and cosmopolitan place, offering a host of leisure opportunities. Grenoble is close to both the Swiss and Italian borders and is the ideal place for skiing, hiking, climbing, hang gliding and all types of mountain sports."
