,id,meta1,meta2,titre_poste,entreprise,localisation,contrat,salaire,date_publication,keyword_metier,keyword_localisation,description
0,https://www.indeed.fr/emplois?q=Cyber%20Securit%C3%A9&l=Nantes&radius=100&limit=100&sort=date&vjk=5a7437489f471f6c,null,[],null,null,null,null,null,null,Cyber Securité,Nantes,null
1,https://www.indeed.fr/emplois?q=Cyber%20Securit%C3%A9&l=Nantes&radius=100&limit=100&sort=date&vjk=7507cdf839b0d342,"Stage Architecture Big Data
Airbus1,454 avis - Rennes (35)
Temps plein, Stage",[],Stage Architecture Big Data,Airbus,- Rennes (35),null,null,"il y a 4 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Cyber Securité,Nantes,"Airbus Cybersecurity SAS
Airbus is a global leader in aeronautics, space and related services. In 2018 it generated revenues of € 64 billion and employed a workforce of around 134,000. Airbus offers the most comprehensive range of passenger airliners. Airbus is also a European leader providing tanker, combat, transport and mission aircraft, as well as one of the world's leading space companies. In helicopters, Airbus provides the most efficient civil and military rotorcraft solutions worldwide.

Our people work with passion and determination to make the world a more connected, safer and smarter place. Taking pride in our work, we draw on each other's expertise and experience to achieve excellence. Our diversity and teamwork culture propel us to accomplish the extraordinary - on the ground, in the sky and in space.
Job Description
Une offre de stage/apprentissage de (h/f) vient de s'ouvrir au sein d’Airbus Cyber Security à Rennes.
La cybersécurité d’un système d’information repose, en partie, sur sa supervision réalisée grâce à des sondes de détection d’intrusion (IDS) qui surveillent les activités réseau (Network IDS) ou système (Host IDS) sans faire les deux simultanément, leur utilisation devant être complétée par celle d’un Security Information and Events Manager (SIEM) capable de croiser les informations provenant de sources hétérogènes. Ces outils (IDS, SIEM) sont les briques essentielles qui constituent un Security Operation Center (SOC) en charge de la coordination des capacités de détection et de réponse aux cyberattaques mais sont limités par l’usage de règles fixes. La tendance actuelle vise à élargir le spectre des données collectées qui seront traitées par des outils d’analyse comportementale (UEBA).
Au vu de la diversité des protocoles et du volume de données devant être traitées, la surveillance est une tâche complexe qui doit s’appuyer sur de nombreux outils d’acquisition, de traitement et de stockage de données. De nombreuses initiatives open source existent (ElasticSearch, Hadoop, Kafka, Metron…) mais leur efficience dans un contexte opérationnel n’a pas encore été éprouvée.
Au sein d’Airbus Cybersecurity, vous intégrerez l’équipe Cyberdéfense en tant que stagiaire. Cette équipe a pour mission d’assurer la mise en place et l’opération des capacités Cyberdéfense (supervision, réponse à incident).
Ce stage commencera le (Date sujette à flexibilité) 1er mars 2020 et sera d’une durée de 6 mois.
Ce poste nécessite une habilitation de sécurité ou nécessite d'être éligible à une habilitation par les autorités reconnues.
Tâches et responsabilités :
Le stage proposé a pour objectif majeur la mise en place d’un SOC (détection, conduite, réaction) en s’appuyant des outils open-sources.
Vous serez responsable des activités principales suivantes :
S’approprier le mode de fonctionnement d’un SOC et identifier ses besoins ;
Effectuer un état de l’art comparatif, documenté, des différents composants open-source disponibles pour les besoins identifiés ;
Mettre en œuvre le SOC avec les composants sélectionnés dans un environnement virtualisé ;
Confronter les briques du SOC à un contexte opérationnel réaliste et évaluer leur pertinence ;
Rédiger un rapport d’état de l’art et les documentations d’exploitation du SOC déployé ;
Travailler en équipe.
Ce stage vous permettra d’acquérir une bonne connaissance de l’entreprise et de ses processus et par conséquent, d’avoir une meilleure compréhension favorisant votre futur développement. Il vous permettra en particulier d’approcher les différentes phases d’un projet cyber au sein d’une équipe dynamique.
Compétences requises
Vous avez les expériences et les compétences suivantes :
Niveau d’étude : Bac+5 ;
Connaissance de l’écosystème libre et open source ;
Bonne maîtrise de l’environnement Linux (Shell, etc.) ;
Connaissances des composants logiciels de cyberdéfense (IDS, SIEM, etc.) ;
Une expérience d’administration système ou en technologies Big Data (Kafka, Hadoop, Elastic…) est un plus ;
Travail en équipe
Anglais lu requis
Un esprit de synthèse et de bonnes capacités rédactionnelles sont attendus. Dynamique, doté d'un excellent relationnel, passionné(e) par votre métier et avec le goût du service vous montrez un intérêt pour monter en compétences dans un domaine non maîtrisé.

This job requires an awareness of any potential compliance risks and a commitment to act with integrity, as the foundation for the Company’s success, reputation and sustainable growth.

By submitting your CV or application you are consenting to Airbus using and storing information about you for monitoring purposes relating to your application or future employment. This information will only be used by Airbus.
Airbus is committed to achieving workforce diversity and creating an inclusive working environment. We welcome all applications irrespective of social and cultural background, age, gender, disability, sexual orientation or religious belief."
2,https://www.indeed.fr/emplois?q=Cyber%20Securit%C3%A9&l=Nantes&radius=100&limit=100&sort=date&vjk=5f737e5dda3dd7c1,"Assistant de direction (H/F)
Groupe Partnaire57 avis - Cholet (49)",[],Assistant de direction (H/F),Groupe Partnaire,- Cholet (49),null,null,"il y a 6 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Cyber Securité,Nantes,"PARTNAIRE CHOLET recrute pour son client, groupe leader et spécialisé d'électronique dans l'aérospatiale, la défense, la sécurité et le transport terrestre, basé à Cholet:

Assistant de direction H/F

Rattaché(e) à la direction, vous prendrez pleinement possession de votre rôle sur notre site Thales Cholet au sein du département OIC (Opération Informatique & Cyber sécurité).

Le périmètre confié traite ~80 collaborateurs. Pour ce poste, nous attendons de vous que vous soyez en capacité de :

Assurer l'accueil et le suivi des collaborateurs, dans leurs projets et leurs missions
Assurer le suivi administratif du Centre de Services
Assurer la tenue des organigrammes (Publication et diffusion de documents)
Support sur la gestion des ordres de mission et des notes de frais des collaborateurs
Faire partie de l'équipe community management (publication Intranet OIC, Room Citadel)
Apporter un soutien aux managers des centres de services dans l'organisation d'évènement d'équipe (séminaires internes ou externes, évènements, etc.).

Vous voulez travailler dans un monde en mouvement, et ne jamais vous ennuyer?
N'attendez-plus, postulez !

Poste à temps à temps partiel
Profil souhaité
De formation BAC+2, vous avez une première expérience réussie d’assistante de département, idéalement dans le monde du service.
Vous avez une grande écoute et une appétence pour le travail d’équipe.
Vous êtes rigoureux dans les taches qui vous sont confiées.
Vous savez créer un esprit d’équipe.
Vous avez une bonne connaissance du pack office et du web.
Formations souhaitées
BAC +2"
3,https://www.indeed.fr/emplois?q=Cyber%20Securit%C3%A9&l=Nantes&radius=100&limit=100&sort=date&vjk=6cfaaf30967ca854,null,[],Consultant cybersécurité / Gouvernance - H/F,Seyos,- Nantes (44),null,null,"il y a 6 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Cyber Securité,Nantes,"Seyos est un cabinet de recrutement spécialisé dans les métiers de l'IT. Nous proposons aux candidats des opportunités professionnelles uniquement au sein de clients finaux : éditeurs de logiciels, startups, DSI.

Notre client est une société de conseils et d'audit en cybersécurité présente à Nantes, Paris et Sophia-Antipolis. Dans le cadre du développement de leur agence de Nantes, il recrute un(e) Consultant cybersécurité - Gouvernance.

Missions :
Analyse de risque (référentiels 27005, 27001, EBIOS)
Accompagnement à la mise en place d'un Système de Gestion de Management de la Sécurité de l'Information
Accompagnement à la certification PCI DSS
Rédaction de Politique de Sécurité du SI, chartes informatiques
Cartographie des données à caractère personnel, analyse des retraitements associés en lien avec le RGPD et conseil dans les projets de ""Privacy by design""
Analyse des impacts métiers de la rupture d'activité et définition des processus de reprise d'activité
Organisation et pilotage des exercices de Cyber Crises
Des déplacements dans le Grand Ouest seront à prévoir.
Rémunération : 45 000 - 60 000 Euros selon profil.

Profil :
Vous êtes diplômé(e) d'un bac +5 et bénéficiez d'une première expérience en cybersécurité, développement ou infra. Notre client met un point d'honneur à la bonne intégration et formation de ses collaborateurs notamment grâce au suivi apporté par les consultants séniors.

Les + :
Tickets restaurants
Mutuelle d'entreprise
Nombreuses formations
Equipe à taille humaine
Société experte dans son domaine, travaille avec 50% des entreprises du CAC 40
Remboursement des frais kilométriques"
4,https://www.indeed.fr/emplois?q=Cyber%20Securit%C3%A9&l=Nantes&radius=100&limit=100&sort=date&vjk=32848ddd3bda9eb3,"Stage Ingénieur Systèmes Sécurité F/H
Thales Group1,222 avis - Cholet (49)
Stage",[],Stage Ingénieur Systèmes Sécurité F/H,Thales Group,- Cholet (49),null,null,"Thales - il y a 12 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Cyber Securité,Nantes,"QUI SOMMES-NOUS ?
Thales propose des systèmes d’information et de communication sécurisés et interopérables pour les forces armées, les forces de sécurité et les opérateurs d’importance vitale. Ces activités, qui regroupent radiocommunications, réseaux, systèmes de protection, systèmes d’information critiques et cybersécurité, répondent aux besoins de marchés où l’utilisation des nouvelles technologies numériques est déterminante. Thales intervient tout au long de la chaîne de valeur, des équipements aux systèmes en passant par le soutien logistique et les services associés.
À Cholet, Thales conçoit, développe, intègre, qualifie, industrialise, produit, déploie et maintient en condition opérationnelle des équipements de radiocommunications et des réseaux tactiques militaires, des équipements et systèmes de guerre électronique ainsi que des solutions de sécurité des systèmes d’informations (cryptage, réseaux, etc). C’est également à Cholet que Thales intègre, industrialise et produit les stations sol des réseaux de communication par satellites.
La Direction Sécurité des Technologies de l’Information (ITS) recherche son/sa futur(e) stagiaire :
Ingénieur Systèmes Sécurité F/H
Poste basé à Cholet (49)
QUI ÊTES-VOUS ?
Vous êtes étudiant(e) en télécommunication et réseaux ou formation équivalente et recherche un stage de fin d’études?
Vous êtes familier avec les langages C, Python, Java et les systèmes Linux embarqués ?
Vous avez des connaissances des techniques de modélisation à l’aide d’UML ?
Vous avez des notions des protocoles Ethernet et IP ainsi que des protocoles HTTP, TLS, MacSec ?
Vous êtes reconnu(e) pour votre bon relationnel et votre curiosité ?
Vous êtes force de proposition, vous êtes doté(e) d’un bon sens de l’analyse et aimez la résolution de problème ?
Votre rigueur fait partie de vos atouts ?
La langue de Shakespeare ne vous fait pas peur ?
Alors ce qui suit va vous intéresser !
CE QUE NOUS POUVONS ACCOMPLIR ENSEMBLE
Vous intégrez le service Ingénierie Sécurité des Equipements, et avez pour mission principale de définir, d’expérimenter et spécifier les solutions de contrôle d’accès à des Passerelles IPsec depuis un réseau de confiance.
Le projet nécessite de mener une analyse d’un marché concurrentiel et dynamique où les offres en matière de lutte contre les cybers attaque doivent régulièrement concilier sécurité et facilité de mise en œuvre.
Les moyens et les outils à mettre en œuvre font partie des fondamentaux à connaître pour protéger un système d’information.
La recherche demandée doit identifier les réels besoins et orienter les solutions aux problèmes, depuis les concepts opérationnels jusqu’à l’implémentation.
A ce titre, vous avez pour missions de :
Étudier le besoin de contrôle d’accès par réseau de confiance sur des Passerelles IPSec (cas d’emploi et des implémentations existantes, analyse des normes en vigueur)
Définir les contraintes de sécurité spécifiques aux Passerelles IPSec
Choisir le protocole AAA (Radius ou Diameter)
Définir et expérimenter l’architecture système (mise en place d’une plateforme réseau et configuration des scénarios d’usage)
Innovation, passion, ambition : rejoignez Thales et créez le monde de demain, dès aujourd’hui."
5,https://www.indeed.fr/emplois?q=Cyber%20Securit%C3%A9&l=Nantes&radius=100&limit=100&sort=date&vjk=fbad17c64f176807,"Responsable du Service Infrastructures de la DSI F/H
Rennes Métropole5 avis - Rennes (35)",[],Responsable du Service Infrastructures de la DSI F/H,Rennes Métropole,- Rennes (35),null,null,"il y a 9 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Cyber Securité,Nantes,"Présentation de l'offre
Mission
Contexte et définition du poste La Métropole de Rennes (43 communes – 450 000 habitants) dont la Ville de Rennes (220 000 habitants), est le centre névralgique de la Bretagne. Elle mène des politiques publiques ambitieuses au service d’un développement équilibré de son territoire, soucieuse de la performance de son économie comme de la qualité de vie de ses habitants. Au sein d’un des écosystèmes numériques les plus dynamiques de France, fort de son pôle de cyber sécurité et d’une grande densité de start-up, la Métropole et la Ville de Rennes sont engagées en interne dans la transformation digitale de leur fonctionnement, toujours dans le souci de la qualité du service rendu aux usagers. 5000 agents, 300 métiers : en nous rejoignant, vous intégrez une structure dynamique et innovante, attachée aux valeurs de diversité, d’égalité femme/ homme, aux principes d’autonomie et de confiance accordée aux collaborateurs qui font notre service public au quotidien. Vos principales missions : - A la tête d’une équipe de 16 collaborateurs (répartis au sein de 5 unités : unité télécom, unité réseau et sécurité, unité système, unité base de donnée et exploitation), vous portez une attention particulière à la valorisation et le développement de leurs compétences. Vous managez l’équipe par le sens en favorisant le travail transversal et l’innovation. Vous organisez le service, animez le travail collectif dans un objectif de progression et d’amélioration continue du service rendu. Membre du comité de direction, vous participez et contribuez activement aux réflexions transversales. - Vous assurez la définition de l'architecture technique, la mise en œuvre, le maintien en condition opérationnelle et la performance des infrastructures informatiques ; - Vous garantissez la continuité de service et pilotez la démarche de la sécurité des infrastructures. - Vous déterminez - afin d'optimiser les usages, les ressources et la sécurité - une stratégie globale d’infrastructure autour de la virtualisation de réseau, du recours à des prestataires externes, des architectures mixtes (MPLS…). - Partie prenante des ""projets métiers"" conduits par le service Études et Projets, vous participez à la définition du besoin, préconisez ou validez les environnements techniques et assurez la mise en œuvre des solutions retenues.
Prérequis
Compétences
De formation supérieure, vous disposez d’une expérience significative dans une Direction des Systèmes d’Information - de préférence au sein d’une collectivité territoriale – au sein de laquelle vous avez su démontrer rigueur, réactivité, et faculté d’adaptation. Vous maîtrisez un ensemble de connaissances techniques variées (architecture, environnements réseau LAN/WAN, sécurité, écosystèmes Microsoft et Linux, outils de supervision, outils de masteurisation...). Disposant d’excellentes qualités relationnelles, vous faites preuve d’écoute, de pédagogie et d’esprit d’équipe dans votre management et dans la conduite de projets transversaux. Créatif, curieux, en veille permanente sur les nouveaux outils, vous savez insuffler de l’énergie et fédérer vos collaborateurs autour d’un objectif commun.
Condition de recrutement
Poste ouvert aux agents titulaires du cadre d'emplois des ingénieurs territoriaux, aux lauréats du concours ainsi qu'aux candidats reconnus travailleurs handicapés dans les conditions prévues par l'article 38 de la loi 84-53 du 26/01/84, ou à défaut par voie contractuelle (CDD de 3 ans renouvelable)."
6,https://www.indeed.fr/emplois?q=Cyber%20Securit%C3%A9&l=Nantes&radius=100&limit=100&sort=date&vjk=087ca026d2f638cb,null,[],null,null,null,null,null,"il y a 10 jours
Signaler cette offre d'emploi",Cyber Securité,Nantes,"Qui sommes-nous ?
Abington Advisory est une entreprise de conseil en management. Son ADN est avant tout darwinien, fondé sur la théorie de l’évolution. Ce positionnement, adapté à l’entreprise se traduit par la conviction que ce n’est ni la plus forte ni la plus intelligente des organisations qui survivra, mais celle qui sera le plus apte à changer.
La volonté d’Abington est de conseiller et d’accompagner les organisations dans toutes leurs transformations, pour relever ensemble les défis de demain. Nous apportons à nos clients une combinaison d’expertises, en établissant une coopération des tous les instants. Notre valeur ajoutée est liée à la co-création avec le client, essence même de nôtre ADN.
Abington Advisory a été fondé en 2013 par cinq associés issus de grands cabinets de conseil. Ils partagent la conviction que le monde du conseil doit évoluer et répondre aux exigences nouvelles et grandissantes des organisations. Leur expérience de plus de 20 ans leur a permis d’analyser, comprendre et anticiper les mutations du conseil.
Abington dispose de 9 expertises qui permettent de répondre aux attentes des organisations.
Stratégie
Data & Analytics
Marketing & Expérience Client
Finance & Pilotage de la performance
Supply Chain
Systèmes d’Information
Confiance numérique & Cybersécurité
Transformation digitale
Accompagnement du changement
Abington Advisory apparaît dans le classement Capital 2017 et 2019 des meilleures entreprises de conseil en « Cyber sécurité », « Transformation digitale » et « Finance et risques ».
A l’international, Abington Advisory est présent à Beyrouth, Djakarta, Montréal, et Dubaï. En France, à Paris et à Nantes.
Le descriptif des missions
En tant que Consultant expérimenté au sein d’un segment de marché spécialisé, vous interviendrez sur des missions variées telles que :
Études de faisabilité, de filière et de potentiel
Analyse de données : flux marchés
Évaluation financière : études d’investissement
Interface entre l’audit et l’organisation
Stratégie : optimisation des organisations et plan de développement
Le profil
Diplômé d’un Bac + 4/5 porté sur les études maritimes ou portuaires
Vous disposez d’une première expérience réussie au sein d’un cabinet de conseil ou d’études spécialisées (bureau d’études ou agence d’urbanisme).
Vous avez la capacité à animer une démarche collective et à innover
Maîtrise des techniques du business model est un plus
Poste basé à Nantes
Type d'emploi : CDI"
7,https://www.indeed.fr/emplois?q=Cyber%20Securit%C3%A9&l=Nantes&radius=100&limit=100&sort=date&vjk=f8b20aea9c327d48,"Ingénieur Cybersécurité débutant en ingénierie equipement (H/F)
Thales Group1,222 avis - Cholet (49)",[],Ingénieur Cybersécurité débutant en ingénierie equipement (H/F),Thales Group,- Cholet (49),null,null,"Thales - il y a 12 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Cyber Securité,Nantes,"QUI SOMMES-NOUS ?
Thales propose des systèmes d’information et de communication sécurisés et interopérables pour les forces armées, les forces de sécurité et les opérateurs d’importance vitale. Ces activités, qui regroupent radiocommunications, réseaux, systèmes de protection, systèmes d’information critiques et cybersécurité, répondent aux besoins de marchés où l’utilisation des nouvelles technologies numériques est déterminante. Thales intervient tout au long de la chaîne de valeur, des équipements aux systèmes en passant par le soutien logistique et les services associés.
À Cholet, Thales conçoit, développe, intègre, qualifie, industrialise, produit, déploie et maintient en condition opérationnelle des équipements de radiocommunications et des réseaux tactiques militaires, des équipements et systèmes de guerre électronique ainsi que des solutions de sécurité des systèmes d’informations (cryptage, réseaux, etc). C’est également à Cholet que Thales intègre, industrialise et produit les stations sol des réseaux de communication par satellites.
La Direction Sécurité des Technologies de l'Information développe des produits de sécurité de haut niveau pour les gouvernements et les opérateurs d'infrastructures critiques.
Au sein de cette direction, vous intégrez le secteur Sécurité des Produits et Équipements et vous contribuez à la définition fonctionnelle et aux architectures de sécurité des solutions systèmes et produits de chiffreurs et radios.
Vous définissez les stratégies de certification et vous réalisez les expertises de sécurité électronique et informatique embarquée.
QUI ETES-VOUS ?
Vous êtes issu d’une formation supérieure (ingénieur ou équivalent) avec une spécialité en sécurité, crypto ou cyber sécurité ?
Vous avez une connaissance des technologies liées à la cyber-sécurité ?
Vous avez des bases en terme de développements de matériels et logiciels de sécurité ?
Vous aimez le travail en équipe ? Vous êtes autonome et aimez défendre la solution auprès du client ?
La maîtrise des schémas de certification ou d’agrément, la connaissance des systèmes aéronautiques sont un plus pour le poste.
Des déplacements réguliers en région parisienne sont à prévoir
Alors ce qui suit va vous intéresser !
CE QUE NOUS POUVONS ACCOMPLIR ENSEMBLE :
Vous intervenez en tant que ingénieur en Cybersécurité pour des équipements de défense.
Vous participez à la définition à la cyber sécurité de ces équipements de défense .
A ce titre, vous contribuez au process de développement, à la définition du problème de sécurité, et à l’accompagnement des équipes de développement ainsi que de la validation.
Vos principales missions :
o Vous participez à l’élaboration du besoin de sécurité de niveau équipement.
o Vous définissez et validez le référentiel sécurité de l’équipement.
o Vous garantissez que les travaux menés sont cohérents avec l’état de l’art de la sécurité et en conformité avec la réglementation française.
o Vous contribuez à la définition de l’architecture de sécurité de l’équipement.
o Vous supportez les architectes, les équipes de développement et d’intégration, validation, qualification pendant la phase de réalisation.
o Vous apportez votre expertise technique sur des problématiques de sécurité système.
Des déplacements réguliers en région parisienne sont à prévoir
Innovation, passion, ambition : rejoignez Thales et créez le monde de demain, dès aujourd’hui."
8,https://www.indeed.fr/emplois?q=Cyber%20Securit%C3%A9&l=Nantes&radius=100&limit=100&sort=date&vjk=6eea72afdc2aec22,"Responsable d'affaire F/H
Médiane Système - Combrée (49)",[],Responsable d'affaire F/H,Médiane Système,- Combrée (49),null,null,"il y a 11 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Cyber Securité,Nantes,"Au sein du département R&D, vous êtes en charge des projets de développement de produits électroniques depuis les phases d’appel d’offre jusqu’à la livraison des pré-séries.
Votre mission consiste principalement à :

Répondre aux appels d’offre en lien avec l’équipe de développement commercial et avec le support des équipes techniques
Piloter le projet avec l'objectif de tenir les engagements Qualité/Coût/Délai
Assurer le reporting interne et client du projet
Elaborer des spécifications générales du produit ou du système, en prenant en compte les contraintes environnementales ou normatives
Elaborer le plan de vérification du produit ou du système
Gérer l’appel des ressources et piloter les équipes de développement : Electronique, Mécanique et Logiciel
Interagir avec les équipes de production (méthodes, indus, achats ...) dans le cadre de l'industrialisation du produit
Négocier les avenants éventuels
Pour premier projet, le secteur d'activité concerné est le secteur ferroviaire.

Contexte de la prestation :
Remplacement. Ce besoin intervient dans le cadre d'une pré-embauche et la localisation privilégiée est à Combrée

Descriptif du profil
Compétences techniques :
Electronique embarquée
Gestion de projet
Gestion client

Connaissances impératives :
Des bases techniques en électronique avec une bonne connaissance du cycle de développement d'un produit électronique
Gestion de projet depuis la prise en charge d'un cahier des charges jusqu'à la livraison d'un produit: planification (WBS, Gantt ...), coordination /challenge des équipes
Très bon relationnel (contact client, interne), esprit de synthèse
Des expériences projets dans le domaine du ferroviaire seraient fortement appréciées.

Quelques mots sur Médiane Système...
Créée par des Ingénieurs POUR des Ingénieurs, Médiane Système est une société d’ingénierie technique à taille humaine spécialisée depuis 30 ans dans les métiers de la conception et du développement de systèmes embarqués pour l’industrie (logiciel embarqué et applicatif, électronique numérique/analogique, V&V, IIoT, cyber sécurité, bancs de tests).
Participer à l’aventure Médiane Système, c’est travailler sur des projets stimulants et variés au cœur des évolutions technologiques industrielles. Du secteur ferroviaire au médical, en passant par l’énergie, l’automobile, l’aéronautique ou bien les télécoms, nos équipes interviennent dans des environnements technologiques de pointe, innovants et exigeants.
Retrouvez quelques-uns de nos projets sur notre site internet : https://www.medianesysteme.com/metiers/projets
Nos managers sont issus de la technique et parlent votre « langage » : Intégrer Médiane Système, c’est aussi rejoindre une communauté de spécialistes où vos compétences seront reconnues et développées.
Une carrière adaptée pour réaliser vos ambitions
Expertise technique, encadrement, gestion de projets, qualité... Notre richesse c’est VOUS ; c’est pourquoi, nous mettons tout en œuvre pour construire, ensemble, une carrière à votre image, à la hauteur de votre potentiel.
Cet accompagnement se réalise dans le cadre de formations adaptées et continues (internes et/ou externes) et d’un plan d’évolution de carrière clair et personnalisé en fonction de vos aspirations.
Vous voulez en savoir plus ? Envoyez-nous votre CV en postulant ou contactez nous : recrutement.paris@medianesysteme.com

Manndes MERILUS et Karima MIHOUBI
https://www.linkedin.com/in/manndes-merilus-7767298a/
https://www.linkedin.com/in/karima-mihoubi-286322131/"
9,https://www.indeed.fr/emplois?q=Cyber%20Securit%C3%A9&l=Nantes&radius=100&limit=100&sort=date&vjk=c1c83899f600856e,"Consultant Senior, Finance et Pilotage de la performance
Abington Advisory - Nantes (44)
CDI",[],"Consultant Senior, Finance et Pilotage de la performance",Abington Advisory,- Nantes (44),null,null,"il y a 10 jours
Signaler cette offre d'emploi",Cyber Securité,Nantes,"Qui sommes-nous ?
Abington Advisory est une entreprise de conseil en management. Son ADN est avant tout darwinien, fondé sur la théorie de l’évolution. Ce positionnement, adapté à l’entreprise se traduit par la conviction que ce n’est ni la plus forte ni la plus intelligente des organisations qui survivra, mais celle qui sera le plus apte à changer.
La volonté d’Abington est de conseiller et d’accompagner les organisations dans toutes leurs transformations, pour relever ensemble les défis de demain. Abington apporte à ses clients une combinaison d’expertises, en établissant une coopération des tous les instants. Notre valeur ajoutée est liée à la co-création avec le client, essence même de nôtre ADN.
Abington Advisory a été fondé en 2013 par cinq associés issus de grands cabinets de conseil. Ils partagent la conviction que le monde du conseil doit évoluer et répondre aux exigences nouvelles et grandissantes des organisations. Leur expérience de plus de 20 ans leur a permis d’analyser, comprendre et anticiper les mutations du conseil.
Abington dispose de 9 expertises qui permettent de répondre aux attentes des organisations.
Stratégie
Data & Analytics
Marketing & Expérience Client
Finance & Pilotage de la performance
Supply Chain
Systèmes d’Information
Confiance numérique & Cybersécurité
Transformation digitale
Accompagnement du changement
Abington Advisory apparaît dans le classement Capital 2017 et 2019 des meilleures entreprises de conseil en « Cyber sécurité », « Transformation digitale » et « Finance et risques ».
A l’international, Abington Advisory est présent à Beyrouth, Djakarta, Montréal, et Dubaï. En France, à Paris et à Nantes.
Le descriptif des missions
En tant que Consultant expérimenté, vous interviendrez principalement sur des missions telles que :
Analyses financières rétrospectives
Élaboration du business plan
Contract Management
Modélisation financière
Financement de projet
Vous interviendrez en plus sur des projets de Transformation de la fonction finance et d’implantation d’outils EPM
Le profil
Diplômé d’un Bac +5
Dispose d’une première expérience significative soit en Conseil Financier, soit en Audit, soit en Entreprise au sein d’un poste de la Direction financière.
Maîtrise des mécanismes financiers fondamentaux
Maîtrise de l’anglais courant et professionnel
L’envie d’évoluer au sein d’une entreprise de conseil
Poste basé à Nantes
Type d'emploi : CDI
Expérience:
consultant senior, finance et pilotage de la performance ou similaire: 1 an (Souhaité)
Langue:
Anglais (Souhaité)"
