,id,meta1,meta2,titre_poste,entreprise,localisation,contrat,salaire,date_publication,keyword_metier,keyword_localisation,description
0,https://www.indeed.fr/emplois?q=Data%20Analyst&l=Nantes&radius=100&limit=100&sort=date&advn=4190676325902957&vjk=95679dcef14a01da,null,"['Rennes (35)', 'CDI', '35 € par heure']",Data Engineer - H/F,CNAF,- Rennes (35),CDI,35 € par heure,"ChooseYourBoss - il y a 4 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Data Analyst,Nantes,"Javascript / Scala / R / Python / Hadoop / Innovation / Analytics / Architecture logicielle / Gestion de projet
Big Data Developer, Data Analyst, Data Engineer / CDI / Environ 35k€ / 0 - 2 ans / Rennes

Le poste
Notre Direction des Systèmes d’Information, pense et construit actuellement le modèle informatique de demain en intégrant les enjeux numériques, de traitement des données, et surtout de cybersécurité. Dans le cadre de notre modernisation, notre DSI est engagée dans la démarche Big Data et a pour volonté la maitrise en interne de ce sujet majeur. C’est dans ce cadre que nous mettons aujourd’hui en place une équipe autour de notre système décisionnel et Big Data et créons le poste de Data Engineer, Poste en CDI, basé à Rennes (35). Rattaché au service « Architecture et Développement Restitutions » et intégré au sein d’une équipe composée de 8 collaborateurs (3 architectes, 1 chef de projet et 4 développeurs), vous participez activement à la mise en place du projet de transformation de notre système décisionnel aidé par des technologies de pointe.
Les responsabilités
Participer à la transformation de notre système décisionnel et à la mise en place opérationnelle des systèmes BI et Big Data
Construire des solutions dans un environnement Big Data sur des technologies telles que Spark, R, Python, HDFS
S'assurer de la collecte, du stockage et de l'exploitation fluide des données
Participer à la réalisation de cas d'usage Big Data
S'imposer en tant que référent sur ces technologies
Pourquoi venir chez nous?
Si : - Vous avez l’envie de travailler au sein d’une équipe hyper mobilisée et hyper motivée par un projet porteur - Vous avez à cœur de vous investir dans une structure offrant de vraies perspectives d’évolution vers un poste de Chef de Projet ou Architecte Applicatif - Vous souhaitez évoluer dans un environnement utilisant des technologies de pointe - Vous êtes sensible à un cadre de travail mixant horaires flexibles et télétravail - Vous êtes attiré par la dynamique de la ville de Rennes (ville étudiante, festive et traditionnelle à la fois, ville d’art et d’histoire, bassin d’emploi dynamique, classement en tête dans les Palmarès des villes de France où il fait bon vivre) - Sans oublier que vous avez la possibilité de faire une mobilité au sein d’une structure de plus de 150 000 collaborateurs. Alors ce poste semble fait pour vous, Poste en CDI basé à Rennes - Rémunération selon profil + 5 semaines CP et 4 semaines de RTT + Horaires flexibles + Télétravail + Comité d’entreprise."
1,https://www.indeed.fr/emplois?q=Data%20Analyst&l=Nantes&radius=100&limit=100&sort=date&vjk=e811679b9cd3a004,"Data Analyst (H/F)
Adventi Informatique - Beaucouzé (49)",['Beaucouzé (49)'],Data Analyst (H/F),Adventi Informatique,- Beaucouzé (49),null,null,"il y a 16 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Data Analyst,Nantes,"900 - EH07102019
Rejoindre TGS France, c'est saisir l'opportunité de grandir et envisager plusieurs vies professionnelles.
Chez nous, chacun trouve sa place que vous préfériez produire, conseiller, vendre et/ou manager, vous pourrez vous appuyer sur nos 110 agences et la richesse de nos métiers. De plus, nos écoles et formations internes vous aideront à développer vos compétences.
Parce que nous pouvons booster votre parcours, vous trouverez surtout un groupe qui bouge, qui vit, qui grandit : 50% de nos recrutements sont liés à des créations de poste ! Autrement dit, vous bénéficierez de tous les avantages d'un groupe solide qui souhaite conserver l'autonomie de ses agences et un management de proximité.
Conscients que nous devons avancer avec nos 1400 collaborateurs, nous recrutons des professionnels qui partagent nos valeurs et nos ambitions. Et si c'était vous ?
Le Pôle Informatique du Groupe composé d'environ 100 collaborateurs répartis sur 7 agences recherche un Data Analyst (H/F) au sein du siège social.
MISSION
Sous la Responsabilité de Philippe BESNIER, Directeur Général Associé du Pôle Informatique, vous fournissez des analyses pertinentes issues de données statistiques pour accompagner les dirigeants du Groupe dans leurs prises de décisions et orientations.
Autonome au quotidien, votre mission sera plus précisément de :
Comprendre la structure de nos sources de données et être capable d'aller chercher de la data,
S'assurer de la qualité de nos bases de données,
Extraire les données générées par l'activité de l'entreprise et les traduire en données statistiques,
Collaborer avec les équipes techniques et métiers pour définir les besoins et expliciter les résultats,
Analyser les données et détecter les corrélations (analyse de performance,...),
Restituer les résultats (rapports, présentations...) de façon synthétique et accessible aux différents interlocuteurs du Groupe
Entraîner des moteurs de « machine learning » à l'automatisation de tâches
Vos analyses et votre compréhension des activités et besoins du Groupe vous permettront de proposer des recommandations adaptées aux problématiques métiers.
Votre rôle, stratégique, s'inscrira dans une démarche d'amélioration continue du groupe TGS France en développant l'anticipation, l'optimisation, et la création de valeur interne et pour les clients.
PROFIL
Idéalement issu de formation ingénieur, vous êtes reconnu pour votre curiosité naturelle et votre capacité d'analyse.
Vous êtes particulièrement animé par la démarche de recherche d'informations et de données, et êtes capable de prendre des initiatives.
Votre aisance relationnelle facilitera vos échanges avec les métiers, et vous appréciez un environnement de travail dynamique tout en faisant preuve de beaucoup d'autonomie.
Une connaissance de R serait un réel avantage mais n'est pas rédhibitoire (vous y serez formé si besoin).
Ce poste est fait pour vous ? Alors n'hésitez plus, rejoignez-nous !
Merci d'adresser votre lettre de motivation + CV à TGS France pôle Informatique par mail à l'adresse : rh-recrutement@soregor.fr"
2,https://www.indeed.fr/emplois?q=Data%20Analyst&l=Nantes&radius=100&limit=100&sort=date&vjk=d70b63620c22529c,"Data Analyst (H/F)
TGS France - Beaucouzé (49)","['Beaucouzé (49)', 'CDI']",Data Analyst (H/F),TGS France,- Beaucouzé (49),CDI,null,"il y a 17 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Data Analyst,Nantes,"Votre mission :
Sous la Responsabilité de Philippe BESNIER, Directeur Général Associé du Pôle Informatique, vous fournissez des analyses pertinentes issues de données statistiques pour accompagner les dirigeants du Groupe dans leurs prises de décisions et orientations.

Autonome au quotidien, votre mission sera plus précisément de :

Comprendre la structure de nos sources de données et être capable d'aller chercher de la data,
S’assurer de la qualité de nos bases de données, Extraire les données générées par l'activité de l'entreprise et les traduire en données statistiques, Collaborer avec les équipes techniques et métiers pour définir les besoins et expliciter les résultats, Analyser les données et détecter les corrélations (analyse de performance,...), Restituer les résultats (rapports, présentations...) de façon synthétique et accessible aux différents interlocuteurs du Groupe Entraîner des moteurs de « machine learning » à l’automatisation de tâchesVos analyses et votre compréhension des activités et besoins du Groupe vous permettront de proposer des recommandations adaptées aux problématiques métiers.

Votre rôle, stratégique, s’inscrira dans une démarche d’amélioration continue du groupe TGS France en développant l’anticipation, l’optimisation, et la création de valeur interne et pour les clients.
Votre profil :
Idéalement issu de formation ingénieur, vous êtes reconnu pour votre curiosité naturelle et votre capacité d’analyse.

Vous êtes particulièrement animé par la démarche de recherche d’informations et de données, et êtes capable de prendre des initiatives.

Votre aisance relationnelle facilitera vos échanges avec les métiers, et vous appréciez un environnement de travail dynamique tout en faisant preuve de beaucoup d’autonomie.

Une connaissance de R serait un réel avantage mais n’est pas rédhibitoire (vous y serez formé si besoin).

Ce poste est fait pour vous Alors n’hésitez plus, rejoignez-nous !
A propos de TGS France :
Rejoindre TGS France, c’est saisir l’opportunité de grandir et envisager plusieurs vies professionnelles.

Chez nous, chacun trouve sa place que vous préfériez produire, conseiller, vendre et/ou manager, vous pourrez vous appuyer sur nos 110 agences et la richesse de nos métiers. De plus, nos écoles et formations internes vous aideront à développer vos compétences.

Parce que nous pouvons booster votre parcours, vous trouverez surtout un groupe qui bouge, qui vit, qui grandit : 50% de nos recrutements sont liés à des créations de poste ! Autrement dit, vous bénéficierez de tous les avantages d’un groupe solide qui souhaite conserver l’autonomie de ses agences et un management de proximité.

Conscients que nous devons avancer avec nos 1400 collaborateurs, nous recrutons des professionnels qui partagent nos valeurs et nos ambitions. Et si c’était vous

Le Pôle Informatique du Groupe composé d’environ 100 collaborateurs répartis sur 7 agences recherche un Data Analyst (H/F) au sein du siège social."
3,https://www.indeed.fr/emplois?q=Data%20Analyst&l=Nantes&radius=100&limit=100&sort=date&vjk=127f385b0bbf103b,"Analyste Développeur
AvenirExpertiseComptable - Nantes (44)",['Nantes (44)'],Analyste Développeur,AvenirExpertiseComptable,- Nantes (44),null,null,"Recruteo - il y a 21 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Data Analyst,Nantes,"Employeur: AvenirExpertiseComptable
Type d'emploi: CDD
Lieu: Nantes - 44


DESCRIPTION DU POSTE

SECOM fait partie d’un réseau d’entreprises familial de la région nantaise. Créé en 1978, notre réseau compte aujourd’hui 450 collaborateurs répartis en France, Espagne, Finlande, Estonie et Turquie. SECOM agit en tant que société support pour nos entreprises en France et à l’étranger. Notre équipe de 45 personnes est répartie dans différents services :
Ressources Humaines, Information Technology, Finance/Comptabilité, Marketing/Communication, Juridique/ Administratif, ainsi que la Direction Générale.
Nous sommes basés à Nantes, dans le Bas-Chantenay, dans un quartier en pleine mutation.
Rejoignez-nous et évoluez au sein de cet environnement multi-sociétés enrichissant.
Envie de travailler au plus près des utilisateurs ? Envie de participer à l’adaptation de nos outils informatiques dans un environnement en constante ? SECOM est fait pour vous.
Parfaitement intégré(e) au sein de la société, au pôle Application et Data, votre principal objectif est d’apporter des réponses techniques aux nouveaux besoins de l’entreprise (exploitation, maintenance), et de garantir le bon fonctionnement de nos outils spécifiques.
Vos principales missions seront les suivantes :
Assurer le support fonctionnel des outils développés
Créer et développer de nouveaux outils internes accompagnant l’évolution de notre Système d’Information (migration ERP)
Rédiger les documentations techniques et utilisateurs
Modifier les outils pour un usage sur des terminaux mobiles

PROFIL DU CANDIDAT
Les indispensables :
connaissances de l’outil Eclipse/svn ; maîtrise de PHP/MySQL et Java dans un environnement Linux
L’idéal :
vous êtes force de proposition et maitrisez de l’anglais
Les petits :
vous aimez le travail en équipe
Pour s’épanouir dans notre réseau, il faut savoir s’adapter, être polyvalent et être force de proposition au sein d’une équipe à taille humaine.
Vous vous reconnaissez dans cette description ? Alors ce poste est pour vous !
L’article Analyste Développeur est apparu en premier sur Recruteo - Le Site Emploi Web."
4,https://www.indeed.fr/emplois?q=Data%20Analyst&l=Nantes&radius=100&limit=100&sort=date&vjk=691b9a1d943c9e89,"DATA ANALYST
NOVA Technology - Nantes (44)","['Nantes (44)', 'CDI']",DATA ANALYST,NOVA Technology,- Nantes (44),CDI,null,"il y a 3 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Data Analyst,Nantes,"Descriptif du Poste :
Vous aurez pour mission :
Collecter et challenger les besoins auprès du métier
Rédiger les spécifications fonctionnelles générales et détaillées
Réaliser des analyses d’impacts
Définir les cahiers de tests, participer et suivre les recettes
Animer des formations de vulgarisation de la culture Data
Accompagnement au changement et support fonctionnel aux utilisateurs
Profil :
De formation supérieure, vous avez une expérience significative de de 2 ans minimum en tant que Data Analyst.
Compétences requises :
Maitrise du SQL, analyse de données, statistiques, connaissance d’un ETL (Talend, Genio / Otic, Datastage…) et reporting (Power BI, Cognos ou autre).

Rémunération : en fonction du profil
Type de contrat : CDI, statut cadre
Localisation : Nantes
Tous nos postes sont ouverts aux personnes en situation de handicap.
Ce poste vous inspire, vous aimez les challenges ? Vous souhaitez évoluer et apprendre au sein d’une ESN dynamique à taille humaine ?"
5,https://www.indeed.fr/emplois?q=Data%20Analyst&l=Nantes&radius=100&limit=100&sort=date&vjk=17e0b7b95d050f77,"Data Analyst F/H
NOVA TECHNOLOGY - Nantes (44)","['Nantes (44)', 'CDI']",Data Analyst F/H,NOVA TECHNOLOGY,- Nantes (44),CDI,null,"Apec.fr - il y a 4 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Data Analyst,Nantes,"Vous êtes en recherche d'une nouvelle aventure dans un environnement de travail stimulant ? Le conseil et l'accompagnement du client vous intéresse ?

Venez rejoindre nos équipes NOVA TECHNOLOGY à Nantes afin d'accompagner et conseiller nos clients dans la transformation digitale de ses outils !

Nous recherchons un Data Analyst

Vous aurez pour mission :
Collecter et challenger les besoins auprès du métier
Rédiger les spécifications fonctionnelles générales et détaillées
Réaliser des analyses d’impacts
Définir les cahiers de tests, participer et suivre les recettes
Animer des formations de vulgarisation de la culture Data
Accompagnement au changement et support fonctionnel aux utilisateurs
Profil recherché De formation supérieure, vous avez une expérience significative de de 2 ans minimum en tant que Data Analyst.

Compétences requises :
Maîtrise du SQL, analyse de données, statistiques, connaissance d’un ETL (Talend, Genio / Otic, Datastage…) et reporting (Power BI, Cognos ou autre)
Entreprise NOVA TECHNOLOGY est une ESN (Entreprise de Service du Numérique) de 160 consultants, créée en 2006 et basée en Ile-de-France à Boulogne-Billancourt. Nous sommes présents sur la région Grand-Ouest via notre agence de Nantes.

Nous accompagnons ses clients dans la réalisation de leurs projets digitaux, en régie et au forfait dans plusieurs secteurs d’activités : Banque et assurance, Retail & Luxe, Transport & Energie, Médias & Télécom

Notre expertise

Gestion et direction de projet :
Chef de projet • Directeur de projet • Product Owner / Manager • PMO • ScrumMaster • Assistance à Maitrise d’ouvrage
Digital :
FrontEnd • BackEnd • FullStack • Design UX/UI • Mobile • DataManagement • E-commerce • BigData • Cloud • CRM
Méthode :
QA • Agile • Scrum/Kanban • Lean
Nos Technos :
Développement :
Java • .NET • #C • asp.net • Android / IOS • PHP / Symfony • Python • AngularJS / Angular • Javascript BI • MSBI • Business Object • Talend • Qlik • Tableau • Datastage
DevOps :
Infrastructure • Kubernetes • Aws • Ansible • Docker • Puppet • Linux"
6,https://www.indeed.fr/emplois?q=Data%20Analyst&l=Nantes&radius=100&limit=100&sort=date&vjk=cbbf43ddae8abdab,"Data scientist (h/f) - Nantes
Maisons du Monde376 avis - Vertou (44)",['Vertou (44)'],Data scientist (h/f) - Nantes,Maisons du Monde,- Vertou (44),null,null,"il y a 4 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Data Analyst,Nantes,"Le programme data du groupe Maisons du Monde a presque deux ans déjà, et se compose d’une vingtaine de personnes (data scientists, data analysts, data engineers, web analysts). Poussée par une forte ambition, l’équipe data est amenée à accueillir plusieurs nouveaux profils dans les douze prochains mois. Les cas d’usages à développer vont du marketing digital (CRM, acquisition trafic, personnalisation/recommandation) à la supply chain, avec une activité R&D sanctuarisée. L’infrastructure data, développée dans l’équipe, est basée sur Google Cloud Platform. Les résultats sont là : nous sommes mis en avant par les équipes Google quant à l’usage de leurs outils cloud !
Dans une ambiance jeune et dynamique, où le travail d’équipe est mis en valeur, nous recherchons un(e) Data Scientist pour rejoindre cette belle aventure Maisons du Monde !
Vous participez activement à la vie de l’équipe : vous collaborez étroitement avec les Data Scientists et Data Engineers. Les missions seront variées (structuration de la chaîne Big Data, Dashboarding, Analyse Ad Hoc, R&D sur le Machine Learning) et demandent un niveau de rigueur certain.

MISSIONS
Vous êtes impliqué(e) dans l’engagement de l’équipe au quotidien et faites tout pour l’aider pour délivrer des fonctionnalités en continue ;
Vous travaillez en étroite relation avec notre Lead Data scientist pour aider à la création des algorithmes nécessaires pour les cas d’usages développés pour les équipes métier ;
Vous mettez en place les nouveaux flux d’entrée et de sortie au sein de la plateforme data, et irez jusqu’au modeling et à l’activation de la donnée ;
Vous assurez le delivery, et êtes constamment en veille sur les nouvelles technos.
VOTRE ENVIRONNEMENT TECHNIQUE
Google Cloud Platform ;
Big Query, SQL-like, Dataflow, Dataproc ;
Python ;
ML & DL, Tensorflow ;
Qlik Sense ;
Et tout autre outil que vous jugerez pertinent !

Poste basé à Vertou.

De formation supérieure en école d’ingénieur/université (niveau Bac+5 ou plus), vous possédez au minimum une première expérience professionnelle (stage/alternance acceptés) dans un programme data.

SAVOIR-FAIRE
Vous avez déjà appliqué les technologies Big Data en production sur de fortes volumétries de données. Vous maitrisez le développement en Python ;
Vous avez la capacité à maintenir la chaîne Big Data, de la récupération de la donnée jusqu’à son exploitation finale ;
Une bonne culture du web et du marketing digital est un plus (web analytics, DMP, CRM, SEO, SEA, etc.).
SAVOIR-ETRE
Vous avez l’esprit d’équipe et êtes impliqué(e) dans votre travail au quotidien ;
Vous êtes curieux (se), rigoureux (se), structuré(e) ;
Vous avez hâte de proposer des améliorations, les partager et les prioriser avec vos collègues ;
A l’externe, vous participez à des évènements de l’univers Big Data (meetups, conférence, etc.)."
7,https://www.indeed.fr/emplois?q=Data%20Analyst&l=Nantes&radius=100&limit=100&sort=date&vjk=60fb65a30a02bc21,"Business Analyst H/F
Anaya11 avis - Angers (49)","['Angers (49)', 'Temps plein, CDI']",Business Analyst H/F,Anaya,- Angers (49),"Temps plein, CDI",null,"il y a 5 jours
Signaler cette offre d'emploi",Data Analyst,Nantes,"Bonjour,
Anaya est un cabinet de conseil crée en 2005 et spécialisé dans le domaine de la DATA. Il accompagne ses clients dans différents domaines d'activités (Banque, Assurance, Energies, Marketing,...).
Étant un un pionnier sur le marché de la DATA, nous nous positionnons comme un expert qui accompagne ses clients avec des consultants expérimentés sur toute la chaine décisionnelle :
- BI
- Data mining
- Big Data
- Statistiques
Nous sommes actuellement à la recherche d'un Data analyst confirmé (2 et 5 ans d'expérience).
Le candidat doit :
- Connaissance technique sur BO v 4.3
- Expressions des besoins auprès des métiers
- Connaissance du monde de l'assurance serait un plus.
Expériences : Entre 2 et 5 années
Localisation : Angers
Type d'emploi : Temps plein, CDI
Expérience:
business analyst h/f ou similaire: 1 an (Souhaité)"
8,https://www.indeed.fr/emplois?q=Data%20Analyst&l=Nantes&radius=100&limit=100&sort=date&vjk=de95585040f304ae,"SR PPE - Stage gestion de projet adhérence aux équilibrages (H/F)
Airbus1,455 avis - Saint-Nazaire (44)","['Saint-Nazaire (44)', 'Temps plein, Stage']",SR PPE - Stage gestion de projet adhérence aux équilibrages (H/F),Airbus,- Saint-Nazaire (44),"Temps plein, Stage",null,"il y a 5 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Data Analyst,Nantes,"Airbus Operations SAS
Airbus is a global leader in aeronautics, space and related services. In 2018 it generated revenues of € 64 billion and employed a workforce of around 134,000. Airbus offers the most comprehensive range of passenger airliners. Airbus is also a European leader providing tanker, combat, transport and mission aircraft, as well as one of the world's leading space companies. In helicopters, Airbus provides the most efficient civil and military rotorcraft solutions worldwide.

Our people work with passion and determination to make the world a more connected, safer and smarter place. Taking pride in our work, we draw on each other's expertise and experience to achieve excellence. Our diversity and teamwork culture propel us to accomplish the extraordinary - on the ground, in the sky and in space.
Job Description
N° JOB REQUISITION : 10004828
Ingénieur projet (h/f)
Descriptif du poste:
Et si VOTRE aventure commençait avec NOUS !
Dans le cadre d'un cursus scolaire en formation initiale, vous recherchez un stage obligatoire ou intégré dans une année de césure, d'une durée allant de 4 à 6 mois maximum, vous permettant de valider votre année.
Nous vous proposons de travailler dans une entreprise leader mondial dans son domaine, tournée vers le digital, à la pointe de la recherche et de l’innovation.
Une offre de stage en gestion de projet - Process Performance Engineer (h/f) vient de s'ouvrir au sein d’Airbus sur notre site de Montoir de Bretagne !
Ce stage est à pourvoir à partir du 02/01/2020 (date sujette à une certaine flexibilité)
Vous rejoindrez le département « Production System Efficiency » en charge de fournir les séquences opératoires d’assemblage des fuselages Airbus Commercial Aircraft.
Le stage aura pour objet la mesure et l’établissement d’un plan de surveillance sur l’utilisation de nos livrables Process Performances Engineer dans l’atelier.
Tâches et responsabilités :
Vous serez sous la responsabilité d’un manager qui vous aidera à identifier vos objectifs professionnels et vous soutiendra dans le développement de vos compétences.
L'objectif du stage consiste à comprendre les freins, établir un état des lieux, mesurer les écarts par rapport au standard et proposer un plan de rattrapage, intégrant entre autre l'élaboration d'indicateurs de suivi.
Dans ce contexte, vos principales activités seront les suivantes :
Effectuer une analyse en immersion au sein de la production :
Compréhension et état des lieux du suivi des équilibrages dans l’atelier
Mesure des écarts par rapport aux standards
Echanges réguliers avec la communauté PPE
Réaliser un plan de convergence incluant la définition et la mise en place d’indicateurs
Suivant l'avancement de la mission, il sera envisageable d'étendre l'étude à d'autres livrables de notre secteur d'activité vers les unités de production.
Profil recherché et Compétences requises:
Vous préparez un diplôme de niveau Bac +5 en Ingénierie généraliste, avec une spécialisation en gestion de projet / data analyste et vous avez les compétences suivantes :
Anglais : lu parlé écrit (INTERMEDIAIRE)
Français : NEGOCIATION
Une première expérience de gestion de projet
Un vif intérêt pour la production / l’industrie
Une maitrise des outils tels que Excel, ppt
Des compétences de base en développement informatique (data analyst, big data, ...) seront des atouts non négligeables. La pratique de l'anglais sera un atout supplémentaire dans la mesure où la mission nécessitera certainement une collaboration directe avec des projets transnationaux.
Savoir-être :
De nature rigoureux (se), curieux (se) et autonome
Doté (e) d’un sens relationnel et de la communication
Reconnu(e) pour vos qualités d’organisation et votre aptitude d’analyse et de synthèse
et pourvu(e) d’un esprit d’équipe, d’une facilité d’adaptation et d’intégration.
Vous pourrez, selon les offres proposées, être amené(e) à vous déplacer.
Si votre profil retient notre attention, vous serez invité à réaliser un entretien vidéo au cours duquel vous aurez quelques minutes pour nous convaincre. Par la suite, votre candidature pourra être proposée aux managers.
Si la perspective de rejoindre notre Groupe innovant vous motive ?
N’hésitez pas ! Postulez en ligne ! www.airbus.com/careers

This job requires an awareness of any potential compliance risks and a commitment to act with integrity, as the foundation for the Company’s success, reputation and sustainable growth.

By submitting your CV or application you are consenting to Airbus using and storing information about you for monitoring purposes relating to your application or future employment. This information will only be used by Airbus.
Airbus is committed to achieving workforce diversity and creating an inclusive working environment. We welcome all applications irrespective of social and cultural background, age, gender, disability, sexual orientation or religious belief."
9,https://www.indeed.fr/emplois?q=Data%20Analyst&l=Nantes&radius=100&limit=100&sort=date&vjk=f81d1a4b52366a74,"Data Analyst H/F
Anaya11 avis - Nantes (44)","['Nantes (44)', 'Temps plein, CDI']",Data Analyst H/F,Anaya,- Nantes (44),"Temps plein, CDI",null,"il y a 6 jours
Signaler cette offre d'emploi",Data Analyst,Nantes,"Bonjour,
Anaya est un cabinet de conseil crée en 2005 et spécialisé dans le domaine de la DATA. Il accompagne ses clients dans différents domaines d'activités (Banque, Assurance, Energies, Marketing,...).
Étant un un pionnier sur le marché de la DATA, nous nous positionnons comme un expert qui accompagne ses clients avec des consultants expérimentés sur toute la chaine décisionnelle :
- BI
- Data mining
- Big Data
- Statistiques
Nous sommes actuellement à la recherche d'un Data analyst confirmé (3 et 5 ans d'expérience).
Le candidat doit :
- Maitriser des environnements et les outils de développement décisionnel
- Maitriser des outils de CRM
- Technologies utilisées : Teradata, Oracle, Javascript, Otic, Adobe campaign, SAS, Cognos…
- Avoir travaillé dans environnement bancaire peut-être un vrai plus
Niveau de diplôme : Ingénieur
Années d'expériences : Entre 3 et 5 années
Localisation : Nantes
Type d'emploi : Temps plein, CDI
Expérience:
data analyst h/f ou similaire: 2 ans (Souhaité)"
