,id,meta1,meta2,titre_poste,entreprise,localisation,contrat,salaire,date_publication,keyword_metier,keyword_localisation,description
0,https://www.indeed.fr/emplois?q=Data%20Engineer&l=Nantes&radius=100&limit=100&sort=date&vjk=4669cc97416eecb3,"Software Build Engineer
SMART ADSERVER - Nantes (44)","['Nantes (44)', 'CDD']",Software Build Engineer,SMART ADSERVER,- Nantes (44),CDD,null,"il y a 19 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Data Engineer,Nantes,"About the team
Smart’s software engineers develop the next-generation technologies that empower our customers to reach their digital business goals. They grow in a demanding environment that values performance and high-availability: our platform manages over 1 million bid requests per second and our dataset is about 3 petabytes in Hadoop (more than 2TB additional data per day).
Our innovation team based in Paris, Nantes and Krakow is composed by 70 straightforward and energetic individuals working in an Agile environment and ready to tackle the most complex technical challenges.
Your mission
You will work closely with software engineers to ensure our build pipelines deliver our new features seamlessly. You will develop tools and implement automation to help improve the developer experience, the build reliability, stability, and performance. You will challenge existing processes to reinforce the quality of our products.
Engineer systems and tools to support both build and verification of our products
Continuous development practice
Self-hosted and cloud platforms
Diagnose and troubleshoot build framework problems
Enforce software development best practices
Identify, collaborate and implement process improvement opportunities
Setup and monitor R&D KPIs: Code quality, Bug trends, Software Factory health, ...
Detect impediments and advocate for their resolution (unreliable testing environments, … )
Assist and support developers in the use of the software factory
About you
Minimum Qualifications
Master degree in Computer Science or similar technical field of study
2+ years of configuration management and web application engineering
Prior experience with agile development methodologies
Interest in continuous integration and its tools (Teamcity, Jenkins, Azure DevOps ...)
Scripting and automation skills in one or more of PowerShell, Python, bash, or similar
Knowledge of SonarCloud, JIRA, package managers, ...
Programming experience in C# and/or JavaScript/Typescript, HTML5 and CSS3
Knowledge of cloud base Git hosting providers (Bitbucket, GitHub), branch management and merging
Must be self-driven and a team player with a solid work ethic
Extra awesome skills
Working proficiency and communication skills in verbal and written English
Passion for writing high quality and maintainable code
Personal projects with code sharing
Tech oriented, resourceful and curious
Why you should apply...
We are one! At Smart, we care for our people. We are certified Great Place To Work and are constantly improving our working environment. Meet the team: https://youtu.be/BxvmLDyXct0
Grow with us! You will work in a challenging and fast-paced profitable context with varied projects and get awesome opportunities to develop your skills and grow internally.
Leave your mark! Smart is a human-size company. Our employees thrive under autonomy and can easily have a strong impact on our business, customers and organization.
✈️ Live global! You will work across countries & cultures through career path or Backpackers Program, our interoffice exchange program to boost employees’ collaboration.
We are transparent! We speak with fact and data and have a true culture of feedback. We believe in an open world and show a strong sense of integrity both internally & externally."
1,https://www.indeed.fr/emplois?q=Data%20Engineer&l=Nantes&radius=100&limit=100&sort=date&vjk=6ad7077ebe028056,"Full Stack Software Engineer
SMART ADSERVER - Nantes (44)","['Nantes (44)', 'CDI']",Full Stack Software Engineer,SMART ADSERVER,- Nantes (44),CDI,null,"il y a 19 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Data Engineer,Nantes,"About the team
Smart’s software engineers develop the next-generation technologies that empower our customers to reach their digital business goals. They grow in a demanding environment that values performance and high-availability: our platform manages over 1 million bid requests per second and our dataset is about 3 petabytes in Hadoop (more than 2TB additional data per day).
Our innovation team based in Paris and Nantes is composed by 70 straightforward and energetic individuals working in an Agile environment and ready to tackle the most complex technical challenges.
Your mission
Work closely with Product Management to gather and translate requirements into technical solutions
Design, develop, deploy and maintain new customer facing experiences
Optimize web experience through driving tests sessions and setting-up automated tests
Develop several new backend capabilities including REST APIs and personalization support
Analyses users’ needs to design new prototypes
About you
Master degree in Computer Sciences or similar technical field of study
3+ years of web software development experience with ASP.Net, ASP.NET Core, REST Web APIs, C#, SQL and Front-End technologies (JavaScript, AngularJS/7, HTML5, CSS3, SASS, Gulp, NPM)
New technologies (Redis, RabbitMQ, Aerospike, Elasticsearch) and large-scale technical stakes
Entrepreneurial spirit and know-how to identify opportunities of improvement
Working proficiency and communication skills in verbal and written English
Passion for writing high quality and maintainable code following Software Craftsmanship or Continuous Delivery
Personal projects with code sharing
Why you should apply...
We are one! At Smart, we care for our people. We are certified Great Place To Work and are constantly improving our working environment. Meet the team: https://youtu.be/BxvmLDyXct0
Grow with us! You will work in a challenging and fast-paced profitable context with varied projects and get awesome opportunities to develop your skills and grow internally.
Leave your mark! Smart is a human-size company. Our employees thrive under autonomy and can easily have a strong impact on our business, customers and organization.
✈️ Live global! You will work across countries & cultures through career path or Backpackers Program, our interoffice exchange program to boost employees’ collaboration.
We are transparent! We speak with fact and data and have a true culture of feedback. We believe in an open world and show a strong sense of integrity both internally & externally."
2,https://www.indeed.fr/emplois?q=Data%20Engineer&l=Nantes&radius=100&limit=100&sort=date&vjk=9716adbe98e3ad17,"Ingénieur Microsoft BI H/F NANTES
Umanis35 avis - Saint-Herblain (44)",['Saint-Herblain (44)'],Ingénieur Microsoft BI H/F NANTES,Umanis,- Saint-Herblain (44),null,null,"il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",Data Engineer,Nantes,"THE FRENCH LEADER OF THE DATA RECRUITS.
Joining Umanis is to participate in a formidable adventure, that of a French company in continuous growth, recognized for its capacity for innovation and its dynamism.
Umanis is more than 2700 enthusiasts of new technologies who share the same values as excellence, responsibility, respect and conviviality.
Umanis, it is a community with an average age of 35 years that intervenes in advanced engineering on the strategic projects of the largest customers of order or on behalf of companies for whom data is transformation vector.
Umanis, it is a management and an organization closest to its collaborators to accompany you in your career. Training, certifications, MOOC, CPEC; We are committed to making you evolve continuously.
The engineering engineer is responsible for coordinating studies related to the development of new tools / products while respecting the specifications defined in the specifications.
YOUR MISSIONS:
Venez rejoindre notre communauté d’expert sur MSBI certifiés Microsoft sur des projets ambitieux qui vous feront gagner en compétences.
Afin de développer nos équipes, nous recherchons donc un :
Consultant Microsoft BI (H/F) NANTES .
Vous interviendrez en collaboration avec l'équipe de développeurs, sur les missions suivantes :
La rédaction des livrables projets ;
La définition des architectures applicative et technique ;
La participation et le suivi des développements sur Microsoft BI ;
La validation technique ;
Le suivi des évolutions et les améliorations,
La maintenance et le support.
De formation Bac+3/5 (Ecole d’ingénieurs ou Université) vous êtes spécialisé en informatique et vous justifiez d’au moins un an d’expérience en développement sur Microsoft BI (MSBI), Power BI
Vous maîtrisez la suite décisionnelle Microsoft BI (SSIS, SSAS et SSRS), les langages de requêtes MDX, SQL et T-SQL.
Les compétences suivantes : Cloud Azure, Data Factory seront appréciées :
Vous avez été amené à intervenir sur les phases de rédaction de spécifications, de modélisation de Datawarehouse et de développement de procédures stockées.
Votre capacité d’adaptation, votre sens du service, votre autonomie, vos qualités relationnelles seront des atouts certains pour votre développement dans notre société.
Aimant le travail en équipe et maitrisant la langue anglaise, vous vous décrivez volontiers comme quelqu’un de polyvalent, créatif et plein d’humour !
Pourquoi Umanis ?
Un suivi régulier et personnalisé par votre manager et votre référent RH.
Une écoute constante pour accompagner votre montée en compétences et vous proposer les projets les plus en phase avec vos attentes.
Des moments de partage : soirées d’agence et afterworks, rencontres sportives…
L’intégration d’une communauté DATA nationale active.
La possibilité, en fonction de vos aspirations, de devenir l’un des référents techniques de notre équipe.
Ceux qui, grâce à leur expertise, nous accompagnent dans le recrutement des futurs collaborateurs.
En 2019, Umanis recrute 1000 nouveaux talents sur l'ensemble du territoire français. Et si c'était vous?
REQUIRED COMPETENCIES:
Complex problem solving (Confirmed), Design of works, products or events (Confirmed), English (Intermediate), Product or event development (Confirmed), Project management (Confirmed), Putting into operation / Production and maintenance (Confirmed), Risk management (Confirmed), Software mastery (Confirmed), Technical Architecture SI (Advanced)
In 2018, Umanis recruited 900 new talents throughout the French territory. What if it was you?"
3,https://www.indeed.fr/emplois?q=Data%20Engineer&l=Nantes&radius=100&limit=100&sort=date&vjk=3e6ed6754959bf8c,"Data Engineer h/f
AdenSourcing - Rennes (35)","['Rennes (35)', 'CDI']",Data Engineer h/f,AdenSourcing,- Rennes (35),CDI,null,"Viadeo - il y a 4 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Data Engineer,Nantes,"Notre Direction des Systèmes d’Information, pense et construit actuellement le modèle informatique de demain en intégrant les enjeux numériques, de traitement des données, et surtout de cybersécurité. Dans le cadre de notre modernisation, notre DSI est engagée dans la démarche Big Data et a pour volonté la maitrise en interne de ce sujet majeur. C’est dans ce cadre que nous mettons aujourd’hui en place une équipe autour de notre système décisionnel et Big Data et créons le poste de
Data Engineer H/F
Poste en CDI, basé à Rennes (35)
Rattaché au service « Architecture et Développement Restitutions » et intégré au sein d’une équipe composée de 8 collaborateurs (3 architectes, 1 chef de projet et 4 développeurs), vous participez activement à la mise en place du projet de transformation de notre système décisionnel aidé par des technologies de pointe.
Au quotidien vos missions sont les suivantes :
Participer activement avec votre équipe à la transformation de notre système Décisionnel et à la mise en place opérationnelle des systèmes BI et Big data de l’institution, (notamment dans le choix des technologies à adopter)
Construire des solutions dans un environnement Big Data sur des technologies telles que Spark, R, Python, HDFS,
S’assurer de la collecte, du stockage et de l’exploitation fluide des données en développant des solutions qui peuvent traiter un gros volume de data dans un temps limité,
Participer à la réalisation de cas d’usage Big Data définis en collaboration avec les Data Scientists
S’imposer peu à peu en tant que référent sur ces technologies vis-à-vis de la population utilisatrice dans nos centres."
4,https://www.indeed.fr/emplois?q=Data%20Engineer&l=Nantes&radius=100&limit=100&sort=date&vjk=cbbf43ddae8abdab,"Data scientist (h/f) - Nantes
Maisons du Monde376 avis - Vertou (44)",['Vertou (44)'],Data scientist (h/f) - Nantes,Maisons du Monde,- Vertou (44),null,null,"il y a 5 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Data Engineer,Nantes,"Le programme data du groupe Maisons du Monde a presque deux ans déjà, et se compose d’une vingtaine de personnes (data scientists, data analysts, data engineers, web analysts). Poussée par une forte ambition, l’équipe data est amenée à accueillir plusieurs nouveaux profils dans les douze prochains mois. Les cas d’usages à développer vont du marketing digital (CRM, acquisition trafic, personnalisation/recommandation) à la supply chain, avec une activité R&D sanctuarisée. L’infrastructure data, développée dans l’équipe, est basée sur Google Cloud Platform. Les résultats sont là : nous sommes mis en avant par les équipes Google quant à l’usage de leurs outils cloud !
Dans une ambiance jeune et dynamique, où le travail d’équipe est mis en valeur, nous recherchons un(e) Data Scientist pour rejoindre cette belle aventure Maisons du Monde !
Vous participez activement à la vie de l’équipe : vous collaborez étroitement avec les Data Scientists et Data Engineers. Les missions seront variées (structuration de la chaîne Big Data, Dashboarding, Analyse Ad Hoc, R&D sur le Machine Learning) et demandent un niveau de rigueur certain.

MISSIONS
Vous êtes impliqué(e) dans l’engagement de l’équipe au quotidien et faites tout pour l’aider pour délivrer des fonctionnalités en continue ;
Vous travaillez en étroite relation avec notre Lead Data scientist pour aider à la création des algorithmes nécessaires pour les cas d’usages développés pour les équipes métier ;
Vous mettez en place les nouveaux flux d’entrée et de sortie au sein de la plateforme data, et irez jusqu’au modeling et à l’activation de la donnée ;
Vous assurez le delivery, et êtes constamment en veille sur les nouvelles technos.
VOTRE ENVIRONNEMENT TECHNIQUE
Google Cloud Platform ;
Big Query, SQL-like, Dataflow, Dataproc ;
Python ;
ML & DL, Tensorflow ;
Qlik Sense ;
Et tout autre outil que vous jugerez pertinent !

Poste basé à Vertou.

De formation supérieure en école d’ingénieur/université (niveau Bac+5 ou plus), vous possédez au minimum une première expérience professionnelle (stage/alternance acceptés) dans un programme data.

SAVOIR-FAIRE
Vous avez déjà appliqué les technologies Big Data en production sur de fortes volumétries de données. Vous maitrisez le développement en Python ;
Vous avez la capacité à maintenir la chaîne Big Data, de la récupération de la donnée jusqu’à son exploitation finale ;
Une bonne culture du web et du marketing digital est un plus (web analytics, DMP, CRM, SEO, SEA, etc.).
SAVOIR-ETRE
Vous avez l’esprit d’équipe et êtes impliqué(e) dans votre travail au quotidien ;
Vous êtes curieux (se), rigoureux (se), structuré(e) ;
Vous avez hâte de proposer des améliorations, les partager et les prioriser avec vos collègues ;
A l’externe, vous participez à des évènements de l’univers Big Data (meetups, conférence, etc.)."
5,https://www.indeed.fr/emplois?q=Data%20Engineer&l=Nantes&radius=100&limit=100&sort=date&vjk=2812f1ae6288d0ce,"Data Engineer / Freelance
Phaidon International (UK) Ltd - Nantes (44)","['Nantes (44)', 'Temps plein, Freelance / Indépendant']",Data Engineer / Freelance,Phaidon International (UK) Ltd,- Nantes (44),"Temps plein, Freelance / Indépendant",null,"Freelance-info - il y a 5 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Data Engineer,Nantes,"Les compétences clés comprennent :
Spark
Scala
HIVE
Mon client met en place son propre environnement et reçoit des données jour après jour. Votre mission est d’aider à protéger ces données, d’élaborer une matrice de données et de trouver des moyens de protéger cette matrice de données. Il s’agira également d’analyser les données actuelles."
6,https://www.indeed.fr/emplois?q=Data%20Engineer&l=Nantes&radius=100&limit=100&sort=date&vjk=42ac0d18e28e658c,"R&D engineer in high-performance computing and Big Data analytics - Damaris project
Inria46 avis - Rennes (35)",['Rennes (35)'],R&D engineer in high-performance computing and Big Data analytics - Damaris project,Inria,- Rennes (35),null,null,"il y a 5 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Data Engineer,Nantes,"Le descriptif de l’offre ci-dessous est en Anglais
Niveau de diplôme exigé : Thèse ou équivalent
Fonction : Ingénieur scientifique contractuel
A propos du centre ou de la direction fonctionnelle
Inria, the French national research institute for the digital sciences, promotes scientific excellence and technology transfer to maximise its impact.
It employs 2,400 people. Its 200 agile project teams, generally with academic partners, involve more than 3,000 scientists in meeting the challenges of computer science and mathematics, often at the interface of other disciplines.
Inria works with many companies and has assisted in the creation of over 160 startups.
It strives to meet the challenges of the digital transformation of science, society and the economy.
Contexte et atouts du poste
About Inria, the team and the position
Inria is the only French public research body fully dedicated to computational sciences. Inria's missions are to produce outstanding research in the computing and mathematical fields of digital sciences and to ensure its impact on the economy and society through technology transfer and innovation. Throughout its 8 research centres and its approximately 200 project teams, Inria has a workforce of 3 400 scientists with an annual budget of 265 million euros, 29% of which coming from its own resources. Inria Rennes Bretagne-Atlantique is one of the eight sites of Inria. This publicly funded research center has a workforce of about 620 people, including full-time research scientists, faculty staff, engineers and support staff, distributed in 33 teams and support services.
The hired engineer will be a member of the KerData Inria team (https://team.inria.fr/kerdata/) led by Gabriel Antoniu. KerData is a joint research team of Inria Rennes - Bretagne Atlantique, ENS Rennes and INSA Rennes, and also a team of the IRISA lab. KerData's main research activities address the area of distributed data management at challenging scales, with a particular focus on clouds and petascale HPC architectures. We address the needs of data-oriented high-performance applications that must handle massive non structured data. Developed by the KerData research team in collaboration with JLESC (Joint INRIA-ANL-UIUC-BSC Lab for Extreme Scale Computing: http://publish.illinois.edu/jointlab-esc/), Damaris is a middleware for managing I/O and in situ processing of Big Data on HPC infrastructures.
Mission confiée
Mission overview
By joining our team you will participate in a dynamic work environment with exceptionally talented and friendly coworkers who are committed to high-quality research and development practices. You will collaborate with esteemed researchers from around the world by taking the technical responsibility for the development of the Damaris software, with the following global missions:
(1) maintain Damaris a distributable, professional-quality software (technical support, documentation, management of the web site);
(2) contribute to the design of a unified, scalable data processing framework where Damaris will be enhanced with innovative functionalities including Big Data storage and analytics features based on the KerA approach developed by KerData, with the goal to favor the adoption of this framework by the HPC and Big Data community, in the context of the HPC-Big Data convergence; this activity will be performed in close collaboration with our collaborators from ZettaFlow (a project aiming a startup creation focusing on these aspects).
(3) contribute to dissemination actions by interacting with potential users and by promoting Damaris and the future derived software through demonstrations at major HPC and Big Data events, such as the Supercomputing or IEEE BigData conferences.
(4) explore and lead exploitation plans, including the possibility to create a start-up company, based on Damaris, KerA and the derived software.
Principales activités
Detailed missions
Improve and extend the Damaris code, perform robustness and performance tests, maintain a continuous code integration process;
Create a unified data processing framework combining Damaris (as in situ/in transit data processing framework) with Big Data analytics plugins to support batch-based or stream-based data processing (e.g., based on components from the Spark, Flink ecosystem); this task includes refactoring, testing and integration with the KerA technology developed by the KerData team for low-latency stream storage and processing;
Adapt Damaris to use recent advanced communication and multithreading technologies (Mercury, Argobots);
Develop and maintain software connectors allowing Damaris to be used by state-of-the-art visualization tools such as VisIt and ParaView;
Facilite the dissemination of Damaris and of the unified data processing framework through the following means:
Maintain a complete and up-to-date documentation (reference manual, user manual);
Write example codes to facilitate learning of the interface by new users;
Design and maintain a profesional-quality web site facilitating the distribution of the code and of its documentation;
Design and implementation of software demonstrators:
Make demos at forums such as the Supercomputing conference, main international forum of the HPC community, BDEC (https://www.exascale.org/bdec/), the European Big Data Value Forum and Teratec;
Create and animate a user community around the (maintain a mailing list, a mechanism for bug report and solving, user support, etc.).
Compétences
Required qualifications
Excellent, demonstrated programming skills in C, C++, Python;
Very good knowledge of hardware and software technologies in the area of HPC (including MPI, which is a must, and knowledge about networking protocols like Intel DPDK/Infiniband)) and Big Data;
Very good knowledge of methodologies for managing software projects;
Ability to analyze and synthesize user requirements;
Ability to communicate and work in collaboration with experts in the same area and in other areas, in English;
Autonomy in leading and performing the tasks;
Sense of partnership and team spirit;
Taste for transmitting and sharing knowledge, results, progress;
Facility to present the results in written and oral form.
Avantages
Subsidised catering service
Partially-reimbursed public transport
Rémunération
monthly gross salary from 2562 euros according to diploma and experience"
7,https://www.indeed.fr/emplois?q=Data%20Engineer&l=Nantes&radius=100&limit=100&sort=date&vjk=85d3b3e29770c18d,"QA Test Engineer
SMART ADSERVER - Nantes (44)","['Nantes (44)', 'CDI']",QA Test Engineer,SMART ADSERVER,- Nantes (44),CDI,null,"il y a 5 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Data Engineer,Nantes,"About the team
Smart’s software engineers develop the next-generation technologies that empower our customers to reach their digital business goals. They grow in a demanding environment that values performance and high-availability: our platform manages over 1 million bid requests per second and our dataset is about 3 petabytes in Hadoop (more than 2TB additional data per day).
Our innovation team based in Paris, Nantes and Krakow is composed by 70 straightforward and energetic individuals working in an Agile environment and ready to tackle the most complex technical challenges.
Your mission
QA Engineers work closely with software engineers to ensure the continuous integration of our new features.
Actively participate in agile meetings with product and DEV
Provide expertise in all aspects of Software Quality Assurance and automation projects (best practices)
Design and develop automation tests with the collaboration of the DEV and QA
Design and execute end to end test campaigns
Maintain the existing test automation framework
Execute a variety of tests that ensure the highest quality delivery
Participate in the improvement of the quality: process, tooling and methods
Guarantee the quality of our short cycle releases through advanced unit testing / code analysis
About you
Minimum Qualifications
Master degree in Computer Science or similar technical field of study
4+ years of web or mobile software quality experience and familiar with test automation
Prior experience in functional and technical (automation) testing
Good programming skills in JavaScript/Typescript, HTML5 and CSS3.
Passionate about QA. Previous QA experience is a big plus
Interest in continuous integration and tools (Teamcity, Jenkins, MSBuild, Gradle, etc)
Entrepreneurial spirit and know-how to identify opportunities of improvement
Working proficiency and communication skills in verbal and written English
Autonomous and well organized
Extra Awesome Skills
Working proficiency and communication skills in verbal and written English
Passion for writing high quality and maintainable code following Software Craftsmanship or Continuous Delivery
Personal projects with code sharing
Prior experience with agile development methodologies
Knowledge of tools such Bitbucket (GIT), Jira, Confluence, Selenium, Test Cafe, etc.
Experience writing test cases
Basic programming skills in any modern OO languages (JAVA, .NET, etc.)
Tech oriented, resourceful and curious
Why you should apply...
We are one! At Smart, we care for our people. We are certified Great Place To Work and are constantly improving our working environment. Meet the team: https://youtu.be/BxvmLDyXct0
Grow with us! You will work in a challenging and fast-paced profitable context with varied projects and get awesome opportunities to develop your skills and grow internally.
Leave your mark! Smart is a human-size company. Our employees thrive under autonomy and can easily have a strong impact on our business, customers and organization.
✈️ Live global! You will work across countries & cultures through career path or Backpackers Program, our interoffice exchange program to boost employees’ collaboration.
We are transparent! We speak with fact and data and have a true culture of feedback. We believe in an open world and show a strong sense of integrity both internally & externally."
8,https://www.indeed.fr/emplois?q=Data%20Engineer&l=Nantes&radius=100&limit=100&sort=date&vjk=82d8e8c0c2b9d533,"Data Engineer / Freelance
CS Group Solutions - Nantes (44)","['Nantes (44)', 'Temps plein, Freelance / Indépendant']",Data Engineer / Freelance,CS Group Solutions,- Nantes (44),"Temps plein, Freelance / Indépendant",null,"Freelance-info - il y a 6 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Data Engineer,Nantes,"Nous recherchons un consultant Data Engineer pour la mission suivante:

Mettre en uvre les traitements Big Data d’ingestion de données dans le datalake et d’alimentation de la base de données selon le modèle pré défini.
Créer le modèle de données dans la base de données Elastic.
Assurer la cohérence et la mise en qualité des données ingérées.
Respecter les normes de développement et documenter les travaux réalisés.
Réaliser les user stories demandées par le Product Owner.
Savoir échanger et questionner sur les fonctionnalités à développer lors des cérémonies agiles.
Travailler avec le data scientist.

Compétences
Développement confirmé en langage Python Spark + Git.
Une première expérience sur le cloud Azure : Databricks, Azure data factory.
Expérience sur la Stack Elastic ou une autre base de données orientée moteur de recherche.
Environnement de travail agile : Jira, Confluence.
Idéalement utilisation d’un outil de gouvernance de données.

Vanille LACOSTE
Ingénieur d’affaires

CS GROUP SOLUTIONS
Tel : 05 67 16 15 97
Mob : 06 87 38 86 76
vlacoste@groupcs.com"
9,https://www.indeed.fr/emplois?q=Data%20Engineer&l=Nantes&radius=100&limit=100&sort=date&vjk=de95585040f304ae,"SR PPE - Stage gestion de projet adhérence aux équilibrages (H/F)
Airbus1,455 avis - Saint-Nazaire (44)","['Saint-Nazaire (44)', 'Temps plein, Stage']",SR PPE - Stage gestion de projet adhérence aux équilibrages (H/F),Airbus,- Saint-Nazaire (44),"Temps plein, Stage",null,"il y a 6 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Data Engineer,Nantes,"Airbus Operations SAS
Airbus is a global leader in aeronautics, space and related services. In 2018 it generated revenues of € 64 billion and employed a workforce of around 134,000. Airbus offers the most comprehensive range of passenger airliners. Airbus is also a European leader providing tanker, combat, transport and mission aircraft, as well as one of the world's leading space companies. In helicopters, Airbus provides the most efficient civil and military rotorcraft solutions worldwide.

Our people work with passion and determination to make the world a more connected, safer and smarter place. Taking pride in our work, we draw on each other's expertise and experience to achieve excellence. Our diversity and teamwork culture propel us to accomplish the extraordinary - on the ground, in the sky and in space.
Job Description
N° JOB REQUISITION : 10004828
Ingénieur projet (h/f)
Descriptif du poste:
Et si VOTRE aventure commençait avec NOUS !
Dans le cadre d'un cursus scolaire en formation initiale, vous recherchez un stage obligatoire ou intégré dans une année de césure, d'une durée allant de 4 à 6 mois maximum, vous permettant de valider votre année.
Nous vous proposons de travailler dans une entreprise leader mondial dans son domaine, tournée vers le digital, à la pointe de la recherche et de l’innovation.
Une offre de stage en gestion de projet - Process Performance Engineer (h/f) vient de s'ouvrir au sein d’Airbus sur notre site de Montoir de Bretagne !
Ce stage est à pourvoir à partir du 02/01/2020 (date sujette à une certaine flexibilité)
Vous rejoindrez le département « Production System Efficiency » en charge de fournir les séquences opératoires d’assemblage des fuselages Airbus Commercial Aircraft.
Le stage aura pour objet la mesure et l’établissement d’un plan de surveillance sur l’utilisation de nos livrables Process Performances Engineer dans l’atelier.
Tâches et responsabilités :
Vous serez sous la responsabilité d’un manager qui vous aidera à identifier vos objectifs professionnels et vous soutiendra dans le développement de vos compétences.
L'objectif du stage consiste à comprendre les freins, établir un état des lieux, mesurer les écarts par rapport au standard et proposer un plan de rattrapage, intégrant entre autre l'élaboration d'indicateurs de suivi.
Dans ce contexte, vos principales activités seront les suivantes :
Effectuer une analyse en immersion au sein de la production :
Compréhension et état des lieux du suivi des équilibrages dans l’atelier
Mesure des écarts par rapport aux standards
Echanges réguliers avec la communauté PPE
Réaliser un plan de convergence incluant la définition et la mise en place d’indicateurs
Suivant l'avancement de la mission, il sera envisageable d'étendre l'étude à d'autres livrables de notre secteur d'activité vers les unités de production.
Profil recherché et Compétences requises:
Vous préparez un diplôme de niveau Bac +5 en Ingénierie généraliste, avec une spécialisation en gestion de projet / data analyste et vous avez les compétences suivantes :
Anglais : lu parlé écrit (INTERMEDIAIRE)
Français : NEGOCIATION
Une première expérience de gestion de projet
Un vif intérêt pour la production / l’industrie
Une maitrise des outils tels que Excel, ppt
Des compétences de base en développement informatique (data analyst, big data, ...) seront des atouts non négligeables. La pratique de l'anglais sera un atout supplémentaire dans la mesure où la mission nécessitera certainement une collaboration directe avec des projets transnationaux.
Savoir-être :
De nature rigoureux (se), curieux (se) et autonome
Doté (e) d’un sens relationnel et de la communication
Reconnu(e) pour vos qualités d’organisation et votre aptitude d’analyse et de synthèse
et pourvu(e) d’un esprit d’équipe, d’une facilité d’adaptation et d’intégration.
Vous pourrez, selon les offres proposées, être amené(e) à vous déplacer.
Si votre profil retient notre attention, vous serez invité à réaliser un entretien vidéo au cours duquel vous aurez quelques minutes pour nous convaincre. Par la suite, votre candidature pourra être proposée aux managers.
Si la perspective de rejoindre notre Groupe innovant vous motive ?
N’hésitez pas ! Postulez en ligne ! www.airbus.com/careers

This job requires an awareness of any potential compliance risks and a commitment to act with integrity, as the foundation for the Company’s success, reputation and sustainable growth.

By submitting your CV or application you are consenting to Airbus using and storing information about you for monitoring purposes relating to your application or future employment. This information will only be used by Airbus.
Airbus is committed to achieving workforce diversity and creating an inclusive working environment. We welcome all applications irrespective of social and cultural background, age, gender, disability, sexual orientation or religious belief."
