,id,meta1,meta2,titre_poste,entreprise,localisation,contrat,salaire,date_publication,keyword_metier,keyword_localisation,description
0,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20Java&l=Nantes&radius=100&limit=100&sort=date&advn=2715648309700515&vjk=4ca36b6074503555,"Développeur Java
FREELANCE VISION - Nantes (44)",['Nantes (44)'],Développeur Java,FREELANCE VISION,- Nantes (44),null,null,"carriere-info - il y a 3 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur Java,Nantes,"Nous recherchons pour l’un de nos clients sur Nantes, un développeur Java
Contrainte forte du projet Centre de services
Les livrables sont Codes sources produit
Documentation produit
Compétences techniques JAVA - Confirmé - Impératif
SQL Oracle - Confirmé - Serait un plus

Description détaillée Occuper un rôle de développeur au sein d’un CDS :
Développement JAVA
Bases de données SQL Oracle
Documentation
Test unitaire
Reporting d’activité
À la demande de la maîtrise d’oeuvre, et sur la base des spécifications fonctionnelles et techniques émises par celle-ci, le développeur code les composants logiciels applicatifs dans le respect des évolutions souhaitées, des normes et des procédures.

Nécessite un niveau d’expérience minimum de 2 à 5 ans"
1,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20Java&l=Nantes&radius=100&limit=100&sort=date&vjk=07857e44e3dc84bc,"DÉVELOPPEUR PRODUIT JAVA JUNIOR (F/H)
Randstad Search13,959 avis - Nantes (44)","['Nantes (44)', '28 000 € par an']",DÉVELOPPEUR PRODUIT JAVA JUNIOR (F/H),Randstad Search,- Nantes (44),28 000 € par an,28 000 € par an,"il y a 5 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur Java,Nantes,"Vous voulez intégrer une équipe dynamique? Alors venez rejoindre la team de notre client Sodius, PME en forte croissance spécialisée dans l'édition de solutions logicielles à destination de clients français et internationaux. Ils ont besoin de candidats comme vous, qui ont envie de travailler sur des sujets technologiques riches pour de grands comptes industriels, grands acteurs du marché dans le secteur de l'aéronautique, du spatial, de l'automobile et la défense.
description du poste
Venez challenger vos acquis en développement Java en intégrant un service R&D pour travailler autour des technologies d'ingénierie dirigées par les modèles d'interopérabilité ALM/PLM. Vous développerez en équipe des applications d'automatisation liées aux outils d'ingénierie.
Vos missions variées incluent la conception technique et fonctionnelle, le développement et la validation des applications avec les clients. Intervenant dans un contexte international, une pratique de l'anglais parlé est un plus.
profil recherché
Venez participer à l'aventure Sodius! Diplômé(e) en informatique (bac+2 ou 5), vous avez une première expérience en développement Java.
N'oubliez pas de venir avec votre bonne humeur et votre envie de vous challenger !
informations complémentaires
niveau d'études : BAC+2
salaire minimum : 28000 €
type de salaire : Annuel"
2,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20Java&l=Nantes&radius=100&limit=100&sort=date&vjk=75f3640f52b370e8,"Développeur Full Stack Java EE (H/F) - Nantes
APSIDE26 avis - Nantes (44)","['Nantes (44)', 'Temps plein, Freelance / Indépendant, CDI']",Développeur Full Stack Java EE (H/F) - Nantes,APSIDE,- Nantes (44),"Temps plein, Freelance / Indépendant, CDI",null,"il y a 5 heures
Signaler cette offre d'emploi",Développeur Java,Nantes,"Vous ?
L’architecture Web vous passionne ?
Le Front et le Back ont peu de secrets pour vous ?
Ouvert(e) d’esprit et curieux(se), vous aimez partager vos connaissances ?
Vous êtes à l’aise sur JAVA et possédez de bonnes bases en Angular ?
Et si vous parlez anglais et connaissez le domaine du e-commerce, alors …
Ce poste de Développeur Full Stack est fait pour vous !
Le poste :
Intégré(e) au sein d'une équipe Agile guidée par le mouvement DevOps, vous serez en charge de l'étude, du développement et de l'optimisation d’applications web et/ou métiers.
Vous maitrisez les architectures Web et la création d’API,
Le développement back vous motive tout comme les technologies Front (HTML, CSS…),
La performance applicative fait partie de vos priorités,
Vous effectuez une veille constante et êtes toujours prêt à partager les nouvelles « best practices » avec votre équipe.
L’environnement technique :
Langages : Java EE, Python, JavaScript (Node.js entre autres), Shell,
Environnements : Linux, git, Bitbucket,
Frameworks et outils : Spring, BackboneJS, Bootstrap, Jira…
Et aussi : Angular, ElasticSearch, RabbitMQ, Docker …
La connaissance et la pratique des méthodologies Agiles et SCRUM seront des atouts appréciés !
Les petits plus clients !
Équipe dynamique ;
Mobilité réduite ;
Groupe en pleine croissance
De bonnes raisons de rejoindre Apside ?
Alors qu’Apside ne cesse d'agrandir sa famille déjà forte de plus de 2800 consultants, nous sommes à la recherche des nouveaux talents du numérique !
Participez et animez nos soirées techniques (Project Lab, Test Lab…),
Devenez speaker (Devoxx, DevFest, NCraft…),
Rejoignez l’Apside Academy (Meet up Agiles, Coding goûters…),
Développez votre réseau (Soirées trimestrielles, Afterwork, Soirées d’intégration…),
Intégrez notre Communauté d’Experts et testez les dernières innovations techniques sur notre Bac à Sable,
Rejoignez Nantes : 1ère ville de France où il fait bon vivre et travailler (à 50 min de la mer !),
Apside est une entreprise au service du numérique depuis plus de 40 ans, mais surtout à votre service : ) Notre savoir-faire et notre savoir-être vous accompagnent au cœur de plusieurs métiers : l’ingénierie en systèmes d'information et informatique technique, scientifique, aéronautique, automobile et financière.
Vous souhaitez donner un nouvel élan à votre carrière ? Ne cherchez plus, faites partie des 900 collaborateurs qui rejoindront Apside en 2019 !
Suivez Apside sur les réseaux sociaux ! LinkedIn, Twitter, Facebook ou Viadeo @ApsideGroupe #Talentdetection #Numérique #Innovation
Type d'emploi : Temps plein, Freelance / Indépendant, CDI
Expérience:
développeur full stack java ee ou similaire: 1 an (Souhaité)"
3,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20Java&l=Nantes&radius=100&limit=100&sort=date&vjk=86623775de6a007f,"DÉVELOPPEUR BACK JAVA (H/F)
Fortil16 avis - Rennes (35)","['Rennes (35)', 'CDI']",DÉVELOPPEUR BACK JAVA (H/F),Fortil,- Rennes (35),CDI,null,"il y a 1 heure
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur Java,Nantes,"MISSIONS
Pour le compte d’un de nos clients, vous intégrer leur plateforme numérique en charge de la valorisation des contenus éditoriaux : articles, photos, vidéos, podcast, reportages, etc. En lien direct avec la maitrise d’ouvrage, vous aurez pour principales missions :
Architecture micro-services et développement en Java du service de requêtage
Evolutions et mise en œuvre de la base Client
Génération des flux de contenus aux formats spécifiés
KPI et tableaux de bords en première destination des supports pour améliorer la qualité de service rendu

OUTILS / LANGUES
La maîtrise de des compétences suivantes est indispensable :
L’agilité et le DevOps ne vous sont pas inconnus
Développement Java Spring, VertX
Développement Backend
Architectures en micro-services, développement d’API Rest
Json, RSS, XML
ElasticSearch
SQL
Batch

PROFIL RECHERCHÉ
Issu(e) d'une formation Bac+2 à Bac+5 en informatique, vous justifiez d’une expérience d’au moins 3 ans sur un poste similaire.

Autonome et rigoureux, vous disposez de bonnes compétences techniques en développement et êtes force de proposition. Dans un contexte agile, vous appréciez travailler en équipe dans un environnement dynamique."
4,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20Java&l=Nantes&radius=100&limit=100&sort=date&vjk=2410acfb2e38a2ef,"Ingénieur Développeur Web Angular H/F
EPSILON-ALCEN - Nantes (44)
A répondu à 75 % ou plus des candidatures sur les 30 derniers jours, généralement en 1 jour.","['Nantes (44)', 'CDI', '30 000 € - 50 000 € par an']",Ingénieur Développeur Web Angular H/F,EPSILON-ALCEN,- Nantes (44),CDI,30 000 € - 50 000 € par an,"il y a 1 heure
Signaler cette offre d'emploi",Développeur Java,Nantes,"A compétences égales, le poste est ouvert aux personnes en situation de handicap.
EPSILON est une société du groupe ALCEN qui répond à différents besoins de conception et d’optimisation de systèmes pour les grands secteurs industriels (énergie, aéronautique, spatial). EPSILON mène des études pour le perfectionnement des produits de ses clients ou pour ses propres technologies et s’engage sur des projets complexes de conception-réalisation avec le support et la puissance industrielle du groupe ALCEN.
EPSILON a fait le choix de l’expertise en cultivant certaines spécialités depuis de nombreuses années tout en ayant la performance opérationnelle d’un groupe industriel et de haute technologie comme ALCEN. Son positionnement à la fois « services » et « produits » est unique dans le domaine de l’ingénierie et permet à ses ingénieurs d’exprimer tous leurs talents.
La société est maintenant organisée en trois centres de compétences :
EPSILON PHYSICS : dédié à l’ingénierie physique,
EPSILON DIGITAL : dédié à l’informatique industrielle et scientifique,
EPSILON SYSTEM : dédié aux essais, à la conception et intégration
d’équipements spéciaux
Ainsi, pour développer notre offre de produits numériques sur l’agence de Nantes, EPSILON recherche des Développeurs Web pour renforcer nos équipes.
http://www.epsilon-alcen.com/fr
http://www.alcen.com/fr
www.linkedin.com/company/epsilon-ing-nierie/
MISSIONS :
Nous vous proposons de rejoindre notre équipe nantaise et d’intervenir sur des projets variés, au sein desquels vos fonctions principales seront:
Création et développement d’interfaces Web de manipulation et interaction avec des données scientifiques et/ou industrielles.
Réalisation des phases de tests (tests unitaires, tests automatiques)
Correction et amélioration du produit
Interaction avec les équipes scientifiques spécialisées
Accompagnement du groupe ALCEN dans la transformation digitale
PROFIL :
Vous êtes passionné(e) par les sciences et les nouvelles technologies et suivez de près les innovations du moment.
Vous êtes titulaire d’un BAC + 5 en informatique, mathématique ou physique.
Vous êtes autonome, proactif(ve) et rigoureux(se).
Expérience d’un an minimum en Angular
Compétences linguistiques : niveau avancé en Anglais technique.
Plus que des compétences et de l’expérience, nous attachons une grande importance à la personnalité et aux valeurs de nos collaborateurs.
CONNAISSANCES & COMPÉTENCES REQUISES :
Maîtriser plusieurs des langages suivants :
Angular 6 & 7
Javascript / Java
HTML
CSS
Outils : Gitlab
Les plus : Node JS, Agile
Type d'emploi : CDI
Salaire : 30 000,00€ à 50 000,00€ /an
Expérience:
Ingénieur développeur sous Angular: 1 an (Souhaité)"
5,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20Java&l=Nantes&radius=100&limit=100&sort=date&vjk=90fe8282938460b9,"INGÉNIEUR DÉVELOPPEUR PRODUIT JAVA/WEB CONFIRMÉ (F/H)
Randstad Search13,959 avis - Nantes (44)","['Nantes (44)', '38 000 € par an']",INGÉNIEUR DÉVELOPPEUR PRODUIT JAVA/WEB CONFIRMÉ (F/H),Randstad Search,- Nantes (44),38 000 € par an,38 000 € par an,"il y a 5 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur Java,Nantes,"Nous recherchons pour le compte de notre client, la société SODIUS située à proximité du centre-ville de Nantes, PME en forte croissance spécialisée dans l'édition de solutions logicielles à destination de clients français et internationaux, grands acteurs du marché dans le secteur de l'aéronautique, du spatial, de l'automobile et la défense, un Ingénieur développeur produit JAVA/WEB confirmé F/H.
description du poste
Rattaché(e) au Directeur R&D, vous intervenez sur des sujets technologiques riches pour des clients industriels grands comptes de la société.
Autour des technologies d'ingénierie dirigées par les modèles et d'interopérabilité ALM/PLM, vos principales missions sont la phase d'étude et de définition du cahier les charges, technique et fonctionnel, avec les clients ; l'automatisation des fonctions liées aux outils d'ingénierie ; le développement, principalement en Java ; la mise en œuvre des langages liés aux serveurs d'applications : HTML, JavaScript (Angular), Services REST, OSLC, XML/JSON, etc.
profil recherché
Issu(e) d'une formation en Informatique, vous justifiez d'une expérience de 1-2 ans sur Java. Vous avez déjà travaillé en mode projet. Rigoureux (se) et organisé(e), vous saurez vous adapter à un nouvel environnement technique et aux exigences des clients.
Vous maîtrisez un anglais professionnel, écrit et oral, pour évoluer dans un contexte international.
informations complémentaires
niveau d'études : BAC+5
salaire minimum : 38000 €
type de salaire : Annuel"
6,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20Java&l=Nantes&radius=100&limit=100&sort=date&vjk=0b037b0fc6c7227f,"DÉVELOPPEUR/ADMINISTRATEUR SYSTÈME & RÉSEAUX (F/H)
Randstad Search13,959 avis - Nantes (44)","['Nantes (44)', '35 000 € par an']",DÉVELOPPEUR/ADMINISTRATEUR SYSTÈME & RÉSEAUX (F/H),Randstad Search,- Nantes (44),35 000 € par an,35 000 € par an,"il y a 5 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur Java,Nantes,"Nous recherchons pour le compte de notre client, la société SODIUS située à proximité du centre-ville de Nantes, PME en forte croissance spécialisée dans l'édition de solutions logicielles à destination de clients français et internationaux, grands acteurs du marché dans le secteur de l'aéronautique, du spatial, de l'automobile et la défense, un Développeur/Administrateur Système & réseaux F/H.
description du poste
Poste avec une double compétence et mission, vous aurez en charge une responsabilité IT du site nantais tout en participant activement aux missions de l'équipe de développement.
Au sein d'une équipe de 25 développeurs, venez intégrer un service R&D pour travailler autour de solutions de collaboration et d'interopérabilité entre outils d'ingénierie (outils de modélisation, gestion d'exigences et du changement, plateformes ALM et PLM, etc…).
Dans cette équipe de développement, votre rôle consiste à 60%, au développement d'applications. Vous intervenez sur le développement de produits principalement en Java pour des clients variés. Vous travaillez en équipe en mode agile mais intervenez avec autonomie sur vos sujets. Vous participez également à la mise en place de solutions de validation et de tests automatisés (installation des outils sous VMWARE, web et desktop, chaine d'intégration continue).
La seconde partie de votre mission (40%) consiste à prendre la responsabilité de l'IT du site nantais pour assurer l'assistance aux utilisateurs, la gestion du parc informatique (30 postes/10 serveurs) et la gestion du système d'information (réseau local, cloud privé, VoIP, bureautique...); la sécurisation des opérations informatiques; le suivi et la gestion du budget IT en lien avec la direction technique et administrative. Vous aurez également en charge la gestion des outils SaaS (GSuite, JIRA, Bitbucket, etc…).
profil recherché
Diplômé(e) en informatique (bac+2 ou 5), vous avez une 1ère expérience sur les réseaux informatiques et l'exploitation des environnements de type Microsoft ou Linux (Serveur, PC, bases de données et virtualisation, VOIP) et vous souhaitez élargir votre horizon en vous impliquant dans une équipe de développeurs à taille humaine ? L'équipe Sodius est prête à vous intégrer et vous accompagner dans ce challenge.
La maîtrise de l'anglais est impérative car vous serez amené(e) à communiquer en anglais avec vos collègues allemands et US pour homogénéiser certaines des solutions IT.
Votre rigueur, votre autonomie à travailler sur des missions qui demandent réactivité et disponibilité et votre sens de la communication seront des atouts pour réussir sur ce poste.
informations complémentaires
niveau d'études : BAC+2
salaire minimum : 35000 €
type de salaire : Annuel"
7,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20Java&l=Nantes&radius=100&limit=100&sort=date&vjk=293c6a4efcde8540,"ADMINISTRATEUR SYSTÈME & RÉSEAUX LINUX(F/H)
Randstad Search13,959 avis - Angers (49)","['Angers (49)', '33 000 € par an']",ADMINISTRATEUR SYSTÈME & RÉSEAUX LINUX(F/H),Randstad Search,- Angers (49),33 000 € par an,33 000 € par an,"il y a 5 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur Java,Nantes,"Nous recherchons pour notre client, spécialiste de la cybersécurité un Administrateur systèmes et réseaux Linux F/H.
description du poste
Au sein d'une équipe de 10 personnes basée à Angers et directement sous la responsabilité du Directeur infrastructures techniques, vous rédigez des procédures pour le suivi des infrastructures, vous gérez l'analyse, la définition et la mise en place de projets, vous gérez le parc informatique et vous formalisez les procédures d'exploitation (configuration des PC, suivit des problèmes et demandes utilisateurs ex : ajout de compte email Thunderbird / activation/désactivation de java; aide aux développeurs, mise en place suivit de robots..; résolutions des problèmes software ou hardware; mise à jour des logiciels Linux et Windows et MAC OS; traitement des incidents de sécurité et de la génération de rapport; gestion de projet 'Migration Wheezy/ …; mise en place d'un système de déploiement automatique client-serveur; rédaction de procédures, de documents de projet et 27001; remonté des alertes et suivit des procédures; reporting par semaines complet; avoir le niveau requis pour la prise en charge des Astreintes.).
profil recherché
Vous devez être titulaire d'un Bac+2 et avoir au moins 2 années d'expérience.
Ce poste s'adresse à une personne ayant une expérience confirmée en tant qu'administrateur sous Linux.
Le/la candidat(e) f/h devra bénéficier de bonnes notions techniques et de véritables capacités rédactionnelles. Souple mais respectueux(-euse) des règles liées à la norme ISO, il/elle dispose d'un excellent sens relationnel et d'un bon esprit d'équipe.
informations complémentaires
niveau d'études : BAC+2
salaire minimum : 33000 €
type de salaire : Annuel"
8,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20Java&l=Nantes&radius=100&limit=100&sort=date&vjk=481e9a4fc05a63ba,null,[],Développeur Java JEE F/H,CTS Corporate,- Nantes (44),CDI,null,"Apec.fr - il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur Java,Nantes,"Dans le cadre du développement de nos activités informatiques en région OUEST, nous recherchons pour l'un de nos client un Développeur Java/J2EE (H/F).

Dans ce cadre, vos principales missions seront les suivantes :

Participation à la conception du programme
Développement front et back
Réalisation des phases de test afin de s'assurer de la fiabilité et de la qualité des applications
Maintenance applicative et corrective, support auprès des utilisateurs
Profil recherché Issu(e) d'une formation Bac +2 à Bac +5 à dominante informatique, vous disposez d'au moins une expérience significative sur de la programmation.

Environnement technologique :
Java JEE, JavaScript
Spring / Struts / Hibernate / Angular
Tomcat / Jboss
JUnit, Sonar
Un plus : Jira, SVN, Git, Jenkins, Docker, Cloud (AWS / Azure / Google)...

Doté(e) d'une bonne culture IT et drivé(e) par le défi technologique, vous êtes passionné(e) par l'innovation et les évolutions dans le domaine.

Localisation : Nantes et Rennes

Vos qualités relationnelles seront garantes de votre intégration dans les équipes. Vous êtes curieux(se), rigoureux(se) et motivé(e) et vous avez la volonté d'apprendre et partager sur des projets à forte valeur ajoutée

N'hésitez plus, rejoignez-nous !
Entreprise Issue sur un regroupement des Bureaux d'Etudes de PME industrielles, CTS intervient sur l'ensemble du cycle de vie des projets de ses partenaires et clients.

CTS s'appuie sur des équipes mobiles et structurées dotées de solides compétences en ingénierie mécanique électrique et électronique, process industriel, gestion de projet et systèmes d'informations. Forgé par son expérience au sein de grands programmes industriels, et à l'épreuve de la réactivité nécessaire des PME en ingénierie et production, le groupe est capable de répondre aux besoins de ses clients en solutions globales.

CTS a pour vocation de rassembler l'ensemble des compétences indispensables à la réalisation de programmes de grande envergure aussi bien sur le territoire français qu'à l'international.

Nous intervenons au travers de nos équipes auprès des grands donneurs d'ordres dans les domaines de l'Energie, l'Aéronautique, l'automobile, Informatique et Telecom sur des programmes variés."
9,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20Java&l=Nantes&radius=100&limit=100&sort=date&vjk=c6a2d4a51ed53562,"Développeur Mobile F/H
CTS Corporate295 avis - Nantes (44)","['Nantes (44)', 'CDI']",Développeur Mobile F/H,CTS Corporate,- Nantes (44),CDI,null,"Apec.fr - il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur Java,Nantes,"Dans le cadre du développement de nos activités informatiques en région OUEST, nous recherchons plusieurs Développeurs Mobile Android/IOS (H/F).

Intégré au sein d'un service piloté en mode agile, vous participez à la conception technique et fonctionnelle d'un projet métier sur mobile/tablette.

Vos principales missions seront les suivantes :
Participation à la conception & au développement de l'application.
Réalisation des phases de test afin de s'assurer de la fiabilité et de la qualité des applications.
Suivi du bon développement de l'application.
Profil recherché Issu d'une formation Bac +2 à Bac +5 à dominante informatique, vous disposez d'au moins une expérience significative sur de la programmation Mobile.

Environnement technologique :
Android
Java / Kotlin
Et / Ou :
Langage : Swift principalement et Objective-C
Connaissance des outils de versionning, suivi des tâches, intégration continue :
GIT
Jira
Jenkins
Un plus :
Xamarin
Cordova
Doté d'une bonne culture IT et drivé par le défi technologique, vous êtes passionné par l'innovation et les évolutions dans le domaine.

Localisation : Nantes ou Rennes

Vos qualités relationnelles seront garantes de votre intégration dans les équipes. Vous êtes curieux, rigoureux et motivé et vous avez la volonté d'apprendre et partager sur des projets à forte valeur ajoutée

N'hésitez plus, rejoignez-nous !
Entreprise Issue sur un regroupement des Bureaux d'Etudes de PME industrielles, CTS intervient sur l'ensemble du cycle de vie des projets de ses partenaires et clients.

CTS s'appuie sur des équipes mobiles et structurées dotées de solides compétences en ingénierie mécanique électrique et électronique, process industriel, gestion de projet et systèmes d'informations. Forgé par son expérience au sein de grands programmes industriels, et à l'épreuve de la réactivité nécessaire des PME en ingénierie et production, le groupe est capable de répondre aux besoins de ses clients en solutions globales.

CTS a pour vocation de rassembler l'ensemble des compétences indispensables à la réalisation de programmes de grande envergure aussi bien sur le territoire français qu'à l'international.

Nous intervenons au travers de nos équipes auprès des grands donneurs d'ordres dans les domaines de l'Energie, l'Aéronautique, l'automobile, Informatique et Telecom sur des programmes variés."
