,id,meta1,meta2,titre_poste,entreprise,localisation,contrat,salaire,date_publication,keyword_metier,keyword_localisation,description
0,https://www.indeed.fr/emplois?q=Developpeur%20web%20back%20end&l=Nantes&radius=100&limit=100&sort=date&vjk=22cbcab574415ac8,"DÉVELOPPEUR CONCEPTEUR BACK-END (F/H)
Randstad Search13,958 avis - Nantes (44)
27 000 € par an",[],DÉVELOPPEUR CONCEPTEUR BACK-END (F/H),Randstad Search,- Nantes (44),null,null,"il y a 4 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Developpeur web back end,Nantes,"Nous recherchons pour le compte de notre client, éditeur de logiciel dans le secteur de l'immobilier, un développeur concepteur back-end junior f/h. Au sein d'un groupe dynamique, vous intégrez une équipe soudée où règne la bonne ambiance.
description du poste
Au sein du pôle informatique constitué de 6 personnes et sous la responsabilité du chef de produit , vous devez comprendre et analyser les besoins pour y répondre par le développement d'une solution informatique adaptée. Vous concevez et maintenez des applications, flux et API : Conception des applications clients / applications serveur, conception des services web / APIs, maîtrise des outils de conception informatique et des outils tiers, entretien et enrichissement du savoir propre à l'entreprise (créer / mettre à jour une documentation / wiki, former collaborateurs), garantie de la mise à jour et détermination du temps de développement à prévoir.

Poste évolutif en débutant en tant que développeur Windev (POO) à 90% (possibilité d'être formé) et PHP/Symfony à 10% dans un premier temps, puis 50/50 à terme.

Statut : Agent de maîtrise

C'est un contrat 35h sur les horaires suivantes : 8h30-12h30/14h-17h.
profil recherché
Vous devez être titulaire d'un Bac+2 et avoir au moins 6 mois d'expérience (stage inclus). Vous devez connaître les concepts de programmation, maîtriser des langages de programmation et solutionner les problèmes (origine, correctif).
Vous êtes capable de vous auto-former, de répondre aux utilisateurs et vous maîtrisez l'anglais.
Sociable, pour réussir sur ce poste il faut faire preuve de rigueur, de sérénité et être force de proposition. Vous allez intégrer une équipe humble et attentive au groupe.
Apportez vos idées et votre touche personnelle, venez comme vous êtes et n'oubliez pas votre personnalité!
informations complémentaires
niveau d'études : BAC+2
salaire minimum : 27000 €
type de salaire : Annuel"
1,https://www.indeed.fr/emplois?q=Developpeur%20web%20back%20end&l=Nantes&radius=100&limit=100&sort=date&vjk=62a7e397ca99ac93,"Concepteur Développeur Java/ JEE (H/F)
Wemoov - Cholet (49)",[],Concepteur Développeur Java/ JEE (H/F),Wemoov,- Cholet (49),null,null,"il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Developpeur web back end,Nantes,"WEMOOV RECRUTE !

Wemoov est une Start Up dynamique créée par trois experts du domaine du numérique pour accompagner leurs clients dans l’évolution digitale en proposant des solutions personnalisées et innovantes.

Nous sommes spécialisés dans 2 domaines principaux :
Le service numérique: La réalisation de prestations informatiques systèmes et réseaux (support, administration, ingénierie et gestion de projet), ainsi que la réalisation de prestations en développement mobiles (IOS, Android) et web (Java, JEE, Javascript, PHP ...)
L'édition logicielle: Développement d'application mobile de solutions de montage et d’habillage automatisés de contenus vidéo et son intégration sur les différents supports
Cette offre de services a pour objectif la satisfaction de nos clients (nationaux ou internationaux) tout en respectant l’épanouissement et le bien-être de nos collaborateurs.

Au sein d’une équipe projet d’une vingtaine de personne, vous participez au développement et à la maintenance d’un ERP

Vous aurez pour missions :
Analyser de l’ERP existantDéveloppement en backend sur un logiciel de gestion de temps
Branchement des services pour les IHM
CRUD
Cryptage mot de passe
Développement front sur des JSP sur la partie intranet
Déclaration d’activité
Déclaration de temps de présence
TMA par gestion de ticket via TeamTrack et en relation direct avec le marketing et le service test

Profil :
De formation supérieure BAC+2/5
Vous êtes rigoureux, méthodique et doté d’un bon sens relationnel
Langages et Environnements Techniques :
Front-end: HTML, CSS, JAVASCRIPT
Back-end: JAVA 7
BDD: Firebird, SQLServer, Oracle
IDE: Eclipse
Votre profil correspond ? Vous êtes déterminé(e) et plein(e) d’ambitions ? Vous souhaitez rejoindre une entreprise à taille humaine avec une équipe dynamique, motivée et en pleine expansion ? N’hésitez plus rejoignez l’aventure Wemoov !"
2,https://www.indeed.fr/emplois?q=Developpeur%20web%20back%20end&l=Nantes&radius=100&limit=100&sort=date&vjk=08db46f9e90c2e83,null,[],null,null,null,null,null,"il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Developpeur web back end,Nantes,"Dans le cadre de notre renforcement, nous recrutons un(e) Lead Developper Java/J2EE & Cloud (H/F).
Au sein de l’un de nos domaines Métier et intégré à une communauté de développeurs, vous travaillez sur des projets de grande envergure pour l’enseigne et contribuez activement à l’évolution du socle technique de la DSI Maisons du Monde.

Au quotidien :
Vous réalisez les évolutions techniques et fonctionnelles en lien avec votre domaine métier
Vous faites respecter les normes et procédures de développement communes grâce aux outils en place
Vous participez à la conception technique des solutions en suivant les recommandations de la communauté d’architectes de la DSI
Vous capitalisez sur vos expériences et partagez avec les autres équipes métier du service
Formé(e) aux métiers de l’informatique, vous avez au moins 5 ans d’expérience dans le développement d’applications JAVA/J2EE.
Vous êtes familiarisé(e) avec les technologies JAVA, les web services REST et le framework Spring dans un environnement à dominante Unix.
Vous maitrisez les IDE habituels Eclipse ou IntelliJ et vous avez l’habitude de travailler avec GitLab, GitLab CI/CD, SonarQube, …
Vous vous sentez plutôt l’âme d’un développeur back end mais n'avez pas peur de vous frotter de temps en temps à des langages front comme REACT JS ou vice versa. Vous avez une appétence pour les architectures Cloud qui tournent autour de GCP (GKE, PupSub, DataFlow, …) ou mieux encore vous avez de l’expérience sur le sujet et surtout vous voulez prendre part à la transformation technique de notre SI.
Vous êtes motivé, impliqué(e) et vous aimez travailler en équipe.
Vous êtes réactif(ve), curieux et avez la capacité à passer d’un sujet à l’autre rapidement de manière autonome.
Vous voulez intégrer un service en plein mutation et avez le goût du challenge.
Même si vous n’avez pas l’âme d’un décorateur d’intérieur, on vous rassure, vous allez vite apprendre à avoir du Style, du Pep’s et du Fun à l’image de notre enseigne !"
3,https://www.indeed.fr/emplois?q=Developpeur%20web%20back%20end&l=Nantes&radius=100&limit=100&sort=date&vjk=bfcc81abeeac1c03,"Developpeur Java/J2EE - Nantes (H/F) - H/F
DAVEO - Nantes (44)
CDI",[],Developpeur Java/J2EE - Nantes (H/F) - H/F,DAVEO,- Nantes (44),null,null,"Viadeo - il y a 3 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Developpeur web back end,Nantes,"Dans le cadre d'un projet de transformation digitale, nous recherchons un Ingénieur Développement J2EE pour intégrer l'équipe innovation de notre client.
Les méthodes agiles seront de rigueur !
Vous prendrez en charge la responsabilité du développement des projets identifiés.
Le langage de développement est en JAVA 7, 8
Front-end : Spring MVC, jQuery, Angular.js
Back-end : Spring, Hibernate
Web services
Les + :
Curiosité
Appétence pour les objets connectés
Responsabilités :
Participer aux activités de développement
Participer aux choix à la mise en place des plateformes de développement
Rédaction de spécifications techniques
Tests
Etre force de proposition"
4,https://www.indeed.fr/emplois?q=Developpeur%20web%20back%20end&l=Nantes&radius=100&limit=100&sort=date&vjk=248c2ebb3b43a93a,"Ingénieur développement .Net / Éditeur de logiciel - H/F
Seyos4 avis - Nantes (44)
40 000 € - 50 000 € par an - Temps plein, CDI",[],Ingénieur développement .Net / Éditeur de logiciel - H/F,Seyos,- Nantes (44),null,null,"il y a 3 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Developpeur web back end,Nantes,"Seyos est un cabinet de recrutement spécialisé dans les métiers de l'IT. Nous proposons aux candidats des opportunités professionnelles uniquement au sein de clients finaux : éditeurs de logiciels, startups, DSI.

Notre client est un éditeur de logiciels RH qui compte plus de 1 500 clients et 250 000 utilisateurs. Leur métier : automatiser les process administratifs et RH des PME et ETI : gestion des congés, notes de frais, suivi des temps et activités...

Ce qui les différencie : chaque logiciel dispose de sa propre identité et répond à une problématique spécifique. Il fonctionne de manière autonome et s'intègre parfaitement aux autres solutions.

Leur devise : un logiciel de gestion n'est pas nécessairement gris, moche et triste.

Nantes
Stack technique : Angular 7 / .Net Core et 4.7 / C# / Entity Framework / SQL server 2017
Rémunération : 40 000 - 50 000 Euros (selon votre expérience)

Vous serez intégré à l'équipe en charge de la solution de notes de frais, composée de 4 développeurs, 1 lead développeur et 2 PO. Vous serez responsable du développement et de l'évolution du back-end, tant pour le développement de nouvelles fonctionnalités que pour le refactoring de l'existant : passage de .Net framework à .Net core, avec un recentrage sur le métier (approche DDD).

L'environnement fonctionnel et technique est stimulant. Les notes de frais paraissent de prime abord rébarbatives, mais elles offrent de multiples challenges : contexte métier très riche, embarquement de modèles d'intelligence artificielle, connecteurs pour agréger des transactions bancaires ou des sites marchands, intégration avec une néo banque, etc.

Si on parle de vous :
Vous êtes issu(e) d'une formation Bac+5 (Master ou Ecole d'ingénieurs) en informatique,
Vous avez 4-5 ans ou plus d'expérience dans le développement d'applications web et une expertise forte en .Net,
Vous appréciez la critique constructive et cherchez toujours à challenger vos idées et celles des autres,
Vous cherchez un poste qui vous permettra d'acquérir un large spectre de connaissances et avez envie de relever de nombreux défis techniques,
Vous voulez apprendre ou améliorer vos méthodes de travail (Intégration continue, revue de code, Pull Requests, rédaction de documentation collaborative, Clean Code, TDD, etc.)
Les + :
La possibilité de faire (parfois) du télétravail,
Un séminaire annuel de travail intensif dans une eau à 27°C,
Du temps libre pour aller à des conférences, meetups, etc...
Si ce poste vous intéresse, transmettez votre candidature à Marion Herbert et on en discute ;-)"
5,https://www.indeed.fr/emplois?q=Developpeur%20web%20back%20end&l=Nantes&radius=100&limit=100&sort=date&vjk=6804c7817950331d,null,[],null,null,null,null,null,"il y a 5 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Developpeur web back end,Nantes,"Dans le cadre de notre renforcement, nous recrutons un(e) Développeur Java/J2EE (H/F).
Au sein de l’un de nos domaines Métier et intégré à une communauté de développeurs, vous travaillez sur des projets de grande envergure pour l’enseigne et contribuez activement à l’évolution du socle technique de la DSI Maisons du Monde.

Au quotidien :
Vous réalisez les évolutions techniques et fonctionnelles en lien avec votre domaine métier
Vous développez en suivant les orientations techniques de la communauté d’architectes de la DSI
Vous respectez les règles de développement communes grâce aux outils en place
Vous testez et documentez votre code pour en faciliter la maintenance corrective et applicative par une équipe tierce
Formé(e) aux métiers de l’informatique, vous avez fait vos armes pendant 2 ou 3 ans dans le développement d’applications JAVA/J2EE.
Vous êtes familiarisé(e) avec les technologies JAVA, les web services REST et le framework Spring dans un environnement à dominante Unix.
Vous maîtrisez les IDE habituels Eclipse ou IntelliJ et vous avez déjà côtoyé des outils comme Maven, GitLab, SonarQube, …
Vous vous sentez plutôt l’âme d’un développeur back end mais n'avez pas peur de vous frotter de temps en temps à des langages front comme REACT ou vice versa. Vous avez une appétence pour les architectures Cloud qui tournent autour de GCP (GKE, PupSub, DataFlow, …) et surtout vous voulez prendre part à la transformation technique de notre SI.
Vous êtes motivé(e), impliqué(e) et vous aimez travailler en équipe.
Vous êtes réactif(ve), curieux(se) et avez la capacité à passer d’un sujet à l’autre rapidement de manière autonome.
Vous voulez intégrer un service en pleine mutation et avez le goût du challenge.
Même si vous n’avez pas l’âme d’un décorateur d’intérieur, on vous rassure, vous allez vite apprendre à avoir du Style, du Pep’s et du Fun à l’image de notre enseigne !"
6,https://www.indeed.fr/emplois?q=Developpeur%20web%20back%20end&l=Nantes&radius=100&limit=100&sort=date&vjk=20bee8357f897e1b,null,[],null,null,null,null,null,null,Developpeur web back end,Nantes,null
7,https://www.indeed.fr/emplois?q=Developpeur%20web%20back%20end&l=Nantes&radius=100&limit=100&sort=date&vjk=56cd8bc3e4188c79,"DEVELOPPEUR FRONT-END – EXPERIMENTE F/H
RCA REALISATIONS POUR LA COMPTABILITE ETL AUDIT - Saint-Herblain (44)
CDI",[],DEVELOPPEUR FRONT-END – EXPERIMENTE F/H,RCA REALISATIONS POUR LA COMPTABILITE ETL AUDIT,- Saint-Herblain (44),null,null,"Apec.fr - il y a 12 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Developpeur web back end,Nantes,"Nous recherchons un

Développeur Front-End

(H/F) pour évoluer au sein de notre équipe R&D.

Tu auras pour mission de spécifier, architecturer, implémenter, tester, livrer, monitorer. En bref,

tu seras en charge de concevoir et développer le produit sur des techno innovantes

.

L’autonomie est une qualité importante, mais nous favorisons aussi le travail en équipe, l’échange, la diffusion du savoir et des bonnes pratiques.

Le partage est au cœur de notre ADN.

Intégré·e dans de petites équipes travaillant en méthodes Agile chacune dédiée à une application spécifique du portail et interconnectées par des cellules transverses, chacun est amené à réfléchir et à contribuer à l’amélioration et l’innovation du portail et de son socle technique.

Selon ton profil, ton expérience et ton appétence, tu pourras également accompagner la montée en compétence des membres débutants de l’équipe.

Profil recherché Profil recherché :
Notre socle Front-End n’a pas de secret pour toi

Maîtrise du langage

Javascript (ES 6)

Maîtrise d’une ou plusieurs technos :
Angular.JS, React.JS, Vue.JS

Tu as minimum

4 ans

d’expérience dans

le développement informatique orienté Front End

Pragmatique, tu produis un

code de qualité, robuste, testé, simple, scalable, et performant

Constructif

, bon

communiquant

, tu aimes les échanges simples et

bienveillants

Tu apprécies la

critique constructive

et cherches toujours à

challenger

tes idées et celles des autres.

La veille fait partie de ton quotidien

Tu apprécies de pouvoir

challenger tes méthodes de travail

(Intégration Continue, rédaction de documentation collaborative, Clean Code, TDD, etc.).

Tu ne

conçois pas le push sans code Review

Les plus :
Tu as déjà fait tes armes avec une solution SaaS

L’intégration complète d’une page HTML5/CSS3, tu maîtrises !

Idéalement, tu as une sensibilité pour le

développement d’interfaces et l’ergonomie

Tu ne supportes pas les pages Web se chargeant en plus d’une seconde

Le Java ne t’effraie pas

Notre socle :
Front-end : Javascript, AngularJS/Angular, ES6, Sass, Npm/Yarn, JSLint, Webpack, HTML5/CSS3

Back-end

: Java/JEE, Spring (Core, MVC, Boot, Data, Security, Batch), Hibernate, PostgreSQL, LogBack, Maven, JUnit, API REST…

DevOps/Tools

: Jenkins, Sonar, Git, GitLab, Nexus3, IntelliJ, GitKraken, Gatling, JIRA, Kubernetes, Docker
Entreprise RCA est un éditeur de logiciels Nantais qui propose une plateforme digitale en mode SaaS aux experts-comptables. En pleine croissance, nous développons une plateforme collaborative à fort trafic à destination des TPE. Tournés vers l’évolution des développements, nous intégrons les dernières versions des framework récents. DevOps, IT et équipe de développement travaillent en commun dans une organisation agile.

Notre société connaît une forte croissance depuis plus de 10 ans (chiffre d’affaires actuel de 13.5 M€). L’effectif est passé de 3 personnes en 2007 à près de 120 collaborateurs aujourd’hui. Un plan de recrutement de 30 personnes est prévu pour les 24 prochains mois.

RCA est une entreprise certifiée Best Workplaces et détient la 14ème place du Palmarès National 2018 des entreprises où il fait bon travailler."
8,https://www.indeed.fr/emplois?q=Developpeur%20web%20back%20end&l=Nantes&radius=100&limit=100&sort=date&vjk=c8dab1db399a9108,null,[],DEVELOPPEUR BACK-END JAVA/EE - EXPERIMENTE·E F/H,RCA REALISATIONS POUR LA COMPTABILITE ETL AUDIT,- Saint-Herblain (44),null,null,"Apec.fr - il y a 12 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Developpeur web back end,Nantes,"Nous recherchons plusieurs

Développeurs Back-end confirmé·e

(F/H) pour évoluer au sein de notre équipe R&D.

Tu auras pour mission de

spécifier

,

architecturer

,

implémenter

,

tester

,

livrer

,

monitorer

. En bref, Tu seras

en charge de concevoir et développer le produit

.

Tu seras amené·e à faire des

PoCs sur des technologies prometteuses

.

L’autonomie est une qualité importante, mais nous favorisons aussi le travail en équipe, l’échange, la diffusion du savoir et des bonnes pratiques.

Le partage est au cœur de notre ADN.

Chacun au sein de son équipe Agile contribue à l’amélioration et l’innovation de la plateforme ainsi que son socle technique

. En lien permanent avec le Lead Developer et le Proxy Product Owner tu contribues à la réalisation des features.

–

– – Notre socle – – –

Back-end : Java/JEE, Spring (Core, MVC, Boot, Data, Security, Batch), Hibernate, PostgreSQL, LogBack, Maven, JUnit, API REST…

Front-end

: Javascript, AngularJS/Angular, ES6, Sass, Npm/Yarn, JSLint, Webpack, HTML5/CSS3

DevOps/Tools

: Jenkins, Sonar, Git, GitLab, Nexus3, IntelliJ, GitKraken, Gatling, JIRA, Kubernetes, Docker
Profil recherché – – –

Profil recherché

– – –

Notre socle Back-end n’a pas de secret pour toi

Tu as minimum 5 ans d’expérience dans le développement d’applications web et une expertise forte en JAVA

.

Pragmatique, tu produis un c

ode de qualité, testé, simple, scalable, et performant

Constructif

, bon

communiquant

, tu aimes les échanges simples et

bienveillants

Tu apprécies la

critique constructive

et cherches toujours à

challenger

tes idées et celles des autres.

Tu apprécies de pouvoir

challenger tes méthodes de travail

(Intégration Continue, rédaction de documentation collaborative, Clean Code, TDD, etc.).

Tu ne

conçois pas le push sans code Review

– – –

Tes +

– – –

Tu as déjà fait tes armes avec une solution SaaS

Le DevOps ce n’est pas que pour les autres

Tu ne supportes pas les pages Web se chargeant en plus d’une seconde !

La veille fait partie de ton quotidien
Entreprise RCA est un éditeur de logiciels Nantais qui propose une plateforme digitale en mode SaaS aux experts-comptables. En pleine croissance, nous développons une plateforme collaborative à fort trafic à destination des TPE. Tournés vers l’évolution des développements, nous intégrons les dernières versions des framework récents. DevOps, IT et équipe de développement travaillent en commun dans une organisation agile.

Notre société connaît une forte croissance depuis plus de 10 ans (chiffre d’affaires actuel de 13.5 M€). L’effectif est passé de 3 personnes en 2007 à près de 120 collaborateurs aujourd’hui. Un plan de recrutement de 30 personnes est prévu pour les 24 prochains mois.

RCA est une entreprise certifiée Best Workplaces et détient la 14ème place du Palmarès National 2018 des entreprises où il fait bon travailler."
9,https://www.indeed.fr/emplois?q=Developpeur%20web%20back%20end&l=Nantes&radius=100&limit=100&sort=date&vjk=ae90e8f22187ad46,"Développeur Angular Web / Mobile Senior / Freelance
TRSB28 avis - Nantes (44)
999 € par semaine - Temps plein, Freelance / Indépendant",[],Développeur Angular Web / Mobile Senior / Freelance,TRSB,- Nantes (44),null,null,"Freelance-info - il y a 7 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Developpeur web back end,Nantes,"Bonjour,

Je recherche dans le cadre d’une mission en régie chez mon Client secteur e-commerce, un Développeur Angular Web / Mobile niveau senior.
La mission est basée à Nantes (44). Le démarrage est ASAP pour une durée de 12 mois minimum.

Objectifs de la mission
Maintenance évolutive et corrective sur des applications web Angular / Ionic avec en Back End JAVA-JEE et mobile (Codengo / Maia+)

Niveau de compétences requis pour assurer la qualité de la mission

(Maitrise + Expérience avérée)
Ionic
JAVA 8, Spring, MyBatis appéciés
JUnit, Maven, Eclipse, Fastlane, Android Studio
Compétences fonctionnelles
Expérience significative sur des projets en autonomie requise
Anglais professionnel
Esprit d’équipe
Si la mission vous intéresse, merci de m’envoyer par mail : Disponibilités, CV avec votre TJM.

Au plaisir de vous lire.

Bien cordialement / Best regards

Junior UPELELE Responsable d’Agence Paris & Rouen
DIGIWIN Groupe TRSb
Mob : 06 46 17 22 48
Tél : 01 76 21 42 15
Mail : junior.upelele@trsb.net
60 avenue Hoche - 75008 Paris

www.digiwin.fr

http://linkedin.com/in/junior-upelele-9897b84a"
