,id,meta1,meta2,titre_poste,entreprise,localisation,contrat,salaire,date_publication,keyword_metier,keyword_localisation,description
0,https://www.indeed.fr/emplois?q=Developpeur%20Web%20full%20stack&l=Nantes&radius=100&limit=100&sort=date&vjk=75f3640f52b370e8,"Développeur Full Stack Java EE (H/F) - Nantes
APSIDE26 avis - Nantes (44)
Temps plein, Freelance / Indépendant, CDI",[],Développeur Full Stack Java EE (H/F) - Nantes,APSIDE,- Nantes (44),null,null,"il y a 2 heures
Signaler cette offre d'emploi",Developpeur Web full stack,Nantes,"Vous ?
L’architecture Web vous passionne ?
Le Front et le Back ont peu de secrets pour vous ?
Ouvert(e) d’esprit et curieux(se), vous aimez partager vos connaissances ?
Vous êtes à l’aise sur JAVA et possédez de bonnes bases en Angular ?
Et si vous parlez anglais et connaissez le domaine du e-commerce, alors …
Le poste :
Intégré(e) au sein d'une équipe Agile guidée par le mouvement DevOps, vous serez en charge de l'étude, du développement et de l'optimisation d’applications web et/ou métiers.
Vous maitrisez les architectures Web et la création d’API,
Le développement back vous motive tout comme les technologies Front (HTML, CSS…),
La performance applicative fait partie de vos priorités,
Vous effectuez une veille constante et êtes toujours prêt à partager les nouvelles « best practices » avec votre équipe.
L’environnement technique :
Langages : Java EE, Python, JavaScript (Node.js entre autres), Shell,
Environnements : Linux, git, Bitbucket,
Frameworks et outils : Spring, BackboneJS, Bootstrap, Jira…
Et aussi : Angular, ElasticSearch, RabbitMQ, Docker …
La connaissance et la pratique des méthodologies Agiles et SCRUM seront des atouts appréciés !
Les petits plus clients !
Équipe dynamique ;
Mobilité réduite ;
Groupe en pleine croissance
De bonnes raisons de rejoindre Apside ?
Alors qu’Apside ne cesse d'agrandir sa famille déjà forte de plus de 2800 consultants, nous sommes à la recherche des nouveaux talents du numérique !
Participez et animez nos soirées techniques (Project Lab, Test Lab…),
Devenez speaker (Devoxx, DevFest, NCraft…),
Rejoignez l’Apside Academy (Meet up Agiles, Coding goûters…),
Développez votre réseau (Soirées trimestrielles, Afterwork, Soirées d’intégration…),
Intégrez notre Communauté d’Experts et testez les dernières innovations techniques sur notre Bac à Sable,
Rejoignez Nantes : 1ère ville de France où il fait bon vivre et travailler (à 50 min de la mer !),
Apside est une entreprise au service du numérique depuis plus de 40 ans, mais surtout à votre service : ) Notre savoir-faire et notre savoir-être vous accompagnent au cœur de plusieurs métiers : l’ingénierie en systèmes d'information et informatique technique, scientifique, aéronautique, automobile et financière.
Vous souhaitez donner un nouvel élan à votre carrière ? Ne cherchez plus, faites partie des 900 collaborateurs qui rejoindront Apside en 2019 !
Suivez Apside sur les réseaux sociaux ! LinkedIn, Twitter, Facebook ou Viadeo @ApsideGroupe #Talentdetection #Numérique #Innovation
Type d'emploi : Temps plein, Freelance / Indépendant, CDI
Expérience:
développeur full stack java ee ou similaire: 1 an (Souhaité)"
1,https://www.indeed.fr/emplois?q=Developpeur%20Web%20full%20stack&l=Nantes&radius=100&limit=100&sort=date&vjk=47c05d941fe6c89a,"Editeur logiciel - Full Stack Développeur expérimenté F/H
welinkit2 avis - Nantes (44)
33 000 € par an - CDI",[],Editeur logiciel - Full Stack Développeur expérimenté F/H,welinkit,- Nantes (44),null,null,"il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",Developpeur Web full stack,Nantes,"Missions
Notre client est un éditeur de logiciels innovants dédiés au secteur de la restauration. La société a été créée il y a un peu plus de 6 ans, elle compte aujourd’hui une soixantaine de collaborateurs répartis entre Paris, Nantes et La Roche-sur-Yon (85). Notre client a finalisé début mai 2018 sa 3ème levée de fonds et ses perspectives de développement sont excellentes, notamment à l’international. Plus de 4.000 restaurateurs utilisent ses logiciels pour gérer quotidiennement leurs recettes, les commandes fournisseurs, les réceptions, les stocks, la production, les équipements, la mesure du gaspillage alimentaire, …
Notre client recrute un développeur Full Stack expérimenté afin de renforcer son équipe de développement basée à Nantes. Il/elle aura pour principales missions de :
Développer de nouvelles fonctionnalités
Dérouler les tests et valider les développements
Gérer la maintenance corrective et évolutive de l’application
Participer à la roadmap technique et être force de proposition sur tous les sujets
Vous intégrerez l'équipe de développeurs et vous serez en relation étroite au quotidien avec le manager et les product owner. Vous serez également amené à être en contact occasionnellement avec les correspondants clients.


Profil recherché
A partir de 2 années d'expérience en développement web sur les technologies SQL/Postgre SQL, HTML/CSS, JavaScript et Framework Vue.JS
Sens de l'entraide, du travail en équipe et du partage des connaissances
Goût prononcé pour l’innovation et la veille technologique"
2,https://www.indeed.fr/emplois?q=Developpeur%20Web%20full%20stack&l=Nantes&radius=100&limit=100&sort=date&vjk=e41f16124deac9a8,"Ingénieur Développeur Full Stack expérimenté F/H
welinkit2 avis - La Roche-sur-Yon (85)
33 000 € par an - CDI",[],Ingénieur Développeur Full Stack expérimenté F/H,welinkit,- La Roche-sur-Yon (85),null,null,"il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",Developpeur Web full stack,Nantes,"Missions
Notre client est un éditeur de logiciels innovants dédiés au secteur de la restauration. La société a été créée il y a un peu plus de 6 ans, elle compte aujourd’hui une soixantaine de collaborateurs répartis entre Paris, Nantes et La Roche-sur-Yon (85). Notre client a finalisé début mai 2018 sa 3ème levée de fonds et ses perspectives de développement sont excellentes, notamment à l’international. Plus de 4.000 restaurateurs utilisent ses logiciels pour gérer quotidiennement leurs recettes, les commandes fournisseurs, les réceptions, les stocks, la production, les équipements, la mesure du gaspillage alimentaire, …
Notre client recrute un développeur Full Stack expérimenté afin de renforcer son équipe de développement basée à Nantes. Il/elle aura pour principales missions de :
Dérouler les tests et valider les développements
Gérer la maintenance corrective et évolutive de l’application
Participer à la roadmap technique et être force de proposition sur tous les sujets
Vous intégrerez l'équipe de développeurs et vous serez en relation étroite au quotidien avec le manager et les product owner. Vous serez également amené à être en contact occasionnellement avec les correspondants clients.


Profil recherché
A partir de 2 années d'expérience en développement web sur les technologies SQL/Postgre SQL, HTML/CSS, JavaScript et Framework Vue.JS
Sens de l'entraide, du travail en équipe et du partage des connaissances
Goût prononcé pour l’innovation et la veille technologique"
3,https://www.indeed.fr/emplois?q=Developpeur%20Web%20full%20stack&l=Nantes&radius=100&limit=100&sort=date&vjk=115648853073e313,"Pôle R&D Editeur Logiciel - Ingénieur de développement F/H
welinkit2 avis - La Roche-sur-Yon (85)
35 000 € par an - CDI",[],Pôle R&D Editeur Logiciel - Ingénieur de développement F/H,welinkit,- La Roche-sur-Yon (85),null,null,"il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",Developpeur Web full stack,Nantes,"Missions
Notre client est un éditeur de logiciels innovants dédiés au secteur de la restauration. La société a été créée il y a un peu plus de 6 ans, elle compte aujourd’hui une soixantaine de collaborateurs répartis entre Paris, Nantes et La Roche-sur-Yon (85). Notre client a finalisé début mai 2018 sa 3ème levée de fonds et ses perspectives de développement sont excellentes, notamment à l’international. Plus de 4.000 restaurateurs utilisent ses logiciels pour gérer quotidiennement leurs recettes, les commandes fournisseurs, les réceptions, les stocks, la production, les équipements, la mesure du gaspillage alimentaire, …
Notre client recrute un(e) Développeur afin de renforcer ses équipes techniques. Il/elle aura pour mission de mener des projets de Recherche et Développement en autonomie. Les projets :
Développement de plusieurs frameworks, librairies et micro-services NodeJS (front et back)
Evolutions, support et communication de Carbone.io (full stack)
DevOps, Continuous Integration, automatisation (Ansible, OpenStack, Gitlab, ...)
Evolution & support de notre propre outil de Business Intelligence Interactif

Vous évoluerez au sein de l’équipe Développeurs, et particulièrement au sein de la Squad R&D.


Profil recherché
De formation Ingénieur possédant 3 années d'expérience minimum en développement
Maîtrise des technologies SQL/Postgre SQL, HTML/CSS, JavaScript, Frameworks : Vue.JS et Node.js
Passionné par la R&D, en quête de nouveaux projets avec la volonté de participer au développement d’une application web très innovante
Rigueur et sens de l’innovation
Goût pour le travail en équipe"
4,https://www.indeed.fr/emplois?q=Developpeur%20Web%20full%20stack&l=Nantes&radius=100&limit=100&sort=date&vjk=757069c85febb014,null,[],Développeur Alfresco F/H,CTS Corporate,- Nantes (44),null,null,"Apec.fr - il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",Developpeur Web full stack,Nantes,"Dans le cadre du développement de nos activités informatiques en région OUEST, nous recherchons pour l'un de nos clients un Développeur Alfresco.

Intégré au sein d'une équipe projets, vous participez à l'exploitation et au développement d'applications de gestion électronique des documents (GED).

Dans ce cadre, vos principales missions seront les suivantes :

Rédaction de spécifications fonctionnelles et techniques
Analyse et correction d'incidents de production et d'évolutifs
Développement spécifique sur Alfresco
Développement Web FullStack
Reporting vers le Chef de Projet
Profil recherché Issu(e) d'une formation Bac +2 à Bac +5 à dominante informatique, vous disposez d'au moins une expérience significative dans le domaine.

Compétences requises :
Conaissance de la solution Alfresco GED Opensource
Maîtrise du développement full stack (Java, Angular)
Connaissance du framework front Alfresco ADF
Expériences en BPM et en GED
Doté(e) d'une bonne culture IT et drivé(e) par le défi technologique, vous êtes passionné(e) par l'innovation et les évolutions dans le domaine.

Localisation : Nantes

Vos qualités relationnelles seront garantes de votre intégration dans les équipes. Vous êtes curieux(se), rigoureux(se) et motivé(e) et vous avez la volonté d'apprendre et partager sur des projets à forte valeur ajoutée

Rejoignez-nous !
Entreprise Issue sur un regroupement des Bureaux d'Etudes de PME industrielles, CTS intervient sur l'ensemble du cycle de vie des projets de ses partenaires et clients.

CTS s'appuie sur des équipes mobiles et structurées dotées de solides compétences en ingénierie mécanique électrique et électronique, process industriel, gestion de projet et systèmes d'informations. Forgé par son expérience au sein de grands programmes industriels, et à l'épreuve de la réactivité nécessaire des PME en ingénierie et production, le groupe est capable de répondre aux besoins de ses clients en solutions globales.

CTS a pour vocation de rassembler l'ensemble des compétences indispensables à la réalisation de programmes de grande envergure aussi bien sur le territoire français qu'à l'international.

Nous intervenons au travers de nos équipes auprès des grands donneurs d'ordres dans les domaines de l'Energie, l'Aéronautique, l'automobile, Informatique et Telecom sur des programmes variés."
5,https://www.indeed.fr/emplois?q=Developpeur%20Web%20full%20stack&l=Nantes&radius=100&limit=100&sort=date&vjk=596e7df10cc8d2b3,"LEAD DÉVELOPPEUSE/DÉVELOPPEUR FULL STACK F/H
INSIDE NANTES - Nantes (44)
CDI",[],LEAD DÉVELOPPEUSE/DÉVELOPPEUR FULL STACK F/H,INSIDE NANTES,- Nantes (44),null,null,"Apec.fr - il y a 3 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Developpeur Web full stack,Nantes,"MISSIONS

Effectuer le support, l’accompagnement et la formation technique de l’équipe
Favoriser et participer à l’amélioration des pratiques de développements
Participer aux développements
Etre garant de la qualité de la réalisation
Environnement Technique :
Unix, Debian, Apache 2, MySQL 5.5, Symfony 2.8, Doctrine, RabbitMQ, Redis, Wowza Engine, HTML 5 + jQuery, CSS 3 + Bootstrap 3, Flash, Action Script 3, WebRTC, Wowza Media Server, Cordoba / PhoneGap

Nous utilisons également les outils suivants :
Gettext, Git, Atlassian Bitbucket, Atlassian JI
Profil recherché Tu disposes d’une expérience en développement Web sur une stack LAMP avec différents framework MVC. Tu as une première expérience de Lead (recrutement et accompagnement de développeurs plus juniors).

En tant que futur Insider tu es passionné par ton métier, tu mènes une veille régulière et est force de proposition tout en étant pragmatique. Ta rigueur et ton exigence technique sont reconnus par tous.

La bonne humeur et l’initiative sont des critères importants pour devenir notre prochain Insider !

Si ce challenge t’intéresse, n’hésites plus et rejoins l’aventure Inside !
Entreprise L’agence novatrice INSIDE Nantes, spécialisée dans la transformation numérique recherche son futur talent !

Au coeur de l'ancienne cantine numérique de Nantes soit en plein coeur du quartier digital de la Madeleine, nous recherchons un/une LEAD DÉVELOPPEUSE/DÉVELOPPEUR FULL STACK"
6,https://www.indeed.fr/emplois?q=Developpeur%20Web%20full%20stack&l=Nantes&radius=100&limit=100&sort=date&vjk=2b4b866026101e16,"Developpeur web full stack - wordpress + prestashop + php - js - sql - html
Ae2 Agence Web - Nantes (44)
CDD",[],Developpeur web full stack - wordpress + prestashop + php - js - sql - html,Ae2 Agence Web,- Nantes (44),null,null,Signaler cette offre d'emploi,Developpeur Web full stack,Nantes,"Nous recherchons un développeur web Full stack - wordpress + prestashop + PHP - JS - SQL - CSS - html pour un poste à promouvoir de suite sur Nantes
Type de contrat
Durée déterminée (CDD)
Poste à pourvoir à une date précise : Nantes
Lieu : Nantes Pays de la Loire
Compétences souhaitées
html
css
php
cms
wordpress"
7,https://www.indeed.fr/emplois?q=Developpeur%20Web%20full%20stack&l=Nantes&radius=100&limit=100&sort=date&vjk=a3fa57382b690954,null,[],Developpeur Java/J2EE - Nantes (H/F) - H/F,DAVEO,- Nantes (44),null,null,"ChooseYourBoss - il y a 4 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Developpeur Web full stack,Nantes,"Hibernate / Spring / Angular / Java / Agile
Développeur Frontend, Backend Developer, Frontend Developer, Full Stack Developer / CDI / Environ 40k€ / 3 - 6 ans / Nantes

Le poste
Dans le cadre d'un projet de transformation digitale, nous recherchons un Ingénieur Développement J2EE pour intégrer l'équipe innovation de notre client. Les méthodes agiles seront de rigueur ! Vous prendrez en charge la responsabilité du développement des projets identifiés. Le langage de développement est en JAVA 7, 8 - Front-end : Spring MVC, jQuery, Angular.js - Back-end : Spring, Hibernate - Web services Les + : - Curiosité - Appétence pour les objets connectés - L'innovation...
Participer aux activités de développement
Participer aux choix à la mise en place des plateformes de développement
Rédaction de spécifications techniques
Tests
Etre force de proposition
Pourquoi venir chez nous?
Vous envisagez d'évoluer au sein d'une structure en pleine expansion, dynamique et innovante? L'important pour nous est de déceler votre passion, votre envie d'élargir vos compétences et de les faire partager. Vous possédez le goût du challenge technique, de l’optimisation de vos développements, vous souhaitez gagner en expertise technique, alors rejoignez DAVEO! Une société de conseil qui sait faire la différence grâce à son expérience collaborateur ! #feedback #bienveillance"
8,https://www.indeed.fr/emplois?q=Developpeur%20Web%20full%20stack&l=Nantes&radius=100&limit=100&sort=date&vjk=498a7a687cf29c28,"Développeur logiciel ERP FullStack H/F
DIFFERENCE INFORMATIQUE, société du GROUPE ADINFO - La Roche-sur-Yon (85)
Temps plein, CDI",[],Développeur logiciel ERP FullStack H/F,"DIFFERENCE INFORMATIQUE, société du GROUPE ADINFO",- La Roche-sur-Yon (85),null,null,"il y a 4 jours
Signaler cette offre d'emploi",Developpeur Web full stack,Nantes,"TA BOITE
Le Groupe ADINFO, c’est juste le leader régional dans le domaine de l’édition et de l’intégration de solutions informatiques. On imagine au quotidien les solutions de demain pour faciliter la gestion au sein des entreprises (logiciels, ERP, réseau, web, spécifiques). Depuis 30 ans, plus de 3500 clients nous font confiance pour les accompagner dans ce domaine.
Et Parce que ça marche bien, on recherche pour une de nos sociétés, DIFFÉRENCE INFORMATIQUE, un développeur logiciel / ERP (H/F) sur notre site de la Roche sur yon.
TON JOB
Ta mission, si tu l’acceptes, avec l’accompagnement du responsable, c’est :
→ Développer sur Divalto et/ou Odoo
→ Développer des applications web (En mode Full Stack)
Ta rémunération sera évaluée en fonction de tes compétences.
TON ENVIRONNEMENT DE DEV.
Savoir sur quoi tu vas bosser, c’est important pour toi ! Voilà quelques indications :
SQL / Python / JavaScript / Xml
Tu ne les connais pas tous ? Pas de problème ! On t’apprendra.
TON PROFIL
→ Tu sais écouter / analyser … et tu comprends vite !
→ Dans l’idéal, tu parles déjà plusieurs langues (de dev, bien sûr)
Si en plus tu es méthodique, organisé(e) et rigoureux(se), et que tu aimes bosser en team working, tu vas te plaire chez nous !
Ta curiosité envers les développements sur-mesure fera de toi, à terme, un expert en la matière. Dernière chose : tu comprends l’anglais, because you need it to success.
Envie d’un nouveau challenge ? Rejoins-nous !
EN +++, RIEN QUE POUR TOI
Tes collègues sont sympa, la mer est à 30 min, Nantes à 40 min. Bref… tu es proche de tout, et loin de rien !
Il ne te reste qu’une chose à faire : postuler de toute urgence !
Type d'emploi : Temps plein, CDI
Expérience:
développeur logiciel erp fullstack h/f ou similaire: 1 an (Souhaité)"
9,https://www.indeed.fr/emplois?q=Developpeur%20Web%20full%20stack&l=Nantes&radius=100&limit=100&sort=date&vjk=5616192c56509db9,"Developpeur Full Stack (H/F)
Kookline - Nantes (44)
Temps plein, CDI",[],Developpeur Full Stack (H/F),Kookline,- Nantes (44),null,null,"il y a 5 jours
Signaler cette offre d'emploi",Developpeur Web full stack,Nantes,"LoadingRecruitment ...
Qui sommes-nous ?
KOOKline fait référence au Capitaine Cook qui a découvert la Nouvelle-Zélande et qui a notamment donné son nom à la plus haute montagne du territoire : Le Mont Cook aussi appelé Aoraki.
KOOKline, c’est le lien mais aussi la traversée pour accompagner nos clients vers le monde du digital, leur faire découvrir de nouvelles contrées. C’est les aider à gravir des montagnes pour arriver au sommet ! Ce sont les mêmes valeurs qui ont permis à James Cook de découvrir de nouveaux territoires : de l’ambition, un travail d’équipe mais aussi beaucoup de curiosité !
Depuis 2006, KOOKline a su se faire une véritable place sur le marché nantais du digital. De la PME aux grands groupes, l’agence a aujourd’hui le plus grand plaisir d’accompagner ses clients vers les sommets !
Pourquoi rejoindre l'aventure KOOKline ?
En tant que futur membre de notre équipage de développeurs, tu interviendras au sein d'une escouade composée de personnes complémentaires mais surtout très soudées. Nous comptons dans nos rangs des développeurs front et back, mais aussi des intégrateurs, des UX/UI designers et des webmarketers.
Avec à ta tête un responsable technique qui aura pour but de t'amener ""jusqu'au bout du monde"", tu participeras à la création de sites vitrines, sites e-commerces et applications web. Sur ton chemin, tu croiseras différents types de clients.
Ta quête principale sera d'intervenir dans la réalisation de projets PrestaShop, Symfony, WordPress, VueJS.
Ta quête secondaire sera de participer aux réunions de suivi de projets, de participer aux évolutions techniques, d'être en contact avec nos clients.
En plus, tu auras la chance d'avoir à ta disposition des fruits frais, des cours de pilate, des tickets resto et surtout une bonne ambiance !
Ton bagage technologique :
PHP
JS
Saas et Less
NPM, GULP et Webpack
Git
Ce dont tu auras besoin pour voyager :
Une certaine autonomie sera nécessaire pour évoluer dans la jungle du web
Nous aurons besoin de ta force ... de proposition pour apprivoiser les lignes de codes
Le plus ? Des connaissances en infra-web / Apache (on ne parle pas de la tribu indienne)
Comment prendre part à l'expédition ?
Le recrutement chez KOOKline se déroule en 2 étapes :
Un premier test technique dans nos locaux (30min environ)
S'en suit un entretien physique (30min environ)
Tu penses pouvoir embarquer avec nous ? Alors contacte-nous en lançant ta bouteille à la mer !
init() || exit()
Type d'emploi : Temps plein, CDI
Expérience:
developpeur full stack (h/f) ou similaire: 2 ans (Souhaité)"
10,https://www.indeed.fr/emplois?q=Developpeur%20Web%20full%20stack&l=Nantes&radius=100&limit=100&sort=date&vjk=0e23b6019fdb646e,null,[],null,null,null,null,null,null,Developpeur Web full stack,Nantes,null
11,https://www.indeed.fr/emplois?q=Developpeur%20Web%20full%20stack&l=Nantes&radius=100&limit=100&sort=date&vjk=20bee8357f897e1b,"Ingénieur Front / Angular F/H
Avisto Telecom - Rennes (35)
CDI",[],Ingénieur Front / Angular F/H,Avisto Telecom,- Rennes (35),null,null,"Apec.fr - il y a 5 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Developpeur Web full stack,Nantes,"Dans le cadre du développement d’une application d'affichage cartographique, le centre AVISTO Rennes, recrute un(e) ingénieur web Front-end Angular.

Au sein d’une équipe de développeurs vos missions seront les suivantes :

Spécifier et développer une application développée sous Angular, sur la base d'une librairie Javascript

Gestion des tests unitaires et de non-régression

Être au cœur des échanges avec les différents services

Travailler en environnement Agile (Scrum)

Ce projet étant multi-site, l'environnement de travail est collaboratif et connecté (Slackware...)

Ce poste est évolutif vers du back et du full-stack.
Profil recherché De formation ingéniaur ou équivalement, vous êtes passionné des technologies Web et souhaitez développer vos compétences sur des projets variés, au sein d'une structure à taille humaine

compétence requise: Javascript, HTML/CSS, Angular
compétence appréciée: GIS, Geolayers, Java / Spring boot
L'Anglais est indispensable pour ce poste.
Entreprise AViSTO est une société d'ingénierie logicielle fondée et managée par des ingénieurs. Elle se spécialise dans la réalisation de projets complexes mettant en œuvre des technologies Objet, Web et Mobile.

Entreprise innovante, éditrice du framework de supervision de réseaux NemSiS, AViSTO poursuit ses propres activités de R&D tout en proposant une offre de services complète.

Vous souhaitez intégrer une entreprise dynamique, en forte croissance, où nous pourrons développer ensemble votre carrière ?

C'est le moment de rejoindre AViSTO !"
