,id,meta1,meta2,titre_poste,entreprise,localisation,contrat,salaire,date_publication,keyword_metier,keyword_localisation,description
0,https://www.indeed.fr/emplois?q=Developpeur%20Python&l=Nantes&radius=100&limit=100&sort=date&advn=4190676325902957&vjk=95679dcef14a01da,"Data Engineer - H/F
CNAF3 avis - Rennes (35)","['Rennes (35)', 'CDI', '35 € par heure']",Data Engineer - H/F,CNAF,- Rennes (35),CDI,35 € par heure,"ChooseYourBoss - il y a 9 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Developpeur Python,Nantes,"Javascript / Scala / R / Python / Hadoop / Innovation / Analytics / Architecture logicielle / Gestion de projet
Big Data Developer, Data Analyst, Data Engineer / CDI / Environ 35k€ / 0 - 2 ans / Rennes

Le poste
Notre Direction des Systèmes d’Information, pense et construit actuellement le modèle informatique de demain en intégrant les enjeux numériques, de traitement des données, et surtout de cybersécurité. Dans le cadre de notre modernisation, notre DSI est engagée dans la démarche Big Data et a pour volonté la maitrise en interne de ce sujet majeur. C’est dans ce cadre que nous mettons aujourd’hui en place une équipe autour de notre système décisionnel et Big Data et créons le poste de Data Engineer, Poste en CDI, basé à Rennes (35). Rattaché au service « Architecture et Développement Restitutions » et intégré au sein d’une équipe composée de 8 collaborateurs (3 architectes, 1 chef de projet et 4 développeurs), vous participez activement à la mise en place du projet de transformation de notre système décisionnel aidé par des technologies de pointe.
Les responsabilités
Participer à la transformation de notre système décisionnel et à la mise en place opérationnelle des systèmes BI et Big Data
Construire des solutions dans un environnement Big Data sur des technologies telles que Spark, R, Python, HDFS
S'assurer de la collecte, du stockage et de l'exploitation fluide des données
Participer à la réalisation de cas d'usage Big Data
S'imposer en tant que référent sur ces technologies
Pourquoi venir chez nous?
Si : - Vous avez l’envie de travailler au sein d’une équipe hyper mobilisée et hyper motivée par un projet porteur - Vous avez à cœur de vous investir dans une structure offrant de vraies perspectives d’évolution vers un poste de Chef de Projet ou Architecte Applicatif - Vous souhaitez évoluer dans un environnement utilisant des technologies de pointe - Vous êtes sensible à un cadre de travail mixant horaires flexibles et télétravail - Vous êtes attiré par la dynamique de la ville de Rennes (ville étudiante, festive et traditionnelle à la fois, ville d’art et d’histoire, bassin d’emploi dynamique, classement en tête dans les Palmarès des villes de France où il fait bon vivre) - Sans oublier que vous avez la possibilité de faire une mobilité au sein d’une structure de plus de 150 000 collaborateurs. Alors ce poste semble fait pour vous, Poste en CDI basé à Rennes - Rémunération selon profil + 5 semaines CP et 4 semaines de RTT + Horaires flexibles + Télétravail + Comité d’entreprise."
1,https://www.indeed.fr/emplois?q=Developpeur%20Python&l=Nantes&radius=100&limit=100&sort=date&vjk=d3484e12c5f763ac,"Développeur Python F/H
OXXEO CONSULTING - Rennes (35)","['Rennes (35)', 'CDI']",Développeur Python F/H,OXXEO CONSULTING,- Rennes (35),CDI,null,"Apec.fr - il y a 10 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Developpeur Python,Nantes,"Nous recherchons un Développeur Python F/H passionné par l’expertise et l’agilité, pour rejoindre un projet innovant. Vous aurez à votre charge la conception et le développement d’applications.

Vous êtes curieux et aimez le challenge technique. Au sein d’une équipe projet, vous apportez votre expertise et savoir-faire sur les technologies de développement Python.
Profil recherché De formation supérieure Bac +4/5 (écoles d'ingénieurs et/ou parcours universitaires) vous disposez d'une première expérience (minimum 2 ans) qui vous a permis d'intervenir sur une ou plusieurs des technologies suivantes :

Développement Back-end Python, expériences en développement d’application Django, Flask sont un plus

Conception et mise en place de WebServices (REST, SOAP, ...)

Connaissances SQL, NoSQL (Elasticsearch, MongoDB, PostgreSQL, ...)

GIT, SVN

Outils d’intégration continue : Jenkins, Sonar, Maven, Docker, …

Méthodologie agile (Scrum, TDD/BDD, Software Craftsmanship, …)

Une expérience en front-end est un plus : HTML, CSS, JavaScript et frameworks type Angular, React, Vue, ...
Entreprise Oxxeo est une entreprise de services du numérique nouvelle génération, spécialisée dans le conseil et l’ingénierie digitale. Notre modèle est basé sur des valeurs fortes, où l'humain est au cœur de la société : passion, esprit d’équipe, transparence, épanouissement & convivialité."
2,https://www.indeed.fr/emplois?q=Developpeur%20Python&l=Nantes&radius=100&limit=100&sort=date&vjk=b8e7bee31066dd9d,"Développeur informatique H/F
BREIDIC - Nantes (44)","['Nantes (44)', 'CDI', '35 000 € par an']",Développeur informatique H/F,BREIDIC,- Nantes (44),CDI,35 000 € par an,"il y a 23 heures
Signaler cette offre d'emploi",Developpeur Python,Nantes,"Description du poste
BREIDIC, filiale agile et indépendante au service d’un grand groupe bancaire et de toute organisation cherchant à implémenter des solutions innovantes et efficientes, intervient depuis plus de 10 ans, sur le marché de la digitalisation.
BREIDIC a su rapidement s’imposer en tant que Pôle d’excellence dans les domaines de l’Ingénierie Documentaire, de la Dématérialisation, de la LAD-RAD, et du développement et la mise en œuvre de services numériques de gestion associés ou intégrant ces divers domaines.
L’offre de services BREIDIC, organisée autour du domaine de la digitalisation, intègre une expertise globale du flux documentaire et la capacité d’intervenir en AMOA, MOE, développement, intégration, déploiement et formation.
Doté d’une culture forte de co-création et de collaboration, BREIDIC s’attache à développer, avec ses clients, des solutions au plus près de leurs besoins, et les accompagne pour une adhésion réussie des équipes métier et utilisateurs clients.
Notre forte croissance nécessite des outils web et applicatifs de plus en plus importants et pour cela, nous souhaitons renforcer notre équipe de développement et nous recherchons :
Un/Une Développeur (se) d’application innovante et digitale
Nous vous proposons de rejoindre une jeune équipe dynamique de développeurs sur notre tout nouveau site nantais, cadre de travail moderne et idéal pour nos équipes de développement informatique et numérique.
Après une formation sur nos métiers et nos techniques de développement, dans le respect des normes et de la sécurité, vous serez en charge de concevoir et de personnaliser des solutions pour nos clients dans le domaine de la digitalisation de processus métier.
Vos missions consisteront à :
Développer : Vous développez les nouveaux sites ou applications du groupe. Vous intervenez sur les parties Back / Front / Déploiement suivant vos compétences. Vous travaillez sur de nouveaux projets, des nouvelles fonctionnalités, des corrections et évolutions. Vous rédigez les spécifications (cahier des charges) et documentations techniques et pilotez un projet en lien avec un public spécialisé dans les métiers de la Banque.
Concevoir : En lien quotidien avec l’équipe technique, vous participez à la conception et à l’optimisation fonctionnelle de nos solutions actuelles et futures. Vous écrivez et proposez des spécifications techniques ainsi que des améliorations techniques et de développements sur nos solutions.
Tester, analyser et maintenir : Vous participerez à la mise en production des différentes versions, prenez en charge la maintenance applicative sur les solutions existantes et analyser/corriger les anomalies sur les applications existantes et en cours de développement.
Environnement technique apprécié pour le poste :
Langage Web / PHP
Langage Développement POO, C++, C#.
JAVA/J2EE
PYTHON
SGBD : MySQL
Votre profil _ : _
Bac +2 à Bac +5 dans une formation Web ou technique.
Vous avez acquis des compétences en développement, les avez mises en pratique dans différents projets de développement web ou applicatif.
Vous avez cette capacité à mener plusieurs projets et vous faites preuve d'excellentes qualités relationnelles. Vous êtes une personne autonome appréciant travailler en équipe.
Vous possédez un esprit logique et des capacités d’analyse.
La gestion de problèmes complexes vous stimule et vous appréciez la diversité des missions de développement.
Vous avez envie d’entreprendre de vous investir dans des projets innovants.
Informations sur le poste :
CDI, temps plein.
Expérience en développement, 2ans minimum.
Rémunération : 30à 35 Ke selon expérience.
Titres Restaurant, Mutuelle, Prévoyance.
Nos nouveaux locaux sont situés à Nantes, rue d’Athènes, proche du stade de la Beaujoire. Vous êtes également amené à intervenir dans les locaux de nos clients sur la région Grand Ouest.
La solidarité et la convivialité de l’équipe sont des piliers du quotidien.
Cette annonce correspond à votre profil et à votre projet professionnel, n’hésitez pas à nous contacter directement pour venir nous rencontrer.
L’entreprise BREIDIC favorise la diversité et l’accueil des handicaps. Nous étudions toutes candidatures à compétences égales
Type d'emploi : CDI
Salaire : 30 000,00€ à 36 000,00€ /an
Type d'emploi : CDI
Salaire : 30 000,00€ à 35 000,00€ /an
Type d'emploi : CDI
Salaire : 30 000,00€ à 35 000,00€ /an
Type d'emploi : CDI
Type d'emploi : CDI
Type d'emploi : CDI
Type d'emploi : CDI
Salaire : 35 000,00€ /an
Expérience:
développeur informatique h/f ou similaire: 3 ans (Souhaité)"
3,https://www.indeed.fr/emplois?q=Developpeur%20Python&l=Nantes&radius=100&limit=100&sort=date&vjk=23689d45ace86d97,"Consultant / Consultante DevOps
Zenika - Rennes (35)","['Rennes (35)', 'Temps plein, CDI', '35 000 € - 45 000 € par an']",Consultant / Consultante DevOps,Zenika,- Rennes (35),"Temps plein, CDI",35 000 € - 45 000 € par an,"il y a 22 heures
Signaler cette offre d'emploi",Developpeur Python,Nantes,"Tu te dis que choisir et refuser tes missions, faire du télétravail, être formé régulièrement ne sont pas compatibles avec un job en ESN ?
Et si on te disait que chez Zenika c’est possible ! Rejoins nous en tant que Consultant / Consultante DevOps.
Notre projet : CODING THE WORLD
Depuis 2006, Zenika accompagne les entreprises dans leur transformation technologique, organisationnelle et managériale. Anticiper les évolutions est le coeur de notre activité, et comprendre les besoins de l’écosystème de demain se fait dès aujourd’hui. Notre volonté est de créer le lien entre le monde organique et le monde numérique et d'être reconnus comme un ""One Stop Shop"" par nos clients.
Depuis l’interface jusqu’à la data et son usage, le tout en mode agile, Zenika intervient dans les domaines d'expertises suivants : Développement Back-end, Front-end, Fullstack, Data, Big Data, Blockchain, DevOps, Mobilité, IoT, Intelligence Artificielle, Craftsmanship, Sécurité, Agilité et transformation des organisations.
Après les ouvertures successives des agences de Paris, Lyon, Rennes, Nantes, Lille, Bordeaux, Singapour, Montréal, Grenoble et Brest, le groupe souhaite poursuivre sa croissance et son rayonnement national et international.
Nos collab’Z portent au quotidien les valeurs du groupe : transparence, partage et convivialité !
L'agence de Rennes
Située dans les halles Oberthur, Zenika Rennes compte parmi ses forces vives une quarantaine de consultants développeurs, DevOps, Big data et agilistes qui seront peut être tes futurs collègues.
Présent depuis 2010 dans l’écosystème rennais, Zenika Rennes intervient sur des missions pointues de transformation numérique et organisationnelle : conception, industrialisation, coaching technique et agile, POC, conférences et formation.
Organisateur de meetup locaux et partenaire de Docker, Elastic, Github, Confluent, l’equipe revendique un positionnement tourné autour de l’open source et du collaboratif.
Il tient aussi à coeur à Zenika de s’impliquer dans la société et d'avoir une responsabilité sociale forte dans la communauté technique (meetups, conférences comme Le Festival des Libertés Numériques...) mais aussi non techniques.
Et enfin tu pourras participer à de nombreux événements d’agence (Petit dej du vendredi, Mardi Open Bar, Soirée jeu de sociétés, cours de musique, etc.)
Tes missions:
Tu es convaincu comme nous que l'intégration et le déploiement continus font partie des principes de base à mettre en place pour accélérer le développement des applications et en assurer la bonne qualité ?
Rejoins le pôle DevOps et aide nous à mettre en place une usine logicielle qui va de la construction des artéfacts jusqu'à leur déploiement sur les différents environnements sur lesquels ils doivent être testés et mis à disposition de leurs utilisateurs finaux.
Dans le cadre de ce type de mission, tu pourras :
- proposer les architectures techniques adaptées au contexte de l'entreprise pour la mise en place de l'intégration et du déploiement continu
- automatiser la mise en place de l'infrastructure associée
- proposer, installer, utiliser et accompagner les utilisateurs sur l'outil de modélisation du pipeline d'intégration et de déploiement continu
- être capable de proposer des pipelines de déploiement adaptés aux workflow de l'entreprise et aux plateformes cibles
- accompagner et travailler avec les développeurs et les responsables des infrastructures techniques pour mettre en place les solutions qui conviennent le mieux à tous dans un esprit de partage et de collaboration
- mettre en place les outils qui permettront de mesurer la pertinence des actions mises en place et d'assurer la maintenabilité des applications et des infrastructures techniques
Idéalement, tu maîtrises plusieurs des outils et langages suivants :
Compréhension des grands principes de la culture DevOps (CALMS, Three Ways)
Outils de scripting : shell, ruby, python, groovy
Outils de gestion de la configuration : Ansible, Chef, Puppet, Salt Stack, et les outils de tests associés
Outils de gestion de pipelines : Jenkins, GoCD, GitlabCI, Circle CI, Travis CI, CodeShip
Outils de centralisation des logs, de collecte et de visualisation des métriques : Stack Elastic, Graylog, Prometheus, OpenTSDB, InfluxDB, Grafana
Outils de containerisation : Docker, Rkt
Compréhension des systèmes distribués et répartis
Outils d'orchestration de containers : Kubernetes, Openshift, Swarm, DC/OS, CloudFoundry, Rancher
Outils de gestion de cloud privé : OpenStack, CloudStack, VMWare vSphere
Connaissances des clouds publiques : AWS, Azure, GCE, DigitalOcean
Langage de développement (Java, C#, Golang, Rust) et outils de build associés (maven, gradle, make)
Tu lis régulièrement les meilleurs blogs techniques, tu contribues peut-être même à un projet Open-Source.
Qu’est ce qu’on t’offre ?
En résumé, Zenika, te permettra :
De travailler au sein d’une équipe passionnée avec de l’entraide mais surtout de la bonne humeur,
De choisir d’intégrer ou quitter les projets clients de ton choix
De travailler dans un environnement agile
De réaliser des missions d’audit, d’expertise technique et des POCs
D’avoir du temps dédié pour contribuer à des projets Open-Source ou à tes projets personnels
D’animer ou de participer à des événements techniques
De participer aux meilleures conférences (Devoxx, Devfest, Breizhcamp, MixIT, BDX I/O, Snowcamp et bien d’autres)
D’avoir la possibilité de devenir formateur sur tes domaines d’expertise
De bénéficier de nos formations et de passer des certifications
De choisir ton matériel informatique (PC, Mac etc.)
De conserver un équilibre vie pro/vie perso (notamment avec le télétravail, les RTT,…)
Surtout, d’avoir ta garde robe aux couleurs de Zenika !
Ce que tu ne trouveras pas chez nous
Un poste en freelance, full remote
Un projet en centre de services où tu ne feras que de la TMA
Un management directif
Le vouvoiement
Un CEO/manager inaccessible et dans un bureau fermé
Une hiérarchie pyramidale
Du cycle en V
Ok, et si ton profil est retenu, que se passe-t-il ensuite ?
Tu rencontreras le/la chargé.e de recrutement afin de préciser tes attentes et les mettre en perspective avec ce que l'on peut te proposer chez Zenika.
La rencontre est positive, super ! On continue ! Un échange avec un de tes pairs mais surtout un de tes futurs collègues, un expert de nos équipes, qui évaluera avec toi ton potentiel technique !
Ce que l'on peut te proposer te plait ? Parfait ! Dernière étape, tu échanges avec le Directeur d’Agence & le Directeur Technique qui te présenteront l'agence, les missions potentielles et surtout notre manière d'accompagner nos collaborateurs dans leur parcours professionnel.
Les 3 étapes se sont bien déroulées? Magnifique, tu n'as plus qu'à dire oui à notre proposition d'embauche pour nous rejoindre !
Nous misons avant tout sur des profils, des potentiels et des personnalités. Le meilleur moyen de voir si ça match, c'est de postuler chez Zenika !
Type d'emploi : Temps plein, CDI
Salaire : 35 000,00€ à 45 000,00€ /an"
4,https://www.indeed.fr/emplois?q=Developpeur%20Python&l=Nantes&radius=100&limit=100&sort=date&vjk=9b39632177395f07,"Développeur logiciel ERP FullStack H/F
DIFFERENCE INFORMATIQUE, société du GROUPE ADINFO - La Roche-sur-Yon (85)","['La Roche-sur-Yon (85)', 'Temps plein, CDI']",Développeur logiciel ERP FullStack H/F,"DIFFERENCE INFORMATIQUE, société du GROUPE ADINFO",- La Roche-sur-Yon (85),"Temps plein, CDI",null,"il y a 1 jour
Signaler cette offre d'emploi",Developpeur Python,Nantes,"TA BOITE
Le Groupe ADINFO, c’est juste le leader régional dans le domaine de l’édition et de l’intégration de solutions informatiques. On imagine au quotidien les solutions de demain pour faciliter la gestion au sein des entreprises (logiciels, ERP, réseau, web, spécifiques). Depuis 30 ans, plus de 3500 clients nous font confiance pour les accompagner dans ce domaine.
Et Parce que ça marche bien, on recherche pour une de nos sociétés, DIFFÉRENCE INFORMATIQUE, un développeur logiciel / ERP (H/F) sur notre site de la Roche sur yon.
TON JOB
Ta mission, si tu l’acceptes, avec l’accompagnement du responsable, c’est :
→ Développer sur Divalto et/ou Odoo
→ Développer des applications web (En mode Full Stack)
Ta rémunération sera évaluée en fonction de tes compétences.
TON ENVIRONNEMENT DE DEV.
Savoir sur quoi tu vas bosser, c’est important pour toi ! Voilà quelques indications :
SQL / Python / JavaScript / Xml
Tu ne les connais pas tous ? Pas de problème ! On t’apprendra.
TON PROFIL

Si en plus tu es méthodique, organisé(e) et rigoureux(se), et que tu aimes bosser en team working, tu vas te plaire chez nous !
Ta curiosité envers les développements sur-mesure fera de toi, à terme, un expert en la matière. Dernière chose : tu comprends l’anglais, because you need it to success.
Envie d’un nouveau challenge ? Rejoins-nous !
EN +++, RIEN QUE POUR TOI
Tes collègues sont sympa, la mer est à 30 min, Nantes à 40 min. Bref… tu es proche de tout, et loin de rien !
Il ne te reste qu’une chose à faire : postuler de toute urgence !
Type d'emploi : Temps plein, CDI
Expérience:
développeur logiciel erp fullstack h/f ou similaire: 1 an (Souhaité)"
5,https://www.indeed.fr/emplois?q=Developpeur%20Python&l=Nantes&radius=100&limit=100&sort=date&vjk=4e7376dd1052b05c,"Développeur Python (DevOps) F/H
DAVIDSON OUEST - Rennes (35)","['Rennes (35)', 'CDI']",Développeur Python (DevOps) F/H,DAVIDSON OUEST,- Rennes (35),CDI,null,"Apec.fr - il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",Developpeur Python,Nantes,"Ce poste de développement orienté DevOps nécessite des compétences IT avec une forte composante de développement Python.

Vous serez amené à réaliser les tâches suivantes :
Programmer les prototypes et composants d’automatisation des offres client sur la plate-forme technique (provisioning, change, billing), en collaboration avec d’autres développeurs missionnés sur le projet,

Prendre en charge des incidents et effectuer le support niveau 3 sur la solution développée,

Fournir et contribuer aux livrables techniques (cahier d’interface, spécifications) en lien avec les autres équipes

Contribuer à la boucle d’amélioration continue,

Mettre à jour des référentiels (git, backlog jira, …),

Veiller à l’exploitabilité des solutions et participer à la normalisation

Participer à la montée en compétence des acteurs associés

Participer à la mise en œuvre des pratiques DevOps (intégration/développement continus) et à la mise en œuvre des briques associées
Profil recherché Diplômé(e) d’une école d’ingénieur ou d’un master 2 spécialisé en informatique, vous disposez d’une première expérience en administration de systèmes.

Compétences et qualités requises :
Développement python, orientation devops

Connaissance des technologies Cloud (réseau, compute, sauvegarde, sécurité)

Anglais courant
Entreprise Créée en 2005, Davidson est une société de conseil en management et expertise technologique.

Nous sommes présents dans 8 pays repartis en Europe, aux Emirats Arabes Unis et en Amérique du Nord.

En 2019, Davidson c’est :
3000 salariés,

170 managers,

265 millions d’euros de chiffre d’affaires…

STOOOOOOOOOOOOP!

Et si on laissait de côté les discours préformatés pour parler des VRAIES raisons de nous rejoindre !

Davidson c’est avant tout un projet d’entreprise où il fait bon vivre grâce à des fondamentaux qui structurent notre action au quotidien :

Etre sérieux sans se prendre au sérieux,

Construire une entreprise horizontale,

Développer la créativité et la prise d’initiatives,

Favoriser l’inspiration plutôt que la gouvernance.

Après quatre années au palmarès des Best Workplace, Davidson à décidé d’aller encore plus loin dans ses engagements! Elle est devenue la première société française (de +2000 collaborateurs) et l’unique société de conseil en technologie et en management à devenir une B-Corp, et rejoint donc le clubs des entreprises qui ne veulent pas être les meilleures du monde, mais les meilleurs POUR le monde.

Pour que vous puissiez vérifier que ce ne sont pas que des mots, il vous suffit de candidater, si vous êtes le plus talentueux ou la plus talentueuse pour le job suivant !!!!

Dans le cadre de sa politique de diversité, Davidson étudie à compétences égales toutes les candidatures, dont celles de personnes en situation de handicap."
6,https://www.indeed.fr/emplois?q=Developpeur%20Python&l=Nantes&radius=100&limit=100&sort=date&vjk=75f3640f52b370e8,"Développeur Full Stack Java EE (H/F) - Nantes
APSIDE26 avis - Nantes (44)","['Nantes (44)', 'Temps plein, Freelance / Indépendant, CDI']",Développeur Full Stack Java EE (H/F) - Nantes,APSIDE,- Nantes (44),"Temps plein, Freelance / Indépendant, CDI",null,"il y a 1 jour
Signaler cette offre d'emploi",Developpeur Python,Nantes,"Vous ?
L’architecture Web vous passionne ?
Le Front et le Back ont peu de secrets pour vous ?
Ouvert(e) d’esprit et curieux(se), vous aimez partager vos connaissances ?
Vous êtes à l’aise sur JAVA et possédez de bonnes bases en Angular ?
Et si vous parlez anglais et connaissez le domaine du e-commerce, alors …
Ce poste de Développeur Full Stack est fait pour vous !
Le poste :
Intégré(e) au sein d'une équipe Agile guidée par le mouvement DevOps, vous serez en charge de l'étude, du développement et de l'optimisation d’applications web et/ou métiers.
Vous maitrisez les architectures Web et la création d’API,
Le développement back vous motive tout comme les technologies Front (HTML, CSS…),
La performance applicative fait partie de vos priorités,
Vous effectuez une veille constante et êtes toujours prêt à partager les nouvelles « best practices » avec votre équipe.
L’environnement technique :
Langages : Java EE, Python, JavaScript (Node.js entre autres), Shell,
Environnements : Linux, git, Bitbucket,
Frameworks et outils : Spring, BackboneJS, Bootstrap, Jira…
La connaissance et la pratique des méthodologies Agiles et SCRUM seront des atouts appréciés !
Les petits plus clients !
Équipe dynamique ;
Mobilité réduite ;
Groupe en pleine croissance
De bonnes raisons de rejoindre Apside ?
Alors qu’Apside ne cesse d'agrandir sa famille déjà forte de plus de 2800 consultants, nous sommes à la recherche des nouveaux talents du numérique !
Participez et animez nos soirées techniques (Project Lab, Test Lab…),
Devenez speaker (Devoxx, DevFest, NCraft…),
Rejoignez l’Apside Academy (Meet up Agiles, Coding goûters…),
Développez votre réseau (Soirées trimestrielles, Afterwork, Soirées d’intégration…),
Intégrez notre Communauté d’Experts et testez les dernières innovations techniques sur notre Bac à Sable,
Rejoignez Nantes : 1ère ville de France où il fait bon vivre et travailler (à 50 min de la mer !),
Apside est une entreprise au service du numérique depuis plus de 40 ans, mais surtout à votre service : ) Notre savoir-faire et notre savoir-être vous accompagnent au cœur de plusieurs métiers : l’ingénierie en systèmes d'information et informatique technique, scientifique, aéronautique, automobile et financière.
Vous souhaitez donner un nouvel élan à votre carrière ? Ne cherchez plus, faites partie des 900 collaborateurs qui rejoindront Apside en 2019 !
Suivez Apside sur les réseaux sociaux ! LinkedIn, Twitter, Facebook ou Viadeo @ApsideGroupe #Talentdetection #Numérique #Innovation
Type d'emploi : Temps plein, Freelance / Indépendant, CDI
Expérience:
développeur full stack java ee ou similaire: 1 an (Souhaité)"
7,https://www.indeed.fr/emplois?q=Developpeur%20Python&l=Nantes&radius=100&limit=100&sort=date&vjk=7f73e4a936ffc8be,"Développeur Full Stack F/H
DAVIDSON OUEST - Rennes (35)","['Rennes (35)', 'CDI']",Développeur Full Stack F/H,DAVIDSON OUEST,- Rennes (35),CDI,null,"Apec.fr - il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",Developpeur Python,Nantes,"Au sein d’une équipe Agile, vous participerez au développement et à l’intégration de projets à forte visibilité (Nouvelles technologies, POC, R&D …).

Votre stack technique :
Front : Angular, React, Vue …
Back : Java, Php, Node, .Net, Scala, Go, Python
Vos appétences techniques sont écouter et vous pouvez travailler soit en 100% Front soit en 100% Back.

Vos pratiques : TDD, revues de code, pair programming… .

Nous intervenons en Bretagne sur différents secteurs d’activité ( Retail, Banque/Assurance/Mutuelle, Start-up, Editeur …).
Profil recherché De formation Bac +5 (école d’ingénieur ou master)

– Une bonne connaissance sur les technologies citées

– Bon niveau en web mobile et en responsive

– Maîtrise des bases de données (NoSQL ou relationnelles)

– Maîtrise de Git

– Maîtrise des bonnes pratiques de conception, des stratégies de tests, d’industrialisation et d’intégration continue

– Connaissance et pratique des méthodes Agile (Scrum, Kanban, Lean…)

– Aisance de communication dans l’équipe et sens du service

– Capacité de s’adapter rapidement

– Vous êtes sérieux sans vous prendre au sérieux
Entreprise Créée en 2005, Davidson est une société de conseil en management et expertise technologique.

Nous sommes présents dans 8 pays repartis en Europe, aux Emirats Arabes Unis et en Amérique du Nord.

En 2019, Davidson c’est :
3000 salariés,

170 managers,

265 millions d’euros de chiffre d’affaires…

STOOOOOOOOOOOOP!

Et si on laissait de côté les discours préformatés pour parler des VRAIES raisons de nous rejoindre !

Davidson c’est avant tout un projet d’entreprise où il fait bon vivre grâce à des fondamentaux qui structurent notre action au quotidien :

Etre sérieux sans se prendre au sérieux,

Construire une entreprise horizontale,

Développer la créativité et la prise d’initiatives,

Favoriser l’inspiration plutôt que la gouvernance.

Après quatre années au palmarès des Best Workplace, Davidson à décidé d’aller encore plus loin dans ses engagements! Elle est devenue la première société française (de +2000 collaborateurs) et l’unique société de conseil en technologie et en management à devenir une B-Corp, et rejoint donc le clubs des entreprises qui ne veulent pas être les meilleures du monde, mais les meilleurs POUR le monde.

Pour que vous puissiez vérifier que ce ne sont pas que des mots, il vous suffit de candidater, si vous êtes le plus talentueux ou la plus talentueuse pour le job suivant !!!!

Dans le cadre de sa politique de diversité, Davidson étudie à compétences égales toutes les candidatures, dont celles de personnes en situation de handicap."
8,https://www.indeed.fr/emplois?q=Developpeur%20Python&l=Nantes&radius=100&limit=100&sort=date&vjk=09bb2c48d74a0a53,"Développeur Python (H/F)
Wemoov - Nantes (44)",['Nantes (44)'],Développeur Python (H/F),Wemoov,- Nantes (44),null,null,"il y a 3 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Developpeur Python,Nantes,"WEMOOV RECRUTE !

Wemoov est une Start Up dynamique créée par trois experts du domaine du numérique pour accompagner leurs clients dans l’évolution digitale en proposant des solutions personnalisées et innovantes.

Nous sommes spécialisés dans 2 domaines principaux :
Le service numérique: La réalisation de prestations informatiques systèmes et réseaux (support, administration, ingénierie et gestion de projet), ainsi que la réalisation de prestations en développement mobiles (IOS, Android) et web (Java, JEE, Javascript, PHP ...)
L'édition logicielle: Développement d'application mobile de solutions de montage et d’habillage automatisés de contenus vidéo et son intégration sur les différents supports
Cette offre de services a pour objectif la satisfaction de nos clients (nationaux ou internationaux) tout en respectant l’épanouissement et le bien-être de nos collaborateurs.

Au sein d’un service de Management Réseau chez un client grand compte, vous aurez en charge :

Conception et développement de la collecte des équipements à superviser en Python
Gestion des contraintes de sécurité
Mise en place d'environnements pour le packaging en RPM de l'application de collecte via Docker
Rédaction des documents de mise en production et exploitation (DMP et DME)
Bac + 3 à Bac +5 avec au moins 3 ans d’expériences

Compétences :
Très bonne maitrise du langage Python
Très bonnes connaissances du réseaux (Protocoles TCP/IP, SNMP, MIB, routage réseau …)"
9,https://www.indeed.fr/emplois?q=Developpeur%20Python&l=Nantes&radius=100&limit=100&sort=date&vjk=3e6ed6754959bf8c,"Data Engineer h/f
AdenSourcing - Rennes (35)","['Rennes (35)', 'CDI']",Data Engineer h/f,AdenSourcing,- Rennes (35),CDI,null,"Viadeo - il y a 3 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Developpeur Python,Nantes,"Notre Direction des Systèmes d’Information, pense et construit actuellement le modèle informatique de demain en intégrant les enjeux numériques, de traitement des données, et surtout de cybersécurité. Dans le cadre de notre modernisation, notre DSI est engagée dans la démarche Big Data et a pour volonté la maitrise en interne de ce sujet majeur. C’est dans ce cadre que nous mettons aujourd’hui en place une équipe autour de notre système décisionnel et Big Data et créons le poste de
Data Engineer H/F
Poste en CDI, basé à Rennes (35)
Rattaché au service « Architecture et Développement Restitutions » et intégré au sein d’une équipe composée de 8 collaborateurs (3 architectes, 1 chef de projet et 4 développeurs), vous participez activement à la mise en place du projet de transformation de notre système décisionnel aidé par des technologies de pointe.
Au quotidien vos missions sont les suivantes :
Participer activement avec votre équipe à la transformation de notre système Décisionnel et à la mise en place opérationnelle des systèmes BI et Big data de l’institution, (notamment dans le choix des technologies à adopter)
Construire des solutions dans un environnement Big Data sur des technologies telles que Spark, R, Python, HDFS,
S’assurer de la collecte, du stockage et de l’exploitation fluide des données en développant des solutions qui peuvent traiter un gros volume de data dans un temps limité,
Participer à la réalisation de cas d’usage Big Data définis en collaboration avec les Data Scientists
S’imposer peu à peu en tant que référent sur ces technologies vis-à-vis de la population utilisatrice dans nos centres."
