,id,meta1,meta2,titre_poste,entreprise,localisation,contrat,salaire,date_publication,keyword_metier,keyword_localisation,description
0,https://www.indeed.fr/emplois?q=Developpeur%20Web%20Back%20End&l=Nantes&radius=100&limit=100&sort=date&advn=7622939564031806&vjk=f919ef8bb8518632,"DÉVELOPPEUR CONCEPTEUR BACK-END H/F
Randstad Search13,978 avis - Nantes (44)","['Nantes (44)', 'CDI']",DÉVELOPPEUR CONCEPTEUR BACK-END H/F,Randstad Search,- Nantes (44),CDI,null,"Digitalent.io - il y a 19 heures
- Continuer pour postuler",Developpeur Web Back End,Nantes,"Recruteur Randstad Search
Randstad Search, Cabinet Conseil en Recrutement et Approche directe, intervient dans la recherche et l'évaluation des profils Middle et Top Management. Le cabinet est présent dans les principales métropoles françaises.
Missions du poste
Randstad Search, Cabinet Conseil en Recrutement et Approche directe, intervient dans la recherche et l'évaluation des profils Middle et Top Management. Le cabinet est présent dans les principales métropoles françaises.
Les consultants du Pôle Informatique & Télécommunications mettent à votre service leur expertise métier pour vous accompagner au mieux dans votre évolution professionnelle.
Nous recherchons pour le compte de notre client, éditeur de logiciel dans le secteur de l'immobilier, un Developpeur Concepteur Back-End junior H/F. Au sein d'un groupe dynamique, vous intégrez une équipe soudée où règne la bonne ambiance.
Au sein du pôle informatique constitué de 6 personnes et sous la responsabilité du chef de produit, vous devez comprendre et analyser les besoins pour y répondre par le développement d'une solution informatique adaptée. Vous concevez et maintenez des applications, flux et API : Conception des applications clients / applications serveur, conception des services web / APIs, maîtrise des outils de conception informatique et des outils tiers, entretien et enrichissement du savoir propre à l'entreprise (créer / mettre à jour une documentation / wiki, former collaborateurs), garantie de la mise à jour et détermination du temps de développement à prévoir.

Poste évolutif en débutant en tant que développeur Windev (POO) à 90% (possibilité d'être formé) et PHP/Symfony à 10% dans un premier temps, puis 50/50 à terme.

Statut : Agent de maîtrise.

C'est un contrat 35 heures sur les horaires suivantes : 8h30-12h30/14 heures-17 heures.
Profil recherché
Vous devez être titulaire d'un Bac +2 et avoir au moins 6 mois d'expérience (stage inclus). Vous devez connaître les concepts de programmation, maîtriser des langages de programmation et solutionner les problèmes (origine, correctif).
Vous êtes capable de vous auto-former, de répondre aux utilisateurs et vous maîtrisez l'anglais.
Sociable, pour réussir sur ce poste il faut faire preuve de rigueur, de sérénité et être force de proposition. Vous allez intégrer une équipe humble et attentive au groupe.
Apportez vos idées et votre touche personnelle, venez comme vous êtes et n'oubliez pas votre personnalité !
Postuler à cette offre"
1,https://www.indeed.fr/emplois?q=Developpeur%20Web%20Back%20End&l=Nantes&radius=100&limit=100&sort=date&vjk=db1d381b98e06d9f,"Développeur Ruby
ACENSI GRAND OUEST - Nantes (44)","['Nantes (44)', 'CDI']",Développeur Ruby,ACENSI GRAND OUEST,- Nantes (44),CDI,null,"il y a 20 heures
Signaler cette offre d'emploi",Developpeur Web Back End,Nantes,"Qui vous êtes :
Attiré par les nouvelles technologies et curieux, vous suivez l’actualité liée aux technologies innovantes ?
Doté d’un bon relationnel vous savez vous intégrer rapidement aux équipes etcommuniquer avec tous les intervenants d'un projet ?
Vous avez le sens du service et êtes à l'aise en anglais ?
Vous vous intéressez au développement Back End et possédez un bon niveau en programation Ruby ?
Cette offre est faite pour vous !
Ce que nous proposons :
Participer aux cérémonies, être actif sur les outils collaboratifs
Proposer des axes d'amélioration du produit
Réaliser des livrables de qualité
Analyser des rapports d'intégration continue et actions en conséquence
Maintenir en condition opérationnelle la plateforme l'intégration continue (Jenkins, Sonar...)
Participer à la réalisation/automatisation des tests de recette
Participer aux campagnes de non-régression
Qui nous sommes:
ESN de1200 personnes présente en France comme à l’international quiinvesti dans la veille technologique et la formation afin de rester à la pointe de l’innovation que nous plaçons au cœur de nos systèmes d’information, nous nous imposons parmi les acteurs de référence spécialisés dans la mise en œuvre de projets web et mobiles.
Type d'emploi : CDI"
2,https://www.indeed.fr/emplois?q=Developpeur%20Web%20Back%20End&l=Nantes&radius=100&limit=100&sort=date&vjk=bfc193c32fc20b85,"Intégrateur HTML / CSS / JS
Mediapilote - Angers (49)","['Angers (49)', 'CDI']",Intégrateur HTML / CSS / JS,Mediapilote,- Angers (49),CDI,null,"il y a 1 jour
Signaler cette offre d'emploi",Developpeur Web Back End,Nantes,"VOTRE MISSION
En collaboration avec le chef de projet digital, vous réaliserez le développement des sites web de nos clients, de la configuration à l’intégration en HTML et CSS des maquettes conçues par l’équipe de Webdesign.
Vous aurez également un rôle de conseil quant aux problématiques techniques du Web et vous assurerez quotidiennement le support technique des divers projets de l'agence.
Vous êtes un maillon essentiel de l’Agence pour le développement des sites web.
Vos missions principales seront les suivantes :
Configuration CMS.
Intégration HTML5 / CSS3 des maquettes réalisées en webdesign (mobile-friendly / responsive) - découpage à partir de PSD ou fichier Adobe XD.
Mise en place de contenu.
Développement front end (jQuery ou autre framework javascript) et back end de nouvelles fonctionnalités.
Support technique des divers projets de l'agence.
Formation à l'administration des interfaces web.
Intégration et gestion de campagnes emailing ou de landing page.
Vous rejoindrez une équipe de 13 personnes sur Angers et vous serez aussi amené(e) à être régulièrement en synergie avec les 100 autres collaborateurs de Mediapilote.
Chez Mediapilote, vous apprécierez le côté humain d’une agence qui grandit jour après jour avec de bons process, un savoir faire commun, des outils collaboratifs et surtout sans oublier de nombreux moments funs tout au long de l’année ;-)
VOTRE PROFIL
Issu(e) d’un bac +3/5 en école d’informatique, vous justifiez d’une expérience de 2 ans minimum en Agence Web ou en tant que freelance.
Vous êtes passionné(e) de nouvelles technologies ou êtes un(e) autodidacte, et vous avez un profil polyvalent de développeur JS/HTML/CSS et PHP.
Vous connaissez parfaitement les langages HTML5 / CSS3 / Javascript / JQuery / PHP.
Vous êtes sensibles aux bonnes pratiques SEO et vous vous tenez constamment en veille sur les dernières tendances.
Vous maîtrisez la solution Open-Source WordPress et une expérience Drupal, Prestashop, Magento serait un véritable plus.
Vous avez de solides compétences en jQuery (ou autre framework javascript) ainsi que des connaissances en PHP et Mysql.VOS QUALITÉS
Vous avez une sensibilité graphique et une sensibilité aux nouvelles tendances du web.
Vous êtes autonome sur vos projets et rigoureux(se).
Force de proposition, vous aimez défendre vos idées.
Vous avez de très bonnes qualités relationnelles et appréciez le travail en équipe.
Pour postuler : https://www.rejoindre-mediapilote.com/rejoignez-nous/nos-offres-d-emploi/93-integrateur-html-css-js.html
Type d'emploi : CDI"
3,https://www.indeed.fr/emplois?q=Developpeur%20Web%20Back%20End&l=Nantes&radius=100&limit=100&sort=date&vjk=e7a59e34c9c86fa2,"Développeur / Développeuse fullstack JavaScript
Zenika - Rennes (35)","['Rennes (35)', 'Temps plein, CDI', '35 000 € - 45 000 € par an']",Développeur / Développeuse fullstack JavaScript,Zenika,- Rennes (35),"Temps plein, CDI",35 000 € - 45 000 € par an,"il y a 1 jour
Signaler cette offre d'emploi",Developpeur Web Back End,Nantes,"Tu te dis que choisir et refuser tes missions, faire du télétravail, être formé régulièrement ne sont pas compatibles avec un job en ESN ?
Et si on te disait que chez Zenika c’est possible ! Rejoins nous en tant que Développeur / Développeuse fullstack JavaScript.
Notre projet : CODING THE WORLD
Depuis 2006, Zenika accompagne les entreprises dans leur transformation technologique, organisationnelle et managériale. Anticiper les évolutions est le coeur de notre activité, et comprendre les besoins de l’écosystème de demain se fait dès aujourd’hui. Notre volonté est de créer le lien entre le monde organique et le monde numérique et d'être reconnus comme un ""One Stop Shop"" par nos clients.
Depuis l’interface jusqu’à la data et son usage, le tout en mode agile, Zenika intervient dans les domaines d'expertises suivants : Développement Back-end, Front-end, Fullstack, Data, Big Data, Blockchain, DevOps, Mobilité, IoT, Intelligence Artificielle, Craftsmanship, Sécurité, Agilité et transformation des organisations.
Après les ouvertures successives des agences de Paris, Lyon, Rennes, Nantes, Lille, Bordeaux, Singapour, Montréal, Grenoble et Brest, le groupe souhaite poursuivre sa croissance et son rayonnement national et international.
Nos collab’Z portent au quotidien les valeurs du groupe : transparence, partage et convivialité !
L'agence de Rennes
Située dans les halles Oberthur, Zenika Rennes compte parmi ses forces vives une quarantaine de consultants développeurs, DevOps, Big data et agilistes qui seront peut être tes futurs collègues.
Présent depuis 2010 dans l’écosystème rennais, Zenika Rennes intervient sur des missions pointues de transformation numérique et organisationnelle : conception, industrialisation, coaching technique et agile, POC, conférences et formation.
Organisateur de meetup locaux et partenaire de Docker, Elastic, Github, Confluent, l’equipe revendique un positionnement tourné autour de l’open source et du collaboratif.
Il tient aussi à coeur à Zenika de s’impliquer dans la société et d'avoir une responsabilité sociale forte dans la communauté technique (meetups, conférences comme Le Festival des Libertés Numériques...) mais aussi non techniques.
Et enfin tu pourras participer à de nombreux événements d’agence (Petit dej du vendredi, Mardi Open Bar, Soirée jeu de sociétés, cours de musique, etc.)
Tes missions:
Intervenir sur tout le processus d’un projet agile : conception, développement, tests
Participer aux choix d'architecture et être force de proposition auprès de nos clients
Définir les protocoles d’échange entre le back et le front
Développer en respectant les bonnes pratiques Craft
Définir le processus d’intégration continue et de déploiement continue
Connaître les solutions de stockage (SQL ou NoSQL)
Donner des formations sur tes technos préférées
Qui es-tu?
Idéalement, tu maîtrises plusieurs des technologies suivantes : les différents framework JavaScript (Angular, React ou Vue), l’utilisation d’un store (Redux), ES2018, les DevTools pour debug, NodeJS et son écosystème, un gestionnaire de package (npm / yarn), ExpressJS / HapiJS, Docker, REST/GraphQL.
Tu lis régulièrement les meilleurs blogs techniques, tu contribues peut-être même à un projet Open-Source.
Tu t’investis sur la qualité des projets, tu adhères aux principes DevOps et tu es vigilant sur les performances Web des applications.
Si tu aimes les pizzas, Commitstrip et si les mots Circle CI, Webpack, TDD, JWT, Pull Request, Serverless te parlent, notre équipe rennaise sera ravie de t’accueillir.
Qu’est ce qu’on t’offre ?
En résumé, Zenika, te permettra :
De travailler au sein d’une équipe passionnée avec de l’entraide mais surtout de la bonne humeur,
De choisir d’intégrer ou quitter les projets clients de ton choix
De travailler dans un environnement agile
De réaliser des missions d’audit, d’expertise technique et des POCs
D’avoir du temps dédié pour contribuer à des projets Open-Source ou à tes projets personnels
D’animer ou de participer à des événements techniques
De participer aux meilleures conférences (Devoxx, Devfest, Breizhcamp, MixIT, BDX I/O, Snowcamp et bien d’autres)
D’avoir la possibilité de devenir formateur sur tes domaines d’expertise
De bénéficier de nos formations et de passer des certifications
De choisir ton matériel informatique (PC, Mac etc.)
De conserver un équilibre vie pro/vie perso (notamment avec le télétravail, les RTT,…)
Surtout, d’avoir ta garde robe aux couleurs de Zenika !
Ce que tu ne trouveras pas chez nous
Un poste en freelance, full remote
Un projet en centre de services où tu ne feras que de la TMA
Un management directif
Le vouvoiement
Un CEO/manager inaccessible et dans un bureau fermé
Une hiérarchie pyramidale
Du cycle en V
Ok, et si ton profil est retenu, que se passe-t-il ensuite ?
Tu rencontreras le/la chargé.e de recrutement afin de préciser tes attentes et les mettre en perspective avec ce que l'on peut te proposer chez Zenika.
La rencontre est positive, super ! On continue ! Un échange avec un de tes pairs mais surtout un de tes futurs collègues, un expert de nos équipes, qui évaluera avec toi ton potentiel technique !
Ce que l'on peut te proposer te plait ? Parfait ! Dernière étape, tu échanges avec le Directeur d’Agence & le Directeur Technique qui te présenteront l'agence, les missions potentielles et surtout notre manière d'accompagner nos collaborateurs dans leur parcours professionnel.
Les 3 étapes se sont bien déroulées? Magnifique, tu n'as plus qu'à dire oui à notre proposition d'embauche pour nous rejoindre !
Nous misons avant tout sur des profils, des potentiels et des personnalités. Le meilleur moyen de voir si ça match, c'est de postuler chez Zenika !
Type d'emploi : Temps plein, CDI
Salaire : 35 000,00€ à 45 000,00€ /an"
4,https://www.indeed.fr/emplois?q=Developpeur%20Web%20Back%20End&l=Nantes&radius=100&limit=100&sort=date&vjk=bf6b954c5c3d55a4,"Développeur Fullstack ASP.NET H/F
EXTERNATIC4 avis - Nantes (44)","['Nantes (44)', 'CDI', '38 000 € - 43 000 € par an']",Développeur Fullstack ASP.NET H/F,EXTERNATIC,- Nantes (44),CDI,38 000 € - 43 000 € par an,"il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",Developpeur Web Back End,Nantes,"DESCRIPTION DE L'OFFRE
Externatic, le hub d’opportunités web, mobile, informatique et électronique dans l’ouest.
Cabinet de recrutement technologique nous vous trouvons des postes chez des clients finaux (startup, éditeur, DSI, agences digitales, etc. => pas de SSII) depuis 2010. Chaque offre d’emploi correspond à un poste réel.
Notre mission : vous trouver le job de vos rêves !

Pour le compte d'une entreprise basée en périphérie Sud-Est de Nantes, nous recherchons :

un Développeur Fullstack ASP.NET H/F
Votre défi :
Au cœur de ce bureau d’étude tertiaire en pleine croissance, composé à ce jour de 7 personnes, vous serez directement rattaché au Président Fondateur de la société. Vous avez pour objectifs la gestion, la création des futurs applications IT et la reprise d’un logiciel développé par une société externe afin d’en assurer le développement (back et front) et la mise en production :
Organiser, gérer et piloter la reprise de l’existant : audit, évaluation du reste à faire, définition de la roadmap produit ;
Développer la partie back end en fonction des règles métiers ;
Développer la partie Front end ;
Mettre en place de la stratégie de tests ;
Echanger et former les utilisateurs métiers ;
Concevoir des solutions logicielles pour répondre aux problématiques métiers et les élargir aux sociétés commerciales en lien avec le bureau d’étude pour organiser les échanges d’informations, la gestion des tâches, etc.. ;
Assurer le bon fonctionnement des applications développées ;
Être force de proposition sur les sujets d’intégration continue et de l’amélioration fonctionnelle et technique ;
Effectuer une activité de veille sur les dernières technologies, le DevOps et l’intégration continue.

PROFIL REQUIS
Profil :
Au-delà de votre parcours scolaire, vous avez des expériences significatives d’au moins 5 ans en développement .NET.
Vous êtes familiarisé(e) avec les technologies ASP.NET MVC, Entity framework, JavaScript/Jquery.
Passionné(e) par le développement, vous êtes autonome, rigoureux(se), orienté(e) résultat, vous aimez avoir des responsabilités, vous faites preuve d’un très bon relationnel et vous avez pour ambition à terme de devenir DSI.
Vous êtes disponible rapidement ou à trois mois et souhaitez vous investir sur la durée : ce poste est pour vous !
Rémunération : selon expérience entre 38 et 43 k€.
Avantages : télétravail, entreprise à taille humaine, chèques restaurant, coût de la prévoyance pris en charge à 100% par l’employeur."
5,https://www.indeed.fr/emplois?q=Developpeur%20Web%20Back%20End&l=Nantes&radius=100&limit=100&sort=date&vjk=22cbcab574415ac8,"DÉVELOPPEUR CONCEPTEUR BACK-END (F/H)
Randstad Search13,978 avis - Nantes (44)","['Nantes (44)', '27 000 € par an']",DÉVELOPPEUR CONCEPTEUR BACK-END (F/H),Randstad Search,- Nantes (44),27 000 € par an,27 000 € par an,"il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Developpeur Web Back End,Nantes,"Nous recherchons pour le compte de notre client, éditeur de logiciel dans le secteur de l'immobilier, un développeur concepteur back-end junior f/h. Au sein d'un groupe dynamique, vous intégrez une équipe soudée où règne la bonne ambiance.
description du poste
Au sein du pôle informatique constitué de 6 personnes et sous la responsabilité du chef de produit , vous devez comprendre et analyser les besoins pour y répondre par le développement d'une solution informatique adaptée. Vous concevez et maintenez des applications, flux et API : Conception des applications clients / applications serveur, conception des services web / APIs, maîtrise des outils de conception informatique et des outils tiers, entretien et enrichissement du savoir propre à l'entreprise (créer / mettre à jour une documentation / wiki, former collaborateurs), garantie de la mise à jour et détermination du temps de développement à prévoir.

Poste évolutif en débutant en tant que développeur Windev (POO) à 90% (possibilité d'être formé) et PHP/Symfony à 10% dans un premier temps, puis 50/50 à terme.

Statut : Agent de maîtrise

C'est un contrat 35h sur les horaires suivantes : 8h30-12h30/14h-17h.
profil recherché
Vous devez être titulaire d'un Bac+2 et avoir au moins 6 mois d'expérience (stage inclus). Vous devez connaître les concepts de programmation, maîtriser des langages de programmation et solutionner les problèmes (origine, correctif).
Vous êtes capable de vous auto-former, de répondre aux utilisateurs et vous maîtrisez l'anglais.
Sociable, pour réussir sur ce poste il faut faire preuve de rigueur, de sérénité et être force de proposition. Vous allez intégrer une équipe humble et attentive au groupe.
Apportez vos idées et votre touche personnelle, venez comme vous êtes et n'oubliez pas votre personnalité!
informations complémentaires
niveau d'études : BAC+2
salaire minimum : 27000 €
type de salaire : Annuel"
6,https://www.indeed.fr/emplois?q=Developpeur%20Web%20Back%20End&l=Nantes&radius=100&limit=100&sort=date&vjk=08db46f9e90c2e83,"Lead Developper Java/J2EE & Cloud (h/f)
Maisons du Monde376 avis - Vertou (44)",['Vertou (44)'],Lead Developper Java/J2EE & Cloud (h/f),Maisons du Monde,- Vertou (44),null,null,"il y a 3 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Developpeur Web Back End,Nantes,"Dans le cadre de notre renforcement, nous recrutons un(e) Lead Developper Java/J2EE & Cloud (H/F).
Au sein de l’un de nos domaines Métier et intégré à une communauté de développeurs, vous travaillez sur des projets de grande envergure pour l’enseigne et contribuez activement à l’évolution du socle technique de la DSI Maisons du Monde.

Au quotidien :
Vous réalisez les évolutions techniques et fonctionnelles en lien avec votre domaine métier
Vous faites respecter les normes et procédures de développement communes grâce aux outils en place
Vous participez à la conception technique des solutions en suivant les recommandations de la communauté d’architectes de la DSI
Vous capitalisez sur vos expériences et partagez avec les autres équipes métier du service
Formé(e) aux métiers de l’informatique, vous avez au moins 5 ans d’expérience dans le développement d’applications JAVA/J2EE.
Vous êtes familiarisé(e) avec les technologies JAVA, les web services REST et le framework Spring dans un environnement à dominante Unix.
Vous maitrisez les IDE habituels Eclipse ou IntelliJ et vous avez l’habitude de travailler avec GitLab, GitLab CI/CD, SonarQube, …
Vous vous sentez plutôt l’âme d’un développeur back end mais n'avez pas peur de vous frotter de temps en temps à des langages front comme REACT JS ou vice versa. Vous avez une appétence pour les architectures Cloud qui tournent autour de GCP (GKE, PupSub, DataFlow, …) ou mieux encore vous avez de l’expérience sur le sujet et surtout vous voulez prendre part à la transformation technique de notre SI.
Vous êtes motivé, impliqué(e) et vous aimez travailler en équipe.
Vous êtes réactif(ve), curieux et avez la capacité à passer d’un sujet à l’autre rapidement de manière autonome.
Vous voulez intégrer un service en plein mutation et avez le goût du challenge.
Même si vous n’avez pas l’âme d’un décorateur d’intérieur, on vous rassure, vous allez vite apprendre à avoir du Style, du Pep’s et du Fun à l’image de notre enseigne !"
7,https://www.indeed.fr/emplois?q=Developpeur%20Web%20Back%20End&l=Nantes&radius=100&limit=100&sort=date&vjk=62a7e397ca99ac93,"Concepteur Développeur Java/ JEE (H/F)
Wemoov - Cholet (49)",['Cholet (49)'],Concepteur Développeur Java/ JEE (H/F),Wemoov,- Cholet (49),null,null,"il y a 4 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Developpeur Web Back End,Nantes,"WEMOOV RECRUTE !

Wemoov est une Start Up dynamique créée par trois experts du domaine du numérique pour accompagner leurs clients dans l’évolution digitale en proposant des solutions personnalisées et innovantes.

Nous sommes spécialisés dans 2 domaines principaux :
Le service numérique: La réalisation de prestations informatiques systèmes et réseaux (support, administration, ingénierie et gestion de projet), ainsi que la réalisation de prestations en développement mobiles (IOS, Android) et web (Java, JEE, Javascript, PHP ...)
L'édition logicielle: Développement d'application mobile de solutions de montage et d’habillage automatisés de contenus vidéo et son intégration sur les différents supports
Cette offre de services a pour objectif la satisfaction de nos clients (nationaux ou internationaux) tout en respectant l’épanouissement et le bien-être de nos collaborateurs.

Au sein d’une équipe projet d’une vingtaine de personne, vous participez au développement et à la maintenance d’un ERP

Vous aurez pour missions :
Analyser de l’ERP existantDéveloppement en backend sur un logiciel de gestion de temps
Branchement des services pour les IHM
CRUD
Cryptage mot de passe
Développement front sur des JSP sur la partie intranet
Déclaration d’activité
Déclaration de temps de présence
TMA par gestion de ticket via TeamTrack et en relation direct avec le marketing et le service test

Profil :
De formation supérieure BAC+2/5
Vous êtes rigoureux, méthodique et doté d’un bon sens relationnel
Langages et Environnements Techniques :
Front-end: HTML, CSS, JAVASCRIPT
Back-end: JAVA 7
BDD: Firebird, SQLServer, Oracle
IDE: Eclipse
Votre profil correspond ? Vous êtes déterminé(e) et plein(e) d’ambitions ? Vous souhaitez rejoindre une entreprise à taille humaine avec une équipe dynamique, motivée et en pleine expansion ? N’hésitez plus rejoignez l’aventure Wemoov !"
8,https://www.indeed.fr/emplois?q=Developpeur%20Web%20Back%20End&l=Nantes&radius=100&limit=100&sort=date&vjk=bfcc81abeeac1c03,"Developpeur Java/J2EE - Nantes (H/F) - H/F
DAVEO - Nantes (44)","['Nantes (44)', 'CDI']",Developpeur Java/J2EE - Nantes (H/F) - H/F,DAVEO,- Nantes (44),CDI,null,"Viadeo - il y a 5 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Developpeur Web Back End,Nantes,"Dans le cadre d'un projet de transformation digitale, nous recherchons un Ingénieur Développement J2EE pour intégrer l'équipe innovation de notre client.
Les méthodes agiles seront de rigueur !
Vous prendrez en charge la responsabilité du développement des projets identifiés.
Le langage de développement est en JAVA 7, 8
Front-end : Spring MVC, jQuery, Angular.js
Back-end : Spring, Hibernate
Web services
Les + :
Curiosité
Appétence pour les objets connectés
L'innovation...
Responsabilités :
Participer aux activités de développement
Participer aux choix à la mise en place des plateformes de développement
Rédaction de spécifications techniques
Tests
Etre force de proposition"
9,https://www.indeed.fr/emplois?q=Developpeur%20Web%20Back%20End&l=Nantes&radius=100&limit=100&sort=date&vjk=248c2ebb3b43a93a,"Ingénieur développement .Net / Éditeur de logiciel - H/F
Seyos4 avis - Nantes (44)","['Nantes (44)', 'Temps plein, CDI', '40 000 € - 50 000 € par an']",Ingénieur développement .Net / Éditeur de logiciel - H/F,Seyos,- Nantes (44),"Temps plein, CDI",40 000 € - 50 000 € par an,"il y a 5 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Developpeur Web Back End,Nantes,"Seyos est un cabinet de recrutement spécialisé dans les métiers de l'IT. Nous proposons aux candidats des opportunités professionnelles uniquement au sein de clients finaux : éditeurs de logiciels, startups, DSI.

Notre client est un éditeur de logiciels RH qui compte plus de 1 500 clients et 250 000 utilisateurs. Leur métier : automatiser les process administratifs et RH des PME et ETI : gestion des congés, notes de frais, suivi des temps et activités...

Ce qui les différencie : chaque logiciel dispose de sa propre identité et répond à une problématique spécifique. Il fonctionne de manière autonome et s'intègre parfaitement aux autres solutions.

Leur devise : un logiciel de gestion n'est pas nécessairement gris, moche et triste.

Localisation : Nantes
Stack technique : Angular 7 / .Net Core et 4.7 / C# / Entity Framework / SQL server 2017
Rémunération : 40 000 - 50 000 Euros (selon votre expérience)

Vous serez intégré à l'équipe en charge de la solution de notes de frais, composée de 4 développeurs, 1 lead développeur et 2 PO. Vous serez responsable du développement et de l'évolution du back-end, tant pour le développement de nouvelles fonctionnalités que pour le refactoring de l'existant : passage de .Net framework à .Net core, avec un recentrage sur le métier (approche DDD).

L'environnement fonctionnel et technique est stimulant. Les notes de frais paraissent de prime abord rébarbatives, mais elles offrent de multiples challenges : contexte métier très riche, embarquement de modèles d'intelligence artificielle, connecteurs pour agréger des transactions bancaires ou des sites marchands, intégration avec une néo banque, etc.

Si on parle de vous :
Vous êtes issu(e) d'une formation Bac+5 (Master ou Ecole d'ingénieurs) en informatique,
Vous avez 4-5 ans ou plus d'expérience dans le développement d'applications web et une expertise forte en .Net,
Vous appréciez la critique constructive et cherchez toujours à challenger vos idées et celles des autres,
Vous cherchez un poste qui vous permettra d'acquérir un large spectre de connaissances et avez envie de relever de nombreux défis techniques,
Vous voulez apprendre ou améliorer vos méthodes de travail (Intégration continue, revue de code, Pull Requests, rédaction de documentation collaborative, Clean Code, TDD, etc.)
Les + :
La possibilité de faire (parfois) du télétravail,
Un séminaire annuel de travail intensif dans une eau à 27°C,
Du temps libre pour aller à des conférences, meetups, etc...
Si ce poste vous intéresse, transmettez votre candidature à Marion Herbert et on en discute ;-)"
