,id,meta1,meta2,titre_poste,entreprise,localisation,contrat,salaire,date_publication,keyword_metier,keyword_localisation,description
0,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%23&l=Nantes&radius=100&limit=100&sort=date&vjk=d4724bac947a5b5a,"Développeur informatique F/H
SERTA64 avis - Le Poiré-sur-Vie (85)","['Le Poiré-sur-Vie (85)', 'CDI']",Développeur informatique F/H,SERTA,- Le Poiré-sur-Vie (85),CDI,null,"Apec.fr - il y a 10 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur C#,Nantes,"Sous l’autorité du Responsable développement et applications collaborative, au sein d’une équipe de 6 personnes et en collaboration avec les métiers fonctionnels de l’entreprise et avec les équipes informatiques des filiales (Bulgarie, Chine…). Vous participez à la conception et à la réalisation de solutions informatiques.

Vos compétences vous permettent de prendre en charge une gamme diversifiée de projets : Web, décisionnel & datawarehouse, ETL, solutions métiers, interfaces applicatives… Vos missions :

Recueil des besoins
Rédaction cahier des charges et spécifications
Développement des applications, test, recettage avec l’utilisateur
Participation à la mise en place des systèmes décisionnels
Paramétrage et maintenance des outils en place
Accompagnement des utilisateurs sur les outils collaboratifs
Veille technologique sur l’évolution des méthodes de développement et outils associés
Force de proposition sur les technologies digitales et innovantes
Profil recherché BAC +2 minimum, vous justifiez de 2 ans d’expérience minimum (y compris en alternance). Autonome, Rigoureux, Esprit de synthèse, Curieux, Sens du projet et du contact utilisateur, Capacité à se former, Créatif, imaginatif et tourné vers l’innovation. Un premier niveau d’anglais technique est requis

Concernant les compétences de développements :
➢ Sont obligatoires : SQL, Administration instance SQL Serveur, WEB (HTML/CSS, Javascript, C#, ASPX, Typescript, PHP, IIS…)

➢ Seraient un plus :
Décisionnel : SSAS, SSIS, SSRS, Expérience BI, Datawarehouse
Collaboratif : Expérience Office 365 (SharePoint, PowerApps, Flow, …)
Expérience IBM Domino (Lotus script)
PowerShell
Entreprise SERTA est leader européen dans la conception et la fabrication de vérins hydrauliques pour applications mobiles. Adossés à un groupe International, nous disposons de moyens conséquents pour réaliser des projets ambitieux. Présents dans les secteurs d’activité de l’hydraulique mobile (Agricole, BTP, Manutention, Carrosserie…), nous réalisons un chiffre d’affaires de 110 M€ et prévoyons 130 M€ d’ici à 2020, avec près de 1 000 salariés répartis sur des sites de fabrications en France, en Bulgarie et en Chine ainsi que des bureaux commerciaux aux Etat-Unis et en Allemagne.

Situé à 30 min des Sables d'Olonne et à 40 min de Nantes ; rejoindre SERTA, c’est intégrer une entreprise qui offre la possibilité à ses collaborateurs de prendre des initiatives et de travailler dans un climat de confiance. Vous apprécierez l’ambiance et le dynamisme qui règnent dans nos équipes !"
1,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%23&l=Nantes&radius=100&limit=100&sort=date&vjk=98a2e9d1e86610ad,"Stage - Développements .Net / C# dans un projet de CRM(H/F)
Atos - Rennes (35)","['Rennes (35)', 'Stage']",Stage - Développements .Net / C# dans un projet de CRM(H/F),Atos,- Rennes (35),Stage,null,"il y a 6 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur C#,Nantes,"Atos est un leader international de la transformation digitale avec plus de 110 000 collaborateurs dans 73 pays et un chiffre d’affaires annuel de plus de 11 milliards d’euros. Numéro un européen du Cloud, de la cybersécurité et des supercalculateurs, le groupe fournit des solutions intégrées de Cloud Hybride Orchestré, Big Data, Applications Métiers et Environnement de Travail Connecté. Partenaire informatique mondial des Jeux Olympiques et Paralympiques, le Groupe exerce ses activités sous les marques Atos, Atos Syntel, et Unify. Atos est une SE (Société Européenne) cotée sur Euronext Paris et fait partie de l’indice CAC 40.

La raison d’être d’Atos est de contribuer à façonner l’espace informationnel. Avec ses compétences et ses services, le groupe supporte le développement de la connaissance, de l’éducation et de la recherche dans une approche pluriculturelle et contribue au développement de l’excellence scientifique et technologique. Partout dans le monde, Atos permet à ses clients et à ses collaborateurs, et plus généralement au plus grand nombre, de vivre, travailler et progresser durablement et en toute confiance dans l’espace informationnel.

Contexte
Atos développe des CRM (gestion de la relation client, marketing, vente) pour des acteurs majeurs du monde des transports publics (France, Europe, monde), du conseil, du courrier et de l’industrie.
Mission
Le stage est réalisé au sein du pôle CRM du Département de Rennes. Ce pôle conçoit et développe des applications de CRM pour de nombreux clients, dans de nombreux contextes métiers et technologiques.
Le but du stage est de participer aux évolutions apportées au logiciel de CRM
Participation à l’analyse du besoin
Etude d’impact
Réalisation
Participation aux tests
Il comprendra également une activité d’industrialisation, à savoir concevoir, développer et mettre en œuvre des outils d’intégration continue, tests automatique, analyse de code, génération automatique et packaging afin d’optimiser la qualité et l’efficacité du travail de l’équipe.
Tu seras intégré à l’équipe de réalisation, constituée d’architectes techniques, de concepteurs fonctionnels, de développeurs et de recetteurs. Cette équipe travaille en forte proximité client à maintenir et à faire évoluer ces applications CRM structurantes.
Environnement
Microsoft Dynamics CRM, Visual Studio, .Net, C#, SqlServer.
Objectifs pédagogiques
Le stage proposé est une excellente opportunité pour découvrir et assimiler les outils, techniques et process d’un projet de développement. Tu auras aussi l’occasion de monter en compétence sur MS CRM Dynamics, un des progiciels leader du marché du CRM.
Votre profil
De formation Bac+5 en informatique (Ecole d’ingénieur ou université) en cours de validation, tu recherches un stage d’une durée de 4-6 mois (dates variables selon l’école).
INFORMATIONS ADDITIONNELLES :
Chez Atos la diversité est au cœur de notre politique RH. C'est pourquoi Atos a mis en place un accord relatif à l’égalité professionnelle entre les hommes et les femmes. Par ailleurs, nos métiers sont tous accessibles aux personnes en situation de handicap, et ce quelle que soit la nature de leur handicap."
2,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%23&l=Nantes&radius=100&limit=100&sort=date&vjk=b8e7bee31066dd9d,"Développeur informatique H/F
BREIDIC - Nantes (44)","['Nantes (44)', 'CDI', '35 000 € par an']",Développeur informatique H/F,BREIDIC,- Nantes (44),CDI,35 000 € par an,"il y a 22 heures
Signaler cette offre d'emploi",Développeur C#,Nantes,"Description du poste
BREIDIC, filiale agile et indépendante au service d’un grand groupe bancaire et de toute organisation cherchant à implémenter des solutions innovantes et efficientes, intervient depuis plus de 10 ans, sur le marché de la digitalisation.
BREIDIC a su rapidement s’imposer en tant que Pôle d’excellence dans les domaines de l’Ingénierie Documentaire, de la Dématérialisation, de la LAD-RAD, et du développement et la mise en œuvre de services numériques de gestion associés ou intégrant ces divers domaines.
L’offre de services BREIDIC, organisée autour du domaine de la digitalisation, intègre une expertise globale du flux documentaire et la capacité d’intervenir en AMOA, MOE, développement, intégration, déploiement et formation.
Doté d’une culture forte de co-création et de collaboration, BREIDIC s’attache à développer, avec ses clients, des solutions au plus près de leurs besoins, et les accompagne pour une adhésion réussie des équipes métier et utilisateurs clients.
Notre forte croissance nécessite des outils web et applicatifs de plus en plus importants et pour cela, nous souhaitons renforcer notre équipe de développement et nous recherchons :
Un/Une Développeur (se) d’application innovante et digitale
Nous vous proposons de rejoindre une jeune équipe dynamique de développeurs sur notre tout nouveau site nantais, cadre de travail moderne et idéal pour nos équipes de développement informatique et numérique.
Après une formation sur nos métiers et nos techniques de développement, dans le respect des normes et de la sécurité, vous serez en charge de concevoir et de personnaliser des solutions pour nos clients dans le domaine de la digitalisation de processus métier.
Vos missions consisteront à :
Développer : Vous développez les nouveaux sites ou applications du groupe. Vous intervenez sur les parties Back / Front / Déploiement suivant vos compétences. Vous travaillez sur de nouveaux projets, des nouvelles fonctionnalités, des corrections et évolutions. Vous rédigez les spécifications (cahier des charges) et documentations techniques et pilotez un projet en lien avec un public spécialisé dans les métiers de la Banque.
Concevoir : En lien quotidien avec l’équipe technique, vous participez à la conception et à l’optimisation fonctionnelle de nos solutions actuelles et futures. Vous écrivez et proposez des spécifications techniques ainsi que des améliorations techniques et de développements sur nos solutions.
Tester, analyser et maintenir : Vous participerez à la mise en production des différentes versions, prenez en charge la maintenance applicative sur les solutions existantes et analyser/corriger les anomalies sur les applications existantes et en cours de développement.
Environnement technique apprécié pour le poste :
Langage Web / PHP
Langage Développement POO, C++, C#.
JAVA/J2EE
PYTHON
SGBD : MySQL
Votre profil _ : _
Bac +2 à Bac +5 dans une formation Web ou technique.
Vous avez acquis des compétences en développement, les avez mises en pratique dans différents projets de développement web ou applicatif.
Vous avez cette capacité à mener plusieurs projets et vous faites preuve d'excellentes qualités relationnelles. Vous êtes une personne autonome appréciant travailler en équipe.
Vous possédez un esprit logique et des capacités d’analyse.
La gestion de problèmes complexes vous stimule et vous appréciez la diversité des missions de développement.
Vous avez envie d’entreprendre de vous investir dans des projets innovants.
Informations sur le poste :
CDI, temps plein.
Expérience en développement, 2ans minimum.
Rémunération : 30à 35 Ke selon expérience.
Titres Restaurant, Mutuelle, Prévoyance.
Nos nouveaux locaux sont situés à Nantes, rue d’Athènes, proche du stade de la Beaujoire. Vous êtes également amené à intervenir dans les locaux de nos clients sur la région Grand Ouest.
La solidarité et la convivialité de l’équipe sont des piliers du quotidien.
Cette annonce correspond à votre profil et à votre projet professionnel, n’hésitez pas à nous contacter directement pour venir nous rencontrer.
L’entreprise BREIDIC favorise la diversité et l’accueil des handicaps. Nous étudions toutes candidatures à compétences égales
Type d'emploi : CDI
Salaire : 30 000,00€ à 36 000,00€ /an
Type d'emploi : CDI
Salaire : 30 000,00€ à 35 000,00€ /an
Type d'emploi : CDI
Salaire : 30 000,00€ à 35 000,00€ /an
Type d'emploi : CDI
Type d'emploi : CDI
Type d'emploi : CDI
Type d'emploi : CDI
Salaire : 35 000,00€ /an
Expérience:
développeur informatique h/f ou similaire: 3 ans (Souhaité)"
3,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%23&l=Nantes&radius=100&limit=100&sort=date&vjk=2fba672898c42458,"Développeur Full Stack H/F
SOLINA - Bréal-sous-Montfort (35)","['Bréal-sous-Montfort (35)', 'CDI']",Développeur Full Stack H/F,SOLINA,- Bréal-sous-Montfort (35),CDI,null,"il y a 21 heures
Signaler cette offre d'emploi",Développeur C#,Nantes,"Notre groupe SOLINA (1685 Personnes, 450 Millions Euros de CA, 18 sites de production en Europe, présent dans 18 pays) imagine, conçoit et développe des solutions à base d’ingrédients pour l’industrie agro-alimentaire.
Notre vision: « Creating Sensory Food Experiences ».
Dans le cadre de notre fort développement, nous recherchons un/une :
Développeur Full Stack H/F
Au sein de la DSI, vous intégrez l’équipe de développeurs. Dans le cadre de projets de développement visant à faire évoluer l’applicatif de PLM (Product Life Management) vers des technologies Web, vous appliquez la méthode Agile (Scrum) et intervenez dans les domaines suivants :
Mission :
Vous garantissez la bonne intégration des fonctionnalités des solutions informatiques applicatives choisies en réalisant les travaux d’analyse, de conception, de développement des composants FrontEnd et BackEnd, en collaboration avec les différents acteurs impliqués pour chacun des projets.
Responsabilités :
Vous participez à l’analyse des besoins et à la traduction en composants techniques ou en produits.
Vous participez également à la structuration de la solution technique répondant aux besoins fonctionnels.
Vous développez avec un souci de qualité du code.
Vous réalisez les tests unitaires avant mise en production.
Vous êtes force de proposition sur la méthodologie, les solutions fonctionnelles et techniques.
Vous rédigez la documentation.
Vous participez à la résolution des incidents et des problèmes.
Vous participez au maintien et à l’évolution des applications.
Vous effectuez la veille sur les outils et applications.
Vous transmettez et partagez vos compétences au sein de l’équipe IT.
Profil / Compétences :
Diplômé(e) d’une école d’ingénieur ou titulaire d’un bac + 5 en informatique dans l’idéal ; vous avez un minimum de 4 ans d'expérience. Vous justifiez d’une expérience de Développeur Full-Stack et avez une expertise technique d’applications ou de développement Web.
Vous maitrisez les technologies et outils suivants :
Angular ( > v2)
JavaScript (TypeScript)
Web service REST
.Net core / C# - Entity framework
SQL Server
Visual Studio 2019
La connaissance de l’environnement Hybride Azure serait un plus.
Vous savez communiquer en Anglais pour pouvoir coopérer avec vos homologues européens.
Le poste implique des déplacements occasionnels à l’étranger.
Vous êtes passionné(e) par les nouvelles technologies, le développement et avez une appétence prononcée pour l'algorithmie et la data.
Rejoignez-nous !
Ecrivez-nous avec en objet du mail la référence : « DevFS/IT4»
Type d'emploi : CDI"
4,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%23&l=Nantes&radius=100&limit=100&sort=date&vjk=0e728a09be7a59d2,"Developpeur .Net F/H
INSIDE NANTES - Nantes (44)","['Nantes (44)', 'CDI']",Developpeur .Net F/H,INSIDE NANTES,- Nantes (44),CDI,null,"Apec.fr - il y a 22 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur C#,Nantes,"MISSION

Développer des applications de gestion sur la plateforme .Net et améliorer les fonctionnalités de ces applications
Identifier les besoins exprimés par le chef de projet
Réaliser les documents de conception technique et fonctionnelle
Paramétrer les données et modifier les composants
Participer également à la phase « recette »
Profil recherché PROFIL RECHERCHÉ

Vous justifiez d’une expérience confirmée de plus de 2 ans dans le monde du développement .Net avec une connaissance technique de :

Visual Studio, C#, .NET Framework, .NET Core, ASP Web API, ASP .NET MVC, IIS, Windows Server, VSTS, Git

Technologies complémentaires : Angular 2+, VueJS, Docker, Visual Studio, HTML, CSS et le SQL

Ce que vous trouverez chez Inside :
Une équipe avec laquelle collaborer en toute transparence
Un environnement de travail technophile et stimulant (meet-up, afterwork technique, communautés techniques etc.)
Des méthodes de management qui encouragent l’autonomie
Une ambiance agréable et des locaux récent en plein coeur du centre-ville Nantais !
En tant que futur Insider vous êtes passionnés par votre métier, et dotés d’une exigence technique reconnue par tous .

La bonne humeur et l’initiative sont des critères importants pour devenir notre prochain Insider !

N’hésitez plus et rejoignez l’aventure Inside !
Entreprise L’agence novatrice INSIDE Nantes, spécialisée dans la transformation numérique recherche son futur talent ! Au cœur de l'ancienne cantine numérique de Nantes soit en plein centre du quartier digital de la Madeleine et dans le cadre de notre développement , nous recherchons un Développeur .Net (H/F) Vos missions pourront s'articuler autour des activités suivantes :"
5,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%23&l=Nantes&radius=100&limit=100&sort=date&vjk=23689d45ace86d97,"Consultant / Consultante DevOps
Zenika - Rennes (35)","['Rennes (35)', 'Temps plein, CDI', '35 000 € - 45 000 € par an']",Consultant / Consultante DevOps,Zenika,- Rennes (35),"Temps plein, CDI",35 000 € - 45 000 € par an,"il y a 22 heures
Signaler cette offre d'emploi",Développeur C#,Nantes,"Tu te dis que choisir et refuser tes missions, faire du télétravail, être formé régulièrement ne sont pas compatibles avec un job en ESN ?
Et si on te disait que chez Zenika c’est possible ! Rejoins nous en tant que Consultant / Consultante DevOps.
Notre projet : CODING THE WORLD
Depuis 2006, Zenika accompagne les entreprises dans leur transformation technologique, organisationnelle et managériale. Anticiper les évolutions est le coeur de notre activité, et comprendre les besoins de l’écosystème de demain se fait dès aujourd’hui. Notre volonté est de créer le lien entre le monde organique et le monde numérique et d'être reconnus comme un ""One Stop Shop"" par nos clients.
Depuis l’interface jusqu’à la data et son usage, le tout en mode agile, Zenika intervient dans les domaines d'expertises suivants : Développement Back-end, Front-end, Fullstack, Data, Big Data, Blockchain, DevOps, Mobilité, IoT, Intelligence Artificielle, Craftsmanship, Sécurité, Agilité et transformation des organisations.
Après les ouvertures successives des agences de Paris, Lyon, Rennes, Nantes, Lille, Bordeaux, Singapour, Montréal, Grenoble et Brest, le groupe souhaite poursuivre sa croissance et son rayonnement national et international.
Nos collab’Z portent au quotidien les valeurs du groupe : transparence, partage et convivialité !
L'agence de Rennes
Située dans les halles Oberthur, Zenika Rennes compte parmi ses forces vives une quarantaine de consultants développeurs, DevOps, Big data et agilistes qui seront peut être tes futurs collègues.
Présent depuis 2010 dans l’écosystème rennais, Zenika Rennes intervient sur des missions pointues de transformation numérique et organisationnelle : conception, industrialisation, coaching technique et agile, POC, conférences et formation.
Organisateur de meetup locaux et partenaire de Docker, Elastic, Github, Confluent, l’equipe revendique un positionnement tourné autour de l’open source et du collaboratif.
Il tient aussi à coeur à Zenika de s’impliquer dans la société et d'avoir une responsabilité sociale forte dans la communauté technique (meetups, conférences comme Le Festival des Libertés Numériques...) mais aussi non techniques.
Et enfin tu pourras participer à de nombreux événements d’agence (Petit dej du vendredi, Mardi Open Bar, Soirée jeu de sociétés, cours de musique, etc.)
Tes missions:
Tu es convaincu comme nous que l'intégration et le déploiement continus font partie des principes de base à mettre en place pour accélérer le développement des applications et en assurer la bonne qualité ?
Rejoins le pôle DevOps et aide nous à mettre en place une usine logicielle qui va de la construction des artéfacts jusqu'à leur déploiement sur les différents environnements sur lesquels ils doivent être testés et mis à disposition de leurs utilisateurs finaux.
Dans le cadre de ce type de mission, tu pourras :
- proposer les architectures techniques adaptées au contexte de l'entreprise pour la mise en place de l'intégration et du déploiement continu
- automatiser la mise en place de l'infrastructure associée
- proposer, installer, utiliser et accompagner les utilisateurs sur l'outil de modélisation du pipeline d'intégration et de déploiement continu
- être capable de proposer des pipelines de déploiement adaptés aux workflow de l'entreprise et aux plateformes cibles
- accompagner et travailler avec les développeurs et les responsables des infrastructures techniques pour mettre en place les solutions qui conviennent le mieux à tous dans un esprit de partage et de collaboration
- mettre en place les outils qui permettront de mesurer la pertinence des actions mises en place et d'assurer la maintenabilité des applications et des infrastructures techniques
Idéalement, tu maîtrises plusieurs des outils et langages suivants :
Compréhension des grands principes de la culture DevOps (CALMS, Three Ways)
Outils de scripting : shell, ruby, python, groovy
Outils de gestion de la configuration : Ansible, Chef, Puppet, Salt Stack, et les outils de tests associés
Outils de gestion de pipelines : Jenkins, GoCD, GitlabCI, Circle CI, Travis CI, CodeShip
Outils de centralisation des logs, de collecte et de visualisation des métriques : Stack Elastic, Graylog, Prometheus, OpenTSDB, InfluxDB, Grafana
Outils de containerisation : Docker, Rkt
Compréhension des systèmes distribués et répartis
Outils d'orchestration de containers : Kubernetes, Openshift, Swarm, DC/OS, CloudFoundry, Rancher
Outils de gestion de cloud privé : OpenStack, CloudStack, VMWare vSphere
Connaissances des clouds publiques : AWS, Azure, GCE, DigitalOcean
Langage de développement (Java, C#, Golang, Rust) et outils de build associés (maven, gradle, make)
Tu lis régulièrement les meilleurs blogs techniques, tu contribues peut-être même à un projet Open-Source.
Qu’est ce qu’on t’offre ?
En résumé, Zenika, te permettra :
De travailler au sein d’une équipe passionnée avec de l’entraide mais surtout de la bonne humeur,
De choisir d’intégrer ou quitter les projets clients de ton choix
De travailler dans un environnement agile
De réaliser des missions d’audit, d’expertise technique et des POCs
D’avoir du temps dédié pour contribuer à des projets Open-Source ou à tes projets personnels
D’animer ou de participer à des événements techniques
De participer aux meilleures conférences (Devoxx, Devfest, Breizhcamp, MixIT, BDX I/O, Snowcamp et bien d’autres)
D’avoir la possibilité de devenir formateur sur tes domaines d’expertise
De bénéficier de nos formations et de passer des certifications
De choisir ton matériel informatique (PC, Mac etc.)
De conserver un équilibre vie pro/vie perso (notamment avec le télétravail, les RTT,…)
Surtout, d’avoir ta garde robe aux couleurs de Zenika !
Ce que tu ne trouveras pas chez nous
Un poste en freelance, full remote
Un projet en centre de services où tu ne feras que de la TMA
Un management directif
Le vouvoiement
Un CEO/manager inaccessible et dans un bureau fermé
Une hiérarchie pyramidale
Du cycle en V
Ok, et si ton profil est retenu, que se passe-t-il ensuite ?
Tu rencontreras le/la chargé.e de recrutement afin de préciser tes attentes et les mettre en perspective avec ce que l'on peut te proposer chez Zenika.
La rencontre est positive, super ! On continue ! Un échange avec un de tes pairs mais surtout un de tes futurs collègues, un expert de nos équipes, qui évaluera avec toi ton potentiel technique !
Ce que l'on peut te proposer te plait ? Parfait ! Dernière étape, tu échanges avec le Directeur d’Agence & le Directeur Technique qui te présenteront l'agence, les missions potentielles et surtout notre manière d'accompagner nos collaborateurs dans leur parcours professionnel.
Les 3 étapes se sont bien déroulées? Magnifique, tu n'as plus qu'à dire oui à notre proposition d'embauche pour nous rejoindre !
Nous misons avant tout sur des profils, des potentiels et des personnalités. Le meilleur moyen de voir si ça match, c'est de postuler chez Zenika !
Type d'emploi : Temps plein, CDI
Salaire : 35 000,00€ à 45 000,00€ /an"
6,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%23&l=Nantes&radius=100&limit=100&sort=date&vjk=3cbc8da5200d4b60,"Ingénieur en développement C# .Net
Silkhom - Olonne-sur-Mer (85)","['Olonne-sur-Mer (85)', 'CDI']",Ingénieur en développement C# .Net,Silkhom,- Olonne-sur-Mer (85),CDI,null,"il y a 20 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur C#,Nantes,"Au sein de la DSI composée de 70 personnes, vous rejoindrez une équipe de 7 personnes (2 chefs de projets et 5 développeurs). Vous travaillerez sur le bon développement des projets informatiques principalement sur les projets Logistique (application et logiciels de gestion).
En tant que développeur, vous aurez pour mission de :
"" Participer à l'analyse des besoins ;
"" Développer, en C# .Net
"" Effectuer de la veille technologique
Environnement technologique : .Net, ASP.Net, .Net core, Angular, Jquery, SQLserver
Pourquoi rejoindre l'entreprise ?
Situé à deux pas de la mer, notre client offre un cadre de vie incroyable, avec une ambiance décontractée et une mentalité d'entraide mutuelle.
Un package intéressant est également présent (tickets restaurant, RTT, avantage en nature…).
Profil recherché
Développeur, vous avez entre 6 mois et 2 ans d’expérience sur des technos .Net.
Idéalement, vous connaissez Angular et javascript
Motivé, vous avez envie d’évoluer et d’apprendre dans une société en pleine croissance.
Compléments
Lieu : Olonne sur Mer
Contrat : CDI
Salaire : selon profil"
7,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%23&l=Nantes&radius=100&limit=100&sort=date&vjk=be78329b1f598b37,"Développeur d’Applications Web H/F
Aquascop - Angers (49)",['Angers (49)'],Développeur d’Applications Web H/F,Aquascop,- Angers (49),null,null,"Recruteo - il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur C#,Nantes,"Employeur: Aquascop
Type d'emploi: CDD
Lieu: Angers - 49


DESCRIPTION DU POSTE

Aquascop est un bureau d’études en environnement (50 personnes) spécialisé dans l’étude des milieux aquatiques.
Reconnu au niveau national pour son expertise en hydrobiologie et géomatique, l’entreprise est également éditeur de solutions logicielles applicatives dédiées aux métiers de l’eau.
En plein essor, nous recherchons actuellement un développeur ASP.Net C# et PHP afin de renforcer notre équipe de développement.
Vous intégrez l’équipe informatique et participez au développement de nos solutions Web destinées à nos clients.
Vous vous formez à la gestion des eaux superficielles et souterraines et découvrez la gestion de l’eau potable et des eaux usées au contact de nos experts fonctionnels.
Vous participez également aux tâches de maintenance et de développement des outils internes (ERP, outils de planification…) pour le bureau d’études.

PROFIL DU CANDIDAT
De formation supérieure en informatique, vous justifiez idéalement d’une première expérience dans le développement d’applications orientées web et en particulier dans les technologies ASP.Net (C#) en environnement SQL Server/Oracle/PostgreSQL. Toute maîtrise complémentaire de frameworks JavaScript, d’ORM (NHibernate/EF), de composants (Telerik) ou de technologies de Reporting (Crystal Report…) serait un plus apprécié.
Vous aspirez à travailler sur des projets complexes avec un fonctionnel riche. Vous êtes autonome, curieux et appréciez la relation technique/métier avec nos experts fonctionnels.
Vos qualités humaines, votre volonté de polyvalence associée à votre autonomie vous permettent d’intégrer sans problème l’équipe déjà en place.
L’article Développeur d’Applications Web H/F est apparu en premier sur Recruteo - Le Site Emploi Web."
8,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%23&l=Nantes&radius=100&limit=100&sort=date&vjk=f5c582668147bb34,"Développeur Logiciel H/F
Soregor12 avis - Angers (49)",['Angers (49)'],Développeur Logiciel H/F,Soregor,- Angers (49),null,null,"Recruteo - il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur C#,Nantes,"Employeur: Soregor
Type d'emploi: CDD
Lieu: Angers - 49


DESCRIPTION DU POSTE

Chez Adventi, filiale informatique du Groupe Soregor, nous avons pour vocation de faire grandir l’entrepreneur ou le dirigeant d’entreprise dans le cadre d’une relation humaine et durable.
Adventi intervient auprès des TPE et PME sur différentes expertises telles que l’édition de logiciel de gestion, l’intégration d’ERP, l’infogérance, l’assistance, le matériel, la formation, la sécurité, l’audit informatique…
Dans le cadre d’un remplacement, notre service développement est à la recherche d’1 Développeur Logiciel H/F basé à Beaucouzé, en CDI à temps complet.
Sous la responsabilité de Christine, manager du service, et Cédric, architecte logiciel, vous assurez :
– Le travail en collaboration avec les responsables métiers (comptabilité, social…) sur les spécifications fonctionnelles et les interfaces graphiques proposées ainsi que l’étude des solutions techniques pour la mise en oeuvre des demandes.

– Le développement des programmes (50% en WINDEV et 50% en.NET) de manière structurée dans le respect des normes et des critères de charges, délais et qualité avec la prise en charge des modifications des bases de données, en respectant l’intégrité et la cohérence des modèles, le maintien des programmes existants, la rédaction de la documentation du code, la réalisation des tests unitaires ainsi que le packaging des versions et des patchs correctifs en respectant les bonnes pratiques et en documentant les modifications.
– Assurer un support technique aux services d’assistance.
– Rendre compte de l’avancement des travaux / difficultés rencontrées à son manager de pôle.

PROFIL DU CANDIDAT
Idéalement vous êtes développeur d’application en langage Windev et.NET (C#, ASP.NET MVC).
Vous avez cet esprit d’équipe et votre curiosité ainsi que votre soif d’apprendre vous permettent d’appréhender des projets ambitieux dans des environnements techniques innovants.
Que dire de plus
Ce poste est fait pour vous !
Alors mettez à jour votre CV, préparer quelques mots sur vous et envoyer le tout à rh-recrutement.3028619.4@rhapply.com
L’article Développeur Logiciel H/F est apparu en premier sur Recruteo - Le Site Emploi Web."
9,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%23&l=Nantes&radius=100&limit=100&sort=date&vjk=5bd4edb5b95d3dae,"Ingénieur D'affaires Nantes (H/F)
Fed Business - Loire-Atlantique","['Loire-Atlantique', 'CDI', '45 000 € par an']",Ingénieur D'affaires Nantes (H/F),Fed Business,- Loire-Atlantique,CDI,45 000 € par an,"il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur C#,Nantes,"Fed Business, cabinet de recrutement spécialisé, recherche pour un de ses clients spécialisé dans le numérique un Ingénieur d'affaires sur Nantes (H/F).
Notre client recherche un(e) nouvel(le) ingénieur(e) d'affaires afin de trouver et répondre au mieux aux besoins de nos clients allant du développeur back-end C# au chef de projet fonctionnel ou encore à l'administrateur système et réseau
Mission
Vous aimez identifier des interlocuteurs décideurs, répondre à des appels d'offres ou encore négocier des deals ?

Vous aimez identifier, rechercher et détecter des projets chez des prospects ?

La gestion d'un portefeuille clients grands comptes ne vous fait pas peur ?

Option 1 : Oui j'adore ! :) -> Parfait, alors ne bougez pas et continuez à lire tranquillement la suite de notre annonce !
Option 2 : Non désolé… :( -> Quel dommage… Je vous invite donc à partager notre offre avec une personne de votre entourage qui pourrait être intéressée par ce poste !

Vous aurez également comme missions :

Participer aux recrutements des collaborateurs
Suivre les collaborateurs en missions
Participer aux entretiens annuels
Gérer les objectifs de marge de votre activité

Vous interviendrez dans différents secteurs d'activité : assurances, banques, santé, télécoms, industries auprès de clients grands comptes pour lesquels nous intervenons sous différents modes contractuels.
Profil
Nous cherchons une personne proactive qui n'hésite pas à prendre des contacts et parfois des vestes ! Oui malheureusement certaines personnes ne sont pas très « douces » au téléphone (ou par mail) mais heureusement d'autres vous feront garder le sourire en toute circonstance !

Nous recherchons un profil ayant suivi une formation supérieure niveau bac+4/5 avec une expérience minimum de 1 an dans un poste similaire (au sein d'une ESN ou d'un cabinet de recrutement spécialisé dans la recherche de profils IT)."
