,id,meta1,meta2,titre_poste,entreprise,localisation,contrat,salaire,date_publication,keyword_metier,keyword_localisation,description
0,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%2B%2B&l=Nantes&radius=100&limit=100&sort=date&advn=7736870941523477&vjk=2592ae37aebaeb80,"DÉVELOPPEUR C++ EMBARQUÉ (H/F)
sii39 avis - Cholet (49)",['Cholet (49)'],DÉVELOPPEUR C++ EMBARQUÉ (H/F),sii,- Cholet (49),null,null,"JobinTree - il y a 15 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur C++,Nantes,"Description du poste :sii atlantique c'est :
240 fungénieurs qui partagent un même esprit #collectif #partage
des clients grands comptes qui t'apporteront de la richesse technique, fonctionnelle et méthodologique
un suivi régulier et personnalisé : ton manager, ta référente rh et ta référente administrative seront là pour t'accompagner dans l'aventure sii
des moments de fun et de partage : afterworks, soirées d'agence, événements sportifs, petits déjeuners …
des speak up au moins tous les 15 jours
des formations régulières adaptées à tes envies et à ton évolution

bonjour à toi qui lit cette annonce,

marie-laure, marine et pauline, funrh, sommes missionnées par nos pilotes de projet, spécialisés dans le domaine de la défense, pour renforcer nos équipes ! nous recherchons notre futur(e) développeur(euse) c++ logiciel temps réel embarqué.

que peut-on te promettre ? en tant que développeur(euse) tu interviendras sur toutes les phases de développement :

participer à l'élaboration des spécifications logicielles
développer les logiciels sur la base de spécifications
participer à la conception logicielle
développer les modules logiciels embarqués et tester le bon fonctionnement de manière unitaire
présenter lors de reviews de fin de sprint les fonctionnalités implémentées

en fonction de tes compétences et aspirations, tu peux être référent(e) technique de notre équipe ou rejoindre notre équipe d'experts dont le rôle est multiple : veille technologique qui peut générer des speak up, missions d'expertise, expérimentations et des sujets divers (accompagnement aux entretiens d'embauche, participation aux salons …).

et si tu te lasses de ta mission ? toute l'équipe sera à ton écoute et nous te trouverons un nouveau projet.

et si tu veux évoluer ? la formation est l'un des piliers chez sii, nous t'accompagnons dans ton projet d'évolution et te trouverons une mission cohérente vis-à-vis de ce projet.

au-delà de ta mission nous te proposons de participer à la vie de l'agence : retrouver tes collègues autour d'un déjeuner technique, intégrer les communautés techniques et projets pour partager, échanger lors des soirées d'agence, et participer au projet de développement de l'entreprise.

Description de l'entreprise :
le groupe sii est au cœur de l'innovation au service de grands comptes dans des secteurs d'ingénierie variés. sii est fier de compter aujourd'hui 10 000 experts à travers 80 implantations dans le monde.

animés de cette même passion pour la technologie et l'innovation, les collaborateurs sii peuvent exercer leur métier dans un cadre bienveillant, de proximité avec une dose de fun. ils intègrent le mouvement #fungenieur dans lequel la créativité et l'esprit d'équipe sont mis à l'honneur.

au palmarès great place to work 2019, le groupe sii a également été labélisé happy candidate et meilleur employeur 2019 dans la catégorie high tech par le magazine capital. il est signataire de la charte de la diversité en entreprise. c'est une société handi-accueillante.

suivez-nous sur les réseaux sociaux : facebook, linkedin, viadeo ou twitter !

Profil recherché :
dans l'idéal (oui uniquement dans l'idéal, chez nous on ne cherche pas qu'un cv mais une collaboration durable), tu as 2 ans d'expérience sur un projet similaire, et tu as de réelles compétences c++, embarqué.

tu veux en savoir plus ? notre équipe de funrh sera ravie de te rencontrer et de t'en dire plus !

au palmarès great place to work 2019, sii a également été labélisé happy candidate et meilleur employeur 2019 par la revue capital.

le groupe sii est signataire de la charte de la diversité en entreprise et est une entreprise handi-accueillante.

#li-mo1"
1,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%2B%2B&l=Nantes&radius=100&limit=100&sort=date&vjk=b8e7bee31066dd9d,"Développeur informatique H/F
BREIDIC - Nantes (44)","['Nantes (44)', 'CDI', '35 000 € par an']",Développeur informatique H/F,BREIDIC,- Nantes (44),CDI,35 000 € par an,"il y a 23 heures
Signaler cette offre d'emploi",Développeur C++,Nantes,"Description du poste
BREIDIC, filiale agile et indépendante au service d’un grand groupe bancaire et de toute organisation cherchant à implémenter des solutions innovantes et efficientes, intervient depuis plus de 10 ans, sur le marché de la digitalisation.
BREIDIC a su rapidement s’imposer en tant que Pôle d’excellence dans les domaines de l’Ingénierie Documentaire, de la Dématérialisation, de la LAD-RAD, et du développement et la mise en œuvre de services numériques de gestion associés ou intégrant ces divers domaines.
L’offre de services BREIDIC, organisée autour du domaine de la digitalisation, intègre une expertise globale du flux documentaire et la capacité d’intervenir en AMOA, MOE, développement, intégration, déploiement et formation.
Doté d’une culture forte de co-création et de collaboration, BREIDIC s’attache à développer, avec ses clients, des solutions au plus près de leurs besoins, et les accompagne pour une adhésion réussie des équipes métier et utilisateurs clients.
Notre forte croissance nécessite des outils web et applicatifs de plus en plus importants et pour cela, nous souhaitons renforcer notre équipe de développement et nous recherchons :
Un/Une Développeur (se) d’application innovante et digitale
Nous vous proposons de rejoindre une jeune équipe dynamique de développeurs sur notre tout nouveau site nantais, cadre de travail moderne et idéal pour nos équipes de développement informatique et numérique.
Après une formation sur nos métiers et nos techniques de développement, dans le respect des normes et de la sécurité, vous serez en charge de concevoir et de personnaliser des solutions pour nos clients dans le domaine de la digitalisation de processus métier.
Vos missions consisteront à :
Développer : Vous développez les nouveaux sites ou applications du groupe. Vous intervenez sur les parties Back / Front / Déploiement suivant vos compétences. Vous travaillez sur de nouveaux projets, des nouvelles fonctionnalités, des corrections et évolutions. Vous rédigez les spécifications (cahier des charges) et documentations techniques et pilotez un projet en lien avec un public spécialisé dans les métiers de la Banque.
Concevoir : En lien quotidien avec l’équipe technique, vous participez à la conception et à l’optimisation fonctionnelle de nos solutions actuelles et futures. Vous écrivez et proposez des spécifications techniques ainsi que des améliorations techniques et de développements sur nos solutions.
Tester, analyser et maintenir : Vous participerez à la mise en production des différentes versions, prenez en charge la maintenance applicative sur les solutions existantes et analyser/corriger les anomalies sur les applications existantes et en cours de développement.
Environnement technique apprécié pour le poste :
Langage Web / PHP
Langage Développement POO, C++, C#.
JAVA/J2EE
PYTHON
SGBD : MySQL
Votre profil _ : _
Bac +2 à Bac +5 dans une formation Web ou technique.
Vous avez acquis des compétences en développement, les avez mises en pratique dans différents projets de développement web ou applicatif.
Vous avez cette capacité à mener plusieurs projets et vous faites preuve d'excellentes qualités relationnelles. Vous êtes une personne autonome appréciant travailler en équipe.
Vous possédez un esprit logique et des capacités d’analyse.
La gestion de problèmes complexes vous stimule et vous appréciez la diversité des missions de développement.
Vous avez envie d’entreprendre de vous investir dans des projets innovants.
Informations sur le poste :
CDI, temps plein.
Expérience en développement, 2ans minimum.
Rémunération : 30à 35 Ke selon expérience.
Titres Restaurant, Mutuelle, Prévoyance.
Nos nouveaux locaux sont situés à Nantes, rue d’Athènes, proche du stade de la Beaujoire. Vous êtes également amené à intervenir dans les locaux de nos clients sur la région Grand Ouest.
La solidarité et la convivialité de l’équipe sont des piliers du quotidien.
Cette annonce correspond à votre profil et à votre projet professionnel, n’hésitez pas à nous contacter directement pour venir nous rencontrer.
L’entreprise BREIDIC favorise la diversité et l’accueil des handicaps. Nous étudions toutes candidatures à compétences égales
Type d'emploi : CDI
Salaire : 30 000,00€ à 36 000,00€ /an
Type d'emploi : CDI
Salaire : 30 000,00€ à 35 000,00€ /an
Type d'emploi : CDI
Salaire : 30 000,00€ à 35 000,00€ /an
Type d'emploi : CDI
Type d'emploi : CDI
Type d'emploi : CDI
Type d'emploi : CDI
Salaire : 35 000,00€ /an
Expérience:
développeur informatique h/f ou similaire: 3 ans (Souhaité)"
2,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%2B%2B&l=Nantes&radius=100&limit=100&sort=date&vjk=881eebc3dd716b04,"Développeur C++ Embarqué (F/H)
Groupe SII4 avis - Nantes (44)",['Nantes (44)'],Développeur C++ Embarqué (F/H),Groupe SII,- Nantes (44),null,null,"il y a 3 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur C++,Nantes,"Description du poste :
SII Atlantique c’est :
240 Fungénieurs qui partagent un même esprit #collectif #partage
Des clients Grands Comptes qui t’apporteront de la richesse technique, fonctionnelle et méthodologique
Un suivi régulier et personnalisé : ton manager, ta référente RH et ta référente administrative seront là pour t’accompagner dans l’aventure SII
Des moments de fun et de partage : AfterWorks, Soirées d’agence, événements sportifs, petits déjeuners …
Des speak up au moins tous les 15 jours
Des formations régulières adaptées à tes envies et à ton évolution
Bonjour à toi qui lit cette annonce,
Marie-Laure, Marine et Pauline, FunRH, sommes missionnées par nos pilotes de projet, spécialisés dans le domaine de la défense, pour renforcer nos équipes ! Nous recherchons notre futur(e) développeur(euse) C++ logiciel temps réel embarqué.
Que peut-on te promettre ? En tant que développeur(euse) tu interviendras sur toutes les phases de développement :
Participer à l’élaboration des spécifications logicielles
Développer les logiciels sur la base de spécifications
Participer à la conception logicielle
Développer les modules logiciels embarqués et tester le bon fonctionnement de manière unitaire
Présenter lors de Reviews de fin de sprint les fonctionnalités implémentées

En fonction de tes compétences et aspirations, tu peux être référent(e) technique de notre équipe ou rejoindre notre équipe d’experts dont le rôle est multiple : veille technologique qui peut générer des speak up, missions d’expertise, expérimentations et des sujets divers (accompagnement aux entretiens d’embauche, participation aux salons …).
Et si tu te lasses de ta mission ? Toute l’équipe sera à ton écoute et nous te trouverons un nouveau projet.
Et si tu veux évoluer ? La formation est l’un des piliers chez SII, nous t’accompagnons dans ton projet d’évolution et te trouverons une mission cohérente vis-à-vis de ce projet.
Au-delà de ta mission nous te proposons de participer à la vie de l’agence : retrouver tes collègues autour d’un déjeuner technique, intégrer les communautés techniques et projets pour partager, échanger lors des soirées d’agence, et participer au projet de développement de l’entreprise.
Profil:
Dans l’idéal (oui uniquement dans l’idéal, chez nous on ne cherche pas qu’un CV mais une collaboration durable), tu as 2 ans d’expérience sur un projet similaire, et tu as de réelles compétences C++, embarqué.
Tu veux en savoir plus ? Notre équipe de FunRH sera ravie de te rencontrer et de t’en dire plus !
Suivez nous sur les réseaux sociaux : Facebook, Linkedin, Viadeo ou Twitter :@SII_Atlantique !
Au palmarès Great place To Work 2019, SII a également été labélisé Happy Candidate et Meilleur Employeur 2019 par la revue Capital.
Le Groupe SII est signataire de la Charte de la diversité en entreprise et est une entreprise handi-accueillante.
#LI-MO1
Le Groupe SII est au cœur de l’innovation au service de grands comptes dans des secteurs d’ingénierie variés. SII est fier de compter aujourd’hui 10 000 experts à travers 80 implantations dans le monde.
Animés de cette même passion pour la technologie et l’innovation, les collaborateurs SII peuvent exercer leur métier dans un cadre bienveillant, de proximité avec une dose de fun. Ils intègrent le mouvement #fungenieur dans lequel la créativité et l’esprit d’équipe sont mis à l’honneur.
Au palmarès Great place To Work 2019, le Groupe SII a également été labélisé Happy Candidate et Meilleur Employeur 2019 dans la catégorie High Tech par le magazine Capital. Il est signataire de la Charte de la diversité en entreprise. C’est une société handi-accueillante.
Suivez-nous sur les réseaux sociaux : Facebook, Linkedin, Viadeo ou Twitter !
Compétences :
Référence de l’annonce :
DCE49-22
Expérience:
2-5 ans
Qualification:
Consultant
Rémunération:
Selon profil

POSTULER"
3,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%2B%2B&l=Nantes&radius=100&limit=100&sort=date&vjk=801beea5aa275cf6,"Développeur C++ (h/f)
Conserto - Nantes (44)","['Nantes (44)', 'CDI']",Développeur C++ (h/f),Conserto,- Nantes (44),CDI,null,"Apec.fr - il y a 3 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur C++,Nantes,"Dans le cadre de notre développement sur Nantes, nous cherchons à renforcer notre équipe en recrutant un développeur (h/f) C++.

Vous êtes amenés à réaliser les missions suivantes :
Conception / modélisation UML

Développement C++

Tests et qualité de code en environnement d'intégration continue

Le contenu des missions est un sujet dont nous discutons avant d'avancer pour cibler au mieux selon vos attentes et les nôtres.
Profil recherché Chez Conserto, nous avons une forte culture d'entreprise ! Avant tout, nous recherchons quelqu'un avec qui on se voit bien travailler. Ensuite viennent les compétences techniques : pour ce poste vous avez minimum 5 ans d'expérience sur du C++ et vous êtes autonomes sur les outils/librairies suivants :

OS Linux embarqué

Mercurial / Git

Qt / Boost

L'anglais courant est fortement apprécié.
Entreprise Avant de parler boulot, parlons un peu de l'entreprise !

CONSERTO est née il y a 6 ans à Nantes, désormais notre siège. On s'est beaucoup développé, aujourd'hui nous sommes plus de 400 salariés répartis sur 8 agences : Nantes, Rennes, Niort, Paris, Montpellier, Toulouse, Bordeaux & Lyon !

Nous avons voulu une société Agile, au plus proche de nos collaborateurs et de nos clients,

Comment

Par l'indépendance de nos agences

Une relation 1 TO 1 avec l'ensemble des parties prenantes

Une société technophile basée sur la création de communautés de passionnés et d'experts sur les métiers du digital, cloud, embarqué & robotique.

Notre modèle est basé sur l'accompagnement de chacun, l'innovation permanente, et l'expertise technique.

Pourquoi Conserto

Pour construire un projet pro/carrière (Formations, Conférences, évènements techniques)

Pour être dans une société où il fait bon vivre (mobilité restreinte, Great Place to Work)

Pour rejoindre une équipe (soirées d'agences, afterworks, défis sportifs, Ludoserto..."
4,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%2B%2B&l=Nantes&radius=100&limit=100&sort=date&vjk=0be6eee6e68049ad,"Ingénieur Développer C++/QT F/H
AKKA I&S2 avis - Nantes (44)","['Nantes (44)', 'CDI']",Ingénieur Développer C++/QT F/H,AKKA I&S,- Nantes (44),CDI,null,"Apec.fr - il y a 4 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur C++,Nantes,"Nous recherchons des Développeurs IHM Embarqué et Applicatif Logiciel PC (F/H) pour nous rejoindre et intégrer un projet à la pointe de l'innovation en milieu industriel, à Nantes (44).

Intégré à l'équipe et accompagné par un chef de projet, vous intervenez sur l'ensemble des phases du projet :

o Participer à la conception logicielle,

o Développer, tester et valider les IHM,

o Rédiger la documentation technique associée,

o Et assurer la relation client.

Méthodologie projet : Scrum

A compétences égales, ce poste est ouvert aux personnes en situation de handicap
Profil recherché De formation BAC+4/+5 (type école d'ingénieurs et /ou parcours universitaires), vous avez une expérience de 2 ans minimum sur un poste en développement C++/Qt. Vous avez donc développé des compétences et une expertise technique dans les technologies suivantes :

o Compétences techniques indispensables : Langage de programmation C++ / Librairie Qt, QML

o Connaissances nécessaires : Modélisation sous UML / MFC

Et si vous rejoigniez notre équipe pour un nouveau challenge stimulant et motivant ? Nous rejoindre, c'est :

o Evoluer dans des équipes dynamiques avec le support d'un chef de projet et d'un lead tech,

o Développer vos compétences sur des projets innovants et dans des domaines qui vous passionnent,

o Travailler dans différents secteurs : auto, aéro, IT, défense, ferro, robotique et bien d'autres encore.

Et si vous rejoigniez notre équipe pour un nouveau challenge stimulant et motivant ?

Un groupe qui valorise avant tout ses compétences techniques
Un environnement international
La possibilité de découvrir des secteurs d'activités passionnants : Aéronautique, Ferroviaire, Automobile, Défense, Energie.
L'opportunité de travailler sur des missions à forte valeur ajoutée de A à Z
...tout en étant accompagné par un leader technique sur le terrain
N'oublions pas ... Akka c'est aussi .....

Un groupe élu top employeur pour la 3ème année consécutive
Une équipe de business manager et recruteurs humains, réactifs et ayant le goût du challenge.
Une ambiance chaleureuse
Des clients situés sur une région de l'hexagone où il fait bon vivre !
Entreprise AKKA Technologies, expert reconnu de l'Ingénierie et du Conseil en Technologies, compte aujourd'hui plus de 20 000 collaborateurs dans le monde.

Nos équipes accompagnent les acteurs des secteurs industriels et tertiaires dans leur processus d'innovation. Notre mission est de contribuer à l'amélioration de leur productivité, à travers des expertises métiers complémentaires : Ingénierie Mécanique, Process et Documentaire, Informatique Industrielle et Systèmes Embarqués, Systèmes d'Information.

Le Groupe est présent dans plus de 20 pays : Allemagne, Belgique, Espagne, France, Inde, Italie, Maroc, Roumanie, Royaume-Uni, Canada, US..."
5,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%2B%2B&l=Nantes&radius=100&limit=100&sort=date&vjk=18d919a236909250,"Ingénieur Cybersécurité ·Développeur C/C++ F/H
DGA DRH CPP FDCO - Bruz (35)","['Bruz (35)', 'CDI']",Ingénieur Cybersécurité ·Développeur C/C++ F/H,DGA DRH CPP FDCO,- Bruz (35),CDI,null,"Apec.fr - il y a 5 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur C++,Nantes,"Mission　: Développeur C/C++ à Conception et développement d’outils de cyberdéfense en C/C++.

Mots clés　: #Linux, #sécurité, #C#C++#cyberDéfense

Contexte　:
Dans le cadre du renfort de ses activités de recherche et développement dans les domaines de la sécurité informatique et de la Cyberdéfense, les divisions «　Sécurité des Systèmes d’Information　» de la Direction Générale de l’Armement, site de Bruz (près de Rennes), recrutent un Développeur (H/F) dans le domaine des systèmes d’information. La maitrise du langage C/C++ est souhaitable.
Profil recherché Titulaire d’un diplôme de niveau BAC+5 (ingénieur, master 2, etc.), vous justifiez de compétences sur l’un ou plusieurs des sujets suivants　:

Connaissances métier　:
Maitrise des frame-work portail web et des langages associés (ex. Python, PHP, Java …)
Maitrise des SGBD et langages associés (ex　: Perl)
Maitrise des langages C/C++ (optionnel)
Systèmes Unix/Linux
Sécurité informatique, pentest, etc.
Connaissances générales　:
Appétence pour les développements bas niveau
Veille sur les techniques d'intrusion et menaces cyberdéfense
Développement agiles, Devops　: jira, jenkins.
Qualités personnelles　:
Curieux, à la recherche de nouveaux défis,
Aimer innover, bon esprit de synthèse.
Entreprise MINISTERE DES ARMEES

DGA-Maîtrise de l’information (ex CELAR)

A Bruz – 15 km de Rennes (35)

1500 collaborateurs

https://www.defense.gouv.fr/dga/recrutement2/recrutement-cyberdefense"
6,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%2B%2B&l=Nantes&radius=100&limit=100&sort=date&vjk=26a8d10c9d190790,"Développeur informatique testeur - Cholet (49) (H/F)
Manpower15,791 avis - Cholet (49)","['Cholet (49)', 'Intérim']",Développeur informatique testeur - Cholet (49) (H/F),Manpower,- Cholet (49),Intérim,null,"il y a 5 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur C++,Nantes,"L'entreprise
Manpower NANTES INFORMATIQUE recherche pour son client, un acteur du secteur des Industries manufacturières et production, un Développeur informatique testeur - Cholet (49) (H/F).
Les missions
Vos missions seront les suivantes:

élaboration du plan de test logiciel général et unitaire
écriture des scénarios de test
programmation des simulateurs de test
exécution des tests
validation et tests
Le profil
De formation BAC +2/3 en Informatique, vous disposez d'une première expérience dans le développement ou test de logiciel embarqué.

Compétences techniques requises:

Langage: Labview, C, C++ et C#
Matériel: connaissance des architectures embarquées (Micro 8/16/32 bits)

Maîtrise de l'anglais


Comités d’entreprise
Compte épargne temps
CDI-Intérimaire...

Vous vous reconnaissez dans cette proposition, alors postulez !
Dans le cadre de sa politique diversité, Manpower étudie, à compétences égales, toutes candidatures dont celles de personnes en situation de handicap
Postuler avec Postuler à cette offre"
7,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%2B%2B&l=Nantes&radius=100&limit=100&sort=date&vjk=b3a161b6d95ffd40,"Développeur TV Numérique F/H
OXXEO CONSULTING - Rennes (35)","['Rennes (35)', 'CDI']",Développeur TV Numérique F/H,OXXEO CONSULTING,- Rennes (35),CDI,null,"Apec.fr - il y a 5 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur C++,Nantes,"Nous recherchons un développeur TV Numérique pour participer au développement et l’intégration de modules logiciels temps-réel. Intégrer au sein de nos équipes, vos principales missions seront :

Participation aux spécifications

Intégration et développement de modules logiciels

Développement multi thread / multi tâches

Mise en œuvre environnement Docker.

Développement de tests unitaires / fonctionnels
Profil recherché De formation supérieure Bac +5 (écoles d'ingénieurs et/ou parcours universitaires) vous disposez au minimum d'une première expérience de 2 ans dans le domaine de la TV Numérique.

Compétences indispensables :
Très bonne maîtrise en C embarqué / C++, Linux, architecture et conception logicielle

Connaissance des standard de la TV (MPEG-2/H264/HEVC, Audio MP1L2/AAC/AC3, MPEG-2 TS, ...)

Connaissance kernel/drivers linux

Autonomie et sens des responsabilités

Anglais oral & écrit
Entreprise Oxxeo est une entreprise de services du numérique nouvelle génération, spécialisée dans le conseil et l’ingénierie digitale. Notre modèle est basé sur des valeurs fortes, où l'humain est au cœur de la société : passion, esprit d’équipe, transparence, épanouissement & convivialité."
8,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%2B%2B&l=Nantes&radius=100&limit=100&sort=date&vjk=1566457a8360c14a,"Ingénieur / développeur logiciel C++ (HPC) - Éditeur - H/F
Seyos4 avis - Nantes (44)","['Nantes (44)', 'Temps plein, CDI']",Ingénieur / développeur logiciel C++ (HPC) - Éditeur - H/F,Seyos,- Nantes (44),"Temps plein, CDI",null,"il y a 6 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur C++,Nantes,"Seyos est un cabinet de recrutement spécialisé dans les métiers de l'IT. Nous proposons aux candidats des opportunités professionnelles uniquement au sein de clients finaux : éditeurs de logiciels, startups, DSI.

Notre client, une startup nantaise (créée en 2015) de 20 personnes intervenant dans l'édition de logiciels dédiés à la simulation numérique, propose des solutions à ses clients sur les secteurs maritime, automobile, aéronautique, des procédés ou de l'énergie.

Au sein de l'équipe logicielle et en collaboration étroite avec la R&D, vous garantissez et améliorez les performances de solveurs. Vous serez également en charge de maintenir et développer un nouveau framework de solveurs à destination de scientifiques.

Dans ce contexte, vos missions seront de :
Concevoir, maintenir et développer des solveurs C++ nouvelle génération orientés objets
Paralléliser et optimiser les solveurs sur des supercalculateurs
Gérer le développement de frameworks solveurs
Contribuer aux roadmaps techniques et assurer une veille technologique sur le calcul haute performance (HPC)
Caractéristiques techniques : C++, Open MP, Open CL, Vtune

Profil :
Vous avez une expérience significative en C++ sur des solveurs hautes performances
Vous êtes tourné vers l'innovation et la recherche de solutions
Vous êtes un bon communiquant et appréciez travailler en équipe"
9,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%2B%2B&l=Nantes&radius=100&limit=100&sort=date&vjk=8b47778e969be0e6,"Développeur C++ / C# CONFIRME / Freelance
E3M MANAGEMENT - Nantes (44)","['Nantes (44)', 'Temps plein, Freelance / Indépendant']",Développeur C++ / C# CONFIRME / Freelance,E3M MANAGEMENT,- Nantes (44),"Temps plein, Freelance / Indépendant",null,"Freelance-info - il y a 7 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur C++,Nantes,"Description:
Conception développement :
Analyser les demandes d’évolutions complexes
Rédiger les spécifications (générales et détaillées) des demandes d’évolution
Produire des développements de services complexes
Suivi de l’industrialisation (packaging) des composants
Support à la qualification et intégration socle des pilotes constructeurs
Echanger avec les constructeurs de matériel
Qualifier et instruire les tickets d’incidents et de problèmes
Compétences techniques :
C, C++, C# (Obligatoire niveau confirmé à sénior)
Java (connaissance à minima)
OS Microsoft (connaissance à minima)
Android (optionnel)
Node.js (optionnel)
Développement de composants communicants / réseau
JavaScript / HTML
Processus ITIL
Scripting
.Net (Windows Mobile)"
