,id,meta1,meta2,titre_poste,entreprise,localisation,contrat,salaire,date_publication,keyword_metier,keyword_localisation,description
0,https://www.indeed.fr/emplois?q=Int%C3%A9grateur%20Web&l=Nantes&radius=100&limit=100&sort=date&vjk=b11f564037e061bc,null,[],null,null,null,"Temps plein, Freelance / Indépendant, CDI",null,"il y a 4 heures
Signaler cette offre d'emploi",Intégrateur Web,Nantes,"Vous ?
Vous souhaitez accompagner des utilisateurs dans les évolutions technologiques qu’ils peuvent connaître ?
Vous aimez relever des défis dans un contexte métier exigeant et complexe ?
Alors ce poste d'ingénieur DevOps/ Performance Applicative est fait pour vous !
Le poste ?
Intégré(e) au sein d'une équipe technique, sous la conduite d'un chef de projet, vous serez responsable d’assurer l’intégration, la disponibilité et la performance d'applications métiers (banque/assurance, Transports, Multimédia). Vos missions sont diverses :
Réalisation de l’intégration technique d’application,
Automatiser les installations.
Participer à l’élaboration des dossiers techniques pour l’exploitation et l’intégration, la mise en supervision et le monitoring des applications.
Réaliser les travaux selon le respect du planning, conformément aux instructions des dossiers d’exploitation,
Assurer le maintien en conditions opérationnelles des applications,
Qualification/Organisation des opérations de production.
Possédant une bonne culture technique, notamment sur Java, vous êtes force de proposition dans la recherche des causes des problèmes de performance, et proposez des axes de recherche ou d'amélioration à l'équipe de développement. Vous maitrisez les compétences techniques suivantes :
Architecture Web (résilience, scalabilité)
Environnement Linux
Integration continue (jenkins, puppet, git, rundeck)
Scripting (shell, python, groovybatch),
Méthodes Agiles
Technologies web (tomcat, nodejs, apache, nginx, haproxy, drupal, redis, varnish, kafka zookeeper)
Développement (ruby, java) & nouvelles technos (mesos, kubernetes, swarm, docker)
La maitrise et une connaissance Cloud public (Aws, Azur) serait un plus.
Force de proposition, vous communiquez aisément à l'écrit comme à l'oral. Afin de définir au mieux le besoin de votre client, vous savez mettre votre esprit d’analyse au service de sujets fonctionnellement complexes et/ou nouveaux.
Les petits plus clients !
Un cadre de travail agréable et dynamique,
Une mobilité limitée à Nantes et son agglomération,
Un groupe en pleine croissance,
Un management bienveillant,
Un suivi de carrière personnalisé !
De bonnes raisons de rejoindre Apside ?
Un esprit start-up avec la stabilité d’un grand groupe, qui favorise l’agilité, le travail d’équipe et la proximité. Alors qu’Apside ne cesse d'agrandir sa famille déjà forte de plus de 2800 consultants, nous sommes à la recherche des nouveaux talents du numérique !
Participez et/ou animez nos soirées techniques (Project Lab, Test Lab…),
Participez à des évènements de Nantes et d’ailleurs (DevFest, Devoxxx, JFTL, Web2Day…)
Rejoignez l’Apside Academy (Meet up Agiles, Tech Dej’…),
Développez votre réseau (Soirées trimestrielles, Afterwork, Soirées d’intégration…),
Rejoignez Nantes : 1ère ville de France où il fait bon vivre et travailler !
Vous êtes attiré par la banque ou les agences web ? Des grands groupes ou des start-up ? Des acteurs internationaux ou locaux ? Nous avons de quoi vous satisfaire !
Vous souhaitez donner un nouveau souffle à votre carrière ? Ne cherchez plus, faites partie des 1000 collaborateurs qui rejoindront Apside en 2019 !
Suivez Apside sur les réseaux sociaux ! LinkedIn, Twitter, Facebook ou Viadeo @ApsideGroupe
Type d'emploi : Temps plein, Freelance / Indépendant, CDI
Expérience:
intégrateur applicatif / devops (h/f) - nantes ou similaire: 1 an (Souhaité)"
1,https://www.indeed.fr/emplois?q=Int%C3%A9grateur%20Web&l=Nantes&radius=100&limit=100&sort=date&vjk=edb5b9898f373978,"Intégrateur F/H
CTS Corporate295 avis - Nantes (44)","['Nantes (44)', 'CDI']",Intégrateur F/H,CTS Corporate,- Nantes (44),CDI,null,"Apec.fr - il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",Intégrateur Web,Nantes,"Dans le cadre du développement de nos activités informatiques en région OUEST, nous recherchons un Intégrateur (H/F).

Intégré au sein d'un service informatique, vous assurez l'ingénierie applicative.

Dans ce cadre, vos principales missions seront les suivantes :

Participation à la conception de la solution logicielle
Intégration de la solution au sein des architectures applicatives
Test technique de la solution logicielle
Mise en production
Support lors de la mise en production (amélioration, optimisation, modernisation)
Profil recherché Issu(e) d'une formation Bac +2 à Bac +5 à dominante informatique, vous disposez d'une expérience significative en intégration applicative.

Compétences requises :
Connaissance des différents langages de programmation (JAVA, .NET, web...)
Maîtrise de l'architecture technique du système d'information
Connaissance des environnements de développement et exploitation
Doté d'une bonne culture IT et drivé par le défi technologique, vous êtes passionné par l'innovation et les évolutions dans le domaine.

Localisation : Nantes et Rennes

Vos qualités relationnelles seront garantes de votre intégration dans les équipes. Vous êtes curieux, rigoureux et motivé et vous avez la volonté d'apprendre et partager sur des projets à forte valeur ajoutée

N'hésitez plus, rejoignez-nous !
Entreprise Issue sur un regroupement des Bureaux d'Etudes de PME industrielles, CTS intervient sur l'ensemble du cycle de vie des projets de ses partenaires et clients.

CTS s'appuie sur des équipes mobiles et structurées dotées de solides compétences en ingénierie mécanique électrique et électronique, process industriel, gestion de projet et systèmes d'informations. Forgé par son expérience au sein de grands programmes industriels, et à l'épreuve de la réactivité nécessaire des PME en ingénierie et production, le groupe est capable de répondre aux besoins de ses clients en solutions globales.

CTS a pour vocation de rassembler l'ensemble des compétences indispensables à la réalisation de programmes de grande envergure aussi bien sur le territoire français qu'à l'international.

Nous intervenons au travers de nos équipes auprès des grands donneurs d'ordres dans les domaines de l'Energie, l'Aéronautique, l'automobile, Informatique et Telecom sur des programmes variés."
2,https://www.indeed.fr/emplois?q=Int%C3%A9grateur%20Web&l=Nantes&radius=100&limit=100&sort=date&vjk=724bfaf374673905,"Ingénieur Développeur Analyste & Intégrateur F/H
welinkit2 avis - Nantes (44)","['Nantes (44)', 'CDI', '40 000 € par an']",Ingénieur Développeur Analyste & Intégrateur F/H,welinkit,- Nantes (44),CDI,40 000 € par an,"il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",Intégrateur Web,Nantes,"Missions
Notre client est un éditeur de logiciels innovants dédiés au secteur de la restauration. La société a été créée il y a un peu plus de 6 ans, elle compte aujourd’hui une soixantaine de collaborateurs répartis entre Paris, Nantes et La Roche-sur-Yon (85). Notre client a finalisé début mai 2018 sa 3ème levée de fonds et ses perspectives de développement sont excellentes, notamment à l’international. Plus de 4.000 restaurateurs utilisent ses logiciels pour gérer quotidiennement leurs recettes, les commandes fournisseurs, les réceptions, les stocks, la production, les équipements, la mesure du gaspillage alimentaire, …
Notre client recrute un(e) Développeur Intégrateur afin de renforcer ses équipes techniques. Il/elle aura pour principale mission de réaliser des interfaces entre la solution de notre client et le SI de ses clients (chaînes de restaurants), ces interfaces SI peuvant être variées : web service, échange de fichiers, EDI normé, etc. A noter qu'il y aura pas ou peu de développements Front envisagés. Détail des missions :

Traduction technique des besoins fonctionnels
Participer à l'analyse fonctionnelle des besoins utilisateurs (kanban / agile).
Étudier les opportunités et la faisabilité technologique de l'application.
Élaborer et rédiger les conceptions techniques à partir des spécifications fonctionnelles.

Conception et développement
Analyser et développer les composants en utilisant les langages appropriés et définis par notre client.
Développer les programmes, les interfaces, les restitutions.
Assurer le développement et la réalisation des applications (prototypes et modules).
Respecter les normes et les standards définis par notre client (convention de nommage, TDD, règles de l’art, …).
Documenter l’ensemble des développements, composants et autres modules en fonction des standards de notre client (en anglais).
Participer aux travaux de R&D sur tous les sujets.
Être force de proposition.
Participer à la structuration des bases de données.

Tests et recette
Définir les protocoles et les scenarii de test.
Tester, identifier et traiter les dysfonctionnements éventuels du logiciel développé.
Analyser les résultats et rédiger le rapport de test.

Mise en production et intégration

Intégrer les nouveaux développements dans un environnement de pré-production.
Déployer en masse la solution auprès des utilisateurs.

Profil recherché
Connaissance avancée en SQL (idéalement sur des bases postgreSQL) et développement de script Bash en environnement Unix
Connaissance du javascript (sera un plus)
Connaissance d'un outil de versionning (Gitlab par exemple)
Connaissance de l'architecture applicative web

Capacité à utiliser un vocabulaire technique en anglais
Capacité à déterminer, gérer et respecter les échéanciers
Capacité à s'ajuster à des priorités qui changent rapidement
Savoir s'adapter aux différents interlocuteurs internes ou externes

Aimer partager ses connaissances et travailler en équipe
Sens de l’écoute et de l’entraide
Être créatif et autonome
Être curieux et rigoureux"
3,https://www.indeed.fr/emplois?q=Int%C3%A9grateur%20Web&l=Nantes&radius=100&limit=100&sort=date&vjk=4cee1ff6fa6a06a4,null,['Nantes (44)'],Intégrateur,Wemoov,- Nantes (44),null,null,"il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Intégrateur Web,Nantes,"WEMOOV RECRUTE !

Wemoov est une Start Up dynamique créée par trois experts du domaine du numérique pour accompagner leurs clients dans l’évolution digitale en proposant des solutions personnalisées et innovantes.

Nous sommes spécialisés dans 2 domaines principaux :
Le service numérique: La réalisation de prestations informatiques systèmes et réseaux (support, administration, ingénierie et gestion de projet), ainsi que la réalisation de prestations en développement mobiles (IOS, Android) et web (Java, JEE, Javascript, PHP ...)
L'édition logicielle: Développement d'application mobile de solutions de montage et d’habillage automatisés de contenus vidéo et son intégration sur les différents supports
Cette offre de services a pour objectif la satisfaction de nos clients (nationaux ou internationaux) tout en respectant l’épanouissement et le bien-être de nos collaborateurs.

Livrer en temps et en heure des infrastructures conformes au Dossier
S’assurer que les infrastructures sont prêtes pour les mises en production et qu’elles sont fonctionnelles
Participer aux mises en production
Participer au mêlées de suivi des environnements tout au long du cycle de vie des socles, anticiper ou réagir aux demandes des équipes projet.
Comprendre et interpréter un dossier d’architecture projet
Coordonner, suivre et réaliser des opérations de mise à disposition, d’évolution ou de maintenance des socles technique
Connaitre Linux/Unix
Connaitre les composants classiques des applications d’entreprise
Comprendre leurs fonctions et places dans la chaine de liaison (équilibreur de charge, reverse, proxy, serveur apache, serveur d’application, weblogic, base de données)
Technologies : java, Maven, Jenkins et les méthodologies agile"
4,https://www.indeed.fr/emplois?q=Int%C3%A9grateur%20Web&l=Nantes&radius=100&limit=100&sort=date&vjk=f2c0f53eab77bdb0,"Intégrateur d'application (H/F)
Wemoov - Nantes (44)",['Nantes (44)'],Intégrateur d'application (H/F),Wemoov,- Nantes (44),null,null,"il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Intégrateur Web,Nantes,"WEMOOV RECRUTE !

Wemoov est une Start Up dynamique créée par trois experts du domaine du numérique pour accompagner leurs clients dans l’évolution digitale en proposant des solutions personnalisées et innovantes.

Nous sommes spécialisés dans 2 domaines principaux :
Le service numérique: La réalisation de prestations informatiques systèmes et réseaux (support, administration, ingénierie et gestion de projet), ainsi que la réalisation de prestations en développement mobiles (IOS, Android) et web (Java, JEE, Javascript, PHP ...)
L'édition logicielle: Développement d'application mobile de solutions de montage et d’habillage automatisés de contenus vidéo et son intégration sur les différents supports
Cette offre de services a pour objectif la satisfaction de nos clients (nationaux ou internationaux) tout en respectant l’épanouissement et le bien-être de nos collaborateurs.

Vos activités seront les suivantes :
Suite aux livraisons d’applications reçues du services de développement, installer et vérifier ces applications sur le socle technique central adéquat, en coordination avec l’ensemble des acteurs du projet (MOE, MOA, contrôleurs-qualité, acteurs de la production informatique…).
Réaliser les différentes étapes de l’intégration applicative sur un environnement proche de la production
Mettre les environnements à disposition des équipes de développement, de validation, de validation/ test MOE, de recette MOA.
Fabriquer les paquets d’installation pour les environnements de production, le cas échéant préparer le « matriçage applicatif », et assurer la livraison de l’application à la production, dans le respect des niveaux d’exigence et de délai définis en amont.
Assurer le reporting de ses travaux auprès du responsable de l’équipe et de la MOE.
Prendre en charge la responsabilité de gestion et de suivi des environnements de test et d’intégration (mise à jour du fichier récapitulatif, aide à la mise à niveau des environnements de recette dédiés, en termes de socle et de frameworks…)
Bonne connaissance des socles techniques implémentés STMC (JAVA/Websphere/Oracle), STIT (LAMP), STOM (JBOSS, Openshift), Windows
Connaissance des contraintes de mise en production et d’exploitation.
Connaissance des outils de gestion de configuration.
Connaissance des normes et règles de sécurité.
Aptitude au travail en équipe et capacité à organiser un transfert de connaissances."
5,https://www.indeed.fr/emplois?q=Int%C3%A9grateur%20Web&l=Nantes&radius=100&limit=100&sort=date&vjk=9f6b5cc68c416b74,"Développeur Applications Mobiles (H/F)
Youday CRM - Nantes (44)","['Nantes (44)', 'CDI', '30 000 € - 40 000 € par an']",Développeur Applications Mobiles (H/F),Youday CRM,- Nantes (44),CDI,30 000 € - 40 000 € par an,"il y a 4 jours
Signaler cette offre d'emploi",Intégrateur Web,Nantes,"Youday CRM est un éditeur de logiciel CRM français ayant son siège social à Nantes au Hub Créatic.
Nous sommes éditeur et intégrateur de la solution Youday CRM 100% Web / mode Saas.
Visitez notre site web https://www.youday.fr
Description du poste:
Dans le cadre de notre développement nous recherchons un Développeur Applications Mobiles (iOS / Androïd) ayant idéalement une expertise PHP & MySQL.
H/F (Poste basé à Nantes).
Rattaché(e) à la direction technique, votre principale mission est de collaborer avec l’équipe de développement.
Vous prendrez en charge les principales responsabilités suivantes :
✓ Collaboration sur les développements en cours ;
✓ Participation aux études R&D pour l'optimisation des différentes briques logicielles ;
✓ Développement de nouvelles fonctionnalités avec le reste de l'équipe de développement ;
✓ Participation aux brainstormings techniques & fonctionnels ;
✓ Interventions sur les projets/déploiements clients pour des besoins en développements spécifiques.
En rejoignant Youday CRM, vous évoluez dans un environnement à forte expertise et à forte valeur ajoutée.
Pour postuler merci de nous adresser votre CV ainsi qu’une lettre de motivation détaillant votre parcours, votre expérience et votre disponibilité
Description du profil:
De formation supérieure (Bac+5), vous justifiez d’une expérience réussie (stage long ou
alternance) sur du développement logiciel.
Type d'emploi : CDI
Salaire : 30 000,00€ à 40 000,00€ /an
Expérience:
développeur applications mobiles (h/f) ou similaire: 2 ans (Requis)
Lieu:
Nantes (44) (Requis)
Langue:
ANGLAIS (Souhaité)"
6,https://www.indeed.fr/emplois?q=Int%C3%A9grateur%20Web&l=Nantes&radius=100&limit=100&sort=date&vjk=bf0653a8b611edb9,"Intégrateur de données et Développeur d'interfaces F/H
IDEOLYS - Nantes (44)","['Nantes (44)', 'CDI']",Intégrateur de données et Développeur d'interfaces F/H,IDEOLYS,- Nantes (44),CDI,null,"Apec.fr - il y a 6 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Intégrateur Web,Nantes,"Pour agrandir notre équipe Intégration, Easilys recherche un(e) Développeur(se) Intégrateur :

Quelques projets : *Interfaces avec les fournisseurs pour proposer la première base de données nationale des produits alimentaires utilisés en Restauration *Support technique auprès de notre équipe Achats pour automatiser et industrialiser le traitement des données *Interfaces d’un client Grand Compte International chiffré à plusieurs millions d’Euros sur 5 ans

Ton challenge :
Participer aux différentes phases de conception et de développement de notre logiciel, aux projets d’intégration, de réalisation d’interfaces entre systèmes, de migration de données avec les fournisseurs, en interne (DATA alimentaires) et en externe (utilisateurs de notre logiciel EASILYS)

Tes missions :
Traduction technique des besoins fonctionnels des utilisateurs

Développer le logiciel Easilys

Dérouler les tests et valider son développement

Mise en production et intégration

Gérer la maintenance corrective et évolutive du logiciel et de ses applications

Trouver des solutions pour optimiser/améliorer les techniques de développement aux besoins des utilisateurs

Réaliser la documentation associée

Assurer une veille technologique

Ton équipe :
Tu évolueras au sein de la Squad Développeurs et plus particulièrement dans l’équipe Intégration basée à Nantes (3 équipiers) et tu seras en contact avec les Product Owner, les chefs de projets experts métiers et le service clients.

Pourquoi nous ?

Pour bénéficier de

2 séminaires par an

où la bonne humeur et le lâcher prise sont les maîtres mots !

Pour réaliser

un « Vis ma Vie » minimum par an

: il s’agit de passer une journée avec un autre service pour appréhender leur manière de fonctionner.

Pour travailler

d’où tu veux et quand tu veux si tu en ressens le besoin

(télétravail) ! la confiance, la bienveillance et la responsabilisation de chacun est de mise !

Pour avoir tout le matériel à disposition : choix de ton PC/MAC, écran, accessoires …

Pour bénéficier d’une bonne entente entre collègues, des afterworks réguliers et des déjeuners à l’extérieur chaque vendredi !

Pour participer à des

évènements/salons de type Web2days, Devfest, AgileVendée

ou interne à l’entreprise comme le

ShipItDay

qui permet de réaliser un projet sur une journée !
Profil recherché Tu es celui/celle dont nous avons besoin !

De nature

curieux(se) et enthousiaste

, tu as un réel goût pour le développement et l’architecture applicative web. Tu

aimes le travail en équipe

, le partage de connaissances et tu es

force de proposition

.

Tu sais

t’adapter

aux différents interlocuteurs internes comme externes et

au changement de stack technique

.

Tu as le

sens des priorités

pour respecter les échéanciers, et tu es

autonome et rigoureux.

Tu as une

connaissance avancée des requêtes SQL (postgreSQL), Javascript (client/serveur), VueJS et les environnements linux. Tu utilises des outils de versionning

(Gitlab par exemple).

Tu

te retrouves dans nos valeurs

de Bienveillance, Confiance, Engagement.

Conditions et Process de recrutement :
Expérience de 4 ans minimum en développement, en intégration et tests

Expérience probante sur des fonctions similaires

CDI à temps complet,

à pourvoir asap, sur Nantes
Entreprise Qui sommes-nous en quelques phrases ?

Easilys est une solution full-web innovante dédiée à la

gestion de restaurants

, qui répond aux attentes de tous les professionnels de la restauration et à toutes les typologies de restaurants.

C'est un

logiciel édité et commercialisé avec amour par Ideolys

, une startup de la #FoodTech, fondée par les

3 frères Grelaud : Emmanuel, Olivier et David.

Leader sur le marché Français

, nous avons l’ambition de devenir un

acteur international incontournable

.

Nous utilisons les meilleures technologies pour offrir des solutions novatrices et responsables à tous les professionnels de la restauration hors domicile (utilisation quotidiennement par 4000 sites).

Notre succès repose sur notre solution, nos valeurs et surtout sur notre équipe de 19, 22, 28, 35, 49, 58, 68 à fin août 2019 avec l’objectif d’être 80 d’ici la fin de l’année.

Nos bureaux sont à La Roche Sur Yon (siège), Nantes, Paris (8ème arrondissement) et Marseille."
7,https://www.indeed.fr/emplois?q=Int%C3%A9grateur%20Web&l=Nantes&radius=100&limit=100&sort=date&vjk=5616192c56509db9,"Developpeur Full Stack (H/F)
Kookline - Nantes (44)","['Nantes (44)', 'Temps plein, CDI']",Developpeur Full Stack (H/F),Kookline,- Nantes (44),"Temps plein, CDI",null,"il y a 6 jours
Signaler cette offre d'emploi",Intégrateur Web,Nantes,"LoadingRecruitment ...
Qui sommes-nous ?
KOOKline fait référence au Capitaine Cook qui a découvert la Nouvelle-Zélande et qui a notamment donné son nom à la plus haute montagne du territoire : Le Mont Cook aussi appelé Aoraki.
KOOKline, c’est le lien mais aussi la traversée pour accompagner nos clients vers le monde du digital, leur faire découvrir de nouvelles contrées. C’est les aider à gravir des montagnes pour arriver au sommet ! Ce sont les mêmes valeurs qui ont permis à James Cook de découvrir de nouveaux territoires : de l’ambition, un travail d’équipe mais aussi beaucoup de curiosité !
Depuis 2006, KOOKline a su se faire une véritable place sur le marché nantais du digital. De la PME aux grands groupes, l’agence a aujourd’hui le plus grand plaisir d’accompagner ses clients vers les sommets !
Pourquoi rejoindre l'aventure KOOKline ?
En tant que futur membre de notre équipage de développeurs, tu interviendras au sein d'une escouade composée de personnes complémentaires mais surtout très soudées. Nous comptons dans nos rangs des développeurs front et back, mais aussi des intégrateurs, des UX/UI designers et des webmarketers.
Avec à ta tête un responsable technique qui aura pour but de t'amener ""jusqu'au bout du monde"", tu participeras à la création de sites vitrines, sites e-commerces et applications web. Sur ton chemin, tu croiseras différents types de clients.
Ta quête principale sera d'intervenir dans la réalisation de projets PrestaShop, Symfony, WordPress, VueJS.
Ta quête secondaire sera de participer aux réunions de suivi de projets, de participer aux évolutions techniques, d'être en contact avec nos clients.
En plus, tu auras la chance d'avoir à ta disposition des fruits frais, des cours de pilate, des tickets resto et surtout une bonne ambiance !
Ton bagage technologique :
PHP
JS
Saas et Less
NPM, GULP et Webpack
Git
Ce dont tu auras besoin pour voyager :
Une certaine autonomie sera nécessaire pour évoluer dans la jungle du web
Nous aurons besoin de ta force ... de proposition pour apprivoiser les lignes de codes
Le plus ? Des connaissances en infra-web / Apache (on ne parle pas de la tribu indienne)
Comment prendre part à l'expédition ?
Le recrutement chez KOOKline se déroule en 2 étapes :
Un premier test technique dans nos locaux (30min environ)
S'en suit un entretien physique (30min environ)
Tu penses pouvoir embarquer avec nous ? Alors contacte-nous en lançant ta bouteille à la mer !
init() || exit()
Type d'emploi : Temps plein, CDI
Expérience:
developpeur full stack (h/f) ou similaire: 2 ans (Souhaité)"
8,https://www.indeed.fr/emplois?q=Int%C3%A9grateur%20Web&l=Nantes&radius=100&limit=100&sort=date&vjk=1d196c4ad7e41334,"Intégrateur-trice web
Kosmos - Nantes (44)",['Nantes (44)'],Intégrateur-trice web,Kosmos,- Nantes (44),null,null,"il y a 12 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Intégrateur Web,Nantes,"Vos missions
Vous contribuez à la création de sites web pour nos clients. Vous réalisez le montage et l’intégration des pages en HTML, CSS, JavaScript en tenant compte des problématiques de responsive design, d’accessibilité et d’expérience utilisateur. Selon vos compétences, vous pourrez participer aux choix design UI/UX et à la création de maquettes graphiques.
Votre profil
Passionné(e) par le Web et les nouvelles technologies, vous avez une première expérience sur un ou plusieurs projets d’intégration. Vous connaissez les outils de la chaîne graphique et utilisez des langages tels que CSS, HTML. À l’aise au sein d’une équipe pluridisciplinaire, nos clients et les Kosmosnautes apprécieront votre enthousiasme et votre écoute.
Rejoignez une structure et une organisation à taille humaine en plein cœur de Nantes et venez partager notre aventure « Digital for education » !
Pour candidater, envoyer votre cv à recrutement@kosmos.fr."
9,https://www.indeed.fr/emplois?q=Int%C3%A9grateur%20Web&l=Nantes&radius=100&limit=100&sort=date&vjk=9fb5f7931ccafba1,"Développeur Web junior - TMA (H/F)
MOTION4EVER - Carquefou (44)","['Carquefou (44)', 'Temps plein, CDI']",Développeur Web junior - TMA (H/F),MOTION4EVER,- Carquefou (44),"Temps plein, CDI",null,"il y a 9 jours
Signaler cette offre d'emploi",Intégrateur Web,Nantes,"Pour accompagner sa croissance, l’Agence Motion4ever de Nantes recherche un(e)
Développeur Web junior - TMA (H/F)
En tant que développeur Web TMA, vous interviendrez sur différents projets, au sein d’une équipe à taille humaine composée d’une vingtaine de personnes aux compétences complémentaires (développeurs, intégrateurs, graphistes).
Profil recherché :
De formation supérieure en développement, vous disposez idéalement d’une première expérience dans une agence Web/Digital.
Nous recherchons quelqu’un d’autonome, capable de s’adapter et de monter en compétence sur les différents CMS utilisés.
Vous êtes soucieux de contribuer à l’évolution des outils clients de manière efficace tout en produisant un code de qualité.
Encadré par un Lead developpeur, vos principales missions seront :
Assurer la correction/maintenance des sites déjà en place : Site E-commerce, Site vitrine ou extranet.
Assurer la mise en place de nouveaux modules et de nouvelles fonctionnalités en fonction des demandes du client.
Conseiller sur la mise en place de nouveaux outils/technologies. Echange téléphonique avec client.
Au delà de vos compétences techniques, nous accordons beaucoup d’importance au relationnel et à votre capacité à travailler en équipe.
Technologies:
PHP, Symfony/Laravel, Magento 1/2, Prestashop 1.6/1.7, Drupal 7/8, Wordpress
HTML/CSS
JavaScript
Git
Des connaissances en infrastructure serait un plus
Type d’emploi : CDI à temps plein
Merci de transmettre un CV ainsi qu’une lettre de motivation
Rémunération selon profil, carte déjeuner
Agence Motion4Ever, 5 Boulevard Ampère - 44470 CARQUEFOU
www.motion4ever.com
Type d'emploi : Temps plein, CDI
Expérience:
HTML/CSS: 1 an (Requis)
Informatique: 1 an (Requis)
Développement Web: 1 an (Requis)"
