,id,meta1,meta2,titre_poste,entreprise,localisation,contrat,salaire,date_publication,keyword_metier,keyword_localisation,description
0,https://www.indeed.fr/emplois?q=Performance%20analyst&l=Nantes&radius=100&limit=100&sort=date&advn=6679598084157165&vjk=386530ca0a394526,"ANALYSTE CREDIT (H/F)
KELLY SERVICES14,129 avis - Nantes (44)","['Nantes (44)', 'Intérim']",ANALYSTE CREDIT (H/F),KELLY SERVICES,- Nantes (44),Intérim,null,"ouestfrance-emploi.com - il y a 5 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Performance analyst,Nantes,"Au sein d'une équipe d'une vingtaine de personnes et rattaché au Team Leader, l'analyste a pour missions :

La prise en charge des dossiers de consolidation de crédit émanant des apporteurs et de l'équipe Telesales.
La vérification de la complétude et de la conformité des pièces (KYC, détection de fraude...).
L'analyse des pièces et des solutions de financement proposées par l'apporteur et éventuellement la suggestion de propositions alternatives dans le respect de la politique risque établie.
La gestion et le suivi de son portefeuille de dossiers incomplets / non conformes (réception et traitement des pièces complémentaires, relance apporteurs ...).
La prise de décision de l'octroi du crédit, dans la limite de son niveau de délégation.
Le développement d'un relationnel direct pérenne avec nos apporteurs (assistance au montage, vente de la décision ...).
Le travail en synergie avec les équipes de support (Réalisation / Assurance / Expertise), le département Risque, le service Commercial et le service Juridique.
L'analyste est garant de la qualité de service rendu à nos apporteurs d'affaires.
Il travaille en équipe et son engagement lui permet de contribuer à la réussite des objectifs communs.
Il est évalué sur l'atteinte d'objectifs collectifs (montant d'offres hypothécaire et productivité de l'équipe) et individuels (productivité, qualité de l'analyse et de la gestion de son portefeuille, pertinence des décisions proposées, et relationnel apporteurs).

Profil : Capacité à gérer priorités, urgences et délais Sens de l'organisation Capacité à travailler à flux tendu Capacité à analyser et à décider Bonne maîtrise des outils informatiques

Profil jeune diplômé ou 1ère expérience acquise dans le secteur bancaire ou au sein d'un établissement de crédit.

Formation : Niveau bac+2 à Bac +5 en Banque, Gestion, Finance ou Commerce.

Qualités requises :
Forte adhésion aux notions d'objectifs et de performance Capacité d'adaptation Esprit d'équipe Réactivité Autonomie Aisance relationnelle Esprit de synthèse

Entreprise : KELLY SERVICES

Métier : Études et développement informatique - Systèmes d'information et de télécommunication - Support à l'entreprise - Analyste-programmeur / Analyste-programmeuse informatique"
1,https://www.indeed.fr/emplois?q=Performance%20analyst&l=Nantes&radius=100&limit=100&sort=date&vjk=e811679b9cd3a004,"Data Analyst (H/F)
Adventi Informatique - Beaucouzé (49)",['Beaucouzé (49)'],Data Analyst (H/F),Adventi Informatique,- Beaucouzé (49),null,null,"il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",Performance analyst,Nantes,"900 - EH07102019
Rejoindre TGS France, c'est saisir l'opportunité de grandir et envisager plusieurs vies professionnelles.
Chez nous, chacun trouve sa place que vous préfériez produire, conseiller, vendre et/ou manager, vous pourrez vous appuyer sur nos 110 agences et la richesse de nos métiers. De plus, nos écoles et formations internes vous aideront à développer vos compétences.
Parce que nous pouvons booster votre parcours, vous trouverez surtout un groupe qui bouge, qui vit, qui grandit : 50% de nos recrutements sont liés à des créations de poste ! Autrement dit, vous bénéficierez de tous les avantages d'un groupe solide qui souhaite conserver l'autonomie de ses agences et un management de proximité.
Conscients que nous devons avancer avec nos 1400 collaborateurs, nous recrutons des professionnels qui partagent nos valeurs et nos ambitions. Et si c'était vous ?
Le Pôle Informatique du Groupe composé d'environ 100 collaborateurs répartis sur 7 agences recherche un Data Analyst (H/F) au sein du siège social.
MISSION
Sous la Responsabilité de Philippe BESNIER, Directeur Général Associé du Pôle Informatique, vous fournissez des analyses pertinentes issues de données statistiques pour accompagner les dirigeants du Groupe dans leurs prises de décisions et orientations.
Autonome au quotidien, votre mission sera plus précisément de :
Comprendre la structure de nos sources de données et être capable d'aller chercher de la data,
S'assurer de la qualité de nos bases de données,
Extraire les données générées par l'activité de l'entreprise et les traduire en données statistiques,
Collaborer avec les équipes techniques et métiers pour définir les besoins et expliciter les résultats,
Analyser les données et détecter les corrélations (analyse de performance,...),
Restituer les résultats (rapports, présentations...) de façon synthétique et accessible aux différents interlocuteurs du Groupe
Entraîner des moteurs de « machine learning » à l'automatisation de tâches
Vos analyses et votre compréhension des activités et besoins du Groupe vous permettront de proposer des recommandations adaptées aux problématiques métiers.
Votre rôle, stratégique, s'inscrira dans une démarche d'amélioration continue du groupe TGS France en développant l'anticipation, l'optimisation, et la création de valeur interne et pour les clients.
PROFIL
Idéalement issu de formation ingénieur, vous êtes reconnu pour votre curiosité naturelle et votre capacité d'analyse.
Vous êtes particulièrement animé par la démarche de recherche d'informations et de données, et êtes capable de prendre des initiatives.
Votre aisance relationnelle facilitera vos échanges avec les métiers, et vous appréciez un environnement de travail dynamique tout en faisant preuve de beaucoup d'autonomie.
Une connaissance de R serait un réel avantage mais n'est pas rédhibitoire (vous y serez formé si besoin).
Ce poste est fait pour vous ? Alors n'hésitez plus, rejoignez-nous !
Merci d'adresser votre lettre de motivation + CV à TGS France pôle Informatique par mail à l'adresse : rh-recrutement@soregor.fr"
2,https://www.indeed.fr/emplois?q=Performance%20analyst&l=Nantes&radius=100&limit=100&sort=date&vjk=d70b63620c22529c,"Data Analyst (H/F)
TGS France - Beaucouzé (49)","['Beaucouzé (49)', 'CDI']",Data Analyst (H/F),TGS France,- Beaucouzé (49),CDI,null,"il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",Performance analyst,Nantes,"Votre mission :
Sous la Responsabilité de Philippe BESNIER, Directeur Général Associé du Pôle Informatique, vous fournissez des analyses pertinentes issues de données statistiques pour accompagner les dirigeants du Groupe dans leurs prises de décisions et orientations.

Autonome au quotidien, votre mission sera plus précisément de :

Comprendre la structure de nos sources de données et être capable d'aller chercher de la data,
S’assurer de la qualité de nos bases de données, Extraire les données générées par l'activité de l'entreprise et les traduire en données statistiques, Collaborer avec les équipes techniques et métiers pour définir les besoins et expliciter les résultats, Analyser les données et détecter les corrélations (analyse de performance,...), Restituer les résultats (rapports, présentations...) de façon synthétique et accessible aux différents interlocuteurs du Groupe Entraîner des moteurs de « machine learning » à l’automatisation de tâchesVos analyses et votre compréhension des activités et besoins du Groupe vous permettront de proposer des recommandations adaptées aux problématiques métiers.

Votre rôle, stratégique, s’inscrira dans une démarche d’amélioration continue du groupe TGS France en développant l’anticipation, l’optimisation, et la création de valeur interne et pour les clients.
Votre profil :
Idéalement issu de formation ingénieur, vous êtes reconnu pour votre curiosité naturelle et votre capacité d’analyse.

Vous êtes particulièrement animé par la démarche de recherche d’informations et de données, et êtes capable de prendre des initiatives.

Votre aisance relationnelle facilitera vos échanges avec les métiers, et vous appréciez un environnement de travail dynamique tout en faisant preuve de beaucoup d’autonomie.

Une connaissance de R serait un réel avantage mais n’est pas rédhibitoire (vous y serez formé si besoin).

Ce poste est fait pour vous Alors n’hésitez plus, rejoignez-nous !
A propos de TGS France :
Rejoindre TGS France, c’est saisir l’opportunité de grandir et envisager plusieurs vies professionnelles.

Chez nous, chacun trouve sa place que vous préfériez produire, conseiller, vendre et/ou manager, vous pourrez vous appuyer sur nos 110 agences et la richesse de nos métiers. De plus, nos écoles et formations internes vous aideront à développer vos compétences.

Parce que nous pouvons booster votre parcours, vous trouverez surtout un groupe qui bouge, qui vit, qui grandit : 50% de nos recrutements sont liés à des créations de poste ! Autrement dit, vous bénéficierez de tous les avantages d’un groupe solide qui souhaite conserver l’autonomie de ses agences et un management de proximité.

Conscients que nous devons avancer avec nos 1400 collaborateurs, nous recrutons des professionnels qui partagent nos valeurs et nos ambitions. Et si c’était vous

Le Pôle Informatique du Groupe composé d’environ 100 collaborateurs répartis sur 7 agences recherche un Data Analyst (H/F) au sein du siège social."
3,https://www.indeed.fr/emplois?q=Performance%20analyst&l=Nantes&radius=100&limit=100&sort=date&vjk=7ae1cf2261798d57,"Data Analyst F/H
TGS France Informatique - Beaucouzé (49)","['Beaucouzé (49)', 'CDI']",Data Analyst F/H,TGS France Informatique,- Beaucouzé (49),CDI,null,"Apec.fr - il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",Performance analyst,Nantes,"Sous la Responsabilité de Philippe BESNIER, Directeur Général Associé du Pôle Informatique, vous fournissez des analyses pertinentes issues de données statistiques pour accompagner les dirigeants du Groupe dans leurs prises de décisions et orientations.

Autonome au quotidien, votre mission sera plus précisément de :

Comprendre la structure de nos sources de données et être capable d'aller chercher de la data,

S'assurer de la qualité de nos bases de données, Extraire les données générées par l'activité de l'entreprise et les traduire en données statistiques, Collaborer avec les équipes techniques et métiers pour définir les besoins et expliciter les résultats, Analyser les données et détecter les corrélations (analyse de performance,...), Restituer les résultats (rapports, présentations...) de façon synthétique et accessible aux différents interlocuteurs du Groupe Vos analyses et votre compréhension des activités et besoins du Groupe vous permettront de proposer des recommandations adaptées aux problématiques métiers.

Votre rôle, stratégique, s'inscrira dans une démarche d'amélioration continue du groupe TGS France en développant l'anticipation, l'optimisation, et la création de valeur interne et pour les clients.
Profil recherché Idéalement issu de formation ingénieur, vous êtes reconnu pour votre curiosité naturelle et votre capacité d'analyse.

Vous êtes particulièrement animé par la démarche de recherche d'informations et de données, et êtes capable de prendre des initiatives.

Votre aisance relationnelle facilitera vos échanges avec les métiers, et vous appréciez un environnement de travail dynamique tout en faisant preuve de beaucoup d'autonomie.

Une connaissance de R serait un réel avantage mais n'est pas rédhibitoire (vous y serez formé si besoin).

Ce poste est fait pour vous Alors n'hésitez plus, rejoignez-nous !
Entreprise Rejoindre TGS France, c'est saisir l'opportunité de grandir et envisager plusieurs vies professionnelles.

Chez nous, chacun trouve sa place que vous préfériez produire, conseiller, vendre et/ou manager, vous pourrez vous appuyer sur nos 110 agences et la richesse de nos métiers. De plus, nos écoles et formations internes vous aideront à développer vos compétences.

Parce que nous pouvons booster votre parcours, vous trouverez surtout un groupe qui bouge, qui vit, qui grandit : 50% de nos recrutements sont liés à des créations de poste ! Autrement dit, vous bénéficierez de tous les avantages d'un groupe solide qui souhaite conserver l'autonomie de ses agences et un management de proximité.

Conscients que nous devons avancer avec nos 1400 collaborateurs, nous recrutons des professionnels qui partagent nos valeurs et nos ambitions. Et si c'était vous

Le Pôle Informatique du Groupe composé d'environ 100 collaborateurs répartis sur 7 agences recherche un Data Analyst (H/F) au sein du siège social."
4,https://www.indeed.fr/emplois?q=Performance%20analyst&l=Nantes&radius=100&limit=100&sort=date&vjk=f8a15c8de1f45072,"Analyst Developer (H/F) / Freelance
Templeton and Partners Limited - Nantes (44)","['Nantes (44)', 'Temps plein, Freelance / Indépendant']",Analyst Developer (H/F) / Freelance,Templeton and Partners Limited,- Nantes (44),"Temps plein, Freelance / Indépendant",null,"Freelance-info - il y a 6 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Performance analyst,Nantes,"Templeton & Partners recherche pour l’un de ses clients sur Nantes :

Un Analyst Developer (H/F)
Compétences techniques : C#, .NET, Windows 2012/2016, SQL Server/Procédures stockées, Framework .NET 4.7.1, IIS 8.5, Ajax, Tibco, MQSeries, SVN/Gitlab, Jenkins, Analyse de dump mémoire, Amélioration de performances."
5,https://www.indeed.fr/emplois?q=Performance%20analyst&l=Nantes&radius=100&limit=100&sort=date&vjk=de95585040f304ae,"SR PPE - Stage gestion de projet adhérence aux équilibrages (H/F)
Airbus1,455 avis - Saint-Nazaire (44)","['Saint-Nazaire (44)', 'Temps plein, Stage']",SR PPE - Stage gestion de projet adhérence aux équilibrages (H/F),Airbus,- Saint-Nazaire (44),"Temps plein, Stage",null,"il y a 6 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Performance analyst,Nantes,"Airbus Operations SAS
Airbus is a global leader in aeronautics, space and related services. In 2018 it generated revenues of € 64 billion and employed a workforce of around 134,000. Airbus offers the most comprehensive range of passenger airliners. Airbus is also a European leader providing tanker, combat, transport and mission aircraft, as well as one of the world's leading space companies. In helicopters, Airbus provides the most efficient civil and military rotorcraft solutions worldwide.

Our people work with passion and determination to make the world a more connected, safer and smarter place. Taking pride in our work, we draw on each other's expertise and experience to achieve excellence. Our diversity and teamwork culture propel us to accomplish the extraordinary - on the ground, in the sky and in space.
Job Description
N° JOB REQUISITION : 10004828
Ingénieur projet (h/f)
Descriptif du poste:
Et si VOTRE aventure commençait avec NOUS !
Dans le cadre d'un cursus scolaire en formation initiale, vous recherchez un stage obligatoire ou intégré dans une année de césure, d'une durée allant de 4 à 6 mois maximum, vous permettant de valider votre année.
Nous vous proposons de travailler dans une entreprise leader mondial dans son domaine, tournée vers le digital, à la pointe de la recherche et de l’innovation.
Une offre de stage en gestion de projet - Process Performance Engineer (h/f) vient de s'ouvrir au sein d’Airbus sur notre site de Montoir de Bretagne !
Ce stage est à pourvoir à partir du 02/01/2020 (date sujette à une certaine flexibilité)
Vous rejoindrez le département « Production System Efficiency » en charge de fournir les séquences opératoires d’assemblage des fuselages Airbus Commercial Aircraft.
Le stage aura pour objet la mesure et l’établissement d’un plan de surveillance sur l’utilisation de nos livrables Process Performances Engineer dans l’atelier.
Tâches et responsabilités :
Vous serez sous la responsabilité d’un manager qui vous aidera à identifier vos objectifs professionnels et vous soutiendra dans le développement de vos compétences.
L'objectif du stage consiste à comprendre les freins, établir un état des lieux, mesurer les écarts par rapport au standard et proposer un plan de rattrapage, intégrant entre autre l'élaboration d'indicateurs de suivi.
Dans ce contexte, vos principales activités seront les suivantes :
Effectuer une analyse en immersion au sein de la production :
Compréhension et état des lieux du suivi des équilibrages dans l’atelier
Mesure des écarts par rapport aux standards
Echanges réguliers avec la communauté PPE
Réaliser un plan de convergence incluant la définition et la mise en place d’indicateurs
Suivant l'avancement de la mission, il sera envisageable d'étendre l'étude à d'autres livrables de notre secteur d'activité vers les unités de production.
Profil recherché et Compétences requises:
Vous préparez un diplôme de niveau Bac +5 en Ingénierie généraliste, avec une spécialisation en gestion de projet / data analyste et vous avez les compétences suivantes :
Anglais : lu parlé écrit (INTERMEDIAIRE)
Français : NEGOCIATION
Une première expérience de gestion de projet
Un vif intérêt pour la production / l’industrie
Une maitrise des outils tels que Excel, ppt
Des compétences de base en développement informatique (data analyst, big data, ...) seront des atouts non négligeables. La pratique de l'anglais sera un atout supplémentaire dans la mesure où la mission nécessitera certainement une collaboration directe avec des projets transnationaux.
Savoir-être :
De nature rigoureux (se), curieux (se) et autonome
Doté (e) d’un sens relationnel et de la communication
Reconnu(e) pour vos qualités d’organisation et votre aptitude d’analyse et de synthèse
et pourvu(e) d’un esprit d’équipe, d’une facilité d’adaptation et d’intégration.
Vous pourrez, selon les offres proposées, être amené(e) à vous déplacer.
Si votre profil retient notre attention, vous serez invité à réaliser un entretien vidéo au cours duquel vous aurez quelques minutes pour nous convaincre. Par la suite, votre candidature pourra être proposée aux managers.
Si la perspective de rejoindre notre Groupe innovant vous motive ?
N’hésitez pas ! Postulez en ligne ! www.airbus.com/careers

This job requires an awareness of any potential compliance risks and a commitment to act with integrity, as the foundation for the Company’s success, reputation and sustainable growth.

By submitting your CV or application you are consenting to Airbus using and storing information about you for monitoring purposes relating to your application or future employment. This information will only be used by Airbus.
Airbus is committed to achieving workforce diversity and creating an inclusive working environment. We welcome all applications irrespective of social and cultural background, age, gender, disability, sexual orientation or religious belief."
6,https://www.indeed.fr/emplois?q=Performance%20analyst&l=Nantes&radius=100&limit=100&sort=date&vjk=36e2e08e53819d77,"Contrôleur.se de Gestion (H/F)
ALLIANCE CONSTRUCTION - Saint-Macaire-en-Mauges (49)","['Saint-Macaire-en-Mauges (49)', 'CDI']",Contrôleur.se de Gestion (H/F),ALLIANCE CONSTRUCTION,- Saint-Macaire-en-Mauges (49),CDI,null,"ouestfrance-emploi.com - il y a 6 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Performance analyst,Nantes,"Rattaché au secrétariat général, vous fournissez à la direction le résultat de vos analyses économiques et financières nécessaires au pilotage opérationnel et stratégique de l'entreprise.

Vos missions principales :
Elaborer des procédures et outils de gestion :
 Outils de reporting.
 Mettre en place des indicateurs de contrôles.
 Concevoir et produire des tableaux de bord.
 Veiller au respect des procédures.

Prévisions :
 Participer à la définition des objectifs des sociétés du groupe.
 Participer à l'élaboration prévisionnelle de CA et des différents budgets.

Elaboration et pilotage du processus budgétaire :
 Définir les procédures de construction budgétaire et les faire appliquer.
 Collecter, analyser et synthétiser des données budgétaires.
 Produire les documents de synthèse budgétaire, formaliser et éditer le document complet qui servira de guide tout au long de l'année.
 Intégrer les éléments budgétaires aux grilles de suivi des résultats mensuelles et ou trimestrielles.

Supervision et contrôle des clôtures comptables :
 Effectuer les rapprochements entre les états comptable et les résultats provenant des reporting et tableaux de bord.
 Contrôler la cohérence des opérations d'inventaire des produits (non démarrés, en cours et livrés)
 Fournir à la comptabilité les éléments extracomptable à intégrer dans les résultats.

Amélioration des performances du groupe :
 Anticiper les dérives, mener des actions correctrices.
 Contrôler l'efficacité des actions correctives.
 Déterminer les zones d'optimisation.

Profil : Profil recherché :
H/F de formation Master 2 spécialité contrôle de gestion et fort d'une expérience d'au moins 10 ans, vos compétences en analyses de données et synthèse ainsi que votre culture comptable font de vous un expert dans votre domaine. Vous aimez l'autonomie et avez une capacité d'organisation et de planification, vous avez également une capacité d'anticipation et une forte réactivité face aux évolutions économiques. Votre curiosité et votre esprit critique seront également des atouts pour ce poste. Enfin, la maîtrise de l'utilisation des systèmes d'information style tableur, base de données... est indispensable.

Poste : CDI, basé à St Germain sur Moine, Sèvremoine.
Salaire : selon profil

Entreprise : ALLIANCE CONSTRUCTION
Alliance Construction, spécialiste de la construction de maisons individuelles recrute en CDI un(e) Contrôleur.se de Gestion confirmé à Saint-Germain-sur-Moine (49230).- poste Handi accessible

Entreprise :
Référence incontournable dans l'habitat régional, fort d'un réseau de 15 agences présentes sur 4 départements, plus de 5000 familles nous ont déjà fait confiance.
Véritable « exHauceur » de rêves, Alliance Construction bâtit des maisons de qualité sur mesure, dans le respect des procédures et de ses clients.

En plaçant l'humain au cœur de son éthique, de ses convictions et de ses valeurs, Alliance Construction offre un regard neuf et résolument tourné vers l'avenir de la construction. Le Respect, La Rigueur et la Réussite constituent l'ADN de notre entreprise qui s'engage à mettre en œuvre son savoir-faire et ses convictions au service de ses clients, dans un esprit de développement durable.

Métier : Contrôle de gestion - Comptabilité et gestion - Support à l'entreprise - Analyste de gestion d'entreprise"
7,https://www.indeed.fr/emplois?q=Performance%20analyst&l=Nantes&radius=100&limit=100&sort=date&vjk=ea23dcd315ab9d5a,"Transport Data Analyst / Gestionnaire Process et Données Transport (H/F)
CLASQUIN11 avis - Vertou (44)
A répondu à 75 % ou plus des candidatures sur les 30 derniers jours, généralement en 1 jour.","['Vertou (44)', 'Temps plein, CDD']",Transport Data Analyst / Gestionnaire Process et Données Transport (H/F),CLASQUIN,- Vertou (44),"Temps plein, CDD",null,"il y a 7 jours
Signaler cette offre d'emploi",Performance analyst,Nantes,"PASSION, ESPRIT ENTREPRENEURIAL, FIABILITE, PRO-ACTIVITE, PRECISION
Travailler dans une ETI multinationale du freight forwarding, à la stratégie claire et en croissance à 2 chiffres depuis 20 ans vous attire ?
Vous êtes fiable,un peu geek et reconnu(e) pour votre excellent relationnel et votre sens du service clients ?
Vous êtes en phase avec notre motto : The Clients, Profit & Fun Company ?
Alors rejoignez CLASQUIN !
Etienne, le Responsable d’Exploitation, et son équipe vous attendent pour :
Rédiger des process opérationnels
Proposer et développer des solutions clients
Être l’interlocuteur DSI pour divers projets et le/la Super User CargoWise de l’agence
Détecter et corriger les anomalies liées au système (EDI, statistiques, data…)
Suivre les KPI et analyser les performances
Gérer les Reportings clients spot et réguliers
Assurer une veille technologique transport et data…
Critères pour ce poste : Basé à Vertou (proximité de Nantes), CDD de 6 mois avec possibilité de CDI à la suite, diplôme en informatique et/ou transport, avec idéalement une première expérience sur un poste similaire. Bon niveau d’anglais. Maitrise d’Excel indispensable, la connaissance de CargoWise est un plus."
8,https://www.indeed.fr/emplois?q=Performance%20analyst&l=Nantes&radius=100&limit=100&sort=date&vjk=19683128f8abae52,"Business Analyst F/H
SOLINA - Bréal-sous-Montfort (35)","['Bréal-sous-Montfort (35)', 'CDI']",Business Analyst F/H,SOLINA,- Bréal-sous-Montfort (35),CDI,null,"Apec.fr - il y a 8 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Performance analyst,Nantes,"Rattaché hiérarchiquement au Directeur Administratif & Financier du Groupe, vous intervenez dans les domaines suivants :

Mission :
Vous animez l’ensemble des outils d’analyse du résultat et d’aide à la décision nécessaire au pilotage des activités du Groupe et vous agissez en tant que véritable partenaire des opérationnels concernés.

Responsabilités :
Vous animez par produits / Business / géographie les indicateurs similaires de marge et de performance avec l’outil « BI » (Business Intelligence)

Vous assurez le suivi de la rentabilité ainsi que l’analyse des marges.

Vous suivez et étudiez les tableaux de bord mensuels d’analyse de l’activité commerciale et marketing à destination du CFO Groupe et des Pays (exemple : Analyse de la profitabilité consolidée de chaque Business, Rentabilité par type de clients …)

Vous effectuez le suivi des axes de développement d’actions Groupe : suivi des savings achats, Recherche & Développement,

Vous participez activement à la mise en place de filiales à l’étranger (sur le plan organisationnel, reporting…) et pouvez intervenir dans l’analyse de dossiers de croissance externe

Vous participez à la préparation des Boards et des Steerings avec le CFO et le CEO du groupe.

Profil recherché Profil / Compétences :
De formation supérieure (Universitaire, Ecole de Commerce), vous justifiez d’une expérience réussie (au moins 2 ans) en entreprise dans un poste similaire dans l’idéal.

Véritable femme / homme de terrain, vous possédez de solides connaissances techniques en contrôle de gestion.

De nature curieuse, autonome et rigoureux, vous avez de bonnes capacités d’écoute et de communication qui sont les clés de la réussite de votre intégration.

Vous maîtrisez l’Anglais pour échanger avec vos collègues.

Le poste implique des déplacements occasionnels en France et à l’étranger.

Rejoignez-nous !

Ecrivez-nous avec en objet du mail : «

BUS2 ».
Entreprise Notre groupe SOLINA (1685 Personnes, 450 Millions Euros de CA, 18 sites de production en Europe, présent dans 17 pays) imagine, conçoit et développe des solutions à base d’ingrédients pour l’industrie agro-alimentaire.

Notre vision : « Creating sensory food experiences ».

Dans le cadre de notre fort développement, nous recherchons un/une :

Business Analyst F/H

Poste basé à Bréal-sous-Montfort, région Bretagne (35)"
9,https://www.indeed.fr/emplois?q=Performance%20analyst&l=Nantes&radius=100&limit=100&sort=date&vjk=980482b1458fd256,"Analyste Fonctionnel F/H
CNAMTS12 avis - Angers (49)","['Angers (49)', 'CDI']",Analyste Fonctionnel F/H,CNAMTS,- Angers (49),CDI,null,"Apec.fr - il y a 12 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Performance analyst,Nantes,"Agir Ensemble, Protéger chacun !

Vous aimez le fonctionnel,

Vous avez envie de vous confronter à un Système d'information d'envergure

Et vous voulez prendre part à des projets passionnants,

La Caisse Nationale d'Assurance Maladie recrute plusieurs Analystes Fonctionnels (postes également appelés Experts Fonctionnels de Développement) dans un contexte de refonte de son système d'information.

Saisissez l'opportunité de participer à l'évolution d'un des plus important Systèmes d'informations d'Europe, à sa performance et à sa qualité.

Car l'Assurance Maladie c'est : 60 millions de bénéficiaires, + de 1500 informaticiens, 1 milliard de feuilles de soin électroniques par an, 80.000 utilisateurs. Son site Ameli est le 3ème site internet de service public consulté avec des télé services pour les assurés, les professionnels de santé et les entreprises.

MISSION / ACTIVITES :
En qualité d'Analyste Fonctionnel(le), vous serez en charge de/d' :

Analyser fonctionnellement les différents chantiers d'évolutions du SI
Contribuer aux études avant-projet
Participer à l'étude des coûts et au chiffrage des projets
Apporter l'expertise fonctionnelle nécessaire tout au long du projet jusqu'à la mise en production
Intervenir dans les phases de conception et de spécifications
Valider les choix fonctionnels
Assister fonctionnellement le prestataire
Accompagner la recette
Avoir un rôle actif dans la capitalisation du savoir par la gestion d'une base de connaissance et la diffusion de l'expertise fonctionnelle acquise
Devenir un référent interne sur certains domaines fonctionnels
Assurer une communication claire sur l'ensemble des travaux d'expertise réalisés
Profil recherché De Formation Supérieure Informatique (Bac+3/Bac+5), vous avez une expérience d'au moins 3 ans sur un poste d'Analyste Fonctionnel(le) dans des projets informatiques au sein de systèmes d'information complexes.

SAVOIR ETRE et COMPETENCES TECHNIQUES :
Doté d'un naturel curieux, vous appréciez le travail en équipe et êtes reconnu pour votre aisance relationnelle

Vous savez également mesurer les enjeux et vous avez une forte capacité d'analyse.

Vous possédez des qualités rédactionnelles et vous faites preuve de rigueur.

Enfin vous savez vulgariser vos connaissances acquises et les partager au mieux avec de multiples interlocuteurs.

Vos expériences professionnelles vous ont également permis de développer les compétences techniques suivantes :

Connaissance de langages de développement
Conception et modélisation de processus métier
Conception de solutions et rédactions des spécifications
Connaissance et pratique d'une méthode de chiffrage
Mise en œuvre de méthodes de tests
Vous vous reconnaissez dans ce poste, alors n'hésitez plus et rejoignez-nous !

Pour en savoir plus sur l'Assurance Maladie :
https://assurance-maladie.ameli.fr/qui-sommes-nous
https://www.linkedin.com/company/cnam-caisse-nationale-assurance-maladie/
Entreprise Au coeur du système de santé, la Caisse Nationale d'Assurance Maladie des Travailleurs Salariés (2100 personnes) définit les politiques de gestion du risque en matière de Maladie, de Maternité et d'Accident du Travail. Son action vise à améliorer l'efficacité et la qualité du système de soin et à maîtriser l'évolution des dépenses de santé. Elle s'appuie pour cela sur le réseau des Caisses primaires d'Assurance Maladie qu'elle pilote."
