,id,meta1,meta2,titre_poste,entreprise,localisation,contrat,salaire,date_publication,keyword_metier,keyword_localisation,description
0,https://www.indeed.fr/emplois?q=Software%20Engineer&l=Nantes&radius=100&limit=100&sort=date&vjk=09bcbe10f46fb5b5,"Software Engineer - Rust
Input Output Hong Kong - ""IOHK"" - Nantes (44)",['Nantes (44)'],Software Engineer - Rust,"Input Output Hong Kong - ""IOHK""",- Nantes (44),null,null,"Indeed - il y a 48 minutes
Signaler cette offre d'emploi",Software Engineer,Nantes,"Summary
As a Software Engineer at IOHK you are responsible for writing high-quality code for our products. You have the exciting challenge of working with cutting-edge research and technology with a focus on the market's needs. To support you on this challenge, our products have software architects, product managers, project managers, formal methods specialists and QA test engineers, with whom you must communicate professionally, effectively and efficiently.
Duties
Follow agile software development practices
Work with teams across multiple time zones
Work independently on software development tasks
Be proactive and require minimal supervision or mentoring to complete tasks
Review specifications produced by architects and formal methods specialists
Contribute to the design of algorithms
Write clean, straightforward, efficient code that satisfies previously agreed acceptance criteria and specifications
Commit often and submit small pull requests frequently
Cover your code with unit, property and integration tests when applicable
Review the pull requests of your team mates
Fix bugs in your own code and in legacy code from others
Be available for emergency fixing of severity 1 issues on deployed products
Integrate software components and third-party libraries
Verify and deploy programs and systems
Troubleshoot, debug and upgrade existing software
Write documentation for the code
Write technical user manuals
Knowledge of distributed and concurrent computation
Knowledge of the basics of cryptography
Key Competencies
Write idiomatic code that satisfies the acceptance criteria of a given task
Write tests (unit tests, property tests) that provide sufficient and non-superfluous efficient code coverage.
Document code and APIs concisely and unambiguously
Break down tasks into sub-tasks that are completable in a short amount of time and report completion as required by managers
Pragmatically adhere to software engineering principles (modularity, incremental development, no premature optimization, no feature creep, no speculative generality, ...)
Education / Experience
is desirable but not essential
A minimum of 2-3 years development experience with C/C++ but with the ability to demonstrate good knowledge of Rust Programming Language (professional or otherwise)
Experience working with Git and Git workflow
Practical experience with Agile software development methods
Knowledge of functional and object-oriented programming paradigms
Specialist Skills - for a software engineer specialized in Rust
You’ll have a background of C/C++ Development experience (approx 3 - 5 years) but with the ability to demonstrate good knowledge of Rust Programming Language.
Experience in developing cryptography protocols would be a bonus
HTTP API understanding as well as accessibility and security compliance
This is a remote based role working with a Distributed team across the EU, we are considering all candidates within the EU. For more information on our Rust project - https://cardanorust.iohkdev.io/
and our opensource repo's - https://github.com/input-output-hk?language=rust
https://github.com/input-output-hk/rust-cardano
https://iohk.io/en/careers/fk03udp/software-engineer-rust/
Job Type: Full-time
Experience:
Software Engineering: 5 years (Preferred)
C++: 3 years (Preferred)
Rust: 1 year (Preferred)"
1,https://www.indeed.fr/emplois?q=Software%20Engineer&l=Nantes&radius=100&limit=100&sort=date&vjk=50208bc4afb34753,"Ingénieur Service Terrain Presses Indigo
HP11,989 avis - Nantes (44)",['Nantes (44)'],Ingénieur Service Terrain Presses Indigo,HP,- Nantes (44),null,null,"il y a 2 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Software Engineer,Nantes,"Graduated in electrical or mechanical engineering? Looking for a job connected to Customers, within an International Company? Look at this opportunity!
Who we are?
HP’s Graphics’ Solutions Business (GSB) is the HP business serving the graphics industry. GSB serves multiple market segments, with a wide range of solutions and technologies, printing everything from postage stamps to billboards. Customer segments that we serve include Label & packaging, Commercial printing, and Large-format printing. We are #1 or 2 in all of the diverse market segments in which we are active. As the leading digital print vendor in the graphics industry, we are the driving force behind the analog to digital transformation that is taking place. Our passion is for our customers. We build direct, long term relationships with our customers and channels partners. We also partner with other vendors to offer robust and complete end-to-end solutions that include both software and hardware. At GSB it’s not just about the press or the printer, but rather about a full set of innovative graphics production solutions to create experiences that amaze. Join us in making history as we reinvent the Graphics industry.
Job Description:
The field support engineer key roles are to provide post sales, technical support to customers (large enterprise and SMB customers) in France enabling them to operate and maintain the Series 4 of HP-Indigo presses with high level of TCE.
This includes trouble shooting, preventive maintenance, testing, installation. The job focuses on diagnosis and repair of electro/mechanical digital offset printing presses and their associated peripherals.
We are looking for a graduate engineer to join our experienced team in paris!
Responsibilities:
Perform Break & fix on customer site.
Perform preventive maintenance and upgrades
Provide on-site support to customers on escalated problems.
Lead communication with specialist for unresolved issues.
Install & operate HP-Indigo presses
Lead high level of customer satisfaction trough high level of engagement and involvement in the service advantage and primary engineer programmes
Report to manager on any abnormal customer's issues.
Support sales & marketing functions for show/exhibitions
Skills Required:
Degree in electrical or mechanical engineering. PC and Windows knowledge.
Good knowledge of Printing and Printing technologies is an asset.
Knowledge/experience with Printing Press equipment and/or digital printers is an advantage.
Working and manage customer's relationships.
Ability to analyze and interpret complicated information.
Robust troubleshooting capabilities.
Excellent communication and customer service skills both spoken and written.
Excellent interpersonal skills that include teamwork, respect, courtesy, tact and discretion.
Excellent time management and prioritizing skills
Customer oriented skills in a service environment.
Able to work well under pressure.
Able to discuss complex technical issues with customers
Able to set up and drive action plans
Demonstrated ability to meet commitments.
Fluency in English
A valid driver's license
#LI-POST"
2,https://www.indeed.fr/emplois?q=Software%20Engineer&l=Nantes&radius=100&limit=100&sort=date&vjk=9716adbe98e3ad17,"Ingénieur Microsoft BI H/F NANTES
Umanis35 avis - Saint-Herblain (44)",['Saint-Herblain (44)'],Ingénieur Microsoft BI H/F NANTES,Umanis,- Saint-Herblain (44),null,null,"il y a 21 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Software Engineer,Nantes,"THE FRENCH LEADER OF THE DATA RECRUITS.
Joining Umanis is to participate in a formidable adventure, that of a French company in continuous growth, recognized for its capacity for innovation and its dynamism.
Umanis is more than 2700 enthusiasts of new technologies who share the same values as excellence, responsibility, respect and conviviality.
Umanis, it is a community with an average age of 35 years that intervenes in advanced engineering on the strategic projects of the largest customers of order or on behalf of companies for whom data is transformation vector.
Umanis, it is a management and an organization closest to its collaborators to accompany you in your career. Training, certifications, MOOC, CPEC; We are committed to making you evolve continuously.
The engineering engineer is responsible for coordinating studies related to the development of new tools / products while respecting the specifications defined in the specifications.
YOUR MISSIONS:
Venez rejoindre notre communauté d’expert sur MSBI certifiés Microsoft sur des projets ambitieux qui vous feront gagner en compétences.
Afin de développer nos équipes, nous recherchons donc un :
Consultant Microsoft BI (H/F) NANTES .
Vous interviendrez en collaboration avec l'équipe de développeurs, sur les missions suivantes :
La rédaction des livrables projets ;
La définition des architectures applicative et technique ;
La participation et le suivi des développements sur Microsoft BI ;
La validation technique ;
Le suivi des évolutions et les améliorations,
La maintenance et le support.
De formation Bac+3/5 (Ecole d’ingénieurs ou Université) vous êtes spécialisé en informatique et vous justifiez d’au moins un an d’expérience en développement sur Microsoft BI (MSBI), Power BI
Vous maîtrisez la suite décisionnelle Microsoft BI (SSIS, SSAS et SSRS), les langages de requêtes MDX, SQL et T-SQL.
Les compétences suivantes : Cloud Azure, Data Factory seront appréciées :
Vous avez été amené à intervenir sur les phases de rédaction de spécifications, de modélisation de Datawarehouse et de développement de procédures stockées.
Votre capacité d’adaptation, votre sens du service, votre autonomie, vos qualités relationnelles seront des atouts certains pour votre développement dans notre société.
Aimant le travail en équipe et maitrisant la langue anglaise, vous vous décrivez volontiers comme quelqu’un de polyvalent, créatif et plein d’humour !
Pourquoi Umanis ?
Un suivi régulier et personnalisé par votre manager et votre référent RH.
Une écoute constante pour accompagner votre montée en compétences et vous proposer les projets les plus en phase avec vos attentes.
Des moments de partage : soirées d’agence et afterworks, rencontres sportives…
L’intégration d’une communauté DATA nationale active.
La possibilité, en fonction de vos aspirations, de devenir l’un des référents techniques de notre équipe.
Ceux qui, grâce à leur expertise, nous accompagnent dans le recrutement des futurs collaborateurs.
En 2019, Umanis recrute 1000 nouveaux talents sur l'ensemble du territoire français. Et si c'était vous?
REQUIRED COMPETENCIES:
Complex problem solving (Confirmed), Design of works, products or events (Confirmed), English (Intermediate), Product or event development (Confirmed), Project management (Confirmed), Putting into operation / Production and maintenance (Confirmed), Risk management (Confirmed), Software mastery (Confirmed), Technical Architecture SI (Advanced)
In 2018, Umanis recruited 900 new talents throughout the French territory. What if it was you?"
3,https://www.indeed.fr/emplois?q=Software%20Engineer&l=Nantes&radius=100&limit=100&sort=date&vjk=85d3b3e29770c18d,"QA Test Engineer
SMART ADSERVER - Nantes (44)","['Nantes (44)', 'CDI']",QA Test Engineer,SMART ADSERVER,- Nantes (44),CDI,null,"il y a 4 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Software Engineer,Nantes,"About the team
Smart’s software engineers develop the next-generation technologies that empower our customers to reach their digital business goals. They grow in a demanding environment that values performance and high-availability: our platform manages over 1 million bid requests per second and our dataset is about 3 petabytes in Hadoop (more than 2TB additional data per day).
Our innovation team based in Paris, Nantes and Krakow is composed by 70 straightforward and energetic individuals working in an Agile environment and ready to tackle the most complex technical challenges.
Your mission
QA Engineers work closely with software engineers to ensure the continuous integration of our new features.
Actively participate in agile meetings with product and DEV
Provide expertise in all aspects of Software Quality Assurance and automation projects (best practices)
Design and develop automation tests with the collaboration of the DEV and QA
Design and execute end to end test campaigns
Maintain the existing test automation framework
Execute a variety of tests that ensure the highest quality delivery
Participate in the improvement of the quality: process, tooling and methods
Guarantee the quality of our short cycle releases through advanced unit testing / code analysis
About you
Minimum Qualifications
Master degree in Computer Science or similar technical field of study
4+ years of web or mobile software quality experience and familiar with test automation
Prior experience in functional and technical (automation) testing
Good programming skills in JavaScript/Typescript, HTML5 and CSS3.
Passionate about QA. Previous QA experience is a big plus
Interest in continuous integration and tools (Teamcity, Jenkins, MSBuild, Gradle, etc)
Entrepreneurial spirit and know-how to identify opportunities of improvement
Working proficiency and communication skills in verbal and written English
Autonomous and well organized
Extra Awesome Skills
Working proficiency and communication skills in verbal and written English
Passion for writing high quality and maintainable code following Software Craftsmanship or Continuous Delivery
Personal projects with code sharing
Prior experience with agile development methodologies
Knowledge of tools such Bitbucket (GIT), Jira, Confluence, Selenium, Test Cafe, etc.
Experience writing test cases
Basic programming skills in any modern OO languages (JAVA, .NET, etc.)
Tech oriented, resourceful and curious
Why you should apply...
We are one! At Smart, we care for our people. We are certified Great Place To Work and are constantly improving our working environment. Meet the team: https://youtu.be/BxvmLDyXct0
Grow with us! You will work in a challenging and fast-paced profitable context with varied projects and get awesome opportunities to develop your skills and grow internally.
Leave your mark! Smart is a human-size company. Our employees thrive under autonomy and can easily have a strong impact on our business, customers and organization.
✈️ Live global! You will work across countries & cultures through career path or Backpackers Program, our interoffice exchange program to boost employees’ collaboration.
We are transparent! We speak with fact and data and have a true culture of feedback. We believe in an open world and show a strong sense of integrity both internally & externally."
4,https://www.indeed.fr/emplois?q=Software%20Engineer&l=Nantes&radius=100&limit=100&sort=date&vjk=42ac0d18e28e658c,"R&D engineer in high-performance computing and Big Data analytics - Damaris project
Inria46 avis - Rennes (35)",['Rennes (35)'],R&D engineer in high-performance computing and Big Data analytics - Damaris project,Inria,- Rennes (35),null,null,"il y a 5 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Software Engineer,Nantes,"Le descriptif de l’offre ci-dessous est en Anglais
Niveau de diplôme exigé : Thèse ou équivalent
Fonction : Ingénieur scientifique contractuel
A propos du centre ou de la direction fonctionnelle
Inria, the French national research institute for the digital sciences, promotes scientific excellence and technology transfer to maximise its impact.
It employs 2,400 people. Its 200 agile project teams, generally with academic partners, involve more than 3,000 scientists in meeting the challenges of computer science and mathematics, often at the interface of other disciplines.
Inria works with many companies and has assisted in the creation of over 160 startups.
It strives to meet the challenges of the digital transformation of science, society and the economy.
Contexte et atouts du poste
About Inria, the team and the position
Inria is the only French public research body fully dedicated to computational sciences. Inria's missions are to produce outstanding research in the computing and mathematical fields of digital sciences and to ensure its impact on the economy and society through technology transfer and innovation. Throughout its 8 research centres and its approximately 200 project teams, Inria has a workforce of 3 400 scientists with an annual budget of 265 million euros, 29% of which coming from its own resources. Inria Rennes Bretagne-Atlantique is one of the eight sites of Inria. This publicly funded research center has a workforce of about 620 people, including full-time research scientists, faculty staff, engineers and support staff, distributed in 33 teams and support services.
The hired engineer will be a member of the KerData Inria team (https://team.inria.fr/kerdata/) led by Gabriel Antoniu. KerData is a joint research team of Inria Rennes - Bretagne Atlantique, ENS Rennes and INSA Rennes, and also a team of the IRISA lab. KerData's main research activities address the area of distributed data management at challenging scales, with a particular focus on clouds and petascale HPC architectures. We address the needs of data-oriented high-performance applications that must handle massive non structured data. Developed by the KerData research team in collaboration with JLESC (Joint INRIA-ANL-UIUC-BSC Lab for Extreme Scale Computing: http://publish.illinois.edu/jointlab-esc/), Damaris is a middleware for managing I/O and in situ processing of Big Data on HPC infrastructures.
Mission confiée
Mission overview
By joining our team you will participate in a dynamic work environment with exceptionally talented and friendly coworkers who are committed to high-quality research and development practices. You will collaborate with esteemed researchers from around the world by taking the technical responsibility for the development of the Damaris software, with the following global missions:
(1) maintain Damaris a distributable, professional-quality software (technical support, documentation, management of the web site);
(2) contribute to the design of a unified, scalable data processing framework where Damaris will be enhanced with innovative functionalities including Big Data storage and analytics features based on the KerA approach developed by KerData, with the goal to favor the adoption of this framework by the HPC and Big Data community, in the context of the HPC-Big Data convergence; this activity will be performed in close collaboration with our collaborators from ZettaFlow (a project aiming a startup creation focusing on these aspects).
(3) contribute to dissemination actions by interacting with potential users and by promoting Damaris and the future derived software through demonstrations at major HPC and Big Data events, such as the Supercomputing or IEEE BigData conferences.
(4) explore and lead exploitation plans, including the possibility to create a start-up company, based on Damaris, KerA and the derived software.
Principales activités
Detailed missions
Improve and extend the Damaris code, perform robustness and performance tests, maintain a continuous code integration process;
Create a unified data processing framework combining Damaris (as in situ/in transit data processing framework) with Big Data analytics plugins to support batch-based or stream-based data processing (e.g., based on components from the Spark, Flink ecosystem); this task includes refactoring, testing and integration with the KerA technology developed by the KerData team for low-latency stream storage and processing;
Adapt Damaris to use recent advanced communication and multithreading technologies (Mercury, Argobots);
Develop and maintain software connectors allowing Damaris to be used by state-of-the-art visualization tools such as VisIt and ParaView;
Facilite the dissemination of Damaris and of the unified data processing framework through the following means:
Maintain a complete and up-to-date documentation (reference manual, user manual);
Write example codes to facilitate learning of the interface by new users;
Design and maintain a profesional-quality web site facilitating the distribution of the code and of its documentation;
Design and implementation of software demonstrators:
Make demos at forums such as the Supercomputing conference, main international forum of the HPC community, BDEC (https://www.exascale.org/bdec/), the European Big Data Value Forum and Teratec;
Create and animate a user community around the (maintain a mailing list, a mechanism for bug report and solving, user support, etc.).
Compétences
Required qualifications
Excellent, demonstrated programming skills in C, C++, Python;
Very good knowledge of hardware and software technologies in the area of HPC (including MPI, which is a must, and knowledge about networking protocols like Intel DPDK/Infiniband)) and Big Data;
Very good knowledge of methodologies for managing software projects;
Ability to analyze and synthesize user requirements;
Ability to communicate and work in collaboration with experts in the same area and in other areas, in English;
Autonomy in leading and performing the tasks;
Sense of partnership and team spirit;
Taste for transmitting and sharing knowledge, results, progress;
Facility to present the results in written and oral form.
Avantages
Subsidised catering service
Partially-reimbursed public transport
Rémunération
monthly gross salary from 2562 euros according to diploma and experience"
5,https://www.indeed.fr/emplois?q=Software%20Engineer&l=Nantes&radius=100&limit=100&sort=date&vjk=010b8cdbfa48d929,"DevOps Production Engineer / Freelance
Phaidon International (UK) Ltd - Angers (49)","['Angers (49)', 'Temps plein, Freelance / Indépendant']",DevOps Production Engineer / Freelance,Phaidon International (UK) Ltd,- Angers (49),"Temps plein, Freelance / Indépendant",null,"Freelance-info - il y a 5 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Software Engineer,Nantes,"Vous en serez responsable :
traiter les demandes de service et les incidents de niveau 2-3
la maintenance et le développement de toutes les briques techniques dans le cadre du périmètre assigné
la gestion de l’ordonnancement du traitement
la standardisation, l’automatisation et l’industrialisation des processus de production
la gestion des services cloud publics (AWS, GCP, Azure)
la création et la mise à jour de documents techniques.
Vous êtes familier avec les systèmes d’exploitation (windows/Linux)
Sans être un expert, vous avez une connaissance minimale de l’administration/opération des bases de données Oracle (auditeurs, tablespace, rman...) et SQLServer,
Vous savez comment installer et configurer un serveur Apache,
Vous maîtrisez l’écriture de scripts (type Shell....),
Vous possédez des connaissances de base sur les planificateurs (VTOM...) et les liens inter-applications, les outils de sauvegarde et la supervision technico-applicative,
Vous maîtrisez les processus de contrôle et de développement de DevOps ainsi que les outils de DevOps Software Factory.
Vous connaissez tous les aspects de sécurité et de confidentialité liés à l’hébergement et à la gestion des systèmes judiciaires (RGPD).
CertifiedITIL est un plus"
6,https://www.indeed.fr/emplois?q=Software%20Engineer&l=Nantes&radius=100&limit=100&sort=date&vjk=46919d84a2e7bdaf,"Product Manager
Procsea3 avis - Rennes (35)",['Rennes (35)'],Product Manager,Procsea,- Rennes (35),null,null,"il y a 5 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Software Engineer,Nantes,"PRODUCT MANAGER H/F

ProcSea is the online seafood marketplace dedicated to professional buyers and sellers. Since 2016, we've been disrupting this $200bn market by connecting directly fishermen & producers with restaurants, grocery stores & fishmongers, all in just a few clicks.
Our ship is speeding up and has an international reach.
To accompany us in this rapid growth, our Product sailors team is looking for a Product Manager. This role is located in Rennes and is a CDI.
The mission :
The product/team team grows in a logic of squad in which each Product Manager has the ownership. As a product manager you will be responsible for one of these squads to deliver the maximum value for business and users.
You’ll join the product Team and report directly to the CPO.
Understand customer needs through user interviews, data analysis, and usability sessions
Work on creative solutions, in collaboration with product designer and developers
Participate in the creation and prioritization of the roadmap
Communicate regularly with people across the business, both to obtain input for the product roadmap and to share progress and plans
Challenge requests for product changes that may come from outside as well as internally
Write user stories and participate in the development of wireframes
Review tickets, following the development of new features.
The ideal sailor :
You have graduated with a Master or Bachelor degree in Engineering or Business
3+ years of experience as a Product Manager, ideally in a B2B environment
Experience working with a team of engineers to build and maintain software in production
Knowledge of JIRA, lean UX & Agile Methodologies
You love solving big & complex problems and understanding end-customer needs
Execution and data oriented, you’re highly organized and you can manage many work streams
Natural self-starter, you are able to take initiative and take an entrepreneurial approach to everyday tasks
Comfortable to interact with techs (techno, API, microservice architecture)
You have great communication skills (both written and oral)
Fluent in English
An experience in a fast paced environment or a startup is a great plus
The perks :
Stock options: all the sailors can take part of the future success of ProcSea
Training and development: we will give you all the necessary keys to attain your objectives and grow!
Frequent social events to take a part of: afterworks, barbecue, raclette, poker, laser game, badminton…
At lunch, we eat all together and relax by playing chess, pétanque (yes, we have a dedicated pétanque field), palet, foosball, Mölkky or just by taking a stroll (or running) along the Vilaine
Everything close by for lunch or to access work with various buses and a free parking
We work in a sunny and modern open space, in Rennes, frequently called one of the best cities to live and work in.
Why jump aboard:
Challenge: Nothing stops us! Commited to make ProcSea a recognized worldwide leader, we are always looking for ways to improve and grow.
Ambition: You will be part of a fast growing and international startup. ProcSea has been created with the ambition to disrupt the old practices of the fish trade and build an innovative and worldwide company.
Team spirit: You will grow in an engaged and happy crew. All aboard the same ship, we share our knowledge, experiences and passions. Our day to day? Humility, conviviality and fun!

Sail and grow with us!"
7,https://www.indeed.fr/emplois?q=Software%20Engineer&l=Nantes&radius=100&limit=100&sort=date&vjk=4eebf884a89b1df9,"Software Build Engineer
SMART ADSERVER - Nantes (44)","['Nantes (44)', 'CDD']",Software Build Engineer,SMART ADSERVER,- Nantes (44),CDD,null,"il y a 13 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Software Engineer,Nantes,"About the team
Smart’s software engineers develop the next-generation technologies that empower our customers to reach their digital business goals. They grow in a demanding environment that values performance and high-availability: our platform manages over 1 million bid requests per second and our dataset is about 3 petabytes in Hadoop (more than 2TB additional data per day).
Our innovation team based in Paris, Nantes and Krakow is composed by 70 straightforward and energetic individuals working in an Agile environment and ready to tackle the most complex technical challenges.
Your mission
You will work closely with software engineers to ensure our build pipelines deliver our new features seamlessly. You will develop tools and implement automation to help improve the developer experience, the build reliability, stability, and performance. You will challenge existing processes to reinforce the quality of our products.
Engineer systems and tools to support both build and verification of our products
Continuous development practice
Self-hosted and cloud platforms
Diagnose and troubleshoot build framework problems
Enforce software development best practices
Identify, collaborate and implement process improvement opportunities
Setup and monitor R&D KPIs: Code quality, Bug trends, Software Factory health, ...
Detect impediments and advocate for their resolution (unreliable testing environments, … )
Assist and support developers in the use of the software factory
About you
Minimum Qualifications
Master degree in Computer Science or similar technical field of study
2+ years of configuration management and web application engineering
Prior experience with agile development methodologies
Interest in continuous integration and its tools (Teamcity, Jenkins, Azure DevOps ...)
Scripting and automation skills in one or more of PowerShell, Python, bash, or similar
Knowledge of SonarCloud, JIRA, package managers, ...
Programming experience in C# and/or JavaScript/Typescript, HTML5 and CSS3
Knowledge of cloud base Git hosting providers (Bitbucket, GitHub), branch management and merging
Must be self-driven and a team player with a solid work ethic
Extra awesome skills
Working proficiency and communication skills in verbal and written English
Passion for writing high quality and maintainable code
Personal projects with code sharing
Tech oriented, resourceful and curious
Why you should apply...
We are one! At Smart, we care for our people. We are certified Great Place To Work and are constantly improving our working environment. Meet the team: https://youtu.be/BxvmLDyXct0
Grow with us! You will work in a challenging and fast-paced profitable context with varied projects and get awesome opportunities to develop your skills and grow internally.
Leave your mark! Smart is a human-size company. Our employees thrive under autonomy and can easily have a strong impact on our business, customers and organization.
✈️ Live global! You will work across countries & cultures through career path or Backpackers Program, our interoffice exchange program to boost employees’ collaboration.
We are transparent! We speak with fact and data and have a true culture of feedback. We believe in an open world and show a strong sense of integrity both internally & externally."
8,https://www.indeed.fr/emplois?q=Software%20Engineer&l=Nantes&radius=100&limit=100&sort=date&vjk=c700dd34e1bf09b3,"Full Stack Software Engineer
SMART ADSERVER - Nantes (44)","['Nantes (44)', 'CDI']",Full Stack Software Engineer,SMART ADSERVER,- Nantes (44),CDI,null,"il y a 10 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Software Engineer,Nantes,"About the team
Smart’s software engineers develop the next-generation technologies that empower our customers to reach their digital business goals. They grow in a demanding environment that values performance and high-availability: our platform manages over 1 million bid requests per second and our dataset is about 3 petabytes in Hadoop (more than 2TB additional data per day).
Our innovation team based in Paris and Nantes is composed by 70 straightforward and energetic individuals working in an Agile environment and ready to tackle the most complex technical challenges.
Your mission
Work closely with Product Management to gather and translate requirements into technical solutions
Design, develop, deploy and maintain new customer facing experiences
Optimize web experience through driving tests sessions and setting-up automated tests
Develop several new backend capabilities including REST APIs and personalization support
Analyses users’ needs to design new prototypes
About you
Master degree in Computer Sciences or similar technical field of study
3+ years of web software development experience with ASP.Net, ASP.NET Core, REST Web APIs, C#, SQL and Front-End technologies (JavaScript, AngularJS/7, HTML5, CSS3, SASS, Gulp, NPM)
New technologies (Redis, RabbitMQ, Aerospike, Elasticsearch) and large-scale technical stakes
Entrepreneurial spirit and know-how to identify opportunities of improvement
Working proficiency and communication skills in verbal and written English
Passion for writing high quality and maintainable code following Software Craftsmanship or Continuous Delivery
Personal projects with code sharing
Why you should apply...
We are one! At Smart, we care for our people. We are certified Great Place To Work and are constantly improving our working environment. Meet the team: https://youtu.be/BxvmLDyXct0
Grow with us! You will work in a challenging and fast-paced profitable context with varied projects and get awesome opportunities to develop your skills and grow internally.
Leave your mark! Smart is a human-size company. Our employees thrive under autonomy and can easily have a strong impact on our business, customers and organization.
✈️ Live global! You will work across countries & cultures through career path or Backpackers Program, our interoffice exchange program to boost employees’ collaboration.
We are transparent! We speak with fact and data and have a true culture of feedback. We believe in an open world and show a strong sense of integrity both internally & externally."
9,https://www.indeed.fr/emplois?q=Software%20Engineer&l=Nantes&radius=100&limit=100&sort=date&vjk=d3f6e384b13081ed,"Software/User Interface Android Software Engineer Augmented Reality Smart Glasses
Optinvent - Rennes (35)",['Rennes (35)'],Software/User Interface Android Software Engineer Augmented Reality Smart Glasses,Optinvent,- Rennes (35),null,null,"il y a 12 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Software Engineer,Nantes,"Location:
Rennes, France
Mission:
Manage the Android platform for ORA product line.
Source code modifications (drivers and firmware) in relation with electronics suppliers.
Create a new use interface with the current sensors and implement a specific launcher for ORA devices.
Technical support for customers and application developers.
Software Test &t Validation for Smart Glass products.
Power Management optimization for ORA product line.
Update ORA SDK with more features on video streaming and new user interface.
Manage application development with industrial partners.
Active involvement in ORA product development.
Fluent English and French.
Report to Technical Manager.
Experience:
3 to 5 Years in the development of Android & Linux based systems. Good know how on Android Kernel systems and associated firmware. Experience in the development of intiuitive user interface and Augmented Reality AR is appreciated.
Salary:
To be discussed based on experience.
Aailability:
The job position is open now."
