,id,meta1,meta2,titre_poste,entreprise,localisation,contrat,salaire,date_publication,keyword_metier,keyword_localisation,description
0,https://www.indeed.fr/emplois?q=Web%20Designer&l=Nantes&radius=100&limit=100&sort=date&vjk=3b6a31a087bd4eb4,"Développeur PHP Symfony F/H
Conserto - Saint-Herblain (44)","['Saint-Herblain (44)', 'CDI']",Développeur PHP Symfony F/H,Conserto,- Saint-Herblain (44),CDI,null,"Apec.fr - il y a 18 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Web Designer,Nantes,"Nous recherchons un développeur PHP Symfony confirmé (F/H) en CDI pour rejoindre notre équipe basée à Nantes :

Les missions qui vous seront confiées dans un premier temps pourront être :

La conception et le développement, bien-sûr,
Le recueil des besoins utilisateurs, la rédaction de spécifications fonctionnelles et techniques,
Les test et l'intégration
Sur tous nos projets, nous pratiquons l'intégration continue. Nous mettons systématiquement en place des tests unitaires et/ou des tests fonctionnels en fonction de l'ampleur des projets.

Des experts techniques sont disponibles pour vous épauler dans vos difficultés et vous aider à progresser.

Nos équipes projets intègrent systématiquement des UI/UX designers et des intégrateurs HTML.

Nos accords d'entreprise garantissent des programmes de formations régulières.
Profil recherché Nous recherchons en priorité un/une passionné(e), qui a de l'autonomie sur les environnements suivants :

PHP 7
Symfony 4
HTML 5, CSS 3
Vous justifiez d'au moins une première expérience de projet Symfony en équipe.

La maîtrise d'un framework javascript est un sérieux atout (React, Vue.js ou Angular).

La connaissance d'un ou plusieurs CMS (Drupal, Wordpress) serait apprécié.

Nous cherchons avant tout un/une nouvel(le) équipier(e) pour rejoindre la meute, quelqu'un de positif, avec le sens du service, qui aime travailler en équipe, qui n'a pas peur de progresser et d'aider les autres à progresser !

Plus d'infos sur l'agence :
[https://lycanthrop.fr/](https://lycanthrop.fr/)
[https://medium.com/[a]lycanthrop](https://medium.com/[a]lycanthrop)
[https://www.instagram.com/agencelycanthrop/](https://www.instagram.com/agencelycanthrop/)
Entreprise CONSERTO, née il y a 6 ans à Nantes, compte plus de 420 salariés répartis sur nos 8 sites : Nantes (notre siège), Rennes, Niort, Paris, Montpellier, Toulouse, Bordeaux & Lyon !

Nous sommes une société Agile, par l'indépendance et l'autonomie de nos agences, par notre modèle basé sur l'accompagnement de chacun, l'innovation permanente, et l'excellence ; que l'on soit sur des métiers technologiques ou méthodologies.

Conserto est une société basée sur la création de communautés de passionnés et d'experts sur ses 3 métiers; le Digital, le DevOPS et l'Agilité.

Lycanthrop', c'est l'agence Web de Conserto."
1,https://www.indeed.fr/emplois?q=Web%20Designer&l=Nantes&radius=100&limit=100&sort=date&vjk=e73774e212bc5d02,"Dévelopepur Drupal F/H
Conserto - Saint-Herblain (44)","['Saint-Herblain (44)', 'CDI']",Dévelopepur Drupal F/H,Conserto,- Saint-Herblain (44),CDI,null,"Apec.fr - il y a 18 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Web Designer,Nantes,"Nous recherchons un Développeur Drupal H/F en CDI pour rejoindre notre équipe basée à Nantes.

Les missions qui vous seront confiées dans un premier temps pourront être :

La conception et le développement, bien-sûr,
Le recueil des besoins utilisateurs, la rédaction de spécifications fonctionnelles et techniques,
Les tests et l'intégration
Sur tous nos projets, nous pratiquons l'intégration continue. Nous mettons systématiquement en place des tests unitaires et/ou des tests fonctionnels en fonction de l'ampleur des projets.

Des experts techniques sont disponibles pour vous épauler dans vos difficultés et vous aider à progresser.

Nos équipes projets intègrent systématiquement des UI/UX designers et des intégrateurs HTML.

Nos accords d'entreprise garantissent des programmes de formations régulières.
Profil recherché Nous recherchons en priorité un/une passionné(e), qui a de l'autonomie sur les environnements suivants :

Drupal 8
PHP/Symfony
Terminal de commande type linux
GIT/SVN
Vous justifiez d'au moins une première expérience de gestion de projet Drupal en équipe.

La maîtrise de JavaScript, Docker, Composer sont de réels atouts.

Nous cherchons avant tout un/une nouvel(le) équipier(e) pour rejoindre la meute, quelqu'un de positif, avec le sens du service, qui aime travailler en équipe, qui n'a pas peur de progresser et d'aider les autres à progresser !
Entreprise CONSERTO, née il y a 6 ans à Nantes, compte plus de 420 salariés répartis sur nos 8 sites : Nantes : notre siège et Lycanthrop, Rennes, Niort, Paris, Montpellier, Toulouse, Bordeaux & Lyon !

Nous sommes une société Agile, par l'indépendance et l'autonomie de nos agences, par notre modèle basé sur l'accompagnement de chacun, l'innovation permanente, et l'excellence ; que l'on soit sur des métiers technologiques ou méthodologies.

Conserto est une société basée sur la création de communautés de passionnés et d'experts sur ses 3 métiers; le Digital, le DevOPS et l'Agilité.

Lycanthrop', c'est l'agence Web de Conserto !

[https://lycanthrop.fr/](https://lycanthrop.fr/)
[https://medium.com/[a]lycanthrop](https://medium.com/[a]lycanthrop)
[https://www.instagram.com/agencelycanthrop/](https://www.instagram.com/agencelycanthrop/)"
2,https://www.indeed.fr/emplois?q=Web%20Designer&l=Nantes&radius=100&limit=100&sort=date&vjk=856c30277159c478,"Lead dev Drupal F/H
Conserto - Saint-Herblain (44)","['Saint-Herblain (44)', 'CDI']",Lead dev Drupal F/H,Conserto,- Saint-Herblain (44),CDI,null,"Apec.fr - il y a 18 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Web Designer,Nantes,"Nous recherchons un Lead dev Drupal H/F en CDI pour rejoindre notre équipe basée à Nantes.

Les missions qui vous seront confiées dans un premier temps pourront être :

L'expertise et la veille techniques Drupal,
La rédaction de spécifications fonctionnelles et techniques,
L'apport de solutions techniques face aux besoins des projets
Revues de codes,
Support de l'équipe.
Sur tous nos projets, nous pratiquons l'intégration continue. Nous mettons systématiquement en place des tests unitaires et/ou des tests fonctionnels en fonction de l'ampleur des projets.

Nos équipes projets intègrent systématiquement des UI/UX designers et des intégrateurs HTML.

Nos accords d'entreprise garantissent des programmes de formations régulières.
Profil recherché Nous recherchons en priorité un/une passionné(e), qui a de l'autonomie sur les points suivants :

Drupal 8/7
PHP/Symfony
Shell/bash sous linux
GIT
Vous justifiez d'une expérience confirmée en Drupal.

Vous êtes reconnu pour votre capacité à travailler en équipe et apporter des solutions techniques.

La maîtrise de Drush, Composer ou Docker, sont de réels atouts.

Nous cherchons avant tout un/une nouvel(le) équipier(e) pour rejoindre la meute, quelqu'un de positif, avec le sens du service, qui aime travailler en équipe, qui n'a pas peur de progresser et d'aider les autres à progresser !
Entreprise CONSERTO, née il y a 6 ans à Nantes, compte plus de 420 salariés répartis sur nos 8 sites : Nantes : notre siège et Lycanthrop, Rennes, Niort, Paris, Montpellier, Toulouse, Bordeaux & Lyon !

Nous sommes une société Agile, par l'indépendance et l'autonomie de nos agences, par notre modèle basé sur l'accompagnement de chacun, l'innovation permanente, et l'excellence ; que l'on soit sur des métiers technologiques ou méthodologies.

Conserto est une société basée sur la création de communautés de passionnés et d'experts sur ses 3 métiers; le Digital, le DevOPS et l'Agilité.

Lycanthrop', c'est l'agence Web de Conserto !

[https://lycanthrop.fr/](https://lycanthrop.fr/)
[https://medium.com/[a]lycanthrop](https://medium.com/[a]lycanthrop)
[https://www.instagram.com/agencelycanthrop/](https://www.instagram.com/agencelycanthrop/)"
3,https://www.indeed.fr/emplois?q=Web%20Designer&l=Nantes&radius=100&limit=100&sort=date&vjk=7f0062e8b424f838,"Stagiaire graphiste - web design H/F
IVES - Nantes (44)","['Nantes (44)', 'Temps plein, Stage']",Stagiaire graphiste - web design H/F,IVES,- Nantes (44),"Temps plein, Stage",null,"il y a 1 jour
Signaler cette offre d'emploi",Web Designer,Nantes,"Comme on est poli, on commence par nous * ! *
IVES a pour objectif d’accompagner les créateurs d’entreprise esseulés. Des entrepreneurs de quartier, des salariés déjà en poste, des porteurs de projet qui habitent en campagne ou tout simplement des entrepreneurs et pas des startuppers. Beaucoup se retrouvent seuls dans leur aventure de création d’entreprise. Et nous, notre rêve c’est que l’accompagnement à la création d’entreprise soit accessible à tous, tout le temps, quelques soient les contraintes.
Alors pour cela, on développe une solution digitale qui allie un parcours 100% en ligne pour construire son projet étape par étape, de l’accompagnement humain par des coachs et des mentors, et une communauté d’entrepreneurs du digital et des services.
Nous sommes incubés chez Novapuls alors autant te dire qu’au niveau des locaux, il n’y a pas mieux ! On grandit avec une quinzaine de startups qui nous font découvrir plein de technos et d’innovations terribles. L’ambiance chez IVES est pro et fun, sérieuse et détendue… En gros, chacun se gère pour répondre aux objectifs avec pas mal de travail collectif.
Et la famille de IVES, c’est deux fondateurs, Jennifer et Frédéric, multi-entrepreneurs qui sont associés à Cédric (le CDO), Charly (le CTO) et un board d’experts pour garder le cap stratégique.
Et pour que IVES grandisse bien, on a besoin d’un.e Web Designer.euse de talent au plus vite !
Qu’est-ce que tu feras chez IVES :
Nous sommes à la recherche de LA collaboratrice ou DU collaborateur qui saura dynamiser l’animation graphique de IVES.
En collaboration avec la Responsable Marketing & Communication, tu assureras le conception et la déclinaison de tous les supports de communication digitaux. Tu imagineras des supports visuels attractifs véhiculant nos valeurs afin d’attirer et fidéliser de nouveaux prospects et partenaires.
Chez IVES, tu vas pouvoir :
Imaginer, concevoir et réaliser de nouveaux visuels en accord avec l’identité visuelle de IVES pour nos emails, nos publicités & autres canaux digitaux,
Animer le site officiel pour les différents devices : homepages, encarts, bannières, …
Créer des pages et/ou des landing pages.
Créer des formats statiques et/ou vidéos (Facebook / Instagram ; vidéos, …)
Développer nos outils de communication offline : brochures, affichage, …
Dynamiser nos contenus vidéos et web pour les rendre le plus attractifs et pédagogiques possible.
Toujours force de proposition et impliqué.e, tu n’hésiteras pas à réaliser et proposer des infographies à destination de nos clients pour développer la pédagogie de nos actions.
Le fabuleux profil que tu as :
Tu as une formation graphiste avec une belle et forte orientation web. Tu as une bonne maîtrise des procédés et des outils de création graphique et de l’intégration web (photoshop, illustrator, indesign, css, html, …).
Le milieu du digital n’a plus de secret pour toi !
Tu as envie de construire et de faire par toi-même ! Et tu es reconnu.e pour être « tout-terrain » motivé.e à la fois sur des sujets produits digitaux et sur des sujets de webmarketing/contenus.
Et au-delà de ça, c’est avant tout ta personnalité et ta créativité qui seront appréciées et notamment ta bienveillance fait de toi une personne humble et agréable à vivre !
Ta créativité est un don qui ne demande qu'à être exploité !
Impliqué.e au quotidien, rigoureux.se et force de proposition, tu as envie de développer tes compétences dans un environnement où la polyvalence et la réactivité sont accrues et ou la prise d’initiatives est valorisée.
Nous rejoindre, c’est évoluer et grandir au sein d’un environnement dynamique, d’une équipe passionnée ayant pour ambition l’excellence et la réussite et comme valeur la liberté et la bienveillance. Et le tout, en plein centre de Nantes !
Ça te tente ? Envoie ton CV et un mail de motivation à Fred.
Dépêche dépêche, on t’attend !
www.ives-incubator.com
Type d'emploi : Temps plein, Stage"
4,https://www.indeed.fr/emplois?q=Web%20Designer&l=Nantes&radius=100&limit=100&sort=date&vjk=fa281a0def740779,"Lead Developer H/F
GINGERMINDS - Nantes (44)","['Nantes (44)', 'Temps plein, CDI']",Lead Developer H/F,GINGERMINDS,- Nantes (44),"Temps plein, CDI",null,"il y a 1 jour
Signaler cette offre d'emploi",Web Designer,Nantes,"Le poste
Le lead développeur chez GM :
participe à la production en front et en back (fullstack) idéalement (back impératif)
Php Laravel, voire Symfony
Javascript, ECMAscript
VueJS, Nuxt
Ionic
HTML 5, SCSS
participe à la conception de l’architecture technique et anticipe les spécificités fonctionnelles
est un moteur pour mettre en place des process internes, des nouvelles méthodo, ... pour dynamiser la production
participe aux réunions, call avec le client si nécessaire
participe ponctuellement à des avant-ventes
est un support pour l’équipe (KAM, PO, développeur) et participe à la montée en compétences des juniors
Le profil
Avec une expérience de 6 ans minimum en agence digitale ou ESN, vous disposez d’une très bonne culture techno (veille ++), une expertise éprouvée sur les technologies de notre stack technique (PHP Laravel, Drupal8, VueJS/Nuxt avec Interfaçage Webservice / API RESTful, Ionic…) ou équivalente (PHP Symfony, React/React native…) pour produire mais aussi soutenir un discours de bon niveau en interne et chez nos clients.
Vous justifiez d’une première expérience en tant que lead technique sur des projets complexes (développement spécifique, interface SI, multipartenaires,…).
Vous disposez des qualités nécessaires pour occuper le poste : forte capacité de travail en équipe, sens de la pédagogie, maîtrise des méthodes agiles…
… Mais également des aptitudes relationnelles développées pour soutenir un discours avant-vente crédible. Votre empathie et votre capacité à appréhender un environnement métier et technique complexe vous permet d’assurer une interface client (DSI…) de haut niveau.
L'agence
Gingerminds est une agence digitale nantaise spécialisée en B2B depuis 2005.
Nous mettons notre expertise globale (UX/UI, Développement, Webmarketing, …) au service de projets stimulants et innovants pour Michelin, Saint-Gobain, Manitou, Pileje Group, Fija Group, Akena Véranda, …
Convaincus par nos méthodes (hiérarchie horizontale, agilité, flexibilité, …) et nos valeurs (bienveillance, autonomie, confiance), nous associons croissance continue et maîtrisée avec une ambiance studieuse mais décontractée.
Fort de nos 35 collaborateurs et au sein de notre équipe de 12 développeurs, il/elle aura pour mission d’assurer le développement de multiples projets (applications, objets connectés, sites web, outils d’aide à la vente, extranet, …) en mode Agile et en collaboration avec l’équipe projet (KAM, PO, Designer, …)
Cette offre n'est disponible que sur Nantes.
Stagiaire, alternant, merci de s'abstenir concernant cette offre et de passer directement via notre site internet.
Plus de détails concernant notre agence digitale sur notre site internet.
Découvrez notre événement annuel en vidéo : https://vimeo.com/280734712
Type d'emploi : Temps plein, CDI
Expérience:
développeur web: 6 ans (Souhaité)"
5,https://www.indeed.fr/emplois?q=Web%20Designer&l=Nantes&radius=100&limit=100&sort=date&vjk=92d1c652f9d6d3e1,"Développeur DRUPAL 8 (H/F) - Nantes centre ville
EXTERNATIC4 avis - Nantes (44)","['Nantes (44)', 'CDI']",Développeur DRUPAL 8 (H/F) - Nantes centre ville,EXTERNATIC,- Nantes (44),CDI,null,"il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",Web Designer,Nantes,"DESCRIPTION DE L'OFFRE
L'entreprise:
Cette agence digitale nantaise d'une cinquantaine de personnes, cherche à renforcer son équipe avec l'intégration d'un développeur DRUPAL (H/F).
Pourquoi ce job?
L'entreprise se distingue notamment par un management bienveillant, basé sur la confiance et l'envie de faire progresser chaque collaborateur.
Missions :
Contexte de création de poste, vous travaillez en relation directe avec le Directeur Technique et l’équipe créa (UX designer, webmarketing, communication…); et surtout avec avec d'autres développeurs expérimentés sur DRUPAL, qui pourront vous aider à monter en compétences.
Vous intégrez un environnement dynamique et en évolution:
Participation au maquettage avec les services concernés
Conception technique des solutions dans un cadre de réutilisabilité et maintenabilité (Clean Coding)
Développement sous Drupal (8) notamment des briques techniques complexes (connecteur, ... etc)
Développement Front sous Angular (voire passage fullstack à moyen terme)
Intégration graphique
Tests et suivi avec les équipes de delivery
Les notions de méthodologie (cycle en V / Agile), de responsive web design, d’API et de webservices contribuent au bon développement des projets de l'agence.

Les + :
Locaux situés en plein centre-ville.
Des avantages mis en place pour fidéliser les salariés: intéressement, TR, Chèques vacances, Chèques cadeaux, mutuelle offerte...
Télétravail possible
Belles références clients: institutionnels et grands comptes

Eléonore BOCQUET chez Externatic:
Mes petit plus:
-je ne suis pas de formation RH - donc ne me voyez pas comme la recruteuse classique ;-)
mon passé professionnel me permet d'être dotée d'un bon réseau.
je ne suis pas là pour votre promettre la lune mais là pour vous aider sur la base de vos souhaits d'évolution de carrière.
PROFIL REQUIS
Vous :
Vous maîtrisez l’environnement Drupal.
Vous avez un excellent relationnel et aimez le travail en équipe pluridisciplinaire.
Vous avez un côté créatif, et êtes force de proposition.
Toujours en veille, vous êtes à l’actualité des nouveautés et aimez travailler dans un environnement dynamique."
6,https://www.indeed.fr/emplois?q=Web%20Designer&l=Nantes&radius=100&limit=100&sort=date&vjk=d70ed8c993e86e7a,"Développeur Android
Wemoov - Nantes (44)",['Nantes (44)'],Développeur Android,Wemoov,- Nantes (44),null,null,"il y a 4 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Web Designer,Nantes,"WEMOOV RECRUTE !

Wemoov est une Start Up dynamique créée par trois experts du domaine du numérique pour accompagner leurs clients dans l’évolution digitale en proposant des solutions personnalisées et innovantes.

Nous sommes spécialisés dans 2 domaines principaux :
Le service numérique: La réalisation de prestations informatiques systèmes et réseaux (support, administration, ingénierie et gestion de projet), ainsi que la réalisation de prestations en développement mobiles (IOS, Android) et web (Java, JEE, Javascript, PHP ...)
L'édition logicielle: Développement d'application mobile de solutions de montage et d’habillage automatisés de contenus vidéo et son intégration sur les différents supports
Cette offre de services a pour objectif la satisfaction de nos clients (nationaux ou internationaux) tout en respectant l’épanouissement et le bien-être de nos collaborateurs.

Dans le cadre d’un accroissement d’activité dans les équipes d’un de nos clients, nous recherchons un Développeur Android (H/F)

Description du poste et Missions :
Rattaché(e) au chef de projet, vous participerez activement aux développements d’applications mobiles, plus particulièrement Android avec des langages et méthodes respectueux des bonnes pratiques.

A ce titre, vos activités seront :
La conception, le développement et la mise en œuvre de solutions et d’évolutions dans les technologies mobiles.
L’analyse des besoins ainsi que la rédaction et la mise à jour des spécifications techniques et fonctionnelles des solutions et des évolutions.
La participation aux phases de tests suite aux développements réalisés.
Compétence techniques :
Android en Java et en Kotlin
React Native, Ionic, Xamarin
Librairies : Event Bus Green DAO / Object Box / Room Retrofit /Glide / Fresco / Picasso
Aspects de développement Android maitrisés :
Gestion background / foreground
Manipulation des threads
Connectivité Bluetooth / BLE
Développement responsive
La création de « custom views »
Profil Recherché :
Vous êtes passionné(e)s de nouvelles technologies et souhaitez évoluer dans un environnement exigeant mais convivial. Vous êtes rigoureux et avez un très bon sens de l'organisation.
Vous connaissez les technologies de développement android
Vous avez déjà travaillé sur des méthodologies Agiles / Scrum
Vous connaissez les contraintes UX (guidlines) et aimez travailler avec un ou plusieurs Designer d'applications
Vous avez 3 ans d’expérience minimum sur un poste similaire
De BAC +2 à BAC +5 en développement et conception informatique"
7,https://www.indeed.fr/emplois?q=Web%20Designer&l=Nantes&radius=100&limit=100&sort=date&vjk=e3fb6484d7089c1c,"Tech Lead NODE ANGULAR POSTGRESQL
KANOMA5 avis - Nantes (44)","['Nantes (44)', 'Freelance / Indépendant, CDI']",Tech Lead NODE ANGULAR POSTGRESQL,KANOMA,- Nantes (44),"Freelance / Indépendant, CDI",null,"il y a 4 jours
Signaler cette offre d'emploi",Web Designer,Nantes,"C’est la rentrée, profite de ce moment pour partir vers une nouvelle aventure !
La tribu agile de Kanoma s’agrandit et nous recrutons un lead tech Node/Angular.
Intégrer Kanoma, c’est faire partie de notre tribu et contribuer à un projet commun.
Une tribu à l’écoute, qui prendra soin de toi, t’accompagnera dans ton projet pro et avec qui tu pourras rigoler !
La tribu c’est quoi ?
Etre agile jusqu'au bout des ongles : on fait des rétrospectives, pas des comités de direction.
Partager sur slack, des afterworks, des REX, des déjeuners et bien d’autres choses encore (on ne dévoile pas tout dans cette annonce).
Favoriser l’ouverture à l’écosystème numérique nantais en participant aux events IT : Devfest, Web2day Agile tour, les Meet-up…
Quel sera ton job ?
Nous recrutons plusieurs personnes pour compléter notre feature team et accompagner notre client dans son projet.
Le projet > créer from scratch une plateforme web interactive (SaaS), destinée à l'évaluation de candidats en ligne. Au total, ce sont 75 à 80 écrans à développer et/ou optimiser (Certains écrans sont déjà existants). Sprint de 15 jours.
Les rôles recherchés :
2 développeurs(euses) - Node, Angular, PostgreSQL
1 UX designer
1 testeur (QA)
Nos attentes :
être force de proposition sur les composants techniques
être créatif
avoir déjà travaillé en agile
avoir un bon relationnel
Le projet sera géré dans nos locaux, sur l’Ile de Nantes.
Tu aimes l’aventure ? Tu as toujours rêver de monter dans une fusée pour rejoindre l’espace ? Tu veux attaquer la rentrée avec un beau projet ? Dans une équipe sympa (vraiment sympa) ? Dans des locaux avec une vue imprenable sur l’éléphant ?
REJOINS LA TRIBU KANOMA !
A propos de Kanoma :
Du grec « kano omada » qui signifie « faire ensemble », Kanoma est une société de conseils et services numériques, qui allie une philosophie agile, des compétences à forte valeur et un fonctionnement en tribu.
Nous accompagnons nos clients dans leur transformation digitale autour de 3 axes : le management des applications, le développement des produits et l’accompagnement au changement.
Type d'emploi : Freelance / Indépendant, CDI
Salaire : 38 000,00€ à 45 000,00€ /mois
Expérience:
tech lead node angular postgresql ou similaire: 1 an (Souhaité)"
8,https://www.indeed.fr/emplois?q=Web%20Designer&l=Nantes&radius=100&limit=100&sort=date&vjk=684f7c7a5f94a1ef,"Lead Developpeur
SpeachMe - Nantes (44)",['Nantes (44)'],Lead Developpeur,SpeachMe,- Nantes (44),null,null,"il y a 4 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Web Designer,Nantes,"Job Description

# VOS MISSIONS À NOS CÔTÉS
Travailler chez Speach, c’est avant tout rejoindre une équipe de développeurs autonomes, capables de comprendre des enjeux stratégiques et d’interagir directement, avec les designers, la recette, le CTO, l’infra… Tous nos développeurs sont poussés à l’innovation, la communication et la réflexion.
Lorsqu’un de nos développeurs a un projet ou une idée d’amélioration simple de fonctionnalité, nous faisons en sorte de lui donner les clés pour aller au bout de sa réflexion et de sa création. Et si l’idée se révèle excellente, l’entreprise saura le récompenser et l’accompagner. (Exemple de projet : notre nouveau plugin jetBrains https://plugins.jetbrains.com/plugin/9835-speachme)
En bref, si tu souhaites :
créer des composants graphiques pour le framework ?
structurer l’architecture front et back ?
développer des plugins (Chrome, IntelliJ, Slack …) ?
jouer avec des moteurs de captation et de traitement vidéo ?
travailler sur des problèmes d’application vidéo scalable?
pousser tes idées et imaginer/rêver de nouvelles fonctionnalités ?
ne pas te restreindre à la Hype du moment ?
Tu es le/la bienvenu(e) chez nous.
On ne parle pas technique pour l’instant (on aura bien le temps de le faire) car on cherche surtout une personnalité ! Bon... si c’est vraiment important pour vous : côté front on a du Groovy avec Play framework, du React, du Vue, du CSS3 et de l’HTML5 ; côté back c’est Java, Kotlin et Node.js pour exposer des services REST et GraphQL, le tout sous Docker et Kubernetes.

Qualifications

De formation Bac +4/5, tu as une expérience d’au moins 10ans dans le développement d’applications web et avez une bonne maitrise d'un Framework Javascript, quel qu’il soit (Angular, Node, React, …).
Curieux et technophile, tu es en veille sur les nouvelles technos et aimez apprendre.

Additional Information

Ce que nous avons à offrir :
Rejoindre une start-up en pleine croissance au moment de sa 2ème levée de fonds
L'opportunité d'influencer un business international
Une responsabilité à assumer
Une équipe dynamique & volontaire qui partage ces valeurs :
#BeFunky, #ActTogether, #SpeachWhatYouPreach, #StaySimple,
#RevealTalent, #AimForExcellence, #IgniteConfidence
# À NOTER
Disponibilité : ASAP
Contrat : CDI
Lieu : Nantes (non vous ne rêvez pas, à moins de 45 min de la mer)"
9,https://www.indeed.fr/emplois?q=Web%20Designer&l=Nantes&radius=100&limit=100&sort=date&vjk=3ee27f92af69378e,"INGÉNIEUR DÉVELOPPEMENT APPLICATIONS MOBILES H/F
JBL Conseil - Cholet (49)","['Cholet (49)', 'Temps plein, CDI']",INGÉNIEUR DÉVELOPPEMENT APPLICATIONS MOBILES H/F,JBL Conseil,- Cholet (49),"Temps plein, CDI",null,"il y a 4 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Web Designer,Nantes,"JBL CONSEIL recrute pour son client :
YOKIS, est une PMI à taille humaine, filiale du groupe d'envergure internationale URMET, animée par une forte culture de l'innovation.
Acteur majeur dans la conception, par son Bureau d'Etudes intégré, d'objets connectés domotiques (gestion d'éclairage, volets roulants, automatismes et pilotage par contact..), c'est un fabricant français qui propose des solutions innovantes et reconnues pour leur fiabilité, à destination d'une clientèle d'installateurs électriciens, pour l'habitat individuel, collectif et tertiaire.
Portée par sa croissance, les évolutions produits et des perspectives très positives sur son marché, la société YOKIS poursuit son développement d'applications novatrices pour smartphone et tablette, sur les plateformes IOS et ANDROID.

Pour rejoindre et renforcer son équipe du pôle Mobile, nous recherchons un/une :

INGÉNIEUR DÉVELOPPEMENT APPLICATIONS MOBILES H/F
Missions
Votre mission :
Rattaché(e) au Responsable BE, au sein d'une équipe R&D multidisciplinaire de 12 personnes, vous assurez la conception et le développement d'Apps mobiles natives grand public destinées à l'utilisation des objets connectés développés par l'entreprise.
Intégré dans l'équipe Mobile (3 personnes), et en collaboration avec les équipes Logiciel Embarqué, Test et Web, vous êtes référent mobile et garant de la qualité de l'application.
Avec les designers, vous collaborez à la définition de l'UI / UX.
Profil
Vos atouts :
Formation Bac+5 ou autodidacte, jeune diplômé ou expérimenté : vous êtes passionné(e) !
Développeur natif iOS : Swift, Xcode, Xcode Server et/ou ANDROID
Bonnes compétences pour faire dialoguer l'application avec le Backend (API REST-like)
Sensibilité à l'UX et à l'UI des applications,
Des notions Objective-C serait un plus.
Curieux(se), créatif(ve), esprit d'équipe..
Durée du contrat
Temps plein
Fonction
Bureau d'études / R et D
Localisation
Cholet (49)"
