,id,meta1,meta2,titre_poste,entreprise,localisation,contrat,salaire,date_publication,keyword_metier,keyword_localisation,description
0,https://www.indeed.fr/emplois?q=Developpeur%20Web%20Front%20End&l=Nantes&radius=100&limit=100&sort=date&vjk=ac1b0169495f052d,"Développeur Front-End H/F
SIINantes - Nantes (44)",['Nantes (44)'],Développeur Front-End H/F,SIINantes,- Nantes (44),null,null,"Recruteo - il y a 16 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Developpeur Web Front End,Nantes,"Employeur: SIINantes
Type d'emploi: CDD
Lieu: Nantes - 44


DESCRIPTION DU POSTE

Partenaire technologique des grandes entreprises, le groupe SII est au coeur de l’économie de l’innovation avec 7000 consultants et une présence internationale sur 74 sites. Pour nos collaborateurs, SII c’est aussi de la convivialité, de la technicité et des métiers passionnants qui génèrent expériences et opportunités de carrières. Depuis 1979, notre organisation en agences avec un minimum de niveaux hiérarchiques vous assure proximité géographique et managériale.
SII Atlantique c’est :

– 240 Fungénieurs qui partagent un même esprit #collectif #partage.

– Des clients Grands Comptes qui t’apporteront de la richesse technique, fonctionnelle et méthodologique.

– Un suivi régulier et personnalisé :
ton manager, ta référente RH et ta référente administrative seront là pour t’accompagner dans l’aventure SII.

– Des moments de fun et de partage :
AfterWorks, Soirées d’agence, événements sportifs, petits déjeuners.

– Des speak up au moins tous les 15 jours.

– Des formations régulières adaptées à tes envies et à ton évolution.
Bonjour à toi qui lit cette annonce,
Marie-Laure, Marine et Pauline, FunRH, sommes missionnées par nos pilotes de projet pour renforcer nos équipes ! Nous recherchons notre futur(e) développeur(se) Front-End.
Que peut-on te promettre ? En tant que développeur(se) tu interviendras sur toutes les phases de développement au sein d’une équipe agile :

– Développer de nouveaux composants avec une vision « Expérience utilisateur ».

– Améliorer des modules existants et ajouter de nouvelles fonctionnalités.

– Mettre en place les bonnes pratiques de tests.

– Réaliser des codes-review.
En fonction de tes compétences et aspirations, tu peux être référent(e) technique de notre équipe ou rejoindre notre équipe d’experts dont le rôle est multiple :
veille technologique qui peut générer des speak up, missions d’expertise, expérimentations et des sujets divers (accompagnement aux entretiens d’embauche, participation aux salons…).
Et si tu te lasses de ta mission ? Toute l’équipe sera à ton écoute et nous te trouverons un nouveau projet.
Et si tu veux évoluer ? La formation est l’un des piliers chez SII, nous t’accompagnons dans ton projet d’évolution et te trouverons une mission cohérente vis-à-vis de ce projet.
Au-delà de ta mission nous te proposons de participer à la vie de l’agence :
retrouver tes collègues autour d’un déjeuner technique, intégrer les communautés techniques et projets pour partager, échanger lors des soirées d’agence et participer au projet de développement de l’entreprise.

PROFIL DU CANDIDAT
Tu aimes ton boulot de développeur et tu as une préférence pour le Front. Tu as déjà une première expérience sur un projet similaire.
Tu connais HTML, CSS, JavaScript, Jquery, Angular, React… (Il n’est bien sûr pas obligatoire de tous les maitriser !).
Tu veux en savoir plus ? Notre équipe de FunRH sera ravie de te rencontrer et de t’en dire plus !
Suivez nous sur les réseaux sociaux :
Facebook, Linkedin, Viadeo ou Twitter :@SII_Atlantique !
Au palmarès Great place To Work 2019, SII a également été labélisé Happy Candidate et Meilleur Employeur 2019 par la revue Capital.
Le Groupe SII est signataire de la Charte de la diversité en entreprise et est une entreprise handi-accueillante
#LI-MR1
L’article Développeur Front-End H/F est apparu en premier sur Recruteo - Le Site Emploi Web."
1,https://www.indeed.fr/emplois?q=Developpeur%20Web%20Front%20End&l=Nantes&radius=100&limit=100&sort=date&vjk=7ee293d42e1d52b1,"Intégrateur Web confirmé / ou Développeur Front End H / F
Z & KO - Olonne-sur-Mer (85)","['Olonne-sur-Mer (85)', 'CDI']",Intégrateur Web confirmé / ou Développeur Front End H / F,Z & KO,- Olonne-sur-Mer (85),CDI,null,"il y a 23 heures
Signaler cette offre d'emploi",Developpeur Web Front End,Nantes,"Poste à pourvoir en CDI - Expérience exigée de 2 ans
Localisation : Les Sables d’Olonne
Rémunération : Salaire fixe selon expérience + TR + Mutuelle + Prime d’intéressement
Composée de 22 personnes aux compétences complémentaires et passionnées de Web, la structure accueille de nouveaux projets qui nécessitent de renforcer l’équipe.
Au sein de l’équipe de production composée de 3 intégrateurs, 2 développeurs et de 3 graphistes, vos missions seront :
- Conception des sites web basés sur nos CMS
- Travail en collaboration avec les chefs de projets, les chargés de webmarketing, le webdesigner et le directeur artistique
- Amélioration de la compatibilité des navigateurs et optimisation de l’accessibilité
- Tester, recetter et assurer la conformité des développements sur différents navigateurs
- Sémantique HTML 5, validation W3C
- Intégration des contenus
- Conception de Newsletters Responsive
- Formation des utilisateurs aux CMS
Vos qualités :
- Bonne qualité rédactionnelle
- Curiosité
- Veille des nouveautés et des technologies du web
- Force de proposition et d’innovation
- Humilité et bonne humeur
- Sens du travail et motivateur d’équipe
Compétences idéalement souhaitées :
- CMS : EMAJINE, DRUPAL 8, SAYTUP, WORDPRESS
- Framework : Bootstrap 4, Foundation, Materialize CSS
- Langage : HTML, CSS, Javascript, JQuery, SVG
- Pré-Processeur : Less, Sass
- Outils de productivité : Grunt, Gulp
- Capacité à créer des animations en CSS et JS
- Connaissance de photoshop et illustrator serait un +
Matériel : Mac ou PC au choix
Type d'emploi : CDI"
2,https://www.indeed.fr/emplois?q=Developpeur%20Web%20Front%20End&l=Nantes&radius=100&limit=100&sort=date&vjk=c0a1c3592b1a6445,"Lead développeur web .Net (DSI) - H/F
Seyos4 avis - Les Sables-d'Olonne (85)","[""Les Sables-d'Olonne (85)"", 'Temps plein, CDI']",Lead développeur web .Net (DSI) - H/F,Seyos,- Les Sables-d'Olonne (85),"Temps plein, CDI",null,"il y a 19 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Developpeur Web Front End,Nantes,"Seyos est un cabinet de recrutement spécialisé dans les métiers de l'IT. Nous proposons aux candidats des opportunités professionnelles uniquement au sein de clients finaux : éditeurs de logiciels, startups, DSI.

Vous souhaitez rejoindre la DSI d'un groupe reconnu, fort d'une culture orientée innovation Vous souhaitez améliorer votre qualité de vie et travailler au bord de la mer

Notre client est une entreprise française, acteur majeur du e-commerce en Europe avec plus de 650 Millions d'Euros de chiffre d'affaires et plus de 30 millions de membres.

Rejoignez cette DSI au poste de Lead développeur web .Net.

Contrat : poste à pourvoir en CDI
Rémunération : brut fixe selon profil + 10% de variable
Localisation : Les Sables d'Olonne (85)

Environnement technique :
Technologies web (HTTP, REST, SOAP, etc)
Microsoft .Net
Frameworks JS : Angular, Jquery, etc
Missions :
Rattaché(e) au pôle e-commerce, vos missions sont de :
Superviser l'équipe technique front-end E-commerce (5 personnes),
Superviser tous les projets affectés à l'équipe,
Contribuer à la rédaction des spécifications techniques,
Gérer la répartition des différents sujets au sein de l'équipe,
Réaliser la veille et proposer de nouvelles techniques et technologies à mettre en oeuvre.
Profil :
De formation supérieure, vous disposez d'une expérience confirmée en développement .Net
Votre expérience en tant que Lead développeur ou expert technique vous a permis d'acquérir des compétences en gestion de projet et d'équipe
Vous avez de bonnes connaissances des frameworks JS et du moteur SQL Serveur
Doté(e) de qualités relationnelles, vous êtes moteur sur les projets et partagez aisément vos connaissances
Curieux/se, vous êtes passionné(e) et restez perpétuellement en veille
Anglais courant souhaité
Les + :
Acteur du E-commerce reconnu dans son secteur
Perspective d'évolution
Très faible turnover dans la société
Poste à pourvoir en CDI
Locaux situés au bord de mer"
3,https://www.indeed.fr/emplois?q=Developpeur%20Web%20Front%20End&l=Nantes&radius=100&limit=100&sort=date&vjk=bfc193c32fc20b85,"Intégrateur HTML / CSS / JS
Mediapilote - Angers (49)","['Angers (49)', 'CDI']",Intégrateur HTML / CSS / JS,Mediapilote,- Angers (49),CDI,null,"il y a 1 jour
Signaler cette offre d'emploi",Developpeur Web Front End,Nantes,"VOTRE MISSION
En collaboration avec le chef de projet digital, vous réaliserez le développement des sites web de nos clients, de la configuration à l’intégration en HTML et CSS des maquettes conçues par l’équipe de Webdesign.
Vous aurez également un rôle de conseil quant aux problématiques techniques du Web et vous assurerez quotidiennement le support technique des divers projets de l'agence.
Vous êtes un maillon essentiel de l’Agence pour le développement des sites web.
Vos missions principales seront les suivantes :
Configuration CMS.
Intégration HTML5 / CSS3 des maquettes réalisées en webdesign (mobile-friendly / responsive) - découpage à partir de PSD ou fichier Adobe XD.
Mise en place de contenu.
Développement front end (jQuery ou autre framework javascript) et back end de nouvelles fonctionnalités.
Support technique des divers projets de l'agence.
Formation à l'administration des interfaces web.
Intégration et gestion de campagnes emailing ou de landing page.
Vous rejoindrez une équipe de 13 personnes sur Angers et vous serez aussi amené(e) à être régulièrement en synergie avec les 100 autres collaborateurs de Mediapilote.
Chez Mediapilote, vous apprécierez le côté humain d’une agence qui grandit jour après jour avec de bons process, un savoir faire commun, des outils collaboratifs et surtout sans oublier de nombreux moments funs tout au long de l’année ;-)
VOTRE PROFIL
Issu(e) d’un bac +3/5 en école d’informatique, vous justifiez d’une expérience de 2 ans minimum en Agence Web ou en tant que freelance.
Vous êtes passionné(e) de nouvelles technologies ou êtes un(e) autodidacte, et vous avez un profil polyvalent de développeur JS/HTML/CSS et PHP.
Vous connaissez parfaitement les langages HTML5 / CSS3 / Javascript / JQuery / PHP.
Vous êtes sensibles aux bonnes pratiques SEO et vous vous tenez constamment en veille sur les dernières tendances.
Vous maîtrisez la solution Open-Source WordPress et une expérience Drupal, Prestashop, Magento serait un véritable plus.
Vous avez de solides compétences en jQuery (ou autre framework javascript) ainsi que des connaissances en PHP et Mysql.VOS QUALITÉS
Vous avez une sensibilité graphique et une sensibilité aux nouvelles tendances du web.
Vous êtes autonome sur vos projets et rigoureux(se).
Force de proposition, vous aimez défendre vos idées.
Vous avez de très bonnes qualités relationnelles et appréciez le travail en équipe.
Pour postuler : https://www.rejoindre-mediapilote.com/rejoignez-nous/nos-offres-d-emploi/93-integrateur-html-css-js.html
Type d'emploi : CDI"
4,https://www.indeed.fr/emplois?q=Developpeur%20Web%20Front%20End&l=Nantes&radius=100&limit=100&sort=date&vjk=e7a59e34c9c86fa2,"Développeur / Développeuse fullstack JavaScript
Zenika - Rennes (35)","['Rennes (35)', 'Temps plein, CDI', '35 000 € - 45 000 € par an']",Développeur / Développeuse fullstack JavaScript,Zenika,- Rennes (35),"Temps plein, CDI",35 000 € - 45 000 € par an,"il y a 1 jour
Signaler cette offre d'emploi",Developpeur Web Front End,Nantes,"Tu te dis que choisir et refuser tes missions, faire du télétravail, être formé régulièrement ne sont pas compatibles avec un job en ESN ?
Et si on te disait que chez Zenika c’est possible ! Rejoins nous en tant que Développeur / Développeuse fullstack JavaScript.
Notre projet : CODING THE WORLD
Depuis 2006, Zenika accompagne les entreprises dans leur transformation technologique, organisationnelle et managériale. Anticiper les évolutions est le coeur de notre activité, et comprendre les besoins de l’écosystème de demain se fait dès aujourd’hui. Notre volonté est de créer le lien entre le monde organique et le monde numérique et d'être reconnus comme un ""One Stop Shop"" par nos clients.
Depuis l’interface jusqu’à la data et son usage, le tout en mode agile, Zenika intervient dans les domaines d'expertises suivants : Développement Back-end, Front-end, Fullstack, Data, Big Data, Blockchain, DevOps, Mobilité, IoT, Intelligence Artificielle, Craftsmanship, Sécurité, Agilité et transformation des organisations.
Après les ouvertures successives des agences de Paris, Lyon, Rennes, Nantes, Lille, Bordeaux, Singapour, Montréal, Grenoble et Brest, le groupe souhaite poursuivre sa croissance et son rayonnement national et international.
Nos collab’Z portent au quotidien les valeurs du groupe : transparence, partage et convivialité !
L'agence de Rennes
Située dans les halles Oberthur, Zenika Rennes compte parmi ses forces vives une quarantaine de consultants développeurs, DevOps, Big data et agilistes qui seront peut être tes futurs collègues.
Présent depuis 2010 dans l’écosystème rennais, Zenika Rennes intervient sur des missions pointues de transformation numérique et organisationnelle : conception, industrialisation, coaching technique et agile, POC, conférences et formation.
Organisateur de meetup locaux et partenaire de Docker, Elastic, Github, Confluent, l’equipe revendique un positionnement tourné autour de l’open source et du collaboratif.
Il tient aussi à coeur à Zenika de s’impliquer dans la société et d'avoir une responsabilité sociale forte dans la communauté technique (meetups, conférences comme Le Festival des Libertés Numériques...) mais aussi non techniques.
Et enfin tu pourras participer à de nombreux événements d’agence (Petit dej du vendredi, Mardi Open Bar, Soirée jeu de sociétés, cours de musique, etc.)
Tes missions:
Intervenir sur tout le processus d’un projet agile : conception, développement, tests
Participer aux choix d'architecture et être force de proposition auprès de nos clients
Définir les protocoles d’échange entre le back et le front
Développer en respectant les bonnes pratiques Craft
Définir le processus d’intégration continue et de déploiement continue
Connaître les solutions de stockage (SQL ou NoSQL)
Donner des formations sur tes technos préférées
Qui es-tu?
Idéalement, tu maîtrises plusieurs des technologies suivantes : les différents framework JavaScript (Angular, React ou Vue), l’utilisation d’un store (Redux), ES2018, les DevTools pour debug, NodeJS et son écosystème, un gestionnaire de package (npm / yarn), ExpressJS / HapiJS, Docker, REST/GraphQL.
Tu lis régulièrement les meilleurs blogs techniques, tu contribues peut-être même à un projet Open-Source.
Tu t’investis sur la qualité des projets, tu adhères aux principes DevOps et tu es vigilant sur les performances Web des applications.
Si tu aimes les pizzas, Commitstrip et si les mots Circle CI, Webpack, TDD, JWT, Pull Request, Serverless te parlent, notre équipe rennaise sera ravie de t’accueillir.
Qu’est ce qu’on t’offre ?
En résumé, Zenika, te permettra :
De travailler au sein d’une équipe passionnée avec de l’entraide mais surtout de la bonne humeur,
De choisir d’intégrer ou quitter les projets clients de ton choix
De travailler dans un environnement agile
De réaliser des missions d’audit, d’expertise technique et des POCs
D’avoir du temps dédié pour contribuer à des projets Open-Source ou à tes projets personnels
D’animer ou de participer à des événements techniques
De participer aux meilleures conférences (Devoxx, Devfest, Breizhcamp, MixIT, BDX I/O, Snowcamp et bien d’autres)
D’avoir la possibilité de devenir formateur sur tes domaines d’expertise
De bénéficier de nos formations et de passer des certifications
De choisir ton matériel informatique (PC, Mac etc.)
De conserver un équilibre vie pro/vie perso (notamment avec le télétravail, les RTT,…)
Surtout, d’avoir ta garde robe aux couleurs de Zenika !
Ce que tu ne trouveras pas chez nous
Un poste en freelance, full remote
Un projet en centre de services où tu ne feras que de la TMA
Un management directif
Le vouvoiement
Un CEO/manager inaccessible et dans un bureau fermé
Une hiérarchie pyramidale
Du cycle en V
Ok, et si ton profil est retenu, que se passe-t-il ensuite ?
Tu rencontreras le/la chargé.e de recrutement afin de préciser tes attentes et les mettre en perspective avec ce que l'on peut te proposer chez Zenika.
La rencontre est positive, super ! On continue ! Un échange avec un de tes pairs mais surtout un de tes futurs collègues, un expert de nos équipes, qui évaluera avec toi ton potentiel technique !
Ce que l'on peut te proposer te plait ? Parfait ! Dernière étape, tu échanges avec le Directeur d’Agence & le Directeur Technique qui te présenteront l'agence, les missions potentielles et surtout notre manière d'accompagner nos collaborateurs dans leur parcours professionnel.
Les 3 étapes se sont bien déroulées? Magnifique, tu n'as plus qu'à dire oui à notre proposition d'embauche pour nous rejoindre !
Nous misons avant tout sur des profils, des potentiels et des personnalités. Le meilleur moyen de voir si ça match, c'est de postuler chez Zenika !
Type d'emploi : Temps plein, CDI
Salaire : 35 000,00€ à 45 000,00€ /an"
5,https://www.indeed.fr/emplois?q=Developpeur%20Web%20Front%20End&l=Nantes&radius=100&limit=100&sort=date&vjk=bf6b954c5c3d55a4,"Développeur Fullstack ASP.NET H/F
EXTERNATIC4 avis - Nantes (44)","['Nantes (44)', 'CDI', '38 000 € - 43 000 € par an']",Développeur Fullstack ASP.NET H/F,EXTERNATIC,- Nantes (44),CDI,38 000 € - 43 000 € par an,"il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",Developpeur Web Front End,Nantes,"DESCRIPTION DE L'OFFRE
Externatic, le hub d’opportunités web, mobile, informatique et électronique dans l’ouest.
Cabinet de recrutement technologique nous vous trouvons des postes chez des clients finaux (startup, éditeur, DSI, agences digitales, etc. => pas de SSII) depuis 2010. Chaque offre d’emploi correspond à un poste réel.
Notre mission : vous trouver le job de vos rêves !

Pour le compte d'une entreprise basée en périphérie Sud-Est de Nantes, nous recherchons :

un Développeur Fullstack ASP.NET H/F
Votre défi :
Au cœur de ce bureau d’étude tertiaire en pleine croissance, composé à ce jour de 7 personnes, vous serez directement rattaché au Président Fondateur de la société. Vous avez pour objectifs la gestion, la création des futurs applications IT et la reprise d’un logiciel développé par une société externe afin d’en assurer le développement (back et front) et la mise en production :
Organiser, gérer et piloter la reprise de l’existant : audit, évaluation du reste à faire, définition de la roadmap produit ;
Développer la partie back end en fonction des règles métiers ;
Développer la partie Front end ;
Mettre en place de la stratégie de tests ;
Echanger et former les utilisateurs métiers ;
Concevoir des solutions logicielles pour répondre aux problématiques métiers et les élargir aux sociétés commerciales en lien avec le bureau d’étude pour organiser les échanges d’informations, la gestion des tâches, etc.. ;
Assurer le bon fonctionnement des applications développées ;
Être force de proposition sur les sujets d’intégration continue et de l’amélioration fonctionnelle et technique ;
Effectuer une activité de veille sur les dernières technologies, le DevOps et l’intégration continue.

PROFIL REQUIS
Profil :
Au-delà de votre parcours scolaire, vous avez des expériences significatives d’au moins 5 ans en développement .NET.
Vous êtes familiarisé(e) avec les technologies ASP.NET MVC, Entity framework, JavaScript/Jquery.
Passionné(e) par le développement, vous êtes autonome, rigoureux(se), orienté(e) résultat, vous aimez avoir des responsabilités, vous faites preuve d’un très bon relationnel et vous avez pour ambition à terme de devenir DSI.
Vous êtes disponible rapidement ou à trois mois et souhaitez vous investir sur la durée : ce poste est pour vous !
Rémunération : selon expérience entre 38 et 43 k€.
Avantages : télétravail, entreprise à taille humaine, chèques restaurant, coût de la prévoyance pris en charge à 100% par l’employeur."
6,https://www.indeed.fr/emplois?q=Developpeur%20Web%20Front%20End&l=Nantes&radius=100&limit=100&sort=date&vjk=08db46f9e90c2e83,"Lead Developper Java/J2EE & Cloud (h/f)
Maisons du Monde376 avis - Vertou (44)",['Vertou (44)'],Lead Developper Java/J2EE & Cloud (h/f),Maisons du Monde,- Vertou (44),null,null,"il y a 3 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Developpeur Web Front End,Nantes,"Dans le cadre de notre renforcement, nous recrutons un(e) Lead Developper Java/J2EE & Cloud (H/F).
Au sein de l’un de nos domaines Métier et intégré à une communauté de développeurs, vous travaillez sur des projets de grande envergure pour l’enseigne et contribuez activement à l’évolution du socle technique de la DSI Maisons du Monde.

Au quotidien :
Vous réalisez les évolutions techniques et fonctionnelles en lien avec votre domaine métier
Vous faites respecter les normes et procédures de développement communes grâce aux outils en place
Vous participez à la conception technique des solutions en suivant les recommandations de la communauté d’architectes de la DSI
Vous capitalisez sur vos expériences et partagez avec les autres équipes métier du service
Formé(e) aux métiers de l’informatique, vous avez au moins 5 ans d’expérience dans le développement d’applications JAVA/J2EE.
Vous êtes familiarisé(e) avec les technologies JAVA, les web services REST et le framework Spring dans un environnement à dominante Unix.
Vous maitrisez les IDE habituels Eclipse ou IntelliJ et vous avez l’habitude de travailler avec GitLab, GitLab CI/CD, SonarQube, …
Vous vous sentez plutôt l’âme d’un développeur back end mais n'avez pas peur de vous frotter de temps en temps à des langages front comme REACT JS ou vice versa. Vous avez une appétence pour les architectures Cloud qui tournent autour de GCP (GKE, PupSub, DataFlow, …) ou mieux encore vous avez de l’expérience sur le sujet et surtout vous voulez prendre part à la transformation technique de notre SI.
Vous êtes motivé, impliqué(e) et vous aimez travailler en équipe.
Vous êtes réactif(ve), curieux et avez la capacité à passer d’un sujet à l’autre rapidement de manière autonome.
Vous voulez intégrer un service en plein mutation et avez le goût du challenge.
Même si vous n’avez pas l’âme d’un décorateur d’intérieur, on vous rassure, vous allez vite apprendre à avoir du Style, du Pep’s et du Fun à l’image de notre enseigne !"
7,https://www.indeed.fr/emplois?q=Developpeur%20Web%20Front%20End&l=Nantes&radius=100&limit=100&sort=date&vjk=62a7e397ca99ac93,"Concepteur Développeur Java/ JEE (H/F)
Wemoov - Cholet (49)",['Cholet (49)'],Concepteur Développeur Java/ JEE (H/F),Wemoov,- Cholet (49),null,null,"il y a 4 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Developpeur Web Front End,Nantes,"WEMOOV RECRUTE !

Wemoov est une Start Up dynamique créée par trois experts du domaine du numérique pour accompagner leurs clients dans l’évolution digitale en proposant des solutions personnalisées et innovantes.

Nous sommes spécialisés dans 2 domaines principaux :
Le service numérique: La réalisation de prestations informatiques systèmes et réseaux (support, administration, ingénierie et gestion de projet), ainsi que la réalisation de prestations en développement mobiles (IOS, Android) et web (Java, JEE, Javascript, PHP ...)
L'édition logicielle: Développement d'application mobile de solutions de montage et d’habillage automatisés de contenus vidéo et son intégration sur les différents supports
Cette offre de services a pour objectif la satisfaction de nos clients (nationaux ou internationaux) tout en respectant l’épanouissement et le bien-être de nos collaborateurs.

Au sein d’une équipe projet d’une vingtaine de personne, vous participez au développement et à la maintenance d’un ERP

Vous aurez pour missions :
Analyser de l’ERP existantDéveloppement en backend sur un logiciel de gestion de temps
Branchement des services pour les IHM
CRUD
Cryptage mot de passe
Développement front sur des JSP sur la partie intranet
Déclaration d’activité
Déclaration de temps de présence
TMA par gestion de ticket via TeamTrack et en relation direct avec le marketing et le service test

Profil :
De formation supérieure BAC+2/5
Vous êtes rigoureux, méthodique et doté d’un bon sens relationnel
Langages et Environnements Techniques :
Front-end: HTML, CSS, JAVASCRIPT
Back-end: JAVA 7
BDD: Firebird, SQLServer, Oracle
IDE: Eclipse
Votre profil correspond ? Vous êtes déterminé(e) et plein(e) d’ambitions ? Vous souhaitez rejoindre une entreprise à taille humaine avec une équipe dynamique, motivée et en pleine expansion ? N’hésitez plus rejoignez l’aventure Wemoov !"
8,https://www.indeed.fr/emplois?q=Developpeur%20Web%20Front%20End&l=Nantes&radius=100&limit=100&sort=date&vjk=bfcc81abeeac1c03,"Developpeur Java/J2EE - Nantes (H/F) - H/F
DAVEO - Nantes (44)","['Nantes (44)', 'CDI']",Developpeur Java/J2EE - Nantes (H/F) - H/F,DAVEO,- Nantes (44),CDI,null,"Viadeo - il y a 5 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Developpeur Web Front End,Nantes,"Dans le cadre d'un projet de transformation digitale, nous recherchons un Ingénieur Développement J2EE pour intégrer l'équipe innovation de notre client.
Les méthodes agiles seront de rigueur !
Vous prendrez en charge la responsabilité du développement des projets identifiés.
Le langage de développement est en JAVA 7, 8
Front-end : Spring MVC, jQuery, Angular.js
Back-end : Spring, Hibernate
Web services
Les + :
Curiosité
Appétence pour les objets connectés
L'innovation...
Responsabilités :
Participer aux activités de développement
Participer aux choix à la mise en place des plateformes de développement
Rédaction de spécifications techniques
Tests
Etre force de proposition"
9,https://www.indeed.fr/emplois?q=Developpeur%20Web%20Front%20End&l=Nantes&radius=100&limit=100&sort=date&vjk=b3906cabc8c4e8ec,"Développeur PHP Symfony/Laravel H/F
EXTERNATIC4 avis - Angers (49)","['Angers (49)', 'CDI']",Développeur PHP Symfony/Laravel H/F,EXTERNATIC,- Angers (49),CDI,null,"il y a 5 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Developpeur Web Front End,Nantes,"DESCRIPTION DE L'OFFRE
Externatic, le hub d'opportunités IT et web dans l'ouest.

Avec une approche de facilitateur de carrière, nous vous trouvons des postes chez des clients finaux (éditeur, DSI, startup, agences digitales, etc. => pas de SSII/ESN) depuis 2010.

Notre mission : vous accompagner pour vous trouver le poste idéal.
-
L'entreprise que nous accompagnons est un éditeur de 100 personnes qui développe une solution pour protéger les marques et les noms de domaines. Il connait une croissance à deux chiffres depuis plusieurs années.
Œuvrant aussi bien avec des grands comptes que des jeunes pousses à succès, cette entreprise reconnue par son expertise et ses valeurs tournées vers le bien être des salariés (équilibre vie pro/perso) recherche un développeur PHP.
Fonctionnant en méthode agile, vous serez impliqué dans le développement d'un de leur nouveau produit
Missions :
Vous participerez à la conception, au développement et au déploiement de leur solution et de ses améliorations.
Vous appliquez les bonnes pratiques liées à PHP Symfony ou Laravel et veillez à la qualité générale du code.
Vous êtes force de proposition sur des sujets de veille.
Vous êtes passionné(e) par les challenges techniques induit par les besoins et problématiques métiers de leurs clients.
Pourquoi ce poste est fait pour vous ?
Vous êtes sensibilisé aux enjeux de la cybersécurité,
Vous portez une attention permanente à la sécurité des systèmes et des données,
Vous êtes volontaire et passionné par la technique
Vous avez envie de vivre une vraie expérience humaine
Vous voulez vivre dans une des villes les plus attractives de France
PROFIL REQUIS
Vous avez une formation en informatique et une expérience significative à travers le développement PHP avec au moins un framework type Laravel ou Symfony.
Vous avez une sensibilité pour la cybersécurité et la sécurité des systèmes de données.
Vous aimez le code propre et travailler en méthode agile.
Une connaissance et une première pratique sur la partie front end serait un plus.
L'environnement Linux vous est familier, c'est un plus !
Des bonnes raisons de les rejoindre :
Vous souhaitez travailler dans une entreprise qui existe depuis plus de 20 ans et qui fonctionne toujours en mode startup (collaboratif).
Vous voulez rejoindre une équipe de plus d'une quarantaine de développeurs confirmés.
Des locaux neufs équipés de tout ce qu'il faut pour travailler dans de bonnes conditions situés dans l'hyper centre d'Angers et accessible en tram (vive le vélo !)
Salaire attractif, congés supplémentaires, bonne Mutuelle..."
