,id,meta1,meta2,titre_poste,entreprise,localisation,contrat,salaire,date_publication,keyword_metier,keyword_localisation,description
0,https://www.indeed.fr/emplois?q=Data%20consultant&l=Bordeaux&radius=100&limit=100&sort=date&vjk=853b11b663ef0669,"Multimodalité H/F
Groupe SII4 avis - Bordeaux (33)",['Bordeaux (33)'],Multimodalité H/F,Groupe SII,- Bordeaux (33),null,null,"il y a 16 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Data consultant,Bordeaux,"Description du poste :
CONTEXTE
Au sein de notre site de Bordeaux, vous intégrez la cellule R&D de SII constituée d’une quarantaine d’ingénieurs. Vous intervenez au sein d’un projet porté par la communauté, dans les mêmes conditions qu’un ingénieur SII. Vous êtes encadré par un Chef de Projet qui assure votre intégration et vous accompagne pendant toute la durée de votre stage. Il vous prodigue conseils et assistance et vous facilite l’acquisition des connaissances complémentaires nécessaires à la réalisation de votre travail. Il assure le suivi régulier de la progression de vos travaux.

OBJECTIFS DE LA MISSION
L’objectif de ce stage est de poursuive le développement logiciel du moteur multimodal du démonstrateur S-PACE. Ce démonstrateur permet d’afficher des données de vol et une cartographie 3D sur un dispositif portable, en interaction avec le pilote ou un passager. Il est destiné à explorer les futurs modes d’interaction homme/cockpit avion. Une première partie porte sur l’étude de nouveaux capteurs (détection rythme cardiaque, capteur de sudation, puce SOLI). La seconde partie consiste à intégrer un des capteurs étudiés et développer de nouveaux scénarios d’utilisation.
Profil:
PROFIL RECHERCHÉ
Vous êtes issu(e) d’une Ecole d’Ingénieur en informatique en dernière année d’études ou d’une formation universitaire Bac +5.
Vous avez un attrait pour le monde avionique et les problématiques d’interfaces homme-machine.
Vous êtes curieux et rigoureux et avez la capacité à travailler seul et en équipe.
Dynamisme, Confiance, Innovation et Autonomie sont nos leitmotivs !
Intégrer SII Sud-Ouest (800 collaborateurs), c’est travailler sur des sujets innovants avec des #Fungénieurs créatifs. Pour nous, la proximité avec nos collaborateurs est une de nos priorités.
Pour accompagner votre carrière, nous vous proposons d’être membre d’une communauté technique correspondant à vos centres d’intérêts : «Big Data», «Front-end IHM», «Back end – Architecture logicielle», «Sécurité, architecture technique, devops », «Aéronautique» ou «Simulation, Modélisation».
N’attendez plus, rejoignez le mouvement #Fungénieur : Bien plus qu’un métier, une philosophie !
Compétences :
Référence de l’annonce :
D/BDX/STGMULTIMOD
Expérience:
0-2 ans
Qualification:
Consultant
Rémunération:

POSTULER"
1,https://www.indeed.fr/emplois?q=Data%20consultant&l=Bordeaux&radius=100&limit=100&sort=date&vjk=755cbb3584aab4e9,"Développement d’Outil de Modélisation Système, Eclipse RCP/EMF
Groupe SII4 avis - Bordeaux (33)",['Bordeaux (33)'],"Développement d’Outil de Modélisation Système, Eclipse RCP/EMF",Groupe SII,- Bordeaux (33),null,null,"il y a 16 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Data consultant,Bordeaux,"Description du poste :
CONTEXTE
SII Sud-Ouest travaille depuis plusieurs années avec des clients du secteur Aéronautique. Nous participons entre autre à la réalisation des produits de visualisation embarqués dans les cockpits.
Les activités de conception et développement logiciel de ces systèmes nous amènent à accompagner les besoins de nos clients afin de trouver le parfait cocktail méthodologie / technos / process pour élaborer leurs outils de demain.

OBJECTIFS DE LA MISSION
L’environnement de développement du Stage se focalisera principalement sur les technologies Eclipse RCP/EMF.
L’objectif du stage étant de réaliser à partir d’une expression de besoin, un outil graphique de modélisation de données systèmes et/ou de tests.
Cet outil viendra s’interfacer à des moyens de conception et de test de plus haut niveau.
Vous aurez à définir les processus, le workflow, l’architecture et la validation du logiciel tout au long de son cycle de vie (sources multiples de données hétérogènes, calculs, affichage/mise en forme graphiques).
A l’issu du stage vous aurez la maitrise de la technologie et le partage d’expériences de nos consultants experts en la matière.
De plus vous aurez acquis de nombreuses connaissances sur les types de données systèmes avion, les normes régissant les développements de logiciel aéronautiques.
Profil:
PROFIL RECHERCHÉ
Vous êtes étudiant(e) en École d’Ingénieur en dernière année d’études ou d’une formation Universitaire type Bac +5, avec une spécialité informatique.
Vous avez des connaissances en développement IHM, Java.
Vous êtes rigoureux(se), curieux(se) et êtes force de proposition ?
Vous avez une très bonne capacité d’analyse et de compréhension ?
Vous êtes passionné(e) et de nature très investi(e), en quête de challenge ? Rencontrez-nous !.
Dynamisme, Confiance, Innovation et Autonomie sont nos leitmotivs !
Intégrer SII Sud-Ouest (800 collaborateurs), c’est travailler sur des sujets innovants avec des #Fungénieurs créatifs. Pour nous, la proximité avec nos collaborateurs est une de nos priorités.
Pour accompagner votre carrière, nous vous proposons d’être membre d’une communauté technique correspondant à vos centres d’intérêts : «Big Data», «Front-end IHM», «Back end – Architecture logicielle», «Sécurité, architecture technique, devops », «Aéronautique» ou «Simulation, Modélisation».
N’attendez plus, rejoignez le mouvement #Fungénieur : Bien plus qu’un métier, une philosophie !
Compétences :
Référence de l’annonce :
D/BDX/STGDEVMOD
Expérience:
0-2 ans
Qualification:
Consultant
Rémunération:

POSTULER"
2,https://www.indeed.fr/emplois?q=Data%20consultant&l=Bordeaux&radius=100&limit=100&sort=date&vjk=e985e80295e3517c,"Solution agile et intuitive de gestion des talents H/F
Groupe SII4 avis - Bordeaux (33)",['Bordeaux (33)'],Solution agile et intuitive de gestion des talents H/F,Groupe SII,- Bordeaux (33),null,null,"il y a 16 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Data consultant,Bordeaux,"Description du poste :
CONTEXTE
L’accompagnement des ressources humaines tout au long de leurs parcours est au cœur de la stratégie des entreprises. L’évolution des technologies et des modèles managériaux permettent d’entrevoir des solutions innovantes d’échange et de partage.
SII a toujours privilégier une collaboration basée sur la relation entre tous ces talents notamment au travers de solution numérique/digitale

OBJECTIFS DE LA MISSION
Au sein de la direction technique, vous intervenez au sein d’une équipe de 4 développeurs. Encadré par un Scrum master et accompagné par des experts techniques, vous développerez la solution de gestion des entretiens (annuels, professionnels, suivi, gestion de carrière…) et du parcours de formation des consultants SII.
Notre volonté commune sera de proposer des réponses techniques (architectures, conception, solutions disruptives…) permettant de supporter l’ambition fonctionnelle forte en terme d’UX/UI.
PROFIL RECHERCHÉ
Vous êtes issu(e) d’une Ecole d’Ingénieur en dernière année d’études ou d’une formation universitaire Bac +5.
Pour nous rejoindre il faut :

Etre passionné(e) de nouvelles technologies web



Vouloir développer ou apprendre des nouvelles technologies
.NET Core 2
React
SQL / No SQL
CI/CD
Outillage : GIT, SONAR…
DEVOPS



Souhaiter partager sa bonne humeur et son savoir
Dynamisme, Confiance, Innovation et Autonomie sont nos leitmotivs !
Intégrer SII Sud-Ouest (800 collaborateurs), c’est travailler sur des sujets innovants avec des #Fungénieurs créatifs. Pour nous, la proximité avec nos collaborateurs est une de nos priorités.
Pour accompagner votre carrière, nous vous proposons d’être membre d’une communauté technique correspondant à vos centres d’intérêts : «Big Data», «Front-end IHM», «Back end – Architecture logicielle», «Sécurité, architecture technique, devops », «Aéronautique» ou «Simulation, Modélisation».
N’attendez plus, rejoignez le mouvement #Fungénieur : Bien plus qu’un métier, une philosophie !
Compétences :
Référence de l’annonce :
D/BDX/STGAGILE
Expérience:
0-2 ans
Qualification:
Consultant
Rémunération:

POSTULER"
3,https://www.indeed.fr/emplois?q=Data%20consultant&l=Bordeaux&radius=100&limit=100&sort=date&vjk=c42e676604b62fcf,"Développement outil de génération de tests unitaires pour logiciels critiques H/F
Groupe SII4 avis - Bordeaux (33)",['Bordeaux (33)'],Développement outil de génération de tests unitaires pour logiciels critiques H/F,Groupe SII,- Bordeaux (33),null,null,"il y a 16 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Data consultant,Bordeaux,"Description du poste :
CONTEXTE
Vous intervenez, au sein du projet, dans les mêmes conditions qu’un ingénieur SII. Votre référant assure votre intégration dans l’équipe et vous accompagne pendant toute la durée de votre stage. Il vous prodigue conseils et assistance et vous facilite l’acquisition des connaissances complémentaires nécessaires à la réalisation de votre travail. Il assure le suivi régulier de la progression de vos travaux.

L’outil de génération et d’édition de tests unitaires est utilisé aujourd’hui en production pour le gain de productivité des équipes de développement dans un contexte très contraint de certification DO178 avionique. Le code testé est la couche OS bas niveau, la plus critique, embarqué dans des systèmes aéronautiques opérationnels.

OBJECTIFS DE LA MISSION
Les objectifs seront :
Migrer de Java 8 à Java 11. Il faudra utiliser au mieux les nouvelles fonctionnalités offertes par cette version ;
Migrer le modèle de client lourd aujourd’hui à un modèle client-serveur. Le front sera développé avec Angular et ag-Grid et le backend conservé en Java.
Ces évolutions seront réalisées en maintenant la qualification TQL-5 de l’outil.
Les enjeux sont essentiellement la maintenabilité et l’amélioration de l’ergonomie. Le stagiaire sera force de proposition aussi bien sur la conception logicielle que sur l’UI/UX.
Profil:
PROFIL RECHERCHÉ
Vous êtes issu(e) d’une Ecole d’Ingénieur en informatique en dernière année d’études ou d’une formation universitaire Bac +5.
Dynamisme, Confiance, Innovation et Autonomie sont nos leitmotivs !
Intégrer SII Sud-Ouest (800 collaborateurs), c’est travailler sur des sujets innovants avec des #Fungénieurs créatifs. Pour nous, la proximité avec nos collaborateurs est une de nos priorités.
Pour accompagner votre carrière, nous vous proposons d’être membre d’une communauté technique correspondant à vos centres d’intérêts : «Big Data», «Front-end IHM», «Back end – Architecture logicielle», «Sécurité, architecture technique, devops », «Aéronautique» ou «Simulation, Modélisation».
N’attendez plus, rejoignez le mouvement #Fungénieur : Bien plus qu’un métier, une philosophie !
Compétences :
Référence de l’annonce :
D/BDX/STGTESTS
Expérience:
0-2 ans
Qualification:
Consultant
Rémunération:

POSTULER"
4,https://www.indeed.fr/emplois?q=Data%20consultant&l=Bordeaux&radius=100&limit=100&sort=date&vjk=c539daecc5a71092,"Expert Système et Middleware H/F
SIIBordeaux - Bordeaux (33)",['Bordeaux (33)'],Expert Système et Middleware H/F,SIIBordeaux,- Bordeaux (33),null,null,"Recruteo - il y a 16 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Data consultant,Bordeaux,"Employeur: SIIBordeaux
Type d'emploi: CDD
Lieu: Bordeaux - 33


DESCRIPTION DU POSTE

Partenaire technologique des grandes entreprises, le groupe SII est au coeur de l’économie de l’innovation avec 7000 consultants et une présence internationale sur 74 sites. Pour nos collaborateurs, SII c’est aussi de la convivialité, de la technicité et des métiers passionnants qui génèrent expériences et opportunités de carrières. Depuis 1979, notre organisation en agences avec un minimum de niveaux hiérarchiques vous assure proximité géographique et managériale.
SII Bordeaux souhaite renforcer ses équipes Infrastructure et recherche un Expert Système et Middleware H/F :
Au sein des équipes techniques clients, votre rôle sera le suivant :

– Assurer les activités d’expertise et d’administration des plates-formes mutualisées de développement, tests et recettes pour des architectures n-tiers.

– Collaborer au diagnostic et à la résolution d’incidents.

– Identifier, formaliser et industrialiser les procédures d’administration et d’exploitation.

– Mettre en place des procédures d’exploitation sur certains environnements n-tiersRéaliser les passages de compétences sur son périmètre d’activité.

– Déployer de nouvelles plates-formes dans le cadre de l’architecture n-tiers.

– Construire et mettre à disposition les environnements pour les différentes phases de réalisations des projets.

– Piloter et gérer la relation avec les partenaires et fournisseurs.

PROFIL DU CANDIDAT
De formation suppérieur en informatique Bac 5), vous bénéficiez d’une expérience de minumum 5 ans sur un poste similaire.
Vous maîtrisez Websphere, WP, Jboss, Oracle, Linux, Aix et les annuaires LDAP.
Une connaissance des langages Shell, PHP, java, XML/XSLT et python sera appréciée.
Vos capacités relationnelles, votre sens du service associés à des qualités de rigueur et d’autonomie, vous permettront d’évoluer rapidement dans le cadre de nos projets et au sein du groupe.
Depuis plus de 10 ans, SII Sud-Ouest, c’est :
Apporter un service à nos clients ainsi qu’à nos consultants dans le respect de nos valeurs :
Professionnalisme, Anticipation, Confiance, Transparence, Engagement.
Si vous venez d’une autre région, nous proposons des aides à la mobilité.
Suivez-nous sur les réseaux :
Viadeo, LinkedIn, Twitter et Groupe SII sur Facebook
Dynamisme, Confiance, Innovation et Autonomie sont nos leitmotivs !
Intégrer SII Sud-Ouest (800 collaborateurs), c’est travailler sur des sujets innovants avec des #Fungénieurs créatifs. Pour nous, la proximité avec nos collaborateurs est une de nos priorités.
Pour accompagner votre carrière, nous vous proposons d’être membre d’une communauté technique correspondant à vos centres d’intérêts :
«Big Data», «Front-end IHM», «Back end – Architecture logicielle», «Sécurité, architecture technique, Devops », «Aéronautique» ou «Simulation, Modélisation».
N’attendez plus, rejoignez le mouvement #Fungénieur :
Bien plus qu’un métier, une philosophie !
LINUX/UNIX/WEBSPERE/ORACLE/JBOSS/PYTHON/SHELL/PHP/JAVA/Devops
L’article Expert Système et Middleware H/F est apparu en premier sur Recruteo - Le Site Emploi Web."
5,https://www.indeed.fr/emplois?q=Data%20consultant&l=Bordeaux&radius=100&limit=100&sort=date&vjk=14dfb7ed57606d05,"Consultant Data Integrity F/H
CVO-EUROPE - Bordeaux (33)","['Bordeaux (33)', 'CDI']",Consultant Data Integrity F/H,CVO-EUROPE,- Bordeaux (33),CDI,null,"Apec.fr - il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",Data consultant,Bordeaux,"Dans le cadre de vos fonctions, vous réalisez et proposez un plan d'action conforme aux exigences et problématiques client.

Pour se faire, vos missions sont les suivantes :
Accompagnement dans la mise en place du plan d’action
Mise en place de la gouvernance Data Integrity et de la stratégie de mise en conformité (politique, procédures, manuels, DI master Plan, etc.)
Conduite, animation et suivi des analyses de risques, plan de mitigation des risques, plan CAPA
Fiabilisation et sécurisation des flux de données et des documents papiers et bureautiques (word, excel, access, lotusnotes, exchange…)
Fiabilisation et sécurisation des flux de données électroniques : déploiement fonctionnel, upgrade ou mise en place de systèmes informatisés types LIMS, LAS, ERP, MES, eBR, eDMS, eQMS, Scada, supervision, EMS, BMS, WMS… : projets, URS, choix, paramétrage, configuration, installation, qualification, validation
Amélioration, sécurisation des infrastructures informatiques : accès physiques et logiques, backup / restore, DRP, BCP…
Pilotage de projets Data Integrity
Profil recherché De formation scientifique (Bac+2 à Bac+5), spécialisée dans le domaine de la Santé, vous avez une expérience significative au sein du secteur des Sciences de la Vie.

Vous avez une bonne connaissance de la réglementation propre au secteur pharmaceutique et de la gestion des systèmes informatisés (référentiels GAMP, 21 CFR Part 11, cycle de vie Data Integrity, ALCOA, etc.).

Vos capacités relationnelles et organisationnelles et votre force de proposition sont des atouts majeurs pour mener à bien ces missions.

Nous vous offrons :
La possibilité d’évoluer au sein d’un groupe à taille humaine mais à dimension internationale, qui vous propose des projets à votre mesure.
Un management de proximité et une culture d’entreprise forte et orientée vers l’épanouissement professionnel et personnel.
De nombreuses possibilités d’évolution
Des formations continues et une gestion de carrière personnelle.
Si vous aussi vous souhaitez bénéficier d’une carrière épanouissante, évolutive et riche d’expériences variées, postulez et rejoignez l’équipe CVO-EUROPE !
Entreprise Fort d’une équipe pluridisciplinaire, CVO-EUROPE accompagne, depuis 1995, les entreprises des Sciences de la Vie sur toutes les étapes (conception, validation, opération, transformation digitale) de leurs activités critiques pouvant impacter la qualité du produit, l’intégrité des données et la santé du patient, en garantissant la conformité de leurs systèmes, équipements, process et données.

A travers une offre de services complète (prestations, centre de services partagés, audit, conseil et ingénierie pédagogique), le groupe CVO-EUROPE s’engage à apporter à ses clients des solutions performantes et innovantes, tout en restant fidèle aux valeurs humaines qui le caractérisent depuis sa création."
6,https://www.indeed.fr/emplois?q=Data%20consultant&l=Bordeaux&radius=100&limit=100&sort=date&vjk=ea1ff573d7800200,"Consultant cloud Bordeaux F/H
ZENIKA3 avis - Bordeaux (33)","['Bordeaux (33)', 'CDI']",Consultant cloud Bordeaux F/H,ZENIKA,- Bordeaux (33),CDI,null,"Apec.fr - il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",Data consultant,Bordeaux,"Tes missions :
Automatiser la mise en place de l'infrastructure associée

Concevoir et réaliser des développements pour utiliser ces architectures Cloud

Participer aux choix d'architecture et être force de proposition auprès de nos clients

Donner des formations sur tes technos préférées.
Profil recherché Qui es-tu ?

Tu as une connaissance approfondie des solutions proposées par un ou plusieurs Cloud providers (AWS, GCP, Azure, CleverCloud, OVH…) et peut-être même des certifications !

Tu maîtrises l’approche des conteneurs (Docker, etc.) et certains orchestrateurs et PaaS : Kubernetes, Swarm, Cloud Foundry Application Runtime, Openshift

Tu as une ou plusieurs compétences dans ces domaines : OpenStack, Ansible, SaltStack, Terraform, Shell scripting, Python, Go, gestion de confs, Linux...

Tu as une première expérience significative sur un projet de passage au Cloud

Tu souhaites te challenger sur des architectures distribuées et de nouveaux langages

Tu aimes partager tes compétences et assumer tes choix techniques

Même si tu n’es pas tombé dedans quand tu étais petit, tu as une réelle appétence pour le développement

Github, Gitlab, Stackoverflow ou encore bitbucket font partie de tes outils quotidiens

Tu aimes échanger et partager avec tes pairs et tu aimerais participer à des événements

Tu as hésité à passer le CAPES car tu es un formateur dans l’âme et tu souhaites en faire bénéficier le plus grand nombre

Tu ne te prends pas trop au sérieux et tu aimes travailler dans un environnement fun et convivial.
Entreprise Qui sommes-nous ?

Rejoins l’agence Zenika à Bordeaux dans laquelle notre directeur Fabien accompagne au quotidien une trentaine de collaborateurs tous passionnés d’informatique.

Tes futurs collègues ? Une grande famille de consultants Java, web, DevOps, Big Data, sécurité, agiles…

Tu pourras aussi participer à de nombreux événements d’agence (les dejs du vendredi, le zPot (apéro Zenika) une fois par mois, les réunions d’agence, …) ou techniques (meet-up, nightclazz, formations, …)

Qu’est ce qu’on t’offre ?

En résumé, Zenika, te permettra :
De choisir d’intégrer ou quitter les projets clients de ton choix

De travailler dans un environnement agile

De réaliser des missions d’audit, d’expertise technique et des POCs

D’avoir du temps dédié pour contribuer à des projets Open-Source ou à tes projets personnels

D’animer ou de participer à des événements techniques

De participer aux meilleures conférences (Devoxx, Devfest, Breizhcamp, MixIT, BDX I/O, Snowcamp et bien d’autres)

D’avoir la possibilité de devenir formateur sur tes domaines d’expertise

De bénéficier de nos formations et de passer des certifications

De choisir ton matériel informatique (PC, Mac etc.)

De conserver un équilibre vie pro/vie perso

Surtout, d’avoir ta garde robe aux couleurs de Zenika !"
7,https://www.indeed.fr/emplois?q=Data%20consultant&l=Bordeaux&radius=100&limit=100&sort=date&vjk=800ee01e5ed29c44,"Data ingénieur Bordeaux F/H
ZENIKA3 avis - Bordeaux (33)","['Bordeaux (33)', 'CDI']",Data ingénieur Bordeaux F/H,ZENIKA,- Bordeaux (33),CDI,null,"Apec.fr - il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",Data consultant,Bordeaux,"Tes missions :
Tu collaboreras avec les équipes Big Data de nos clients pour concevoir et développer de nouvelles architectures de données.

Tu participeras à la mise en place ainsi qu'à l'enrichissement de datalakes basés sur l'écosystème Hadoop.

Tu implémenteras des workflows complexes d'acquisition et d'analyse de la donnée pour faire émerger des possibilités métiers encore inexploitées.

Tu travailleras de pair avec des Data Scientists dans un esprit de partage de compétences.

Tu as une première expérience significative sur un projet Big Data. Tu souhaites te challenger sur des infrastructures distribuées et temps réel à forte volumétrie. Tu aimes partager tes compétences et assumer tes choix techniques.
Profil recherché Qui es-tu ?

Tu as une première expérience significative sur un projet Big Data

Tu souhaites te challenger sur des infrastructures distribuées et temps réel à forte volumétrie

Tu t’investis sur la qualité des projets, tu adhères aux principes DevOps et tu es vigilant sur la performance

Même si tu n’es pas tombé dedans quand tu étais petit, tu as une réelle appétence pour le développement

Github, Gitlab, Stackoverflow ou encore bitbucket font partie de tes outils quotidiens

Tu aimes échanger et partager avec tes pairs et tu aimerais participer à des événements

Tu as hésité à passer le CAPES car tu es un formateur dans l’âme et tu souhaites en faire bénéficier le plus grand nombre

Tu ne te prends pas trop au sérieux et tu aimes travailler dans un environnement fun et convivial.

Tes compétences :
Le Java est ta langue maternelle. La programmation orientée objet est un art dont tu maîtrises les techniques secrètes (design patterns).

Tu es familiarisé avec des Frameworks de tests tels que JUnit, Mockito, Gatling.

Le JSON et les APIs REST sont ton quotidien.

Les brokers de messages (Apache Kafka) ne te sont pas inconnus.

Tu préfères utiliser tes compétences ""relationnelles"" pour faire du team building plutôt que pour concevoir le stockage de tes données.

Le stream processing est la philosophie que tu as adoptée pour tes projets data (Spark, Flink, Kafka Streams, …)

Tu ne t'imagines pas travailler sur un environnement autre que Linux (Ubuntu, CentOS)

Tu es sensible aux approches craftsmanship (CleanCode, TDD).
Entreprise Qui sommes-nous ?

Rejoins l’agence Zenika à Bordeaux dans laquelle notre directeur Fabien accompagne au quotidien une trentaine de collaborateurs tous passionnés d’informatique.

Tes futurs collègues ? Une grande famille de consultants Java, web, DevOps, Big Data, sécurité, agiles…

Tu pourras aussi participer à de nombreux événements d’agence (les dejs du vendredi, le zPot (apéro Zenika) une fois par mois, les réunions d’agence, …) ou techniques (meet-up, nightclazz, formations, …)

Qu’est ce qu’on t’offre ?

En résumé, Zenika, te permettra :
De choisir d’intégrer ou quitter les projets clients de ton choix

De travailler dans un environnement agile

De réaliser des missions d’audit, d’expertise technique et des POCs

D’avoir du temps dédié pour contribuer à des projets Open-Source ou à tes projets personnels

D’animer ou de participer à des événements techniques

De participer aux meilleures conférences (Devoxx, Devfest, Breizhcamp, MixIT, BDX I/O, Snowcamp et bien d’autres)

D’avoir la possibilité de devenir formateur sur tes domaines d’expertise

De bénéficier de nos formations et de passer des certifications

De choisir ton matériel informatique (PC, Mac etc.)

De conserver un équilibre vie pro/vie perso

Surtout, d’avoir ta garde robe aux couleurs de Zenika !"
8,https://www.indeed.fr/emplois?q=Data%20consultant&l=Bordeaux&radius=100&limit=100&sort=date&vjk=0867ad9a69d01d56,"Consultant DevOps Bordeaux F/H
ZENIKA3 avis - Bordeaux (33)","['Bordeaux (33)', 'CDI']",Consultant DevOps Bordeaux F/H,ZENIKA,- Bordeaux (33),CDI,null,"Apec.fr - il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",Data consultant,Bordeaux,"Tes missions :
Proposer les architectures techniques adaptées au contexte de l'entreprise pour la mise en place de l'intégration et du déploiement continu

Automatiser la mise en place de l'infrastructure associée

Proposer, installer, utiliser et accompagner les utilisateurs sur l'outil de modélisation du pipeline d'intégration et de déploiement continu

Etre capable de proposer des pipelines de déploiement adaptés aux workflow de l'entreprise et aux plateformes cibles

Accompagner et travailler avec les développeurs et les responsables des infrastructures techniques pour mettre en place les solutions qui conviennent le mieux à tous dans un esprit de partage et de collaboration

Mettre en place les outils qui permettront de mesurer la pertinence des actions mises en place et d'assurer la maintenabilité des applications et des infrastructures techniques.
Profil recherché Qui es-tu ?

Tu maitrises Spring, Elasticsearch, MongoDB, Maven, Gradle, Jenkins, Docker, Kubernetes, Kafka, REST/GraphQL ou d'autres technologies du monde Java

Tu t’investis sur la qualité des projets, tu adhères aux principes DevOps et tu es vigilant sur la performance.

Même si tu n’es pas tombé dedans quand tu étais petit, tu as une réelle appétence pour le développement.

Github, Gitlab, Stackoverflow ou encore bitbucket font partie de tes outils quotidiens

Tu aimes échanger et partager avec tes pairs et tu aimerais participer à des événements.

Tu as hésité à passer le CAPES car tu es un formateur dans l’âme et tu souhaites en faire bénéficier le plus grand nombre

Tu ne te prends pas trop au sérieux et tu aimes travailler dans un environnement fun et convivial.

Nos indispensables :
Compréhension des grands principes de la culture DevOps (CALMS, Three Ways)

Outils de scripting : shell, ruby, python, groovy

Outils de gestion de la configuration : Ansible, Chef, Puppet, Salt Stack, et les outils de tests associés

Outils de gestion de pipelines : Jenkins, GoCD, GitlabCI, Circle CI, Travis CI, CodeShip

Outils de centralisation des logs, de collecte et de visualisation des métriques : Stack Elastic, Graylog, Prometheus, OpenTSDB, InfluxDB, Grafana

Outils de containerisation : Docker, Rkt

Compréhension des systèmes distribués et répartis

Et nos plus :
Outils d'orchestration de containers : Kubernetes, Openshift, Swarm, DC/OS, CloudFoundry, Rancher

Outils de gestion de cloud privé : OpenStack, CloudStack, VMWare vSphere

Connaissances des clouds publiques : AWS, Azure, GCE, DigitalOcean
Entreprise Qui sommes-nous ?

Rejoins l’agence Zenika à Bordeaux dans laquelle notre directeur Fabien accompagne au quotidien une trentaine de collaborateurs tous passionnés d’informatique.

Tes futurs collègues ? Une grande famille de consultants Java, web, DevOps, Big Data, sécurité, agiles…

Tu pourras aussi participer à de nombreux événements d’agence (les dejs du vendredi, le zPot (apéro Zenika) une fois par mois, les réunions d’agence, …) ou techniques (meet-up, nightclazz, formations, …)

Qu’est ce qu’on t’offre ?

En résumé, Zenika, te permettra :
De choisir d’intégrer ou quitter les projets clients de ton choix

De travailler dans un environnement agile

De réaliser des missions d’audit, d’expertise technique et des POCs

D’avoir du temps dédié pour contribuer à des projets Open-Source ou à tes projets personnels

D’animer ou de participer à des événements techniques

De participer aux meilleures conférences (Devoxx, Devfest, Breizhcamp, MixIT, BDX I/O, Snowcamp et bien d’autres)

D’avoir la possibilité de devenir formateur sur tes domaines d’expertise

De bénéficier de nos formations et de passer des certifications

De choisir ton matériel informatique (PC, Mac etc.)

De conserver un équilibre vie pro/vie perso

Surtout, d’avoir ta garde robe aux couleurs de Zenika !"
9,https://www.indeed.fr/emplois?q=Data%20consultant&l=Bordeaux&radius=100&limit=100&sort=date&vjk=6c11b31b2ea0aa26,"Développeur fullstack Bordeaux F/H
ZENIKA3 avis - Bordeaux (33)","['Bordeaux (33)', 'CDI']",Développeur fullstack Bordeaux F/H,ZENIKA,- Bordeaux (33),CDI,null,"Apec.fr - il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",Data consultant,Bordeaux,"Tes missions :
Intervenir sur tout le processus d’un projet agile : conception, développement, tests

Participer aux choix d'architecture et être force de proposition auprès de nos clients

Définir les protocoles d’échange entre le back et le front

Développer en respectant les bonnes pratiques Craft

Définir le processus d’intégration continue et de déploiement continue

Connaître les solutions de stockage (SQL ou NoSQL)

Donner des formations sur tes technos préférées
Profil recherché Qui es-tu ?

Idéalement, tu maîtrises plusieurs des technologies suivantes : les différents framework JavaScript (Angular, React ou Vue), l’utilisation d’un store (Redux), ES2018, les DevTools pour debug, NodeJS et son écosystème, un gestionnaire de package (npm / yarn), ExpressJS / HapiJS, Docker, REST/GraphQL.

Tu t’investis sur la qualité des projets, tu adhères aux principes DevOps et tu es vigilant sur la performance.

Même si tu n’es pas tombé dedans quand tu étais petit, tu as une réelle appétence pour le développement.

Github, Gitlab, Stackoverflow ou encore bitbucket font partie de tes outils quotidiens

Tu aimes échanger et partager avec tes pairs et tu aimerais participer à des événements.

Tu as hésité à passer le CAPES car tu es un formateur dans l’âme et tu souhaites en faire bénéficier le plus grand nombre

Tu ne te prends pas trop au sérieux et tu aimes travailler dans un environnement fun et convivial
Entreprise Qui sommes-nous ?

Rejoins l’agence Zenika à Bordeaux dans laquelle notre directeur Fabien accompagne au quotidien une trentaine de collaborateurs tous passionnés d’informatique.

Tes futurs collègues ? Une grande famille de consultants Java, web, DevOps, Big Data, sécurité, agiles…

Tu pourras aussi participer à de nombreux événements d’agence (les dejs du vendredi, le zPot (Zenika) une fois par mois, les réunions d’agence, …) ou techniques (meet-up, nightclazz, formations, …)

Qu’est ce qu’on t’offre ?

En résumé, Zenika, te permettra :
De choisir d’intégrer ou quitter les projets clients de ton choix

De travailler dans un environnement agile

De réaliser des missions d’audit, d’expertise technique et des POCs

D’avoir du temps dédié pour contribuer à des projets Open-Source ou à tes projets personnels

D’animer ou de participer à des événements techniques

De participer aux meilleures conférences (Devoxx, Devfest, Breizhcamp, MixIT, BDX I/O, Snowcamp et bien d’autres)

D’avoir la possibilité de devenir formateur sur tes domaines d’expertise

De bénéficier de nos formations et de passer des certifications

De choisir ton matériel informatique (PC, Mac etc.)

De conserver un équilibre vie pro/vie perso

Surtout, d’avoir ta garde robe aux couleurs de Zenika !"
