,id,meta1,meta2,titre_poste,entreprise,localisation,contrat,salaire,date_publication,keyword_metier,keyword_localisation,description
0,https://www.indeed.fr/emplois?q=Data%20manager&l=Bordeaux&radius=100&limit=100&sort=date&vjk=e04ee30b5b586da7,"CONSULTANT TABLEAU SOFTWARE (F/H)
Randstad Search13,958 avis - Bègles (33)","['Bègles (33)', '40 000 € par an']",CONSULTANT TABLEAU SOFTWARE (F/H),Randstad Search,- Bègles (33),40 000 € par an,40 000 € par an,"il y a 5 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Data manager,Bordeaux,"Randstad Search recrute pour un cabinet de conseil spécialisé dans la donnée : un Consultant Tableau Software F/H en CDI en région bordelaise.
Notre client, expert Data, Business Intelligence, Datavisualisation et Datascience, compte une trentaine de collaborateurs. Cette structure à taille humaine, créée en 2011, projette d'être leader de la Data d'ici 5 ans.
description du poste
Rattaché à un Manager technique, vous effectuez des analyses fonctionnelles, rédigez des spécifications techniques et réaliserez des tableaux de bord. Vous interviendrez pour des missions en régie chez un de leurs clients ou au sein d'une équipe projet dans leurs locaux. Vous contribuez à la conception, au développement de flux d'alimentation d'entrepôts de données et aux tests des applications.
Vous aurez l'opportunité d'encadrer le/les projet(s) tant au niveau technique qu'au niveau humain.
Force de proposition sur les projets, de la conception à la mise en production, vous serez également amené à intervenir sur différents sujets comme participer aux avant-ventes, mettre en place des POC et accompagner à la gestion de projet. Vous menez également des missions de conseil, d'audit d'expertise technique et d'optimisation.
Enfin, dans le cadre de demi-journée mensuelle, vous participez à des séminaires d'entreprise afin de partager les connaissances de chacun et créer de la cohésion avec les équipes.

Doté d'une expérience d'au moins 1 an sur l'outil Tableau Software et de 2 ans à minima sur la Data, vous avez su développer votre expertise en prenant part à divers projets. Vous possédez une certification « Tableau Desktop Certified Professional » et/ou « Tableau Server Certified Professional » ? Voici un réel atout supplémentaire pour rejoindre la société.
profil recherché
Idéalement, vous avez une appétence pour encadrer des équipes techniques et vous savez vous positionner comme leader technique dans la mise en œuvre et le suivi de projet.
Sensibilisé au storytelling, vous aimez faire parler les chiffres et construisez des tableaux de bord impactant et porteurs de sens pour les utilisateurs.
Enfin, vous avez une réelle appétence pour la donnée et êtes en veille permanente sur le domaine.

En rejoignant notre client, vous aurez la possibilité de vous former régulièrement et de passer des certifications reconnues. Vous intégrez également une entreprise à taille humaine, avec des équipes motivées et talentueuses travaillant dans une ambiance conviviale.
informations complémentaires
niveau d'études : BAC+2
salaire minimum : 40000 €
type de salaire : Annuel"
1,https://www.indeed.fr/emplois?q=Data%20manager&l=Bordeaux&radius=100&limit=100&sort=date&vjk=358063d9a52bdde3,"QA Engineer
Manomano2 avis - Bordeaux (33)",['Bordeaux (33)'],QA Engineer,Manomano,- Bordeaux (33),null,null,"il y a 4 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Data manager,Bordeaux,"As part of the Product organization, you will join the Software Quality Assurance team and work closely with Product Managers, Backend and Frontend Developers to ensure we always deliver the best experience to our users.
Your missions :
Ensure that anomalies are detected as early as possible, while allowing teams to iterate quickly and frequently
Collaborate with Product Managers to design User Acceptance test plans and cases
Share knowledge and experience with other QA Engineers
Work closely with Frontend and Backend Developers
Create, extend and update end-to-end regression test plans
Think out-of-the-box and come up with unanticipated test scenarios using Exploratory Testing techniques
Advocate for quality at all stages of the product development cycle
Provide constructive feedback on the overall user experience by putting yourself in the shoes of a real customer
Implement and maintain automated test cases
Execute manual and automated test cases
Fight test flakiness
Keep up-to-date with the QA industry’s best practices, tools and techniques
Profil recherché
What you bring :
Experience of at least 1 year in Software Quality Assurance
Experience with a software programming language (Javascript preferred)
Experience automating tests (Selenium, Cypress, Appium...)
You love technical challenges and problem-solving
The different software testing techniques have no secret for you
You fully understand what Agile and Lean mean
You’re a good team player
Full professional English proficiency
What ManoMano offers :
A start-up environment made in France in hyper growth
Autonomy with a wide field of action
An immersion in the data-driven e-commerce
Agile & international environment with bright and friendly colleagues
Working from Home possible 1 day per week
The international dimension (France, Italy, Spain, United Kingdom, Germany)
A pleasant setting in Paris in more than 3,000 m² (a gym, a terrace, a music room)
An atmosphere (average age 29)
Work–life balance
Informations complémentaires
Type de contrat : CDI
Date de début : 06 septembre 2019
Lieu : Bordeaux, France ()
Niveau d'études : Bac +5 / Master
Expérience : > 3 ans
Télétravail possible
Salaire : entre 35000€ et 60000€ / an"
2,https://www.indeed.fr/emplois?q=Data%20manager&l=Bordeaux&radius=100&limit=100&sort=date&vjk=aa029d8876c534f5,"Service Line Leader Manufacturing Execution M/F
Sanofi3,632 avis - Bègles (33)",['Bègles (33)'],Service Line Leader Manufacturing Execution M/F,Sanofi,- Bègles (33),null,null,"il y a 4 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Data manager,Bordeaux,".
Le contenu du poste est libellé en anglais car il nécessite de nombreuses interactions avec nos filiales à l’international, l'anglais étant la langue de travail.
JOB PURPOSE
The Manufacturing Execution and Serialization Service Line Leader is end to end accountable for the Service line with key focus areas to increase quality, increase usages and reduce costs. His/her main actions are focused to build, promote, enhance the overall Service Line strategy and service delivery in collaboration with Business stakeholders, Business partners, Service owners, Service performance managers and third parties. The service will include but will not be limited to Manufacturing Execution Systems, Serialization and Automation.
CONTEXT AND CHALLENGES
Context
Sanofi strategic direction is currently to standardize processes and to embrace the digital transformation of Industrial Affairs perimeter, looking at the opportunity to simplify its current solution landscape and leverage advanced technologies to bring business value. The will imply the deployment of MES solution on 40+ sites in the next 5 years.
At the same time, several systems are reaching obsolescence and need to go through a lifecycle leveraging as much as possible SaaS or cloud hosted solutions.
Sanofi is also engaged in a large serialization program to comply with several authorities and it is now time to consolidate the original architecture but also to leverage serialization as a digital asset.
Challenges
Stabilize the serialization solution, consolidate its solution landscape and optimize architecture to reduce run cost
Leverage the serialization to bring business value through digital products or advanced analytics
Design MES core models allowing rapid deployment and minimal run cost
Assure the effective integration between MES, ERP, shop floor equipment and data collection solution (like OSI PI, IP21, IoT,…)
Prepare the future by incorporating cloud ready infrastructure design
Design and build core solutions as close to standard market solutions as possible, on the basis of state-of-the-art best practices and aiming at aligning processes and enabling industrial efficiency across the different industrial sites of Sanofi.
Guide a pool of expert to build best in class solutions and ensure best practices are followed.
SUPERVISED RESOURCES (Sales, budget, headcount…)
Operating Budget: Does this person manage an Operating Budget? Yes, up to 10-20 m€
Number of Sanofi Employees Supervised Directly: 5-10; indirectly: <20
Number of Contractors Supervised: Directly and Indirectly: 20 to 50
KEY ACCOUNTABILITIES
Establish and chair the governance of the Service Line
Lead and drive the relationship with the key stakeholders
Accountable of the overall Service recipient satisfaction process (measurement, analysis and reporting)
Accountable of the overall results towards his/her management line. Publishes Service Line dashboard on a regular basis
Accountable for required activities towards service recipient in terms of training and service adoption
Accountable for the Service Line’s roadmap according to company's priorities
Accountable for the Service Line’s solutions portfolio (applications, technology, project, means,.. )
Accountable for the overall performance and cost effectiveness
Valuate and maintain cost drivers of the Service Line
Ask for constant operational efficiency and optimization in leading continuous improvement management cycles
Coordinate in the design and evolution of the Service Line and associated services (High Level Design)
Accountable for the Service Line’s resources ensuring the right level of competency
Responsible for security, regulatory compliance and disaster and recovery plans
JOB-HOLDER ENTRY REQUIREMENTS
Education
Master degree in Science related disciplines
University degree
Experience & knowledge
Experience in Shop Floor (Production, Quality, Maintenance, and/or Warehouse) and Advanced Process Control and Systems implementation in a manufacturing environment preferably in Pharmaceuticals Manufacturing (Bio, Vaccines, CHC, Injectable, Chemistry)
10+ years of experience implementing mission critical applications solutions
Strong hands-on experience to MES technologies, including automated data collection, visualization, quality and efficiency in manufacturing
Strong understanding of manufacturing processes (life sciences experience preferred)
Familiar with Industry 4.0 concepts and agile methodology and apply them to enable transformation
Support IOT initiatives having dependency on manufacturing systems
Strong foundational understanding of Automation Systems (PLC/SCADA, DCS, Building Management and Environment Management Systems) and experience in integrating those systems with other system like MESn ERP, data historian,..
Experience with Werum PAS|X, Siemens Simatic IT EBR and AspenTech solutions
Competency in strategic thinking and leadership with strong abilities in relationship management successfully developed and implemented
Experience with Emerson Delta V, Siemens and Rockwell SCADA systems
Excellent written, verbal, team and presentation skills in English, French would be an asset
Core competencies
Strong business acumen and ability to partner with different stakeholders both in ITS, business and 3rd parties
Advanced in cost management, performance management and data analytics
Able to engage vendors
Master service management principles
Advanced communication skills
Very strong in strategic thinking, decision making and problem solving
Excellent in transversal collaboration
Sanofi s’engage en faveur de l'accueil et de l'intégration des personnes en situation de handicap.
#LI-FR
At Sanofi diversity and inclusion is foundational to how we operate and embedded in our Core Values. We recognize to truly tap into the richness diversity brings we must lead with inclusion and have a workplace where those differences can thrive and be leveraged to empower the lives of our colleagues, patients and customers. We respect and celebrate the diversity of our people, their backgrounds and experiences and provide equal opportunity for all.
As part of its diversity commitment, Sanofi is welcoming and integrating people with disabilities."
3,https://www.indeed.fr/emplois?q=Data%20manager&l=Bordeaux&radius=100&limit=100&sort=date&vjk=0e20d20194b40b68,"Auditeur Senior H/F
PwC6,978 avis - Cognac (16)",['Cognac (16)'],Auditeur Senior H/F,PwC,- Cognac (16),null,null,"il y a 4 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Data manager,Bordeaux,"Cabinet d'audit et de conseil, PwC est un réseau international de 236 000 collaborateurs dans le monde dont 6400 en France & Afrique francophone. Acteur engagé, PwC continue sa transformation pour renforcer la confiance sur le marché et accompagner les acteurs de l'économie dans leur réussite, à travers des missions d'audit, d'expertise comptable et de conseil (stratégie, management, transactions, cybersécurité, data & analytics, juridique & fiscal).

Ligne de métier

Advisory
Secteur / Industrie

Not Applicable
Spécialisation

Entrepreneurial & Private Business (EPB) - Private Clients
Grade

Senior Associate
Description de l’offre

Qui sommes-nous ?
PwC pour les Entrepreneurs est une structure à taille humaine au sein d’un groupe d’envergure internationale. Nous rejoindre, c’est intégrer une équipe de 700 personnes basées dans 21 bureaux afin de conseiller les Entrepreneurs et Dirigeants d’entreprises en région.
Au-delà de nos missions traditionnelles de comptabilité, juridique et fiscal, paie et social, commissariat aux comptes, nous proposons des missions de conseil qui requièrent des compétences diverses. Nous recrutons donc des profils variés pour accompagner nos clients Entrepreneurs dans la durée.

Rejoignez nos équipes dans le Sud-Ouest !
PwC pour les Entrepreneurs Cognac se sont des équipes dynamiques qui accompagnent au quotidien les belles PME de la région. Au sein de la région Sud-Ouest, le bureau de Cognac regroupe plus de 70 collaborateurs sur les différents métiers du chiffre, dont 10 collaborateurs dédiés au métier de commissariat aux comptes. Vous intégrerez notre pôle Audit.

Pourquoi choisir de nous rejoindre ?

En choisissant de nous rejoindre vous aurez l’opportunité de travailler sur des missions variées pour des clients qui interviennent dans des secteurs d’activité divers (spiritueux, industries, agricole, grande distribution etc.).
Participer à / Gérer des missions d’audit légaux, des référés, des audits d’acquisition et autres missions plus ponctuelles
Bénéficier de la diversité du portefeuille de clients : associations de taille significative, des PME locales et des filiales de groupe
o Des entreprises de toutes tailles réalisant de 4 à 500 m€ de CA
o Une multitude de secteurs d’activité
o Une réelle proximité avec les clients
En lien direct avec le manager ou/et l’associé, vous serez en charge d’un portefeuille de clients
Bénéficier d’un encadrement de proximité et d’un accompagnement dans le développement de vos
compétences ainsi que d’une formation à l’utilisation de nos outils performants et à notre
méthodologie au sein d’une atmosphère d’excellence.

Qu’attendons-nous de vous ?

Formation de Bac+3 à Bac+5 de type Licence/Bachelor comptabilité, DSCG, Master CCA, Master école de commerce / IAE ou toutes autres formations en lien avec les métiers du chiffre
Première expérience de 2-3 ans souhaitée acquise en cabinet d’audit
Dynamisme, ouverture d’esprit, rigueur, sens du service clients, goût du travail en équipe et qualités relationnelles
Solides compétences techniques de base (comptables, fiscales et juridiques)
La maîtrise de l’Anglais sera considérée comme un atout
Déplacements ponctuels à prévoir sur la région
Rémunération en fonction du profil (autres avantages : variable sur objectifs, prime commerciale,
prime de cooptation, tickets restaurant, …).

Vous vous reconnaissez dans cette description ? Alors nous souhaitons vraiment vous rencontrer.

Formation

Degrees/Field of Study required:Degrees/Field of Study preferred:
Diplômes

Langues

Déplacements à prévoir

Not Specified
Poste éligible avec un permis de travail

Yes
Autorisation gouvernementale requise

Yes
Fin de validité du poste

N'attendez plus, rejoignez-nous!

Référence de l'offre: 102087WD

Ville: Cognac

Ligne de métier: Advisory

Spécialisation: Entrepreneurial & Private Business (EPB) - Private Clients

Grade: Senior Associate"
4,https://www.indeed.fr/emplois?q=Data%20manager&l=Bordeaux&radius=100&limit=100&sort=date&vjk=3b77c96c02d139b4,"Sales Manager Africa / Middle east / India
Ademtech - Pessac (33)","['Pessac (33)', 'Temps plein, CDI']",Sales Manager Africa / Middle east / India,Ademtech,- Pessac (33),"Temps plein, CDI",null,"il y a 5 jours
Signaler cette offre d'emploi",Data manager,Bordeaux,"ADEMTECH is an international french company specialized in Biotechnology with a unique know how and expertise in magnetic particles design and manufacturing. The company provides its magnetic beads based products to different markets in Forensic, life Sciences and IVD industry.
We are looking for our Sales Manager Forensic Middle east / India for our Forensic Business Unit. Reporting to the Sales Director based in France, you will be responsible for the following duties for our DNA extraction reagents and associated automated system:
· Ensuring the prospection of new customers and regular visit of the key forensic laboratories in the assigned area
· Developing and ensure the communication and follow up of the local distributors
· Organising and assembling all the commercials datas including customers reports visits and database.
· Establishing a continuous communication with the company in France with a monthly report, weekly activity and rolling forecast updates.
· Monitoring sales objectives and results
· Representing ADEMTECH in local exhibitions
· Performing all duties in accordance with the Quality Management System
A complete training (technical and commercial) will be ensured at the french headquarter in Pessac (near Bordeaux) in France.
Requirements
Knowledge of life sciences market with a preference for the forensic laboratories
Master of Sciences in Biology in Education
A good experience in sales in Biology and automation is a plus
Flexible for travel and capacity to work in a changing environment, excellent organizational skills
Job Types: Full-time, Permanent
Experience:
early childhood education: 1 year (Preferred)
Sales: 4 years (Preferred)"
5,https://www.indeed.fr/emplois?q=Data%20manager&l=Bordeaux&radius=100&limit=100&sort=date&vjk=4a01b440e7fb5469,"Ingénieur IT Service Delivery Manager F/H
ALTRAN SUD OUEST9 avis - Bordeaux (33)",['Bordeaux (33)'],Ingénieur IT Service Delivery Manager F/H,ALTRAN SUD OUEST,- Bordeaux (33),null,null,"il y a 5 jours
Signaler cette offre d'emploi",Data manager,Bordeaux,"Notre offre
Venez rejoindre le pôle Digital d’Altran Bordeaux et participer à des projets innovants en intégrant des nouveaux usages basés sur la mobilité, le Cloud, le Big Data, le DevOps et autres thématiques au cœur des métiers de nos clients.
Vos responsabilités
Piloter les contributeurs opérationnels pour assurer les engagements souscrits
Garantir la prise en charge et la résolution des différents incidents rencontrés
Suivre les plans d'actions et problèmes afin de réduire les incidents
Analyser les changements de production et leurs impacts
Animer les différents comités de suivi et de validation
Assurer le rôle de contact principal avec le métier sur les activités RUN et assurer la communication vis-à-vis de l’ensemble des contributeurs
Gérer les demandes concernant les patrimoines applicatifs du métier sur le RUN
Mettre en relation et coordonner les acteurs et contribuer à la communication dans le métier
Superviser les applications
Gérer les changements/problèmes/incidents des projets associés
Accompagner à la mise en production
Rédiger les documents et procédures liés à ces applications
Assurer le reporting sur son périmètre
Participer aux réunions d’avancement hebdomadaire et mensuelle
Fonction(s) de référencement
Système, réseaux, données
Votre profil
De formation ingénieur ou équivalent bac+5 en informatique, vous disposez des compétences suivantes :
3 ans d’expérience minimum dans le monde de la production et/ou des applications
Connaissance transverse de l’infrastructure IT (bases de données, serveurs, réseaux, …)
La certification ITIL serait un plus
Anglais lu/écrit/parlé
Esprit d’analyse et de synthèse
Bonne capacité relationnelle
Sens du travail en équipe
Ce poste est ouvert aux personnes en situation de handicap.
Type d'emploi : Temps plein
Expérience:
ingénieur it service delivery manager f/h ou similaire: 1 an (Souhaité)"
6,https://www.indeed.fr/emplois?q=Data%20manager&l=Bordeaux&radius=100&limit=100&sort=date&vjk=295b4e63efb5ada6,"Sales Manager - OYO Vacation Homes
Oyorooms.recruiterbox.com - Bordeaux (33)",['Bordeaux (33)'],Sales Manager - OYO Vacation Homes,Oyorooms.recruiterbox.com,- Bordeaux (33),null,null,"il y a 6 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Data manager,Bordeaux,"Note: This role is for Belvilla, part of OYO Vacation Homes.
Bonjour! Nice meeting you!

OYO is the fastest growing tech company in the hospitality industry worldwide. Our mission is very simple: helping guests find their perfect space across 80+ countries with 23000+ rooms and 46000+ holiday homes. We are transforming the experience both for guests and owners to combine hospitality with cutting-edge technology. Now part of the OYO Vacation Homes family – Belvilla is one of the leading vacation rental companies in Europe.

As Sales Manager at Belvilla France, you will play a leading role in achieving our ambitious acquisition and revenue growth objectives in France. You will manage a team of Business Developers in your region to actively develop our portfolio, offer our brand new value proposition to the french Home Owners, and foster our amazing expansion in Europe. Join us to thrive in high growth, disruptive and tech-driven business currently transforming the whole hospitality industry!


What will you do?
Develop the strategy on how to achieve growth and hit acquisition targets by successfully managing the sales team
Design and implement a strategic business plan that expands the company’s homeowners base and ensures its strong presence on the market
Own recruiting, acquisition objectives setting, coaching and performance monitoring of sales agents
Build and promote strong, long-lasting homeowner relationships by partnering with them and understanding their needs
Manage and control the contracting process, paying special attention to gross margins and availability
Present acquisition, revenue and expense reports and realistic forecasts to the management team
Identify emerging markets and market shifts while being fully aware of trending houses and competition status
Analyze the market and manage strategic product acquisition to ensure Belvilla’s strong competitive position on the market in the future
Ensure correct and updated product information

What you will bring?
BS/MS degree in tourism, business administration or a related field
Written and verbal fluency in English and French
Successful previous experience as a sales manager, consistently meeting or exceeding targets
Demonstrated ability to communicate, present and influence credibly and effectively at all levels of the organization
Proven ability to manage the sales process from plan to close
Strong business sense and vocational rental industry expertise
Excellent mentoring, coaching and people management skills
Commercially savvy, good knowledge of the market and ability to build strong relationships.
Strong analytical and data-driven decision-making skills
Computer fluency. Knowledge of Tableau is a plus
Results-oriented, proactive, client-oriented

Read more:
https://oyovacationhomes.com/oyo-to-acquire-amsterdam-based-leisure-group/
https://oyovacationhomes.com/leisure-group-announces-rebranding-to-oyo-vacation-homes/
https://techcrunch.com/2019/08/14/oyo-vacation-rental-europe/

OYO is an Equal Opportunity Employer. OYO does not discriminate on the basis of race, religion, color, sex, gender identity, sexual orientation, age, non-disqualifying physical or mental disability, national origin, veteran status or any other basis covered by appropriate law."
7,https://www.indeed.fr/emplois?q=Data%20manager&l=Bordeaux&radius=100&limit=100&sort=date&vjk=29f985d5caecd975,"Sales Manager - OYO Vacation Homes
OYO - Bordeaux (33)",['Bordeaux (33)'],Sales Manager - OYO Vacation Homes,OYO,- Bordeaux (33),null,null,"il y a 6 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Data manager,Bordeaux,"Note: This role is for Belvilla, part of OYO Vacation Homes.
Bonjour! Nice meeting you!

OYO is the fastest growing tech company in the hospitality industry worldwide. Our mission is very simple: helping guests find their perfect space across 80+ countries with 23000+ rooms and 46000+ holiday homes. We are transforming the experience both for guests and owners to combine hospitality with cutting-edge technology. Now part of the OYO Vacation Homes family – Belvilla is one of the leading vacation rental companies in Europe.

As Sales Manager at Belvilla France, you will play a leading role in achieving our ambitious acquisition and revenue growth objectives in France. You will manage a team of Business Developers in your region to actively develop our portfolio, offer our brand new value proposition to the french Home Owners, and foster our amazing expansion in Europe. Join us to thrive in high growth, disruptive and tech-driven business currently transforming the whole hospitality industry!


What will you do?
Develop the strategy on how to achieve growth and hit acquisition targets by successfully managing the sales team
Design and implement a strategic business plan that expands the company’s homeowners base and ensures its strong presence on the market
Own recruiting, acquisition objectives setting, coaching and performance monitoring of sales agents
Build and promote strong, long-lasting homeowner relationships by partnering with them and understanding their needs
Manage and control the contracting process, paying special attention to gross margins and availability
Present acquisition, revenue and expense reports and realistic forecasts to the management team
Identify emerging markets and market shifts while being fully aware of trending houses and competition status
Analyze the market and manage strategic product acquisition to ensure Belvilla’s strong competitive position on the market in the future
Ensure correct and updated product information

What you will bring?
BS/MS degree in tourism, business administration or a related field
Written and verbal fluency in English and French
Successful previous experience as a sales manager, consistently meeting or exceeding targets
Demonstrated ability to communicate, present and influence credibly and effectively at all levels of the organization
Proven ability to manage the sales process from plan to close
Strong business sense and vocational rental industry expertise
Excellent mentoring, coaching and people management skills
Commercially savvy, good knowledge of the market and ability to build strong relationships.
Strong analytical and data-driven decision-making skills
Computer fluency. Knowledge of Tableau is a plus
Results-oriented, proactive, client-oriented

Read more:
https://oyovacationhomes.com/oyo-to-acquire-amsterdam-based-leisure-group/
https://oyovacationhomes.com/leisure-group-announces-rebranding-to-oyo-vacation-homes/
https://techcrunch.com/2019/08/14/oyo-vacation-rental-europe/

OYO is an Equal Opportunity Employer. OYO does not discriminate on the basis of race, religion, color, sex, gender identity, sexual orientation, age, non-disqualifying physical or mental disability, national origin, veteran status or any other basis covered by appropriate law."
8,https://www.indeed.fr/emplois?q=Data%20manager&l=Bordeaux&radius=100&limit=100&sort=date&vjk=4ce8c17b50ed7f7e,"Développeur Back End F/H
TALENTS RH - Bordeaux (33)","['Bordeaux (33)', 'CDI']",Développeur Back End F/H,TALENTS RH,- Bordeaux (33),CDI,null,"Apec.fr - il y a 6 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Data manager,Bordeaux,"TALENTS RH, société de recrutement spécialisée Profils Rares & Hautes Compétences, recherche, pour l’un de ses partenaires, un Développeur Back End H/F.

« Agrégateur international de solutions de paiement, nous traitons plus de 10 millions de transactions chaque mois dans 90 pays avec 20 méthodes de paiement différentes, grâce à 15 années d’expertise et de solides accords avec les opérateurs.

Leader du marché du Micropaiement, nous contribuons au développement de l’activité de nos marchands en leur donnant une vision à 360° de leurs clients. A travers l’analyse des données de paiement, nous contribuons ainsi à l’optimisation de leurs performances, notamment grâce à nos outils de Business Intelligence. »

Missions :
Sous la responsabilité du SI & BI Unit Manager et au sein d’une équipe à taille humaine, vous prenez pleinement part à la conception et au développement de nouveaux projets Big Data en utilisant NodeJS.

Développer et consommer des webservices

Proposer des solutions techniques fiables et innovantes sur des projets Big Data

Optimiser et gérer les performances, la disponibilité et la scalabilité

Industrialiser des composants (automatisation, test et intégration, documentation)

Profil recherché Profil :
Vous disposez d’une expérience de 2 ans minimum sur des projets NodeJS

Passionné(e) par le développement logiciel et les nouvelles technologies de manière générale

Veille sur les technologies Back-End et à des projets Open Source. Vous êtes sensibilisé(e) aux problématiques de charge

Les bases de données relationnelles (MySQL/MariaDB, PostgreSQL)

Connaissances en bases de données NoSQL (Mongo DB, Redis), problématiques Big Data, Anglais et une expérience dans le paiement en ligne au sein d’une Fintech souhaité
Entreprise Engagée et ambitieuse, l'Équipe de TALENTS RH met en place une solution de recrutement sur mesure, proche et à l'écoute de ses partenaires et candidats."
9,https://www.indeed.fr/emplois?q=Data%20manager&l=Bordeaux&radius=100&limit=100&sort=date&vjk=8cc45d48cefd9787,"Affiliate Manager France
Betclic Group2 avis - Bordeaux (33)",['Bordeaux (33)'],Affiliate Manager France,Betclic Group,- Bordeaux (33),null,null,"il y a 10 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Data manager,Bordeaux,"POSTE
Au sein de l'équipe Affiliation, vous êtes en charge de développer le chiffre d’affaires de votre portefeuille de clients sur la France.
MISSIONS
Mettre en place, suivre et optimiser les performances de vos programmes d’affiliation
Recrutement de nouveaux partenaires premium
Être en relation quotidienne avec vos affiliés
Proposer de nouveaux leviers d’acquisition de trafic (remarketing, influenceurs, comparateurs, emailing…)
Mettre en place la stratégie d’animation du réseau d’affiliés
Suivre la performance des campagnes d’affiliation via l’analyse de KPI
Participer à l’optimisation des process d’affiliation
Travailler en étroite collaboration avec les équipes interne (Technique, Data, Design, …)
Participer à des conférences/salons dédiés à l'affiliation

PROFIL
De formation supérieure en e-commerce, vous avez une expérience d’au moins 5 ans dans l’affiliation
Vous faites preuve d’un excellent relationnel avec de vraies qualités de négociateur
Vous possédez un bon esprit analytique
Excellente culture marketing digital (référencement payant, publicité en ligne, liens sponsorisés, référencement social, affiliation, campagnes d’e-mailing, display...)
Maîtrise des outils destinés à assurer le suivi de campagnes publicitaires
Vous maîtrisez le pack office en particulier Excel et Power Point
Vous possédez un bon niveau d’anglais
LES PLUS
Avoir un réseau d'affiliés sur la France
Connaître l’univers des paris sportifs
Forte culture ROIiste"
