,id,meta1,meta2,titre_poste,entreprise,localisation,contrat,salaire,date_publication,keyword_metier,keyword_localisation,description
0,https://www.indeed.fr/emplois?q=Developpeur%20Web%20full%20stack&l=Bordeaux&radius=100&limit=100&sort=date&advn=4190676325902957&vjk=70a58b7991e8ed7b,"Développeur back-end symfony - H/F
NEXTGEN RH - Bordeaux (33)","['Bordeaux (33)', 'CDI', '35 000 € par an']",Développeur back-end symfony - H/F,NEXTGEN RH,- Bordeaux (33),CDI,35 000 € par an,"ChooseYourBoss - il y a 4 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Developpeur Web full stack,Bordeaux,"Javascript / Html5 / Php / Symfony / Gestion de projet
Mobile Developer, Full Stack Developer, Lead Developer Backend, Backend Developer / CDI / Environ 35k€ / 3 - 6 ans / Bordeaux

Le poste
Au sein de l'agence bordelaise regroupant une trentaine de collaborateurs, se situant dans une zone dynamique près d'un complexe sportif, de restaurants et d'une boutique de canelés (pour les amateurs). Vous êtes en charge de trois missions: 1. Participer à l’analyse du besoin et à la conception d’applications sous Symfony 2. Gérer la phase de tests et de débogage 3. Prendre en charge la maintenance corrective et évolutive de projets web Vous devrez également avoir des compétences en développement Front end : - Intégration HTML 5 / CSS 3 / framework bootstrap - Javascript (jquery)
Les responsabilités
Conception d'application
Maintenance correction
Gestion de la phase de tests
Pourquoi venir chez nous?
L'ambiance de travail, au sein de cette entreprise, est exceptionnel ! La direction et les collaborateurs mettent un point d'honneur au bien-être. D'un point de vue professionnel il s'agit, pour notre client, d'accompagner ses collaborateurs (juniors mais aussi confirmés) dans l'acquisition de nouvelles compétences."
1,https://www.indeed.fr/emplois?q=Developpeur%20Web%20full%20stack&l=Bordeaux&radius=100&limit=100&sort=date&vjk=79a73551b8b4b7cf,"développeur(euse) Web full-stack, spécialisé(e) PHP / Symfony
mesoigner - Bordeaux (33)","['Bordeaux (33)', 'CDI']","développeur(euse) Web full-stack, spécialisé(e) PHP / Symfony",mesoigner,- Bordeaux (33),CDI,null,"il y a 4 jours
Signaler cette offre d'emploi",Developpeur Web full stack,Bordeaux,"L'entreprise :
MESOIGNER est une start-up spécialisée dans l’édition de solutions numériques pour les acteurs de la santé, et notamment les pharmacies. Avec près de 700 clients, nous sommes en pleine croissance et lançons des projets innovants.
Nous recherchons un(e) développeur(euse) Web full-stack, spécialisé(e) PHP / Symfony, dynamique et passionné(e), en CDI, pour augmenter notre bande passante de développement !
Nous sommes situés à Bègles (proche Bordeaux), à la « Cité Numérique », un pôle de sociétés spécialisées dans le numérique. Vous travaillerez dans un cadre de vie au top ! En autres : grande terrasse, placha, tennis de table.
Description du poste :
Intégré au sein de l’équipe de développement, sous la responsabilité du responsable technique, vos missions seront les suivantes :
Participation à l’élaboration des projets et fonctionnalités avec le responsable technique et le responsable de l’entreprise ;
Conception, architecture et développement de fonctionnalités Web (« Full stack » ou API REST) ;
Tests unitaires et fonctionnels ;
Rédaction de documentation des applications ;
Packaging et déploiement en fonction de vos envies/compétences.
Profil :
Vous justifiez d’au moins 2 ans d’expérience dans le développement PHP (si possible avec Symfony) ou êtes d’un niveau Bac +5 (ou les deux) ;
Vous êtes dynamique, passionné, rigoureux, curieux, mais ne vous prenez pas au sérieux ;
Vous vous considérez comme un développeur Web complet et pas seulement front ou back ;
Vous êtes soucieux des problématiques de performances lorsque vous développez ;
Vous avez le sens du travail maintenable, évolutif et modulaire ;
Compétences demandées :
PHP niveau avancé (POO et bonnes pratiques)
Maîtrise du framework Symfony et du moteur de template Twig
Maîtrise de l’ORM Doctrine et de ses évènements
SQL (MySQL/MariaDB)
HTML 5 / CSS 3 / Javascript / Jquery
Bootstrap
Anglais bon niveau (le code et la doc sont entièrement en anglais)
GIT
PHPUnit
Les plus :
PHP Composer, Yarn ou NPM, SASS, Gulp
ElasticSearch, Docker
Debian
Type d'emploi : CDI
Expérience:
développeur(euse) web full-stack, spécialisé(e) php / symfony ou similaire: 1 an (Souhaité)"
2,https://www.indeed.fr/emplois?q=Developpeur%20Web%20full%20stack&l=Bordeaux&radius=100&limit=100&sort=date&vjk=7b8112f304a896bd,"Développeur Full Stack - BLUE VALET (CDI Temps Complet H/F)
Blue Valet - Mérignac (33)",['Mérignac (33)'],Développeur Full Stack - BLUE VALET (CDI Temps Complet H/F),Blue Valet,- Mérignac (33),null,null,"il y a 6 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Developpeur Web full stack,Bordeaux,"Blue Valet est une startup qui propose aux voyageurs loisirs et affaires une nouvelle façon de voyager qui offre confort et gain de temps grâce à son service voiturier.
Déjà présente dans plusieurs grandes villes en France, en Belgique, en Espagne et au Portugal et acteur incontournable du stationnement, Blue Valet propose une solution simple et rapide pour rejoindre les aéroports ou les gares ! Que ce soit pour un voyage d’affaires, des vacances en famille ou entre amis, les voyageurs ont désormais la possibilité de réserver en un clic leur voiturier.
Blue Valet c’est le nouveau réflexe pour rejoindre sans stress aéroport ou gare en proposant un rapport confort/prix imbattable.
Fort d'une équipe de 150 collaborateurs impliqués, Blue Valet est aujourd'hui la meilleure façon de voyager sereinement.
Notre ambition : révolutionner l’expérience des voyageurs dans les gares et aéroports européens.

Suite à une belle levée de fonds, nous montons l’équipe tech dont tu seras l'un des premiers éléments clés pour amener le produit au niveau supérieur.
Rattaché(e) directement à notre CTO, tu intégreras une équipe composée de 3 personnes (=> objectif 7).
Site Web (JS, HTML5, CSS3, ReactJS, Scala/Play)
Back Office (SCALA/Play)

On recherche deux développeur(se) senior front-end passionné(e) de technologie, super motivé(e), avec un fort esprit d’équipe et qui veut contribuer à notre croissance.
Tu seras responsable de l’architecture front end, très impliqué(e) et force de proposition sur le développement du produit.

Ton profil :

Tu codes depuis au moins 3 ans et dont au moins 1 an sur un front end avec React et un an sur du backend idéalement la JVM.
Orienté(e) qualité, tu connais les prérequis de la « Continuous Delivery » donc tu as écrit de nombreux tests (unitaires, intégrations, fonctionnels/ Jasmine/Mocha/Specs2/Cypress/JUnit.... ).
Très technique, tu es aussi sensible aux problématiques UX/UI/produits et tu as peut-être déjà mis en place des outils analytiques (GA, Segment.io, Hotjar…).
Aborder des problèmes de performances, mettre en place des conventions de codage !
Participer à la mise en place des différents process. Tout reste à faire!
La cerise sur le gâteau :

you speak English (Cockney is a nice to have) !
tu as développé des applications mobiles en SWIFT, JAVA et REACT Native,
tu connais AWS, GraphQL, FP, Microservices.

Ce que tu trouveras chez Blue Valet :

De l’autonomie et un véritable challenge,
Un poste qui est clé pour le développement de l’entreprise,
Des équipes motivées, dynamiques et engagées,
Une team qui n’attend que toi !

Perks :

Conférences => BDXIO. https://www.bdx.io/#/home
Ordinateur de ton choix
La plage à 40 minutes
Taux d’ensoleillement 20% supérieur à Paris
Pas encore d’alerte à la pollution
Babyfoot (personne ne s’en sert mais on est cool!)

Modalités :

CDI à pourvoir dès que possible. Pour postuler envoie ton CV et explique en quoi tu es la personne que nous recherchons.
Rémunération selon profil
Poste basé à Mérignac"
3,https://www.indeed.fr/emplois?q=Developpeur%20Web%20full%20stack&l=Bordeaux&radius=100&limit=100&sort=date&vjk=cc08ed855c856a2c,"Développeur Full Stack (H/F) - Bordeaux
Cegedim81 avis - Bordeaux (33)","['Bordeaux (33)', 'CDI']",Développeur Full Stack (H/F) - Bordeaux,Cegedim,- Bordeaux (33),CDI,null,"il y a 9 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Developpeur Web full stack,Bordeaux,"Pour toi Don Draper de Mad men est un amateur ?

Tu cherches l’audace de la start up avec les moyens du grand groupe ?

Docavenue recherche son futur Développeur Fullstack (H/F) !

Qui sommes-nous ?

[Cegedim](http://www.cegedim.fr/), dont le maitre mot est l’innovation, reste fidèle à son ADN, et t’invite à rejoindre sa nouvelle grande aventure : Docavenue

Quel sera ton challenge ? Faire de Docavenue l’outil incontournable des professionnels de santé.

Au cœur de l’écosystème de la santé, avec plus de 290 000 professionnels équipés de ses logiciels, 43 millions d’assurés gérés au travers de ses solutions, et presque 50 ans d’innovations, Docavenue dispose d’une position unique pour accompagner le développement de la télémédecine.

Ta mission si tu l’acceptes :
En tant que dev full-stack, tu seras chargé de développer des fonctionnalités pour nos solutions web.

Cela implique :
\- Les ""Endpoints"" et le ""backend"" de traitement de données.

\- Le développement de nouvelles ""interfaces"" utilisateur.

Tu participeras aux choix produit lors des différentes cérémonies AGILES.

BackEnd: Java, Springboot, mongoDB, SpringData

Frontend : Expérience en React (ou framework frontend similaire)

Complément : Node.js, Redux, Cartographie : Mapbox , Stripe, react-admin

Tu es :
passionné(e) par le développement de produits.
Animé par le travail d’équipe, l’apprentissage et le partage de connaissances.
Une volonté de participer aux réflexions sur le produit et l'amélioration des process techniques.
Positif et enthousiaste, tu as de l’énergie à revendre et tu es toujours partant pour vivre une expérience hors du commun.
Rejoins la dreamteam Docavenue à Bordeaux !

Ce que nous t’offrons : - Rejoindre une véritable aventure innovante et visionnaire
Faire partie d’une équipe soudée et volontaire (#dreamteam),
Participer à la santé de demain en faisant de la e-santé notre futur quotidien,
Un programme d'onboarding qui te formera sur notre stratégie,
Pimenter ton quotidien de winner avec différents défis (et les récompenses qui vont avec !),
Participer aux événements organisés par Docavenue.
Détails du poste : - Poste à pourvoir en CDI (statut cadre),
Téléphone/ ordinateur,
Mutuelle,
Carte tickets restaurant,
Si tu es arrivé(e) jusque-là et que tu penses avoir l’étoffe de cet héros/héroïne : Rejoins-nous vite !"
4,https://www.indeed.fr/emplois?q=Developpeur%20Web%20full%20stack&l=Bordeaux&radius=100&limit=100&sort=date&vjk=9c8bc0d44cf9e490,"Développeur Full Stack H/F
MOONDA - Bordeaux (33)","['Bordeaux (33)', 'Temps plein, CDI', '30 000 € - 45 000 € par an']",Développeur Full Stack H/F,MOONDA,- Bordeaux (33),"Temps plein, CDI",30 000 € - 45 000 € par an,"il y a 11 jours
Signaler cette offre d'emploi",Developpeur Web full stack,Bordeaux,"MOONDA est une Digital Factory qui conçoit et développe des produits et services digitaux pour améliorer la performance de ses clients. MOONDA accompagne aussi bien les start-ups, les ETI que les grandes entreprises internationales dans leurs projets de Transformation Digitale, Data, IA et Innovation. Dans une démarche de co-construction, de l’atelier d’idéation au développement et à la promotion de leurs applications.
Dans le cadre du développement de son propre CMS, MOONDA recherche un développeur FullStack (H/F) afin d’agrandir son équipe d’édition logiciel.
Rejoins une équipe internationale et passionnée et contribues au développement du premier logiciel MOONDA.
Rejoins un processus agile , participes à l'organisation SCRUM (Sprints, Reviews, Poker planning, ...) et ajoutes ta pierre à l’édifice.
Tu maîtrises les technos suivantes:
HTML5, CSS3 ;
JavaScript, TypeScript, Node JS ;
Docker ;
Maîtrise du framework React.
Maîtrise des API REST et de l’intégration avec des services tiers ;
Bonnes connaissances en base de données (relationnelles et non-relationnelles) ;
Connaissance des standards Web ;
Connaissance de Git ;
Et…
Excellent niveau d’anglais ;
Capacité à rédiger les documentations techniques.
Les plus….
Préprocesseurs CSS (SCSS, SASS) ;
Connaissances en configuration serveur NginX ;
Méthodologie Test Driven Development.
Et si en plus ….
Tu as déjà travaillé avec un fournisseur Cloud AWS
Tu as déjà mis les mains dans un cluster Kubernetes ;
Tu fais de la veille techno régulière ;
Tu t’intéresses aux problématiques DevOps ;
Tu as un gros niveau au baby-foot !
Alors envoies nous ton cv à jobs[at]moonda.com ou passes nous voir directement place du palais !
Que dire sur nous ?
MOONDA est une agence digitale à taille humaine composé d’une équipe multiculturelle jeune et dynamique. Nous sommes situés à deux pas des quais, sur la place du palais. Une douche est également à disposition pour les sportifs qui voudraient nous rejoindre.
Nous vous proposons une rémunération attractive , accompagnée de tickets restaurants, de 50% des transports remboursés et d'une mutuelle santé. Le poste est évolutif et tiendra compte du niveau et du parcours du candidat.
Avantages :
Titre-restaurant / Panier
Participation au transport
Type d'emploi : Temps plein, CDI
Salaire : 30 000,00€ à 45 000,00€ /an"
5,https://www.indeed.fr/emplois?q=Developpeur%20Web%20full%20stack&l=Bordeaux&radius=100&limit=100&sort=date&vjk=e8a03a786bf8c722,"Développeur Web full stack java H/F
WeJOB - Le Haillan (33)","['Le Haillan (33)', '30 000 € par an']",Développeur Web full stack java H/F,WeJOB,- Le Haillan (33),30 000 € par an,30 000 € par an,"il y a 10 jours
Signaler cette offre d'emploi",Developpeur Web full stack,Bordeaux,"Développeur Web Java
Lieu de l’entreprise / Région de Bordeaux, France
Vous êtes développeur web et vous voulez vous épanouir dans votre métier ?
Vous recherchez une entreprise conviviale, dynamique et une communauté de professionnels passionnés ? Nous recherchons de nouveaux talents !
Rejoignez ainsi une équipe à taille humaine et dispose de toutes les expertises utiles à la construction et la mise en place des applications web et mobiles.
Nous recherchons en particulier actuellement des Développeurs Web Full Stack JAVA H/F en CDI.
Mission :
Développer et améliorer des systèmes informatiques, web et mobiles, répondant aux besoins des clients et utilisateurs par :
l’analyse des besoins, la recherche de solutions,
la participation à la conception
le développement de codes
la réalisation de tests, le débogage
la documentation
Aimer être polyvalent en traitant des besoins en front et en back-end, pour offrir des solutions de bout en bout en échangeant avec l’équipe projet
Participer à toutes les phases du projet et aimer travailler en équipe en mode Agile, notamment avec les web-designer spécialistes en UX et UI
Contribuer à la recherche et au développement interne de l’entreprise, en menant des projets, faisant des recommandations sur les technologies, comme les applicatifs ou les processus…
Profil :
De formation Bac +4/5 en informatique, ingénieur ou équivalent en cursus universitaire.
Vous êtes jeune diplômé ou avez jusqu’à trois ans d’expérience.
Vous êtes passionné par la technique et maîtrisez l’algorithmie.
Vous êtes curieux et aimez travailler avec des outils innovants et efficaces.
Vous aimez notamment travailler avec :
Langages : Java, javascript, kotlin ou équivalent
API / web services : REST
Plateformes de développement: Angular ou React
Système de gestion de Base de données NoSQL : MongoDB ou équivalent
Environnement : GIT
Pour réussir dans ce poste, vous aimez travailler en équipe et savez avancer en autonomie sur votre périmètre. Des notions d'anglais sont importantes pour intervenir sur des projets internationaux, lorsque nécessaire.
Nous vous proposons de conjuguer votre projet et vos compétences avec ceux d’une entreprise, qui saura vous permettre d’évoluer comme de vous former, gage de votre succès comme celui de l’entreprise.
Entreprise et vos avantages :
L’entreprise, qui se développe régulièrement depuis 10 ans, est une ESN managée par ses fondateurs, eux-mêmes passionnés de développement. Elle intervient sur l’intégralité du cycle de vie de ses clients et est soucieuse de leur offrir les meilleures prestations. Elle véhicule des valeurs en interne comme auprès de ses clients : la transparence, l’excellence, la cohésion et l'engagement.
Au delà, l’état d’esprit en interne, c’est la convivialité : les équipes aiment se retrouver autour de différentes activités, qui peuvent dépendent des affinités de chacun tant le sport, la musique que les afterworks ou les jeux vidéos.
Vous pourrez intégrer des locaux neufs à Bordeaux, accessibles en tram et disposerez d’un salaire et d’avantages attractifs :
Rémunération selon expérience
variable individuel selon performance
variable collectif
intéressement et PEE
tickets restaurant et mutuelle
Grâce à cet esprit d’entreprise, cette cohésion rare et aux évolutions proposées, vous rejoindrez une entreprise sans turnover !
Mon tel est le 06 13 61 19 26.
Type d'emploi : Temps plein
Salaire : 30 000,00€ /an"
6,https://www.indeed.fr/emplois?q=Developpeur%20Web%20full%20stack&l=Bordeaux&radius=100&limit=100&sort=date&vjk=07abc1c5c64f7f8f,"Développeur Mobile Expérimenté H/F - Bordeaux Mérignac
Forum Emploi-Formation-Alternance: Talents Handicap - Mérignac (33)","['Mérignac (33)', 'CDI']",Développeur Mobile Expérimenté H/F - Bordeaux Mérignac,Forum Emploi-Formation-Alternance: Talents Handicap,- Mérignac (33),CDI,null,"handicap-job.com - il y a 12 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Developpeur Web full stack,Bordeaux,"Capgemini Bordeaux / Mérignac

LE SAVIEZ VOUS ?

Un site à taille humaine
Un AIE, un Fab'Lab, un créative studio et des projets forts
Des solutions innovantes et sur mesure pour un accompagnement dans la transformation digitale de ses clients
Une spécialisatiion dans le développement de site web
Vous aimez ?

Délivrer des projets informatiques audacieux, innovants, et performants
Partager vos connaissances, vos convictions et vos idées
Répondre à des problématiques par des solutions simples
Créer, imaginer, challenger, tester, découvrir de nouvelles choses
Relever des défis technologiques
ALORS NOUS VOUS PROPOSONS:
d'avoir toutes les cartes en main pour choisir votre trajectoire de demain en étant accompagné et coaché
d'exprimer vos idées, qu'elles soient reconnues et utilisées
d'avoir la liberté de contribuer et de bénéficier aux diverses communautés :
DevOps,
Drupal,
Machine learning, foot, gaming, musique

Analyser l'existant avec les équipes métiers
Définir des spécifications fonctionnelles/techniques
Développer de nouvelles fonctionnalités Front (JavaScript, Angular.JS, React.JS, Vue.JS) et Back (Java, Node.JS)
Rédiger et d'exécuter les tests associés aux user stories
Proposer des améliorations sur la performance, l'ergonomie et les évolutions possibles
Accompagner nos clients"
7,https://www.indeed.fr/emplois?q=Developpeur%20Web%20full%20stack&l=Bordeaux&radius=100&limit=100&sort=date&vjk=6b9b8bdc0fa1efeb,"Développeur Full Stack – Export de Données H/F
AT Internet4 avis - Mérignac (33)","['Mérignac (33)', 'Temps plein, CDI']",Développeur Full Stack – Export de Données H/F,AT Internet,- Mérignac (33),"Temps plein, CDI",null,"il y a 18 jours
Signaler cette offre d'emploi",Developpeur Web full stack,Bordeaux,"Éditeur de logiciel Digital Analytics français et indépendant, AT Internet ne ressemble pas aux géants de notre industrie. Notre approche unique de l’Analytics, nos 200 collaborateurs et nos 20 années d’expérience nous ont portés jusqu’à atteindre l’excellence dans notre domaine. Nous revendiquons cette différence et sommes ravis d’avoir été nommé « Leader » du Web Analytics dans la dernière étude « The Forrester Wave™: Web Analytics, Q4 2017 ».
Résolument tournés vers l’international, nous cultivons la confiance, le sens du client, l’innovation permanente, l’intelligence collective ainsi que l’enthousiasme au sein de nos équipes.
Vous avez du talent et vous êtes passionné(e) par le digital ? Vous souhaitez travailler sur des projets qui façonneront le numérique de demain ? Lancez-vous dans une aventure humaine et rejoignez une entreprise unique, indépendante, où il fait bon travailler ! Nous sommes certifiés HappyAtWork pour la deuxième année avec une note de 4.28/5 !
Poste et missions :
Au sein de la Business Unit Data Management, vous participerez au développement de nos solutions d’exportations de données Digital Analytics. Dans ce contexte, votre mission consistera à :
Développer et maintenir les différents modules et applicationsen NodeJS / TypeScript / Angularde notre solution d’export de données (rapports et fichiers de données brutes et consolidées);
Participer à l’intégration de nouvelles technologies dans une architecture de micro-services cloud (AWS / Docker / Kubernetes) ;
Veiller avec l’équipe au maintien de l’intégration continue et de la garantie de la qualité du code (Git, Jenkins, Sonar) ;
Être force de proposition sur les solutions techniques et participer à leur conception en équipe.
Vous serez amené à travailler dans une équipe Scrum avec l’animation d’un Scrum Master dans une dynamique d’amélioration continue.
Environnement Technique *: *
– Environnement de développement : TypeScript, Node.js, Angular
– DevOps : Git,Jenkins, Docker
– Cloud AWS
Profil et compétences :
– De formation Bac+2 à Bac+5 en génie logiciel
– Une expérience de 2 ans en tant que développeur avec les langages NodeJS, Angular ou AngularJS
– Connaissance des principes de la conteneurisation
– La maitrise de Scala et/ou Spark serait un plus
– Vous êtes habitué(e) à travailler en intégration et déploiement continus
– Une expérience des méthodes agiles serait appréciée
– Anglais technique
Les avantages :
Mutuelle prise en charge à plus de 70% par AT Internet
Prévoyance
Télétravail
RTT
Parcours d’intégration
Excellente politique de formation
Communication directe avec les décideurs et membres du comité de direction
Prime de vacances
Indemnité vélo
Tickets restaurants
Tickets cadeaux
Fruits frais à disposition
Événements team building: déjeuners d’équipe, AT Summit, Ship-It day…
Comité d’entreprise : cinéma, loisirs, voyages
Équipes de sport AT Internet
Pack mobilité : recherche personnalisée de logements et aides dans les démarches administratives
Contrat : CDI à pouvoir immédiatement
Type d'emploi : Temps plein, CDI
Expérience:
développeur full stack – export de données h/f ou similaire: 1 an (Souhaité)"
8,https://www.indeed.fr/emplois?q=Developpeur%20Web%20full%20stack&l=Bordeaux&radius=100&limit=100&sort=date&vjk=7441197ba2c55285,"Développeur PHP Symfony (F/H)
Volt Europe - Bordeaux (33)","['Bordeaux (33)', 'CDI', '42 000 € par an']",Développeur PHP Symfony (F/H),Volt Europe,- Bordeaux (33),CDI,42 000 € par an,"il y a 19 jours
Signaler cette offre d'emploi",Developpeur Web full stack,Bordeaux,"Nous recherchons pour notre client FINAL en pleine croissance, un profil PHP Full-Stack pour intervenir sur un projet de harmonisation des outils au sein du SI.
Vous rejoindrez une équipe et travaillerez en collaboration sur des projets complexes et challengeants.
Vos responsabilités :
Concevoir les solutions techniques répondant aux besoins et évolutions,
Participer à l'évolution de l'architecture système, l'API, et à la scalabilité du produit
Vous rejoindrez une équipe expérimentée tout en travaillant dans un environnement Agile qui combine la souplesse d'une start-up à l'expertise d'une société renommée au niveau international.
Profil:
N'hésitez plus et venez rejoindre un environnement de travail dynamique et motivant, vous aurez la possibilité d'évoluer et de mettre en pratique vos compétences en développement Web.
Nous recherchons une personne autonome à l’aise avec la technique et notamment sur:
Langage PHP 7
Framework Symfony 3
Outils pour la qualité du code
Idéalement l'expérience utilisateur
Dans un premier temps la personne travaillera en full time remote en collaboration avec les équipes sur Paris, pour ensuite participer activement au développement du futur bureau Bordelais.
Type d'emploi : CDI
Salaire : 42 000,00€ /an
Expérience:
Développeur PHP: 2 ans (Requis)
Langue:
Anglais (Souhaité)"
9,https://www.indeed.fr/emplois?q=Developpeur%20Web%20full%20stack&l=Bordeaux&radius=100&limit=100&sort=date&vjk=dc2aaf8c5f056a6e,"Développeur JAVA H/F
HAYS - Bordeaux (33)
A répondu à 51 %-74 % des candidatures des 30 derniers jours, généralement en 4 jours.","['Bordeaux (33)', 'CDI', '32 000 € - 38 000 € par an']",Développeur JAVA H/F,HAYS,- Bordeaux (33),CDI,32 000 € - 38 000 € par an,"il y a 14 jours
Signaler cette offre d'emploi",Developpeur Web full stack,Bordeaux,"Notre client est une structure à taille humaine intervenant auprès d’une clientèle large sur des projets au forfait de développement d’applications sur-mesure. Une activité complémentaire d’édition de logiciel vient enrichir le panel de services offert par notre client. La forte croissance de l’antenne bordelaise nécessite l’intégration de nouveaux collaborateurs. Nous recherchons pour son compte des Développeurs Java full stack.
Intégré au sein d’une équipe de développement, vous intervenez sur divers projets clients : CRM, Cloud, Web sémantique, Big Data, Blockchain. Vous travaillez en mode agile et utilisez les dernières technologies (Java, JEE, JavaScript, Hibernate, Spring, Angular.js, JUnit, Git, Jenkins…).
De formation supérieure en informatique, vous disposez d’au moins 1 an d’expérience en entreprise (ou 2 ans d’alternance). A l’aise en environnement Java, vous souhaitez monter en compétence sur des projets d’envergure.
Type d'emploi : CDI
Salaire : 32 000,00€ à 38 000,00€ /an
Expérience:
développeur java h/f ou similaire: 1 an (Souhaité)"
