,id,meta1,meta2,titre_poste,entreprise,localisation,contrat,salaire,date_publication,keyword_metier,keyword_localisation,description
0,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%23&l=Bordeaux&radius=100&limit=100&sort=date&vjk=d8f5809ed71f9dc6,"RESPONSABLE DE SERVICE INFORMATIQUE H/F
GESTFORM22 avis - Mérignac (33)","['Mérignac (33)', 'CDI', '45 000 € par an']",RESPONSABLE DE SERVICE INFORMATIQUE H/F,GESTFORM,- Mérignac (33),CDI,45 000 € par an,"il y a 2 jours
Signaler cette offre d'emploi",Développeur C#,Bordeaux,"Nous recherchons un (e) RESPONSABLE DE SERVICE INFORMATIQUE H/F
Poste CDI à Temps complet – Statut Cadre
Lieu de travail : Mérignac (33)
Votre mission :
Rattaché(e) au Directeur Général, vous assurez la gestion du pôle informatique dans le cadre de la stratégie SI de Gestform. Vous êtes garant des prestations informatiques produites en qualité et sécurité dans le respect du budget.
Vous encadrez et animez les équipes Exploitation Maintenance Réseaux Informatique, Développeurs et Chefs de projet (environ une 20aine de personnes).
Vous pilotez les projets d’infrastructure, les projets de développement, pour l’ensemble de Gestform (4 sites) dans le respect des procédures qualité et SSI. Cela comprend entre autres le plan de charge, l’organisation, la coordination, la gestion financière, l’application, le suivi, la validation, le reporting, l’amélioration continue, ….
Vous assurez la veille technologique et êtes force de proposition des évolutions du SI dans le cadre de la stratégie de développement de Gestform.
Cette description prend en compte les principales responsabilités ; elle n'est pas limitative.
Votre Profil :
De formation supérieure en Informatique, vous avez une expérience significative dans un poste similaire.
Vous possédez de bonnes connaissances dans le domaine informatique : méthodologie (AGILE, ITIL , LEAN IT), concept base de données, de développement, systèmes d’exploitation (Windows, Linux), programmes (C#...), Administration des Bases de Données (SQLserver), SSI (ISO 27001).
Reconnu(e ) pour vos qualités de manager et de gestionnaire, vous possédez de bonnes qualités relationnelles et le sens du service.
Fiable, pragmatique et flexible, votre capacité d'immersion dans un opérationnel quotidien, votre aptitude à anticiper les évolutions technologiques, à trouver des solutions ainsi que votre sens des responsabilités seront des atouts pour réussir à ce poste.
Rémunération 45 000€ bruts annuels sur 12 mois
D’autres avantages vous attendent :
Parcours d’intégration personnalisé
Solide Politique de formation (formations produits interne, accompagnement personnalisé formations techniques, développement, externe/interne...)
Horaires 36 heures par semaine du Lundi au Vendredi
Intéressement
Mutuelle d'entreprise
Abondement épargne salariale (PEE et PERCO)
Comité d’entreprise
Vous souhaitez vivre une expérience à la fois humaine et valorisante, dans un environnement stimulant? Rejoignez-nous !
GESTFORM, Entreprise Adaptée, prestataire de services de gestion documentaire numérique et de sous-traitance administrative auprès de Grands Comptes prestigieux (Airbus, EDF, Thalès …), allie depuis 30 ans performance économique et valeurs humaines.
GESTFORM, c'est 400 salariés répartis sur 3 sites, Paris-Bordeaux-Toulouse et une volonté de placer l’innovation et l’amélioration continue au cœur de notre fonctionnement.
Nous proposons des services innovants et investissons dans la performance sociale, le dialogue, le développement des compétences.
Depuis son origine en 1986, GESTFORM s’est attachée à promouvoir des valeurs telles que : le Respect, la Loyauté, la Confiance, la Satisfaction Clients et l’Exigence.
Vous souhaitez en savoir plus sur GESTFORM ? Rendez-vous sur notre site : http://www.gestform.com/
Vous pouvez également nous suivre sur :
LinkedIn : https://fr.linkedin.com/company/gestform
Twitter : https://twitter.com/gestform
Facebook : https://www.facebook.com/GestformEntrepriseAdaptee/
Type d'emploi : CDI
Salaire : 45 000,00€ /an
Expérience:
responsable de service informatique h/f ou similaire: 5 ans (Souhaité)"
1,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%23&l=Bordeaux&radius=100&limit=100&sort=date&vjk=406e0aeb10a98433,"Développeur Web / Sharepoint H/F
eCom CS ATLANTIQUE - Bordeaux (33)",['Bordeaux (33)'],Développeur Web / Sharepoint H/F,eCom CS ATLANTIQUE,- Bordeaux (33),null,null,"il y a 2 jours
Signaler cette offre d'emploi",Développeur C#,Bordeaux,"eCom CS ATLANTIQUE est une SSII spécialisée messagerie, travail collaboratif et réseaux sociaux d’entreprise. Nous recrutons un(e) Développeur sur les technologies Web Sharepoint On Line.
Vous travaillerez au sein de notre Centre de Services à la réalisation de projets collaboratifs pour nos clients finaux.
Dans un environnement dynamique et constructif, vous prendrez part, en équipe,à différents projets qui vous permettront de vous confronter à des activités,méthodes et technologies variées.
Le poste est basé à BORDEAUX.
Mission :
Conception et développement de solution collaborative SharePointOnLine, Flow, PowerApps
Maintenance des applications existantes,
Analyse fonctionnelle et technique,
Apporter l’expertise sur le choix des solutions : conception technique et choix d’outils pour atteindre l’objectif défini avec nos Clients,
Élaboration des documents techniques (manuel technique, dossier d’exploitation, d’administration, d’installation).
Profil recherché :
Ingénieur, formation BTS ou IUT, possédant les qualités suivantes :
Travail en équipe
Autonomie, gestion de son temps et des priorités
Qualités relationnelles et de service
Rigueur et respect des consignes
Curiosité et volonté de s’adapter aux évolutions technologiques
Anglais : compréhension écrite et orale
Compétences requises :
Office 365 SharepointOn Line, Flow, PowerApps
Développement : HTML, CSS, Responsive Design
Langages: Powershell, Javascript
Compétences supplémentaires mais non indispensables : ensemble du portfolio Office365, Visual Studio 2012, PowerBI, Java, J2E, Angular, Knockout, C#, NodeJS, JQuery, API REST, Typescript, SharePoint Framework
Type d'emploi : Temps plein
Expérience:
développeur web / sharepoint h/f ou similaire: 1 an (Souhaité)
Formation:
Bac +2 (BTS, DUT, DEUG) (Requis)
Langue:
anglais (Requis)"
2,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%23&l=Bordeaux&radius=100&limit=100&sort=date&vjk=5fb95a5c32050950,"DÉVELOPPEUR MICROSOFT C# .NET @BORDEAUX
Urban Linker - Bordeaux (33)","['Bordeaux (33)', 'CDI']",DÉVELOPPEUR MICROSOFT C# .NET @BORDEAUX,Urban Linker,- Bordeaux (33),CDI,null,"il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur C#,Bordeaux,"DESCRIPTIF DE LA SOCIETE
Startup rentable en pleine explosion, notre client à de très grosse ambitions pour les années à venir. Au sein des effectifs, le niveau technique, mais aussi la bienveillance et l’échange sont de rigueur pour mener à bien les ambitieux projet mis au point par les équipes.
DESCRIPTION
POSTE
Au sein d’une équipe technique de 12 personnes (agile), vous participerez au développement des nouvelles fonctionnalités en liaison directe avec le CTO :
Développement en cycle agiles sur des projets internes ou B2B
Mise en place de tests techniques
Amélioration et optimisations des fonctionnalités existantes
PACKAGE
Rémunération selon profil + TR + Mutuelle + RTT
LES +
Accompagnement personnalisé
Management collaboratif
PROFIL RECHERCHE
Avec une première expérience conséquente en C#.NET MVC d’environ 2-3 ans, tu es autonome, rigoureux et souhaite accompagner les plus juniors. Tu as déjà travaillé en cycles agiles ou du moins cette méthode de travail t’intéresse ? N’hésite plus !
#.NET"
3,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%23&l=Bordeaux&radius=100&limit=100&sort=date&vjk=0fab197d77672e97,"RESPONSABLE DE SERVICE INFORMATIQUE F/H
GESTFORM22 avis - Mérignac (33)","['Mérignac (33)', 'CDI']",RESPONSABLE DE SERVICE INFORMATIQUE F/H,GESTFORM,- Mérignac (33),CDI,null,"Apec.fr - il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur C#,Bordeaux,"Rattaché(e) au Directeur Général, vous assurez la gestion du pôle informatique dans le cadre de la stratégie SI de Gestform. Vous êtes garant des prestations informatiques produites en qualité et sécurité dans le respect du budget.

Vous encadrez et animez les équipes Exploitation Maintenance Réseaux Informatique, Développeurs et Chefs de projet (environ une 20aine de personnes).

Vous pilotez les projets d’infrastructure, les projets de développement, pour l’ensemble de Gestform (4 sites) dans le respect des procédures qualité et SSI. Cela comprend entre autres le plan de charge, l’organisation, la coordination, la gestion financière, l’application, le suivi, la validation, le reporting, l’amélioration continue, ….

Vous assurez la veille technologique et êtes force de proposition des évolutions du SI dans le cadre de la stratégie de développement de Gestform.

Cette description prend en compte les principales responsabilités ; elle n'est pas limitative.
Profil recherché De formation supérieure en Informatique, vous avez une expérience significative dans un poste similaire.

Vous possédez de bonnes connaissances dans le domaine informatique : méthodologie (AGILE, ITIL , LEAN IT), concept base de données, de développement, systèmes d’exploitation (Windows, Linux), programmes (C#...), Administration des Bases de Données (SQLserver), SSI (ISO 27001).

Reconnu(e ) pour vos qualités de manager et de gestionnaire, vous possédez de bonnes qualités relationnelles et le sens du service.

Fiable, pragmatique et flexible, votre capacité d'immersion dans un opérationnel quotidien, votre aptitude à anticiper les évolutions technologiques, à trouver des solutions ainsi que votre sens des responsabilités seront des atouts pour réussir à ce poste.

D’autres

avantages

vous attendent :
Parcours d’intégration personnalisé
Solide Politique de formation (formations produits interne, accompagnement personnalisé formations techniques, développement, externe/interne...)
Intéressement
Mutuelle d'entreprise
Abondement épargne salariale (PEE et PERCO)
Comité d’entreprise
Vous souhaitez vivre une expérience à la fois humaine et valorisante, dans un environnement stimulant? Rejoignez-nous !
Entreprise Vous souhaitez intégrer une entreprise qui mise autant sur les valeurs humaines que sur les valeurs économiques ? Choisissez GESTFORM !

Entreprise Adaptée, prestataire de services de gestion documentaire numérique et de sous-traitance administrative auprès de Grands Comptes prestigieux (Airbus, EDF, Thalès …), GESTFORM allie depuis 30 ans performance économique et valeurs humaines.

GESTFORM, c'est 400 salariés répartis sur 3 sites, Paris-Bordeaux-Toulouse et une volonté de placer l’innovation et l’amélioration continue au cœur de notre fonctionnement.

Nous proposons des services innovants et investissons dans la performance sociale, le dialogue, le développement des compétences.

Depuis son origine en 1986, GESTFORM s’est attachée à promouvoir des valeurs telles que : le Respect, la Loyauté, la Confiance, la Satisfaction Clients et l’Exigence."
4,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%23&l=Bordeaux&radius=100&limit=100&sort=date&vjk=eb9d8ab7a4087600,"Leader Technique / Freelance
Freelance.com - Bordeaux (33)","['Bordeaux (33)', 'Temps plein, Freelance / Indépendant']",Leader Technique / Freelance,Freelance.com,- Bordeaux (33),"Temps plein, Freelance / Indépendant",null,"Freelance-info - il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur C#,Bordeaux,"Fonction recherchée : Leader Technique

Prestations à réaliser :
Au sein d’une équipe dynamique et pluridisciplinaire vous participez aux évolutions de l’activité e-commerce de la Marketplace de Cdiscount.

De la présentation du produit aux clients à l’expédition d’un colis en passant par la prise de commande, vos compétences vous permettront d’appréhender rapidement les challenges du quotidien.

D’une grande autonomie et capable d’assimiler rapidement des concepts et des problématiques fonctionnelles, votre expertise vous permet de participer activement à l’évolution technique pérenne des composants du système afin de répondre aux exigences fonctionnelles.

Aussi, vous êtes force de proposition et capable d’apporter un regard critique sur les solutions existantes et déterminer le cap des évolutions à venir.

En intégrant l’équipe, vous serez amené à participer à la croissance des applications Cdiscount dans leur ensemble.

Votre mission constituera à participer :
Cadrage technique en phase de conception fonctionnelle
Conception technique préliminaire
Prise en charge directe des aspects les plus complexes
Encadrement des développeurs mobilisés sur le projet
Exécution de la recette technique
Rédaction de la documentation technique
Une expérience significative est exigée dans les technologies suivantes :
.Net/C#
SQL (T-SQL)
Vos compétences à assimiler les besoins métiers, à analyser et à traduire cela en composantes techniques vous permettront de mener à bien les différents sujets qui vous seront confiés.

Plusieurs postes à pourvoir au sein d’équipes travaillant selon les méthodes Scrum et Kanban.

Les organisations en place impliquent d’être polyvalent/curieux techniquement et de communiquer régulièrement (points quotidien, avec le client métier et avec les autres équipes techniques).

Nombre de profils : 3
Date de début des prestations : ASAP
Date de fin des prestations : 31/03/2020

Commentaires :
Forte culture technique orientée sur les technologies Microsoft (.Net/SQL)
Expérience significative dans une fonction similaire
Sens du service, de la performance, de la production
Rigueur et flexibilité
Excellente communication écrite et orale (pilotage de développeurs OffShore possible)
Capacité d’apprentissage et autonomie
Capacité à prendre du recul sur son travail
Détail des compétences techniques requises :
Junior (- 2 ans d’expérience)
TFS
.Net Core
Confirmé (2-5 ans d’expérience)
Conception technique / Architecture SI
Qualité de code
SQL / SQL Server
Expert (+ 5 ans d’expérience)
.Net / C#
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
Réponse attendue par mail avec votre CV actualisé et détaillé au format WORD, votre TJM et votre date de disponibilité.
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -"
5,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%23&l=Bordeaux&radius=100&limit=100&sort=date&vjk=054baf5d3426780b,"Stage développeur C# H/F (6mois)
Weenove - Bordeaux (33)","['Bordeaux (33)', 'Stage', '551 € par mois']",Stage développeur C# H/F (6mois),Weenove,- Bordeaux (33),Stage,551 € par mois,"il y a 3 jours
Signaler cette offre d'emploi",Développeur C#,Bordeaux,"L’entreprise :
Weenove (www.weenove.fr) est une start-up bordelaise, éditrice de logiciels, spécialisée en Business Intelligence, marché en pleine explosion. Weenove brise les codes traditionnels du secteur via une approche innovante du décisionnel avec son outil de visualisation de données, Biwee. En seulement quelques heures, nos clients bénéficient de tableaux de bord personnalisés et connectés en direct sur leurs logiciels, fichiers ou encore leurs sites Internet afin de libérer le potentiel de leurs données.
Vous avez le goût du challenge et souhaitez accompagner Weenove dans son développement. Intégrez une équipe dynamique de 10 personnes dans un cadre privilégié aux chartrons.
Au sein de l’équipe de développement, vous participerez à l’étude et au développement de nouvelles fonctionnalités innovantes à forte valeur ajoutée pour notre logiciel Biwee.
Vos missions:
Vous participerez à la conception et au développement d’un logiciel dans le décisionnel en C#. L’application est construite selon une architecture N-Tiers. Elle utilise les dernières technologies Microsoft (Entity Framework, WPF, WCF, Microsoft Azure, ASP.Net, etc…).
Votre profil :
Vous recherchez un stage dynamique, à responsabilité et où vous travaillerez en autonomie. Curieux (se), dynamique, positif (ve), vous avez le contact facile et le sens de l’écoute. Vous êtes force de proposition et avez le sens du travail en équipe.
Compétences attendues :
C#, .NET
Compétences facultatives :
Méthodes agiles
Linq, Entity Framework
Base de données
Type d'emploi : Stage
Salaire : 551,25€ /mois
Expérience:
stage développeur c# h/f (6mois) ou similaire: 1 an (Souhaité)
Formation:
Bac +2 (BTS, DUT, DEUG) (Requis)"
6,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%23&l=Bordeaux&radius=100&limit=100&sort=date&vjk=c83efe2d3f458ea5,"Développeur C#.net H/F
Extia25 avis - Bordeaux (33)","['Bordeaux (33)', 'CDI']",Développeur C#.net H/F,Extia,- Bordeaux (33),CDI,null,"il y a 3 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur C#,Bordeaux,"D'abord qui,
Curieux et impliqué, vous aimez relever de nouveaux challenges
Vous savez travailler en équipe et faire preuve d'initiatives
Les technologies Microsoft n'ont aucun secret pour vous
Ensuite quoi !
Au sein d'une équipe de développeurs passionné(e)s, comme vous, les missions qui vous seront confiées sont :
la conception
le développement d’interfaces avec WPF et développement en C#
la réalisation des tests unitaires et d'intégration
la correction d’anomalies éventuelles.
Profil recherché
De formation ingénieur ou universitaire (Bac+5 minimum), vous disposez d’au moins 3 ans, en tant qu’ingénieur développement sur des technologies Microsoft (.net, C# et ASP.net).
Passionné(e) par des projets de grande envergure, vous avez le goût du challenge et l’esprit d’équipe.
Postulez à l'adresse ahays@extia.fr ! #LI-AHA"
7,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%23&l=Bordeaux&radius=100&limit=100&sort=date&vjk=4bc9db4e31f34ab9,"DEVELOPPEUR(EUSE)
Alliance Forests Bois - Cestas (33)","['Cestas (33)', 'CDI']",DEVELOPPEUR(EUSE),Alliance Forests Bois,- Cestas (33),CDI,null,"il y a 3 jours
Signaler cette offre d'emploi",Développeur C#,Bordeaux,"Annonce n°031
Type de poste : Developpeur(euse)
Type de contrat : CDI
Poste basé à : Cestas Pierroton (33)

Description du poste & missions :
La société :
S.DIGIT est une SSII destinée aux entreprises qui offre un large choix de services et de produits parfaitement adaptés aux exigences de ses clients.

Nous sommes spécialisés dans les solutions intégrées et constamment présents pour épauler et conseiller avec compétence et professionnalisme nos clients Architectes de solutions personnalisées et innovantes, nous accompagnons nos clients dans toutes les phases de leurs projets technologiques.

Historiquement tournée vers les domaines de l’aménagement territorial et de la forêt, notre société a su faire évoluer ses ressources et capitaliser son expérience en ingénierie informatique, S.I.G. et administration réseaux pour assurer à nos clients un service global ou une expertise ciblée, orientée vers leurs besoins et leur budget.

La diversité de nos compétences associée à une expérience de plus de 30 ans dans les systèmes d’information nous permet de répondre à toutes demandes.

Au sein de l’équipe de développement, vous aurez en charge :
Concevoir et développer de nouvelles fonctionnalités
Assurer la maintenance applicative
Rédiger des documentations techniques

Nous évoluons sur les technos suivantes :
Microsoft .Net C#, SQL Server, Visual Studio 2017, TFS 2018, Entity Framework, Delphi
Desktop : WPF, MVVM
Backend : .net Core 2.x, API Rest
Frontend : Angular 5+, Typescript, HTML 5, CSS
Mobile : Cordova



Profil recherché :
De formation supérieure en informatique, vous justifiez d’une expérience réussie d’au moins 2 ans.

Vous maîtrisez l’environnement C# / .Net.
Vous êtes passionné(e) par les nouvelles technologies, faites preuve d’autonomie et de rigueur. Vous avez de bonnes capacités d'adaptation, l’esprit d'équipe et des capacités d'analyse et de synthèse.

Salaire :
Classification et salaire : selon expérience.
Poste à pourvoir dès que possible.

Candidature :
Les candidatures (CV + lettre de motivation) sont à adresser par email à Mr Cyril FILIPUZZI – Directeur - (cyril.filipuzzi@sdigit.fr) et en copie au service des ressources humaines : recrutement@alliancefb.fr."
8,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%23&l=Bordeaux&radius=100&limit=100&sort=date&vjk=82768e48274f4cfc,"INGÉNIEUR LOGICIEL H/F
Joblink32 avis - Pessac (33)","['Pessac (33)', 'CDI', '32 000 € - 45 000 € par an']",INGÉNIEUR LOGICIEL H/F,Joblink,- Pessac (33),CDI,32 000 € - 45 000 € par an,"il y a 3 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur C#,Bordeaux,"Notre Client est une PME spécialisée dans la conception, la fabrication et la vente en France et à l'international de solutions à forte valeur ajoutée dans le secteur de l'optronique, de l'électronique et du logiciel.
Dans le cadre de leur développement produits et applications clients, nous recherchons Un Ingénieur Développement Logiciel H/F pour un CDI à Bordeaux.
Rattaché (e) à la direction des Opérations, vos missions seront les suivantes :
Vous développez les logiciels de leurs gammes de produits ou de leurs applications clients,
Ainsi vous prenez en charge la maintenance logicielle des produits : corriger les anomalies dans la phase de garantie et développer les améliorations retenues dans la vie du produit,
Nous nous attacherons à la capacité du développeur d'agir sur toute la verticalité des produits, des couches basses proches de l'électronique jusqu'aux couches hautes d'interface utilisateur graphique, en passant par les couches systèmes et fonctionnelles,
La valeur des réalisations est dans la rapidité d'exécution pour respecter les jalons des projets et dans la qualité des développements pour satisfaire aux attentes clients.
Autres missions qui seront demandées dans ce poste :
Analyser fonctionnellement et en détails les besoins clients et utilisateurs,
Participer à la rédaction des cahiers des charges,
Rédiger les spécifications techniques avec chiffrages associés,
Définir les architectures logicielles et systèmes,
Valider, recetter et tester les développements réalisés et les solutions livrées,
Définir les solutions de déploiement,
Rédiger la documentation utilisateur,
Participer activement au support client
Compétences techniques :
Maitrise parfaite des langages de programmation C#/C++/C
Des connaissances traitements d'images et traitements parallèles seraient un plus

Informations complémentaires :
CDI à pourvoir dès que possible
Package: selon profil
Intéressement, participation, mutuelle offerte par entreprise, tickets restaurant
2019-10-03
Profil
Formation supérieure en informatique BAC+4/5 (génie logiciel),
Junior en tant qu'ingénieur en développement logiciel,
Votre anglais est irréprochable autant dans la rédaction que dans la communication (une 3ème langue serait appréciée),
Forte qualité relationnelle et bon niveau de communication pour travail en équipe interne, avec des partenaires et des clients,
Vous disposez d'une bonne organisation, vous êtes méthodique et rigoureux,
Vous avez un goût prononcé pour les nouvelles technologies,
Ouvert, transparent, motivé, intègre, sont toutes les qualités requises pour réussir sur ce poste !
Si vous vous reconnaissez dans cette offre alors transmettez nous votre candidature à l'adresse suivante : cvonarx@joblink.fr"
9,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%23&l=Bordeaux&radius=100&limit=100&sort=date&vjk=260f29880680b9b6,"Lead Tech .Net / Freelance
Freelance.com - Bordeaux (33)","['Bordeaux (33)', 'Temps plein, Freelance / Indépendant']",Lead Tech .Net / Freelance,Freelance.com,- Bordeaux (33),"Temps plein, Freelance / Indépendant",null,"Freelance-info - il y a 4 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur C#,Bordeaux,"Poste recherché : Leader technique .Net

Contexte de la mission :
Au sein du département de lutte contre la fraude (authentification, identification des fraudeurs), nous sommes à la recherche d’un Lead Tech .Net pour intervenir sur le projet et apporter son expérience.

Objectifs de la mission et tâches :
1/3 de développement
1/3 de conception, architecture et réflexion
1/3 de coaching pour les développeurs sur place ainsi que les développeurs en offshore au Maroc
Le Lead Tech est le garant du bon déroulement des développements dans l’équipe, nous recherchons une personne ouverte d’esprit, qui aime travailler en équipe et proposer des nouveautés.

Livrables :
Développements
Revues de code
Coaching des équipes, conseil
Documentations
Compétences requises :
.Net : expert
C# : expert
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
Réponse attendue par mail avec votre CV actualisé et détaillé au format WORD, votre TJM et votre date de disponibilité.
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -"
