,id,meta1,meta2,titre_poste,entreprise,localisation,contrat,salaire,date_publication,keyword_metier,keyword_localisation,description
0,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%2B%2B&l=Bordeaux&radius=100&limit=100&sort=date&vjk=241c9a492e5e511d,"Développeur C++ F/H
ALLTECH NOUVELLE AQUITAINE - Bordeaux (33)","['Bordeaux (33)', 'CDI']",Développeur C++ F/H,ALLTECH NOUVELLE AQUITAINE,- Bordeaux (33),CDI,null,"Apec.fr - il y a 18 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur C++,Bordeaux,"Dans le cadre de son fort développement, le groupe Alltech recherche un Ingénieur en développement C++ H/F pour un de ses client basé sur Bordeaux.

Directement sous la conduite du chef de projet, vous avez pour mission :

Étude du besoin

Définition et design d’architecture

Qualification de la solution

Implémentation de la solution

Organisation du déploiement

Formation et assistance aux utilisateurs
Profil recherché Vous êtes diplômé d’un bac + 5 en informatique ou vous détenez une expérience réussie d'au minimum 2 ans sur un poste similaire.

Vous disposez de solides compétences dans la conception et le développement en environnement C++ 11 (et +), CMake et autres toolchains.

Une première expérience sur Android et/ou iOS, Kotlin/Native sera appréciée
Entreprise Pour le groupe Alltech, le point de départ importe peu, seul le chemin compte…

Votre job ?

L’implication, le sérieux, l’ambition.

Notre job ?

Répondre à vos attentes et faire évoluer votre carrière. Chez nous, le client c’est VOUS !"
1,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%2B%2B&l=Bordeaux&radius=100&limit=100&sort=date&vjk=d9af045f34a361a4,"Ingénieur Développement Logiciel F/H
I2S-VISION - Pessac (33)","['Pessac (33)', 'CDI']",Ingénieur Développement Logiciel F/H,I2S-VISION,- Pessac (33),CDI,null,"Apec.fr - il y a 19 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur C++,Bordeaux,"Votre mission première sera de :
Développer les logiciels de nos gammes de produits i2S ou de nos applications clients

Prendre en charge la maintenance logicielle des produits : corriger les anomalies dans la phase de garantie et développer les améliorations retenues dans la vie du produit

Nous nous attacherons à la capacité du développeur d'agir sur toute la verticalité des produits, des couches basses proches de l'électronique jusqu'aux couches hautes d'interface utilisateur graphique, en passant par les couches systèmes et fonctionnelles.

La valeur des réalisations est dans la rapidité d'exécution pour respecter les jalons des projets et dans la qualité des développements pour satisfaire aux attentes clients.

D'autres missions vous seront demandées dans ce poste comme :
Analyser fonctionnellement et en détails les besoins clients et utilisateurs

Participer à la rédaction des cahiers des charges

Rédiger les spécifications techniques avec chiffrages associés

Participer activement au support client

Définir les architectures logicielles et systèmes

Valider, recetter et tester les développements réalisés et les solutions livrées

Définir les solutions de déploiement

Rédiger la documentation utilisateur
Profil recherché Vous maitrisez des langages de programmation C++/C

Vous avez des connaissances solides de l’environnement .NET C#

Environnement de développement

Langages : C++, C#, C

Système d’exploitation : Windows

SVN, Visual Studio

Vous avez des connaissances dans l’un de ces domaines est un + :

Connaissance en traitement d’image et en prise d’image

Traitements parallèles, GPU

Traitements distribués

Anglais obligatoire : savoir impérativement rédiger et communiquer en anglais
Entreprise i2S est une PME spécialisée dans la conception, la fabrication et la vente en France et à l'international de solutions à forte valeur ajoutée dans le secteur de l'optronique, de l'électronique et du logiciel.

Des compétences reconnues dans le domaine de la vision industrielle et de la numérisation patrimoniale à forte valeur ajoutée, des expertises en vision adaptées aux métiers de chaque client

L’innovation au service de la capture et du traitement d’image pour des applications de vision intégrée et augmentée.

Un savoir-faire spécialisé pour atteindre la meilleure qualité d’image, donnant corps à la couleur, la forme, la texture et la densité.

L’exploration de l’infiniment petit, l’infiniment loin, à travers la matière, en conditions extrêmes."
2,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%2B%2B&l=Bordeaux&radius=100&limit=100&sort=date&vjk=3a618927f4597b36,"Lead Développeur / Architecte C++ H/F
Certis therapeutics - Pessac (33)","['Pessac (33)', 'Temps plein, CDI', '45 000 € - 66 000 € par an']",Lead Développeur / Architecte C++ H/F,Certis therapeutics,- Pessac (33),"Temps plein, CDI",45 000 € - 66 000 € par an,"il y a 4 jours
Signaler cette offre d'emploi",Développeur C++,Bordeaux,"Mission
Dans le cadre du démarrage de ses activités industrielles la société souhaite recruter un lead développeur / Architecte C++ pour structurer et diriger ses développements logiciels :
- Définir et faire évoluer une architecture logicielle intégrant des modules de calculs en temps réel, communication entre plusieurs équipements, interface utilisateur
- Mettre en place et garantir le suivi de bonnes pratiques de développement
- Définir avec la direction et piloter les plannings de développement
- Participer aux développements
- Encadrer une équipe de 2 à 5 développeurs
Profil
Ingénieur Développement Confirmé avec au minimum 7 ans d'expériences en C++
Autonomie, pédagogie, esprit d'analyse et bon relationnel
Compétences requises
Environnement Linux / Windows
Expérience des contraintes temps réel
C++17
TCP/IP - websockets
GIT
Anglais technique et rédactionnel
Compétences appréciées
Docker
GitLab
Python
CUDA
ITK / VTK, 3D Slicer
Avantages :
Participation au transport
Type d'emploi : Temps plein, CDI
Salaire : 45 000,00€ à 66 000,00€ /an
Expérience:
développeur C++: 7 ans (Requis)"
3,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%2B%2B&l=Bordeaux&radius=100&limit=100&sort=date&vjk=a6054dd2aef0a118,"Ingénieur Développeur logiciel embarqué H/F
CS Communication & Systèmes2 avis - Bordeaux (33)","['Bordeaux (33)', 'CDI']",Ingénieur Développeur logiciel embarqué H/F,CS Communication & Systèmes,- Bordeaux (33),CDI,null,"il y a 5 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur C++,Bordeaux,"DESCRIPTION DE L'OFFRE
Afin de répondre aux nouveaux enjeux majeurs de ses clients, le département Aquitaine de CS recherche d'un Développeur logiciel embarqué (H/F) pour renforcer ses équipes.
Votre mission sera d’intégrer l’une de nos équipes projet et de prendre part à ses activités de conception logicielle, de développement et de validation des produits aéronautiques, sur calculateurs embarqués, dans le respect de la norme de sureté DO178.

PROFIL REQUIS
Diplômé d'une école d'Ingénieur (Bac +5) ou Master 2 orienté informatique, vous bénéficiez d’une première expérience concluante ou d’une alternance représentative.
De plus, vous disposez d'une bonne culture de la programmation et de connaissances solides en développement logiciel.

Vous disposez des compétences suivantes:
Langages : C / C++ ;
Plateformes : Windows, Linux.

La connaissance de l'environnement de développement SCADE et de l'environnement de spécification DOORS seraient un plus.
La connaissance de l'IHM QT sera appréciée.

Autonome et doté d'un excellent relationnel, vous avez l'esprit d’équipe et le sens du service. Votre capacité à travailler sur différents projets est l'un de vos atouts.
Vous êtes capable de vous exprimer en anglais à l’écrit comme à l’oral.

CS en quelques mots ?
CS est un concepteur, intégrateur et opérateur de systèmes d’information et de communication critiques.
En proposant des solutions innovantes dans les domaines de la cyber sécurité, des systèmes sûrs industriels et embarqués, de la continuité numérique et de la gestion de crise et de la surveillance de zones, CS a su s’imposer en tant que partenaire privilégié pour les acteurs des secteurs de la Défense et de la Sécurité, du Spatial, de l’Aéronautique et de l’Energie. (www.c-s.fr)

Rejoignez-nous pour mettre en valeur vos qualités et nous accompagner dans la réussite de nos projets !"
4,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%2B%2B&l=Bordeaux&radius=100&limit=100&sort=date&vjk=914843e31e239978,"Stage BAC+5 - Développeur pour simulateur (Cabin system) H/F
Thales Group1,225 avis - Bordeaux (33)","['Bordeaux (33)', 'Stage']",Stage BAC+5 - Développeur pour simulateur (Cabin system) H/F,Thales Group,- Bordeaux (33),Stage,null,"Thales - il y a 5 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur C++,Bordeaux,"QUI SOMMES-NOUS ?
L’activité avionique rassemble 10 000 collaborateurs qui œuvrent à fournir des équipements et des systèmes de pointe pour toute la chaîne de l’aéronautique civile et militaire.
Sur le Campus Thales Bordeaux, nous concevons, développons et livrons des systèmes, des équipements et des services pour assurer la réussite des missions aéroportées de nos clients, dans les domaines du transport, de la surveillance et du combat.
Le Centre de Compétences Digitalisation et Missions recherche un/une développeur logicielH/F
QUI ETES-VOUS ?
Vous êtes en dernière année d’école d’ingénieur et vous devez effectuer un stage de fin d’études ?
Vous avez une bonne connaissance de Linux, C/C++, Python RestApi et Raspberry PI avec un langage orienté web ?
Vous êtes autonome et rigoureux ?
Vous vous exprimez bien et aimez le travail collectif ?
Des compétences en git et angularJs sont un plus.
Cette description vous correspond ? Alors venez nous rejoindre !
CE QUE NOUS POUVONS ACCOMPLIR ENSEMBLE :
Au sein du Centre de Compétences Digitalisation et Mission, le département IFE (InFlyt Experience) développe le logiciel du système de divertissement de bords offerts aux passagers de compagnies aériennes internationales. Thales InFlyt Experience permet aux passagers de s'immerger dans un monde multimédia (audio et vidéo à la demande, jeux et applications sur plateforme Android) tout en profitant des solutions de connectivité sans-fil.
Dans ce cadre, notre système s'interface avec de nombreux boitiers tiers en cabine, que ce soit des avionneurs (airbus, boeing, etc...) ou des équipementiers (latécoère, zodiac, etc...)
En nous rejoignant, vous vous verrez confier les missions suivantes :
L'objectif de ce stage est de développer un système permettant de simuler n'importe quel cabin system (Arinc 628 = protocole d'échange de données avec avions digitaux A350, B787, B777X) en changeant uniquement un fichier de configuration.
Cet outil permettra le développement et l'intégration sans avoir nécessairement accès aux équipements réels qui sont difficilement disponibles.
Le stage se déroulera en plusieurs parties :
découverte du domaine IFE et prise en main des outils existant sur le sujet ;
proposer une méthode de formalisation des documents d'interface lisible par l'outil (réflexion commune éventuelle avec un autre sujet de stage) ;
s’assurer que la solution est la plus générique possible et interfaçable avec ARTS (tests automatiques) ;
vérifier que la solution choisie est intégrable avec le futur IFE
implémentation du back-end, puis réalisation d'une interface homme machine également configurable
Vous serez intégré(e) dans l’équipe agile en charge du développement. Vous prendrez part aux réunions quotidiennes pour partager l’avancement de votre stage afin que les équipes de développement puissent s’appuyer sur vos résultats pour leurs futurs projets.
Innovation, passion, ambition : rejoignez Thales et créez le monde de demain, dès aujourd’hui."
5,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%2B%2B&l=Bordeaux&radius=100&limit=100&sort=date&vjk=2e7d72d54db85faf,"Stage - Caractérisation et validation d'une plateforme haute performance (CPU multicoeur + Ethernet)
Thales Group1,225 avis - Bordeaux (33)","['Bordeaux (33)', 'Stage']",Stage - Caractérisation et validation d'une plateforme haute performance (CPU multicoeur + Ethernet),Thales Group,- Bordeaux (33),Stage,null,"Thales - il y a 5 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur C++,Bordeaux,"QUI SOMMES-NOUS ?
L’activité avionique rassemble 10 000 collaborateurs qui œuvrent à fournir des équipements et des systèmes de pointe pour toute la chaîne de l’aéronautique civile et militaire.
Sur le Campus Thales Bordeaux, nous concevons, développons et livrons des systèmes, des équipements et des services pour assurer la réussite des missions aéroportées de nos clients, dans les domaines du transport, de la surveillance et du combat.
Le Centre de Compétence Plateforme recherche un/une stagiaire Ingénieur Développeur H/F
QUI ETES-VOUS ?
Vous êtes de niveau BAC+5 ?
Un Stage/projet significatif sur du réseau est nécessaire et vous avez pu acquérir des compétences en modélisation langages de programmation : C , Réseau et en standard Ethernet ?
Des connaissances en OS temps réel et développement de drivers , Langages de programmation : C++11/14/17, XML sont souhaitables ?
Alors n’hésitez plus et rejoignez-nous !
CE QUE NOUS POUVONS ACCOMPLIR ENSEMBLE :
Le domaine HPEC (High Performance Embedded Computers) requiert un niveau de performance réseau et puissance de calcul comparable à celui de certains serveurs, tout en ayant les contraintes du domaine de l'embarqué.
En nous rejoignant, vous vous verrez confier les missions suivantes :
En collaboration avec les équipes d'ingénierie :
Familiarisation avec le standard ECOA
Développement d'une évolution d'un logiciel de validation plateforme existant pour répondre à ce standard
Développement de logiciels de stress réseau et puissance de calcul
Création de scenarios de stress de la plateforme HPEC (High Performance Embedded Computers)
Caractérisation des performances de la plateforme HPEC
Innovation, passion, ambition : rejoignez Thales et créez le monde de demain, dès aujourd’hui.
Innovation, passion, ambition : rejoignez Thales et créez le monde de demain, dès aujourd’hui."
6,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%2B%2B&l=Bordeaux&radius=100&limit=100&sort=date&vjk=6d158e06562fca95,"Stage - Simulateur arinc485 générique H/F
Thales Group1,225 avis - Bordeaux (33)","['Bordeaux (33)', 'Stage']",Stage - Simulateur arinc485 générique H/F,Thales Group,- Bordeaux (33),Stage,null,"Thales - il y a 5 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur C++,Bordeaux,"QUI SOMMES-NOUS ?
L’activité avionique rassemble 10 000 collaborateurs qui œuvrent à fournir des équipements et des systèmes de pointe pour toute la chaîne de l’aéronautique civile et militaire.
Sur le Campus Thales Bordeaux, nous concevons, développons et livrons des systèmes, des équipements et des services pour assurer la réussite des missions aéroportées de nos clients, dans les domaines du transport, de la surveillance et du combat.
Le centre de compétences Digitalisation et Missions recherche un/une développeur logicielH/F
QUI ETES-VOUS ?
Vous êtes en dernière année d’école d’ingénieur et vous devez effectuer un stage de fin d’études ?
Vous avez une bonne connaissance de Linux, C/C++, Python RestApi et Raspberry PI avec un langage orienté web ?
Vous êtes autonome et rigoureux ?
Vous vous exprimé bien et aimé le travail collectif ?
Des compétences en git et arinc485 sont un plus.
Cette description vous correspond ? Alors venez nous rejoindre !
CE QUE NOUS POUVONS ACCOMPLIR ENSEMBLE
Au sein du Centre de Compétences Digitalisation et Mission, le département IFE (InFlyt Experience) développe le logiciel du système de divertissement de bords offerts aux passagers de compagnies aériennes internationales. Thales InFlyt Experience permet aux passagers de s'immerger dans un monde multimédia (audio et vidéo à la demande, jeux et applications sur plateforme Android) tout en profitant des solutions de connectivité sans-fil.
Dans ce cadre, notre système s'interface avec de nombreux boitiers tiers en cabine, que ce soit des avionneurs (airbus, boeing, etc...) ou des équipementiers (latécoère, zodiac, etc...)
En nous rejoignant, vous vous verrez confier les missions suivantes :
L'objectif de ce stage est de développer un système permettant en changeant uniquement un fichier de configuration de simuler n'importe quel équipement sur un bus arinc485.
Cet outil permettra le développement et l'intégration sans avoir nécessairement accès aux équipements réels qui sont difficilement disponibles.
Le stage se déroulera en plusieurs parties :
découverte du domaine IFE, et prise en main des outils existant sur le sujet
proposer une méthode de formalisation des documents d'interface lisible par l'outil
implémentation, puis réalisation d'une interface homme machine également configurable
Vous serez intégré dans l’équipe agile en charge du développement. Vous prendrez part aux réunions quotidiennes pour partager l’avancement de votre stage afin que les équipes de développement puissent s’appuyer sur vos résultats pour leurs futurs projets.
Innovation, passion, ambition : rejoignez Thales et créez le monde de demain, dès aujourd’hui.
Innovation, passion, ambition : rejoignez Thales et créez le monde de demain, dès aujourd’hui."
7,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%2B%2B&l=Bordeaux&radius=100&limit=100&sort=date&vjk=9c8768c005df0707,"Stage - Implémentation et évaluation d'algorithmes ML / IA sur CPU/GPU
Thales Group1,225 avis - Bordeaux (33)","['Bordeaux (33)', 'Stage']",Stage - Implémentation et évaluation d'algorithmes ML / IA sur CPU/GPU,Thales Group,- Bordeaux (33),Stage,null,"Thales - il y a 5 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur C++,Bordeaux,"QUI SOMMES-NOUS ?
L’activité avionique rassemble 10 000 collaborateurs qui œuvrent à fournir des équipements et des systèmes de pointe pour toute la chaîne de l’aéronautique civile et militaire.
Sur le Campus Thales Bordeaux, nous concevons, développons et livrons des systèmes, des équipements et des services pour assurer la réussite des missions aéroportées de nos clients, dans les domaines du transport, de la surveillance et du combat.
Le Centre de Compétence Plateforme recherche un/une stagiaire Ingénieur Développeur H/F
QUI ETES-VOUS ?
Vous êtes de niveau BAC+5 ?
Un Stage/projet significatif sur du traitement du signal voire machine learning est nécessaire ?
Les compétences primordiales pour effectuer ce stages sont :
Langages de programmation : C/C++/Python
OS : Linux
Algorithmie TS/TI, connaissances en réseaux de neurones
Utilisation des APIs OpenMP/CUDA/OpenCL
OS : Des connaissances en OS temps réel et développement de drivers
Utilisation d'Open CV ainsi que l’utilisation de Pytorch, Tensorflow, ou scikit-learn
Compétences en algorithmie de machine learning autre que les réseaux de neurones
C++11/14/17 seraient un plus ?
Vous avez un bon niveau d’anglais ?
Ce descriptif vous correspond , alors n’hésitez plus et rejoignez-nous !
CE QUE NOUS POUVONS ACCOMPLIR ENSEMBLE :
Les algorithmes d'IA/ML, et plus particulièrement de réseaux de neurones (CNN/DNN) peuvent améliorer les performances du traitement du signal des systèmes Radar : nouvelles fonctionnalités, calibration automatique, meilleures détections, etc.
Ces algorithmes exploitent l'architecture parallèle des CPU multicoeurs et des GPU.
Le centre de compétences plateforme souhaite évaluer les performances de ces algorithmes pour aborder au mieux leur embarquabilité dans des systèmes HPEC temps réel dur afin de proposer des solutions adaptées en termes de matériel et de logiciel.
En nous rejoignant, vous vous verrez confier les missions suivantes :
Etat de l'art des algorithmes IA/ML, ainsi que des API et bibliothèques associés.
portage du driver AMD ROCM sur carte d'évaluation NXP LX2160, ainsi que des bibliothèques armnn, MiOpen, et tvm
collaboration avec les équipes algorithmie pour la définition d'algorithmes ML/IA (Machine Learning/ Intelligence Artificielle)
Implémentation de ces algorithmes avec les API/bibliothèques retenus
Caractérisation des performances d'inférence de ces algorithmes sur GPU AMD et CPU LX2160: charge CPU/GPU, quantité mémoire, latence
Innovation, passion, ambition : rejoignez Thales et créez le monde de demain, dès aujourd’hui.
Innovation, passion, ambition : rejoignez Thales et créez le monde de demain, dès aujourd’hui."
8,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%2B%2B&l=Bordeaux&radius=100&limit=100&sort=date&vjk=82768e48274f4cfc,"INGÉNIEUR LOGICIEL H/F
Joblink32 avis - Pessac (33)","['Pessac (33)', 'CDI', '32 000 € - 45 000 € par an']",INGÉNIEUR LOGICIEL H/F,Joblink,- Pessac (33),CDI,32 000 € - 45 000 € par an,"il y a 5 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur C++,Bordeaux,"Notre Client est une PME spécialisée dans la conception, la fabrication et la vente en France et à l'international de solutions à forte valeur ajoutée dans le secteur de l'optronique, de l'électronique et du logiciel.
Dans le cadre de leur développement produits et applications clients, nous recherchons Un Ingénieur Développement Logiciel H/F pour un CDI à Bordeaux.
Rattaché (e) à la direction des Opérations, vos missions seront les suivantes :
Vous développez les logiciels de leurs gammes de produits ou de leurs applications clients,
Ainsi vous prenez en charge la maintenance logicielle des produits : corriger les anomalies dans la phase de garantie et développer les améliorations retenues dans la vie du produit,
Nous nous attacherons à la capacité du développeur d'agir sur toute la verticalité des produits, des couches basses proches de l'électronique jusqu'aux couches hautes d'interface utilisateur graphique, en passant par les couches systèmes et fonctionnelles,
La valeur des réalisations est dans la rapidité d'exécution pour respecter les jalons des projets et dans la qualité des développements pour satisfaire aux attentes clients.
Autres missions qui seront demandées dans ce poste :
Analyser fonctionnellement et en détails les besoins clients et utilisateurs,
Participer à la rédaction des cahiers des charges,
Rédiger les spécifications techniques avec chiffrages associés,
Définir les architectures logicielles et systèmes,
Valider, recetter et tester les développements réalisés et les solutions livrées,
Définir les solutions de déploiement,
Rédiger la documentation utilisateur,
Participer activement au support client
Compétences techniques :
Maitrise parfaite des langages de programmation C#/C++/C
Des connaissances traitements d'images et traitements parallèles seraient un plus

Informations complémentaires :
CDI à pourvoir dès que possible
Package: selon profil
Intéressement, participation, mutuelle offerte par entreprise, tickets restaurant
2019-10-03
Profil
Formation supérieure en informatique BAC+4/5 (génie logiciel),
Junior en tant qu'ingénieur en développement logiciel,
Votre anglais est irréprochable autant dans la rédaction que dans la communication (une 3ème langue serait appréciée),
Forte qualité relationnelle et bon niveau de communication pour travail en équipe interne, avec des partenaires et des clients,
Vous disposez d'une bonne organisation, vous êtes méthodique et rigoureux,
Vous avez un goût prononcé pour les nouvelles technologies,
Ouvert, transparent, motivé, intègre, sont toutes les qualités requises pour réussir sur ce poste !
Si vous vous reconnaissez dans cette offre alors transmettez nous votre candidature à l'adresse suivante : cvonarx@joblink.fr"
9,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%2B%2B&l=Bordeaux&radius=100&limit=100&sort=date&vjk=d3e2d263da5f3a20,"Stage : développement et prototypage d'un service pour un outil de mission de sécurité civile (H/F)
Thales Group1,225 avis - Bordeaux (33)","['Bordeaux (33)', 'Stage']",Stage : développement et prototypage d'un service pour un outil de mission de sécurité civile (H/F),Thales Group,- Bordeaux (33),Stage,null,"Thales - il y a 5 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur C++,Bordeaux,"QUI SOMMES-NOUS ?
L’activité avionique rassemble 10 000 collaborateurs qui œuvrent à fournir des équipements et des systèmes de pointe pour toute la chaîne de l’aéronautique civile et militaire.
Sur le Campus Thales Bordeaux, nous concevons, développons et livrons des systèmes, des équipements et des services pour assurer la réussite des missions aéroportées de nos clients, dans les domaines du transport, de la surveillance et du combat.
Le Direction Ingénierie et Développement recherche un/une développeur logicielH/F
QUI ETES-VOUS ?
Vous êtes en école d’ingénieur et vous devez effectuer un stage de 2ème ou 3ème année ?
Lors d’un stage ou projet d'études dans la conception d'interfaces utilisateurs et de services digitaux vous avez acquis des compétences en développement et prototypage ainsi qu’une
expérience C++ , QT/QML, Unity 3D (ou équivalent) ?
Des Notions de conception UX (User Expérience) et Pilotage de projets digitaux sont un plus ?
Vous devez faire preuve d’autonomie, de capacité d’analyse et d’intégration au sein de l’équipe ?.
Vous appréciez le travail en équipe et vous souhaitez vous épanouir dans un environnement innovant ?
Alors venez nous rejoindre ce stage est fait pour vous ?
CE QUE NOUS POUVONS ACCOMPLIR ENSEMBLE :
Le stagiaire intégrera l'équipe du HUB innovation de Mérignac et travaillera au contact de l'équipe de prototypage de systèmes avioniques embarqués.
Le stagiaire travaillera en duo avec un UX designer sur le maquettage d'un prototype de service digital.
Ce prototype concerne l'exploration du travail collaboratif multi-acteurs pour des missions de sécurité civile.
En nous rejoignant, vous vous verrez confier les missions suivantes :
Travailler sur un projet de développement logiciel / interface.
Dans le cadre d'une exploration sur les services innovants pour la travail collaboratif multi-acteurs concernant la sécurité civile, l'ingénieur devra travailler en équipe avec un designer produit/UX.
Etre complémentaire des membres de l'équipe. (UX designers et ingénieurs Facteurs Humains)
Etre force de proposition technique.
Piloter l’activité de prototypage (proposition de jalons techniques, de réunions..)
Dates idéales du stage: de février à fin aout.
Innovation, passion, ambition : rejoignez Thales et créez le monde de demain, dès aujourd’hui.
Innovation, passion, ambition : rejoignez Thales et créez le monde de demain, dès aujourd’hui."
