,id,meta1,meta2,titre_poste,entreprise,localisation,contrat,salaire,date_publication,keyword_metier,keyword_localisation,description
0,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20Java&l=Bordeaux&radius=100&limit=100&sort=date&advn=2715648309700515&vjk=18cd0e1d2f7d54cf,"Développeur Java et Liferay
FREELANCE VISION - Bordeaux (33)",['Bordeaux (33)'],Développeur Java et Liferay,FREELANCE VISION,- Bordeaux (33),null,null,"carriere-info - il y a 2 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur Java,Bordeaux,"Dans un contexte de TMA , nous recherchons un développeur JAVA/JEE expérimenté, capable de prendre la connaissance d’un projet et de maintenir (corrections et évolutions) un SI de gestion des demandes clients

Contexte : Maintien en condition opérationnelle et montée de version du socles technique (CMS liferay)
Domaine : Secteur public - Santé
Techno : CMS Liferay, Spring, JAVA, PostGres, API Management avec SmartCase, GED (Alfresco/TESSI)

À la demande de la maîtrise d’oeuvre, et sur la base des spécifications fonctionnelles et techniques émises par celle-ci, le développeur code les composants logiciels applicatifs dans le respect des évolutions souhaitées, des normes et des procédures.

Nécessite un niveau d’expérience minimum de 2 à 5 ans."
1,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20Java&l=Bordeaux&radius=100&limit=100&sort=date&advn=2715648309700515&vjk=8423bdc594a72e62,"Développeur java j2ee junior
FREELANCE VISION - Bordeaux (33)",['Bordeaux (33)'],Développeur java j2ee junior,FREELANCE VISION,- Bordeaux (33),null,null,"carriere-info - il y a 2 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur Java,Bordeaux,"Compétences techniques

JAVA/J2E - Junior - Impératif
JS - Junior - Impératif
À la demande de la maîtrise d’oeuvre, et sur la base des spécifications fonctionnelles et techniques émises par celle-ci, le développeur code les composants logiciels applicatifs dans le respect des évolutions souhaitées, des normes et des procédures.

Nécessite un niveau d’expérience minimum de 2 ans."
2,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20Java&l=Bordeaux&radius=100&limit=100&sort=date&vjk=ea4283ba274186f5,"Ingénieur développeur Java F/H
CS COMMUNICATION & SYSTEMES - Bordeaux (33)","['Bordeaux (33)', 'CDI']",Ingénieur développeur Java F/H,CS COMMUNICATION & SYSTEMES,- Bordeaux (33),CDI,null,"Apec.fr - il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur Java,Bordeaux,"Le département Aquitaine recherche, pour sa Direction d'Activité Aéronautique, Énergie et Systèmes Industriels,

un(e) Ingénieur(e) en développement Java (H/F)

.

Vous interviendrez chez l'un de nos clients évoluant dans le domaine de l'énergie et serez intégré(e) au sein de l'équipe projet.

Vos missions seront les suivantes:
Participation aux spécifications,
Définition de l'architecture logicielle de la solution,
Développement technique en Java Eclipse,
Tests unitaires,
Intégration,
Supports aux utilisateurs,
Assurer la maintenance corrective et évolutive.
Profil recherché Ingénieur(e) de formation (BAC +5), vous justifiez d'une expérience de 2 ans minimum en développement Java.

Vous avez maîtrisez les compétences techniques et opérationnelles suivantes:

Technologies :
JAVA Eclipse,
API collections,
Création d'IHM (Pattern MVC),
Architecture d'applications temps-réel et multi-threadées,
Très bonne maîtrise des principes OOP / Java et des architectures software,
Angular JS,
Base de données SQL et NOSQL.
Environnement de développement

Outils de versioning Git, SVN…
Outils de tests unitaires JUnit et de non regression Jenkins,
Outils de suivi de projet tels que JIRA.
La gestion de projets en mode AGILE et cycles en V serait un plus.

Autonome et organisé(e), vous êtes reconnu(e) pour votre sens de l'écoute.
Entreprise CS Group en quelques mots ?

CS Group est un concepteur, intégrateur et opérateur de systèmes critiques intelligents cyberprotégés.

En proposant des solutions innovantes dans les domaines de la cyber sécurité, des systèmes sûrs industriels et embarqués, de la continuité numérique et de la gestion de crise et de la surveillance de zones, CS Group a su s'imposer en tant que partenaire privilégié pour les acteurs des secteurs de la Défense et de la Sécurité, du Spatial, de l'Aéronautique et de l'Energie. (www.c-s.fr)

Nous rejoindre c'est :
Bénéficier d'un management de proximité.
Progresser individuellement et collectivement.
Evoluer dans un environnement flexible (télétravail…), à dimension humaine et convivial.
Où sommes-nous situés ?

Notre agence se situe : Parc Antoine, bâtiment 4 - 38 avenue Ariane BP 70019 - 33 700 Mérignac.

Intéressé ? Déposez votre CV et additionnons nos talents !"
3,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20Java&l=Bordeaux&radius=100&limit=100&sort=date&vjk=2cd9daeea75a7a41,"Ingénieur logiciel full-stack - H/F
Polyconseil - Bordeaux (33)","['Bordeaux (33)', 'CDI']",Ingénieur logiciel full-stack - H/F,Polyconseil,- Bordeaux (33),CDI,null,"Viadeo - il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur Java,Bordeaux,"Au sein d'une équipe projet touche à tout et créative, composée de consultants, développeurs, data
scientists, vous avez la possibilité d'avoir un impact réel sur la solution finale tout en étant en contact direct avec les décisionnaires de nos entreprises et institutions clientes.
Quelques exemples de missions :
Conception du plus grand service d’ auto partage électrique au monde ( USA, Italie, Singapour) puis
amélioration continue du SI et des parcours clients
Développement du logiciel de conception collaborative pour le lanceur Européen Ariane 6
Création des portiques d’embarquement (hardware software) aujourd’hui déployés dans les gares TGV
Développement et commercialisation en SaaS d’un système de gestion intelligente de la politique de
stationnement pour les plus grandes villes de France
Responsabilités :
Vous appliquez et développez vos compétences techniques à tous les niveaux : infrastructure (VM, docker, ...), architecture (micro-service, ...), développement (python, js, java, ...) ou gestion de projet.s les niveaux (review, intégration continue, ...)
Vous devenez « owner » de votre sujet et vous positionnez en véritable expert des questions que vous traitez
Vous êtes constamment force de proposition sur des sujets à fort enjeu pour nos clients et savez accompagner le projet de bout en bout, du cadrage stratégique à sa mise en oeuvre opérationnelle puis à son déploiement
Vous êtes en contact direct avec les décisionnaires de nos entreprises et institutions clientes"
4,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20Java&l=Bordeaux&radius=100&limit=100&sort=date&vjk=bac3caf722daf3a0,"Développeur java j2ee junior / Freelance
FREELANCE VISION - Bordeaux (33)","['Bordeaux (33)', 'Temps plein, Freelance / Indépendant']",Développeur java j2ee junior / Freelance,FREELANCE VISION,- Bordeaux (33),"Temps plein, Freelance / Indépendant",null,"Freelance-info - il y a 3 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur Java,Bordeaux,"Compétences techniques

JAVA/J2E - Junior - Impératif
JS - Junior - Impératif
À la demande de la maîtrise d’oeuvre, et sur la base des spécifications fonctionnelles et techniques émises par celle-ci, le développeur code les composants logiciels applicatifs dans le respect des évolutions souhaitées, des normes et des procédures.

Nécessite un niveau d’expérience minimum de 0 à 2 ans."
5,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20Java&l=Bordeaux&radius=100&limit=100&sort=date&vjk=c7c5b9d8f9255590,"Ingénieur développeur Java H/F
CS Communication & Systèmes2 avis - Bordeaux (33)","['Bordeaux (33)', 'CDI']",Ingénieur développeur Java H/F,CS Communication & Systèmes,- Bordeaux (33),CDI,null,"il y a 3 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur Java,Bordeaux,"DESCRIPTION DE L'OFFRE
Le département Aquitaine recherche, pour sa Direction d’Activité Aéronautique, Énergie et Systèmes Industriels, un(e) Ingénieur(e) en développement Java (H/F).
Vous interviendrez chez l’un de nos clients évoluant dans le domaine de l’énergie et serez intégré(e) au sein de l’équipe projet.
Vos missions seront les suivantes:
Participation aux spécifications,
Définition de l’architecture logicielle de la solution,
Développement technique en Java Eclipse,
Tests unitaires,
Intégration,
Supports aux utilisateurs,
Assurer la maintenance corrective et évolutive.

PROFIL REQUIS
Ingénieur(e) de formation (BAC +5), vous justifiez d’une expérience de 2 ans en développement Java.

Vous avez maîtrisez les compétences techniques et opérationnelles suivantes:
Technologies :
JAVA Eclipse,
API collections,
Création d’IHM (Pattern MVC),
Architecture d’applications temps-réel et multi-threadées,
Très bonne maîtrise des principes OOP / Java et des architectures software,
Angular JS,
Base de données SQL et NOSQL.
Environnement de développement
Outils de versioning Git, SVN…
Outils de tests unitaires JUnit et de non regression Jenkins,
Outils de suivi de projet tels que JIRA.
La gestion de projets en mode AGILE et cycles en V serait un plus.

Autonome et organisé(e), vous êtes reconnu(e) pour votre sens de l'écoute.

CS en quelques mots ?
CS est un concepteur, intégrateur et opérateur de systèmes d’information et de communication critiques.
En proposant des solutions innovantes dans les domaines de la cyber sécurité, des systèmes sûrs industriels et embarqués, de la continuité numérique et de la gestion de crise et de la surveillance de zones, CS a su s’imposer en tant que partenaire privilégié pour les acteurs des secteurs de la Défense et de la Sécurité, du Spatial, de l’Aéronautique et de l’Energie. (www.c-s.fr)

Nous rejoindre c’est :
Evoluer dans un environnement stimulant, basé sur un management de proximité. Un Groupe qui s’engage pour ses salariés par la formation et l’évolution professionnelle.

Vous recherchez un projet innovant ? Alors Rejoignez CS Group en postulant !"
6,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20Java&l=Bordeaux&radius=100&limit=100&sort=date&vjk=e2ab180da5ab8889,"Développeur Java EE H/F
Extia25 avis - Bordeaux (33)","['Bordeaux (33)', 'CDI']",Développeur Java EE H/F,Extia,- Bordeaux (33),CDI,null,"il y a 3 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur Java,Bordeaux,"Dans le cadre du développement de notre nouvelle agence Bordelaise nous recherchons un développeur JAVA.
D’abord qui,
Curieux, vous êtes avide de nouveaux challenges et impliqué dans votre travail
Vous avez le sens du service et faites preuve d’initiative, d’analyse et de synthèse
Vous êtes passionné par le développement et vous avez déjà travaillé avec des langages comme JAVA, Jenkins, Maven, Git
Vous connaissez l'environnement agile
Si vous possédez des connaissances en Sonar et Angular, c'est un vrai plus !
Ensuite quoi ?
Au sein de l’équipe de développement, vous êtes en charge :
d'accompagner l’équipe sur du support au développement
d'aider à la création/modification des pipelines et résolution des erreurs.
Profil recherché
Vous êtes issu d'une formation universitaire ou d’une école d’ingénieur avec une spécialité en développement Java.
Vous êtes motivé, curieux, rigoureux et bon communiquant. Vous disposez d’une expérience d’au moins 2 ans et possédez idéalement des connaissances en Java EE, Spring, Hibernate, JPA, JSF, Maven, Intégration continue – Jenkins, Artifactory, Versioning – Git, SVN.
Vous avez déjà travaillé en environnement Agile / SCRUM.
Attiré(e) par le challenge, vous souhaitez participer à des projets au sein d’une équipe dynamique, ambitieuse et très dynamique ? Rejoignez nous ! Intéressé(e) ? A vos marques, prêt… candidatez ! #LI-AHA"
7,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20Java&l=Bordeaux&radius=100&limit=100&sort=date&vjk=698a91433725014f,"DÉVELOPPEUR WEB FULLSTACK ANGULAR/NODE.JS H/F
INVIVOO2 avis - Bordeaux (33)","['Bordeaux (33)', 'Stage']",DÉVELOPPEUR WEB FULLSTACK ANGULAR/NODE.JS H/F,INVIVOO,- Bordeaux (33),Stage,null,"il y a 3 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur Java,Bordeaux,"LE PROJET
Au sein de l’équipe Développement informatique de l’un de nos clients basé à
Bordeaux-Lac, équipe de développement Front, renfort d’un développeur pour intégrer l’équipe projet.
Développement d’une Webapp.
Equipe d’une dizaine de personnes.
Projet en méthode Agile Scrum : Transformation digitale (refonte des frontends).
ASPECT TECHNIQUE

Technologies Frotnt : HTML5 / Angular7+ / RESTful / Sass / RWD
Technologies Middle : Node.js / Java / Oracle / WS Soap
Outillage : Webpack / GIT
ASPECT FONCTIONNEL
Méthodologie Scrum
Anglais technique opérationnel
LIVRABLES ATTENDUS
Sources informatiques
Documentation technique"
8,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20Java&l=Bordeaux&radius=100&limit=100&sort=date&vjk=631454b062e34b8a,"Développeur Java et Liferay / Freelance
FREELANCE VISION - Bordeaux (33)","['Bordeaux (33)', 'Temps plein, Freelance / Indépendant']",Développeur Java et Liferay / Freelance,FREELANCE VISION,- Bordeaux (33),"Temps plein, Freelance / Indépendant",null,"Freelance-info - il y a 3 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur Java,Bordeaux,"Dans un contexte de TMA , nous recherchons un développeur JAVA/JEE expérimenté, capable de prendre la connaissance d’un projet et de maintenir (corrections et évolutions) un SI de gestion des demandes clients

Contexte : Maintien en condition opérationnelle et montée de version du socles technique (CMS liferay)
Domaine : Secteur public - Santé
Techno : CMS Liferay, Spring, JAVA, PostGres, API Management avec SmartCase, GED (Alfresco/TESSI)

À la demande de la maîtrise d’oeuvre, et sur la base des spécifications fonctionnelles et techniques émises par celle-ci, le développeur code les composants logiciels applicatifs dans le respect des évolutions souhaitées, des normes et des procédures.

Nécessite un niveau d’expérience minimum de 2 à 5 ans."
9,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20Java&l=Bordeaux&radius=100&limit=100&sort=date&vjk=406e0aeb10a98433,"Développeur Web / Sharepoint H/F
eCom CS ATLANTIQUE - Bordeaux (33)",['Bordeaux (33)'],Développeur Web / Sharepoint H/F,eCom CS ATLANTIQUE,- Bordeaux (33),null,null,"il y a 3 jours
Signaler cette offre d'emploi",Développeur Java,Bordeaux,"eCom CS ATLANTIQUE est une SSII spécialisée messagerie, travail collaboratif et réseaux sociaux d’entreprise. Nous recrutons un(e) Développeur sur les technologies Web Sharepoint On Line.
Vous travaillerez au sein de notre Centre de Services à la réalisation de projets collaboratifs pour nos clients finaux.
Dans un environnement dynamique et constructif, vous prendrez part, en équipe,à différents projets qui vous permettront de vous confronter à des activités,méthodes et technologies variées.
Le poste est basé à BORDEAUX.
Mission :
Conception et développement de solution collaborative SharePointOnLine, Flow, PowerApps
Maintenance des applications existantes,
Analyse fonctionnelle et technique,
Apporter l’expertise sur le choix des solutions : conception technique et choix d’outils pour atteindre l’objectif défini avec nos Clients,
Élaboration des documents techniques (manuel technique, dossier d’exploitation, d’administration, d’installation).
Profil recherché :
Ingénieur, formation BTS ou IUT, possédant les qualités suivantes :
Travail en équipe
Autonomie, gestion de son temps et des priorités
Qualités relationnelles et de service
Rigueur et respect des consignes
Curiosité et volonté de s’adapter aux évolutions technologiques
Anglais : compréhension écrite et orale
Compétences requises :
Office 365 SharepointOn Line, Flow, PowerApps
Développement : HTML, CSS, Responsive Design
Langages: Powershell, Javascript
Compétences supplémentaires mais non indispensables : ensemble du portfolio Office365, Visual Studio 2012, PowerBI, Java, J2E, Angular, Knockout, C#, NodeJS, JQuery, API REST, Typescript, SharePoint Framework
Type d'emploi : Temps plein
Expérience:
développeur web / sharepoint h/f ou similaire: 1 an (Souhaité)
Formation:
Bac +2 (BTS, DUT, DEUG) (Requis)
Langue:
anglais (Requis)"
