,id,meta1,meta2,titre_poste,entreprise,localisation,contrat,salaire,date_publication,keyword_metier,keyword_localisation,description
0,https://www.indeed.fr/emplois?q=Int%C3%A9grateur%20Web&l=Bordeaux&radius=100&limit=100&sort=date&advn=7622939564031806&vjk=e3747d4a97fad186,"CHEF DE PROJET WEB JUNIOR H/F
Agence Inouï - Bordeaux (33)","['Bordeaux (33)', 'CDI']",CHEF DE PROJET WEB JUNIOR H/F,Agence Inouï,- Bordeaux (33),CDI,null,"Digitalent.io - il y a 6 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Intégrateur Web,Bordeaux,"Recruteur Agence Inouï
Missions du poste
inouiagency et agenceinoui est une agence digitale qui conçoit et réalise des applications web et mobile et expériences utilisateurs digitales. qui accompagne ses clients, porter des projets et trouver des solutions...

inouiagency est une jeune et start-up agence Vous êtes passionné par le digital, le web, l'IT ou simplement enthousiaste et curieux ? Vous aimez construire des relations fortes, porter des projets et trouver des solutions ?
Notre équipe compte des profils très différents qui partagent tous l'envie de créer des produits web de qualité dans une ambiance sympathique où tout le monde progresse.

Missions_
Simple : vous êtes l'ambassadeur du client en interne. Vous le conseillez dans ses choix, nouez une relation de confiance et traduisez ses besoins en fonctionnalités techniques. Vous êtes son intermédiaire avec notre équipe de développeurs et de designers.
Au quotidien, vous êtes accompagné par un chef de projet sénior au profil technique car votre valeur ajoutée ne réside pas dans la technique mais bien dans la relation client.
Votre rôle est d'assurer le bon déroulement des projets en collaboration avec les différents profils qui peuvent intervenir sur un projet : designers, développeurs, intégrateurs, référents techniques, etc.
Votre sens du relationnel vous permettra de développer des ventes additionnelles et de gérer les éventuels conflits avec tact et diplomatie.
En fonction de vos envies et de vos compétences, vous pourrez intervenir sur de nombreux sujets.

Qualités recherchées_
Goût pour le digital et le web
Curiosité & bienveillance
Orientation business
Rigueur dans le suivi et l'exécution
Une mission passionnante et variée
Un management humain et formateur
Un cadre de travail sympa
Profil recherché
chef de projet web junior. Votre profil est de type IAE / école de commerce / école de communication / formation universitaire en gestion ou toute autre chose. L'important n'est pas votre diplôme mais votre connaissance opérationnelle de la gestion de projet : relation client, planning, qualité, management transversal.
Postuler à cette offre"
1,https://www.indeed.fr/emplois?q=Int%C3%A9grateur%20Web&l=Bordeaux&radius=100&limit=100&sort=date&vjk=2ac2a536a9d4900d,"intégrateur produit H/F
FULL ACE - Mérignac (33)
A répondu à 51 %-74 % des candidatures sur les 30 derniers jours, généralement en 1 jour.","['Mérignac (33)', 'Temps plein, CDI', '1 600 € par mois']",intégrateur produit H/F,FULL ACE,- Mérignac (33),"Temps plein, CDI",1 600 € par mois,"il y a 11 jours
Signaler cette offre d'emploi",Intégrateur Web,Bordeaux,"MISSION GLOBALE : vous assisterez l’intégratrice produit dans l’intégration de produits sur notre base de données en ligne, et développerez le référencement naturel (SEO)
MISSIONS :
Intégrer des produits sur des sites en ligne
Mettre à jour notre base de données
Rédiger du contenu Web
Optimiser pour le référencement naturel en rédigeant des textes vendeurs dans la lignée de notre marketing (SEO)
APTITUDES :
Avoir l’esprit logique
Être organisée
Bonne maîtrise d’Excel et de l’informatique en général
Avoir une orthographe et une syntaxe irréprochables
Connaitre les conventions d’écriture relatives au Web, aux moteurs de recherche et aux exigences de référencement (SEO).
35 h / semaine
Avantages salariés : tickets restaurant, participation
BASE 35H
1600 € brut mensuel
Tickets restaurant
Type d'emploi : Temps plein, CDI
Salaire : 1 600,00€ /mois
Expérience:
intégrateur produit h/f ou similaire: 2 ans (Souhaité)"
2,https://www.indeed.fr/emplois?q=Int%C3%A9grateur%20Web&l=Bordeaux&radius=100&limit=100&sort=date&vjk=f6831410d680e828,"Intégrateur applicatif DOCKER H/F
GESER-BEST Bordeaux9 avis - Bordeaux (33)",['Bordeaux (33)'],Intégrateur applicatif DOCKER H/F,GESER-BEST Bordeaux,- Bordeaux (33),null,null,"Geser Best - il y a 10 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Intégrateur Web,Bordeaux,"Depuis plus de 25 ans GESER-BEST (9 agences en France/+ de 200 collaborateurs) accompagne ses clients de l’ingénierie à l’assistance technique, et nos ingénieurs et techniciens mettent au service des entreprises leur expérience pour la conduite et la réalisation des projets.
La dimension de notre entreprise et son organisation répondent aux attentes de nos clients en matière de réactivité et de qualité de nos prestations.

GESER BEST Bordeaux recrute un intégrateur applicatif DOCKER H/F pour :

– Gérer des projets d’hébergements mutualisés ou dédiés
– Vérifier et compléter la documentation d’architecture technique
– Veiller au respect du planning prévisionnel
– Remonter les alertes si nécessaire
– Réaliser les demandes d’installation des produits tierces (middleware)
– Implémenter la partie applicative
– Assurer le maintien en condition opérationnelle des projets
– Mettre en place les outils de déploiement
– Prévoir l’automatisation des livraisons applicatives (scripting, intégration continue)
– Participer à la mise en place d’intégration continue et Testing continue
– Industrialisation du déploiement de l’application
– Rédiger et mettre à jour de la documentation d’exploitation
– Prendre de connaissance sur les applications à automatiser
– Identifier des différents modules de l’application,
– Définir l’écriture du scénario de test de l’application.
– Gérer les problèmes pour les incidents récurrents
– Analyser le dysfonctionnement
– Effectuer les préconisations techniques pour aboutir à une solution corrective

De formation Bac+2 à Bac+5 en informatique, vous avez acquis une expérience d’un an minimum dans les environnement Middleware : Apache, Tomcat, Jboss, Docker, CFT, en utilisant les outils type : Jenkins, Ansible, Git, Kubernetes… et Web service : Spring boot service

Vous êtes autonome, appréciez le travail en équipe et faites preuve d’un excellent relationnel."
3,https://www.indeed.fr/emplois?q=Int%C3%A9grateur%20Web&l=Bordeaux&radius=100&limit=100&sort=date&vjk=40ddf40df046a152,"Développeur Intégrateur Web H/F
Agence AWAM - Bordeaux (33)","['Bordeaux (33)', 'CDI', '25 000 € - 30 000 € par an']",Développeur Intégrateur Web H/F,Agence AWAM,- Bordeaux (33),CDI,25 000 € - 30 000 € par an,"il y a 18 jours
Signaler cette offre d'emploi",Intégrateur Web,Bordeaux,"Nous sommes à la recherche d'un intégrateur Web qui se considère comme le ninja du front.
HTML5, CSS3, SVG, JS ne doivent avoir aucun secret pour vous. Au sein de l'agence AWAM vous serez transverse entre le pôle créatif et les développeurs backend et aurez un rôle déterminant dans le rendu et la qualité du travail.
Vous travaillerez à l'élaboration et à la construction de la maquette avec le pôle créatif et vous serez en charge d'intégrer la maquette graphique.
Type d'emploi : CDI
Salaire : 25 000,00€ à 30 000,00€ /an
Expérience:
développeur intégrateur web h/f ou similaire: 2 ans (Souhaité)
Lieu:
33000 Bordeaux (Souhaité)"
4,https://www.indeed.fr/emplois?q=Int%C3%A9grateur%20Web&l=Bordeaux&radius=100&limit=100&sort=date&vjk=5a3adbbc23a9a4f5,"Intégrateur HTML/CSS
Audensiel Technologies - Bordeaux (33)",['Bordeaux (33)'],Intégrateur HTML/CSS,Audensiel Technologies,- Bordeaux (33),null,null,"il y a 17 jours
Signaler cette offre d'emploi",Intégrateur Web,Bordeaux,"Description du poste
Dans le cadre de divers projets, nous recherchons actuellement un intégrateur HTML / CSS pour intervenir auprès d'un client majeur à Bordeaux. Vous travaillerez sur plusieurs projets en parallèle.
Votre mission
Intégration web des plateformes
Travail sur plusieurs projets en parallèle
Votre profil
Issu d’une formation dans les métiers du web, vous possédez minimum 2 ans d’expérience dans l'intégration de sites web.
Dans le cadre de cette opportunité, il est nécessaire de :
Connaître les bonnes pratiques en matière d'intégration et des problématiques liées à la performance et la compatibilité
Maîtriser les langages HTML5/CSS3 ainsi que l’utilisation de Bootstrap pour des thèmes responsive
Avoir une première expérience en Saas
Connaitre les outils Git et Jira
Type d'emploi : Temps plein
Expérience:
intégrateur html/css ou similaire: 2 ans (Souhaité)"
5,https://www.indeed.fr/emplois?q=Int%C3%A9grateur%20Web&l=Bordeaux&radius=100&limit=100&sort=date&vjk=ae203321b7843740,"Intégrateur web H/F
ACTIVUS Group - Bordeaux (33)","['Bordeaux (33)', 'Temps plein, CDI']",Intégrateur web H/F,ACTIVUS Group,- Bordeaux (33),"Temps plein, CDI",null,"il y a 30+ jours
Signaler cette offre d'emploi",Intégrateur Web,Bordeaux,"Pour renforcer notre pôle Applications Digitales, nous recrutons un Intégrateur système (H/F).
Vos principales missions, si vous les acceptez !
Assembler les différents éléments matériels ou logiciels composant un logiciel, un équipement, un système
Vérifier la conformité du produit, système ou équipement aux spécifications techniques du cahier des charges
Rassembler les différents éléments de développement sur une plate-forme d'intégration
Effectuer une phase de tests respectant une méthodologie et des procédures rigoureuses : spécification, planification, réalisation, bilan…
Définir une stratégie de tests, du système ou de l'application à tester
Notre Agilité associée à la diversité de nos clients grands-comptes dans les secteurs de la santé, du transport, de la grande distribution, des Télécoms, de la banque et de l'assurance, offrent aujourd’hui à nos équipes de nombreuses perspectives d’évolution.
PROFIL
Expert en informatique et systèmes d'information d’un niveau équivalent à BAC+5, vous justifiez d’une expérience significative de 4 à 5 ans minimum sur un poste similaire. Vous connaissez les technologies suivantes: CSS3, HTML 5, jQuery, NodeJS, GulpJS et Nunjucks, CSS, LESS, Sketch et InVision.
Passionné par la technologie, vous souhaitez retrouver une entreprise AGILE, qui saura accompagner votre évolution.
Vous êtes, rigoureux, méthodologique et aimez le travail en équipe. Notre dynamisme et les projets innovants sur lesquels nous évoluons constituent pour ceux qui nous rejoignent un moteur motivant rempli de perspectives.
Alors ! Serez-vous des nôtres ?
ACTIVUS
ACTIVUS-Group est une société de conseil de croissance qui, en 4 ans, est devenue experte dans ses domaines d’intervention :
IA, Big Data, Analytics, DataScience
Conseil et Audit
User Experience et Mobile Apps, DataVizualisation
Sécurité des Systèmes
Infrastructures Cloud et SaaS
Process Industriels
Nous entretenons avec nos partenaires une relation de confiance solide et durable qui s’appuie sur la proximité de nos équipes et l’expertise de nos consultants.
Notre, équipe composée de technophiles passionnés, renforce tous les jours notre ADN par son excellence technologique.
En 2019 notre groupe double ses effectifs en recrutant 100 nouveaux consultants sur tous nos domaines d’expertise.
En complément de nos implantations de proximité à Toulouse et Paris, nous poursuivons notre maillage local en ouvrant quatre agences à : Bordeaux, Lyon, Nantes, Aix/Marseille.
Nous recrutons aussi sur Hambourg, en République Tchèque et en Suisse.
Pour renforcer notre pôle Applications Digitales, nous recrutons un Intégrateur système (H/F).
Vos principales missions, si vous les acceptez !
Assembler les différents éléments matériels ou logiciels composant un logiciel, un équipement, un système
Vérifier la conformité du produit, système ou équipement aux spécifications techniques du cahier des charges
Rassembler les différents éléments de développement sur une plate-forme d'intégration
Effectuer une phase de tests respectant une méthodologie et des procédures rigoureuses : spécification, planification, réalisation, bilan…
Définir une stratégie de tests, du système ou de l'application à tester
Notre Agilité associée à la diversité de nos clients grands-comptes dans les secteurs de la santé, du transport, de la grande distribution, des Télécoms, de la banque et de l'assurance, offrent aujourd’hui à nos équipes de nombreuses perspectives d’évolution.
PROFIL
Expert en informatique et systèmes d'information d’un niveau équivalent à BAC+5, vous justifiez d’une expérience significative de 4 à 5 ans minimum sur un poste similaire. Vous connaissez les technologies suivantes: CSS3, HTML 5, jQuery, NodeJS, GulpJS et Nunjucks, CSS, LESS, Sketch et InVision.
Passionné par la technologie, vous souhaitez retrouver une entreprise AGILE, qui saura accompagner votre évolution.
Vous êtes, rigoureux, méthodologique et aimez le travail en équipe. Notre dynamisme et les projets innovants sur lesquels nous évoluons constituent pour ceux qui nous rejoignent un moteur motivant rempli de perspectives.
Alors ! Serez-vous des nôtres ?
ACTIVUS
ACTIVUS-Group est une société de conseil de croissance qui, en 4 ans, est devenue experte dans ses domaines d’intervention :
IA, Big Data, Analytics, DataScience
Conseil et Audit
User Experience et Mobile Apps, DataVizualisation
Sécurité des Systèmes
Infrastructures Cloud et SaaS
Process Industriels
Nous entretenons avec nos partenaires une relation de confiance solide et durable qui s’appuie sur la proximité de nos équipes et l’expertise de nos consultants.
Notre, équipe composée de technophiles passionnés, renforce tous les jours notre ADN par son excellence technologique.
En 2019 notre groupe double ses effectifs en recrutant 100 nouveaux consultants sur tous nos domaines d’expertise.
En complément de nos implantations de proximité à Toulouse et Paris, nous poursuivons notre maillage local en ouvrant quatre agences à : Bordeaux, Lyon, Nantes, Aix/Marseille.
Nous recrutons aussi sur Hambourg, en République Tchèque et en Suisse.
Type d'emploi : Temps plein, CDI"
6,https://www.indeed.fr/emplois?q=Int%C3%A9grateur%20Web&l=Bordeaux&radius=100&limit=100&sort=date&vjk=72752d0ab2f48711,"Intégrateur de données – Junior (H/F)
CITECH - Bordeaux (33)","['Bordeaux (33)', '30 000 € - 40 000 € par an']",Intégrateur de données – Junior (H/F),CITECH,- Bordeaux (33),30 000 € - 40 000 € par an,30 000 € - 40 000 € par an,"il y a 30+ jours
- Continuer pour postuler
Signaler cette offre d'emploi",Intégrateur Web,Bordeaux,"Job Description

Vous souhaitez rejoindre une entreprise spécialisée dans la publicité et le marketing numérique ? Cela tombe bien : nous recrutons un(e) Intégrateur de données - Junior (H/F).
Au sein d’une équipe de 9 personnes et sous la responsabilité d’un Chef de Projet SI, vous serez en charge de gérer différents sujets autour de l’intégration et de la manipulation de données en masse.
Vous serez en charge de réaliser l’ensemble des étapes nécessaire à l’intégration de sources hétérogènes : de l’étude, des extractions de données jusqu’à la normalisation de données.

A ce titre, vos principales missions sont :
Réalisation d’outil Talend (avec une vision d’automatisation maximale et de respect des valeurs clients) ainsi que le crawl de contenus
Intégration des sources
Récupération proactive de données via le crawl de contenus sur différents sites internet
Mise en place de différents tableaux de bords BI pour permettre aux différents clients d’analyser facilement la pertinence de ces données

Qualifications

Qualifications
De formation minimum Bac+3, vous souhaitez évoluer et progresser dans le domaine de l’intégration de données.
Vous évoluerez dans différents contextes technologiques :
vous connaissez l’ETL Talend
BI : QlikView, Power BI, Google Cloud (Data Studio)
Base de données : Oracle, BO, SQL, Hadoop Big Data (HUE/ Impala), MySQL, PostGre
Maîtrise des outils bureautiques, spécifiquement Excel, des connaissances en VBA seraient un plus
Outil Internet et les technologies Web (HTML) (Symphony)
Connaissances en programmation JAVA
Mozenda (outil de scrap) ou équivalent
Techniques de normalisation et traitements en masse de données (REGEXP, etc.)
IDE : Eclipse
Ordonnanceur : Jenkins
Suivi d’anomalies : KATS, Mantis
Vous parlez anglais.
Qualités attendues
Nous recherchons une personne passionnée prête à se retrousser les manches et à s’investir dans un projet ambitieux. Le travail ne vous fait pas peur et vous avez le goût du challenge !
Vous devrez faire preuve d’autonomie et de curiosité pour vous approprier les différents projets. Vous êtes capable de gérer plusieurs sujets en même temps et avez le goût du travail en équipe.

Additional Information

Poste basé à Bordeaux (33)
CDI: 30-40K€ négociable
Freelance : TJM 200-250€/j
Pourquoi rejoindre Citech ?
Une ambiance de travail conviviale avec des afterworks organisés régulièrement !
Une mutuelle avantageuse pour vous mais aussi pour les membres de votre famille
Une flexibilité sur la gestion de vos repas
Un statut Cadre et une convention collective SYNTEC
Des formations adaptées à vos envies et vos aspirations
Une mobilité que si vous le souhaitez
Alors qu’attendez-vous pour nous rejoindre ?
Company Description
CITECH ce n’est pas une Entreprise de Services du Numérique comme les autres : c’est avant tout une aventure humaine. Nous cherchons des personnalités passionnées qui nous ressemblent ! Dans un environnement convivial et chaleureux, venez révéler vos talents !
Nos fidèles clients, reconnus à l’échelle internationale, offrent à nos collaborateurs de multiples possibilités de carrière. Nos domaines d’interventions sont variés : banque, assurance, automobile, santé, transport ou encore la robotique, vous trouverez forcément un secteur épanouissant, à votre image !
Vous avez un projet professionnel ? Nous sommes là pour vous aider à le développer. Pour nous, l’essentiel c’est vous. C’est pourquoi nous assurons un suivi régulier et portons une attention toute particulière à votre plan de carrière.

Réf : 190808_Intégrateur_33"
7,https://www.indeed.fr/emplois?q=Int%C3%A9grateur%20Web&l=Bordeaux&radius=100&limit=100&sort=date&vjk=2402e8b095b43f22,"Developpeur web Angular / PHP H/F
JeChange2 avis - Bordeaux (33)","['Bordeaux (33)', 'Temps plein, CDI', '40 000 € - 45 000 € par an']",Developpeur web Angular / PHP H/F,JeChange,- Bordeaux (33),"Temps plein, CDI",40 000 € - 45 000 € par an,"il y a 30+ jours
Signaler cette offre d'emploi",Intégrateur Web,Bordeaux,"Depuis 10 ans, JeChange, ""pépite de la french tech"", de nombreuse fois primée dont, lauréat du Deloitte Technology Fast 500 EMEA 2017, est un service digital gratuit dédié à la réduction de toutes les factures courantes (énergie, forfait mobile, internet, assurance, banque en ligne) auprès des particuliers et des professionnels. En tant que Data Driven Company, nous mettons la technologie et les données personnelles au cœur de notre service pour vous simplifier la vie.
Désormais présent dans le secteur des fintech suite au rachat en 2017 du courtier Crédit Unique, expert du rachat de crédit et prêt immobilier depuis plus de 20 ans, JeChange vous accompagne dans l’amélioration de vos services financiers.
JeChange est une scale up à forte croissance de plus de 150 salariés basés à Paris, Bordeaux et Agen. Soutenu depuis Juillet 2016 par Ardian Croissance, JeChange est en pleine expansion européenne et parle toutes les langues mais avec un petit accent du Sud Ouest, c’est pour cela qu’on plaque mieux les factures que personne.
Avec la super team, on aime à penser que sans imagination la tech n'a aucune chance, que même le ciel n’est pas une limite et surtout que « work hard » rime avec « play hard » et que « sans confiance il n’y a pas de talents ».
Rejoignez nous.
Le poste
En collaboration avec l'ensemble de l'équipe, vous êtes en charge de la conception, de l'amélioration et de la maintenance de nos différentes applications web et mobile.
Dans ce cadre, vous serez amené(e) à comprendre et intégrer les problématiques « métier » et ainsi participer à l'élaboration et la mise en place de nouvelles technologies au sein de l'application. Vous travaillerez en collaboration avec une équipe technique composée de développeurs front-end et back-end, data-analystes, un intégrateur, un designer UI… afin de réaliser des interfaces intuitives et performantes.
Votre capacité à travailler en équipe et être force de proposition est primordiale. Vous aimez les défis et travailler sur des projets qui nécessitent de la réflexion, de l'engagement.
Votre profil
Développeur(se) confirmé(e), vous justifiez d’une expérience en Angular. Le DOM, HTML5, CSS3 et Javascript vous intéresse et constitue votre sujet de veille. PHP, GIT et l’utilisation des environnements d’intégration continue ne vous font pas peur.
De plus vous présentez une solide culture Web et passez beaucoup de temps à échanger des gif de chatons sur Slack.
Doté(e) d'une capacité à analyser les besoins business afin de les traduire en interfaces fonctionnelles, vous savez produire un code de qualité. Vous avez également une bonne capacité à vous exprimer et à défendre les raisons de vos choix.
Vous êtes curieux(se), méthodique, imaginatif(ve), avez le sens du détail et assurez une veille constante.
Vos qualités
Capacité à mener plusieurs projets en parallèle
Sens aigu de l'accompagnement et de la pédagogie
De bonnes notions d'accessibilité, référencement naturel, webPerf
Une connaissance du CMS WordPress
De la curiosité pour les nouvelles technos en général
À propos de l'offre
CDI à temps plein basé à Bordeaux dans les locaux de notre filiale; le reste de l'équipe tech étant à Agen (47), vous vous y rendrez au moins une fois par mois.
Rémunération en fonction du profil
Pour votre candidature, merci d'adresser : CV, portfolio, profil GitHub, lettre de motivation
Type d'emploi : Temps plein, CDI
Salaire : 40 000,00€ à 45 000,00€ /an"
8,https://www.indeed.fr/emplois?q=Int%C3%A9grateur%20Web&l=Bordeaux&radius=100&limit=100&sort=date&vjk=ce9188861ef01402,"Intégrateur Web (H/F)
TEAMSIDE IT - Bordeaux (33)","['Bordeaux (33)', 'CDI']",Intégrateur Web (H/F),TEAMSIDE IT,- Bordeaux (33),CDI,null,"il y a 30+ jours
Signaler cette offre d'emploi",Intégrateur Web,Bordeaux,"Teamside IT, créateur d'opportunité professionnelles recrute pour son client, PME du secteur digital, un(e) :
Intégrateur Web (H/F)
en CDI
à Bordeaux (33)
POSTE :
Intégré(e) au sein d'une équipe d'une dizaine de personnes, dans une agence digitale en plein coeur de Bordeaux, vous intervenez sur plusieurs projets à destination de clients divers, sur un rôle transverse entre le pôle graphique, qui vous fournira les maquettes sur-mesure, et le pôle développement web qui se chargera de tout le back-end du site (PHP, BDD ...). Votre mission principale consiste à prendre en charge l'intégration de maquettes.
PROFIL :
Vous disposez d'une expérience de 2 ans minimum sur poste similaire et maitrisez les technologies suivantes :
- HTML
- CSS
- Javascript
- SVG
Vous disposez de compétences solides sur l'animation (que ce soit en CSS, JS ou SVG) et maitrisez les logiciels de graphismes (et principalement la suite ADOBE PHOTOSHOP, XD, ILLUSTRATOR, INDESIGN ...)
Des notions de PHP seront les bienvenues mais le cœur du poste est sur l'intégration de maquette.
Prise de poste : à partir de fin août
Type d'emploi : CDI
Expérience:
intégrateur web (h/f) ou similaire: 2 ans (Souhaité)"
9,https://www.indeed.fr/emplois?q=Int%C3%A9grateur%20Web&l=Bordeaux&radius=100&limit=100&sort=date&vjk=fd417465dfd98812,"Pilote de projets en transformation digitale
Digitall Conseil - Bordeaux (33)",['Bordeaux (33)'],Pilote de projets en transformation digitale,Digitall Conseil,- Bordeaux (33),null,null,"il y a 30+ jours
- Continuer pour postuler
Signaler cette offre d'emploi",Intégrateur Web,Bordeaux,"DIGITALL Conseil, cabinet conseil et organisme de formation spécialisé dans l‘accompagnement des entreprises en transformation numérique, opère des missions conseil et formation depuis près de 6 ans auprès d’entreprises désireuses de réussir leur transformation.
Dans le cadre du développement de notre activité en AMOA (assistance à maîtrise d’ouvrage) nous souhaitons accueillir un pilote de projets en transformation digitale afin d’assurer la conduite de projets digitaux : sites web, intranets, applications, CRM, data, campagnes marketing… pour le compte de nos clients. Elle/il aura la responsabilité de mener des missions allant de l’assistance à maîtrise d’ouvrage au pilotage de la maîtrise d’œuvre externalisée. Il sera le garant du bon déroulement des projets qui lui sont confiés en maintenant un lien permanent entre nos clients et la direction du cabinet.
VOTRE MISSION
Vous rejoindrez une équipe ayant un goût prononcé du challenge, l’esprit entrepreneurial, et qui vous fera bénéficier de sa méthode d’accompagnement mise au point grâce à un solide retour d’expérience.
Rattaché(e) à la direction du pôle projets AMOA, votre rôle consistera à réaliser les missions suivantes :
En étroite collaboration avec le directeur du pôle, vous assurerez le cadrage des projets et l’analyse de l’existant (processus métiers, état des lieux, benchmarks concurrentiels, etc) au travers d’animation d’ateliers et d’entretiens avec nos clients,
En vous appuyant sur les diagnostics et les stratégies de transformation digitale que nous aurons préalablement conçues, vous identifierez les solutions techniques à déployer, et vous participerez à la conception de plateformes digitales à forte valeur ajoutée,
Vous serez force de propositions en apportant votre savoir-faire au niveau ergonomie, parcours client, accessibilité, conversion, référencement, choix techniques…,
Vous prendrez en charge la rédaction des cahiers des charges et des spécifications fonctionnelles,
Vous piloterez des appels d’offres de bout en bout afin de sélectionner des prestataires en solutions technologiques permettant de répondre aux objectifs de nos clients. A l’issue de cette sélection, vous assurerez le rôle de pilote de projet et coordonnerez l’ensemble des intervenants (agences web, SSII, intégrateurs, éditeurs, freelances…) en charge des réalisations graphiques et techniques,
Véritable chef d’orchestre, vous vous appuierez sur votre solide retour d’expérience en pilotage de projets complexes pour garantir le respect du périmètre fonctionnel, du budget, et du planning des projets qui vous seront confiés.
Votre profil
Vous disposez d’une expérience significative (minimum 5 ans) à un poste similaire en maîtrise d’ouvrage ou assistance à maîtrise d’ouvrage, idéalement chez un annonceur, sur des missions de gestion de projets digitaux complexes.
Expert en digital avec un retour d’expérience réussie en chefferie ou pilotage de projets complexes, vous maîtrisez précisément les méthodologies projets et les outils informatiques nécessaires au pilotage de projets, et disposez des compétences et qualités suivantes :
Curiosité, esprit critique et force de proposition,
Autonomie, adaptabilité et réactivité,
Capacité d’analyse et de synthèse,
Force de conviction et excellence opérationnelle,
Capacité relationnelle et très bonne communication afin de rallier et fédérer les différents acteurs d’un projet.
Vos journées seront rythmées autour d’échanges avec nos clients, de réflexions avec votre Directeur de pôle sur l’organisation de la mission, de longs moments de concentration pour rédiger des livrables à forte valeur ajoutée, et plusieurs pauses café avec l’équipe
Le candidat(e) recherché(e) doit être doté du goût du challenge et d’un grand sens de l’écoute, mais il/elle doit surtout faire preuve d’une rigueur organisationnelle et rédactionnelle, et d’un esprit analytique capable de coordonner des projets complexes dans tous types d’environnements.
Si vous vous reconnaissez parfaitement dans ce profil, nous avons fait une bonne partie du chemin, et nous vous invitons à nous transmettre votre candidature que nous analyserons avec soin.
Autre information
Contrat CDI.
Salaire : selon profil
Poste basé à Bordeaux, avec des déplacements possibles en Nouvelle-aquitaine et ponctuellement au niveau national (permis B requis).
Candidature
Vous souhaitez rejoindre une entreprise différente ? Nous vous proposons un processus de candidature spécifique en 2 étapes :
1/ Postulez via le bouton ci-dessous en envoyant votre CV (et uniquement votre CV)
2/ En retour, vous recevrez un petit exercice permettant de vous présenter. Vous aurez 48h pour le remplir.
Attention : seules les candidatures ayant transmis leur dossier complet seront étudiées."
