,id,meta1,meta2,titre_poste,entreprise,localisation,contrat,salaire,date_publication,keyword_metier,keyword_localisation,description
0,https://www.indeed.fr/emplois?q=Software%20Engineer&l=Bordeaux&radius=100&limit=100&sort=date&vjk=9bde9dfd502ceaca,"JavaScript Software Engineer - H/F
anakine.io - Bordeaux (33)","['Bordeaux (33)', 'Temps plein, CDI', '40 000 € - 50 000 € par an']",JavaScript Software Engineer - H/F,anakine.io,- Bordeaux (33),"Temps plein, CDI",40 000 € - 50 000 € par an,il y a 3 jours,Software Engineer,Bordeaux,"Rejoins une Startup déjà très solide qui développe une solution web destinée au grand public et qui compte déjà plus d'un million de membres !
En plein centre-ville de Bordeaux, l'équipe technique (composée de 10 développeurs passionnés !) t'attend pour accélérer ses projets !
Ambiance startup, challenges techniques, veille techno, participations à des évènements locaux etc.
Ton job !
Au sein de l'équipe Tech (et en méthodologie agile), tes missions seront les suivantes :
Développement fullstack JavaScript (Node.js / React)
Intervenir sur des problématiques d’architecture distribuée, microservices, data mining, scraping, etc.
Travailler sur des API
Monter en compétences sur les sujets qui t'intéressent, selon tes souhaits (ES6 ou API ou Data mining ou orga scrum etc.)
Plus de dév Back ou de Front selon tes souhaits et compétences !
Environnement tech :
Postgres, Docker, ES6, Node.js, React, GraphQL, Git, Jira etc.
Profil recherché
Tu as idéalement une formation d'ingénieur
Tu as la culture du code de qualité et des bonnes pratiques !
Tu as plus de 2 ans d'expérience en développement JS
Tu es idéalement Fullstack, sinon très bon développeur backend Node.js !
Tu as l’esprit startup et tu as envie de rejoindre un projet en plein développement !
Tu aimes travailler en équipe, dans une ambiance plutôt détendue : )
Les + :
Veille techno
Sujets innovants (data mining etc.)
Organisation très souple
Ambiance détendue
Locaux en plein centre de Bordeaux
Avantages divers (choix du matériel etc.)
Type d'emploi : Temps plein, CDI
Salaire : 40 000,00€ à 50 000,00€ /an"
1,https://www.indeed.fr/emplois?q=Software%20Engineer&l=Bordeaux&radius=100&limit=100&sort=date&vjk=358063d9a52bdde3,"QA Engineer
Manomano2 avis - Bordeaux (33)",['Bordeaux (33)'],QA Engineer,Manomano,- Bordeaux (33),null,null,"il y a 4 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Software Engineer,Bordeaux,"As part of the Product organization, you will join the Software Quality Assurance team and work closely with Product Managers, Backend and Frontend Developers to ensure we always deliver the best experience to our users.
Your missions :
Ensure that anomalies are detected as early as possible, while allowing teams to iterate quickly and frequently
Collaborate with Product Managers to design User Acceptance test plans and cases
Share knowledge and experience with other QA Engineers
Work closely with Frontend and Backend Developers
Create, extend and update end-to-end regression test plans
Think out-of-the-box and come up with unanticipated test scenarios using Exploratory Testing techniques
Advocate for quality at all stages of the product development cycle
Provide constructive feedback on the overall user experience by putting yourself in the shoes of a real customer
Implement and maintain automated test cases
Execute manual and automated test cases
Fight test flakiness
Keep up-to-date with the QA industry’s best practices, tools and techniques
Profil recherché
What you bring :
Experience of at least 1 year in Software Quality Assurance
Experience with a software programming language (Javascript preferred)
Experience automating tests (Selenium, Cypress, Appium...)
You love technical challenges and problem-solving
The different software testing techniques have no secret for you
You fully understand what Agile and Lean mean
You’re a good team player
Full professional English proficiency
What ManoMano offers :
A start-up environment made in France in hyper growth
Autonomy with a wide field of action
An immersion in the data-driven e-commerce
Agile & international environment with bright and friendly colleagues
Working from Home possible 1 day per week
The international dimension (France, Italy, Spain, United Kingdom, Germany)
A pleasant setting in Paris in more than 3,000 m² (a gym, a terrace, a music room)
An atmosphere (average age 29)
Work–life balance
Informations complémentaires
Type de contrat : CDI
Date de début : 06 septembre 2019
Lieu : Bordeaux, France ()
Niveau d'études : Bac +5 / Master
Expérience : > 3 ans
Télétravail possible
Salaire : entre 35000€ et 60000€ / an"
2,https://www.indeed.fr/emplois?q=Software%20Engineer&l=Bordeaux&radius=100&limit=100&sort=date&vjk=3b9e7dc165c625bf,"Ingénieur Etudes et Développement REACT/.NET
Sage520 avis - Bordeaux (33)",['Bordeaux (33)'],Ingénieur Etudes et Développement REACT/.NET,Sage,- Bordeaux (33),null,null,"il y a 4 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Software Engineer,Bordeaux,"Nom du poste à pourvoir
Ingénieur Etudes et Développement REACT/.NET

Présentation de Sage
Sage dynamise la réussite des entreprises et de leurs communautés à travers le monde grâce à ses solutions innovantes, à l’expertise et à la créativité de ses collaborateurs. Nous réimaginons l’art d’entreprendre et apportons à nos clients l’énergie, l’expérience et la technologie nécessaires pour les inspirer et leur donner les moyens de réussir. Nous accompagnons les acteurs clé de l’économie globale comme les chefs d’entreprise, les comptables, les partenaires métiers et institutionnels, les développeurs ou encore les acteurs du secteur tertiaire. Membre du FTSE 100, Sage compte 14 000 collaborateurs répartis dans 24 pays.
Sage embrasse la diversité sous toutes ses formes. Notre ambition est de refléter la diversité de nos clients et partenaires dans les communautés que nous exploitons - ce qui accélérera la croissance et l'innovation. Nous créons un environnement véritablement inclusif dans lequel chacun contribue à notre vision, tout en restant véritablement soi-même.

Description du poste
Le Software Engineer Senior est responsable de la conception, de l'amélioration et de la maintenance des produits (solutions) et/ou des systèmes permettant de réaliser les objectifs à long terme de Sage en utilisant l'architecture définie.
Le Software Engineer Senior garantit de concevoir, développer et délivrer des produits (solutions) et/ou systèmes et services de haute qualité qui dépassent les attentes de ses clients ou partenaires. Il partage de manière proactive ses connaissances et compétences dans son domaine de responsabilité.

#LI-SD1

Responsabilités principales
A ce titre, vous aurez pour missions de:

Développer, délivrer, maintenir et implémenter des solutions techniques d’excellente qualité

Prendre en charge les fonctions/caractéristiques techniques définies par l’équipe développement

Participer à toutes les phases du cycle de vie du produit

Maintenir une documentation à jour qui décrit la logique, le codage, la configuration, les tests et les changements le cas échéant

S’efforcer continuellement d’apporter des améliorations aux produits, systèmes et services existants

Rechercher du feedback auprès des membres de son équipe et en tenir compte

Assurer du mentoring et/ou du coaching auprès des collaborateurs junior de l’équipe de développement

S’assurer que toutes les tâches sont réalisées conformément aux exigences qualité attendues

Se tenir informé de toute évolution technologique relevant de son périmètre


Profil recherché :

De formation supérieure en informatique (Bac +2/5) ou Autodidacte passionné, vous possédez une expérience significative en développement d’applications Web avec des Frameworks React, .NET et Ruby Rails.
Vous avez connaissance de plusieurs langages de développement, cadres et bases de données pertinents.
Force de proposition, vous attachez de l'importance au travail en équipe et êtes sensible aux nouvelles technologies.
Vous connaissez les méthodes agiles type SCRUM (idéalement 6 mois d’expériences)
Vous êtes doté d’une excellente capacité de raisonnement numérique et logique avec de bonnes aptitudes à résoudre les problèmes.
Vous avez une bonne capacité d'interpréter les exigences des utilisateurs et de les traduire en spécifications techniques et/ou en codes
Vous collaborez de façon active et enthousiaste.

Compétences :

Orienté client, dans une logique de fournir un service excellent

Orienté action, capable de prendre de nouveaux challenges avec enthousiasme

Inspirer confiance, capable de gagner facilement la confiance des autres et de respecter ses engagements

Innovant, capable d’identifier les occasions de mieux faire les choses et de partager les meilleures pratiques

Collaboratif, en établissant et en maintenant de solides relations de travail et en travaillant avec ses collègues pour atteindre des objectifs communs

Fonction
Product

Pays
France

Lieu
Bordeaux

Région"
3,https://www.indeed.fr/emplois?q=Software%20Engineer&l=Bordeaux&radius=100&limit=100&sort=date&vjk=1296fbeafa9f1483,"SRE Openstack H/F
OVH35 avis - Bordeaux (33)",['Bordeaux (33)'],SRE Openstack H/F,OVH,- Bordeaux (33),null,null,"il y a 6 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Software Engineer,Bordeaux,"Ref
SREOp0519
CDI
Bordeaux
Brest
Gravelines
Lille
Lyon
Nantes
Paris
Rennes
Roubaix
Strasbourg
Toulouse
Croix
France
OVH offers a wide range of Cloud services to companies, organization or individuals.
Whether you're looking for Private Cloud, Public Cloud or even Hybrid Cloud solutions, our services are always being improved with the very latest technologies and innovations.

Our organization brings together people with a wide variety of backgrounds, experiences and perspectives.
We encourage them to collaborate, think big and take risks in a blame-free environment.
We promote self-direction to work on meaningful projects, while we also strive to create an environment that provides the support and mentoring needed to learn and grow.

Have you ever wondered what a public cloud consists of ?
Are you interested in challenging deployments, with thousands of physical servers?
Are performances, resiliency and automation in your DNA?

If yes, apply to this job immediately !

Site Reliability Engineer (SRE) in Public Cloud Infrastructures (PCI) team.

By joining the PCI team, you will be involved in a dynamic team, which is solving amazing challenges and working on huge scale deployments (one of the biggest OpenStack deployment in the world).

With the help of your software and system engineering skills, we will together build and run a large-scale OpenStack infrastructure.

On a daily basis this is what the job looks like:
Take architectural decision to manage OpenStack at scale
Develop new OpenStack features
Fix OpenStack bugs (yes, bugs are everywhere!)
Automate deployment of OpenStack modules
Operate large scale OpenStack infrastructure
Monitor and measure overall system health
Make sure the services are up and running all the time, no matter what
Practice sustainable incident response and blameless postmortems
Bring some cookies to our teammates !

Your Skills ?

What you absolutely need:
Motivation
Deep dive software debugging
Team player
English (most of the team is French, but hey, nobody is perfect!)

Some technologies we are familiar with:
Linux system management
Git (if you using any other tool, think about moving to git!)
Python
Bash
OpenStack
Automation tools such as Puppet and Ansible
Linux networking (routing, iptables, namespaces, openvswitch, linuxbridge, etc.)
Vim (but we also accept emacs, no joke, but there will be judgement

Extra: Debian Packaging (we are mostly using Ubuntu and Debian as Operating Systems)

Your background ?

This job is for you if you already played with:
OpenStack (or any cloud solution)
Containers (docker, etc.)
Puppet, ansible, terraform or any tool used for automation
Free software development
Continuous Integration (CI) and Continuous Deployment (CD)
Moreover, if you have already been involved in a SRE team or worked as a DevOps, we need you !

Even if you don't, your motivation and aptitudes are your best arguments."
4,https://www.indeed.fr/emplois?q=Software%20Engineer&l=Bordeaux&radius=100&limit=100&sort=date&vjk=8876d962f01b7670,"System Engineer Moyens de tests (H/F)
Thales Group1,222 avis - Bordeaux (33)",['Bordeaux (33)'],System Engineer Moyens de tests (H/F),Thales Group,- Bordeaux (33),null,null,"Thales - il y a 8 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Software Engineer,Bordeaux,"QUI SOMMES-NOUS ?
L’activité Systèmes de missions de défense fournit des équipements, des solutions et des services liés aux systèmes de combat électroniques, de surveillance et de reconnaissance, de combat naval, de surface et de lutte sous la mer.
Sur le Campus Thales Bordeaux, nous concevons, développons et livrons des systèmes, des équipements et des services pour assurer la réussite des missions aéroportées de nos clients, dans les domaines du transport, de la surveillance et du combat.
La direction soutien et service client recherche un/une System Engineer Moyens de tests (H/F), en CDI à Bordeaux.
QUI ETES-VOUS ?
Vous êtes issu(e) d'une formation d'ingénieur électronique option informatique ou un équivalent ?
Vous justifiez d’une première expérience dans le domaine du test ou d’un développement produit ?
Rigueur, organisation, communication et résistance au stress sont des atouts que l'on vous reconnait ?
Vous disposez d’un bon relationnel et savez être à l’écoute des besoins de nos prescripteurs et des demandes de nos sous-traitants ?
Vous maîtrisez l'anglais à l'oral et à l'écrit ?
La connaissance du monde Radar est un plus.
CE QUE NOUS POUVONS ACCOMPLIR ENSEMBLE :
Au sein de Defence Mission Systems (DMS), l’Unité Tests de Bordeaux participe à l’élaboration et au maintien en conditions opérationnelles des systèmes de tests nécessaires aux Radars, Produits de guerre électronique et calculateurs des avions de combat type M2000 et Rafale.
Sous la responsabilité d’un System Engineering Manager (SEM), le System Engineer (SE) participe à la tenue des engagements d’Ingénierie Système. Il a en charge les activités techniques de conception et d’intégration/validation/qualification du moyen.
Dans le cadre de votre mission, vous assurez :
La rédaction du document de spécification du moyen, au regard du besoin du client,
L’instanciation de l’architecture Ligne de Produit générique sur le moyen de test,
La construction du dossier de justificatif de la définition,
La rédaction/préparation des données d’entrées destinées au(x) sous-traitant(s) d’étude/réalisation HW/SW,
Le support technique au(x) sous-traitant(s) durant la phase de réalisation/intégration,
La réalisation du logiciel de test de l’équipement,
L’acceptation fonctionnelle de la fourniture des sous-traitant(s),
L’intégration hardware/software du moyen,
La validation/qualification de ce moyen,
Des déplacements sont à prévoir en France ou à l’étranger.
Innovation, passion, ambition : rejoignez Thales et créez le monde de demain, dès aujourd’hui."
5,https://www.indeed.fr/emplois?q=Software%20Engineer&l=Bordeaux&radius=100&limit=100&sort=date&vjk=0bb05f6ff7535b69,"Technicien déploiement Telecom WDM - Field engineer F/H
VOSRECRUTEURS.COM - Bordeaux (33)","['Bordeaux (33)', 'CDI', '28 000 € - 38 000 € par an']",Technicien déploiement Telecom WDM - Field engineer F/H,VOSRECRUTEURS.COM,- Bordeaux (33),CDI,28 000 € - 38 000 € par an,"il y a 9 jours
Signaler cette offre d'emploi",Software Engineer,Bordeaux,"VOSRECRUTEURS.COM recrute pour l'un de ses clients, acteur leader dans le déploiement d'équipements actifs de télécommunications (clients type GAFA & opérateurs), un :
Technicien en installation et mise en service de réseaux de transmission optique F/H
En synthèse :
Le technicien installation / mise en service réseaux de transmission optique effectue les relevés terrain, l’installation des équipements, le montage, le raccordement et la configuration du matériel, il s’assure également que l’installation est conforme au cahier des charges.
Vos missions :
Vous intégrez une équipe en charge de mettre en place des équipements « fibre optique » après les avoir pré configurés :
Installation électrique et mécanique d’équipement de transmission optique,
Mise en baie,
Raccordement et brassage électrique AC/DC,
Installation et fixation baie,
Raccordement et brassage optique,
Raccordement et brassage cuivre,
Configuration équipements (Ciena/Nokia/Huawei/Infinera/Adva...),
Configuration des équipements,
Réalisation de tests optiques,
Test de recettes sur site,
Réalisation de recette optiques (OTDR/PMD/CD)
Élaboration de documents d’ingénierie d’installation
Poste terrain : Autonomie et les déplacements (régional, national voire international si vous le souhaitez) !
Votre profil :
Formation : Bac/Bac+2 et plus, Formation Réseaux Télécoms, Formation ou expériences dans les domaines suivants : Électrotechnique – Électricité - Software - Hardware - Installateur en électricité
Permis B
Idéalement, poste similaire depuis au moins 2 ans
Connaissance d'équipements CIENA, ALU ou HUAWEI
Anglais Professionnel indispensable / Capable de lire et comprendre l’anglais
Conditions et salaires très avantageux !
N'hésitez à postuler pour en savoir plus.
Type d'emploi : CDI
Salaire : 28 000,00€ à 38 000,00€ /an"
6,https://www.indeed.fr/emplois?q=Software%20Engineer&l=Bordeaux&radius=100&limit=100&sort=date&vjk=36872c742c22679e,"Data Scientist
DESKi - Bordeaux (33)",['Bordeaux (33)'],Data Scientist,DESKi,- Bordeaux (33),null,null,"L'Intelli'agence - il y a 19 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Software Engineer,Bordeaux,"DESKi, “learn” in Breton, is a young and innovative company, combining a strong expertise in both medical imaging and artificial intelligence. DESKi and Bordeaux University Hospital (CHU) have signed a framework agreement to expand and facilitate the development of research projects in the field of artificial intelligence. DESKi works hand in hand with medical practitioners and researchers to develop automated, accurate, and data-driven medical image analysis tools to simplify the use of ultrasound systems by clinicians who are not specialists.
Site web :
http://www.deski.io
Poste et missions
The objective of this position is to elaborate different solutions for an automated ultrasound analysis tool using Deep Learning.
You will join a multidisciplinary team of medical expert and Machine Learning engineers who are dedicated to spread medical expertise to a wider community.
You will be responsible for:
developing AI tools answering specific clinical needs
research projects management
https://youtu.be/ra6KdA6KIkE

Mobilité géographique :
Internationale
Prise de fonction :
17/09/2019
Profil
Requirements: PhD, or MSc. in applied mathematics, image/signal processing, computer science, software engineering
Strong mathematical background
3+ year experience in Machine/Deep learning
Programming skills in Python (TensorFlow, Keras, OpenCV, Numpy, Scikit, Flask)
Experience in production environments: documentation/specification, units test, deployment/integration
Medical culture is a plus"
7,https://www.indeed.fr/emplois?q=Software%20Engineer&l=Bordeaux&radius=100&limit=100&sort=date&vjk=91285767d37d8b56,"Ingénieur Validation Logicielle / Software QA Test Engineer (H/F)
Lectra18 avis - Cestas (33)","['Cestas (33)', 'Temps plein, CDI']",Ingénieur Validation Logicielle / Software QA Test Engineer (H/F),Lectra,- Cestas (33),"Temps plein, CDI",null,"il y a 24 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Software Engineer,Bordeaux,"Entreprise internationale œuvrant pour la satisfaction de ses clients dans plus de 100 pays, notre département R&D, basé à Cestas (proche Bordeaux) recherche un(e) :
Ingénieur Validation Logicielle / Software QA Test Engineer (H/F)

POSTE
Au sein d’une équipe agile spécialisée dans le traitement de la donnée, composée de développeurs, d’un expert métier et d’un chef de projet, vous aurez en charge la validation des jeux de données et de leur traitement. Pour cela, vous participerez à la définition et mise en œuvre de la stratégie de validation fonctionnelle au travers de tests manuels et automatisés afin de garantir un très haut niveau de qualité sur l’ensemble des développements.

MISSIONS

Intégré(e) à une équipe dans un contexte Lean / Agile, vos missions principales seront les suivantes :
Avoir une bonne compréhension des besoins et des enjeux liés aux produits développés,

Définir et mettre en œuvre de la stratégie de test en accord avec l’ensemble des acteurs du projet,

Rédiger les plans de tests et les cas de test,

Automatiser, suivre, analyser et maintenir les tests (tests fonctionnels, end to end et API),

Saisir les anomalies, les suivre et valider leur correction,

Participer aux mises en production (environnements Cloud et On Premise) dans le cadre des exigences de qualité définies,
Participer à la mise en place d’outils de tests ou de processus permettant d’optimiser les tâches de validation dans un contexte d’amélioration continue (scripting, gestion des jeux de données, etc.) et de livraison continue,
Etre partie prenante au sein de la communauté validation / QA,
Avoir un fort esprit d’équipe et un bon relationnel contribuant ainsi à travailler dans un environnement productif, collaboratif et agréable.

ENVIRONNEMENT TECHNIQUE
Outils de tests : Postman, Karate DSL, Selenium, Git / GitLab, Jenkins, Version One
Méthodes : Lean / Agile, Scrum / Kanban, BDD, Continuous Delivery
Langages de développement : Java, Scala, SQL

Profil
De formation Bac +3 à Bac +5, vous justifiez d’une expérience de 2 à 3 ans sur le même poste au sein d’une équipe de validation logicielle / assurance qualité logicielle, de préférence en environnement Cloud.
Vous avez une expertise en méthodologie de test logiciel (une certification ISTQB serait un plus), en outillage de test et d’automatisation et êtes habitué des environnements d’intégration continue type Jenkins et de gestion de configuration comme GIT / SVN.
Vous avez des notions en développement back-end et/ou possédez une expérience en tests automatisés.
Autonome et curieux, vous avez envie d’évoluer dans une équipe dynamique et sympa ? Vous souhaitez découvrir le monde de la mode et ses grandes marques ? Vous souhaitez vous épanouir dans un environnement agile ? Ne cherchez plus, ce poste est fait pour vous.
Contactez-nous vite à l’adresse suivante : drh-lectra@lectra.com, référence 18-163."
8,https://www.indeed.fr/emplois?q=Software%20Engineer&l=Bordeaux&radius=100&limit=100&sort=date&vjk=65f5f67f69e2a7a8,"Junior Java Distributed Systems Developer
siren - Talence (33)",['Talence (33)'],Junior Java Distributed Systems Developer,siren,- Talence (33),null,null,"il y a 23 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Software Engineer,Bordeaux,"We have a unique opportunity for a driven, passionate Junior Java Developer in our Data Intelligence company, dealing with Pharmaceutical, Financial, Law Enforcement and high end Machine Logging environments.

If you’re passionate about Big Data, Analytics and its impact on Enterprise, and love working with brilliant engineers and customers to join the dots to bring solutions to life, this is an opportunity to join an Early Stage, VC backed company with very ambitious plans.

We are looking for a Junior Java Developer that will be part of our backend team and help us build our big data platform architecture. Your roles and responsibilities will consist in:

Contributing in all phases of the development lifecycle
Writing well designed, tested, efficient code
Ensuring designs are in compliance with specifications

You will be able to learn advanced Java techniques, such as distributed, asynchronous and multi-thread programming, as well as distributed computing architecture and related algorithms.

We have:

A great start-up with a unique approach to Data Intelligence, combining Search and Knowledge Representation approaches
Momentum – imagine in a crowded “Big Data” world clients telling us we have a unique value proposition and they ""have never seen something like this""
A passionate team with the highest academic credentials in Data Semantics research
Clients in Life Sciences, Financial Services and Law Enforcement & Intelligence
Funding and experienced leadership
Stock Options as part of your compensation! be part of the excitement of a very fast growing early stage company.

You have:

MS degree (or equivalent) in Computer Science, Engineering or a related subject
Proven hands-on Software Development experience
Proven working experience in Java development
Experienced in Java Asynchronous, Distributed, Multithread programming
Understanding of performance programming and optimizations
Understanding of data structures and algorithms
Experienced in team work

You preferably have:

Exposure to Elasticsearch, Solr, Lucene or others Information Retrieval backends.
Exposure to modern Data technologies (NoSQL, Hadoop, Spark, etc.)
Exposure to Distributed Computing and Relational Algebra theory"
9,https://www.indeed.fr/emplois?q=Software%20Engineer&l=Bordeaux&radius=100&limit=100&sort=date&vjk=6cbe79dac06cd284,"HW - Embedded Hardware Engineer in power electronics
EVBox - Léognan (33)",['Léognan (33)'],HW - Embedded Hardware Engineer in power electronics,EVBox,- Léognan (33),null,null,"il y a 30 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Software Engineer,Bordeaux,"Who we are:
EVBox is the leading global manufacturer of electric vehicle charging stations and charging management software. With an installed base of over 60,000 charge points including 700 fast charging points in 45 countries, EVBox drives sustainable mobility, by bringing the leading electric vehicle charging solutions to the world.
Just like the automobile replaced the horse and carriage, so will electric vehicles replace combustion-based automobiles. A charging point at every parking spot, an Electric Vehicle for every driver.

As an Embedded Hardware Engineer, you’ll be part of the development of our new EVBox hardware for power electronics within multiple projects. You will work on the overall product development strategy for embedded systems and report to our Lead of Embedded Hardware Engineering, DC.

Responsibilities:
Develop new EVBox hardware and firmware for power electronics within multiple projects
Design new hardware and firmware for existing and future power electronics platforms
Creating reliable hardware and firmware for remotely accessible charging stations, enabling remote control, monitoring and troubleshooting
Working together with the team to enable future implementations of communication between electric vehicles and charging stations
Developing hardware and firmware functionality living up to the ever-increasing security standards
Develop testing protocols for hardware and firmware
Guide Technical Support Engineers on new electronics setup’s and hardware and firmware releases
Work on development of documentation (system) related to hardware and firmware


Minimum Bachelor’s degree in a technical field
Excellent programming experience in Embedded C
Proven experience in dedicated embedded firmware code development
Proven experience in embedded hardware systems, specifically microcontroller development environment
Experience in RTOS systems
Experience in industrial communications such as CAN or Modbus
Experience microcontrollers communications such as SPI or I2C.
Experience in digital and analog electronics design
Experience in OrCAD or Altium software design
Proven track record in successful hardware or firmware delivery for commercial systems/consumer products
Experience working in an agile team/environment (scrum)
Knowledge of electronic standards and principles is a plus"
