,id,meta1,meta2,titre_poste,entreprise,localisation,contrat,salaire,date_publication,keyword_metier,keyword_localisation,description
0,https://www.indeed.fr/emplois?q=Data%20Analyst&l=Bordeaux&radius=100&limit=100&sort=date&vjk=2aecfb87817667c6,"ERP Business Analyst
SAUERMANN - Bordeaux (33)
CDI",[],ERP Business Analyst,SAUERMANN,- Bordeaux (33),null,null,"il y a 3 jours
Signaler cette offre d'emploi",Data Analyst,Bordeaux,"The Sauermann Group is an international Industrial company operating in the fields of HVAC instrumentation and condensate pumps. Founded 40 years ago, the group includes close to 400 employees today and has multiple factories, R&D centers, distributors, and subsidiaries all around the world. The Group is privately owned and has been steadily and profitably growing to reach today a global turnover of 60 million euros.
Following our development, we are currently looking for an ERP Business analyst:
Job Summary
Provides technical and functional support in the areas of: ERP (Enterprise Resource Planning) system administration, problem resolution, support, process mapping, system testing and development, security access and training. Designs, develops, test, deploy, and maintain data processing solutions to enhance the ERP systems.
Essential Functions
Assists in developing procedures to ensure integrity of ERP system and databases;
Assists in ensuring that external/internal regulations and policies governing data management are met, including regulations concerning security, audit and privacy;
Thoroughly understands ERP subsystem in order to assign appropriate system access to users at different levels across the institution;
Develops and implements project plans for ERP functional support tasks;
Troubleshoots application software and database problems on a timely basis;
Works as a system analyst with key personnel to help define user needs and develop data processing solutions;
Maintains liaisons with business, technical staff, and extended support organizations for resolution of ERP issues;
Works with end-users to analyze, design, construct and implement small applications in support of regular business operations; documents applications and provides cross-functional training as needed;
Works with end users on all functional modules to document business needs/requirements for upgrades and enhancements;
Requires the kind of teamwork, supervision, and personal interaction, that cannot be had in a home office situation; therefore, regular and predictable on-site attendance is a job requirement;
Education, Skills and Abilities
A Bachelor’s degree in Computer Information Systems or a closely related field;
Proficient English;
Demonstrated knowledge of systems analysis and information technology principles;
Experience with QAD or similar ERP solutions;
Customer service minded and solutions oriented;
Ability to work with a variety of personalities especially employees experiencing frustration with technology
Flexibility for travelling;
This is an exciting opportunity to join a growing group that provides the framework of a multinational as well as the agility, spirit, and opportunities of an entrepreneurial company
Type d'emploi : CDI"
1,https://www.indeed.fr/emplois?q=Data%20Analyst&l=Bordeaux&radius=100&limit=100&sort=date&vjk=92dafdeb4e1be5db,"Data Analyst (H/F)
ACTIVUS Group - Bordeaux (33)
Temps plein, CDI",[],Data Analyst (H/F),ACTIVUS Group,- Bordeaux (33),null,null,"il y a 10 jours
Signaler cette offre d'emploi",Data Analyst,Bordeaux,"Pour renforcer notre pôle Big Data, nous recrutons des Data Analysts (H/F).
En fonction de votre profil et de vos souhaits professionnels, vous intervenez chez un de nos clients pour lui apporter votre expertise et votre savoir-faire technologique.
Vos principales missions, si vous les acceptez :
Mener des analyses « Data Science » (R, SAS, Python, D3.js)
Réaliser des pré-analyses constitutives de l'intelligence métier
Mise à disposition de dashboards pour le suivi de KPIs
Design et pilotage de campagnes d’AB Testing & Scorecards
Maintenir, améliorer et concevoir des algorithmes d’extraction d’information provenant de données de différents formats
Mettre en place des protocoles expérimentaux pour démontrer les performances des algorithmes testés
Concevoir et déployer des modèles prédictifs pour piloter les activités marketing et business
Vous assurerez une veille permanente sur de nouvelles méthodologies, librairies, algorithmes et technologies permettant de faire évoluer nos solutions.
Vous êtes apte à intervenir dans un environnement challengeant et dynamique, immergé au sein d’équipes pluridisciplinaires (Data Science, Marketing, Big Data, Finances, Opérationnel …) auxquelles vous souhaitez faire bénéficier de votre expérience technique et fonctionnelle.
Vous effectuez une veille régulière sur les dernières technologies gravitant autour de la data (Dataiku, Spark, Power BI, QlikSense, D3.JS, Highchart.js, plot.ly, Watson, Cortana Intelligence Suite…), et vous êtes force de proposition dans l’évolution des systèmes existants.
Notre Agilité associée à la diversité de nos clients grands-comptes dans les secteurs santé, transport, grande distribution, Télécoms, banque et assurance, offrent aujourd’hui à nos équipes de nombreuses perspectives d’évolution.
PROFIL
Ingénieur grandes écoles ou autodidacte geek, vous justifiez d'un Bac+5 et au minimum de 2 années d’expérience dans une fonction de Data Analyst, Data Miner, Data Scientist ou Business Analyst.
Passionné par l’informatique et les nouvelles technologies, vous souhaitez retrouver une ambiance dynamique et exigeante qui saura accompagner votre évolution. Vous êtes curieux, motivé et avez le sens du travail en équipe.
Notre dynamisme et les projets innovants sur lesquels nous évoluons offrent à ceux qui nous rejoignent des opportunités motivantes. Nous saurons vous accompagner dans votre évolution.
Alors ! Serez-vous des nôtres ?
ACTIVUS
ACTIVUS-Group est une société de conseil de croissance qui, en 4 ans, est devenue experte dans ses domaines d’intervention :
IA, Big Data, Analytics, DataScience
Conseil et Audit
User Experience et Mobile Apps, DataVizualisation
Sécurité des Systèmes
Infrastructures Cloud et SaaS
Process Industriels
Nous entretenons avec nos partenaires une relation de confiance solide et durable qui s’appuie sur la proximité de nos équipes et l’expertise de nos consultants.
Notre, équipe composée de technophiles passionnés, renforce tous les jours notre ADN par son excellence technologique.
En 2019 notre groupe double ses effectifs en recrutant 100 nouveaux consultants sur tous nos domaines d’expertise.
En complément de nos implantations de proximité à Toulouse et Paris, nous poursuivons notre maillage local en ouvrant quatre agences à : Bordeaux, Lyon, Nantes, Aix/Marseille.
Nous recrutons aussi sur Hambourg, en République Tchèque et en Suisse.
Type d'emploi : Temps plein, CDI"
2,https://www.indeed.fr/emplois?q=Data%20Analyst&l=Bordeaux&radius=100&limit=100&sort=date&vjk=050cd7f4d1692f2f,"Business Analyst (H/F)
ACTIVUS Group - Bordeaux (33)
Temps plein, CDI",[],Business Analyst (H/F),ACTIVUS Group,- Bordeaux (33),null,null,"il y a 10 jours
Signaler cette offre d'emploi",Data Analyst,Bordeaux,"Pour renforcer notre pôle Applications Digitales, nous recrutons un Business AnalystH/F
Vos principales missions :
Contribuer aux phases d'étude et de cadrage des besoins exprimés par les métiers et accompagnerez l'équipe projet sur les phases de conception et de recette (rédaction de spécifications fonctionnelles détaillées, stratégie de recette, cahier de tests fonctionnels, recette)
Gérer les phases de cadrage et de conception des projets
Recueillir et qualifier les exigences fonctionnelles et non fonctionnelles du métier
Assurer la responsabilité de la phase de cadrage en sollicitant les équipes concernées (DSI, métier et MOA,)
Participer à la rédaction de la stratégie de recette des projets
Contribuer à la construction et à l'alignement du portefeuille projet Métier et au bon déroulement des Comités Revue Projet
Notre Agilité associée à la diversité de nos clients grands-comptes dans les secteurs de la santé, du transport, de la grande distribution, des Télécoms, de la banque et de l'assurance, offrent aujourd’hui à nos équipes de nombreuses perspectives d’évolution.
PROFIL
Ingénieur grandes écoles ou autodidacte geek, vous justifiez d'une expérience dans un service d’assistance à maîtrise d’ouvrage, vous maîtriser les test, recette, support, conduite du changement.
Vous êtes titulaire d'un Bac +2/+3 ou +5 en informatique avec 2 ans d’expérience minimum.
Passionné par l’informatique et les nouvelles technologies, vous souhaitez retrouver une ambiance dynamique et exigeante qui saura accompagner votre évolution. Vous êtes rigoureux, motivé et vous avez des compétences de leader, ainsi qu'un bon sens du relationnel.
Notre dynamisme et les projets innovants sur lesquels nous évoluons offrent à ceux qui nous rejoignent des opportunités motivantes.
Nous saurons vous accompagner dans votre évolution.
Alors ! Serez-vous des nôtres ?
ACTIVUS
ACTIVUS-Group est une société de conseil de croissance qui, en 4 ans, est devenue experte dans ses domaines d’intervention :
IA, Big Data, Analytics, DataScience
Conseil et Audit
User Experience et Mobile Apps, DataVizualisation
Sécurité des Systèmes
Infrastructures Cloud et SaaS
Process Industriels
Nous entretenons avec nos partenaires une relation de confiance solide et durable qui s’appuie sur la proximité de nos équipes et l’expertise de nos consultants.
Notre, équipe composée de technophiles passionnés, renforce tous les jours notre ADN par son excellence technologique.
En 2019 notre groupe double ses effectifs en recrutant 100 nouveaux consultants sur tous nos domaines d’expertise.
En complément de nos implantations de proximité à Toulouse et Paris, nous poursuivons notre maillage local en ouvrant quatre agences à : Bordeaux, Lyon, Nantes, Aix/Marseille.
Nous recrutons aussi sur Hambourg, en République Tchèque et en Suisse.
Type d'emploi : Temps plein, CDI"
3,https://www.indeed.fr/emplois?q=Data%20Analyst&l=Bordeaux&radius=100&limit=100&sort=date&vjk=e7c6a2c0caab4ef0,"Business Analyst Supply Chain H/F
GESER-BEST Bordeaux9 avis - Bordeaux (33)",[],Business Analyst Supply Chain H/F,GESER-BEST Bordeaux,- Bordeaux (33),null,null,"Geser Best - il y a 10 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Data Analyst,Bordeaux,"Depuis plus de 25 ans GESER-BEST (9 agences en France/+ de 200 collaborateurs) accompagne ses clients de l’ingénierie à l’assistance technique, et nos ingénieurs et techniciens mettent au service des entreprises leur expérience pour la conduite et la réalisation des projets.
La dimension de notre entreprise et son organisation répondent aux attentes de nos clients en matière de réactivité et de qualité de nos prestations.

GESER BEST Bordeaux recrute un Business Analyst Supply Chain H/F pour :

Recueillir les besoins utilisateurs
Organiser et animer les workshops
Modéliser les besoins et processus
Créer et gérer la Product Backlog
Prioriser les User Stories
Participer aux événements (daily meeting, sprint planning, sprint review, retrospective meeting…)
Valider les sprints et les présenter aux utilisateurs finaux
Gérer les releases (scoping, design and deployment)
Rédiger les livrables (note de cadrage, cahier des charges, spécifications, guide utilisateurs…)
Analyser les techniques et fonctionnelles des incidents et filtrer les anomalies
Transférer les connaissances aux équipes IT
Planifier le projet
Veiller au respect du planning
Interface entre les différentes équipes MOE/MOA/Métier
Environnement fonctionnel : Supply Chain vision BI

De formation Bac+4/5 vous avez une expérience d’au moins 1 ans minimum sur un poste de consultant fonctionnel, business analyst ou chef de projet fonctionnel avec une vision data dans un contexte Supply Chain.
Idéalement vous maîtrisez la méthodologie Agile."
4,https://www.indeed.fr/emplois?q=Data%20Analyst&l=Bordeaux&radius=100&limit=100&sort=date&vjk=e2094255b867d476,"Business Analyst SOA Banque (H/F)
ACTIVUS Group - Bordeaux (33)
Temps plein, CDI",[],Business Analyst SOA Banque (H/F),ACTIVUS Group,- Bordeaux (33),null,null,"il y a 10 jours
Signaler cette offre d'emploi",Data Analyst,Bordeaux,"Pour renforcer notre pôle Applications Digitales, nous recrutons un Business Analyst SOA Banque H/F.
Vous interviendrez chez un de nos clients du secteur bancaire afin d'apporter votre expertise et de participer aux différentes phases d'un projet d'architecture SOA.
Vos principales missions, si vous les acceptez:
Contribuer aux phases d'étude et de cadrage des besoins exprimés par les métiers et accompagnerez l'équipe projet sur les phases de conception et de recette (rédaction de spécifications fonctionnelles détaillées, stratégie de recette, cahier de tests fonctionnels, recette)
Gérer les phases de cadrage et de conception des projets
Recueillir et qualifier les exigences fonctionnelles et non fonctionnelles du métier
Assurer la responsabilité de la phase de cadrage en sollicitant les équipes concernées (DSI, métier et MOA,)
Participer à la rédaction de la stratégie de recette des projets
Contribuer à la construction et à l'alignement du portefeuille projet Métier et au bon déroulement des Comités Revue Projet
Gestion de nouveaux flux
Modélisation dans le socle commun
Contrôle de présence
Analyse de la solution globale, sur les plans métier et architecture applicative,
Architecture d'Entreprise et projets (Multicanal, mobilité, multi-devices, BPM, CRM, ESB, MDM, SOA, Virtualisation, Cloud Computing, Big Data …),
Vous êtes apte à intervenir dans un environnement challengeant et dynamique, immergé dans toutes les dernières technologies.
Vous êtes force de proposition pour proposer de nouveaux modes de travail en phase avec la digitalisation de nos clients.
Notre Agilité associée à la diversité de nos clients grands-comptes dans les secteurs santé, transport, grande distribution, Télécoms, banque et assurance, offrent aujourd’hui à nos équipes de nombreuses perspectives d’évolution.
PROFIL
Ingénieur grandes écoles, vous justifiez au minimum de 10 années d’expérience en architecture (architecture métier et fonctionnelle, architecture technique, scénarios de solution). Vous disposez de compétences éprouvées en architecture SOA, architecture n-tiers, base de données et en méthodologies d'urbanisation des Systèmes d'Information.
Vous avez déjà participé à des projets à travers la méthodologie Agile.
Vous disposez d’un leadership vous permettant de naturellement piloter vos équipes et les accompagner dans leur évolution.
Passionné par l’informatique et les nouvelles technologies, vous souhaitez retrouver une ambiance dynamique et exigeante qui saura accompagner votre évolution. Vous êtes curieux, motivé et avez le sens du travail en équipe.
Notre dynamisme et les projets innovants sur lesquels nous évoluons offrent à ceux qui nous rejoignent des opportunités motivantes.
Nous saurons vous accompagner dans votre évolution.
Alors ! Serez-vous des nôtres ?
ACTIVUS
ACTIVUS-Group est une société de conseil de croissance qui, en 4 ans, est devenue experte dans ses domaines d’intervention :
IA, Big Data, Analytics, DataScience
Conseil et Audit
User Experience et Mobile Apps, DataVizualisation
Sécurité des Systèmes
Infrastructures Cloud et SaaS
Process Industriels
Nous entretenons avec nos partenaires une relation de confiance solide et durable qui s’appuie sur la proximité de nos équipes et l’expertise de nos consultants.
Notre, équipe composée de technophiles passionnés, renforce tous les jours notre ADN par son excellence technologique.
En 2019 notre groupe double ses effectifs en recrutant 100 nouveaux consultants sur tous nos domaines d’expertise.
En complément de nos implantations de proximité à Toulouse et Paris, nous poursuivons notre maillage local en ouvrant quatre agences à : Bordeaux, Lyon, Nantes, Aix/Marseille.
Nous recrutons aussi sur Hambourg, en République Tchèque et en Suisse.
Type d'emploi : Temps plein, CDI"
5,https://www.indeed.fr/emplois?q=Data%20Analyst&l=Bordeaux&radius=100&limit=100&sort=date&vjk=091821ea63bf83b8,"Analyste COBOL (H/F)
ACTIVUS Group - Bordeaux (33)
Temps plein, CDI",[],Analyste COBOL (H/F),ACTIVUS Group,- Bordeaux (33),null,null,"il y a 10 jours
Signaler cette offre d'emploi",Data Analyst,Bordeaux,"Pour renforcer notre pôle Applications Digitales, nous recrutons un Analyste Cobol (H/F).
En fonction de votre profil et de vos souhaits professionnels, vous intervenez chez un de nos clients pour lui apporter votre expertise et votre savoir-faire technologique.
Vos principales missions, si vous les acceptez :
Prise de connaissance des besoins client
Participation à la gestion de projet (Développement, Modélisation, Organisation, Pilotage, Bilan)
Conception technique et fonctionnelle des projets existants
Suivi et participation au développement des composants internes
Suivi et validation de la solution, et amélioration continue
Vous êtes force de proposition pour proposer de nouveaux modes de travail en phase avec la digitalisation de nos clients (AGILE Frameworks, TDD, Xtrem Programing, Automatisation de test, Architectures Micro-services, etc.).
Vous aimez travailler au sein d’équipes pluridisciplinaires et vous êtes reconnu pour votre capacité d’adaptation dans les équipes de développement.
Notre Agilité associée à la diversité de nos clients grands-comptes dans les secteurs santé, transport, grande distribution, Télécoms, banque et assurance, offrent aujourd’hui à nos équipes de nombreuses perspectives d’évolution.
PROFIL
Diplômé d’un niveau ingénieur informatique (BAC +5), vous justifiez au minimum de 2 années d’expérience.
Vous avez déjà participé à des projets à travers différentes méthodes de gestion de projets (ex : WATERFALL, SCRUM, KANBAN ou PLM industrielle) que vous avez idéalement délivrés en mode intégration continue (MCO, TMA, RUN).
Enfin, vous disposez d’une esprit critique, et d’une capacité d’adaptation, vous permettant de naturellement de vous intégrer dans différents contextes clients.
Passionné par l’informatique et les nouvelles technologies, vous souhaitez retrouver une ambiance dynamique et exigeante qui saura accompagner votre évolution. Vous êtes curieux, motivé et avez le sens du travail en équipe.
Notre dynamisme et les projets innovants sur lesquels nous évoluons offrent à ceux qui nous rejoignent des opportunités motivantes.
Nous saurons vous accompagner dans votre évolution.
Alors ! Serez-vous des nôtres ?
ACTIVUS
ACTIVUS-Group est une société de conseil de croissance qui, en 4 ans, est devenue experte dans ses domaines d’intervention :
IA, Big Data, Analytics, DataScience
Conseil et Audit
User Experience et Mobile Apps, DataVizualisation
Sécurité des Systèmes
Infrastructures Cloud et SaaS
Process Industriels
Nous entretenons avec nos partenaires une relation de confiance solide et durable qui s’appuie sur la proximité de nos équipes et l’expertise de nos consultants.
Notre, équipe composée de technophiles passionnés, renforce tous les jours notre ADN par son excellence technologique.
En 2019 notre groupe double ses effectifs en recrutant 100 nouveaux consultants sur tous nos domaines d’expertise.
En complément de nos implantations de proximité à Toulouse et Paris, nous poursuivons notre maillage local en ouvrant quatre agences à : Bordeaux, Lyon, Nantes, Aix/Marseille.
Nous recrutons aussi sur Hambourg, en République Tchèque et en Suisse.
Type d'emploi : Temps plein, CDI"
6,https://www.indeed.fr/emplois?q=Data%20Analyst&l=Bordeaux&radius=100&limit=100&sort=date&vjk=f9caba330d33c3d6,"Ingénieur Etudes et Développement (33) - Reconversion F/H
ADAMING CONSEIL - Bordeaux (33)
CDI",[],Ingénieur Etudes et Développement (33) - Reconversion F/H,ADAMING CONSEIL,- Bordeaux (33),null,null,"Apec.fr - il y a 10 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Data Analyst,Bordeaux,"Nous rechercherons des profils récemment diplômé(e)s d’une école d’ingénieurs généraliste ou d’une formation scientifique niveau BAC+5 ou plus( mathématiques,physique,chimie,mécanique,electronique,biologie,agronomie…)

Dotés d’une bonne capacité logique et algorithmique, vous êtes attiré(e) par la technique et éprouvez un grand intérêt pour le secteur du Numérique ? Cette offre est faite pour vous !

Le groupe Adaming vous propose une opportunité en CDI. Vous débuterez par une formation professionnalisante de 3 mois qui vous préparera au métier d’Ingénieur Etudes et Développement.

Selon votre profil, vous serez formés sur les environnements :

JAVA/JEE FULL STACK : JAVA, JEE, SPRING, JSF, HIBERNATE/JPA, ANGULAR 6/7, TYPE SCRIPT, NODEJS, JQUERY, JAVASCRIPT....

C#, ASP.NET, Classic/MVC, Winforms/WPF, WCF…

BI/BIG DATA (Spark,hadoop…)

Mainframe IBM : Cobol/MVS, SQL/DB2, CICS, Pacbase

Vous développerez vos compétences en suivant les méthodologies phares du moment : AGILES & DEVOPS

Lors de vos missions chez nos clients, vous prendrez alors en charge :

l’évolution et l’adaptation des applications existantes ;

le développement de nouvelles interfaces ou applications ;

la gestion des anomalies / correction des bugs ;

la rédaction des documentations fonctionnelles et techniques.

Vos compétences techniques consolidées durant la formation vous permettront de vous adapter aux différents projets auxquels vous serez affectés. Les postes sont rapidement évolutifs vers différents métiers à responsabilités (exemple : analystes, concepteurs, architectes techniques, chefs de projets…)
Profil recherché Vous souhaitez travailler sur des projets innovants à forte valeur ajoutée ?

Doté d'un très bon relationnel, vous êtes rigoureux (se), autonome, avez une capacité d'adaptation et d'intégration et aimez le travail en équipe

Votre formation d'origine, votre motivation, vos qualités et compétences, votre capacité à proposer des solutions techniques sont autant d'atouts qui vous permettront d'apporter de la valeur ajoutée aux projets et d'assurer la réussite de vos missions
Entreprise Le groupe Adaming, ESN en plein essor sur le marché de l’IT (31 M€ de CA en 2018), est présent depuis 2010 sur la France (Paris, Lyon, Toulouse, Bordeaux, Sophia Antipolis, Nantes, Lille et Strasbourg) et à l'international (Maroc, Tunisie, Espagne et Canada). Nos clients sont de grandes entreprises nationales et internationales, dans tous les secteurs d'activité (Banque, Assurance, Énergie, Telecom, Industrie, Transport, Médias…).

Notre stratégie s’appuie sur un modèle de sourcing ayant déjà fait largement ses preuves auprès de nos clients (Intégrateurs, middle-market, grands comptes), renforcée par nos solutions « produits » et nos centres de services.

Notre entreprise sera présente sur le Salon Apec Compétences Cadres le 8 Octobre 2019 à l’Aréna d’Aix en Provence.

Venez nous rencontrer et nous présenter votre profil directement lors du salon.

Inscrivez-vous ! https://aixenprovence.salons.apec.fr/"
7,https://www.indeed.fr/emplois?q=Data%20Analyst&l=Bordeaux&radius=100&limit=100&sort=date&vjk=c5c90eb43ab78d50,"DATA ANALYST FRAUDE H/F
Cdiscount79 avis - Bordeaux (33)
CDI",[],DATA ANALYST FRAUDE H/F,Cdiscount,- Bordeaux (33),null,null,"il y a 20 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Data Analyst,Bordeaux,"Et venez mettre la satisfaction client au coeur des priorités et partager une expérience client en perpétuelle évolution

Les missions qui vous seront confiées
Dans un contexte réglementaire qui évolue et bouleverse les règles du jeu de la lutte contre la fraude, la sécurisation de la connexion au compte devient stratégique, avec un fort impact business. L'objectif de ce poste est de repenser le parcours client sur l'accès au compte en portant des projets innovants, qui permettront d'augmenter notre taux de conversion tout sécurisant le parcours. Rattaché à l'équipe en charge de la sécurisation du compte clients et de lutte contre la fraude, vous aurez notamment pour mission :
Analyser l'évolution des patterns de fraudes pour mettre en place les bons contrôles
Monitorer le taux de fraude et d'usurpation de compte (assurer le suivi des indicateurs existants, développer de nouvelles grilles d'analyse et proposer les plans d'action correspondants)
Monitorer le taux de conversion lié à la mise en place des contrôles sur le site
Animer la roadmap projet sur l'activité de sécurisation au compte (roadmap projet)
Assurer la veille sur ce secteur en forte évolution tant sur le plan des nouvelles techniques de fraude que des nouveaux outils de lutte anti-fraude.
Profil recherché
Issu d'une grande école (ingénieur ou commerce) ou titulaire d'un master en statistique, vous possédez un esprit analytique, une forte rigueur ainsi qu'une excellente compréhension des enjeux business. Vous savez mener à bien des projets, possédez a minima 1 an d'expérience et vous avez idéalement déjà une expérience du monde du E-commerce.
Force de proposition, vous souhaitez monter en compétences sur les différentes problématiques stratégiques web ! Leader dans l'âme, vous cherchez une société où vous pourrez mettre en œuvre votre créativité et votre expertise pour relever nos défis quotidiens.
En bon expert de l'analyse quantitative une maîtrise des outils suivants est fortement appréciée :
Bureautique : Windows et Pack office
Informatique : Langages SQL – R/Python

Leader dans l'âme, vous cherchez une société où vous pourrez mettre en œuvre votre créativité et votre expertise pour relever nos défis quotidiens.
Vous vous reconnaissez ? Ne cherchez plus, postulez et venez inventer le e-commerce de demain !
Cdiscount s'engage pour la Diversité : du recrutement à l'évolution professionnelle, nous garantissons l'égalité des chances à tous nos collaborateurs.

Notre environnement Cdiscount :
Une carte ticket restaurant et de nombreux foodtrucks disponibles
Une offre de formation innovante et à la pointe des nouvelles technologies
Une conciergerie solidaire d'entreprise offrant des services diversifiés
Des espaces de pause collaboratifs
Un potager entretenu et choyé par nos collaborateurs
Des corbeilles de fruits livrées régulièrement
Une équipe de foot et de rugby internes
Un onboarding inédit

Informations complémentaires:
Type de contrat: CDI
Localisation: Bordeaux (33)
Référence: 4942"
8,https://www.indeed.fr/emplois?q=Data%20Analyst&l=Bordeaux&radius=100&limit=100&sort=date&vjk=27e2e0440bd621a0,"DATA ANALYST OFFRE F/H
Cdiscount79 avis - Bordeaux (33)
CDI",[],DATA ANALYST OFFRE F/H,Cdiscount,- Bordeaux (33),null,null,"il y a 16 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Data Analyst,Bordeaux,"Et venez gérer plus de 200 000 références de leur sourcing jusqu'à leur commercialisation et contribuez à l'achat et à la mise en avant des meilleurs produits aux meilleurs prix !

Les missions qui vous seront confiées
En collaboration avec nos équipes Achats, vous participerez à l'élaboration de la stratégie d'assortiment de Cdiscount et vous serez le garant de la chaine de valeur : depuis l'analyse du marché et la conception de la gamme jusqu'au suivi de sa performance.

Vos tâches seront diverses et vous aurez notamment à :

Analyser le marché et le positionnement de nos concurrents (assortiment, tendances) et évaluer la demande marché afin d'en dégager des opportunités de développement
Elaborer l'assortiment cible en identifiant :
Les manquants à référencer
Les effets de cannibalisation
Les tendances à développer
Être force de proposition pour formuler des recommandations claires et complètes et assurer leurs mises en place
Accompagner les équipes opérationnelles dans la définition et la mise en place de process de pilotage et de suivi des recommandations
Analyser, assurer un suivi, mettre en place des indicateurs de suivi de la performance sur l'assortiment
Participer activement à la revue et à l'amélioration continue des méthodologies de conception de gamme
Rendre compte de votre activité via des reportings et des présentations
Profil recherché
Vous êtes diplômé d'un bac+5 en école de commerce ou d'ingénieur. Vous possédez 1 à 3 ans d'expérience dans une fonction analytique en corporate ou dans le conseil, vous savez construire une gamme de produits pertinente et possédez une culture forte du e-commerce.
Votre parcours professionnel vous a permis d'une part, de développer de réelles capacités d'analyse dans des environnements de données vastes et complexes, et d'autre part, de restituer ces analyses sous forme de synthèse orientée prise de décision.
Vous êtes autonome, proactif et force de proposition. Vous faites preuve d'une aisance relationnelle certaine, ce qui vous permet d'évoluer au sein d'une entreprise très orientée data en forte croissance. Vous êtes d'un naturel à prendre des initiatives pour rester constamment dans une optique d'amélioration continue. Au-delà de ces qualités, vous disposez d'une excellente maîtrise d'excel et idéalement de connaissances d'outils de data viz (PowerBI, Tableau). Par ailleurs, la connaissance de SQL et de VBA sera un atout supplémentaire. Enfin orienté « problem solving » : vous contournez les problèmes et trouvez des solutions alternatives innovantes en cas de blocage et êtes capable de sortir hors des sentiers battus.

Leader dans l'âme, vous cherchez une société où vous pourrez mettre en œuvre votre créativité et votre expertise pour relever nos défis quotidiens.
Vous vous reconnaissez ? Ne cherchez plus, postulez et venez inventer le e-commerce de demain !
Cdiscount s'engage pour la Diversité : du recrutement à l'évolution professionnelle, nous garantissons l'égalité des chances à tous nos collaborateurs.

Informations complémentaires:
Type de contrat: CDI
Localisation: Bordeaux (33)
Référence: 4209"
9,https://www.indeed.fr/emplois?q=Data%20Analyst&l=Bordeaux&radius=100&limit=100&sort=date&vjk=e17a01af767a8a80,"Ingénieur de Production F/H
Orange2,318 avis - Pessac (33)",[],Ingénieur de Production F/H,Orange,- Pessac (33),null,null,"il y a 18 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Data Analyst,Bordeaux,"Au sein de la Direction de Services de Production Mutualisés, rattaché au Manager Adjoint Support et Delivery, nous recherchons sur notre site de Pessac un Ingénieur de production Niveau 2.
Dans le cadre de ce poste :
Vous êtes le référent technique du maintien en condition opérationnelle de l'ensemble des services de votre portefeuille
Vous intégrerez en niveau 2 une chaîne de soutien garante du SLA contractualisé des services managés de nos clients dans le respect de leurs attentes et leur satisfaction
Vous intervenez sur l'ensemble des processus du RUN : incidents, changements, problèmes transition et delivery
Vous interviendrez sur les activités suivantes :
Gestion des incidents : prendre en compte et traiter les demandes clients, et/ou contribuer à la résolution d'incidents complexes.
Gestion des problèmes : identifier les problèmes, analyser leur cause, proposer et mettre en oeuvre des plans d'actions correctifs.
Gestions des changements : évaluer, préparer et valider des demandes de changement et des mises en production.
Transition de services : contrôler et préparer les mises en services (VABE, suivi du ELS). Participer à la montée en compétences des analystes support ou ingénieurs support N1
Maintenance proactive et amélioration continue.
about you
De niveau BAC+5 (école d'ingénieur ou universitaire), vous avez au moins 2 ans d'expérience au cours desquelles vous avez exercé des missions dans la production informatique.
Les compétences requises :
Middlewares : OS (Linux), Applications Servers, Bases de données (Mysql / Posgres / Oracle)
Architectures systèmes et réseaux web hautement disponibles, http & https, load-balancing
ITIL
Outils de supervision
Les compétences suivantes seraient un plus :
Frameworks e-commerce (Hybris, ATG)
Pratiques et outils DevOps (ex. Ansible, Puppet, Git, Shell script, Bash_unit...)
Environnements et technologies Cloud : IaaS/CaaS/PaaS, infra-as-code, Kubernetes, Docker, Terraform, Openstack, VMWare…
Expérience d'utilisation d'un Cloud public : MS Azure, AWS, Google
Connaissances des pratiques Agiles
department
Digital & Data
Partenaire de la transformation digitale des entreprises, Orange Digital&Data est l'entité d'Orange Business Services spécialisée dans la conception et le développement de services applicatifs et l'intégration de systèmes.
Implantés dans plusieurs grandes villes françaises comme Paris, Rennes, Lyon, Bordeaux, Lille et Toulouse … nous accompagnons au quotidien près de 20 000 entreprises tout au long du cycle de vie de leurs projets, dans les domaines clés de l'expérience digitale, de la Data Analytics et l’Intelligence Métier.
Pour la 4ème année consécutive, Orange reçoit la certification « Top Employer Global » 2019. Cette certification consacre les meilleures politiques et pratiques en termes de programmes de ressources humaines.
L’innovation est essentielle à votre métier, construisons la ensemble !
contract
Regular"
