,id,meta1,meta2,titre_poste,entreprise,localisation,contrat,salaire,date_publication,keyword_metier,keyword_localisation,description
0,https://www.indeed.fr/emplois?q=Data%20Scientist&l=Bordeaux&radius=100&limit=100&sort=date&vjk=2cd9daeea75a7a41,"Ingénieur logiciel full-stack - H/F
Polyconseil - Bordeaux (33)","['Bordeaux (33)', 'CDI']",Ingénieur logiciel full-stack - H/F,Polyconseil,- Bordeaux (33),CDI,null,"Viadeo - il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Data Scientist,Bordeaux,"Au sein d'une équipe projet touche à tout et créative, composée de consultants, développeurs, data
scientists, vous avez la possibilité d'avoir un impact réel sur la solution finale tout en étant en contact direct avec les décisionnaires de nos entreprises et institutions clientes.
Quelques exemples de missions :
Conception du plus grand service d’ auto partage électrique au monde ( USA, Italie, Singapour) puis
amélioration continue du SI et des parcours clients
Développement du logiciel de conception collaborative pour le lanceur Européen Ariane 6
Création des portiques d’embarquement (hardware software) aujourd’hui déployés dans les gares TGV
Développement et commercialisation en SaaS d’un système de gestion intelligente de la politique de
stationnement pour les plus grandes villes de France
Responsabilités :
Vous appliquez et développez vos compétences techniques à tous les niveaux : infrastructure (VM, docker, ...), architecture (micro-service, ...), développement (python, js, java, ...) ou gestion de projet.s les niveaux (review, intégration continue, ...)
Vous devenez « owner » de votre sujet et vous positionnez en véritable expert des questions que vous traitez
Vous êtes constamment force de proposition sur des sujets à fort enjeu pour nos clients et savez accompagner le projet de bout en bout, du cadrage stratégique à sa mise en oeuvre opérationnelle puis à son déploiement
Vous êtes en contact direct avec les décisionnaires de nos entreprises et institutions clientes"
1,https://www.indeed.fr/emplois?q=Data%20Scientist&l=Bordeaux&radius=100&limit=100&sort=date&vjk=fd79d9f428005236,"Data scientist H/F (CDI)
Hiscox - Bordeaux (33)","['Bordeaux (33)', 'CDI']",Data scientist H/F (CDI),Hiscox,- Bordeaux (33),CDI,null,"Viadeo - il y a 7 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Data Scientist,Bordeaux,"Le Rôle

En relation étroite avec les clients internes (business developpers, souscripteurs, collègues du marketing et de la communication, top management, département des opérations et utilisateurs), vous exploitez des bases de données de manière à construire et mettre à jour des outils statistiques :
Suivi de nos KPI et rapports
Etudes ad hoc pour répondre à des problématiques business et faire des recommandations spécifiques
Développement de modèles pour améliorer l'activité

Véritable partenaire du business vous comprenez et traduisez les problématique métier (améliorer le ratio sinistres à prime, développer l'équipement (up et cross sell) de manière a y apporter des solutions adaptées à partir des données sur lesquelles vous allez travailler.

La capacité technique statistique et IT à manipuler les données, les vérifier et les analyser régulièrement (maintenance datamart, scorecard et calculs de segmentation, rapports, ...) est la compétence première requise pour ce poste."
2,https://www.indeed.fr/emplois?q=Data%20Scientist&l=Bordeaux&radius=100&limit=100&sort=date&vjk=c24291b7139bee92,"Data Scientist H/F
Betclic Group2 avis - Bordeaux (33)",['Bordeaux (33)'],Data Scientist H/F,Betclic Group,- Bordeaux (33),null,null,"il y a 9 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Data Scientist,Bordeaux,"POSTE
Au sein de l'équipe Data Science composée de 7 collaborateurs, vous êtes responsable du développement, de la mise en production et de l’entretien d’algorithmes de machine learning afin de soutenir l’activité de l’entreprise.

MISSIONS
Dans ce contexte, vos missions principales seront les suivantes :
Participer à la production de nos analyses avancées en utilisant des techniques et des technologies de pointe pour offrir à nos clients la meilleure expérience de pari en ligne
Travailler avec des équipes multidisciplinaires (marketing, produit…) pour fournir des solutions novatrices axées sur les données
Construire des produits de données complets aptes à répondre aux challenges du business
Améliorer continuellement les solutions grâce à des cycles de test et d'apprentissage rapides
Analyser un large éventail de sources de données afin d’apporter continuellement de la valeur ajoutée à nos utilisateurs
Travailler en étroite collaboration avec un centre de recherche de la région Nouvelle Aquitaine, challenger les résultats des recherches et industrialiser les modèles créés par les chercheurs
Accompagner un thésard CIFFRE dans ses recherches et la préparation de sa thèse de doctorat

COMPETENCES TECHNIQUES
Compétences fortes en Python ou en R
Capacité de programmation orientée objet
Manipulation des principales librairies de machine learning
Compétences en SQL
Familiarité avec un outil de dataviz tel que Tableau ou PowerBI
Familiarité avec des outils cloud tels qu’Amazon S3, Amazon Lambda, Snowflake…



PROFIL
Diplômé d'un Bac+4/5 (ou doctorat), vous justifiez d'une expérience de 3 ans minimum en Data Science idéalement au sein d'une entreprise BtoC ou dans un laboratoire de recherche en environnement Big Data
Vous avez acquis une expérience solide dans un ou plusieurs des domaines suivants : personnalisation, désabonnement, recommandations, fidélisation, acquisition de trafic, segmentation de nouveaux clients, détection fraude
Vous êtes reconnu pour votre :
Capacité à créer des visualisations de données convaincantes pour appuyer les conclusions et communiquer les résultats aux parties prenantes
Expertise et expérience pratique de techniques analytiques avancées telles que le clustering, la régression linéaire, les arbres de décision, les random forests, les réseaux de neurones…
Passion pour les données et les avantages commerciaux qui peuvent en dériver"
3,https://www.indeed.fr/emplois?q=Data%20Scientist&l=Bordeaux&radius=100&limit=100&sort=date&vjk=92dafdeb4e1be5db,"Data Analyst (H/F)
ACTIVUS Group - Bordeaux (33)","['Bordeaux (33)', 'Temps plein, CDI']",Data Analyst (H/F),ACTIVUS Group,- Bordeaux (33),"Temps plein, CDI",null,"il y a 9 jours
Signaler cette offre d'emploi",Data Scientist,Bordeaux,"Pour renforcer notre pôle Big Data, nous recrutons des Data Analysts (H/F).
En fonction de votre profil et de vos souhaits professionnels, vous intervenez chez un de nos clients pour lui apporter votre expertise et votre savoir-faire technologique.
Vos principales missions, si vous les acceptez :
Mener des analyses « Data Science » (R, SAS, Python, D3.js)
Réaliser des pré-analyses constitutives de l'intelligence métier
Mise à disposition de dashboards pour le suivi de KPIs
Design et pilotage de campagnes d’AB Testing & Scorecards
Maintenir, améliorer et concevoir des algorithmes d’extraction d’information provenant de données de différents formats
Mettre en place des protocoles expérimentaux pour démontrer les performances des algorithmes testés
Concevoir et déployer des modèles prédictifs pour piloter les activités marketing et business
Vous assurerez une veille permanente sur de nouvelles méthodologies, librairies, algorithmes et technologies permettant de faire évoluer nos solutions.
Vous êtes apte à intervenir dans un environnement challengeant et dynamique, immergé au sein d’équipes pluridisciplinaires (Data Science, Marketing, Big Data, Finances, Opérationnel …) auxquelles vous souhaitez faire bénéficier de votre expérience technique et fonctionnelle.
Vous effectuez une veille régulière sur les dernières technologies gravitant autour de la data (Dataiku, Spark, Power BI, QlikSense, D3.JS, Highchart.js, plot.ly, Watson, Cortana Intelligence Suite…), et vous êtes force de proposition dans l’évolution des systèmes existants.
Notre Agilité associée à la diversité de nos clients grands-comptes dans les secteurs santé, transport, grande distribution, Télécoms, banque et assurance, offrent aujourd’hui à nos équipes de nombreuses perspectives d’évolution.
PROFIL
Ingénieur grandes écoles ou autodidacte geek, vous justifiez d'un Bac+5 et au minimum de 2 années d’expérience dans une fonction de Data Analyst, Data Miner, Data Scientist ou Business Analyst.
Passionné par l’informatique et les nouvelles technologies, vous souhaitez retrouver une ambiance dynamique et exigeante qui saura accompagner votre évolution. Vous êtes curieux, motivé et avez le sens du travail en équipe.
Notre dynamisme et les projets innovants sur lesquels nous évoluons offrent à ceux qui nous rejoignent des opportunités motivantes. Nous saurons vous accompagner dans votre évolution.
Alors ! Serez-vous des nôtres ?
ACTIVUS
ACTIVUS-Group est une société de conseil de croissance qui, en 4 ans, est devenue experte dans ses domaines d’intervention :
IA, Big Data, Analytics, DataScience
Conseil et Audit
User Experience et Mobile Apps, DataVizualisation
Sécurité des Systèmes
Infrastructures Cloud et SaaS
Process Industriels
Nous entretenons avec nos partenaires une relation de confiance solide et durable qui s’appuie sur la proximité de nos équipes et l’expertise de nos consultants.
Notre, équipe composée de technophiles passionnés, renforce tous les jours notre ADN par son excellence technologique.
En 2019 notre groupe double ses effectifs en recrutant 100 nouveaux consultants sur tous nos domaines d’expertise.
En complément de nos implantations de proximité à Toulouse et Paris, nous poursuivons notre maillage local en ouvrant quatre agences à : Bordeaux, Lyon, Nantes, Aix/Marseille.
Nous recrutons aussi sur Hambourg, en République Tchèque et en Suisse.
Type d'emploi : Temps plein, CDI"
4,https://www.indeed.fr/emplois?q=Data%20Scientist&l=Bordeaux&radius=100&limit=100&sort=date&vjk=a51b661459e97a43,"Développeur Android (H/F)
Invivoo2 avis - Bordeaux (33)","['Bordeaux (33)', 'CDI']",Développeur Android (H/F),Invivoo,- Bordeaux (33),CDI,null,"il y a 9 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Data Scientist,Bordeaux,"Présentation INVIVOO
Dans un contexte toujours plus complexe, s’appuyer sur des solutions informatiques performantes est un enjeu vital pour nos clients.
C’est pourquoi INVIVOO améliore leur système d’information à tous les niveaux, technique, méthodologique et organisationnel, en combinant l’expertise métier à l’expertise technologique.
Invivoo est éditeur du logiciel XComponent qui permet d’éviter les principaux risques d’échecs métiers des projets de développement (XComponent Studio) et de ne pas être pris au dépourvu lors d’incidents de production (XComponent AC2).
Missions
Votre mission, si vous l’acceptez…
Nous recherchons un ingénieur iOS talentueux qui participera directement à la conception, au développement et à la maintenance des applications iOS de notre projet.
Vous travaillerez dans un environnement Agile avec des responsables produits, des designers UI / UX et une équipe d’ingénieurs afin de créer de magnifiques applications mobiles dans le domaine multimédia.
Environnement technique & profil
Niveau d’études : Bac+5
Vous avez au moins 2 ans d’expérience dans le développement d’applications iOS.
Vous avez une maitrise avancée de la programmation Kotlin
Vous avez une forte expérience en POO et software design patterns (MVVM, Viper).
Vous avez une connaissance de base du SDK iOS (Foundation, UIKit, CoreAnimation, CoreGraphics, CoreData, XCTest, AVFoundation)
Vous avez une bonne maitrise de XCode, Git, Bash, CI et autres outils.
Une connaissance basique des bases de données et modélisation des données serait un plus.
Une expérience de travail avec CoreAudio et AudioKit serait un plus.
Une expérience de travail avec OpenGL / Metal serait un plus.
Objective C est un plus
Vous avez l’esprit d’équipe : vous souhaitez rejoindre une petite équipe et collaborer avec les autres pôles de la société (data scientists, product management) pour construire ensemble les différents produits."
5,https://www.indeed.fr/emplois?q=Data%20Scientist&l=Bordeaux&radius=100&limit=100&sort=date&vjk=07ee1928807c8304,"Ingénieur DevOps / Solutions Architect
GEOSAT4 avis - Pessac (33)","['Pessac (33)', 'Temps plein, CDI', '2 500 € - 3 000 € par mois']",Ingénieur DevOps / Solutions Architect,GEOSAT,- Pessac (33),"Temps plein, CDI",2 500 € - 3 000 € par mois,"il y a 11 jours
Signaler cette offre d'emploi",Data Scientist,Bordeaux,"Geosat, société de services en ingénierie du territoire, intervient dans tous les domaines liés à la mesure 3D. Forte d’une croissance annuelle moyenne de 40%, notre société compte 260 collaborateurs répartis en 4 pôles de compétences : Géomètre expert, détection de réseaux, modélisation 3D/BIM, cartographie mobile.
www.geo-sat.com
MISSIONS & ATTRIBUTIONS
Vous intégrerez l’équipe R&D au sein de laquelle vous contribuerez à la fois à des projets pour des clients externes et des projets internes à l’entreprise. La cartographie est au cœur des missions de l’équipe R&D de GEOSAT et plus particulièrement la cartographie dynamique (mobile mapping).
En support d’une équipe de data scientists, d’ingénieurs et de développeurs vous participerez à l’harmonisation du code de prototypage en ayant les objectifs suivants :
Intégrer, tester et déployer les fonctions et modules pour versioningà partir du code sur la branche master.
Gérer et maintenir le code en y ajoutant de nouvelles fonctionnalités et/ou en améliorant ses performances
Transformer du code prototype vers un langage de production (par exemple, Python = > C++)
Concevoir et implémenter des architectures de services cloud computing
Développer des Services Cloud SaaS (Software as a service) et microservices de machineet deep learning, traitement d’images, vision par ordinateur, données non-structurées (nuages de points 3D)
Mettre en place des systèmes de monitoring pour des opérations (exécution de tâches, migration de données)
COMPÉTENCES ATTENDUES
Excellente connaissance du langage C++, C et Python, PostgreSQL-PostGIS, CUDA/OpenCL/OpenMP
Connaissances du paysage DevOps : git, containers, Logstash/Elasticsearch, Kubernetes, PoD, Jenkins, microservices
Être à l’aise sur la lecture de code de différents auteurs/programmeurs.
Avoir des notions sur des sujets scientifiques (mathématiques 3D, traitement d'images, compression de données ...)
Expérience en architecture de solutions cloud computing
Curieux(se) et motivé(e), vous avez un bon relationnel et un esprit d’équipe
Rémunération selon profil
Avantages: CE,mutuelle, Participation, Intéressement, ...
Type d'emploi : Temps plein, CDI
Salaire : 2 500,00€ à 3 000,00€ /mois
Expérience:
ingénieur devops / solutions architect ou similaire: 1 an (Souhaité)"
6,https://www.indeed.fr/emplois?q=Data%20Scientist&l=Bordeaux&radius=100&limit=100&sort=date&vjk=36872c742c22679e,"Data Scientist
DESKi - Bordeaux (33)",['Bordeaux (33)'],Data Scientist,DESKi,- Bordeaux (33),null,null,"L'Intelli'agence - il y a 19 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Data Scientist,Bordeaux,"DESKi, “learn” in Breton, is a young and innovative company, combining a strong expertise in both medical imaging and artificial intelligence. DESKi and Bordeaux University Hospital (CHU) have signed a framework agreement to expand and facilitate the development of research projects in the field of artificial intelligence. DESKi works hand in hand with medical practitioners and researchers to develop automated, accurate, and data-driven medical image analysis tools to simplify the use of ultrasound systems by clinicians who are not specialists.
Site web :
http://www.deski.io
Poste et missions
The objective of this position is to elaborate different solutions for an automated ultrasound analysis tool using Deep Learning.
You will join a multidisciplinary team of medical expert and Machine Learning engineers who are dedicated to spread medical expertise to a wider community.
You will be responsible for:
developing AI tools answering specific clinical needs
research projects management
https://youtu.be/ra6KdA6KIkE

Mobilité géographique :
Internationale
Prise de fonction :
17/09/2019
Profil
Requirements: PhD, or MSc. in applied mathematics, image/signal processing, computer science, software engineering
Strong mathematical background
3+ year experience in Machine/Deep learning
Programming skills in Python (TensorFlow, Keras, OpenCV, Numpy, Scikit, Flask)
Experience in production environments: documentation/specification, units test, deployment/integration
Medical culture is a plus"
7,https://www.indeed.fr/emplois?q=Data%20Scientist&l=Bordeaux&radius=100&limit=100&sort=date&vjk=5cc2f303d5cfd029,"Data ingénieur Bordeaux (F/H)
Zenika - Bordeaux (33)","['Bordeaux (33)', 'CDI']",Data ingénieur Bordeaux (F/H),Zenika,- Bordeaux (33),CDI,null,"il y a 16 jours
Signaler cette offre d'emploi",Data Scientist,Bordeaux,"L'entreprise : Zenika
Qui sommes-nous ?
Rejoins l’agence Zenika à Bordeaux dans laquelle notre directeur Fabien accompagne au quotidien une trentaine de collaborateurs tous passionnés d’informatique.
Tes futurs collègues ? Une grande famille de consultants Java, web, DevOps, Big Data, sécurité, agiles…
Tu pourras aussi participer à de nombreux événements d’agence (les dejs du vendredi, le zPot (apéro Zenika) une fois par mois, les réunions d’agence, …) ou techniques (meet-up, nightclazz, formations, …)
Qu’est ce qu’on t’offre ?
En résumé, Zenika, te permettra :
De choisir d’intégrer ou quitter les projets clients de ton choix
De travailler dans un environnement agile
De réaliser des missions d’audit, d’expertise technique et des POCs
D’avoir du temps dédié pour contribuer à des projets Open-Source ou à tes projets personnels
D’animer ou de participer à des événements techniques
De participer aux meilleures conférences (Devoxx, Devfest, Breizhcamp, MixIT, BDX I/O, Snowcamp et bien d’autres)
D’avoir la possibilité de devenir formateur sur tes domaines d’expertise
De bénéficier de nos formations et de passer des certifications
De choisir ton matériel informatique (PC, Mac etc.)
De conserver un équilibre vie pro/vie perso
Surtout, d’avoir ta garde robe aux couleurs de Zenika !
Description du poste
Tes missions :
Tu collaboreras avec les équipes Big Data de nos clients pour concevoir et développer de nouvelles architectures de données.
Tu participeras à la mise en place ainsi qu'à l'enrichissement de datalakes basés sur l'écosystème Hadoop.
Tu implémenteras des workflows complexes d'acquisition et d'analyse de la donnée pour faire émerger des possibilités métiers encore inexploitées.
Tu travailleras de pair avec des Data Scientists dans un esprit de partage de compétences.
Tu as une première expérience significative sur un projet Big Data. Tu souhaites te challenger sur des infrastructures distribuées et temps réel à forte volumétrie. Tu aimes partager tes compétences et assumer tes choix techniques.
Description du profil
Qui es-tu ?
Tu as une première expérience significative sur un projet Big Data
Tu souhaites te challenger sur des infrastructures distribuées et temps réel à forte volumétrie
Tu t’investis sur la qualité des projets, tu adhères aux principes DevOps et tu es vigilant sur la performance
Même si tu n’es pas tombé dedans quand tu étais petit, tu as une réelle appétence pour le développement
Github, Gitlab, Stackoverflow ou encore bitbucket font partie de tes outils quotidiens
Tu aimes échanger et partager avec tes pairs et tu aimerais participer à des événements
Tu as hésité à passer le CAPES car tu es un formateur dans l’âme et tu souhaites en faire bénéficier le plus grand nombre
Tu ne te prends pas trop au sérieux et tu aimes travailler dans un environnement fun et convivial
Tes compétences :
Le Java est ta langue maternelle. La programmation orientée objet est un art dont tu maîtrises les techniques secrètes (design patterns).
Tu es familiarisé avec des Frameworks de tests tels que JUnit, Mockito, Gatling.
Le JSON et les APIs REST sont ton quotidien.
Les brokers de messages (Apache Kafka) ne te sont pas inconnus.
Tu préfères utiliser tes compétences ""relationnelles"" pour faire du team building plutôt que pour concevoir le stockage de tes données.
Le stream processing est la philosophie que tu as adoptée pour tes projets data (Spark, Flink, Kafka Streams, …)
Tu ne t'imagines pas travailler sur un environnement autre que Linux (Ubuntu, CentOS)
Tu es sensible aux approches craftsmanship (CleanCode, TDD).
Type d'emploi : CDI
Expérience:
data ingénieur bordeaux (f/h) ou similaire: 2 ans (Souhaité)"
8,https://www.indeed.fr/emplois?q=Data%20Scientist&l=Bordeaux&radius=100&limit=100&sort=date&vjk=0bd9ded314a64dba,"Data Scientist
Hiscox - Bordeaux (33)","['Bordeaux (33)', 'Temps plein, CDI']",Data Scientist,Hiscox,- Bordeaux (33),"Temps plein, CDI",null,"il y a 24 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Data Scientist,Bordeaux,"L’Entreprise
Hiscox est un assureur spécialisé, offrant une large gamme de solutions d’assurances pour les particuliers et les professionnels. Nos produits ont été conçus pour répondre aux besoins spécifiques d’une clientèle exigeante et s’appuient sur un fort degré d’expertise.
Hiscox France est la succursale française du Groupe Hiscox ouverte à Paris en 1995.
Hiscox France représente la moitié du portefeuille européen en Art et clientèle privée et près de la moitié en assurances professionnelles.
Notre objectif est de développer le scoring et l’études de données statistiques pour :
L’optimisation technique de notre activité : suivi, gestion et amélioration de notre ratio sinistre / prime
Notre objectif CRM et marketing : initiatives cross sell et up sell, ciblage et études profiling et opérations
Le Rôle
En relation étroite avec les clients internes (business developpers, souscripteurs, collègues du marketing et de la communication, top management, département des opérations et utilisateurs), vous exploitez des bases de données de manière à construire et mettre à jour des outils statistiques :
Suivi de nos KPI et rapports
Etudes ad hoc pour répondre à des problématiques business et faire des recommandations spécifiques
Développement de modèles pour améliorer l’activité
Véritable partenaire du business vous comprenez et traduisez les problématique métier (améliorer le ratio sinistres à prime, développer l’équipement (up et cross sell) …) de manière a y apporter des solutions adaptées à partir des données sur lesquelles vous allez travailler.
La capacité technique statistique et IT à manipuler les données, les vérifier et les analyser régulièrement (maintenance datamart, scorecard et calculs de segmentation, rapports, …) est la compétence première requise pour ce poste.

#LI-POST

Le profil
Cous devez être diplômé en statistiques / économétrie – ou ingénieur avec ces options - avec de bonnes connaissances en économie et marketing, un cursus de type école de commerce avec une option et une expérience d’analyse statistique suffisamment probante sera également examiné. Vous avez le goût de l’analyse et du challenge, êtes curieux et autonome.
Vous devez connaitre les logiciels de traitement python et R et être très à l’aise avec Excel.
Vous êtes capable de trouver des solutions efficaces et de les adapter aux différentes problématiques business en fonction de leurs caractéristiques et de leur importance. Vous êtes toujours soucieux d’améliorer l’efficacité et la compréhension des leviers business.
Vous découvrirez diverses activités au sein d’un groupe d’assurance international et différentes problématiques ; problématiques de sinistres et de souscription, de vente, segmentation clients et courtiers, tendances, …
Vous serez rattaché directement, formé et accompagné dans votre développement par le Directeur Marketing Communication et Data.
Un très bon niveau d’anglais est requis.
Notre réputation sur le marché est celle d’un acteur réactif, pointu et professionnel, vous devrez démontrer par votre expérience passée que votre sens de la qualité et du service au client est une compétence distinctive prononcée de votre candidature. Enfin, vous aimez relever des challenges et vous investir dans vos fonctions pour réussir. La volonté d’apprendre et de progresser vous anime.
Pour postuler : rendez-vous sur l’espace carrière de notre site internet www.hiscox.fr/carrieres



#LI-POST"
9,https://www.indeed.fr/emplois?q=Data%20Scientist&l=Bordeaux&radius=100&limit=100&sort=date&vjk=895889870b273a66,"Data analyst python - POEC H/F
ACTIVUS Group - Bordeaux (33)","['Bordeaux (33)', 'CDI']",Data analyst python - POEC H/F,ACTIVUS Group,- Bordeaux (33),CDI,null,"il y a 30+ jours
Signaler cette offre d'emploi",Data Scientist,Bordeaux,"Activus lance une nouvelle POEC pour devenir Data Analyst en python !
Cette formation de 57 jours vise à l'acquisition d'une compétence complète et la plus large possible dans le domaine de la DataExperience étendue à un savoir faire en développement python.
Axée sur une pratique intensive et la construction d'un projet complet en environnement Data, cette formation apportera des savoirs-faire opérationnels en terme de conception, modélisation, développement et de restitution de données.
La formation se déroule sur Toulouse mais nous recherchons et recrutons des profils venant également de Bordeaux et Paris. A l'issue de la formation, nous nous engageons à vous trouver un emploi en CDI sur le secteur géographique de votre choix (Toulouse, Bordeaux ou Paris).
Nous vous proposons de monter en compétence sur :
L'analyse et la modélisation
La maîtrise de langage machine learning type R ou python associé à la parfaite maîtrise des environnements de développement AWS
La maîtrise des outils de restitution de données
Le développement en R, python
Evoluer rapidement vers des métiers de Data Scientist
Vous êtes apte à intervenir dans un environnement challengeant et dynamique, immergé au sein d’équipes pluridisciplinaires.
PROFIL
Ingénieur grandes écoles, diplômés d'un Bac + 5 ou titulaire d'un doctorat vous souhaitez vous réorienter en Data Analyse. Vous avez une première expérience en développement (maîtrise de l'algorithmique et de la programmation), vous maîtrisez un langage idéalement bas niveau (type C, C++), vous avez une connaissance objet et vous maîtrisez les bases de données relationnelles et du langage SQL.
Nous pouvons vous accompagner vers une évolution rapide en Data Science.
Passionné(e) par l’informatique et les nouvelles technologies, vous souhaitez retrouver une ambiance dynamique et exigeante qui saura accompagner votre évolution. Vous êtes curieux, motivé(e) et avez le sens du travail en équipe.
Notre dynamisme et les projets innovants sur lesquels nous évoluons offrent à ceux qui nous rejoignent des opportunités motivantes. Nous saurons vous accompagner dans votre évolution.
Alors ! Serez-vous des nôtres ?
ACTIVUS
ACTIVUS-Group est une société de conseil de croissance qui, en 4 ans, est devenue experte dans ses domaines d’intervention :
IA, Big Data, Analytics, DataScience
Conseil et Audit
User Experience et Mobile Apps, DataVizualisation
Sécurité des Systèmes
Infrastructures Cloud et SaaS
Process Industriels
Nous entretenons avec nos partenaires une relation de confiance solide et durable qui s’appuie sur la proximité de nos équipes et l’expertise de nos consultants.
Notre, équipe composée de technophiles passionnés, renforce tous les jours notre ADN par son excellence technologique.
En 2019 notre groupe double ses effectifs en recrutant 100 nouveaux consultants sur tous nos domaines d’expertise.
En complément de nos implantations de proximité à Toulouse et Paris, nous poursuivons notre maillage local en ouvrant quatre agences à : Bordeaux, Lyon, Nantes, Aix/Marseille.
Nous recrutons aussi sur Hambourg, en République Tchèque et en Suisse.
Type d'emploi : CDI
Expérience:
data analyst python - poec h/f ou similaire: 1 an (Souhaité)"
