,id,meta1,meta2,titre_poste,entreprise,localisation,contrat,salaire,date_publication,keyword_metier,keyword_localisation,description
0,https://www.indeed.fr/emplois?q=Data%20Consultant&l=Paris&radius=100&limit=100&sort=date&vjk=fa22946016f238c2,"Assistant(e) Chef de Projet Post Production H/F
Ogilvy595 avis - Paris (75)",['Paris (75)'],Assistant(e) Chef de Projet Post Production H/F,Ogilvy,- Paris (75),null,null,"il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",Data Consultant,Paris,"Le réseau Ogilvy est le 1er réseau international de communication (20 000 collaborateurs présents dans plus de 100 pays à travers le monde). Multiprimées (network of the year in 2012, 2013, 2014, 2015, 2016), les agences Ogilvy sont connues et reconnues pour leurs talents créatifs et leur capacité à accompagner les plus grandes marques mondiales. Ogilvy Paris est l’un des principaux hubs internationaux du réseau.

Fort de plus de 25 nationalités différentes, c’est aussi la plus internationale de toutes les agences de communication françaises. L’agence accompagne les plus grandes marques françaises et internationales : Nestlé, Perrier, Netflix, Dove, LVMH, Allianz, Mondelez La Laitière, Piaget, Ford, Avène, Le Novo, IBM, Ventes Privées, etc.Située en plein cœur de Paris, l’agence est composée de 500 experts (Créatifs, Planneurs Stratégiques, Consultants Media, Creative Technologist, Consultants Data, etc.), travaillant main dans la main et regroupé au sein de 5 pôles d’excellence :

Branding & Advertising
Influence & Reputation
Engagement & Performance Marketing
Media & Distribution
Production & Delivery
MISSIONS

L’Assistant(e) Chargé(e) de Projet Post-Production H/F évoluera au sein d’un service TV Production et rattaché à l’équipe de H&O, structure de post production intégrée du groupe Ogilvy. L’équipe est notamment composée de TV Producers, de chefs de projets digitaux et acheteurs d’Art. Il/elle travaillera en étroite collaboration et sera sous la responsabilité de la directrice de post-production.

Ses principales missions seront les suivantes :
Suivi de projets: Interface entre les différents pôles (créatif, commerciaux, tv prod) voir directement avec les prestataires (dans le cas des projets externalisés)
Suivi opérationnel d’une campagne intégrée
Suivi de la chaîne de production : brief, planning, budget, création, production, exécution et livraison
A noter que la mission peut être évolutive.

Formation bac+4/5 en Communication, Audiovisuel, Exploitation, Multimédia.
Rigueur, organisation et autonomie
Esprit d’équipe, dynamisme et sens de l’implication
Maîtrise de l’anglais (niveau courant)
Intérêt pour l’audiovisuel
La notion des logiciels After effect ; Premiere et/ou AVID est un plus
MODALITÉS

Stage conventionné obligatoire de 6 mois
Date de début de contrat : Janvier 2020
Localisation : Paris 8ème
Gratification : selon profil (au delà des minimums légaux pour 6 mois de stage)
Avantages : remboursement à 50% des frais de transport en commun (STIF) & prise en charge à 50% des tickets restaurant, etc."
1,https://www.indeed.fr/emplois?q=Data%20Consultant&l=Paris&radius=100&limit=100&sort=date&vjk=9e69a0a96b0e7a65,"CONSULTANT MOA KYC & DATA MANAGEMENT (H/F)
Fortil16 avis - Paris (75)","['Paris (75)', 'CDI']",CONSULTANT MOA KYC & DATA MANAGEMENT (H/F),Fortil,- Paris (75),CDI,null,"il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Data Consultant,Paris,"MISSIONS
Vous devrez :
Réaliser les travaux fonctionnels sur le référentiel
Gérer la partie réglementaire (FATCA, MIFID …)
Extraire des données dans le cadre de votre activité (bases en SQL)
Gérer ses données (Data Management)
Etablir des reportings

Maitrise de la partie KYC et gestion de données/ référentiels

PROFIL RECHERCHÉ
Vous êtes titulaire d’un BAC+5. Vous avez déjà une expérience en MOA sur des sujets similaires et vous maîtrisez l’anglais."
2,https://www.indeed.fr/emplois?q=Data%20Consultant&l=Paris&radius=100&limit=100&sort=date&vjk=f3fb59c4f0b36fbc,"Consultant Biztalk
Codit - Paris 2e (75)",['Paris 2e (75)'],Consultant Biztalk,Codit,- Paris 2e (75),null,null,"il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Data Consultant,Paris,"CODIT FRANCE est une société de services, à taille humaine, spécialisée sur les technologies Microsoft. Nous intervenons dans les solutions et services d’intégration (.NET, Azure, BizTalk) ainsi que sur des projets IoT.

CODIT FRANCE est un expert IT du secteur de l’intégration. Nos équipes aident les entreprises à mettre en relation leurs applications et leurs partenaires. Nous pensons Cloud, SaaS, mobile, Internet des objets, Big Data. Le futur se trouve dans ces technologies. Vous pouvez aider les entreprises à être à la pointe de la technologie et à aller de l’avant.

Le groupe CODIT emploie environ 180 personnes en Belgique, en France, au Portugal, en Suisse, aux Pays-bas, au Royaume-Unis et à Malte. La majorité de ces personnes est certifiée Integration Engineers. Depuis sa création en l’an 2000, CODIT a implémenté avec succès plus de 100 solutions d’intégration dans le monde entier, chez Danone, AG Insurance, Sabic, Stora Enso, DS Smith, Puratos, Microsoft, Unilin, Zespri, Marine Harvest…

A la recherche de nouveaux challenges, vous êtes passionnés par BizTalk et les environnements .net. Vous souhaitez participer à des projets d’envergure ? Rejoignez-nous !


Afin de renforcer nos équipes, nous recrutons des Consultants BizTalk (H/F).


Vos principales responsabilités sont les suivantes :
Prise en compte du cahier des charges pour mettre en œuvre des projets d’intégration sur site ou dans le Cloud Azure
Participer à la conception et la réalisation de la solution en s’appuyant sur les technologies Microsoft
Participer aux tests de validation et au déploiement
Fonction(s) de référencement
Exploitation, maintenance informatique



Vous avez capitalisé une expérience en développement informatique dans un environnement Microsoft .Net. Vous maîtrisez BizTalk, le langage C# et les technologies .NET 4.x, WCF, SQL Server et Azure
Vous connaissez également une des technologies suivantes : WPF, UWP, ASP.NET MVC.
Au-delà des compétences, nous recherchons des candidats motivés, désireux de progresser, dotés d’un esprit d’analyse, du sens du service et qui soient force de proposition.
Nous vous offrons un environnement favorable à votre progression, ainsi que les moyens associés (formation, e-learning, certification, assistance par nos experts …)."
3,https://www.indeed.fr/emplois?q=Data%20Consultant&l=Paris&radius=100&limit=100&sort=date&vjk=f7274110cd10869b,"CONSULTANT EN DEVENIR (F/H)
OCTO Technology6 avis - Paris (75)","['Paris (75)', 'CDI']",CONSULTANT EN DEVENIR (F/H),OCTO Technology,- Paris (75),CDI,null,"il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Data Consultant,Paris,"Vous disposez d’une première expérience (stage de fin d'études, CDI) dans le développement (environnement front, back ou data) et avez envie d'accélérer votre carrière ? Vous êtes au bon endroit !
Profil recherché
Découvrez notre Graduate Program !

OCTO cabinet de conseil sur l'IT digital propose à ses consultants un dispositif d'accélération autour des technologies et pratiques en forte croissance tels que la data science, le software craftsmanship ou encore le DevSecOps.

Kezako?

La Skool, c’est une promo de 10 développeurs avec une appétence toute particulière pour les enjeux des bonnes pratiques techniques et méthodologiques. Durant 8 mois, vous serez en mission tout en étant formé par nos experts ! Ainsi vous aurez toutes les clés nécessaires pour un atterrissage en douceur lors de vos projets et devenir un artisan codeur.

A la suite de cette formation certifiante, vous pourrez rejoindre l’une de nos tribus d’experts en fonction de vos appétences !

Quand ? Selon le parcours choisi, démarrage en novembre, janvier ou février.
Durée ? 20-25 jours de formations répartis sur 8 mois
Comment ? en CDI dès le début du programme !

Mais ce que nous cherchons avant tout, ce sont des personnalités qui enrichiront OCTO. Nous les reconnaissons à leur volonté de participer à l’amélioration de la vie de l’entreprise, de construire la vision et les offres de demain, de partager leurs connaissances pour faciliter la montée en compétences réciproque. De rejoindre, enfin, une communauté qui n’a pas peur d’affirmer sa différence.
Détails de l'offre
Type de poste : CDI
Lieux : Paris, Île-de-France (FR)
Descriptif du poste
Jeune diplômé d’école d'ingénieur ou équivalent, vous avez une première expérience dans le développement (y compris stage).
Vous disposez d’un intérêt marqué pour la qualité logicielle et les méthodes Agile, vous n’hésitez pas à faire de la veille sur ces sujets.
Vous avez la volonté de rejoindre une entreprise avec une forte culture du partage, de l’excellence et des bonnes pratiques alors ce mentorat est fait pour vous !"
4,https://www.indeed.fr/emplois?q=Data%20Consultant&l=Paris&radius=100&limit=100&sort=date&vjk=72a3609556c87981,"Consultant interne F/H
L'OLIVIER ASSURANCE AUTO10 avis - Paris 20e (75)","['Paris 20e (75)', 'CDI']",Consultant interne F/H,L'OLIVIER ASSURANCE AUTO,- Paris 20e (75),CDI,null,"Apec.fr - il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Data Consultant,Paris,"VOTRE FONCTION

Ce rôle offre une belle opportunité de carrière avec des missions variées auprès des différents départements (marketing, finance, actuariat, opérations, etc.).

Rattaché à un de nos seniors managers, vos principaux objectifs seront de :

Piloter des projets transverses afin d'accompagner la croissance, le développement et la performance de l'entreprise à court, moyen et long-terme (nouveaux produits, nouveaux processus, nouvelles sources de revenus, plan de mise en œuvre pour atteindre des objectifs, etc.).
Coordonner l'étude, le déploiement et le suivi de ces projets en relation avec les départements concernés.
Mais surtout et avant tout d’avoir un impact, de faire bouger les lignes et de créer de la valeur.
Exemple de missions :
Rattaché(e) à un de nos seniors managers, vous serez formé(e), encadré(e) et réaliserez des missions variées comme :
Aider au développement et au lancement de nouveaux produits.
Perfectionner notre connaissance client pour mieux répondre à leurs besoins en termes d'offre.
Améliorer notre connaissance du marché Français de l’assurance automobile.
Optimiser la stratégie d'acquisition et de conversion des prospects en clients.
Mettre en place une nouvelle stratégie de fidélisation pour nos clients.
Vous bénéficierez d’une formation à votre arrivée pour vous imprégner de la culture de L’olivier et du secteur de l’assurance directe en France.

Profil recherché VOTRE PROFIL :
Programme Bac +5 (école de commerce, ingénieurs, management, universités).
Anglais courant.
Expériences professionnelles de 1 an minimum (stages, emplois).
VOS COMPÉTENCES :
Fort esprit analytique, facilité d’interprétation de résultats et apporteur de recommandations.
Esprit ouvert et porté vers l’innovation, « think out-of-the box ».
Une bonne capacité à communiquer et à présenter (oral et écrit), envie de travailler en équipe tout en étant indépendant.
Excellentes qualités d’organisation.
Des capacités à mettre en œuvre et planifier des décisions stratégiques.
Très énergique et positif, vous avez envie de vous épanouir dans un environnement de travail très stimulant et de contribuer à l'esprit ""Great Place to Work"" de l'entreprise.

AVANTAGES :
Plan d’actions gratuites.
Mutuelle d’entreprise + Prévoyance + surcomplémentaire retraite.
Tickets Restaurant.
Entreprise L’olivier est un assureur en ligne en très forte croissance. Nous avons pour ambition de devenir le leader de l'assurance en France !

En rejoignant L’olivier, vous aurez l’opportunité de contribuer à des projets innovants portés par une forte culture du test & learn et une approche data-driven. Et ce n’est pas tout : tout collaborateur, animé d'une envie d'améliorer nos pratiques, peut exprimer son idée et prendre le lead sur sa concrétisation.

Intégrer L’olivier, c’est également bénéficier de la solidité financière du groupe Admiral, leader européen de l’assurance en ligne, coté à la Bourse de Londres. Aujourd’hui, plus de 6 millions de clients font confiance à Admiral dans le monde.

L’olive sur le gâteau : nous sommes une entreprise proche de nos collaborateurs. Et oui, nous recevons chaque année, depuis 2015 déjà, le label Great Place To Work.

Pourquoi nous rejoindre ?

Des opportunités d’évolution en interne, ou au sein du groupe Admiral (Espagne, Italie, Grande-Bretagne, etc...) ;

Un cadre de travail dynamique et challengeant ;

Des projets digitaux innovants ;

Des collègues motivés et sympathiques"
5,https://www.indeed.fr/emplois?q=Data%20Consultant&l=Paris&radius=100&limit=100&sort=date&vjk=caab09746482f39c,"Consultant(e) Marketing
LineUp 7 - Paris 9e (75)",['Paris 9e (75)'],Consultant(e) Marketing,LineUp 7,- Paris 9e (75),null,null,"il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Data Consultant,Paris,"À propos
Bienvenue dans une agence de marketing technologique !
Chez LineUP 7, nous abordons les enjeux du digital avec un angle de vue et une approche innovante : la convergence. Pour nous, la technologie, la data et le marketing ne peuvent être dissociés mais imbriqués au service de la performance des stratégies digitales.
Depuis notre création en 2015, ce positionnement novateur a séduit de nombreux clients et nous a permis de connaître une croissance exponentielle ! Nous sommes aujourd’hui 90 collaborateurs et travaillons pour plus de 70 clients à ce jour (Sushi Shop, Groupama, Printemps, FDJ, Clarins, L’Oreal, Leboncoin, ...etc).
Nous rejoindre, c’est travailler au sein d’une start-up hyper dynamique, avec des équipes soudées et qui favorise le développement des compétences et la progression de ses collaborateurs ! Nous avons à coeur d’offrir un cadre de travail agréable, sain et bienveillant.

Descriptif du poste

Vous rejoignez le Pôle CONSEIL & ACTIVATION en tant que Consultant(e) Marketing.
Sous la responsabilité d'un manager, vous accompagnerez vos clients autour de problématiques liées aux stratégies d'acquisition, de fidélisation et de connaissance clients.
Ainsi vous contribuerez aux différentes étapes d'un projet, du cadrage stratégique jusqu'à la mise en œuvre opérationnelle :
Etablissement du diagnostic
Cadrage du projet
Déclinaison stratégique de leviers opérationnels
Pilotage et suivi du projet
Mise en œuvre et optimisation de plans d’action
Construction de plans d'animation
Analyse des performances de campagnes
Animation de workshops et ateliers divers
Ce que LineUP 7 vous offre
Un environnement “start up” en pleine croissance, où les jours se suivent mais ne se ressemblent pas.
Une culture Team Spirit qui permet une intégration simple et rapide (nombreux événements, soirées et même un séminaire annuel, des managers et directeurs sensibles au bien-être et à l’épanouissement de chacun).
Une localisation idéale, en plein coeur de Paris (quartier Saint Lazare / Opéra / Auber)
Des perspectives d’évolutions au sein d’une jeune agence pleine d’avenir.
La possibilité de développer vos compétences sur de nouveaux outils ou métiers transverses et complémentaires grâce à notre LineUp Academy.
Un poste responsabilisant et sur lequel vous vous sentirez autonome.
La possibilité de proposer et de participer à divers projets internes pour améliorer la vie chez LineUP 7 (hackathons, salons, formations, ...etc).

De formation Bac+5 type école de commerce ou université, vous vous êtes spécialisé(e) dans le marketing
Vous disposez d'au moins 2 années d’expérience dans le conseil en marketing sur des problématiques digitales, data ou CRM
Vous comprenez les enjeux marketing et business liés à l’utilisation des technologies de la data et du digital
Vous êtes quelqu'un de proactif, autonome, dynamique, avec une bonne capacité d'écoute et d'excellentes capacités d'analyse et de synthèse,
Vous êtes sensible à cette notion de convergence (techno / data / marketing), que vous pourrez porter dans votre entourage professionnel
Vous êtes curieux, avez envie de progresser avec l’accompagnement d’experts et participer à la croissance d’une start-up"
6,https://www.indeed.fr/emplois?q=Data%20Consultant&l=Paris&radius=100&limit=100&sort=date&vjk=7aa0e07572f97490,"Security Consultant
Ericsson5,780 avis - Paris (75)",['Paris (75)'],Security Consultant,Ericsson,- Paris (75),null,null,"il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Data Consultant,Paris,"Date: Oct 4, 2019
Job Summary:

We are now looking for a Consultant, who will drive and/or participate in customer engagements. The position primarily involves delivering Security Consulting to Ericsson customers within the Systems Integration area. Candidate should demonstrate a strong technical orientation, broad end to end view of Technology and have strong influencing skills. In this role, the Consultant will ensure that projects are completed according to Ericsson standards, customer requirements and within budget, while being mindful of industry trends and regulations. The selected candidate should be also able to deliver Consulting engagements on Security Assessments as well as develop security solution architectures. Experience with customer decision makers in terms of Consulting delivery is desirable.

Responsibilities:
Develop consulting business opportunities to grow Ericsson business and Consulting Services
Provide sales support, define consulting approaches and solutions according to customer needs and develop consulting proposals.
Deliver consulting customer projects
Contribute to develop consulting practice capabilities in general and security capabilities in particular
Demonstrate thought leadership.
Perform IT process analysis
Work seamlessly with customers, Ericsson security SME's, Product Managers and Project Managers to deliver quality projects and expand the Ericsson business
Analyze customer offerings, market scenarios and go to market strategies related to security technology and operations.

Areas of focus may include:
Security, risk and/or vulnerability assessments and compliance
Security operations, management, monitoring, processes and tools
Cloud and virtualization security
IoT security and related considerations
Data privacy considerations and assessments
Network security architecture, design and optimization

Key Qualifications:
Education: BSc, MSc Preferred (Engineering)
Minimum years of experience: 5-7 years of Consulting experience in the security area with emphasis on delivering consulting projects to telecom service providers or experience working for a Service Provider in a network or operational security role
Area of expertise – Security
Comprehensive understanding of Mobile Networks Architectures (3G, 4G & 5G), Elements and Functionality, and preferably expertise in at least one of RAN, Core or Management/Operations domains
Deep expertise in network security technology, ISO/IEC/ITIL-based assessments, industry best practices and frameworks
Knowledge and experience in using key industry security standards ISO 2700x, COBIT, NIST-800 series, X.805, ANSI, IETF, ITU-T & 3GPP, ETSI
Experience in providing security assessments for Service Providers e.g., IP networks including IMS architectures and provide clear recommendations for addressing security risks
Ability to deliver end-to-end security vulnerability assessments/audits, and be familiar with industry security tools
Experience with cloud related security and OSS/IT security
Understanding of DevOps for cloud solutions
Strong interpersonal skills, adapting to a variety of customer and cultural environments
Good presentation and written skills and ability to convey key messages and customer value in a very convincing manner
Focused on delivering results and exceeding customer expectations

Additional Requirements:
Willingness to travel up to 50%, based on the needs of the business
Ability to travel freely throughout the European Union (no visa restrictions)
Excellent English skills (oral and written)
Security certifications are a plus (e.g., CISSP, CCIE, CHFI, CompTIA Security+, CEH, GSEC, OSCP)
Financial acumen & skills
Knowledge sharing & collaboration skills
High integrity and objectivity
Negotiation & argumentation skills
Consultative selling skills

Ericsson provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, sexual orientation, marital status, pregnancy, parental status, national origin, ethnic background, age, disability, political opinion, social status, veteran status, union membership or genetics.
Ericsson complies with applicable country, state and all local laws governing nondiscrimination in employment in every location across the world in which the company has facilities. In addition, Ericsson supports the UN Guiding Principles for Business and Human Rights and the United Nations Global Compact.
This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation, training and development.
Ericsson expressly prohibits any form of workplace harassment based on race, color, religion, sex, sexual orientation, marital status, pregnancy, parental status, national origin, ethnic background, age, disability, political opinion, social status, veteran status, union membership or genetic information.

Primary country and city: France (FR) || || Paris || Consulting&SysInt
Req ID: 298403"
7,https://www.indeed.fr/emplois?q=Data%20Consultant&l=Paris&radius=100&limit=100&sort=date&vjk=da283e09049bc263,"CONSULTANT BIG DATA/JAVA - F/H
Ingeniance21 avis - Paris (75)","['Paris (75)', 'CDI']",CONSULTANT BIG DATA/JAVA - F/H,Ingeniance,- Paris (75),CDI,null,"il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Data Consultant,Paris,"Contexte de la mission:
Cette mission se déroulera au sein de la DSI Finance Comptabilité & Ratios de la Direction des Opérations et des Systèmes d'Information de notre client.
La direction métier du domaine Finance – Comptabilité et Ratios de notre client est aujourd'hui en attente d'une solution et d'un support basé sur les technologies BigData et la notion associée de Datalake.

Le point de vue métier vis-à-vis de ce projet à réaliser est une attente très forte comme accélérateur de solution pour l'ensemble des futurs reportings règlementaires à mettre en place entre 2017 et 2020, mais également le premier instrument pour la mise en qualité des données Comptables – Prudentielles et Risques de notre client.

Missions:
La mission a pour objectif la construction d'un � datalake � Finance & Risque. Ce datalake s'appuiera sur la distribution Hadoop HortonWorks.
Par la notion de datalake, il existe une multitude de problématiques à adresser autour des thèmes suivants: audit, qualité, contrôle, gouvernance de la donnée.
Les éléments attendus par la création et la livraison du Datalake Finance & Risk, en tant qu'outil de production, à l'ensemble des métiers Comptabilité, Prudentiel, Risque, Pilotage financier sont multiples.
Le projet tant techniquement que fonctionnellement devra y répondre:
Industrialisation de l'alimentation des données sur la plateforme technique HortonWorks
Alimentation des Meta-données en parallèle des données brutes.
Monitoring de l'ensemble des flux (tenue de cette information en quasi temps-réel)
Le profiling automatique de la donnée intégrée (tag, distribution de valeurs )
Abstraction des données
Les notions de Business Glossary et Technical Glossary doivent permettre la passerelle vers les utilisateurs Business métier. Ils doivent pouvoir interroger le datalake avec une sémantique Finance et Risque et non avec des noms de tables ou de champs.
Interprétation du contenu – mise en correspondance des référentiels internes
Toutes les données intégrées devront être liées, enrichies, contrôlées avec l'ensemble des référentiels (Contrepartie, Desk/Book, Devise, Entité Comptable, etc) a priori en aval de la couche de stockage transversale
Application d'une sécurité forte dédiée à chaque profil utilisateur
La sécurité des données d'un datalake est une attente majeure des sponsors métiers.
Une matrice complexe doit pouvoir être définie par les outils du datalake pour y répondre. A cela s'ajoutant la dimension temporelle des politiques d'accès définies.
Piste Audit complète de la données pour tout le SI Finance & Risk
Traçabilité complète attendue, en terme de lineage de la donnée intra cluster Hadoop
Pouvoir suivre les données, leur transformation et leur contribution à quel reporting règlementaire.
Socle de Reporting / Traitement & Controles
Reporting statique donnant la situation des contrôles croisés inter-application
Production des nouveaux états réglementaires attendus (Anacrédit, MREL)
Mise en place d'une Zone d'échange Normalisée avec l'entité maison mère

Enfin, il est attendu par les Business métiers un ensemble d'outil d'interrogation � libre � de la donnée présente dans le datalake, la DataViz est donc une problématique majeure dans la construction de la solution.
Profil recherché:
Diplômé(e) d'une grande école d'ingénieurs ou de formation équivalente (Bac+5), vous avez un excellent relationnel et disposez d'une bonne capacité d'analyse.
Connaissance des méthodes et technologies de développement BigData pour les éléments Alimentation et Transformation de la donnée. En premier lieu une connaissance du moteur SPARK (avec implémentation Scala ou Python)
Capacité de modélisation via la technologie Hive (notion de partitionnement, tables externes ou managées etc )
Compétence pour implémenter une solution propriétaire Web de monitoring et audit des flux de données (DashBoard Kibana/Graphana, ou par Angular, ou autres techno Web)
Capacité à faire un benchmark des outils marchés de Data Vizualisation (ex: Tableau, Spotfire) ou Data Wrangling (ex: Trifacta).
Compétences techniques:
REST/ JSON
Java/J2EE
Hadoop
Familier avec les méthodes de travail agile / scrum ...
Environnement UNIX/LINUX, Script SHELL
Connaissance des états réglementaires (Surfi, Protide, BDP, Corep, Finrep)
Apache, Tomcat..., Reverse Proxy (gestion d'instance), Administration d'un serveur d'application Websphere
Big Data (Java, Python, Scala, ...)
Big Data (Pig, Hive, ..)
Connaissance des principes de modélisation d'une base de données relationnelle et du langage SQL
INGENIANCE est une société jeune et dynamique qui stimule l'innovation et la transformation digitale par l'accompagnement de ses clients dans leurs projets liés aux nouvelles technologies. Spécialiste des secteurs Banque, Finance et Assurance, INGENIANCE est également une entreprise technology-oriented qui offre une expertise multi-sectorielle autour du Big Data, du développement informatique, de la Blockchain et de la philosophie DevOps. Ceci permet à INGENIANCE de se positionner comme une entreprise leader du marché financier et avant-gardiste des technologies disruptives."
8,https://www.indeed.fr/emplois?q=Data%20Consultant&l=Paris&radius=100&limit=100&sort=date&vjk=70b8f517331012df,"Consultant Métier Attribution F/H
YSANCE - Paris 2e (75)","['Paris 2e (75)', 'CDI']",Consultant Métier Attribution F/H,YSANCE,- Paris 2e (75),CDI,null,"Apec.fr - il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Data Consultant,Paris,"attaché(e) au Directeur Services SaaS, le (ou la) Consultant(e) Métier Attribution sera le (ou la) responsable sur la solution attribution de la qualité des prestations délivrées par Ysance.

Vous serez chargé(e) d’accompagner nos clients dans la mise en place de la solution Attribution. Vous formerez nos clients à l’outil et à notre méthodologie et vous vous chargerez de produire des prestations d’analyse des données clients pour les transformer en plan d’action au service du business de nos clients.

Vos missions en tant que Consultant Métier Attribution seront les suivantes :

Produire des prestations de qualité : set-up, formation, support, réalisation de recommandations stratégiques,

Participer à la montée en compétence de l’équipe,

Être force de proposition sur l’évolution de nos offres de service, nos supports de formation et de restitutions d’analyses…
Profil recherché Diplômé.e d’un BAC+5, vous parlez anglais couramment ou suffisamment pour le pratiquer dans un contexte professionnel. La pratique de l’espagnol serait un plus.

Idéalement vous avez une expérience réussie en tant que traffic manager chez un annonceur, vous connaissez les problématiques d’attribution. Vous êtes passionnés par les problématiques des acteurs retail, dans un environnement multicanal.

A minima: vous maîtrisez les canaux d'acquisition marketing : SEO, SEA, display, PLA… et avez une bonne connaissance des solutions de web analytics.

Vous avez une bonne connaissance du marché du e-commerce et de l’e-pub avec une expérience réussie de gestion de projet dans l’univers du webmarketing ou du e-commerce. Vous êtes en capacité d’analyser de données marketing, et de comprendre les différents écosystèmes métiers.
Entreprise Ysance Mazeberry exerce deux métiers complémentaires :

l’intégration de plateformes data-centric,

l’édition de solutions Saas pour le Marketing.

Pour dynamiser les conversions et les ventes, nous apportons à nos clients retailers

une solution complète

de mesure, de décision et d’activation marketing omnicanal d’envergure mondiale et leur permettant d’adapter l’ensemble de la customer journey au comportement du consommateur et de révolutionner l’expérience client par l’exploitation des données."
9,https://www.indeed.fr/emplois?q=Data%20Consultant&l=Paris&radius=100&limit=100&sort=date&vjk=98e8cf08e08f8691,"CONSULTANT SUPPORT FO/MO - F/H
Ingeniance21 avis - Paris (75)","['Paris (75)', 'CDI']",CONSULTANT SUPPORT FO/MO - F/H,Ingeniance,- Paris (75),CDI,null,"il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Data Consultant,Paris,"Contexte de la mission:

Intervenir en tant que consultant support auprès d'une grande banque d'investissement sur des applications front et middle office utilisées au niveau international.
Ces applications nécessitent un support permanent (assistance fonctionnelle et technique), comprenant des demandes d'évolutions, tests d'intégration, mises en production, ainsi que la formation des utilisateurs. Divers projets internes sont également à prendre en charge.

Missions:
Assistance fonctionnelle et/ou technique aux utilisateurs pour les applications front et middle office de son périmètre.
Traitement des demandes des opérationnels (par téléphone ou email) et en menant les investigations de premier niveau.
Assure la disponibilité de l'application, transmet aux équipes MOE les bugs identifiés et les évolutions à effectuer par le biais de tickets d'incident.
Mettre à jour la documentation de l'application et effectuer des tests d'évolution.
Connaissances requises :
Connaissance globale des marchés financiers et de leur organisation
Bonne culture informatique (SQL, Unix, etc), permettant une parfaite adaptation aux systèmes d'information financiers.
Profil recherché:
Diplômé(e) d'une grande école d'ingénieurs ou de formation équivalente (Bac+5), vous avez un excellent relationnel et disposez d'une bonne capacité d'analyse.
Vous justifiez d'une première expérience (alternance ou stage de fin d'études) en finance de marché, alliée à un bon niveau en anglais.
La disponibilité, la résistance au stress et le sens de la gestion des priorités sont également indispensables.
INGENIANCE est une société jeune et dynamique qui stimule l'innovation et la transformation digitale par l'accompagnement de ses clients dans leurs projets liés aux nouvelles technologies. Spécialiste des secteurs Banque, Finance et Assurance, INGENIANCE est également une entreprise technology-oriented qui offre une expertise multi-sectorielle autour du Big Data, du développement informatique, de la Blockchain et de la philosophie DevOps. Ceci permet à INGENIANCE de se positionner comme une entreprise leader du marché financier et avant-gardiste des technologies disruptives."
