,id,meta1,meta2,titre_poste,entreprise,localisation,contrat,salaire,date_publication,keyword_metier,keyword_localisation,description
0,https://www.indeed.fr/emplois?q=Performance%20Analyst&l=Paris&radius=100&limit=100&sort=date&vjk=6863c34f317bc62d,"BUSINESS DATA ANALYST – INSTRUMENTS & INDEX DATA
AXAIM Global COO - Puteaux (92)","['Puteaux (92)', 'Temps plein, CDI']",BUSINESS DATA ANALYST – INSTRUMENTS & INDEX DATA,AXAIM Global COO,- Puteaux (92),"Temps plein, CDI",null,"AXA - il y a 59 minutes
- Continuer pour postuler
Signaler cette offre d'emploi",Performance Analyst,Paris,"Composé d’une trentaine d’analystes experts en gestion de la donnée, le département Data Management a pour responsabilité la gestion centralisée des données qui alimentent les systèmes et équipes d'AXA IM (du front office à la commercialisation, y compris les activités de 'risk management', support…).
Le département Data Management s'articule autour de 3 pôles :
Coordination : composé de plusieurs Data Relationship Managers organisés par ligne métier/expertise
Opération : composé de Data Business Analystes en charge du support client, de la production et du contrôle qualité
Solution : en charge de répondre aux besoins d’ évolution / projets

La mission se déroulera au sein du pôle Opération



Objet du poste
Au sein de Data Management, équipe Opérations – Instrument & Index Data, l’analyste est en charge de la gestion des référentiels du pôle Instrument & Index Data et du support fonctionnel aux équipes Front Offices, Client group, Finance, Reporting et Technology Front Office…



Missions principales
Dans un département en pleine transformation, la majeure partie l’activité d’administration a été externalisée. Dans ce contexte, le Business Data Analyst (en charge de la creation et de la gestion d’une base ou plusieurs sources de données) devra introduire par de nouvelles approches et méthodologies (Data scientist, machine learning etc..) de nouveaux moyens de gérer et administrer les sources de données d’AXA IM afin de répondre, anticiper les besoins des plateformes métiers (Quant Lab, ESG, Recherche, gestion Front Office, Trading, Risque et Compliance, Client Group) et mettre en place de nouveaux tableaux de bord (croisement de données) et mesures de qualité.

1. Supervision de l’activité externalisée (Création d’objet et contrôles qualité)
A l’aide de méthodologies alternatives (Data scientist, machine learning etc..), mettre en place, des routines automatisées autour du Data Hub des bases Instruments & Indices (SmartPlanet, Neoxam Data Hub), afin de s’assurer du bon déroulement des activités externalisées.

2. Contrôle qualité
S’assurer que les contrôles qualité définis dans le Data Management Control Policy sur l’activité sont effectués. Effectuer un contrôle de second niveau sur les activités offshores (Inde),
Mettre en place de nouveau contrôle régulièrement ainsi que de nouveau Dashboard pour les monitorer (Contrôle transverses, contrôle cross -referentiels)

3. Support quotidien aux clients
Répondre de façon réactive, efficace et détaillée aux demandes complexes de support des clients
Assurer, en collaboration avec les autres membres de l’équipe, la continuité du service selon les horaires définis par le manager et selon les besoins des clients

4. Documentation
Maintenir à jour la Documentation de processus, user guide, dictionnaire de données etc…

5. Data science & innovation
Mettre en place de nouveaux Dashboards pour mesurer la qualité de la donnée, analyser les processus existants afin de les automatiser davantage (robotisation, machine learning etc) avec comme objectif un gain de ressource et/ou de qualité de donnée. Accompagner les plateformes métier d’AXA IM dans la revue et acquisition de nouvelles sources de données. Forte collaboration avec les équipes de Data Science/Technologie.
Qualifications
Formation / Expérience
Bac +4 / 5 avec spécialisation en Economie et/ou Finance
3 à 5 ans d’expérience dans le Data Management en milieu financier (banque, broker, asset management)

Connaissances et compétences
Bonne connaissance des données financières
Aisance dans l’utilisation d’outils de Meta Data Management
Connaissance du langage SQL
Connaissance de python/R appréciée
Bonne compréhension des mécanismes/possibilités liés à la Data Science/Big Data
Connaissance des librairies de Machine Learning est un plus
Bloomberg, Reuters, Telekurs
Anglais : bonne communication à l’oral et à l’écrit

Compétences personnelles
Goût pour le travail d’équipe
Aisance relationnelle
Orienté client
A propos d'AXA
Aimeriez-vous vous lever chaque jour motivé(e) par une mission inspirante et travailler en équipe pour permettre de protéger les personnes et leurs proches? Chez AXA nous avons l’ambition de mener la transformation de notre métier. Nous cherchons des personnes talentueuses ayant une expérience diversifiée, qui pensent différemment, et qui veulent faire partie de cette transformation passionnante en challengeant le statu quo et faire d’AXA – marque globale leader et une des sociétés les plus innovantes dans notre secteur – une entreprise encore plus performante et responsible.
Dans un monde en perpétuelle évolution et avec une présence dans 64 pays, nos 166 000 salariés et distributeurs privilégiés anticipent le changement pour offrir des services et solutions adaptés aux besoins actuels et futurs de nos 103 millions de clients.
Nous sommes un investisseur global multi-actifs, qui privilégie le long terme et la gestion active, pour permettre au plus grand nombre d’atteindre ses objectifs financiers en exploitant tout le potentiel des solutions d’investissement. En associant une connaissance pointue de l’investissement et de l’innovation à une gestion solide des risques, nous sommes devenus l’un des acteurs majeurs de la gestion d’actifs en Europe, avec 746 milliards d’euros d’actifs à fin 2017. Nous employons 2 400 personnes à travers le monde et possédons 29 bureaux répartis dans 21 pays.
Pourquoi nous rejoindre ?
Nous sommes fiers de promouvoir une culture de la performance ce qui veut dire que nous cherchons à recruter des personnes qui sont non seulement compétents techniquement mais également ouverts à l'international, innovants et capable de mettre à contribution leurs uniques perspectives et expériences afin d'accompagner nos succès en tant qu'entreprise. Employer les meilleurs professionnels parmi le plus large vivier de talents possible est au cœur de notre stratégie qui consiste à délivrer une excellente qualité de service à notre clientèle diversifiée.
AXA IM s’engage à développer une culture inclusive, mettant en valeur la diversité et soutenant la progression de carrière de l’ensemble de ses collaborateurs et collaboratrices."
1,https://www.indeed.fr/emplois?q=Performance%20Analyst&l=Paris&radius=100&limit=100&sort=date&vjk=4c15f46e7e867fa8,"Assistant Marketing H/F
SARAWAK PARIS - Boulogne-Billancourt (92)
A répondu à 51 %-74 % des candidatures sur les 30 derniers jours, généralement en 1 jour.","['Boulogne-Billancourt (92)', 'Temps plein, Stage']",Assistant Marketing H/F,SARAWAK PARIS,- Boulogne-Billancourt (92),"Temps plein, Stage",null,"il y a 3 heures
Signaler cette offre d'emploi",Performance Analyst,Paris,"Vous recherchez un Groupe dynamique ?
Sarawak c’est 3 entités, 25 millions d’euros de chiffre d’affaires. Nous cultivons « l’esprit entrepreneur », l’agilité et l’efficacité pour toujours mieux nous adapter à nos clients. Vous cherchez un poste permettant d’exprimer votre éthique ? Vous pensez que le remède à l’ennui est la curiosité ?
Au-delà de vos compétences, c’est ce qui vous permettra de réussir !
Vous avez soif de découvrir un nouveau marché ? Vous recherchez un équilibre entre vie personnelle et professionnelle ? Nous sommes déjà 350 à l’avoir trouvé !
Dans le cadre de notre développement, nous recherchons un business analyst retail H/F en stage pour notre service commercial.
VOS MISSIONS :
Le Suivi des performances des équipes terrain :
- Collecter et consolider les informations liées à l'activité des Chefs de Secteur GMS/GSS
- Actualisation des référencements / plan promo
- Implémentation des infos dans le système / exactitude BDD
- Construction des outils de pilotage : client, manager, terrain
- Aide à la préparation des journées terrain
- Etablir et analyser les tableaux de bord
- Suivi des indicateurs de performance : CA, DN, mise en place PLV, suivi des challenges...
- Faire des recommandations sur les actions des Chefs de Secteurs
- Mise en place de processus pour optimiser l’efficacité et la productivité des commerciaux
Actions supports :
- Assurer l'interface avec les parties prenantes de la société (fournisseurs, client direct, collaborateurs internes)
- Organiser l'intégration des nouveaux commerciaux en collaboration avec le service recrutement
Coordination quotidienne entre :
Les services support de la société, le Client, les Directeurs des Ventes, les Chefs de Secteur
Votre objectif ? Garantir la visibilité de l'activité terrainet être au cœur de l'information.
La culture du résultat, la satisfaction client et l'esprit d'entreprise sont des valeurs fortes.
L'excellence tout simplement.
PROFIL :
Grande rigueur, autonomie, prise d'initiatives, gestion des priorités, esprit d’équipe, d’analyse et de synthèse, connaissance d'Excel/Powerpoint (fonctionnalités et formules de base) seront un plus pour votre candidature (non obligatoire)
- Une expérience en Grande Distribution ou en tant que commercial
- La maîtrise des tableaux croisés dynamiques
Pour candidater :
si vous avez envie de vous démarquez avec une présentation vidéo de vous c'est par ici = >
https://candidates.visiotalent.com/#/recruitments/5b335c3b5094b ( On vous y invite, c'est hyper sympa et ca change)
Type d'emploi : Temps plein, Stage"
2,https://www.indeed.fr/emplois?q=Performance%20Analyst&l=Paris&radius=100&limit=100&sort=date&vjk=77851af8a5c9d5c8,"GESTIONNAIRE BACK OFFICE (BANQUE) (F/H)
Randstad Search13,958 avis - Pantin (93)","['Pantin (93)', '33 000 € par an']",GESTIONNAIRE BACK OFFICE (BANQUE) (F/H),Randstad Search,- Pantin (93),33 000 € par an,33 000 € par an,"il y a 2 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Performance Analyst,Paris,"Nous recherchons pour le compte de notre client, filiale d'un grand groupe bancaire, un Analyste performance (f/h).
description du poste
Au sein du service de Reporting de Performance l'Analyste de performance/Investment Controller aura pour objectif principal de garantir le niveau qualitatif des prestations délivrées à nos clients. Dans ce cadre, il devra plus précisément assurer les tâches liées à la collecte des inventaires nécessaires à la production des reportings réglementaires Solvency 2.
Il devra également participer aux contrôles de second niveau des reportings de gestion et, le cas échéant, instruire et coordonner nos équipes de production.
profil recherché
Vous devez être titulaire d'un Bac+5 et avoir au moins 1 année d'expérience.
Pour réussir au mieux votre mission vous connaissez les outils de production IRP et connaissez les principes de gestion de portefeuille et les mathématiques financières.
Vous avez un niveau d'anglais avancé.
informations complémentaires
niveau d'études : BAC+5
salaire minimum : 33000 €
type de salaire :"
3,https://www.indeed.fr/emplois?q=Performance%20Analyst&l=Paris&radius=100&limit=100&sort=date&vjk=4db9b4bbc3044cd0,"ANALYSTE CONTRÔLE CRÉDIT ET COLLECTION - ANALYSTE FINANCIER - RECOUVREMENT (F/H)
Randstad Search13,958 avis - Antony (92)","['Antony (92)', '31 224 € par an']",ANALYSTE CONTRÔLE CRÉDIT ET COLLECTION - ANALYSTE FINANCIER - RECOUVREMENT (F/H),Randstad Search,- Antony (92),31 224 € par an,31 224 € par an,"il y a 3 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Performance Analyst,Paris,"Nous recherchons pour le compte de notre client un Analyste contrôle crédit et collection - Analyste financier - Recouvrement (F/H)
description du poste
Au sein de CI2C (Customer Invoicing To Cash, regroupant les services financiers clients France &- Exports), vous accompagnez le Crédit Manager Export France &- Affaires Industrielles dans la gestion du risque crédit couvrant plusieurs flux de ventes, des Opérations Commerciales et des Affaires Industrielles (IA), (1500 clients représentant plusieurs centaines de Millions d'Euros de Ventes sur plusieurs filiales), et son expansion internationale sur les Domaines de Contrôle Crédit pertinent du modèle cible CI2C, dans le respect des procédures et des règles de gestion du Groupe applicables.
Vous êtes en charge de :
Gestion financière quotidienne des commandes clients bloquées (analyse, libération ou recommandation/suivi) avec un souci de continuité d'exploitation en particulier sur les commandes de matières actives des ""Business Units-"" (BU) IAS(Sanofi Active Ingredients Solutions) et ""Pharma Sales"", avec leurs extensions internationales.

Analyse du risque clients (intégrant les éléments de scoring, comportement clients et d'analyse financière) pour déterminer des limites de crédit/classe de risque, et gestion financière des données maîtres clients (Customer Master Data) dans les systèmes (FIORI).

Gestion des actions de recouvrement (automatique, ou ponctuelles et ciblées, en relance ou pré-relance) sur une base d'analyse suivie des comptes clients et balances âgées, en étant force de proposition pour l'amélioration des indicateurs clés de performance (échus).

Gestion des tableaux de bord mensuel Comité Crédit Clients et éléments de situations pour les forces commerciales, priorisation Customers Services et autres intervenants dans les processus, notamment auprès des Services Clients quant aux traitements des réclamations en cours.

Gestion des demandes clients (documents, analyse et réconciliation de compte) et support à l'équipe de Cash Application (Encaissements Clients) sur le rapprochement (lettrages) entre les encaissements et les éléments de créances figurant dans les comptes clients.

Intervention auprès des Services Clients quant aux traitements des réclamations en cours.
profil recherché
Vous devez être titulaire d'un Bac+3 et avoir au moins 5 années d'expérience.

Vous disposez d'une expérience dans le domaine comptable et/ou financier et justifiez d'une bonne connaissance du processus contrôle crédit et recouvrement. Vous maîtrisez les systèmes d'informations financiers tels que SAP - Votre capacité d'analyse et d'anticipation vous permettra d'optimiser vos délais de réponses. Vous avez des qualités de rigueur, d'organisation et de négociation. Vous avez des qualités d'écoute et de négociation, de l'éloquence écrite et orale, de la bienveillance dans la conciliation des exigences de fermeté et celles de la continuité de l'exploitation pour interagir avec les clients externes (et interne) de manière professionnelle.
Une formation AFDCC, des connaissances en matière d'outils de sécurisation des paiements du Commerce International (Lettre de Crédit, Credit Documentaire), bancaires et juridiques seraient appréciées.
informations complémentaires
niveau d'études : BAC+3
salaire minimum : 31224 €
type de salaire : Annuel"
4,https://www.indeed.fr/emplois?q=Performance%20Analyst&l=Paris&radius=100&limit=100&sort=date&vjk=4ed079af45cf052d,"Advertising Data Analyst
Work4 Labs - Paris 9e (75)","['Paris 9e (75)', 'Temps plein, Stage', '1 000 € par semaine']",Advertising Data Analyst,Work4 Labs,- Paris 9e (75),"Temps plein, Stage",1 000 € par semaine,"il y a 17 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Performance Analyst,Paris,"Tu es intrigué par le potentiel de Facebook pour le recrutement ? Tu veux porter ce potentiel au prochain niveau ? Si c'est le cas, tu es le candidat idéal pour t'épanouir chez Work4 !
Descriptif du poste
A propos
Créée en 2010 par deux Français et soutenue par des investisseurs de renom, Work4 est le leader mondial du recrutement sur Facebook. Avec des équipes à Paris et aux Etats-Unis, Work4 permet à des milliers d'organisations d'attirer et de recruter leurs futurs talents sur Facebook, le plus grand vivier de candidats au monde.
Nous avons la chance, au cœur du 9ème, de travailler dans un cadre exceptionnel : espaces de détente, jardin privatif, table de ping-pong, salle de repos et esprit start-up ! Retrouvez-nous sur Welcome to the Jungle : https://www.welcometothejungle.co/companies/work4
Ce que tu feras ?
Apprendre à maîtriser notre solution de publication de Facebook Ads et développer une expertise pour lancer des campagnes Facebook taillées sur mesure pour nos clients
Analyser la performance des campagnes et produire des analyses de KPI sur la chaîne de conversion
Optimiser les campagnes pour atteindre les objectifs des clients
Améliorer les opérations et les procédés en travaillant directement avec l'équipe Produit
Connaître toutes les dernières innovations et technologies de Facebook
Gestion de projets digitaux en parallèles des tâches quotidiennes
Qui tu es ?
Doté de nombreuses ressources et d'un esprit entrepreneurial, tu souhaites travailler dans une ambiance start-up et dans un environnement évoluant à grande vitesse. Tu souhaites apprendre et impacter le monde d'aujourd'hui. Tu es autonome et les challenges ne t'effraient pas. Tu aimes travailler dur mais dans un environnement décontracté. Selon toi, ""il n'y a pas de problèmes, que des solutions"".
Tu es actuellement en fin d'étude et recherches un stage avec potentiel d'embauche ?
Tes compétences :
Bac+5 dans une école de commerce ou d'ingénieurs et en fin d'études
Bon niveau d'anglais indispensable (et français bilingue)
(Très) motivé par le travail bien fait
Tu apprends très vite et es autonome
Tu es à l'aise avec les chiffres et tu sais les faire parler
Excel est ton ami
Tu es organisé et capable de gérer et prioriser de nombreuses tâches simultanément
Infos
Durée : 6 mois
Démarrage: Janvier 2020
Rémunération: 1000€ brut/mois + jusqu'à 1000€ prime de fin de stage
Localisation: Paris, 9ème arrondissement Métro Pigalle / Saint-Georges (proche gare Saint Lazare)
0c3hOKRRts"
5,https://www.indeed.fr/emplois?q=Performance%20Analyst&l=Paris&radius=100&limit=100&sort=date&vjk=f38fd1a4d95884b8,"Stagiaire - Financial Analyst Commercial H/F
Disneyland Paris665 avis - Marne-la-Vallée (77)","['Marne-la-Vallée (77)', 'Temps plein, Stage']",Stagiaire - Financial Analyst Commercial H/F,Disneyland Paris,- Marne-la-Vallée (77),"Temps plein, Stage",null,"il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",Performance Analyst,Paris,"Avec plus de 350 millions de visites depuis 1992 (dont 15 millions en 2017) Disneyland® Paris est la destination touristique la plus visitée en Europe. Disneyland Paris abrite deux parcs à thèmes et plus de 50 attractions exceptionnelles. Disneyland Paris gère également le Disney Village et 7 hôtels à thèmes comptant plus de 5000 chambres, et a aussi une activité de développement immobilier.

L’équipe Revenue Forecast Consolidation

Au sein de la direction commerciale de Disneyland Paris, la division « Revenue Management and Analytics » (RMA) est en charge de l’optimisation et de la maximisation des revenus de l’entreprise.

A l’intérieur de RMA, l’équipe Revenue Forecast Consolidation a pour missions principales :
D’être garant des prévisions en volumes et chiffre d’affaires à court et moyen terme (forecast et budget) de Disneyland Paris (parcs, hôtels, restaurants & boutiques)
D’identifier les risques et opportunités de revenus par marché et par produit en vue d’atteindre les objectifs fixés par la direction
D’organiser et animer le processus prévisionnel mensuel et le suivi des prévisions de revenus
D’organiser et animer le processus budgétaire
Nous recherchons actuellement pour une mission de 6 mois, un stagiaire Contrôleur de Gestion au sein de l’équipe.

Responsabilités :
Production et analyse des différents reportings hebdomadaires liés à la performance des différentes lignes de business
Envoi & explication des reportings aux équipes partenaires pour leur suivi de performance, ainsi qu’à nos homologues de la Walt Disney Company (US) en vue d’une consolidation de tous les sites Parcs
Suivi et analyse des écarts de revenus par rapport au budget, à l’année dernière, et au forecast
Définir les méthodes d'évaluation des impacts revenus (effet volume, prix, mix) et superviser la création d’outils nécessaires au suivi de l’activité
Support au processus de forecast et budgétaire des revenus; échanges et validation avec les responsables métiers; préparation de présentation à destination du Top Management et de la Walt Disney Company (US)
Analyses transversales façonnant l'entreprise, notamment celles relatives aux nouvelles activités lancées par l’entreprise (Nouveaux produits, soirées événementielles etc.)
Optimisation de nos processus internes
Support aux directions Marketing, Ventes et Finance; contrôle de la bonne imputation des revenus pour faciliter la lecture et la compréhension du P&L
Votre profil

Vous êtes de formation Bac+4/5 obtenu en Ecole de Commerce ou Université, avec une spécialisation en Finance/Contrôle de Gestion. Vous avez au moins 6 mois d’expérience (en stage ou alternance) permettant une bonne compréhension des problématiques stratégiques et financières d'une grande entreprise (exemple : contrôleur de gestion, analyste business, audit, cabinet de conseil etc.).

Nous recherchons une personne autonome, rigoureuse, impliquée, avec un bon sens de l’analyse, capable de s’adapter et de s’intégrer dans une équipe et dans un environnement international dynamique. La maîtrise de l’anglais (oral et écrit) et du pack office (Excel & Powerpoint) est indispensable. La connaissance de SAP et de Business Object est un plus.
Début souhaité : Janvier 2020 (pour 6 mois)"
6,https://www.indeed.fr/emplois?q=Performance%20Analyst&l=Paris&radius=100&limit=100&sort=date&vjk=411bde27b0d0afce,"Stagiaire - Web Analyst H/F
Disneyland Paris665 avis - Marne-la-Vallée (77)","['Marne-la-Vallée (77)', 'Temps plein, Stage']",Stagiaire - Web Analyst H/F,Disneyland Paris,- Marne-la-Vallée (77),"Temps plein, Stage",null,"il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",Performance Analyst,Paris,"Au sein de l'équipe Web Performance et du département Revenue Management & Analytics, vous participerez à l’analyse de performance des sites web de Disneyland Paris pour les équipes Commerciales et en support des équipes Media et Digital afin d’optimiser le revenu de la destination

Responsabilités :
Vous accompagnerez les analystes de l’équipe sur les missions suivantes :
Suivre régulièrement la performance business des plateformes web et alerter si besoin
Définir et extraire des outils web et BI les données nécessaires à l'analyse (études récurrentes et ad hoc)
Analyser la donnée pour en sortir des enseignements pertinents
Synthétiser et présenter les résultats aux partenaires internes
Contribuer au développement du site web par le biais d’analyses

Diplôme et expérience requis :
En préparation BAC+4/5 Ecole de Commerce ou cursus universitaire en marketing digital
Première expérience en Web Analyse et connaissance des outils analytiques web (une préférence pour Adobe Analytics)
Autonome, rigoureux, dynamique, organisé, curieux, bonne communication écrite et orale, à l’aise avec les environnements web et mobile
Esprit analytique associé à une capacité à restituer simplement et efficacement des sujets complexes
Langues : Anglais et Français courant
Informatique : Microsoft Office : Excel (niveau avancé), Powerpoint, Adobe Analytics"
7,https://www.indeed.fr/emplois?q=Performance%20Analyst&l=Paris&radius=100&limit=100&sort=date&vjk=4b4d60598e9a6e7a,"Stagiaire - Analyste Stratégie H/F
Disneyland Paris665 avis - Marne-la-Vallée (77)","['Marne-la-Vallée (77)', 'Temps plein, Stage']",Stagiaire - Analyste Stratégie H/F,Disneyland Paris,- Marne-la-Vallée (77),"Temps plein, Stage",null,"il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",Performance Analyst,Paris,"Avec plus de 350 millions de visites depuis 1992 (dont 15 millions en 2017) Disneyland® Paris est la destination touristique la plus visitée en Europe. Disneyland Paris abrite deux parcs à thèmes et plus de 50 attractions exceptionnelles. Disneyland Paris gère également le Disney Village et 7 hôtels à thèmes comptant plus de 5000 chambres, et a aussi une activité de développement immobilier.

L’équipe Forecasting, Strategic Planning & Business Insights

Au sein de la direction commerciale de Disneyland Paris, la division « Revenue Management and Analytics » (RMA) est en charge de l’optimisation et de la maximisation des revenus de l’entreprise.
A l’intérieur de RMA, l’équipe Forecasting, Strategic Planning & Business Insights a pour missions principales :
D’être garant des prévisions en volumes et chiffres d’affaires des projets à court et long terme de Disneyland Paris (parcs, hôtels, restaurants & boutiques)
De coordonner et réaliser des analyses transverses à la Direction Commerciale pour assurer une compréhension fine de l’activité et identifier les recommandations adéquates
D’identifier les risques et opportunités de revenus par marché et par produit en vue d’atteindre les objectifs fixés par la direction
Nous recherchons actuellement pour une mission de 6 mois, un stagiaire « analyste stratégie » au sein de l’équipe.



Responsabilités :
Analyse de performance (revenu) d'une initiative réalisée ou en cours
Valorisation en volume et en revenu des futures initiatives de Disneyland Paris
Projets transverses visant à comprendre des grandes tendances impactant le business (performance d'un segment, d'une activité comme la restauration ou l'hôtellerie etc.)
Identification des risques et des opportunités de revenus (à court terme et à long terme)
Aide à la décision pour le top management / comité commercial
Pour mener à bien ces missions, le ou la stagiaire devra :
Construire / utiliser des modèles économiques de prévision de revenus
Récupérer la donnée nécessaire et l’interpréter (en collaboration avec les équipes Marketing, Ventes & Finance)
Présenter ses résultats (à l’oral comme sur des supports powerpoint) à son management
Votre profil

Vous êtes de formation Bac+4/5 en Conseil, Stratégie, Finance, ou Contrôle de Gestion (École de Commerce, d’Ingénieur ou Université). Vous avez au moins 6 mois d’expérience (en stage) permettant une bonne compréhension des problématiques stratégiques et commerciales d'une grande entreprise (exemple : business analystes, cabinets de conseil, gestion de projet / conduite du changement, marketing stratégique etc.).

Nous recherchons une personne autonome, rigoureuse, impliquée, avec un bon sens de l’analyse, capable de s’adapter et de s’intégrer dans une équipe et dans un environnement international dynamique. Très bonne maîtrise de l’Anglais (utilisé dans tous les documents et en réunion). Connaissance d’Excel et de Powerpoint

Début souhaité : Janvier 2020 (pour 6 mois)"
8,https://www.indeed.fr/emplois?q=Performance%20Analyst&l=Paris&radius=100&limit=100&sort=date&vjk=b8ce6157a70a5b47,"CONSULTANT SAP CONTRÔLE DE GESTION (H/F)
FRAMATOME55 avis - Nanterre (92)","['Nanterre (92)', 'CDI']",CONSULTANT SAP CONTRÔLE DE GESTION (H/F),FRAMATOME,- Nanterre (92),CDI,null,"ComptaJob.fr - il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",Performance Analyst,Paris,"Description du poste :
Framatome est un acteur international majeur de la filière nucléaire reconnu pour ses solutions innovantes et ses technologies à forte valeur ajoutée pour la conception, la construction, la maintenance et le développement du parc nucléaire mondial. L'entreprise conçoit et fabrique des composants, du combustible, des systèmes de contrôle-commande et offre toute une gamme de services destinés aux réacteurs. Grâce à ses 14 000 collaborateurs à travers le monde, Framatome met chaque jour son expertise au service de ses clients pour leur permettre d'améliorer la sûreté et la performance de leurs centrales nucléaires et de contribuer à atteindre leurs objectifs économiques et sociétaux. Framatome est détenue par le groupe EDF (75, 5 %), Mitsubishi Heavy Industries (MHI - 19, 5 %) et Assystem (5 %). Votre domaine fonctionnel sera le Contrôle de Gestion. Vous devrez : Construire le plan d'évolution applicatif de votre domaine fonctionnel : dans le respect de la stratégie définie pour le centre de compétences, dans l'objectif de répondre au besoin des Métiers Promouvoir l'utilisation de SAP et le développement de standards au sein de Framatome sur son domaine. Piloter le portefeuille d'activité de son domaine (projets, évolutions, assistance, corrections) Le/la Business Analyst est responsable de : La relation avec les Métiers en tant que référent sur son domaine ; L'animation du réseau des utilisateurs et des acteurs locaux (applications connexes) ; La priorisation, la revue et la coordination de son portefeuille d'évolutions (projets et demandes d'évolution) ; Du pilotage et de l'organisation de l'activité de son domaine, dans le respect des SLA ; De garantir la cohérence et l'optimisation des processus, ainsi que le respect des règles Core lorsqu'elles existent ; De suivre et de réceptionner les évolutions ; De l'escalade des problèmes au niveau du responsable de centre de compétences ; De rationaliser la maintenance des systèmes existants, notamment au travers de la TMA sur les systèmes « Legacy ». Principales interactions avec d'autres entités : Equipe transformation et gouvernance ISDT Equipes AMOA métier Activités Principales : Assurer le support de niveau 1 et apporter une expertise sur les processus de votre domaine. Assurer la collecte et la formalisation des besoins métiers. Assurer l'interface avec les équipes d'implémentation, en charge de proposer puis d'implémenter les solutions ou de fournir les correctifs. Assister le métier pour les tests et recettes et l'approbation des livraisons (projets ou releases dévolution). Suivre les avancées et escalader les problèmes de qualité, coût ou délais si nécessaire. Assurer le pilotage de votre domaine et produire les reportings nécessaires (notamment permettant de suivre le respect des SLA). Gérer la mise à disposition des ressources en fonction des besoins, des compétences et des disponibilités des équipes. Contribuer à la définition de la stratégie SI du centre de compétences. Assurer la veille applicative sur son domaine. Identifier les fonctions actuellement portées par des systèmes « legacy » pouvant être remplacés par une application existante Poste à pourvoir au sein d'un Etablissement soumis à une enquête administrative."
9,https://www.indeed.fr/emplois?q=Performance%20Analyst&l=Paris&radius=100&limit=100&sort=date&vjk=608959673875b48b,"Data Analyst & Marketing - Alternance (H/F)
Companeo20 avis - Antony (92)","['Antony (92)', 'Apprentissage, Contrat pro']",Data Analyst & Marketing - Alternance (H/F),Companeo,- Antony (92),"Apprentissage, Contrat pro",null,"il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Performance Analyst,Paris,"Description de vos missions
Rattaché(e) à votre Chef d’équipe, vous travaillerez avec lui sur diverses missions de la DMP du groupe et
notamment :
Véritable renfort dans la gestion et le bon fonctionnement de la DMP interne (datalake, outil de
gestion DataIku).
Prise en charge de la recette technique (anomalie ; bug et correctif) des différents projets
Réalisation des segments d’audience et enrichissement de la donnée
Contrôler la qualité et assurer la fiabilité des données
Création & suivi des performances des campagnes DMP (DataIku, oas, smart, etc.).
La veille stratégique de l’écosystème data & digital.
Votre profil
Issu(e) d’une formation type école de commerce ou école d’ingénieur, vous avez une expérience en
marketing digital (agence, annonceur, régie, médias, missions transverses) et en utilisation d’outils d’analyses de données,
Autonome, dynamique et curieux(se), vous portez un vif intérêt pour l’univers de la Data et du Web en général,
Orienté(e) « business », vous êtes très à l’aise avec les chiffres,
En savoir plus sur nous
Infopro Digital est un groupe leader d’information et de services professionnels en Europe (3 300 collaborateurs dont 1 400 hors de France, chiffre d’affaires total 444 millions d’euros, 20% de croissance annuelle).
Nous couvrons plusieurs univers clés de l’économie : la distribution, le BTP, l’automobile, l’industrie, l’assurance et la finance, et le secteur public.
Infopro Digital a pour vocation d’offrir des services et des produits plurimédias (logiciels, salons, bases de données, sites web, formations, édition, événements…) à ces communautés professionnelles dans l’objectif de :
Faire croître leur activité commerciale en générant de nouvelles opportunités d’affaires ;
Leur permettre d’opérer plus rapidement et plus efficacement leurs métiers en leur donnant l’information et les outils nécessaires."
