,id,meta1,meta2,titre_poste,entreprise,localisation,contrat,salaire,date_publication,keyword_metier,keyword_localisation,description
0,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%23&l=Paris&radius=100&limit=100&sort=date&vjk=285f817e868d9232,"Développeur logiciel C#/C++ (H/F)
Stago45 avis - Gennevilliers (92)","['Gennevilliers (92)', 'CDI']",Développeur logiciel C#/C++ (H/F),Stago,- Gennevilliers (92),CDI,null,"il y a 5 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur C#,Paris,"Stago, des technologies de pointe au service de l’humain…
Référence mondiale en Hémostase et partenaire privilégié des laboratoires de biologie médicale, Stago conçoit, fabrique et commercialise, à travers le monde, la plus large gamme de réactifs et d'instruments d'analyses en Hémostase.
Stago investit de manière soutenue en Recherche et Innovation et place les technologies les plus avancées au cœur de ses développements produits pour proposer des tests associant toujours plus de performance (précision, gamme de mesure, cadence…) à une mise en œuvre toujours plus simple et robuste (formats prêts à l’emploi, miniaturisation…).
Rattaché à la Direction de la R&D basée à Gennevilliers (92), vous aurez pour mission de garantir le développement des couches logicielles chargées du pilotage des automatismes présents dans nos instruments de diagnostic in-vitro.
Pour cela vous serez amené à :
Définir en collaboration avec les autres développeurs, l’architecture logicielle adaptée à la résolution des problèmes posés
Implémenter les fonctionnalités spécifiées en respectant les règles de codage et bonnes pratiques en vigueur
Ecrire et maintenir les tests automatiques
Documenter les développements conformément aux procédures qualité applicables
Participer à l’investigation technique et à la correction d’anomalies logiciel rencontrées par les utilisateurs
Participer à l’amélioration continue en termes de méthodologie, d’usine logicielle, de bonne pratique, de veille technologique
Profil
H/F, de formation Ingénieur ou équivalente, vous disposez d’une expérience significative d’au moins 3 ans à un poste similaire.
Une première expérience sur des automates programmables ainsi que des connaissances sur l’environnement robotique sont un plus à votre candidature.
Vous maitrisez le développement orienté objet sur le langage .NET C# avec des connaissances d’un ORM (NHibernate) et/ou C++ temps réel sur Windows pour une cible Linux ainsi que le Multithreading. Ces compétences sont nécessaires pour mener à bien votre mission.
Votre rigueur et votre autonomie associées à un gout pour le travail en équipe seront les qualités essentielles pour ce poste.
Vous évoluerez dans un environnement agile et intégrerez l’équipe qui travaille suivant une méthodologie inspirée de Scrum.
Si vous êtes tenté par une expérience où vous allez vous dépasser et faire progresser les autres en vous appuyant sur votre enthousiasme, votre pro-activité et votre force de proposition, alors rejoignez-nous !"
1,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%23&l=Paris&radius=100&limit=100&sort=date&vjk=e0eaaff4c98b9344,"Développeur .NET F/H
SYNOPSIA INGENIERIE - Paris 2e (75)","['Paris 2e (75)', 'CDI']",Développeur .NET F/H,SYNOPSIA INGENIERIE,- Paris 2e (75),CDI,null,"Apec.fr - il y a 5 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur C#,Paris,"Dans le cadre de notre croissance, nous recherchons un Ingénieur d’Etudes et de Développement Net C# H/F pour intervenir sur nos projets clients :

Participation aux nouveaux développements et aux projets déjà existants ;
Réalisation de tests unitaires ;
Rédaction de documentation
Nous recherchons quelqu'un d'autonome et de passionné qui sera en mesure de prendre pleinement part aux développements et d'apporter son savoir-faire à nos projets.
Profil recherché Vous êtes diplômé Bac+5.

Vous maitrisez C#, ASP.Net ou encore ReactJS … et avez de bonnes connaissances des webservices et des bases de données.

Vous vous reconnaissez dans nos valeurs, ce poste est fait pour vous!

N'hésitez plus : postulez
Entreprise SYNOPSIA est une société de Service et d’Ingénierie Informatique à taille humaine. Créée en 1999, elle accompagne depuis 20 ans ses clients dans la concrétisation de leurs projets numériques, en mettant à leur disposition une expertise technique et des compétences métier.

Chez SYNOPSIA nous avons à cœur d’avoir une réelle proximité avec chacun de nos salariés et nous œuvrons pour le développement de leur carrière en adéquation avec leur projet professionnel. A ce titre, nous attachons une grande importance au choix des missions et à la formation professionnelle. Nous recherchons des hommes et des femmes qui partagent nos valeurs : le sens du service, une ouverture d’esprit et une volonté de relever les défis qui se présentent à eux."
2,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%23&l=Paris&radius=100&limit=100&sort=date&vjk=90ccb5bbdae97629,"STAGE - Développeur (se) Full-Stack H/F (PTXDFSS-4116)
Bolloré Group93 avis - Puteaux (92)","['Puteaux (92)', 'Stage']",STAGE - Développeur (se) Full-Stack H/F (PTXDFSS-4116),Bolloré Group,- Puteaux (92),Stage,null,"il y a 3 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur C#,Paris,"Dans le cadre du lancement d'un nouveau projet, la Direction des systèmes d'Information de Bolloré Transport & Logistics recherche un stagiaire afin d'accompagner l'équipe de développements. Ce stage sera pour vous l'occasion de découvrir notre méthodologie éprouvée, des technologies innovantes le tout dans le contexte d'un projet international.

Vous serez amené à participer à l'ensemble des phases suivantes :
Architecture et spécifications techniques
Conception et Développement
Recette

Les technologies prévues sur ce projet sont les suivantes : ASP.NET MVC ; C# 6 ; WEB API ; SQL SERVER 2016 ; Knockout JS

Vous bénéficierez d'une formation complète à votre arrivée, d'un encadrement de qualité et de la méthodologie projet mise en place par la direction technique. Dans le cadre des projets auxquels vous participerez, vous pourrez exprimer votre dynamisme ainsi que vos idées et vous gagnerez progressivement en autonomie.
Profil
Etudiant(e) en école d'ingénieur ou équivalent universitaire, vous êtes dynamique, curieux (se), motivé(e) par les challenges et vous savez travailler en équipe.

Vous êtes bon(ne) communiquant(e) et techniquement à l'aise sur les problématiques liées au développement. Une bonne connaissance du langage C# serait un plus.

Dans le cadre du lancement d'un nouveau projet, la Direction des systèmes d'Information de Bolloré Transport & Logistics recherche un stagiaire afin d'accompagner l'équipe de développements. Ce stage sera pour vous l'occasion de découvrir notre méthodologie éprouvée, des technologies innovantes le tout dans le contexte d'un projet international.

Vous serez amené à participer à l'ensemble des phases suivantes :
Architecture et spécifications techniques
Conception et Développement
Recette
Déploiement

Les technologies prévues sur ce projet sont les suivantes : ASP.NET MVC ; C# 6 ; WEB API ; SQL SERVER 2016 ; Knockout JS

Vous bénéficierez d'une formation complète à votre arrivée, d'un encadrement de qualité et de la méthodologie projet mise en place par la direction technique. Dans le cadre des projets auxquels vous participerez, vous pourrez exprimer votre dynamisme ainsi que vos idées et vous gagnerez progressivement en autonomie.
Profil
Etudiant(e) en école d'ingénieur ou équivalent universitaire, vous êtes dynamique, curieux (se), motivé(e) par les challenges et vous savez travailler en équipe.

Vous êtes bon(ne) communiquant(e) et techniquement à l'aise sur les problématiques liées au développement. Une bonne connaissance du langage C# serait un plus."
3,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%23&l=Paris&radius=100&limit=100&sort=date&vjk=d355038bb619f9c4,"Développeur C++ F/H
FAIRYTOOL - Paris 8e (75)","['Paris 8e (75)', 'CDI']",Développeur C++ F/H,FAIRYTOOL,- Paris 8e (75),CDI,null,"Apec.fr - il y a 5 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur C#,Paris,"Vous aurez la responsabilité de développer la solution logicielle PocketStudio au sein de l'équipe R&D de la société. Vous rejoindrez une entreprise de la deep tech dans le numérique, à un stade encore précoce de son développement : vous travaillerez dans un environnement international, moderne, au sein d’une équipe de haut niveau passionnée par les technologies numériques, soucieux des enjeux d’avenir, notamment environnementaux, et où vous participerez à part entière, à la construction d’un projet unique en son genre, ambitieux et passionnant.
Profil recherché Expérience de programmeur C++ ayant déjà fait ses preuves en entreprise (2 références requises)

Débutant / Mid: 2 ans minimum,
Expérimenté: 8 ans minimum.
LES + :
Vous avez travaillé sur des projets de grande taille
Vous avez une experience en 3D, computer vision, etc.
Vous lisez, écrivez et parlez l'anglais
Vous avez de solides fondations en mathématiques notamment appliquées à la 3D (linear algebra, etc.)
Vous avez une expérience de développement Android/(iOS)
Vous connaissez d'autres langages (Python, C#, Go, etc.)
RESPONSABILITÉS ESSENTIELLES:
Concevez et implémentez les fonctionnalités telles que définies dans la feuille de route (roadmap),
Testez votre code / fonctionnalités et corrigez les bugs
Contribuez à la feuille de route (roadmap) et à l'architecture globale du logiciel
Participez à la revue du code, contribuez à la définition et à l’application de normes de codage élevées, partagez votre expérience avec les programmeurs indépendamment de leur niveau d'expérience.
Utilisez différents frameworks pour suivre les modifications, les bugs, créer des versions déployables, testez, etc.
Suivez l'évolution des innovations de l'industrie en matière de hardware et de logiciel, ainsi que de normes et de la recherche (lire des articles et mettre en œuvre de nouvelles techniques, examiner le code existant publié, les implémentations, etc.)
Aidez à la rédaction de documents techniques
En fonction de votre profil et de vos aspirations, vous aurez l’occasion de travailler sur différents sujets tels que le rendu en temps réel, la technologie d’animation, le framework UX et UI, la technologie d’édition collaborative en temps réel, le moteur de script in-app, le traitement de contenu 3D, etc.

QUALITÉS :
Travailler et bien communiquer avec les autres
Passionné de programmation
Autodidacte, ouvert d'esprit et polyvalent, curieux et continu
Vous vous souciez et voulez faire la différence
TYPE DE CONTRAT :
CDI (contrat à durée indéterminée) - CDI

COMPENSATION & AVANTAGES :
Salaire compétitif
Stock options
Une demande de visa peut être prise en charge
Entreprise Fondée par une équipe de technologistes ayant travaillé sur des films comme Avatar, le Seigneur des Anneaux ou les Gardiens de la Galaxie parmi beaucoup d’autres, PocketStudio est une startup de la deep-tech développant une nouvelle génération d’outils de création de contenu numérique dans le domaine de l’animation 3D pour les industries du cinéma et de la télévision."
4,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%23&l=Paris&radius=100&limit=100&sort=date&vjk=dd8e8bda50f060d0,"Développement XML/XSD / Freelance
IT SUPPORT AND SUPPLY - Paris (75)","['Paris (75)', 'Temps plein, Freelance / Indépendant']",Développement XML/XSD / Freelance,IT SUPPORT AND SUPPLY,- Paris (75),"Temps plein, Freelance / Indépendant",null,"Freelance-info - il y a 2 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur C#,Paris,"Bonjour,

Dans le cadre de notre projet, nous avons besoin d’un développeur ayant des compétences sur les domaines suivants :

Génération des fichiers XML et Excel en utilisant un modèle XSD (Compétence obligatoire)
Codage Web : PHP / Javascript / JQuery (Compétence obligatoire)
Codage : C# (Un plus)
Base de données : MySQL (Un plus)
Le sujet de la mission est le suivant :
Mise en place d’un module permettant de générer des fichiers d’échanges de données avec France TV.

Ces fichiers sont de type XML et Excel, la génération des ceux-ci se base sur un modèle XSD et les données proviennent de plusieurs de nos bases.

Il est donc nécessaire d’être à l’aise et adaptatif sur les langages de programmation."
5,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%23&l=Paris&radius=100&limit=100&sort=date&vjk=1326fb17d65d012f,"Développeur Web Fibre Optique F/H
OGMIOS DEVELOPPEMENT - Le Plessis-Robinson (92)","['Le Plessis-Robinson (92)', 'CDI']",Développeur Web Fibre Optique F/H,OGMIOS DEVELOPPEMENT,- Le Plessis-Robinson (92),CDI,null,"Apec.fr - il y a 5 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur C#,Paris,"Nous recherchons pour l’un de nos clients, du secteur pétrolier, un développeur Web Fibre Optique.

Participer aux choix techniques.
Développer de nouvelles interfaces.
Assurer la maintenance de l'existant.
Contribuer à la veille technique et à l'amélioration continue.
Profil recherché De formation bac +5, vous êtes diplômé(e) d’une école d'ingénieur à dominante informatique

Vous avez au moins 5 ans d’expérience en programmation WEB.

Bilingue anglais.

maîtrise des technologies suivantes :
End-To-End Development Life Cycle Experience

Angular 6+

TypeScript/JavaScript

HTML5 including Canvas Graphics

CSS/SCSS including Bootstrap

REST API

Node/Express

.Net Core/C#

Multithreading

Git Source Control.

Apprécié :
Microservices

PostgreSQL

MQTT/ZeroMQ

OSM/GIS

CI and TDD

Agile/Scrum Experience

Cloud

Container Technology
Entreprise Créé en avril 2014, Le Groupe OGMIOS Développement est une société de conseil en ingénierie, dont le totem est une tête de lion.

Un symbole qui représente la force, la puissance mais aussi le calme, et la sagesse.

Des valeurs nécessaires au développement du Groupe, dans lequel chacun se reconnaît, trouve sa place et s’épanouit.

Mais dans notre ADN, on trouve également la réactivité, la pertinence et la confiance sans laquelle rien ne se construit durablement.

Depuis sa création, le Groupe OGMIOS poursuit l’objectif d’accompagner ses clients dans leurs développements et sur tout le cycle de vie de leurs projets en s’appuyant sur les compétences de ses collaborateurs.

Mais c’est aussi, une croissance rapide et maîtrisée qui repose sur des managers impliqués, à l’écoute des souhaits et aspirations de chacun.

Une indépendance financière qui dégage de toute pression néfaste aux ambitions que nous nous sommes fixés.

Et si nous attachons une si grande importance à placer l’humain au centre de nos préoccupations, c’est que nous n’oublions pas que nos collaborateurs sont nos meilleurs ambassadeurs.

Rejoindre le Groupe OGMIOS Développement, c’est participer à une aventure collective, humaine et passionnante car chacun pourra être fier d’avoir apporté sa contribution, aussi minime soit-elle.

Alors qu’attendez-vous pour rejoindre le clan ?"
6,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%23&l=Paris&radius=100&limit=100&sort=date&vjk=8bd0e7ca1413d28f,"DÉVELOPPEUR FULLSTACK #JAVA #VUE
Urban Linker - Paris (75)","['Paris (75)', 'CDI']",DÉVELOPPEUR FULLSTACK #JAVA #VUE,Urban Linker,- Paris (75),CDI,null,"il y a 1 heure
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur C#,Paris,"DESCRIPTIF DE LA SOCIETE
Cette entreprise canadienne développe depuis 10 ans un logiciel de surveillance des réseaux informatiques et téléphoniques. Ses clients sont présents dans le monde entier, notamment en Amérique du Nord.
Elle regroupe une centaine d'employés, et la filiale française basée à Paris est constituée de 4 développeurs.
Tu auras l'occasion de travailler sur des enjeux importants de temps réel et de sécurité !
DESCRIPTION
POSTE
Au sein d'une équipe de 4 développeurs français, tu travailleras en collaboration avec les équipes canadiennes sur le développement d'un logiciel de monitoring de réseaux téléphoniques et informatiques. Tes missions seront de garantir le bon fonctionnement du logiciel, de poursuivre son amélioration, de développer de nouvelles fonctionnalités...
La stack est la suivante :
Java Hibernate Spring
Vue.js
Angular
Jenkins
Tests automatisés Junit et Mocha
PostGreSQL
Code review, clean code, méthodes agiles

Tu seras aussi amené à travailler ponctuellement sur une solution d'analyse de données sur du C# .Net MVC.
PACKAGE
Salaire attractif selon profil
1 jour de télétravail par semaine
Ticket resto
Mutuelle 70%
Transport 50%
Contrat cadre
RTT
Plan de stock options
LES +
Espace de co-working en plein coeur de Paris
Matériel fourni
Environnement international
Déplacements ponctuels au Canada et en Europe
PROFIL RECHERCHE
Tu as au moins 3 ans d'expérience sur du développement Java (de préférence client léger)
Tu maîtrises aussi le développement front
Tu as aussi une connaissance des protocoles réseaux (IP, HTTP...)
Tu es autonome, curieux, pro-actif et passionné par ton métier !
Tu es agnostique et ouvert à découvrir de nouveaux langages"
7,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%23&l=Paris&radius=100&limit=100&sort=date&vjk=d8839515a68d900c,"Développeur .NET C# Confirmé
Relaymark - Paris (75)",['Paris (75)'],Développeur .NET C# Confirmé,Relaymark,- Paris (75),null,null,"il y a 10 heures
Signaler cette offre d'emploi",Développeur C#,Paris,"Ce que vous dites à vos amis/familles
“Je développe la plateforme de marketing local pour les réseaux de vente la plus évoluée du marché et la plus simple d’utilisation.”

Ce que vous allez faire
Faire évoluer la plateforme
Refonte graphique des modules existants avec une UX/UI Designer
Participer à la conception et mise en oeuvre du produit
Préparer et encadrer l’externalisation des développements
Maintenir des solutions historiques
Avec qui vous allez travailler ?
Vous rejoindrez le pôle R&D multi-technos (.NET, JS, NoSQL) composé de 2 passionnés soudés organisés en process Agile Enterprise. Vous côtoierez aussi l’équipe relation clients avec qui vous pourrez échanger sur leurs problématiques métiers afin de les intégrer au mieux à la solution. Avec l’aide de notre UX/UI designer, vous accomplirez des merveilles sur les interfaces clients existantes et à venir.
Personnalité
Vous êtes curieux des enjeux métiers. Vous cherchez à comprendre au delà de la demande client afin de saisir les tenants et aboutissants. Vous aimez le café ou le thé.
Compétences requises
.NET C#
REST / WebAPI
Framework JS (angular js de préférence)
Anglais (B2)"
8,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%23&l=Paris&radius=100&limit=100&sort=date&vjk=9f29ed2b163456db,"Développeur C# loT - CDI
Technilog - Saint-Rémy-lès-Chevreuse (78)",['Saint-Rémy-lès-Chevreuse (78)'],Développeur C# loT - CDI,Technilog,- Saint-Rémy-lès-Chevreuse (78),null,null,"il y a 10 heures
Signaler cette offre d'emploi",Développeur C#,Paris,"Au sein d’une équipe d’experts et rattaché au directeur technique , vous serez amené à travailler sur l’intégration et le développement d’une solution industrielle dans le domaine des objets connectés (IoT) .
Profil recherché :
Au-delà de votre formation, vous justifiez d’une expérience d’un an minimum en développement dans les environnements Microsoft et vous maîtrisez impérativement les langages et technologies suivantes : C#, C++ et VBA ….
Le candidat doit être motivé par le travail en équipe et être passionné par les nouvelles technologies"
9,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%23&l=Paris&radius=100&limit=100&sort=date&vjk=510905e1d531b57b,"Développeur Front .NET (H/F)
HighCo10 avis - Paris (75)
A répondu à 75 % ou plus des candidatures sur les 30 derniers jours, généralement en 2 jours.","['Paris (75)', 'CDI']",Développeur Front .NET (H/F),HighCo,- Paris (75),CDI,null,"il y a 10 heures
Signaler cette offre d'emploi",Développeur C#,Paris,"HighCo recherche pour sa filiale HighCo BOX, un Développeur Front.NET H/F.
HighCo est un groupe de Solutions Marketing digitales et offline, spécialisé dans la grande distribution et la grande consommation. Sa mission est de développer des solutions marketing pour enrichir la relation client, activer le trafic et les ventes en point de vente.Il compte aujourd’hui près de 850 collaborateurs en Europe : France, Benelux, Espagne et Italie.
HighCo Box est une agence digitale, spécialisée dans le développement des ventes. Elle traite à la fois du marketing mobile et du marketing web, elle a pour mission d’accompagner les marques et les enseignes dans l’exploitation des technologies web et mobiles au service de leur business et de leur relation client.HighCo Box compte parmi ses clients : Carrefour, Auchan, E-Leclerc, Procter & Gamble, Groupe Casino, Danone France, Canderel…
MISSIONS :
Vous serez intégré dans l’équipe Technique, sous la responsabilité du Directeur Technique.
Types de missions :
– Développement de sites web sous Visual Studio 2017
– Intégration de pages web en respectant les contraintes liées aux différents projets
– Maintenance sur les sites web de nos partenaires, mises à jour de design et fonctionnelles
– Gestion et suivie de projet technique
Outils et environnements de travail:
– Base de données : SQL Server 2008, mySQL
– Outil de développement : Visual Studio 2017, GIT
– Langages : HTML, Javascript, .NET, C#, PHP, SQL, CSS, J-QUERY, XML
PROFIL :
Vous êtes titulaire d’un Bac+2/3 ou plus, vous disposez d’un bon bagage technique de développement et serez à l’aise avec l’environnement .NET.
Justifiant d’une expérience réussie en entreprise, vous êtes curieux, autonome, impliqué et organisé. Vous êtes doté de capacités d’analyse et de rigueur, et vous avez de bonnes connaissances en gestion de projet.
Type d'emploi : CDI
Type d'emploi : CDI
Expérience:
développeur front (h/f) ou similaire: 3 ans (Souhaité)"
