,id,meta1,meta2,titre_poste,entreprise,localisation,contrat,salaire,date_publication,keyword_metier,keyword_localisation,description
0,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%2B%2B&l=Paris&radius=100&limit=100&sort=date&advn=474131205272072&vjk=27bfe10e9eccd242,"Développeur C++ F/H
BMarkets - Paris (75)",['Paris (75)'],Développeur C++ F/H,BMarkets,- Paris (75),null,null,"eFinancialCareers.fr - il y a 14 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur C++,Paris,"BMarkets est un cabinet de conseil et de recrutement en système d’information & des opérations spécialisé en finance de marché. Société à taille humaine, nous proposons à nos 70 collaborateurs un accompagnement personnalisé et des missions de qualité. Cabinet en pleine croissance, nous intervenons auprès de nos clients, des établissements financiers (Banque d’investissement, Asset Management, Editeurs de logiciels financiers) et leur apportons notre expertise.
Au sein d’une banque d’investissement, vous rejoindriez une équipe chargée de l’intégration d’une application de trading, plus précisément sur les accès marchés spécifiques à chaque bourse.
Vous serez chargés du développement sur le framework de passage d’ordres sur les marchés électroniques.
Mission :
Développement en C++ (11 et 14) sur le framework de passage d’ordre
Conception et développement jusqu’à la mise en production
Formation des équipes de production
Suivi des évolutions
Test, analyses
Support
Votre profil :
Vous êtes ingénieur Bac+5
Vous justifiez idéalement d’une expérience de 3 ans minimum en développement C++ (C++ 11 et 14), des templates (STL)
Vous avez l’envie de vous confronter aux contraintes techniques actuelles de la finance de marché (multithreading, low latency, etc)
Vous êtes familier avec la méthode Agile
Vous souhaitez devenir référent technique ou vous orienter vers un poste plus fonctionnel (Business Analyste) ce poste peut vous accompagner sur cette évolution de carrière."
1,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%2B%2B&l=Paris&radius=100&limit=100&sort=date&vjk=556a9ca7bc0dcf6a,"Développeur C++/Finance (H/F)
BK Consulting - Nanterre (92)","['Nanterre (92)', 'CDI']",Développeur C++/Finance (H/F),BK Consulting,- Nanterre (92),CDI,null,"il y a 14 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur C++,Paris,"Au sein d’une équipe en charge du développement des composants et services de pricing et de produit de notre client : - Vous participerez aux design et à l’implémentation des développements de la librairie de pricing des produits dérivés actions et leur intégration dans le système d’information de notre client- Vous serez responsable de la mise en place des tests unitaires et de la documentation de l’implémentation- Vous êtes force de proposition afin de faire évoluer l’architecture globale de pricing

De formation supérieure type grande école d'ingénieur, vous disposez d'au minimum 5 d'expérience dans le développement C++ et dans un domaine fonctionnel similaire Dérivés actions, Pricing et intégration de librairies financièresLa Maîtrise de l’anglais est obligatoire"
2,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%2B%2B&l=Paris&radius=100&limit=100&sort=date&vjk=58ccd677aedf9d04,"Développeur Intégrateur Logiciel JAVA IHM H/F
MBDA45 avis - Le Plessis-Robinson (92)",['Le Plessis-Robinson (92)'],Développeur Intégrateur Logiciel JAVA IHM H/F,MBDA,- Le Plessis-Robinson (92),null,null,"il y a 12 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur C++,Paris,"Venez partager et développer vos compétences avec nos 3000 collaborateurs sur notre site du Plessis-Robinson. Rejoignez la direction qui soutient nos programmes dans la conduite des activités d’ingénierie et des essais, qui met en œuvre les méthodes d’optimisation de notre excellence technique et qui garantit un service optimal auprès de nos clients ! Au sein d'une équipe de développement logiciel, vous participerez à la réalisation d'un logiciel opérationnel de type centre de commandement, simulateur d'entraînement au tir de missiles, de préparation de mission ou d'outils d'analyse et de traitement de données. Les centres de commandement des systèmes d’armes terrestres, navals et sous-marins sont des logiciels d’aide à la décision permettant d’évaluer et d’exécuter le meilleur plan d’engagement depuis la détection de la menace jusqu’à la réussite du tir missile. Le simulateur d'entraînement permet l'immersion des tireurs dans un environnement proche de l'environnement réel pour réaliser des séquences de tir évoluées. La préparation de mission permet de préparer au sol les données nécessaires à un missile de croisière pour accomplir sa mission.Les outils d'analyse et de traitement de données sont des logiciels utilisés dans un environnement temps réel contraint, pilotent du matériel (instruments de mesure, bus numériques à haut débit série, GB Ethernet, vidéo, ...).Les logiciels opérationnels dans ces quatre contextes mettent en œuvre des technologies complexes : IHM évoluées en Java (cartographies, 3D, réalité augmentée, vidéo ...), des architectures complexes (middleware, gestion de bases de données, ...) et des algorithmes multiples modélisant le comportement du missile (C++, OPENCL ...).Votre rôle sera d'intervenir prioritairement sur l'ensemble du cycle de développement d'IHM évoluées en Java. En plus des nombreux échanges au sein d'une équipe de développement logiciel projet, vous serez intégré dans une équipe spécialisée dans le développement des IHM.Ces nombreuses relations impliquent un bon relationnel pour mener à bien les travaux confiés.


Grâce à vous compétences, vous serez en charge de :
L'analyse critique des spécifications fonctionnelles et logicielles
La conception du logiciel en utilisant des frameworks dédiés et en favorisant la réutilisation,
L'implémentation en JAVA pour les parties graphiques (aide à la décision, affichages cartographiques, affichages 2D/3D, ...),
La réalisation des tests unitaires et de bon fonctionnement, des tests d‘intégration dans le produit, et de la validation des solutions proposées avec le client interne,
La gestion de configuration
Des déplacements de courte durée en France ou en UK sont à prévoir.
PROFIL RECHERCHÉ
Diplômé(e) d'une école d'ingénieur ou équivalent avec une spécialisation en informatique vous avez une première expérience significative (stages inclus). Des compétences en développement JAVA et en conception orientée objet (UML) sont indispensables. Des compétences en développement HTML en méthode Agile seraient appréciables.
Compte tenu de l'environnement international de l'entreprise, un bon niveau d'anglais est nécessaire.
Les défis technologiques de l’industrie de défense vous motivent ? Envoyez-nous votre candidature !
TYPE DE CONTRAT : CDI
LOCALISATION : Le Plessis-Robinson (92)
RÉFÉRENCE : DP32371
POSTULER"
3,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%2B%2B&l=Paris&radius=100&limit=100&sort=date&vjk=1bf7399074c58ce6,"Développeur JAVA / Freelance
HFIT CONSULTING - Paris (75)","['Paris (75)', 'Temps plein, Freelance / Indépendant']",Développeur JAVA / Freelance,HFIT CONSULTING,- Paris (75),"Temps plein, Freelance / Indépendant",null,"Freelance-info - il y a 15 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur C++,Paris,"Nous recherchons pour l’un de nos clients du secteur Energie un développeur JAVA.

Expérience : 2 à 5 ans d’expérience

Technical skills :
Expérience dans le développement et le déploiement des logiciels embarqués
Langages : Java (8+) Idéalement, Java 11, Python
Frameworks : Spring, RESTEasy,
Connaissance de architectures ARM
Linux : Shell, Systèmes / administration
Expériences de développement en environnement containerisés (Docker)
Agile skills :
Mindset
Maîtriser les bases de l’agilité (organisation, cérémonies, méthodologie)
Avoir la vision produit et savoir la communiquer
Comprendre le mindset user-centric
Comprendre le mindset requirement-driven
Etre dans une démarche d’amélioration continue (pas seulement sur un aspect technique)
Capacité à adapter son discours en fonction de l’auditoire
Autonome / Capacité à gérer ses propres priorités

Autres :
Porteur de sujets
Connaissances des outils JIRA, Confluence et Excel
Bonus :
Connaissance de C/C++
CI/CD"
4,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%2B%2B&l=Paris&radius=100&limit=100&sort=date&vjk=f726c60ec054c1ab,"Développeur C++
Stereolabs - Paris 14e (75)","['Paris 14e (75)', 'Temps partiel']",Développeur C++,Stereolabs,- Paris 14e (75),Temps partiel,null,"il y a 19 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur C++,Paris,"STEREOLABS
Stereolabs est la startup leader des solutions de capture 3D. Nos solutions combinent algorithmes de traitement d’images 3D et de machine learning avec la caméra ZED pour développer les prochaines générations de robots et d’espaces plus intelligents, plus profitables et plus sûrs.
Basée à Paris et San Francisco, Stereolabs est à la recherche de profils de haut niveau pour accompagner sa forte croissance.
Travailler chez Stereolabs, c’est:
l'opportunité d'avoir un impact fort, visible et immédiat
un environnement de travail stimulant avec des challenges à relever chaque jour
la possibilité de gagner en compétence, d'évoluer et de grandir professionnellement
MISSION
En tant que Développeur C++ vous serez responsable de la conception et de l’implémentation d’applications temps-réel pour la camera management platform.
Vos missions seront les suivantes :
Concevoir et implémenter des applications (prototypes et modules) C++ multi-thread, temps réel, et scalable
Participer à l’analyse des use-cases et a la définition des requirements
Optimiser les algorithmes pour garantir une performance temps réel
Maintenir et améliorer les build systems en utilisant CMake, Docker, and Python
Collaborer avec l’équipe QA pour identifier les tests pour nouvelles features
Analyser et développer des composants utilisant le langage approprie (C++, node.js, …)
Ensure the development and implementation of applications (prototypes and modules).
Adapter et configurer les software packages pour l’architecture logicielle
Harmoniser et industrialiser l’ensemble des composants et applications

Diplôme Grande Ecole d’Ingénieur
2 ans minimum d’expérience dans le développement C++
Connaissances Node.js et Python
Dynamisme, grande capacité de travail en équipe et de reporting synthétique
Bon niveau d’anglais
Début:Dès que possible.Durée:CDILieu:Paris (Porte d'Orléans)Rémunération:Selon expérience"
5,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%2B%2B&l=Paris&radius=100&limit=100&sort=date&vjk=285f817e868d9232,"Développeur logiciel C#/C++ (H/F)
Stago45 avis - Gennevilliers (92)","['Gennevilliers (92)', 'CDI']",Développeur logiciel C#/C++ (H/F),Stago,- Gennevilliers (92),CDI,null,"il y a 18 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur C++,Paris,"Stago, des technologies de pointe au service de l’humain…
Référence mondiale en Hémostase et partenaire privilégié des laboratoires de biologie médicale, Stago conçoit, fabrique et commercialise, à travers le monde, la plus large gamme de réactifs et d'instruments d'analyses en Hémostase.
Stago investit de manière soutenue en Recherche et Innovation et place les technologies les plus avancées au cœur de ses développements produits pour proposer des tests associant toujours plus de performance (précision, gamme de mesure, cadence…) à une mise en œuvre toujours plus simple et robuste (formats prêts à l’emploi, miniaturisation…).
Rattaché(e) à la Direction de la R&D basée à Gennevilliers (92), vous aurez pour mission de garantir le développement des couches logicielles chargées du pilotage des automatismes présents dans nos instruments de diagnostic in-vitro.
À ce titre, les principales tâches qui vous seront confiées seront les suivantes :
Définir en collaboration avec les autres développeurs, l’architecture logicielle adaptée à la résolution des problèmes posés
Implémenter les fonctionnalités spécifiées en respectant les règles de codage et bonnes pratiques en vigueur
Ecrire et maintenir les tests automatiques
Documenter les développements conformément aux procédures qualité applicables
Participer à l’investigation technique et à la correction d’anomalies logiciel rencontrées par les utilisateurs
Participer à l’amélioration continue en termes de méthodologie, d’usine logicielle, de bonne pratique, de veille technologique
Profil
H/F, de formation Ingénieur ou équivalente, vous disposez d’une expérience significative d’au moins 3 ans à un poste similaire.
Une première expérience sur des automates programmables ainsi que des connaissances sur l’environnement robotique sont un plus à votre candidature.
Vous maitrisez le développement orienté objet sur le langage .NET C# avec des connaissances d’un ORM (NHibernate) et/ou C++ temps réel sur Windows pour une cible Linux ainsi que le Multithreading. Ces compétences sont nécessaires pour mener à bien votre mission.
Votre rigueur et votre autonomie associées à un gout pour le travail en équipe seront les qualités essentielles pour ce poste.
Vous évoluerez dans un environnement agile et intégrerez l’équipe qui travaille suivant une méthodologie inspirée de Scrum.
Si vous êtes tenté par une expérience où vous allez vous dépasser et faire progresser les autres en vous appuyant sur votre enthousiasme, votre pro-activité et votre force de proposition, alors rejoignez-nous !"
6,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%2B%2B&l=Paris&radius=100&limit=100&sort=date&vjk=d355038bb619f9c4,"Développeur C++ F/H
FAIRYTOOL - Paris 8e (75)","['Paris 8e (75)', 'CDI']",Développeur C++ F/H,FAIRYTOOL,- Paris 8e (75),CDI,null,"Apec.fr - il y a 18 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur C++,Paris,"Vous aurez la responsabilité de développer la solution logicielle PocketStudio au sein de l'équipe R&D de la société. Vous rejoindrez une entreprise de la deep tech dans le numérique, à un stade encore précoce de son développement : vous travaillerez dans un environnement international, moderne, au sein d’une équipe de haut niveau passionnée par les technologies numériques, soucieux des enjeux d’avenir, notamment environnementaux, et où vous participerez à part entière, à la construction d’un projet unique en son genre, ambitieux et passionnant.
Profil recherché Expérience de programmeur C++ ayant déjà fait ses preuves en entreprise (2 références requises)

Débutant / Mid: 2 ans minimum,
Expérimenté: 8 ans minimum.
LES + :
Vous avez travaillé sur des projets de grande taille
Vous avez une experience en 3D, computer vision, etc.
Vous lisez, écrivez et parlez l'anglais
Vous avez de solides fondations en mathématiques notamment appliquées à la 3D (linear algebra, etc.)
Vous avez une expérience de développement Android/(iOS)
Vous connaissez d'autres langages (Python, C#, Go, etc.)
RESPONSABILITÉS ESSENTIELLES:
Concevez et implémentez les fonctionnalités telles que définies dans la feuille de route (roadmap),
Testez votre code / fonctionnalités et corrigez les bugs
Contribuez à la feuille de route (roadmap) et à l'architecture globale du logiciel
Participez à la revue du code, contribuez à la définition et à l’application de normes de codage élevées, partagez votre expérience avec les programmeurs indépendamment de leur niveau d'expérience.
Utilisez différents frameworks pour suivre les modifications, les bugs, créer des versions déployables, testez, etc.
Suivez l'évolution des innovations de l'industrie en matière de hardware et de logiciel, ainsi que de normes et de la recherche (lire des articles et mettre en œuvre de nouvelles techniques, examiner le code existant publié, les implémentations, etc.)
Aidez à la rédaction de documents techniques
En fonction de votre profil et de vos aspirations, vous aurez l’occasion de travailler sur différents sujets tels que le rendu en temps réel, la technologie d’animation, le framework UX et UI, la technologie d’édition collaborative en temps réel, le moteur de script in-app, le traitement de contenu 3D, etc.

QUALITÉS :
Travailler et bien communiquer avec les autres
Passionné de programmation
Autodidacte, ouvert d'esprit et polyvalent, curieux et continu
Vous vous souciez et voulez faire la différence
TYPE DE CONTRAT :
CDI (contrat à durée indéterminée) - CDI

COMPENSATION & AVANTAGES :
Salaire compétitif
Stock options
Une demande de visa peut être prise en charge
Entreprise Fondée par une équipe de technologistes ayant travaillé sur des films comme Avatar, le Seigneur des Anneaux ou les Gardiens de la Galaxie parmi beaucoup d’autres, PocketStudio est une startup de la deep-tech développant une nouvelle génération d’outils de création de contenu numérique dans le domaine de l’animation 3D pour les industries du cinéma et de la télévision."
7,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%2B%2B&l=Paris&radius=100&limit=100&sort=date&vjk=c8db726237d523ef,"Développeur C++ / Freelance
FREELANCR - Paris 18e (75)","['Paris 18e (75)', 'Temps plein, Freelance / Indépendant']",Développeur C++ / Freelance,FREELANCR,- Paris 18e (75),"Temps plein, Freelance / Indépendant",null,"Freelance-info - il y a 21 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur C++,Paris,"Descriptif de la mission:
Notre client, célèbre Startup spécialisée dans les solutions de sécurité web, recherche un.e Développeur C++ pour une mission freelance de longue durée.

Dans un contexte international et en pleine croissance, vous assurez la maintenance des programmes de l’application Windows.

-----------------------

En tant qu’expert, spécialiste du langage, vous êtes amené à réaliser les différentes activités techniques du cycle de développement produit/process retenu dans le cadre du projet :

Spécifier, concevoir, réaliser, intégrer, tester, qualifier, mettre en service et maintenir
Vous contribuez au développement du métier et du produit (évolution, MCO) :
Logiciel
Base de données
Vous prenez en charge le maintien en condition opérationnelle des applicatifs

Profil:
Titulaire d’un Bac+3/5, vous justifiez d’une expérience significative d’au moins 3 ans, avec une compétence technique reconnue.

Des tests sont à prévoir lors des entretiens.

Vous maîtrisez l’anglais écrit et oral (obligatoire)."
8,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%2B%2B&l=Paris&radius=100&limit=100&sort=date&vjk=9f29ed2b163456db,"Développeur C# loT - CDI
Technilog - Saint-Rémy-lès-Chevreuse (78)",['Saint-Rémy-lès-Chevreuse (78)'],Développeur C# loT - CDI,Technilog,- Saint-Rémy-lès-Chevreuse (78),null,null,"il y a 23 heures
Signaler cette offre d'emploi",Développeur C++,Paris,"Au sein d’une équipe d’experts et rattaché au directeur technique , vous serez amené à travailler sur l’intégration et le développement d’une solution industrielle dans le domaine des objets connectés (IoT) .
Profil recherché :
Au-delà de votre formation, vous justifiez d’une expérience d’un an minimum en développement dans les environnements Microsoft et vous maîtrisez impérativement les langages et technologies suivantes : C#, C++ et VBA ….
Le candidat doit être motivé par le travail en équipe et être passionné par les nouvelles technologies"
9,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%2B%2B&l=Paris&radius=100&limit=100&sort=date&vjk=76c0c413553dac00,"INGENIEUR DEVELOPPEUR JUNIOR C++ FRONT OFFICE - F/H
Ingeniance21 avis - La Défense (92)","['La Défense (92)', 'CDI']",INGENIEUR DEVELOPPEUR JUNIOR C++ FRONT OFFICE - F/H,Ingeniance,- La Défense (92),CDI,null,"il y a 20 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur C++,Paris,"Contexte de la mission:

Auprès d'un de notre client, le/la consultante interviendra en tant que développeur C++ en salle des marchés sur diverses applications front office utilisées au niveau international.


Missions:

Dans ce cadre, l'opportunité consistera à contribuer aux missions suivantes:
Interagir avec les traders pour la spécification des besoins
Développer les applications: corrections, améliorations et ajout de fonctionnalités
Participer à la mise en production, au support applicatif métier et à la maintenance évolutive des automates d'envoi d'ordre
Etude et développement de nouvelles pistes d'optimisation des performance.
Profil recherché:
Diplômé(e) d'une grande école d'ingénieurs ou de formation équivalente (Bac+5)
Vous justifiez idéalement d'une formation complémentaire en finance ou en mathématiques financières.
Une première expérience en développement acquise dans le cadre d'un projet d'école ou d'un stage est impérative.
Doté(e) d'un bon relationnel, vous disposez d'une bonne capacité d'analyse et de synthèse. Vous justifiez de compétences en développement objet et en C++ en particulier.
La maîtrise de l'anglais est indispensable.
Votre goût pour le développement orienté objet et votre attrait pour la finance de marché permettront en sus de votre disponibilité et votre résistance au stress de réussir dans ce poste exigeant au regard des enjeux financiers et de l'exigence des utilisateurs.
INGENIANCE est une société jeune et dynamique qui stimule l'innovation et la transformation digitale par l'accompagnement de ses clients dans leurs projets liés aux nouvelles technologies.

Spécialiste des secteurs Banque, Finance et Assurance, INGENIANCE est également une entreprise technology-oriented qui offre une expertise multi-sectorielle autour du Big Data, du développement informatique, de la Blockchain et de la philosophie DevOps.

Ceci permet à INGENIANCE de se positionner comme une entreprise leader du marché financier et avant-gardiste des technologies disruptives."
