,id,meta1,meta2,titre_poste,entreprise,localisation,contrat,salaire,date_publication,keyword_metier,keyword_localisation,description
0,https://www.indeed.fr/emplois?q=Developpeur%20web%20front%20end&l=Paris&radius=100&limit=100&sort=date&vjk=f4c0db2a83dcccfb,"Développeur Angular (H/F)
CITECH - Paris (75)","['Paris (75)', '37 000 € - 45 000 € par an']",Développeur Angular (H/F),CITECH,- Paris (75),37 000 € - 45 000 € par an,37 000 € - 45 000 € par an,"il y a 5 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Developpeur web front end,Paris,"Job Description

Pour les passionnés du domaine bancaire, nous recrutons notre amazing Développeur Angular (H/F)
Vous êtes un(e) développeur expérimenté et vous avez une réelle appétence pour les technologies web. Evidemment, mordu de technos, vous êtes en veille constante des nouveautés.
Votre rôle est de mettre en place l'architecture applicative orientée client Direct avec un aspect sécurité. Qualité, robustesse et performance du code sont des qualités attendues pour le poste.
A ce titre, vos missions principales seront :
Analyser les besoins
Développement d'applications HTML5/CSS3 avec les Framework ANGULAR et les librairies Material Design.
Le codage et la maintenance de nouvelles fonctionnalités
Test et documentation

Qualifications

De formation minimum Bac+4, vous justifiez d’une expérience de 2 ans minimum sur un poste de Développeur Front-end en développement AGILE.
Vous évoluerez dans un contexte technologique Angular 7+/ HTML5/ CS3S ainsi que RxJS.
Vous maitrisez les environnements techniques NodeJS et REDUX
Vous maitrisez les langages Typescript et ECMAscript 6.
Connaissance du SI MySYS serait un plus

Additional Information

Poste basé à Paris (75)
CDI: 37-45K€
Pourquoi rejoindre Citech ?
Une ambiance de travail conviviale avec des afterworks organisés régulièrement !
Des missions de longues durées
Des formations adaptées à vos envies et vos aspirations
Une mobilité que si vous le souhaitez
Un accompagnement personnalisé avec un suivi régulier (autour d’un café ou un thé, c’est vous qui choisissez )
Une mutuelle avantageuse pour vous mais aussi pour les membres de votre famille
Une flexibilité sur la gestion de vos repas
Un statut Cadre et une convention collective SYNTEC
Alors qu’attendez-vous pour nous rejoindre ?
Company Description
CITECH ce n’est pas une Entreprise de Services du Numérique comme les autres : c’est avant tout une aventure humaine. Nous cherchons des personnalités passionnées qui nous ressemblent ! Dans un environnement convivial et chaleureux, venez révéler vos talents !
Nos fidèles clients, reconnus à l’échelle internationale, offrent à nos collaborateurs de multiples possibilités de carrière. Nos domaines d’interventions sont variés : banque, assurance, automobile, santé, transport ou encore la robotique, vous trouverez forcément un secteur épanouissant, à votre image !
Vous avez un projet professionnel ? Nous sommes là pour vous aider à le développer. Pour nous, l’essentiel c’est vous. C’est pourquoi nous assurons un suivi régulier et portons une attention toute particulière à votre plan de carrière.

Réf : 190919_DevFrontEnd_75"
1,https://www.indeed.fr/emplois?q=Developpeur%20web%20front%20end&l=Paris&radius=100&limit=100&sort=date&vjk=973e24edfee32127,"Développeur Agile / Tech Lead / DEVOPS-(H/F)
Société Générale2,262 avis - Fontenay-sous-Bois (94)",['Fontenay-sous-Bois (94)'],Développeur Agile / Tech Lead / DEVOPS-(H/F),Société Générale,- Fontenay-sous-Bois (94),null,null,"il y a 10 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Developpeur web front end,Paris,"Mission


Le Développeur Agile est un profil polyvalent avec une expertise sur un domaine technique ou une typologie de technologies et sachant intervenir au sein d’une équipe agile à différents niveaux dans la chaîne de conception de solutions informatiques (conception, code, test, déploiement, support de production) pour répondre à des besoins utilisateurs variés.


Affecté dans une Feature team Agile, il a connaissance de un ou plusieurs langages de programmation et d’outils de développement lui permettant de comprendre et développer régulièrement du code à la fois sur le front-end et sur le back-end.


Ses principales missions s’articulent autour de la livraison de besoins métiers qu’il est à même de comprendre et de concevoir de A à Z (analyse, création, développement, codage, tests, etc.)


Ses principales activités sont :


Concevoir des solutions informatiques conformes à l’enjeu métier et garantir l’adéquation des solutions mises en œuvre avec les besoins exprimés.
Travailler en équipe avec des pratiques agiles (Scrum, Kanban, DevOps, pair programming, etc.)
Collaborer avec les Product Owners et Business Analysts au découpage des besoins utilisateurs (Epics) en Users Stories
Rédiger le code et les scripts de déploiement, exécuter les tests unitaires, suivre les activités de production (delivery), assurer une qualité du livrable constante
Respecter la culture technique de la Feature team (craftmanship, pairing, revue, ...)
Mener ou participer aux déploiements, rédiger la documentation de run, développer les plans de contingence et de retour aux versions précédentes
Assurer le support technique, la résolution des problèmes et des incidents afin d’identifier les causes racines et le plan d’action pour les supprimer

Tous nos postes sont ouverts aux personnes en situation de handicap.
Profil


Nous recherchons plusieurs profils, juniors ou expérimentés, avec les compétences techniques différentes

BAC+5 en informatique, Ecole d’informatique ou d'une Ecole d’ingénieur spécialisée en développement

Au moins une première expérience dans le développement / Tech Lead ou DBA avec la connaissance ou maîtrise d'une ou plusieurs technologies et langages suivants:

.Net, Java (SprintBoot), technologies web (Angular, React, Redux, Node…), Python…
Architecture SOA, Rest
Outils de software factory, Continuous delivery & Gestion de configuration (Git, Jira, Jenkins, Teamcity, Docker, Nexus… ) frameworks Symphony et Zend
Bases de données (PostgreSQL, Oracle, MSSQL, MongoDB, ElasticSearch…) avce l'experience DBA étude
Big data (Hadoop, Spark, Scala…)
Progiciels (FGAD, Informatica, Power BI, SSAS Tab / DAX…)
Principes de sécurité et IAM.
Evolution
Votre talent mérite notre engagement, et parce que c’est VOUS l’AVENIR, Sociéte Générale vous met au cœur de sa stratégie.
Société Générale a reçu pour la 6ème année consécutive, la certification « Top Employer France » pour sa politique de Ressources Humaines
Comme une vidéo vaut mieux que des mots:

Développeur: https://www.youtube.com/watch?v=oWreLqqcYRM

Tech Lead: https://www.youtube.com/watch?v=S8HBvPRujTQ
Environnement


Un CDI en une journée ! Get a Job in One Day !

Pour cette offre nous organisons une journée de recrutement qui aura lieu le jeudi 21 novembre 2019 dans le Technopole Les Dunes à Val-de-Fontenay, Ile-de-France

Pendant la matinée, vous suivrez toutes les étapes de recrutement en présentiel pour nous permettre de vous donner une réponse définitive en fin de journée.

Pensez dès maintenant à bloquer cette date dans vos agendas !

Vous êtes jeune diplômé(e) spécialisé(e) en développement? ou bien confirmé(e) avec une expérience significative?

Rejoignez la communauté IT du groupe SG au cœur de la transformation digitale en s’appuyant sur des nouvelles méthodes de travail (Agile, DevOps, Continuous Delivery, Flex office, Télétravail) et de nouveaux moyens (Cloud, Big Data) pour participer à des projets bancaires en organisation Agile.
Référence: 19000RME
Entité: Fonctions centrales groupes
Date de début: 15/12/2019
Date de publication: 07/10/2019"
2,https://www.indeed.fr/emplois?q=Developpeur%20web%20front%20end&l=Paris&radius=100&limit=100&sort=date&vjk=ea9c3085e99da20d,"Dev front end JS / Freelance
Eurostaff group SAS - Paris (75)","['Paris (75)', 'Temps plein, Freelance / Indépendant']",Dev front end JS / Freelance,Eurostaff group SAS,- Paris (75),"Temps plein, Freelance / Indépendant",null,"Freelance-info - il y a 15 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Developpeur web front end,Paris,"Bonjour,

Je recherche un développeur front end pour l’un de mes clients Parisien

Le projet consiste à créer une Progressive Web App en VueJS/NuxtJS utilisant un rendu côté serveur (SSR)
Vous participerez à l’évolution d’outils backoffice existants (en VueJS également)
Vous évoluerez dans un environnement Webpack, Atomic Design, BEM...

Profil recherché :
3 ans d’expérience front end Javascript
la maîtrise d’au moins un framework JavaScript moderne (React, Angular, Vue) est un prérequis. Idéalement, Vue JS ou React JS.
Bonus : expérience significative en NodeJS & NuxtJS

Faite moi parvenir votre CV si vous êtes intéressé : y.louis-jean@eurostaffgroup.com"
3,https://www.indeed.fr/emplois?q=Developpeur%20web%20front%20end&l=Paris&radius=100&limit=100&sort=date&vjk=ed2cdf34beb4d687,"Développeur FRONT / Freelance
SOFTEAM6 avis - Paris (75)","['Paris (75)', 'Temps plein, Freelance / Indépendant', '430 € par semaine']",Développeur FRONT / Freelance,SOFTEAM,- Paris (75),"Temps plein, Freelance / Indépendant",430 € par semaine,"Freelance-info - il y a 15 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Developpeur web front end,Paris,"Nous recherchons un Développeur FRONT pour une mission au sein d’un grand compte.

ENVIRONNEMENT TECHNIQUE DE LA PRESTATION

Front End :
o Angular 7+
o Typescript
o Redux
o CSS3, SASS, HTML5

Usine de développement :
o Git o Maven, NPM
o Jenkins, Artifactory
o Intellij / Eclipse / Visual Studio Code
o Jira + Confluence + Riot

Méthodologie : Agile
PRE-REQUIS

Excellente connaissance des technologies Web : HTML5 / CSS3 / Typescript 
Bonne maitrise du framework Angular 
Bonnes connaissances de l’environnement de développement web : NPM / webpack / - serait un plus : 
Notions en matière de sécurité des développements 
Bonnes connaissances des outils de tests"
4,https://www.indeed.fr/emplois?q=Developpeur%20web%20front%20end&l=Paris&radius=100&limit=100&sort=date&vjk=bc07b4e530cbae37,"DÉVELOPPEURS WEB MAGENTO
informatis-ts - Évry (91)","['Évry (91)', 'CDI']",DÉVELOPPEURS WEB MAGENTO,informatis-ts,- Évry (91),CDI,null,"il y a 17 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Developpeur web front end,Paris,"Dans le cadre d’un important projet avec une entreprise grand compte, nous recherchons des développeurs WEB

Intégré à l’équipe informatique, vous êtes en charge de :

De développer sur les environnements web (technologie Magento2), les fonctionnalités permettant de répondre aux demandes d’évolution du site E-commerce
participe au maintien de la qualité et de la disponibilité des sites web
Le Développeur Web est l’expert développement et l’un des référents techniques internes sur Magento

 L’analyse des besoins métier

• Participer aux réunions et échanges avec le métier afin de comprendre les besoins techniques et fonctionnels
• Rédiger les spécifications fonctionnelles ou participer à leur rédaction
• Conseiller et proposer des solutions techniques adaptées aux besoins métier
• Rédiger les spécifications techniques liées aux développements dont il a la responsabilité
• Traduire techniquement le cahier des charges rédigé par les Chefs de Projet

 Le développement des fonctionnalités web attendues dans le respect du cahier des charges

• Rédiger les lignes de codes des différentes parties des sites à développer ou effectuer les paramétrages au sein de Magento2
• Remonter les éventuels problèmes rencontrés et envisager le cas échéant des modifications

 La réalisation des tests unitaires, la coordination de la recette et la mise en production

• Préparer et réaliser les tests unitaires pour tester le fonctionnement technique des développements effectués et/ou les paramétrages réalisés
• Organiser les phases de recettes auprès des métiers et/ou des Chefs de projet, les accompagner dans cette démarche
• Corriger les erreurs émanant des tests unitaires et de la recette
• Effectuer la mise en production des évolutions des sites web

 La maintenance corrective et évolutive du site et veille

• Effectuer les mises à jour nécessaires sur les sites web
• Résoudre les dysfonctionnements techniques des sites web qui lui sont affectés
• Assurer une veille permanente des nouveautés (technologies, outils ) et bonnes pratiques


Compétences requises :
De formation informatique, vous avez une expérience de 3 ans minimum dans un poste équivalent.

Environnement technique :

Connaissance des technologies Web orientées objets telles que :
o PHP7
o Framework Synfony/Zend
o HTML5
o Javascript
o CSS3
o Magento2 (Back-end / Front-end)


Vous avez un bon niveau en Anglais et possédez un bon relationnel."
5,https://www.indeed.fr/emplois?q=Developpeur%20web%20front%20end&l=Paris&radius=100&limit=100&sort=date&vjk=2c1dfc7d6469a05a,"développeur Full Stack (JAVA/SPRING/ANGULAR) / Freelance
SKALIS - Paris (75)","['Paris (75)', 'Temps plein, Freelance / Indépendant', '400 € par semaine']",développeur Full Stack (JAVA/SPRING/ANGULAR) / Freelance,SKALIS,- Paris (75),"Temps plein, Freelance / Indépendant",400 € par semaine,"Freelance-info - il y a 15 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Developpeur web front end,Paris,"Au sein d’un, grand compte bancaire, la mission se déroulera à Paris au sein du domaine Distribution en charge des outils de vente des produits d’épargne salariale dans ses réseaux partenaires

1.3.2. Description du projet :Le projet vise à :
améliorer l’outil de ventes existant avec les évolutions sur l’épargne salariale induites par la loi PACTE.
développer un nouvel outil pour nos partenaires distributeurs
effectuer différentes migrations techniques
1.3.3. Type de prestation recherchée :
Développeur Web / Web service - Front end et back end N3
Nb de profils : 1,00

1.3.4. Description de la prestation recherchée :Les principales tâches à réaliser sont les suivantes :
Prestation de développeur Full Stack (JAVA/SPRING/ANGULAR) intervention dans un mode de fonctionnement agile à la fois sur le front et le back de nos outils de distribution des produits d’épargne salariale. Une connaissance du craftmanship et de la conception d’API REST est souhaitée.

2 - Environnement du projet
2.1. Technique / Technologique

Compétences techniques et/ou technologiques requises :
La mission nécessite une maîtrise des environnements suivants :
JAVA (Spring idéalement), JBoss, Web Services SOAP / REST, Angular 2.0+, SQL Confirmé (3)
GIT/Eclipse/Maven Confirmé (3)
Full Stack (Java EE, Angular JS) Confirmé (3)
Base de données DB2 LUW Confirmé (3)
API REST / JSON Confirmé (3)

2.2. Fonctionnel

Compétences fonctionnelles requises :
Requêtes SQL Confirmé (3)
Autonomie, Rigueur Confirmé (3)
aptitude au travail en équipe Confirmé (3)
Anglais technique (lu, écrit et parlé) Confirmé (3)
Aisance relationnelle Confirmé (3)
Capacité à intégrer les enjeux business et les contraintes métiers Confirmé (3)

3 - Lieu de la prestation
La prestation sera réalisée sur le site du Client à l’adresse suivante :
France Paris

4 - Durée de la prestation

Date de début souhaitée :
14/10/2019

Date de fin prévisionnelle :
31/12/2020"
6,https://www.indeed.fr/emplois?q=Developpeur%20web%20front%20end&l=Paris&radius=100&limit=100&sort=date&vjk=48b3b1546fad4655,"Développeur Front-End H/F
TIMMXWARE - Vincennes (94)","['Vincennes (94)', '35 000 € par an']",Développeur Front-End H/F,TIMMXWARE,- Vincennes (94),35 000 € par an,35 000 € par an,"il y a 18 heures
Signaler cette offre d'emploi",Developpeur web front end,Paris,"Depuis 2002, TIMMXWARE c’est plus de 500 clients et environ 1 500 projets réalisés par nos équipes dans des environnements techniques variés : PHP (LAMP/WAMP), IOS/ANDROID et NET.
Nous apportons une expertise globale des technologies et usages digitaux pour les projets stratégiques de nos clients.
Par ailleurs, TIMMXWARE est :
Affilié au réseau de partenaires SENSIOLABS (Créateur de SYMFONY)
Partenaire technologique d’ADOBE
Partner network de MICROSOFT
Les missions :
Assurer l'ergonomie visuelle et fonctionnelle des sites
Assurer la portabilité des sites par la prise en compte des différentes plateformes et navigateurs
Réalisation de tests à travers des recettes techniques et fonctionnelles
Travailler à l'optimisation d'applications web en collaboration avec les développeurs back-end
Les compétences requises :
Maîtrise de HTML / CSS
Bon niveau de JavaScript / Jquery
La connaissance de NodeJS / AngularJS serait un plus
Le profil :
De formation de niveau BAC+3/5 en Informatique
2 ans d'expérience minimum dans le développement Front-End
Autonomie, curiosité et réactivité sont des atouts que vous possédez
Quelques bonnes raisons de nous rejoindre
Des structures autonomes et de taille humaine
Le partage des connaissances et l’évolution des compétences
La convivialité et la proximité du management
Des évènements ludiques : afterworks, petits déjeuners d’intégration, déjeuners d’équipe…
Type d'emploi : Temps plein
Salaire : 35 000,00€ /an
Expérience:
développeur front-end h/f ou similaire: 2 ans (Souhaité)"
7,https://www.indeed.fr/emplois?q=Developpeur%20web%20front%20end&l=Paris&radius=100&limit=100&sort=date&vjk=f2de6eef7084bf65,"INGENIEUR DEVELOPPEUR WEB FULLSTACK - F/H
Ingeniance21 avis - Paris (75)","['Paris (75)', 'Stage']",INGENIEUR DEVELOPPEUR WEB FULLSTACK - F/H,Ingeniance,- Paris (75),Stage,null,"il y a 20 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Developpeur web front end,Paris,"Contexte de la mission:

Nous cherchons actuellement un développeur Web FullStack H/F, pour un stage d'une durée de 6 mois en interne. Vous serez intégré aux équipes de développement de logiciels internes essentiels au bon fonctionnement de l'entreprise. Vous serez en contact direct avec l'équipe de recrutement et l'équipe commerciale.

Missions:

Votre mission sera constituée de deux projets:
Développement d'une interface de visualisation de CV en ligne
Récupération d'un flux de données
Insertion en base de données (Backend en Java,BDD,MySQL)
Développement de l'IHM (Front-end,AngularJs ou Angular 2)

Développement des nouvelles features en fonction du feedback des utilisateurs
Front End: Angular 1
Back-End: Java
Profil recherché:
En dernière année d'école d'ingénieurs ou équivalentes, vous êtes autonome, organisé dans votre travail, polyvalent et avez le sens de l'initiative
Vous maîtrisez les principaux outils de la chaîne de développement.
Vous êtes à l'aise avec des suites d'outils de management de sources et de projet comme les plateformes Git et notamment BitBucket.
Votre maîtrise de technologies Web et Javascript, la maîtrise d'Angular serait un plus, mais celle-ci n'est pas obligatoire dans la mesure o� une formation pourra vous être proposée.
INGENIANCE est une société jeune et dynamique qui stimule l'innovation et la transformation digitale par l'accompagnement de ses clients dans leurs projets liés aux nouvelles technologies. Spécialiste des secteurs Banque, Finance et Assurance, INGENIANCE est également une entreprise technology-oriented qui offre une expertise multi-sectorielle autour du Big Data, du développement informatique, de la Blockchain et de la philosophie DevOps. Ceci permet à INGENIANCE de se positionner comme une entreprise leader du marché financier et avant-gardiste des technologies disruptives."
8,https://www.indeed.fr/emplois?q=Developpeur%20web%20front%20end&l=Paris&radius=100&limit=100&sort=date&vjk=84cfe4958c5a7183,"Développeur Frontend React.JS-Junior
Amuse - Paris (75)","['Paris (75)', 'Stage']",Développeur Frontend React.JS-Junior,Amuse,- Paris (75),Stage,null,"il y a 18 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Developpeur web front end,Paris,"Nous recherchons aujourd’hui un(e) développeur(se) Front End pour intégrer une équipe produit en vue pour un stage de pré-embauche.
En collaboration avec une UX/UI designer, le/la Développeur(se) Front-end aura pour mission de :
Migrer les fonctionnalités de l’outil actuel vers la nouvelle plateforme ;
Développer de nouvelles fonctionnalités (conception, développement, testing) ;
Garantir la meilleure expérience utilisateur en assurant une amélioration permanente des process ;
Contribuer à l’architecture du produit, aux revues de code, et à la qualité et stabilité du produit dans son ensemble ;
Collaborer de manière active avec l’ensemble des membres de la team produit.
Le/La Développeur(se) Front-end interviendra sur la stack technique suivante :
React JS 16.8 (intégration des hooks) ;
Typescript ;
GraphQL Apollo Client ;
Material UI ;
API GraphQL codé en Ruby on rails
LES PLUS
De beaux locaux en plein centre de Paris (11e)
Une équipe jeune et dynamique (moyenne d’âge aux alentours de 27 ans)
La possibilités de travailler avec de nombreuses personnes aux profils très variés
Un open bar chaque mois dans la brasserie artisanale la plus stylée de Paris
Petit déjeuner tous les vendredis, paniers de fruits bio et terrain de pétanque
Tickets resto, et titres de transport remboursé à 50%, 1/2 congés payé par mois
Profil recherché
Expérience en dev web avec des frameworks Javascript
Une expérience avec des librairies de type ReactJS, Angular ou VueJS est un plus"
9,https://www.indeed.fr/emplois?q=Developpeur%20web%20front%20end&l=Paris&radius=100&limit=100&sort=date&vjk=1a1697b19796f6c6,"Stagiaire développeur web H/F
Visions - Paris (75)","['Paris (75)', 'Temps plein, Stage']",Stagiaire développeur web H/F,Visions,- Paris (75),"Temps plein, Stage",null,"il y a 20 heures
Signaler cette offre d'emploi",Developpeur web front end,Paris,"Visions cherche à donner contrôle aux individus sur leurs données personnelles et leur permettre de les échanger librement.
Nous travaillons avec des banques, villes et universités pour permettre l'ouverture de leurs données sous le contrôle de la personne.
Le stage de deux mois consiste à développer l'application B2C qui va permettre aux gens de signaler ce qu'ils souhaitent comme utilisation de leurs données : ""je veux transférer mes données pour telle recherche"", ""je suis intéressé par ce type de livre à tel prix"", ""je cherche à progresser dans ce domaine"".
En fonction des demandes les utilisateurs sont présentés à des offres leur correspondant et peuvent les choisir. L'utilisateur est informé des données nécessaires à la transaction et du prix.
L'application sera poussée en premier lieu aux étudiants de nos universités partenaires (Sorbonne, Nanterre, Poitiers, Stanford,..).
Missions :
Développement front et back end de l'application VisionsSelf avec une autre personne, en méthode agile et sur la base de story ;
Débugage et amélioration de l'application en fonction des retours utilisateur ;
Organisation de focus group pour tester l'application.
Profil :
A déjà développé une application mobile iOS et/ou Android ;
Compétences front-end et back-end,
Autonomie ;
Intérêt pour la protection des données personnelles.
Vous participez à une initiative unique de renversement de pouvoir dans l'utilisation des données personnelles : on ne vous pousse plus des offres qu'on estime vous intéresser à partir d'une utilisation opaque de vos données mais vous décidez ce que vous voulez et les entreprises vous le proposent.
L'application sera présentée à l'international lors des événements auxquels Visions participe : Helsinki, Berlin, Amsterdam, Tokyo, San Francisco, Nairobi,...
Type d'emploi : Temps plein, Stage
Salaire : 0,00€ /mois
Expérience:
développeur web h/f ou similaire: 1 an (Souhaité)"
