,id,meta1,meta2,titre_poste,entreprise,localisation,contrat,salaire,date_publication,keyword_metier,keyword_localisation,description
0,https://www.indeed.fr/emplois?q=Developpeur%20Web%20full%20stack&l=Paris&radius=100&limit=100&sort=date&vjk=1beca374450901e4,"Développeur web full stack H/F
Europrocurement - Paris (75)","['Paris (75)', 'CDI']",Développeur web full stack H/F,Europrocurement,- Paris (75),CDI,null,"il y a 2 heures
Signaler cette offre d'emploi",Developpeur Web full stack,Paris,"Legal2Digital regroupe plusieurs titres de presse économique et juridique régionaux proposant des services dans les domaines de la publicité légale, des formalités, des ventes par adjudication et des appels d’offres.
Nous éditons 11 hebdomadaires, gérons une vingtaine de sites internet et développons en permanence nos applications métier. Pour venir renforcer notre équipe, nous recherchons un développeur web PHP H/F dynamique et passionné.
Principales missions
- Développement de solutions web pour nos activités,
- Amélioration des outils internes,
- Participer aux phases de recette,
- Veille technologique pour faire évoluer les techniques et process de développement.
Votre profil
- Vous bénéficiez au minimum de 2 années d'expérience en développement web,
- Vous maîtrisez entre autres PHP / SYMFONY / SASS / CSS / JQUERY / SOAP-REST / SQL Server (TSQL) / MySQL,
- Vous êtes un développeur full-stack à l'aise en développement ""from scratch"",
- Tourné vers l'amélioration continue, vous êtes sensible aux nouvelles méthodes de développement.
Votre lieu de travail sera situé à Paris (rue Pondichéry) possibilité de télé-travail.
Le salaire sera soumis à discussion selon profil.
Type d'emploi : CDI
Expérience:
développeur web full stack h/f ou similaire: 2 ans (Souhaité)"
1,https://www.indeed.fr/emplois?q=Developpeur%20Web%20full%20stack&l=Paris&radius=100&limit=100&sort=date&vjk=0b0025cad5205f76,"CHEF DE PROJET INFORMATIQUE / ANALYSE DEVELOPPEUR F/H
Groupe MACSF - Puteaux (92)","['Puteaux (92)', 'CDI']",CHEF DE PROJET INFORMATIQUE / ANALYSE DEVELOPPEUR F/H,Groupe MACSF,- Puteaux (92),CDI,null,"Apec.fr - il y a 7 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Developpeur Web full stack,Paris,"Au sein de la DSI et intégré au département Développement « Domaine Outils Clients & Data » vous serez amené à la fois à :

Conduire et suivre des projets informatiques pour lesquels le développement sera parfois externalisé (mise en place de Voice bot ou Chat bot par ex.)
Contribuer directement aux développements et à la maintenance des applications liées aux outils Clients du Groupe (Application CRM, outils de prospection et de prise de rdv, création de nouveaux web services pour le front etc…)
Directement sous la conduite du responsable de domaine qui assure la coordination et la cohérence de l'ensemble des projets sur son périmètre, vous intervenez sur l'ensemble du cycle projet. Vos principales missions sont les suivantes :

Conduire des projets informatiques : Planifier le projet, définir les moyens à mettre en oeuvre Coordonner les différents acteurs, suivre l'avancée du projet. Contrôler la cohérence du projet dans son ensemble. Valider les livrables.
Etudes des besoins et proposition de solutions en lien avec les Directions métier concernées, les traduire techniquement (analyse fonctionnelle, étude de faisabilité et chiffrage),
Concevoir et développer les applications informatiques : réalisation de l'analyse des spécifications détaillées, conception de l'architecture logicielle et élaboration des programmes,
Gérer la phase test des outils informatiques, applications et process,
Animer la recette auprès des Directions Métiers,
Coordonner et animer la relation avec les Directions métier,
S'assurer de la prise en compte transversale des évolutions des SI et des règles d'architectures,
Gérer la maintenance et contribuer au contrôle qualité du fonctionnement du SI.
Profil recherché Titulaire d'une formation supérieure en informatique (Bac+2 à Bac+5), vous justifiez d'une expérience d'au moins 6 ans en développement d'applicatifs, notamment dans le domaine de la Relation Client (CRM par ex.) et en conduite de projets informatiques.

L'expérience et la connaissance d'applicatifs ou progiciels CRM est exigée. L'expérience en mise en place de solutions du type Voice Bot, Chat bot, et de manière générale en solutions de LNP sera appréciée.

Environnement Full Stack : JAVA / API REST / Jenkins / GIT / C# / .Net / Visual Studio, Microsoft Azure
Entreprise La MACSF est l'assureur mutualiste n°1 des professionnels de santé.

Elle propose une gamme complète de services et d'assurances

à ses 1 000 000 de clients-sociétaire, pour les risques privés comme pour les risques professionnels.

En rejoignant la MACSF, vous mettez vos compétences et votre énergie positive au service de tous les professionnels de santé, afin de les accompagner au quotidien.

En rejoignant la MACSF, vous entrez dans une entreprise qui conjugue digital et humain.

En rejoignant la MACSF, vous prenez soin de vos talents !"
2,https://www.indeed.fr/emplois?q=Developpeur%20Web%20full%20stack&l=Paris&radius=100&limit=100&sort=date&vjk=90ccb5bbdae97629,"STAGE - Développeur (se) Full-Stack H/F (PTXDFSS-4116)
Bolloré Group94 avis - Puteaux (92)","['Puteaux (92)', 'Stage']",STAGE - Développeur (se) Full-Stack H/F (PTXDFSS-4116),Bolloré Group,- Puteaux (92),Stage,null,"il y a 17 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Developpeur Web full stack,Paris,"Dans le cadre du lancement d'un nouveau projet, la Direction des systèmes d'Information de Bolloré Transport & Logistics recherche un stagiaire afin d'accompagner l'équipe de développements. Ce stage sera pour vous l'occasion de découvrir notre méthodologie éprouvée, des technologies innovantes le tout dans le contexte d'un projet international.

Vous serez amené à participer à l'ensemble des phases suivantes :
Architecture et spécifications techniques
Conception et Développement
Recette
Déploiement

Les technologies prévues sur ce projet sont les suivantes : ASP.NET MVC ; C# 6 ; WEB API ; SQL SERVER 2016 ; Knockout JS

Vous bénéficierez d'une formation complète à votre arrivée, d'un encadrement de qualité et de la méthodologie projet mise en place par la direction technique. Dans le cadre des projets auxquels vous participerez, vous pourrez exprimer votre dynamisme ainsi que vos idées et vous gagnerez progressivement en autonomie.
Profil
Etudiant(e) en école d'ingénieur ou équivalent universitaire, vous êtes dynamique, curieux (se), motivé(e) par les challenges et vous savez travailler en équipe.

Vous êtes bon(ne) communiquant(e) et techniquement à l'aise sur les problématiques liées au développement. Une bonne connaissance du langage C# serait un plus.

Dans le cadre du lancement d'un nouveau projet, la Direction des systèmes d'Information de Bolloré Transport & Logistics recherche un stagiaire afin d'accompagner l'équipe de développements. Ce stage sera pour vous l'occasion de découvrir notre méthodologie éprouvée, des technologies innovantes le tout dans le contexte d'un projet international.

Vous serez amené à participer à l'ensemble des phases suivantes :
Architecture et spécifications techniques
Conception et Développement
Recette
Déploiement

Les technologies prévues sur ce projet sont les suivantes : ASP.NET MVC ; C# 6 ; WEB API ; SQL SERVER 2016 ; Knockout JS

Vous bénéficierez d'une formation complète à votre arrivée, d'un encadrement de qualité et de la méthodologie projet mise en place par la direction technique. Dans le cadre des projets auxquels vous participerez, vous pourrez exprimer votre dynamisme ainsi que vos idées et vous gagnerez progressivement en autonomie.
Profil
Etudiant(e) en école d'ingénieur ou équivalent universitaire, vous êtes dynamique, curieux (se), motivé(e) par les challenges et vous savez travailler en équipe.

Vous êtes bon(ne) communiquant(e) et techniquement à l'aise sur les problématiques liées au développement. Une bonne connaissance du langage C# serait un plus."
3,https://www.indeed.fr/emplois?q=Developpeur%20Web%20full%20stack&l=Paris&radius=100&limit=100&sort=date&vjk=2c1dfc7d6469a05a,"développeur Full Stack (JAVA/SPRING/ANGULAR) / Freelance
SKALIS - Paris (75)","['Paris (75)', 'Temps plein, Freelance / Indépendant', '400 € par semaine']",développeur Full Stack (JAVA/SPRING/ANGULAR) / Freelance,SKALIS,- Paris (75),"Temps plein, Freelance / Indépendant",400 € par semaine,"Freelance-info - il y a 16 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Developpeur Web full stack,Paris,"Au sein d’un, grand compte bancaire, la mission se déroulera à Paris au sein du domaine Distribution en charge des outils de vente des produits d’épargne salariale dans ses réseaux partenaires

1.3.2. Description du projet :Le projet vise à :
améliorer l’outil de ventes existant avec les évolutions sur l’épargne salariale induites par la loi PACTE.
développer un nouvel outil pour nos partenaires distributeurs
effectuer différentes migrations techniques
1.3.3. Type de prestation recherchée :
Développeur Web / Web service - Front end et back end N3
Nb de profils : 1,00

1.3.4. Description de la prestation recherchée :Les principales tâches à réaliser sont les suivantes :
Prestation de développeur Full Stack (JAVA/SPRING/ANGULAR) intervention dans un mode de fonctionnement agile à la fois sur le front et le back de nos outils de distribution des produits d’épargne salariale. Une connaissance du craftmanship et de la conception d’API REST est souhaitée.

2 - Environnement du projet
2.1. Technique / Technologique

Compétences techniques et/ou technologiques requises :
La mission nécessite une maîtrise des environnements suivants :
JAVA (Spring idéalement), JBoss, Web Services SOAP / REST, Angular 2.0+, SQL Confirmé (3)
GIT/Eclipse/Maven Confirmé (3)
Full Stack (Java EE, Angular JS) Confirmé (3)
Base de données DB2 LUW Confirmé (3)
API REST / JSON Confirmé (3)

2.2. Fonctionnel

Compétences fonctionnelles requises :
Requêtes SQL Confirmé (3)
Autonomie, Rigueur Confirmé (3)
aptitude au travail en équipe Confirmé (3)
Anglais technique (lu, écrit et parlé) Confirmé (3)
Aisance relationnelle Confirmé (3)
Capacité à intégrer les enjeux business et les contraintes métiers Confirmé (3)

3 - Lieu de la prestation
La prestation sera réalisée sur le site du Client à l’adresse suivante :
France Paris

4 - Durée de la prestation

Date de début souhaitée :
14/10/2019

Date de fin prévisionnelle :
31/12/2020"
4,https://www.indeed.fr/emplois?q=Developpeur%20Web%20full%20stack&l=Paris&radius=100&limit=100&sort=date&vjk=4eb2419c4991b1e7,"FULL STACK DEVELOPPEUR - F/H
Ingeniance21 avis - La Défense (92)","['La Défense (92)', 'CDI']",FULL STACK DEVELOPPEUR - F/H,Ingeniance,- La Défense (92),CDI,null,"il y a 21 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Developpeur Web full stack,Paris,"Contexte de la mission:

L'Equipe IT Front – Fish de notre client travaille sur la plateforme mondiale de Pre Trade, Execution & Post Trade processing (activité vente et trading Flow et Exotic)

Missions:
Garantir une haute qualité de support de niveau 3
Participer à des projets clés pour la banque dans le cadre de l'industrialisation des process et de la réduction des risques opérationnels (projets EQD Industrialisation, MAD Transfo, Régulateurs)
Assurer l'implémentation des nouvelles fonctionnalités: front et back end (full stack)
Proposer et effectuer la maintenance corrective et évolutive
Participer à l'analyse des spécifications en vue de définir les étapes de réalisation (faisabilité, estimation des charges, etc)
Participer à l'amélioration des process de développement et de l'architecture technique
Profil recherché:
Compétences techniques:
Notions: assurer un support
Pratique: documenter, maintenir, monitorer, rédiger
Maîtrise: assurer un suvi, analyser, développer en mode full stack, tester
Compétences fonctionnelles:
Notions: Equity Derivatives, Fixed Income, produits de taux, produits dérivés
Notions: Front Office
Langages utilisés:
J2EE 1.4 / Java EE5 / Weblogic 12 (EJB, JMS, Web services) / Spring / Hibernate JPA
Java core 1.5 / 7
Front end: Java Swing + AngularJS/HTML5/CSS
Culture Web single page application
Formats de données XML, JASON
Les outils JUnit, Maven, Subversion ou CVS, Jenkins
Bases de données Oracle 11g / SQL
Technologie Swing
Outil d'intégration: Tibco BusinessWork
Cache distribué: Oracle Coherence (Tangosol)
BI: Business Objects
Métdodologie Agile
Sonar, hudson
Jetbrains intellijidea, eclipse
INGENIANCE est une société jeune et dynamique qui stimule l'innovation et la transformation digitale par l'accompagnement de ses clients dans leurs projets liés aux nouvelles technologies.

Spécialiste des secteurs Banque, Finance et Assurance, INGENIANCE est également une entreprise technology-oriented qui offre une expertise multi-sectorielle autour du Big Data, du développement informatique, de la Blockchain et de la philosophie DevOps.

Ceci permet à INGENIANCE de se positionner comme une entreprise leader du marché financier et avant-gardiste des technologies disruptives."
5,https://www.indeed.fr/emplois?q=Developpeur%20Web%20full%20stack&l=Paris&radius=100&limit=100&sort=date&vjk=433b686f99059532,"Développeur Full-Stack
Stereolabs - Paris 14e (75)","['Paris 14e (75)', 'Temps partiel']",Développeur Full-Stack,Stereolabs,- Paris 14e (75),Temps partiel,null,"il y a 21 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Developpeur Web full stack,Paris,"STEREOLABS
Stereolabs est la startup leader des solutions de capture 3D. Nos solutions combinent algorithmes de traitement d’images 3D et de machine learning avec la caméra ZED pour développer les prochaines générations de robots et des espaces plus intelligents, plus profitables et plus sûrs.
Basée à Paris et San Francisco, Stereolabs est à la recherche de profils de haut niveau pour accompagner sa forte croissance.
Travailler chez Stereolabs, c’est:
l'opportunité d'avoir un impact fort, visible et immédiat
un environnement de travail stimulant avec des challenges à relever chaque jour
la possibilité de gagner en compétence, d'évoluer et de grandir professionnellement
MISSION
En tant que Développeur Full-Stack vous serez responsable de la conception, du développement et de l’implémentation des nouvelles features de notre camera management platform. Au niveau back-end vous serez en charge de la définition de l’architecture data pour la collecte de données à grande échelle. En front-end vous garantirez une présentation à la fois intuitive et performante des dashboards analytics sur le web et sur mobile.
Vos missions seront les suivantes :
Back-end:
Construire et manager les services back-end qui gèrent nos réseaux de cameras connectées et les dashboards utilisateurs
Gérer le processing offline pour garantir la génération d’exports video fiables en présence de connexions défaillantes
Assurer des connexions temps réel entre les caméras, le cloud et les utilisateurs
Améliorer la performance et l’efficacité du back-end pour absorber des datasets de taille croissante sans ralentissement dans la vitesse de traitement
Permettre aux clients de déployer un changement facilement même dans le cas de parcs de centaines ou milliers de cameras sur des sites géographiques différents
Front-end:
Développer des APIs permettant aux utilisateurs de développer des outils et features spécifiques
Contrôler et maintenir les bases de données de production
Définir, tester et implémenter l’interface web et mobile

2 ans minimum d’expérience dans le développement d’application
Diplôme Grande Ecole d’Ingénieur
Expérience dans les architectures distribuées et les plateformes cloud « at scale »
Forte compétence bases de données et Framework back-end (Node, Ruby on Rails, Django, Express, Nginx,…)
Maîtrise des différents types de moteurs de base (graphe, NoSQL, SQL, key-value, …)
Maîtrise d’un ou plusieurs frameworks front-end (React, Angular, Redux, Babel, and Webpack)
Expérience avec les services REST
Dynamisme, grande capacité de travail en équipe et de communication synthétique
Bon niveau d’anglais

Début:Dès que possibleDurée:CDILieu:Paris (Porte d'Orléans)Rémunération:Selon expérience"
6,https://www.indeed.fr/emplois?q=Developpeur%20Web%20full%20stack&l=Paris&radius=100&limit=100&sort=date&vjk=5bc6c930ca08765c,"Développeur Web full stack .Net F/H
NATIXIS385 avis - Paris 13e (75)","['Paris 13e (75)', 'CDI']",Développeur Web full stack .Net F/H,NATIXIS,- Paris 13e (75),CDI,null,"Apec.fr - il y a 19 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Developpeur Web full stack,Paris,"Au sein du domaine Cross Solution de la DSI BGC, au sein de l'équipe Web Application, le pôle Global Markets Research IT est en charge des projets, du support et de la maintenance des outils de la recherche Global Markets. Il s'agit en particulier de l'outil de production documentaire PYOD utilisé par les analystes et les économistes de Natixis et du site web de la recherche utilisé à la fois en interne chez Natixis et en externe par les clients.

Le poste couvre la gestion de tous les projets de recherche.

Les principales missions sont :
Animer et être leader de l'équipe IT de la recherche
Piloter des projets affectés, et coordination des équipes impliquées
Recueillir des besoins utilisateurs
Analyser et proposer, en tenant compte des différents acteurs et de l'organisation, des évolutions à mettre en place et des budgets
Participer à la réalisation des outils
Déployer et assister au démarrage auprès des utilisateurs
Rédiger des supports de présentation/formation ainsi que des comptes rendus des différentes réunions de travail
Former et accompagner des nouveaux arrivants au sein de l'équipe
Profil recherché De formation supérieure, vous justifiez d'une expérience sur des métiers d'une salle de marchés et/ou des équipes de recherche financière d'une grande banque.

Vous possédez un réel sens du service avec une expérience majeure en support et formation utilisateurs.

Vous aimez travailler en équipe et êtes autonome sur la réalisation / coordination / communication des projets.

Vous maîtrisez le développement d'applications en technologie client léger.

Vous avez une très bonne connaissance des technologies web, y compris infrastructure serveurs et applicatifs (interfaces, architecture, code, sécurité, performance, volumétrie, réseau…) et des technologies Microsoft (IIS, Windows, TFS, Visual Studio, ect.)

Vous êtes curieux et sans cesse en veille technologique. Vous êtes force de proposition.

Proactif, dynamique et ouvert d'esprit, vous aimez travailler sur des projets challengeants dans un environnement exigeant.

Vous êtes très bon communicant et savez prendre en main toutes les composantes d'un projet, y compris le recueil du besoin auprès des utilisateurs.

De plus, vous êtes adepte des méthodologies Agile.

Un niveau d'anglais courant est requis pour ce poste.

Situation géographique : 47 quai d'Austerlitz - 75013 Paris
Entreprise Natixis est la banque internationale de financement, d'investissement, de gestion d'actifs, d'assurance et de services financiers du Groupe BPCE, deuxième acteur bancaire en France à travers ses deux réseaux, Banque Populaire et Caisse d'Epargne.

Avec plus de 18 000 collaborateurs, Natixis dispose d'expertises métiers fortes dans quatre domaines d'activités : la Gestion d'actifs et de fortune, la Banque de Grande Clientèle, l'Assurance et les Services Financiers Spécialisés.

Elle accompagne de manière durable, dans le monde entier, sa propre clientèle d'entreprises, d'institutions financières et d'investisseurs institutionnels et la clientèle de particuliers, professionnels et PME des deux réseaux du Groupe BPCE.

La DSI de Natixis est au cœur des enjeux stratégiques de Natixis pour développer de nouveaux services & usages clients et adapter son modèle aux nouvelles réglementations bancaires. DSI internationale, implantée dans 12 pays (en Europe, en Amérique, en Asie et au Moyen-Orient), elle est dotée d'une forte culture clients et innovante grâce aux nouvelles méthodologies & technologies IT (Digital, Big Data, Blockchain, IT bi-modal, Agilité, Expérience utilisateur, Collaboratif, Sécurité de l'Information, Robotique). La DSI Natixis s'adapte régulièrement pour apporter le maximum de valeur aux Métiers de Natixis. Ses collaborateurs et les challenges qu'ils relèvent en sont sa meilleure vitrine.

Le département IT BGC Global Markets est pleinement engagé dans le développement en France et à l'internationale du métier des marchés de capitaux de la banque de Grande Clientèle, via la mise en œuvre des projets stratégiques et structurants. L'agilité, l'efficacité et la collaboration sont l'état d'esprit de la DSI Global Market.

Au sein du département Distribution de la DSI Global Markets, l'équipe « Web Applications » est en charge de la conception et de la réalisation des projets Web pour les clients, externes et internes, de la ligne métier Global Markets.

L'équipe a en charge en particulier le développement d'applications à forte valeur ajoutée métier, basées sur des technologies client léger (web).

Un des pôles de l'équipe Web Application a en charge des outils de production documentaire et de mise à disposition des publications de la recherche Global Markets sur différents media (site web, email, ect.)."
7,https://www.indeed.fr/emplois?q=Developpeur%20Web%20full%20stack&l=Paris&radius=100&limit=100&sort=date&vjk=200a60a0b54581e0,"DEVELOPPEUR J2EE FULL STACK - F/H
Ingeniance21 avis - Paris (75)","['Paris (75)', 'CDI']",DEVELOPPEUR J2EE FULL STACK - F/H,Ingeniance,- Paris (75),CDI,null,"il y a 21 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Developpeur Web full stack,Paris,"Contexte de mission:

L'équipe de notre client est en charge de l'outil de pricing et trading primaire de produits exotiques. Le soft s'adresse à des utilisateurs internes (vendeurs, structureurs, traders) et externes (clients).

Il s'agit d'une application Web représentant un des 4 piliers d'une solution à destination de banques privées. Vous interviendrez pour des réalisations full stack du front end jusqu'au back end.

Missions:
Développer en JEE et maintenir le web et le back-end (Full stack)
Collecte directe de l'expression du besoin auprès des BA et/ou Users
Spécification, en collaboration avec les BAs et ergonomes
Dev, test, intégration
Non-régression, cross- browser compatibilité
Cohérence et partage de librairies avec les autres applis du portail
Assurer la modularité et cohérence fonctionnelle
Partage de best-practices
Support de 1er et 2ème niveau
Rationalisation des besoins métier et challenge des solutions
Intérêt certains pour la finance de marché et les processus SI
Profil recherché:
Java, JEE, SQL, modélisation objets
Web: Javascript objet, AJAX, expérience appli web B2C, client web riche, AngularJs
Expérimenté: 3 à 6 ans d'expérience, bonnes cultures d'architectures SI, expérience en finance de marché non requise.
Une expérience préalable en développement full stack est appréciée
INGENIANCE est une société jeune et dynamique qui stimule l'innovation et la transformation digitale par l'accompagnement de ses clients dans leurs projets liés aux nouvelles technologies.

Spécialiste des secteurs Banque, Finance et Assurance, INGENIANCE est également une entreprise technology-oriented qui offre une expertise multi-sectorielle autour du Big Data, du développement informatique, de la Blockchain et de la philosophie DevOps.

Ceci permet à INGENIANCE de se positionner comme une entreprise leader du marché financier et avant-gardiste des technologies disruptives."
8,https://www.indeed.fr/emplois?q=Developpeur%20Web%20full%20stack&l=Paris&radius=100&limit=100&sort=date&vjk=1d48758112f33cf4,"ingénieur de développement Full Stack F/H
OROLIA SPECTRACOM - Sèvres (92)","['Sèvres (92)', 'CDI']",ingénieur de développement Full Stack F/H,OROLIA SPECTRACOM,- Sèvres (92),CDI,null,"Apec.fr - il y a 19 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Developpeur Web full stack,Paris,"Notre génération actuelle de serveurs de positionnement, de navigation et de chronométrage tire parti d'un grand nombre de technologies open source autour des systèmes Linux.

Pour que nos clients puissent configurer, surveiller et interagir avec nos produits en général, nous comptons fortement sur les technologies Web.

Pour cette raison, nous sommes à la recherche de développeurs talentueux pour rejoindre notre équipe et développer nos produits de navigation et de chronométrage de positionnement résilient.

RESPONSABILITÉS

En tant qu'élément clé de notre équipe de développement de logiciels, vous contribuerez à notre pile de logiciels basée sur le Web. Cela signifie spécifiquement :

Tout savoir sur nos produits de positionnement, de navigation et de chronométrage et sur la façon dont ils sont utilisés par nos clients
Développer et maintenir notre Web Stack, des interactions de bas niveau avec le système Linux à l'interface utilisateur
Architecture et conception de notre pile Web de nouvelle génération à l'aide d'outils, de langues et de systèmes modernes
Organiser la migration de l'architecture actuelle
Utilisez nos flux de travail et nos outils en constante évolution (Git, Bitbucket, Gitlab, Jenkins, Coverity, Jira, Confluence)
Surveiller en permanence l'état de l'art dans le domaine de l'arrière,ondule et des bases de données
Profil recherché C'est un avantage si vous :
Connaissez plusieurs des technologies suivantes : Javascript, React, Angular, Node.js, Vue, Golang, PHP, CakePHP, SQL, Apache, Nginx, Python, Django
Connaissez les technologies de navigation et de chronométrage
Contribuez à L'Open Source Software, en particulier autour des technologies Web
Avez une expérience professionnelle ou personnelle de travail sur les produits Embedded (ARM) sur Linux
Avez une expérience professionnelle ou personnelle dans le développement du code C ou CmD
Avez une expérience professionnelle ou personnelle sur la sécurité Web
Aimez travailler en équipe à l'aide des méthodes Agile
Aimez travailler dans un environnement international
Aimez apprendre et progresser pour rester toujours à l'état de l'art des technologies
Entreprise Orolia est un groupe de haute technologie spécialisé dans les solutions de positionnement, de navigation et de temps (PNT) précises, robustes et fiables pour l'aérospatial, le maritime, les marchés de la défense et des infrastructures critiques.

Fondé en 2006, fort d’une équipe de plus de 430 collaborateurs en Europe, aux Etats-Unis et en Asie, Orolia poursuit sa croissance et réalise aujourd’hui un chiffre d’affaires de 110 M€.

Orolia fournit des équipements et systèmes électroniques de précision permettant de déterminer en toutes circonstances « où et quand » des personnes, véhicules, aéronefs, navires ou événements critiques se situent.

L’ensemble de ces applications repose également sur des appareils et des logiciels spécifiques de calibration ou d’analyse de la performance et de la résilience des équipements de positionnement, de timing et de synchronisation, dont Orolia est l’un des principaux fournisseurs.

Pour notre site des Ulis, nous recherchons notre Ingénieur de développement Fullstack"
9,https://www.indeed.fr/emplois?q=Developpeur%20Web%20full%20stack&l=Paris&radius=100&limit=100&sort=date&vjk=cb3cd463ba736ef1,"Développeur JS Node React F/H
SYNOPSIA INGENIERIE - Paris 2e (75)","['Paris 2e (75)', 'CDI']",Développeur JS Node React F/H,SYNOPSIA INGENIERIE,- Paris 2e (75),CDI,null,"Apec.fr - il y a 19 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Developpeur Web full stack,Paris,"Dans le cadre de notre croissance, nous recherchons un Développeur FULL STACK pour intervenir sur nos projets clients afin de développer des applications web.

Vous serez intégré dans une équipe agile, vous avez une très bonne capacité à travailler en équipe, participerez à des workshops, et vous n'avez pas peur de donner votre avis
Profil recherché ?Vous justifiez d'une réelle expérience dans les technologies similaires (Node JS et React JS) avec une méthodologie Agile SCRUM.

En outre, une bonne autonomie et la capacité à la prise de décision sont des atouts supplémentaires.

Vous disposez également de la capacité à faire des choix techniques et à les expliquer simplement.
Entreprise SYNOPSIA est une société de Service et d’Ingénierie Informatique à taille humaine. Créée en 1999, elle accompagne depuis 20 ans ses clients dans la concrétisation de leurs projets numériques, en mettant à leur disposition une expertise technique et des compétences métier.

Chez SYNOPSIA nous avons à cœur d’avoir une réelle proximité avec chacun de nos salariés et nous œuvrons pour le développement de leur carrière en adéquation avec leur projet professionnel. A ce titre, nous attachons une grande importance au choix des missions et à la formation professionnelle. Nous recherchons des hommes et des femmes qui partagent nos valeurs : le sens du service, une ouverture d’esprit et une volonté de relever les défis qui se présentent à eux."
