,id,meta1,meta2,titre_poste,entreprise,localisation,contrat,salaire,date_publication,keyword_metier,keyword_localisation,description
0,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20Python&l=Paris&radius=100&limit=100&sort=date&vjk=b9b3e83fd8b37871,"Développeur full stack
Kanbios - Paris (75)","['Paris (75)', 'CDI']",Développeur full stack,Kanbios,- Paris (75),CDI,null,"il y a 4 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur Python,Paris,"Experts de la gestion de projets Agile et de l’expérience utilisateur, nous sommes une équipe jeune et ambitieuse. Vous évoluez aux côtés de Product Owner et d’une équipe UI/UX designer, le tout dans une super ambiance !
L’intérêt du poste est de pouvoir avoir un rôle technique polyvalent que ce soit en Front-end, en Back-end, en Base de données ou même en DevOps. Vous intervenez sur tout le scope de développement en utilisant les nouvelles technologies pour des projets plein de challenge.
Vous participez aux briefs client afin de bien comprendre le besoin métier, implémentez ce qui a été maquetté par l’équipe UI/UX, développez des interfaces user friendly et construisez des applications modernes, le tout en environnement Agile.
Si vous cherchez un poste intéressant et polyvalent, dans un environnement dynamique et épanouissant, cette offre est faite pour vous !
Profil recherché
Vous êtes diplômé(e) d’une formation spécialisée dans le développement
Vous avez minimum 2 ans d’expérience en tant que développeur Fullstack
Vous avez une forte appétence pour le digital et vous êtes passionné(e) par les nouvelles technologies
Vous êtes autonome et force de proposition
Vous documentez, testez votre code. Les problématiques d’évolutivité, réutilisabilité, maintenabilité et scalabilité vous tiennent à cœur
Vous savez travailler en équipe et vous pouvez mener un projet de A à Z
Vous savez évoluer en environnement Agile/SCRUM, utiliser Github/Trello/Slack
Vous pouvez travailler avec des Product Owner et UI/UX Designer
Vous maitrisez les fondamentaux et les techniques de développement et de construction d’applications modernes, en environnement Agile.
Technologies Front-End : React.js, Vue.js,…
Technologies Back-End : Node.js, Python (Django),…
Technologies de base de données : MongoDB, PostgreSQL,…
Vous maîtrisez au moins un CMS : WordPress, Drupal, etc.
Vous avez des compétences en DevOps."
1,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20Python&l=Paris&radius=100&limit=100&sort=date&vjk=1b8b192bd02c9ab4,"Consultant Développeur Python F/H
MANAGEMENT INFORMATIQUE & NOUVELLES TECHNOLOGIES CONSEIL - Paris 1er (75)","['Paris 1er (75)', 'CDI']",Consultant Développeur Python F/H,MANAGEMENT INFORMATIQUE & NOUVELLES TECHNOLOGIES CONSEIL,- Paris 1er (75),CDI,null,"Apec.fr - il y a 7 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur Python,Paris,"Python (H/F) en Ile de France.

Vous serez amené à évoluer au sein des équipes projets de nos clients Finance.

Vous intégrerez et déploierez en continu au travers des outils référents du marché.

Vous travaillerez en mode Agile.
Profil recherché De formation de type bac+5 (École ou Université), vous disposez d'une première expérience validée du développement Python.

Vous êtes capable de vous adapter à vos interlocuteurs ""métier"" ou ""technique"".

Vous êtes sensible à une démarche agile/devops

Vous êtes autonome et organisé

Vous savez communiquez efficacement en équipe

Vous avez un excellent rédactionnel

Votre niveau d'anglais est opérationnel

Entreprise Pourquoi devenir un Talent MINT-Conseil ? :
Pour travailler sur des projets stratégiques et innovants.

Pour être toujours incité à être force de proposition

Pour intégrer une entreprise qui s’occupe de ses Talents.

Pour rejoindre un programme de Mentorat.

Pour être accompagné dans le développement de vos compétences pour devenir un futur MINT-Leader.

Pour profiter de locaux modernes et d’activités (Afterworks, yoga, stretching, sophrologie, soirées à thèmes…)

Depuis plus de 10 ans nous sommes une société de conseil en Technologies Innovantes et Management de Projets. Nous proposons à nos clients un accompagnement tout au long du cycle de développement de leurs produits et services.

Le Développement Humain et la Montée en Compétence sont stimulés pour garantir l’épanouissement personnel des Talents MINT-Conseil. Les consultants sont associés aux comités de pilotage (Offres, Formation, RH…) afin de participer directement à la MINT-Attitude : forcément collaborative et orientée vers le partage des connaissances de l’ensemble de nos Talents."
2,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20Python&l=Paris&radius=100&limit=100&sort=date&vjk=0e07bf79ae4d84ee,"Développeur Frontend React H/F
JobTeaser - Paris 9e (75)",['Paris 9e (75)'],Développeur Frontend React H/F,JobTeaser,- Paris 9e (75),null,null,"il y a 6 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur Python,Paris,"Job Description

Rejoignant l'équipe front en tant que développeur expérimenté ou senior, tu vas nous aider à augmenter fortement la taille et le niveau d'expertise de l'équipe ! Tu pourras y développer ton mentoring et ton leadership pour mieux partager ton expérience.

Tu feras partie d’une organisation à base de squads pluridisciplinaires organisées en tribus et dont les objectifs sont définis suivant une méthode OKR. Tout ça dans le but d’apporter un maximum d’autonomie dans les choix des solutions !

Tu rejoindras aussi le ""chapter"" front portant toute la vision frontend de JobTeaser, et réparti sur plusieurs squads. Ce “chapter” permet à chaque frontend de venir proposer des nouvelles choses (librairies, process, guidelines …) et de faire progresser notre stack.

La stack technique aujourd’hui en place se compose de :
ES6 avec Babel
React, React-router, Prop-types
Redux, Redux-sagas
Node, Webpack
CSS4 avec PostCSS
Libraries testing et qualité comme Jest, Enzyme, JSDom, ESLint, StyleLint

L’écosystème de la plateforme gravite aussi autour de technos comme :
Elixir, Go et Ruby côté Backend,
AWS, Kubernetes, Helm, Docker, Terraform, Jenkins, CircleCI pour la partie Infra,
Python, Kafka pour la Data Science

Si tu as envie de nous rejoindre et que tu veux aider l’équipe dans les prochains pas à faire côté frontend, quelques pistes des chantiers envisagées :
Création d’une librairie partagée (UI-Kit) de composants React à la nouvelle charte
Déploiement autonome des frontaux via Amazon S3 buckets et CDN Cloudfront
Réflexion autour de la mise en place d’une couche de Data Fetching GraphQL avec Apollo

Qualifications

Concernant ton profil, on s’intéresse aussi bien à tes compétences techniques qu’à tes qualités humaines :
Tu évolues déjà dans le web depuis au moins 3 ans et ça fait au moins 1 an que tu joues avec des frameworks et grosses librairies JS (Angular, React, Vue, jQuery, …).
Tu connais tes gammes : HTML et CSS n’ont plus de secret pour toi et tu sais parler de sémantique, de méthodologie CSS (BEM, SMACSS, …) et de responsive.
Tu as [sur]vécu [à] l’arrivée d’ES6 et ses nouveautés sont d’utilité quotidienne pour toi, mais tu n’as pas oublié pour autant les bons vieux concepts du JavaScript (prototype, hoisting, this …).
Tu sais et aime travailler en équipe, tu es coutumier de Git, comprend l’intérêt de l’intégration continue et ne te résigne pas quand il faut écrire des tests.

Si tu te retrouves aussi au travers de ces traits là, c’est du bonus pour toi et pour nous :
Tu as déjà pas mal travaillé avec React et Redux et tu es capable d’expliquer leurs fonctionnements à ta grand-mère. Tu as déjà joué un peu avec Vue JS aussi.
Tu as envie de participer à l’épanouissement de l’équipe (pairing, mentoring, sharing …) et de partager ta veille technique.
Tu penses que la richesse du monde web vient de la diversité des métiers qui le compose et tu aimes échanger avec les autres équipes (Design, Produit, Backend, Data …).
Tu sais organiser ton quotidien et tu apprécies évoluer aux sein des méthodologies agiles (Scrum, XP, …) ou de processus itératifs de développement.

Additional Information

Tes avantages:
Parce JobTeaser aime prendre soin de ses équipes, voici quelques avantages proposés :
Culture Tech
Meetup internes
Tickets pour plusieurs conférences dans l’année
Accès à des plateformes e-learning + bibliothèques
Partage et mentoring
Hackathons internes
Passion pour les best practices
Proches des équipes métier
Impliqués tant sur la technique que sur le produit
Les Plus
Télétravail autorisé
Labels “Happy at Work” et “Great Place to Work”
Bureaux neufs en plein centre de Paris
Espace permettant d’accueillir et d’organiser des Meetups
Possibilité de participer à des conférences (orateur et auditeur)
Accès à des plateformes e-learning et e-book
Hackathon interne (1 semaine par an)
Après-midi de Technical Sharing & Learning"
3,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20Python&l=Paris&radius=100&limit=100&sort=date&vjk=2780a2b41e8058fe,"Développeur Front End React - H/F
NEXT Solutions - Suresnes (92)","['Suresnes (92)', 'CDI', '50 000 € par an']",Développeur Front End React - H/F,NEXT Solutions,- Suresnes (92),CDI,50 000 € par an,"ChooseYourBoss - il y a 6 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur Python,Paris,"Python / Postgresql / Javascript / React-native / React
Lead Developer, Frontend Developer / CDI / Environ 50k€ / 3 - 6 ans / Suresnes

Le poste
Nous recherchons un développeur front-end confirmé pour rejoindre notre équipe et nous aider à répondre aux besoins de nos utilisateurs et assurer le développement de notre client. Les grands projets en cours ou à venir sont :
Les responsabilités
L’extension de la plateforme aux établissements de santé
L’intégration de la facturation
Le développement de l'application mobile
Pourquoi venir chez nous?
Des projets passionnants sur des technologies du moment Des formations et du coaching, car investir sur vos qualités est ce que nous faisons de mieux Des opportunités d’évoluer dans vos fonctions et/ou géographiquement.Soumettez vos idées et nous vous aiderons à les concrétiser. Lève-tôt ou couche-tard ? A partir du moment où le travail est bien fait, la flexibilité est entre vos mains. L’équilibre vie-travail est la clé. Un package salarial très motivant Un groupe de collègues qui donne le meilleur dans une ambiance décontractée et conviviale !"
4,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20Python&l=Paris&radius=100&limit=100&sort=date&vjk=b1a6f67ee2fa2aa3,"Senior QA Test Automation Engineer - H/F
SIDETRADE6 avis - Boulogne-Billancourt (92)","['Boulogne-Billancourt (92)', 'CDI', '55 000 € par an']",Senior QA Test Automation Engineer - H/F,SIDETRADE,- Boulogne-Billancourt (92),CDI,55 000 € par an,"ChooseYourBoss - il y a 6 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur Python,Paris,"Specflow / Python / C-sharp / Cucumber / Selenium / Recettage / Qualité / Agile
QA Test Automation Engineer / CDI / Environ 55k€ / 3 - 6 ans / Boulogne-Billancourt

Le poste
Sidetrade est un éditeur français de logiciels en SaaS (230 Sidetraders dans 4 pays en Europe) en pleine croissance. L’IA fait partie intégrante de nos produits! Contribuer à tous les moyens de rendre tout cela concret pour nos utilisateurs dans le monde entier passe entre-autre par du C#, du JS, du Python, des apps web, des APIs, du front, du back, des micro services et des données en flux continu tous les jours. Bon il faut le dire aussi… ça passe par des soirées gaming, des tournois de baby-foot, une équipe soudée et agile, des hackathons, des petits déjeuners… Notre équipe Engineering compte au total une soixantaine de personnes à Paris, Boulogne et Birmingham. Nous recherchons actuellement un Senior QA Automation qui apportera son expertise à l'équipe R&D de Boulogne!
Les responsabilités
Rechercher et identifier les solutions d'automatisation qui apportent de la valeur au système logiciel existant
Prendre la responsabilité de la mise en place de environnement d'automatisation ainsi que l’implémentation des scénarios de test
Aider à l’intégration des pratiques d'automatisation dans le cycle de développement logiciel
Former et accompagner les testeurs et développeurs dans l’utilisation de environnement de tests automatiques
Vous participerez également au processus de recrutement des futurs collaborateurs QA Automation Engineer , et assurerez un accompagnement de qualité à nos nouvelles recrues
Pourquoi venir chez nous?
Un éditeur de logiciel certifié Microsoft Gold Partner dont l'innovation fait partie de l'ADN Une entreprise à taille humaine et financièrement solide Travailler sur des projets IA, Machine Learning et Big Data dans un environnement technique varié L'équipe t'adoptera dans un environnement multiculturel, agile et convivial Si en plus tu es sportif, notre Sidetrade Sport Organisation sera ravie de compter un nouveau membre Tickets restaurant, assurance prévoyance et frais de santé."
5,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20Python&l=Paris&radius=100&limit=100&sort=date&vjk=0f4aa189d14603a5,"Développeur Fullstack Junior
Flowka - Paris 11e (75)","['Paris 11e (75)', 'Temps plein, CDI', '2 500 € - 3 000 € par mois']",Développeur Fullstack Junior,Flowka,- Paris 11e (75),"Temps plein, CDI",2 500 € - 3 000 € par mois,"il y a 13 heures
Signaler cette offre d'emploi",Développeur Python,Paris,"We are hiring a junior fullstack developer (Django, Python, Java Script,... ) for a start-up project :
Spotl provides subtitling services based on AI algorithms to professional media companies. Automatic video spotting, transcription, translation, adaptation and managing the flow between labs, translators and broadcasters or institutional clients...
Office in Paris 11 + remoteContact:
Type d'emploi : Temps plein, CDI
Salaire : 2 500,00€ à 3 000,00€ /mois"
6,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20Python&l=Paris&radius=100&limit=100&sort=date&vjk=adf0226d9781496f,"Développeur r / r shiny
Ividata - Hauts-de-Seine","['Hauts-de-Seine', 'CDI']",Développeur r / r shiny,Ividata,- Hauts-de-Seine,CDI,null,"La bourse de l'Emploi des Entreprises du Médicament - il y a 14 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur Python,Paris,"Descriptif
IVIDATA GROUP, grâce à la proximité entretenue avec ses collaborateurs, figure désormais dans le Palmarès Great Place To Work qui récompense les entreprises où il fait bon travailler et représente la plus jeune société Lauréate !
IVIDATA GROUP est un cabinet de conseil jeune et innovant. La filiale IVIDATA STATS accompagne des grands acteurs de l’industrie de la santé et recherche sur les activités de Biométrie, Recherche Clinique, Pharmacovigilance et Affaires Réglementaires. Dans le cadre de cette activité, nous recherchons un(e) :
DEVELOPPEUR R / R SHINY – H/F
Votre Mission :
Développement des codes R,
Mise en place des procédure de tests des codes R
Mise en place de manuel d’utilisation des packages développés
Déploiement des packages via une plateforme interne
Collaboration avec les services IT interne et les sociétés de sous-traitance qui développent les packages et applications
Votre profil :
Expertise en R avec 2 à 3 ans d’expérience minimum
Bonne connaissance en Statistique
Connaissance de Python serait un plus
Rédaction des documents en anglais serait un plus
Qualités personnelles :
Bon relationnel
Esprit d’équipe
Rigueur
Organisé
Autonomie
Réactivité
Le poste à pourvoir est en CDI et vous interviendrez au sein des équipes du laboratoire qui est basé en Ile De France.

Durant votre mission, vous bénéficierez d’un suivi de proximité et réactif, de formations adaptées à vos besoins, d’opportunités de carrière en adéquation avec votre profil et vos attentes.
Rejoindre Ividata c’est intégrer une société jeune, dynamique et où il fait bon vivre. N’hésitez plus, rejoignez-nous !"
7,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20Python&l=Paris&radius=100&limit=100&sort=date&vjk=e40cc36d90f34f7f,"Stage Développeur Fullstack
Flowka - Paris 11e (75)","['Paris 11e (75)', 'Temps plein, Stage', '500 € - 600 € par mois']",Stage Développeur Fullstack,Flowka,- Paris 11e (75),"Temps plein, Stage",500 € - 600 € par mois,"il y a 13 heures
Signaler cette offre d'emploi",Développeur Python,Paris,"We are hiring a fullstack intern developer (Django, Python, Java Script,... ) for a start-up project :
Spotl provides subtitling services based on AI algorithms to professional media companies. Automatic video spotting, transcription, translation, adaptation and managing the flow between labs, translators and broadcasters or institutional clients...
Office in Paris 11 + remote
Type d'emploi : Temps plein, Stage
Salaire : 500,00€ à 600,00€ /mois"
8,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20Python&l=Paris&radius=100&limit=100&sort=date&vjk=95f9f0f71c8f729e,"DÉVELOPPEUR PYTHON #REVERSEENGINEER #CYBERSECURITE #FINTECH #OPENSOURCE
Urban Linker - Paris (75)","['Paris (75)', 'CDI']",DÉVELOPPEUR PYTHON #REVERSEENGINEER #CYBERSECURITE #FINTECH #OPENSOURCE,Urban Linker,- Paris (75),CDI,null,"il y a 16 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur Python,Paris,"DESCRIPTIF DE LA SOCIETE
Startup ayant déjà quelques années, l'équipe est bien établie et toujours en croissance pour proposer des services bancaires les plus aboutis possibles aux grands groupes et autres startup. Vous connaissez d'ailleurs très certainement plusieurs de leurs clients...
En position de presque leadership au niveau européen, ils ne comptent pas s'arrêter là et ont bien l'objectif d'attaquer de nouveaux marchés rapidement.

Vous recherchez une équipe jeune avec laquelle vous attaquer à de véritables challenges ? Cette aventure est faite pour vous !
DESCRIPTION
POSTE
Dans une équipe d'une quinzaine de personnes, tu participeras à la sécurisation des services de la startup en menant des investigations de reverse engineering sur différentes applications pour mieux comprendre l'écosystème FinTech actuel.
PACKAGE
Tickets restaurant
Primes selon objectifs
Babyfoot
Machine à café en grain
Pizza gratuite le vendredi
Et aussi des moments pour s'amuser en équipe !
LES +
Des bureaux en plein coeur de Paris
Avec une équipe de passionnés
Dans un environnement open source
Pour offrir au grand public des services bancaires en toute sécurité...
PROFIL RECHERCHE
Une bonne connaissance de Python
Un intérêt profond pour le Reverse Engineering (abordé lors d'une formation ou sur votre temps personnel)
Tu as déjà utilisé : mitmproxy, jadx, android studio, apktool, adb
Et potentiellement, tu as déjà testé ou entendu parler de : baksmali/smali, byteCodeviewer, IDA, ghidra, etc.
""LE JUGE FINAL C’EST L’UTILISATEUR. SI NOUS TAPONS À CÔTÉ, IL NOUS LE DIT ET SI NOUS VISONS JUSTE, IL NOUS LE DIT AUSSI. C’EST RELATIVEMENT SIMPLE."" JOAN BURKOVIC"
9,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20Python&l=Paris&radius=100&limit=100&sort=date&vjk=32b688482e20b5b9,"DÉVELOPPEUR FULLSTACK PYTHON - REACT
Urban Linker - Paris (75)","['Paris (75)', 'CDI', '45 000 € - 50 000 € par an']",DÉVELOPPEUR FULLSTACK PYTHON - REACT,Urban Linker,- Paris (75),CDI,45 000 € - 50 000 € par an,"il y a 16 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur Python,Paris,"DESCRIPTIF DE LA SOCIETE
Notre partenaire a pour ambition de devenir la référence de l'investissement simple et intelligent.

La société repense l'approche de l'investissement en partant des projets du particulier et dédie à chacun d'eux une stratégie d'allocation d'actifs de manière automatisée et dynamique, grâce à des algorithmes propriétaires.
Le projet en 5 points :

Un parcours digital, zéro paperasse, orienté sur les projets de vie;
Une proposition d'allocation par projet réellement sur-mesure en 6 minutes (unique en France);
La possibilité de créer autant de projets que souhaité au sein d'un même contrat et de réaliser des transferts sans fiscalité entre eux (unique en France);
une gestion privée à moindre coût: une tarification 2 à 3 fois moins chère.
30% des projets sur de l'investissement éco-responsable

Pour faire simple, les grands acteurs de la gestion de patrimoine n’ont aucun intérêt à évoluer puisque cela porterait atteinte à leurs marges. L’ambition de la société est claire : redonner le pouvoir aux épargnants.
DESCRIPTION
POSTE
Au sein d'une équipe tech composé du co-fondateur, du directeur technique, d'un lead développeur et d'une développeuse front-end, tu seras en charge de la partie Back-end.
Tu seras en charges du développement des nouvelles fonctionnalités de la plateforme, et elles sont nombreuses ! Tu joueras beaucoup avec des API et tu devras penser sécurité et RGPD : il y a de la Data, et elle est sensible !
On attend de toi une passion pour les bonnes pratiques et le code propre. La couverture de test est supérieur à 80% et il y a au moins une mise en production par semaine.


PACKAGE
45 a 50K€ en fonction du profil
Remote partiel
RTT
Transport et Mutuelle pris en charge
LES +
Super conditions de travails
Top Locaux
Prise en compte de ton avis
Flat Management
Mercredi Tous Ensemble
Prise de decision en équipe
Flexible sur les hoaries
Remote Partiel
Mentalité/valeurs
Projet à très fort potentiel
Petite Equipe = Fort Impact
Possibilité de devenir l'un des porteur du projet
Challenge technique fort
Dimension Data / Big Data
Collaboration direct avec les fondateurs
PROFIL RECHERCHE
Tu as entre 1 et 4 ans d'expériences
Tu viens de finir une très grande école d'ingénieur et cherches ton 1er CDI
Tu a une bonnes expérience sur Python / Django
Tu as touché à React ou souhaite apprendre
Tu aimes le code propre et optimiser
Tu es pro-actif et n'as pas peur de prendre des initiatives et d'être laissé en autonomie"
