,id,meta1,meta2,titre_poste,entreprise,localisation,contrat,salaire,date_publication,keyword_metier,keyword_localisation,description
0,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20web%20back%20end&l=Paris&radius=100&limit=100&sort=date&vjk=01a6366b21979ce2,"Stagiaire développeur web H/F
Ayctor - Paris 15e (75)","['Paris 15e (75)', 'Temps plein, Stage', '554 € par mois']",Stagiaire développeur web H/F,Ayctor,- Paris 15e (75),"Temps plein, Stage",554 € par mois,"il y a 55 minutes
Signaler cette offre d'emploi",Développeur web back end,Paris,"Ayctor est une agence digitale full services, créée en 2008 , basée dans le 15ème arrondissement de Paris, qui a pour vocation de développer la performance digitale de ses clients aux travers des nouveaux enjeux de communication, de marketing et d’innovation.
Nos expertises :
UX/UI, Social Media, Campagnes d’acquisition, SEA
Outils internes, Refonte / Création de site
Développement, SEO
Pour cela, son équipe pluridisciplinaires met ses compétences au service de ses clients. Faciliter la mise en œuvre et la pérennité des différents projets : sites internet, campagnes Facebook, Adwords, emailing, acquisition de trafic, applis, landing pages, digitalisation des outils et process, espace client, lancement programmes. Ils accompagnent leurs clients depuis la réflexion jusqu’au déploiement, en passant par une réflexion créative et le choix de technologies pour proposer des expériences digitales utiles pour les marques.
Descriptif du poste
Analyse de spécifications fonctionnelles.
Développement de nouvelles fonctionnalités Front-End & Back-End.
Recette des développements et mise en production.
Veille constante des évolutions PHP, des différents outils utilisés et des librairies open-source.
Reporting sur les actions menées.
Vous intégrez une équipe de 6 développeurs et collaborez avec les autres membres de l’agence (DA, CDP). Le poste est à pourvoir dès que possible pour une durée de 4 à 6 mois (rémunération selon profil).
Embauche en CDI en fin de stage s’il est concluant.
Profil recherché
Vous êtes autonome, dynamique et vous aimez le travail en équipe
Curieux (se) des dernières technologies et solutions.
Vous aimez les petites structures dynamiques (âge moyen 28 ans) et êtes force de proposition.
Compétences techniques
Les incontournables : HTML / CSS (SASS) / JS, PHP, MySQL, WordPress ou Laravel.
Les plus : gestion de serveur linux, GIT et autres technos web (CMS, Symfony, React, Vue, nodejs, …).
Avantages :
Participation au transport
Type d'emploi : Temps plein, Stage
Salaire : 554,40€ /mois
Expérience:
développeur web: 1 an (Souhaité)"
1,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20web%20back%20end&l=Paris&radius=100&limit=100&sort=date&vjk=409a23595507f3e8,"(Stage) Développeur junior Salesforce (H/F)
Isochronix - Paris 2e (75)","['Paris 2e (75)', 'Stage, Apprentissage']",(Stage) Développeur junior Salesforce (H/F),Isochronix,- Paris 2e (75),"Stage, Apprentissage",null,"il y a 1 heure
Signaler cette offre d'emploi",Développeur web back end,Paris,"Isochronix recherche un développeur Salesforce disponible dès que possible pour un stage conventionné d’une durée de 6 mois.
Contexte
Isochronix est un intégrateur Salesforce spécialisé en Web & Digital. L’entreprise a été fondée par ses deux associés avec un objectif en tête : offrir à des sociétés jeunes et innovantes une expérience du consulting qui leur ressemble. Ce positionnement nous a permis d'accompagner des sociétés aux projets très diversifiés comme Cdiscount, Rakuten, Parrot, Voyage Privé, Oxatis, Shopmium, La Redoute et bien d'autres.
Description de la mission
En tant qu’expert technique auprès de nos clients, vous interviendrez sur les missions suivantes :
Recueil des besoins clients et cadrage
Rédaction des cahiers des charges et des spécifications fonctionnelles
Paramétrage et développement front-end et back-end
Tests et exécution des recettes utilisateurs en accord avec les attentes clients
Support et formation utilisateurs
Compétences attendues
Développement : Javascript, Java, CSS, HTML, SQL
Capacité à comprendre les problématiques fonctionnelles métiers de nos clients
Bonne compréhension des principes de modélisation de données
Gestion de projet en mode agile
Anglais courant
Compétences appréciées
La connaissance du modèle technologique Salesforce
Visualforce, Apex, Composants Lightning, Process Builder, Flows
AngularJS, NodeJS
Profil recherché
Bac +4/+5 ou jeune diplômé
Première expérience réussie en entreprise sur des projets SI ou d’intégration
Autonomie, rigueur, aptitude à travailler en équipe, sens du client
Pourquoi nous choisir ?
Ambiance start-up dans une entreprise jeune et dynamique en pleine croissance
Challenges quotidiens et missions aux problématiques variées : chez nous, vous ne servirez pas le café !
Locaux situés dans le 2eme arrondissement de Paris
Tickets restaurants pour profiter des meilleurs restaurants
Rémunération selon profil
Embauche possible à la fin du stage
Type d'emploi : Stage, Apprentissage"
2,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20web%20back%20end&l=Paris&radius=100&limit=100&sort=date&vjk=2c1dfc7d6469a05a,"développeur Full Stack (JAVA/SPRING/ANGULAR) / Freelance
SKALIS - Paris (75)","['Paris (75)', 'Temps plein, Freelance / Indépendant', '400 € par semaine']",développeur Full Stack (JAVA/SPRING/ANGULAR) / Freelance,SKALIS,- Paris (75),"Temps plein, Freelance / Indépendant",400 € par semaine,"Freelance-info - il y a 17 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur web back end,Paris,"Au sein d’un, grand compte bancaire, la mission se déroulera à Paris au sein du domaine Distribution en charge des outils de vente des produits d’épargne salariale dans ses réseaux partenaires

1.3.2. Description du projet :Le projet vise à :
améliorer l’outil de ventes existant avec les évolutions sur l’épargne salariale induites par la loi PACTE.
développer un nouvel outil pour nos partenaires distributeurs
effectuer différentes migrations techniques
1.3.3. Type de prestation recherchée :
Développeur Web / Web service - Front end et back end N3
1,00

1.3.4. Description de la prestation recherchée :Les principales tâches à réaliser sont les suivantes :
Prestation de développeur Full Stack (JAVA/SPRING/ANGULAR) intervention dans un mode de fonctionnement agile à la fois sur le front et le back de nos outils de distribution des produits d’épargne salariale. Une connaissance du craftmanship et de la conception d’API REST est souhaitée.

2 - Environnement du projet
2.1. Technique / Technologique

Compétences techniques et/ou technologiques requises :
La mission nécessite une maîtrise des environnements suivants :
JAVA (Spring idéalement), JBoss, Web Services SOAP / REST, Angular 2.0+, SQL Confirmé (3)
GIT/Eclipse/Maven Confirmé (3)
Full Stack (Java EE, Angular JS) Confirmé (3)
Base de données DB2 LUW Confirmé (3)
API REST / JSON Confirmé (3)

2.2. Fonctionnel

Compétences fonctionnelles requises :
Requêtes SQL Confirmé (3)
Autonomie, Rigueur Confirmé (3)
aptitude au travail en équipe Confirmé (3)
Anglais technique (lu, écrit et parlé) Confirmé (3)
Aisance relationnelle Confirmé (3)
Capacité à intégrer les enjeux business et les contraintes métiers Confirmé (3)

3 - Lieu de la prestation
La prestation sera réalisée sur le site du Client à l’adresse suivante :
France Paris

4 - Durée de la prestation

Date de début souhaitée :
14/10/2019

Date de fin prévisionnelle :
31/12/2020"
3,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20web%20back%20end&l=Paris&radius=100&limit=100&sort=date&vjk=973e24edfee32127,"Développeur Agile / Tech Lead / DEVOPS-(H/F)
Société Générale2,262 avis - Fontenay-sous-Bois (94)",['Fontenay-sous-Bois (94)'],Développeur Agile / Tech Lead / DEVOPS-(H/F),Société Générale,- Fontenay-sous-Bois (94),null,null,"il y a 12 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur web back end,Paris,"Mission
Un CDI en une journée ! Get a Job in One Day !

Pour cette offre nous organisons une journée de recrutement qui aura lieu le jeudi 21 novembre 2019 dans le Technopole Les Dunes à Val-de-Fontenay, Ile-de-France

Pendant la matinée, vous suivrez toutes les étapes de recrutement en présentiel pour nous permettre de vous donner une réponse définitive en fin de journée.

Pensez dès maintenant à bloquer cette date dans vos agendas !

Le Développeur Agile est un profil polyvalent avec une expertise sur un domaine technique ou une typologie de technologies et sachant intervenir au sein d’une équipe agile à différents niveaux dans la chaîne de conception de solutions informatiques (conception, code, test, déploiement, support de production) pour répondre à des besoins utilisateurs variés.


Affecté dans une Feature team Agile, il a connaissance de un ou plusieurs langages de programmation et d’outils de développement lui permettant de comprendre et développer régulièrement du code à la fois sur le front-end et sur le back-end.


Ses principales missions s’articulent autour de la livraison de besoins métiers qu’il est à même de comprendre et de concevoir de A à Z (analyse, création, développement, codage, tests, etc.)


Ses principales activités sont :


Concevoir des solutions informatiques conformes à l’enjeu métier et garantir l’adéquation des solutions mises en œuvre avec les besoins exprimés.
Travailler en équipe avec des pratiques agiles (Scrum, Kanban, DevOps, pair programming, etc.)
Collaborer avec les Product Owners et Business Analysts au découpage des besoins utilisateurs (Epics) en Users Stories
Rédiger le code et les scripts de déploiement, exécuter les tests unitaires, suivre les activités de production (delivery), assurer une qualité du livrable constante
Respecter la culture technique de la Feature team (craftmanship, pairing, revue, ...)
Mener ou participer aux déploiements, rédiger la documentation de run, développer les plans de contingence et de retour aux versions précédentes
Assurer le support technique, la résolution des problèmes et des incidents afin d’identifier les causes racines et le plan d’action pour les supprimer

Tous nos postes sont ouverts aux personnes en situation de handicap.
Profil


Nous recherchons plusieurs profils, juniors ou expérimentés, avec les compétences techniques différentes

BAC+5 en informatique, Ecole d’informatique ou d'une Ecole d’ingénieur spécialisée en développement

Au moins une première expérience dans le développement / Tech Lead ou DBA avec la connaissance ou maîtrise d'une ou plusieurs technologies et langages suivants:

.Net, Java (SprintBoot), technologies web (Angular, React, Redux, Node…), Python…
Architecture SOA, Rest
Outils de software factory, Continuous delivery & Gestion de configuration (Git, Jira, Jenkins, Teamcity, Docker, Nexus… ) frameworks Symphony et Zend
Bases de données (PostgreSQL, Oracle, MSSQL, MongoDB, ElasticSearch…) avce l'experience DBA étude
Big data (Hadoop, Spark, Scala…)
Progiciels (FGAD, Informatica, Power BI, SSAS Tab / DAX…)
Principes de sécurité et IAM.
Evolution
Votre talent mérite notre engagement, et parce que c’est VOUS l’AVENIR, Sociéte Générale vous met au cœur de sa stratégie.
Société Générale a reçu pour la 6ème année consécutive, la certification « Top Employer France » pour sa politique de Ressources Humaines
Comme une vidéo vaut mieux que des mots:

Développeur: https://www.youtube.com/watch?v=oWreLqqcYRM

Tech Lead: https://www.youtube.com/watch?v=S8HBvPRujTQ
Environnement


Vous êtes jeune diplômé(e) spécialisé(e) en développement? ou bien confirmé(e) avec une expérience significative?

Rejoignez la communauté IT du groupe SG au cœur de la transformation digitale en s’appuyant sur des nouvelles méthodes de travail (Agile, DevOps, Continuous Delivery, Flex office, Télétravail) et de nouveaux moyens (Cloud, Big Data) pour participer à des projets bancaires en organisation Agile.
Référence: 19000RME
Entité: Fonctions centrales groupes
Date de début: 15/12/2019
Date de publication: 08/10/2019"
4,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20web%20back%20end&l=Paris&radius=100&limit=100&sort=date&vjk=48b3b1546fad4655,"Développeur Front-End H/F
TIMMXWARE - Vincennes (94)","['Vincennes (94)', '35 000 € par an']",Développeur Front-End H/F,TIMMXWARE,- Vincennes (94),35 000 € par an,35 000 € par an,"il y a 20 heures
Signaler cette offre d'emploi",Développeur web back end,Paris,"Depuis 2002, TIMMXWARE c’est plus de 500 clients et environ 1 500 projets réalisés par nos équipes dans des environnements techniques variés : PHP (LAMP/WAMP), IOS/ANDROID et NET.
Nous apportons une expertise globale des technologies et usages digitaux pour les projets stratégiques de nos clients.
Par ailleurs, TIMMXWARE est :
Affilié au réseau de partenaires SENSIOLABS (Créateur de SYMFONY)
Partenaire technologique d’ADOBE
Partner network de MICROSOFT
Les missions :
Assurer l'ergonomie visuelle et fonctionnelle des sites
Assurer la portabilité des sites par la prise en compte des différentes plateformes et navigateurs
Réalisation de tests à travers des recettes techniques et fonctionnelles
Travailler à l'optimisation d'applications web en collaboration avec les développeurs back-end
Les compétences requises :
Maîtrise de HTML / CSS
Bon niveau de JavaScript / Jquery
La connaissance de NodeJS / AngularJS serait un plus
Le profil :
De formation de niveau BAC+3/5 en Informatique
2 ans d'expérience minimum dans le développement Front-End
Autonomie, curiosité et réactivité sont des atouts que vous possédez
Quelques bonnes raisons de nous rejoindre
Des structures autonomes et de taille humaine
Le partage des connaissances et l’évolution des compétences
La convivialité et la proximité du management
Des évènements ludiques : afterworks, petits déjeuners d’intégration, déjeuners d’équipe…
Type d'emploi : Temps plein
Salaire : 35 000,00€ /an
Expérience:
développeur front-end h/f ou similaire: 2 ans (Souhaité)"
5,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20web%20back%20end&l=Paris&radius=100&limit=100&sort=date&vjk=1a1697b19796f6c6,"Stagiaire développeur web H/F
Visions - Paris (75)","['Paris (75)', 'Temps plein, Stage']",Stagiaire développeur web H/F,Visions,- Paris (75),"Temps plein, Stage",null,"il y a 22 heures
Signaler cette offre d'emploi",Développeur web back end,Paris,"Visions cherche à donner contrôle aux individus sur leurs données personnelles et leur permettre de les échanger librement.
Nous travaillons avec des banques, villes et universités pour permettre l'ouverture de leurs données sous le contrôle de la personne.
Le stage de deux mois consiste à développer l'application B2C qui va permettre aux gens de signaler ce qu'ils souhaitent comme utilisation de leurs données : ""je veux transférer mes données pour telle recherche"", ""je suis intéressé par ce type de livre à tel prix"", ""je cherche à progresser dans ce domaine"".
En fonction des demandes les utilisateurs sont présentés à des offres leur correspondant et peuvent les choisir. L'utilisateur est informé des données nécessaires à la transaction et du prix.
L'application sera poussée en premier lieu aux étudiants de nos universités partenaires (Sorbonne, Nanterre, Poitiers, Stanford,..).
Missions :
Développement front et back end de l'application VisionsSelf avec une autre personne, en méthode agile et sur la base de story ;
Débugage et amélioration de l'application en fonction des retours utilisateur ;
Organisation de focus group pour tester l'application.
Profil :
A déjà développé une application mobile iOS et/ou Android ;
Compétences front-end et back-end,
Autonomie ;
Intérêt pour la protection des données personnelles.
Vous participez à une initiative unique de renversement de pouvoir dans l'utilisation des données personnelles : on ne vous pousse plus des offres qu'on estime vous intéresser à partir d'une utilisation opaque de vos données mais vous décidez ce que vous voulez et les entreprises vous le proposent.
L'application sera présentée à l'international lors des événements auxquels Visions participe : Helsinki, Berlin, Amsterdam, Tokyo, San Francisco, Nairobi,...
Type d'emploi : Temps plein, Stage
Salaire : 0,00€ /mois
Expérience:
développeur web h/f ou similaire: 1 an (Souhaité)"
6,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20web%20back%20end&l=Paris&radius=100&limit=100&sort=date&vjk=55dd20add8e272f1,"Développeur web fullstack blockchain F/H
Informatique CDC3 avis - Paris 13e (75)","['Paris 13e (75)', 'CDI']",Développeur web fullstack blockchain F/H,Informatique CDC,- Paris 13e (75),CDI,null,"Apec.fr - il y a 20 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur web back end,Paris,"Nous recherchons notre concepteur développeur, développeur web fullstack blockchain expérimenté, afin de rejoindre la direction de l’innovation. Au sein de l’équipe de Fab’IT de la Fabrique digitale CDC (Paris Austerlitz), vous travaillerez sur des POC et MVP sur des sujets blockchain avec une équipe pluridisciplinaire (PO, UX, Blockchain, Architectes, Développeurs)

Les programmes blockchain de la caisse des dépôts sont une entité reconnue et très active depuis 2015 dans l’écosystème blockchain français et européen. Initiateur et pilote du consortium labchain, porteur de projet très novateurs au sein de la caisse des dépôts, et appui de conseil privilégié pour les institutions, nous participons au développement de l’écosystème, en travaillant à la fois avec les plus grands acteurs financiers et les startups les plus innovantes.

Au sein d’une équipe, vous serez en charge de :
Imaginer de nouveaux services liés à la décentralisation, la cryptographie et les nouveaux consensus de confiance.

Accompagner nos clients dans les évolutions que la technologie apporte à leur métier, comprendre et accompagner leurs besoin, contribuer à la définition de l’architecture technique/logicielle.

Concevoir, développer, tester et valider de nouvelles fonctionnalités.

Appliquer les bonnes pratiques de qualité et de développement.

Travailler en collaboration avec l’ensemble de l’équipe afin de chercher et fournir des solutions.

Collaborer avec l’équipe d’ops pour assurer le déploiement en production.

Rédiger des documentations techniques utiles

Veille technologique
Profil recherché Pour appréhender au mieux ce poste, vous êtes à l’aise sur les développements Java avec un souhait d’adresser les sujets relatifs à la blockchain :

Front-end: HTML5/CSS3, Angular, Ts/Js.

Back-end: Java, SpringBoot, PostgreSQL

Outils : Git, Jenkins, Maven, Node, Jira

Créatif, curieux et passionné, vous avez une bonne culture de la tech.

Une bonne connaissance des aspects techniques propres aux blockchains est indispensable, avec une forte appétence pour les technologies liées à la cryptographie et la décentralisation.

Connaissances en développement blockchain/smart contracts et Python.

Bonne capacité de réflexion et d’analyse.

Votre envie et votre capacité à évoluer techniquement, votre goût pour le partage et le travail en équipe vous poussent à aller plus loin et chercher toujours de meilleures solutions.
Entreprise Informatique CDC est un opérateur global de services informatiques et de transformation numérique, filiale IT de la Caisse des Dépôts. Sa mission d'intérêt général est d'accompagner les acteurs publics, de garantir la sécurité, l'intégrité et le développement technologique des Systèmes d'information de ses clients. ICDC dispose d'un savoir-faire éprouvé en matière de SI depuis près de 60 ans, la compétence technologique et la capacité d'innovation sont l'ADN de sa culture d'entreprise. La transparence et l'engagement sont les valeurs partagées par l'ensemble des collaborateurs, des femmes et des hommes investis qui en font sa richesse."
7,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20web%20back%20end&l=Paris&radius=100&limit=100&sort=date&vjk=be289f891e07b208,"Développeur back-end Symfony (H/F)
ITmakeSense - Paris (75)
A répondu à 75 % ou plus des candidatures sur les 30 derniers jours, généralement en 1 jour.","['Paris (75)', 'CDI']",Développeur back-end Symfony (H/F),ITmakeSense,- Paris (75),CDI,null,"il y a 23 heures
Signaler cette offre d'emploi",Développeur web back end,Paris,"Rejoignez une start-up agréée ESUS (Entreprise Solidaire et d’Utilité Sociale) et certifiée B-Corp qui propose aux entreprises, soucieuses de leur Responsabilité Sociétale, des solutions innovantes pour faciliter l’engagement solidaire en entreprise. Ces outils ont pour vocation de donner l’envie et la possibilité à chacun d’être acteur du changement de manière simple et indolore.
Avec la Plateforme de l’Engagement Solidaire, pour la première fois, les collaborateurs d’une entreprise ont la possibilité de s’engager auprès d’associations, à travers des programmes personnalisés de don de temps ou d’argent : séminaire solidaire, mécénat de compétences, don sur salaire,… Une plateforme web unique qui simplifie la gestion et le déploiement d’actions de mobilisation des collaborateurs, pour faire de la solidarité un véritable levier de performance.
Descriptif du poste
Les dispositifs de cette entreprise s’appuient sur des plateformes SAAS et applications web qui évoluent en permanence pour répondre aux nouveaux besoins des clients, renforcer leur socle technique, tester de nouvelles fonctionnalités, automatiser leur déploiement et leur exploitation et maximiser leur impact social.
Dans ce contexte notre client et à la recherche (3 à 5 ans d’expériences) pour compléter son équipe technique et travailler sur l’amélioration de ses plateformes.
Les technologies utilisées sont les suivantes :
Php, Symfony 3, API-Platform
Postgresql, Elasticsearch
Algorithmie, traitement algorithmique et sérialisation des données
Connaissance de l’infrastructure Cloud (Google Cloud Services) et des bonnes pratiques d’exposition d’API et de services
Git et boîte à outils pour le développement
Sensibilité à la sécurité
Behaviour driven development
Architecture cloud, Container Docker et Kubernetes
Chaîne d’intégration et de déploiement continu (CS, tests unitaires, tests fonctionnels, code quality…)
Méthode SCRUM pour interface métier, roadmap produit
Tu apportes tes connaissances et compétences à une équipe de 5 développeurs et à de nouvelles recrues prochaines.
Profil recherché
Tu es au bon endroit si tu es :
Motivé(e) par le développement de l’engagement solidaire en France et la compréhension de ses enjeux de traçabilité, le potentiel des nouvelles technologies ou API (e.g. blockchain, FranceConnect…)
Passionné(e) par la tech et le dev web
Stimulé(e) par le développement d’une start-up, l’univers entrepreneurial, la vie dans une entreprise participative
Doté(e) de créativité, débrouillardise, méthode, capacité à bien travailler en interaction avec toute une équipe, envie d’apprendre et de relever des challenges
Calé(e) sur toute la stack web avec une envie de créer du code clair, bien testé et optimisé.
Fort(e) de 3 à 5 ans d’expérience sur les technologies et les méthodes citées ci-dessous
Conditions
Type de contrat : CDI 35h statut cadre
Nombreux avantages : mutuelle 100%, Navigo 100%, tickets restaurants, budget formation & sport
Localisation : Paris 14ème, travail à distance partiel ou total possible
Encadrement et support : par lead dev / CTO 10 ans d’expérience
Ambiance start-up et DIY garantie
N'hésitez pas à postuler directement ici : https://www.itmakesense.io/listing/developpeur-backend-symfony/
Type d'emploi : CDI"
8,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20web%20back%20end&l=Paris&radius=100&limit=100&sort=date&vjk=2232c6b70d4f6869,"Développeur Drupal H/F
TIMMXWARE - Vincennes (94)","['Vincennes (94)', '35 000 € par an']",Développeur Drupal H/F,TIMMXWARE,- Vincennes (94),35 000 € par an,35 000 € par an,"il y a 20 heures
Signaler cette offre d'emploi",Développeur web back end,Paris,"Depuis 2002, TIMMXWARE c’est plus de 500 clients et environ 1 500 projets réalisés par nos équipes dans des environnements techniques variés : PHP (LAMP/WAMP), IOS/ANDROID et NET.
Nous apportons une expertise globale des technologies et usages digitaux pour les projets stratégiques de nos clients.
Par ailleurs, TIMMXWARE est :
Affilié au réseau de partenaires SENSIOLABS (Créateur de SYMFONY)
Partenaire technologique d’ADOBE
Partner network de MICROSOFT
Les missions :
La conception et le développement de sites web (Front-end et Back-end)
La maintenance évolutive et corrective des sites
La gestion des flux en provenance des sites partenaires
La réalisation des tests avancés dans les phases de recette
Les compétences requises :
Maîtrise de PHP et du CMS Drupal 7/8
Connaissance des outils de déploiement (GIT / JENKINS)
Bon niveau HTML 5 / CSS 3 / JS
Le profil :
De formation de niveau BAC+3/5 en Informatique
3 ans d'expérience minimum dans le développement d’application PHP
Autonomie, curiosité et réactivité sont des atouts que vous possédez
Quelques bonnes raisons de nous rejoindre
Des structures autonomes et de taille humaine
Le partage des connaissances et l’évolution des compétences
La convivialité et la proximité du management
Des évènements ludiques : afterworks, petits déjeuners d’intégration, déjeuners d’équipe…
Type d'emploi : Temps plein
Salaire : 35 000,00€ /an
Expérience:
développeur drupal h/f ou similaire: 3 ans (Souhaité)"
9,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20web%20back%20end&l=Paris&radius=100&limit=100&sort=date&vjk=433b686f99059532,"Développeur Full-Stack
Stereolabs - Paris 14e (75)","['Paris 14e (75)', 'Temps partiel']",Développeur Full-Stack,Stereolabs,- Paris 14e (75),Temps partiel,null,"il y a 21 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur web back end,Paris,"STEREOLABS
Stereolabs est la startup leader des solutions de capture 3D. Nos solutions combinent algorithmes de traitement d’images 3D et de machine learning avec la caméra ZED pour développer les prochaines générations de robots et des espaces plus intelligents, plus profitables et plus sûrs.
Basée à Paris et San Francisco, Stereolabs est à la recherche de profils de haut niveau pour accompagner sa forte croissance.
Travailler chez Stereolabs, c’est:
l'opportunité d'avoir un impact fort, visible et immédiat
un environnement de travail stimulant avec des challenges à relever chaque jour
la possibilité de gagner en compétence, d'évoluer et de grandir professionnellement
MISSION
En tant que Développeur Full-Stack vous serez responsable de la conception, du développement et de l’implémentation des nouvelles features de notre camera management platform. Au niveau back-end vous serez en charge de la définition de l’architecture data pour la collecte de données à grande échelle. En front-end vous garantirez une présentation à la fois intuitive et performante des dashboards analytics sur le web et sur mobile.
Vos missions seront les suivantes :
Back-end:
Construire et manager les services back-end qui gèrent nos réseaux de cameras connectées et les dashboards utilisateurs
Gérer le processing offline pour garantir la génération d’exports video fiables en présence de connexions défaillantes
Assurer des connexions temps réel entre les caméras, le cloud et les utilisateurs
Améliorer la performance et l’efficacité du back-end pour absorber des datasets de taille croissante sans ralentissement dans la vitesse de traitement
Permettre aux clients de déployer un changement facilement même dans le cas de parcs de centaines ou milliers de cameras sur des sites géographiques différents
Front-end:
Développer des APIs permettant aux utilisateurs de développer des outils et features spécifiques
Contrôler et maintenir les bases de données de production
Définir, tester et implémenter l’interface web et mobile

2 ans minimum d’expérience dans le développement d’application
Diplôme Grande Ecole d’Ingénieur
Expérience dans les architectures distribuées et les plateformes cloud « at scale »
Forte compétence bases de données et Framework back-end (Node, Ruby on Rails, Django, Express, Nginx,…)
Maîtrise des différents types de moteurs de base (graphe, NoSQL, SQL, key-value, …)
Maîtrise d’un ou plusieurs frameworks front-end (React, Angular, Redux, Babel, and Webpack)
Expérience avec les services REST
Dynamisme, grande capacité de travail en équipe et de communication synthétique
Bon niveau d’anglais

Début:Dès que possibleDurée:CDILieu:Paris (Porte d'Orléans)Rémunération:Selon expérience"
