,id,meta1,meta2,titre_poste,entreprise,localisation,contrat,salaire,date_publication,keyword_metier,keyword_localisation,description
0,https://www.indeed.fr/emplois?q=Int%C3%A9grateur%20Web&l=Paris&radius=100&limit=100&sort=date&vjk=27e88710448194bf,"CDI Traffic Manager Junior Marketplace/Google Shopping
VNC online - Expertise Digitale - Paris 11e (75)","['Paris 11e (75)', 'CDI']",CDI Traffic Manager Junior Marketplace/Google Shopping,VNC online - Expertise Digitale,- Paris 11e (75),CDI,null,"il y a 59 minutes
Signaler cette offre d'emploi",Intégrateur Web,Paris,"Notre état d’esprit :
Depuis 2010, l’agence VNC online accompagne ses clients au quotidien sur des missions d’expertise digitale. L’objectif de l’agence est de développer l’ensemble de ses clients, en fonction de la stratégie de communication mise en place par ce dernier.
1ère agence spécialisée dans l’accompagnement sur les Marketplaces, VNC online dispose à ce jour d’une forte expertise dans différents leviers marketing (Marketplaces, Google Shopping, Comparateurs,…).
Vous souhaitez travailler pour des clients prestigieux dans un environnement start-up, sur des leviers d’actualité ? Alors postulez !
Missions : Vous serez en charge d'un portefeuille de clients que vous devrez accompagner et développer sur les Marketplaces et les Comparateurs de prix (dont Google Shopping).
Audit webmarketing
Mise en conformité des catalogues produits
Configuration et lancement des campagnes
Reporting et analyse des résultats
Recommandations clients et optimisations des résultats
Animation commerciale
Accompagnement quotidien des clients
Utilisation des outils de feed management/intégrateur (Lengow, Shoppingflux…)
Leviers marketing : Marketplace (Places de marché), Comparateurs, Google Shopping
Profil
Très bonne maitrise d’Excel et gestion du pack office
Connaissance web obligatoire
Autonomie et organisation
Dynamisme et esprit startup
Solides qualités rédactionnelles, relationnelles et analytiques
Bon niveau d’anglais
Environnement familier avec certains formats (CSV, XML, TXT)
Connaissance de Prestashop, Magento et Mirakl est un plus
Connaissance de Lengow et Google merchant center est un plus
Niveau(x) d'études
Bac +5 - Bac +3/+4, Ecole de commerce/marketing/communication ou formation universitaire type Master 2 Marketing
Expérience minimum 1 an
Autres informations
Début du contrat : ASAP
Lieu : Paris 11ème Métro Nation/Alexandre Dumas/Avron
Rémunération : Fixe + variable + tickets restaurants + titre transport.
Type d'emploi : CDI
Type d'emploi : CDI
Expérience:
cdi traffic manager junior marketplace/google shopping ou similaire: 1 an (Souhaité)"
1,https://www.indeed.fr/emplois?q=Int%C3%A9grateur%20Web&l=Paris&radius=100&limit=100&sort=date&vjk=5aa0f8f87f5466b1,"Intégrateur Cybersécurité (H/F)
Atos2,180 avis - Les Clayes-sous-Bois (78)",['Les Clayes-sous-Bois (78)'],Intégrateur Cybersécurité (H/F),Atos,- Les Clayes-sous-Bois (78),null,null,"il y a 4 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Intégrateur Web,Paris,"À propos d’Atos
Atos est un leader international de la transformation digitale avec plus de 110 000 collaborateurs dans 73 pays et un chiffre d’affaires annuel de plus de 11 milliards d’euros. Numéro un européen du Cloud, de la cybersécurité et des supercalculateurs, le groupe fournit des solutions intégrées de Cloud Hybride Orchestré, Big Data, Applications Métiers et Environnement de Travail Connecté. Partenaire informatique mondial des Jeux Olympiques et Paralympiques, le Groupe exerce ses activités sous les marques Atos, Atos Syntel, et Unify. Atos est une SE (Société Européenne) cotée sur Euronext Paris et fait partie de l’indice CAC 40.
La raison d’être d’Atos est de contribuer à façonner l’espace informationnel. Avec ses compétences et ses services, le groupe supporte le développement de la connaissance, de l’éducation et de la recherche dans une approche pluriculturelle et contribue au développement de l’excellence scientifique et technologique. Partout dans le monde, Atos permet à ses clients et à ses collaborateurs, et plus généralement au plus grand nombre, de vivre, travailler et progresser durablement et en toute confiance dans l’espace informationnel.

Vous aurez pour missions de :

Participer à la définition des architectures techniques sécurisées pour des réponses commerciales : En comprenant le besoin exprimé par le client, en précisant les aspects techniques (à travers des ateliers techniques) et en construisant en équipe la solution globale
Intervenir lors des phases de spécifications projet : En participant aux ateliers techniques d'étude et de conception de la solution avec le client et les experts des tiers éditeurs et partenaires
Construire et délivrer la solution : En contribuant avec l'équipe d'intégrateur, sous la responsabilité d'un chef de projet, à la construction (installation, configuration, paramétrage) de la solution étudiée, en définissant et en exécutant le plan de tests, en analysant les défauts de la solution et en proposant des solutions de contournement
Encadrer les collaborateurs juniors sur les prestations d'intégration. Les accompagner dans la mise en oeuvre des solutions. Organiser et participer à la préparation des ateliers techniques (mentoring).
Supporter les administrateurs des solutions dans le cadre de la cellule de support

Profil

Diplômé(e) d'un BAC+4/5, école d'ingénieur ou cycle universitaire équivalent.
Il est souhaité que le candidat ou la candidate présente une ou plusieurs expériences (même minimales) dans le domaine de la sécurité des S.I.
Les profils recherchés sont dynamiques et volontaires, prêts à suivre plusieurs formations. La pratique de la langue anglaise est un réel plus étant donné que la plupart de nos clients/partenaires nécessitent des échanges en langue anglaise.
Des déplacements ponctuels sont à prévoir (France & International).

Compétences techniques de base :
Réseau TCP/IP, routage, VPN
Système Windows/Linux
Architecture de sécurité réseau (segmentation nord/sud – est/ouest)
Sécurisation de poste de travail/terminaux mobiles
Technologies d’annuaires (LDAP/AD) + PKI

Compétences techniques spécifiques (au moins 4) :
Certifications : CISSP / ISO 2700X
Normes / Exigences : GDPR / LPM / NIS
Protection périmétriques : Firewall NG / WAF / VPN SSL-IPSEC
Proxy Web & Messagerie
Solutions de protection des services Cloud
Sondes (IDS/IPS) / Scanner de vulnérabilités
Infrastructures de répartition de charge + QoS
Protection des postes (chiffrement/contrôle d’accès/MDM)
Protection des données (marquage, classification, lutte contre l’exfiltration)
Sécurité des accès (IAM/SSO/2FA)
Solutions de supervision de la sécurité : SIEM
Solutions de protection contre les APT

Respect de la confidentialité : le poste nécessitant l’accès à des informations pouvant relever du secret de la Défense Nationale, des habilitations de type « Confidentiel Défense » et/ou « Secret Défense » pourront être requises.

En fonction des compétences et des aptitudes du candidat, une évolution vers le poste d'architecte ou de chef de projet sur des périmètres limités est envisageable.

INFORMATIONS ADDITIONNELLES :
Chez Atos la diversité est au cœur de notre politique RH. C'est pourquoi Atos a mis en place un accord relatif à l’égalité professionnelle entre les hommes et les femmes. Par ailleurs, nos métiers sont tous accessibles aux personnes en situation de handicap, et ce quelle que soit la nature de leur handicap."
2,https://www.indeed.fr/emplois?q=Int%C3%A9grateur%20Web&l=Paris&radius=100&limit=100&sort=date&vjk=409a23595507f3e8,"(Stage) Développeur junior Salesforce (H/F)
Isochronix - Paris 2e (75)","['Paris 2e (75)', 'Stage, Apprentissage']",(Stage) Développeur junior Salesforce (H/F),Isochronix,- Paris 2e (75),"Stage, Apprentissage",null,"il y a 1 heure
Signaler cette offre d'emploi",Intégrateur Web,Paris,"Isochronix recherche un développeur Salesforce disponible dès que possible pour un stage conventionné d’une durée de 6 mois.
Contexte
Isochronix est un intégrateur Salesforce spécialisé en Web & Digital. L’entreprise a été fondée par ses deux associés avec un objectif en tête : offrir à des sociétés jeunes et innovantes une expérience du consulting qui leur ressemble. Ce positionnement nous a permis d'accompagner des sociétés aux projets très diversifiés comme Cdiscount, Rakuten, Parrot, Voyage Privé, Oxatis, Shopmium, La Redoute et bien d'autres.
Description de la mission
En tant qu’expert technique auprès de nos clients, vous interviendrez sur les missions suivantes :
Recueil des besoins clients et cadrage
Rédaction des cahiers des charges et des spécifications fonctionnelles
Paramétrage et développement front-end et back-end
Tests et exécution des recettes utilisateurs en accord avec les attentes clients
Support et formation utilisateurs
Compétences attendues
Développement : Javascript, Java, CSS, HTML, SQL
Capacité à comprendre les problématiques fonctionnelles métiers de nos clients
Bonne compréhension des principes de modélisation de données
Gestion de projet en mode agile
Anglais courant
Compétences appréciées
La connaissance du modèle technologique Salesforce
Visualforce, Apex, Composants Lightning, Process Builder, Flows
AngularJS, NodeJS
Profil recherché
Bac +4/+5 ou jeune diplômé
Première expérience réussie en entreprise sur des projets SI ou d’intégration
Autonomie, rigueur, aptitude à travailler en équipe, sens du client
Pourquoi nous choisir ?
Ambiance start-up dans une entreprise jeune et dynamique en pleine croissance
Challenges quotidiens et missions aux problématiques variées : chez nous, vous ne servirez pas le café !
Locaux situés dans le 2eme arrondissement de Paris
Tickets restaurants pour profiter des meilleurs restaurants
Rémunération selon profil
Embauche possible à la fin du stage
Type d'emploi : Stage, Apprentissage"
3,https://www.indeed.fr/emplois?q=Int%C3%A9grateur%20Web&l=Paris&radius=100&limit=100&sort=date&vjk=a9435d5b0628d8db,"Integrateur / developpeur front - H/F (CDI)
Showroomprive.com58 avis - Saint-Denis (93)","['Saint-Denis (93)', 'CDI']",Integrateur / developpeur front - H/F (CDI),Showroomprive.com,- Saint-Denis (93),CDI,null,"Viadeo - il y a 12 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Intégrateur Web,Paris,"Dans le cadre de notre développement, nous recherchons un Intégrateur / Développeur Front qui interviendra sur l'intégration de maquettes graphiques pour les différents projets Front.
Vos missions seront les suivantes :
Intégrer et développer de nouveaux composants pour notre site web
Participer à part entière à l'amélioration technique du projet (architectures, bonnes pratiques, technos, etc)
Garantir la cohérence entre les différents outils de Back-OfficeVous travaillerez en étroite collaboration avec les Développeurs, UI/UX Designers et clients internes, et contribuerez à apporter votre support sur des projets Back Office.

Vous serez partie prenante de la DSI et au coeur des problématiques UI/UX."
4,https://www.indeed.fr/emplois?q=Int%C3%A9grateur%20Web&l=Paris&radius=100&limit=100&sort=date&vjk=6af12445f85dc36c,"UX designer/Intégrateur HTML (emails + pages statiques) F/H
CIORANE - Paris 3e (75)","['Paris 3e (75)', 'CDI']",UX designer/Intégrateur HTML (emails + pages statiques) F/H,CIORANE,- Paris 3e (75),CDI,null,"Apec.fr - il y a 20 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Intégrateur Web,Paris,"Notre client recherche pour renforcer son équipe CRM (Solution Marketing et Communication) un(e) Designer/Intégrateur Emailing, expérimenté (e) et autonome, pour l’accompagner sur la bonne mise en œuvre de nouveaux projets autour de la création et la personnalisation de contenus ainsi que l’amélioration de leurs campagnes emailing.

Au sein d’une équipe d’une vingtaine de personnes, travaillant en méthodologie agile, le (la) Designer/Intégrateur (trice)aura pour mission de concevoir, intégrer et maintenir les solutions utilisées mondialement (plus de 50 pays) dans les domaines suivants :

Communication Marketing nationale (Expert Comm.) (Solution du marché : Salesforce/Ysance)
Communication Marketing locale (par les vendeurs en magasin) (Solution Maison)
Communication transactionnelle/de service (par les applications) (Solution Maison)
Objectifs de la mission et tâches :
En parfaite synergie avec le Product Owner, Le Tech Lead et le Scrum Master, le(la) Designer/Intégrateur (trice) Emailing assurera l’évolution de différentes solutions.
Profil recherché :
Parfaitement autonome, le(la) candidat (e) devra faire preuve de compréhension du besoin et de capacité à concevoir et développer des solutions techniques en réponses aux besoins fonctionnels exprimés par le Product Owner. Le (la) postulant(e) sera force de propositions techniques et organisationnelles, et assurera aussi des phases de R&D !
Compétences techniques Indispensables :
Parfaite gestion du design d’interface, UX design et Design System
HTML : niveau expert
CSS : maîtrise
Bonne maîtrise de Sketch
Connaissance des bonnes pratiques de l’intégration HTML/CSS dans des e-mails.
Serait un plus :
Maitrise du JavaScript (front et serveur)
Utilisation d’Invision
Optimisation, compression, industrialisation du code HTML/CSS via des scripts Node
Profil recherché De Formation : Bac +4/5, Ecole d’ingénieur ou université spécialisée en informatique.

Le profil attendu est celui d’un(e) UX Designer/Intégrateur (trice) Web ayant au moins 5 ans d’expérience, dont plusieurs années dans un contexte Emailing.

Il/Elle devra être capable de prendre de la hauteur sur les sujets confiés et assurer efficacement les phases de R&D.

Il/Elledevra être autonome et force de proposition techniques et organisationnelles

Il/Elle recherche impérativement un CDI à temps plein, et est administrativement en mesure de travailler sur le territoire.
Entreprise CIORANE a été créée en 1996. Outre son activité classique de SSII, Ciorane a une activité « sociale » inscrite dans son ADN depuis sa fondation. Notre modèle repose sur le concept d’employabilité. Il s’agit d’accompagner les informaticiens au chômage vers l’acquisition continue de compétences au niveau technique. In fine, ces derniers en acquérant une réelle expertise améliore significativement leur employabilité."
5,https://www.indeed.fr/emplois?q=Int%C3%A9grateur%20Web&l=Paris&radius=100&limit=100&sort=date&vjk=e4509b41285c15ad,"Intégrateur d’exploitation F/H
Informatique CDC3 avis - Arcueil (94)","['Arcueil (94)', 'CDI']",Intégrateur d’exploitation F/H,Informatique CDC,- Arcueil (94),CDI,null,"Apec.fr - il y a 20 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Intégrateur Web,Paris,"Nous recherchons notre Intégrateur d’exploitation au sein l’équipe Applications Unix et ERP sur notre site Arcueil.

L’équipe, composée de 10 personnes, a en charge l’exploitation des applications critiques utilisées par les différentes directions de la Caisse des Dépôts et Consignations (Banque et Numéraire, Investisseur, Prêts, RH).

Vos principales missions consisteront à :
Réaliser l’intégration de nouvelles applications dans le SI. A ce titre vous effectuez notamment l’installation et la configuration des solutions progicielles ou spécifiques, vous proposez les solutions techniques en cohérence avec les normes et exigences d’exploitation

Apporter votre expertise aux différents interlocuteurs impliqués dans le cycle de vie de l’application

Assurer techniquement la maintenance et l’évolution des différentes applications, vous prenez part aux analyses d’impact des changements et préparez les mises en production

Vous vous assurez de la disponibilité et du bon fonctionnement des applications au quotidien

Développer et maintenir les outils d’administration de l’équipe et participer à la prise en charge et à la réalisation des projets d’industrialisation et DevOps
Profil recherché Diplômé de Bac +2 à BAC +5, vous disposez de 2 années d’expérience minimum en exploitation applicative.

Pour appréhender au mieux ce poste, vous maîtrisez les environnements Unix/Linux, vous connaissez le Scripting (shell, Python), un ordonnanceur de traitements (ControlM par exemple). Vous connaissez les technos web (entre autres Apache, PHP ou J2EE), les systèmes de base de données telles que Mysql, Postgresql Orale ou MongoDB.

Vous saurez également faire preuve de rigueur, d’aisance relationnelle, de sens du service, d’amélioration continue, de capacité d’adaptation et d’autonomie.

Nous serons à vos côtés pour étudier ensemble votre projet professionnel et accompagner votre montée en expertise.
Entreprise Informatique CDC est un opérateur global de services informatiques et de transformation numérique, filiale IT de la Caisse des Dépôts. Sa mission d'intérêt général est d'accompagner les acteurs publics, de garantir la sécurité, l'intégrité et le développement technologique des Systèmes d'information de ses clients. ICDC dispose d'un savoir-faire éprouvé en matière de SI depuis près de 60 ans, la compétence technologique et la capacité d'innovation sont l'ADN de sa culture d'entreprise. La transparence et l'engagement sont les valeurs partagées par l'ensemble des collaborateurs, des femmes et des hommes investis qui en font sa richesse."
6,https://www.indeed.fr/emplois?q=Int%C3%A9grateur%20Web&l=Paris&radius=100&limit=100&sort=date&vjk=efa1a8c41d25a913,"Directeur technique de projet digitaux
L'Oreal2,371 avis - Clichy (92)",['Clichy (92)'],Directeur technique de projet digitaux,L'Oreal,- Clichy (92),null,null,"il y a 18 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Intégrateur Web,Paris,"CONTEXTE
Notre équipe, au sein de l’IT Global / Business Solutions conçoit, fait évoluer et maintien en condition opérationnelle une trentaine d’applications digitales pour le groupe L’Oréal dans le monde. Nous avons récemment diversifié l’activité pour prendre en charge des projets de sites Internet. Ces derniers sont des vitrines essentielles pour le groupe L’Oréal. La diversification de l’activité, des enjeux, des méthodologie et technologie employées et les nouveaux projets digitaux en cours à venir dans l’équipe sont autant de raison qui nous poussent à étendre nos compétences.
L’Oréal cherche à se faire accompagner pour mener à bien ces projets, par un candidat à même:
De superviser la conduite de nos projets agile
D’anticiper l’ensemble des sujets techniques à mettre sous contrôle pour réussir un projet de ce type
D’être un interlocuteur à même de faire le lien entre les équipes d’expertise technique, les équipes d’intégration et les métiers.
Une expertise générale des sujets liés à la mise en ligne de plateforme digitales est indispensable (DNS, WAF, SAML Auth, SEO, Analytics, diagnostic de performance web, Acquia cloud platform, Drupal 8).

MISSION / RESPONSABILITES CLES DE LA FONCTION
A l’IT Global, sous la responsabilité du responsable du domaine applicatif, dans un environnement multi-projets, les principales tâches seront :
Dans les phases de build :
Etablissement de spécifications techniques détaillées à partir d’un besoin métier
Supervision des rituels agile pilotés par les intégrateurs
Gestion des lignes techniques des backlogs projets
Détermination, et résolution des pré-requis techniques au go-live projet
Réception, validation technique et déploiement des livrables
Dans les phases de run :
Contribution au diagnostic et à la résolution des incidents techniques
Suivi des indicateurs
Participation à conception et au pilotage du dispositif de run
En toute circonstance, s’assure que ces applications sont conformes à la politique Sécurité du Groupe et aux règles de fonctionnement des Infrastructures Groupe.

COMPETENCES TECHNIQUES
Expérience : 10 ans
Expertise technique indispensable: Méthodologie Agile, Sites Internet (Drupal), DNS, WAF, SAML Authentication, Web design & adaptative design, video streaming, SEO, Statistics.
Connait bien le Digital et son environnement technique. Est capable d’assister ou de conduire un diagnostic technique sur incident de production web.
Expertise fonctionnelle souhaitée : marketing & communication digitale

QUALITES

Une bonne connaissance technique des CMS Internet et de leur mise en œuvre
Expérience significative en grand compte sur des projets ou de l’exploitation technique de sites internet mondiaux
Un niveau d'anglais permettant de travailler à l'international
Communiquant, esprit d’équipe
Curieux techniquement, apporte des solutions innovantes
Bonne écoute
Sens du service
Sens de l’organisation
Ouvert, bon contact
Sait à la fois parler le langage des utilisateurs et des experts techniques"
7,https://www.indeed.fr/emplois?q=Int%C3%A9grateur%20Web&l=Paris&radius=100&limit=100&sort=date&vjk=ffbc598408889d95,"Intégrateurs UI F/H
Informatique CDC3 avis - Arcueil (94)","['Arcueil (94)', 'CDI']",Intégrateurs UI F/H,Informatique CDC,- Arcueil (94),CDI,null,"Apec.fr - il y a 20 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Intégrateur Web,Paris,"Rejoignez une société en pleine transformation numérique et digitale ! Participez à l’un des deux grands projets du moment :

Le Compte Personnel Formation (CPF) - La Caisse des dépôts devient en 2020 l’unique gestionnaire du CPF.

La Banque des Territoires (BDT) – La BDT accompagne les acteurs de tous les territoires dans l’élaboration et le déploiement de projets d’avenir innovants, audacieux et ambitieux, au bénéfice de toutes les populations.

Envie de relever ces challenges avec nous ? Envie de changement ? Nous recherchons plusieurs « Intégrateurs UI» au sein de l’entité « Etudes informatiques » d’Arcueil.

Rattaché à l’équipe communication WEB chargé du développement des sites intranet et internet de communication de la CDC (principalement en Drupal), vous serez amené à participer à l’intégration graphique de ces sites mais également à celle des sites applicatifs développés en Java/angular par les autres équipes de développement.

Nous saurons vous offrir des possibilités de formation, la participation à une communauté de développeurs, des méthodes éprouvées et agiles

Vos principales missions consisteront à :
Participer à l’élaboration des offres

Contribuer à la conception et la réalisation du produit

Expertiser l’accessibilité des sites et leur caractère responsive

Suivre les bonnes pratiques et accompagner des intégrateurs externes si besoin sur les différents projets

Garantir l’efficience et l’innovation de la solution

Mettre en œuvre les actions nécessaires à l’optimisation des systèmes ou dispositifs en place
Profil recherché De formation Bac+2 minimum, vous pouvez justifier d’une expérience de plus de 5 ans en intégration dont 3 ans dans l’intégration Drupal et Angular

Pour appréhender au mieux ce poste, vous avez une bonne culture informatique et vous maîtrisez :

le theming Drupal (7 et 8), organisez les fichiers js, css, tpl/twig

JS, GIT, Jquery, LESS et SASS et Bootstrap3 et 4

les conventions HTML5, le responsive design, la conception de version de site full-mobile et l’optimisation du code dans ce sens

le RGAA (2 et 3) et appliquez les principes d’accessibilité

Vous souhaitez participer à une aventure technique en équipe ?

Vous saurez également faire preuve d’autonomie, de capacité d’adaptation (au changement d’organisation, de priorités ou de technologie) et de réactivité. Vous aimez travailler en équipe dans un cadre Agile. Vous êtes capable d’anticiper les risques et de remonter des alertes si nécessaire.

Nous serons à vos côtés pour étudier ensemble votre projet professionnel et accompagner votre montée en expertise.
Entreprise Informatique CDC est un opérateur global de services informatiques et de transformation numérique, filiale IT de la Caisse des Dépôts. Sa mission d'intérêt général est d'accompagner les acteurs publics, de garantir la sécurité, l'intégrité et le développement technologique des Systèmes d'information de ses clients. ICDC dispose d'un savoir-faire éprouvé en matière de SI depuis près de 60 ans, la compétence technologique et la capacité d'innovation sont l'ADN de sa culture d'entreprise. La transparence et l'engagement sont les valeurs partagées par l'ensemble des collaborateurs, des femmes et des hommes investis qui en font sa richesse."
8,https://www.indeed.fr/emplois?q=Int%C3%A9grateur%20Web&l=Paris&radius=100&limit=100&sort=date&vjk=be482d18a929bb10,"Team Leader Sécurité Opérationnelle F/H
SP SEARCH - Courbevoie (92)","['Courbevoie (92)', 'CDI']",Team Leader Sécurité Opérationnelle F/H,SP SEARCH,- Courbevoie (92),CDI,null,"Apec.fr - il y a 20 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Intégrateur Web,Paris,"Société

Opérateur français leader et doté d’un système de traitement des plus sophistiqués au sein des groupes financiers, ayant une activité hautement sensible et très exigeante en matière d’ingénierie et de savoir-faire.

Le poste

Le Team Leader de la Sécurité Opérationnelle est le garant de la mise en œuvre opérationnelle de la sécurité des Systèmes d'Information pour l'ensemble du SI.

Maintenir en condition de sécurité le SI :
Réaliser la veille et le contrôle du niveau de sécurité des composants du SI
Piloter la gestion des patches en relation avec les équipes de développement, intégration et production
Gérer les comptes :
Définir les processus et moyen des gestions des comptes à privilège et gérer les coffres de secrets
Gérer les comptes des annuaires portés par les annuaires du SI et industrialiser cette gestion.
Contrôler et traiter la sécurité :
Effectuer et industrialiser les contrôles de sécurité de niveau 1 dans le SI
Sensibiliser "" techniquement "" les équipes opérationnelles sur les besoins de sécurité
Suivre et/ou piloter la mise en œuvre de traitements de sécurité
Gérer et industrialiser les inventaires liés à la sécurité
Gérer des incidents de sécurité :
Effectuer une veille sécuritaire sur les incidents de sécurité et leur traitement
Contribuer à la définition des règles de surveillance de sécurité (SIEM, IDS/IPS, etc.) et les configure dans le SI
Qualifier et participer aux traitements des incidents de sécurité
Administrer et maintenir certains logiciels et matériels de sécurité du SI.
Team Lead :
Organiser l'activité d'un ou plusieurs ingénieurs et/ou techniciens dans le cadre d'un projet et/ou dans l'activité récurrente
Effectuer le suivi et l'intégration selon les règles de sécurité, et les impératifs de production (quantité, délai, qualité, coût, ...).
Contrôler le fonctionnement des environnements et apporte un appui voir une capacité technique.
Etre le garant technico-fonctionnel des livrables et des architectures SI
Identifier les caractéristiques et planifier les étapes d'intégration de chacun des projets (build et récurrent)
Identifier les environnements et équipements appropriés
Répartir et affecter les activités entre les compétences
Effectuer ou contrôler les paramétrages et livrables
Analyser les données d'activité, les dysfonctionnements de la production et préconiser les actions correctives
Présenter et mettre en œuvre des actions d'amélioration et de veille technologique
Coordonner et planifier des interventions de maintenance selon les impératifs de production
Former les compétences à des procédures et suivi de production
Assurer le reporting régulier et formalisé des activités projets auprès du responsable du département
Valoriser les charges et besoins projets auprès du management DOP
Piloter des fournisseurs et intégrateurs
Profil recherché Issu(e) d'une formation d'ingénieur ou équivalent universitaire, vous avez une très bonne connaissance des technologies liées à la sécurité des systèmes d'information et aux réseaux, outils et processus de défense d'entreprise et d'attaques cyber mais aussi les outils de sécurité classiques (déploiement des mises à jour, scanners de vulnérabilités, antivirus, corrélation dévènements)

Vous avez une 1ere expérience professonnelle en sécurité SI de 5 ans minimum et avaez une culture SIEM.
Entreprise SP SEARCH est un cabinet de chasse de têtes spécialisé depuis 2003 dans le recrutement de compétences évoluant dans les métiers du Web, de l’Informatique, de la sécurité, du Digital, du Big Data et Call Center.

Nous accompagnons nos clients Français et Étrangers dans la recherche, la sélection, l’intégration et le développement de Cadres, Cadres-dirigeants, Experts techniques, Ingénieurs, Fonctions commerciales et Support. Expert dans les enjeux du digital et de l’IT, une excellente maîtrise des environnements techniques et des cultures d’entreprises en France comme à l’international. Un savoir faire dans la sélection et l’accompagnement d’équipes start’up."
9,https://www.indeed.fr/emplois?q=Int%C3%A9grateur%20Web&l=Paris&radius=100&limit=100&sort=date&vjk=0e8cfc6ccdd434fc,"Développeur Logiciel (H/F)
Lynx RH26 avis - Pontoise (95)","['Pontoise (95)', 'CDI', '38 000 € - 45 000 € par an']",Développeur Logiciel (H/F),Lynx RH,- Pontoise (95),CDI,38 000 € - 45 000 € par an,"il y a 21 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Intégrateur Web,Paris,"Lynx RH Val d'Oise, cabinet de recrutement en CDI, CDD, Intérim, recherche pour l'un de ses clients, concepteur et intégrateur de solutions informatiques, un Développeur Logiciel (H/F), basé sur Pontoise 95.

Aujourd'hui, Lynx RH Val d'Oise est fier d'accompagner ce client final développeur de logiciels, dans son recrutement d'un Développeur Logiciel H/F, afin de répondre à leur forte croissance.

L'objectif du poste est d'intégrer directement l'équipe technique afin de participer à la conception, à la réalisation et la customisation de nouvelles solutions applicatives pour leurs clients (en C# / .Net principalement, mais également en Windev, JAVA) interconnectées via des web-services (REST) aux infrastructures de leurs clients.

Vos talents seront sollicités entre autre sur les tâches suivantes :

Analyse des besoins clients et formalisation du cahier des charges fonctionnel et technique ;
Définition de la solution dans le respect des contraintes techniques, budgétaires et humaines ;
Développer, intégrer et adapter la solution auprès de vos clients ;
Elaborer et mettre en oeuvre les plans de tests unitaires et d'intégration ;
Coordonner et suivre les phases de recettes, paramétrages et mises en production.
Profil recherché :
De formation Bac+2 à Bac+5, en informatique. Vous bénéficiez d'une expérience significative en programmation orientée objet et capable de monter rapidement en compétence sur de nouvelles technologies si vous ne les connaissaez pas déjà (C#, .Net, Windev, JAVA).

Votre curiosité, votre capacité d'adaptation ainsi que votre polyvalence sont reconnues par vos clients et employeurs.

Nous parlons de vous ? vous vous sentez prêt à donner un nouvel élan à votre carrière ?
Contactez-nous !"
