,id,meta1,meta2,titre_poste,entreprise,localisation,contrat,salaire,date_publication,keyword_metier,keyword_localisation,description
0,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20web&l=Paris&radius=100&limit=100&sort=date&vjk=01a6366b21979ce2,"Stagiaire développeur web H/F
Ayctor - Paris 15e (75)","['Paris 15e (75)', 'Temps plein, Stage', '554 € par mois']",Stagiaire développeur web H/F,Ayctor,- Paris 15e (75),"Temps plein, Stage",554 € par mois,"il y a 1 heure
Signaler cette offre d'emploi",Développeur web,Paris,"Ayctor est une agence digitale full services, créée en 2008 , basée dans le 15ème arrondissement de Paris, qui a pour vocation de développer la performance digitale de ses clients aux travers des nouveaux enjeux de communication, de marketing et d’innovation.
Nos expertises :
UX/UI, Social Media, Campagnes d’acquisition, SEA
Outils internes, Refonte / Création de site
Développement, SEO
Pour cela, son équipe pluridisciplinaires met ses compétences au service de ses clients. Faciliter la mise en œuvre et la pérennité des différents projets : sites internet, campagnes Facebook, Adwords, emailing, acquisition de trafic, applis, landing pages, digitalisation des outils et process, espace client, lancement programmes. Ils accompagnent leurs clients depuis la réflexion jusqu’au déploiement, en passant par une réflexion créative et le choix de technologies pour proposer des expériences digitales utiles pour les marques.
Descriptif du poste
Analyse de spécifications fonctionnelles.
Développement de nouvelles fonctionnalités Front-End & Back-End.
Recette des développements et mise en production.
Veille constante des évolutions PHP, des différents outils utilisés et des librairies open-source.
Reporting sur les actions menées.
Vous intégrez une équipe de 6 développeurs et collaborez avec les autres membres de l’agence (DA, CDP). Le poste est à pourvoir dès que possible pour une durée de 4 à 6 mois (rémunération selon profil).
Embauche en CDI en fin de stage s’il est concluant.
Profil recherché
Vous êtes autonome, dynamique et vous aimez le travail en équipe
Curieux (se) des dernières technologies et solutions.
Vous aimez les petites structures dynamiques (âge moyen 28 ans) et êtes force de proposition.
Compétences techniques
Les incontournables : HTML / CSS (SASS) / JS, PHP, MySQL, WordPress ou Laravel.
Les plus : gestion de serveur linux, GIT et autres technos web (CMS, Symfony, React, Vue, nodejs, …).
Avantages :
Participation au transport
Type d'emploi : Temps plein, Stage
Salaire : 554,40€ /mois
Expérience:
développeur web: 1 an (Souhaité)"
1,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20web&l=Paris&radius=100&limit=100&sort=date&vjk=9cf39124cff704d4,"Concepteur développeur en alternance H/F
Atos2,180 avis - Bezons (95)","['Bezons (95)', 'Apprentissage, Contrat pro']",Concepteur développeur en alternance H/F,Atos,- Bezons (95),"Apprentissage, Contrat pro",null,"il y a 4 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur web,Paris,"About Atos
Atos is a global leader in digital transformation with over 110,000 employees in 73 countries and annual revenue of over € 11 billion. European number one in Cloud, Cybersecurity and High-Performance Computing, the Group provides end-to-end Orchestrated Hybrid Cloud, Big Data, Business Applications and Digital Workplace solutions. The group is the Worldwide Information Technology Partner for the Olympic & Paralympic Games and operates under the brands Atos, Atos Syntel, and Unify. Atos is a SE (Societas Europaea), listed on the CAC40 Paris stock index.
The purpose of Atos is to help design the future of the information technology space. Its expertise and services support the development of knowledge, education as well as multicultural and pluralistic approaches to research that contribute to scientific and technological excellence. Across the world, the group enables its customers, employees and collaborators, and members of societies at large to live, work and develop sustainably and confidently in the information technology space.
L'expérience client devient un facteur de différenciation sur le marché : en 2020, l'expérience sera plus importante que le produit et le prix. Les données constituent la ressource essentielle pour tous les outils nous permettant de numériser les points de contact avec nos clients. Les données alimentant notre écosystème numérique impactent directement nos clients (pertinence, exhaustivité, qualité).

Nous recherchons un architecte de données de produit capable de créer des informations produit plus intelligentes pour les plateformes Web / de commerce électronique afin de livrer et de vendre des produits à nos clients (B2C) et partenaires (B2B), en sélectionnant les spécifications marketing et techniques pertinentes des informations de données de produit.
Les produits CVC et systèmes de commande d'éclairage, les compteurs d'énergie pour le contrôle de l'efficacité énergétique et la surveillance de la consommation, les contrôleurs pour l'automatisation des bâtiments et les logiciels constituent le portefeuille de l'activité Ecobuilding.
MISSION
Votre catalogue électronique de produits Ecobuilding sera votre priorité : structurez les attributs du produit dans une base de données de haute qualité décrivant, maintenez la taxonomie (catégorisation de ces produits via la base de données et le Web), améliorez l’organisation des offres de produits sur plusieurs sites. Les plates-formes numériques et les outils de marketing destinés aux utilisateurs finaux, tels que les sélecteurs de produits (expérience produit), utilisent la base de données de la solution PIM (Product Information Management) pour gérer et syndiquer les données produit dans les serveurs frontaux.
Collaboration avec les équipes de marketing de l'offre pour fournir le contenu produit adéquat de notre portefeuille dans les délais appropriés, améliorant ainsi l'expérience client sur le Web.
RESPONSABILITÉS
Création de catégories de produits, de taxonomies et de contenus pour Schneider eCatalogue / eCommerce.
Construire et enrichir le modèle de données de produit dans PIM en assurant l'alignement sur les règles de structuration de données définies par la communauté de gouvernance DCX / IPO conformément au dictionnaire SE PIM (normes SE).
Enrichissez les données dans le PIM pour les distributeurs en utilisant la classification de normes externes appropriée (ETIM, eCl @ ss… ).
Informez les responsables des offres marketing de l'impact de la taxonomie ou des changements d'attributs et proposez des demandes de changement.
Acquérir des données provenant de sources de données primaires (entrées des gestionnaires d'offre, Catalogues, Brochures, Manuels de l'utilisateur) ou secondaires validées et gérer des bases de données / systèmes de données.
Travail quotidien avec une équipe multidisciplinaire et un processus visant à optimiser la taxonomie spécifique au Web et, finalement, expérience globale de la navigation et de la sélection d'un produit, notamment :
Représentation à partir d'informations sur le produit, de merchandising et du cycle de vie du produit.
Équilibrez les délais, les partenaires commerciaux, le travail et les priorités du projet.
Collaborer avec les responsables des offres marketing pour améliorer la manière de présenter le contenu des offres sur le Web, en aidant le client à comprendre les fonctionnalités et la configuration du produit.
Remarque importante : les compétences « appréciées » ne sont pas obligatoires en particulier chez les alternants.

Chez Atos la diversité est au cœur de notre politique RH. C'est pourquoi Atos a mis en place un accord relatif à l’égalité professionnelle entre les hommes et les femmes. Par ailleurs, nos métiers sont tous accessibles aux personnes en situation de handicap, et ce quelle que soit la nature de leur handicap."
2,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20web&l=Paris&radius=100&limit=100&sort=date&vjk=1beca374450901e4,"Développeur web full stack H/F
Europrocurement - Paris (75)","['Paris (75)', 'CDI']",Développeur web full stack H/F,Europrocurement,- Paris (75),CDI,null,"il y a 2 heures
Signaler cette offre d'emploi",Développeur web,Paris,"Legal2Digital regroupe plusieurs titres de presse économique et juridique régionaux proposant des services dans les domaines de la publicité légale, des formalités, des ventes par adjudication et des appels d’offres.
Nous éditons 11 hebdomadaires, gérons une vingtaine de sites internet et développons en permanence nos applications métier. Pour venir renforcer notre équipe, nous recherchons un développeur web PHP H/F dynamique et passionné.
Principales missions
- Développement de solutions web pour nos activités,
- Amélioration des outils internes,
- Participer aux phases de recette,
- Veille technologique pour faire évoluer les techniques et process de développement.
Votre profil
- Vous bénéficiez au minimum de 2 années d'expérience en développement web,
- Vous maîtrisez entre autres PHP / SYMFONY / SASS / CSS / JQUERY / SOAP-REST / SQL Server (TSQL) / MySQL,
- Vous êtes un développeur full-stack à l'aise en développement ""from scratch"",
- Tourné vers l'amélioration continue, vous êtes sensible aux nouvelles méthodes de développement.
Votre lieu de travail sera situé à Paris (rue Pondichéry) possibilité de télé-travail.
Le salaire sera soumis à discussion selon profil.
Type d'emploi : CDI
Expérience:
développeur web full stack h/f ou similaire: 2 ans (Souhaité)"
3,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20web&l=Paris&radius=100&limit=100&sort=date&vjk=409a23595507f3e8,"(Stage) Développeur junior Salesforce (H/F)
Isochronix - Paris 2e (75)","['Paris 2e (75)', 'Stage, Apprentissage']",(Stage) Développeur junior Salesforce (H/F),Isochronix,- Paris 2e (75),"Stage, Apprentissage",null,"il y a 1 heure
Signaler cette offre d'emploi",Développeur web,Paris,"Isochronix recherche un développeur Salesforce disponible dès que possible pour un stage conventionné d’une durée de 6 mois.
Contexte
Isochronix est un intégrateur Salesforce spécialisé en Web & Digital. L’entreprise a été fondée par ses deux associés avec un objectif en tête : offrir à des sociétés jeunes et innovantes une expérience du consulting qui leur ressemble. Ce positionnement nous a permis d'accompagner des sociétés aux projets très diversifiés comme Cdiscount, Rakuten, Parrot, Voyage Privé, Oxatis, Shopmium, La Redoute et bien d'autres.
Description de la mission
En tant qu’expert technique auprès de nos clients, vous interviendrez sur les missions suivantes :
Recueil des besoins clients et cadrage
Rédaction des cahiers des charges et des spécifications fonctionnelles
Paramétrage et développement front-end et back-end
Tests et exécution des recettes utilisateurs en accord avec les attentes clients
Support et formation utilisateurs
Compétences attendues
Développement : Javascript, Java, CSS, HTML, SQL
Capacité à comprendre les problématiques fonctionnelles métiers de nos clients
Bonne compréhension des principes de modélisation de données
Gestion de projet en mode agile
Anglais courant
Compétences appréciées
La connaissance du modèle technologique Salesforce
Visualforce, Apex, Composants Lightning, Process Builder, Flows
AngularJS, NodeJS
Profil recherché
Bac +4/+5 ou jeune diplômé
Première expérience réussie en entreprise sur des projets SI ou d’intégration
Autonomie, rigueur, aptitude à travailler en équipe, sens du client
Pourquoi nous choisir ?
Ambiance start-up dans une entreprise jeune et dynamique en pleine croissance
Challenges quotidiens et missions aux problématiques variées : chez nous, vous ne servirez pas le café !
Locaux situés dans le 2eme arrondissement de Paris
Tickets restaurants pour profiter des meilleurs restaurants
Rémunération selon profil
Embauche possible à la fin du stage
Type d'emploi : Stage, Apprentissage"
4,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20web&l=Paris&radius=100&limit=100&sort=date&vjk=e8887435768b7938,"Stagiaire graphiste H/F
Trait'Tendance - Issy-les-Moulineaux (92)","['Issy-les-Moulineaux (92)', 'Temps plein, Temps partiel, Stage']",Stagiaire graphiste H/F,Trait'Tendance,- Issy-les-Moulineaux (92),"Temps plein, Temps partiel, Stage",null,"il y a 53 minutes
Signaler cette offre d'emploi",Développeur web,Paris,"Notre société
Depuis 2003, Trait’Tendance, traiteur évènementiel de luxe, réalise chaque année, 500 évènements professionnels et privés : Conférences de Presse, défilés, lancements de produit, diners de gala. Passionnés de gastronomie, nous sourçons les meilleurs pro-duits et travaillons en étroite collaboration avec de nombreux fournisseurs de talent parmi lesquels : Eclair de génie, Petrossian, Jean-Yves Bordier, Ladurée, Maison Con-quet.
Nous recherchons un Stagiaire Graphiste / Webdesigner pour nous aider dans la réalisation de nos projets quotidiens !
Description du poste :
Rattaché(e) directement au pôle communication vous aurez pour missions :
➢ Mise en page de documents techniques en support avec le pôle innovation culinaire. (Cahier des charges/process/fiche technique)
➢ Retouche de photos/vidéos
➢ Création de maquettes d’interfaces web, sites internet et applications.
➢ Participation à la mise en place de projet web en collaboration avec les développeurs et les consultants en SEO
➢ Création de supports visuels de scénographie et de communication de nos principaux évènements.
➢ Création d’illustrations
Projet ""long terme"" à venir : selon vos compétences, nous envisagerons de vous confier la refonte de la charte graphique et sa déclinaison.
Profil recherché :
De formation Graphisme, Webdesign (SRC, BTS graphisme, Bac pro etc.) vous maîtrisez les outils suivants :
➢Toute la suite Adobe (PhotoShop, Illustrator, etc)
➢Excellente connaissance de Indesign
➢Excellente connaissance en retouche photo
➢Des notions des langages HTML & CSS et expérience en UI/UX et enintégration serait un plus
➢Rudiments de montage vidéo (connaissance en photographie appréciée)
➢Vous maitrisez les spécificités du web et du responsive design et en maitrisezles principes.
➢Vous aimez l’environnement start-up et êtes reconnu(e) pour votre aisance àtravailler en équipe. > ➢Vous êtes autonome, mais surtout force de proposition.
➢Vous êtes organisé(e), créatif(ve), réactif(ve), vous savez vous adapter au rythme de travail
➢Vous avez une appétence pour l’univers de la gastronomie et del’évènementiel
Type de contrat : Stage (pas d’alternance)
Lieu : Issy-les-Moulineaux (RER C, Transilien N, Tram 2, Bus)
Salaire affiché : selon profil
Disponibilité : immédiate
Domaine : Evénementiel/Gastronomie
Nos bureaux :
Nous travaillons dans des bureaux modernes et spacieux, dans une ambiance chaleureuse et conviviale. Un chef cuisine pour nous, chaque jour, de délicieux repas !
Contact par mail ou téléphone.
Site internet : http://trait-tendance.com/
Adresse : 141 avenue de Verdun, Chemin des Montquartiers, 92130 Issy-les-Moulineaux
Avantages :
Participation au transport
Type d'emploi : Temps plein, Temps partiel, Stage"
5,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20web&l=Paris&radius=100&limit=100&sort=date&vjk=85fe7fcb874ccab9,"LEAD DEVELOPPEUR (H/F)
DECISION RH - Paris (75)",['Paris (75)'],LEAD DEVELOPPEUR (H/F),DECISION RH,- Paris (75),null,null,"LesJeudis.com - il y a 5 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur web,Paris,"Notre client est le premier groupe immobilier français intervenant sur l’ensemble des métiers de la promotion et des services immobiliers (+ 10 000 collaborateurs).Il connaît une croissance sans précèdent et accélère sa transformation. Dans ce cadre, nous recrutons un Leader Développeur sur la plateforme de Service aux Clients au sein de la Direction Digitale.Rattaché à la Direction Technique des Systèmes d’informations du groupe et au pôle Plateforme de Service aux Clients, vous œuvrerez à créer les expériences digitales d'aujourd'hui et de demain pour tous nos clients : sites web, applications smartphone, réalité virtuelle, vitrines connectées...Plus particulièrement, vous travaillerez sur le projet qui vise à offrir à tous les clients une application mobile iOS/Android pour notamment : - Contrôler les équipements connectés du domicile (volets roulants, chauffage, lumière…) - Faire vivre la résidence autour par exemple d’un système de petites annonces - Etre connecté à la vie du quartier à travers son actualitéVous serez amenés à développer des back-offices robustes et scalables pour servir les milliers de clients du groupe.

Nous recherchons un passionné en mesure de développer rapidement un prototype ou au contraire tout une application industrielle optimisée pour la performance.Une expérience significative dans le développement des backends en Java, en particulier avec Spring BootUne compréhension fine des architectures micro-services et des technologies qui les rendent possible (API, environnements Cloud, CQRS...), AWSLa capacité à travailler dans une équipe colocalisée, composée de développeurs backend, d'ops, d'un product owner et de spécialistes UX dans un environnement agile."
6,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20web&l=Paris&radius=100&limit=100&sort=date&vjk=f4c0db2a83dcccfb,"Développeur Angular (H/F)
CITECH - Paris (75)","['Paris (75)', '37 000 € - 45 000 € par an']",Développeur Angular (H/F),CITECH,- Paris (75),37 000 € - 45 000 € par an,37 000 € - 45 000 € par an,"il y a 7 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur web,Paris,"Job Description

Pour les passionnés du domaine bancaire, nous recrutons notre amazing Développeur Angular (H/F)
Vous êtes un(e) développeur expérimenté et vous avez une réelle appétence pour les technologies web. Evidemment, mordu de technos, vous êtes en veille constante des nouveautés.
Votre rôle est de mettre en place l'architecture applicative orientée client Direct avec un aspect sécurité. Qualité, robustesse et performance du code sont des qualités attendues pour le poste.
A ce titre, vos missions principales seront :
Analyser les besoins
Développement d'applications HTML5/CSS3 avec les Framework ANGULAR et les librairies Material Design.
Le codage et la maintenance de nouvelles fonctionnalités
Test et documentation

Qualifications

De formation minimum Bac+4, vous justifiez d’une expérience de 2 ans minimum sur un poste de Développeur Front-end en développement AGILE.
Vous évoluerez dans un contexte technologique Angular 7+/ HTML5/ CS3S ainsi que RxJS.
Vous maitrisez les environnements techniques NodeJS et REDUX
Vous maitrisez les langages Typescript et ECMAscript 6.
Connaissance du SI MySYS serait un plus

Additional Information

Poste basé à Paris (75)
CDI: 37-45K€
Pourquoi rejoindre Citech ?
Une ambiance de travail conviviale avec des afterworks organisés régulièrement !
Des missions de longues durées
Des formations adaptées à vos envies et vos aspirations
Une mobilité que si vous le souhaitez
Un accompagnement personnalisé avec un suivi régulier (autour d’un café ou un thé, c’est vous qui choisissez )
Une mutuelle avantageuse pour vous mais aussi pour les membres de votre famille
Une flexibilité sur la gestion de vos repas
Un statut Cadre et une convention collective SYNTEC
Alors qu’attendez-vous pour nous rejoindre ?
Company Description
CITECH ce n’est pas une Entreprise de Services du Numérique comme les autres : c’est avant tout une aventure humaine. Nous cherchons des personnalités passionnées qui nous ressemblent ! Dans un environnement convivial et chaleureux, venez révéler vos talents !
Nos fidèles clients, reconnus à l’échelle internationale, offrent à nos collaborateurs de multiples possibilités de carrière. Nos domaines d’interventions sont variés : banque, assurance, automobile, santé, transport ou encore la robotique, vous trouverez forcément un secteur épanouissant, à votre image !
Vous avez un projet professionnel ? Nous sommes là pour vous aider à le développer. Pour nous, l’essentiel c’est vous. C’est pourquoi nous assurons un suivi régulier et portons une attention toute particulière à votre plan de carrière.

Réf : 190919_DevFrontEnd_75"
7,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20web&l=Paris&radius=100&limit=100&sort=date&vjk=0e07bf79ae4d84ee,"Développeur Frontend React H/F
JobTeaser - Paris 9e (75)",['Paris 9e (75)'],Développeur Frontend React H/F,JobTeaser,- Paris 9e (75),null,null,"il y a 6 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur web,Paris,"Job Description

Rejoignant l'équipe front en tant que développeur expérimenté ou senior, tu vas nous aider à augmenter fortement la taille et le niveau d'expertise de l'équipe ! Tu pourras y développer ton mentoring et ton leadership pour mieux partager ton expérience.

Tu feras partie d’une organisation à base de squads pluridisciplinaires organisées en tribus et dont les objectifs sont définis suivant une méthode OKR. Tout ça dans le but d’apporter un maximum d’autonomie dans les choix des solutions !

Tu rejoindras aussi le ""chapter"" front portant toute la vision frontend de JobTeaser, et réparti sur plusieurs squads. Ce “chapter” permet à chaque frontend de venir proposer des nouvelles choses (librairies, process, guidelines …) et de faire progresser notre stack.

La stack technique aujourd’hui en place se compose de :
ES6 avec Babel
React, React-router, Prop-types
Redux, Redux-sagas
Node, Webpack
CSS4 avec PostCSS
Libraries testing et qualité comme Jest, Enzyme, JSDom, ESLint, StyleLint

L’écosystème de la plateforme gravite aussi autour de technos comme :
Elixir, Go et Ruby côté Backend,
AWS, Kubernetes, Helm, Docker, Terraform, Jenkins, CircleCI pour la partie Infra,
Python, Kafka pour la Data Science

Si tu as envie de nous rejoindre et que tu veux aider l’équipe dans les prochains pas à faire côté frontend, quelques pistes des chantiers envisagées :
Création d’une librairie partagée (UI-Kit) de composants React à la nouvelle charte
Déploiement autonome des frontaux via Amazon S3 buckets et CDN Cloudfront
Réflexion autour de la mise en place d’une couche de Data Fetching GraphQL avec Apollo

Qualifications

Concernant ton profil, on s’intéresse aussi bien à tes compétences techniques qu’à tes qualités humaines :
Tu évolues déjà dans le web depuis au moins 3 ans et ça fait au moins 1 an que tu joues avec des frameworks et grosses librairies JS (Angular, React, Vue, jQuery, …).
Tu connais tes gammes : HTML et CSS n’ont plus de secret pour toi et tu sais parler de sémantique, de méthodologie CSS (BEM, SMACSS, …) et de responsive.
Tu as [sur]vécu [à] l’arrivée d’ES6 et ses nouveautés sont d’utilité quotidienne pour toi, mais tu n’as pas oublié pour autant les bons vieux concepts du JavaScript (prototype, hoisting, this …).
Tu sais et aime travailler en équipe, tu es coutumier de Git, comprend l’intérêt de l’intégration continue et ne te résigne pas quand il faut écrire des tests.

Si tu te retrouves aussi au travers de ces traits là, c’est du bonus pour toi et pour nous :
Tu as déjà pas mal travaillé avec React et Redux et tu es capable d’expliquer leurs fonctionnements à ta grand-mère. Tu as déjà joué un peu avec Vue JS aussi.
Tu as envie de participer à l’épanouissement de l’équipe (pairing, mentoring, sharing …) et de partager ta veille technique.
Tu penses que la richesse du monde web vient de la diversité des métiers qui le compose et tu aimes échanger avec les autres équipes (Design, Produit, Backend, Data …).
Tu sais organiser ton quotidien et tu apprécies évoluer aux sein des méthodologies agiles (Scrum, XP, …) ou de processus itératifs de développement.

Additional Information

Tes avantages:
Parce JobTeaser aime prendre soin de ses équipes, voici quelques avantages proposés :
Culture Tech
Meetup internes
Tickets pour plusieurs conférences dans l’année
Accès à des plateformes e-learning + bibliothèques
Partage et mentoring
Hackathons internes
Passion pour les best practices
Proches des équipes métier
Impliqués tant sur la technique que sur le produit
Les Plus
Télétravail autorisé
Labels “Happy at Work” et “Great Place to Work”
Bureaux neufs en plein centre de Paris
Espace permettant d’accueillir et d’organiser des Meetups
Possibilité de participer à des conférences (orateur et auditeur)
Accès à des plateformes e-learning et e-book
Hackathon interne (1 semaine par an)
Après-midi de Technical Sharing & Learning"
8,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20web&l=Paris&radius=100&limit=100&sort=date&vjk=74645b762a1588ea,"Consultant Développeur ANGULAR F/H
MANAGEMENT INFORMATIQUE & NOUVELLES TECHNOLOGIES CONSEIL - Paris 1er (75)","['Paris 1er (75)', 'CDI']",Consultant Développeur ANGULAR F/H,MANAGEMENT INFORMATIQUE & NOUVELLES TECHNOLOGIES CONSEIL,- Paris 1er (75),CDI,null,"Apec.fr - il y a 8 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur web,Paris,"V

ous évoluerez au sein des divisions digitales de nos clients grands comptes ou startups innovantes.

Activités principales

Vous participerez à la création et la maintenance de la nouvelle génération de leurs applications Web !

Vous participerez à leur transformation digitale

Vous rédigerez des spécifications fonctionnelles

Vous concevrez et développerez

Vous testerez les architectures logicielles
Profil recherché Vos compétences et vos qualités

Vous êtes de formation École d’ingénieur ou Cycle Universitaire

Vous avez une première expérience avec compétences Craftman

.NET, JavaScript, HTML, CSS, Angular.js, React.js, WebAPI

Visual Studio, GitHub, Jira, Jenkins

Méthodologie Agile (Scrum ou Kanban), TDD, BDD

Entreprise Pourquoi devenir un Talent MINT-Conseil ? :
Pour travailler sur des projets stratégiques et innovants.

Pour être toujours incité à être force de proposition

Pour intégrer une entreprise qui s’occupe de ses Talents.

Pour rejoindre un programme de Mentorat.

Pour être accompagné dans le développement de vos compétences pour devenir un futur MINT-Leader.

Pour profiter de locaux modernes et d’activités (Afterworks, yoga, stretching, sophrologie, soirées à thèmes…)

Depuis plus de 10 ans nous sommes une société de conseil en Technologies Innovantes et Management de Projets. Nous proposons à nos clients un accompagnement tout au long du cycle de développement de leurs produits et services.

Le Développement Humain et la Montée en Compétence sont stimulés pour garantir l’épanouissement personnel des Talents MINT-Conseil. Les consultants sont associés aux comités de pilotage (Offres, Formation, RH…) afin de participer directement à la MINT-Attitude : forcément collaborative et orientée vers le partage des connaissances de l’ensemble de nos Talents."
9,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20web&l=Paris&radius=100&limit=100&sort=date&vjk=a8e75d0d8c2fccbd,"PHP Symfony 4 1 an PARIS / Freelance
Eurostaff group SAS - Paris (75)","['Paris (75)', 'Temps plein, Freelance / Indépendant']",PHP Symfony 4 1 an PARIS / Freelance,Eurostaff group SAS,- Paris (75),"Temps plein, Freelance / Indépendant",null,"Freelance-info - il y a 11 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur web,Paris,"Bonjour,

Pour mon client parisien, je recherche plusieurs profils développeurs PHP/Symfony.

Le projet :
La mission consiste à développer le site web du client. Vous intégrerez une des 2 feature
team composées de 4 à 5 développeurs chacunes.

Stack : PHP5.6/7, Symfony 3-4, GIT, JS, API REST, NodeJS API platform, Doctrine, ElasticSearch, Redis, RabbitMQ, Environnement Docker, Gitlab CI, GCP.

Profil :
+ de 5 ans d’expérience PHP
Compétence Symfony

Bonus : Expérience fort trafic

TJM : selon profil
Date de début de mission : ASAP
Durée de la mission : 3 mois renouvelable (visibilité 1 an)

Si cette mission peut vous intéresser et que vous êtes disponible n’hésitez pas à me faire
parvenir votre CV ainsi que votre TJM.

Excellente journée,"
