,id,meta1,meta2,titre_poste,entreprise,localisation,contrat,salaire,date_publication,keyword_metier,keyword_localisation,description
0,https://www.indeed.fr/emplois?q=Data%20mining&l=Paris&radius=100&limit=100&sort=date&vjk=d4ac451a7fb0e92f,"Chargé d'études Data Mining H/F
Kingfisher - Longpont-sur-Orge (91)","['Longpont-sur-Orge (91)', 'CDI']",Chargé d'études Data Mining H/F,Kingfisher,- Longpont-sur-Orge (91),CDI,null,"il y a 17 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Data mining,Paris,"Région: Ile de France Sud
Région administrative : Ile de France Sud
Filiale du groupe Kingfisher - leader européen et n°3 mondial des distributeurs de bricolage et d’aménagement de la maison - Brico Dépôt développe un concept de magasins dépôts. Pratiques et fonctionnels, ceux-ci proposent à leurs clients, professionnels et particuliers, des prix bas et une offre produits basée sur des stocks importants. Aujourd’hui, 3ème acteur du bricolage sur le marché français avec 123 magasins, l’enseigne rassemble plus de 7 500 collaborateurs.
Votre mission
Brico Dépôt recrute un Chargé d'étude Data Mining (H/F). Dans le cadre de votre activité, vous serez amené à travailler sur les sujets suivants : Gestion des bases clients - S’assurer de l’ intégrité et de la bonne utilisation de la data (data management) - Alerter en cas de non-respect de la réglementation CNIL et RGPD Analyses statistiques comportements clients : - Scoring et segmentation de la base - Ciblage client (triggers) - Suivre les indicateurs clés des clients encartés (fréquence de venue, montant dépensé…) Analyse des performances campagnes - Suivre la performance des campagnes (ROI et taux de conversion) - S’assurer de la performance commerciale des évènements pour clients encartés (performance des soirées VIP) Etudes de marché et études clients - Mettre en oeuvre localement le programme d’études et connaissance clients du Groupe - Gérer et délivrer les études marché et datamining - S’assurer que la vision client est portée par l’ensemble des acteurs internes
Votre profil
- Formation supérieure en économétrie, statistiques - Expérience similaire de 3 à 5 ans"
1,https://www.indeed.fr/emplois?q=Data%20mining&l=Paris&radius=100&limit=100&sort=date&vjk=e9192a918039a895,"Consultant décisionnel QlikView et Qlik Sense F/H
KEY PERFORMANCE CONSULTING PARIS - Levallois-Perret (92)","['Levallois-Perret (92)', 'CDI']",Consultant décisionnel QlikView et Qlik Sense F/H,KEY PERFORMANCE CONSULTING PARIS,- Levallois-Perret (92),CDI,null,"Apec.fr - il y a 20 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Data mining,Paris,"KEY PERFORMANCE CONSULTING (KPC) cherche à renforcer ses équipes sur les technologies QlikView et Qlik Sense.

Nous proposons à nos collaborateurs une grande variété de missions opérationnelles.

En tant que consultant décisionnel QlikView et Qlik Sense, vos principales missions seront :

L’avant-vente

La définition du besoin

La modélisation

La définition de l’architecture

La réalisation de tableaux de bord

ENVIRONNEMENTS : QlikView, Qlik Sense, Nprinting…
Profil recherché De formation ingénieur informatique ou équivalent (bac+4/5), vous justifiez d’une expérience de 2 ans minimum sur l’outil QlikView.
Entreprise Qui sommes-nous ?

KEY PERFORMANCE CONSULTING (KPC)

est un cabinet de conseil et d’expertise SPECIALISE dont l’objectif est d’accompagner les Sociétés dans l’amélioration de leur performance.

Nos grands domaines de compétences :
BI / Data Intelligence & Analytics, Reporting Ad Hoc, Dashboards, Data Visualisation & Discovery, Data Mining / Predictive Analytics, ETL

Finance / Elaboration Budgétaire et Consolidation Financière

ERP / SAP S4H - ECC (FIORI UX, MOBILITE, BW, HANA)

Transformation Digital - Marketing - CRM Digital

Cabinet à taille humaine, capable d’intervenir aussi bien sur des phases amont (Conseil, MOA) que sur des phases d’intégration de logiciels (MOE).

Répartis entre Aix en Provence, Lyon, et Paris, nos 130 consultants assistent les Directions Générales, Financières, Métiers et Informatiques dans leurs projets de transformation.

En 2020, nous fêterons nos 10 ans. Rejoins-nous et aide-nous à souffler nos bougies !!

Comment postuler ?

J’attends ta candidature"
2,https://www.indeed.fr/emplois?q=Data%20mining&l=Paris&radius=100&limit=100&sort=date&vjk=90ee8f726aa215ce,"Priniciple Consultant - Enviromental & Social Impact Assesment (Mid-Senior Level)
ERM Group - Paris (75)",['Paris (75)'],Priniciple Consultant - Enviromental & Social Impact Assesment (Mid-Senior Level),ERM Group,- Paris (75),null,null,"il y a 18 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Data mining,Paris,"ERM is seeking for Principal Consultant - Environmental and Social in our Paris office to support and grow the international Impact Assessment team .
In this role, you will focus on managing international environmental impact assessment (ESIAs) as well as due diligence (ESDD) and monitoring reports that align with IFC Performance Standards & WB/IFC EHS guidelines and other international lender standards. This is an excellent opportunity for a career professional to join a growing and exciting Capital Project Support team, as you build a rewarding career path with a global environmental leader.
RESPONSIBILITIES:
Serve as Senior Project Manager for ESIAs, ESDD’s and E&S monitoring projects and related activities in support of ERM clients’ development projects in diverse sectors: energy, oil and gas, mining, manufacturing, infrastructure.
Lead preparation of ESIAs and associated studies (including management plans) in compliance with applicable lender standards. Contribute to preparing impact assessment deliverable, serving in roles ranging from lead technical expert to quality review. Supervise project delivery activities such as report quality review, coordination and supervision of fieldwork activities as needed, data and literature review, and development of recommendations for clients.
Direct and monitor project management activities, including task delegation and direction, team management, subcontractor management, health & safety protocol management, monitoring of commercial performance, deliverable quality review, and interaction with clients.
Prepare technical and commercial proposals, actively participate in business development with existing clients, and identified new leads. Maintain client relationships that generate repeat business.
Develop and deliver training and facilitate meetings related to IAP projects and clients.
Mentor junior- and mid-level consulting staff (including experienced impact assessment staff, as well as employees with introductory levels of impact assessment experience) to develop their skill sets.
REQUIREMENTS:
Master degree in environmental science/engineering, natural resources sciences, or similar field.
At least 10 years’ experience, including consulting experience, in impact assessment and E&S due diligence.
High degree of technical competence and broad knowledge of E&S international standards,
Technical skills in environmental and social baseline surveys and experience in field visits, including in remote locations.
Demonstrated leadership ability to build, coach, and mentor collaborative teams.
Excellent written and verbal communication skills, and experience writing comprehensive technical reports and standards, in both French and English.
Ability to succeed in a fast-paced consulting environment, handling multiple project assignments, meeting strict deadlines, and traveling to client facilities as needed.
Cross-cultural competence and experience working with diverse project teams and stakeholders in developing countries. Experience in Africa is a plus.
This role will require some domestic and international travel flexibility"
3,https://www.indeed.fr/emplois?q=Data%20mining&l=Paris&radius=100&limit=100&sort=date&vjk=3cc0cf3fb62f8f20,"Chef de projet technique CRM Marketing F/H
KEY PERFORMANCE CONSULTING PARIS - Levallois-Perret (92)","['Levallois-Perret (92)', 'CDI']",Chef de projet technique CRM Marketing F/H,KEY PERFORMANCE CONSULTING PARIS,- Levallois-Perret (92),CDI,null,"Apec.fr - il y a 20 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Data mining,Paris,"Parmi vos missions, nous vous proposons de :
Piloter des projets techniques avec une mise en œuvre par des équipes techniques internes ou externes.

Analyser et mettre place de solutions techniques adaptées aux besoins clients

Être référent sur des technologies Marketing : Adobe Campaign, Selligent marketing, Salesforce marketing cloud

Votre environnement de travail :
Vous rejoignez notre équipe d’experts Marketing, composée d’environ une vingtaine de personnes

Vous êtes rattaché à la direction technique de l’entité Marketing.

Au quotidien, vous travaillez avec les directeurs de chaque entité métier : CRM et Marketing ainsi qu’avec les différentes équipes métier

En fonction de vos clients, vous pouvez être amené à travailler dans nos locaux, en régie et/ou à vous déplacer.

Des locaux sympas en open space, une grande cafétéria avec café et/ou thé à volonté
Profil recherché Diplômé d’un BAC + 4/5 en informatique, vous avez une expérience d’au moins 5 ans en tant que développeur sur la plateforme Adobe Campaign.

Vous possédez également une expérience dans le suivi en production de ces applications (Adobe/Selligent/Salesforce).

De solides compétences des langages SQL, HTML et Javascript sont nécessaires

Expertise Adobe Campaign sur : Schéma de données, Workflow, Formulaires, modèles de diffusion, Webapp, Report

Expérience en développement et en direction de développement : Adobe Campaign / Neolane. Selligent et/ou Saleforce Marketing Cloud sont un plus.

Vous avez géré des projets de mise en place ou de support de solutions Marketing dans un contexte multi-marques et/ou international.

Vous avez été un acteur majeur dans les phases de développement, de recette, de mise en production et de maintenance

Vous possédez un niveau d’anglais professionnel.

Vous savez prendre le leadership technique sur les missions.

Vous aimez animer une équipe et la faire monter en compétences.

Vous êtes curieux et l’innovation ne vous fait pas peur.

Vous êtes méthodique, rigoureux et autonome et vous avez le sens de la communication.
Entreprise Qui sommes-nous ?

KEY PERFORMANCE CONSULTING (KPC)

est un cabinet de conseil et d’expertise SPECIALISE dont l’objectif est d’accompagner les Sociétés dans l’amélioration de leur performance.

Nos grands domaines de compétences :
BI / Data Intelligence & Analytics, Reporting Ad Hoc, Dashboards, Data Visualisation & Discovery, Data Mining / Predictive Analytics, ETL

Finance / Elaboration Budgétaire et Consolidation Financière

ERP / SAP S4H - ECC (FIORI UX, MOBILITE, BW, HANA)

Transformation Digital - Marketing - CRM Digital

Cabinet à taille humaine, capable d’intervenir aussi bien sur des phases amont (Conseil, MOA) que sur des phases d’intégration de logiciels (MOE).

Répartis entre Aix en Provence, Lyon, et Paris, nos 130 consultants assistent les Directions Générales, Financières, Métiers et Informatiques dans leurs projets de transformation.

En 2020, nous fêterons nos 10 ans. Rejoins-nous et aide-nous à souffler nos bougies !!"
4,https://www.indeed.fr/emplois?q=Data%20mining&l=Paris&radius=100&limit=100&sort=date&vjk=0a7e43cf28f384cc,"Data Scientist H/F
Kaisens Data - La Défense (92)","['La Défense (92)', 'CDI']",Data Scientist H/F,Kaisens Data,- La Défense (92),CDI,null,"il y a 1 jour
Signaler cette offre d'emploi",Data mining,Paris,"kaisens Data est un éditeur logiciel spécialisée en Data Science/Big Data et Machine learning avec une branche de conseil . Nous recherchons un data scientist qui aura pour missions :
-Participer à l’élaboration des modules machine learning pour des projets prédictif dans un contexte big data.
- Adapter les outils de traitement statistique de données
- Présenter et diffuser les résultats des études réalisées
- Management d'équipe ou de projet selon sa séniorité
Profil recherché
-Maîtrise d'un langage d'analyse de données R, Python ou Spark et une bonne compréhension des structures de données
-Bon niveau gestion des bases de données relationnel (SQL) idealement connaissance en NoSql.
-Des compétences en gestion de projet seront également appréciées.
-Connaissances en text mining seront très apprécies
Avantages
-Un cadre de travail agréable, une rémunération selon le profil
-Participation à des projets à haute valeur ajoutée avec des technologies récentes
-plusieurs possibilités d'évolution de carrières
Type d'emploi : CDI
Expérience:
data scientist h/f ou similaire: 1 an (Souhaité)"
5,https://www.indeed.fr/emplois?q=Data%20mining&l=Paris&radius=100&limit=100&sort=date&vjk=ba9f2fb7f56a7616,"EU Cost Control & Reporting Manager (with basic SQL level)
Amazon France Transport SAS38,554 avis - Paris (75)",['Paris (75)'],EU Cost Control & Reporting Manager (with basic SQL level),Amazon France Transport SAS,- Paris (75),null,null,"Amazon.com - il y a 3 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Data mining,Paris,"Bachelor’s or Master's degree in Finance, Accounting, Business, Engineering or a related discipline;
Basic SQL knowledge
Proven expertise in finance management, evaluation, and swift analysis: you always deliver meaningful business support;
Proven ability as a manager of strategic relationships with business partners: you are able to take and/or influence decisions;
Demonstrated analytical, financial acumen in delivering forecasting, budgeting and variance analysis, as well as data interpretation of business impact and results;
Advanced proficiency in MS Excel (e.g. using pivots, lookups, and so on);
Ability to travel; 15%+ travel expected;

Are you an Amazonian?

Come build the future with us! What unites all Amazonians (across teams and geographies) is that we are striving to delight our customers and make their lives easier—whoever they may be. In pursuit of delighting customers, Amazonians have developed many products and services that have transformed the way our customers live their lives and run their businesses. Together we are building the future, one innovative product, service, and idea at a time. Wherever you are in the business – whatever team, whatever level - we all work to one set of Leadership Principles that help us hire the right people and run our business in the best way. These principles are followed every single day. They are highlighted in the way we interact with each other and how we behave. They are: Customer Obsession; Ownership; Invent and Simplify; Are Right, A Lot; Learn and Be Curious; Hire and Develop the Best; Insist on the Highest Standards; Think Big; Bias for Action, Frugality; Earn Trust; Dive Deep; Have Backbone – Disagree and Commit; and Deliver Results.

About Amazon Operations

Amazon Operations sits at the heart of the Amazon customer experience. We deal with the ‘everyday experience’ of shopping on Amazon. We look after everything from the moment a customer click’s buy, to the moment that item gets delivered – from desktop to doorstep. Across Europe we have more than 50 fulfilment centres, hundreds of delivery stations, thousands of machines, and tens of thousands of employees, all working together in harmony to make sure the right item gets delivered to the right person in the right place at the right time.
At Amazon we're working to be the most customer-centric company on earth. To get there, we need exceptionally talented, bright, and driven people. Amazon is one of the most recognizable brand names in the world and we distribute millions of products each year to our loyal customers.

We are looking for a talented EU Cost Control & Reporting Manager to help manage our ever-growing cost control & reporting needs and support analysis of an increasingly complex business related to high volume hiring (HVH) across the EU.

You will be responsible for designing, executing, maintaining and improving our reporting portfolio and cost controlling. You will work closely with a wide range of business professionals across Amazon to leverage our data in ways that provide business insights.

Your data driven mindset as Senior Business Analyst will enable you to be a key contributor in our efforts to enhance and drive our cost strategy in the area of High Volume Hiring.

But you won’t stop there. Your role is also responsible for turning marketing campaign data and results into actionable and insightful information, by developing, executing standardized reporting, and analysis that will provide clear insights on customer behavior and marketing activities impact on High Volume Hiring.

Main Responsibilities:
Managing and participating in cross-functional business activities across several geographies in EU;
Constantly challenging the status quo and proposing alternative solutions to drive the efficiency;
Establish scalable, efficient, automated processes for data analyses and cost controlling
Implementing policies and programs that guide Workforce staffing towards maintaining and improving its competitive position and profitability;
Partner with your team, by managing all weekly and monthly financial activities related to workforce staffing, including forecasting, planning and reporting
Working with data source providers and technology teams, ensuring that key decision data is accurate, automated and timely.
Develop and Implement Marketing Controlling process for workforce staffing

Advanced problem solving and root cause analysis ability, combined with confident communication skills for conveying your conclusions;
You’re highly analytical, detail-oriented and bring a strong sense of business acumen: you have a track record of managing new ideas and creative solutions;
You can manage and prioritize your workload in a fast-paced, high-growth, occasionally ambiguous environment;
You have experience of working with large-scale data mining and reporting tools;
Previous experience as a manager in a Manufacturing, Distribution Centre or Logistics environment;
MBA and/or Professional certification (CPA/CMA etc.);"
6,https://www.indeed.fr/emplois?q=Data%20mining&l=Paris&radius=100&limit=100&sort=date&vjk=ac50f6be14a634d7,"Data scientist F/H
autobiz16 avis - Courbevoie (92)","['Courbevoie (92)', 'CDI']",Data scientist F/H,autobiz,- Courbevoie (92),CDI,null,"L'Intelli'agence - il y a 4 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Data mining,Paris,"Créée en 2004, autobiz est une start-up innovante, leader sur le marché de la cotation automobile. L’analyse des données « big data » lui a permis de mettre en place une gamme d’outils internationaux pour développer le business VO (véhicules d’occasion) des professionnels de la distribution, de la location et de l’assurance automobile.
Aujourd’hui basée à La Défense (92), autobiz dispose également de bureaux à Berlin, à Valence (Espagne) et Milan.
Début 2017, le groupe PSA a choisi d’entrer au capital d’autobiz avec une participation minoritaire. Cette collaboration renforce la position d’autobiz sur le marché automobile à l’international et lui permet de développer de nouvelles solutions au quotidien.
Site web :
http://corporate.autobiz.com
Poste et missions
Vous venez de soutenir votre thèse de doctorat et recherchez votre première expérience?

En qualité de Data Scientist, vous participez à l’élaboration et au suivi des nombreux projets afin d’aider le pôle Data à se développer.
A cet effet, vous serez amené(e) à interagir avec l’ensemble des parties prenantes de l’entreprise : équipes tech, commerciales, consulting, direction, etc.
Vos missions principales :
1. Contribuer au développement du Pôle Data
Rédaction des cahiers des charges.
Architecture base de données.
Analyse des données automobiles pour plusieurs pays (15 millions d’annonces mensuelles).
Élaboration de nouveaux KPIs de vérification (Crawl, Data brute, Data traitée);
Automatisation des process actuels .
Force de proposition dans le traitement de données .
Développement de nouveaux produits (Modèles statistiques, modèles mathématiques de traitement de données, modèles approximatifs….).

2. Participer au bon fonctionnement et au développement de l’entreprise
Vous vous intéressez à la vie d’autobiz et à son marché.
Vous savez vous intégrer dans l’équipe et plus largement au sein d’autobiz.
Vous développez une attitude professionnelle (innover, suggérer, conseiller, valoriser).
Vous aimez la recherche appliquée et utilisez l’informatique pour manipuler des bases des données en utilisant des méthodes statistiques.
Mobilité géographique :
Pas de déplacement
Prise de fonction :
01/11/2019
Profil
Vous êtes fraîchement docteur.
Vous êtes à la recherche de votre 1ère expérience professionnelle.

Vous êtes motivé(e) pour intégrer une structure à taille humaine en fort développement dans laquelle vous investir pleinement. Vous avez idéalement réalisé des stages dans le domaine du data mining, texte mining, recherches d’informations sur le web, intelligence artificielle…
Compétences demandées :
Maîtrise du SQL et de la modélisation des données.
Maîtrise des langages de programmation (PHP, R ou Python, Shell).
Maîtrise des algorithmes de traitement de masse de données.
Maîtrise de l’anglais opérationnel.
Connaissance des langages Perl, Ajax, Java script et/ou Awk serait un plus.
Connaissance des outils de pilotage de projet serait un plus."
7,https://www.indeed.fr/emplois?q=Data%20mining&l=Paris&radius=100&limit=100&sort=date&vjk=26a34e649aa0d4cd,"Ingénieur data mining (H/F)
EOTIM6 avis - Paris (75)","['Paris (75)', 'CDI']",Ingénieur data mining (H/F),EOTIM,- Paris (75),CDI,null,"il y a 4 jours
Signaler cette offre d'emploi",Data mining,Paris,"Nous recrutons pour l’un de nos clients, un éditeur de logiciels Parisien, un(e) ingénieur(e) Data Mining.
Vos missions:
Concevoir et mettre en œuvre une architecture de plate-forme de données donnant accès à de grands ensembles de données, des pipelines d'ingestion et une infrastructure de données
Explorer et évaluer les nouvelles technologies de bases de données pour créer une plate-forme orientée sur le cloud
Rendre les données volumineuses et / ou complexes plus accessibles, compréhensibles et utilisables en implémentant des API avancées pour le stockage et l'interrogation/le rapatriement
Créer des modèles de données unifiés pour l'analyse et l'exploration des données, ainsi que les outils ad hoc de création de rapport de suivi
Interagir avec différentes équipes pour répondre à leurs besoins (informatique cognitive, contenu, autres équipes d'ingénieurs)
Collaborer avec les équipes d'ingénierie, d'infrastructure cloud et de sécurité pour comprendre les exigences et développer un système hautement évolutif
En tant que membre de l'équipe de développement Agile, contribuer à l'amélioration de l'architecture, des outils et des processus de développement
Profil requis
Titulaire d’un diplôme d’enseignement supérieur en informatique + 5 années d'expérience professionnelle dans le développement de logiciels.
Au moins trois années d'expérience avérée dans les domaines suivants : ingénierie de données, machine learning/cognitive computing/datamining, cloud
Au moins deux ans d'expérience dans la construction de pipelines ETL pour l'ingestion de données et la prise en charge d'une grande plate-forme de données et du traitement en pipeline de ces données
Expérience avec des plates-formes de données modernes telles que Spark, Hadoop ou tout autre système similaire de gestion de grosses volumétries
Expérience avec une variété de bases de données telles qu’ArangoDB, MongoDB, Cassandra, Base, DynamoDB
Expérience avec l'environnement AWS (par exemple Amazon Kinesis, AWS Glue, Redshift, EC2, S3, EMR)
Forte expérience et maîtrise des API Python, Pandas, Numpy et AWS SDK
Expérience en développement Agile / Scrum
Anglais impératif
Type d'emploi : CDI"
8,https://www.indeed.fr/emplois?q=Data%20mining&l=Paris&radius=100&limit=100&sort=date&vjk=9d854509070e50f2,"Développeur Front-end Agile VUE JS - Environnement big data/Data Mining - Editeur de logiciels audit-tech - H/F
L2C - Paris (75)","['Paris (75)', 'CDI', '50 000 € par an']",Développeur Front-end Agile VUE JS - Environnement big data/Data Mining - Editeur de logiciels audit-tech - H/F,L2C,- Paris (75),CDI,50 000 € par an,"ChooseYourBoss - il y a 4 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Data mining,Paris,"Javascript / Vue-js / Agile
Frontend Developer / CDI / Environ 50k€ / 7+ / Paris

Le poste
Notre client est une société à taille humaine, qui a développé un logiciel d'analyse de données financières, composée d’une trentaine d’experts et idéalement située en plein cœur de Paris. Fondée il y a plusieurs années; c’est une société solidement établie qui traite de sujets pointus liés à la data intelligence et aux algorithmes. Récemment, elle a obtenu le label « Entreprise innovante » Notre client a développé des logiciels web et outils performants (web et SAAS) de conseil/audit pour de prestigieux clients, en France et à l’étranger. C'est une société saine, qui offre un cadre de travail agréable dans un environnement stimulant. Notre client utilise les technologies les plus récentes, dans un contexte agile/devops avec des algorithmes de Machine Learning. Dans le cadre d’une création de poste à pourvoir en CDI, notre client recherche un développeur front-end Vue JS. Vous évoluerez dans un environnement Agile et Devops. Vous serez rattaché(e) au Lead développeur front-end.
Les responsabilités
Vous participerez à la conception et au développement de l’interface web
Vous interviendrez sur la refonte complète du portail web
Vous enrichirez, ferez évoluer et améliorerez l’interface web de l’offre SAAS
Vous interviendrez sur toutes les étapes de la chaîne de développement
Vous travaillerez au quotidien avec les différentes équipes : CTO, développeurs, data scientist, devops…
Pourquoi venir chez nous?
Environnement technologique : Vue JS, Web services API Rest, AWS, docker, Gitlab, Jenkins, Java, Node JS… Les plus : -Package attractif (fixe + avantages) -Cadre de travail agréable : locaux situés en plein cœur de Paris, mentalité saine, respect équilibre vie perso/pro, équipes compétentes, poste stimulant, autonomie… -Poste complet et riche techniquement et technologiquement -Vous serez autonome et force de proposition -Environnement Agile/Devops -Accélération et montée en puissance de l’équipe R&D -Société solidement implantée depuis 15 ans -Société ayant reçu le label « entreprise innovante » -Possibilités de télétravail (une journée par semaine"
9,https://www.indeed.fr/emplois?q=Data%20mining&l=Paris&radius=100&limit=100&sort=date&vjk=a057aefb8036c504,"Boiler and Machinery Sr. Consultant Engineer - Paris
FM Global - Paris (75)",['Paris (75)'],Boiler and Machinery Sr. Consultant Engineer - Paris,FM Global,- Paris (75),null,null,"il y a 4 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Data mining,Paris,"Overview:
Looking for candidates that may support clients in Paris, France
FM Global is a leading property insurer of the world's largest businesses, providing more than one-third of FORTUNE 1000-size companies with engineering-based risk management and property insurance solutions. FM Global helps clients maintain continuity in their business operations by drawing upon state-of-the-art loss-prevention engineering and research; risk management skills and support services; tailored risk transfer capabilities; and superior financial strength. To do so, we rely on a dynamic, culturally diverse group of employees, working in more than 100 countries, in a variety of challenging roles.
Do you know how a power plant operates or why a transformer has a malfunction? Can you explain high cycle fatigue, flow associated corrosion? Have you ever seen a turbo generator break down, a lube oil fire or witness a steam turbine fail? Would you like to?
FM Global is currently expanding its Boiler & Machinery Consultant Engineering team around the world. If you’re interested in taking your career to the next level check out our newest Boiler & Machinery Consultant Engineer openings!
At FM Global, you have the power to influence outcomes and make a difference in the future – yours and your clients. When you join our team as a Boiler & Machinery Consultant Engineer, you can leverage your engineering background to help clients neutralize potential disasters—saving property and businesses.
With the company’s nearly two centuries of knowledge and experience behind you, you’ll work hands on with some of the world’s most influential organizations, helping them understand risk and protect their assets.

Responsibilities:
Boiler & Machinery Consultant Engineers will interact with high hazard FM Global clients within the PowerGen, Forest Products-Pulp & Paper, Semiconductor, Mining, Chemical and similar industries. Experienced engineers will use their expertise to consult with clients to protect their facilities against mechanical and electrical breakdowns, fire and many other hazards. As a Boiler and Machinery Consultant Engineer, you will develop strong client relationships to advise on risks associated with client businesses as well as develop and implement risk improvement strategies.
Additional responsibilities include:
Evaluate the integrity and reliability of equipment, identify hazards and deficiencies to deliver focused risk improvement solutions and reduce equipment risk
Utilize Operating standards, data sheets and guides to provide risk guidance and implement best practices
Prepare engineering reports, loss expectancies to support risk improvement
Collaborate with Operations Engineering, Client Services, Account Management and Underwriting on Boiler & Machinery recommendations
Engineers will work from a home office, must be able to manage their time and work independently with minimal supervision
This is a field-based role and will require travel to large, complex industrial client sites to evaluate the operations and systems of the site and identify risks and hazards. Expected overnight travel is 10%-30%
Qualifications:
Bachelor’s degree in Engineering or equivalent work experience with a concentration in either electrical, mechanical or chemical engineering
Minimum of 5 years’ experience in a high hazard industry such as power generation, chemical, nuclear, mining, pulp & paper, manufacturing or maritime combined with a Bachelor’s degree in Engineering, a minimum of 10 years relatable experience without a Bachelor’s Degree required
Must possess knowledge of electrical and/ or mechanical power generation and associated equipment and systems such as rotating equipment, boilers, generators, system interrelationships and knowledge of safety devices. Industrial Control Systems experience highly desired.
Demonstrated experience to understand basic machinery and equipment along with hands on exposure
Candidates will possess strong verbal and written communication skills, proficiency in MS Office products is required
Candidates must be analytical, organized and have good problem solving and interpersonal skills
A valid driver’s license is required, a company car is provided
Physical Requirements:
Able to lift up to 25 pounds or 11.34 Kilograms
Able to climb ladders"
