,id,meta1,meta2,titre_poste,entreprise,localisation,contrat,salaire,date_publication,keyword_metier,keyword_localisation,description
0,https://www.indeed.fr/emplois?q=Devops&l=Paris&radius=100&limit=100&sort=date&advn=1823213150945860&vjk=4dc881aae396e0c7,"Technicien Support Informatique & Telecom (Startup)
CALLR - Paris 8e (75)","['Paris 8e (75)', 'Temps plein, CDI']",Technicien Support Informatique & Telecom (Startup),CALLR,- Paris 8e (75),"Temps plein, CDI",null,"il y a 1 heure
Signaler cette offre d'emploi",Devops,Paris,"Vous serez en charge d'accompagner nos clients et de répondre à leurs questions techniques.
Vous aurez également la charge de communiquer avec les opérateurs en cas d'incident, de maintenance, ou de commande.
Vos missions :
Assurer le support auprès de nos clients (réponse et routage des tickets) ; en français et en anglais,
Assurer le support téléphonique ; en français et en anglais,
Analyser et identifier l'origine des incidents,
Conseiller les clients,
Communiquer avec les opérateurs avec qui nous sommes interconnectés ; en français et en anglais,
Suivre les demandes et s'assurer de la satisfaction client,
Mettre à jour (en continu) la base de connaissance interne.
Profil
Rigoureux(se), organisé(e), autonome
Bac +2 minimum avec spécialité informatique
Bricoleur
Volonté d'apprendre et de monter en compétence
Le sens du contact et un bon relationnel sont des qualités attendues.
Compétences
Bonnes capacités rédactionnelles et orales en Français et en Anglais (anglais impératif)
Connaissances de base de Linux
Connaissances de base SQL
Bonus: connaissances en VOIP / SIP / Asterisk
Bonus: connaissances en DevOps
Poste basé à Paris 8ème.
Type d'emploi : Temps plein, CDI
Langue
Anglais (Requis)
Entreprise
Startup fondée en 2011, CALLR est un opérateur télécom innovant. Nous proposons des services vocaux intelligents aux entreprises dans le monde entier.
Notre API permet aux entreprises une intégration simple et transparente des fonctions de télécommunications (voix et SMS) dans leur SI et leurs applications métiers.
CALLR est la passerelle idéale entre le Web et les Télécoms. Notre plateforme a traité plusieurs centaines de millions d’appels et de SMS en 2018 et compte parmi ses clients de grandes entreprises françaises et internationales.
Vous intégrerez une petite équipe soudée, dans laquelle vous aurez la possibilité de monter en compétences sur de nombreux sujets techniques: Système, DevOps, SQL, VoIP, Docker, etc.
Type d'emploi : Temps plein, CDI
Expérience:
technicien support informatique ou similaire: 2 ans (Souhaité)
Formation:
Bac +2 (BTS, DUT, DEUG) (Souhaité)
Langue:
Anglais (Requis)"
1,https://www.indeed.fr/emplois?q=Devops&l=Paris&radius=100&limit=100&sort=date&vjk=60d82216f1e50e07,"Devops
IT New Vision - Paris (75)","['Paris (75)', 'CDI']",Devops,IT New Vision,- Paris (75),CDI,null,"il y a 4 heures
Signaler cette offre d'emploi",Devops,Paris,"Créée en 2007, IT-NewVision est spécialisée dans les métiers de la facturation, de la gestion clientèle et de la gestion des ressources humaines, avec une expertise forte dans les secteurs de l'énergie et de l'eau.
Description de l'emploi
L’équipe DSI/CET/SYSTEM, l’équipe « Cloud » a la responsabilité de l’infrastructure sur laquelle repose la majeure partie des applications digitales. Voici ses missions :
Gestion des deux fondations Cloud AWS/Azure
Maintenir et faire évoluer ces deux écosystèmes
Migration des assets Azure vers AWS
Build de nouveaux assets sur le cloud
Roadmap 2019 : une quinzaine d’applications à migrer sur le cloud, avec mise en place d’une pipeline, terraformation complète des applications, monitoring, backup/restore, etc…
Gestion et Évolutions des pipelines CI/CD
Outillage DevOps : Terraform, Docker, Ansible, Jenkins, Shell, Git, EKS
Gestion des Environnements
Maintenir et Faire évoluer les Environnements (assurer leur alignement, garantir leur fonctionnement, communiquer les indisponibilité) et les Interfaces SI Tiers (flux, montée de version des webservices, certificats, …) et mettre en œuvre les montées de version
Gestion des Outils Transverses
Factory, CI/CD, Ticketing, outils collaboratifs, etc..
Gestion des Composants Transverses
Gérer les Accès aux Outils
Animer les projets / changements & impacts / incidents / améliorations
Gestion du Monitoring
Mettre en place l’outillage de monitoring
Mettre en place et Assurer la maintenance des sondes
Alerter sur les indispos des environnements (préventifs, réactifs)
ELK, Grafana, Senzu/Uchiwa, Splunk
Environnements technique : AWS (multi services), Azure, Docker, Terraform, Ansible, Jenkins, Nessus, Maven, Grafana, Senzu/Uchiwa, Splunk, AEM, Jboss, Apache, SonarQube, Gitlab, LDAP, Jira, Confluence, API Management, Oracle, MySQL, SQLServer, MariaDB, Blueprism (RPA)
Nous recherchons donc un(e) DevOps Cloud confirmé qui remplira ces différentes tâches grâce à ses compétences techniques et son savoir être.
Profil recherché
Qualification : Ecole d’ingénieurs ou universitaire en informatique (BAC+5 minimum)
Compétences métiers / techniques :
Très bonne connaissance de Jenkins
Très bonne connaissance de Docker
Bonne connaissance d’AWS (certification Associate)
Bonne connaissance de Terraform
Connaissance du Shell
Connaissance d’Ansible
Bonnes connaissances générales des problématiques Infrastructures, WEB, réseau et sécurité
Savoir-être :
Leadership et bonnes capacités à convaincre
Qualités de communication et d’écoute
Grande curiosité et capacité d’initiative
Rigoureux et bon sens de l’organisation (prise de recul sur les problématiques, mise à plat de la démarche/méthodologie à appliquer)
Esprit de travail collaboratif
Dynamisme et proactivité
Doté(e) d’excellentes compétences techniques, de leadership et d’une forte capacité à convaincre, vous souhaitez être responsabilisé sur l’intégrité technique de notre infrastructure, sa stabilité et son évolution.
Mission pérenne, à pourvoir au plus tôt.
Type d'emploi : CDI
Expérience:
devops ou similaire: 3 ans (Souhaité)"
2,https://www.indeed.fr/emplois?q=Devops&l=Paris&radius=100&limit=100&sort=date&vjk=417cf504e89f00fd,"DevOps Engineer for SAP CI/CD Framework - F/M
SAP2,046 avis - Paris (75)",['Paris (75)'],DevOps Engineer for SAP CI/CD Framework - F/M,SAP,- Paris (75),null,null,"il y a 1 heure
- Continuer pour postuler
Signaler cette offre d'emploi",Devops,Paris,"Requisition ID: 232947
Work Area: Software-Development Operations
Expected Travel: 0 - 10%
Career Status: Graduate
Employment Type: Regular Full Time
COMPANY DESCRIPTION
SAP started in 1972 as a team of five colleagues with a desire to do something new. Together, they changed enterprise software and reinvented how business was done. Today, as a market leader in enterprise application software, we remain true to our roots. That’s why we engineer solutions to fuel innovation, foster equality and spread opportunity for our employees and customers across borders and cultures.
SAP values the entrepreneurial spirit, fostering creativity and building lasting relationships with our employees. We know that a diverse and inclusive workforce keeps us competitive and provides opportunities for all. We believe that together we can transform industries, grow economics, lift up societies and sustain our environment. Because it’s the best-run businesses that make the world run better and improve people’s lives.
PURPOSE AND OBJECTIVES
As a part of the Product & Innovation SAP Cloud Platform organization, the Engineering Services unit provides a set of cutting-edge services on many areas (e.g. Cloud delivery, Continuous Integration/delivery, User Assistance infrastructure …) to SAP development units to enable fast, cost effective and reliable delivery of products and cloud services.

Within the Engineering Services team in France, we are looking for a motivated DevOps engineer to enhance and renovate the existing CI/CD offering (so called xmake service), enabling SAP Cloud developers worldwide to efficiently develop and deploy Cloud Services.

Are you a passionate individual who wants an opportunity to contribute to the whole lifecycle of a large-scale and world-class system? Are you interested in activities spanning from innovation to quality of service and from development to operations? Would you like to thrive in an experienced and agile team embracing end-to-end service ownership in a truly DevOps culture? If so, then this is the right job for you! Join us and help us shape the future of SAP.

EXPECTATIONS AND TASKS
As a DevOps Engineer, you will have the opportunity to contribute to:
Designing, implementing, testing and deploying new features to the CI/CD system.
Improving our Cloud delivery environment via automation tools (e.g. Terraform / Ansible, Java, Maven, Jenkins pipelines, etc.) and administration platforms like Docker Container Orchestration with Kubernetes.
Assessing new technologies, tools and infrastructure to keep up with the rapid pace of change and build cutting-edge solutions.

In addition, the DevOps Engineer will:
Collaborate in a team environment that extends to colleagues in remote locations for co-innovation and continuous improvement,
Provide support and get feedback to / from internal SAP stakeholder community with the objective to evolve the CI/CD system,
Embrace lean and agile software development principles,

EDUCATION AND QUALIFICATIONS / SKILLS AND COMPETENCIES
Bachelors or master’s degree, preferably in Computer Science, Engineering or equivalent.
Programming skills in one or more languages (e.g. JAVA, JavaScript, Python, Groovy).
Experience in working with large scale CI/CD environments (e.g. Jenkins, Kubernetes, Infrastructure as Code)
Cloud native development knowledge, using various technologies (e.g. SpringBoot, Java, NodeJs, Ruby, GO) is a nice to have.
Teamwork skills, optimistic attitude, self-motivated, proactive and results oriented with a track record for delivering results.
Excellent verbal and written communication, fluent in French and English.

WORK EXPERIENCE
Early talent with up to 2 years of professional experience in enterprise software development
Prior hands-on experience implementing DevOps CI/CD cloud solutions within DevOps environment is recommended.
WHAT YOU GET FROM US
Success is what you make it. At SAP, we help you make it your own. A career at SAP can open many doors for you. If you’re searching for a company that’s dedicated to your ideas and individual growth, recognizes you for your unique contributions, fills you with a strong sense of purpose, and provides a fun, flexible and inclusive work environment – apply now.
SAP'S DIVERSITY COMMITMENT
To harness the power of innovation, SAP invests in the development of its diverse employees. We aspire to leverage the qualities and appreciate the unique competencies that each person brings to the company.
SAP is committed to the principles of Equal Employment Opportunity and to providing reasonable accommodations to applicants with physical and/or mental disabilities. If you are in need of accommodation or special assistance to navigate our website or to complete your application, please send an e-mail with your request to Recruiting Operations Team (Americas: Careers.NorthAmerica@sap.com or Careers.LatinAmerica@sap.com, APJ: Careers.APJ@sap.com, EMEA: Careers@sap.com).
Successful candidates might be required to undergo a background verification with an external vendor.
Additional Locations:"
3,https://www.indeed.fr/emplois?q=Devops&l=Paris&radius=100&limit=100&sort=date&vjk=c05555de5596880c,"Stage - devOps Infrastrutures
Kelenn Technology - Antony (92)",['Antony (92)'],Stage - devOps Infrastrutures,Kelenn Technology,- Antony (92),null,null,"il y a 4 heures
Signaler cette offre d'emploi",Devops,Paris,"Vous souhaitez participer à notre aventure ? KELENN Technology recherche un-e alternant-e pour une mission DevOps.
Qui sommes-nous ?
KELENN Technology est un éditeur de logiciel dédié à l’industrie d’impression jet d'encre 2D et 3D, de vision automatique et de tracking. Nos solutions, utilisées par des acteurs majeurs de l’industrie, mettent en œuvre des développements avancés au service de l’optimisation de la production. KELENN est une société sans la contrainte d’actionnaires extérieurs et avec une politique de recherche et développement soutenue : à hauteur de 50 % de son chiffre d’affaires. Nous évoluons en permanence en fonction des besoins, envies, et idées collectives.
Ambition du poste
Afin de renforcer son équipe, KELENN cherche de nouveaux talents DevOps. Votre mission consistera à :
Mettre en place de nouveaux outils collaboratifs au sein de l’entreprise
Participer au déploiement et paramétrage d’outils de monitoring
Participer à la maintenance du réseaux et des infrastructures
Industrialiser la chaine de production logicielle
Votre profil
De formation Bac+2 à minima, vous avez de solides bases en administration système et réseaux.
Vous maîtriser au moins un langage de scripting (Shell, Python etc.)
Connaissance des containers
Vous êtes autonome, passionné (e), pro-actif (ve), rigoureux (se) et honnête
Vous aimez les challenges et une ambiance de travail décontracté
Ce que l’entreprise va vous apporter
Communauté jeune, expérimentée, passionnée
Ambiance start-up, humaine et vivante
Tickets restaurants, …
Vous pensez être la personne idéale pour ce poste ?
Si l’aventure d’une petite société créée et gérée par des passionnés vous tente, profitez-en pour nous parler de vos projets, vos réalisations personnelles, vos expériences et ce que vous pensez apporter à l’équipe.
Type d'emploi : Temps plein
Type d'emploi : Temps plein
Expérience:
stage devops ou similaire: 1 an (Souhaité)"
4,https://www.indeed.fr/emplois?q=Devops&l=Paris&radius=100&limit=100&sort=date&vjk=f7279c684158fc6b,"Ingénieur DevOps / Freelance
TEOLIA - Paris (75)","['Paris (75)', 'Temps plein, Freelance / Indépendant']",Ingénieur DevOps / Freelance,TEOLIA,- Paris (75),"Temps plein, Freelance / Indépendant",null,"Freelance-info - il y a 3 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Devops,Paris,"Nous recherchons pour notre client un Ingénieur DevOps afin d’intervenir au sein de l’entité IT.

Missions principales :
Participer au développement de la nouvelle plateforme d’intégration Azure IPaas
Maintien et évolution de la plateforme actuelle (AZURE Iaas et Paas)
Travaille avec les feature teams dev pour le lien entre le continious delivery et la disponibilité des services, la performance et l’efficacité au travers de CI/CD et le monitoring
Participer au projet d’infrastructure et d’automatisation
Partager les best practices
Environnement technique :
Microsoft Azure: Service Bus / Event Grid / Functions / Logic Apps / API Management / Data Factory
Powershell / .NET
ARM Template / Ansible / AWX
Azure DevOps / Git / Octopus
Jira / Confluence / Slack
Azure Monitor / Log Analytics / Application Insights
Selenium / Fitness / Cypress
Nutanix / VMware
Compétences techniques demandées :
Anglais courant
Scripting : PowerShell, Bash, Python
Expérience en qualité de support de production
Connaissances et expérience des pratiques Agiles et DevOps
Bonnes connaissances Azure/AWS, Paas, CI/CD
Connaissances Ansible/Puppet
Lieu : Paris
Démarrage : ASAP"
5,https://www.indeed.fr/emplois?q=Devops&l=Paris&radius=100&limit=100&sort=date&vjk=670bb227d45d14b3,"Apprenticeship / Internship: Cloud Infrastructure DevOps Engineer - F/M
SAP2,046 avis - Paris (75)","['Paris (75)', 'Stage']",Apprenticeship / Internship: Cloud Infrastructure DevOps Engineer - F/M,SAP,- Paris (75),Stage,null,"il y a 1 heure
- Continuer pour postuler
Signaler cette offre d'emploi",Devops,Paris,"Requisition ID: 233068
Work Area: Information Technology
Expected Travel: 0 - 10%
Career Status: Student
Employment Type: Limited Full Time
COMPANY DESCRIPTION
SAP started in 1972 as a team of five colleagues with a desire to do something new. Together, they changed enterprise software and reinvented how business was done. Today, as a market leader in enterprise application software, we remain true to our roots. That’s why we engineer solutions to fuel innovation, foster equality and spread opportunity for our employees and customers across borders and cultures.
SAP values the entrepreneurial spirit, fostering creativity and building lasting relationships with our employees. We know that a diverse and inclusive workforce keeps us competitive and provides opportunities for all. We believe that together we can transform industries, grow economics, lift up societies and sustain our environment. Because it’s the best-run businesses that make the world run better and improve people’s lives.
SAP Cloud Platform Engineering Services
As a part of the Technology & Innovation SAP Cloud Platform organization, the Engineering Services unit provides a set of cutting-edge services on many areas (e.g. Cloud delivery, Continuous Integration/delivery, User Assistance infrastructure …) to SAP development units to enable fast, cost effective and reliable delivery of products and cloud services.

The apprenticeship / internship takes place in the team that develops and operates the SAP DITA Content Management System used globally by all internal SAP User Assistance teams to author and release high quality product documentation to SAP customers.

YOUR MISSION
The goal of this apprenticeship / internship is to contribute to the standardization and renovation of the SAP DITA solution.
You will contribute to development and DevOps tasks such as:
Automating the environment through e.g. dockerization, to ensure Infrastructure as a Code
Moving into Cloud infrastructure with Kubernetes cluster
Implementing pipelines for standard CI/CD releases from GitHub to Kubernetes cluster
YOUR TEAM
You will join an experienced development team, working in an agile/scrum mode;
You will work closely with Developers, DevOps experts and product owners;
You will be developing the following skill-set:
Python / Jenkins pipelines /GitHub;
Linux / Docker / Kubernetes;
Team player mindset / Technical English is required to fit with company’s global context;

Duration
For an internship, the duration is 6 months.

Location
SAP France 35, rue d’Alsace 92309 Levallois-Perret, France
WHAT YOU GET FROM US
Success is what you make it. At SAP, we help you make it your own. A career at SAP can open many doors for you. If you’re searching for a company that’s dedicated to your ideas and individual growth, recognizes you for your unique contributions, fills you with a strong sense of purpose, and provides a fun, flexible and inclusive work environment – apply now.
SAP'S DIVERSITY COMMITMENT
To harness the power of innovation, SAP invests in the development of its diverse employees. We aspire to leverage the qualities and appreciate the unique competencies that each person brings to the company.
SAP is committed to the principles of Equal Employment Opportunity and to providing reasonable accommodations to applicants with physical and/or mental disabilities. If you are in need of accommodation or special assistance to navigate our website or to complete your application, please send an e-mail with your request to Recruiting Operations Team (Americas: Careers.NorthAmerica@sap.com or Careers.LatinAmerica@sap.com, APJ: Careers.APJ@sap.com, EMEA: Careers@sap.com).
Successful candidates might be required to undergo a background verification with an external vendor.
Additional Locations:"
6,https://www.indeed.fr/emplois?q=Devops&l=Paris&radius=100&limit=100&sort=date&vjk=3e4bacab522c8cc7,"Technicien support Cloud
IT New Vision - Paris (75)","['Paris (75)', 'CDI']",Technicien support Cloud,IT New Vision,- Paris (75),CDI,null,"il y a 4 heures
Signaler cette offre d'emploi",Devops,Paris,"Créée en 2007, IT-NewVision est spécialisée dans les métiers de la facturation, de la gestion clientèle et de la gestion des ressources humaines, avec une expertise forte dans les secteurs de l'énergie et de l'eau.
Description de l'emploi
Les missions :
Gestion des deux fondations Cloud AWS/Azure
Maintenir et faire évoluer ces deux écosystèmes
Migration des assets Azure vers AWS
Build de nouveaux assets sur le cloud
Roadmap 2019 : une quinzaine d’applications à migrer sur le cloud, avec mise en place d’une pipeline, terraformation complète des applications, monitoring, backup/restore, etc…
Gestion et Évolutions des pipelines CI/CD
Outillage DevOps : Terraform, Docker, Ansible, Jenkins, Shell, Git, EKS
Gestion des Environnements
Maintenir et Faire évoluer les Environnements (assurer leur alignement, garantir leur fonctionnement, communiquer les indisponibilité) et les Interfaces SI Tiers (flux, montée de version des webservices, certificats, …) et mettre en œuvre les montées de version
Gestion des Outils Transverses
Factory, CI/CD, Ticketing, outils collaboratifs, etc..
Gestion des Composants Transverses
Gérer les Accès aux Outils
Animer les projets / changements & impacts / incidents / améliorations
Gestion du Monitoring
Mettre en place l’outillage de monitoring
Mettre en place et Assurer la maintenance des sondes
Alerter sur les indispos des environnements (préventifs, réactifs)
ELK, Grafana, Senzu/Uchiwa, Splunk
Environnements technique : AWS (multi services), Azure, Docker, Terraform, Ansible, Jenkins, Nessus, Maven, Grafana, Senzu/Uchiwa, Splunk, AEM, Jboss, Apache, SonarQube, Gitlab, LDAP, Jira, Confluence, API Management, Oracle, MySQL, SQLServer, MariaDB, Blueprism (RPA).
Nous cherchons un profil qui puisse nous appuyer sur la gestion des demandes Standard, la qualification des Incidents, et la rédaction de procédures pédagogiques de gestes d’exploitation à destination des équipes applicatives.
Nous recherchons donc un(e) Technicien Support Cloud qui remplira ces différentes tâches grâce à ses compétences techniques et son savoir être.
Profil recherché
Qualification : Technicien en informatique (BAC+2 minimum)
Compétences métiers / techniques :
Connaissance d’un langage de programmation : Shell
Connaissance informatique : administration de serveur Linux
Connaissance d’outillage : écosystème DEVOPS
Outil de versioning : type GITLab
Outil de CI/CD : type Jenkins
Outils de monitoring
Outil de ticketing type JIRA * Connaissance Cloud (AWS) serait un plus
Connaissances générales des problématiques Infrastructures, WEB, réseau et sécurité
Savoir-être :
Bon relationnel avec les collaborateurs et les clients
Sens du service
Rigueur et sens de l’organisation
Esprit de travail collaboratif
Curiosité
Qualités de communication et d’écoute
Les missions que le profil aura à remplir pourront être :
Accueil des demandes des utilisateurs suite à des dysfonctionnements
Pré-Qualification des demandes ou incidents
Traitement ou déclenchement des actions de support correspondantes
Suivi des tickets d’incidents ou de demandes : suivi du traitement des appels des clients. Exploitation de la base d'incidents : relances, consolidation,
Réalisation de fiches pédagogiques ou procédures d’exploitation à destination des consommateurs de services
Appui à la mise à jour documentaire
Information des clients : alerte, information du client. Diffusion d'informations.
Mise à jour des contrôles réguliers du monitoring
Mission pérenne, à pourvoir au plus tôt.
Type d'emploi : CDI
Expérience:
technicien support cloud ou similaire: 2 ans (Souhaité)"
7,https://www.indeed.fr/emplois?q=Devops&l=Paris&radius=100&limit=100&sort=date&vjk=75cd181e0e9a3a09,"Développeur Java Full Stack (H/F)
Thales Group1,223 avis - Vélizy-Villacoublay (78)",['Vélizy-Villacoublay (78)'],Développeur Java Full Stack (H/F),Thales Group,- Vélizy-Villacoublay (78),null,null,"Thales - il y a 4 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Devops,Paris,"QUI SOMMES-NOUS ?
Thales propose des systèmes d’information et de communication sécurisés et interopérables pour les forces armées, les forces de sécurité et les opérateurs d’importance vitale. Ces activités, qui regroupent radiocommunications, réseaux, systèmes de protection, systèmes d’information critiques et cybersécurité, répondent aux besoins de marchés où l’utilisation des nouvelles technologies numériques est déterminante. Thales intervient tout au long de la chaîne de valeur, des équipements aux systèmes en passant par le soutien logistique et les services associés.
Sur le site de Vélizy le Bois, les équipes développent et installent des systèmes d’information de commandement et de renseignement, systèmes de sécurité nationale et solutions de sécurité pour les villes, les États et les infrastructures critiques, ainsi que des systèmes d’information critiques et de cybersécurité. Le site abrite également les équipes en charge les solutions de supervision et de signalisation ferroviaire pour les grandes lignes et les réseaux de trafic urbain.
QUI ETES-VOUS ?
De formation Bac +5 en informatique (école d’ingénieur, Master ou équivalent), vous possédez une première expérience professionnelle réussie dans le domaine du développement d’application Java à la fois sur le front end et le back end. Vous maîtrisez les langage Java (Spring MVC, Hibernate, WebServices REST) et angular. Vous connaissez le développement dans un contexte industriel et les plateformes d’intégration continue, de qualimétrie et de test (Jenkins, Maven, Sonar, JUnit,…).
Vous êtes curieux(se) ?
Vous êtes rigoureux (se) ?
Vous êtes force de proposition ?
Vous avez le sens de l’engagement ?
Alors venez vite nous rejoindre ! Nous recherchons des équipières ou des équipiers Agile pour intégrer une équipe dynamique sur un programme innovant chez un de nos partenaires.
CE QUE NOUS POUVONS ACCOMPLIR ENSEMBLE :
Notre cible est l’accompagnement de nos partenaires de la Défense, des Services de L’Aéronautique, de l’Energie ou des Transports sur des projets critiques, en termes de transformation numérique, de métier et/ou de cybersécurité.
En nous rejoignant, vous intégrerez un programme innovant d’envergure et vous deviendrez un des acteurs de la transformation numérique dans le domaine de l’énergie.
Dans un contexte agile Safe et devops, vous vous verrez confier les missions suivantes :
Concevoir une architecture répondant aux besoins du métier,
Prendre en compte les problématiques de performance et de sécurité,
Travailler de concert avec notre réseau d’Architectes et de développeurs,
Assurer une veille technologique permanente sur l’évolution des techniques de programmation et des outils, et assurer un rôle de conseil et d’expertise auprès de nos clients.
Vous aurez la possibilité de monter en compétences sur les technologies de demain en participant à des POC afin de promouvoir un savoir-faire et des nouvelles technologies ou d’évoluer vers un poste d’Architecte ou de Tech Lead.
En nous rejoignant, votre première mission consistera, à intégrer une équipe agile de 6 équipiers dont la mission est d’accompagner un grand opérateur de l’énergie dans sa transformation numérique vers ses clients et partenaires dans un environnement technique java, Angular, et devops (Ansible et doker).
La perspective de rejoindre un Groupe innovant vous motive ? Alors rejoignez-nous en postulant à cette offre.
Innovation, passion, ambition : rejoignez Thales et créez le monde de demain, dès aujourd’hui."
8,https://www.indeed.fr/emplois?q=Devops&l=Paris&radius=100&limit=100&sort=date&vjk=7a9a25273405be6c,"Senior Ops Engineer
SMART ADSERVER - Paris (75)","['Paris (75)', 'CDI']",Senior Ops Engineer,SMART ADSERVER,- Paris (75),CDI,null,"il y a 1 heure
- Continuer pour postuler
Signaler cette offre d'emploi",Devops,Paris,"About the team
Smart’s software engineers develop the next-generation technologies that empower our customers to reach their digital business goals. They grow in a demanding environment that values performance and high-availability: our platform manages over 1 million bid requests per second and our dataset is about 3 petabytes in Hadoop (more than 2TB additional data per day).
Our innovation team based in Paris and Nantes is composed by 70 straightforward and energetic individuals working in an Agile environment and ready to tackle the most complex technical challenges.
Your mission
Reporting to our DevOps Foundation Team Lead, you will join a team of stop-at-nothing individuals to implement all your ideas, and much more!
Grow and maintain Smart’s worldwide infrastructure. Ensure the effective operation of servers, network, backups and security (1 200+ servers on 5 DC including 3 in Paris, 1 in Miami and 1 Cloud POP in APAC)
Configure everything using automation
Design growth production indicators to drive the platform capacityLead infra technical projects (DC moves, new network stack migration…) and act as a technical expert to other R&D teams
Have a DevOps systematic approach for:
Automating frequent network / server operations
handling existing or new middleware technical stacks configuration
monitoring key system metrics of the platform
Participate to the platform transformation by leveraging public cloud approach for strategic R&D projects
Strengthen relationships with our top IT service providers
Resolve and monitor software and hardware problems.
Track production indicators.
Build strong relationships with our IT service providers.
Push your ideas on any new projects (cloud, virtualization, security, network optimizations…)
About you
You graduated from a Master Degree in Computer Science (systems, network, security)
You have 5+ years’ experience as a Linux System Engineer in a demanding production environment based on high availability and performance
You master a few of the following network and middleware stacks that the team works with: switch, firewall, HAproxy, Redis, Hadoop, Aerospike, Prometheus, Grafana, RabbitMQ, Kafka, ClickHouse
You demonstrated ability and interest in working in an Agile environment and on configuration management technologies (Ansible / Chef / Puppet)
You have experience with public cloud management through DevOps principles / automate everywhere
You have deep understanding of network and security best practices
You are at ease prioritizing tasks
You are a hands-on problem-solver able deal with several projects simultaneously
Fluent English is required
Why you should apply...
We are one! At Smart, we care for our people. We are certified Great Place To Work and are constantly improving our working environment. Meet the team: https://youtu.be/BxvmLDyXct0
Grow with us! You will work in a challenging and fast-paced profitable context with varied projects and get awesome opportunities to develop your skills and grow internally.
Leave your mark! Smart is a human-size company. Our employees thrive under autonomy and can easily have a strong impact on our business, customers and organization.
✈️ Live global! You will work across countries & cultures through career path or Backpackers Program, our interoffice exchange program to boost employees’ collaboration.
We are transparent! We speak with fact and data and have a true culture of feedback. We believe in an open world and show a strong sense of integrity both internally & externally."
9,https://www.indeed.fr/emplois?q=Devops&l=Paris&radius=100&limit=100&sort=date&vjk=b6cac306f3e994a3,"Développeur Oracle, PL/SQL / Freelance
SOFTEAM6 avis - Paris (75)","['Paris (75)', 'Temps plein, Freelance / Indépendant', '460 € par semaine']","Développeur Oracle, PL/SQL / Freelance",SOFTEAM,- Paris (75),"Temps plein, Freelance / Indépendant",460 € par semaine,"Freelance-info - il y a 3 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Devops,Paris,"Nous recherchons un Développeur Oracle, PL/SQL pour une mission au sein d’un grand compte.

Compétences techniques :
PL/SQL
Environnement UNIX/LINUX, Script SHELL, ...
Bases de données (Oracle - plsql)
CTRL M ordonnanceur de batchs
Quality Cente

Compétences fonctionnelles :
Maitrise des outils Jira, Confluence, pratique du Devops
Autonomie/Organisation/force de proposition
Capacité à travailler en équipe dans un contexte agile
Banque / Credit à la consommation
Sens du service et du résultat
Bonne compréhension des besoins et enjeux métier

Bonus: Expérience dans la secteur de la Finance"
