,id,meta1,meta2,titre_poste,entreprise,localisation,contrat,salaire,date_publication,keyword_metier,keyword_localisation,description
0,https://www.indeed.fr/emplois?q=Data%20Analyst&l=Paris&radius=100&limit=100&sort=date&vjk=270eabc86ce58390,"Data Analyst Intern
Doctolib3 avis - Paris (75)",['Paris (75)'],Data Analyst Intern,Doctolib,- Paris (75),null,null,"il y a 53 minutes
- Continuer pour postuler
Signaler cette offre d'emploi",Data Analyst,Paris,"Doctolib recherche un stagiaire Data Analyst pour aider nos équipes à offrir une expérience utilisateur hors du commun aux 100 000 professionnels de santé qui utilisent Doctolib chaque jour et aux 40 millions d'Européens qui se rendent chaque mois sur nos sites.

Au cœur de l’équipe Data, tu soutiendras les data analysts dans leur mission de construire et gérer notre stack data, et de manipuler et d’analyser des données volumineuses et variées afin de faciliter la prise de décision des team leaders et du top management. L’objectif est ainsi de permettre à toutes les équipes de mieux accompagner et conseiller les professionnels de santé dans leur pratique au quotidien.

Point important chez Doctolib : la donnée est entièrement chiffrée et anonymisée. Tu feras partie de l'équipe Data et tes clients seront des équipes business en interne (Sales et Lead Generation) ainsi que l’équipe produit.

Les missions du poste :

En collaboration avec les autres membres de l’équipe Data, tes missions seront les suivantes :

Utiliser les millions d’informations à disposition pour permettre à l’équipe produit de prendre les meilleures décisions d’évolution de Doctolib (via des analyses des données produit, data researches, deep dives, executive summaries, etc.)
Suivre et analyser les KPIs des fonctionnalités en production afin d’aider l’équipe produit à la prise de décision à fort impact (amélioration de fonctionnalité, quick win, pivot, suppression de fonctionnalité, etc.)
Mettre en place et monitorer les KPIs macro de Doctolib (rapports, visualisations, présentations, etc.)
Participer à des analyses transverses auprès du top management.

Par ailleurs, tu consacreras une partie de ton temps à mener de bout en bout un projet de data science / machine learning consacré aux problématiques rencontrées par notre équipe produit: la création d’un modèle dédié soit à améliorer notre produit, soit à aider une équipe business à être plus performante !

Notre stack data :

ETL: AirflowDatawarehouse: AWS S3 / RedshiftBI / Reporting: Periscope DataAd-Hoc / Exploration: Periscope Data, Jupyter notebooks, Datagrip

Le profil recherché :

Tu es en césure ou fin d’étude d’une école d’ingénieur et/ou de commerce;
Tu es motivé pour tout connaître sur le SQL;
Tu sais que python et pandas ne sont pas que des animaux du zoo;
Tu es orienté(e) résultats;
Tu es excellent(e) communicant(e), bien organisé(e), force de proposition et tu fais preuve de leadership;
Tu parles couramment anglais.

Qui sommes-nous ?

Lancé en 2013 par 3 entrepreneurs, Stanislas, Ivan et Jessy, Doctolib est le premier service de e-santé en Europe.Pour les patients, Doctolib offre un service de prise de rendez-vous de médecin en ligne, gratuit et rapide. Pour les professionnels de santé, Doctolib est le premier service complet de gestion des rendez-vous médicaux avec pour but d’améliorer l’organisation du cabinet, d’offrir de nouveaux services aux patients ou encore de collaborer entre confrères.Notre objectif est de créer des outils et services simples pour améliorer l’organisation du soin et le quotidien des professionnels de santé.

Quelques chiffres sur notre croissance :

– Nous travaillons aujourd’hui avec 100 000 médecins.
– Plus de 2 000 hôpitaux et grands établissements Français et Allemands utilisent Doctolib.
– Plus de 40 millions de patients se rendent sur Doctolib chaque mois.
– Nous avons construit en 6 ans une équipe de plus de 1000 Doctolibers dans 40 villes françaises et allemandes.

Les 5 piliers de Doctolib : Le «SPAAH»

– Service : Fournir un service hors du commun
– Passion : Prendre toujours du plaisir
– Ambition : N’avoir aucune limite
– Attaque : Être déterminé(e), réussir par la porte ou par la fenêtre
– Humilité : Être à l’écoute et se remettre en question

Informations pratiques :

– Stage de fin d’étude
– A pourvoir dès que possible
– Paris, 8ème"
1,https://www.indeed.fr/emplois?q=Data%20Analyst&l=Paris&radius=100&limit=100&sort=date&vjk=4581908e9a5e64c4,"Business Analyst H/F
IT New Vision - Paris (75)","['Paris (75)', 'CDI']",Business Analyst H/F,IT New Vision,- Paris (75),CDI,null,"il y a 4 heures
Signaler cette offre d'emploi",Data Analyst,Paris,"Créée en 2007, IT-NewVision est spécialisée dans les métiers de la facturation, de la gestion clientèle et de la gestion des ressources humaines, avec une expertise forte dans les secteurs de l'énergie et de l'eau.
Description de l'emploi
Au sein du domaine « transverse » de la DSI/Data & Digital, l’équipe « Foundation » propose un ensemble de services sur lesquelles repose la majeure partie des applications digitales.
L’équipe « Foundation » a notamment pour mission d’offrir des services tels que :
La gestion des utilisateurs (connexion, déconnexion, changement de mot de passe…).
La sécurisation des accès aux web services du Digital.
Les interaction sortantes (l’envoi de mails, SMS, notifications mobiles…).
La gestion des documents (stockage temporaire de documents, système d’anti-virus et de purge,…)
La restitution des différentes offres tarifaires pour les particuliers.
La mise à disposition d’une librairie technique transverse.
Profil recherché
Qualification : BAC+5 minimum en informatique
Compétences métiers / techniques :
Savoir appréhender des sujets technico fonctionnels et élaborer les dossiers de conception, spécifications fonctionnelles, cahiers de validation internes et tests afférents.
Capacité à monter vite en compétence sur des sujets fonctionnels complexes.
Capacité à appréhender des modèles de données complexes et une bonne connaissance du SQL.
Bonne connaissance des web services REST et SOAP.
Une expérience significative sur les aspects front-end/back-end (Architectures SI).
Très bonne connaissance de la gestion documentaire et des bonnes pratiques dans la mise en œuvre de solutions informatique.
Capacité à traiter différents sujets en parallèle.
Expérience similaire dans le monde du B2C.
Les + :
OAuth 2.
Des connaissances sur les méthodes Agile, en particulier Scrum.
Savoir-être :
Rigoureux et bon sens de l’organisation
Dynamisme et proactivité
Aisance relationnelle. Du fait de la transversalité de la mission, le candidat sera en relation avec un grand nombre d’équipes.
Qualités de communication et d’écoute
Grande curiosité et capacité d’initiative
Esprit de travail collaboratif
Mission pérenne, à pourvoir au plus tôt.
Type d'emploi : CDI
Expérience:
business analyst h/f ou similaire: 4 ans (Souhaité)"
2,https://www.indeed.fr/emplois?q=Data%20Analyst&l=Paris&radius=100&limit=100&sort=date&vjk=1fe01c5f143dac09,"Web Analyst F/H
Smile20 avis - Asnières-sur-Seine (92)","['Asnières-sur-Seine (92)', 'CDI']",Web Analyst F/H,Smile,- Asnières-sur-Seine (92),CDI,null,"Apec.fr - il y a 45 minutes
- Continuer pour postuler
Signaler cette offre d'emploi",Data Analyst,Paris,"Smile Digital, agence digitale du groupe Smile (leader des solutions open source en Europe), rassemble les métiers suivants : Stratégie digitale, UX / UI Design, Accessibilité, Acquisition de trafic et Contenus.

Smile Digital recherche aujourd'hui un(e) Digital analyst (Chargé(e) de Web analyse) pour renforcer son offre globale d'Acquisition de Trafic, en particulier ses expertises Web Analyse et CRO.

Vos missions

Rattaché(e) au Responsable du Pôle Acquisition de Trafic & Contenus de Smile Digital, votre principale activité sera de mettre en place, de suivre et d'analyser les métriques d'audience et d'activité des sites web de nos clients ainsi que de proposer des solutions d'optimisation des performances.

Vos principales missions seront les suivantes :
Définition des indicateurs et métriques à analyser et des objectifs à atteindre

Elaboration de plans de taggage (via Google Analytics et/ou Google Tag Manager)

Support des équipes techniques pour la mise en place du tracking

Suivi quantitatif et qualitatif de l'audience et des conversions

Suivi des performances webmarketing (SEO, A/B testing, e-mailing, adwords…)

Edition de tableaux de bord personnalisés et de rapports de mesure destinés aux clients et aux équipes internes

Elaboration d'audits de trafic (canaux, parcours, tunnels de conversion…)

Elaboration de recommandations (technique, UX, contenus…) à partir des analyses effectuées et suivi de leur mise en œuvre
Profil recherché Vos compétences

Maîtrise des outils de web analyse, en particulier Google Analytics et Google Tag Manager

Bon niveau en mathématiques (statistiques)

Pack Office (Excel et Powerpoint)

Bonne connaissances en HTML, CSS et programmation web

Connaissance des principaux CMS open source (Drupal, Magento…)

Bonnes notions de data visualisation et de présentation des données

Connaissance de Google Adwords et Social Ads

Connaissance de la Search Console et des outils de suivi SEO

Formation & Expérience :
Bac+3/4/5 en communication digitale / web marketing / mathématiques

3 ans minimum dans l'acquisition de trafic

Certification Google Analytics impérative

Qualités :
Réelle passion pour la data, le digital et les nouvelles technologies

Bon niveau d'anglais à l'oral et à l'écrit
Entreprise Smile est le leader du ""sourire"" au travail mais aussi de l'intégration et de l'infogérance de solutions open source.

Enthousiaste, agile et performant, sa vocation est de libérer le potentiel d'innovation des entreprises, à travers l'open source.

Ses smiliens experts accompagnent les entreprises dans des domaines aussi variés que le Digital, les Business Apps, l'Embarqué & l'IoT et l'Infrastructure.

Ils sont plus de 1700 collaborateurs présents dans 7 pays, avec 15 agences réparties en France et à l'international.

Un plus : Smile est labellisé

Happy At Work !"
3,https://www.indeed.fr/emplois?q=Data%20Analyst&l=Paris&radius=100&limit=100&sort=date&vjk=1e0ae57458e9d0c6,"Junior Traffic Manager (m/f/d)
Artefact3 avis - Paris (75)",['Paris (75)'],Junior Traffic Manager (m/f/d),Artefact,- Paris (75),null,null,"il y a 4 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Data Analyst,Paris,"Who we are
Artefact is a new generation of a data service provider, specialising in data consulting and data-driven digital marketing, dedicated to transforming data into business impact across the entire value chain of organisations. We are proud to say we’re enjoying skyrocketing growth.
Our broad range of data-driven solutions in data consulting and digital marketing are designed to meet our clients’ specific needs, always conceived with a business-centric approach and delivered with tangible results. Our data-driven services are built upon the deep AI expertise we’ve acquired with our 1000+ client base around the globe.
We have 1000 employees across 20 offices who are focused on accelerating digital transformation. Thanks to a unique mix of company assets: State of the art data technologies, lean AI agile methodologies for fast delivery, and cohesive teams of the finest business consultants, data analysts, data scientists, data engineers, and digital experts, all dedicated to bringing extra value to every client.

Missions:

Guide the consulting teams on the technologies/tools to be used according to customer needs.
To intervene upstream with the consulting teams and business experts (SEA, SEO, Adexchange, Media, Affiliation, Analytics…) about the tracking strategy to be implemented in order to meet customer needs and implement a tagging plan
Check the conformity of the creative elements before putting advertising campaigns online, and ensure the proper implementation of the proposed tagging plan
Ensure the follow-up and reporting of advertising campaigns
Work with the development and consulting teams on customer Dashboards
Work closely with Analytics teams and Data scientists on campaign analysis and Data project implementation
Monitor technological developments in the business and tracking tool

Profile:
You have 1 year of experience in a similar position.
You are organized, conscientious and organized.
You have a good interpersonal skills.
A data culture as well as a good knowledge of Javascript language is essential to carry out your missions successfully.

Why join us?
Package happiness
Artefact is the place to be: come and build the future of marketing
Progression: every day offers new challenges and opportunities to learn
Culture: join the best team you can imagine
Entrepreneurship: you will join a team of motivated entrepreneurs. We will not give up until we make a huge cut in this industry.
Environnement : you will work in suitable environment thanks to our happiness package (fitness room inside our office, free breakfast each morning,…)
Team : in the Digital marketing team who covers all performance marketing levers, you will join 5 consultants operating as well tracking management Ad centric as Site centric.
Expertise : you will be able to develop your knowledge & skills as well tracking management through the use of proprietary innovative tools as transversal thanks to our training days and RETEX."
4,https://www.indeed.fr/emplois?q=Data%20Analyst&l=Paris&radius=100&limit=100&sort=date&vjk=4a5a44c55d073c4b,"Digital Business Analyst H/F - Leader d'un secteur en pleine mutation
Michael Page251 avis - Paris (75)",['Paris (75)'],Digital Business Analyst H/F - Leader d'un secteur en pleine mutation,Michael Page,- Paris (75),null,null,"Michael Page FR - il y a 5 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Data Analyst,Paris,"Vos missions en tant que Digital Business Analyst sont les suivantes :

Vous analysez et interprétez la data :
Créer et enrichir le tracking des KPI's afin de pouvoir définir le « digital Customer Journey » en lien avec les différents départements interne,
Crée, développer et gérer les reportings (dashboards) en incluant le web (trafic, SEO, etc.), le social (organique, influence) ainsi que la data CRM,
Participer à l'élaboration de rapports d'activations (rapport post-activation, rapports ad hoc, rapport d'événement) avec analyse et recommandations,
Gérer les échanges avec l'Area, la région et le siège mondial quant à la performance,
Être force de proposition sur les nouveaux outils, les nouvelles approches innovantes (IA, machine learning, etc.) pouvant avoir un impact positif sur l'activité.

Vous proposez des recommandations relatives à la stratégie digitale et des plans d'activation :
Déterminer le modèle d'attribution et de contribution afin d'en émettre des recommandations d'optimisation des activations,
Fournir des insights et recommandations sur les best practices digital afin de contribuer à la croissance du business,
Coordonner la mise en place ses actions data driven en construisant les insights en actions opérationnelles.

Ayant une formation BAC +4 minimum en école de commerce ou master spécialisé en marketing digital, vous avez au moins 2 ans d'expérience en tant que Digital Business Analyst acquise dans le domaine des biens de consommation, avec une expérience d'e-commerce ou retail.

Vous avez une bonne compréhension des KPIs digitaux et une grande capacité d'analyse et de synthèse ainsi qu'un excellent relationnel.

Vous êtes autonome, rigoureux, curieux et êtes force de proposition, vous maîtrisez les outils de Data visualisation.

L'anglais courant est exigé."
5,https://www.indeed.fr/emplois?q=Data%20Analyst&l=Paris&radius=100&limit=100&sort=date&vjk=8a0f034ab3cf94f1,"Senior Consultant -- IT Finance
AiYO Group - Paris (75)","['Paris (75)', 'Temps plein, CDI']",Senior Consultant -- IT Finance,AiYO Group,- Paris (75),"Temps plein, CDI",null,"il y a 5 heures
Signaler cette offre d'emploi",Data Analyst,Paris,"Fondée en 2016 par deux professionnels de la Finance, AiYO est spécialisée dans l’intervention opérationnelle à destination des Institutions Financières.
Notre Culture:
Adaptabilité et curiosité sont les valeurs fondamentales d’AiYO. Notre équipe d’experts les décline au quotidien afin de garantir la satisfaction de ses clients.
Notre Forces:
La principale force d’AiYO réside dans la diversité du réseau de clients prestigieux et d’experts, entretenu depuis de nombreuses années dans le domaine des marchés de capitaux.
Website: https://aiyo.fr/
Votre mission:
Nous recherchons les Consultants (IT Finance) avec de bonnes connaissances en programmation orientée objet (C++ / C# / Scala - Spark) et 5 ans d'expérience des marchés des capitaux (CIB, gestionnaire d'actifs, banque de financement et d'investissement, compagnie d'assurance )
Nous recherchons également les profils suivants :
Quantitative Analyst
Data Scientist
Machine Learning
Profil requis:
Vous Issu(e) d’une formation supérieure ( Ecole d’ingénieur, Computer Science)
Bonne connaissance des produits financiers
Bon niveau d'anglais
Formation supérieure à dominante Statistiques / Datamining / Big Data / Data Science/Machine Learning.
Maîtrise d'un langage de manipulation de données (C++ / C# / Scala - Spark)
Type d'emploi : Temps plein, CDI
Expérience:
Scala: 2 ans (Requis)"
6,https://www.indeed.fr/emplois?q=Data%20Analyst&l=Paris&radius=100&limit=100&sort=date&vjk=f45a689f2caf393a,"DÉVELOPPEUR INFORMATIQUE (F/H)
Expectra.fr67 avis - Courbevoie (92)","['Courbevoie (92)', 'Intérim', '33 000 € par an']",DÉVELOPPEUR INFORMATIQUE (F/H),Expectra.fr,- Courbevoie (92),Intérim,33 000 € par an,"il y a 3 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Data Analyst,Paris,"Expectra, leader en France de l'intérim spécialisé et du recrutement en CDI de cadres et agents de maîtrise.
Les consultants du Département Banque & Assurance vous proposent des opportunités de carrière.

Nous recherchons pour le compte de notre client, grande compagnie d'assurance basée à la Défense, Un chargé de pilotage F/H pour une mission d'intérim de 12 mois.

Vous aurez comme missions de participer aux travaux récurrents et aux contrôles des activités de la DISC
Proposer et mettre en place des actions pour sécuriser et optimiser les processus internes
Répondre aux demandes de pilotage de la DISC
Réaliser des études opérationnelles et statistiques
Contribuer activement à la réussite des chantiers clés du pilotage opérationnel et aux projets de la DISC.

De formation Bac+2, vous justifiez d'une expérience de 5 années minimum.
Formation statistique, traitement des données ou équivalent
Maitrise avancée des outils SAS (V9 et Enterprise Guide)
Esprit d'analyse et de synthèse, agile, force de proposition, facilité à travailler sous pression
Capacité d'écoute, goût du travail en équipe, rigoureux, autonome, réactif, aisance relationnelle.
Notre client recherche une personne orienté data/données, maîtrisant le codage sous SAS pour des travaux d'industrialisation et d'optimisation.

Vous avez un profil métiers orientés suivis et reportings ou IT de développeur ou de business analyst seraient l'idéal postulez !"
7,https://www.indeed.fr/emplois?q=Data%20Analyst&l=Paris&radius=100&limit=100&sort=date&vjk=bf47540e48b3ea3a,"Tech lead full stack / Freelance
Eurostaff group SAS - Paris (75)","['Paris (75)', 'Temps plein, Freelance / Indépendant']",Tech lead full stack / Freelance,Eurostaff group SAS,- Paris (75),"Temps plein, Freelance / Indépendant",null,"Freelance-info - il y a 3 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Data Analyst,Paris,"L’un de mes clients recherche un Lead Dev Angular/Springboot

Réalisation d’une nouvelle web-application
Migration des fonctionnalités existantes d’une autre application à dé commissionner
Mise en place d’APIs autour d’une base de données qui centralise les données
Java 8, SpringBoot 2, Angular 7, Postgre 9, Docker

SQL, Postgre
Java, Hibernate
Automatisation des tests
Restfull API
Agile/Scrum
TDD
Revue de code
Clean Code
Behavior-driven Dev
Pair programming
Design Patterns
Technique de Refactoring
Oriented Object principes SOLID
OAuth2
Docker
Cloud
Chaine CI/CD
Sonar
Gitlab, Maven, Sonar
JIRA, Confluence, Slack
L’équipe est composée de :
1 PO
1 Business Analyst
1 UI/UX
1 Scrum Master/Product Leader
4 développeurs
1 data engineer"
8,https://www.indeed.fr/emplois?q=Data%20Analyst&l=Paris&radius=100&limit=100&sort=date&vjk=3fba14b11416c696,"EU Sustainability Analyst
Amazon France Logistique SAS38,557 avis - Paris (75)",['Paris (75)'],EU Sustainability Analyst,Amazon France Logistique SAS,- Paris (75),null,null,"Amazon.com - il y a 6 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Data Analyst,Paris,"At least 8 years of professional experience in quantitative analytics or business intelligence.
Degree in engineering, operations research, mathematics, statistics, or other quantitative areas such as computer science or physics. Master’s level degree or higher preferred.
Knowledge of SQL. Mathematical, analytical, and data-driven decision making skills.
Experience with statistical analysis tools (such as R), root cause analysis, process design and control.
Excellent Microsoft Office skills, including strong working knowledge of Excel and VBA.
Excellent written and verbal communication skills. Ability to simplify complex topics for broad audiences. The role requires effective communication with colleagues from computer science, operations research and business backgrounds.
Team player with proven ability to work with cross-functional teams in various locations.
A track record of problem solving and creativity in finding/designing new solutions and innovative methods, using software systems and the desire to create and build new processes.
Ability to handle multiple competing priorities and projects in a fast-paced environment.

Amazon seeks a passionate, results-oriented, data and analytic engineer to join our European Global Transportation Services organization and work towards the carbon neutral target that Amazon pledged to reach by 2040. You will be responsible to optimize our complex and expanding European Fulfillment Network in that direction. Do you think you are up to the challenge? Would you like to stretch your skills, learn from other super smart people, and develop your career?

Successful candidates will have the attitude of a data detective combined with strong analysis skills and problem solving mindset. This is a highly visible role that requires partnering with software development, retail, fulfillment centers and transportation teams. You must have the experience and capability to create and present documentation for senior executives. Excellent written and verbal communication, and ability to prioritize well are essential skills.

Your responsibilities include:

Identify the biggest opportunities to transition towards a carbon-neutral supply chain and transportation network
Lead complex analysis, develop models and reports to drive key strategic decisions.
Identify opportunities to deliver step-changes in supply chain performance through configuration, parameter adjustment, or based on innovative mathematical analysis.
Partner with operations, retail and software teams to implement key strategic initiatives.
Analyze and track carbon impacts and prioritize new features based on their relevance, communicate results with Senior leadership.
Research, evaluate and roll-out software, tools or process improvements.

Experience with scripting languages (Python, Perl, or Ruby) and UNIX.
Experience with analyzing big data sets (100M+ rows)
Experience working effectively with software engineering teams. Technical aptitude and familiarity with the design and use of software systems.
Familiarity with supply chain management concepts - forecasting, planning, optimization, logistics - gained through work experience or graduate level education.
Familiarity with statistical concepts and advanced statistical techniques - distributions, confidence intervals, time series analysis, regression models, clustering, machine learning
Familiarity with mathematical modelling & simulation techniques – probability, optimization (linear programming, etc.), graph theory, state models
Familiarity with Big Data concepts and platforms (Hadoop, Mahout, etc.)"
9,https://www.indeed.fr/emplois?q=Data%20Analyst&l=Paris&radius=100&limit=100&sort=date&vjk=deb3dcecd5ad1e7b,"BUSINESS ANALYST(H/F) IDF
Umanis35 avis - Hauts-de-Seine",['Hauts-de-Seine'],BUSINESS ANALYST(H/F) IDF,Umanis,- Hauts-de-Seine,null,null,"Handi-it.fr - il y a 11 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Data Analyst,Paris,"LE LEADER FRANCAIS DE LA DATA RECRUTE.Rejoindre Umanis, c'est participer à une formidable aventure, celle d'une entreprise française en croissance continue, reconnue pour sa capacité d'innovation et son dynamisme.Umanis, c'est plus de 2700 passionnés de nouvelles technologies qui partagent les mêmes valeurs qu sont l'excellence, la responsabilité, le respect et la convivialité.Umanis, c'est une communauté avec une moyenne d'âge de 35 ans qui intervient en ingénierie de pointe sur les projets stratégiques des plus grands donneurs d'ordre ou pour le compte d'entreprises pour qui la data est vecteur de transformation.Umanis, c'est un management et une organisation au plus proche de ses collaborateurs pour vous accompagner dans votre parcours professionnel. Formation, certifications, MOOC, CPEC ; nous avons à coeur de vous faire évoluer en continu.L'amoa est responsable d'une sous-partie fonctionnelle du projet. Il intervient comme représentant des besoins utilisateurs sur son métier (par ex : achat, supply chain, finance, production, rh, etc.)VOS MISSIONS:Les tâches principales de l'AMOA sont :
Aider le client à l'expression des besoins, les recueillir et les analyser
Analyser et définir les périmètres fonctionnels#LI-DNP
Modéliser les processus Métiers (cartographie, flux …)
Rédiger les spécifications fonctionnelles et le cahier de charges
Communiquer avec le maître d'oeuvre et suivre les équipes projets
Contrôler l'intégration
Rédiger le cahier de recette et contrôler et réaliser les recettes utilisateur
Piloter le projet sur son périmètreCOMPETENCES REQUISES:Analyses qualitatives et quantitatives (Confirmé), Anglais (Confirmé), Compétences rédactionelles (Confirmé), Gestion de projet (Confirmé), Gestion réglementaire et contractuelle (Intermédiaire), Maîtrise des logiciels (Confirmé), Veille, analyse et gestion documentaire (Intermédiaire)En 2019, Umanis recrute 1000 nouveaux talents sur l'ensemble du territoire français. Et si c'était vous ?"
