,id,meta1,meta2,titre_poste,entreprise,localisation,contrat,salaire,date_publication,keyword_metier,keyword_localisation,description
0,https://www.indeed.fr/emplois?q=Data%20consultant&l=Toulouse&radius=100&limit=100&sort=date&advn=6251826015201314&vjk=a36f2653ced9ec72,"Stage - Innovation et Détection de Cyber Attaques H/F
SOPRA STERIA380 avis - Toulouse (31)","['Toulouse (31)', 'Stage']",Stage - Innovation et Détection de Cyber Attaques H/F,SOPRA STERIA,- Toulouse (31),Stage,null,"StepStone FR - il y a 10 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Data consultant,Toulouse,"Sopra Steria, fort de près de 42 000 collaborateurs dans plus de 20 pays, propose l'un des portefeuilles d'offres les plus complets du marché : conseil, intégration de systèmes, édition de solutions métier, infrastructure management et business process services.
En forte croissance, le Groupe accueillera 3 100 talents en 2018 en France pour participer à ses projets d'envergure sur l'ensemble de ses métiers.
Vous aussi, rejoignez-nous et participez au monde numérique de demain !
La BU Cybersécurité compte 250 experts répartis entre Paris et Toulouse. A l'heure où les cyber-menaces sont de plus en plus nombreuses et complexes, elle apporte aux grands acteurs publics et privés des savoir-faire en cybersécurité et confiance numérique pour protéger leurs informations sensibles et accélérer leur développement numérique.

Vos responsabilités
Votre futur environnement de travail
Au sein de notre filère Conseil, vous intégrerez notre équipe Intégration, Innovation, Industrie en Cybersécurité. Vous serez encadré·e par des Consultant·e·s expérimenté·e·s et suivi·e par votre tuteur·riche tout au long de votre stage. Vous interviendrez auprès de nos clients multi-secteurs d'activités sur des sujets de sécurité fonctionnelle des SI au sein de projets complexes à forts enjeux.

Les missions du stage
Vous interviendrez au sein d'un projet phare de l'Innovation, consistant au développement expérimental d'un système de détection de cyberattaques inconnues au sein du SOC. Le système à ce jour repose sur une approche par apprentissage non-supervisé, à base de features extraits des logs proxy. Des systèmes complémentaires à base de supervisé sont envisagés en vue d'opérationnalisation.

Votre mission consistera à assister le développement du système, depuis la conception de features en passant par sa mise en oeuvre jusqu'à sa mesure et à son analyse de performances. Vous pourrez être amené(e) à présenter et communiquer sur le projet.

En dehors du projet, vous serez amené·e à participer aux différents travaux et initiatives de l'équipe.

Les apports du stage
Déployer une méthodologie de Data Science et Machine Learning appliquée à la Cyber
Eprouver et étendre vos connaissances en Data Science et ML
Participer à des projets d'envergure internationale
Développer la Data Science dans l'équipe et les business
Technos utilisées
Développement : python, ScikitLearn, C, C++, java,...
Machine learning (supervisé et non supervisé) : Decision Trees, Naïve Bayes, Regressions, SVM
BI et Data Mining tools (Orange Datamining, Pentaho, ELK,...)
Mathématiques (statistiques et probabilités notamment)
Votre profil
En dernière année d'école d'Ingénieurs ou de Master Informatique, vous êtes intéressé·e par la diversité des expertises Cybersécurité et souhaité y développer vos compétences de Data Science.
Vous êtes curieux·se, autonome et avez l'esprit d'équipe. Vous êtes également capable de vulgarisation avec des connaissances en Machine Learning.
Un bon niveau d'anglais est préférable.

A compétences égales, tous nos postes sont ouverts aux personnes en situation de handicap."
1,https://www.indeed.fr/emplois?q=Data%20consultant&l=Toulouse&radius=100&limit=100&sort=date&vjk=d40fe4f98f61f81f,"Stage Data Toulouse H/F
Ippon Technologies - Toulouse (31)","['Toulouse (31)', 'Stage']",Stage Data Toulouse H/F,Ippon Technologies,- Toulouse (31),Stage,null,"il y a 16 heures
Signaler cette offre d'emploi",Data consultant,Toulouse,"@IpponToulouse...
Nous sommes des consultants technophiles situés en plein centre-ville. Ton repère? Nous sommes à côté de l'Alimentation pour les Afterworks et de Perlette pour le goûter!
Nous sommes fans des Ippaperos... que tu vas bientôt découvrir!
Notre job? se faire plaisir sur des projets agiles Java, BigData, DevOps, Cloud
Nos chiffres? 2 ans qu'on est sur Toulouse, 1 an qu'on a commencé à construire une dream team dédiée, beaucoup d'afterworks et de soirées à l'Alimentation : p
Notre prochaine commande? un bureau rien que pour toi car nous venons juste d'emménager et ton accès à Blackbelt pour passer une belt Data!
Le contexte du projet :
Nous souhaitons faire évoluer le data portal ippon développé lors d’un précédent stage pour l’enrichir avec l’ingestion et la mise à disposition d’open data sur les entreprises.
Nous souhaitons également pouvoir croiser ces données avec des données issues de Linkedin.
Ton rôle :
Ton rôle sera de monter en compétence sur la stack technologique du data portal ippon (Fullstack Serverless : AWS, Lambda en Python, React), de choisir les composants complémentaires nécessaires (machine learning) et de réaliser les développements et la promotion du projet.
L’écosystème dans lequel tu vas évoluer ! :
AWS
Python
React
Terrraform
Librairies de machine learning à identifier
#Data #Cloud #AWS #Python #ReactJS #Serverless
Ta mission: tirer profit de ces 6 mois de stage pour te préparer à appréhender le monde passionnant de la data à nos côtés!
Tes forces :
Tu es à très à l’aise en Python et souhaite monter en compétence sur les technologies Cloud ?
Tu es curieux et passionné ? Tu es au bon endroit !
Tu aimes travailler en équipe et être force de proposition ? Cette annonce est faite pour toi !
Tu as envie de travailler sur des projets innovants ? Tu es à la bonne enseigne !
Si comme nous, tu es passionné(e) de développement et que tu te retrouves dans nos valeurs #TeamWork #Dépassement #CleanCode... Et Si, tu as envie d’apprendre et de contribuer en équipe au développement d’un projet innovant
...Alors rejoins la #Team Ippon !
Type d'emploi : Stage
Expérience:
stage data toulouse h/f ou similaire: 1 an (Souhaité)"
2,https://www.indeed.fr/emplois?q=Data%20consultant&l=Toulouse&radius=100&limit=100&sort=date&vjk=5446ed667417306a,"CONSULTANT TECHNICO FONCTIONNEL(LE) DATA SCIENCE F/H
14 - AKKA INFORMATIQUE ET SYSTEMES - Toulouse (31)","['Toulouse (31)', 'CDI']",CONSULTANT TECHNICO FONCTIONNEL(LE) DATA SCIENCE F/H,14 - AKKA INFORMATIQUE ET SYSTEMES,- Toulouse (31),CDI,null,"Apec.fr - il y a 18 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Data consultant,Toulouse,"Dans le cadre du développement de ses activités, AKKA Group recherche un(e) Consultant(e) Technico-Fonctionnel(e) Data Science (H/F).

A ce titre, vous réalisez et mettez en œuvre des KPI de reporting opérationnels autour des métiers de la logistique, de la production ou de la supply chain.

Pour mener à bien cette mission, vos principales activités reposent sur :

L’analyse des données
La récupération et la visualisation des données
La classification et la prédiction des données
L’identification des causes d’inexactitudes
La proposition d’améliorations
Profil recherché Diplômé(e) d’une école d’Ingénieur ou de formation équivalente Bac+5, vous justifiez d’une première expérience réussie (stage inclus) sur un poste similaire où vous avez pu mettre en pratique vos compétences en Machine Learning, Data Visualisation et Deep Learning.

Vous devez maîtriser la réalisation de reporting et dashbording sur la plateforme SKYWISE ainsi que les outils de traitement et visualisation de données QUIVER & CONTOUR.

De plus une maîtrise des langages de programmation PYTHON, R, SAS, Matlab et SQL est impératif.

Vous devez avoir travaillé dans le secteur d’activité de l'aéronautique et de la santé.

Quelle que soit votre expertise métier, vous avez une personnalité de terrain, le goût du challenge et appréciez les défis techniques. Vous disposez d’une faculté à vous intégrer rapidement au sein d’une équipe projet et êtes très attentif(ve) à la satisfaction du client. Votre esprit critique, votre capacité à être innovant(e) dans les solutions proposées font la différence.

AKKA Group accompagne ses clients dans la mondialisation de leurs projets, aussi un anglais courant est requis pour l’ensemble de nos collaborateurs.

A compétences égales, le poste est ouvert aux personnes en situation de handicap.

Rejoindre AKKA Group, c'est évoluer dans les domaines qui vous passionnent, développer vos compétences, avec la possibilité d'évoluer sur différents secteurs, dans un cadre qui favorise les initiatives individuelles ; votre rôle s’inscrit dans un véritable projet d'entreprise !
Entreprise AKKA Groupe d’ingénierie et de conseil en technologies de plus de 21 000 concepteurs, acteurs et penseurs aux avant-postes du monde digital et connecté, est un accélérateur d’innovation pour les plus grands groupes industriels mondiaux.

La mutation numérique transforme radicalement la conception et la nature même de l’ensemble des produits et engendre une constante évolution des usages et des technologies. Face à cet enjeu de transformation numérique, nos consultants conçoivent des solutions innovantes pour accompagner nos clients sur l’ensemble du cycle de vie de leurs produits. Nous apportons une expertise qui englobe la totalité de l’environnement technologique produit et digital.

C’est ce positionnement qui fait d’AKKA un groupe unique.

AKKA Groupe d’ingénierie et de conseil en technologies de plus de 21 000 concepteurs, acteurs et penseurs aux avant-postes du monde digital et connecté, est un accélérateur d’innovation pour les plus grands groupes industriels mondiaux.

La mutation numérique transforme radicalement la conception et la nature même de l’ensemble des produits et engendre une constante évolution des usages et des technologies. Face à cet enjeu de transformation numérique, nos consultants conçoivent des solutions innovantes pour accompagner nos clients sur l’ensemble du cycle de vie de leurs produits. Nous apportons une expertise qui englobe la totalité de l’environnement technologique produit et digital.

C’est ce positionnement qui fait d’AKKA un groupe unique.

AKKA Groupe d’ingénierie et de conseil en technologies de plus de 21 000 concepteurs, acteurs et penseurs aux avant-postes du monde digital et connecté, est un accélérateur d’innovation pour les plus grands groupes industriels mondiaux.

La mutation numérique transforme radicalement la conception et la nature même de l’ensemble des produits et engendre une constante évolution des usages et des technologies. Face à cet enjeu de transformation numérique, nos consultants conçoivent des solutions innovantes pour accompagner nos clients sur l’ensemble du cycle de vie de leurs produits. Nous apportons une expertise qui englobe la totalité de l’environnement technologique produit et digital.

C’est ce positionnement qui fait d’AKKA un groupe unique."
3,https://www.indeed.fr/emplois?q=Data%20consultant&l=Toulouse&radius=100&limit=100&sort=date&vjk=f961bee26c32de57,"CONSULTANT CYBERSECURITE F/H
U-NEED SAS - Toulouse (31)","['Toulouse (31)', 'CDI']",CONSULTANT CYBERSECURITE F/H,U-NEED SAS,- Toulouse (31),CDI,null,"Apec.fr - il y a 18 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Data consultant,Toulouse,"Nous recherchons un( e)

Consultant( e) Cybersécurité

, pour travailler sur le site d’un de nos clients dans le secteur de l’Aéronautique.

Le ou la consultant( e) sera intégré(e) à la DSI et travaillera sous le pilotage du chef de projet.

Analyser, structurer et formaliser l’ensemble des procédures du SMSI ;

Analyse et suivi des outils et tableaux de bord sécurité ;

Aide aux choix des solutions techniques de sécurité ;

Assistance à la rédaction de politiques et procédures de sécurité ;

Analyse de risques techniques ;

Rédaction de politiques de gestion du changement (versioning) ;

Rédaction de procédures de Hardening serveurs / Postes de travail ;

Analyse des risques liés aux systèmes d'information de l'entreprise et proposer des mesures correctives ;

Conseille auprès de la DSI ;

Sensibilise tous les salariés aux questions de sécurité et de confidentialité ;

Assure une veille technologique constante (solutions de sécurité / méthodes) ;

Structure les audits du système de sécurité ;

Intègre la sécurité dans les projets ;

Environnement technique

: DLP, PKI, ARCHIMED, AKAMAI, Norme ISO 2700x…

Contexte international

: L’anglais oral est conseillé.
Profil recherché Titulaire d’un

diplôme informatique Ingénieur ou Universitaire (bac+3 à bac +5)

, vous justifiez d’une expérience significative en réseaux ou sécurité des SI.

Autonome, motivé(e ) et rigoureux(se ), vous savez prioriser les tâches et coordonner les activités sous votre responsabilité.

Votre potentiel, votre dynamisme, votre sérieux et votre implication vous permettront d’évoluer régulièrement au sein de U-NEED.

Votre Business Manager assurera votre suivi tout au long de votre carrière chez U-NEED et encadrera votre progression et évolution au sein du groupe.
Entreprise Résolument tournée vers l’avenir, U-Need est une entreprise proactive et fortement impliquée dans ses écosystèmes locaux : Membre de Digital 113, du Syntec Numérique et de l’Aerospace Valley, de la French Chamber of Great Britain …

Créé en 2012, U-Need dont le siège social se trouve à Toulouse, connait une croissance permanente à 2 chiffres et a atteint un CA de plus de 10 millions d’€ et un effectif de 170 collaborateurs en 2018.

Dans une logique d’expansion permanente, une filiale a ouvert ses portes en 2017 à Bordeaux et en 2018, nous développons la filiale U-Need Est, localisée à Lyon.

Depuis le début d’année, nous nous internationalisons en développant la filiale U-Need UK à Londres.

Partant d’une clientèle Grands-Comptes, U-Need a su développer une chaîne de valeur complète s’articulant autour de 3 grandes familles de métier :

L’infogérance d’infrastructure informatique ;

Le développement applicatif et mobile ;

La transformation digitale autour de la donnée et de son utilisation (BI, Big Data et IA).

ECOSYSTEME U-NEED

UNIT IT :
U-Need pilote un groupement d’entreprises innovantes pour répondre à l’évolution du marché, complémentaires en termes de compétences et de produits.

NXU :
Think Tank de réflexion sociétale sur la révolution des NBIC.

DRAGON TRUST :
La structure est née de l’union entre un expert de la cybersécurité, ITrust et un expert du conseil en ingénierie, U-Need. L’activité principale étant le conseil en cybersécurité.

AN21 :
Ecole d’ingénieur en Informatique, spécialisée dans le numérique, la data science et la Cybersécurité."
4,https://www.indeed.fr/emplois?q=Data%20consultant&l=Toulouse&radius=100&limit=100&sort=date&vjk=6f2d5df31b87ed9b,"CONSULTANT(E) FONCTIONNEL(LE) / PRODUCT OWNER F/H
U-NEED SAS - Toulouse (31)","['Toulouse (31)', 'CDI']",CONSULTANT(E) FONCTIONNEL(LE) / PRODUCT OWNER F/H,U-NEED SAS,- Toulouse (31),CDI,null,"Apec.fr - il y a 18 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Data consultant,Toulouse,"Nous recherchons un(e)

Consultant(e) fonctionnel(le)/ Product Owner,

pour travailler sur le site d’un de nos clients.

Au sein d’une équipe et sous la responsabilité d’un chef de projet, vous serez en charg

Recueil du besoin ;

Réalisation d’ateliers de travail avec les pilotes du projet

Rédaction de compte-rendu d’atelier

Expression du besoin ;

Rédaction de spécifications fonctionnelles générales

Rédaction de spécifications fonctionnelles/techniques détaillées

Modélisation de de la solution sous UML

Gestion de domaine ;

Management de ressources ;

Etude des impacts techniques et chiffrage estimatif de domaine

Planification des tâches et priorisation des développements

Suivi des développements et du reste à faire par ressource

Validation de tests unitaires, déroulement de plans de recette

Validation fonctionnelle des applications ;

Formation et support aux utilisateurs.
Profil recherché Titulaire d’un diplôme informatique (bac+2 à bac +5),

vous justifiez d’au minimum 2 ans d’expérience sur le même type d’activité.

Autonome, motivé(e ) et rigoureux(se ), vous savez prioriser les tâches et coordonner les activités sous votre responsabilité.

Vous avez le sens du service, d’excellentes aptitudes en organisation et un bon relationnel.

Votre potentiel, votre dynamisme, votre sérieux et votre implication vous permettront d’évoluer régulièrement au sein de U-NEED.

Outils et compétences :
Vous êtes capable de modéliser des schémas de données et réaliser des maquettes sous UML.

Vous connaissez les principes de la méthodologie Agile Scrum.

Votre suivi

:

Votre Business Manager assurera votre suivi tout au long de votre carrière chez U-NEED et encadrera votre progression et évolution au sein du groupe.
Entreprise Résolument tournée vers l’avenir, U-Need est une entreprise proactive et fortement impliquée dans ses écosystèmes locaux : Membre de Digital 113, du Syntec Numérique et de l’Aerospace Valley, de la French Chamber of Great Britain …

Créé en 2012, U-Need dont le siège social se trouve à Toulouse, connait une croissance permanente à 2 chiffres et a atteint un CA de plus de 10 millions d’€ et un effectif de 170 collaborateurs en 2018.

Dans une logique d’expansion permanente, une filiale a ouvert ses portes en 2017 à Bordeaux et en 2018, nous développons la filiale U-Need Est, localisée à Lyon.

Depuis le début d’année, nous nous internationalisons en développant la filiale U-Need UK à Londres.

Partant d’une clientèle Grands-Comptes, U-Need a su développer une chaîne de valeur complète s’articulant autour de 3 grandes familles de métier :

L’infogérance d’infrastructure informatique ;

Le développement applicatif et mobile ;

La transformation digitale autour de la donnée et de son utilisation (BI, Big Data et IA).

ECOSYSTEME U-NEED

UNIT IT :
U-Need pilote un groupement d’entreprises innovantes pour répondre à l’évolution du marché, complémentaires en termes de compétences et de produits.

NXU :
Think Tank de réflexion sociétale sur la révolution des NBIC.

DRAGON TRUST :
La structure est née de l’union entre un expert de la cybersécurité, ITrust et un expert du conseil en ingénierie, U-Need. L’activité principale étant le conseil en cybersécurité.

AN21 :
Ecole d’ingénieur en Informatique, spécialisée dans le numérique, la data science et la Cybersécurité."
5,https://www.indeed.fr/emplois?q=Data%20consultant&l=Toulouse&radius=100&limit=100&sort=date&vjk=1bf83739383c9e06,"Senior Business Manager / Responsable d'Agence Aéronautique F/H
AKKA INFORMATIQUE ET SYSTEMES - Toulouse (31)","['Toulouse (31)', 'CDI']",Senior Business Manager / Responsable d'Agence Aéronautique F/H,AKKA INFORMATIQUE ET SYSTEMES,- Toulouse (31),CDI,null,"Apec.fr - il y a 18 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Data consultant,Toulouse,"Rattaché(e) au Business Unit Manager, vous avez la responsabilité de développer et gérer votre centre de profit.

Véritable entrepreneur :
Vous développez votre portefeuille de clients et prospects stratégiques et intervenez au niveau de la négociation de conditions commerciales et contractuelles importantes. Vous êtes le garant d’une relation client dynamique et pérenne.
Vous recrutez, animez, fédérez et faîtes évoluer votre équipe de 120 Consultants.
Vous encadrez 3 Business Manager(s) et les accompagnez dans leur évolution professionnelle en leur faisant bénéficier de votre expérience.
Vous êtes en charge de la gestion financière de votre centre de profit (chiffre d’affaire, marge opérationnelle…) et de l’optimisation de la stratégie à mettre en œuvre pour atteindre les objectifs fixés par la Direction d’Agence.
Profil recherché Issu(e) d’une grande école d’Ingénieur ou de Commerce, vous possédez une expérience significative de 4 ans minimum en tant que Business Manager dans les métiers IT et Manufacturing du secteur Aéronautique.

Vous avez un esprit d’entrepreneur, faites preuve de leadership et êtes passionné(e) de technologies.

Dynamique, vous souhaitez contribuer à la réussite d’un Groupe en plein développement.

Vous parlez couramment anglais et la maîtrise d’une troisième langue est appréciée.

Rejoignez AKKA TECHNOLOGIES !
Entreprise AKKA est le leader européen du conseil en ingénierie et services R&D dans les secteurs de la mobilité.

AKKA accompagne les industriels des secteurs automobile, aéronautique, ferroviaire et life sciences sur l’ensemble du cycle de vie de leurs produits. Accélérateur d’innovation pour ses clients, AKKA met à leur service son expertise des technologies digitales de pointe (IA, ADAS, IoT, Big data, robotique, informatique embarquée, machine learning, etc.).

Fondé en 1984, le Groupe se distingue par sa forte culture entrepreneuriale et poursuit sa croissance accélérée ainsi que son internationalisation dans le cadre de son plan stratégique CLEAR 2022.

Porté par ses 22 000 collaborateurs qui mettent leur passion au service de l’industrie de demain, le Groupe a enregistré en 2018 un chiffre d’affaires de 1,5 Md€.

Grâce à AKKA Research, notre centre de Recherche & Développement interne, nous aidons à développer l'innovation de nos clients.

Pour soutenir le développement du Groupe, nous comptons sur les hommes et les femmes qui font la force du Groupe : les consultants et les Business Managers.

Une entité Talent acquisition et Talent Development est dédiée au recrutement, à l’accompagnement et à l’évolution de nos Business Managers"
6,https://www.indeed.fr/emplois?q=Data%20consultant&l=Toulouse&radius=100&limit=100&sort=date&vjk=109c7ec60e694c55,"Consultant Big Data F/H
SCALIAN14 avis - Toulouse (31)","['Toulouse (31)', 'CDI']",Consultant Big Data F/H,SCALIAN,- Toulouse (31),CDI,null,"Apec.fr - il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",Data consultant,Toulouse,"Vous êtes Consultant Big Data H/F ou vous souhaitez le devenir !

En tant que consultant, vous interviendrez chez nos clients afin de leur apporter vos compétences et expertise et les accompagner dans leurs problématiques autour du Big Data.

Quel sera votre rôle ?

Vous accompagnerez nos clients dans la mise en œuvre de solutions Big Data en utilisant des outils tels que Hadoop et Spark. Vous concevrez et développerez des architectures de données, vous concevrez des algorithmes afin de réaliser les analyses statistiques.

Vous serez force de proposition sur les méthodes statistiques à mettre en œuvre.
Profil recherché Des connaissances en Big Data et notamment des outils Hadoop et Spark, une connaissance des architectures de données afin de proposer les meilleurs solutions à nos clients, l’envie de monter en compétences et de partager ses compétences au sein de notre communauté interne.

Entreprise Rejoindre Scalian, c'est :
S'associer

au développement d'un groupe français en croissance (2700 collaborateurs, 190 M CA)

Enrichir

vos expériences humaines et professionnelles au sein de nos 2 pôles d'expertises: Digital Systems et Performance des Opérations

Grandir

grâce au L@b et à ses projets de recherche (drone, RV, RA, simulation, blockchain, ….)

Adopter

une démarche basée sur l'envie d'apprendre et de transmettre tout au long de votre parcours

Evoluer

dans un groupe pérenne du secteur du Conseil et de l'Ingénierie, à taille humaine, en étant accompagné dans la réalisation de vos projets et de vos souhaits de mobilité.

Au sein du pôle Digital Systems

, vous côtoierez nos experts en systèmes embarqués et critiques, en testabilité, en simulation, en informatique scientifique, en IoT, en SI et en solutions digitales.

Au sein du Performance des Opérations,

vous retrouverez nos experts en management de projet, en qualité, en organisation des achats, en contrôle de gestion et en performance industrielle.

L’agence SCALIAN Eurogiciel sur Labège Innopole à Toulouse

focalise son développement sur le pôle Digital Systems et compte 99 collaborateurs.

L’agence SCALIAN Digital Systems Toulouse compte aujourd’hui près de 170 ingénieurs et poursuit sa croissance en accompagnant de grands groupes industriels dans leurs projets innovants."
7,https://www.indeed.fr/emplois?q=Data%20consultant&l=Toulouse&radius=100&limit=100&sort=date&vjk=ee22e4a42e4de69f,"CONSULTANT(E) TECHNICO FONCTIONNEL(LE) DATA SCIENCE H/F
AKKA TECHNOLOGIES125 avis - Toulouse (31)","['Toulouse (31)', 'Temps plein, CDI']",CONSULTANT(E) TECHNICO FONCTIONNEL(LE) DATA SCIENCE H/F,AKKA TECHNOLOGIES,- Toulouse (31),"Temps plein, CDI",null,"il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",Data consultant,Toulouse,"Dans le cadre du développement de ses activités, AKKA Group recherche un(e) Consultant(e) Technico-Fonctionnel(e) Data Science (H/F).
A ce titre, vous réalisez et mettez en œuvre des KPI de reporting opérationnels autour des métiers de la logistique, de la production ou de la supply chain.
Pour mener à bien cette mission, vos principales activités reposent sur :
L’analyse des données
La récupération et la visualisation des données
La classification et la prédiction des données
L’identification des causes d’inexactitudes
La proposition d’améliorations
La réalisation de reportings

Diplômé(e) d’une école d’Ingénieur ou de formation équivalente Bac+5, vous justifiez d’une première expérience réussie (stage inclus) sur un poste similaire où vous avez pu mettre en pratique vos compétences en Machine Learning, Data Visualisation et Deep Learning.
Vous devez maîtriser la réalisation de reporting et dashbording sur la plateforme SKYWISE ainsi que les outils de traitement et visualisation de données QUIVER & CONTOUR.
De plus une maîtrise des langages de programmation PYTHON, R, SAS, Matlab et SQL est impératif.
Vous devez avoir travaillé dans le secteur d’activité de l'aéronautique et de la santé.
Quelle que soit votre expertise métier, vous avez une personnalité de terrain, le goût du challenge et appréciez les défis techniques. Vous disposez d’une faculté à vous intégrer rapidement au sein d’une équipe projet et êtes très attentif(ve) à la satisfaction du client. Votre esprit critique, votre capacité à être innovant(e) dans les solutions proposées font la différence.
AKKA Group accompagne ses clients dans la mondialisation de leurs projets, aussi un anglais courant est requis pour l’ensemble de nos collaborateurs.
A compétences égales, le poste est ouvert aux personnes en situation de handicap.
Rejoindre AKKA Group, c'est évoluer dans les domaines qui vous passionnent, développer vos compétences, avec la possibilité d'évoluer sur différents secteurs, dans un cadre qui favorise les initiatives individuelles ; votre rôle s’inscrit dans un véritable projet d'entreprise !"
8,https://www.indeed.fr/emplois?q=Data%20consultant&l=Toulouse&radius=100&limit=100&sort=date&vjk=1db4455f5026fcec,"Big Data – Analyse de données d’essais H/F
Groupe SII4 avis - Toulouse (31)",['Toulouse (31)'],Big Data – Analyse de données d’essais H/F,Groupe SII,- Toulouse (31),null,null,"il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",Data consultant,Toulouse,"Description du poste :
Au sein du Département Aéronautique dans l’équipe Bureau d’études Commandes de vol, le/la stagiaire devra mettre au point un environnement et un algorithme de pré-analyse des résultats pour optimiser les campagnes de validation formelle.

L’objectif de ce stage est d’optimiser les campagnes de validation formelle sur moyens de tests simulés et réels.
Vos missions seront :
Collecter, comprendre et analyser les données issues des essais ;
Réalisation d’un état de l’art des solutions possibles ;
Réalisation d’un outil adapté au besoin des équipes ;
Promouvoir ses études, travaux et résultats auprès de l’entreprise.
Dynamisme, Confiance, Innovation et Autonomie sont nos leitmotivs !
Intégrer SII Sud-Ouest (800 collaborateurs), c’est travailler sur des sujets innovants avec des #Fungénieurs créatifs. Pour nous, la proximité avec nos collaborateurs est une de nos priorités.
Pour accompagner votre carrière, nous vous proposons d’être membre d’une communauté technique correspondant à vos centres d’intérêts : «Big Data», «Front-end IHM», «Back end – Architecture logicielle», «Sécurité, architecture technique, devops », «Aéronautique» ou «Simulation, Modélisation».
N’attendez plus, rejoignez le mouvement #Fungénieur : Bien plus qu’un métier, une philosophie !
Compétences :
Vous êtes issu(e) d’une Ecole d’Ingénieur en dernière année d’études ou d’une formation universitaire Bac +5 avec une spécialité en informatique.
Des connaissances en Big data sont nécessaires et des connaissances du milieu aéronautique constituent des plus.
Le(la) candidat(e) idéal(e) dispose de compétences ou notions sur les techniques suivantes:
Algorithmes de Data Mining ;
Gestion de Base de données ;
Langage de programmation orienté Data Science tels que R ou Python ;
Systèmes avioniques.
Vous êtes autonome, proactif(ve) et rigoureux(se). Vous aimez le travail en équipe. Vous disposez de la pédagogie nécessaire pour expliquer et vulgariser ses travaux auprès d’interlocuteurs Métier.
Référence de l’annonce :
DST/ASE/BIGDATA
Expérience:
Indifférent
Qualification:
Consultant
Rémunération:

POSTULER"
9,https://www.indeed.fr/emplois?q=Data%20consultant&l=Toulouse&radius=100&limit=100&sort=date&vjk=d812b660141b9f8a,"Big Data – Etude ADS-B H/F
Groupe SII4 avis - Toulouse (31)",['Toulouse (31)'],Big Data – Etude ADS-B H/F,Groupe SII,- Toulouse (31),null,null,"il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",Data consultant,Toulouse,"Description du poste :
Dans notre Département Aéronautique, vous interviendrez au sein du projet dans les mêmes conditions qu’un ingénieur SII. Vous serez encadré(e) par un référent qui est membre de l’équipe projet et travaillerez sous l’autorité du Chef de Projet. Votre référent assurera votre intégration dans l’équipe et vous accompagnera pendant toute la durée de votre stage.
L’objectif de ce stage est de réaliser une étude de faisabilité sur l’analyse statistique de données ADS-B (données émises par le trafic aérien). Vous accompagnerez les équipes techniques dans la valorisation de leurs activités avec des solutions orientées études et réalisation. Pendant la durée du stage, vous réaliserez les activités listées ci-dessous :
Décoder et formater des données issues d’un récepteur ADS-B ;
Définir l’architecture et le dimensionnement d’une base de données permettant de stocker ces données ;
Chiffrer l’installation d’un serveur pour cette base de données ;
Développer et mettre en place un outil de traitement des données ;
Réaliser une étude sur le trafic aérien de la région toulousaine ;
Promouvoir ses études, travaux et résultats auprès de l’entreprise.
Profil:
Dynamisme, Confiance, Innovation et Autonomie sont nos leitmotivs !
Intégrer SII Sud-Ouest (800 collaborateurs), c’est travailler sur des sujets innovants avec des #Fungénieurs créatifs. Pour nous, la proximité avec nos collaborateurs est une de nos priorités.
Pour accompagner votre carrière, nous vous proposons d’être membre d’une communauté technique correspondant à vos centres d’intérêts : «Big Data», «Front-end IHM», «Back end – Architecture logicielle», «Sécurité, architecture technique, devops », «Aéronautique» ou «Simulation, Modélisation».
N’attendez plus, rejoignez le mouvement #Fungénieur : Bien plus qu’un métier, une philosophie !
Compétences :
Vous êtes issu(e) d’une école d’ingénieur ou d’une université en dernière année d’études avec une majeure en Data Science.
Des connaissances du milieu aéronautique constituent un plus.
Vous êtes autonome, proactif(ve) et rigoureux(se). Vous aimez le travail en équipe. Vous disposez de la pédagogie nécessaire pour expliquer et vulgariser ses travaux auprès d’interlocuteurs Métier.
Référence de l’annonce :
DST/ASE/BIGDATAADS
Expérience:
Indifférent
Qualification:
Consultant
Rémunération:

POSTULER"
