,id,meta1,meta2,titre_poste,entreprise,localisation,contrat,salaire,date_publication,keyword_metier,keyword_localisation,description
0,https://www.indeed.fr/emplois?q=Software%20Engineer&l=Toulouse&radius=100&limit=100&sort=date&vjk=faf9cfa146c5dc63,"Software Engineer - Rust
Input Output Hong Kong - ""IOHK"" - Toulouse (31)",['Toulouse (31)'],Software Engineer - Rust,"Input Output Hong Kong - ""IOHK""",- Toulouse (31),null,null,"Indeed - il y a 20 heures
Signaler cette offre d'emploi",Software Engineer,Toulouse,"Summary
As a Software Engineer at IOHK you are responsible for writing high-quality code for our products. You have the exciting challenge of working with cutting-edge research and technology with a focus on the market's needs. To support you on this challenge, our products have software architects, product managers, project managers, formal methods specialists and QA test engineers, with whom you must communicate professionally, effectively and efficiently.
Duties
Follow agile software development practices
Work with teams across multiple time zones
Work independently on software development tasks
Be proactive and require minimal supervision or mentoring to complete tasks
Review specifications produced by architects and formal methods specialists
Contribute to the design of algorithms
Write clean, straightforward, efficient code that satisfies previously agreed acceptance criteria and specifications
Commit often and submit small pull requests frequently
Cover your code with unit, property and integration tests when applicable
Review the pull requests of your team mates
Fix bugs in your own code and in legacy code from others
Be available for emergency fixing of severity 1 issues on deployed products
Integrate software components and third-party libraries
Verify and deploy programs and systems
Troubleshoot, debug and upgrade existing software
Write documentation for the code
Write technical user manuals
Knowledge of distributed and concurrent computation
Knowledge of the basics of cryptography
Key Competencies
Write idiomatic code that satisfies the acceptance criteria of a given task
Write tests (unit tests, property tests) that provide sufficient and non-superfluous efficient code coverage.
Document code and APIs concisely and unambiguously
Break down tasks into sub-tasks that are completable in a short amount of time and report completion as required by managers
Pragmatically adhere to software engineering principles (modularity, incremental development, no premature optimization, no feature creep, no speculative generality, ...)
Education / Experience
is desirable but not essential
A minimum of 2-3 years development experience with C/C++ but with the ability to demonstrate good knowledge of Rust Programming Language (professional or otherwise)
Experience working with Git and Git workflow
Practical experience with Agile software development methods
Knowledge of functional and object-oriented programming paradigms
Specialist Skills - for a software engineer specialized in Rust
You’ll have a background of C/C++ Development experience (approx 3 - 5 years) but with the ability to demonstrate good knowledge of Rust Programming Language.
Experience in developing cryptography protocols would be a bonus
HTTP API understanding as well as accessibility and security compliance
This is a remote based role working with a Distributed team across the EU, we are considering all candidates within the EU. For more information on our Rust project - https://cardanorust.iohkdev.io/
and our opensource repo's - https://github.com/input-output-hk?language=rust
https://github.com/input-output-hk/rust-cardano
https://iohk.io/en/careers/fk03udp/software-engineer-rust/
Job Type: Full-time
Experience:
Software Engineering: 5 years (Preferred)
C++: 3 years (Preferred)
Rust: 1 year (Preferred)"
1,https://www.indeed.fr/emplois?q=Software%20Engineer&l=Toulouse&radius=100&limit=100&sort=date&vjk=deffc6adbf4b4ebf,"Stage Ingénieur: Acquisition de données RADAR automobile
NXP Semiconductors239 avis - Toulouse (31)","['Toulouse (31)', 'Temps plein, Stage']",Stage Ingénieur: Acquisition de données RADAR automobile,NXP Semiconductors,- Toulouse (31),"Temps plein, Stage",null,"il y a 21 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Software Engineer,Toulouse,"NXP Semiconductors N.V. enables secure connections for a smarter world, advancing solutions that make lives easier, better, and safer. As the world leader in secure connectivity solutions for embedded applications, NXP is driving innovation in the automotive, industrial & IoT, mobile, and communication infrastructure markets. Built on more than 60 years of combined experience and expertise, the company has approximately 30,000 employees in more than 30 countries and posted revenue of $9.41 billion in 2018.
Contexte
L’équipe circuit pour radar 77GHz, basée à Toulouse est en charge de définir, concevoir et valider des circuits intégrés pour radar automobile et améliorer les fonctions d’un radar embarqué sur un véhicule pour rendre possible le véhicule autonome.
L’équipe recherche un(e) ingénieur(e) en informatique pour capturer et traiter des données de radars automobile.
Missions
Le (la) stagiaire prendra en charge les missions suivantes:
Continuer à développer du logiciel sur PC (Python, matlab) commencé par un précédent stagiaire, et potentiellement du code embarqué sur un Microcontrolleur NXP dédié au traitement du signal radar (famille S32R) en langage C, dans le but de capturer et traiter des données des capteurs radar.
Utiliser et améliorer le logiciel d’un radar haute performance (langage C) et son logiciel de capture et traitement de données tournant sur une machine Linux basée sur un processeur GPU multi-coeur. Le(la) stagiaire devra reprogrammer le code C d’un micro-controlleur dans le capteur qui tourne sur un FPGA pour le rendre plus versatile, et mettre a jour en même temps le code C de la machine Linux.
Les deux logiciels effectuent du traitement numérique du signal de données radar et doivent à la fin afficher des images radar (Range-Doppler, bird-view, micro-doppler...)
Une fois les logiciels a un niveau suffisant de maturité, le(la) stagiaire devra ajouter une caméra (mono voire stéréo) pour capturer des images vidéo en même temps que les données radar, les stocker de façon synchrone grâce au langage ROS (Robot Operating System) et python ou C++ et écrire un logiciel pour superposer images camera et radar sous ROS.
Profil

Niveau d’études : Bac + 5, dernière année d’école d’ingénieur en informatique ou mastère, avec des connaissances en traitement numérique du signal, programmation en divers langages (matlab, C, C++, Python, ROS…) et intéresse par les capteurs radar, les micro-contrôleurs et l’automobile.Un bon niveau d’anglais écrit et oral est exigé.

_____________________________________________
Context
The NXP 77GHz radar team in Toulouse is in charge of defining, validating and designing integrated circuits for automotive radar to enable on-car radar towards autonomous cars.
The team is looking for a software engineer to capture and process radar data.
Missions
The intern charter will be to take care of the following tasks:
Continue writing software on PC (Python, matlab) that was started by a previous intern, and possibly some code on NXP MCUs specialized in radar signal processing (S32R family) in C language that exists to capture data from the sensors.
Use and improve the software from a high performance Imaging radar (C language) and its capture software running on Linux machine based on multi-core GPU processor. The intern will have to re-program the code of a micro-controller in the sensor that is running on an FPGA to make it more versatile, and update at the same time the C code from the Linux machine.
Both software perform digital signal processing on radar data and must ultimately display radar images (Range-Doppler, bird-view, micro-doppler...)
Once the radar capture softwares are to an adequate level, the intern will have to add a camera to capture images at the same time as radar data, store them in a synchronous way (ROS language) and write software to overlay camera and radar images.
Profile
Educational level : Master thesis, last year in french engineering school in computer science with, knowledge of digital signal processing theory, programming languages (matlab, C, Python, Ros…) and interest in radar sensor, micro-controllers and automotive.
A good level of written and spoken English is required."
2,https://www.indeed.fr/emplois?q=Software%20Engineer&l=Toulouse&radius=100&limit=100&sort=date&vjk=1d8df72d5378cb14,"Sr. Frontend Developer
Onna - Toulouse (31)",['Toulouse (31)'],Sr. Frontend Developer,Onna,- Toulouse (31),null,null,"il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",Software Engineer,Toulouse,"Job Description

If you are a motivated and talented Senior Frontend Developer looking for a fun and invigorating place to work, look no further. Based in Toulouse, you will be responsible for all aspects of presentation layer development and platform-related frontend technologies. You will also help us with daily tasks such as:
Delivery and execution of UI components, POCs, prototypes, and application development.
Work closely with developers and infrastructure engineers to design, analyze and implement functional requirements.
Understand needs and develop solutions to improve end-user experience and operations.
Collaborate with UX and UI designers to develop functional requirements and wireframes into specific features.
Develop, maintain, support and document delightful UI components that are clean, easy-to-understand, and visionary.
Develop delightful web experiences that are clean, pragmatic, and visionary.

Qualifications

Minimum qualifications:
BS/MS in Computer Science or related field.
5+ years of software development experience.
Strong experience with Angular 2+ or other front end frameworks.
Experience with HTML5, LESS/CSS, JavaScript, Typescript, and other UI technologies.
Responsive web design experience and presentation layer concepts.
Demonstrated experience with REST APIs, Unix and Git version control.
Experience testing your code.
Great communication skills (written and oral).

Preferred qualifications:
Experience with web application security.
Familiarity with Python.
Experience with NoSQL databases.
Google cloud or other cloud computing platforms.

Additional Information
We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.
All your information will be kept confidential according to EEO guidelines."
3,https://www.indeed.fr/emplois?q=Software%20Engineer&l=Toulouse&radius=100&limit=100&sort=date&vjk=c0f6ba7aa2573356,"Stage ingénieur: Développement logiciel machine learning appliqué à la pre-distortion RF 5G
NXP Semiconductors239 avis - Toulouse (31)","['Toulouse (31)', 'Temps plein, Stage']",Stage ingénieur: Développement logiciel machine learning appliqué à la pre-distortion RF 5G,NXP Semiconductors,- Toulouse (31),"Temps plein, Stage",null,"il y a 4 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Software Engineer,Toulouse,"NXP Semiconductors N.V. enables secure connections for a smarter world, advancing solutions that make lives easier, better, and safer. As the world leader in secure connectivity solutions for embedded applications, NXP is driving innovation in the automotive, industrial & IoT, mobile, and communication infrastructure markets. Built on more than 60 years of combined experience and expertise, the company has approximately 30,000 employees in more than 30 countries and posted revenue of $9.41 billion in 2018.
Key words : développement logiciel, IA, machine learning, data scientist, prédistorsion digitale, 5G RF
Contexte
Le département Radio Power Solution, basé à NXP Toulouse, en charge du développent et du test de produits radio fréquence pour la téléphonie 5G recrute un stagiaire de fin d’étude sur une durée de 6 mois afin de participer à mise en place d’un logiciel de banc de test RF utilisant des techniques de machine learning pour linéariser de façon optimale un transistor de puissance RF.

Le(a) stagiaire prendra en charge/réalisera les missions suivantes :
Effectuer un travail de data scientist et réaliser la constitution d’une base de donnée qualifiée de mesures de linéarité RF, obtenues à partir d' algorithmes traditionnels de recherche opérationnelle pour déterminer un modèle de transistor de puissance adéquat pour la pré-distorsion digitale.
L’utilisation puis l’évaluation des limites d’algorithmes de recherche opérationnelle.
Participation à l’utilisation de l’IA (machine learning) pour dépasser ces limites.
Votre Profil
Niveau d’études : Bac + 5, dernière année d’école d’ingénieur en informatique spécialité télécom et ou intelligence artificielle.
Connaissances et ou expérience en programmation Matlab, électronique Radio fréquence, algorithmes de recherche opérationnelles, machine learning, techniques de pré-distorsion digitale.
Un bon niveau d’anglais est exigé.
Engineer Internship : IA software development for 5G RF digital predistortion
Target domain : RF division
Key words : Software development, IA, machine learning, Digital-predistorsion, 5G RF
Context
NXP Radio power solution department , located in Toulouse France, in charge of the development and test of RF products for the 5G telecom market, hire an engineer intern for a 6 months duration, to participate to the design of a RF test software using machine learning technics to linearize RF power amplifiers.
Responsibilities
The intern will contribute to the following missions
As a data scientist the intern should create a qualified database of RF linearity measurements, obtained on RF test bench thanks to legacy operational research type of algorithms used to determine the RF power amplifier model suitable for RF linearization
Research the limits of legacy algorithms
Potentially create upgraded algorithms based on machine learning technics.
Your profile :
Bac + 5, last year internship of french « école d’ingénieur » in computer science with telecom and, or IA specialty.
Knowledge or experience in matlab programming, RF electronic, operational research algorithms, machine learning, digital predistortion is required.
Good English level is mandatory."
4,https://www.indeed.fr/emplois?q=Software%20Engineer&l=Toulouse&radius=100&limit=100&sort=date&vjk=f4189597b8d3983e,"Internship Innovative Mission concepts and tools for satellite constellations
Airbus1,455 avis - Toulouse (31)","['Toulouse (31)', 'Temps plein, Stage']",Internship Innovative Mission concepts and tools for satellite constellations,Airbus,- Toulouse (31),"Temps plein, Stage",null,"il y a 5 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Software Engineer,Toulouse,"Airbus Defence and Space SAS
Airbus is a global leader in aeronautics, space and related services. In 2018 it generated revenues of € 64 billion and employed a workforce of around 134,000. Airbus offers the most comprehensive range of passenger airliners. Airbus is also a European leader providing tanker, combat, transport and mission aircraft, as well as one of the world's leading space companies. In helicopters, Airbus provides the most efficient civil and military rotorcraft solutions worldwide.

Our people work with passion and determination to make the world a more connected, safer and smarter place. Taking pride in our work, we draw on each other's expertise and experience to achieve excellence. Our diversity and teamwork culture propel us to accomplish the extraordinary - on the ground, in the sky and in space.
Job Description
Title:
Candidature process:
You can apply online on our career site (https://www.airbus.com/careers.html) by attaching your CV and cover letter to this job offer.
By submitting your CV or application, you consent to Airbus using and storing your information for the purpose of tracking your application or future employment. This information will only be used by Airbus.
Position details:
Airbus Defence & Space, Space Systems, is the European leader in the field of optical Earth Observation systems. It was responsible for the development of the first Earth Observation space systems in Europe, starting with the SPOT family. Since this time, it has led the major European developments in those fields, through programs for space agencies, export solutions, or Airbus’s own very-high resolution (VHR) earth observation satellites.
This evolution has allowed Airbus to develop a strong expertise in Mission Planning and Mission Analysis through the Mission Chain Department. The department has grown significantly in recent years and now relies on about a hundred engineers.
Depending on the context and trainee profile, the internship will explore, prototype and innovate new tools, functionalities or concepts for Earth observation satellites and constellations:
Understanding and modelization of chronologies of Earth Observation system offering tasking services to Airbus DS (Pléiades, Pléiades NEO, TerraSAR-X, PAZ, WorldView, Cosmo-Skymed, Sentinel…) before analysing the integration of inter-tasking options in our products,
Research, prototype and validate a GUI plugin for easily tasking multiple satellites with our Mission Chain product lines,
Research, implement and validate improvement axes of our current System and Software Simulation/Validation tool to integrate the future needs of the Earth Observation business (constellations, interoperability…).
This 6-months internship is to be filled ideally from March 2020 (Dates depending on applicant cursus).
Tasks & accountabilities
The main tasks to be accomplished will be as follows:
Understand and assess existing concept analysis or software products,
Query the teams to collect needs and recommendations,
Search in literature for state of the art technologies and approaches,
Prototype, implement and validate the selected solution(s) with the operational team,
Organize, plan and report the activities – work in interaction with Mission experts and engineers – communicate results to the other team members.
Required skills
Last year student (Degree or Master) of Engineering or equivalent (Aerospace Engineering),
Background in software development, system engineering and validation,
A good knowledge of the following tools: python, java, angular...,
You have a background or strong interest in space systems,
Good capacity to take initiative, interact with other team members, report and advance autonomously,
You are a good team player and have excellent interpersonal skills,
You have an advanced level of English and French,

This job requires an awareness of any potential compliance risks and a commitment to act with integrity, as the foundation for the Company’s success, reputation and sustainable growth.

By submitting your CV or application you are consenting to Airbus using and storing information about you for monitoring purposes relating to your application or future employment. This information will only be used by Airbus.
Airbus is committed to achieving workforce diversity and creating an inclusive working environment. We welcome all applications irrespective of social and cultural background, age, gender, disability, sexual orientation or religious belief."
5,https://www.indeed.fr/emplois?q=Software%20Engineer&l=Toulouse&radius=100&limit=100&sort=date&vjk=3890fc8b5cf94e4e,"TRAINING : Operational optimization of satellite constellation geometry
Airbus1,455 avis - Toulouse (31)",['Toulouse (31)'],TRAINING : Operational optimization of satellite constellation geometry,Airbus,- Toulouse (31),null,null,"il y a 5 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Software Engineer,Toulouse,"Airbus Defence and Space SAS
Airbus is a global leader in aeronautics, space and related services. In 2018 it generated revenues of € 64 billion and employed a workforce of around 134,000. Airbus offers the most comprehensive range of passenger airliners. Airbus is also a European leader providing tanker, combat, transport and mission aircraft, as well as one of the world's leading space companies. In helicopters, Airbus provides the most efficient civil and military rotorcraft solutions worldwide.

Our people work with passion and determination to make the world a more connected, safer and smarter place. Taking pride in our work, we draw on each other's expertise and experience to achieve excellence. Our diversity and teamwork culture propel us to accomplish the extraordinary - on the ground, in the sky and in space.
Job Description
Title:
Internship 2020 – Operational optimization of satellite constellation geometry (m/f)
Candidature process:
You can apply online on our career site (https://www.airbus.com/careers.html) by attaching your CV and cover letter to this job offer. By submitting your CV or application, you consent to Airbus using and storing your information for the purpose of tracking your application or future employment. This information will only be used by Airbus.
Position details:
Airbus Defence & Space, Space Systems, is the European leader in Optical Earth Observation systems. It was responsible for the development of the first Earth Observation space systems in Europe, starting with the SPOT family. Since this time, it has led the major European developments in those fields, through programs for space agencies, export solutions, or Airbus’s own very-high resolution (VHR) Earth observation satellites.
This evolution has allowed Airbus to develop a strong expertise in Mission Planning and Mission Analysis through the Mission Chain Department. The department has grown significantly in recent years and now relies on about a hundred engineers.
Depending on the context and trainee profile, the internship will explore, analyse and assess solutions for introducing operational constraints in constellations design:
Optimization of spare strategies (cold vs hot spares, in mission plane or in a parking orbit, number of spares in orbit vs on ground…),
Optimization of ramp up strategies (definition of intermediate viable configurations, management of topology remorphing while the system is already operational…),
Architecture and operational use of a constellation remorphing module integrated in a satellite control centre (reactivity to a satellite failure, operational logic for introducing additional satellites…),
This 6-month internship is to be filled ideally from February 2020 (Dates depending on applicant cursus).
Tasks & accountabilities
The main tasks to be accomplished will be as follows:
Understand drivers in constellation design and space operations,
Identify, describe and analyse the different operational options,
Design and implement relevant models for constellation operations,
Assess and benchmark the different options on reference use cases,
Provide recommendations for each use case,
Organize, plan and report the activities – work in interaction with Mission experts and engineers – communicate results to the other team members.
Required skills
Last year student (Degree or Master) of Engineering or Aerospace Engineering (Background in orbital mechanics, reliability, applied mathematics, optimization would be a plus),
Background in space systems, space operations, modelling and simulation,
Initial experience in research projects and capacity to work independently would be a plus,
Software development Skills: python,
Good capacity to take initiative,
You have an advanced level of English and French.

This job requires an awareness of any potential compliance risks and a commitment to act with integrity, as the foundation for the Company’s success, reputation and sustainable growth.

By submitting your CV or application you are consenting to Airbus using and storing information about you for monitoring purposes relating to your application or future employment. This information will only be used by Airbus.
Airbus is committed to achieving workforce diversity and creating an inclusive working environment. We welcome all applications irrespective of social and cultural background, age, gender, disability, sexual orientation or religious belief."
6,https://www.indeed.fr/emplois?q=Software%20Engineer&l=Toulouse&radius=100&limit=100&sort=date&vjk=e3d0997257784598,"Stage ingénieur: Conception Circuit Intégré numérique (f/m)
NXP Semiconductors239 avis - Toulouse (31)","['Toulouse (31)', 'Temps plein, Stage']",Stage ingénieur: Conception Circuit Intégré numérique (f/m),NXP Semiconductors,- Toulouse (31),"Temps plein, Stage",null,"il y a 6 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Software Engineer,Toulouse,"NXP Semiconductors N.V. enables secure connections for a smarter world, advancing solutions that make lives easier, better, and safer. As the world leader in secure connectivity solutions for embedded applications, NXP is driving innovation in the automotive, industrial & IoT, mobile, and communication infrastructure markets. Built on more than 60 years of combined experience and expertise, the company has approximately 30,000 employees in more than 30 countries and posted revenue of $9.41 billion in 2018.
Le groupe de conception numérique au sein de l’organisation «Automobile Analog et Mixed-Signal"" développe des fonctions logiques pour des systèmes de sécurité tel que le freinage, le Power Management de microcontrôleurs et les systèmes de monitoring des batteries pour véhicules électriques.
Les fonctions principales de nos circuits intégrés sont de type : interface de communication avec un MCU externe, gestion des registres et mémoires internes, machines d’états pour le « power management », intégration de microcontrôleur (potentiellement), filtrage numérique et fonctions complexes de traitement du signal ainsi que diverses fonctions liées à la sécurité dans le domaine automobile et la DFT (Design for Test).
Nous recherchons actuellement un stagiaire de fin d’étude sur une durée de 6 mois pour le groupe de monitoring des batteries.
Vos Missions
Le(a) stagiaire prendra en charge et réalisera les missions suivantes :
Prise en main de l’outil de développement de traitement du signal Tensilica de chez Cadence. Exploration des différentes fonctions disponibles, incluant des essais sur un ou plusieurs test cases. Génération de hardware suivant les options retenues et écriture du software associé dans chaque configuration. Rédaction d’un compte rendu d’utilisation appliqué à nos produits.
Sur la base d’une chaine de traitement du signal existante en hardware (custom logic), réaliser une conversion vers une solution avec le DSP intégré de Tensilica pour une performance similaire et offrant plus de flexibilité. Génération du hardware et écriture du software associé. Vérification de la fonctionnalité et des performances telle que spécifiées ou attendues. Comparatif des deux solutions sur un support de documentation.
Implémentation du hardware sur un flot ASIC (synthèse logique, évaluation des performances en fréquence, analyse de consommation et information de surface).
Rédaction du guide d’intégration pour les utilisateurs projets de cette IP de traitement du signal.
Votre Profil
Niveau d’études : Bac + 5, dernière année d’école d’ingénieur en microélectronique (option numérique).
Bonnes connaissances en traitement du signal et intégration dans un system on chip.
Connaissances en description hardware RTL et environnement de vérification.
Langages VHDL ou Verilog, systemVerilog, C ou systemC.
Outils de synthèse logique et de simulation.
Un bon niveau d’anglais est exigé.
-
Engineer Internship : Digital Integrated Circuit Design (f/m)
Context
NXP Design Center in Toulouse is designing Mixed-Signal ICs for Automotive in several domains: Power Management for MCU, Battery Management System, Sensors and Radar.
The Digital Design team is in charge to design logic interfaces with the analog blocks. The main functions are power management state machines, communication link with the external micro-controller, RISC integration, digital filtering and large signal processing using memory (OTP and RAM).
The team do the architecture, the implementation, the verification, the synthesis and layout in ASIC gates. It includes also the design for test part that detects the defect during production. The validation of the functionality is done on silicon with the mixed-signal part.
We are looking for an intern for Battery Management Systems group.
Responsibilities
The intern will be in charge of the following tasks:
Pre-study of the Cadence solution Tensilica (or other equivalent solution) for high integration of signal processing functions programmable by software . Explore all the features available by the tool suite, including some experiments on several use cases. Generate the hardware and write the software associated for each configuration retained. Deliver a user guide documentation for application on our products.
Based on an existing signal processing design in full custom logic, the intern will do the portability into the DSP Tensilica and will target a similar performance but adding more flexibility. This will include the generation of the hardware plus the software writing. It will be verified by simulation hardware plus software to guarantee the initial specification or the expected performance. A documentation will compared the several options.
Implementation of the final design into the ASIC (logic synthesis, frequency analysis, power consumption and gate count – area).
Writing the integration guide documentation for later integration of the IP inside a SOC.
Your profile :
BSEE, MSEE preferred, in micro-electronics.
Good knowledge in digital signal processing – digital filtering (theory and practice).
Coding and design with hardware description language.
Knowhow in verification flow of an ASIC.
Languages: VHDL or Verilog, SystemVerilog, C or SystemC."
7,https://www.indeed.fr/emplois?q=Software%20Engineer&l=Toulouse&radius=100&limit=100&sort=date&vjk=8a324fb36335b046,"R&D Engineer – Ultrasonic Engineer
EasyMile - Toulouse (31)",['Toulouse (31)'],R&D Engineer – Ultrasonic Engineer,EasyMile,- Toulouse (31),null,null,"il y a 7 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Software Engineer,Toulouse,"Responsibilities:
Technology watch on Ultrasonic and active sensing technology
Sourcing new sensors, cabling and required HW to integrate sensor on autonomous vehicle
Develop drivers for new Ultrasonic sensors and ensure the best performance and stability according to the usage
Develop SW integrated in production code for Ultrasonic sensor processing, complying with company coding quality standard
Elaborate testing and characterisation process for Ultrasonic sensors (range, behavior in different weather conditions, etc.)
Develop hardware and software tools for caracterisation, conformity check and calibration of sensors
Perform characterisation tests of sensors, analyse data, write characterisation reports
On-site HW/SW integration tests on autonomous vehicles
Ensure code compliance with the latest framework evolutions in the company
Implement unit, integration and non-regression tests
Essential:
Good understanding of physical principles of the different Ultrasonic technologies integrated in current of the shelf sensors
Knowledge of Algorithms of point cloud processing (filtering, segmentation, registration, etc.)
Experience in low level development and sensor drivers.

EasyMile is always on the lookout for talented profiles. Don’t hesitate to send us a spontaneous application at jobs@easymile.com"
8,https://www.indeed.fr/emplois?q=Software%20Engineer&l=Toulouse&radius=100&limit=100&sort=date&vjk=f7d198cbfe1ba8e6,"IT Support Engineer
Canopus IT Solution UG - Toulouse (31)
A répondu à 75 % ou plus des candidatures sur les 30 derniers jours, généralement en 1 jour.","['Toulouse (31)', '130 € - 150 € par jour']",IT Support Engineer,Canopus IT Solution UG,- Toulouse (31),130 € - 150 € par jour,130 € - 150 € par jour,"il y a 13 jours
Signaler cette offre d'emploi",Software Engineer,Toulouse,"Canopus IT Solutions is one of the emerging companies in the field of IT managed services and data center support. Since 2016 we are providing support to our client in the field of IT infrastructure and data center network. We have a new opportunity in France, We are looking for an Onsite IT Support Engineer for our below requirement.
Location: Toulouse, France
Languages required: English & France
Project Start Date: October 1st, 2019
Project Duration: 1 month
Type of resource: temporary
Key Responsibilities
Respond to computer-related service and trouble calls
Setup and configure Apple iPads installing relevant apps. Mobile Iron knowledge is beneficial.
Ability to resolve Windows 7 Operating System Errors
IMAC – Imaging & Desk Relocation
Basic Network troubleshooting skills and knowledge
Proficient in Microsoft Office 2010 Suite Including Skype
Understanding of McAfee Endpoint Protection software
Correctly track incidents and calls timely and accurately
Basic Knowledge of Microsoft Active Directory
Implement virus detection and eradication procedures
Diagnose printer and other peripheral device failures and implement solutions
Provide installation and upgrade services of supported hardware and software
Some hardware support experience required e.g. installing memory/hard drives
Support of key engineering applications at use within the business
Job Type: Full-time
Salary: 130.00€ to 150.00€ /day
Experience:
IT Support: 1 year (Preferred)"
9,https://www.indeed.fr/emplois?q=Software%20Engineer&l=Toulouse&radius=100&limit=100&sort=date&vjk=e00587d0de2f4dc5,"Support Engineer - Elements
Valiantys - Toulouse (31)",['Toulouse (31)'],Support Engineer - Elements,Valiantys,- Toulouse (31),null,null,"il y a 12 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Software Engineer,Toulouse,"About Elements

Since 2010, Elements has enhanced the Atlassian platform with amazing apps which facilitate teams to work faster and smarter. With Connect, Checklist, Spreadsheet and Copy&Sync, we've helped over 3,000 enterprises extend their Jira and Confluence capabilities, including Airbus, Apple, BBC, Ingenico, Nike, Oracle, Walmart and Walt Disney. You can find all of our apps on the Atlassian Marketplace.
At Elements we talk straight, we share and take part, we are mindful of what matters, we make every interaction remarkable and we never stand still. If you think the 5 values sound familiar to you, we bet you will love working with us!

Job summary

Bring your energy, enthusiasm, drive and tech-savviness to our Elements unit! As a Software Support Engineer, you will be part of a global team supporting clients all over the world!

You will be based in our office in Toulouse/ Rodez and your role will primarily consist of supporting Elements customers or evaluators on their use of our Apps.
You will be responsible for managing service requests and incidents.
You will be the clients' first contact point, advising them through the situation and proposing clear and simple solutions to answer to their requests within the defined SLA.
You will feed and improve our documentation through your ongoing experience with the customers.
You will work as part of a team to report on support activities and strive for continuous improvement in this domain.
At times, issues may need to be escalated, which is fine. You can always escalate to higher support level if required.

What you need to be successful

You are craving a dynamic work environment where you'll have a large amount of autonomy and responsibilities.

We ask that you bring a minimum of 2 years of experience in customer technical support. Ideally, you have already worked with Atlassian tools and are comfortable with the ecosystem. If not, we will train you.

You have solid knowledge of:
databases (MySQL, Oracle, SQLServer, ...).
System administration (Linux ...)
Cloud platforms like AWS.
What we value is curiosity and ability to learn fast! A bachelor's degree in computer science is required, and your must speak English and French fluently.

You are a great listener and have a real sense of the results. And in the end, providing great customer satisfaction on a human level is what will make a difference!

Previous work experience in an international context is appreciated.

What we offer

Generous lunch vouchers
Free Comprehensive mutual health insurance
Top spec machine as you prefer (MAC or PC)
Table football and table tennis sessions, free coffee, tea and fresh fruits because we care about your health !
On-site showers
Follow us on LinkedIn [https://www.linkedin.com/company/valiantys/], Twitter
[https://twitter.com/Valiantys?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor],
Instagram [https://www.instagram.com/valiantyshq/?hl=en]and Youtube
[https://www.youtube.com/user/ValiantysTV]"
