,id,meta1,meta2,titre_poste,entreprise,localisation,contrat,salaire,date_publication,keyword_metier,keyword_localisation,description
0,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%23&l=Toulouse&radius=100&limit=100&sort=date&advn=4672814242719447&vjk=2c3494ef9ee8433d,"Développeur asp.net c# h/f
Adsearch15 avis - Labège (31)",['Labège (31)'],Développeur asp.net c# h/f,Adsearch,- Labège (31),null,null,"Keljob - il y a 1 heure
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur C#,Toulouse,"L'équipe à taille humaine comprend des jeunes développeurs et des référents techniques reconnus.

Votre rôle dans cette équipe sera de :
Concevoir, développer et tester des solutions ergonomiques et performantes
Proposer de nouvelles idées, technologies, méthodes pour innover ou réduire la dette technique
Participer au quotidien aux différents échanges entre les collaborateurs pour faire monter en compétences le niveau global de l'équipe d'ingénieur R&D (composée de 5 personnes)
L'esprit d'équipe qui anime les développeurs encourage aux différents échanges sur les technos, les méthodologies et façon de travailler. Ils travaillent en méthode AGILE, adaptée à leur fonctionnement. Au quotidien, chacun peut apporter ses idées et ses compétences afin de faire monter le niveau global et livrer les projets dans le respect des délais.

Diplômé d'un Bac+5 idéalement, vous avez au moins 2 ans d'expérience sur un poste similaire. Vous avez un bon relationnel et une facilité à communiquer avec différents interlocuteurs. Curieux, motivé, vous maintenez une veille technologique importante et savez proposer des solutions innovantes pour discuter avec vos collègues et faire évoluer votre environnement technique.
Parmi les compétences suivantes, vous en maîtrisez plusieurs :
Architecture Web (IIS, HTML, Jquery, Bootstrap)
ASP.NET, C#
SQL Server et Oracle, XML/XSL, C++
Vous avez un anglais opérationnel.
Notre client est l'un des leaders de son marché, reconnu nationalement et internationalement.
Votre objectif est de contribuer à l'évolution de la solution, son maintien et le développement de nouvelles fonctionnalités. De nouveaux projets sont également menés dans le cadre de la croissance de la société."
1,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%23&l=Toulouse&radius=100&limit=100&sort=date&vjk=b73c4f9964564952,"Développeur .net et SQL Server F/H
FERCHAU48 avis - Toulouse (31)","['Toulouse (31)', 'CDI']",Développeur .net et SQL Server F/H,FERCHAU,- Toulouse (31),CDI,null,"Apec.fr - il y a 18 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur C#,Toulouse,"Concevoir et développer de nouvelles fonctionnalités pour nos solutions

Participer à la maintenance évolutive et corrective des applications existantes
Tester les développements, veiller à la performance et au bon fonctionnement des traitements
Rédiger des documents techniques
Compétences techniques:
ASP.NET, C#, VB.NET, JavaScript, REST, SQL-Server, WPF, Winform
Profil recherché Diplômé d'un Bac+5 en informatique

Ayant une expérience d'au moins 2 ans en développement
Qui a des bases solides en .NET et SQL Server
Qui a travaillé en équipe projets dans des environnements complexes
Entreprise Vous souhaitez travailler pour une

entreprise à taille humaine

capable de vous offrir la sécurité et la stabilité d'un groupe d'

envergure internationale

?

Rejoignez

FERCHAU Engineering, société familiale et premier employeur d'ingénierie

en Allemagne, avec plus de 8000 collaborateurs !

Au sein de la division française de FERCHAU Engineering, entité d’environ 100 collaborateurs, nous offrons à nos salariés la souplesse et la proximité d’une PME, mais également la possibilité d’évoluer dans différents secteurs d’activité : aéronautique, défense, technologies de l’information, ferroviaire ou automobile.

Nous offrons à nos clients un accompagnement de qualité dans les domaines de l’ingénierie mécanique, électrique, électronique, informatique, systèmes embarqués, ainsi que le management de la qualité et le pilotage de projets."
2,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%23&l=Toulouse&radius=100&limit=100&sort=date&vjk=eaa327fac777da3b,"DÉVELOPPEUR INFORMATIQUE INDUSTRIELLE .NET (F/H)
Randstad Search13,978 avis - L'Union (31)","[""L'Union (31)"", '34 000 € par an']",DÉVELOPPEUR INFORMATIQUE INDUSTRIELLE .NET (F/H),Randstad Search,- L'Union (31),34 000 € par an,34 000 € par an,"il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur C#,Toulouse,"Rejoins un bureau d'étude spécialisé dans l'automatisation industrielle qui adresse les défis les plus relevés et se positionne en intégrateur de choc dans de nombreux secteurs de pointe !

Au sein d'une équipe constituée de 10 passionnés, experts de leurs domaines, tu interviens en couteau suisse de la technique. Tu seras l'expert informatique en charge des développements nécessaires à la réussite des nombreux projets en cours et à venir !

Tu rêves d'appliquer ta connaissance des domaines Informatiques, électroniques et robotiques dans des secteurs aussi variés que le spatial, l'agro-alimentaire, l'automobile, l'aéronautique et la défense, l'environnement, le médical et même la musique !
Viens donner une nouvelle orientation à ta carrière au sein d'une structure à taille humaine, qui va compter sur ta passion et ton expertise pour mettre en œuvre et décrocher des opportunités toujours plus intéressantes.

Ce poste en CDI est à pourvoir dès le mois de Septembre, en proche agglomération Toulousaine.
description du poste
Ingénieur d'études et développement avec une solide première expérience, tu souhaites élargir ton scope d'intervention et mettre à profit ton goût pour l'industrie, l'électronique et les technologies embarquées.

Tes principales activités seront :
De la Conception et du Code (~80% du temps)
Ta présence parmi nous sera avant tout pour concevoir et développer des applications logicielles destinées à la supervision de robots/ machines, puis assurer leur déploiement. Tu réaliseras régulièrement des applications windows, connecteurs et librairies (Plugin, API, Addons). Tu devras également mettre au point et tester des prototypes de systèmes industriels dans un contexte d'innovation. Tu seras garant des mises à jour et de l'évolution des applications.

Des Études
Tu devras participer à l'étude de projets dans l'objectif de formaliser les besoins fonctionnels des utilisateurs.
Ton expérience te permettra d'évaluer la charge de travail, l'organisation, la planification et les choix techniques d'un projet ; Tu vas architecturer des applications logicielles, identifier les contraintes d'un projet et participer activement à son chiffrage ; Mais aussi concevoir des modèles théoriques (calcul, simulation, modélisation). Enfin, tu devras maintenir une veille technologique pour actualiser tes compétences.

De la Gestion et du Suivi
Tu es sensibilisé à l'intérêt de la capitalisation des connaissances. Avec tes collègues ou parties prenantes, tu effectueras la gestion et le suivi de version du code;
Pour parfaire ton côté Full Stack, tu devras administrer des machines et des équipements (Admin système réseau) ; ainsi que des bases de données.
Tu devras gérer ou participer activement au support et au dialogue avec les usagers fonctionnels.

Du Rédactionnel
Tu seras emmené à rédiger tout document à caractère technique : cahier des charges, documentation, procédures, notices d'utilisation.

Mais tu travailleras aussi sur des sujets au cœur de l'expertise dans un bureau d'études innovant, avec entre autres :
Le développement d'algorithmes de traitement d'images, traitement du signal ; L'Implémentation d'asservissement ; La programmation de robots industriels (KUKA, ABB, FANUC, STAUBLI) ; Le calcul de trajectoires robots (Calcul matriciel).
profil recherché
Développement
Tu maîtrises parfaitement l'architecture objet (design pattern) ; Tu écris du code clair, commenté et évolutif.
Tu te sens solide en C# / WPF (Framework .NET) ; Tu conçois des interfaces en WPF (XAML) ; Maitrise les repos de code (GIT, SVN) et a des connaissances des langages C, C++, Python,VBA.

Système et Réseaux
Tu es à l'aise pour installer et administrer un système Windows/Linux ; Et maîtrise les services de base (SSH, FTP, Samba). Tu sais administrer des équipements réseaux (Switch, Serveur, VM), et faire la programmation de services propriétaires (Serveur TCP/IP)

Langues
Anglais technique exigé.

Gestion
Tu respectes les normes de codage et les règles de sécurité. Ton esprit entrepreneurial et ton investissement seront indispensables à la réussite de ce projet.
Tu disposes d'une bonne expression orale. Et de capacités rédactionnelles.
Tu sauras coordonner des événements, et en déléguer l'exécution. Tu comprends l'intérêt d'établir des procédures.
informations complémentaires
niveau d'études : BAC+5
salaire minimum : 34000 €
type de salaire : Annuel"
3,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%23&l=Toulouse&radius=100&limit=100&sort=date&vjk=eb3dce5d615d384b,"Développeur C# WPF / Freelance
Link Consulting - Toulouse (31)","['Toulouse (31)', 'Temps plein, Freelance / Indépendant', '300 € - 400 € par semaine']",Développeur C# WPF / Freelance,Link Consulting,- Toulouse (31),"Temps plein, Freelance / Indépendant",300 € - 400 € par semaine,"Freelance-info - il y a 4 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur C#,Toulouse,"Link Consulting est un partenaire fiable pour nos nombreux clients PME, ETI, Grands Comptes au niveau national.

Avec nous, offrez à votre carrière de nouvelles perspectives : évolution, challenge, épanouissement professionnel. Grâce à sa structure dynamique et innovante, Link Consulting favorise l’initiative et la liberté d’entreprendre.

Avançons ensemble vers l’aventure qui vous anime.

Dans le cadre d’une mission classifiée confidentiel défense , notre client industriel vous confiera les travaux basés sur un document de spécification pour chacun des axes, et incluent les activités suivantes:
conception détaillée
développement logiciel
test unitaire
élaboration d’une documentation technique
mise à niveau de la documentation utilisateur
De formation supérieure en informatique et dôté d’une expérience signicative en .NET , nous attendons votre candidature pour discuter de l’opportunité.

Compétences recherchées :
Expériences Technologies C# .net WPF tests unitaires, intégration continue
Expérience sur le Framework de développement Unity
Connaissances sur les outils de gestion de configuration Git/GitLab
Capacité à comprendre un besoin métier complexe
Rigueur, autonomie.
Bon relationnel, sens de la communication, aptitude au travail en équipe.
Expérience significative en developpement (3 ans minimum)

Nous sommes ravis d’accueillir des collaborateurs avec un savoir-être et une certaine humilité. Vos valeurs et votre motivation sont des éléments déterminants.

Link Consulting c’est la liberté et le choix."
4,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%23&l=Toulouse&radius=100&limit=100&sort=date&vjk=959d45955bd4e639,"Développeur vb.net h/f H/F
SPI133 avis - Balma (31)",['Balma (31)'],Développeur vb.net h/f H/F,SPI,- Balma (31),null,null,"Emploilr.com - il y a 4 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur C#,Toulouse,"L'entreprise
Acteur majeur de la transformation digitale dans son secteur, SPI propose une suite logicielle complète pour accompagner les agences immobilières dans leurs activités de Gestion Locative, de Syndic, de Transaction et de Location Saisonnière. C'est en 2012 que SPI - « Septeo Pôle Immobilier » - est né, sous l'impulsion du Groupe Septeo, classé 18ème éditeur français en 2018 et leader de l'édition de solutions logicielles pour les professions juridiques et immobilières.
Nous rejoindre, c'est aussi participer à des projets innovants (solutions Cloud, applicatifs SaaS, OCR…) en intégrant un éditeur de logiciels à la pointe de la technologie.
La valeur ajoutée de SPI repose sur une parfaite maîtrise des métiers de ses clients et le développement de technologies spécifiques offrant à ses clients des solutions d'avenir.
Entreprise à taille humaine en forte croissance, SPI accompagne au quotidien plus de 2300 agences partout en France.
SPI recrute un Développeur VB.NET H/F en CDI à proximité de Toulouse (Balma - 31).

Le poste
Vous travaillerez à la construction et la maintenance de la Suite SPI, dans un environnement technique .NET et une organisation agile (Scrum). Au sein d'une équipe pluridisciplinaire de 10 personnes maximum et en collaboration permanente avec chacun de ses membres, vos principales missions seront les suivantes :
Analyse des besoins exprimés et conception collaborative des évolutions ou améliorations du produit et de ses composants
Participation à la planification des releases
Développement et test unitaires des user stories et des anomalies du backlog
Participation à l'amélioration continue du travail de l'équipe, sous tous ses aspects internes (analyse, conception, développement, tests) et externes (les articulations avec les autres départements de l'entreprise et les clients)
Le candidat

Savoir-faire :
De formation supérieure en informatique, vous possédez au moins une expérience significative de développement en environnement .NET.
Vous maîtrisez VB.NET, WPF et SQL, et avez idéalement une bonne connaissance de C# et SQL Server.
Vous êtes à l'aise avec les principes d'intégration continue et la gestion des sources (idéalement avec TFS).
Vous êtes au moins familier des principes et méthodes agiles et vous avez idéalement travaillé au sein d'une équipe Scrum.

Savoir-être :
Vous êtes dynamique, volontaire, rigoureux et autonome.
Vous aimez travailler en équipe, partager vos connaissances et apprendre de vos pairs.

Publié le 04-10-2019

Cette opportunité professionnelle vous intéresse ?

DUREE:
Répondre sur le site du recruteur"
5,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%23&l=Toulouse&radius=100&limit=100&sort=date&vjk=8a6dce0e17f0936f,"DEVELOPPEUR .NET H/F - TOULOUSE
GROUPE LP PROMOTION - Toulouse (31)",['Toulouse (31)'],DEVELOPPEUR .NET H/F - TOULOUSE,GROUPE LP PROMOTION,- Toulouse (31),null,null,"il y a 4 jours
Signaler cette offre d'emploi",Développeur C#,Toulouse,"DEVELOPPEUR .NET H/F - TOULOUSE
Rejoignez une entreprise à taille humaine, indépendante, et dont le fonctionnement laisse une place importante à l’initiative, à l’innovation et au non-conformisme. Dans une ambiance alliant travail et convivialité, votre manager et chargé de recrutement, vous suivront tout au long de votre carrière et encadreront votre progression au sein de notre Groupe.
Vous intégrerez l’équipe Développement Informatique et vous participerez à l’évolution des librairies propriétaires LP Promotion ainsi qu’à l’évolution des patrons d’architectures utilisés en interne. Sous la responsabilité d’un Chef de Projet, vous serez amené à collaborer régulièrement avec des spécialistes en UI/UX design, des graphistes et des personnes du monde de l’immobilier.
Vous participerez activement au développement des solution LP Promotion, à l’élaboration d’architectures logicielles, à l’intégration d’interfaces graphiques, au test de nouvelles librairies/framework ainsi qu’au programme de recherche et développement visant à faire émerger de nouveaux usages des technologies.
Rigoureux, curieux et ayant le souci du détail, vous n’avez pas peur des challenges ni d’apprendre des nouvelles technologies lorsque cela est nécessaire.
H/F de formation supérieur, vous possédez au minimum 2 ans d’expérience en tant qu’ingénieur de développement. Vous maitrisez la Programmation Orientée Objet (C#, ASP.Net), les designs patterns classiques, des connaissances en programmation Web (HTML, CSS, Javascript) et en SQL seront un plus.
Poste à pourvoir en CDI à Toulouse (31)."
6,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%23&l=Toulouse&radius=100&limit=100&sort=date&vjk=f1eb192587499107,"Stage - Ingénieur(e) réalité augmentée H/F
Expleo4 avis - Toulouse (31)","['Toulouse (31)', 'Stage']",Stage - Ingénieur(e) réalité augmentée H/F,Expleo,- Toulouse (31),Stage,null,"il y a 4 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur C#,Toulouse,"Electronique / Systèmes Embarqués
Midi-Pyrénées - ToulouseStage
2019-2462
Qui sommes-nous ?
Expleo propose une offre unique de services intégrés d'ingénierie, qualité et conseil stratégique pour la transformation digitale. Dans un contexte d'accélération technologique sans précédent, nous sommes le partenaire de confiance des entreprises qui innovent.
Expleo est présent dans tous les secteurs à forte intensité technologique qui contribuent à une société plus connectée, plus durable et plus sûre. Nous nous appuyons sur une forte expertise sectorielle et accompagnons nos clients sur l'ensemble de la chaîne de valeur : conseil et business agility, conception, production et services post développement, management de la qualité.
Nos 15 000 collaborateurs interviennent dans plus de 25 pays et nous avons réalisé un chiffre d'affaires de 1,1 milliard d'euros en 2018.

Votre future mission
Nous aimons le challenge, la relation client et l’éclectisme. Notre détermination est d’être précurseur et non seulement « up to date ». Nous sommes en permanence à la recherche de nouvelles opportunités et marchés tout en renforçant notre équipe de développeur locale et humaine. Ces valeurs vous parlent ?

Vous êtes intégré(e) à l’équipe Logiciel intervenant notamment sur des développements de software et d’applications Android intégrant des solutions en réalité augmentée et virtuelle dans différents secteurs industriels.

Rattaché à un tuteur expérimenté, vous serez chargé de :
Benchmarker selon plusieurs critères, différentes solutions de réalité augmentée sur plateforme WEB,
Se tenir informer des dernières évolutions innovantes en réalité augmentée,
Réaliser un projet permettant facilement d’exploiter le potentiel de la technologie sélectionnée.
Autonome, vous avez un esprit d’initiative et de bonnes capacités de raisonnement et d’analyse. Votre esprit de synthèse, votre curiosité ainsi que votre bon relationnel seront fortement appréciés. Au sein de la Business Unit Sytems (500 personnes), vous intégrerez l’équipe de Digitalisation.

Ce qui vous différencie
Environnements techniques : Unity3D, Blender

Compétences particulières : WEB, JavaScript, Langage C#, notions 3D.

Vous êtes issu(e) d’une formation ingénieur Informatique et vous disposez de bonnes connaissances en 3D. Votre niveau d’anglais est opérationnel à l’écrit comme à l’oral. Vous êtes capable de collaborer avec les ingénieurs d’autres spécialités.

Curieux et ayant le goût du challenge, vous disposez d'un bon relationnel, êtes adaptable, autonome et rigoureux. Vous aimez les réalisations techniques poussées.

Nous vous attendons dans nos équipes pour vous épanouir sur nos différents projets et développer vos compétences.

Votre carrière est notre enjeu ! À vous d'inventer votre parcours avec vos idées et votre personnalité. Aucune voie n'est tracée ou figée. Suivez et réalisez-la vôtre !

Partager cette offre

postuler à cette offre"
7,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%23&l=Toulouse&radius=100&limit=100&sort=date&vjk=8f6c50d6184e073d,"DÉVELOPPEUR WEB - H/F
Chausson Matériaux72 avis - Toulouse (31)","['Toulouse (31)', 'CDI']",DÉVELOPPEUR WEB - H/F,Chausson Matériaux,- Toulouse (31),CDI,null,"il y a 5 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur C#,Toulouse,"Lieu : TOULOUSE (31)
Date de parution : 10/3/2019
Type de contrat : CDI

Que vous soyez débutant(e) ou déjà doté(e) d'une belle expérience professionnelle, Chausson Matériaux vous propose bien plus qu'un poste.
Nous sommes capables de vous accompagner avec une formation métier et vous proposer des évolutions de carrière !

Nous recherchons pour notre Siège Social à Saint Alban (31) un Développeur Web C# - H/F.

Sous l'impulsion du chef de projet, vous analyserez les besoins utilisateurs et métiers afin de proposer l'axe de développement. Ensuite vous rédigez les spécifications techniques et fonctionnelles. Vous développez les applications et scripts nécessaires, vous réalisez les premiers tests. Pour finir, vous assurez la maintenance corrective et évolutive des applications.

De formation Bac + 3/ 5 en informatique, vous avez une première expérience sur un poste similaire.
Vous possédez une bonne connaissance des langages techniques et environnements ASP.NET, C#, HTML, CSS, Javascript, TypeScript, frameworks (AngularJS, Angular, JQuery, Bootstrap ...) et SQL.

Quelques unes de nos réalisations:
Site e-commerce avec son application mobile (IOS, Androïd, Windows)
Logiciel gestion des transports
Plateforme e-learning
Ensemble pour aller plus loin
Première entreprise indépendante de distribution de matériaux de construction en France, avec 900 Millions d'Euros de CA, Chausson Matériaux offre de vraies opportunités d'évolution au sein de ses 350 agences déployées en France.
Tournée vers l'avenir, nous investissons en permanence sur la performance des outils pour assurer un service de qualité à nos clients.
Entreprise familiale créée en 1921, nous partageons avec nos 3800 collaborateurs des valeurs fortes d'engagement, respect et confiance.
Rejoignez-nous pour participer à notre développement !
Avantages sociaux: mutuelle, prévoyance, participation et tickets-restaurant.
Consultez notre site RH: https://rh.chausson-materiaux.fr/"
8,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%23&l=Toulouse&radius=100&limit=100&sort=date&vjk=1d0ff6e7eaad376f,"Développeur VB.NET H/F
Septeo3 avis - Toulouse (31)","['Toulouse (31)', 'CDI']",Développeur VB.NET H/F,Septeo,- Toulouse (31),CDI,null,"il y a 5 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur C#,Toulouse,"DESCRIPTION DE L'OFFRE
Présentation :
Acteur majeur de la transformation digitale dans son secteur, SPI propose une suite logicielle complète pour accompagner les agences immobilières dans leurs activités de Gestion Locative, de Syndic, de Transaction et de Location Saisonnière. C’est en 2012 que SPI – « Septeo Pôle Immobilier » – est né, sous l’impulsion du Groupe Septeo, classé 18ème éditeur français en 2018 et leader de l’édition de solutions logicielles pour les professions juridiques et immobilières.
Nous rejoindre, c'est aussi participer à des projets innovants (solutions Cloud, applicatifs SaaS, OCR…) en intégrant un éditeur de logiciels à la pointe de la technologie.
La valeur ajoutée de SPI repose sur une parfaite maîtrise des métiers de ses clients et le développement de technologies spécifiques offrant à ses clients des solutions d’avenir.
Entreprise à taille humaine en forte croissance, SPI accompagne au quotidien plus de 2300 agences partout en France.
SPI recrute un Développeur VB.NET H/F en CDI à proximité de Toulouse (Balma - 31).
Votre mission :
Vous travaillerez à la construction et la maintenance de la Suite SPI, dans un environnement technique .NET et une organisation agile (Scrum). Au sein d’une équipe pluridisciplinaire de 10 personnes maximum et en collaboration permanente avec chacun de ses membres, vos principales missions seront les suivantes :
Analyse des besoins exprimés et conception collaborative des évolutions ou améliorations du produit et de ses composants
Participation à la planification des releases
Développement et test unitaires des user stories et des anomalies du backlog
Participation à l’amélioration continue du travail de l’équipe, sous tous ses aspects internes (analyse, conception, développement, tests) et externes (les articulations avec les autres départements de l’entreprise et les clients)
PROFIL REQUIS
Savoir-faire :
De formation supérieure en informatique, vous possédez au moins une expérience significative de développement en environnement .NET.
Vous maîtrisez VB.NET, WPF et SQL, et avez idéalement une bonne connaissance de C# et SQL Server.
Vous êtes à l’aise avec les principes d’intégration continue et la gestion des sources (idéalement avec TFS).
Vous êtes au moins familier des principes et méthodes agiles et vous avez idéalement travaillé au sein d’une équipe Scrum.
Savoir-être :
Vous êtes dynamique, volontaire, rigoureux et autonome.
Vous aimez travailler en équipe, partager vos connaissances et apprendre de vos pairs.
POSTULER
Aucune offre pourvous? Cliquez ici."
9,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%23&l=Toulouse&radius=100&limit=100&sort=date&vjk=73a78a84bba487ba,"Ingénieur Développeur Front-End, débutant (H/F)
ALTEN SO6 avis - Toulouse (31)","['Toulouse (31)', 'CDI']","Ingénieur Développeur Front-End, débutant (H/F)",ALTEN SO,- Toulouse (31),CDI,null,"il y a 5 jours
Signaler cette offre d'emploi",Développeur C#,Toulouse,"La Business Unit TECHNOLOGIE d'ALTEN intervient auprès des grands acteurs du secteur et recherche dans le cadre de son développement un : Ingénieur Développeur Front-End, débutant H/F.
Missions :
Intervenant auprès d’un éditeur de MES, dans le service bureau d’études composé d’un Scrum Master, un Product Owner et 6 développeurs, vous participez au développement d’un nouveau produit pour l’industrie de produits chimiques :
- participation à l’élaboration des spécifications fonctionnelles,
- développement des fonctionnalités en accord avec la MOA,
- gestion de projet
Profil :
Diplômé d’une formation de niveau Bac+5 (ingénieur ou master 2) idéalement spécialisée en informatique, vous connaissez le développement en C#, de préférence .net, et le développement front-end (HTML(5) / CSS, JavaScript (AngularJS).
Vous évoluez dans un environnement anglophone, de fait, une aisance à l’oral et écrite de l’anglais est exigée.
Avantages: Vous participez de A à Z, à l’élaboration d’un tout nouveau produit. Votre prise de réflexion et votre analyse seront un atout majeur pour ce poste. De plus, la toute nouvelle organisation de l’équipe en Scrum, vous permettra de monter rapidement en compétences sur cette méthode de gestion de projet.
Autonome, curieux et doté d’un excellent relationnel, vous appréciez le travail en équipe ainsi que les challenges techniques.
Postulez dès à présent, nous n’attendons que vous !
Type d'emploi : CDI
Expérience:
ingénieur développeur front-end, débutant (h/f) ou similaire: 2 ans (Souhaité)
Formation:
Bac +5 (Master / MBA) (Requis)"
