,id,meta1,meta2,titre_poste,entreprise,localisation,contrat,salaire,date_publication,keyword_metier,keyword_localisation,description
0,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%2B%2B&l=Toulouse&radius=100&limit=100&sort=date&advn=4672814242719447&vjk=2c3494ef9ee8433d,"Développeur asp.net c# h/f
Adsearch15 avis - Labège (31)",['Labège (31)'],Développeur asp.net c# h/f,Adsearch,- Labège (31),null,null,"Keljob - il y a 1 heure
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur C++,Toulouse,"L'équipe à taille humaine comprend des jeunes développeurs et des référents techniques reconnus.

Votre rôle dans cette équipe sera de :
Concevoir, développer et tester des solutions ergonomiques et performantes
Proposer de nouvelles idées, technologies, méthodes pour innover ou réduire la dette technique
Participer au quotidien aux différents échanges entre les collaborateurs pour faire monter en compétences le niveau global de l'équipe d'ingénieur R&D (composée de 5 personnes)
L'esprit d'équipe qui anime les développeurs encourage aux différents échanges sur les technos, les méthodologies et façon de travailler. Ils travaillent en méthode AGILE, adaptée à leur fonctionnement. Au quotidien, chacun peut apporter ses idées et ses compétences afin de faire monter le niveau global et livrer les projets dans le respect des délais.

Diplômé d'un Bac+5 idéalement, vous avez au moins 2 ans d'expérience sur un poste similaire. Vous avez un bon relationnel et une facilité à communiquer avec différents interlocuteurs. Curieux, motivé, vous maintenez une veille technologique importante et savez proposer des solutions innovantes pour discuter avec vos collègues et faire évoluer votre environnement technique.
Parmi les compétences suivantes, vous en maîtrisez plusieurs :
Architecture Web (IIS, HTML, Jquery, Bootstrap)
ASP.NET, C#
SQL Server et Oracle, XML/XSL, C++
Vous avez un anglais opérationnel.
Notre client est l'un des leaders de son marché, reconnu nationalement et internationalement.
Votre objectif est de contribuer à l'évolution de la solution, son maintien et le développement de nouvelles fonctionnalités. De nouveaux projets sont également menés dans le cadre de la croissance de la société."
1,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%2B%2B&l=Toulouse&radius=100&limit=100&sort=date&vjk=3c8080e248555bd9,"Développeur Simulink H/F
CS Communication & Systèmes2 avis - Toulouse (31)","['Toulouse (31)', 'CDI']",Développeur Simulink H/F,CS Communication & Systèmes,- Toulouse (31),CDI,null,"il y a 23 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur C++,Toulouse,"DESCRIPTION DE L'OFFRE
Les équipes du pôle Formation & Support aux Opérations de DIGINEXT fournissent aux grands acteurs industriels notamment de l’aéronautique et de la défense, des dispositifs pédagogiques novateurs et motivants, E-Learning 3D, Entraineurs et Simulateurs, ainsi que des systèmes mobiles d'assistance cognitive accroissant la performance des opérateurs sur les tâches d'assemblage, d'inspection ou de maintenance qui leurs sont confiées.
Pour accompagner la croissance de ses activités, DIGINEXT recherche un technicien/ingénieur Modèle - Simulation. À ce poste, vous participerez au développement de modèles de simulations, basé sur de la programmation graphique (enchaînement de briques), sur le logiciel interne Inscape (aspect similaire à Simulink).
Vous contribuerez notamment :
A la création d’un simulateur léger d’hélicoptère
A l’analyse et à la conception et au design de systèmes simplifiés de cet hélicoptère
Au développement de modèles de simulation (programmation visuelle par blocs & scripting LUA)
A la validation, a l’analyse et à la correction de bugs

Nous avons plusieurs postes à pourvoir en CDD et en CDI sur notre site de Toulouse (secteur Cité de l’Espace).

PROFIL REQUIS
De formation Bac+2 à Bac+5, vous avez au moins 2 années d’expériences en création de modèles avec Simulink. Votre formation/parcours professionnel démontre votre aptitude à modéliser des systèmes complexes par programmation graphique et par Scripting. Vous avez un excellent esprit d’équipe. Vous êtes autonome, rigoureux, curieux et dynamique.

Compétences requises:
Grandes capacités d’analyses, d’abstractions et de conception de systèmes
Modélisation (Matlab – Simulink)
Niveau d'Anglais technique

Compétences techniques appréciées :
Connaissances en systèmes et procédures avions ou hélicoptères
Maîtrise du langage C++ / Qt
Connaissances en développement Web (Javascript, HTML, CSS)
Niveau d'Allemand technique serait un plus

Vous souhaitez aujourd’hui rejoindre une entreprise dynamique et participer à des projets passionnants et à la pointe de la technologie, alors n’hésitez plus, rejoignez-nous !"
2,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%2B%2B&l=Toulouse&radius=100&limit=100&sort=date&vjk=3068383a04eb9c30,"Développeur Simulink F/H
CS COMMUNICATION & SYSTEMES - Toulouse (31)","['Toulouse (31)', 'CDI']",Développeur Simulink F/H,CS COMMUNICATION & SYSTEMES,- Toulouse (31),CDI,null,"Apec.fr - il y a 18 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur C++,Toulouse,"Pour accompagner la croissance de ses activités, DIGINEXT (filiale de CS) recherche un technicien/ingénieur Modèle - Simulation

Les équipes du pôle Formation & Support aux Opérations de DIGINEXT fournissent aux grands acteurs industriels notamment de l'aéronautique et de la défense, des dispositifs pédagogiques novateurs et motivants, E-Learning 3D, Entraineurs et Simulateurs, ainsi que des systèmes mobiles d'assistance cognitive accroissant la performance des opérateurs sur les tâches d'assemblage, d'inspection ou de maintenance qui leurs sont confiées.

Pour accompagner la croissance de ses activités, DIGINEXT recherche un technicien/ingénieur Modèle - Simulation. À ce poste, vous participerez au développement de modèles de simulations, basé sur de la programmation graphique (enchaînement de briques), sur le logiciel interne Inscape (aspect similaire à Simulink).

Vous contribuerez notamment :
A la création d'un simulateur léger d'hélicoptère

A l'analyse et à la conception et au design de systèmes simplifiés de cet hélicoptère

Au développement de modèles de simulation (programmation visuelle par blocs & scripting LUA)

A la validation, a l'analyse et à la correction de bugs

Nous avons plusieurs postes à pourvoir en CDD et en CDI sur notre site de Toulouse (secteur Cité de l'Espace).
Profil recherché De formation Bac+2 à Bac+5, vous avez au moins 2 années d'expériences en création de modèles avec Simulink. Votre formation/parcours professionnel démontre votre aptitude à modéliser des systèmes complexes par programmation graphique et par Scripting. Vous avez un excellent esprit d'équipe. Vous êtes autonome, rigoureux, curieux et dynamique.

Compétences requises:
Grandes capacités d'analyses, d'abstractions et de conception de systèmes

Modélisation (Matlab - Simulink)

Niveau d'Anglais technique

Compétences techniques appréciées :
Connaissances en systèmes et procédures avions ou hélicoptères

Maîtrise du langage C++ / Qt

Connaissances en développement Web (Javascript, HTML, CSS)

Niveau d'Allemand technique serait un plus

Vous souhaitez aujourd'hui rejoindre une entreprise dynamique et participer à des projets passionnants et à la pointe de la technologie, alors n'hésitez plus, rejoignez-nous !
Entreprise Société jeune, dynamique et en forte croissance, DIGINEXT est reconnue internationalement pour l'excellence de ses produits et de ses activités de R&D. Implantée en France (Aix en Provence, Toulouse et Paris) et très active à l'export, DIGINEXT offre de multiples opportunités de développement, tant professionnel que personnel, pour des talents qui auront l'opportunité de s'épanouir et d'évoluer dans un cadre stimulant et valorisant, au sein de projets passionnants et à la pointe de la technologie. DIGINEXT est une structure à taille humaine (300 personnes) qui mise sur les valeurs de solidarité et d'éthique, la prise d'initiative et l'innovation et s'engage activement en matière d'égalité professionnelle."
3,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%2B%2B&l=Toulouse&radius=100&limit=100&sort=date&vjk=f988f824d42e9e92,"DEVELOPPEUR INFORMATIQUE JUNIOR F/H
CAP RESSOURCES, Cabinet de recrutement - Labège (31)","['Labège (31)', 'CDI']",DEVELOPPEUR INFORMATIQUE JUNIOR F/H,"CAP RESSOURCES, Cabinet de recrutement",- Labège (31),CDI,null,"Apec.fr - il y a 18 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur C++,Toulouse,"Membre de de l’équipe IHM, vous participerez à l’évolution d’une application médicale, de la conception technique au développement avec mise en place de tests automatisés.

Nous évoluons actuellement dans un environnement technique utilisant :

Linux

C++11

QT 5.9

MySQL 5.7

PHP 5.6

Docker

Jenkins

Squish

Le poste est basé tout proche de (31) Toulouse à Labège.

Profil recherché Formation :
Ingénieur (Bac +5)

Expérience

: Débutant accepté

Langues :
Français, Anglais

Autres éléments indispensables

:

Linux,

Avoir de bonnes bases en programmation orientée objet,

Connaître le langage C++ (v11)

, la connaissance du Framework Qt (5.9) est un plus,

Connaître les fondamentaux des bases de données et du langage SQL,

La volonté de travailler en équipe et de faire les choses bien.
Entreprise La société de notre client est une jeune entreprise spécialisée dans la recherche et développement en biotechnologie. Basée sur 3 sites en Europe notre société développe depuis 2010 le projet ‘

CONDORSCAN

’, une caméra permettant de réaliser des empreintes dentaires 3D.

En pleine croissance, cette société recrute de nouveaux talents pour maintenir sa créativité et concevoir de futurs projets."
4,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%2B%2B&l=Toulouse&radius=100&limit=100&sort=date&vjk=48be8e8371d043a8,"Développeur C++ (H/F)
Extia25 avis - Toulouse (31)","['Toulouse (31)', 'CDI']",Développeur C++ (H/F),Extia,- Toulouse (31),CDI,null,"il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur C++,Toulouse,"Chez EXTIA, c'est ""D'abord qui, ensuite quoi !""
Dans le cadre de projets de développement en environnement C++, nous recrutons des ingénieurs consultants pour intervenir sur les phases de spécifications, de conception, et de développement.
Donc, d'abord qui ?
De formation ingénieur ou universitaire (Bac+5), vous disposez d’une expérience en développement. Vous êtes rigoureux, autonome et force de proposition et surtout vous maîtrisez le langage c++ !
Attiré(e) par le challenge, vous souhaitez gagner en compétences au sein d’une équipe originale, ambitieuse et très dynamique ?
Profil recherché
Et, ensuite quoi ?
Rattaché(e) à une équipe de développeurs passionnés, vous intervenez sur l’ensemble des phases d'un projet agile :
Analyser les données et rédiger les spécifications,
Développer et effectuer les tests unitaires,
Participer à la livraison,
Rédiger la documentation technique.
Si vous souhaitez évoluer dans une société bienveillante, qui propose une approche inédite dans son domaine en alliant performance et bien-être au travail : Rejoignez la 2eme Great Place To Work ! N'hésitez plus, postulez ! #LI-LP1"
5,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%2B%2B&l=Toulouse&radius=100&limit=100&sort=date&vjk=538f4ac3e1650dbd,"Développeur Ingénieur vision par ordinateur F/H
INTITEK6 avis - Toulouse (31)","['Toulouse (31)', 'CDI']",Développeur Ingénieur vision par ordinateur F/H,INTITEK,- Toulouse (31),CDI,null,"Apec.fr - il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur C++,Toulouse,"Quoi de plus stimulant que de participer aux innovations du véhicule de demain, de l’avion sans pilote, de l’ingénierie optique ou de l’industrie spatiale

?

Intitek for Industry

développe des approches et des solutions exclusives dans les domaines du transport, de la défense, du biomédical ou de l’aéronautique.

Intégré dans les équipes de notre client, vous participez à :
la conception,

au développement,

à l'intégration d'algorithmes de traitement d'images.

Vous développez en langage C++ sur des produits ADAS, dans un contexte applicatif à l’aide d’outils spécifiques.

Vous effectuez les tâches suivantes :
Evaluation des algorithmes sur des systèmes embarqués

Suivi des mesures qualité appliquées au développement algorithmique

Optimisation des temps de calcul
Profil recherché De Formation ingénieur ou bac +5, vous justifiez des compétences suivantes :

Bonne connaissance géométrie 3D.

Outils de Développement : C++, visual studio, MATLAB, QT, Python

Outils de gestion des configurations et specs (DOORS, SVN, Git, Jira, confluence)

Bonne connaissance des ADAS basées sur des technologies caméra/radar/lidar

Filtre de Kalman, feature extraction, Structure From Motion, Segmentation, calibration

Devenez un Happy Digital Member en nous envoyant votre candidature

!
Entreprise « C’est en repoussant les limites du progrès et de l’innovation que les projets les plus fous finissent par se réaliser !»

Avec plus de 700 collaborateurs en France et dans ses filiales au Canada, aux USA, en Chine, en Pologne et en Espagne, le groupe Intitek conseille et accompagne ses clients dans leur transformation digitale autour de 3 branches métiers :

Intitek for Industry

: Transport, santé, télécommunication, industrie militaire...

Intitek for Manufacturing

: Conception, outils, tests

Intitek for People

: Sites web, applications, objets connectés

Le groupe Intitek réunit de multiples ressources et talents dont le quotidien consiste à repousser les limites du possible et développer des solutions numériques qui profitent à tous. Celles et ceux qui osent sont encouragés à libérer leur créativité afin de servir les desseins les plus ambitieux.

Rejoignez vous aussi le Happy Digital World !"
6,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%2B%2B&l=Toulouse&radius=100&limit=100&sort=date&vjk=bbebb0a48e7b0fa7,"Développeur Applicatif Embarqué F/H
Smile20 avis - Toulouse (31)","['Toulouse (31)', 'CDI']",Développeur Applicatif Embarqué F/H,Smile,- Toulouse (31),CDI,null,"Apec.fr - il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur C++,Toulouse,"Les équipes techniques de SMILE Toulouse accompagnent leurs clients industriels sur le développement de produits embarqués et connectés. Les prestations peuvent être réalisées depuis les locaux de SMILE Toulouse ou directement dans les locaux du client.

L'agence est aujourd'hui structurée autour d'un Responsable d'agence et d'un Responsable technique.

Votre rôle sera de :
Participer au design, au développement et aux tests d'applications embarquées en C/C++ sous Linux

Veiller au respect des dispositions qualité et des normes de programmation, notamment au niveau sécurité

Rédiger la documentation (développeur, utilisateur et exploitation)
Profil recherché De formation supérieure en informatique, école d'ingénieur ou cursus universitaire, vous justifiez d'une expérience de 2 ans minimum dans le domaine du développement de logiciels en C/C++, plus particulièrement en environnement Linux embarqué.

Vous maîtrisez les technologies suivantes :
Développement C/C++ en environnement Linux embarqué

Yocto / buildroot

Autres connaissances appréciées :
Technologies Qt

Savoir-être :
Autonome tout en étant capable de travailler en équipe

Curieux et passionné de technologies

Rigoureux et recherche l'excellence

Bon relationnel et à l'écoute

Fiable

Sens de l'organisation

Anglais technique indispensable
Entreprise Smile est le leader du “sourire” au travail mais aussi de l'intégration et de l'infogérance de solutions open source.

Enthousiastes, agiles et performants, leur vocation est de libérer le potentiel d'innovation des entreprises, à travers l'open source.

Ses smiliens experts accompagnent les entreprises dans des domaines aussi variés que le Digital, les Business Apps, l'Embarqué & l'IoT et l'Infrastructure.

Ils sont plus de 1700 collaborateurs présents dans 7 pays, avec 15 agences réparties en France et à l'international.

Le pôle

Smile ECS

(Embedded & Connected Systems) est un centre d'excellence entièrement dédié aux

systèmes embarqués et objets connectés

.

Smile ECS

s'impose comme le pôle de référence des métiers de l'embarqué en environnement Open Source.

Nous sommes une équipe de passionnés de l'univers Open Source et participons à différents événements comme le

Capitole du Libre

ou le

FOSDEM

.

Nous organisons également des

Meet-Up

sur différents sujets (Android AOSP, IoT, Linux Embarqué…).

Nous alimentons régulièrement notre

blog Linux Embedded

, à travers différents articles rédigés par nos collaborateurs.

Dans le cadre du développement de notre agence toulousaine, nous recherchons un

Développeur Applicatif Embarqué

(H/F) !"
7,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%2B%2B&l=Toulouse&radius=100&limit=100&sort=date&vjk=bf880de8034d9fc6,"Docteur en physique Informatique
EPSILON-ALCEN - Toulouse (31)
A répondu à 75 % ou plus des candidatures sur les 30 derniers jours, généralement en 1 jour.","['Toulouse (31)', 'CDI', '30 000 € - 50 000 € par an']",Docteur en physique Informatique,EPSILON-ALCEN,- Toulouse (31),CDI,30 000 € - 50 000 € par an,"il y a 1 jour
Signaler cette offre d'emploi",Développeur C++,Toulouse,"A compétences égales, le poste est ouvert aux personnes en situation de handicap.
EPSILON est une société du groupe ALCEN qui répond à différents besoins de conception et d’optimisation de systèmes pour les grands secteurs industriels (énergie, aéronautique, spatial). EPSILON mène des études pour le perfectionnement des produits de ses clients ou pour ses propres technologies et s’engage sur des projets complexes de conception-réalisation avec le support et la puissance industrielle du groupe ALCEN.
Epsilon se développe dans les domaines de la physique, de l’informatique scientifique et enfin de la Performance Opérationnelle. Ainsi, en alliant sa capacité de modélisation / simulation multi-physiques et sa vision système, EPSILON permet de raccourcir les délais entre les phases amont des projets et les essais de validations.
La société est maintenant organisée en trois centres de compétences :
EPSILON PHYSICS : dédié aux calculs scientifiques notamment en multi-physique,
EPSILON DIGITAL : dédié à l’informatique industrielle et scientifique,
EPSILON SYSTEM : dédié aux essais, à la conception et intégration de systèmes.
Ainsi, depuis plus de deux ans, EPSILON répond aux enjeux de nouveaux secteurs par des compétences alliant le monde de la physique et du digital.
C'est dans ce cadre et pour répondre aux développements des activités de son centre de compétences EPSILON DIGITAL que nous recherchons un(e) Docteur(e) Physicien(ne) passionné(e) par l’informatique pour notre agence située à Toulouse.
http://www.epsilon-alcen.com/fr
http://www.alcen.com/fr
https://www.linkedin.com/company/epsilon-ing-nierie/
MISSIONS :
Vous intégrerez une équipe formée de physiciens, mathématiciens et informaticiens passionnés par l’informatique, intéressés par la combinatoire de la donnée physique et de son interprétation et utilisation dans le développement d’outils numériques où l’expertise « métier » est forte.
Vous interviendrez sur les sujets de grands secteurs industriels (Aéronautique, Spatial, Energie), tout au long des différentes phases des projets : spécifications, développement, test, intégration.
A ce titre, vous interviendrez sur les sujets suivants :
Conception détaillée, codage et tests unitaires de composants logiciels majoritairement en C/C++.
Création d’interfaces graphiques de manipulation et interaction avec des données scientifiques
Outils de traitement, analyse et visualisation de données
Machine learning
Traitement d’images.
PROFIL :
EPSILON est une entreprise avec une culture R&D forte. Elle est donc parfaitement adaptée à l’intégration de docteurs.
Vous êtes un(e) docteur(e) informaticien(e), un physicien(ne) qui recherche à allier ses deux passions : la physique et l’informatique
Vous êtes titulaire Doctorat ou Post-Doctorat en mathématique-physique-informatique,
Vous maîtrisez le langage de programmation C++,
Vous avez une première expérience dans le développement logiciel scientifique,
Vous partagez les mêmes valeurs que nous: confiance, travail en équipe et transparence.
CONNAISSANCES & COMPÉTENCES REQUISES :
C / C++,
Python/Qt
Bon niveau en anglais technique
Rigueur, autonomie, synthèse
Type d'emploi : CDI
Salaire : 30 000,00€ à 50 000,00€ /an
Expérience:
Développeur logiciel informatique ou similaire: 1 an (Souhaité)"
8,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%2B%2B&l=Toulouse&radius=100&limit=100&sort=date&vjk=f8e92f999b5beb36,"Développement logiciel Traitement Image F/H
SCALIAN14 avis - Toulouse (31)","['Toulouse (31)', 'CDI']",Développement logiciel Traitement Image F/H,SCALIAN,- Toulouse (31),CDI,null,"Apec.fr - il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur C++,Toulouse,"Vous êtes Développeur Logiciel Traitement image ou vous souhaites le devenir !

Dans le cadre de projets de digitalisation de la fabrication de harnais électriques dans le domaine de l’aéronautique, un projet d’inspection automatique par traitement d’image de meuble électrique est en cours.

Quel sera votre rôle ?

Vous adapterez l’outil existant au contexte et vous développerez de nouvelles fonctionnalités.

Vous recueillerez les besoins auprès des techniques.

Vous devrez monter en compétence sur l’outil existant ainsi qu’adapter l’outil au contexte meuble électrique avec la modification de l’IHM et la modification du processus de reconnaissance des contours.

De plus, vous développez de nouvelles fonctionnalités en faisant le contrôle des couleurs. Puis, vous capitaliserez le savoir-faire acquis sur la documentation et le code commenté.
Profil recherché Vous maitrisez le langage de programmation C++ et Python ainsi que des compétences en Traitement d’image.

Entreprise Rejoindre Scalian, c'est :
S'associer

au développement d'un groupe français en croissance (2700 collaborateurs, 190 M CA)

Enrichir

vos expériences humaines et professionnelles au sein de nos 2 pôles d'expertises: Digital Systems et Performance des Opérations

Grandir

grâce au L@b et à ses projets de recherche (drone, RV, RA, simulation, blockchain, ….)

Adopter

une démarche basée sur l'envie d'apprendre et de transmettre tout au long de votre parcours

Evoluer

dans un groupe pérenne du secteur du Conseil et de l'Ingénierie, à taille humaine, en étant accompagné dans la réalisation de vos projets et de vos souhaits de mobilité.

Au sein du pôle Digital Systems

, vous côtoierez nos experts en systèmes embarqués et critiques, en testabilité, en simulation, en informatique scientifique, en IoT, en SI et en solutions digitales.

Au sein du Performance des Opérations,

vous retrouverez nos experts en management de projet, en qualité, en organisation des achats, en contrôle de gestion et en performance industrielle.

L’agence SCALIAN Eurogiciel sur Labège Innopole à Toulouse

focalise son développement sur le pôle Digital Systems et compte 99 collaborateurs.

L’agence SCALIAN Digital Systems Toulouse compte aujourd’hui près de 170 ingénieurs et poursuit sa croissance en accompagnant de grands groupes industriels dans leurs projets innovants."
9,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20C%2B%2B&l=Toulouse&radius=100&limit=100&sort=date&vjk=88b7a91049594f1f,"Expert Technique C++ systèmes ferroviaires et aéronautiques F/H
SCALIAN14 avis - Toulouse (31)","['Toulouse (31)', 'CDI']",Expert Technique C++ systèmes ferroviaires et aéronautiques F/H,SCALIAN,- Toulouse (31),CDI,null,"Apec.fr - il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur C++,Toulouse,"Vous êtes Expert Technique C++ systèmes ferroviaires et aéronautiques ou vous souhaitez le devenir !

Dans le cadre du développement de ses activités dans le domaine du transport et de l’aéronautique vous participerez à la réalisation de nos projets au forfait.

Quel sera votre rôle ?

Sous la responsabilité du Responsable Technique d’Unité, vous interviendrez au sein d’une équipe expérimentée.

Vous assurerez la définition de l’architecture software des applications à réaliser, la rédaction des spécifications fonctionnelles et techniques.

Vous aurez pour rôle d’encadrer techniquement et piloter l’équipe de développeurs. Vous coordonnerez les échanges avec le client.

Nous comptons sur vous pour la tenue du périmètre fonctionnelle.
Profil recherché Vous êtes Diplômé Bac+5 d’école d’ingénieur, d’un cycle universitaire ou titulaire d’un Doctorat.

Vous avez un goût particulier pour les Transports, l’Aéronautique et l’Innovation où vous souhaitez exercer une fonction de pilotage de projet alliée à votre expertise technique en programmation C++ (bonne connaissance des principes de la programmation orientée objet).

Une compétence en Qt serait un plus

Entreprise Rejoindre Scalian, c'est :
S'associer

au développement d'un groupe français en croissance (2700 collaborateurs, 190 M CA)

Enrichir

vos expériences humaines et professionnelles au sein de nos 2 pôles d'expertises: Digital Systems et Performance des Opérations

Grandir

grâce au L@b et à ses projets de recherche (drone, RV, RA, simulation, blockchain, ….)

Adopter

une démarche basée sur l'envie d'apprendre et de transmettre tout au long de votre parcours

Evoluer

dans un groupe pérenne du secteur du Conseil et de l'Ingénierie, à taille humaine, en étant accompagné dans la réalisation de vos projets et de vos souhaits de mobilité.

Au sein du pôle Digital Systems

, vous côtoierez nos experts en systèmes embarqués et critiques, en testabilité, en simulation, en informatique scientifique, en IoT, en SI et en solutions digitales.

Au sein du Performance des Opérations,

vous retrouverez nos experts en management de projet, en qualité, en organisation des achats, en contrôle de gestion et en performance industrielle.

L’agence SCALIAN Eurogiciel sur Labège Innopole à Toulouse

focalise son développement sur le pôle Digital Systems et compte 99 collaborateurs.

L’agence SCALIAN Digital Systems Toulouse compte aujourd’hui près de 170 ingénieurs et poursuit sa croissance en accompagnant de grands groupes industriels dans leurs projets innovants."
