,id,meta1,meta2,titre_poste,entreprise,localisation,contrat,salaire,date_publication,keyword_metier,keyword_localisation,description
0,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20Web%20full%20stack&l=Toulouse&radius=100&limit=100&sort=date&advn=8328554966780868&vjk=1535f648c62658a7,"Développeur Web Full Stack H/F expérimenté(e)
Feeling Sports - Toulouse (31)","['Toulouse (31)', 'Temps plein, CDI', '35 000 € - 45 000 € par an']",Développeur Web Full Stack H/F expérimenté(e),Feeling Sports,- Toulouse (31),"Temps plein, CDI",35 000 € - 45 000 € par an,"il y a 23 heures
Signaler cette offre d'emploi",Développeur Web full stack,Toulouse,"A propos de Feeling Sports
Feeling Sports, agence spécialisée dans les animations digitales autour des événements sportifs, recherche un(e) développeur(se)web Full Stack.
Feeling Sports est éditeur de solutions d'animation autour des grands évènements sportifs français et internationaux : un jeu autour de la ligue 1 pour l'Equipe & France Football (https://www.lechampionnatdesetoiles.fr ), les jeux officiels de Roland Garros, du Tournoi des 6 nations, du Tour de France, des Championnats du monde de Hockey sur Glace et d'autres organisations, des jeux club comme le FC Nantes (https://pronos.fcnantes.com), ou encore en entreprise (Crédit Agricole, Veolia, Intersport et d'autres...).
Afin d'accélérer son développement, Feeling Sports renforce son équipe technique et recrute en CDI un(e) développeur(se) expérimenté(e) et dynamique souhaitant nous accompagner dans notre développement.
Contexte et missions
L'équipe technique de Feeling Sports, a développé en 2018 un nouveau socle technique basé sur angular.io, REST API php 7 et ionic sur lequel sont basées toutes les solutions.
Afin de développer sa palette de solutions digitales pour les grands acteurs internationaux du monde du Sport, Feeling Sports se doit d'innover en permanence, et de développer de nouveaux modules pour attirer et convaincre de nouveaux clients en France comme à l'étranger.
Les missions du poste proposé seront donc variées et enrichissantes :
Analyse des besoins, réflexion sur les améliorations et sur leur intégration dans la plateforme, étude et proposition de solutions techniques adaptées.
Développement de nouvelles fonctionnalités et/ou de nouvelles solutions permettant à Feeling Sports de proposer à ses clients les meilleurs produits digitaux dans le monde du Sport.
Mise en place de solutions permettant une haute disponibilité (analyse des performances) et une accessibilité sur tout support (web / apps)
Veille technologique sur les outils et solutions dans le but d’innover en permanence et de toujours proposer les dispositifs digitaux les plus avancés du marché.
Votre profil
De formation Bac+4/5 - école d'ingénieur
Vous avez une solide expérience dans le développement d'applications Web et idéalement mobile.
Vous êtes dynamique, générateur d'idées, orienté(e) ""solutions"" et autonome.
Vous êtes un profil analytique et rigoureux et savez mener de front plusieurs projets avec efficacité.
Vous avez de bonnes notions des langages de programmation Angular, PHP, SQL et souhaitez les mettre en pratique.
Idéalement vous avez déjà utilisé Ionic et avez des notions sur le développement mobile cross-plateforme.
Vous avez envie de vous engager dans la durée au sein d'une équipe et d'accroitre vos compétences tout en participant au développement de l'entreprise.
Vos attentes
Vous souhaitez démarrer une nouvelle expérience :
originale, avec une grande variété de missions et qui évolue rapidement avec la société,
responsabilisante, avec une grande autonomie et où vous mesurez l’impact immédiat de vos actions,
qui vous permet d’apprendre rapidement, tout en agissant au contact direct de la direction technique d'une entreprise en forte croissance,
dans une équipe sympa, jeune, bosseuse et passionnée,
autour de projets grand public dans le monde du sport,
avec des facilités pratiques : flexibilité sur le télé-travail, mutuelle performante, tickets-restaurant, transport
dans un cadre agréable et accessible, près de la gare de Matabiau.
Ce poste est à pourvoir au plus tôt. Salaire selon expérience.
Type d'emploi : Temps plein, CDI
Salaire : 35 000,00€ à 45 000,00€ /an
Expérience:
développeur web full stack h/f expérimenté(e) ou similaire: 5 ans (Requis)
Lieu:
Toulouse (31) (Requis)"
1,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20Web%20full%20stack&l=Toulouse&radius=100&limit=100&sort=date&vjk=df41a0b09ae659d6,"Développeur Full Stack web
INCONITO - Toulouse (31)","['Toulouse (31)', 'Temps plein, CDI']",Développeur Full Stack web,INCONITO,- Toulouse (31),"Temps plein, CDI",null,"il y a 3 jours
Signaler cette offre d'emploi",Développeur Web full stack,Toulouse,"Inconito est une agence indépendante de 25 personnes créée en 1992 et située à Toulouse.
Elle est spécialisée dans les missions d’accompagnement stratégique et de conseil en communication et marketing auprès de décideurs institutionnels publics ou privés et d’institutions culturelles régionales et nationales.
Le pôle digital réunit une douzaine de collaborateurs passionnés : digital producer, chefs de projet, UX designers, UI designers, développeurs front et back-end.
Cette équipe complète et pluridisplicinaire conçoit et réalise des outils digitaux sur-mesure : sites web, applications smartphones, animations digitales, serious games, bornes interactives…
Vous recherchez une équipe soudée et motivée, une entreprise à taille humaine soucieuse de ses collaborateurs.
Vous souhaitez réaliser des projets ambitieux, vous investir dans un projet d’entreprise où la prise d’initiative est valorisée.
Rejoignez nous !
Vos Missions
– Développement (front et back) et maintenance des projets.
– Rédaction des spécifications et des livrables techniques
– Gestion des environnements de développement, staging et production.
– Mise en place et réalisation des phases de tests et de recette.
Profil recherché
– Vous avez au moins 3 ans d’expérience en tant que développeur full stack.
– Vous êtes autonome dans la réalisation de projets digitaux autour des technologies PHP, SQL, JavaScript, NodeJS, HTML5/CSS3, dans l’utilisation des outils de source control (Git) et dans l’utilisation de préprocesseurs (Gulp, Sass, Pug).
– Vous savez utiliser et modifier les librairies, modules et frameworks ou CMS disponibles sur le web (WordPress, Drupal, jQuery, XML/JSON, Highcharts, D3js, WebServices, etc…).
– Vous avez de bonnes connaissances de la POO et du MVC.
– Vous maîtrisez la gestion des bases de données et les requêtes SQL.
L’expérience d’autres technologies (React, Angular…) serait appréciée.
La connaissance des bonnes pratiques Opquast ou de l’accessibilité numérique web serait un plus.
Avantages :
Intéressement
Épargne salariale
Type d'emploi : Temps plein, CDI
Expérience:
développeur full stack : 3 ans (Requis)"
2,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20Web%20full%20stack&l=Toulouse&radius=100&limit=100&sort=date&vjk=45b669cee35d95c5,"Développeur.euse full stack – Toulouse F/H
MAKINA CORPUS - Toulouse (31)","['Toulouse (31)', 'CDI']",Développeur.euse full stack – Toulouse F/H,MAKINA CORPUS,- Toulouse (31),CDI,null,"Apec.fr - il y a 4 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur Web full stack,Toulouse,"Vous intégrerez une équipe pluridisciplinaire d'experts aux compétences techniques solides et aurez pour responsabilité de :

Développer des applications web métier sur la base de Django, Javascript, React (selon votre profil et vos attentes)

Participer aux différentes phases de projets web d'envergure : architecture conception, programmation, tests, maintenance, évolution...

Vous aurez l'opportunité de

:

Jouer un rôle visible dans les communautés Open Source : création et amélioration d'applications Open Source / Participation à la vie de communautés de développeurs / Coordination de sprints, de bugfests / Réalisation de présentations, conférences, bar camps, formations, lightning talks / Écriture de livres blancs ...

Évoluer dans environnement technique interdisciplinaire (Front, UI, Mobile, Cartographie...) permettant à chacun d'avoir un véritable impact sur les décisions et où l'initiative personnelle est valorisée.

Choisir vos propres outils de travail, et évoluer dans une ambiance motivante et stimulante (projets et contrib Opensource, participations encouragées à des évènements/meetup, émulation entre experts passionnés, technos innovantes à tester, veille…).
Profil recherché Niveau Bac +5 requis, idéalement ingénieur de formation,

mais nous attachons aussi de l'importance aux compétences, à la passion du métier et à la motivation.

Vous êtes un développeur fullstack confirmé, spécialisé en Javascript. Des expériences en Django sont un plus mais ne sont pas requises.

Votre goût du travail en équipe, votre curiosité et votre adaptabilité aux évolutions technologiques seront des atouts indispensables. Vous êtes motivé pour faire des contributions à des projets libres.

Informations complémentaires : pourquoi nous rejoindre ?

Parce que nous disons ce que nous faisons et nous faisons ce que nous disons : vous avez besoin de le voir pour le croire ? Venez nous rencontrer, un expert pourra vous en parler. Nos équipes sont mixtes, femmes et hommes du numérique rejoignez-nous !
Entreprise Makina Corpus développe des applications web ou mobiles combinant notamment la cartographie, l'intelligence artificielle, le traitement et l'analyse de données, la dataviz... Nos applications phares sont au service de domaines tels que la randonnée et la gestion d'espaces naturels, l'aménagement du territoire, l’accès aux cartographies pour les déficients visuels, des systèmes d'information territoriale, des interfaces d'exploration de données…

Notre organisation et nos prestations se construisent sur trois piliers : les logiciels libres et les données ouvertes, les méthodes agiles et le développement durable."
3,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20Web%20full%20stack&l=Toulouse&radius=100&limit=100&sort=date&vjk=5833c3a41a18630c,"Ingénieur Etude et Développement Full Stack (H/F)
ALTEN - Toulouse (31)","['Toulouse (31)', 'CDI', '32 000 € - 45 000 € par an']",Ingénieur Etude et Développement Full Stack (H/F),ALTEN,- Toulouse (31),CDI,32 000 € - 45 000 € par an,"il y a 4 jours
Signaler cette offre d'emploi",Développeur Web full stack,Toulouse,"ALTEN, leader de l’Ingénierie et du Conseil en Technologies, accompagne en France et dans le monde entier la stratégie de développement de ses clients dans les domaines de l’innovation, de la R&D et des systèmes d’information.
Avec 14000 collaborateurs en France, ALTEN est leader dans les métiers de l’ingénierie et R&D externalisée ainsi que l’IT & Network Services.
Nous travaillons dans plus de 25 pays avec des acteurs majeurs de l’Aéronautique et du Spatial, de la Défense et du Naval, de la Sécurité, de l’Automobile, du Ferroviaire, de l’Énergie, des Sciences de la Vie, de la Finance, de la Vente, des Télécommunications et des Services.
Dans le cadre de nos activités pour le secteur des télécoms sur des sujets de développement informatique pour des projets stratégiques, vous interviendrez sur des outils d’installation et d’exploitation.
Au sein d’une équipe pluridisciplinaire composée d'ingénieurs systèmes, de devops et de développeurs, vous intégrerez un centre de service et vous intervenez sur des projets stratégiques en développement. Vous êtes en charge de :
Mettre en place une interface web dynamique (HTML, CSS, Javascript, etc.)
Mettre en place l’outil d’analyse de données (production d’indicateurs, anticipation des risque d’erreur, etc.)
Perfectionner l’outil mis en place pour assurer les fonctionnalités optimales (ergonomie, maintenance, stabilité, mise à jour, etc.)
Grâce à ALTEN, vous avez l’opportunité de prendre en charge un projet de A à Z et développer un esprit de synthèse. Vous intégrez une équipe d’ingénieurs et participerez aux réunions techniques et de suivi d’équipe.
Vous serez responsable de vos livrables, notamment en termes de délais et de qualité.
Vous êtes diplômé d’École d’Ingénieur ou disposant d'un niveau master, avec une spécialisation en ingénierie système. Vous maîtrisez les environnements techniques tels que Java, javascript, Python, Apache Tomcat/7.0.27, MySQL.
Vous faites preuve de capacité d’innovation, de compétences d’analyse et de synthèse. Vous êtes rigoureux et autonome. Vos capacités relationnelles vous permettent d'échanger avec différents interlocuteurs.
Au plaisir d'échanger avec vous !
Type d'emploi : CDI
Salaire : 32 000,00€ à 45 000,00€ /an
Expérience:
Langages de programmation: 1 an (Souhaité)"
4,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20Web%20full%20stack&l=Toulouse&radius=100&limit=100&sort=date&vjk=9bc30440ff56fc55,"Développeur Full Stack H/F
TALENTS RH - Toulouse (31)","['Toulouse (31)', 'Temps plein, CDI', '3 000 € - 3 500 € par mois']",Développeur Full Stack H/F,TALENTS RH,- Toulouse (31),"Temps plein, CDI",3 000 € - 3 500 € par mois,"il y a 6 jours
Signaler cette offre d'emploi",Développeur Web full stack,Toulouse,"TALENTS RH, société de recrutement spécialisée Profils Rares & Hautes Compétences, recherche, pour l’un de ses partenaires, un Développeur Full Stack H/F.
Missions :
Création de nouvelles applications et de nouvelles fonctionnalités
Modifications et évolutions des applications existantes
Quelques rares assistances clients
Optimisation du fonctionnement des applications existantes pour en améliorer la rapidité et les
passer en architecture API afin de les commercialiser sous cette forme
Environnement technique :
.NET Core et .NET Framework - C# orienté objet
CSS, JavaScript, WebAPI
Angular JS, Bootstrap
SQL Serveur - Serveur IIS
Hébergement Cloud Microsoft Azure
Code source TFS - méthode Agile - suivi de projet Devops (VSTS)
Profil :
Vous avez une expérience réussie de plusieurs années en environnement web full stack sur les technologies .net, JavaScript, WebAPI et Azure
Vous avez la capacité d’encadrer une équipe
Vous avez le goût du travail précis
Vous aimez les challenges, la créativité, les responsabilités
Type d'emploi : Temps plein, CDI
Salaire : 3 000,00€ à 3 500,00€ /mois
Expérience:
développeur full stack h/f ou similaire: 2 ans (Souhaité)"
5,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20Web%20full%20stack&l=Toulouse&radius=100&limit=100&sort=date&vjk=96b429a6e5434d45,"Developpeur Full Stack Java 11, Angular 8 - H/F
ASSOCIATION COCKTAIL - Toulouse (31)","['Toulouse (31)', 'CDI', '45 000 € par an']","Developpeur Full Stack Java 11, Angular 8 - H/F",ASSOCIATION COCKTAIL,- Toulouse (31),CDI,45 000 € par an,"ChooseYourBoss - il y a 6 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur Web full stack,Toulouse,"Gitlab / Kubernetes / Docker / Postgresql / Java / Gestion de projet / Agile
Frontend Developer, Développeur Frontend, Backend Developer, Lead Developer, Full Stack Developer / CDI / Environ 45k€ / 3 - 6 ans / Toulouse

Le poste
Au sein d’une équipe agile, vous participez à la conception et au développement d’une application de gestion web et proposez des solutions pour répondre aux problématiques exposées par le PO de votre équipe. Vous travaillez avec l’équipe système, les architectes du projet et avec 3 autres équipes de développement réparties sur plusieurs villes en France, des ingénieurs DevOps, et des équipes fonctionnelles pour construire une solution moderne et évolutive. La solution technique basée sur une architecture innovante, services java, application web riche et stockage réparti s’appuie essentiellement sur des technologies open source.
Les responsabilités
Conception d'une application de gestion web
Proposer des solutions pour répondre aux problématiques
Participer à des actions d'expertise sur la solution
Pourquoi venir chez nous?
Vous êtes intéressé par les problématiques liées à l’intégration et la livraison continue, vous savez contribuer à l’amélioration d’une équipe, vous êtes autonome, rigoureux, force de proposition et motivé pour travailler sur un grand projet, rejoignez-nous ! Vous rejoindrez une équipe de travail agile, dynamique et bienveillante. Nos bureaux situés dans le quartier de Rangueil sont accessibles en transport en commun & parking gratuit disponible, . Le cadre de travail est agréable et nous sommes soucieux d'assurer un équilibre vie pro/perso à chacun de nos collaborateurs. 18 jours de RTT pour chaque salarié :) Avantages titres resto & mutuelle. Salaire attractif à négocier en fonction du niveau du candidat."
6,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20Web%20full%20stack&l=Toulouse&radius=100&limit=100&sort=date&vjk=9af63ba509d9660d,"DEVELOPPEURS FULL STACK H/F
TALENTS RH - Toulouse (31)","['Toulouse (31)', 'CDI']",DEVELOPPEURS FULL STACK H/F,TALENTS RH,- Toulouse (31),CDI,null,"il y a 6 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur Web full stack,Toulouse,"TALENTS RH, société de recrutement spécialisée Profils Rares & Hautes Compétences, recherche, pour l’un de ses partenaires, un Développeur Full Stack H/F.

Missions :
Création de nouvelles applications et de nouvelles fonctionnalités
Modifications et évolutions des applications existantes
Quelques rares assistances clients
Optimisation du fonctionnement des applications existantes pour en améliorer la rapidité et les
passer en architecture API afin de les commercialiser sous cette forme

Environnement technique :

.NET Core et .NET Framework – C# orienté objet
CSS, JavaScript, WebAPI
Angular JS, Bootstrap
SQL Serveur – Serveur IIS
Hébergement Cloud Microsoft Azure
Code source TFS – méthode Agile – suivi de projet Devops (VSTS)

Profil :
Vous avez une expérience réussie de plusieurs années en environnement web full stack sur les technologies .net, JavaScript, WebAPI et Azure
Vous avez la capacité d’encadrer une équipe
Vous avez le goût du travail précis
Vous aimez les challenges, la créativité, les responsabilités"
7,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20Web%20full%20stack&l=Toulouse&radius=100&limit=100&sort=date&vjk=6447485deb28704d,"Développeur Full Stack H/F
HOLDING OMNIPHAR'07 - Montrabé (31)","['Montrabé (31)', 'CDI']",Développeur Full Stack H/F,HOLDING OMNIPHAR'07,- Montrabé (31),CDI,null,"il y a 8 jours
Signaler cette offre d'emploi",Développeur Web full stack,Toulouse,"Créée en 2008par deux pharmaciens toulousains, Santédiscountest une parapharmacie en ligne adhérant à la charte qualité et clarté OMNIPHAR. Elle propose une gamme étendue de produits de grandes marques de parapharmacie au grand public : produits de beauté, soins du corps, bien-être...
Pour accompagner son développement rapide, Santédiscountrecherche pour son site de MONTRABÉ (31), un(e) :
DÉVELOPPEUR FULL STACK (H/F)
Adepte des méthodes Agiles, vous êtes garant du bon fonctionnement et de l’optimisation des sites e-commerce. A ce titre, vous intervenez sur les missions de maintenance et d’évolution des sites dans le respect des standards Magento.
Vos missions consistent notamment à:
Maintenance et évolutions de solutions de restitution des données
Contribution à la robustesse et à la sécurité de l’architecture
Proposition et apport de solutions innovantes
Rédaction de documentations
Veille technologique
Titulaire d’un diplôme en informatique, vous êtes un(e) développeur(se) Full stack PHP 7.0+, MySQL 5.6+, Redis, Nginx / Apache, HTML, LESS / CSS.
Vous possédez une expérience de 3 ans minimum en conception d’applications web. Votre bagage technique vous amène à savoir modéliser et utiliser des bases de données SQL et NoSQL.
Une expérience en architecture système ainsi que des compétences en configuration de serveurs LAMP dans un environnement Cloud AWS seraient appréciées. Des connaissances en mise en place de Test Driven et Behavior Driven Development seraient également un plus.
Disponible et perspicace, vous êtes sensible aux performances et savez vous montrez force de proposition.
Polyvalent(e), vous faites preuve d’organisation, de réactivité, d’adaptabilité et d’assertivité ; atouts qui vous permettront de réussir à ce poste.
Vous souhaitez prendre part à des projets innovants au sein d’un environnement à forte technicité, dynamique et convivial, n’hésitez pas à nous envoyer votre candidature.
Poste basé à MONTRABÉ à pourvoir au plus tôt en CDI.
Rémunération à négocier.
Type d'emploi : CDI
Expérience:
conception applications web: 3 ans (Requis)
Formation:
Bac +3 (Licence / Bachelor) (Requis)
Certificats et autres accréditations:
informatique (Requis)"
8,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20Web%20full%20stack&l=Toulouse&radius=100&limit=100&sort=date&vjk=61f7405df3276a90,"DEVELOPPEUR FULL STACK H/F
TESTIA - Toulouse (31)","['Toulouse (31)', 'Temps plein, CDI']",DEVELOPPEUR FULL STACK H/F,TESTIA,- Toulouse (31),"Temps plein, CDI",null,"il y a 13 jours
Signaler cette offre d'emploi",Développeur Web full stack,Toulouse,"TESTIA, filiale du groupe Airbus, est spécialisée dans le Contrôle Non Destructif pour l’industrie aéronautique et spatiale depuis plus de 25 ans.
TESTIA développe des logiciels innovants pour le contrôle non destructif : acquisition de données (Ultrasons, Courants de Foucault), gestion des inspections centralisée, post-traitement des données (images, matrices, métadonnées), automatisation de l’extraction de défauts par vision et machine learning.
Contexte de la mission :
TESTIA cherche un développeur Full Stack (F/H) pour faire évoluer et maintenir ses produits développés avec éventail de technologies web variées pour résoudre ces défis techniques : Angular et React en frontend. Python Django est utilisé en backend.
Quelques liens concernant nos réalisations :
https://www.youtube.com/watch?v=L-Ghf1ZaCzg
https://www.youtube.com/watch?v=TGuR7VIQkKE
TESTIA a une expérience de plus de dix ans dans le développement de clients lourd. Son activité dans des technologies Web étant plus récente, nous recherchons un candidat autonome capable d'être force de proposition sur des schémas d'architecture.
Le futur développeur devra se tenir au courant des nouveautés sur les langages et framework.
En relation directe avec des Product Owner dans nos locaux ou chez Airbus, vous serez force de proposition sur des choix technologiques et des propositions d’évolutions.
En plus des développements, vous serez en charge de la création et du maintien des tests unitaires et fonctionnels via des pipelines Gitlab.
Détails des missions :
Vous intégrerez une équipe jeune constituée de 4 développeurs (Frontend et Ful Stack) au milieu d’un département software d’une vingtaine de personnes dans un contexte aéronautique, travaillant en méthode Agile (Scrum).
Intégré dans une de nos équipes SCRUM en tant que développeur (se), vos missions principales consistent à :
- Participer au pilotage des développements par SCRUM (daily standup, sprint planning, sprint rétrospective, sprint poker, …)
- Développer nos backends django et django REST framework.
- Développer nos frontends web (en Angular essentiellement)
- Développer nos frontends client lourd Unity 3D
- Garantir au quotidien la qualité des livrables,en accord avec les bonnes pratiques en place (merge requests, revue de code entre développeurs, branches protégées...)
Compétences recherchées :
Issu(e) d'une formation ingénieur ou d'un cursus universitaire (Bac+4 /Bac+5), vous justifiez d'une première expérience de développement dans un environnement Angular et Python Django.
Technologies souhaitées :
- Bon niveau et expérience significative en Angular
- Bon niveau et expérience significative en Python Django
- PostgreSQL, SQLite et MySQL
- Gitlab CI
- Connaissance du framework React
Les plus :
- Une bonne connaissance de Unity 3D est un plus
- Des notions en traitement d'image sont un plus
- Des notions en Cloud AWS et/ou Azure sont un plus
Savoir-être :
Dynamique, enthousiaste, constructif, autonome, rigoureux, polyvalent
Disponible et engagé
Bon relationnel et travail en équipe
Informations de l’offre :
Contrat : CDI
Dates : Asap
Rémunération : en fonction du profil
Type d'emploi : Temps plein, CDI
Expérience:
developpeur full stack h/f ou similaire: 5 ans (Souhaité)"
9,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20Web%20full%20stack&l=Toulouse&radius=100&limit=100&sort=date&vjk=1133083421555293,"développeur full-stack
Exyzt - Castres (81)","['Castres (81)', 'CDI']",développeur full-stack,Exyzt,- Castres (81),CDI,null,"il y a 13 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur Web full stack,Toulouse,"Fonction
Développeur logiciel Full Stack H/F
Poste
Exyzt crée des logiciels et applications (web et mobiles) pour les collectivités. Nos domaines d’activité : aéronautique (espaces aériens), opérations de secours (pompiers), agriculture (gestion des prélèvements d’eau) et surveillance du stationnement sur voirie/verbalisation électronique.
Missions & activités principales
Intégré(e) dans une équipe de 12 personnes, vous participez à l’enrichissement de nouvelles fonctionnalités et à la création de nouveaux produits.
Autonome dans votre mission, vous avez pour principales activités :
de définir les spécifications en relation avec les clients,
d’en évaluer la charge de réalisation,
de concevoir l’architecture,
de réaliser les développements, incluant les phases de tests et de documentation,
d’en assurer le déploiement et le support,
de réaliser les évolutions et la maintenance.
Vous travaillez dans un environnement fortement orienté nouvelles technologies : Symfony, Polymer, node.js, PHP, PostgreSQL (Postgis)
Profil des compétences recherchées
De niveau bac +3/5, vous possédez une première expérience en développement d’applications.
Compétences techniques (savoir-faire)
Vous maîtrisez les technologies, les méthodologies agiles, les normes et les bonnes pratiques applicables au développement logiciel. Plus spécifiquement, vous connaissez au moins un framework (Symfony).
Des connaissances en géomatique et SIG dans l’un des domaines suivants : mobilité, eau, défense et sécurité civile, aéronautique seront appréciées.
Qualités personnelles (savoirs-être)
Vous savez travailler en équipe et vos qualités de communication, de rigueur, d’autonomie, d’initiative, votre potentiel et votre motivation seront vos atouts.
Un niveau d’anglais opérationnel est requis. Des déplacements ponctuels sont à prévoir en France et à l’étranger pour des missions d’assistance, ou des phases de déploiement auprès des clients.
Date de la prise de fonction : Immédiat
Durée de la mission : CDI
Lieu de travail : Castres
Candidature à adresser à :
Soria BOUCEBAINE
EXYZT
20 rue Henry Le Châtelier,
81100 Castres
soria.boucebaine-ext@egis.fr"
