,id,meta1,meta2,titre_poste,entreprise,localisation,contrat,salaire,date_publication,keyword_metier,keyword_localisation,description
0,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20Python&l=Toulouse&radius=100&limit=100&sort=date&vjk=5e85397ee4242fa4,"Développeur/se Mobile pour applications fort trafic (H/F)
TechTalent.fr - Toulouse (31)","['Toulouse (31)', 'CDI']",Développeur/se Mobile pour applications fort trafic (H/F),TechTalent.fr,- Toulouse (31),CDI,null,"il y a 49 minutes
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur Python,Toulouse,"TechTalent est une agence de recrutement de compétences techs en freelance ou CDI. Nous sommes spécialisés sur les missions et projets techniques pour les talents et les entreprises qui aiment la tech (stacks Web/Mobile, IA, Big Data et Devops), les belles applis et les users heureux ;).

Nous sélectionnons pour Brico Privé un(e) dev senior PHP/Symfony pour contribuer à l'évolution d'une plateforme utilisée aujourd'hui par les 7 millions de membres.


Brico Privé permet au plus grand nombre l'accès à du matériel de grande marque et de qualité professionnelle à moindre coût, avec une expérience client simple, conviviale et irréprochable. Devenu un acteur incontournable du e-commerce en France, Brico Privé développe aujourd'hui son activité en Espagne, en Italie et au Portugal. En moins de 10 ans, Brico Privé c'est un chiffre d'affaire de près de 100 millions d'euros.

Pour en savoir plus sur Brico Privé: http://bit.ly/2MOLLjg
Description du poste
Le(la) dev Mobile est intégré(e) au sein de la team tech de Brico Privé, rattachée au CTO. La mission de la team tech est de faire évoluer l'architecture technique pour soutenir la croissance très forte de la société. Le poste est basé à l'Union.

Votre mission:
Assurer le développement et le passage en production des applications mobiles (React Native à ce jour),
Bâtir la roadmap technique d'un socle commun à toutes les applications,
Interragir avec l'équipe Brico Privé pour assurer une expérience utilisateur optimale.

L'architecture est à base de micro-services et le stack technique, en constante évolution, s'appuie sur :
Node.js, React et React Native,
Mirakl, SQL, Prestashop & PHP (pour le legacy),
Terraform, Python & AWS pour l'infra real time analytics.
L'entreprise étant en très forte croissance, les perspectives sont nombreuses. De nouvelles opportunités s'ouvrent très régulièrement en interne.
La rémunération sera à discuter en fonction de votre profil et expériences, et vous aurez accès à l'ensemble des avantages de l'entreprise.

Le processus de sélection des candidatures démarre par un entretien technique avec TechTalent puis avec l'équipe Brico Privé.
Profil recherché
Vous jouez en équipe et aimez construire des produits utilisés. Vous connaissez bien React Native, Node.js et les architectures découplées RESTful. Vous êtes orienté(e) développement front, autonome, vous possédez des capacités d'analyse et de synthèse ainsi qu'un très bon relationnel.

Vous êtes à l'aise avec le passage fréquent en prod d'applications mobiles avec des millions d'utilisateurs. Vous êtes précis(e) et attaché(e) à une gestion souple mais rigoureuse du cycle de vie de vos applications et du socle commun.

Ambition, solidarité, adaptation et esprit d'équipe caractérisent le mode de fonctionnement des équipes de Brico Privé. On bosse, on grandit, on s'amuse et on avance ensemble. Si vous vous reconnaissez dans les valeurs et que vous cherchez sur Toulouse un projet d'envergure pour continuer de progresser, c'est le moment de candidater.

L'équipe saura s'adapter à votre profil et vos envies. A vos candidatures!"
1,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20Python&l=Toulouse&radius=100&limit=100&sort=date&vjk=8318b3c9f0402e51,"Développeur Python/Django Toulouse F/H
WEB-ATRIO TOULOUSE - Blagnac (31)","['Blagnac (31)', 'CDI']",Développeur Python/Django Toulouse F/H,WEB-ATRIO TOULOUSE,- Blagnac (31),CDI,null,"Apec.fr - il y a 18 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur Python,Toulouse,"Votre mission, si vous l'acceptez :
développer des applications en Python. Oubliez les frameworks d'il y a 10 ans ! En intégrant notre équipe de WArriors dynamiques et expérimentés, vous vibrerez sur des frameworks modernes comme Django et bien d'autres encore !
Profil recherché CHEZ NOUS VOUS NE SEREZ PAS UN NUMÉRO !

Vous êtes développeur web (Bac+2 à Bac+5) et vous avez au moins 3 ans d'expérience en Python/Django ?

Vous recherchez une société humaine et soucieuse du bien-être de ses collaborateurs ?

Vous êtes motivé(e) et vous aimez relever les défis ?

Devenez Web-atrien(ne) et challengez-vous sur des projets innovants !

LES PLUS ?

Mutuelle prise en charge à 100% - Notes de frais - Week-ends d'entreprise - Soirées et activités mensuelles – Primes
Entreprise Great Place To Work, Happy At Work, Happy Candidates, ou encore BPI France Excellence... Web-atrio, une ESN bienveillante et humaine qui performe !

Vous fuyez les strates hiérarchiques et les jeux d’egos ? Chez nous, on change les codes ! Venez profiter de l’écoute active et de la proximité des team leaders, d’une liberté d’action et d’un mode de travail collaboratif. Montez réellement en compétences sur les dernières technologies, tout en étant un des ambassadeurs de nos valeurs auprès de nos clients."
2,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20Python&l=Toulouse&radius=100&limit=100&sort=date&vjk=784bb7eceb32c52c,"Développeur Java Script Python F/H
SOCIETE GESER BEST - Toulouse (31)","['Toulouse (31)', 'CDI']",Développeur Java Script Python F/H,SOCIETE GESER BEST,- Toulouse (31),CDI,null,"Apec.fr - il y a 18 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur Python,Toulouse,"Nous recherchons pour le compte de l'un de nos clients un(e) DEVELOPPEUR JAVA SCRIPT PYTHON (H/F)

Poste et missions :
Sous l’autorité du Directeur de projet, vous intégrerez une équipe en tant que développeur intégrateur et participerez à la mise en place d'une solution technique.

Missions :
Développement et validation d’analyses de données d’essais
Analyse des besoins
Rédaction de spécifications logicielles
Conception et mise en place de l’architecture logicielle
Développement des modules calcul et graphiques
Rédaction du plan de tests et réalisation des tests associés
Le poste est à pourvoir sur Toulouse et la rémunération est négociable selon le profil et l’expérience.
Profil recherché De formation supérieure, (Bac +5) en informatique, vous justifiez d’une expérience significative et opérationnelle de 3 ans minimum en développement, conception de systèmes techniques, idéalement dans le secteur aérospatial.

PRE-REQUIS :
Développement et intégration en l
angage JAVA SCRIPT et PYTHON

Connaissance
: Docker, méthodes AGILE et Scrum

-

Environnent Linux
Entreprise GESER BEST

Depuis plus de 25 ans GESER-BEST (9 agences en France/+ de 200 collaborateurs) accompagne ses clients de l’ingénierie à l’assistance technique, et nos ingénieurs et techniciens mettent au service des entreprises leur expérience pour la conduite et la réalisation des projets.

La dimension de notre entreprise et son organisation répondent aux attentes de nos clients en matière de réactivité et de qualité de nos prestations."
3,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20Python&l=Toulouse&radius=100&limit=100&sort=date&vjk=c142a21f14160fb1,"DEVELOPPEUR LOGICIEL F/H
CESI43 avis - Labège (31)","['Labège (31)', 'CDI']",DEVELOPPEUR LOGICIEL F/H,CESI,- Labège (31),CDI,null,"Apec.fr - il y a 18 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur Python,Toulouse,"Descriptif du poste :
Après une période de formation d’environ 11 semaines en partenariat avec le CESI à Toulouse vous intégrerez l’entité Consulting Information Systems (CIS) d’ALTRAN sur un poste de Développeur Logiciel et interviendrez sur nos différents projets réalisés pour des clients grands comptes.

Nous recherchons actuellement plusieurs profils pour notre Digital Factory interne, qui auront comme principales missions :

Participer à la phase de spécifications techniques et fonctionnelles

Elaborer l'architecture logicielle et définir les solutions techniques

Développer en environnement web (HTML, CSS, Angular, etc.,) ou entreprise (Java/JEE, etc.)

Effectuer les tests unitaires et d'intégration

Participer à la phase de support et de mise en production des applications.
Profil recherché Vous avez un profil technique à partir de BAC+3 avec une première expérience en développement à BAC+5 (Ingénieur/universitaire) de filière scientifique.

Vous avez idéalement une première expérience en développement et conception.

Vous avez des compétences techniques supplémentaires qui seraient appréciées :

Connaissances des langages Java, PHP, .net, Perl ou Python

Pratique des méthodologies Agile (Scrum)

Pratique Devops

Compétences front-end Javascript (Angular, React)

Connaissances des bases de données SQLServeur et des requêtes SQL

Vous avez une forte appétence pour le monde de l'informatique et du service, et vous êtes motivé(e) pour apprendre un métier en plein essor.

Alors cette offre vous est destinée !

Votre capacité d'adaptation, votre autonomie, votre sens du service ainsi que vos qualités relationnelles seront vos atouts pour réussir vos missions et évoluer au sein de notre entreprise.

Ces postes sont ouverts aux personnes en situation de Handicap à compétences égales.
Entreprise Vous êtes en recherche d’emploi ?

Vous avez une première expérience en développement et conception et vous souhaitez orienter votre carrière vers une filière porteuse (adaptée au marché de votre région) ?

Alors nous vous proposons d’intégrer un programme de formation sur une durée de 3 mois afin de consolider vos connaissances et d’acquérir des compétences clés dans le domaine du développement informatique et de permettre ainsi une intégration rapide dans l’entreprise.

Cette formation qui débute le lundi 02 décembre 2019 grâce au dispositif d’une Préparation Opérationnelle à l’Emploi Individuelle (POEI) sur le métier de « Développeur Logiciel H/F » avec notre entreprise partenaire, ALTRAN.

Durant cette formation, vous aborderez les thématiques suivantes :

Développement Front,
Développement Back,
Tests intégration, techniques et fonctionnels,
Sensibilisation aux méthodologies Agile,
Maitrise des outils DevOps,
Concepts et enjeux du Big Data,
Etc.
Passionné(e) par les nouvelles technologies, vous contribuerez ainsi au succès de nos clients dans leurs activités de leurs Systèmes d'Information dans un marché en pleine mutation. Vous participerez à des projets innovants en intégrant des nouveaux usages basés sur la Mobilité, le Cloud et le Big Data"
4,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20Python&l=Toulouse&radius=100&limit=100&sort=date&vjk=468d2b2d612d1b75,"Stage Développeur/Développeuse Python (H/F)
STRATEG.IN - Toulouse (31)","['Toulouse (31)', 'Stage']",Stage Développeur/Développeuse Python (H/F),STRATEG.IN,- Toulouse (31),Stage,null,"il y a 1 jour
Signaler cette offre d'emploi",Développeur Python,Toulouse,"STRATEG.IN, entreprise créée en 2017, permet la croissance des TPE et PME grâce à la transition numérique et compte parmi ses clients des acteurs de premier plan.
Nous développons, implémentons et déployons des applicatifs sur-mesure chez nos clients. Dans le cadre de notre forte croissance, nous recherchons :
UN/UNE DÉVELOPPEUR/DÉVELOPPEUSE PYTHON H/F (STAGE)
Vous intégrerez l'équipe Etudes et Développement composée de 10 personnes.
Mission :
1. Développement Applications industrielles :
Vous serez amené(e) à réaliser le développement opérationnel d'applications pour le compte d'un client industriel de STRATEG.IN, depuis l'analyse du cahier des charges jusqu'au déploiement du logiciel auprès du client.
2. Gestion de projets :
- Lancement et structuration du projet selon la méthodologie AGILE,
- Revues d'avancement.
Vous participez non seulement à l'activité quotidienne et opérationnelle au sein de notre équipe, mais devenez également l'un des acteurs essentiels de la structuration d'une entreprise en plein essor !
Type de contrat : Stage- Temps plein
Prise de poste: A partir de Septembre
Profil recherché :
Quelles exigences pour rejoindre notre équipe ?
Maîtrise impérative des langages et technologies : Python 3, MongoDB, HTML, Node JS, React JS, Git
Répartition des technos utilisées :
60% Python
5% HTML / CSS
5% MongoDB
10% Node JS
20% React JS
Rigueur, autonomie, implication, force de proposition, prise d'initiatives et proactivité seront un plus pour ce poste.
Avoir une solide expérience de développeur Python serait également apprécié.
Notre candidat idéal : Savoir être créatif sans perdre de vue les échéances et les enjeux, avoir le souci d'un code rigoureux et performant, avoir un bon relationnel, un esprit d'équipe, et surtout avoir de l'envie... et de la passion !
Rémunération : Selon convention.
Type d'emploi: Temps plein, STAGE
Type d'emploi : Stage
Expérience:
stage développeur/développeuse python (h/f) ou similaire: 1 an (Souhaité)"
5,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20Python&l=Toulouse&radius=100&limit=100&sort=date&vjk=538f4ac3e1650dbd,"Développeur Ingénieur vision par ordinateur F/H
INTITEK6 avis - Toulouse (31)","['Toulouse (31)', 'CDI']",Développeur Ingénieur vision par ordinateur F/H,INTITEK,- Toulouse (31),CDI,null,"Apec.fr - il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur Python,Toulouse,"Quoi de plus stimulant que de participer aux innovations du véhicule de demain, de l’avion sans pilote, de l’ingénierie optique ou de l’industrie spatiale

?

Intitek for Industry

développe des approches et des solutions exclusives dans les domaines du transport, de la défense, du biomédical ou de l’aéronautique.

Intégré dans les équipes de notre client, vous participez à :
la conception,

au développement,

à l'intégration d'algorithmes de traitement d'images.

Vous développez en langage C++ sur des produits ADAS, dans un contexte applicatif à l’aide d’outils spécifiques.

Vous effectuez les tâches suivantes :
Evaluation des algorithmes sur des systèmes embarqués

Suivi des mesures qualité appliquées au développement algorithmique

Optimisation des temps de calcul
Profil recherché De Formation ingénieur ou bac +5, vous justifiez des compétences suivantes :

Bonne connaissance géométrie 3D.

Outils de Développement : C++, visual studio, MATLAB, QT, Python

Outils de gestion des configurations et specs (DOORS, SVN, Git, Jira, confluence)

Bonne connaissance des ADAS basées sur des technologies caméra/radar/lidar

Filtre de Kalman, feature extraction, Structure From Motion, Segmentation, calibration

Devenez un Happy Digital Member en nous envoyant votre candidature

!
Entreprise « C’est en repoussant les limites du progrès et de l’innovation que les projets les plus fous finissent par se réaliser !»

Avec plus de 700 collaborateurs en France et dans ses filiales au Canada, aux USA, en Chine, en Pologne et en Espagne, le groupe Intitek conseille et accompagne ses clients dans leur transformation digitale autour de 3 branches métiers :

Intitek for Industry

: Transport, santé, télécommunication, industrie militaire...

Intitek for Manufacturing

: Conception, outils, tests

Intitek for People

: Sites web, applications, objets connectés

Le groupe Intitek réunit de multiples ressources et talents dont le quotidien consiste à repousser les limites du possible et développer des solutions numériques qui profitent à tous. Celles et ceux qui osent sont encouragés à libérer leur créativité afin de servir les desseins les plus ambitieux.

Rejoignez vous aussi le Happy Digital World !"
6,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20Python&l=Toulouse&radius=100&limit=100&sort=date&vjk=245ccf05e83e234f,"DEVELOPPEUR JAVA SCRIPT PYTHON (H/F)
GESER BEST9 avis - Toulouse (31)",['Toulouse (31)'],DEVELOPPEUR JAVA SCRIPT PYTHON (H/F),GESER BEST,- Toulouse (31),null,null,"il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur Python,Toulouse,"Nous recherchons pour le compte de l’un de nos clients un(e) DEVELOPPEUR JS PYTHON (H/F)

Poste et missions :
Sous l’autorité du Directeur de projet, vous intégrerez une équipe en tant que développeur intégrateur et participerez à la mise en place d’une solution technique suite à une étude dans le domaine spatial.

Missions :
Développement et validation d’analyses de données d’essais
Analyse des besoins
Rédaction de spécifications logicielles
Conception et mise en place de l’architecture logicielle
Développement des modules calcul et graphiques
Rédaction du plan de tests et réalisation des tests associés
Le poste est à pourvoir sur Toulouse et la rémunération est négociable selon le profil et l’expérience.

Profil :
De formation supérieure, (Bac +5) en informatique, vous justifiez d’une expérience significative et opérationnelle de 3 ans minimum en développement, conception de systèmes techniques, idéalement dans le secteur aérospatial.

PRE-REQUIS :
– Développement et intégration en langage Java script et PYTHON, SQL
– Connaissance : Docker, méthodes AGILE et Scrum
– Environnent Linux

Merci de transmettre votre CV sous format Word."
7,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20Python&l=Toulouse&radius=100&limit=100&sort=date&vjk=53cb851b93d2e51d,"Développeur Kernel/Drivers Linux F/H
Smile20 avis - Toulouse (31)","['Toulouse (31)', 'CDI']",Développeur Kernel/Drivers Linux F/H,Smile,- Toulouse (31),CDI,null,"Apec.fr - il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur Python,Toulouse,"Dans le cadre du développement de notre agence toulousaine, nous recherchons un

Ingénieur Kernel/Drivers Linux

(H/F).

Les équipes techniques de SMILE Toulouse accompagnent leurs clients industriels sur le développement de produits embarqués et connectés, depuis les couches basses Linux jusqu'aux couches applicatives.

L'agence est structurée autour d'un Responsable d'agence et d'un Responsable technique. Intégré à une équipe de développeurs motivés et passionnés, vous intervenez sur des produits embarqués et/ou connectés, en prenant en charge le développement des couches logicielles en environnement Linux embarqué.

Dans le cadre de cette mission, votre rôle sera de :
Développer des distributions Linux embarqué avec Yocto, pour des cibles ARM et INTEL ;

Développer des drivers Linux embarqué ;

Déboguer sur cible réelle et réaliser des tests d'intégration.
Profil recherché De formation supérieure en informatique, école d'ingénieur ou cursus universitaire, vous justifiez d'une expérience d'au moins 2 ans dans le domaine du développement de logiciels en C en environnement Linux embarqué.

Vous disposez de qualités rédactionnelles avérées.

Vous maîtrisez les technologies suivantes :
Linux embarqué/Yocto ;

C/C+/Bash/Python ;

Les outils de développement GNU ;

Systèmes de compilation : Make/Automake/Cmake ;

Gestion de configuration : GIT, SVN.

Autres connaissances appréciées :
Architectures ARMv7 et x86.

Savoir-être :
Autonome et capable de travailler en équipe ;

Curieux et passionné de technologies Open Source ;

Bon relationnel et à l'écoute.

Anglais technique indispensable
Entreprise Smile est le leader du ""sourire"" au travail mais aussi de l'intégration et de l'infogérance de solutions open source.

Enthousiastes, agiles et performants, leur vocation est de libérer le potentiel d'innovation des entreprises, à travers l'open source.

Ses smiliens experts accompagnent les entreprises dans des domaines aussi variés que le Digital, les Business Apps, l'Embarqué & l'IoT et l'Infrastructure.

Ils sont plus de 1700 collaborateurs présents dans 7 pays, avec 15 agences réparties en France et à l'international.

REJOIGNEZ SMILE !

Le pôle

Smile ECS

(Embedded & Connected Systems) est un

centre d'excellence

entièrement dédié aux systèmes embarqués et objets connectés.

Smile ECS s'impose comme le

pôle de référence des métiers de l'embarqué et de l'IoT en environnement Open Source

!

SMILE ECS, c'est aussi un blog Linux Embedded, alimenté chaque mois par nos experts, et de nombreuses participations à des conférences Open Source majeures (ELCE, Fosdem, Open Source Summit, Capitole du Libre etc…).

A Toulouse,

SMILE ECS organise régulièrement des conférences techniques

et Meet-Up sur différents sujets liés à notre cœur de métier (Linux Embarqué, Yocto, Android AOSP, IoT…).

Dans le cadre du développement de notre agence toulousaine, nous recherchons un

Ingénieur Kernel/Drivers Linux

(H/F)"
8,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20Python&l=Toulouse&radius=100&limit=100&sort=date&vjk=bf880de8034d9fc6,"Docteur en physique Informatique
EPSILON-ALCEN - Toulouse (31)
A répondu à 75 % ou plus des candidatures sur les 30 derniers jours, généralement en 1 jour.","['Toulouse (31)', 'CDI', '30 000 € - 50 000 € par an']",Docteur en physique Informatique,EPSILON-ALCEN,- Toulouse (31),CDI,30 000 € - 50 000 € par an,"il y a 1 jour
Signaler cette offre d'emploi",Développeur Python,Toulouse,"A compétences égales, le poste est ouvert aux personnes en situation de handicap.
EPSILON est une société du groupe ALCEN qui répond à différents besoins de conception et d’optimisation de systèmes pour les grands secteurs industriels (énergie, aéronautique, spatial). EPSILON mène des études pour le perfectionnement des produits de ses clients ou pour ses propres technologies et s’engage sur des projets complexes de conception-réalisation avec le support et la puissance industrielle du groupe ALCEN.
Epsilon se développe dans les domaines de la physique, de l’informatique scientifique et enfin de la Performance Opérationnelle. Ainsi, en alliant sa capacité de modélisation / simulation multi-physiques et sa vision système, EPSILON permet de raccourcir les délais entre les phases amont des projets et les essais de validations.
La société est maintenant organisée en trois centres de compétences :
EPSILON PHYSICS : dédié aux calculs scientifiques notamment en multi-physique,
EPSILON DIGITAL : dédié à l’informatique industrielle et scientifique,
EPSILON SYSTEM : dédié aux essais, à la conception et intégration de systèmes.
Ainsi, depuis plus de deux ans, EPSILON répond aux enjeux de nouveaux secteurs par des compétences alliant le monde de la physique et du digital.
C'est dans ce cadre et pour répondre aux développements des activités de son centre de compétences EPSILON DIGITAL que nous recherchons un(e) Docteur(e) Physicien(ne) passionné(e) par l’informatique pour notre agence située à Toulouse.
http://www.epsilon-alcen.com/fr
http://www.alcen.com/fr
https://www.linkedin.com/company/epsilon-ing-nierie/
MISSIONS :
Vous intégrerez une équipe formée de physiciens, mathématiciens et informaticiens passionnés par l’informatique, intéressés par la combinatoire de la donnée physique et de son interprétation et utilisation dans le développement d’outils numériques où l’expertise « métier » est forte.
Vous interviendrez sur les sujets de grands secteurs industriels (Aéronautique, Spatial, Energie), tout au long des différentes phases des projets : spécifications, développement, test, intégration.
A ce titre, vous interviendrez sur les sujets suivants :
Conception détaillée, codage et tests unitaires de composants logiciels majoritairement en C/C++.
Création d’interfaces graphiques de manipulation et interaction avec des données scientifiques
Outils de traitement, analyse et visualisation de données
Machine learning
Traitement d’images.
PROFIL :
EPSILON est une entreprise avec une culture R&D forte. Elle est donc parfaitement adaptée à l’intégration de docteurs.
Vous êtes un(e) docteur(e) informaticien(e), un physicien(ne) qui recherche à allier ses deux passions : la physique et l’informatique
Vous êtes titulaire Doctorat ou Post-Doctorat en mathématique-physique-informatique,
Vous maîtrisez le langage de programmation C++,
Vous avez une première expérience dans le développement logiciel scientifique,
Vous partagez les mêmes valeurs que nous: confiance, travail en équipe et transparence.
CONNAISSANCES & COMPÉTENCES REQUISES :
C / C++,
Python/Qt
Bon niveau en anglais technique
Rigueur, autonomie, synthèse
Type d'emploi : CDI
Salaire : 30 000,00€ à 50 000,00€ /an
Expérience:
Développeur logiciel informatique ou similaire: 1 an (Souhaité)"
9,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20Python&l=Toulouse&radius=100&limit=100&sort=date&vjk=f8e92f999b5beb36,"Développement logiciel Traitement Image F/H
SCALIAN14 avis - Toulouse (31)","['Toulouse (31)', 'CDI']",Développement logiciel Traitement Image F/H,SCALIAN,- Toulouse (31),CDI,null,"Apec.fr - il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur Python,Toulouse,"Vous êtes Développeur Logiciel Traitement image ou vous souhaites le devenir !

Dans le cadre de projets de digitalisation de la fabrication de harnais électriques dans le domaine de l’aéronautique, un projet d’inspection automatique par traitement d’image de meuble électrique est en cours.

Quel sera votre rôle ?

Vous adapterez l’outil existant au contexte et vous développerez de nouvelles fonctionnalités.

Vous recueillerez les besoins auprès des techniques.

Vous devrez monter en compétence sur l’outil existant ainsi qu’adapter l’outil au contexte meuble électrique avec la modification de l’IHM et la modification du processus de reconnaissance des contours.

De plus, vous développez de nouvelles fonctionnalités en faisant le contrôle des couleurs. Puis, vous capitaliserez le savoir-faire acquis sur la documentation et le code commenté.
Profil recherché Vous maitrisez le langage de programmation C++ et Python ainsi que des compétences en Traitement d’image.

Entreprise Rejoindre Scalian, c'est :
S'associer

au développement d'un groupe français en croissance (2700 collaborateurs, 190 M CA)

Enrichir

vos expériences humaines et professionnelles au sein de nos 2 pôles d'expertises: Digital Systems et Performance des Opérations

Grandir

grâce au L@b et à ses projets de recherche (drone, RV, RA, simulation, blockchain, ….)

Adopter

une démarche basée sur l'envie d'apprendre et de transmettre tout au long de votre parcours

Evoluer

dans un groupe pérenne du secteur du Conseil et de l'Ingénierie, à taille humaine, en étant accompagné dans la réalisation de vos projets et de vos souhaits de mobilité.

Au sein du pôle Digital Systems

, vous côtoierez nos experts en systèmes embarqués et critiques, en testabilité, en simulation, en informatique scientifique, en IoT, en SI et en solutions digitales.

Au sein du Performance des Opérations,

vous retrouverez nos experts en management de projet, en qualité, en organisation des achats, en contrôle de gestion et en performance industrielle.

L’agence SCALIAN Eurogiciel sur Labège Innopole à Toulouse

focalise son développement sur le pôle Digital Systems et compte 99 collaborateurs.

L’agence SCALIAN Digital Systems Toulouse compte aujourd’hui près de 170 ingénieurs et poursuit sa croissance en accompagnant de grands groupes industriels dans leurs projets innovants."
