,id,meta1,meta2,titre_poste,entreprise,localisation,contrat,salaire,date_publication,keyword_metier,keyword_localisation,description
0,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20web%20back%20end&l=Toulouse&radius=100&limit=100&sort=date&vjk=538541dc63a54927,"Développeur ReactJS Toulouse F/H
WEB-ATRIO TOULOUSE - Blagnac (31)","['Blagnac (31)', 'CDI']",Développeur ReactJS Toulouse F/H,WEB-ATRIO TOULOUSE,- Blagnac (31),CDI,null,"Apec.fr - il y a 18 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur web back end,Toulouse,"Votre mission, si vous l'acceptez :
développer des applications en Front End. Oubliez les frameworks d'il y a 10 ans ! En intégrant notre équipe de WArriors dynamiques et expérimentés, vous vibrerez sur des frameworks modernes comme Angular, ReactJS et bien d'autres encore !
Profil recherché CHEZ NOUS VOUS NE SEREZ PAS UN NUMÉRO !

Vous êtes développeur web (Bac+2 à Bac+5) et vous avez au moins 2 ans d'expérience post-diplôme en ReactJS ?

En bonus, vous avez des connaissances sur une technologie Back End ?

Vous recherchez une société humaine et soucieuse du bien-être de ses collaborateurs ?

Vous êtes motivé(e) et vous aimez relever les défis ?

Devenez Web-atrien(ne) et challengez-vous sur des projets innovants !

LES PLUS ?

Mutuelle prise en charge à 100% - Notes de frais - Week-ends d'entreprise - Soirées et activités mensuelles – Primes
Entreprise Great Place To Work, Happy At Work, Happy Candidates, ou encore BPI France Excellence... Web-atrio, une ESN bienveillante et humaine qui performe !

Vous fuyez les strates hiérarchiques et les jeux d’egos ? Chez nous, on change les codes ! Venez profiter de l’écoute active et de la proximité des team leaders, d’une liberté d’action et d’un mode de travail collaboratif. Montez réellement en compétences sur les dernières technologies, tout en étant un des ambassadeurs de nos valeurs auprès de nos clients."
1,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20web%20back%20end&l=Toulouse&radius=100&limit=100&sort=date&vjk=d91e16cfb73607b5,"Développeur AngularJS/Angular Toulouse F/H
WEB-ATRIO TOULOUSE - Blagnac (31)","['Blagnac (31)', 'CDI']",Développeur AngularJS/Angular Toulouse F/H,WEB-ATRIO TOULOUSE,- Blagnac (31),CDI,null,"Apec.fr - il y a 18 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur web back end,Toulouse,"Votre mission, si vous l'acceptez :
développer des applications en Front End. Oubliez les frameworks d'il y a 10 ans ! En intégrant notre équipe de WArriors dynamiques et expérimentés, vous vibrerez sur des frameworks modernes comme AngularJS, Angular, ReactJS et bien d'autres encore !
Profil recherché CHEZ NOUS VOUS NE SEREZ PAS UN NUMERO !

Vous êtes développeur web (Bac+2 à Bac+5) et vous avez au moins 2 ans d'expérience post-diplôme en AngularJS et/ou Angular ?

En bonus, vous avez des connaissances en Back ?

Vous recherchez une société humaine et soucieuse du bien-être de ses collaborateurs ? Vous êtes motivé(e) et vous aimez relever les défis ?

Devenez Web-atrien(ne) et challengez-vous sur des projets innovants !

LES PLUS ?

Mutuelle prise en charge à 100% - Notes de frais - Week-ends d'entreprise - Soirées et activités mensuelles – Primes
Entreprise Great Place To Work, Happy At Work, Happy Candidates, ou encore BPI France Excellence... Web-atrio, une ESN bienveillante et humaine qui performe !

Vous fuyez les strates hiérarchiques et les jeux d’egos ? Chez nous, on change les codes ! Venez profiter de l’écoute active et de la proximité des team leaders, d’une liberté d’action et d’un mode de travail collaboratif. Montez réellement en compétences sur les dernières technologies, tout en étant un des ambassadeurs de nos valeurs auprès de nos clients."
2,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20web%20back%20end&l=Toulouse&radius=100&limit=100&sort=date&vjk=c142a21f14160fb1,"DEVELOPPEUR LOGICIEL F/H
CESI43 avis - Labège (31)","['Labège (31)', 'CDI']",DEVELOPPEUR LOGICIEL F/H,CESI,- Labège (31),CDI,null,"Apec.fr - il y a 18 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur web back end,Toulouse,"Descriptif du poste :
Après une période de formation d’environ 11 semaines en partenariat avec le CESI à Toulouse vous intégrerez l’entité Consulting Information Systems (CIS) d’ALTRAN sur un poste de Développeur Logiciel et interviendrez sur nos différents projets réalisés pour des clients grands comptes.

Nous recherchons actuellement plusieurs profils pour notre Digital Factory interne, qui auront comme principales missions :

Participer à la phase de spécifications techniques et fonctionnelles

Elaborer l'architecture logicielle et définir les solutions techniques

Développer en environnement web (HTML, CSS, Angular, etc.,) ou entreprise (Java/JEE, etc.)

Effectuer les tests unitaires et d'intégration

Participer à la phase de support et de mise en production des applications.
Profil recherché Vous avez un profil technique à partir de BAC+3 avec une première expérience en développement à BAC+5 (Ingénieur/universitaire) de filière scientifique.

Vous avez idéalement une première expérience en développement et conception.

Vous avez des compétences techniques supplémentaires qui seraient appréciées :

Connaissances des langages Java, PHP, .net, Perl ou Python

Pratique des méthodologies Agile (Scrum)

Pratique Devops

Compétences front-end Javascript (Angular, React)

Connaissances des bases de données SQLServeur et des requêtes SQL

Vous avez une forte appétence pour le monde de l'informatique et du service, et vous êtes motivé(e) pour apprendre un métier en plein essor.

Alors cette offre vous est destinée !

Votre capacité d'adaptation, votre autonomie, votre sens du service ainsi que vos qualités relationnelles seront vos atouts pour réussir vos missions et évoluer au sein de notre entreprise.

Ces postes sont ouverts aux personnes en situation de Handicap à compétences égales.
Entreprise Vous êtes en recherche d’emploi ?

Vous avez une première expérience en développement et conception et vous souhaitez orienter votre carrière vers une filière porteuse (adaptée au marché de votre région) ?

Alors nous vous proposons d’intégrer un programme de formation sur une durée de 3 mois afin de consolider vos connaissances et d’acquérir des compétences clés dans le domaine du développement informatique et de permettre ainsi une intégration rapide dans l’entreprise.

Cette formation qui débute le lundi 02 décembre 2019 grâce au dispositif d’une Préparation Opérationnelle à l’Emploi Individuelle (POEI) sur le métier de « Développeur Logiciel H/F » avec notre entreprise partenaire, ALTRAN.

Durant cette formation, vous aborderez les thématiques suivantes :

Développement Front,
Développement Back,
Tests intégration, techniques et fonctionnels,
Sensibilisation aux méthodologies Agile,
Maitrise des outils DevOps,
Concepts et enjeux du Big Data,
Etc.
Passionné(e) par les nouvelles technologies, vous contribuerez ainsi au succès de nos clients dans leurs activités de leurs Systèmes d'Information dans un marché en pleine mutation. Vous participerez à des projets innovants en intégrant des nouveaux usages basés sur la Mobilité, le Cloud et le Big Data"
3,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20web%20back%20end&l=Toulouse&radius=100&limit=100&sort=date&vjk=df41a0b09ae659d6,"Développeur Full Stack web
INCONITO - Toulouse (31)","['Toulouse (31)', 'Temps plein, CDI']",Développeur Full Stack web,INCONITO,- Toulouse (31),"Temps plein, CDI",null,"il y a 3 jours
Signaler cette offre d'emploi",Développeur web back end,Toulouse,"Inconito est une agence indépendante de 25 personnes créée en 1992 et située à Toulouse.
Elle est spécialisée dans les missions d’accompagnement stratégique et de conseil en communication et marketing auprès de décideurs institutionnels publics ou privés et d’institutions culturelles régionales et nationales.
Le pôle digital réunit une douzaine de collaborateurs passionnés : digital producer, chefs de projet, UX designers, UI designers, développeurs front et back-end.
Cette équipe complète et pluridisplicinaire conçoit et réalise des outils digitaux sur-mesure : sites web, applications smartphones, animations digitales, serious games, bornes interactives…
Vous recherchez une équipe soudée et motivée, une entreprise à taille humaine soucieuse de ses collaborateurs.
Vous souhaitez réaliser des projets ambitieux, vous investir dans un projet d’entreprise où la prise d’initiative est valorisée.
Rejoignez nous !
Vos Missions
– Développement (front et back) et maintenance des projets.
– Rédaction des spécifications et des livrables techniques
– Gestion des environnements de développement, staging et production.
– Mise en place et réalisation des phases de tests et de recette.
Profil recherché
– Vous avez au moins 3 ans d’expérience en tant que développeur full stack.
– Vous êtes autonome dans la réalisation de projets digitaux autour des technologies PHP, SQL, JavaScript, NodeJS, HTML5/CSS3, dans l’utilisation des outils de source control (Git) et dans l’utilisation de préprocesseurs (Gulp, Sass, Pug).
– Vous savez utiliser et modifier les librairies, modules et frameworks ou CMS disponibles sur le web (WordPress, Drupal, jQuery, XML/JSON, Highcharts, D3js, WebServices, etc…).
– Vous avez de bonnes connaissances de la POO et du MVC.
– Vous maîtrisez la gestion des bases de données et les requêtes SQL.
L’expérience d’autres technologies (React, Angular…) serait appréciée.
La connaissance des bonnes pratiques Opquast ou de l’accessibilité numérique web serait un plus.
Avantages :
Intéressement
Épargne salariale
Type d'emploi : Temps plein, CDI
Expérience:
développeur full stack : 3 ans (Requis)"
4,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20web%20back%20end&l=Toulouse&radius=100&limit=100&sort=date&vjk=88364340fcf9b2c9,"Chef de projet digital senior
INCONITO - Toulouse (31)","['Toulouse (31)', 'Temps plein, CDI']",Chef de projet digital senior,INCONITO,- Toulouse (31),"Temps plein, CDI",null,"il y a 3 jours
Signaler cette offre d'emploi",Développeur web back end,Toulouse,"Inconito est une agence indépendante de 25 personnes créée en 1992 et située à Toulouse. Elle est spécialisée dans les missions d’accompagnement stratégique et de conseil en communication et marketing auprès de décideurs institutionnels publics ou privés et d’institutions culturelles régionales et nationales.
Le pôle digital réunit une douzaine de collaborateurs passionnés : digital producer, chefs de projet, UX designers, UI designers, développeurs front et back-end. Cette équipe complète et pluridisplicinaire conçoit et réalise des outils digitaux sur-mesure : sites web, applications smartphones, animations digitales, serious games, bornes interactives…
Vous recherchez une équipe soudée et motivée, une entreprise à taille humaine soucieuse de ses collaborateurs. Vous souhaitez réaliser des projets ambitieux, vous investir dans un projet d’entreprise où la prise d’initiative est valorisée.
Rejoignez nous !
Vos missions
– Gérer les projets en collaboration avec les différents pôles de l’entreprise.
– Assurer le lien entre le client et les équipes techniques.
– Etablir les plannings et assurer leur suivi, prévoir les ressources et attribuer les tâches, cadrer les budgets.
– Rédiger les cahiers des charges et spécifications fonctionnelles et autres livrables.
– Piloter la recette et le contrôle qualité des livrables.
Profil recherché
– Vous avez au moins 5 ans d’expérience au sein d’une agence digitale avec gestion multi-projets et encadrement.
– Vous avez le goût du travail en équipe.
– Vous maîtrisez les techniques, bonnes pratiques et outils en gestion de projet.
– Vous avez une bonne connaissance des métiers que vous coordonnez (développeurs, intégrateurs…), et une bonne culture générale technique (HTML/CSS a minima).
– Vous avez une pratique de l’approche centrée utilisateurs et méthodologie UX.
– Vous êtes rigoureux, et organisé; fédérateur et proactif.
– Vous avez une bonne aisance relationnelle, vous aimez le contact, et aimez travailler dans des environnements exigeants et en forte évolution.
– Vous avez un excellent niveau en orthographe et un bon niveau d’anglais écrit et oral.
La connaissance des bonnes pratiques Opquast ou de l’accessibilité numérique serait un plus.
Type d'emploi : Temps plein, CDI
Expérience:
chef de projet digital senior ou similaire: 5 ans (Requis)
Langue:
anglais (Requis)"
5,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20web%20back%20end&l=Toulouse&radius=100&limit=100&sort=date&vjk=1f52529da6fff851,"Développeur Python/Django F/H
MAKINA CORPUS - Toulouse (31)","['Toulouse (31)', 'CDI']",Développeur Python/Django F/H,MAKINA CORPUS,- Toulouse (31),CDI,null,"Apec.fr - il y a 4 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur web back end,Toulouse,"Vous renforcerez notre équipe Python/Django et

interviendrez sur différents projets

tels que :
Réalisations d'applications et de back-ends

Conception et implémentation d'API REST et GraphQL

Traitement de données

Gestion de données spatiales (eg http://geotrek.fr/)

…

Vous aurez l'opportunité de :
Jouer un rôle visible dans les communautés Open Source : création et amélioration d'applications Open Source / Participation à la vie de communautés de développeurs / Coordination de sprints, de bugfests / Réalisation de présentations, conférences, bar camps, formations, lightning talks / Écriture de livres blancs ...

Évoluer dans environnement technique interdisciplinaire (ergonome, graphistes, développeurs Back/Front, SIG, DBA, mobile…) permettant à chacun d'avoir un véritable impact sur les décisions et où l'initiative personnelle est valorisée.

Participer activement à la vie de l’entreprise, vous la représenterez au sein de la communauté Python / Django avec les autres collaborateurs.

Choisir vos propres outils de travail, et évoluer dans une ambiance motivante et stimulante (projets et contrib Opensource, participations encouragées à des évènements/meetup, émulation entre experts passionnés, technos innovantes à tester, veille…).
Profil recherché À l'aise dans un environnement GNU/Linux, nous apprécierons si vous possédez certaines des compétences suivantes :

Python

Django

PostgreSQL/PostGIS

OpenStreetMap

MapBoxGL / Leaflet

Tuilage Vectoriel

Flask

ElasticSearch

Docker

Vous serez un contributeur actif aux valeurs humaines ancrées dans l'ADN de l'entreprise

(environnement, équilibre vie pro/vie privée, collaboratif, solide couverture santé, épicurisme, …) même si nous n'avons pas du tout la prétention d'être parfaits...

Vous avez besoin de le voir pour le croire ?

Venez nous rencontrer, un expert pourra vous en parler

, de plus nos équipes sont mixtes, femmes et hommes du numérique rejoignez-nous !

Chez Makina Corpus nous ne précisons pas de diplôme ou de niveau d'études minimum car nous attachons avant tout de l'importance aux compétences et à la passion du métier.

En revanche votre goût du travail en équipe, votre curiosité et votre adaptabilité aux évolutions technologiques seront des atouts indispensables.
Entreprise Makina Corpus

développe des applications web ou mobiles combinant notamment la cartographie, l'intelligence artificielle, le traitement et l'analyse de données, la dataviz... Nos applications phares sont au service de domaines tels que la randonnée et la gestion d'espaces naturels (http://geotrek.fr/), l'aménagement du territoire, l’accès aux cartographies pour les déficients visuels (http://www.accessimap.com/), des systèmes d'information territoriale, des interfaces d'exploration de données…

Notre organisation et nos prestations se construisent sur trois piliers :

les logiciels libres et les données ouvertes, les méthodes agiles et le développement durable."
6,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20web%20back%20end&l=Toulouse&radius=100&limit=100&sort=date&vjk=63bf6a74e27b7713,"CONCEPTEUR DEVELOPPEUR D'APPLICATIONS F/H
CENTRE DE TOULOUSE BALMA - Toulouse (31)",['Toulouse (31)'],CONCEPTEUR DEVELOPPEUR D'APPLICATIONS F/H,CENTRE DE TOULOUSE BALMA,- Toulouse (31),null,null,"Apec.fr - il y a 4 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur web back end,Toulouse,"Concevoir et développer des composants d'interface utilisateur en intégrant les recommandations de sécurité

Maquetter une application

Développer une interface utilisateur de type desktop

Développer des composants d’accès aux données

Développer la partie front-end d’une interface utilisateur web

Développer la partie back-end d’une interface utilisateur web

Concevoir et développer la persistance des données en intégrant les recommandations de sécurité

Concevoir une base de données

Mettre en place une base de données

Développer des composants dans le langage d’une base de données

Concevoir et développer une application multicouche répartie en intégrant les recommandations de sécurité

Collaborer à la gestion d’un projet informatique et à l’organisation de l’environnement de développement

Concevoir une application

Développer des composants métier

Construire une application organisée en couches

Développer une application mobile

Préparer et exécuter les plans de tests d’une application

Préparer et exécuter le déploiement d’une application
Profil recherché Niveau Bac + 4/5 (filières scientifiques) ou niveau Bac + 3 avec expérience dans les métiers du développement informatique.

Anglais : niveau B1 minimum.

Facultés d’analyse, esprit de synthèse, sens de l’organisation, facilités de communication et d’expression, capacités d’autonomie, d’initiatives et de travailler en équipe.
Entreprise L'

AFPA

, 1er organisme de formation professionnelle pour adultes, recrute 12 personnes pour

ATOS

, grande entreprise du numérique, sur des postes de

Concepteur Développeur d'Applications

.

Vous suivrez trois mois de formation préparatoire, suivis d’un contrat de professionnalisation de douze mois, qui sera divisé en trois mois d’enseignement à l’AFPA et neuf mois en entreprise. À l’issue de ce parcours, vous obtiendrez

un titre professionnel de niveau II (Bac+4)

et signerez un

CDI

dans l’entreprise."
7,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20web%20back%20end&l=Toulouse&radius=100&limit=100&sort=date&vjk=ba5fbec1563303d1,"Développeur Fullstack, spatial, confirmé, H/F
ALTEN - Toulouse (31)","['Toulouse (31)', 'Temps plein, CDI', '30 000 € - 35 000 € par an']","Développeur Fullstack, spatial, confirmé, H/F",ALTEN,- Toulouse (31),"Temps plein, CDI",30 000 € - 35 000 € par an,"il y a 5 jours
Signaler cette offre d'emploi",Développeur web back end,Toulouse,"Passionné par le spatial, tu souhaites être au plus proche des acteurs leaders sur ce marché ?
Alors poursuis la lecture !
Diplômé d’une école d’ingénieur ou d’un bac+5, tu possèdes idéalement une première expérience en développement web et maîtrises les technologies informatiques suivantes :
JavaScript / JQuery
PHP5 / MySQL
CSS / HTML5
Méthodes agiles
Curieux et ouvert, tu as le goût du travail en équipe et la volonté de t’investir au sein d’une équipe jeune et dynamique. Tu seras amené à fonctionner en mode projet et sur les dernières technologies du marché.
Envie d’apporter ta contribution à cette équipe passionnée ? De relever des challenges techniques ? L’agence spatiale d’ALTEN te propose un poste d’ingénieur en développement web (Fullstack) dans un milieu stimulant où le travail est réalisé en équipes pluridisciplinaires composées de développeurs, concepteurs, analystes et experts, tous passionnés par la technique et l'innovation.
Pour quoi faire ?
Implémenter les fonctionnalités du front et du back, du HTML, CSS et JS au contrôleur PHP
Collaborer avec les experts fonctionnels afin de comprendre le besoin
Collaborer avec les autres développeurs back-end et front-end pour développer la solution
Participer à l’amélioration continue du code et du workflow existant
Déployer votre code en production de manière automatisée
Type d'emploi : Temps plein, CDI
Salaire : 30 000,00€ à 35 000,00€ /an
Expérience:
développeur fullstack, spatial, confirmé, h/f ou similaire: 1 an (Souhaité)"
8,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20web%20back%20end&l=Toulouse&radius=100&limit=100&sort=date&vjk=f29940b02293d70e,"Digital Project Leader H/F
Expleo4 avis - Toulouse (31)",['Toulouse (31)'],Digital Project Leader H/F,Expleo,- Toulouse (31),null,null,"il y a 6 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur web back end,Toulouse,"Aéronautique
Midi-Pyrénées - TOULOUSEContrat CDI
2019-2397
Qui sommes-nous ?
Expleo propose une offre unique de services intégrés d'ingénierie, qualité et conseil stratégique pour la transformation digitale. Dans un contexte d'accélération technologique sans précédent, nous sommes le partenaire de confiance des entreprises qui innovent.
Expleo est présent dans tous les secteurs à forte intensité technologique qui contribuent à une société plus connectée, plus durable et plus sûre. Nous nous appuyons sur une forte expertise sectorielle et accompagnons nos clients sur l'ensemble de la chaîne de valeur : conseil et business agility, conception, production et services post développement, management de la qualité.
Nos 15 000 collaborateurs interviennent dans plus de 25 pays et nous avons réalisé un chiffre d'affaires de 1,1 milliard d'euros en 2018.

Votre future mission
Dans le cadre de notre offre Transformation digitale et celle de nos clients, nous sommes à la recherche d'un Digital Project Leader pour participer à la conception et à l'évolution d’applications WEB.
Au sein du centre de compétences Software à Toulouse, vous serez garant des propositions et de l'implémentation de solutions techniques de digitalisation des métiers, en grande partie du secteur aéronautique.

Votre rôle consistera à

Spécifier des applications
Recueil des besoins métiers des clients (interne et/ou externe, appels d’offres …)
Recommandations sur l’approche, le découpage du besoin et estimations
Propositions de solutions techniques et chiffrages associés
Rédaction des propositions techniques et présentation au client
Accompagner techniquement les développements
Validation des données d’entrée, gestion des points bloquants et évolutions
Pilotage technique des développements (avancement, reste à faire …)
Relation technique entre le client, le chef de projet et les développeurs
Livraison des développements et relation avec l’IT client
Suivi de la qualité des livrables et du respect des conventions
Participation aux développements
Définition de l’architecture des développements et applications
Briefing des développeurs, lancement et participation à la production
Rédaction de la documentation technique (développeurs et utilisateurs)
Vérification des développements avant livraison
Le poste est basé à l’agence à Toulouse, au sein d’une équipe créative, jeune et pleine de perspectives, avec pour objectif d’imaginer et développer des solutions digitales innovantes pour nos clients les plus opérationnels, et ce dans une ambiance très sympa !

Des déplacements chez les clients seront à prévoir (environnement bureau d’études et usine). La diversité des projets vous permettra d'évoluer dans des domaines très variés, aux opportunités sans limites.

Ce qui vous différencie
Vous êtes issu d'une formation Bac+5 (Ingénierie et/ou Informatique) et avez une expérience significative de 3 à 5 ans en développement d’applications WEB et/ou Mobile. Fort de cette expérience, vous disposez d'un bon relationnel (travail en équipe), ainsi que d’une bonne adaptation à des sujets variés et à un environnement de type « Startup ». Vous êtes créatif, logique et rigoureux. Votre esprit analytique et votre compréhension des problématiques opérationnelles des métiers Engineering et Manufacturing sont une réelle valeur ajoutée.

Vous possédez une certaine expérience en programmation WEB notamment dans le domaine des bases de données relationnelles SQL (SQL Server, MySQL), le développement front-end (JavaScript, HTML5, CSS3) ainsi que le développement back-end (PHP ≥ 5, VB.NET).

Les petits + : la connaissance d’autres langages de programmation (VBA, Python, C++, C#, …) et/ou Frameworks (Bootstrap, Vue.js, …) ainsi qu’une expérience en environnement opérationnel proche des métiers Engineering et/ou Manufacturing.
Une expérience dans le développement d’applications mobiles serait également un plus, tout comme la maîtrise des méthodes AGILE et DEVOPS et de certains de leurs outils.

Nous vous attendons dans nos équipes pour vous épanouir sur nos différents projets et évoluer dans divers domaines d’activités.
Votre curiosité naturelle vous permet aussi de vous intéresser aux autres activités de développement type embarqué, automation, réalité virtuelle et augmentée ou encore big data …

Votre carrière est notre enjeu ! À vous d'inventer votre parcours avec vos idées et votre personnalité. Aucune voie n'est tracée ou figée. Suivez et réalisez-la vôtre ! Envoyez votre dossier de candidature à l’adresse suivante : mehdi.benchik@expleogroup.com

Partager cette offre

postuler à cette offre"
9,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20web%20back%20end&l=Toulouse&radius=100&limit=100&sort=date&vjk=7a365c803067b207,"Développeur Web Back-End
LINKWEB - Agen (47)","['Agen (47)', 'CDI']",Développeur Web Back-End,LINKWEB,- Agen (47),CDI,null,"il y a 8 jours
Signaler cette offre d'emploi",Développeur web back end,Toulouse,"Dans le cadre du développement de l'équipe technique de l'agence Linkweb, nous sommes à la recherche d'un développeur back-end sur Agen.
Intégré à l'équipe technique, vous serez en charge de participer au développement de nos différents projets web.
Vous contribuerez à l'élaboration de fonctionnalités pour des sites administrables ou e-commerce ainsi qu'au développement de plateformes de type intranet ou collaboratif.
Les compétences nécessaires pour ce poste sont :
- Maitrise des langages PHP / SQL
- Maitrise de la programmation orientée objet
- Maitrise des API d'au moins un CMS du marché (WordPress souhaité)
- Développement de plugins
- Connaissance d'un framework php (Laravel, Symfony)
Vous justifiez d'une expérience significative similaire.
Salaire à négocier selon profil.
Type d'emploi : CDI
Expérience:
HTML/CSS: 3 ans (Souhaité)
Développement Web: 3 ans (Souhaité)"
