,id,meta1,meta2,titre_poste,entreprise,localisation,contrat,salaire,date_publication,keyword_metier,keyword_localisation,description
0,https://www.indeed.fr/emplois?q=Int%C3%A9grateur%20Web&l=Toulouse&radius=100&limit=100&sort=date&vjk=da7969aae1fc179f,"DEVENIR ANALYSTE EN CYBER SECURITE
AOLYS - Toulouse (31)","['Toulouse (31)', 'CDI']",DEVENIR ANALYSTE EN CYBER SECURITE,AOLYS,- Toulouse (31),CDI,null,"il y a 56 minutes
- Continuer pour postuler
Signaler cette offre d'emploi",Intégrateur Web,Toulouse,"AOLYS est un cabinet de recrutement de talents informatiques (informatique, numérique, numérique, web) spécialisé dans la détection de potentiels et de compétences rares.
Lorsque les compétences sont pénales sur le marché, Aolys se base sur la détection du potentiel des candidats à la reconversion, pour faciliter les utilisateurs de la formation dédiée: www.aelion.fr
À l'Operatives Préparations emploi, Pôle Emploi mesure à des UNIQUEMENT dédiée Avenirs demandeurs, de tous les statuts, nous clients apparier Sommes ANE confiés les secouriste à Verser Détecter, EVALUER ET QUALIFIE LE POTENTIEL ET les talents de Candidats APTES à se reconvertir Dans les métiers les plus pénuriques du numérique et de l'informatique.
En savoir plus: https://www.pole-emploi.fr/candidat/la-preparation-operationnelle-al-emploi-poe-@/article.jspz?id=60881
Pour confirmer ce potentiel, un parcours d'évaluation original et individuel sur des valeurs de bienveillance.
Tous les tests ont déjà été confirmés par le projet que vous avez choisi: bon pour vous, pour la formation et pour l'âge final.
Chaque fois que le projet est entré dans la composition du programme de formation définitive 400 heures du film Duquet CDI sérums Signé.
Description du poste
Avec 1800 collaborateurs dans le monde, notre client est reconnu pour son expertise en concepteur, intégrateur et opérateur de systèmes critiques dans les domaines de la défense et de la sécurité, de l'espace, de l'aéronautique, de l'énergie et ' Industrie.
Devenir Analyste en CyberSécurité, à Toulouse.
A l'issue de la formation et grâce à un tutorat de proximité, l'aura en charge:
À la définition et à la mise en place des politiques de sécurité,
Aux audits de conformité,
A la participation aux analyses des risques (EBIOS,….),
Au-delà de la mise en œuvre des mesures de sécurité,
La rédaction de documents de sécurité propres aux projets,
Définition des stratégies de validation de la sécurité et des plans d'homologation,
Au suivi des homologations sécurité,
Système de surveillance de la sécurité (SIEM, IDS, IPS),
? PCA - PRA?
Profil recherché
BAC + 3 à BAC + 8
Habilitabilité Défense
Anglais technique et professionnel obligatoire minimum
Sens rédactionnel et synthèse pour la restitution des livrables
Autonome avec bon sens relationnel
Esprit d'équipe et sens du service
Junior sur le métier de Consultant Cyber ??Sécurité accepté avec Expérience ou Diplôme permettant de justifier d'une sensibilité à la maîtrise d'un poste à l'issue d'une formation de 400h."
1,https://www.indeed.fr/emplois?q=Int%C3%A9grateur%20Web&l=Toulouse&radius=100&limit=100&sort=date&vjk=88364340fcf9b2c9,"Chef de projet digital senior
INCONITO - Toulouse (31)","['Toulouse (31)', 'Temps plein, CDI']",Chef de projet digital senior,INCONITO,- Toulouse (31),"Temps plein, CDI",null,"il y a 3 jours
Signaler cette offre d'emploi",Intégrateur Web,Toulouse,"Inconito est une agence indépendante de 25 personnes créée en 1992 et située à Toulouse. Elle est spécialisée dans les missions d’accompagnement stratégique et de conseil en communication et marketing auprès de décideurs institutionnels publics ou privés et d’institutions culturelles régionales et nationales.
Le pôle digital réunit une douzaine de collaborateurs passionnés : digital producer, chefs de projet, UX designers, UI designers, développeurs front et back-end. Cette équipe complète et pluridisplicinaire conçoit et réalise des outils digitaux sur-mesure : sites web, applications smartphones, animations digitales, serious games, bornes interactives…
Vous recherchez une équipe soudée et motivée, une entreprise à taille humaine soucieuse de ses collaborateurs. Vous souhaitez réaliser des projets ambitieux, vous investir dans un projet d’entreprise où la prise d’initiative est valorisée.
Rejoignez nous !
Vos missions
– Gérer les projets en collaboration avec les différents pôles de l’entreprise.
– Assurer le lien entre le client et les équipes techniques.
– Etablir les plannings et assurer leur suivi, prévoir les ressources et attribuer les tâches, cadrer les budgets.
– Rédiger les cahiers des charges et spécifications fonctionnelles et autres livrables.
– Piloter la recette et le contrôle qualité des livrables.
Profil recherché
– Vous avez au moins 5 ans d’expérience au sein d’une agence digitale avec gestion multi-projets et encadrement.
– Vous avez le goût du travail en équipe.
– Vous maîtrisez les techniques, bonnes pratiques et outils en gestion de projet.
– Vous avez une bonne connaissance des métiers que vous coordonnez (développeurs, intégrateurs…), et une bonne culture générale technique (HTML/CSS a minima).
– Vous avez une pratique de l’approche centrée utilisateurs et méthodologie UX.
– Vous êtes rigoureux, et organisé; fédérateur et proactif.
– Vous avez une bonne aisance relationnelle, vous aimez le contact, et aimez travailler dans des environnements exigeants et en forte évolution.
– Vous avez un excellent niveau en orthographe et un bon niveau d’anglais écrit et oral.
La connaissance des bonnes pratiques Opquast ou de l’accessibilité numérique serait un plus.
Type d'emploi : Temps plein, CDI
Expérience:
chef de projet digital senior ou similaire: 5 ans (Requis)
Langue:
anglais (Requis)"
2,https://www.indeed.fr/emplois?q=Int%C3%A9grateur%20Web&l=Toulouse&radius=100&limit=100&sort=date&vjk=0ac718467be0e923,"Ingénieur Informatique Application H/F - Client final situé à Toulouse
Page Personnel FR203 avis - Toulouse (31)",['Toulouse (31)'],Ingénieur Informatique Application H/F - Client final situé à Toulouse,Page Personnel FR,- Toulouse (31),null,null,"il y a 4 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Intégrateur Web,Toulouse,"En tant qu'Ingénieur Informatique Application et en charge du Service Application du siège social, vous êtes responsable des missions suivantes :
Gestion des projets du point de vue technique et développement,
Interface avec les Responsables Métiers et les Intégrateurs,
Rédaction de cahiers des charges,
Conception, spécification et développement de composants ou applications. En particulier des interfaces entre l'ERP et applications métier du Groupe,
Gestion des actifs logiciels, de la carte applicative du Groupe.

Environnement technique : Windows, Linux, Apache, IIS, PHP, MYSQL, CRYSTAL REPORT, Power BI, SQL Serveur, Sage X3 V11, ProjeQtor, Office 365, Sharepoint.

Client final situé à Toulouse - En forte croissance - Rejoignez leur équipe IT

Gestion de projet - Management - Développement d'application - CDI

Nous recherchons pour ce poste un profil diplômé d'un Bac +2 minimum avec au moins une expérience significative et une capacité en management et gestion ou un profil type Bac +4 minimum en début de carrière.

Vous avez des compétences techniques en développement : Objet, base de données, Web Services, Application Web (des formations complémentaires sont dispensés suivant les besoins en terme de connaissance de langage et/ou d'environnement)."
3,https://www.indeed.fr/emplois?q=Int%C3%A9grateur%20Web&l=Toulouse&radius=100&limit=100&sort=date&vjk=4ea038dcee7be52b,"Webdesigner - Intégrateur H/F
Safti21 avis - Toulouse (31)","['Toulouse (31)', 'Temps plein, CDI', '31 000 € - 36 000 € par an']",Webdesigner - Intégrateur H/F,Safti,- Toulouse (31),"Temps plein, CDI",31 000 € - 36 000 € par an,"il y a 11 jours
Signaler cette offre d'emploi",Intégrateur Web,Toulouse,"Arrivé sur le marché de l'immobilier en 2010 avec un concept novateur, SAFTI est un réseau national de plus de 3500 conseillers immobiliers indépendants.
Certifié qualité ISO 9001, SAFTI place la formation et l'accompagnement de ses mandataires immobiliers au coeur de sa stratégie et met en avant des valeurs fortes que sont l'écoute, la proximité et le professionnalisme.
Depuis 2015, le réseau a aussi mis en place une campagne de communication nationale à la télévision. Plus de 10 000 spots TV ont ainsi été diffusés sur les plus grandes chaînes télévisées françaises (TF1, M6, BFM TV, France 2, C8...), faisant de SAFTI le n°1 des réseaux de mandataires en termes de notoriété.
Dans le cadre de notre développement, nous recherchons un(e) Webdesigner - Intégrateur/trice basé(e) au siège, à Toulouse.
Vous travaillerez sur l'ensemble des projets digitaux front office de la société : sites Internet et landing pages associées, campagnes e-mailings, campagnes publicitaires...
Vos principales missions seront :
Conception et réalisation de maquettes et autres éléments graphiques, dans le respect des besoins UX/UI et SEO
Intégration de pages, de modules ou e-mails, dans le respect de la sémantique, des contraintes liées au responsive, et des comptabilités navigateurs
Conception et réalisation d’A/B testings avec analyse et mise en application des résultats
Analyse et conception de nouveaux projets
Veille technologique (recherche et développement)
Dans le cadre de vos missions, vous travaillerez en étroite collaboration avec le Service Marketing et Communication, ainsi que les entités de développement front-end et back-end de la société.
Profil :
Vous avez une première expérience réussie dans le web de minimum 5 ans.
Curieux, créatif et autonome, vous savez gérer plusieurs projets de front et avez le sens du travail en équipe.
Compétences recherchées :
Maîtrise des outils graphiques (Suite Adobe)
Maîtrise du Responsive Design et des normes d'intégration
Maitrise des langages HTML / CSS
Bonnes connaissances Javascript et Jquery
Portfolio ou références obligatoires
Rémunération:
31 K à 36 K€ (fixe + prime d'intéressement)
Type d'emploi : Temps plein, CDI
Type d'emploi : Temps plein, CDI"
4,https://www.indeed.fr/emplois?q=Int%C3%A9grateur%20Web&l=Toulouse&radius=100&limit=100&sort=date&vjk=a2842cb578a16647,"Développeur web mobile Stage
Strategia - Toulouse (31)","['Toulouse (31)', 'Stage']",Développeur web mobile Stage,Strategia,- Toulouse (31),Stage,null,"il y a 9 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Intégrateur Web,Toulouse,"Notre agence
Le groupe STR-Connect spécialisé dans l’accompagnement et la stratégie digitale propose deux offres de stages en développement web et mobile pour intervenir sur les projets de son agence digitale STRATEGIA https://strategia.io et sa start up NotreSanté notresante.io.
Vos missions du stage
Dans ce cadre, vous participez au développement de nouveaux sites web et applications mobiles, ainsi qu’à l’ajout de fonctionnalités sur les versions existantes.
Vous participez à la rédaction des cahiers des charges pour la mise en œuvre de ces projets.
- Vous intégrez des nouveaux écrans en exploitant les maquettes et prototypes produits par nos équipes. - Vous participez au développement, exploitez et branchez des APIs.
Vous rédigez un cahier de tests et participez aux recettes des applications et sites web.
Vous serez intégré dans une équipe dynamique, jeune et expérimentée comprenant lead développeurs, développeurs, intégrateurs, chef de projets, concepteurs et UX designer.
Profil recherché
Etudiant minimum en 3ème année de cursus universitaire ou école d'ingénieur, vous êtes spécialisé dans l'informatique et faites preuve d'un intérêt pour le développement web et mobile.
Vous devrez faire preuve d'une bonne capacité de synthèse, de travail en équipe et d'autonomie.
Quelques technologies, CMS et outils mis en œuvre sur nos projets
Symfony4, Angular JS, React JS, PHP7, Mysql, Wordpress, Drupal, Prestashop, ReactNative, Swift, Java, Git, administration système linux….
Conditions de travail
Le stage se déroulera dans nos locaux de Toulouse au 2 impasse Michel Labrousse 31100 Toulouse
Station de Métro Basso Cambo au pied de l’immeuble
Parking réservé pour les collaborateurs et stagiaires
Poste de travail dédié
Stage dès que possible
Durée de 2 à 6 mois
Contact
Chloé Broto : chloe.broto@strategia.io / 05 62 27 17 94"
5,https://www.indeed.fr/emplois?q=Int%C3%A9grateur%20Web&l=Toulouse&radius=100&limit=100&sort=date&vjk=167f400aed24cc7d,"Stage à temps plein : Développeur web mobile
STRATEGIA - Toulouse (31)","['Toulouse (31)', 'Stage']",Stage à temps plein : Développeur web mobile,STRATEGIA,- Toulouse (31),Stage,null,"il y a 12 jours
Signaler cette offre d'emploi",Intégrateur Web,Toulouse,"Notre agence
Le groupe STR-Connect spécialisé dans l’accompagnement et la stratégie digitale propose deux offres de stages en développement web et mobile pour intervenir sur les projets de son agence digitale STRATEGIA https://strategia.io et sa start up NotreSanté notresante.io.
Vos missions du stage
Dans ce cadre, vous participez au développement de nouveaux sites web et applications mobiles, ainsi qu’à l’ajout de fonctionnalités sur les versions existantes.
- Vous participez à la rédaction des cahiers des charges pour la mise en œuvre de ces projets.
- Vous intégrez des nouveaux écrans en exploitant les maquettes et prototypes produits par nos équipes.
- Vous participez au développement, exploitez et branchez des APIs.
- Vous rédigez un cahier de tests et participez aux recettes des applications et sites web.
- Vous serez intégré dans une équipe dynamique, jeune et expérimentée comprenant lead développeurs, développeurs, intégrateurs, chef de projets, concepteurs et UX designer.
Profil recherché
-Etudiant minimum en 3ème année de cursus universitaire ou école d'ingénieur, vous êtes spécialisé dans l'informatique et faites preuve d'un intérêt pour le développement web et mobile.
-Vous devrez faire preuve d'une bonne capacité de synthèse, de travail en équipe et d'autonomie.
Quelques technologies, CMS et outils mis en œuvre sur nos projets
Symfony4, Angular JS, React JS, PHP7, Mysql, Wordpress, Drupal, Prestashop, ReactNative, Swift, Java, Git, administration système linux….
Conditions de travail
- Le stage se déroulera dans nos locaux de Toulouse au 2 impasse Michel Labrousse 31100 Toulouse
- Station de Métro Basso Cambo au pied de l’immeuble
- Parking réservé pour les collaborateurs et stagiaires
- Poste de travail dédié
- Stage dès que possible
- Durée de 2 à 6 mois
Type d'emploi : Stage
Lieu:
Toulouse (31) (Souhaité)
Certificats et autres accréditations:
Bac+3 (Souhaité)
Disponibilité:
Sous 7 jours (Souhaité)"
6,https://www.indeed.fr/emplois?q=Int%C3%A9grateur%20Web&l=Toulouse&radius=100&limit=100&sort=date&vjk=cc34f11bf188a8c2,"INGÉNIEUR CONSULTANT CYBER SÉCURITÉ
AOLYS - Toulouse (31)","['Toulouse (31)', 'CDI']",INGÉNIEUR CONSULTANT CYBER SÉCURITÉ,AOLYS,- Toulouse (31),CDI,null,"il y a 11 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Intégrateur Web,Toulouse,"AOLYS est un cabinet de recrutement de talents informatiques (informatique, numérique, numérique, web) spécialisé dans la détection de potentiels et de compétences rares.
Lorsque les compétences sont pénales sur le marché, Aolys se base sur la détection du potentiel des candidats à la reconversion, pour faciliter les utilisateurs de la formation dédiée: www.aelion.fr
À l'Operatives Préparations emploi, Pôle Emploi mesure à des UNIQUEMENT dédiée Avenirs demandeurs, de tous les statuts, nous clients apparier Sommes ANE confiés les secouriste à Verser Détecter, EVALUER ET QUALIFIE LE POTENTIEL ET les talents de Candidats APTES à se reconvertir Dans les métiers les plus pénuriques du numérique et de l'informatique.
En savoir plus: https://www.pole-emploi.fr/candidat/la-preparation-operationnelle-al-emploi-poe-@/article.jspz?id=60881
Pour confirmer ce potentiel, un parcours d'évaluation original et individuel sur des valeurs de bienveillance.
Tous les tests ont déjà été confirmés par le projet que vous avez choisi: bon pour vous, pour la formation et pour l'âge final.
Chaque fois que le projet est entré dans la composition du programme de formation définitive 400 heures du film Duquet CDI sérums Signé.
Description du poste
Avec 1800 collaborateurs dans le monde, notre client est reconnu pour son expertise en concepteur, intégrateur et opérateur de systèmes critiques dans les domaines de la défense et de la sécurité, de l'espace, de l'aéronautique, de l'énergie et ' Industrie.
Devenir Analyste en CyberSécurité, à Toulouse.
A l'issue de la formation et grâce à un tutorat de proximité, l'aura en charge:
À la définition et à la mise en place des politiques de sécurité,
Aux audits de conformité,
A la participation aux analyses des risques (EBIOS,….),
Au-delà de la mise en œuvre des mesures de sécurité,
La rédaction de documents de sécurité propres aux projets,
Définition des stratégies de validation de la sécurité et des plans d'homologation,
Au suivi des homologations sécurité,
Système de surveillance de la sécurité (SIEM, IDS, IPS),
? PCA - PRA?
Profil recherché
BAC + 3 à BAC + 8
Habilitabilité Défense
Anglais technique et professionnel obligatoire minimum
Sens rédactionnel et synthèse pour la restitution des livrables
Autonome avec bon sens relationnel
Esprit d'équipe et sens du service
Junior sur le métier de Consultant Cyber ??Sécurité accepté avec Expérience ou Diplôme permettant de justifier d'une sensibilité à la maîtrise d'un poste à l'issue d'une formation de 400h."
7,https://www.indeed.fr/emplois?q=Int%C3%A9grateur%20Web&l=Toulouse&radius=100&limit=100&sort=date&vjk=dd795cd406716893,"Ingénieur Développement open source Java/Web - H/F
CS Communication & Systèmes2 avis - Toulouse (31)","['Toulouse (31)', 'CDI']",Ingénieur Développement open source Java/Web - H/F,CS Communication & Systèmes,- Toulouse (31),CDI,null,"il y a 12 jours
- Continuer pour postuler
Signaler cette offre d'emploi",Intégrateur Web,Toulouse,"DESCRIPTION DE L'OFFRE
CS se positionne comme Concepteur, Intégrateur et Opérateur de systèmes critiques de tout premier plan. Nos clients européens et mondiaux sont dans les secteurs du Spatial, de la Défense, de l’Aéronautique, de l’Énergie.

Dans le cadre d’un projet de valorisation de données spatiales, vous serez intégré dans une équipe d’ingénieurs expérimentés pour mettre en œuvre un système de stockage, de classification et de diffusion des données.
L’objectif est de pouvoir sélectionner des données hétérogènes via des critères de classification standardisés (interopérabilité) afin ensuite de les récupérer pour les agréger et apporter une plus-value en terme d’analyse et de traitement. Les enjeux portent sur la préservation des données accumulées et sur leur valorisation auprès des scientifiques, à travers des applications performantes et innovantes. Ainsi les critères de pérennité, modularité et généricité sont essentiels dans la conception et la réalisation du système.

Vous interviendrez dès sa phase de conception jusqu'à la mise en service opérationnelle : conception, développement, tests unitaires à l’aide d’une plateforme d’intégration continue, validation et recette, rédaction de documentation.
Ce projet Open source se déroule dans un contexte technologique avancé et motivant, où la curiosité technique est nécessaire. Il s’appuie notamment sur une architecture orientée micro-services.

PROFIL REQUIS
De formation Bac +5 en informatique, vous avez une première expérience sur les technologies : Java 1.8, Spring 4 (Cloud, Boot, Data REST, Security), Apache, Jetty, PostgreSQL, Elasticsearch, Framework JavaScript (ReactJS, Redux).
Des connaissances en Netflix OSS, standards OGC (WMS, WPS), WebGL, Docker seraient un plus

Vous êtes doté(e) un bon relationnel avec un bon esprit d’équipe.
Rigueur, autonomie, vous caractérise."
8,https://www.indeed.fr/emplois?q=Int%C3%A9grateur%20Web&l=Toulouse&radius=100&limit=100&sort=date&vjk=7687cc6ad0f3d882,"CHEF DE PROJET EN CONTRÔLE NON DESTRUCTIF (CND) H/F
testia2 avis - Toulouse (31)","['Toulouse (31)', 'CDI']",CHEF DE PROJET EN CONTRÔLE NON DESTRUCTIF (CND) H/F,testia,- Toulouse (31),CDI,null,"il y a 8 jours
Signaler cette offre d'emploi",Intégrateur Web,Toulouse,"TESTIA, filiale du groupe Airbus, est spécialisée dans le Contrôle Non Destructif pour l’industrie aéronautique et spatiale depuis plus de 25 ans.
Nous intervenons auprès de nos clients à travers des contrats d’étude au forfait, des missions d’assistance technique ou des formations spécialisées pour les donneurs d’ordres et leurs fournisseurs ainsi que pour les compagnies aériennes et MRO.
Nous développons des produits et équipements innovants (souvent avec du diagnostic assisté).
Objectifs du poste :
Au sein de l’équipe Spécification, Validation & Management produit du Département « Products & Equipment » de Toulouse, vous participez à l’ensemble des activités liées à la mise en marché de nos produits CND (spécification, validation, promotion, mise en service, maintien et évolution) incluant des instruments portables, des logiciels et des machines complètes. Dans le cadre de votre poste vous serez amené à prendre la responsabilité de la gestion de projets spécifiques de R&D et de projets client. Vous serez donc amené à interagir avec l’ensemble des autres fonctions du département et de l’entreprise : Développements, SAV de niveau > 1, Ventes et Marketing, Expertise, Formation, Achat, etc. mais également avec nos partenaires (fournisseurs de sondes, intégrateurs, outilleurs, etc.).
Missions principales du poste :
– Gestion de projets R&D et client
o Piloter un projet en animant l’équipe projet selon un cahier des charges (besoin, budget, délais, analyse de risques et d’opportunités…)
o Fixer les objectifs, la stratégie, les moyens et l’organisation
o Livrer le projet au niveau de qualité attendu par le client
o Assurer un suivi technique et budgétaire à partager lors des revues internes et/ou clients
– Prendre en charge les dossiers affaires relatifs au(x) produit(s) / projet(s) relevant de la responsabilité du titulaire du poste
– Réaliser des études de faisabilités sur des nouveaux cas d’application (support avant-vente)
– Assurer le support aux ventes et après-ventes des produit(s) Testia
– Promouvoir nos produits, équipements & services associés (démos, Webinars, etc.)
– Participer à l’élaboration des supports de communication (spécifications techniques, manuels, site WEB, manuels, vidéos, présentations, etc.), puis veiller à leur maintien à jour
– Être en lien avec les membres de l’équipe pour assurer un support technique
– Être mobile pour intervenir chez nos clients en fonction des projets (les missions peuvent durer plusieurs semaines dans le cadre de la mise au point de machines chez nos partenaires et la mise en route chez nos clients)
– Aider à la veille technologique
Profil :
De formation technique, ingénieur (ou équivalent) avec une expérience industrielle dans le domaine du CND, vous disposez d’une expérience significative en Ultrasons et idéalement une certification niveau 2 dans cette technique (ou souhaitez préparer l’examen).
Vous avez également une bonne connaissance des autres méthodes de contrôle CND (thermographie IR ou courants de Foucault par exemple) et une expérience dans les applications de contrôle de pièces métalliques et composites.
Vous avez de l’expérience en tant que chef de projets et êtes à l’aise avec les méthodologies et outils informatiques associés.
Bon niveau d’Anglais, à l’écrit comme à l’oral demandé.
Curieux(se), dynamique, autonome, organisé(e) et rigoureux(se), vous êtes capable de mener plusieurs projets en parallèle, tout en gérant les priorités.
Doté(e) d’un bon esprit d’équipe, vous disposez d’un bon relationnel client et êtes force de proposition. Vous souhaitez évoluer au sein d’une PME innovante et en croissance, au rayonnement international.
Informations de l’offre :
Date de début : Dès que possible
Contrat : CDI
Lieu : Toulouse (31)
POSTULER
Merci de bien vouloir faire parvenir CV et lettre de motivation par mail à :
Emmanuelle.ROUDAUT@testia.com"
9,https://www.indeed.fr/emplois?q=Int%C3%A9grateur%20Web&l=Toulouse&radius=100&limit=100&sort=date&vjk=2cce7ce586f69c61,"CHEF DE PROJET EN CONTROLE NON DESTRUCTIF H/F
TESTIA - Toulouse (31)","['Toulouse (31)', 'Temps plein, CDI']",CHEF DE PROJET EN CONTROLE NON DESTRUCTIF H/F,TESTIA,- Toulouse (31),"Temps plein, CDI",null,"il y a 13 jours
Signaler cette offre d'emploi",Intégrateur Web,Toulouse,"Entreprise :
TESTIA, filiale du groupe Airbus, est spécialisée dans le Contrôle Non Destructif pour l’industrie aéronautique et spatiale depuis plus de 25 ans.
Nous intervenons auprès de nos clients à travers des contrats d'étude au forfait, des missions d'assistance technique ou des formations spécialisées pour les donneurs d’ordres et leurs fournisseurs ainsi que pour les compagnies aériennes et MRO.
Nous développons des produits et équipements innovants (souvent avec du diagnostic assisté).
Objectifs du poste :
Au sein de l’équipe Spécification, Validation & Management produit du Département « Products & Equipment » de Toulouse, vous participez à l’ensemble des activités liées à la mise en marché de nos produits CND (spécification, validation, promotion, mise en service, maintien et évolution) incluant des instruments portables, des logiciels et des machines complètes. Dans le cadre de votre poste vous serez amené à prendre la responsabilité de la gestion de projets spécifiques de R&D et de projets client. Vous serez donc amené à interagir avec l’ensemble des autres fonctions du département et de l’entreprise : Développements, SAV de niveau > 1, Ventes et Marketing, Expertise, Formation, Achat, etc. mais également avec nos partenaires (fournisseurs de sondes, intégrateurs, outilleurs, etc.).
Missions principales du poste :
Gestion de projets R&D et client :
Piloter un projet en animant l'équipe projet selon un cahier des charges (besoin, budget, délais, analyse de risques et d’opportunités…)
Fixer les objectifs, la stratégie, les moyens et l’organisation
Livrer le projet au niveau de qualité attendu par le client
Assurer un suivi technique et budgétaire à partager lors des revues internes et/ou clients
Prendre en charge les dossiers affaires relatifs au(x) produit(s) / projet(s) relevant de la responsabilité du titulaire du poste
Réaliser des études de faisabilités sur des nouveaux cas d’application (support avant-vente)
Assurer le support aux ventes et après-ventes des produit(s) Testia
Promouvoir nos produits, équipements & services associés (démos, Webinars, etc.)
Participer à l’élaboration des supports de communication (spécifications techniques, manuels, site WEB, manuels, vidéos, présentations, etc.), puis veiller à leur maintien à jour
Être en lien avec les membres de l’équipe pour assurer un support technique
Être mobile pour intervenir chez nos clients en fonction des projets (les missions peuvent durer plusieurs semaines dans le cadre de la mise au point de machines chez nos partenaires et la mise en route chez nos clients)
Aider à la veille technologique
Profil :
De formation technique, ingénieur (ou équivalent) avec une expérience industrielle dans le domaine du CND, vous disposez d’une expérience significative en Ultrasons et idéalement une certification niveau 2 dans cette technique (ou souhaitez préparer l’examen).
Vous avez également une bonne connaissance des autres méthodes de contrôle CND (thermographie IR ou courants de Foucault par exemple) et une expérience dans les applications de contrôle de pièces métalliques et composites.
Vous avez de l’expérience en tant que chef de projets et êtes à l’aise avec les méthodologies et outils informatiques associés.
Bon niveau d’Anglais, à l’écrit comme à l’oral demandé.
Curieux(se), dynamique, autonome, organisé(e) et rigoureux(se), vous êtes capable de mener plusieurs projets en parallèle, tout en gérant les priorités.
Doté(e) d’un bon esprit d’équipe, vous disposez d’un bon relationnel client et êtes force de proposition. Vous souhaitez évoluer au sein d'une PME innovante et en croissance, au rayonnement international.
Date de début : Dès que possible
Contrat : CDI
Rémunération : en fonction du profil
Type d'emploi : Temps plein, CDI
Expérience:
chef de projet en controle non destructif h/f ou similaire: 3 ans (Souhaité)"
