,id,meta1,meta2,titre_poste,entreprise,localisation,contrat,salaire,date_publication,keyword_metier,keyword_localisation,description
0,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20web&l=Toulouse&radius=100&limit=100&sort=date&vjk=5e85397ee4242fa4,"Développeur/se Mobile pour applications fort trafic (H/F)
TechTalent.fr - Toulouse (31)","['Toulouse (31)', 'CDI']",Développeur/se Mobile pour applications fort trafic (H/F),TechTalent.fr,- Toulouse (31),CDI,null,"il y a 57 minutes
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur web,Toulouse,"TechTalent est une agence de recrutement de compétences techs en freelance ou CDI. Nous sommes spécialisés sur les missions et projets techniques pour les talents et les entreprises qui aiment la tech (stacks Web/Mobile, IA, Big Data et Devops), les belles applis et les users heureux ;).

Nous sélectionnons pour Brico Privé un(e) dev senior PHP/Symfony pour contribuer à l'évolution d'une plateforme utilisée aujourd'hui par les 7 millions de membres.


Brico Privé permet au plus grand nombre l'accès à du matériel de grande marque et de qualité professionnelle à moindre coût, avec une expérience client simple, conviviale et irréprochable. Devenu un acteur incontournable du e-commerce en France, Brico Privé développe aujourd'hui son activité en Espagne, en Italie et au Portugal. En moins de 10 ans, Brico Privé c'est un chiffre d'affaire de près de 100 millions d'euros.

Pour en savoir plus sur Brico Privé: http://bit.ly/2MOLLjg
Description du poste
Le(la) dev Mobile est intégré(e) au sein de la team tech de Brico Privé, rattachée au CTO. La mission de la team tech est de faire évoluer l'architecture technique pour soutenir la croissance très forte de la société. Le poste est basé à l'Union.

Votre mission:
Assurer le développement et le passage en production des applications mobiles (React Native à ce jour),
Bâtir la roadmap technique d'un socle commun à toutes les applications,
Interragir avec l'équipe Brico Privé pour assurer une expérience utilisateur optimale.

L'architecture est à base de micro-services et le stack technique, en constante évolution, s'appuie sur :
Node.js, React et React Native,
Mirakl, SQL, Prestashop & PHP (pour le legacy),
Terraform, Python & AWS pour l'infra real time analytics.
L'entreprise étant en très forte croissance, les perspectives sont nombreuses. De nouvelles opportunités s'ouvrent très régulièrement en interne.
La rémunération sera à discuter en fonction de votre profil et expériences, et vous aurez accès à l'ensemble des avantages de l'entreprise.

Le processus de sélection des candidatures démarre par un entretien technique avec TechTalent puis avec l'équipe Brico Privé.
Profil recherché
Vous jouez en équipe et aimez construire des produits utilisés. Vous connaissez bien React Native, Node.js et les architectures découplées RESTful. Vous êtes orienté(e) développement front, autonome, vous possédez des capacités d'analyse et de synthèse ainsi qu'un très bon relationnel.

Vous êtes à l'aise avec le passage fréquent en prod d'applications mobiles avec des millions d'utilisateurs. Vous êtes précis(e) et attaché(e) à une gestion souple mais rigoureuse du cycle de vie de vos applications et du socle commun.

Ambition, solidarité, adaptation et esprit d'équipe caractérisent le mode de fonctionnement des équipes de Brico Privé. On bosse, on grandit, on s'amuse et on avance ensemble. Si vous vous reconnaissez dans les valeurs et que vous cherchez sur Toulouse un projet d'envergure pour continuer de progresser, c'est le moment de candidater.

L'équipe saura s'adapter à votre profil et vos envies. A vos candidatures!"
1,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20web&l=Toulouse&radius=100&limit=100&sort=date&vjk=03952503ea8cf426,"Développeur Angular confirmé F/H
HAUBAN - Toulouse (31)","['Toulouse (31)', 'CDI']",Développeur Angular confirmé F/H,HAUBAN,- Toulouse (31),CDI,null,"Apec.fr - il y a 6 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur web,Toulouse,"Vous aurez comme principales missions :
Répondre aux exigences du client, réaliser un feedback professionnel sur la compréhension du besoin,

Développer une solution pour ses besoins,

Accompagner le client dans les tests, sa montée en compétence dans l’usage, le déploiement…

Vous interviendrez principalement sur :
L’analyse, la conception,

Le développement pour le web et/ou pour l’univers mobile

L’analyse des user stories stockées dans le backlog de sprint

La conception des évolutions nécessaires à l’implémentation des user stories

L’implémentation des user stories
Profil recherché Diplômé(e) d’un BAC+4/5 avec une expérience à ce poste de 3 ans minimum (stage et alternance compris).

Vous maîtrisez les technos suivantes :
JAVA J2EE ; ANGULAR

Vous maîtrisez ces aspects du développement :
l’analyse, la conception ;

le développement pour le web et/ou pour l’univers mobile.
Entreprise Hauban, société de conseils en transformation digitale est à la recherche d'un(e) ""Un(e) développeur/développeuse"" dans le cadre d'un projet de transformation digitale pour un client.

Hauban est une

PME dynamique et passionnée par la transformation digitale.

Notre objectif

: aider les petites entreprises comme les grands groupes internationaux sur des projets intéressants, innovants et surtout travailler en équipe.

Notre ADN

: la bonne humeur, le partage de connaissances, de compétences, le partage des expériences de chacun.

En clair :
Transformation digitale

Projets intéressants

Travail d'équipe

Bonne humeur

Proximité

Accompagnement sur mesure

Management responsabilisant"
2,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20web&l=Toulouse&radius=100&limit=100&sort=date&vjk=53e98c98e5c2119c,"Stage développement fullstack Toulouse H/F
Ippon Technologies - Toulouse (31)","['Toulouse (31)', 'Stage']",Stage développement fullstack Toulouse H/F,Ippon Technologies,- Toulouse (31),Stage,null,"il y a 17 heures
Signaler cette offre d'emploi",Développeur web,Toulouse,"@IpponToulouse...
Nous sommes des consultants technophiles situés en plein centre-ville. Ton repère? Nous sommes à côté de l'Alimentation pour les Afterworks et de Perlette pour le goûter!
Nous sommes fans des Ippaperos... que tu vas bientôt découvrir!
Notre job? se faire plaisir sur des projets agiles Java, BigData, DevOps, Cloud
Nos chiffres? 2 ans qu'on est sur Toulouse, 1 an qu'on a commencé à construire une dream team dédiée, beaucoup d'afterworks et de soirées à l'Alimentation : p
Notre prochaine commande? un bureau rien que pour toi car nous venons juste d'emménager et ton accès à Blackbelt pour passer une belt fullstack!
Contexte du projet :
Le projet a pour but d’automatiser l'impression des supports de communication d’une grande enseigne sportive (Porte étiquette, revendications avantages produits, etc). Nous travaillons actuellement sur la prise en charge des balisages électronique pour un rafraichissement automatique des prix en magasin.
Description du sujet de stage:
Au sein d’une équipe pluridisciplinaire, Sympathique et passionnée (Scrum master, PO et 5 développeurs séniors), ton rôle est de concevoir et développer la solution en assurant un code de qualité bien sur ! (TDD, BDD, DDD, Sonar…).
Tu participes également aux Cérémoniaux Scrum et ateliers de conception, épaulé par les meilleurs experts du marché.
L’écosystème dans lequel tu vas évoluer ! :
Java >= 8
Spring boot, Spring Cloud
VueJS
NodeJS + Pupeteer
Docker, Rancher, Jenkins
Gitlab en migration vers Github
#Fullstack #Agile #Craftmanship #BDD #TDD #DDD
Ta mission: tirer profit de ces 6 mois de stage pour te préparer à appréhender le monde passionnant du développement logiciel à nos côtés
Tes forces :
Tu as des connaissances sur une ou plusieurs technologies web (Javascript, Java, HTML, CSS et leurs frameworks) ? Nous aussi !
Tu es curieux et passionné ? tu es au bon endroit !
Tu aimes travailler en équipe et être force de proposition ? cette annonce est faite pour toi !
Tu as envie de travailler sur des projets innovants ? tu es à la bonne enseigne !
Si comme nous, tu es passionné(e) de développement et que tu te retrouves dans nos valeurs #TeamWork #Dépassement #CleanCode... Et Si, tu as envie d’apprendre et de contribuer en équipe au développement d’un projet innovant
...Alors rejoins la #Team Ippon !
Type d'emploi : Stage
Expérience:
stage développement fullstack toulouse h/f ou similaire: 1 an (Souhaité)"
3,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20web&l=Toulouse&radius=100&limit=100&sort=date&vjk=a4203274c2463581,"Developpeur Web H/F
Agence Pure - Toulouse (31)","['Toulouse (31)', 'Temps plein, CDI']",Developpeur Web H/F,Agence Pure,- Toulouse (31),"Temps plein, CDI",null,"il y a 23 heures
Signaler cette offre d'emploi",Développeur web,Toulouse,"Vous maîtrisez les technologies suivantes :
- Wordpress
- PHP
- Développement Javascript (jQuery, ...)
- HTML / CSS
- MySQL
- Vous maitriser parfaitement le responsive CSS
- Vous avez des bases en Photoshop et/ou sketch pour découper les maquettes de sites web si nécessaire.
- Une connaissance d'autres CMS (Prestashop, Drupal...) est un plus
Dans le respect des bonnes pratiques du web, vous serez à l’aise dans l'utilisation de modules tiers (plugins wordpress, frameworks...).
Vous savez travailler en équipe et être force de proposition envers les chefs de projet et l'équipe digitale pour améliorer les projets web, notamment pour le développement de fonctionnalités particulières.
Vous êtes curieux, autonome et rigoureux dans vos développements, la manière d'organiser votre code et la rédaction des spécifications et des livrables techniques.
Vous maîtriser l'anglais technique (documentation etc...).
Type d'emploi : Temps plein, CDI
Expérience:
HTML/CSS: 3 ans (Souhaité)
Informatique: 3 ans (Souhaité)
Développement Web: 3 ans (Souhaité)"
4,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20web&l=Toulouse&radius=100&limit=100&sort=date&vjk=538541dc63a54927,"Développeur ReactJS Toulouse F/H
WEB-ATRIO TOULOUSE - Blagnac (31)","['Blagnac (31)', 'CDI']",Développeur ReactJS Toulouse F/H,WEB-ATRIO TOULOUSE,- Blagnac (31),CDI,null,"Apec.fr - il y a 18 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur web,Toulouse,"Votre mission, si vous l'acceptez :
développer des applications en Front End. Oubliez les frameworks d'il y a 10 ans ! En intégrant notre équipe de WArriors dynamiques et expérimentés, vous vibrerez sur des frameworks modernes comme Angular, ReactJS et bien d'autres encore !
Profil recherché CHEZ NOUS VOUS NE SEREZ PAS UN NUMÉRO !

Vous êtes développeur web (Bac+2 à Bac+5) et vous avez au moins 2 ans d'expérience post-diplôme en ReactJS ?

En bonus, vous avez des connaissances sur une technologie Back End ?

Vous recherchez une société humaine et soucieuse du bien-être de ses collaborateurs ?

Vous êtes motivé(e) et vous aimez relever les défis ?

Devenez Web-atrien(ne) et challengez-vous sur des projets innovants !

LES PLUS ?

Mutuelle prise en charge à 100% - Notes de frais - Week-ends d'entreprise - Soirées et activités mensuelles – Primes
Entreprise Great Place To Work, Happy At Work, Happy Candidates, ou encore BPI France Excellence... Web-atrio, une ESN bienveillante et humaine qui performe !

Vous fuyez les strates hiérarchiques et les jeux d’egos ? Chez nous, on change les codes ! Venez profiter de l’écoute active et de la proximité des team leaders, d’une liberté d’action et d’un mode de travail collaboratif. Montez réellement en compétences sur les dernières technologies, tout en étant un des ambassadeurs de nos valeurs auprès de nos clients."
5,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20web&l=Toulouse&radius=100&limit=100&sort=date&vjk=d91e16cfb73607b5,"Développeur AngularJS/Angular Toulouse F/H
WEB-ATRIO TOULOUSE - Blagnac (31)","['Blagnac (31)', 'CDI']",Développeur AngularJS/Angular Toulouse F/H,WEB-ATRIO TOULOUSE,- Blagnac (31),CDI,null,"Apec.fr - il y a 18 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur web,Toulouse,"Votre mission, si vous l'acceptez :
développer des applications en Front End. Oubliez les frameworks d'il y a 10 ans ! En intégrant notre équipe de WArriors dynamiques et expérimentés, vous vibrerez sur des frameworks modernes comme AngularJS, Angular, ReactJS et bien d'autres encore !
Profil recherché CHEZ NOUS VOUS NE SEREZ PAS UN NUMERO !

Vous êtes développeur web (Bac+2 à Bac+5) et vous avez au moins 2 ans d'expérience post-diplôme en AngularJS et/ou Angular ?

En bonus, vous avez des connaissances en Back ?

Vous recherchez une société humaine et soucieuse du bien-être de ses collaborateurs ? Vous êtes motivé(e) et vous aimez relever les défis ?

Devenez Web-atrien(ne) et challengez-vous sur des projets innovants !

LES PLUS ?

Mutuelle prise en charge à 100% - Notes de frais - Week-ends d'entreprise - Soirées et activités mensuelles – Primes
Entreprise Great Place To Work, Happy At Work, Happy Candidates, ou encore BPI France Excellence... Web-atrio, une ESN bienveillante et humaine qui performe !

Vous fuyez les strates hiérarchiques et les jeux d’egos ? Chez nous, on change les codes ! Venez profiter de l’écoute active et de la proximité des team leaders, d’une liberté d’action et d’un mode de travail collaboratif. Montez réellement en compétences sur les dernières technologies, tout en étant un des ambassadeurs de nos valeurs auprès de nos clients."
6,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20web&l=Toulouse&radius=100&limit=100&sort=date&vjk=206ed2ab8e46de6f,"Développeur PHP/Symfony Toulouse F/H
WEB-ATRIO TOULOUSE - Blagnac (31)","['Blagnac (31)', 'CDI']",Développeur PHP/Symfony Toulouse F/H,WEB-ATRIO TOULOUSE,- Blagnac (31),CDI,null,"Apec.fr - il y a 18 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur web,Toulouse,"Votre mission, si vous l’acceptez :
développer des applications en PHP/Symfony. Oubliez les frameworks d’il y a 10 ans ! En intégrant notre équipe de WArriors dynamiques et expérimentés, vous vibrerez sur des frameworks modernes comme Symfony 2 et 3, AngularJS, Angular et bien d’autres encore !
Profil recherché CHEZ NOUS VOUS NE SEREZ PAS UN NUMERO !

Vous êtes développeur web (Bac+2 à Bac+5) et avez au moins 2 ans d’expérience en PHP/Symfony 2 ?

En bonus, vous gérez en front ?

Vous recherchez une société humaine et soucieuse du bien-être de ses collaborateurs ?

Vous êtes motivé(e) et vous aimez relever les défis ?

Devenez Web-atrien(ne) et challengez-vous sur des projets innovants !

LES PLUS ?

Mutuelle prise en charge à 100% - Notes de frais - Week-ends d'entreprise - Soirées et activités mensuelles – Primes
Entreprise Great Place To Work, Happy At Work, Happy Candidates, ou encore BPI France Excellence... Web-atrio, une ESN bienveillante et humaine qui performe !

Vous fuyez les strates hiérarchiques et les jeux d’egos ? Chez nous, on change les codes ! Venez profiter de l’écoute active et de la proximité des team leaders, d’une liberté d’action et d’un mode de travail collaboratif. Montez réellement en compétences sur les dernières technologies, tout en étant un des ambassadeurs de nos valeurs auprès de nos clients."
7,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20web&l=Toulouse&radius=100&limit=100&sort=date&vjk=3068383a04eb9c30,"Développeur Simulink F/H
CS COMMUNICATION & SYSTEMES - Toulouse (31)","['Toulouse (31)', 'CDI']",Développeur Simulink F/H,CS COMMUNICATION & SYSTEMES,- Toulouse (31),CDI,null,"Apec.fr - il y a 18 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur web,Toulouse,"Pour accompagner la croissance de ses activités, DIGINEXT (filiale de CS) recherche un technicien/ingénieur Modèle - Simulation

Les équipes du pôle Formation & Support aux Opérations de DIGINEXT fournissent aux grands acteurs industriels notamment de l'aéronautique et de la défense, des dispositifs pédagogiques novateurs et motivants, E-Learning 3D, Entraineurs et Simulateurs, ainsi que des systèmes mobiles d'assistance cognitive accroissant la performance des opérateurs sur les tâches d'assemblage, d'inspection ou de maintenance qui leurs sont confiées.

Pour accompagner la croissance de ses activités, DIGINEXT recherche un technicien/ingénieur Modèle - Simulation. À ce poste, vous participerez au développement de modèles de simulations, basé sur de la programmation graphique (enchaînement de briques), sur le logiciel interne Inscape (aspect similaire à Simulink).

Vous contribuerez notamment :
A la création d'un simulateur léger d'hélicoptère

A l'analyse et à la conception et au design de systèmes simplifiés de cet hélicoptère

Au développement de modèles de simulation (programmation visuelle par blocs & scripting LUA)

A la validation, a l'analyse et à la correction de bugs

Nous avons plusieurs postes à pourvoir en CDD et en CDI sur notre site de Toulouse (secteur Cité de l'Espace).
Profil recherché De formation Bac+2 à Bac+5, vous avez au moins 2 années d'expériences en création de modèles avec Simulink. Votre formation/parcours professionnel démontre votre aptitude à modéliser des systèmes complexes par programmation graphique et par Scripting. Vous avez un excellent esprit d'équipe. Vous êtes autonome, rigoureux, curieux et dynamique.

Compétences requises:
Grandes capacités d'analyses, d'abstractions et de conception de systèmes

Modélisation (Matlab - Simulink)

Niveau d'Anglais technique

Compétences techniques appréciées :
Connaissances en systèmes et procédures avions ou hélicoptères

Maîtrise du langage C++ / Qt

Connaissances en développement Web (Javascript, HTML, CSS)

Niveau d'Allemand technique serait un plus

Vous souhaitez aujourd'hui rejoindre une entreprise dynamique et participer à des projets passionnants et à la pointe de la technologie, alors n'hésitez plus, rejoignez-nous !
Entreprise Société jeune, dynamique et en forte croissance, DIGINEXT est reconnue internationalement pour l'excellence de ses produits et de ses activités de R&D. Implantée en France (Aix en Provence, Toulouse et Paris) et très active à l'export, DIGINEXT offre de multiples opportunités de développement, tant professionnel que personnel, pour des talents qui auront l'opportunité de s'épanouir et d'évoluer dans un cadre stimulant et valorisant, au sein de projets passionnants et à la pointe de la technologie. DIGINEXT est une structure à taille humaine (300 personnes) qui mise sur les valeurs de solidarité et d'éthique, la prise d'initiative et l'innovation et s'engage activement en matière d'égalité professionnelle."
8,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20web&l=Toulouse&radius=100&limit=100&sort=date&vjk=8318b3c9f0402e51,"Développeur Python/Django Toulouse F/H
WEB-ATRIO TOULOUSE - Blagnac (31)","['Blagnac (31)', 'CDI']",Développeur Python/Django Toulouse F/H,WEB-ATRIO TOULOUSE,- Blagnac (31),CDI,null,"Apec.fr - il y a 18 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur web,Toulouse,"Votre mission, si vous l'acceptez :
développer des applications en Python. Oubliez les frameworks d'il y a 10 ans ! En intégrant notre équipe de WArriors dynamiques et expérimentés, vous vibrerez sur des frameworks modernes comme Django et bien d'autres encore !
Profil recherché CHEZ NOUS VOUS NE SEREZ PAS UN NUMÉRO !

Vous êtes développeur web (Bac+2 à Bac+5) et vous avez au moins 3 ans d'expérience en Python/Django ?

Vous recherchez une société humaine et soucieuse du bien-être de ses collaborateurs ?

Vous êtes motivé(e) et vous aimez relever les défis ?

Devenez Web-atrien(ne) et challengez-vous sur des projets innovants !

LES PLUS ?

Mutuelle prise en charge à 100% - Notes de frais - Week-ends d'entreprise - Soirées et activités mensuelles – Primes
Entreprise Great Place To Work, Happy At Work, Happy Candidates, ou encore BPI France Excellence... Web-atrio, une ESN bienveillante et humaine qui performe !

Vous fuyez les strates hiérarchiques et les jeux d’egos ? Chez nous, on change les codes ! Venez profiter de l’écoute active et de la proximité des team leaders, d’une liberté d’action et d’un mode de travail collaboratif. Montez réellement en compétences sur les dernières technologies, tout en étant un des ambassadeurs de nos valeurs auprès de nos clients."
9,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20web&l=Toulouse&radius=100&limit=100&sort=date&vjk=5fb21911a2c4bbe5,"Développeur Java/JEE Toulouse F/H
WEB-ATRIO TOULOUSE - Blagnac (31)","['Blagnac (31)', 'CDI']",Développeur Java/JEE Toulouse F/H,WEB-ATRIO TOULOUSE,- Blagnac (31),CDI,null,"Apec.fr - il y a 18 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur web,Toulouse,"Votre mission, si vous l’acceptez :
développer des applications en Java/JEE. Oubliez les frameworks d’il y a 10 ans !

En intégrant notre équipe de WArriors dynamiques et expérimentés, vous vibrerez sur des frameworks modernes comme Spring MVC, Spring Boot et bien d’autres encore !
Profil recherché CHEZ NOUS VOUS NE SEREZ PAS UN NUMERO !

Vous êtes développeur web (Bac+2 à Bac+5) et vous avez au moins 3 ans d’expérience en Java/JEE ?

En bonus, vous gérez en front ?

Vous recherchez une société humaine et soucieuse du bien-être de ses collaborateurs ?

Vous êtes motivé(e) et vous aimez relever les défis ?

Devenez Web-atrien(ne) et challengez-vous sur des projets innovants !

LES PLUS ?

Mutuelle prise en charge à 100% - Notes de frais - Week-ends d'entreprise - Soirées et activités mensuelles – Primes
Entreprise Great Place To Work, Happy At Work, Happy Candidates, ou encore BPI France Excellence... Web-atrio, une ESN bienveillante et humaine qui performe !

Vous fuyez les strates hiérarchiques et les jeux d’egos ? Chez nous, on change les codes ! Venez profiter de l’écoute active et de la proximité des team leaders, d’une liberté d’action et d’un mode de travail collaboratif. Montez réellement en compétences sur les dernières technologies, tout en étant un des ambassadeurs de nos valeurs auprès de nos clients."
