,id,meta1,meta2,titre_poste,entreprise,localisation,contrat,salaire,date_publication,keyword_metier,keyword_localisation,description
0,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20Java&l=Toulouse&radius=100&limit=100&sort=date&advn=4672814242719447&vjk=efca652fdfbdd332,"Developpeur java h/f
Adsearch15 avis - Toulouse (31)",['Toulouse (31)'],Developpeur java h/f,Adsearch,- Toulouse (31),null,null,"Keljob - il y a 2 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur Java,Toulouse,"Aujourd'hui ils complètent leur équipe iT afin de poursuivre le développement des solutions.
Plusieurs missions sont en cours, avec des objectifs à court et moyen termes pouvant s'adapter à vos ambitions personnelle
Basé à Toulouse, au sein d'une structure agile actuellement composée de 4 personnes et sous la responsabilité du directeur technique, vous serez chargé de l'homogénéisation des développements existants et de la mise en œuvre des évolutions futures.

Dans ce cadre, vos missions seront :
Analyse du besoin et rédaction de spécifications fonctionnelles
Développement de nouveaux modules/produits
Consolidation de l'existant et généralisation de bonnes pratiques
Test, déploiement et maintenance de vos développements
Rédaction de documentation et formation des utilisateurs
Participation aux projets PHP7/Symfony4/MySQL
L'environnement technique sera :
Payara 5 (J2EE 8), JSF, MySQL
JavaScript, jQuery, Bootstrap, HTML5/CSS3 avec une ouverture sur un framework JavaScript
De formation Bac+3/5, vous justifiez d'une expérience en développement J2EE significative dans un environnement Glassfish/Payara ou JBoss/Wildfly et bases de données relationnelles.
Vous êtes méthodique, patient, rigoureux, et curieux. Vous avez une sensibilité pour l'optimisation et les performances notamment concernant les bases de données et êtes sensible à la qualité de développement (tests unitaires, fonctionnels, intégration continue...)
Capable de vous adapter facilement à un environnement mouvant, et travailler en autonomie, vous aimez le travail collaboratif. Débutant et autodictacte passionné, n'hésitez pas non plus à nous contacter !
Notre partenaire accompagne le business de ses clients e-commerçants en apportant une suite logicielle unique allant de la gestion de leur stock à la notification et le suivi de la bonne livraison de leurs colis, en passant par l'impression des étiquettes des plus grands transporteurs de ce marché."
1,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20Java&l=Toulouse&radius=100&limit=100&sort=date&vjk=03952503ea8cf426,"Développeur Angular confirmé F/H
HAUBAN - Toulouse (31)","['Toulouse (31)', 'CDI']",Développeur Angular confirmé F/H,HAUBAN,- Toulouse (31),CDI,null,"Apec.fr - il y a 6 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur Java,Toulouse,"Vous aurez comme principales missions :
Répondre aux exigences du client, réaliser un feedback professionnel sur la compréhension du besoin,

Développer une solution pour ses besoins,

Accompagner le client dans les tests, sa montée en compétence dans l’usage, le déploiement…

Vous interviendrez principalement sur :
L’analyse, la conception,

Le développement pour le web et/ou pour l’univers mobile

L’analyse des user stories stockées dans le backlog de sprint

La conception des évolutions nécessaires à l’implémentation des user stories

L’implémentation des user stories
Profil recherché Diplômé(e) d’un BAC+4/5 avec une expérience à ce poste de 3 ans minimum (stage et alternance compris).

Vous maîtrisez les technos suivantes :
JAVA J2EE ; ANGULAR

Vous maîtrisez ces aspects du développement :
l’analyse, la conception ;

le développement pour le web et/ou pour l’univers mobile.
Entreprise Hauban, société de conseils en transformation digitale est à la recherche d'un(e) ""Un(e) développeur/développeuse"" dans le cadre d'un projet de transformation digitale pour un client.

Hauban est une

PME dynamique et passionnée par la transformation digitale.

Notre objectif

: aider les petites entreprises comme les grands groupes internationaux sur des projets intéressants, innovants et surtout travailler en équipe.

Notre ADN

: la bonne humeur, le partage de connaissances, de compétences, le partage des expériences de chacun.

En clair :
Transformation digitale

Projets intéressants

Travail d'équipe

Bonne humeur

Proximité

Accompagnement sur mesure

Management responsabilisant"
2,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20Java&l=Toulouse&radius=100&limit=100&sort=date&vjk=53e98c98e5c2119c,"Stage développement fullstack Toulouse H/F
Ippon Technologies - Toulouse (31)","['Toulouse (31)', 'Stage']",Stage développement fullstack Toulouse H/F,Ippon Technologies,- Toulouse (31),Stage,null,"il y a 17 heures
Signaler cette offre d'emploi",Développeur Java,Toulouse,"@IpponToulouse...
Nous sommes des consultants technophiles situés en plein centre-ville. Ton repère? Nous sommes à côté de l'Alimentation pour les Afterworks et de Perlette pour le goûter!
Nous sommes fans des Ippaperos... que tu vas bientôt découvrir!
Notre job? se faire plaisir sur des projets agiles Java, BigData, DevOps, Cloud
Nos chiffres? 2 ans qu'on est sur Toulouse, 1 an qu'on a commencé à construire une dream team dédiée, beaucoup d'afterworks et de soirées à l'Alimentation : p
Notre prochaine commande? un bureau rien que pour toi car nous venons juste d'emménager et ton accès à Blackbelt pour passer une belt fullstack!
Contexte du projet :
Le projet a pour but d’automatiser l'impression des supports de communication d’une grande enseigne sportive (Porte étiquette, revendications avantages produits, etc). Nous travaillons actuellement sur la prise en charge des balisages électronique pour un rafraichissement automatique des prix en magasin.
Description du sujet de stage:
Au sein d’une équipe pluridisciplinaire, Sympathique et passionnée (Scrum master, PO et 5 développeurs séniors), ton rôle est de concevoir et développer la solution en assurant un code de qualité bien sur ! (TDD, BDD, DDD, Sonar…).
Tu participes également aux Cérémoniaux Scrum et ateliers de conception, épaulé par les meilleurs experts du marché.
L’écosystème dans lequel tu vas évoluer ! :
Java >= 8
Spring boot, Spring Cloud
VueJS
NodeJS + Pupeteer
Docker, Rancher, Jenkins
Gitlab en migration vers Github
#Fullstack #Agile #Craftmanship #BDD #TDD #DDD
Ta mission: tirer profit de ces 6 mois de stage pour te préparer à appréhender le monde passionnant du développement logiciel à nos côtés
Tes forces :
Tu as des connaissances sur une ou plusieurs technologies web (Javascript, Java, HTML, CSS et leurs frameworks) ? Nous aussi !
Tu es curieux et passionné ? tu es au bon endroit !
Tu aimes travailler en équipe et être force de proposition ? cette annonce est faite pour toi !
Tu as envie de travailler sur des projets innovants ? tu es à la bonne enseigne !
Si comme nous, tu es passionné(e) de développement et que tu te retrouves dans nos valeurs #TeamWork #Dépassement #CleanCode... Et Si, tu as envie d’apprendre et de contribuer en équipe au développement d’un projet innovant
...Alors rejoins la #Team Ippon !
Type d'emploi : Stage
Expérience:
stage développement fullstack toulouse h/f ou similaire: 1 an (Souhaité)"
3,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20Java&l=Toulouse&radius=100&limit=100&sort=date&vjk=5fb21911a2c4bbe5,"Développeur Java/JEE Toulouse F/H
WEB-ATRIO TOULOUSE - Blagnac (31)","['Blagnac (31)', 'CDI']",Développeur Java/JEE Toulouse F/H,WEB-ATRIO TOULOUSE,- Blagnac (31),CDI,null,"Apec.fr - il y a 19 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur Java,Toulouse,"Votre mission, si vous l’acceptez :
développer des applications en Java/JEE. Oubliez les frameworks d’il y a 10 ans !

En intégrant notre équipe de WArriors dynamiques et expérimentés, vous vibrerez sur des frameworks modernes comme Spring MVC, Spring Boot et bien d’autres encore !
Profil recherché CHEZ NOUS VOUS NE SEREZ PAS UN NUMERO !

Vous êtes développeur web (Bac+2 à Bac+5) et vous avez au moins 3 ans d’expérience en Java/JEE ?

En bonus, vous gérez en front ?

Vous recherchez une société humaine et soucieuse du bien-être de ses collaborateurs ?

Vous êtes motivé(e) et vous aimez relever les défis ?

Devenez Web-atrien(ne) et challengez-vous sur des projets innovants !

LES PLUS ?

Mutuelle prise en charge à 100% - Notes de frais - Week-ends d'entreprise - Soirées et activités mensuelles – Primes
Entreprise Great Place To Work, Happy At Work, Happy Candidates, ou encore BPI France Excellence... Web-atrio, une ESN bienveillante et humaine qui performe !

Vous fuyez les strates hiérarchiques et les jeux d’egos ? Chez nous, on change les codes ! Venez profiter de l’écoute active et de la proximité des team leaders, d’une liberté d’action et d’un mode de travail collaboratif. Montez réellement en compétences sur les dernières technologies, tout en étant un des ambassadeurs de nos valeurs auprès de nos clients."
4,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20Java&l=Toulouse&radius=100&limit=100&sort=date&vjk=a8b74255dec21917,"Développeur Java (H/F)
Partitio4 avis - Toulouse (31)",['Toulouse (31)'],Développeur Java (H/F),Partitio,- Toulouse (31),null,null,"il y a 22 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur Java,Toulouse,"PARTITIO est spécialisée en stratégie et optimisation des systèmes d’information des organisations (PME, ETI, Grands Comptes).

Nos équipes interviennent chez nos clients sur 3 domaines d’expertises : le Cloud Privé (OVH), l’intégration de logiciel de gestion de contenu : l’ECM OnBase d’Hyland Software et l'Assistance au cœur des projets

Rejoindre le groupe d’intervention en Assistance Technique c’est représenter Partitio directement chez nos clients, être au cœur des nouvelles technologies en construisant votre parcours professionnel, le tout dans une ambiance centrée sur l’échange.

Vos missions et responsabilités si vous l’acceptez :

Au sein d'une équipe passionnée, et sous la responsabilité d'un chef de projet vous participez activement à l'ensemble des couches de l'architecture

Vos principales missions :
A partir d’un brief technique et/ou fonctionnel, vous serez chargé de développer/refondre les applications recommandés aux clients,
Vous prendrez part à la veille globale de l’agence, notamment sur les sujets liés à l’innovation.
Le profil recherché ?
Vous maîtrisez les langages JAVA sur framework Springboot
Expérience en développement
Connaissances des méthodes Agiles (Scrum)
Vous êtes curieux, passionné et débrouillard pour rechercher l’information et apporter des solutions IT.
Vous disposez de bonnes capacités organisationnelles, vous faites preuve de réactivité et de dynamisme.

Si vous pensez répondre à nos attentes, munissez-vous de votre souris et répondez-nous au plus vite.

Rejoindre Partitio, c’est avoir la certitude de s’épanouir dans un environnement réactif et propice à l’évolution !"
5,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20Java&l=Toulouse&radius=100&limit=100&sort=date&vjk=9612ed9636e54920,"Développeur Java F/H
PARTITIO4 avis - Toulouse (31)","['Toulouse (31)', 'CDI']",Développeur Java F/H,PARTITIO,- Toulouse (31),CDI,null,"Apec.fr - il y a 19 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur Java,Toulouse,"Vos missions et responsabilités si vous l’acceptez :
Au sein d'une équipe passionnée, et sous la responsabilité d'un chef de projet vous participez activement à l'ensemble des couches de l'architecture

Vos principales missions :
A partir d’un brief technique et/ou fonctionnel, vous serez chargé de développer/refondre les applications recommandés aux clients,

Vous prendrez part à la veille globale de l’agence, notamment sur les sujets liés à l’innovation.
Profil recherché Le profil recherché ?

Vous maîtrisez les langages JAVA sur framework Springboot

Expérience en développement

Connaissances des méthodes Agiles (Scrum)

Vous êtes curieux, passionné et débrouillard pour rechercher l’information et apporter des solutions IT.

Vous disposez de bonnes capacités organisationnelles, vous faites preuve de réactivité et de dynamisme.

Si vous pensez répondre à nos attentes, munissez-vous de votre souris et répondez-nous au plus vite.

Rejoindre Partitio, c’est avoir la certitude de s’épanouir dans un environnement réactif et propice à l’évolution !
Entreprise PARTITO

est spécialisée en stratégie et optimisation des systèmes d’information des organisations (PME, ETI, Grands Comptes)

Nos équipes interviennent chez nos clients sur 3 domaines d’expertises : le Cloud Privé (OVH), l'assistance au cœur des projets et l’intégration de logiciel de gestion de contenu : l’ECM OnBase d’Hyland Software.

Rejoindre le groupe d’intervention en Assistance Technique c’est : représenter Partitio directement chez nos clients, être au cœur des dernières technologies mais également profiter d'être inscrit d'un parcours professionnel, le tout dans une ambiance centrée sur l’échange !"
6,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20Java&l=Toulouse&radius=100&limit=100&sort=date&vjk=784bb7eceb32c52c,"Développeur Java Script Python F/H
SOCIETE GESER BEST - Toulouse (31)","['Toulouse (31)', 'CDI']",Développeur Java Script Python F/H,SOCIETE GESER BEST,- Toulouse (31),CDI,null,"Apec.fr - il y a 19 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur Java,Toulouse,"Nous recherchons pour le compte de l'un de nos clients un(e) DEVELOPPEUR JAVA SCRIPT PYTHON (H/F)

Poste et missions :
Sous l’autorité du Directeur de projet, vous intégrerez une équipe en tant que développeur intégrateur et participerez à la mise en place d'une solution technique.

Missions :
Développement et validation d’analyses de données d’essais
Analyse des besoins
Rédaction de spécifications logicielles
Conception et mise en place de l’architecture logicielle
Développement des modules calcul et graphiques
Rédaction du plan de tests et réalisation des tests associés
Le poste est à pourvoir sur Toulouse et la rémunération est négociable selon le profil et l’expérience.
Profil recherché De formation supérieure, (Bac +5) en informatique, vous justifiez d’une expérience significative et opérationnelle de 3 ans minimum en développement, conception de systèmes techniques, idéalement dans le secteur aérospatial.

PRE-REQUIS :
Développement et intégration en l
angage JAVA SCRIPT et PYTHON

Connaissance
: Docker, méthodes AGILE et Scrum

-

Environnent Linux
Entreprise GESER BEST

Depuis plus de 25 ans GESER-BEST (9 agences en France/+ de 200 collaborateurs) accompagne ses clients de l’ingénierie à l’assistance technique, et nos ingénieurs et techniciens mettent au service des entreprises leur expérience pour la conduite et la réalisation des projets.

La dimension de notre entreprise et son organisation répondent aux attentes de nos clients en matière de réactivité et de qualité de nos prestations."
7,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20Java&l=Toulouse&radius=100&limit=100&sort=date&vjk=94b7e9666e0054ea,"Développeur Sénior Java/ J2E h/f
Talentup - Toulouse (31)","['Toulouse (31)', 'CDI']",Développeur Sénior Java/ J2E h/f,Talentup,- Toulouse (31),CDI,null,"il y a 22 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur Java,Toulouse,"VIDAL ASSOCIATES Consulting & Search, référence dans le recrutement de cadres spécialistes et de dirigeants en France et à l'international, recrute pour son client en CDI un Développeur Sénior Java/J2E h/f basé à Toulouse, 31.

Vous souhaitez booster votre carrière et votre rémunération ?
Vous souhaitez rejoindre un client final sans renoncer à travailler sur une variété de missions et à développer vos compétences techniques ?
Vous avez envie de partager votre passion pour les nouvelles technologies dans une ambiance « 2.0 » ?

« 100% made in Toulouse », notre client est un éditeur de logiciel particulièrement innovant.
Entreprise à taille humaine (250 collaborateurs), ils sont LES leaders sur leur segment de marché en France (70% de part de marché) et sont également présent à l'international sur plusieurs continents.
Leur communauté de développeurs n'a de cesse de s'enrichir de nouvelles personnalités, rejoignez-les!

Développeur Java / Jee/ Spring f/h
Basé à 15 min de Toulouse Centre
CDI client final - éditeur de logiciel
Autres postes à pourvoir : fullstack, scrum master, lead developer, chef de projets…

Votre mission, au sein de la communauté des développeurs :
Changer régulièrement de projet
Développer les nouvelles fonctionnalités de nos offres logicielles
Maintenir les briques logicielles
Participer au maintien/évolution des configurations de déploiement
Effectuer des tâches de maintenance évolutive

Le stack technique
Backend : Java, JEE, Spring, Batch, API REST, Apache Camel, IBM Workload Scheduler (IWS), Script Bash
Base de données : MySQL/MariaDB, Elasticsearch
Front : HTLM5, CSS3, ReactJS
Méthodologies : Agile (Scrum), DevOps, Amélioration continue
Forge : Jenkins, GitLab, Nexus, Sonar, Selenium, Ansible
Liste non exhaustive

Votre profil
Vous possédez un diplôme en informatique de type école d'ingénieur (ENSEIITH…) ou universitaire (MIAGE…)
Vous justifiez d'une expérience significative de 4 à 5 ans en conception et développement Java (JEE ou Spring)
Vous êtes passionné par les nouvelles technologies et n'avez de cesse de développer vos compétences
Vous aimez résoudre les défis techniques et intellectuels

Cette offre d'emploi en CDI d'un Développeur Senior Java/J2E h/f basé à Toulouse (31) correspond à votre recherche et à votre profil?

Afin d'étudier votre candidature avec attention, nous vous remercions de l'adresser à VIDAL ASSOCIATES Consulting & Search, sous la référence Vb9912U en déposant votre dossier sur notre site www.talentup.com ou de l'envoyer par email à vb11151u-142@talentup.net"
8,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20Java&l=Toulouse&radius=100&limit=100&sort=date&vjk=e3fc82878e049157,"Développeur Sénior Java/ J2E h/f
Vidal Associates5 avis - Toulouse (31)",['Toulouse (31)'],Développeur Sénior Java/ J2E h/f,Vidal Associates,- Toulouse (31),null,null,"il y a 18 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur Java,Toulouse,"VIDAL ASSOCIATES Consulting & Search, référence dans le recrutement de cadres spécialistes et de dirigeants en France et à l'international, recrute pour son client en CDI un Développeur Sénior Java/J2E h/f basé à Toulouse, 31.

Vous souhaitez booster votre carrière et votre rémunération ?
Vous souhaitez rejoindre un client final sans renoncer à travailler sur une variété de missions et à développer vos compétences techniques ?
Vous avez envie de partager votre passion pour les nouvelles technologies dans une ambiance « 2.0 » ?

« 100% made in Toulouse », notre client est un éditeur de logiciel particulièrement innovant.
Entreprise à taille humaine (250 collaborateurs), ils sont LES leaders sur leur segment de marché en France (70% de part de marché) et sont également présent à l'international sur plusieurs continents.
Leur communauté de développeurs n'a de cesse de s'enrichir de nouvelles personnalités, rejoignez-les!


Basé à 15 min de Toulouse Centre
CDI client final - éditeur de logiciel
Autres postes à pourvoir : fullstack, scrum master, lead developer, chef de projets…

Votre mission, au sein de la communauté des développeurs :
Changer régulièrement de projet
Développer les nouvelles fonctionnalités de nos offres logicielles
Maintenir les briques logicielles
Participer au maintien/évolution des configurations de déploiement
Effectuer des tâches de maintenance évolutive

Le stack technique
Backend : Java, JEE, Spring, Batch, API REST, Apache Camel, IBM Workload Scheduler (IWS), Script Bash
Base de données : MySQL/MariaDB, Elasticsearch
Front : HTLM5, CSS3, ReactJS
Méthodologies : Agile (Scrum), DevOps, Amélioration continue
Forge : Jenkins, GitLab, Nexus, Sonar, Selenium, Ansible
Liste non exhaustive

Votre profil
Vous possédez un diplôme en informatique de type école d'ingénieur (ENSEIITH…) ou universitaire (MIAGE…)
Vous justifiez d'une expérience significative de 4 à 5 ans en conception et développement Java (JEE ou Spring)
Vous êtes passionné par les nouvelles technologies et n'avez de cesse de développer vos compétences
Vous aimez résoudre les défis techniques et intellectuels

Cette offre d'emploi en CDI d'un Développeur Senior Java/J2E h/f basé à Toulouse (31) correspond à votre recherche et à votre profil?

Afin d'étudier votre candidature avec attention, nous vous remercions de l'adresser à VIDAL ASSOCIATES Consulting & Search, sous la référence Vb9912U en déposant votre dossier sur notre site www.talentup.com ou de l'envoyer par email à vb11151u-77@talentup.net"
9,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20Java&l=Toulouse&radius=100&limit=100&sort=date&vjk=c142a21f14160fb1,"DEVELOPPEUR LOGICIEL F/H
CESI43 avis - Labège (31)","['Labège (31)', 'CDI']",DEVELOPPEUR LOGICIEL F/H,CESI,- Labège (31),CDI,null,"Apec.fr - il y a 19 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur Java,Toulouse,"Descriptif du poste :
Après une période de formation d’environ 11 semaines en partenariat avec le CESI à Toulouse vous intégrerez l’entité Consulting Information Systems (CIS) d’ALTRAN sur un poste de Développeur Logiciel et interviendrez sur nos différents projets réalisés pour des clients grands comptes.

Nous recherchons actuellement plusieurs profils pour notre Digital Factory interne, qui auront comme principales missions :

Participer à la phase de spécifications techniques et fonctionnelles

Elaborer l'architecture logicielle et définir les solutions techniques

Développer en environnement web (HTML, CSS, Angular, etc.,) ou entreprise (Java/JEE, etc.)

Effectuer les tests unitaires et d'intégration

Participer à la phase de support et de mise en production des applications.
Profil recherché Vous avez un profil technique à partir de BAC+3 avec une première expérience en développement à BAC+5 (Ingénieur/universitaire) de filière scientifique.

Vous avez idéalement une première expérience en développement et conception.

Vous avez des compétences techniques supplémentaires qui seraient appréciées :

Connaissances des langages Java, PHP, .net, Perl ou Python

Pratique des méthodologies Agile (Scrum)

Pratique Devops

Compétences front-end Javascript (Angular, React)

Connaissances des bases de données SQLServeur et des requêtes SQL

Vous avez une forte appétence pour le monde de l'informatique et du service, et vous êtes motivé(e) pour apprendre un métier en plein essor.

Alors cette offre vous est destinée !

Votre capacité d'adaptation, votre autonomie, votre sens du service ainsi que vos qualités relationnelles seront vos atouts pour réussir vos missions et évoluer au sein de notre entreprise.

Ces postes sont ouverts aux personnes en situation de Handicap à compétences égales.
Entreprise Vous êtes en recherche d’emploi ?

Vous avez une première expérience en développement et conception et vous souhaitez orienter votre carrière vers une filière porteuse (adaptée au marché de votre région) ?

Alors nous vous proposons d’intégrer un programme de formation sur une durée de 3 mois afin de consolider vos connaissances et d’acquérir des compétences clés dans le domaine du développement informatique et de permettre ainsi une intégration rapide dans l’entreprise.

Cette formation qui débute le lundi 02 décembre 2019 grâce au dispositif d’une Préparation Opérationnelle à l’Emploi Individuelle (POEI) sur le métier de « Développeur Logiciel H/F » avec notre entreprise partenaire, ALTRAN.

Durant cette formation, vous aborderez les thématiques suivantes :

Développement Front,
Développement Back,
Tests intégration, techniques et fonctionnels,
Sensibilisation aux méthodologies Agile,
Maitrise des outils DevOps,
Concepts et enjeux du Big Data,
Etc.
Passionné(e) par les nouvelles technologies, vous contribuerez ainsi au succès de nos clients dans leurs activités de leurs Systèmes d'Information dans un marché en pleine mutation. Vous participerez à des projets innovants en intégrant des nouveaux usages basés sur la Mobilité, le Cloud et le Big Data"
