,id,meta1,meta2,titre_poste,entreprise,localisation,contrat,salaire,date_publication,keyword_metier,keyword_localisation,description
0,https://www.indeed.fr/emplois?q=Devops&l=Toulouse&radius=100&limit=100&sort=date&advn=6251826015201314&vjk=97324f33e51e8117,"Ingenieur Devops H/F
SOPRA STERIA380 avis - Toulouse (31)",['Toulouse (31)'],Ingenieur Devops H/F,SOPRA STERIA,- Toulouse (31),null,null,"StepStone FR - il y a 1 heure
- Continuer pour postuler
Signaler cette offre d'emploi",Devops,Toulouse,"Sopra Steria, fort de près de 44 000 collaborateurs dans plus de 25 pays, propose l'un des portefeuilles d'offres les plus complets du marché : conseil, intégration de systèmes, édition de solutions métier, infrastructure management et business process services.
En forte croissance, le Groupe accueillera 3 800 talents en 2019 en France pour participer à ses projets d'envergure sur l'ensemble de ses métiers.

La division « Aeroline » regroupe nos activités auprès de grands acteurs de l'Aéronautique et du Spatial avec une couverture internationale. Nos expertises principales : le manufacturing 4.0, la maintenance et les services qui englobent nos expertises autour de l'ingénierie et du « Product Lifecycle Management ». Sopra Steria est un acteur incontournable de la transformation et de la performance de la chaîne de valeur de nos clients.

Vos responsabilités
Vous souhaitez être acteur de la transformation digitale ? Rejoignez la société d'ingénieurs entrepreneurs qui saura vous confier les 1er rôles.

Accélérez le développement de votre expertise et de vos talents dans une entreprise qui valorise l'entreprenariat et la dynamique du collectif.
Notre groupe, leader du numérique en Europe, vous propose de participer à des projets innovants (Big Data, Mobilité, Objets connectés,...) pour les plus grandes entreprises de l'Aéronautique et du Spatial.

Nous réalisons une part croissante de nos projets en mode AGILE, synonyme de proximité client, et dans un contexte international, riche en challenges et opportunités (équipes projet distribuées, sites clients répartis en Europe et dans le monde).

Pour accompagner notre forte croissance régionale, nous recherchons un(e) ingénieur Devops qui sera intégré(e) aux équipes de la Production informatique.

Vous interviendrez sur la mise en oeuvre de l'automatisation des chaines d'intégration et de déploiement continue ainsi que sur l'industrialisation de la production informatique en général. Dans ce cadre la vôtre rôle recouvrira différents types d'activités. Ainsi, vous serez amené(e) à :
Installer, administrer et faire évoluer les différentes solutions d'automatisation
Automatiser et orchestrer les différentes chaines d'intégration continue, de compilation et de livraison, et contribuer à l'automatisation des actes d'administration
Automatiser le déploiement et la configuration des systèmes et la configuration des applications.
Assurer un support aux utilisateurs des plates-formes d'intégration continue et de déploiement
Documenter les processus mis en place et assurer les formations nécessaires
Au-delà de vos compétences techniques, vous participerez à la création et diffusion d'une culture DevOps et la mise en place de nouvelles méthodes de travail et d'interaction entre production et études.

Vous serez amené(e) à travailler sur des environnements techniques en pleine transformation, notamment Linux, AIX, VMware, Java, Ruby, Bash, Nagios, Centreon, Elasticsearch/Kibana, avec un focus particulier sur Docker, Openstack, Git/GitLabs, Puppet, MCollective, Foreman, Nexus, Jenkins, Jira.

Notre approche end to end vous permettra d'intégrer des cross functional team, et d'évoluer vers des thématiques innovantes telles que la Mobilité, le Big Data, le Cloud. Vous serez incité à développer votre expertise à travers des mises en situations progressives et un cursus de formation adapté, tant sur nos méthodes que sur les technologies. Par ailleurs, il est également possible d'évoluer vers des postes de Chef de projets, Experts, Architectes.

Grâce à notre entité formation, la Sopra Steria Group Academy, vous serez formé(e) au contexte de nos clients, à nos processus qualité et méthode et aurez l'opportunité d'accroître vos connaissances techniques.

Votre profil
De formation BAC +5 (école d'Ingénieurs ou universitaire), vous disposez d'une première expérience Dans un environnement full Devops ou en y intégrant les outils Devops.
Vous possédez une bonne maitrise des outils d'intégration tels que les systèmes de gestion de configuration, ainsi que les outils d'intégration continue.
Une connaissance des langages de programmation (C++, Java, .NET) sera grandement appréciée.

La maîtrise de l'anglais est indispensable.

A compétences égales, tous nos postes sont ouverts aux personnes en situation de handicap."
1,https://www.indeed.fr/emplois?q=Devops&l=Toulouse&radius=100&limit=100&sort=date&vjk=5e85397ee4242fa4,"Développeur/se Mobile pour applications fort trafic (H/F)
TechTalent.fr - Toulouse (31)","['Toulouse (31)', 'CDI']",Développeur/se Mobile pour applications fort trafic (H/F),TechTalent.fr,- Toulouse (31),CDI,null,"il y a 2 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Devops,Toulouse,"TechTalent est une agence de recrutement de compétences techs en freelance ou CDI. Nous sommes spécialisés sur les missions et projets techniques pour les talents et les entreprises qui aiment la tech (stacks Web/Mobile, IA, Big Data et Devops), les belles applis et les users heureux ;).

Nous sélectionnons pour Brico Privé un(e) dev senior PHP/Symfony pour contribuer à l'évolution d'une plateforme utilisée aujourd'hui par les 7 millions de membres.


Brico Privé permet au plus grand nombre l'accès à du matériel de grande marque et de qualité professionnelle à moindre coût, avec une expérience client simple, conviviale et irréprochable. Devenu un acteur incontournable du e-commerce en France, Brico Privé développe aujourd'hui son activité en Espagne, en Italie et au Portugal. En moins de 10 ans, Brico Privé c'est un chiffre d'affaire de près de 100 millions d'euros.

Pour en savoir plus sur Brico Privé: http://bit.ly/2MOLLjg
Description du poste
Le(la) dev Mobile est intégré(e) au sein de la team tech de Brico Privé, rattachée au CTO. La mission de la team tech est de faire évoluer l'architecture technique pour soutenir la croissance très forte de la société. Le poste est basé à l'Union.

Votre mission:
Assurer le développement et le passage en production des applications mobiles (React Native à ce jour),
Bâtir la roadmap technique d'un socle commun à toutes les applications,
Interragir avec l'équipe Brico Privé pour assurer une expérience utilisateur optimale.

L'architecture est à base de micro-services et le stack technique, en constante évolution, s'appuie sur :
Node.js, React et React Native,
Mirakl, SQL, Prestashop & PHP (pour le legacy),
Terraform, Python & AWS pour l'infra real time analytics.
L'entreprise étant en très forte croissance, les perspectives sont nombreuses. De nouvelles opportunités s'ouvrent très régulièrement en interne.
La rémunération sera à discuter en fonction de votre profil et expériences, et vous aurez accès à l'ensemble des avantages de l'entreprise.

Le processus de sélection des candidatures démarre par un entretien technique avec TechTalent puis avec l'équipe Brico Privé.
Profil recherché
Vous jouez en équipe et aimez construire des produits utilisés. Vous connaissez bien React Native, Node.js et les architectures découplées RESTful. Vous êtes orienté(e) développement front, autonome, vous possédez des capacités d'analyse et de synthèse ainsi qu'un très bon relationnel.

Vous êtes à l'aise avec le passage fréquent en prod d'applications mobiles avec des millions d'utilisateurs. Vous êtes précis(e) et attaché(e) à une gestion souple mais rigoureuse du cycle de vie de vos applications et du socle commun.

Ambition, solidarité, adaptation et esprit d'équipe caractérisent le mode de fonctionnement des équipes de Brico Privé. On bosse, on grandit, on s'amuse et on avance ensemble. Si vous vous reconnaissez dans les valeurs et que vous cherchez sur Toulouse un projet d'envergure pour continuer de progresser, c'est le moment de candidater.

L'équipe saura s'adapter à votre profil et vos envies. A vos candidatures!"
2,https://www.indeed.fr/emplois?q=Devops&l=Toulouse&radius=100&limit=100&sort=date&vjk=fac9392b20661878,"Dev Senior PHP/Symfony pour plateforme digitale haute performance
TechTalent.fr - Toulouse (31)","['Toulouse (31)', 'CDI']",Dev Senior PHP/Symfony pour plateforme digitale haute performance,TechTalent.fr,- Toulouse (31),CDI,null,"il y a 2 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Devops,Toulouse,"TechTalent est une agence de recrutement de compétences techs en freelance ou CDI. Nous sommes spécialisés sur les missions et projets techniques pour les talents et les entreprises qui aiment la tech (stacks Web/Mobile, IA, Big Data et Devops), les belles applis et les users heureux ;).

Nous sélectionnons pour Brico Privé un(e) dev senior PHP/Symfony pour contribuer à l'évolution d'une plateforme utilisée aujourd'hui par les 7 millions de membres.

Brico Privé c'est l'histoire de deux fondateurs, Julien Boué et Marc Leverger, de 150 collaborateurs et plus de 7 millions de membres qui se rencontrent tous les jours sur les sites BricoPrive.com, sur Racetools.fr ou Noova.co.

Brico Privé permet au plus grand nombre l'accès à du matériel de grande marque et de qualité professionnelle à moindre coût, avec une expérience client simple, conviviale et irréprochable. Devenu un acteur incontournable du e-commerce en France, Brico Privé développe aujourd'hui son activité en Espagne, en Italie et au Portugal. En moins de 10 ans, Brico Privé c'est un chiffre d'affaire de près de 100 millions d'euros.

Pour en savoir plus sur Brico Privé: http://bit.ly/2MOLLjg
Description du poste
Le(la) dev PHP/Symfony Senior est intégré(e) au sein de la team tech de Brico Privé, rattachée au CTO. La mission de la team tech est de faire évoluer l'architecture technique pour soutenir la croissance très forte de la société et basculer vers une architecture full cloud/micro-services. Le poste est basé à l'Union.

Votre mission:
Assurer le développement et le passage en production des applis PHP,
Interragir avec l'équipe Brico Privé pour assurer une expérience utilisateur optimale.

L'architecture est à base de micro-services et le stack technique, en constante évolution, s'appuie sur :
Mirakl & Prestashop,
PHP, Node.js, React et React Native,
Terraform, Python & AWS pour l'infra real time analytics

L'entreprise étant en très forte croissance, les perspectives sont nombreuses. De nouvelles opportunités s'ouvrent très régulièrement en interne.

La rémunération sera à discuter en fonction de votre profil et expériences, et vous aurez accès à l'ensemble des avantages de l'entreprise.

Le processus de sélection des candidatures démarre par un entretien technique avec TechTalent puis avec l'équipe Brico Privé.
Profil recherché
Vous jouez en équipe et aimez construire des produits utilisés. Après quelques années d'expérience, vous connaissez bien PHP, Symfony et les architectures découplées RESTful. Vous êtes orienté(e) développement full stack, autonome, vous possédez des capacités d'analyse et de synthèse ainsi qu'un très bon relationnel.

Vous êtes à l'aise avec le passage fréquent en prod d'applications web avec des millions d'utilisateurs. Vous êtes précis(e) et attaché(e) à une gestion souple mais rigoureuse du cycle de vie de vos applications et du socle commun.

Ambition, solidarité, adaptation et esprit d'équipe caractérisent le mode de fonctionnement des équipes de Brico Privé. On bosse, on grandit, on s'amuse et on avance ensemble. Si vous vous reconnaissez dans les valeurs et que vous cherchez sur Toulouse un projet d'envergure pour continuer de progresser, c'est le moment de candidater.

L'équipe saura s'adapter à votre profil et vos envies. A vos candidatures!"
3,https://www.indeed.fr/emplois?q=Devops&l=Toulouse&radius=100&limit=100&sort=date&vjk=075d0d0cb112ab2c,"Ingénieur DevOps F/H
OPEN99 avis - Toulouse (31)","['Toulouse (31)', 'CDI']",Ingénieur DevOps F/H,OPEN,- Toulouse (31),CDI,null,"Apec.fr - il y a 20 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Devops,Toulouse,"Pour notre agence de Toulouse, nous recherchons des profils souhaitant développer la culture DEVOPS et Cloud. Le profil idéal recherché est un :

Ingénieur DevOps H/F

Vos missions seront :
Expertise DevOps permettant le lien entre les équipes de développement, de recette et d'exploitation sur différents projets

Automatiser les systèmes d'intégration, de déploiements continus, les mises à jour et la supervision

Analyser et résoudre les anomalies liées à la performance et à la stalabilité des systèmes

Assurer un maintien en condition opérationnelle et un suivi des performances des plateformes d'intégration continue

Accompagner la transformation des métiers d'exploitations vers du Cloud Computing, vers le concept comme « software Defined data center » en assurant la mise en place de technologies innovantes telles que Varnish, ElasticSearch, AWS, Docker, Puppet, Ansible

Réalisation de la conteneurisation d'offres de services pour différentes applications

Proposer de nouvelles pratiques / outils assurant la fiabilité et la stabilité des systèmes.
Profil recherché Vous avez une ou plusieurs de ces compétences : Jenkins, GitHub, Gitlab, Python, Jira, AWS, Varnish, Docker, Ansible.

Ce projet vous intéresse ? Vous croyez en DevOps ? Vous pensez avoir les compétences techniques et humaines pour le mener à bien ? Venez nous rencontrer !

Open, 3775 collaborateurs répartis en France (16 implantations régionales) ainsi qu'au Luxembourg, Pays-Bas et Roumanie.
Entreprise Rejoignez les équipes d'Open* pour concevoir et intégrer les solutions innovantes de demain !

Nous accompagnons au quotidien les entreprises et les organisations dans leurs enjeux de transformation industrielle et digitale. Notre ambition : le faire avec vous.

Parce que l'humain est au cœur de notre stratégie, nous pouvons offrir à chacun un cadre professionnel stimulant, collaboratif et ouvert sur l'avenir.

Parce que votre talent mérite notre engagement, créons ensemble la différence !"
4,https://www.indeed.fr/emplois?q=Devops&l=Toulouse&radius=100&limit=100&sort=date&vjk=d40fe4f98f61f81f,"Stage Data Toulouse H/F
Ippon Technologies - Toulouse (31)","['Toulouse (31)', 'Stage']",Stage Data Toulouse H/F,Ippon Technologies,- Toulouse (31),Stage,null,"il y a 19 heures
Signaler cette offre d'emploi",Devops,Toulouse,"@IpponToulouse...
Nous sommes des consultants technophiles situés en plein centre-ville. Ton repère? Nous sommes à côté de l'Alimentation pour les Afterworks et de Perlette pour le goûter!
Nous sommes fans des Ippaperos... que tu vas bientôt découvrir!
Notre job? se faire plaisir sur des projets agiles Java, BigData, DevOps, Cloud
Nos chiffres? 2 ans qu'on est sur Toulouse, 1 an qu'on a commencé à construire une dream team dédiée, beaucoup d'afterworks et de soirées à l'Alimentation : p
Notre prochaine commande? un bureau rien que pour toi car nous venons juste d'emménager et ton accès à Blackbelt pour passer une belt Data!
Le contexte du projet :
Nous souhaitons faire évoluer le data portal ippon développé lors d’un précédent stage pour l’enrichir avec l’ingestion et la mise à disposition d’open data sur les entreprises.
Nous souhaitons également pouvoir croiser ces données avec des données issues de Linkedin.
Ton rôle :
Ton rôle sera de monter en compétence sur la stack technologique du data portal ippon (Fullstack Serverless : AWS, Lambda en Python, React), de choisir les composants complémentaires nécessaires (machine learning) et de réaliser les développements et la promotion du projet.
L’écosystème dans lequel tu vas évoluer ! :
AWS
Python
React
Terrraform
Librairies de machine learning à identifier
#Data #Cloud #AWS #Python #ReactJS #Serverless
Ta mission: tirer profit de ces 6 mois de stage pour te préparer à appréhender le monde passionnant de la data à nos côtés!
Tes forces :
Tu es à très à l’aise en Python et souhaite monter en compétence sur les technologies Cloud ?
Tu es curieux et passionné ? Tu es au bon endroit !
Tu aimes travailler en équipe et être force de proposition ? Cette annonce est faite pour toi !
Tu as envie de travailler sur des projets innovants ? Tu es à la bonne enseigne !
Si comme nous, tu es passionné(e) de développement et que tu te retrouves dans nos valeurs #TeamWork #Dépassement #CleanCode... Et Si, tu as envie d’apprendre et de contribuer en équipe au développement d’un projet innovant
...Alors rejoins la #Team Ippon !
Type d'emploi : Stage
Expérience:
stage data toulouse h/f ou similaire: 1 an (Souhaité)"
5,https://www.indeed.fr/emplois?q=Devops&l=Toulouse&radius=100&limit=100&sort=date&vjk=53e98c98e5c2119c,"Stage développement fullstack Toulouse H/F
Ippon Technologies - Toulouse (31)","['Toulouse (31)', 'Stage']",Stage développement fullstack Toulouse H/F,Ippon Technologies,- Toulouse (31),Stage,null,"il y a 19 heures
Signaler cette offre d'emploi",Devops,Toulouse,"@IpponToulouse...
Nous sommes des consultants technophiles situés en plein centre-ville. Ton repère? Nous sommes à côté de l'Alimentation pour les Afterworks et de Perlette pour le goûter!
Nous sommes fans des Ippaperos... que tu vas bientôt découvrir!
Notre job? se faire plaisir sur des projets agiles Java, BigData, DevOps, Cloud
Nos chiffres? 2 ans qu'on est sur Toulouse, 1 an qu'on a commencé à construire une dream team dédiée, beaucoup d'afterworks et de soirées à l'Alimentation : p
Notre prochaine commande? un bureau rien que pour toi car nous venons juste d'emménager et ton accès à Blackbelt pour passer une belt fullstack!
Contexte du projet :
Le projet a pour but d’automatiser l'impression des supports de communication d’une grande enseigne sportive (Porte étiquette, revendications avantages produits, etc). Nous travaillons actuellement sur la prise en charge des balisages électronique pour un rafraichissement automatique des prix en magasin.
Description du sujet de stage:
Au sein d’une équipe pluridisciplinaire, Sympathique et passionnée (Scrum master, PO et 5 développeurs séniors), ton rôle est de concevoir et développer la solution en assurant un code de qualité bien sur ! (TDD, BDD, DDD, Sonar…).
Tu participes également aux Cérémoniaux Scrum et ateliers de conception, épaulé par les meilleurs experts du marché.
L’écosystème dans lequel tu vas évoluer ! :
Java >= 8
Spring boot, Spring Cloud
VueJS
NodeJS + Pupeteer
Docker, Rancher, Jenkins
Gitlab en migration vers Github
#Fullstack #Agile #Craftmanship #BDD #TDD #DDD
Ta mission: tirer profit de ces 6 mois de stage pour te préparer à appréhender le monde passionnant du développement logiciel à nos côtés
Tes forces :
Tu as des connaissances sur une ou plusieurs technologies web (Javascript, Java, HTML, CSS et leurs frameworks) ? Nous aussi !
Tu es curieux et passionné ? tu es au bon endroit !
Tu aimes travailler en équipe et être force de proposition ? cette annonce est faite pour toi !
Tu as envie de travailler sur des projets innovants ? tu es à la bonne enseigne !
Si comme nous, tu es passionné(e) de développement et que tu te retrouves dans nos valeurs #TeamWork #Dépassement #CleanCode... Et Si, tu as envie d’apprendre et de contribuer en équipe au développement d’un projet innovant
...Alors rejoins la #Team Ippon !
Type d'emploi : Stage
Expérience:
stage développement fullstack toulouse h/f ou similaire: 1 an (Souhaité)"
6,https://www.indeed.fr/emplois?q=Devops&l=Toulouse&radius=100&limit=100&sort=date&vjk=c142a21f14160fb1,"DEVELOPPEUR LOGICIEL F/H
CESI43 avis - Labège (31)","['Labège (31)', 'CDI']",DEVELOPPEUR LOGICIEL F/H,CESI,- Labège (31),CDI,null,"Apec.fr - il y a 20 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Devops,Toulouse,"Descriptif du poste :
Après une période de formation d’environ 11 semaines en partenariat avec le CESI à Toulouse vous intégrerez l’entité Consulting Information Systems (CIS) d’ALTRAN sur un poste de Développeur Logiciel et interviendrez sur nos différents projets réalisés pour des clients grands comptes.

Nous recherchons actuellement plusieurs profils pour notre Digital Factory interne, qui auront comme principales missions :

Participer à la phase de spécifications techniques et fonctionnelles

Elaborer l'architecture logicielle et définir les solutions techniques

Développer en environnement web (HTML, CSS, Angular, etc.,) ou entreprise (Java/JEE, etc.)

Effectuer les tests unitaires et d'intégration

Participer à la phase de support et de mise en production des applications.
Profil recherché Vous avez un profil technique à partir de BAC+3 avec une première expérience en développement à BAC+5 (Ingénieur/universitaire) de filière scientifique.

Vous avez idéalement une première expérience en développement et conception.

Vous avez des compétences techniques supplémentaires qui seraient appréciées :

Connaissances des langages Java, PHP, .net, Perl ou Python

Pratique des méthodologies Agile (Scrum)

Pratique Devops

Compétences front-end Javascript (Angular, React)

Connaissances des bases de données SQLServeur et des requêtes SQL

Vous avez une forte appétence pour le monde de l'informatique et du service, et vous êtes motivé(e) pour apprendre un métier en plein essor.

Alors cette offre vous est destinée !

Votre capacité d'adaptation, votre autonomie, votre sens du service ainsi que vos qualités relationnelles seront vos atouts pour réussir vos missions et évoluer au sein de notre entreprise.

Ces postes sont ouverts aux personnes en situation de Handicap à compétences égales.
Entreprise Vous êtes en recherche d’emploi ?

Vous avez une première expérience en développement et conception et vous souhaitez orienter votre carrière vers une filière porteuse (adaptée au marché de votre région) ?

Alors nous vous proposons d’intégrer un programme de formation sur une durée de 3 mois afin de consolider vos connaissances et d’acquérir des compétences clés dans le domaine du développement informatique et de permettre ainsi une intégration rapide dans l’entreprise.

Cette formation qui débute le lundi 02 décembre 2019 grâce au dispositif d’une Préparation Opérationnelle à l’Emploi Individuelle (POEI) sur le métier de « Développeur Logiciel H/F » avec notre entreprise partenaire, ALTRAN.

Durant cette formation, vous aborderez les thématiques suivantes :

Développement Front,
Développement Back,
Tests intégration, techniques et fonctionnels,
Sensibilisation aux méthodologies Agile,
Maitrise des outils DevOps,
Concepts et enjeux du Big Data,
Etc.
Passionné(e) par les nouvelles technologies, vous contribuerez ainsi au succès de nos clients dans leurs activités de leurs Systèmes d'Information dans un marché en pleine mutation. Vous participerez à des projets innovants en intégrant des nouveaux usages basés sur la Mobilité, le Cloud et le Big Data"
7,https://www.indeed.fr/emplois?q=Devops&l=Toulouse&radius=100&limit=100&sort=date&vjk=e3fc82878e049157,"Développeur Sénior Java/ J2E h/f
Vidal Associates5 avis - Toulouse (31)",['Toulouse (31)'],Développeur Sénior Java/ J2E h/f,Vidal Associates,- Toulouse (31),null,null,"il y a 20 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Devops,Toulouse,"VIDAL ASSOCIATES Consulting & Search, référence dans le recrutement de cadres spécialistes et de dirigeants en France et à l'international, recrute pour son client en CDI un Développeur Sénior Java/J2E h/f basé à Toulouse, 31.

Vous souhaitez booster votre carrière et votre rémunération ?
Vous souhaitez rejoindre un client final sans renoncer à travailler sur une variété de missions et à développer vos compétences techniques ?
Vous avez envie de partager votre passion pour les nouvelles technologies dans une ambiance « 2.0 » ?

« 100% made in Toulouse », notre client est un éditeur de logiciel particulièrement innovant.
Entreprise à taille humaine (250 collaborateurs), ils sont LES leaders sur leur segment de marché en France (70% de part de marché) et sont également présent à l'international sur plusieurs continents.
Leur communauté de développeurs n'a de cesse de s'enrichir de nouvelles personnalités, rejoignez-les!

Développeur Java / Jee/ Spring f/h
Basé à 15 min de Toulouse Centre
CDI client final - éditeur de logiciel
Autres postes à pourvoir : fullstack, scrum master, lead developer, chef de projets…

Votre mission, au sein de la communauté des développeurs :
Changer régulièrement de projet
Développer les nouvelles fonctionnalités de nos offres logicielles
Maintenir les briques logicielles
Participer au maintien/évolution des configurations de déploiement
Effectuer des tâches de maintenance évolutive

Le stack technique
Backend : Java, JEE, Spring, Batch, API REST, Apache Camel, IBM Workload Scheduler (IWS), Script Bash
Base de données : MySQL/MariaDB, Elasticsearch
Front : HTLM5, CSS3, ReactJS
Méthodologies : Agile (Scrum), DevOps, Amélioration continue
Forge : Jenkins, GitLab, Nexus, Sonar, Selenium, Ansible
Liste non exhaustive

Votre profil
Vous possédez un diplôme en informatique de type école d'ingénieur (ENSEIITH…) ou universitaire (MIAGE…)
Vous justifiez d'une expérience significative de 4 à 5 ans en conception et développement Java (JEE ou Spring)
Vous êtes passionné par les nouvelles technologies et n'avez de cesse de développer vos compétences
Vous aimez résoudre les défis techniques et intellectuels

Cette offre d'emploi en CDI d'un Développeur Senior Java/J2E h/f basé à Toulouse (31) correspond à votre recherche et à votre profil?

Afin d'étudier votre candidature avec attention, nous vous remercions de l'adresser à VIDAL ASSOCIATES Consulting & Search, sous la référence Vb9912U en déposant votre dossier sur notre site www.talentup.com ou de l'envoyer par email à vb11151u-77@talentup.net"
8,https://www.indeed.fr/emplois?q=Devops&l=Toulouse&radius=100&limit=100&sort=date&vjk=0372ea5209cf1f44,"Ingénieur Cloud et DevOps H/F
Gekko - Toulouse (31)","['Toulouse (31)', 'CDI']",Ingénieur Cloud et DevOps H/F,Gekko,- Toulouse (31),CDI,null,"il y a 1 jour
Signaler cette offre d'emploi",Devops,Toulouse,"Gekko recrute un Ingénieur Cloud & DevOps (H/F)
Dans le cadre de sa forte croissance dans les services d’accompagnement vers les applications hébergées dans le Cloud, GEKKO souhaite recruter un ingénieur ayant une appétence pour le développement / Scripting et ayant une première expérience en Production, idéalement CloudOps.
En venant chez Gekko, vous deviendrez roi de l’agilité et de continuous delivery (Git, Ansible, Docker, Jenkins, Packer, Splunk, …).
Ces termes vous paraissent encore barbares ? Aucune inquiétude, Gekko vous accompagne via un processus d’intégration et de formation hors norme.
Votre mission :
Vous travaillerez sur les sujets suivants auprès de nos clients :
Architectures: Automatisation des déploiements d’Infrastructures dans le Cloud (Public ou Privé)
Applications : Automatisation des déploiements des composants applicatifs Client
Cycle de vie Applicatifs : Automatisation de la gestion des déploiements, Monitoring, Alerting, Backup …
Veille technologique
De la start-up technologique au grand groupe, vous êtes appelé à travailler sur des projets et environnements variés, en forte relation avec le reste des équipes Gekko, et également être force de propositions.
Votre profil et vos compétences :
Nous souhaitons avant tout des personnes motivées, les yeux pétillants, issues de formations ingénieur. Avant tout, vous aimez la technologie et avez un fort goût pour approfondir les sujets au cœur de l’actualité IT, notamment autour du Cloud.
Vous disposez des compétences suivantes :
Très bonnes connaissances en infrastructure et administration système
Connaissance des technologies AWS et OpenSource (Apache / Nginx / HaProxy / MySQL / CouchBase / ElasticSearch / Rails / PHP / NodeJS / SVN / Git / Bash / Python)
Maitrise de langages et d’outils d’automatisation tel que, Ansible, Terraform, Packer, Shell, PowerShell
Connaissances des containers (Docker, Kubernetes/OpenShift) serait un plus
Bonnes connaissances en CI/CD (Gitlab CI, Bitbucket CI, Jenkins …)
Bon niveau d’anglais
Forte orientation service client
Rigueur, curiosité, esprit d’équipe et ouverture d’esprit
Ce que GEKKO peut vous apporter :
Une équipe dynamique de Dev et Ops fans de technologies et d’apprentissage en mode agile, toujours prêts à participer à des événements, conférences, Meetups, …
Une vision et une expertise sur des sujets tels que le DevOps, l’Automatisation, le Cloud
Des environnements de tests mis à votre disposition sur les principales plateformes Cloud du marché
La possibilité d’avoir des jours dédiés pour faire de la veille, préparer des formations, travailler sur des PoC internes ou clients,
L’objectif de rédiger un article, un post, un rapport de recherche ou un retour d’expériences tous les mois
Des passages de certifications reconnues.
Type d'emploi : CDI"
9,https://www.indeed.fr/emplois?q=Devops&l=Toulouse&radius=100&limit=100&sort=date&vjk=7762d0f62a329389,"Network and Telecom Administrator
Valiantys - Toulouse (31)",['Toulouse (31)'],Network and Telecom Administrator,Valiantys,- Toulouse (31),null,null,"il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",Devops,Toulouse,"About Valiantys

Valiantys is a top Atlassian Platinum Solution Partner with proven expertise in DevOps, Agile and ITSM. Our mission is to revolutionize the way teams collaborate and empower them to work smarter. We've rendered client-tailored services to over 4,000 companies, providing expert guidance on the deployment, adoption and support of Agile tools. We're a global company with Atlassian certified consultants in France, the United Kingdom, the Netherlands, Belgium, Switzerland, the United States, Canada and China.

At Valiantys we talk straight, we share and take part, we are mindful of what matters, we make every interaction remarkable and we never stand still. If you think the 5 values sound familiar to you, we bet you will love working with us!

Job purpose

You will be part of a newly created IT department, working alongside an Application Specialist and under the leadership of the IT Director. You will be based in our Toulouse office.
Your responsibilities

As part of the IT team, you will be responsible for supporting our users. Therefore you have to be able to handle many tasks simultaneously.

The atmosphere in the department is relaxed and professional (In other words...we love to have fun, but can also be serious!). You will have a free pass to create your own projects if they are relevant. We offer you a position with plenty of autonomy and the guidance to succeed.

From time to time, you will have to travel for business to our branches. However, we understand the importance of a work/life balance so it will be all very manageable!

More about you

You studied computer science for at least 3 years, and you have a minimum of 5 years’ experience in IT, including 2 years in a similar position.

We expect you to have advanced network (LAN / WAN / WIFI / VPN / Cisco MERAKI / FIREWALL) and Telecom (ISDN / T2 / T0 / VOIP) skills as well as computer security notions.

You are comfortable working with Windows clients, Mac and possibly Linux. You are familiar with Office365, AWS, Salesforce and you know how to work with Cloud tools.

You have proven ability to work efficiently in a fast-paced environment and you can show proven analytical and problem-solving abilities.

You must have effective verbal and written English & French communications skills. And, last but not least, you care about customer satisfaction.

What we offer

Generous lunch vouchers
Free Comprehensive mutual health insurance
Top spec machine as you prefer (MAC or PC)
Table football sessions, free coffee, tea and fresh fruits because we care about your health !
On-site showers
Follow us on LinkedIn [https://www.linkedin.com/company/valiantys/], Twitter
[https://twitter.com/Valiantys?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor],
Instagram [https://www.instagram.com/valiantyshq/?hl=en]and Youtube
[https://www.youtube.com/user/ValiantysTV]"
