,id,meta1,meta2,titre_poste,entreprise,localisation,contrat,salaire,date_publication,keyword_metier,keyword_localisation,description
0,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20Java&l=Paris&radius=100&limit=100&sort=date&vjk=b647ee78e81af528,"Développeur AWS / Java (CDI)
Addict Mobile - Paris 10e (75)","['Paris 10e (75)', 'CDI']",Développeur AWS / Java (CDI),Addict Mobile,- Paris 10e (75),CDI,null,"il y a 1 heure
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur Java,Paris,"Développeur AWS / Java
Qui sommes-nous ?
Addict Mobile, spécialiste de la publicité mobile depuis 2015 et leader européen du marketing mobile à la
performance, est aujourd’hui en pleine expansion.
Nous avons développé une technologie d’achats media à la performance qui nous permet de gérer des
campagnes d'acquisition mobile dans le monde entier pour le compte d’eBay, Rakuten, Cdiscount, Casino,
Sephora, Bandai Namco, Deezer, Western Union, Le Figaro, Meetic … et beaucoup d'autres marques,
depuis 2015. Nous accompagnons nos clients, des groupes d’envergure internationale ou startups, dans la
durée, pour développer l’audience et chiffre d’affaires de leurs applications et sites web mobiles
Depuis notre création, nous nous développons à un rythme soutenu avec +100% de croissance tous les
ans. Nous avons récemment rejoint le groupe Digital Virgo (700 personnes, 20 bureaux dans le monde) et
avons pour objectif de continuer à innover via nos développements.

L’équipe technique est amenée à se renforcer tout en restant vraiment à taille humaine, et cherche des
développeurs intéressés par le domaine des APIs, du traitement de données en masse, de la performance
web/serveur.
En tant que développeur, vous participez à :
La conception de nos architectures cloud (nous sommes à 100% sur AWS) dans des optiques de
performance et de sécurité
Le développement d’applications modernes
- Au choix des futures architectures et technologies de développement (containerisation, micro-
services, ML... )
Nous avons développé, entre autres : Des serveurs de tracking publicitaires, des services automatisés de
communications des données avec nos clients et fournisseurs de trafic (APIs HTTP), des bases de données
analytiques, des data lakes, une application web de reporting, un backoffice développé pour la gestion de
nos campagnes…
Profil :
Nous recherchons une personne avec un esprit d'innovation et une connaissance globale des architectures
web (web services, APIs), ou un intérêt très fort pour ce domaine.
Maitrise de Java 8+ (ou maitrise de langages similaires)
Connaissances d’AWS et de ses services principaux
Connaissances en base de données/traitement de données (relationnelles, OLAP, ElasticSearch,
hadoop, spark…)
Pourquoi rejoindre Addict !?
vous intégrerez une entreprise et un marché dynamiques et en fortes croissances ;
vous contribuerez au développement d'une technologie innovante ;
vous travaillerez en plein cœur de Paris : terrasse sur le Canal Saint-Martin et babyfoot à dispo.
vous êtes ambitieux

Rémunération : package selon profil

Écrire à jobs@addict-mobile.com avec CV et motivations"
1,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20Java&l=Paris&radius=100&limit=100&sort=date&vjk=a11e0cc57c99f4ed,"Développeur Java/Jee Hybris H/F / Freelance
AMETIX2 avis - Issy-les-Moulineaux (92)","['Issy-les-Moulineaux (92)', 'Temps plein, Freelance / Indépendant']",Développeur Java/Jee Hybris H/F / Freelance,AMETIX,- Issy-les-Moulineaux (92),"Temps plein, Freelance / Indépendant",null,"Freelance-info - il y a 1 heure
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur Java,Paris,"Je recherche pour un client grand compte un Développeur Hybris H/F afin d’intervenir sur des projets E-commerce.
Poste à pourvoir des que possible sur Issy-les-Moulineaux.

Une première experience en développement Hybris est nécessaire .
TJM : voir en fonction du profil."
2,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20Java&l=Paris&radius=100&limit=100&sort=date&vjk=8d87ef7aa1895d74,"Développeur Java Back-End F/H
GROUPE RAJA3 avis - Roissy-en-France (95)",['Roissy-en-France (95)'],Développeur Java Back-End F/H,GROUPE RAJA,- Roissy-en-France (95),null,null,"il y a 2 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur Java,Paris,"L'entreprise
RAJA, n° 1 en Europe de la distribution B2B de solutions d’emballage, fournitures et équipements aux entreprises réalise un chiffre d’affaires de 631 M€ en mobilisant au quotidien l’énergie et l’enthousiasme de près de 2 000 collaborateurs dans 18 pays. Rejoignez nos équipes et intégrez une entreprise familiale devenue en près de 65 ans un groupe européen leader sur son marché, ambitieux, fier de ses valeurs, engagé et en fort développement tant en France qu’à l’International.
Venez réussir dans un Groupe français dynamique et engagé, leader en Europe !
Le Groupe se développe à l’international et accélère sa transition vers le digital.
Vous êtes sensible à la satisfaction des utilisateurs, vous savez les accompagner en leur apportant les solutions adéquates et un véritable conseil d’expert, même dans des situations techniques complexes ?
Dans un environnement multiculturel, vous aimez être en relations quotidiennes avec les équipes des différents pays européens ?
Venez rejoindre une équipe IT WEB, jeune et dynamique, dans un groupe solide avec des valeurs humaines et une forte culture d’entreprise.

Description du poste
Nous recherchons un Ingénieur études et développement maîtrisant la conception et l’architecture logicielle afin d’apporter son expertise dans le développement des outils digitaux du groupe RAJA.
Au sein du pôle WEB de la Direction des Systèmes d’Information du groupe, vous rejoignez l’équipe de développement agile qui développe les boutiques en ligne.
En tant que développeur, vous rejoignez l’équipe technique au sein d’une squad, dans une feature team, avec un PO et un scrum master.
Vous travaillerez sur des projets Web innovants et apporterez votre expérience à l’équipe.

Profil recherché
Titulaire d’un Bac+3, Diplôme d’Ingénieur ou Master 2 en Informatique, vous justifiez d’une expérience de 2 ans.
Vous maîtrisez le JAVA en environnement WEB, une base de données relationnelle, un outil de versionning, (git).
Vous possédez aussi une bonne connaissance en termes de conception et d’algorithmique.
Vous êtes passionné par la technique, curieux, rigoureux et collaboratif.
Vous faites preuve d’esprit d’analyse, de force de proposition et souhaitez mettre votre expérience au service des autres.
Vous aimez jouer à FIFA2020 et travailler dans une bonne ambiance. Le télétravail est ouvert une journée par semaine.
Les compétences techniques attendues :
JAVA 8/J2EE, Intershop 7.9, Apache, Oracle, CSS, jQuery, HTML, JIRA,Git, Nexus, Jenkins, Éclipse, Graddle"
3,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20Java&l=Paris&radius=100&limit=100&sort=date&vjk=8810aaad7f2d5495,"Développeur JAVA BACK END microservices / Freelance
Eurostaff group SAS - Paris (75)","['Paris (75)', 'Temps plein, Freelance / Indépendant']",Développeur JAVA BACK END microservices / Freelance,Eurostaff group SAS,- Paris (75),"Temps plein, Freelance / Indépendant",null,"Freelance-info - il y a 1 heure
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur Java,Paris,"Contexte de refonte applicative et de digitalisation à proximité de la Défense :

Refonte en micro services de l’application
Migration de legacy en microservice (spring boot, docker)
Refactoring de legacy
Peer Programming
Découpage du monolythe
Revue de code
Best practices : TDD/BDD/Devops

3 à 6 ans d’expérience

Environnement :
Spring Boot 2, Spring Batch, JWT, JAVA 1.8, Oracle, GIT, Maven 3, IntelliJ, tomcat, JUnit, elasticsearch, postgres, docker
Bonnes pratiques : code review, culture de tests (TDD et BDD), implémentation Sonar

Si cette mission vous intéresse, merci de revenir vers moi avec vos disponibilités et votre Cv updaté"
4,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20Java&l=Paris&radius=100&limit=100&sort=date&vjk=ee15be03d800428d,"Développeur JAVA/REACT / Freelance
AMETIX2 avis - Paris (75)","['Paris (75)', 'Temps plein, Freelance / Indépendant']",Développeur JAVA/REACT / Freelance,AMETIX,- Paris (75),"Temps plein, Freelance / Indépendant",null,"Freelance-info - il y a 1 heure
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur Java,Paris,"Bonjour,

Je recherche urgemment un développeur JAVA REACT pour l’un de mes client.

Idéalement une personne qui a déjà eut un rôle de lead.

Si vous êtes dans la capacité de commencer semaine prochaine merci de me contacter par mail avec votre cv.

Cordialement,

Anaïs"
5,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20Java&l=Paris&radius=100&limit=100&sort=date&vjk=f9e07bf0798a51d2,"Développeur JAVA J2EE F/H / Freelance
AVA2I - Malakoff (92)","['Malakoff (92)', 'Temps plein, Freelance / Indépendant']",Développeur JAVA J2EE F/H / Freelance,AVA2I,- Malakoff (92),"Temps plein, Freelance / Indépendant",null,"Freelance-info - il y a 1 heure
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur Java,Paris,"Mission :
Développement des services en Java (Back Office) et Angular 8, SCSS pour les IHM
Assurer le développement, la réalisation et les tests unitaires de l’application et garantir leur qualité et leur conformité aux spécifications validées
Une expérience en développement Agile /Scrum serait appréciée

Environnement technique :
Techno : Java 8+, Angular 6+, Maven, Git, J2EE, Junit, MongoDB
Logiciels : Eclipse, VScode
Souhaité : Docker, OSGI, Selenium, Talend, Scrum"
6,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20Java&l=Paris&radius=100&limit=100&sort=date&vjk=f1a9982b861d42f2,"Développeur FRONT / Freelance
SOFTEAM6 avis - Issy-les-Moulineaux (92)","['Issy-les-Moulineaux (92)', 'Temps plein, Freelance / Indépendant', '440 € par semaine']",Développeur FRONT / Freelance,SOFTEAM,- Issy-les-Moulineaux (92),"Temps plein, Freelance / Indépendant",440 € par semaine,"Freelance-info - il y a 1 heure
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur Java,Paris,"Nous recherchons un Développeur FRONT confirmé pour une mission au sein d’un grand compte.

Prérequis :
Expérience en equipe Agile
Développement en HTML, CSS, JS, JQuery, VueJS
Adhérence avec des développements Java ou CMS
Compétence accessibilité et tracking
Autonomie, compétences relationnelles fortement souhaitées
Lieux : Issy-les-Moulineaux (92)
Date de démarrage : asap"
7,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20Java&l=Paris&radius=100&limit=100&sort=date&vjk=874991fe360c615a,"Nouvelle Mission : Développeur Android / Freelance
SKILLWISE - Paris (75)","['Paris (75)', 'Temps plein, Freelance / Indépendant', '500 € par jour']",Nouvelle Mission : Développeur Android / Freelance,SKILLWISE,- Paris (75),"Temps plein, Freelance / Indépendant",500 € par jour,"Freelance-info - il y a 1 heure
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur Java,Paris,"Le poste :
La distribution digitale de notre client est actuellement engagée dans l’amélioration continue de plusieurs de ses applications digitales notamment l’application mobile.
Le client est organisé en 3 équipes Agile (Scrum) et accompagné par un Coach ainsi que 2 ScrumMaster. Chaque Team est en charge d’un ou plusieurs produits dont il est responsable. La mission concerne l’équipe Mobile constituée d’un PO, d’un Techlead, de 2 développeurs iOS et 2 développeurs Android, et d’un testeur. L’application mobile est développée en JAVA et en KOTLIN et est accessible depuis le playStore. Elle génère un trafic d’un million d’utilisateurs actifs mensuel.

Expertise :
Développement d’applications natives pour Android
Maitrise de la CI : GIT, Jenkins, Sonar
Design Pattern : MVP clean architecture
Java Kotlin - Gradle
Méthodologies projets Agile (Scrum)

Les responsabilités :
Rédiger la doc de conception technique
Développer les Users Stories
Corriger les anomalies
Rédiger des tests unitaires
Mettre à jour ses tickets dans JIRA et Service-Now

Pourquoi venir travailler pour ce client ?
Notre client est un grand acteur du monde du divertissement et une marque à très forte notoriété développant des applications utilisées par des millions d’utilisateurs en France (et peut-être même vous).
Cette mission vous intégrera dans un univers challengeant, au sein d’une équipe dynamique et motivée."
8,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20Java&l=Paris&radius=100&limit=100&sort=date&vjk=f75ad58f647ff27c,"Développeur PL/SQL / Freelance
GROUPE HN3 avis - Issy-les-Moulineaux (92)","['Issy-les-Moulineaux (92)', 'Temps plein, Freelance / Indépendant', '400 € par semaine']",Développeur PL/SQL / Freelance,GROUPE HN,- Issy-les-Moulineaux (92),"Temps plein, Freelance / Indépendant",400 € par semaine,"Freelance-info - il y a 1 heure
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur Java,Paris,"Le Groupe HN recherche pour l’un de ses clients dans le domaine de la finance plusieurs développeurs PL/SQL

En relation avec les équipes IT des autres filières, opérationnelles luxembourgeoises et parisiennes ainsi que les clients, les tâches principales identifiées sont les suivantes :
 Organiser la mise oeuvre par nos prestataires et partenaires des flux demandés afin de contribuer à la réussite des projets métiers et techniques ;
 Maintenir la cartographie des flux et en garantir l’intégrité et la complétude ;
 Garantir le maintien en conditions opérationnelles et les évolutions des middlewares de type flux : CFT (Axway), MQSeries, FTP avec le prestataire de Production
 Définir et coordonner la mise en place de liens WAN (VPN, LS, SFTP, FTPS, FTP) avec les prestataires de Production et d’Infrastructure ;
 Assurer le support de niveau 2 et 3 de l’exploitation liée aux applicatifs ;
 Assurer, avec les prestataires, la veille technologique et sécurité des composants Flux (CFT, MQ, ) ;
 Accompagnement du déploiement des flux.
 Accompagnement des tests utilisateurs.

Notre client attend de vous :
 Des qualités rédactionnelles et conversationnelles (nombreux contacts par téléphone) sont requises dans la mesure où le consultant sera amené à dialoguer avec des référents fonctionnels et des utilisateurs.
 Conduite de projet.
 L’anglais courant est un plus. Le consultant peut être amené à participer à des réunions téléphoniques en Anglais.
 Des qualités d’autonomie, de rigueur, de proactivité ainsi que de curiosité permettront d’accompagner et de coordonner au mieux les actions.

Les compétences techniques nécessaires sont les suivantes :
compétences Oracle, MS SQL, PL/SQL
méthode SCRUM ;
environnement UNIX ;
Scripts Korn Shell (ksh), batch windows (.bat).
Connaissances java, WebsphereMQ, XML
Une expérience des techniques ETL de serait un plus.
COMPETENCES FONCTIONNELLES & PARTICULIERES

 Autonomie : Capacité à gérer un projet et mobiliser les équipes contributrices
 Force de proposition / Orientation client : amélioration des solutions techniques
 Sens de l’organisation et des priorités
 Rigueur dans les analyses, chiffrages et délais
 Capacité à travailler en équipe
 Aptitude rédactionnelle : capacité à rendre compte
 Très bon relationnel"
9,https://www.indeed.fr/emplois?q=D%C3%A9veloppeur%20Java&l=Paris&radius=100&limit=100&sort=date&vjk=2dfb05973531fe0b,"Développeur Big Data (H/F)
Thales Group1,226 avis - Vélizy-Villacoublay (78)",['Vélizy-Villacoublay (78)'],Développeur Big Data (H/F),Thales Group,- Vélizy-Villacoublay (78),null,null,"Thales - il y a 1 heure
- Continuer pour postuler
Signaler cette offre d'emploi",Développeur Java,Paris,"QUI SOMMES-NOUS ?
Thales propose des systèmes d’information et de communication sécurisés et interopérables pour les forces armées, les forces de sécurité et les opérateurs d’importance vitale. Ces activités, qui regroupent radiocommunications, réseaux, systèmes de protection, systèmes d’information critiques et cybersécurité, répondent aux besoins de marchés où l’utilisation des nouvelles technologies numériques est déterminante. Thales intervient tout au long de la chaîne de valeur, des équipements aux systèmes en passant par le soutien logistique et les services associés.
Sur le site de Vélizy le Bois, les équipes développent et installent des systèmes d’information de commandement et de renseignement, systèmes de sécurité nationale et solutions de sécurité pour les villes, les États et les infrastructures critiques, ainsi que des systèmes d’information critiques et de cybersécurité. Le site abrite également les équipes en charge les solutions de supervision et de signalisation ferroviaire pour les grandes lignes et les réseaux de trafic urbain.
Nous recherchons un/une Développeur Big Data (H/F)

Poste basé en Ile de France.

QUI ETES-VOUS ?

De formation Bac+5 en informatique (école d’ingénieur, Master ou équivalent) vous êtes passionné(e) par les technologies du Big Data. Vous avez déjà une première expérience (ou un stage) dans ce domaine et vous recherchez un nouveau challenge professionnel ?

Vous aimeriez faire partie d’une équipe jeune et dynamique, et monter en compétence grâce à nos experts Big Data ?

Votre esprit d’équipe et vos qualités humaines sont un véritable atout pour concevoir et réaliser des infrastructures innovantes dans un contexte Agile ?

Vous êtes curieux(se)? Rigoureux (se) ? Et force de proposition ?

Le poste de développeur Big Data est fait pour vous !

CE QUE NOUS POUVONS ACCOMPLIR ENSEMBLE :

Le Centre de Compétences Data Storage est spécialisé dans la conception d’architecture BigData. Au sein de ce centre de compétences, vous êtes impliqués dans des projets pour nos clients. Accompagné par nos Data Engineer et Data Scientist, vous concevez et développez pour nos clients Grand Comptes (Télécom, Services, Energie, Bancaire, Défense…) des systèmes innovants de stockage et de traitement de l’information (DataLake, DataHub…) dans un contexte Agile et une approche DevOps.

Nos leitmotiv sont l’innovation, la qualité, la sécurité et la satisfaction client.

Dans le cadre d’un projet DataBusiness, vous participerez à la mise en place d’un DataLake et apporterez votre expertise auprès de notre équipe d’ingénieurs.

En nous rejoignant, vous vous verrez confier différentes missions :

Vous travaillerez parmi nos équipes de Data Engineers, de développeurs et de Data Scientists,
Vous mettrez en place l’architecture proposée par nos Data Architect,
Vous veillerez à être à la pointe des technologies afin d’être force de proposition,
Contexte technique du projet :
Bases de données : HDFS, Hbase, OrientDB, Neo4J
Traitement des données : Spark, Hive,
Bus d’évènements : Kafka,
Programmation : Java, Python,
Administration : Ambari, Ranger
…

Si vous n’avez pas peur du challenge, n’hésitez pas à postuler ! :-)

La perspective de rejoindre un Groupe innovant vous motive ? Alors rejoignez-nous en postulant à cette offre.
Innovation, passion, ambition : rejoignez Thales et créez le monde de demain, dès aujourd’hui."
